   yuktidīpikā //	yukti dIpikA //
        śeṣavat  yadā kāryanirvṛtiṃ dṛṣṭvā kāraṇasadbhāvaṃ pratipadyate /	Sezavat yadA kArya nirvRtim dRzwvA kAraNa sadBAvam pratipadyate /
   tadyathā kumārakaṃ dṛṣṭvā dvayasamāpattim /	tat yaTA kumArakam dRzwvA dvaya samApattim /
        āha  naitadastyudāharaṇam / anekāntāt / na hi dvayasamāpattipūrvaka	Aha na etat asti udAharaNam / anekAntAt / na hi dvaya samApatti pUrvaka
   eva prāṇabhṛtāṃ prādurbhāvo, droṇādīnāmanyathotpattiviśeṣaśravaṇāt /	eva prANaBRtAm prAdurBAvo, droNa AdInAm anyaTA utpatti viSeza SravaNAt /
        ucyate  yadā tarhi prabhānuraṃjitamantarikṣaṃ dṛṣṭvā	ucyate yadA tarhi praBA anuraMjitam antarikzam dRzwvA
   candrārkayorudayaṃ pratipadyate tadā śeṣavat /	candra arkayoH udayam pratipadyate tadA Sezavat /
        āha  etadapi nāstyudāharaṇam / anekāntāt / na hi prabhānurāgo	Aha etat api na asti udAharaNam / anekAntAt / na hi praBA anurAgaH 
   'ntarikṣe candrārkanimitta eva bhavati / kintarhi digdāhādinimitto 'pi /	antarikze candra arka nimittaH eva Bavati / kintarhi digdAha Adi nimittaH api /
        ucyate   yadā tu nadīpūraṃ dṛṣṭvā vṛṣṭiṃ pratipadyate tadā śeṣavat /	ucyate  yadA tu nadI pUram dRzwvA vRzwim pratipadyate tadA Sezavat /
        etadapi nāstyudāharaṇam / anekāntāt / nadīpūrasya hi	etat api na asti udAharaNam / anekAntAt / nadI pUrasya hi
   nimittamanekavidhaṃ bhavatīti himilayanasetubhaṃgagajakrīḍādi /	nimittam anekaviDam Bavati iti himilayana setu BaMga gaja krIxA Adi /
   tasmādayuktametat /	tasmAt ayuktam etat /
        ucyate yadā tarhi parṇaṃ dṛṣṭvā śālūkaṃ pratipadyate, aṃkuraṃ vā	ucyate yadA tarhi parNam dRzwvA SAlUkam pratipadyate, aMkuram vA
   dṛṣṭvā bījamiti tadā śeṣavat /	dRzwvA bIjam iti tadA Sezavat /
        athavā punarastu pūrvakamevodāharaṇam / yattūktaṃ  anekāntāditi atra	aTavA punar astu pUrvakam eva udAharaNam / yat tu uktaM anekAntAt iti atra
   brūmaḥ  vītāvītasāmarthyāt / vītāvītābhyāṃ	brUmaH vIta avIta sAmarTyAt / vIta avItAByAm
   hetubhūtābhyāmabhipretārthasiddhiriti vakṣyāmaḥ /	hetu BUtAByAm aBipreta arTa sidDiH iti vakzyAmaH /
   prasaṃgidharmāntaranivṛttimukhena cāvītaprayogaḥ / tatra yadā prasaṃgināṃ	prasaMgi Darma antara nivRtti muKena ca avIta prayogaH / tatra yadA prasaMginAm
   himavilayanādīnāṃ deśakālaliṅgaiḥ pratiṣedhaḥ kriyate tadā muktasaṃśayaṃ	hima vilayana AdInAm deSa kAla liFgEH pratizeDaH kriyate tadA mukta saMSayam
   pratipattirbhavati / deśastāvattad yathā  dakṣiṇāpathe nāsti	pratipattiH Bavati / deSaH tAvat tat yaTA dakziNApaTe na asti
   himavilayanasambhavaḥ / kālato yathā prāvṛṭkāle / liṅgato 'pi	hima vilayana samBavaH / kAlataH yaTA prAvRz kAle / liFgataH api
   yasmānmudgagavedhukaśyāmākakāṣṭhasūtraśakṛtprabhṛtīnāmanupalambhastathoṣmakaluṣatvādīnāmupalambhaḥ	yasmAt mudga gaveDuka SyAmAka kAzWa sUtra SakRt praBRtInAm anupalamBaH taTA Uzma kaluza tva AdInAm upalamBaH
   / tasmāt pariśeṣato medhyā evāpa iti / tasmānnānekāntaḥ / evaṃ kṛtvā	/ tasmAt pariSezataH meDyAH eva apaH iti / tasmAt na anekAntaH / evam kRtvA
   pūrvāṇyapyudāharaṇāni upapannāni bhavanti / deśādivicārasāmarthyāt /	pUrvANi api udAharaNAni upapannAni Bavanti / deSa Adi vicAra sAmarTyAt /
        sāmānyatodṛṣṭaṃ nāma yatraikadārthayoravyabhicāramupalabhya deśāntare	sAmAnyatodRzwam nAma yatra ekadArTayoH avyaBicAram upalaBya deSa antare
   kālāntare ca tajjātīyayoravyabhicāraṃ pratipadyate / tadyathā	kAla antare ca tad jAtIyayoH avyaBicAram pratipadyate / tat yaTA
   kvaciddhūmāgnisambandhaṃ dṛṣṭvā kvaciddhūmāntareṇāgnyantarasyāstitvaṃ	kvacid DUma agni sambanDam dRzwvA kvacid DUma antareNa agni antarasya astitvam
   pratipadyate /	pratipadyate /
        āha  naitadastyudāharaṇam / aviśeṣaprasaṅgāt / sarvatraiva hyanumāne	Aha na etat asti udAharaNam / aviSeza prasaFgAt / sarvatra eva hi anumAne
   kvacidarthayoravyabhicāramupalabhyānyatra tajjātīyayorarthayoravyabhicāraṃ	kvacid arTayoH avI aBicAram upalaBya anyatra tad jAtIyayoH arTayoH avyaBicAram
   pratipadyate / tadyathā kvacit sādhanavato mṛtpiṇḍād	pratipadyate / tat yaTA kvacid sADanavataH mRd piNxAt 
   ghaṭaniṣpattimupalabhyānyatra sādhanavataḥ piṇḍāntarādghaṭāntaraniṣpattiṃ	Gawa nizpattim upalaBya ani atra sADanavataH piNxa antarAt Gawa antara nizpattim
   pratipadyate, tathaikatra nadīpūrād vṛṣṭimupalabhyānyatra	pratipadyate, taTA ekatra nadI pUrAt vRzwim upalaBya anyatra
   nadīpūrāntarādvṛṣṭyantaramavasīyate / tathā ca sati	nadI pUra antarAt vRzwi antaram avasIyate / taTA ca sati
   trayāṇāmaviśeṣaprasaṃgaḥ /	trayANAm a viSeza prasaMgaH /
        ucyate  yadā tarhi sahabhuvāmekasya viśiṣṭaguṇamupalabhya śeṣāṇāmapi	ucyate yadA tarhi sahaBuvAm ekasya viSizwa guNam upalaBya SezANAm api
   tadvattvamanumīyate tadā sāmānyatodṛṣṭam / tadyathā vṛkṣādekasya phalasya	tadvat tvam anumIyate tadA sAmAnyatodRzwam / tat yaTA vRkzAt ekasya Palasya
   pākamupalabhya śeṣāṇāṃ vṛkṣāntarāṇāṃ ca pāko 'numīyate / āha  etadapi	pAkam upalaBya SezANAm vRkza antarANAm ca pAkaH anumIyate / Aha etat api
   nāstyudāharaṇam / anekātantāt / na hi sarveṣāṃ phalānāṃ tulyakālaṃ pāko	na asti udAharaNam / anekAtantAt / na hi sarvezAm PalAnAm tulya kAlam pAkaH 
   bhavati / pūrvāparakālaniṣpannatvāt, nimittabhedācca / ucyate  yadā tarhi	Bavati / pUrva apara kAla nizpanna tvAt, nimitta BedAt ca / ucyate yadA tarhi
   samudrādekamudababinduṃ prāśya śeṣasya lavaṇatānumīate / sthālyāṃ vaikaṃ	samudrAt ekam udababindum prASya Sezasya lavaNatA anumIate / sTAlyAm vA ekam
   pulākamupalabhya śeṣāṇāṃ pāko 'numīyate tadā sāmānyatodṛṣṭam / āha 	pulAkam upalaBya SezANAm pAkaH anumIyate tadA sAmAnyatodRzwam / Aha 
   naitadastyudāharaṇam / akṛtsnasaṅgrahāt / vakṣyatyayamupariṣṭādācāryaḥ	na etat asti udAharaNam / akRtsna saFgrahAt / vakzyati ayam uparizwAt AcAryaH
   "sāmānyatastu dṛṣṭādatīndriyāṇāṃ pratītiranumānāditi" (ISk 6) / tatraivaṃ	"sAmAnyatas tu dRzwAt ati indriyANAm pratItiH anumAnAt iti" (ISj 6) / tatra evam
   pramāṇe parikalpyamāne kāryakāraṇayostatsaṃghātānāṃ ca	pramANe parikalpyamAne kArya kAraNayoH tad saMGAtAnAm ca
   sukhaduḥkhamohasvabhāvopalambhāttanmātrāhaṅakārapradhānānāṃ samadhigamaḥ	suKa duHKa moha svaBAva upalamBAt tanmAtrA ahaFa kAra praDAnAnAm samaDigamaH
   syāt / na puruṣasya, tajjātīyārthānupalambhāt /	syAt / na puruzasya, tad jAtIya arTa anupalamBAt /
         ucyate  yadā tarhi kvaciddharmeṇa	ucyate yadA tarhi kvacid DarmeNa
   dharmāntarasyāvyabhicāramupalabhyaikadharmopalambhādbhinnajātīye	Darma antarasya avyaBicAram upalaBya eka Darma upalamBAt Binna jAtIye
   'tyantānupalabdhasya dharmāntarasya pratipattistadā sāmānyatodṛṣṭam /	atyanta anupalabDasya Darma antarasya pratipattiH tadA sAmAnyatodRzwam /
   tadyathā   devadatte gamanāddeśāntaraprāptimupalabhyātyantādṛṣṭajyotiṣāṃ	tat yaTA  devadatte gamanAt deSa antara prAptim upalaBya atyanta adRzwa jyotizAm
   deśāntaraprāptergamanamanumīyate / tathā prāsādādīnāṃ vṛddhipūrvakaṃ	deSa antara prApteH gamanam anumIyate / taTA prAsAda AdInAm vRdDi pUrvakam
   dīrghatvamupalabhyauṣadhivanaspatīnāṃ dīrghatvadarśanādvṛddhiranumīyate /	dIrGa tvam upalaBya ozaDi vanaspatInAm dIrGa tva darSanAt vRdDiH anumIyate /
        āha  naitadapyastyudāharaṇam / pūrveṇāviśeṣāt / kāryāt	Aha na etat api asti udAharaNam / pUrveNa aviSezAt / kAryAt 
   kāraṇasyādhigamaḥ śeṣavaditi pūrvamatisṛṣṭaṃ bhavatā / atrāpi ca	kAraNasya aDigamaH Sezavat iti pUrvam atisRzwam BavatA / atra api ca
   deśāntaraprāptilakṣaṇāt kāryād gatilakṣaṇasya kāraṇasyādhigamaḥ / tasmāt	deSa antara prApti lakzaNAt kAryAt gati lakzaNasya kAraNasya aDigamaH / tasmAt 
   śeṣavatsāmānyatodṛṣṭayorabhedaprasaṃgaḥ /	Sezavat sAmAnyatodRzwayA uH aBeda prasaMgaH /
        ucyate  na, aniyamāt / yatra hi niyamataḥ kāryeṇa kāraṇamadhigamyate	ucyate na, aniyamAt / yatra hi niyamataH kAryeNa kAraNam aDigamyate
   taccheṣavaditi ayamasmadabhisandhiḥ / na tu tadasti sāmānyatodṛṣṭe /	tat Seza vat iti ayam asmad aBisanDiH / na tu tat asti sAmAnyatodRzwe /
   kasmāt ? saṃghātatvasāmānyāt / pārārthyasāmānyasādhanamapi dṛśyate /	kasmAt ? saMGAta tva sAmAnyAt / pArArTya sAmAnya sADanam api dRSyate /
   yathāha  avyabhicārādviśeṣāstu pratītāḥ pratipādakāḥ iti /	yaTA aha avyaBicArAt viSezAH tu pratItAH pratipAdakAH iti /
   sādhyasādhanasāmānyayorapi dṛśyate, yathānityaḥ śabdaḥ kṛtakatvāditi /	sADya sADana sAmAnyayoH api dRSyate, yaTA anityaH SabdaH kRtaka tvAt iti /
   tatraivaṃ sati niyamavādinaḥ pratijñāhāniḥ /	tatra evam sati niyama vAdinaH pratijQA hAniH /
   etenāsiddhaviruddhānaikāntikasādhanābhāsāḥ pratyuktāḥ / te hi	etena asidDa virudDa anEkAntika sADana ABAsAH pratyuktAH / te hi
   saṃśayaviparyayājñānahetukatvādagamakā iti vyākhyātamanumānam /	saMSaya viparyaya ajQAna hetuka tvAt agamakAH iti vyAKyAtam anumAnam /
        āha  āptavacanasya kiṃ lakṣaṇamiti ?	Aha Apta vacanasya kim lakzaNam iti ?
        ucyate 	ucyate 
        āptaśrutirāptavacanantu // ISk_5 //	Apta SrutiH Apta vacanantu // ISc _5 //
        āptā nāma rāgādiviyuktasyāgṛhyamāṇakāraṇaparārthāḥ vyāhṛtiḥ /	AptA nAma rAga Adi viyuktasya agRhyamANa kAraNa para arTAH vyAhRtiH /
   śravaṇaṃ śrutiḥ / āptā cāsau śrutirāptaśrutiḥ / athavā āptāsyāstītyāptaḥ /	SravaNam SrutiH / AptA ca asO SrutiH Apta SrutiH / aTavA Apta Asya asti iti AptaH /
   akāro matvarthīyaḥ / tadyathā tundo ghaṭa iti / āptebhyaḥ śrutirāptaśrutiḥ	akAraH matu arTIyaH / tat yaTA tundaH GawaH iti / ApteByaH SrutiH Apta SrutiH
   / āptaśrutiścāptaśrutiḥ / sarūpāṇimityekaśeṣaḥ / tatra	/ Apta SrutiH ca Apta SrutiH / sarUpa aNim iti eka SezaH / tatra
   pūrveṇāptaśrutigrahanena pratipādayati apuruṣabuddhipūrvaka āmnāyaḥ,	pUrveNa Apta Sruti grahanena pratipAdayati apuruza budDi pUrvakaH AmnAyaH,
   svatantraḥ puruṣaniḥśreyasārthaṃ pravartamāno niḥsaṃśayaṃ pramāṇamiti /	svatantraH puruza niHSreyasa arTam pravartamAnaH niHsaMSayam pramANam iti /
   dvitīyena manvādinibandhanānāṃ ca smṛtīnāṃ vedāṅgatarketihāsapurāṇānāṃ	dvitIyena manu Adi nibanDanAnAm ca smRtInAm vedAFga tarka itihAsa purANAnAm
   śiṣṭānāṃ nānāśilpābhiyuktānāṃ cāduṣṭamanasāṃ	SizwAnAm nAnA Silpa aBiyuktAnAm ca aduzwa manasAm
   yadvacastatpramāṇamityetasiddhaṃ bhavati / tuśabdo 'vadhāraṇārthaḥ /	yat vacaH tad pramANam iti eta sidDam Bavati / tuSabdaH avaDAraNa arTaH /
   āptaśrutirevāptavacanaṃ na śabdamātram /	Apta SrutiH eva Apta vacanam na Sabda mAtram /
        evaṃ sati yaduktaṃ tantrāntarīyaiḥ śiṃśapādiśabdānāṃ	evam sati yat uktam tantra antarIyEH SiMSapA Adi SabdAnAm
   nirvikalpamanumāne 'ntarbhāvastrilakṣaṇatvāditi tadayatnataḥ pratikṣiptaṃ	nirvikalpam anumAne antar BAvaH tri lakzaNa tvAt iti tad ayatnatas pratikziptam
   bhavatīti vyākhyātāni pramāṇāni / etaiḥ pūrvoktaṃ prameyaṃ yathāsvaṃ	Bavati iti vyAKyAtAni pramANAni / etEH pUrva uktam prameyam yaTAsvam
   pratipattavyamiti // 5 //	pratipattavyam iti // 5 //
             kārikā 6 7	kArikA 6 7
        āha  astu tāvadakṣarānnikarṣabhājāmarthānāṃ pratyakṣeṇopalabdhiḥ /	Aha astu tAvat akzarAt nikarza BAjAm arTAnAm pratyakzeNa upalabDiH /
   asannikarṣabhājāmapi copalabdhasambandhānāmanumānena / ye tvatīndriyā	asannikA Rza BAjAm api ca upalabDa sambanDAnAm anumAnena / ye tu ati indriyA
   bhāvāsteṣāmubhayavailakṣaṇyānnāsti pratyakṣānumānābhyāmupalabdhiḥ /	BAvAH tezAm uBaya vElakzaNyAt na asti pratyakza anumAnAByAm upalabDiH /
   āgamikatve sarvavādasiddhiprasaṃgaḥ / ityato 'tyantamevāgrahaṇaṃ prāptam /	Agamika tve sarva vAda sidDi prasaMgaH / iti atas atyantam eva agrahaNam prAptam /
   tatra yaduktametāvadbhiḥ pramāṇaiḥ sakalapadārthāvabodha iti etadayuktam /	tatra yat uktam etAvadBiH pramANEH sakala padArTa avaboDaH iti etat ayuktam /
        ucyate  syādetadevaṃ yadyekarūpamevānumānamadhītaṃ syāt, kiṃ tarhi	ucyate syAt etat evam yadi eka rUpam eva anumAnam aDItam syAt, kim tarhi
   trividham / tatra satyameva pūrvavaccheṣavatī	triviDam / tatra satyam eva pUrvavat SezavatI
   prāganubhūtasambandhaviṣayaphale iti kṛtvā na tābhyāmaśeṣapadārthādhigamo	prAk anuBUta sambanDa vizaya Pale iti kRtvA na tAByAm aSeza padArTa aDigamaH 
   'bhyupagamyate /	aByupagamyate /
        sāmānyatastu dṛṣṭādatīndriyāṇāṃ prasiddhiranumānāt // ISk_6a //	sAmAnyatas tu dRzwAt ati indriyANAm prasidDiH anumAnAt // ISc _6aH //
        yattvetatsāmānyatodṛṣṭamanumānametasmādatīndriyāṇāmarthānāṃ	yat tu etat sAmAnyatodRzwam anumAnam etasmAt atIndriyANAm arTAnAm
   samadhigamaḥ pratyavagantavyaḥ / katham ? yathā hi	samaDigamaH pratyavagantavyaH / kaTam ? yaTA hi
   kṛtakatvānityatvayorghaṭe sahabhāvamupalabhyānyatra śabdādau	kRtaka tva anitya tvayoH Gawe sahaBAvam upalaBya ani atra Sabda AdO
   kṛtakatvadarśanādanityatvamanumīyate / evaṃ śakalādīnāṃ tajjātīyatā	kRtaka tva darSanAt anitya tvam anumIyate / evam Sakala AdInAm tad jAtIya tA
   candanādipūrvakatvasiddheḥ, kāryakāraṇasya sukhādijātīyatayā	candana Adi pUrvakatva sidDeH, kArya kAraNasya suKa Adi jAtIya tayA
   tatpūrvakatvasiddheḥ, śayanādīnāṃ ca saṃghātatvātpārārthyasiddheḥ,	tad pUrvakatva sidDeH, Sayana AdInAm ca saMGAta tvAt pAra arTya sidDeH,
   kāryakāraṇasyāpi saṃghātatvātpārārthyasiddhiriti sarvamiṣṭaṃ saṅgṛhītaṃ	kArya kAraNasya api saMGAta tvAt pArArTya sidDiH iti sarvam izwam saFgRhItam
   bhavatīti / yeṣāṃ tu śeṣavadeva sāmānyatodṛṣṭaṃ teṣāṃ tasya kāryadvāreṇa	Bavati iti / yezAm tu Sezavat eva sAmAnyatodRzwam tezAm tasya kArya dvAreNa
   samadhigamahetutvāt puruṣasyāgrahaṇaprasaṃgaḥ / vṛttau kāryopacārādadoṣa	samaDigama hetu tvAt puruzasya agrahaNa prasaMgaH / vRttO kArya upacArAt adoza 
   iti cet syānmatam, yadyapi puruṣasya kāryābhāvastathāpi	iti ced syAt matam, yadi api puruzasya kArya aBAvaH taTA api
   puruṣāvyaktamahadahaṅkāraviśeṣāṇāṃ sāmprate kāle svavṛttibhyasteṣāṃ	puruza avyakta mahat ahaFkAra viSezANAm sAmprate kAle sva vRttiByaH tezAm
   grahaṇamityuktam / kasmāt ? vṛttiśaktireṣāṃ kāryatvenopacaritā svamātmānaṃ	grahaNam iti uktam / kasmAt ? vRtti SaktiH ezAm kAryatvena upacaritA svam AtmAnam
   yunaktīti / taccāyuktam / kasmāt ? hetvantarābhidhānāt / yadi vṛttyā	yunakti iti / tat ca ayuktam / kasmAt ? hetu antara aBiDAnAt / yadi vRttyA
   grahaṇaṃ puruṣasya sūpapādamabhaviṣyat saṃhatapārārthyamācāryo hetutvena	grahaNam puruzasya sUpa pAdam aBavizyat saMhata pAra arTyam AcAryaH hetu tvena
   nāvakṣyat / taccāvṛttibhūtamityavaśyaṃ	na avakzyat / tat ca avRtti BUtam iti avaSyam
   śeṣavatsāmānyatodṛṣṭayorarthāntarabhāvo 'bhyupagantavyaḥ / tasmāt siddhaṃ	Sezavat sAmAnyatodRzwayoH arTa antara BAvaH aByupagantavyaH / tasmAt sidDam
   sāmānyatodṛṣṭādatīndriyāṇāmarthānāṃ samadhigamaḥ /	sAmAnyatodRzwAt ati indriyANAm arTAnAm samaDigamaH /
        tasya prayogamātrabhedāddvaividhyam / vītaḥ avīta iti /	tasya prayoga mAtra BedAt dvEviDyam / vItaH avItaH iti /
   tayorlakṣaṇamāmananti 	tayoH lakzaNam Amananti 
        yadā hetuḥ svarūpeṇa sādhyasiddhau prayujyate /	yadA hetuH sva rUpeNa sADya sidDO prayujyate /
        sa vīto 'rthānarākṣepāditaraḥ pariśeṣitaḥ //	sa vItaH arTAnara AkzepAditaraH pariSezitaH //
        svarūpaṃ hi sādhanasya dvividham  sādhāraṇamasādhāraṇaṃ ca / tatra	svarUpam hi sADanasya dviviDam sADAraNam asADAraNam ca / tatra
   sādhāraṇaṃ sādhyasahabhāvī tatpratipattihetutvena yathāvadāśrīyamāṇo	sADAraNam sADya sahaBAvI tad pratipatti hetu tvena yaTAvat ASrIyamANaH 
   'rthātmā / asādhāraṇaṃ punaḥ parimāṇamanvayaḥ saṃghātaparārthatvamityādi /	arTa AtmA / asADAraNam punar parimANam anvayaH saMGAta parArTa tvam ityAdi /
   tatra yadā hetuḥ parapakṣamapekṣya yathārthena svarūpeṇa	tatra yadA hetuH para pakzam apekzya yaTArTena sva rUpeNa
   sādhyasiddhāvupadiśyate tadā vītākhyo bhavati / yadā tu	sADya sidDO= upadiSyate tadA vIta AKyaH Bavati / yadA tu
   svasādhyādarthāntarabhūtānāṃ prasaṃgināṃ kṣepamapohaṃ kṛtvā pariśeṣataḥ	sva sADyAt arTa antara BUtAnAm prasaMginAm kzepam apoham kRtvA pariSezataH
   sādhyasiddhāvapadiśyate tadāvītākhyo bhavati / tadyathā na cet	sADya sidDO= apadiSyate tadAvIta AKyaH Bavati / tat yaTA na ced 
   paramāṇupuruṣeśvarakarmadaivakālasvabhāvayadṛcchābhyo jagadutpattiḥ	paramANu puruza ISvara karma dEva kAla svaBAva yadRcCAByaH jagat utpattiH
   sambhavati pariśeṣataḥ pradhānāditi tadā punaravītākhyo bhavati / tatra	samBavati pariSezataH praDAnAt iti tadA punar avIta AKyaH Bavati / tatra
   yadā vīto hetuḥ svabuddhāvavahitavijñānasarūpaṃ vijñānāntaramādadhānena	yadA vItaH hetuH sva budDO= avahita vijQAna sarUpam vijQAna antaram AdaDAnena
   vaktrā pratipādyādau vākyabhāvamupanīyate /vākyamantareṇārthasya	vaktrA pratipAdya AdO vAkya BAvam upanIyate /vAkyam antareNa arTasya
   buddhyantare saṃkrāmayitumaśakyatvāt, tadāvayavivākyaṃ parikalpyate /	budDi antare saMkrAmayitum aSakyatvAt, tadA avaya vi vAkyam parikalpyate /
        tasya punaravayavāḥ	tasya punar avayavAH
   jijñāsāsaṃśayaprayojanaśakyaprāptisaṃśayavyudāsalakṣaṇāśca vyākhyāṅgam /	jijQAsA saMSaya prayojana Sakya prApti saMSaya vyudAsa lakzaNAH ca vyAKyA aFgam /
   pratijñāhetudṛṣṭāntopasaṃhāranigamanāni parapratipādanāṅgamiti /	pratijQA hetu dRzwAnta upasaMhAra nigamanAni para pratipAdana aFgam iti /
        tatra jñātumicchā jijñāsā / kaścit kaṃcidupasadyāha  puruṣaṃ	tatra jQAtum icCA jijQAsA / kaScid kaMcid upasadya aha puruzam
   jñātumicchāmi / kimasti nāstīti ? kutaḥ saṃśaya iti paryanuyuktaḥ	jQAtum icCAmi / kim asti na asti iti ? kutas saMSayaH iti paryanuyuktaH
   pratyāha  anupalabhyamānasyobhayathā dṛṣṭatvāt /	pratyAha anupalaByamAnasya uBayaTA dRzwa tvAt /
   ihānupalabhyamānamubhayathā dṛṣṭam  sadbhūtamasadbhūtaṃ ceti / sadbhūtaṃ	iha anupalaByamAnam uBayaTA dRzwam sat BUtam asat BUtam ca iti / sadBUtam
   cārkendumaṇḍalāparabhāgādi, asadbhūtaṃ ca śaśaviṣāṇādi / ayamapi cātmā	ca arka indu maNxalApara BAga Adi, asat BUtam ca SaSa vizANa Adi / ayam api ca AtmA
   nopalabhyate / ataḥ saṃśayaḥ kimasti nāstīti ? kimasyāścintāyāḥ	na upalaByate / atas saMSayaH kim asti na asti iti ? kim asyAH cintAyAH
   prayojanamiti pṛṣṭo vyācaṣṭe   śāstratattvādhigamaḥ, tataśca mokṣāvāptiḥ /	prayojanam iti pRzwaH vyAcazwe  SAstra tattva aDigamaH, tatas ca mokza avAptiH /
   kathamiti ? yadi tāvadayamātmāsti tato 'sya	kaTam iti ? yadi tAvat ayam AtmA asti tatas asya
   aprakṛtitvaudāsīnyavibhutvādisattvavijñānānnairātmyabhrāntivipakṣabhūtādapavargaprāptiravaśyaṃbhāvinīti	aprakRti tva OdAsInya viButva Adi sattva vijQAnAt nErAtmya BrAnti vipakza BUtAt apavarga prAptiH avaSyaMBAvinI iti
   yaduktam vyaktāvyaktajñavijñānānmokṣo 'vāpyata iti tacchāstramarthavad	yat uktam vyakta avyakta jQa vijQAnAt mokzaH avApyate iti tat SAstram arTavat 
   bhavatīti / atha nāstīti niścīyate tena sāmānyatodṛṣṭādanumānāttadvadanye	Bavati iti / aTa na asti iti niScIyate tena sAmAnyatodRzwAt anumAnAt tadvat anye
   'pi padārthā na santīti vipralambhabhūyiṣṭhamārṣaṃ	api padArTAH na santi iti vipralamBa BUyizWam Arzam
   darśanamapahāyātmagrahadṛṣṭivigamāllokottarmavalambanaṃ śūnyaṃ	darSanam apahAya Atma graha dRzwi vigamAt loka uttarmavalambanam SUnyam
   dhyānaviṣayamupasamprāptastraidhātukakleśanirodhalakṣaṇamātyantikaṃ	DyAna vizayam upasamprAptaH trEDAtuka kleSa niroDa lakzaNam Atyantikam
   nirvāṇamavāpsyatīti / śakyaścāyamartho niścetum, pramāṇatrayaparigrahāditi	nirvANam avApsyati iti / SakyaH ca ayam arTaH niScetum, pramANa traya parigrahAt iti
   vyavasthite, vyudāsya saṃśayaṃ sādhyāvadhāraṇaṃ pratijñā / sādhyasya	vyavasTite, vyudAsya saMSayam sADya avaDAraNam pratijQA / sADyasya
   yadavadhāraṇamasti puruṣa iti sā pratijñā /	yat avaDAraNam asti puruzaH iti sA pratijQA /
