   Abhinanda: Kādambarīkathāsāra	ABinanda: KAt-ambarI-kaTA-sAra
   sa tadguṇaprabhāvarddhivardhamānakutūhalaḥ /	sa tad-guNa-praBAva-RdDi-varDamAna-kutUhalaH /
   tām avocata mādhuryavinayodārayā girā // AKad_4.1 //	tAm avocata mADurya-vinaya-udArayA girA // AKat-_4.1 //
   tvatprasādakṛtenaiva prāgalbhyena mamāmunā /	tvad-prasAda-kRtena-eva prAgalByena mama-amunA /
   mano bhagavati praśnacāpale viniyujyate // AKad_4.2 //	manaH Bagavati praSna-cApale viniyujyate // AKat-_4.2 //
   na mādṛśadṛśāṃ bhūmir iyam āścaryasaṃtatiḥ /	na mAdRSa-dRSAm BUmiH iyam AScarya-saMtatiH /
   tadākhyānaprasādena jano 'yam anugṛhyatām // AKad_4.3 //	tad-AKyAna-prasAdena janaH ayam anugRhyatAm // AKat-_4.3 //
   katamo munigandharvasiddhavidyādharādiṣu /	katamaH muni-ganDarva-sidDa-vidyADara-Adizu /
   puṇyena janmanā vaṃśo bhagavatyā vibhūṣitaḥ // AKad_4.4 //	puNyena janmanA vaMSaH BagavatyA viBUzitaH // AKat-_4.4 //
   pañcabhūtātmakaṃ cedaṃ dhatte dhavalatāṃ vapuḥ /	paQcaBUta-Atmakam ca-idam Datte Davala-tAm vapuH /
   kathaṃ kām api digdantidantakāntyatiśāyinīm // AKad_4.5 //	kaTam kAm api digdanti-dantakAnti-atiSAyinIm // AKat-_4.5 //
   nave vayasi kiṃ cātitīvravairāgyakāraṇam /	nave vayasi kim ca-ati-tIvra-vErAgya-kAraNam /
   yenāraṇyanivāsādi duḥkham īdṛg viṣahyate // AKad_4.6 //	yena-araNya-nivAsa-Adi duHKam IdRS vizahyate // AKat-_4.6 //
   iti tasmin vadaty eva sthūlāśrukaṇavarṣiṇī /	iti tasmin vadati eva sTUla-aSru-kaNa-varziNI /
   ruroda valkalacchannavadanā divyakanyakā // AKad_4.7 //	ruroda valkala=-Canna-vadanAH divya-kanyakA // AKat-_4.7 //
   akampata manaś caināṃ candrāpīḍasya paśyataḥ /	akampata manaH ca-enAm candrApIxasya paSyataH /
   iyam apy ākṛtir nāma duḥkhair yad abhibhūyate // AKad_4.8 //	iyam api AkRtiH nAma duHKEH yat aBiBUyate // AKat-_4.8 //
   asau ciraṃ ruditvā tu valkalonmṛṣṭalocanā /	asO ciram ruditvA tu valkala-unmRzwa-locanA /
   dīrgham uṣṇaṃ ca niḥśvasya vyāhartum upacakrame // AKad_4.9 //	dIrGam uzNam ca niHSvasya vyAhartum upacakrame // AKat-_4.9 //
   rājaputra kim etena śokaikavasater mama /	rAja-putra kim etena Soka-eka-vasateH mama /
   pāpāyā mandabhāgyāyā vṛttāntena śrutena te // AKad_4.10 //	pApAyAH mandaBAgyAyAH vRttAntena Srutena te // AKat-_4.10 //
   tathāpi yadi te cittaṃ kutūhalavaśīkṛtam /	taTA-api yadi te cittam kutUhala-vaSIkRtam /
   tad idaṃ varṇyate sarvam ākarṇaya yathākramam // AKad_4.11 //	tat idam varNyate sarvam AkarNaya yaTAkramam // AKat-_4.11 //
   suprasiddham idaṃ tāvat tava śrutipathaṃ gatam /	su-prasidDam idam tAvat tava Sruti-paTam gatam /
   yat santy apsaraso nāma surasadmani kanyakāḥ // AKad_4.12 //	yat santi apsarasaH nAma sura-sadmani kanyakAH // AKat-_4.12 //
   caturdaśa ca tadvaṃśāḥ pṛthakpṛthagavasthitāḥ /	caturdaSa ca tad-vaMSAH pRTak-pRTak-avasTitAH /
   somāmṛtasamīrārkadakṣakanyādisambhavāḥ // AKad_4.13 //	soma-amRta-samIra-arka-dakza-kanyA-Adi-samBavAH // AKat-_4.13 //
   dakṣakanyodbhavaṃ teṣu gandharvāṇāṃ kuladvayam /	dakza-kanyA-udBavam tezu ganDarvANAm kula-dvayam /
   kanye munir ariṣṭeti dve dakṣasya babhūvatuḥ // AKad_4.14 //	kanye muniH arizwa-iti dve dakzasya baBUvatuH // AKat-_4.14 //
   tatra citraratho nāma gandharvāṇām adhīśvaraḥ /	tatra citraraTaH nAma ganDarvANAm aDISvaraH /
   muneḥ śrutayaśāḥ putraś citrasenādipūrvajaḥ // AKad_4.15 //	muneH SrutayaSAH putraH citrasena-Adi-pUrvajaH // AKat-_4.15 //
   tumburuprabhṛtīnāṃ tu jyeṣṭho 'riṣṭhāsutaḥ kṛtī /	tumburu-praBRtInAm tu jyezWaH arizWA-sutaH kRtI /
   haṃsābhidhāno gandharvarājaḥ prathitapauruṣaḥ // AKad_4.16 //	haMsa-aBiDAnaH ganDarva-rAjaH praTita-pOruzaH // AKat-_4.16 //
   akṛtrimam anutpannam anyukāluṣyadūṣaṇam /	akRtrimam anutpannam anyu-kAluzya-dUzaNam /
   rūḍhaṃ parasparaṃ prema tayor gandharvarājayoḥ // AKad_4.17 //	rUXam parasparam prema tayoH ganDarva-rAjayoH // AKat-_4.17 //
   itaś ca nātidūre 'sti nānāratnojjvalo giriḥ /	itas ca na-ati-dUre asti nAnA-ratna-ujjvalaH giriH /
   hemakūṭa iti khyātaḥ sa nivāsas tayor dvayoḥ // AKad_4.18 //	hemakUwaH iti KyAtaH sa nivAsaH tayoH dvayoH // AKat-_4.18 //
   tasmin vasanty asaṃkhyātās tadbhujastambhasaṃśritāḥ /	tasmin vasanti asaMKyAtAH tad-Buja-stamBa-saMSritAH /
   gandharvās tau ca visrambhabhūmir janmadviṣaḥ parā // AKad_4.19 //	ganDarvAH tO ca visramBa-BUmiH janma-dvizaH parA // AKat-_4.19 //
   atha yat somasambhūtam ekam apsarasāṃ kulam /	aTa yat soma-samBUtam ekam apsarasAm kulam /
   gaurī nāmodabhūt kanyā tasmin pratikṛtir vidhoḥ // AKad_4.20 //	gOrI nAma-udaBUt kanyA tasmin pratikRtiH viDoH // AKat-_4.20 //
   haṃso gandharvarājas tām udūhe tuhinaprabhām /	haMsaH ganDarva-rAjaH tAm udUhe tuhina-praBAm /
   tato yathārthaṃ nāmāpa sarvathā haṃsagāminī // AKad_4.21 //	tatas yaTArTam nAma-apa sarvaTA haMsa-gAminI // AKat-_4.21 //
   cirasambhṛtavisrambhanirbharaṃ gṛhavāsinoḥ /	cira-samBRta-visramBa-nirBaram gRha-vAsinoH /
   tayor udabhavat sūnur eko 'pi na mahātmanoḥ // AKad_4.22 //	tayoH udaBavat sUnuH ekaH api na mahAtmanoH // AKat-_4.22 //
   ahaṃ tu mandabhāgyaikā kanyā duṣkṛtakāriṇī /	aham tu mandaBAgyA-ekA kanyA duzkRta-kAriNI /
   udabhūvaṃ tayor asya duḥkhabhārasya bhājanam // AKad_4.23 //	udaBUvam tayoH asya duHKa-BArasya BAjanam // AKat-_4.23 //
   anapatyatayā tāto majjanma sutajanmavat /	anapatya-tayA tAtaH majjanma suta-janma-vat /
   abhyanandatkṛtānandaḥ kṛtodāramahotsavaḥ // AKad_4.24 //	aByanandat-kRta-AnandaH kRta-udAra-mahA-utsavaH // AKat-_4.24 //
   dehacchāyām imāṃ vīkṣya tātaḥ somakramāgatām /	deha=-CAyAm imAm vIkzya tAtaH soma-krama-AgatAm /
   cakre varṇānurūpaṃ sa mahāśveteti nāma me // AKad_4.25 //	cakre varNa-anurUpam sa mahA-SvetA-iti nAma me // AKat-_4.25 //
   sāhaṃ pitṛgṛhe bālā vallakīva kalasvanā /	sA-aham pitR-gRhe bAlA vallakI-iva kala-svanA /
   saṃcarantī svabandhūnāmaṅkādaṅkamaharniśam // AKad_4.26 //	saMcarantI sva-banDUnAm-aFkAt-aFkam-aharniSam // AKat-_4.26 //
   anavāptarasāsvādasnehādidvandvasaṃtatiḥ /	anavApta-rasa-AsvAda-sneha-Adi-dvandva-saMtatiH /
   atyavāhayamakleśapeśalasthiti śaiśavam // AKad_4.27 //	atyavAhayam-akleSa-peSala-sTiti SESavam // AKat-_4.27 //
   yugalakam	yugalakam
   atha bālyāt paraṃ prāpam ahaṃ nānārasāspadam /	aTa bAlyAt param prApam aham nAnA-rasa-Aspadam /
   manobhavavikārāṇām ekam āyatanaṃ vayaḥ // AKad_4.28 //	manoBava-vikArANAm ekam Ayatanam vayaH // AKat-_4.28 //
   kadācid atha ramyeṣu madhumāsadineṣv aham /	kadAcid aTa ramyezu maDu-mAsa-dinezu aham /
   acchodasarasi snātum āgateha sahāmbayā // AKad_4.29 //	acCoda-sarasi snAtum Agata-iha saha-ambayA // AKat-_4.29 //
   adṛṣṭapūrvām anyatra vibhūtim iha mādhavīm /	adRzwa-pUrvAm anyatra viBUtim iha mADavIm /
   sakhībhiḥ saha paśyantī kānane vyaciraṃ ciram // AKad_4.30 //	saKIBiH saha paSyantI kAnane vyaciram ciram // AKat-_4.30 //
   ekasmiṃstu pradeśe 'nyapuṣpagandhābhibhāvinam /	ekasmin=-tu pradeSe anya-puzpa-ganDa-aBiBAvinam /
   abhyajighramanāghrātapūrvamāmodamadbhutam // AKad_4.31 //	aByajiGramana-AGrAta-pUrvam-Amodam-adButam // AKat-_4.31 //
   tasya prabhavajijñāsārasena vihitatvarā /	tasya praBava-jijQAsA-rasena vihita-tvarA /
   nātidūraṃ tato gatvāpaśyaṃ munikumārakam // AKad_4.32 //	na-ati-dUram tatas gatvA-apaSyam muni-kumArakam // AKat-_4.32 //
   aspṛṣṭam iva kandarpam īśānanayanārciṣā /	aspRzwam iva kandarpam ISAna-nayana-arcizA /
   kalaṅkavipruṣā bimbam adūṣitam ivaindavam // AKad_4.33 //	kalaFka-vipruzAH bimbam adUzitam iva-Endavam // AKat-_4.33 //
   viruddhair api rūpasya mekhalājinavalkalaiḥ /	virudDEH api rUpasya meKalA-ajina-valkalEH /
   kṛtādhikamanohārirūpātiśayavibhramam // AKad_4.34 //	kRta-aDika-manohAri-rUpa-atiSaya-viBramam // AKat-_4.34 //
   tena karṇe kṛtā kācid apūrvatarumañjarī /	tena karNe kRtA kAcid apUrvataru-maQjarI /
   tataḥ pravṛttam āmodaṃ samāghrātavatī muhuḥ // AKad_4.35 //	tatas pravRttam Amodam samAGrAtavatI muhur // AKat-_4.35 //
   taṃ kuto 'py āgataṃ kāntaṃ lāvaṇyāmṛtanirjharam /	tam kutas api Agatam kAntam lAvaNya-amRta-nirJaram /
   cakṣuṣā sampibantīva kautukotkṣiptapakṣmaṇā // AKad_4.36 //	cakzuzA sampibanti-iva kOtuka-utkzipta-pakzmaNA // AKat-_4.36 //
   rūpaikapakṣapātena guṇadoṣānapekṣiṇā /	rUpa-eka-pakza-pAtena guNa-doza-an-apekziNA /
   tataḥ kusumabāṇena nītāsi vaśam ātmanaḥ // AKad_4.37 //	tatas kusuma-bANena nItA-asi vaSam AtmanaH // AKat-_4.37 //
   tato 'pasartukāmāham apragalbhatayā muhuḥ /	tatas apasaRtu-kAmA-aham apragalBa-tayA muhur /
   kenāpi preryamāṇeva tadantikam upāgamam // AKad_4.38 //	kena-api preryamANA-iva tad-antikam upAgamam // AKat-_4.38 //
   vandyo munijanaś ceti pracalanmaṇikuṇḍalam /	vandyaH muni-janaH ca-iti pracalat-maNi-kuNxalam /
   akārṣaṃ vandanaṃ tasmai tanmukhanyastalocanā // AKad_4.39 //	akArzam vandanam tasmE tad-muKa-nyasta-locanA // AKat-_4.39 //
   tataḥ kṛtapraṇāmāyāṃ mayi so 'pi manobhuvaḥ /	tatas kRta-praNAmAyAm mayi saH api manoBuvaH /
   patito gocare citram alaṅghyā bhavitavyatā // AKad_4.40 //	patitaH gocare citram alaFGyA Bavitavya-tA // AKat-_4.40 //
   smaropadiṣṭayevātha buddhvā tadvikṛtiṃ dhiyā /	smara-upadizwayA-iva-aTa budDvA tad-vikRtim DiyA /
   labdhāsthā tatsvarūpādipraśnaprāgalbhyam āgamam // AKad_4.41 //	labDa-AsTA tad-svarUpa-Adi-praSna-prAgalByam Agamam // AKat-_4.41 //
   atha pārśvastham aprākṣam anyaṃ munikumārakam /	aTa pArSva-sTam aprAkzam anyam muni-kumArakam /
   tulyatejas tapoveṣaṃ tasya sabrahmacārinam // AKad_4.42 //	tulya-tejaH tapaH-vezam tasya sa-brahmacArinam // AKat-_4.42 //
   bhagavan kathyatāṃ ko 'yaṃ kimākhyaḥ kim ihāgataḥ /	Bagavan kaTyatAm kaH ayam kimAKyaH kim iha-AgataH /
   karṇe ca nihitānena kasyeyaṃ mañjarī taroḥ // AKad_4.43 //	karNe ca nihitA-anena kasya-iyam maQjarI taroH // AKat-_4.43 //
   so 'bravīt suraloke 'sti surāsuraśirorcitaḥ /	saH abravIt sura-loke asti sura-asura-SirorcitaH /
   śvetaketur iti khyāto rūpeṇāpratimo muniḥ // AKad_4.44 //	SvetaketuH iti KyAtaH rUpeNa-apratimaH muniH // AKat-_4.44 //
   puṇḍarīkasaraḥ snātum agamat sa kadācana /	puNxarIka-saraH snAtum agamat sa kadAcana /
   nityaṃ saṃnihitā tatra lakṣmīr enaṃ vyalokayat // AKad_4.45 //	nityam saMnihitA tatra lakzmIH enam vyalokayat // AKat-_4.45 //
   sā tadāliṅganeneva darśanenaiva kevalam /	sA tad-AliFganena-iva darSanena-eva kevalam /
   puṇḍarīke kṛtārthatvam avāpa svāsanīkṛte // AKad_4.46 //	puNxarIke kRtArTa-tvam avApa svAsanIkRte // AKat-_4.46 //
   udapādi tadaivāsya kumāraḥ sa tayā śriyā /	udapAdi tadA-eva-asya kumAraH sa tayA SriyA /
   tava putro 'yam ity uktvā nyavedi śvetaketave // AKad_4.47 //	tava putraH ayam iti uktvA nyavedi Svetaketave // AKat-_4.47 //
   so 'pi yogadṛśā dṛṣṭvā yathāvat sutam agrahīt /	saH api yoga-dRSA dRzwvA yaTAvat sutam agrahIt /
   nāma janmocitaṃ cāsya puṇḍarīka iti vyadhāt // AKad_4.48 //	nAma janma-ucitam ca-asya puNxarIkaH iti vyaDAt // AKat-_4.48 //
   yojayāmāsa saṃskārair enaṃ munijanocitaiḥ /	yojayAmAsa saMskArEH enam muni-jana-ucitEH /
   atīte bālabhāve ca nyayuṅkta tapase pitā // AKad_4.49 //	atIte bAla-BAve ca nyayuFkta tapase pitA // AKat-_4.49 //
   ayaṃ sa puṇḍarīkas te varṇitaḥ śṛṇu mañjarīm /	ayam sa puNxarIkaH te varNitaH SRNu maQjarIm /
   caturdaśīti kṛtvādya prasthito 'yaṃ śivālayam // AKad_4.50 //	caturdaSI-iti kRtvA-adya prasTitaH ayam Siva-Alayam // AKat-_4.50 //
   vrajato nandanenāsya vanadevatayā svayam /	vrajataH nandanena-asya vana-devatayA svayam /
   tvadākṛter alaṅkāras tulyo 'yam iti sādaram // AKad_4.51 //	tvad-AkRteH alaFkAraH tulyaH ayam iti sa-Adaram // AKat-_4.51 //
   pārijātadrumād eṣā dugdhodadhisamudbhavāt /	pArijAta-drumAt ezA dugDa-udaDi-samudBavAt /
   ādāya mañjarī karṇe 'nicchato 'pi niveśitā // AKad_4.52 //	AdAya maQjarI karNe anicCataH api niveSitAH // AKat-_4.52 //
   *yugalakam*	*yugalakam*
   iti tasmin vadaty eva capale gṛhyatām iyam /	iti tasmin vadati eva capale gRhyatAm iyam /
   kim anena tava praśnalobhenety abhidhāya mām // AKad_4.53 //	kim anena tava praSna-loBena-iti aBiDAya mAm // AKat-_4.53 //
   anāyi muninā tena sā suradrumamañjarī /	anAyi muninA tena sA suradruma-maQjarI /
   apanīya nijāt karṇān mama karṇāvataṃsatām // AKad_4.54 //	apanIya nijAt karNAt mama karNa-avataMsa-tAm // AKat-_4.54 //
   *yugalakam*	*yugalakam*
   matkapolatalasparśaprakampataralāṅguleḥ /	mad-kapola-tala-sparSa-prakampa-tarala-aFguleH /
   tena praskhalitā hastād akṣamālā na lakṣitā // AKad_4.55 //	tena prasKalitA hastAt akza-mAlA na lakzitA // AKat-_4.55 //
   aprāptaiva ca sā bhūmiṃ gṛhītā sahasā mayā /	aprAptA-eva ca sA BUmim gRhItA sahasA mayA /
   asminn avasare chattragrāhiṇī mām avocata // AKad_4.56 //	asmin avasare Cattra-grAhiNI mAm avocata // AKat-_4.56 //
   snātā devī ciraṃ bhartṛdārike gamyatām iti /	snAtA devI ciram BartR-dArike gamyatAm iti /
   tataḥ pratinivṛttāyāṃ mayi taṃ sa sakhāvadat // AKad_4.57 //	tatas pratinivRttAyAm mayi tam sa saKA-avadat // AKat-_4.57 //
   vayasya kim idaṃ cetas tava viplutam īdṛśam /	vayasya kim idam cetaH tava viplutam IdRSam /
   hṛtām apy anayājñāsīr akṣamālāṃ na kanyayā // AKad_4.58 //	hRtAm api anayA-AjQAsIH akzamAlAm na kanyayA // AKat-_4.58 //
   hṛtā nāmeyam anayā hṛdayaṃ nanu rakṣyatām /	hRtA nAma-iyam anayA hRdayam nanu rakzyatAm /
   tato 'sau punar āgatya kṛtakopam ivāvadat // AKad_4.59 //	tatas asO punar Agatya kRta-kopam iva-avadat // AKat-_4.59 //
   apahṛtyākṣamālāṃ me kva cauri nanu gamyate /	apahRtya-akzamAlAm me kva cOri nanu gamyate /
   atha mandaṃ vihasyeva mayāsya nihitā kare // AKad_4.60 //	aTa mandam vihasya-iva mayA-asya nihitA kare // AKat-_4.60 //
   avamucyākṣamāleti kaṇṭhān muktāvalī nijāt /	avamucya-akza-mAlA-iti kaNWAt muktA-AvalI nijAt /
   sāpy alakṣyata nānena manmukhāsaktadṛṣṭinā // AKad_4.61 //	sA-api alakzyata na-anena mad-muKa-Asakta-dRzwinA // AKat-_4.61 //
   *yugalakam*	*yugalakam*
   sakhībhir api me dṛṣṭam idaṃ cāpalam ity aham /	saKIBiH api me dRzwam idam cApalam iti aham /
   kiñcitsaṃjātalajjeva sarasastīram āgamam // AKad_4.62 //	kiQcid-saMjAta-lajjA-iva sarasaH-tIram Agamam // AKat-_4.62 //
   atrāham asvatantraiva kṣaṇaṃ snātvā yathā tathā /	atra-aham asvatantra-eva kzaNam snAtvA yaTA taTA /
   agaccham ambayā sākaṃ tadguṇādhyāyinī gṛham // AKad_4.63 //	agacCam ambayA sAkam tad-guNa-aDyAyinI gRham // AKat-_4.63 //
   gatvā savedanāsmīti visṛjya sakalāḥ sakhīḥ /	gatvA sa-vedanA-asmi-iti visRjya sakalAH saKIH /
   praviśyaikākinī geham āsaṃ mohavisaṃsthulā // AKad_4.64 //	praviSya-ekAkinI geham Asam moha-visaMsTulA // AKat-_4.64 //
   kva gatāsmi kim uktāsmi tena ko 'sāvahaṃ ca kā /	kva gatA-asmi kim uktA-asmi tena kaH asO=-aham ca kA /
   kim idaṃ kaḥ prakāro 'yam iti nājñāsiṣaṃ tadā // AKad_4.65 //	kim idam kaH prakAraH ayam iti na-AjQAsizam tadA // AKat-_4.65 //
   muhūrtād eva tāmbūlakaraṅkagrāhiṇī mama /	muhUrtAt eva tAmbUla-karaFka-grAhiNI mama /
   priyā taralikā nāma praviśyedam athābravīt // AKad_4.66 //	priyA taralikA nAma praviSya-idam aTa-abravIt // AKat-_4.66 //
   karṇe munikumāreṇa kṛtā te yena mañjarī /	karNe muni-kumAreNa kRtA te yena maQjarI /
   tvayyāgatāyāṃ pṛṣṭāsmi svarūpaṃ tena tāvakam // AKad_4.67 //	tvayi-AgatAyAm pRzwA-asmi svarUpam tena tAvakam // AKat-_4.67 //
   tacchrutvā ca svayaṃ tena likhitvā vastrapaṭṭikā /	tat-SrutvA ca svayam tena liKitvA vastra-pawwikA /
   ekākinyai tvayā tasyai deyetyuktvā samarpitā // AKad_4.68 //	ekAkinyE tvayA tasyE deyA-iti-uktvA samarpitAH // AKat-_4.68 //
   tatas taralikāyās tāṃ hastād ādāya paṭṭikām /	tatas taralikAyAH tAm hastAt AdAya pawwikAm /
   tasyāṃ tu likhitām āryām imām aham avācayam // AKad_4.69 //	tasyAm tu liKitAm AryAm imAm aham avAcayam // AKat-_4.69 //
   dūraṃ muktālatayā bisasitayā vipralobhyamāno me /	dUram muktAlatayA bisa-sitayA vipraloByamAnaH me /
   haṃsa iva darśitāśo mānasajanmā tvayā nītaḥ // AKad_4.70 //	haMsaH iva darSita-ASaH mAnasa-janmA tvayA nItaH // AKat-_4.70 //
   sā tu taimirikasyeva babhūva bahulakṣapā /	sA tu tEmirikasya-iva baBUva bahu-lakzapA /
   mohāyāryāpy anāryeva sutarāṃ manaso mama // AKad_4.71 //	mohAya-AryA-api anAryA-iva sutarAm manasaH mama // AKat-_4.71 //
   vada tena kim uktāsi sa kim uktas tvayāpi vā /	vada tena kim uktA-asi sa kim uktaH tvayA-api vA /
   tadantike ca visrabdham uṣiṭāsi kiyacciram // AKad_4.72 //	tad-antike ca visrabDam uziwA-asi kiyat-ciram // AKat-_4.72 //
   itthaṃ taralikāṃ tat tad ālapantī punaḥ punaḥ /	itTam taralikAm tat tat AlapantI punar punar /
   kāñcid ahnas tato mātrām unmattevātyavāhayam // AKad_4.73 //	kAQcid ahnaH tatas mAtrAm unmattA-iva-atyavAhayam // AKat-_4.73 //
   atha pralambamāne 'rke pratīhārī praviśya me /	aTa pralambamAne arke pratIhArI praviSya me /
   bhartṛdārikayā dṛṣṭau yau tau munikumārakau // AKad_4.74 //	BartR-dArikayA dRzwO yO tO muni-kumArakO // AKat-_4.74 //
   tayor anyataro dvāri tiṣṭhatīti nyavedayat /	tayoH anyataraH dvAri tizWati-iti nyavedayat /
   śīghraṃ praveśayety uktā mayā tadabhiśaṅkayā // AKad_4.75 //	SIGram praveSaya-iti uktA mayA tad-aBiSaFkayA // AKat-_4.75 //
   sā ca praveśayāmāsa tasya taṃ sahacāriṇam /	sA ca praveSayAmAsa tasya tam sahacAriNam /
   satkāreṇocitenāhaṃ bhaktyā cainam apūjayam // AKad_4.76 //	satkAreNa-ucitena-aham BaktyA ca-enam apUjayam // AKat-_4.76 //
   muhūrtam iva viśramya paryaṅke madupāhṛte /	muhUrtam iva viSramya paryaFke mad-upAhRte /
   maduttarīyasaṃmṛṣṭasudhautacaraṇadvayaḥ // AKad_4.77 //	mad-uttarIya-saMmRzwa-su-DOta-caraNa-dvayaH // AKat-_4.77 //
   dṛṣṭiṃ taralikāyāṃ sa vaktukāmaḥ kṣaṇaṃ nyadhāt /	dRzwim taralikAyAm sa vaktu-kAmaH kzaNam nyaDAt /
   mayā so 'jñāyi pṛṣṭas tu lajjamāna ivābhyadhāt // AKad_4.78 //	mayA saH ajQAyi pRzwaH tu lajjamAnaH iva-aByaDAt // AKat-_4.78 //
   ahaṃ kapiñjalo nāma tasya bālasuhṛn muneḥ /	aham kapiQjalaH nAma tasya bAla-suhRd muneH /
   na vāk pravartate me 'sminn anabhyasta ivādhvani // AKad_4.79 //	na vAc pravartate me asmin anaByastaH iva-aDvani // AKat-_4.79 //
   kvāyaṃ munijanaḥ śāntaḥ kva cāmī rāgavibhramāḥ /	kva-ayam muni-janaH SAntaH kva ca-amI rAga-viBramAH /
   tathāpi vyavasāyo 'yaṃ suhṛtsnehavaśānugaḥ // AKad_4.80 //	taTA-api vyavasAyaH ayam suhRd-sneha-vaSa-anugaH // AKat-_4.80 //
   tad ucyate prayātāyāṃ rājaputri tadā tvayi /	tat ucyate prayAtAyAm rAja-putri tadA tvayi /
   haste muktāvalīṃ bibhrat sa madantikam āgataḥ // AKad_4.81 //	haste muktA-AvalIm biBrat sa mad-antikam AgataH // AKat-_4.81 //
   aho ramyākṣamāleyaṃ tvayānīteti tatkṣaṇam /	aho ramya-akza-mAlA-iyam tvayA-AnIta-iti tad-kzaNam /
   vihasya sa mayā noktaḥ kiñcic cintopaśāntaye // AKad_4.82 //	vihasya sa mayA na-uktaH kiQcid cintA-upaSAntaye // AKat-_4.82 //
   nopadeśaprakāro 'sau na sa dṛṣṭāntavistaraḥ /	na-upadeSa-prakAraH asO na sa dRzwAnta-vistaraH /
   na so 'sty upāyo mantro vā yo mayā nābhyadhīyata // AKad_4.83 //	na saH asti upAyaH mantraH vA yaH mayA na-aByaDIyata // AKat-_4.83 //
   vacobhiḥ khidyamāno me trapānataśirodharaḥ /	vacoBiH KidyamAnaH me trapAnata-SiroDaraH /
   kṣaṇam antarhito mattaḥ sutarāṃ mām apīḍayat // AKad_4.84 //	kzaNam antarhitaH mattaH sutarAm mAm apIxayat // AKat-_4.84 //
   kṛcchrād iva mayā labdho vicitya sakalaṃ vanam /	kRcCrAt iva mayA labDaH vicitya sakalam vanam /
   anya eva sa saṃvṛtto vacasāṃ yo na gocaraḥ // AKad_4.85 //	anyaH eva sa saMvRttaH vacasAm yaH na gocaraH // AKat-_4.85 //
   tadavasthaṃ samālokya vigatāśaḥ prabodhane /	tad-avasTam samAlokya vigata-ASaH praboDane /
   ahaṃ tatprāṇarakṣārtham evaṃ yatnaparo 'bhavam // AKad_4.86 //	aham tad-prANa-rakzA-arTam evam yatna-paraH aBavam // AKat-_4.86 //
   āstīrya nalinīpattraśayanaṃ candanokṣitam /	AstIrya nalinI-pattra-Sayanam candana-ukzitam /
   tatrasthasyāsya karpūrapāṃsūn aṅgeṣv avākiram // AKad_4.87 //	tatrasTasya-asya karpUra-pAMsUn aFgezu avAkiram // AKat-_4.87 //
   trapayā tadavastho 'pi sa kiñcid vaktum akṣamaḥ /	trapayA tad-avasTaH api sa kiQcid vaktum akzamaH /
   sabāṣpamalināṃ dīnāṃ mayi dṛṣṭim apātayat // AKad_4.88 //	sa-bAzpa-malinAm dInAm mayi dRzwim apAtayat // AKat-_4.88 //
   tato 'ham idam evātra prāptakālam acintayam /	tatas aham idam eva-atra prApta-kAlam acintayam /
   rājaputri suhṛtprāṇadakṣiṇārtham upāgataḥ // AKad_4.89 //	rAja-putri suhRd-prANa-dakziNa-arTam upAgataH // AKat-_4.89 //
   ataḥ paraṃ tu sāmarthyagatārthā mama yā giraḥ /	atas param tu sAmarTya-gata-arTAH mama yAH giraH /
   kaṇṭhe viparivartante nūnaṃ tvam api vettha tāḥ // AKad_4.90 //	kaNWe viparivartante nUnam tvam api vetTa tAH // AKat-_4.90 //
   iti tasmin vadaty eva praviśya prāha kañcukī /	iti tasmin vadati eva praviSya prAha kaQcukI /
   tvam asvasthaśarīreti jñātvā devī samāgatā // AKad_4.91 //	tvam asvasTa-SarIrA-iti jQAtvA devI samAgatAH // AKat-_4.91 //
   tac chrutvā janasaṃmardabhīrur yātaḥ kapiñjalaḥ /	tat SrutvA jana-saMmarda-BIruH yAtaH kapiQjalaH /
   na sa prativacaḥ kiñcin māmakīnam apaikṣata // AKad_4.92 //	na sa prativacaH kiQcid mAmakInam apEkzata // AKat-_4.92 //
