   oṃ tatsadbrahmaṇai namaḥ	om tad-sat-brahmaNE namaH
   (aṣṭame vedāpauruṣeyatvādhikaraṇe sūtrāṇi 27-32)	(azwame veda-apOruzeya-tva-aDikaraNe sUtrANi 27-32)
   vedāṃś caike sannikarṣaṃ puruṣākhyāḥ / Jaim_1,1.27 /	vedAn ca-eke sannikarzam puruza-AKyAH / JEm_1,1.27 /
   anityadarśanāc ca / Jaim_1,1.28 /	anitya-darSanAt ca / JEm_1,1.28 /
   uktaṃ tu śabdapūrvatvam / Jaim_1,1.29 /	uktam tu Sabda-pUrva-tvam / JEm_1,1.29 /
   ākhyā pravacanāt / Jaim_1,1.30 /	AKyA pravacanAt / JEm_1,1.30 /
   parantu śrutisāmānyamātram / Jaim_1,1.31 /	parantu Sruti-sAmAnya-mAtram / JEm_1,1.31 /
   kṛte vā viniyogaḥ syāt karmaṇaḥ saṃbandhāt / Jaim_1,1.32 /	kRte vA viniyogaH syAt karmaNaH saMbanDAt / JEm_1,1.32 /
   START MJaiNy 1,1.53-54	START MJENi 1,1.53-54
   aṣṭamādhikaraṇamāracayati -	azwama-aDikaraNam-Aracayati -
   pauruṣyaṃ na vā vedavākyaṃ syātpauruṣyatā /	pOruzyam na vA veda-vAkyam syAt-pOruzya-tA /
   kāṭhakādisamākhyānādvākyatvāccānyavākyavat // MJaiNy_1,1.53 //	kAWaka-Adi-samAKyAnAt-vAkya-tvAt-ca-anya-vAkya-vat // MJENi-_1,1.53 //
   samākhyādhyāpakatvena vākyatvaṃ tu parāhatam /	samAKyA-aDyApaka-tvena vAkya-tvam tu parAhatam /
   tatkartranupalambhena syāttato 'pauruṣeyatā // MJaiNy_1,1.54 //	tad-kartR-anupalamBena syAt-tatas apOruzeya-tA // MJENi-_1,1.54 //
   'kāṭhakam, kauthumam, taittirīyakam' ityādisamākhyā tattadvedaviṣayā loke	akAWakam, kOTumam, tEttirIyakam-a ityAdi-samAKyA tad-tad-veda-vizayAH loke
   dṛṣṭā |	dRzwA |
   taddhitapratyayaśca 'tena proktam' [pāṇi. sū. 4.3.101] ityarthe vartate |	tad-hita-pratyayaH-ca atena proktam-a [pANi. sU. 4.3.101] iti-arTe vartate |
   tathā sati 'vyāsena proktaṃ vaiyāsikaṃ bhāratam' ityādāviva pauruṣeyatvaṃ	taTA sati avyAsena proktam vEyAsikam BAratam-a iti-AdO=-iva pOruzeya-tvam
   pratīyate |	pratIyate |
   kiñca 'vimataṃ vedavākyaṃ pauruṣeyam, vākyatvāt, kālidāsādivākyavat' iti	kiQca avimatam veda-vAkyam pOruzeyam, vAkya-tvAt, kAli-dAsa-Adi-vAkyavat-a iti
   prāpte -	prApte -
   brūmaḥ - adhyayanasaṃpradāyapravartakatvena samākhyopapadyate |	brUmaH  aDyayana-saMpradAya-pravartaka-tvena samAKyA-upapadyate |
   kālidāsādigrantheṣu tattatsargāvasāne kartāra upalabhyante |	kAli-dAsa-Adi-granTezu tad-tad-sarga-avasAne kartAraH upalaByante |
   tathā vedasyāpi pauruṣeyatve tatkartopalabhyeta |	taTA vedasya-api pOruzeya-tve tad-kartA-upalaByeta |
   na copalabhyate |	na ca-upalaByate |
   ato vākyatvahetuḥ pratikūlatarkaparāhataḥ |	atas vAkya-tva-hetuH pratikUla-tarka-parAhataH |
   tasmādapauruṣeyo vedaḥ |	tasmAt-apOruzeyaH vedaH |
   tathā sati puruṣabuddhidoṣakṛtasyāprāmāṇyasyānāśaṅkanīyatvādvidhivākyasya	taTA sati puruza-budDi-doza-kRtasya-aprAmANyasyAnA-SaFkanIya-tvAt-viDi-vAkyasya
   dharme prāmāṇyaṃ susthitam || MJaiNyC_1,1.53-54 ||	Darme prAmANyam susTitam || MJENyC_1,1.53-54 ||
   iti śrīmādhavīye jaiminīyanyāyamālāvistare prathamādhyāyasya prathamaḥ	iti SrImADavIye jEminIya-nyAya-mAlA-vistare praTama-aDyAyasya praTamaH
   pādaḥ //	pAdaH //
   (atha dvitīyaḥ pādaḥ)	(aTa dvitIyaH pAdaH)
   (prathame 'rthavādādhikaraṇe sūtrāṇi 1-18)	(praTame arTavAda-aDikaraNe sUtrANi 1-18)
   āmnāyasya kriyārthatvād ānarthakyam atadarthānāṃ tasmād anityam ucyate /	AmnAyasya kriyA-arTa-tvAt AnarTakyam atad-arTAnAm tasmAt anityam ucyate /
   Jaim_1,2.1 /	JEm_1,2.1 /
   śāstradṛṣṭāvirodhāc ca / Jaim_1,2.2 /	SAstra-dRzwa-aviroDAt ca / JEm_1,2.2 /
   tathāphalābhāvāt / Jaim_1,2.3 /	taTA-aPala-aBAvAt / JEm_1,2.3 /
   anyānarthakyāt / Jaim_1,2.4 /	anya-AnarTakyAt / JEm_1,2.4 /
   abhāgipratiṣedhāc ca / Jaim_1,2.5 /	aBAgi-pratizeDAt ca / JEm_1,2.5 /
   anityasaṃyogāt / Jaim_1,2.6 /	anitya-saMyogAt / JEm_1,2.6 /
   vidhinā tv ekavākyatvāt stutyarthena vidhīnāṃ syuḥ / Jaim_1,2.7 /	viDinA tu eka-vAkya-tvAt stuti-arTena viDInAm syuH / JEm_1,2.7 /
   tulyaṃ ca sāmpradāyikam / Jaim_1,2.8 /	tulyam ca sAmpradAyikam / JEm_1,2.8 /
   aprāptā cānupapattiḥ prayoge hi virodhaḥ syāc chabdārthas tv	aprAptA ca-anupapattiH prayoge hi viroDaH syAt Sabda-arTaH tu-
   aprayogabhūtas tasmād upapadyeta / Jaim_1,2.9 /	aprayoga-BUtaH tasmAt upapadyeta / JEm_1,2.9 /
   guṇavādas tu / Jaim_1,2.10 /	guNavAdaH tu / JEm_1,2.10 /
   rūpāt prāyāt / Jaim_1,2.11 /	rUpAt prAyAt / JEm_1,2.11 /
   dūrabhūyastvāt / Jaim_1,2.12 /	dUra-BUyaH-tvAt / JEm_1,2.12 /
   aparādhāt kartuś ca putradarśanam / Jaim_1,2.13 /	aparADAt kartuH ca putra-darSanam / JEm_1,2.13 /
   ākālikepsā / Jaim_1,2.14 /	AkAlika-IpsA / JEm_1,2.14 /
   vidyāpraśaṃsā / Jaim_1,2.15 /	vidyA-praSaMsA / JEm_1,2.15 /
   sarvatvam ādhikārikam / Jaim_1,2.16 /	sarva-tvam ADikArikam / JEm_1,2.16 /
   phalasya karmaniṣpattes teṣāṃ lokavatparimāṇataḥ phalaviśeṣaḥ syāt /	Palasya karma-nizpatteH tezAm loka-vat-parimANataH Pala-viSezaH syAt /
   Jaim_1,2.17 /	JEm_1,2.17 /
   antyayor yathoktam / Jaim_1,2.18 /	antyayoH yaToktam / JEm_1,2.18 /
   dvitīyapādasya prathamādhikaraṇamāracayati -	dvitIya-pAdasya praTama-aDikaraNam-Aracayati -
   START MJaiNy 1,2.1-3	START MJENi 1,2.1-3
   vāyurvā ityevamāderarthavādasya mānatā /	vAyuH-vA iti-evamAdeH-arTa-vAdasya mAnatA /
   na vidheye 'sti dharme kiṃ kiṃvāsau tatra vidyate // MJaiNy_1,2.1 //	na viDeye asti Darme kim kiMvAsO tatra vidyate // MJENi-_1,2.1 //
   vidhyarthavādaśabdānāṃ mithopekṣāparikṣayāt /	viDi-arTa-vAda-SabdAnAm miTA-upekzA-parikzayAt /
   nāstyekavākyatā dharme prāmāṇyaṃ saṃbhavetkutaḥ // MJaiNy_1,2.2 //	na-asti-eka-vAkyatA Darme prAmANyam saMBavet-kutas // MJENi-_1,2.2 //
   vidhyarthavādau sākāṅkṣau prāśastyapuruṣārthayoḥ /	viDi-arTa-vAdO sa-AkAFkzO prASastya-puruza-arTayoH /
   tenaikavākyatā tasmādvādānāṃ dharmamānatā // MJaiNy_1,2.3 //	tena-eka-vAkyatA tasmAt-vAdAnAm Darmam-AnatA // MJENi-_1,2.3 //
   kāmyapaśukāṇḍe vidhyarthavādau śrūyete |	kAmya-paSu-kANxe viDi-arTa-vAdO SrUyete |
   'vāyavyaṃ śvetamālabheta bhūtikāmaḥ' iti vidhiḥ |	avAyavyam Svetam-AlaBeta BUti-kAmaHa iti viDiH |
   'vāyurvai kṣepiṣṭhā devatā, vāyumeva svena bhāgadheyenopadhāvati, sa	avAyuH-vE kzepizWA devatA, vAyum-eva svena BAgaDeyena-upaDAvati, sa
   evainaṃ bhūtiṃ gamayati' ityarthavādaḥ |	eva-enam BUtim gamayati-a iti-arTa-vAdaH |
   tatra vidhivākyagatā vāyavyādiśabdā arthavādaśabdanairapekṣyeṇaiva	tatra viDi-vAkya-gatAH vAyavi-a-Adi-SabdAH arTavAda-SabdanErapekzyeNa-eva
   viśiṣṭamarthaṃ vidadhati |	viSizwam-arTam vidaDati |
   arthavādaśabdaścetaranairapekṣyeṇaiva bhūtārthamanvācakṣate |	arTavAda-SabdaH-ca-itara-nEH-apekzyeNa-eva BUta-arTam-anvAcakzate |
   'kṣipragāmī vāyuḥ svocitena bhāgena toṣito bhāgapradāyaiśvaryaṃ	akzi-pragAmI vAyuH sva-ucitena BAgena tozitaH BAga-pradAya-ESvaryam
   prayacchati' ityukte rāmāyaṇabhāratādāviva vṛttāntaḥ kaścit pratīyate, na	prayacCati-a iti-ukte rAmAyaNa-BArata-AdO=-iva vRttAntaH kaScid pratIyate, na
   tvanuṣṭheyaṃ kiñcit |	tu-anuzWeyam kiQcid |
   ata ekavākyatvābhāvānnāstyarthavādasya dharme prāmāṇyamiti prāpte -	atas eka-vAkya-tva-aBAvAt-na-asti-arTa-vAdasya Darme prAmANyam-iti prApte -
   brūmaḥ - mā bhūtpadaikavākyatā |	brUmaH  mA BUt-pada-eka-vAkyatA |
   vākyaikavākyatā tu vidyate |	vAkya-eka-vAkya-tA tu vidyate |
   vidhivākyaṃ tāvat puruṣaṃ prerayituṃ vidheyārthasya prāśastyamapekṣate |	viDi-vAkyam tAvat puruzam prerayitum viDeya-arTasya prASastyam-apekzate |
   arthavādavākyaṃ ca	arTavAda-vAkyam ca
   phalavadarthāvabodhaparyavasitādhyayanavidhiparigṛhītatvena	Palavat-arTa-avaboDa-paryavasita-aDyayana-viDi-parigRhIta-tvena
   puruṣārthamapekṣate |	puruza-arTam-apekzate |
   tatra puruṣārthaparyavasitavidhyapekṣitaṃ prāśastyaṃ lakṣaṇāvṛttyā	tatra puruza-arTa-paryavasita-viDi-apekzitam prASastyam lakzaNa-AvRttyA
   samarpayadarthavādavākyaṃ vidhivākyena sahaikavākyatāmāpadyate |	samarpayat-arTa-vAda-vAkyam viDi-vAkyena saha-eka-vAkyatAm-Apadyate |
   'yataḥ kṣipragāmisvabhāvatayā śīghraphalaprado vāyurasya paśordevatā,	ayataH kzipra-gAmi-svaBAva-tayA SIGra-Pala-pradaH vAyuH-asya paSoH-devatA,
   tataḥ praśastamimaṃ vāyavyaṃ paśumālabheta' iti vākyayoranvayaḥ |	tatas praSastam-imam vAyavyam paSu-mAla-Beta-a iti vAkyayoH-anvayaH |
   tasmādarthavādā dharme pramāṇam || MJaiNyC_1,2.1-3 ||	tasmAt-arTa-vAdAH Darme pramANam || MJENyC_1,2.1-3 ||
   START MJaiNy 1,2.4	START MJENi 1,2.4
   asminnevādhikaraṇematāntaramanusṛtya pūrvottarapakṣāvāha -	asmin=-eva-aDikaraNematA-antaram-anusRtya pUrva-uttara-pakzO=-Aha -
   vādoktahetvapekṣatvānna vidhermānateti cet /	vAda-ukta-hetu-apekza-tvAt-na viDeH-mAnatA-iti ced /
   satyanvaye stutidvārā nāpekṣeti gururjagau // MJaiNy_1,2.4 //	sati-anvaye stuti-dvArA na-apekzA-iti guruH-jagO // MJENi-_1,2.4 //
   'yato vāyuḥ kṣiprameva phalapradaḥ, ato vāyavyamālabheta'	ayataH vAyuH kzipram-eva Pala-pradaH, atas vAyavyam-AlaBeta-a
   ityevamarthavādoktaṃ hetumapekṣya vidhiḥ puruṣaṃ niyuṅkte |	iti-evam-arTa-vAda-uktam hetum-apekzya viDiH puruzam niyuFkte |
   tataḥ sāpekṣatvādapramāṇamiti pūrvapakṣaḥ ||	tatas sa-apekza-tvAt-apramANam-iti pUrva-pakzaH ||
   'vimataṃ karmānuṣṭheyam, phalapradadevatopetatvāt, rājasevādivat'	avimatam karma-anuzWeyam, Pala-pradadevatA-upeta-tva-at, rAja-sevA-Adi-va-t-a
   ityanumānaṃ yadyarthavāde vivakṣyate, tadānīmāgamapramāṇasya vidhivākyasya	iti-anumAnam yadi-arTa-vAde vivakzyate, tadAnIm-Agama-pramANasya viDi-vAkyasya
   pramāṇāntarasāpekṣatvaṃ syāt |	pramANa-antara-sApekza-tvam syAt |
   na tvevaṃ vivakṣitam |	na tu-evam vivakzitam |
   kintu phalapradadevatātoṣakatvopanyāsamukhena karmaprāśastyamupalakṣyate |	kintu Pala-prada-devatA-tozaka-tva-upanyAsa-muKena karma-prASastyam-upalakzyate |
   tathā sati 'praśastaṃ karmānuṣṭheyam' ityasminnarthe sārthavādasya videḥ	taTA sati apraSastam karma-anuzWeyam-a iti-asmin=-arTe sArTa-vAdasya videH
   paryavasānādekavākyatā labhyate |	paryavasAnAt-eka-vAkyatA laByate |
   tatra kutaḥ sāpekṣatvam |	tatra kutas sa-apekza-tvam |
   tasmāt vidhiḥ pramāṇam iti siddhāntaḥ || MJaiNyC_1,2.4 ||	tasmAt viDiH pramANam iti sidDAntaH || MJENyC_1,2.4 ||
   (dvitīye vidhivannigadādhikaraṇe sūtrāṇi 19-25)	(dvitIye viDivat-nigada-aDikaraNe sUtrANi 19-25)
   vidhir vā syād apūrvatvād vādamātrama hy anarthakam / Jaim_1,2.19 /	viDiH vA syAt apUrva-tvAt vAda-mAtrama hi anarTakam / JEm_1,2.19 /
   lokavad iti cet / Jaim_1,2.20 /	loka-vat iti ced / JEm_1,2.20 /
   na pūrvatvāt / Jaim_1,2.21 /	na pUrva-tvAt / JEm_1,2.21 /
   uktaṃ tu vākyaśeṣatvam / Jaim_1,2.22 /	uktam tu vAkya-Seza-tvam / JEm_1,2.22 /
   vidhiś cānarthakaḥ kvacit tasmāt stutiḥ pratīyeta tatsāmānyād itareṣu	viDiH ca-anarTakaH kvacid tasmAt stutiH pratIyeta tad-sAmAnyAt itarezu
   tathātvam / Jaim_1,2.23 /	taTAtvam / JEm_1,2.23 /
   prakaraṇe sambhavannapakarṣo na kalpyeta vidhyānarthakyaṃ hi taṃ prati /	prakaraNe samBavan=-apakarzaH na kalpyeta viDi-AnarTakyam hi tam prati /
   Jaim_1,2.24 /	JEm_1,2.24 /
   vidhau ca vākyabhedaḥ syāt / Jaim_1,2.25 /	viDO ca vAkya-BedaH syAt / JEm_1,2.25 /
   START MJaiNy 1,2.5-7	START MJENi 1,2.5-7
   dvitīyādhikaraṇamāracayati -	dvitIya-aDikaraNam-Aracayati -
   ūrjo 'varudhyā ityeṣa vidhivannigado na kim /	UrjaH avaruDyAH iti-eza viDivat-nigadaH na kim /
   yūpaudumbaratāṃ stauti stauti vā tadvidhitsayā // MJaiNy_1,2.5 //	yu-upa-Odumbara-tAm stOti stOti vA tad-viDitsayA // MJENi-_1,2.5 //
   caturthyā phalatālābhādyūpaudumbaratā phalam /	caturTyA Pala-tAlABa-AdyUpa-OdumbaratA Palam /
   ūrjo 'varodhaṃ kathayankathaṃ stutiparo bhavet // MJaiNy_1,2.6 //	UrjaH avaroDam kaTayan-kaTam stuti-paraH Bavet // MJENi-_1,2.6 //
   astutaudumbaratvasyāvidhānātkasya tatphalam /	astuta-Odumbara-tvasya-aviDAnAt-kasya tad-Palam /
   arthadvaidhe vākyabhedastena stāvaka eva saḥ // MJaiNy_1,2.7 //	arTa-dvEDe vAkya-BedaH-tena stAvakaH eva saH // MJENi-_1,2.7 //
   idamāmnāyate - 'audumbaro yūpo bhavati, ūrgvā udumbaraḥ, ūrkpaśavaḥ,	idam-AmnAyate  aOdumbaraH yUpaH Bavati, UrgvAH udumbaraH, UrkpaSavaH,
   ūrjaivāsmā ūrjaṃ paśūnāpnoti, ūrjo 'varudhyai' iti |	UrjA-eva-asmE Urjam paSUn-Apnoti, UrjaH avaruDyE-a iti |
   amṛtaśabdābhidheyo 'tyantasārabhūtaḥ sūkṣmo 'nnarasaḥ ūrgucyate |	amRta-Sabda-aBiDeyaH atyanta-sAra-BUtaH sUkzmaH anna-rasaH Urgucyate |
   udumbararūpayorjā yajamānārthamadhvaryuḥ paśurūpāmūrjamāpnoti |	udumbara-rUpayoH-jAH yajamAna-arTam-aDvaryuH paSu-rUpAm-Urjam-Apnoti |
   tato yūpasyaudumbaratvamūrjaḥ sampādanāya bhavatītyarthaḥ |	tatas yUpasya-Odumbara-tvam-UrjaH sampAdanAya Bavati-iti-arTaH |
   atra 'avarudhyai' iti tādarthye caturthī |	atra aavaruDyE-a iti tAdarTye caturTI |
   tayā phalatvaṃ gamyate |	tayA Pala-tvam gamyate |
   'dhanalābhāya rājasevā' ityādau taddarśanāt |	aDana-lABAya rAja-sevA-a ityAdO tad-darSanAt |
   na ca phalaparasya vacanasya stāvakatvaṃ yujyate |	na ca Pala-parasya vacanasya stAvaka-tvam yujyate |
   anyathā svargakāma ityatra svargaśabdasyāpi	anyaTA svarga-kAmaH iti-atra svarga-Sabdasya-api
   jyotiṣṭomastāvakatvaprasaṅgāditi prāpte -	jyotizwomaH-tAvaka-tva-prasaFgAt-iti prApte -
   brūmaḥ - ayamūrjo 'varodhaḥ kasya phalaṃ syāt -	brUmaH  ayam-UrjaH avaroDaH kasya Palam syAt -
   kimavihitasyaudumbaratvasya, uta vihitasya |	kim-avihitasya-Odumbara-tvasya, uta vihitasya |
   nā'dyaḥ, anuṣṭhānamantareṇa dravyamātrāt phalānutpatteḥ |	nA-adyaH, anuzWAnam-antareNa dravya-mAtrAt Pala-anutpatteH |
   dvitīye kimatra vidhiḥ pratyakṣaḥ, utonneyaḥ |	dvitIye kim-atra viDiH pratyakzaH, uta-unneyaH |
   nā'dyaḥ, 'audumbaro yūpo bhavati' ityatra liṅpratyayāśravaṇāt |	nA-adyaH, aOdumbaraH yUpaH Bavati-a iti-atra liFpratyaya-aSravaNAt |
   dvitīye stutyā sa unneyaḥ |	dvitIye stutyA saH unneyaH |
   na cātra stutimaṅgīkaroṣi |	na ca-atra stutim-aFgIkarozi |
   athocyeta - 'vidhānāyaudumbaratvaṃ stūyate tatphalaṃ cāvabodhyate' iti |	aTa-ucyeta  aviDAnAya-Odumbara-tvam stUyate tad-Palam ca-avaboDyate-a iti |
   tarhi vākyaṃ bhidyeta |	tarhi vAkyam Bidyeta |
   tataḥ phalavidhivannigadyamānamapyetadvākyaṃ stāvakameva ||	tatas Pala-viDivat-nigadyamAnam-api-etat-vAkyam stAvakam-eva ||
   MJaiNyC_1,2.5-7 ||	MJENyC_1,2.5-7 ||
   START MJaiNy 1,2.8	START MJENi 1,2.8
   atraivagurumatenapūrvottarapakṣāvāha -	atra-eva-guru-matena-pUrva-uttara-pakzO=-Aha -
   āpnotīti vidhitvasya vādatvasyāpyanirṇayāt /	Apnoti-iti viDi-tvasya vAda-tvasya-api-anirNayAt /
   na pramā codanetyetan vādo hyekavākyataḥ // MJaiNy_1,2.8 //	na pramA codanA-iti-etan vAdaH hi-eka-vAkyataH // MJENi-_1,2.8 //
   ūrjaṃ paśūnāpnoti ityapūrvārthatvādvidhitvaṃ pratibhāsate,	Urjam paSUn-Apnoti iti-apUrva-arTa-tvAt-viDi-tvam pratiBAsate,
   liṅṅādyabhāvādarthavādatvam |	liFFa-Adi-aBAvAt-arTavAda-tvam |
   ataḥ sandigdhatvānna prāmāṇyaṃ codanāyā iti pūrvapakṣaḥ ||	atas sandigDa-tvAt-na prAmANyam codanAyAH iti pUrva-pakzaH ||
   ekavākyatvalābhenārthavādatvaṃ nirṇīyate |	eka-vAkya-tva-lABena-arTavAda-tvam nirNIyate |
   ataḥ pramāṇaṃ codanā iti rāddhāntaḥ || MJaiNyC_1,2.8 ||	atas pramANam codanA iti rAdDa-antaH || MJENyC_1,2.8 ||
   (tṛtīye hetuvannigadādhikaraṇe sūtrāṇi 26 - 30 )	(tRtIye hetu-vat-nigada-aDikaraNe sUtrANi 26  30 )
   hetur vā syād arthavatvopapattibhyām / Jaim_1,2.26 /	hetuH vA syAt arTavatva-upapattiByAm / JEm_1,2.26 /
   stutis tu śabdapūrvatvād acodanā tasya / Jaim_1,2.27 /	stutiH tu Sabda-pUrva-tvAt acodanA tasya / JEm_1,2.27 /
   arthe stutir anyāyyeti cet / Jaim_1,2.28 /	arTe stutiH anyAyya-iti ced / JEm_1,2.28 /
   arthas tu vidhiśeṣatvād yathā loke / Jaim_1,2.29 /	arTaH tu viDi-Seza-tvAt yaTA loke / JEm_1,2.29 /
   yadi ca hetur avatiṣṭheta nirdeśāt sāmānyād iti ced avasthā vidhīnāṃ syāt	yadi ca hetuH avatizWeta nirdeSAt sAmAnyAt iti ced avasTA viDInAm syAt-
   / Jaim_1,2.30 /	/ JEm_1,2.30 /
   tṛtīyādhikaraṇamāracayati -	tRtIya-aDikaraNam-Aracayati -
   START MJaiNy 1,2.9-10	START MJENi 1,2.9-10
   tena hyannamiti prokto vādo heturuta stutiḥ /	tena hi-annam-iti proktaH vAdaH hetuH-uta stutiH /
   hinā śrutā hetutātaḥ śūrpamanyacca sādhanam // MJaiNy_1,2.9 //	hinA SrutA hetu-tAtaH SUrpam-anyat-ca sADanam // MJENi-_1,2.9 //
   śūrpasādhanatā śrautī nāśrautaiḥ sā vikalpyate /	SUrpa-sADana-tA SrOtI na-aSrOtEH sA vikalpyate /
   ato nirarthako hetuḥ stutistasmātpravartikā // MJaiNy_1,2.10 //	atas nirarTakaH hetuH stutiH-tasmAt-pravartikA // MJENi-_1,2.10 //
   idamāmnāyeta - 'śūrpeṇa juhoti tena hyannaṃ kriyate' ayamarthavādo vidheye	idam-AmnAyeta  aSUrpeNa juhoti tena hi-annam kriyate-a ayam-arTa-vAdaH viDeye
   śūrpe hetutvenānveti |	SUrpe hetu-tvena-anveti |
   hiśabdasya hetuvāyitvāt |	hi-Sabdasya hetuvAyi-tvAt |
   ' yasmādannasādhanaṃ, tasmācchūrpeṇa hotavyam ' ityukte '	a yasmAt-anna-sADanan, tasmAt-SUrpeNa hotavyam a iti-ukte a
   yadyadannasādhanaṃ darvīpiṭharādikaṃ tena sarveṇa hotavyam ' iti labhyate	yat-yat-anna-sADanam darvI-piWara-Adikam tena sarveNa hotavyam a iti laByate
   tataḥ ' piṭharādayaḥ śūrpeṇa saha vikalpyante ' iti prāpte -	tatas a piWara-AdayaH SUrpeNa saha vikalpyante a iti prApte -
   brūmaḥ-- śūrpasya homasādhanatvaṃ śrautam, tṛtīyayā tadavagamāt |	brUmaH- SUrpasya homa-sADana-tvam SrOtam, tRtIyayA tad-avagamAt |
   piṭharādīnāṃ tvānumānikam |	piWara-AdInAm tvA-anumAnikam |
   ato 'samānabalatvānna vikalpo yuktaḥ |	atas asamAna-bala-tvAt-na vikalpaH yuktaH |
   tato heturvyarthaḥ |	tatas hetuH-vyarTaH |
   stutriḥ prarocanāyopayuktā, tasmātstutitvenānvayaḥ || MJaiNyC_1,2.9-10 ||	stutriH prarocanAya-upayuktA, tasmAt-stuti-tvena-anvayaH || MJENyC_1,2.9-10 ||
   (caturthe mantraliṅgādhikaraṇe sūtrāṇi 31 - 53 )	(caturTe mantra-liFga-aDikaraNe sUtrANi 31  53 )
   tadarthaśāstrāt / Jaim_1,2.31 /	tad-arTa-SAstrAt / JEm_1,2.31 /
   vākyaniyamāt / Jaim_1,2.32 /	vAkya-niyamAt / JEm_1,2.32 /
   buddhiśāstrāt / Jaim_1,2.33 /	budDi-SAstrAt / JEm_1,2.33 /
   avidyamānavacanāt / Jaim_1,2.34 /	avidyamAna-vacanAt / JEm_1,2.34 /
   acetane 'rthabandhanāt / Jaim_1,2.35 /	acetane arTa-banDanAt / JEm_1,2.35 /
   arthavipratiṣedhāt / Jaim_1,2.36 /	arTa-vipratizeDAt / JEm_1,2.36 /
   svādhyāyavadvacanāt / Jaim_1,2.37 /	svADyAya-vat-vacanAt / JEm_1,2.37 /
   avijñeyāt / Jaim_1,2.38 /	avijQeyAt / JEm_1,2.38 /
   anityasaṃyogān mantrārthānarthakyam / Jaim_1,2.39 /	anitya-saMyogAt mantra-arTa-AnarTakyam / JEm_1,2.39 /
   aviśiṣṭas tu vākyārthaḥ / Jaim_1,2.40 /	aviSizwaH tu vAkya-arTaH / JEm_1,2.40 /
   guṇārthena punaḥ śrutiḥ / Jaim_1,2.41 /	guNa-arTena punar SrutiH / JEm_1,2.41 /
   parisaṃkhyā / Jaim_1,2.42 /	parisaMKyA / JEm_1,2.42 /
   arthavādo vā / Jaim_1,2.43 /	arTa-vAdaH vA / JEm_1,2.43 /
   aviruddhaṃ param / Jaim_1,2.44 /	avirudDam param / JEm_1,2.44 /
   saṃpraiṣe karmagarhānupālambhaḥ saṃskārattvāt / Jaim_1,2.45 /	saMprEze karma-garha-anupAlamBaH saMskArat-tvAt / JEm_1,2.45 /
   abhidhāne 'rthavādaḥ / Jaim_1,2.46 /	aBiDAne arTa-vAdaH / JEm_1,2.46 /
   guṇād apratiṣedhaḥ syāt / Jaim_1,2.47 /	guNAt apratizeDaH syAt / JEm_1,2.47 /
   vidyāvacanam asaṃyogāt / Jaim_1,2.48 /	vidyA-vacanam asaMyogAt / JEm_1,2.48 /
   sataḥ paramavijñānam / Jaim_1,2.49 /	sataH parama-vijQAnam / JEm_1,2.49 /
   uktaś cānityasaṃyogaḥ / Jaim_1,2.50 /	uktaH ca-anitya-saMyogaH / JEm_1,2.50 /
   liṅgopadeśaś ca tadarthavat / Jaim_1,2.51 /	liFga-upadeSaH ca tad-arTavat / JEm_1,2.51 /
   ūhaḥ / Jaim_1,2.52 /	UhaH / JEm_1,2.52 /
   vidhiśabdāś ca / Jaim_1,2.53 /	viDi-SabdAH ca / JEm_1,2.53 /
   caturthādhikaraṇamāracayati -	caturTa-aDikaraNam-Aracayati -
   START MJaiNy 1,2.11-12	START MJENi 1,2.11-12
   mantrā uru prathasveti kimadṛṣṭaikahetavaḥ /	mantrAH uru praTasva-iti kim-adRzwa-eka-hetavaH /
   yāgeṣūta puroḍāśaprathanādeśca bhāsakāḥ // MJaiNy_1,2.11 //	yAgezu-uta puroxASa-praTana-AdeH-ca BAsakAH // MJENi-_1,2.11 //
   brāhmaṇenāpi tadbhānānmantrāḥ puṇyaikahetavaḥ /	brAhmaNena-api tad-BAnAt-mantrAH puNya-eka-hetavaH /
   na tadbhānasya dṛṣṭatvāddṛṣṭaṃ varamadṛṣṭataḥ // MJaiNy_1,2.12 //	na tad-BAnasya dRzwa-tvAt-dRzwam varam-adRzwataH // MJENi-_1,2.12 //
   'uru prathasva' ityayaṃ kaścinmantraḥ |	auru praTasva-a iti-ayam kaScid-mantraH |
   tasyāyamarthaḥ - bhoḥ puroḍāśa, svamuruvipulatā yathā bhavati tathā	tasya-ayam-arTaH  BoH puroxASa, svam-uru-vipula-tA yaTA Bavati taTA
   prasara ' iti |	prasara a iti |
   evamādayo mantrā yāgaprayogepūccāryamāṇā adṛṣṭameva janayanti |	evamAdayaH mantrAH yAga-prayogepu-ucca-AryamANAH adRzwam-eva janayanti |
   natvarthaprakāśanāya taduccāraṇam |	natu-arTa-prakASanAya tad-uccAraNam |
   puroḍāśaprathana lakṣaṇasyārthasya vrāhmaṇavākyenāpi bhāsanāt tha 'uru	puroxASa-praTana lakzaNasya-arTasya vrAhmaNa-vAkyena-api BAsanAt Ta auru
   prathasveti puroḍāśaṃ prathayati' iti hi brāhmaṇavākyam ,[iti cetṭa |	praTasva-iti puroxASam praTayati-a iti hi brAhmaNa-vAkyam ,[iti cetwa |
   naitadyuktam |	na-etat-yuktam |
