   {...} = akṣara unclear	{...}  akzaraH unclear
   etaccādhyātmagataṃ vibhramakāraṇam |	etat ca aDyAtma gatam viBrama kAraNam |
   sarvareva ca	sarvareva ca
   vibhramakāraṇairindriyaviṣayabāhyādhyātmikāśrayagatairindriya 	viBrama kAraNEH indriya vizaya bAhya ADyAtmika ASraya gatEH indriya 
   manyate dharmiṇā kalpanājñānena dharmo 'tra kalpanātvaṃ lakṣyate | yathā	manyate  DarmiNA kalpanA jQAnena DarmaH atra kalpanA tvam lakzyate | yaTA
   viṣāṇītyava viṣāṇitvamḥ tataśca kalpanātvena rahitaṃ yajjñānaṃ	vizANi iti ava vizANi tvamH tatas ca kalpanA tvena rahitam yat jQAnam
   tannirvikalpakam | na ca kalpanājñānaṃ kalpanātvarahitamityadoṣaḥ |	tat nirvikalpakam | na ca kalpanA jQAnam kalpanA tu arahitam iti adozaH |
   kalpanāpoḍhābhrāntatvayolaṃkṣaṇayoḥ parasparaṃ viśeṣaṇaviśeṣyatvam, na	kalpanA poXA Bra anta tvayaH laMkzaNayoH parasparam viSezaNa viSezya tvam, na
   svātantryeṇa pṛthaglakṣaṇatvamiti darśayitumante pratyakṣaśabdaṃ gṛhītvā	svAtantryeNa pRTak lakzaNa tvam iti darSayitum ante pratyakza Sabdam gRhItvA
   tayorapi sambadhnāti tatpratyakṣamiti pareṇa sambandha ityanena |	tayoH api sambaDnAti tat pratyakzam iti pareNa sambanDaH iti anena |
   indriyagatamidaṃ vibhramakāraṇamiti | indriyasya timireṇākrāntatvāt |	indriya gatam idam viBrama kAraNam iti | indriyasya timireNa AkrAnta tvAt |
   āśubhramaṇamiti | mandaṃ bhramyamāṇaḥ iti viśeṣaṇasya vyāvṛttiḥ |	ASu BramaNam iti | mandam BramyamANaH iti viSezaNasya vyAvRttiH |
   viṣayagatamiti | viṣayasyālātādeścakrākāraṃ prati nimittatvāt |	vizaya gatam iti | vizayasya alAta AdeH cakra AkAram prati nimitta tvAt |
   nauyānamiti | samudāyapraśnaḥ | gaccatyāṃ nāvītyādinā | prayojanaṃ	nOyAnam iti | samudAya praSnaH | gaccatyAm nAvi ityAdinA | prayojanam
   darśayati bāhyāśrayasthitamiti | bāhyā nauḥ saivāśrayastatra	darSayati bAhya ASraya sTitam iti | bAhyAH nOH sA eva ASrayaH tatra
   sthitasyāśrayadvārako vibhrama uccate | saṃkṣobho vātādīnāṃ	sTitasya ASraya dvArakaH viBramaH uccate | saMkzoBaH vAta AdInAm
   vikārāpattirādhyātmikavibhramakāraṇam |	vikAra ApattiH ADyAtmika viBrama kAraNam |
   nanu cendriyagatameva vibhramakāraṇam pratyucyateḥ	nanu ca indriya gatam eva viBrama kAraNam pratyucyateH
   nānyairindriyagatairindriyaṃ bikriyāṃ gatam? ityāha  sarvairevetyādi |	na anyEH indriya gatEH indriyam bikriyAm gatam? iti Aha sarvEH eva ityAdi |
   timirasya sākṣādalātādeḥ pāramparyeṇeti | itacca viniścayaṭīkāyāṃ	timirasya sAkzAt alAta AdeH pAramparyeNa iti | itat ca viniScaya wIkAyAm
   vistareṇa prtipāditamiti | saṃkṣobhapadena saha dvandvaṃ kṛtvā bahuvrīhi 	vistareNa prtipAditam iti | saMkzoBa padena saha dvandvam kRtvA bahuvrIhi 
   7 taccaturvidham ||	7 tat caturviDam ||
   jñānaṃ prayakṣamiti | sūtre jñānaṃ noktam | kathaṃ tallamyate iti ced?	jQAnam prayakzam iti | sUtre jQAnam na uktam | kaTam tat lamyate iti ced ?
   kalpanā jñānenaiva pratibaddhā, bhrāntirapi jñānadharma iti dṛṣṭam |	kalpanA jQAnena eva pratibadDA, BrAntiH api jQAna DarmaH iti dRzwam |
   tasmāt kalpanārahitamabhrāntaṃ jñāmameveti | yathā avatsā gaurānīyatām	tasmAt kalpanA rahitam aBra antam jQAmam eva iti | yaTA avatsA gOH a AnIyatAm
   ityanena kācit aśvā nānīyate ghenurevā noyate tasyā eva	iti anena kAcid aSvAH na AnIyate GenuH evAH noyate tasyAH eva
   vatsambandhadarśanāt | tathā avāpi bhrāntikalpanayorjñānenaiva sambandho	vatsambanDa darSanAt | taTA avApi BrAnti kalpanayoH jQAnena eva sambanDaH 
   dṛṣṭaḥ, nānyeneti jñānameva pratyakṣatayeṣyate || 6 ||	dRzwaH, na anyena iti jQAnam eva pratyakzatayA izyate || 6 ||
   taccaturvidhamiti | pratyakṣamiti yaduktaṃ tat  1 indriyajanyam, 2	tat caturviDam iti | pratyakzam iti yat uktam tat 1 indriya janyam, 2
   mānasam, 3 ātmasaṃvedanam, 4 yogijñānaṃ ceti caturvidhaṃ jñeyam |	mAna sam, 3 Atma saMvedanam, 4 yogi jQAnam ca iti caturviDam jQeyam |
   pravibhāgo 'yaṃ viprati  meva vikartavyam avikṛte indriye	praviBAgaH ayam viprati mA iva vikartavyam avikRte indriye
   indriyabhrāntyayogāt | ete sṃkṣobhaparyantā ādayo yeṣāṃ te tathoktāḥ |	indriya BrAnti ayogAt | ete sMkzoBa paryantAH AdayaH yezAm te taTA uktAH |
   ādigrahaṇena kācakāmalādaya indriyasthā gṛhyante, āśunayanānayanādayo	Adi grahaNena kAca kAmalA AdayaH indriya sTAH gRhyante, ASu nayana Anaya nAdayaH 
   viṣayasthāḥ | āśunayanāyane hi kāryamāṇe 'lāte 'gnivarṇadaṇḍābhāksā	vizaya sTAH | ASu nayana ayane hi kAryamANe alAte agni varNa daNxa aBAj sA
   bhrāntirbhavati | hastiyānādayo bāhyāśrayasthāḥ, gāḍhamarmaprahārādaya	BrAntiH Bavati | hasti yAna AdayaH bAhya ASraya sTAH, gAXa marma prahAra Adaya
   ādhyātmikāśrayasthā vhibhramahetavo gṛhyante |	ADyAtmika ASraya sTAH vhi Brama hetavaH gRhyante |
   tairanāhito vibhrabho yasmistat tathāvidhaṃ jñānaṃ pratyakṣam || 6 ||	tEH anAhitaH viBraBaH yasmiH tat taTAviDam jQAnam pratyakzam || 6 ||
   tadevaṃ lakṣaṇamākhyāya yairindrayameva draṣṭa kalpiatm,	tat evam lakzaNam AKyAya yEH indrayam eva drazwa kalpiatm,
   mānasapratyakṣariti darśayati | viniścaro tu saṃkṣobhaśabdena	mAnasa pratyakzar iti darSayati | viniScaraH tu saMkzoBa Sabdena
   ṣaṣṭhīsamāsaṃ kṛtvādiśabdena bahubrīhisamāsaṃ darśayataḥ ko	zazWI samAsam kRtvA Adi Sabdena bahu brIhi samAsam darSayataH ko
   'bhirpāyaṣṭhīkākṛta iti | vyutpattibhedakathanameva, nārthabheda iti |	aBiH pAyazWIkA kRtaH iti | vyutpatti Beda kaTanam eva, na arTa BedaH iti |
   yadā saṃkṣobhaśabdena ṣaṣṭhīsamāsastadāśrayagatasya vibhramakāraṇasya	yadA saMkzoBa Sabdena zazWI samAsaH tad ASraya gatasya viBrama kAraNasya
   upalakṣaṇatvād vātapittādergrahaṇaṃ bhavatīti nārthabhedaḥ | atha	upalakzaNa tvAt vAta pitta AdeH grahaNam Bavati iti na arTa BedaH | aTa
   kimarthamāśubhramaṇagrahaṇāderupādānam, timirādītyeva kriyatām,	kim arTam ASu BramaNa grahaNa AdeH upAdAnam, timira Adi iti eva kriyatAm,
   ādigrahaṇena sarveṣāṃ saṃgraho bhaviṣyati? ucyateḥ,	Adi grahaNena sarvezAm saMgrahaH Bavizyati? ucyateH,
   asatyāśubhramaṇādigrahaṇe indriyagatamevādiśabdena kācakāmalādi gṛhyata	asatya ASu BramaNa Adi grahaNe indriya gatam eva Adi Sabdena kAca kAmalA Adi gRhyata
   ityāśaṃkyeta | tasmādāśubhramaṇādirupādīyate | teṣāmupādāne,	iti ASaMkyeta | tasmAt ASu BramaNa AdiH upAdIyate | tezAm upAdAne,
   yadyādigrahaṇaṃ na kriyeta, tadā teṣāṃ svarūpagrahaṇameva syāt, na	yadi Adi grahaNam na kriyeta, tadA tezAm svarUpa grahaNam eva syAt, na
   prakāropalakṣaṇamityādigrahaṇam | tata ubhayopādāne sati	prakAra upalakzaNam ityAdi grahaNam | tatas uBaya upAdAne sati
   timirādīmybhayakātsnrya labhyata iti sthitam | tat tathāvidhaṃ jñānamiti	timira AdImi BayakAt snrya laByate iti sTitam | tat taTAviDam jQAnam iti
   yadayapi sūtre jñānagrahaṇaṃ nāsti, tathāpi bhrānte jñānadharmatvād	yadayapi sUtre jQAna grahaNam nAsti, taTA api BrAnte jQAna Darma tvAt 
   tadvayudāsena jñānameva pratyakṣaṃ gṛhyata ityadoṣaḥ |	tad vayu dAsena jQAnam eva pratyakzam gRhyate iti adozaH |
   vinītadevavyākhyāyāṃ bhavati tu pratykṣasūtresyārthakathanaṃ jñānaṃ	vinIta deva vyAKyAyAm Bavati tu pratykzasUtresya arTa kaTanam jQAnam
   pratykṣamiti, tasmāt sthitaṃ nirvikalpakaṃ jñānaṃ pratyakṣamabhrāntamiti	pratykzamiti, tasmAt sTitam nirvikalpakam jQAnam pratyakzam aBra antam iti
   yairindriyameva draṣṭa parikalpatamiti | vaibhāṣikaiḥ  cakṣuḥ paśyati	yEH indriyam eva drazwa parikalpatam iti | vEBAzikEH cakzuH paSyati
   rūpāṇi iti atiriṣyate| mānase ca pratyakṣe doṣa udbhāvita iti | dvābhyāṃ,	rUpANi iti atiH izyate| mAnase ca pratyakze dozaH udBAvitaH iti | dvAByAM,
   bhikṣavo, rūpaṃ dṛśyate cakṣurvijñānena tadākṛṣṭena manovijñānena iti,	Bikzavo, rUpam dRSyate cakzuH vijQAnena tadAkRzwena manaH vijQAnena iti,
   tadāmamasiddhaṃ mano 	tadAmam asidDam mano 
   8 indriyajanyam || (1)	8 indriya janyam || (1)
   pattinirāsārthampadiśyate | keṣāñcit indriyameva darhsakartuṃ iṣṭam,	patti nirAsa arTampadiSyate | kezAQcid indriyam eva darhsa kartum izwam,
   tannirāsārtha prathamam | indriyajanyaṃ jñānṃ hi pratyakṣam, na	tad nirAsa arTa praTamam | indriya janyam jQAnm hi pratyakzam, na
   tvindriyamiti | kaiścit mānasapratyakṣe doṣa udbhāvitaḥ,	tu indriyam iti | kEScid mAnasa pratyakze dozaH udBAvitaH,
   taddopaparihāratha dvitīyam | kecit cittacaitānāmātmasaṃvedanaṃ	tad dopa parihAraTa dvitIyam | kecid citta cEtAnAm Atma saMvedanam
   nāṅgokurvanti tannirāsārtha tṛtīyam | kecid yogipratyakṣaṃ nānumanyante,	na aFgokurvanti tad nirAsa arTa tRtIyam | kecid yogi pratyakzam na anumanyante,
   tannirāsārtha caturtha pratyakṣamuktam || 7 ||	tad nirAsa arTa caturTa pratyakzamuktam || 7 ||
   indriyajanyamiti | cakṣurādīni pañcendriyāṇyeva indriyatveneṣyante |	indriya janyam iti | cakzuH AdIni paQca indriyANi eva indriya tvena izyante |
   manastu indriyaṃ naḥ mānasapratyakṣasya pṛthaṅ nirdeśāt | tasmāt	manaH tu indriyam naH mAnasa pratyakzasya pRTak nirdeSAt | tasmAt 
   cakṣurādīndriyeṣu āśritaṃ jñānameva indriyajanya pratyakṣam || 8 ||	cakzuH Adi indriyezu ASritam jQAnam eva indriya janya pratyakzam || 8 ||
   lakṣaṇe ca doṣa udbhāvitaḥ, svasaṃvedanaṃ ca nābhyupagatam, yogijñānaṃ ca,	lakzaNe ca dozaH udBAvitaH, sva saMvedanam ca na aByupagatam, yogi jQAnam ca,
   teṣāṃ vipratipattinirākaraṇārtha pratyakṣasya prakārabhedaṃ darśayannāha 	tezAm vipratipatti nirAkaraNa arTa pratyakzasya prakAra Bedam darSayan= Aha 
   taccaturvidhamiti || 7 ||	tat caturviDam iti || 7 ||
   indriyajñānamiti | indriyasya jñānam indriyajñānam | indiryāśritaṃ yat	indriya jQAnam iti | indriyasya jQAnam indriya jQAnam | indirya ASritam yat 
   jñānaṃ tat pratyakṣam || 8 ||	jQAnam tat pratyakzam || 8 ||
   vijñānamācāryadiṅnāgena pratyakṣaṃ daśitam | tat paraiḥ	vijQAnam AcArya diFnAgena pratyakzam daSitam | tat parEH
   kumāriloādibhilaṃkṣaṇamajānadbhirdūṣitam | tanmanojñānaṃ	kumArila ua AdiBilaMkzaNam ajAnadBiH dUzitam | tad manaH jQAnam
   yadīndriyavijñānaviṣaye pravatate tadā gṛhītagrāhitayā pramāṇam	yadi indriya vijQAna vizaye pravatate tadA gRhIta grAhitayA pramANam
   athānyaviṣaya pravartate, vyavahite pratyakṣaṃ bhavat ki	aTa anya vizaya pravartate, vyavahite pratyakzam Bavat ki
   tanmanovijñānamindriyasavyapekṣaṃ syāt? nirapekṣa vā? indriyasavyapekṣatve	tad manaH vijQAnam indriya savyapekzam syAt? nirapekza vA? indriya savyapekza tve
   satīndriyavijñānameva, nirapekṣatve vānindrisyāpi manovijñānaṃ pratyakṣaṃ	sati indriya vijQAnam eva, nirapekza tve vAn indrisya api manaH vijQAnam pratyakzam
   syādityandhavadhirādyabhāvacodayaṃ kṛtam |	syAt iti anDa vaDiH Adi aBAva ca udayam kRtam |
   svasaṃvedanaṃ ca nābhyupagatamiti | mīmāṃsakaiḥ parīkṣaṃ	sva saMvedanam ca na aByupagatam iti | mImAMsakEH parIkzam
   vijñānamarthāpatigamyaṃ pratyakṣo 'yaṃ ipyate, naiyāyikādibhistu	vijQAnam arTApati gamyam pratyakzaH ayam ipyate, nEyAyika AdiBiH tu
   jñānāntaragamyaṃ jñānamiṣyate, na svasaṃvedanaṃsiddham svātmani	jQAna antara gamyam jQAnam izyate, na sva saMvedanaMsidDam sva Atmani
   kāritvavirodhāt | yogijñānaṃ ca nābhyupagatamiti sambandhaḥ |	kAritva viroDAt | yogi jQAnam ca na aByupagatam iti sambanDaH |
   mīmāṃsakādaya evamāhuḥ  yogina eva na santi samprati pramāṇābhāvāt, ki	mImAMsaka AdayaH evam AhuH yoginaH eva na santi samprati pramANa aBAva at, ki
   punasteṣāṃ jñānamiti || 7 ||	punar tezAm jQAnam iti || 7 ||
   indriyāśritamiti | cakṣurādīndriyacatuṣṭayaṃ gṛhyate, na manaindriyam,	indriya ASritam iti | cakzuH Adi indriya catuzwayam gRhyate, na manEndriyam,
   tasya svasaṃvedanapratyakṣe pratipādayamānatvāt | indriyāśritaṃ vijñānaṃ	tasya sva saMvedana pratyakze pratipAdayamAna tvAt | indriya ASritam vijQAnam
   pratyakṣam iti bruvatā vārttikakṛtā na cakṣuḥ pramāṇam iti kathitaṃ	pratyakzam iti bruvatA vArttika kRtA na cakzuH pramANam iti kaTitam
   bhavati yasmājjñānasyaivānvayavyatirekānuvidhānād rūpādidarśane	Bavati yasmAt jQAnasya eva anvaya vyatireka anuviDAnAt rUpa Adi darSane
   sāmarthyam, na cakṣuṣaḥ | yattūktam  jñānaṃ cet paśyati, vyavahitamapi ki	sAmarTyam, na cakzuzaH | yat tu uktam jQAnam ced paSyati, vyavahitam api ki
   na paśyati? amūrtasyāvācakābhāvāt iti, tadayuktam yato	na paSyati? amUrtasya avAcaka aBAvAt iti, tat ayuktam yatas 
   yogyadeśenaivārthena tajjñānaṃ janyate, na vyavahitena vijñānādarśanāt ||	yogya deSena eva arTena tat jQAnam janyate, na vyavahitena vijQAna adarSanAt ||
   9 svaviṣayānantaraviṣayasahakāriṇendriyajñānena samanantarapratyayena	9 sva vizaya anantara vizaya sahakAriNA indriya jQAnena samanantara pratyayena
   janitaṃ tanmanovijñānam ||	janitam tad manaH vijQAnam ||
   svaviṣayānantaraviṣayasahakāriṇā indriyajñānena samanantarapratyena	sva vizaya anantara vizaya sahakAriNA indriya jQAnena samanantara pratyena
   janitaṃ manovijñānamiti | tatra svasya viṣaya iti svaviṣayaḥ |	janitam manaH vijQAnam iti | tatra svasya vizayaH iti sva vizayaH |
   svakauyamālambanamiti śeṣaḥ | svaviṣayeṇānantaraḥ svaviṣayānantaraḥ |	sva kOyam Alambanam iti SezaH | sva vizayeNa anantaraH sva vizaya anantaraH |
   dvitīyakṣaṇabhavī sarūpaścānantaraśabdenocyate| svaviṣayānantaraścāsau	dvitIya kzaNa BavI sarUpaH ca anantara Sabdena ucyate| sva vizaya anantaraH ca asO
   viṣayaśceti svavisayānantaraviṣayaḥ, sa sahakāriī yasya indriyajñānasya	vizayaH ca iti sva visaya anantara vizayaH, sa saha kAriI yasya indriya jQAnasya
   taqt svaviṣayānantaraviṣayasahakāri indriyajñānam |	taqt sva vizaya anantara vizaya sahakAri indriya jQAnam |
   samanantarapratyayabhūtena indriyajñānena janitaṃ yat tadeva	samanantara pratyaya BUtena indriya jQAnena janitam yat tat eva
   manomātrāśrayatvānmānasaṃ pratyakṣamiti |	manaH mAtra ASraya tvAt mAnasam pratyakzam iti |
   mānasapratyakṣe parairyodoṣa udbhāvitaḥ, taṃ nirākartu	mAnasa pratyakze parEH yaH dozaH udBAvitaH, tam nirAkartu
   mānasapratykṣalakṣaṇamāha  svaviṣayetyādi | sva ātmīyo viṣaya	mAnasa pratykza lakzaNam Aha sva vizaya ityAdi | sve AtmIyaH vizaya
   indriyajñānasya tasya anantaraḥ | na vidyate 'ntaramasyeti anantaraḥ |	indriya jQAnasya tasya anantaraH | na vidyate antaram asya iti anantaraH |
   anantaraṃ ca vyavadhānaṃ viśeṣaścocyate | tataścāntare pratiṣiddhe	anantaram ca vyavaDAnam viSezaH ca ucyate | tatas ca antare pratizidDe
   samānajātīyo dvitīyakṣaṇabhavyupadeyakṣaṇa indriyavijñānaviṣayasya gṛhyate	samAna jAtIyaH dvitIya kzaNa BavyupadeyakzaNaH indriya vijQAna vizayasya gRhyate
   | tathā ca satīndriyajñānaviṣayakṣaṇāduttarakṣaṇa ekasantānāntarbhūto	| taTA ca sati indriya jQAna viza ya kzaNAt uttarakzaNaH eka santAna antarBUtaH 
   gṛhītaḥ | sa sahakārī yasya indriyajñānasya tattathoktam |	gRhItaH | sa sahakArI yasya indriya jQAnasya tat taTA uktam |
   dvividhaśca sahakārī  parasparopakārī, ekakāryakārī ca | iha ca kṣaṇike	dviviDaH ca saha kArI paraspara upakArI, eka kArya kArI ca | iha ca kzaNike
   vastuni atiśayādhānāyogādekakāyakāritvena sahakārī gṛhyate |	vastuni atiSaya ADAna ayogAt eka kAya kAri tvena sahakArI gRhyate |
   viṣayaviānābhyāṃ hi manovijñānamekaṃ kriyate yataḥ, tadanayoḥ paraspara	vizaya viAnAByAm hi manaH vijQAnam ekam kriyate yataH, tad anayoH paraspara
   sahakaritvam |	saha kari tvam |
   svaśabdasya vivaraṇam  ātmīya iti | indriyavijñānasyātmīyo viṣayakṣaṇaḥ |	sva Sabdasya vivaraNam AtmIyaH iti | indriya vijQAnasya AtmIyaH viza yakzaNaH |
   tasyanantara ityasya vivaraṇam  na vidayata ityādi | antaraśabdasya	tasyanantaraH iti asya vivaraNam na vidayate ityAdi | antara Sabdasya
   vivaraṇaṃ vyavadhānamityādi | samānajātīya upādeyakṣaṇa	vivaraNam vyavaDAnam ityAdi | samAna jAtIyaH upAdeya kzaNa
   indriyavijñānaviṣayasyāvyavahitaḥ samanajātīyakṣaṇa ucyate | sa	indriya vijQAna vizayasya avyavahitaH samana jAtI yakzaNaH ucyate | sa
   vipādeyakṣaṇo viṣayaḥ | viṣayagrahaṇenālokasyāntarasya nirāsaḥ | sa	vipAdeya kzaNaH vizayaH | vizaya grahaNena Alokasya antarasya nirAsaH | sa
   tathābhūtaḥ sahakārī yasyeti sambandhaḥ |	taTABUtaH sahakArI yasya iti sambanDaH |
   nanu ca kathaṃ viṣayakṣaṇasya sahakāritvam, ekasmin kṣaṇe	nanu ca kaTam viza yakzaNasya sahakAri tvam, ekasmin kzaNe
   upakāryopakārakabhavābhāvāt? ityāha  dvividheścetyādi | evaṃ manyate 	upakArya upakAraka Bava aBAva at? iti Aha dviviDeH ca ityAdi | evam manyate 
   nātropakāraktvāt sahakāritvam, api tu ekakāryakāritvāditi | tadeva	na atra upakAraktvAt sahakAri tvam, api tu eka kArya kAri tvAt iti | tat eva
   darśayati  viṣayetyādinā | īdṛśeneti |	darSayati vizaya ityAdinA | IdRSena iti |
   svaviṣayānantaraviṣayasahakāriṇendriyajñānena | ālambanapratyayabhūtenenti	sva vizaya anantara vizaya sahakAriNA indriya jQAnena | Alambana pratyaya BUtena inti
   | yadā yogijñānaṃ parasyairvavidhajñānamālambate, tadālambanabhūtena	| yadA yogi jQAnam parasya eH vaviDa jQAnam Alambate, tad Alambana BUtena
   yogijñānaṃ janyata iti | samaścāsāviti | anantarakṣaṇasyāpi jñānatvāt |	yogi jQAnam janyate iti | samaH ca asO= iti | ananta rakzaNasya api jQAna tvAt |
   smantara iti ca bhavati śakan'vādiṣu pāṭhāt ṣararūpatvam, yataḥ sa ceti	smantaraH iti ca Bavati Sakan avAdizu pAWAt zara rUpa tvam, yatas sa ca iti
   iha svaviṣayānantaraviṣaya it kathanaṃ gṛhītagrahaṇādavabodhakaṃ na	iha sva vizaya anantara vizayaH id kaTanam gRhIta grahaNAt avaboDakam na
   bhavatīti doṣam, tathā asamānajātīyaviṣayagrahaṇadoṣaṃ ca parihatu bodhyam	Bavati iti dozam, taTA asamAna jAtIya vizaya grahaNa dozam ca parihatu boDyam
   | tathā hi mānasa	| taTA hi mAnasa
   pratyakṣamindriyavijñānaviṣayānantaradvitīyakṣaṇotpattikaṃ yat	pratyakzam indriya vijQAna vizaya anantara dvitIya kzaNa utpattikam yat 
   tadviṣayakamiṣṭam | tasmāt kuto gṛhītagrahaṇam |	tad vizaya kam izwam | tasmAt kutas gRhIta grahaNam |
   īdṛśenendriyavijñānena ālambanabhūtenāpi yogijñānaṃ janyate, tannirāsārtha	IdRSena indriya vijQAnena Alambana BUtena api yogi jQAnam janyate, tad nirAsa arTa
   samanantarapratyayagrahaṇaṃ kṛtam | samaścāso jñānatvena, anantaraścāsau	samanantara pratyaya grahaNam kRtam | samaH ca AsaH jQAna tvena, anantaraH ca asO
   avyavahitatvena, sa cāsau pratyayaśca hetutvāt samanantarapratyayaḥ, tena	avyavahita tvena, sa ca asO pratyayaH ca hetu tvAt samanantara pratyayaH, tena
   janitam |	janitam |
   tadanenaikasantānāntarbhūtayoreva indriyajñāna	tad anena eka santAna antarBUtayoH eva indriya jQAna
   manovijñānayojanyajanakabhāve manovijñānaṃ pratyakṣamiti uktaṃ bhavati |	manaH vijQAna yojanya janaka BAve manaH vijQAnam pratyakzam iti uktam Bavati |
   tato yogijñānaṃ parasantānavarti nirastam |	tatas yogi jQAnam para santAna varti nirastam |
   yadā cendriyajñānaviṣayādanyo viṣayo manovijñānasya, tadā	yadA ca indriya jQAna vizayAt anyaH vizayaH manaH vijQAnasya, tadA
   gṛhītagrahaṇādāsañjito 'prāmāṇyadoṣo nirastaḥ |	gRhIta grahaNAt AsaQjitaH aprAmANya dozaH nirastaH |
   samanantaraḥ | hetutvāditi | pratyayārthakathanametat | tena	samanantaraH | hetu tvAt iti | pratyaya arTa kaTanam etat | tena
   janitamityādinetat kathayati  indriyavijñānena	janitam ityAdinetat kaTayati indriya vijQAnena
   svaviṣayāntaraviṣayasahakāriṇopādānabhūtena yajjanitaṃ tadeva manovijñānaṃ	sva vizaya antara vizaya sahakAriNA upAdAna BUtena yat janitam tat eva manaH vijQAnam
   pratyakṣam | na ālambanabhūtena janitamityarthā |	pratyakzam | na Alambana BUtena janitam iti arTAH |
   yadā cetyādinā dvayorekaṃ viṣayaṃ gṛhītvā yaccoditaṃ pareṇa tat parihṛtam	yadA ca ityAdinA dvayoH ekam vizayam gRhItvA yat ca uditam pareNa tat parihRtam
   | pūrvakṣaṇe indriyavijñānasya viṣayo dvitīyakṣaṇe manovijñānasya viṣaya	| pUrvakzaNe indriya vijQAnasya vizayaH dvitIya kzaNe manaH vijQAnasya vizaya
   ityagṛhītagrāhi manovijñānam |	iti agRhIta grAhi manaH vijQAnam |
   yadā cityādinā yaccodayaṃ kṛtam  yadi manovijñānamindriyasavyapekṣam, na	yadA citi AdinA yat ca udayam kRtam yadi manaH vijQAnam indriya savyapekzam, na
   syānmanovijñānasyendriyavijñānaviṣayādanyo viṣāyaḥ,	syAt manaH vijQAnasya indriya vijQAna vizayAt anyaH vizAyaH,
