   Cīvaravastu	SIva-ravaH-tu
   jīvakena dvātriṃśad utpalāni sraṃsanīyair dravyair bhāvayitvā bhagavate	jIvakena dvAtriMSat utpalAni sraMsanIyEH dravyEH BAvayitvA Bagavate
   dattāni / jighratu bhagavān etānīti / bhagavatā ghrātāni / dvātriṃśad	dattAni / jiGratu BagavAn etAni-iti / BagavatA GrAtAni / dvAtriMSat-
   evotthānāni labdhāni / tato bhagavantaṃ pṛcchati / kaścid bhagavān	eva-utTAnAni labDAni / tatas Bagavantam pRcCati / kaScid BagavAn
   samyagvirikta iti / bhagavān āha / santi jīvaka te doṣāḥ / ye cyutā na	samyak-viriktaH iti / BagavAn Aha / santi jIvaka te dozAH / ye cyutAH na
   srutāḥ santi / srutā na cyutāḥ santi / srutāś cyutāś ca santi / naiva	srutAH santi / srutAH na cyutAH santi / srutAH cyutAH ca santi / na-eva
   srutā na cyutā iti / jīvakaḥ kathayati / bhagavan yady evaṃ guḍaharītakīṃ	srutAH na cyutAH iti / jIvakaH kaTayati / Bagavan yadi evam guxa-harItakIm
   bhakṣaya / maṇḍānupūrvīṃ ca kuruṣveti / bhagavatā tathākṛtam* svastho	Bakzaya / maNxa-AnupUrvIm ca kuruzva-iti / BagavatA taTA-akRtam* svasTaH-
   jātaḥ /	jAtaH /
   ācaritaṃ jīvakasya yasya kasyacid rājño vā rājamātrasya vā cikitsāṃ karoti	Acaritam jIvakasya yasya kasyacid rAjQaH vA rAjamAtrasya vA cikitsAm karoti
   sa tasmai grāmaṃ vā grāmavaraṃ vā prayacchati / yāvad apareṇa samayena	sa tasmE grAmam vA grAma-varam vA prayacCati / yAvat apareNa samayena
   jīvakena videharājasya cikitsā kṛtā / tena tasmai śatasahasramūlyaṃ	jIvakena videha-rAjasya cikitsA kRtA / tena tasmE Sata-sahasra-mUlyam
   bṛhatikāprāvaraṇaṃ dattam* / sa tam ādāya (MSV II 48) yena bhagavāṃs	bRhatikA-prAvaraNam dattam* / sa tam AdAya (MSV II 48) yena BagavAn=-
   tenopasaṃkrāntaḥ / upasaṃkramya bhagavataḥ pādau śirasā vanditvaikānte	tena-upasaMkrAntaH / upasaMkramya BagavataH pAdO SirasA vanditvA-ekAnte
   niṣaṇṇaḥ / ekānte (250v1 = GBM 6.813) niṣaṇṇo jīvakaḥ kumārabhṛto	nizaNNaH / ekAnte (250v1  GBm 6.813) nizaNNaH jIvakaH kumAraBRtaH-
   bhagavantam idam avocat* / ācaritaṃ bhadanta mama yasya rājño vā	Bagavantam idam avocat* / Acaritam Badanta mama yasya rAjQaH vA
   rājamātrasya vā cikitsāṃ karomi sa me grāmaṃ vā grāmavaraṃ vānuprayacchati	rAjamAtrasya vA cikitsAm karomi sa me grAmam vA grAma-varam vA-anuprayacCati
   / tan mayā videharājasya cikitsā kṛtā / tena me śatasahasramūlyaṃ	/ tat mayA videha-rAjasya cikitsA kRtA / tena me Sata-sahasra-mUlyam
   bṛhatikāprāvaraṇaṃ dattam* / tad ahaṃ bhagavate 'nuprayacchāmi / tad	bRhatikA-prAvaraNam dattam* / tat aham Bagavate anuprayacCAmi / tat-
   bhagavān pratigṛhṇātv anukampām upādāyeti / pratigṛhṇāti bhagavāṃ	BagavAn pratigRhNAtu anukampAm upAdAya-iti / pratigRhNAti BagavAn
   jīvakasya kumārabhṛtasyāntikāc chatasahasramūlyaṃ bṛhatikāprāvaraṇam* /	jIvakasya kumAra-BRtasya-antikAt Sata-sahasra-mUlyam bRhatikA-prAvaraNam* /
   tena khalu samayenāyuṣmān ānando bhagavataḥ pṛṣṭhataḥ sthito 'bhūd	tena Kalu samayena-AyuzmAn AnandaH BagavataH pRzWatas sTitaH aBUt-
   vyajanaṃ gṛhītvā bhagavantaṃ vījayan* / tatra bhagavān āyuṣmantam ānandam	vyajanam gRhItvA Bagavantam vIjayan* / tatra BagavAn Ayuzmantam Anandam
   āmantrayate / gṛhāṇānanda śatasahasramūlyaṃ bṛhatikāprāvaraṇaṃ mamārthāya	Amantrayate / gRhANa-Ananda Sata-sahasra-mUlyam bRhatikA-prAvaraNam mama-arTAya
   śastralūnaṃ kuruṣveti / tata āyuṣmān ānando gṛhītvā vistīrṇāvakāśaṃ	Sastra-lUnam kuruzva-iti / tatas AyuzmAn AnandaH gRhItvA vistIrNa-avakASam
   pṛthivīpradeśaṃ gatvā māpayitum ārabdhaḥ / paśyati bahūni cīvarāṇi	pRTivI-pradeSam gatvA mApayitum ArabDaH / paSyati bahUni cIvarANi
   saṃpadyante / tatas tena bhagavatas tricīvaraṃ kṛtam ātmanaḥ sāntarottaram	saMpadyante / tatas tena BagavataH tri-cIvaram kRtam AtmanaH sa-antara-uttaram
   āyuṣmataś ca rāhulasya kusūlakaḥ / taṃ khalu varṣāvāsaṃ bhagavataḥ paṃca	AyuzmataH ca rAhulasya kusUlakaH / tam Kalu varzA-vAsam BagavataH paMca
   paṭaśatāni saṃpannāni / bhikṣusaṃghasya cānekāni / bhikṣavo na jānīte	pawa-SatAni saMpannAni / Bikzu-saMGasya ca-anekAni / BikzavaH na jAnIte
   kathaṃ pratipattavyam iti / etat prakaraṇaṃ bhikṣavo bhagavata ārocayanti	kaTam pratipattavyam iti / etat prakaraNam BikzavaH BagavataH Arocayanti
   / bhagavān āha / tasmād anujānāmi / bhikṣubhir gṛhapaticīvarakāṇi	/ BagavAn Aha / tasmAt anujAnAmi / BikzuBiH gRhapati-cIvarakANi
   śastralūnāni durvarṇīkṛtya dhārayitavyāni /	Sastra-lUnAni durvarNIkRtya DArayitavyAni /
   (MSV II 49)	(MSV II 49)
   ācaritaṃ rajño bimbisārasya bhikṣuṃ vā bhikṣuṇīṃ vā dṛṣṭvā hastiskandhād	Acaritam rajQaH bimbisArasya Bikzum vA BikzuNIm vA dRzwvA hasti-skanDAt-
   avatīrya pādābhivandanaṃ karoti / so 'pareṇa samayena hastinam abhiruhya	avatIrya pAda-aBivandanam karoti / saH apareNa samayena hastinam aBiruhya
   bhagavataḥ pādābhivandakaḥ saṃprasthitaḥ / yāvat paśyaty antarmārge	BagavataH pAda-aBivandakaH saMprasTitaH / yAvat paSyati antar-mArge
   ājīvakam* / sa tasya jātasaṃbhramo hastiskandhād avatīrya pādayor	AjIvakam* / sa tasya jAta-saMBramaH hasti-skanDAt avatIrya pAdayoH-
   nipatitaḥ / tatra ye aśrāddhās te saṃlakṣayanti / na kevalaṃ devo bhikṣuṣv	nipatitaH / tatra ye aSrAdDAH te saMlakzayanti / na kevalam devaH Bikzuzv
   evābhiprasannaḥ / ājīvakeṣv apy abhiprasanna iti / ye tu śrāddhās te	eva-aBiprasannaH / AjIvakezu api aBiprasannaH iti / ye tu SrAdDAH te
   saṃlakṣayanti / nūnaṃ devo bhikṣur iti kṛtvā sasaṃbhramo 'sya	saMlakzayanti / nUnam devaH BikzuH iti kRtvA sa-saMBramaH asya
   hastiskandhād avatīrya pādayor nipatita iti / te sandigdhamanaso rājānam	hasti-skanDAt avatIrya pAdayoH nipatitaH iti / te sandigDa-manasaH rAjAnam
   ūcuḥ / kasya devena vandanā kṛtā / bhagavataḥ śrāvakasya / deva ājīvaka	UcuH / kasya devena vandanA kRtA / BagavataH SrAvakasya / devaH AjIvaka
   eṣa na bhagavataḥ śrāvakaḥ / atha rājño bimbisārasyaitad abhavat* / etad	eza na BagavataH SrAvakaH / aTa rAjQaH bimbisArasya-etat aBavat* / etat-
   eva me karaṇīyaṃ bhavatv iti / sa yena bhagavāṃs tenopasaṃkrāntaḥ /	eva me karaNIyam Bavatu iti / sa yena BagavAn tena-upasaMkrAntaH /
   upasaṃkramya bhagavataḥ pādau śirasā vanditvā ekānte niṣaṇṇaḥ /	upasaMkramya BagavataH pAdO SirasA vanditvA ekAnte nizaNNaH /
   ekāntaniṣaṇṇo rājā māgadhaḥ śreṇyo bimbisāraḥ bhagavantam idam avocat* /	ekAnta-nizaNNaH rAjA mAgaDaH SreNyaH bimbisAraH Bagavantam idam avocat* /
   ācaritaṃ mama bhadanta bhikṣuṃ vā bhikṣuṇīṃ vā dṛṣṭvā hastiskandhād	Acaritam mama Badanta Bikzum vA BikzuNIm vA dRzwvA hasti-skanDAt-
   avatīrya tasya pādābhivandanāṃ kartum* / tad ahaṃ saṃjātasaṃbhramo	avatIrya tasya pAda-aBivandanAm kartum* / tat aham saMjAta-saMBramaH-
   hastiskandhād avatīrya kṛtvā ājīvakasya pādayor nipatitaḥ / aho bata	hasti-skanDAt avatIrya kRtvA AjIvakasya pAdayoH nipatitaH / aho bata
   bhagavann āryakāṇāṃ cīvarakeṣu kiṃcic cihna prajñāpayed anukampām	Bagavan AryakANAm cIvarakezu kiMcid cihna prajQApayet anukampAm
   upādāyeti / adhivāsayati bhagavān rājño bimbisārasya tūṣṇīṃbhāvena / atha	upAdAya-iti / aDivAsayati BagavAn rAjQaH bimbisArasya tUzNIMBAvena / aTa
   rājā bimbisāro bhagavatas tūṣṇīṃbhāvenādhivāsanāṃ viditvā bhagavataḥ pādau	rAjA bimbisAraH BagavataH tUzNIMBAvena-aDivAsanAm viditvA BagavataH pAdO
   śirasā vanditvā prakrāntaḥ / tatra bhagavān bhikṣūn āmantrayate sma haṃbho	SirasA vanditvA prakrAntaH / tatra BagavAn BikzUn Amantrayate sma haMBo
   (MSV II 50) bhikṣavaḥ sa ājīva upahataś ca yena dṛṣṭasatyasyāntikād	(MSV II 50) BikzavaH saH AjIvaH upahataH ca yena dRzwa-satyasya-antikAt-
   vandanā svīkṛteti / (251r1 = GBM 6.814)	vandanA svIkRtA-iti / (251r1  GBm 6.814)
   tena khalu samayenāyuṣmān ānando bhagavataḥ pṛṣṭhataḥ sthito 'bhūd	tena Kalu samayena-AyuzmAn AnandaH BagavataH pRzWatas sTitaH aBUt-
   vyajanaṃ gṛhītvā bhagavantaṃ vījayan* / tatra bhagavān āyuṣmantam ānandam	vyajanam gRhItvA Bagavantam vIjayan* / tatra BagavAn Ayuzmantam Anandam
   āmantrayate / dṣṭas te ānanda vaidehakaḥ parvataḥ / no bhadanta / gṛhāṇa	Amantrayate / dzwaH te Ananda vEdehakaH parvataH / naH Badanta / gRhANa
   tathāgatasya cīvarakarṇakam* / tena gṛhītam* / atha bhagavān tata eva	taTAgatasya cIvara-karNa-kam* / tena gRhItam* / aTa BagavAn tatas eva
   riddhyā upari vihāyasā prakrāntaḥ / rājagṛhe 'ntarhito vaidehake parvate	ridDyA upari vihAyasA prakrAntaH / rAjagRhe antarhitaH vEdehake parvate
   prātiṣṭhata / tena khalu samayena māgadhakānāṃ manuṣyāṇāṃ kṣetrāṇi samāni	prAtizWata / tena Kalu samayena mAgaDakAnAm manuzyANAm kzetrANi samAni
   samopavicārāṇi āvalīvinibaddhāni bhaktiracanāviśeṣavicitrāṇi dṛṣṭvā ca	sama-upavicArANi AvalI-vinibadDAni Bakti-racanA-viSeza-vicitrANi dRzwvA ca
   punar āyuṣmantam ānandam āmantrayate / dṛṣṭāni te ānanda etāni kṣetrāṇi	punar Ayuzmantam Anandam Amantrayate / dRzwAni te Ananda etAni kzetrANi
   samāni samopavicārāṇy āvalīvinibaddhāni bhaktiracanāviśeṣavicitrāṇi /	samAni sama-upavicArANi AvalI-vinibadDAni Bakti-racanA-viSeza-vicitrANi /
   dṛṣṭāni bhadanta / tasmād ānanda anenākāreṇa bhikṣubhiś cīvarāṇi chitvā	dRzwAni Badanta / tasmAt Ananda anena-AkAreNa BikzuBiH cIvarANi CitvA
   setavyāni / sthavirānandena bhikṣūṇām ārocitam* / yuṣmābhir anenākāreṇa	setavyAni / sTavira-Anandena BikzUNAm Arocitam* / yuzmABiH anena-AkAreNa
   cīvarakāni pāṭayitvā setavyānīti / bhikṣavaḥ pāṭayitvā cīvarāṇi setum	cIvarakAni pAwayitvA setavyAni-iti / BikzavaH pAwayitvA cIvarANi setum
   ārabdhāḥ / ekena pārśvena patramukhāni pātayanti / na śobhante / āyuṣmān	ArabDAH / ekena pArSvena patra-muKAni pAtayanti / na SoBante / AyuzmAn
   ānandaḥ saṃlakṣayati / kiṃcāpi bhagavatā nānujñātam* / (MSV II 51) sthānam	AnandaH saMlakzayati / kiMca-api BagavatA na-anujQAtam* / (MSV II 51) sTAnam
   etad vidyate yad etad eva pratyayaṃ kṛtvā anujñāsyatīti /	etat vidyate yat etat eva pratyayam kRtvA anujQAsyati-iti /
   tenobhayapārśvayoḥ patramukhāni dattāni / tathāpy anupātaṃ vinā na śobhate	tena-uBaya-pArSvayoH patra-muKAni dattAni / taTA-api anupAtam vinA na SoBate
   ity anupāto dattaḥ / tataḥ kṛtaniścitaṃ bhagavata upanāmitam* / bhagavān	iti anupAtaH dattaH / tatas kRta-niScitam BagavataH upanAmitam* / BagavAn
   āha / sādhu sādhv ānanda yan mayā nānujñātaṃ tat tvayā vijātam* / tasmād	Aha / sADu sADu Ananda yat mayA na-anujQAtam tat tvayA vijAtam* / tasmAt-
   anujānāmi bhikṣubhir anenākāreṇa cīvarāṇi chitvā sevitavyāni / bhikṣava	anujAnAmi BikzuBiH anena-AkAreNa cIvarANi CitvA sevitavyAni / Bikzava
   evaikaṃ cīvaraṃ chitvā syūtvā dhāvayituṃ pravṛttāḥ / avaśiṣṭāny acchinnāni	eva-ekam cIvaram CitvA syUtvA DAvayitum pravRttAH / avaSizwAni acCinnAni
   tato bhagavān magadheṣu janapadeṣu cārikāṃ carann āṭavikām anuprāptaḥ /	tatas BagavAn magaDezu janapadezu cArikAm caran AwavikAm anuprAptaH /
   āṭavikāyāṃ viharaty agrāṭavike dāve / āṭavikā nadī samīpasaṃyogāc chītalā	AwavikAyAm viharati agrAwavike dAve / AwavikA nadI samIpa-saMyogAt SItalA
   pravātā ca / bhagavatā prathame yāme antarvāsaḥ prāvṛtaḥ / madhyame yāme	pravAtA ca / BagavatA praTame yAme antarvAsaH prAvRtaH / maDyame yAme
   uttarāsaṅgaḥ / paścime yāme āyuṣmantam ānandam āmantrayate / anuprayaccha	uttarAsaFgaH / paScime yAme Ayuzmantam Anandam Amantrayate / anuprayacCa
   me ānanda saṃghāṭīm iti / tata āyuṣmatānandena hastau prakṣālya bhagavata	me Ananda saMGAwIm iti / tatas AyuzmatA-Anandena hastO prakzAlya Bagavata
   upariṣṭād dattā saṃghāṭī / sā rātrir bhagavatā tricīvareṇātināmitā / tataḥ	uparizwAt dattA saMGAwI / sA rAtriH BagavatA tricIvareNa-ati-nAmitA / tatas-
   prabhātāyāṃ rajanyāṃ saṃlakṣayati / ye kecil loke sukumārakāḥ sukhaiṣiṇaḥ	praBAtAyAm rajanyAm saMlakzayati / ye kecid loke sukumArakAH suKa-eziNaH
   / ahaṃ teṣām agraḥ / tad ahaṃ śaknomi tricīvareṇa yāpayituṃ kiṃ punar me	/ aham tezAm agraH / tat aham Saknomi tri-cIvareNa yApayitum kim punar me
   śrāvakā iti viditvā bhikṣūn āmantrayate sma / tasmāt tarhi bhikṣavo	SrAvakAH iti viditvA BikzUn Amantrayate sma / tasmAt tarhi BikzavaH-
   bhikṣubhiś chinnaṃ tricīvaraṃ dhārayitavyam iti /	BikzuBiH Cinnam tri-cIvaram DArayitavyam iti /
   (MSV II 52)	(MSV II 52)
   uktaṃ bhagavatā chinnaṃ tricīvaraṃ dhārayitavyam iti / anyatamasya bhikṣos	uktam BagavatA Cinnam tri-cIvaram DArayitavyam iti / anyatamasya BikzoH-
   tricīvaraṃ nāsti / tasya namataṃ saṃpannam* / sa tac chettum ārabdhaḥ /	tri-cIvaram na-asti / tasya namatam saMpannam* / sa tat Cettum ArabDaH /
   bhagavāṇś ca taṃ pradeśam anuprāptaḥ pṛcchati / bhikṣo kim idam* / uktaṃ	BagavANH ca tam pradeSam anuprAptaH pRcCati / BikzaH kim idam* / uktam
   bhadanta bhagavatā bhikṣuṇā chinnaṃ tricīvaraṃ dhārayitavyam iti / mama	Badanta BagavatA BikzuNA Cinnam tri-cIvaram DArayitavyam iti / mama
   (251v1 = GBM 6.815) tṛtīyaṃ cīvaraṃ nāsti / paryeṣamāṇasya me idaṃ namataṃ	(251v1  GBm 6.815) tRtIyam cIvaram na-asti / paryezamANasya me idam namatam
   saṃpannam* / chitvā cīvaraṃ karomi / naitad bhikṣo chedanārham api tv	saMpannam* / CitvA cIvaram karomi / na-etat BikzaH Cedana-arham api tu-
   āsīvakārham* / sīvakaṃ kṛtvā dhāraya / ity uktā prakrāntaḥ / bhikṣusaṃghaṃ	AsIvaka-arham* / sIvakam kRtvA DAraya / iti uktA prakrAntaH / Bikzu-saMGam
   sannipātya purastād bhikṣusaṃghasya prajñapta evāsane niṣaṇṇaḥ / niṣadya	sannipAtya purastAt Bikzu-saMGasya prajQapte eva-Asane nizaNNaH / nizadya
   bhagavān bhikṣūn āmantrayate sma / amukasya bhikṣavo bhikṣoś cīvaraṃ	BagavAn BikzUn Amantrayate sma / amukasya BikzavaH BikzoH cIvaram
   nāstīti namataṃ chedayatīti / tasmāt tarhi bhikṣavaḥ paṃcāchedyāni /	na-asti-iti namatam Cedayati-iti / tasmAt tarhi BikzavaH paMcACedyAni /
   sarvaṃ namataṃ / sarvaṃ prāvārakaṃ / sarvaṃ kocavaṃ / sarvaṃ lelohitaṃ /	sarvam namatam / sarvam prAvArakam / sarvam kocavam / sarvam lelohitam /
   sarvaṃ sthūlakambalañ ceti / āsīvakāṃs tu datvā dhārayitavyam* /	sarvam sTUlakambalan ca-iti / AsIvakAn tu datvA DArayitavyam* /
   śrāvastyāṃ nidānam* / rājñaḥ prasenajitaḥ kosalasya mṛgāro nāma agrāmātyaḥ	SrAvastyAm nidAnam* / rAjQaH prasenajitaH kosalasya mRgAraH nAma agra-amAtyaH
   / tena sadṛśāt kulāt kalatram ānītam* / sa tayā (MSV II 53) sārdhaṃ	/ tena sadRSAt kulAt kalatram AnItam* / sa tayA (MSV II 53) sArDam
   krīḍati ramate paricārayati / tasya krīḍato ramamāṇasya paricārayataḥ	krIxati ramate paricArayati / tasya krIxataH ramamANasya paricArayataH
   putro jātaḥ / evaṃ yāvat sapta putrāḥ jātāḥ / tatra ṣaṇṇāṃ	putraH jAtaH / evam yAvat sapta putrAH jAtAH / tatra zaNNAm
   yathābhipretavyavastham* / tena nāmāni vyavasthāpitāni / yas tu kanīyāṃs	yaTA-aBipreta-vyavasTam* / tena nAmAni vyavasTApitAni / yaH tu kanIyAn=-
   tasya viśākha iti nāmadheyaṃ vyavasthāpitam* / yāvan mṛgārasya patnī	tasya viSAKaH iti nAmaDeyam vyavasTApitam* / yAvat mRgArasya patnI
   kālagatā / tena ṣaṇṇāṃ putrāṇāṃ niveśaḥ kṛtaḥ / te svakasvakābhiḥ	kAlagatAH / tena zaNNAm putrANAm niveSaH kRtaH / te svaka-svakABiH
   patnībhiḥ sārdhaṃ maṇḍanaparamā vyavasthitāḥ / gṛhakāryaṃ na cintayanti /	patnIBiH sArDam maNxana-paramAH vyavasTitAH / gRha-kAryam na cintayanti /
   mṛgāro gṛhapatiḥ kare kapolaṃ datvā cintāparo vyavasthitaḥ / tasya	mRgAraH gRhapatiH kare kapolam datvA cintA-paraH vyavasTitaH / tasya
   sapremako brāhmaṇa āgataḥ / sa tena cintāparo dṛṣṭaḥ / sa kathayati /	sa-premakaH brAhmaNaH AgataH / sa tena cintA-paraH dRzwaH / sa kaTayati /
   gṛhapate kim asi cintāparaḥ / mamāmī putrāḥ svakasvakābhiḥ patnībhiḥ	gRhapate kim asi cintA-paraH / mama-amI putrAH svaka-svakABiH patnIBiH
   sārdhaṃ maṇḍanaparamā vyavasthitāḥ / gṛhakāryaṃ na cintayanti / gṛham	sArDam maNxana-paramAH vyavasTitAH / gRha-kAryam na cintayanti / gRham
   avasādaṃ gamiṣyatīti / sa kathayati / viśākhasya kasmān niveśo na kriyate	avasAdam gamizyati-iti / sa kaTayati / viSAKasya kasmAt niveSaH na kriyate
   / ko jānīyāt kadācit so 'pi pāpataro bhavet* / etad api na jñāyate kadācic	/ kaH jAnIyAt kadAcid saH api pApataraH Bavet* / etat api na jQAyate kadAcid-
   chobhanataro bhavet* / yadi te 'numataṃ samanveṣayāmi dārikam* / evaṃ kuru	CoBanataraH Bavet* / yadi te anumatam samanvezayAmi dArikam* / evam kuru
   / sa gaveṣamāṇo 'nupūrveṇa caṇpām anuprāptaḥ /	/ sa gavezamANaH anupUrveNa caNpAm anuprAptaH /
   caṇpāyāṃ balamitro nāma gṛhapatiḥ / tasya viśākhā nāma duhitā	caNpAyAm balamitraH nAma gRhapatiH / tasya viSAKA nAma duhitA
   rūpayauvanavatī nayavinayasaṃpannā paṇḍitā paṭupracārā / sā	rUpa-yOvanavatI naya-vinaya-saMpannA paNxitA pawu-pracArA / sA
   yathābhipretamanoharābhir dārikābhiḥ sārdham udyānabhūmiṃ saṃprasthitā /	yaTA-aBipreta-manoharABiH dArikABiH sArDam udyAna-BUmim saMprasTitA /
   sa ca brāhmaṇas taṃ pradeśam āgataḥ / tena sā dārikā dṛṣṭā / sa	sa ca brAhmaNaH tam pradeSam AgataH / tena sA dArikA dRzwA / sa
   saṃlakṣayati / āsām eva tāvat parīkṣā kartavyeti / sa ca āsām	saMlakzayati / AsAm eva tAvat parIkzA kartavyA-iti / sa ca AsAm
   avadhānatatparo mandagatipracāratayā pṛṣṭho 'nubaddhaḥ / prāyo nāryaś	avaDAna-tatparaH manda-gati-pracAra-tayA pRzWaH anubadDaH / prAyas nAryaS
   calat svabhāvāḥ / (MSV II 54) tāsāṃ kācid dhāvati kācid utpatati kācin	calat svaBAvAH / (MSV II 54) tAsAm kAcid DAvati kAcid utpatati kAcid-
   nipatati kācid hasati kācid gātravikṣepaṃ karoti kācid gāyati / imāni	nipatati kAcid hasati kAcid gAtra-vikzepam karoti kAcid gAyati / imAni
   cānyāni ca durvṛttaceṣṭitāni kurvati / sā tu vinayasaṃpannā	ca-anyAni ca durvRtta-cezwitAni kurvati / sA tu vinaya-saMpannA
   mandagatipracārā tābhiḥ sārdhaṃ gacchati / yāvad udyānaṃ saṃprāptās tā	manda-gati-pracArA tABiH sArDam gacCati / yAvat udyAnam saMprAptAH tA
   dārikāḥ puṣkariṇyās tīre vastrāṇi sthāpayitvā sahasāvatīrya krīḍitum	dArikAH puzkariNyAH tIre vastrANi sTApayitvA sahasA-avatIrya krIxitum
   ārabdhāḥ / sā tu yathā yathā pānīyam avatarati tathā tathā vastram	ArabDAH / sA tu yaTA yaTA pAnIyam avatarati taTA taTA vastram
   utkṣipyāvatīrṇā tathaiva śānteneryāpathā yathā yathā vyuttiṣṭhate tathā	utkzipya-avatIrNA taTA-eva SAnteneH-yA-paTAH yaTA yaTA vyuttizWate taTA
   tathā vastram avatārayati / tataḥ snātaprayatā ekasmin sthāne sthitā / tā	taTA vastram avatArayati / tatas snAta-prayatAH ekasmin sTAne sTitA / tA
   dārikā ātmanā prathamato bhuktvā parijanaṃ pariveṣṭum (252r1 = GBM 6.816)	dArikA AtmanA praTamatas BuktvA parijanam parivezwum (252r1  GBm 6.816)
   ārabdhāḥ / sāpi pūrvaṃ parijanaṃ pariveṣya paścād ātmanā paribhoktum	ArabDAH / sA-api pUrvam parijanam parivezya paScAt AtmanA pariBoktum
   ārabdhā / tato bhuktapītā udyānasukham anubhūya saṃprasthitā / yāvad	ArabDAH / tatas Bukta-pItAH udyAna-suKam anuBUya saMprasTitA / yAvat-
   antarmārge pānīyam uttartavyaṃ tā dārikā upānahau chorayitvottīrṇāḥ / sā	antar-mArge pAnIyam uttartavyam tAH dArikAH upAnahO CorayitvA-uttIrNAH / sA
   tu sopānatkaiva punaḥ saṃprasthitā / tāsām ārāmasaṃpraveśo jātaḥ / sā	tu sopAnatkA-eva punar saMprasTitA / tAsAm ArAma-saMpraveSaH jAtaH / sA
   chatram ādāya āmravanam atikrāntā / anyābhiś chatrāṇi choritāni / tato	Catram AdAya Amra-vanam atikrAntA / anyABiH CatrANi CoritAni / tatas-
   vātavarṣaṃ prādurbhutam* / tadā dārikā devakulaṃ praviśyāvasthitā / sā tv	vAta-varzam prAdurButam* / tadA dArikA devakulam praviSya-avasTitA / sA tu-
   abhyavakāśa eva / sa brāhmaṇas tasyās tādṛśalakṣaṇapracārān dṛṣṭvā tato	aByavakASaH eva / sa brAhmaNaH tasyAH tAdRSa-lakzaNa-pracArAn dRzwvA tatas-
   jātakutūhalas tāṃ dārikāṃ praṣṭum ārabdhaḥ / dārike kasya tvam* /	jAta-kutUhalaH tAm dArikAm prazwum ArabDaH / dArike kasya tvam* /
   balamitrasya duhitā / putri pṛcchāmi / tena kiñcit tvayā kopaḥ karaṇīyaḥ /	bala-mitrasya duhitA / putri pRcCAmi / tena kiQcid tvayA kopaH karaNIyaH /
   sā smitapūrvaṃgamā kathayati / tāta pṛccha / ko 'tra kopaḥ / putri sarvā	sA smita-pUrvaMgamA kaTayati / tAta pRcCa / kaH atra kopaH / putri sarvA
   eva dārikā dhāvantya utpatantyo nipatantyo gātravikṣepaṃ kurvantya imāni	eva dArikAH DAvantyaH utpatantyaH nipatantyaH gAtra-vikzepam kurvantyaH imAni
   cānyāni ca durvṛttaceṣṭitāni kurvantyo gacchanti tvaṃ punar vinayasaṃpannā	ca-anyAni ca durvRtta-cezwitAni kurvantyaH gacCanti tvam punar vinaya-saMpannA
   mandagatipracāratayā ābhiḥ (MSV II 55) sārdham udyānaṃ gacchasīti / sā	manda-gati-pracAra-tayA ABiH (MSV II 55) sArDam udyAnam gacCasi-iti / sA
   kathayati / sarvā dārikā mātāpitror vikreyaṃ dravyam* / yadi mama	kaTayati / sarvA dArikA mAtA-pitroH vikreyam dravyam* / yadi mama
