   Guṇakāraṇḍavyūha sūtra	GuNa kAraNxavyUha sUtra
   yathāvidhi samabhyarcya bhajāni sarvadābhavam //	yaTAviDi samaByarcya BajAni sarvadA aBavam //
   tathā ca dharmaratnānāṃ śaraṇe samupasthitaḥ /	taTA ca Darma ratnAnAm SaraNe samupasTitaH /
   satkṛtya śraddhayā gauṇyaṃ śrutvā bhajāni sarvadā //	satkRtya SradDayA gONyam SrutvA BajAni sarvadA //
   tathā ya saṃgharatnānāṃ śaraṇe sarvadā sthitaḥ /	taTA ye saMGa ratnAnAm SaraNe sarvadA sTitaH /
   tathārhabhojanaiścāpi satkṛtya prabhajāmyaham //	taTA arha BojanEH ca api satkRtya praBajAmi aham //
   yathātra bhavatādiṣṭaṃ saṃcariṣye tathā khalu /	yaTA atra BavatA Adizwam saMcarizye taTA Kalu /
   saṃbodhisādhanaṃ dharmaṃ samupādeṣṭumarhati //	saMboDi sADanam Darmam samupAdezwum arhati //
   iti taduktamākarṇya lokeśvaraḥ sa sarvavit /	iti tat uktam AkarNya lokeSvaraH sa sarva vid /
   prabodhitaṃ tamālokya daityendramevamādiśat //	praboDitam tam Alokya dEtya indram evam AdiSat //
   sādho bale 'surendro 'si tacchriṇuṣva samāhitaḥ /	sADo bale asura indraH asi tat SriNuzva samAhitaH /
   hitārthaṃ te pravakṣyāmi yadi saddharmamicchasi //	hita arTam te pravakzyAmi yadi sadDarmam icCasi //
   ādau viramya pāpebhyo duṣṭamitrāddūragataḥ //	AdO viramya pApeByaH duzwa mitrAt dUra gataH //
   sanmitraṃ samupāśritya cara bhadra samāhitaḥ //	sat mitram samupASritya cara Badra samAhitaH //
   (Gkv 91)	(Gku 91)
   tataḥ śraddhāśayo dhīraścaturbrahmavihārikaḥ /	tatas SradDA SayaH DIraH catur brahma vihArikaH /
   triratnabhajanaṃ kṛtvā bodhicaryāvrataṃ cara //	tri ratna Bajanam kRtvA boDi caryA vratam cara //
   saugatebhyastathārthibhyaḥ śraddhayā mānayan mudā /	sOgateByaH taTA arTiByaH SradDayA mAnayan mudA /
   saṃbodhipraṇidhānena kuruṣva dānamīpsitam //	saMboDi praNiDAnena kuruzva dAnam Ipsitam //
   saṃbodhipraṇidhānena yaddhānaṃ śraddhayā kṛtam /	saMboDi praNiDAnena yat DAnam SradDayA kRtam /
   tatfalaṃ hi mahatsiddhaṃ saṃbuddhapadasādhanam //	tatfalam hi mahat sidDam saMbudDa pada sADanam //
   tato 'nyatpraṇidhānena yaddānaṃ prakṛtaṃ mudā /	tatas anyat praNiDAnena yat dAnam prakRtam mudA /
   tatkalaṃ śrīmahatsaukhyaṃ dadyān naiva tu saugatam //	tat kalam SrI mahat sOKyam dadyAt na eva tu sOgatam //
   tattriratnamanusmṛtvā saṃbodhinihitāśayaḥ /	tat tri ratnam anusmRtvA saMboDi nihita ASayaH /
   dadasva śraddhayā dānaṃ bauddhaṃ padaṃ yadīcchasi //	dadasva SradDayA dAnam bOdDam padam yadi icCasi //
   evaṃ datvā sadā dānaṃ bodhicitto jitendriyaḥ /	evam datvA sadA dAnam boDi cittaH jita indriyaH /
   śuciśīlasamācāraścarasva poṣadhaṃ vratam //	Suci SIla samAcAraH carasva pozaDam vratam //
   vrataṃ vinā na śudhyeta trikāyaṃ mahatāmapi /	vratam vinA na SuDyeta tri kAyam mahatAm api /
   tadbodhipraṇidhānena caraṣva saugataṃ vratam //	tad boDi praNiDAnena carazva sOgatam vratam //
   evaṃ vrataṃ sadā dhṛtvā caturbrahmavihāradhṛk /	evam vratam sadA DRtvA catur brahma vihAra DRk /
   saṃbodhipraṇidhānena kṣāntivrataṃ samācara //	saMboDi praNiDAnena kzAnti vratam samAcara //
   kṛta kalpasahastrairyaddānaṃ triratnasādhanam /	kRta kalpa sahastrEH yat dAnam tri ratna sADanam /
   kleśotthito jagadduṣṭaḥ kradho hanti kṣaṇena tat //	kleSa utTitaH jagat duzwaH kraDaH hanti kzaNena tat //
   tatkleśārīn jagadduṣṭān krodhamūlān vinirjayan /	tad kleSa arIn jagat duzwAn kroDa mUlAn vinirjayan /
   saṃbodhipraṇidhānena sattve kṣamāvrataṃ cara //	saMboDi praNiDAnena sattve kzamA vratam cara //
   kevalaṃ kṣamayā naiva saddharmaguṇasādhanam /	kevalam kzamayA na eva sat Darma guNa sADanam /
   vinā vīryasamutsāham sidhyate bodhisaṃvaram //	vinA vIrya samutsAham siDyate boDi saMvaram //
   tatkaudhīdyaṃ samutsṛjya saṃbodhinihitāśayaḥ /	tad kODIdyam samutsRjya saMboDi nihita ASayaH /
   dhṛtvā vīryasamutsāhaṃ cara bhadrārthasādhane //	DRtvA vIrya samutsAham cara Badra arTa sADane //
   na hi vīryaṃ vinākāryaṃ sidhyate sudhiyāmapi /	na hi vIryam vinA akAryam siDyate suDiyAm api /
   tasmādvīryaṃ samādhāya saṃbodhikṛtaniścayaḥ //	tasmAt vIryam samADAya saMboDi kRta niScayaH //
   svaparāmahitādhānaṃ saddharmaratnamarjaya /	sva parAmahita ADAnam sadDarma ratnam arjaya /
   durbuddherhi mahotsāhaṃ vīryaṃ na sādhayecchubham //	durbudDeH hi mahA utsAham vIryam na sADayet SuBam //
   (Gkv 92)	(Gku 92)
   svaparātmahitotpātameva kuryāt sadārivat /	sva para Atma hita utpAtam eva kuryAt sa dAri vat /
   taddhairyasumatiṃ dhṛtvā saṃbodhidhyānaniṣṭhitaḥ //	tad DErya sumatim DRtvA saMboDi DyAna nizWitaH //
   sarvasattvahitādhānaṃ saddharmaratnamarjaya /	sarva sattva hita ADAnam sadDarma ratnam arjaya /
   prajñāvirahito naiva dhyānāhito 'pi sidhyate /	prajQA virahitaH na eva DyAna ahitaH api siDyate /
   tatsatprajñāmahāratnamarjaya trijagaddhite //	tat sat prajQA mahA ratnam arjaya trijagat hite //
   etaddhi paramopāyaṃ saṃbodhijñānasādhane /	etat hi parama upAyam saMboDi jQAna sADane /
   vijñāya tvaṃ sadā sattvahitārthe cara sadvratam //	vijQAya tvam sadA sattva hita arTe cara sat vratam //
   tadā tvaṃ bodhisattva syāḥ sarvasattvahitārthabhṛt /	tadA tvam boDisattva syAH sarva sattva hita arTa BRt /
   bhadracārī mahāabhijño mahāsattvo jinātmajaḥ //	BadracArI mahAaBijQaH mahAsattvaH jina AtmajaH //
   iti bauddhapadaṃ prāptuṃ yadīcchasi jagaddhite /	iti bOdDa padam prAptum yadi icCasi jagat hite /
   bodhicittaṃ mahāratnaṃ prāptuṃ ratnatrayaṃ bhaja //	boDi cittam mahAratnam prAptum ratna trayam Baja //
   triratnabhajanotpatrapuṇyaratnānubhāvataḥ /	tri ratna Bajana utpatra puNya ratna anuBAvataH /
   bodhicittaṃ mahāratnaṃ prāpsyate jagaddhite //	boDi cittam mahAratnam prApsyate jagat hite //
   iti tena jagacchāstrā samādiṣṭaṃ niśamya saḥ /	iti tena jagat SAstrA samAdizwam niSamya saH /
   baliḥ prabodhito bodhicaryāvrataṃ samaicchata //	baliH praboDitaH boDi caryA vratam samEcCata //
   tataḥ sa balirālokya taṃ lokeśaṃ jinātjam /	tatas sa baliH Alokya tam lokeSam jinAt jam /
   sāṃjaliḥ praṇatiṃ kṛtvā prārthayaccaivamādarāt //	sAMjaliH praNatim kRtvA prArTayat ca evam AdarAt //
   bhagavaṃstrijagannātho bhavāneva jagadguruḥ /	Bagavan= trijagannATaH BavAn eva jagadguruH /
   samuddhartā suhṛnmitraṃ kaścinnaivāparo mama //	samudDartA suhRd mitram kaScid na eva aparaH mama //
   tadājñāṃ bhavatāṃ dhṛtvā śirasāhaṃ samāhitaḥ /	tad AjQAm BavatAm DRtvA SirasA aham samAhitaH /
   triratnabhajanaṃ kṝtvā saṃcariṣye susaṃvaram //	tri ratna Bajanam kLtvA saMcarizye su saMvaram //
   taccittaratnasaṃprāptyai sarvān buddhān munīśvarān /	tad citta ratna saMprAptyE sarvAn budDAn muni ISvarAn /
   dharmaratnaṃ ca saṃghāṃśca śaraṇaṃ gacchāmi sarvadā //	Darma ratnam ca saMGAn= ca SaraNam gacCAmi sarvadA //
   teṣāṃ pūjāṃ kariṣyāmi śraddhayā samupasthitaḥ /	tezAm pUjAm karizyAmi SradDayA samupasTitaH /
   dharmeṃ śrutvā ca saṃghānāṃ dāsye yathārhaṃ bhojanam //	Darmem SrutvA ca saMGAnAm dAsye yaTArham Bojanam //
   adyārabhya sadā teṣāṃ munīndrāṇāmupāsakaḥ /	adya AraBya sadA tezAm muni indrANAm upAsakaH /
   yathāvidhi vrataṃ dhṛtvā cariṣyāmi jagaddhite //	yaTAviDi vratam DRtvA carizyAmi jagat hite //
   saccittaratnagrahaṇāya samyakpūjāṃ karomyeṣa tathāgatānām /	sat citta ratna grahaNAya samyak pUjAm karomi eza taTAgatAnAm /
   saddharmaratnasya ca nirmalāsya buddhātmajānāṃ ca guṇākarāṇām //	sadDarma ratnasya ca nirmala asya budDa AtmajAnAm ca guNa AkarANAm //
   (Gkv 93)	(Gku 93)
   yāvanti puṣpāṇi falāni cauvaṃ bhaiṣajyajātāni ca yānio santi /	yAvanti puzpANi falAni ca ovam BEzajya jAtAni ca yAniaH santi /
   ratnāni yāvanti ca santi loke jalāni ca svacchamanoramāṇi //	ratnAni yAvanti ca santi loke jalAni ca svacCa manoramANi //
   mahīdharā ratnamayāstathānye vanapradeśāśca vivekaramyāḥ /	mahIDarAH ratna mayAH taTA anye vana pradeSAH ca viveka ramyAH /
   latāḥ supuṣpābharaṇojjvalāśca dumāśca ye satfalanamraśākhāḥ //	latAH su puzpa ABaraNa ujjvalAH ca dumAH ca ye sa tfala namra SAKAH //
   devādilokeṣu ca gandhadhūpāḥ kalpadrumā ratnamayāśca vṛkṣāḥ /	deva Adi lokezu ca ganDa DUpAH kalpadrumAH ratna mayAH ca vRkzAH /
   sarāṃsi cāmbhoruhabhūṣanāni haṃsasvanātyantamanoharāṇi //	sarAMsi ca amBoruha BUzanAni haMsa svana atyanta manoharANi //
   akṛṣṭajātāni ca śasyajātānyanyāni vā pūjyavibhūṣaṇāni /	akRzwa jAtAni ca Sasya jAtAni anyAni vA pUjya viBUzaNAni /
   ākāśadhātiprasarāvadhīni sarvānyapīmānyaparigrahāni //	AkASa DAti prasara avaDIni sarvAnyapi imAni aparigrahAni //
   ādāya buddhayā munīpuṃgavebhyo niryātayāmyeṣa saputrakebhyaḥ /	AdAya budDayA munI puMgaveByaH niryAtayAmi eza sa putrakeByaH /
   gṛhṇantu tanme varadakṣiṇīyā mahākṛpā māmanukampamānāḥ //	gRhNantu tat me vara dakziNIyAH mahA kRpAH mAm anukampamAnAH //
   apuṇyavānasmi mahādaridraḥ pūjārthamanyanmama nāsti kiṃcit /	apuNyavAn asmi mahA daridraH pUjA arTam anyat mama na asti kiMcid /
   ato mamārthaya parārthacintā gṛṇantu nāthā idamātmaśaktyā //	atas mama arTaya para arTa cintA gRNantu nATAH idam Atma SaktyA //
   dadāmi cātmānamahaṃ jinebhyaḥ sarveṇa sarvaṃ ca tadātmajebhyaḥ /	dadAmi ca AtmAnam aham jineByaH sarveNa sarvam ca tad AtmajeByaH /
   parigrahaṃ me kurutāgrasattvā yuṣmāsu dāsatvamupaimi bhaktyā //	parigraham me kuruta agra sattvAH yuzmAsu dAsa tvam upEmi BaktyA //
   parigraṇāsmi bhavatkṛtena nibhīrbhave sattvahitaṃ karomi /	parigraNA asmi Bavat kRtena niBIH Bave sattva hitam karomi /
   pūrvaṃ ca pāpaṃ samatikramāmi nānyacca pāpaṃ prakaromi bhūyaḥ //	pUrvam ca pApam samatikramAmi na anyat ca pApam prakaromi BUyas //
   sabuddhadharmasaṃgheṣu caityeṣu pratimāsu ca /	sa budDa Darma saMGezu cEtyezu pratimAsu ca /
   puṣparatnādivarṣāśca pravartantāṃ nirantaram //	puzpa ratna Adi varzAH ca pravartantAm nirantaram //
   bodhisattvā mahāsattvāḥ pūjayanti yathā jinān /	boDisattvAH mahAsattvAH pUjayanti yaTA jinAn /
   tathā sarvān munīndrāṃstān saputrān pūjayāmyaham //	taTA sarvAn muni indrAn= tAn sa putrAn pUjayAmi aham //
   svarāṃgasāgaraiḥ strotraiḥ staumi cāhaṃ guṇodadhīn /	svara aMga sAgarEH strotrEH stOmi ca aham guNa udaDIn /
   stutisaṃgītimeghāśca saṃbhavantyeṣvananyathā //	stuti saMgIti meGAH ca saMBavanti ezu ananyaTA //
   sarvakṣatrāṇusaṃkhyaiśca praṇāmaiḥ praṇamāmyaham /	sarva kzatra aNu saMKyEH ca praNAmEH praNamAmi aham /
   sarvāṃstryadhvagatān buddhān sahadharmagaṇottamān //	sarvAn= tri aDva gatAn budDAn sahaDarma gaNa uttamAn //
   sarvacaityāni vande 'haṃ bodhisattvāśrayānapi /	sarva cEtyAni vande aham boDisattva ASrayAn api /
   namaskaromyupādhyāyānabhivandyān yatīṃstathā //	namaskaromi upADyAya anaBivandyAn yatIn= taTA //
   buddhaṃ gacchāmi śaraṇaṃ yāvadābodhimaṇdataḥ /	budDam gacCAmi SaraNam yAvat AboDi maNdataH /
   dharmaṃ gacchāmi śaraṇaṃ bodhisattvagaṇāṃstathā //	Darmam gacCAmi SaraNam boDisattva gaNAn= taTA //
   (Gkv 94)	(Gku 94)
   vijñāpayāmi saṃbuddhān sarvadikṣu vyavasthitān /	vijQApayAmi saMbudDAn sarva dikzu vyavasTitAn /
   mahākāruṇikāṃścāpi bodhisattvān kṛtāṃjaliḥ //	mahA kAruNikAn= ca api boDisattvAn kRtAMjaliH //
   anādigatisaṃsāre janmanyatraiva vā punaḥ /	anAdi gati saMsAre janmani atra eva vA punar /
   yanmayā paśunā pāpaṃ kṛtaṃ kāritameva vā //	yat mayA paSunA pApam kRtam kAritam eva vA //
   yaccānumoditaṃ kiṃcidātmaghātāya mohinaḥ /	yat ca anumoditam kiMcid Atma GAtAya mohinaH /
   tadatyayaṃ deśayāmyatra paścāttāpena tāpitaḥ //	tat atyayam deSayAmi atra paScAttApena tApitaH //
   ratnatraye 'pakāro yo mātāpitṛṣu vā mayā /	ratnatraye apakAraH yaH mAtA pitRzu vA mayA /
   guruṣvanyeṣu vā kṣopātkāyavāgbuddhibhiḥ kṛtaḥ //	guruzu anyezu vA kzopAt kAya vAc budDiBiH kRtaH //
   anekadoṣaduṣṭena mayā pāpena mohanā /	aneka doza duzwena mayA pApena mohanA /
   yatkṛtaṃ dāruṇaṃ pāpaṃ tatsarvaṃ deśayāmyaham //	yat kRtam dAruNam pApam tat sarvam deSayAmi aham //
   kathaṃ ca niḥsarāmyasmāt nityodvigno 'smi sāmpratam //	kaTam ca niHsarAmi asmAt nitya udvignaH asmi sAmpratam //
   mā bhūnme mṛtyuracirādakṣīṇe pāpasaṃcaye //	mA BUt me mRtyuH acirAt akzINe pApa saMcaye //
   kṛtākṛtoparīkṣo 'yaṃ mṛtyurviśrambhaghātakaḥ /	kRta akRta uparIkzaH ayam mRtyuH viSramBa GAtakaH /
   svasthāsvasthairaviśvāsya āhasmikamahāśaniḥ //	svasTa asu asTEH aviSvAsyaH Ahasmika mahA aSaniH //
   priyāpriyanimittena pāpaṃ kṛtamanenekadhā /	priya apriya nimittena pApam kRtam anenekaDA /
   sarvamutsṛjya gantavyaṃ mayā na jñātamīdṛśam //	sarvam utsRjya gantavyam mayA na jQAtam IdRSam //
   apriyā na bhaviṣyanti bhaviṣyanti na me priyāḥ /	apriyAH na Bavizyanti Bavizyanti na me priyAH /
   ahaṃ ca na bhaviṣyāmi sarvaṃ ca na bhaviṣyati //	aham ca na BavizyAmi sarvam ca na Bavizyati //
   tattatsmaraṇatāṃ yāti yadyadvastvanubhūyate /	tad tad smaraNa tAm yAti yat yat vastu anuBUyate /
   svapnānūbhūtavat sarveṃ gataṃ na punarīkṣyate //	svapna anUBUta vat sarvem gatam na punar Ikzyate //
   ihaiva tiṣṭhatastāvadgatānekapriyāpriyāḥ /	iha eva tizWataH tAvat gatAn eka priya apriyAH /
   tannimittaṃ kṛtaṃ pāpaṃ me puraḥsthitam //	tad nimittam kRtam pApam me puras sTitam //
   evamāgantuko 'mītī mayā naiva samīkṣyate /	evam AgantukaH amItI mayA na eva samIkzyate /
   mohanunayāvidveaṣaiḥ kṛtaṃ pāpamanekaśaḥ //	moha nunayA vid veazEH kRtam pApam anekaSas //
   rātriṃdivamaviśrāmamāyuṣo vardhate vyayaḥ /	rAtriMdivam aviSrAmam AyuzaH varDate vyayaH /
   āyasyajyāgamo māsti na mariṣyāmyahaṃ katham //	Ayasya jyA gamaH mA asti na marizyAmi aham kaTam //
   iha śayyāgatenāpi bandhumadhye 'pi tiṣṭhatā /	iha SayyA gatena api banDu maDye api tizWatA /
   mayaivaikena soḍhavyā marmachedādivedanā //	mayA eva ekena soXavyA marma Ceda Adi vedanA //
   (Gkv 95)	(Gku 95)
   yamadūtairgṛhītasya kuto bandhusuhṛtsakhāḥ /	yama dUtEH gRhItasya kutas banDu suhRd saKAH /
   puṇyamekaṃ tadā trāṇaṃ mayā tatraiva saṃcitam //	puNyam ekam tadA trANam mayA tatra eva saMcitam //
   anityajīvītāsaṃgāditthaṃ bhayamajānatā /	anitya jIvIta asaMgAt itTam Bayam ajAnatA /
   pramattena madāndhena bahupāpaṃ mayārjitam //	pramattena mada anDena bahu pApam mayA arjitam //
   aṃgachedārthamapyanyo nīyamāno viśuṣyati /	aMga Ceda arTam api anyaH nIyamAnaH viSuzyati /
   pipasito dīnadṛṣṭiranyadevekṣate jagat //	pipasitaH dIna dRzwiH anyat eva Ikzate jagat //
   kiṃ duṣṭairbhairavākārairyamadūtairadhiṣṭhitaḥ /	kim duzwEH BErava AkArEH yama dUtEH aDizWitaH /
   mahātrāsaṃkaragrastaḥ purīṣotsargaveṣṭitaḥ //	mahAtrA saMkara grastaH purIza utsarga vezwitaH //
   kātarairnatravikṣopaistrāṇānveṣī caturdiśam /	kAtarEH natra vikzopEH trANa anvezI caturdiSam /
   ko me mahābhayādasmāt sādhustrātā bhavediha //	kaH me mahA BayAt asmAt sADuH trAtA Bavet iha //
   trāṇaśūnyā diśo dṛṣṭvā punaḥ saṃmohamāgataḥ /	trANa SUnyAH diSaH dRzwvA punar saMmoham AgataH /
   tadāhaṃ kiṃ kariṣyāmi tasmin sthāne mahābhaye //	tadA aham kim karizyAmi tasmin sTAne mahA Baye //
   adhaiva śaraṇaṃ yāmi jagannāthān mahābalān /	aDA eva SaraNam yAmi jagannATAn mahA balAn /
   jagadrakṣārthamudyuktān sarvatrāsaharān jinān //	jagat rakzA arTam udyuktAn sarva trAsa harAn jinAn //
   taiścādhigataṃ dharmaṃ saṃsārabhayanāśanam /	tEH ca aDigatam Darmam saMsAra Baya nASanam /
   śaraṇaṃ yāmi bhāvena bodhisattvagaṇaṃ tathā //	SaraNam yAmi BAvena boDisattva gaNam taTA //
   samantabhadrāyātmānaṃ dadāmi bhayavihvalaḥ /	samantaBadrAya AtmAnam dadAmi Baya vihvalaH /
   viraumyārtaravaṃ bhīto bhayaṃ nāśayate drutam //	virOmya Arta ravam BItaH Bayam nASayate drutam //
   tatra sarvajñanāthasya sarvapāpāpahāriṇaḥ /	tatra sarvajQa nATasya sarva pApa apahAriNaH /
   vākyamullaṃghayāmīti dhigmāmatyantamohitam //	vAkyam ullaMGayAmi iti Dik mAm atyanta mohitam //
   tiṣṭhāmyatyapramatto 'haṃ prayāteṣvitareṣvapi /	tizWAmi ati apramattaH aham prayAtezu itarezu api /
   kimu yojanasāhasre prapāte dīrghakālike //	kimu yojana sAhasre prapAte dIrGakAlike //
   adyaiva maraṇaṃ naiti na yukta me sukhāsikā /	adya eva maraNam na eti na yukta me suKAsikA /
   avaśyaṃ na bhaviṣyāmi kasmānme susthinaṃ manaḥ //	avaSyam na BavizyAmi kasmAt me susTinam manaH //
   pūrvānubhūte naṣṭebhyaḥ kiṃ me sāramavasthitam /	pUrva anuBUte nazweByaH kim me sAram avasTitam /
   yeṣu me 'bhiniviṣṭena guruṇāṃ laṃghinaṃ vacaḥ //	yezu me aBinivizwena guruNAm laMGinam vacaH //
   jīvalokamimaṃ tyaktvā bandhūn paricitānapi /	jIva lokam imam tyaktvA banDUn paricitAn api /
   ekākī kvāpi yāsyāmi kiṃ me sarvaiḥ priyāpriyaiḥ //	ekAkI kvApi yAsyAmi kim me sarvEH priya apriyEH //
   (Gkv 96)	(Gku 96)
   iyameva tu me cintā yuktā rātraṃdivaṃ sadā /	iyam eva tu me cintA yuktA rAtraMdivam sadA /
   aśubhānniyataṃ duḥkhaṃ niḥsareyaṃ tataḥ katham //	aSuBAt niyatam duHKam niHsareyam tatas kaTam //
   mayā duṣṭena mūḍhena yatpāpaṃ prakṛtaṃ purā /	mayA duzwena mUXena yat pApam prakRtam purA /
   prakṛtyā deśayāmyeṣa nāthānāmagrato 'dhunā /	prakRtyA deSayAmi eza nATAnAm agratas aDunA /
   kṛtāṃjalirduḥkhabhītaḥ praṇipatya punaḥ punaḥ //	kRta aMjaliH duHKa BItaH praNipatya punar punar //
   atyayamatyayatvena pratigṛhṇantu nāyakāḥ /	atyayam atyaya tvena pratigRhNantu nAyakAH /
   abhadrakaṃ punarnāthā na kariṣyāmi sarvadā //	aBadrakam punar nATAH na karizyAmi sarvadA //
   apāyaduḥkhaviśrāmaṃ sarvasattvaiḥ kṛtaṃ śumam /	apAya duHKa viSrAmam sarva sattvEH kRtam Sumam /
   anumode pramodena sukhaṃ tiṣṭhantu duḥkhitāḥ //	anumode pramodena suKam tizWantu duHKitAH //
   saṃsāre duḥkhavaimokṣamanumode śarīrinām /	saMsAre duHKa vEmokzam anumode SarIrinAm /
   bodhisattvatvabuddhatvamanumode ca tāyinām //	boDisattva tva budDa tvam anumode ca tAyinAm //
   cittotpādasamudrāṃśca sarvasattvasukhāvahān /	citta utpAda samudrAn= ca sarva sattva suKa AvahAn /
   sarvasattvahitādhānānanumode ca śāsinām //	sarva sattva hita ADAnAn anumode ca SAsinAm //
   sarvadiksaṃsthitān buddhan prārthayāmi kṛtāṃjaliḥ /	sarva diS saMsTitAn budDan prArTayAmi kRtAMjaliH /
   dharmapradīpaṃ kurvantu mohādduḥkhaprapātinām //	Darma pradIpam kurvantu mohAt duHKa prapAtinAm //
   jinān nirvātukāmāṃśca yācayāmi samādarāt /	jinAt nirvAtu kAmAn= ca yAcayAmi samAdarAt /
   kalpo 'nanalpānstiṣṭhantu mā bhūdandhamidaṃ jagat //	kalpaH ananalpAnH tizWantu mA BUt anDam idam jagat //
   ityukte balinā tena lokeśvaro niśamya niśamya saḥ /	iti ukte balinA tena lokeSvaraH niSamya niSamya saH /
   sādhu sādhviti saṃrādhya taṃ baliṃ caivamabravīt //	sADu sADu iti saMrADya tam balim ca evam abravIt //
   kṣaṇasaṃpadiyaṃ sudurlabhā pratilabdhā puruṣārthasādhanī /	kzaNa saMpad iyam su durlaBA pratilabDA puruza arTa sADanI /
   yadi nātra vicintyate hitaṃ punarapyeṣa samāgamaḥ kutaḥ //	yadi na atra vicintyate hitam punar api eza samAgamaH kutas //
   rātrau yathā meghaghanāndhakāre vidyutkṣaṇaṃ darśayati prakāśam /	rAtrO yaTA meGa Gana anDakAre vidyut kzaNam darSayati prakASam /
   buddhānubhāvena tathā kadācillokasya puṇyeṣu matiḥkṣaṇaṃ syāt //	budDa anuBAvena taTA kadAcid lokasya puNyezu matiH kzaNam syAt //
   tasmācchubhaṃ durbalameva nityaṃ balaṃ tu pāpasya mahatsughoram /	tasmAt SuBam durbalam eva nityam balam tu pApasya mahat su Goram /
   tajjīyate 'yena śubhena kena saṃbodhicittaṃ yadi nāma na syāt //	tat jIyate ayena SuBena kena saMboDi cittam yadi nAma na syAt //
   kalpānanalpān praticiṃtayadbhirdṛṣṭaṃ munīndraiḥ hitametadeva /	kalpAn analpAn praticiMtayadBiH dRzwam muni indrEH hitam etat eva /
   yataḥ sukhenaiva sukhaṃ pravṛddhamutplāvayatyamitān janaughān //	yatas suKena eva suKam pravRdDam utplAvayati amitAn jana oGAn //
   (Gkv 97)	(Gku 97)
   bhavaduḥkhaśatāni tartukāmairapi sattvavyasanānio hartukāmaiḥ /	Bava duHKa SatAni tartu kAmEH api sattva vyasanAniaH hartu kAmEH /
   bahusaukhyaśatāni bhoktukāmairna vimocyaṃ hi sadaiva bodhicittam //	bahu sOKya SatAni Boktu kAmEH na vimocyam hi sadA eva boDi cittam //
