   yogācārabhūmau	yoga AcAra BUmO
   duṣkaradānaṃ yadbodhisattvaḥ kṛcchatārjitān deyadharmān parebhyo	duzkara dAnam yat boDisattvaH kRcCatA arjitAn deya DarmAn pareByaH 
   'nuprayacchati / idaṃ tṛtīyaṃ bodhisattvasya duṣkaradānam /	anuprayacCati / idam tRtIyam boDisattvasya duzkara dAnam /
   tatra katamadbodhisattvasya sarvatomukhaṃ dānam / yadbodhisattvaḥ svakaṃ	tatra katamat boDisattvasya sarvatomuKam dAnam / yat boDisattvaH svakam
   vā paraṃ vā samādāpya deyavastu svabhṛtyeṣu vā	vA param vA samAdApya deya vastu sva BRtyezu vA
   mātāpitṛputradāradāsīdāsakarmakarapauruṣeyamitrāmātyajñātisālohiteṣvanuprayacchati	mAtA pitR putra dAra dAsI dAsa karmakara pOruzeya mitra amAtya jQAti sa Alohitezu anuprayacCati
   / pareṣu vā 'rthiṣu / etatsarvatomukhaṃ dānamityucyate /	/ parezu vA arTizu / etat sarvatomuKam dAnam iti ucyate /
   samāsato bodhisattvasya caturākāraṃ satpuruṣasya satpuruṣadānam /	samAsatas boDisattvasya catur AkAram sat puruzasya sat puruza dAnam /
   tava katamad bodhisattvasya satpuruṣasya satpuruṣadānam / yadbodhisattvaḥ	tava katamat boDisattvasya sat puruzasya sat puruza dAnam / yat boDisattvaH
   śraddhayā dānaṃ dadāti satkṛtya svahastena kālena parānanupahatya idaṃ	SradDayA dAnam dadAti satkRtya sva hastena kAlena parAn anupahatya idam
   bodhisattvasya satpuruṣasya satpuruṣadānamityucyate /	boDisattvasya sat puruzasya sat puruza dAnam iti ucyate /
   tatra katamadbodhisattvasya sarvākāraṃ dānam / aniścitadānatā /	tatra katamat boDisattvasya sarva AkAram dAnam / aniScita dAna tA /
   viśadadānatā / pramuditadānatā / abhīkṣṇadānatā / pātradānatā /	viSada dAna tA / pramudita dAna tA / aBIkzNa dAna tA / pAtra dAna tA /
   apātradānatā sarvadānatā / sarvatradānatā / sarvakāladānatā /	apAtra dAna tA sarva dAnatA / sarvatra dAna tA / sarva kAla dAna tA /
   anavadyadānatā sarvavastudānatā / deśavastudānatā / dhanadhānyavastudānatā	anavadya dAna tA sarva vastu dAna tA / deSavaH tu dAna tA / Dana DAnya vastu dAna tA
   / itīda trayodaśākāraṃ dānaṃ bodhisattvasya sarvākāramityucyate /	/ iti ida trayodaSa AkAram dAnam boDisattvasya sarva AkAram iti ucyate /
   tatra katamadbodhisattvasya vighātārthika dānam / iha bodhisattvo	tatra katamat boDisattvasya viGAta arTika dAnam / iha boDisattvaH 
   bhojanena pānena vighātiṣvarthikeṣu bhojanapānaṃ dadāti / yānārthikeṣu	Bojanena pAnena viGAtizu arTikezu Bojana pAnam dadAti / yAna arTikezu
   yānaṃ vastrārthikeṣu vastramalaṅkārārthikeṣu alaṃkāraṃ	yAnam vastra arTikezu vastram alaFkAra arTikezu alaMkAram
   vicitrabhāṇḍopaskārārthikeṣu vicitrabhāṇḍopaskāraṃ dadāti /	vicitra BANxa upaskAra arTikezu vicitra BANxa upaskAram dadAti /
   gandhamālyavilepanārthikeṣu gandhamālyavilepanam / pratiśrayārthikeṣu	ganDa mAlya vilepana arTikezu ganDa mAlya vilepanam / pratiSraya arTikezu
   pratiśrayam / ālokavighātārthikeṣvālokaṃ dadāti / idamaṣṭākāra	pratiSrayam / Aloka viGAta arTikezu Alokam dadAti / idam azwa AkAra
   bodhisattvasya vighātārthikadānaṃ veditavyam /	boDisattvasya viGAta arTika dAnam veditavyam /
   tatra katamadbodhisattvasyehāmutrasukhaṃ dānam / āmiṣadānaṃ	tatra katamat boDisattvasya Iha amutra suKam dAnam / Amiza dAnam
   dharmadānamabhayadānañca samāsataḥ ihāmutrasukhaṃ bodhisattvānāṃ dānaṃ	Darma dAnam aBaya dAnaQca samAsatas iha amutra suKam boDisattvAnAm dAnam
   veditavyam / tatpunarāmiṣadānaṃ praṇītaṃ śucikalpikam / vinīya	veditavyam / tad punar Amiza dAnam praNItam Suci kalpikam / vinIya
   mātsaryamalaṃ sannidhimalañca dadāti / tatra	mAtsarI amalam sanniDi malaQca dadAti / tatra
   mātsaryamalavinayaścittāgrahaparityāgāt sannidhimalavinayo	mAtsarI amala vinayaH citta Agraha parityAgAt sanniDi mala vinayaH 
   bhogāgrahaparityāgādveditavyaḥ / abhayadānaṃ	Boga Agraha parityAgAt veditavyaH / aBaya dAnam
   siṃhavyādhragrāharājacaurodakādibhayaparitrāṇatayā veditavyam /	siMha vyADra grAha rAja cOra udaka Adi Baya paritrANa tayA veditavyam /
   dharmadānamaviparītadharmadeśanā nyāyopadeśaḥ śikṣāpadasamādāpanā (Dutt	Darma dAnam aviparIta Darma deSanA nyAya upadeSaH SikzA pada samAdApanA (Dutt
   93) ca / tadetatsarvamabhisamasya navākāraṃ bodhisattvasya dānaṃ	93) ca / tat etat sarvam aBisamasya nava AkAram boDisattvasya dAnam
   sattvānābhihāmutrasukhaṃ bhavati / tatrāmiṣābhayadānaṃ	sattvAnABihA mutra suKam Bavati / tatra Amiza aBaya dAnam
   saprabhedabhihasukham dharmadānaṃ punaḥ saprabhedamamutrasukham /	sa praBeda Biha suKam Darma dAnam punar sa praBedam amutra suKam /
   tatra katamadbodhisattvasya viśuddhaṃ dānam / taddaśākaraṃ veditavyam /	tatra katamat boDisattvasya viSudDam dAnam / tad daSA akaram veditavyam /
   asaktamaparāmṛṣṭamasaṃbhṛtamanunnatamaniśritamalīnamadīnamavimukhaṃ	asaktam aparAmRzwam asaMBRtam anunnata maniSrita ma lInam adInam avimuKam
   pratīkārānapekṣaṃ vipākānapekṣañca /	pratIkAra anapekzam vipAka an apekzaQca /
   tatrāsaktaṃ dānaṃ katamat / iha bodhisattvo yācanake samyak pratyupasthite	tatra Asaktam dAnam katamat / iha boDisattvaH yAcanake samyak pratyupasTite
   tvaritamavilambitaṃ dadāti / na yācanakasya tathā lābhamāramya tvarā	tvaritam avilambitam dadAti / na yAcanakasya taTA lABam Aramya tvarA
   bhavati yathā bodhisattvasya dānamārabhya /	Bavati yaTA boDisattvasya dAnam AraBya /
   aparāmṛṣṭaṃ dānaṃ katamat / na hi bodhisattvo dṛṣṭyā evaṃ dānaṃ parāmṛśati	aparAmRzwam dAnam katamat / na hi boDisattvaH dRzwyA evam dAnam parAmRSati
   / nāsti vā 'sya dānasya phalam / hiṃsādānena vā punardharmo bhavatīti /	/ na asti vA asya dAnasya Palam / hiMsA dAnena vA punar DarmaH Bavati iti /
   susampannena vā punardānamātrakeṇa laukikalokottarā viśuddhirbhavatīti /	su sampannena vA punar dAna mAtrakeNa lOkika lokottarA viSudDiH Bavati iti /
   asaṃbhṛtaṃ dānaṃ katamat / na khalu bodhisattvaḥ saṃbhṛtya dīrghakālikaṃ	asaMBRtam dAnam katamat / na Kalu boDisattvaH saMBRtya dIrGakAlikam
   deyadharmasannicarya kṛtvā paścāt sakṛddānaṃ dadāti / tatkasya hetoḥ / na	deya Darma sannicarya kRtvA paScAt sakRt dAnam dadAti / tat kasya hetoH / na
   hi bodhisattvaḥ saṃvidyamāneṣu deyadharmeṣu samyak pratyupasthitasya	hi boDisattvaH saMvidyamAnezu deya Darmezu samyak pratyupasTitasya
   yācanakasya nirākaraṇamutsahate nāpi pratirūpaṃ paśyati yena tannirākaroti	yAcanakasya nirAkaraNam utsahate na api pratirUpam paSyati yena tat nirAkaroti
   / kutaḥ punaḥ sannicayaṃ kariṣyati / na ca saṃbhṛtadānena bodhisattvaḥ	/ kutas punar sannicayam karizyati / na ca saMBRta dAnena boDisattvaH
   puṇyasyāyadvāramadhikaṃ paśyati / samaṃ deyavastu tulyeṣu vyastasamasteṣu	puNyasya ayadvAram aDikam paSyati / samam deyavastu tulyezu vyasta samastezu
   yācanakeṣu krameṇa vā sakṛdvā dīyamānaṃ kena kāraṇena puṇyaviśeṣatāṃ	yAcanakezu krameNa vA sakRt vA dIyamAnam kena kAraNena puNya viSeza tAm
   parigṛhṇīyāditi sampaśyannapi ca bodhisattvaḥ sāvadyameva saṃbhṛtadānaṃ	parigRhNIyAt iti sampaSyan= api ca boDisattvaH sAvadyam eva saMBRta dAnam
   paśyati / niravadyaṃ paśyati yathotpannaṃ bhogadānam / tatkasya hetoḥ /	paSyati / niravadyam paSyati yaTA utpannam Boga dAnam / tat kasya hetoH /
   tathāhi saṃbhṛtadātā 'rthito yācanakairyācanakaśatāni pūrvaṃ nirākṛtya	taTA hi saMBRta dAtA arTitaH yAcanakEH yAcanaka SatAni pUrvam nirAkRtya
   teṣāmāghātamakṣamapratyayaṃ janayitvā paścādanarthito 'pi tadekatyānāṃ	tezAm AGAtam akzama pratyayam janayitvA paScAt anarTitaH api tad ekatyAnAm
   saṃbhṛtadānaṃ dadāti / tasmādbodhisattvaḥ sambhṛtadānaṃ na dadāti /	saMBRta dAnam dadAti / tasmAt boDisattvaH samBRta dAnam na dadAti /
   (Dutt 94)	(Dutt 94)
   anunnatadānaṃ katamat / yācanakāya nīcacitto bodhisattvo dānaṃ dadāti / na	anunnata dAnam katamat / yAcanakAya nIca cittaH boDisattvaH dAnam dadAti / na
   ca paraspardhayā dadāti / na ca dānaṃ dattvā tena dānena manyate ahamasmi	ca para sparDayA dadAti / na ca dAnam dattvA tena dAnena manyate aham asmi
   dātā dānapatiranye ca na tatheti /	dAtA dAnapatiH anye ca na taTA iti /
   aniścitadānaṃ katamat / na hi bodhisattvaḥ kīrtiśabdaghoṣaślokaṃ niśritya	aniScita dAnam katamat / na hi boDisattvaH kIrti Sabda Goza Slokam niSritya
   dānaṃ dadāti / vikalpākṣarasaṃbhūtāṃ ghoṣamātrapratibaddhāṃ vṛṣamatropamāṃ	dAnam dadAti / vikalpa akzara saMBUtAm Goza mAtra pratibadDAm vRzamatra upamAm
   kīrtiṃ manyamānaḥ /	kIrtim manyamAnaH /
   alīnaṃ dānaṃ katamat / iha bodhisattvaḥ pūrvameva dānāt sumanā bhavati /	alInam dAnam katamat / iha boDisattvaH pUrvam eva dAnAt sumanAH Bavati /
   dadaccittaṃ prasādayati / dattvā cāvipratisārī bhavati / vipulāni ca	dadat cittam prasAdayati / dattvA ca avipratisArI Bavati / vipulAni ca
   paramodārāṇi bodhisattvānāṃ dānāni śrutvā nātmānaṃ paribhavan	parama udArANi boDisattvAnAm dAnAni SrutvA na AtmAnam pariBavan
   saṃkocamāpadyate /	saMkocam Apadyate /
   adīnaṃ dānaṃ katamat / vicintya vicintya bodhisattvo yatnena	adInam dAnam katamat / vicintya vicintya boDisattvaH yatnena
   deyadharmebhyo yānyagrāṇi pravarāṇi bhojanapānayānavastrādīni	deya DarmeByaH yAni agrANi pravarANi Bojana pAna yAna vastra AdIni
   tānyanuprayacchati /	tAni anuprayacCati /
   avimukhaṃ dānaṃ katamat / samacitto bodhisattvaḥ apakṣapatito	avimuKam dAnam katamat / sama cittaH boDisattvaH apakza patitaH 
   mitrāmitrodāsīneṣu samakāruṇyo dānaṃ dadāti /	mitra amitra udAsInezu sama kAruNyaH dAnam dadAti /
   pratīkārānapekṣaṃ dānaṃ katamat / kāruṇyacitto 'nukampācitto bodhisattvo	pratIkAra anapekzam dAnam katamat / kAruNya cittaH anukampA cittaH boDisattvaH 
   dānaṃ dadanna parataḥ pratyupakāraṃ pratyāśaṃsate / sukhakāmāṃ tṛṣṇādāhena	dAnam dadan na paratas pratyupakAram pratyASaMsate / suKa kAmAm tRzNA dAhena
   dahyamānāmapratibalāṃ prakṛtiduḥkhitāṃ janatāṃ saṃpaśyan /	dahyamAnAm apratibalAm prakRti duHKitAm janatAm saMpaSyan /
   vipākānapekṣaṃ dānaṃ katamat / na bodhisattvo dānaṃ dattvā dānasyāyatyāṃ	vipAka anapekzam dAnam katamat / na boDisattvaH dAnam dattvA dAnasya AyatyAm
   bhogasampadaṃ vā ātmabhāvasampadaṃ vā phalavipākaṃ pratyāśaṃsate /	Boga sampadam vA Atma BAva sampadam vA Pala vipAkam pratyASaMsate /
   sarvasaṃskāreṣu phalgudarśī paramabodhāvanuśaṃsadarśī /	sarva saMskArezu PalgudarSI parama boDO= anuSaMsa darSI /
   ebhirdaśabhirākārairbodhisattvānāṃ viśuddhaṃ suviśuddhaṃ dānaṃ bhavati /	eBiH daSaBiH AkArEH boDisattvAnAm viSudDam su viSudDam dAnam Bavati /
   evaṃ hi bodhisattva etannavākāraṃ dānaṃ niśritya dānapāramitāṃ	evam hi boDisattvaH etat nava AkAram dAnam niSritya dAna pAramitAm
   paripūrayitvā 'nuttarāṃ samyaksaṃbodhimabhisaṃbudhyate /	paripUrayitvA anuttarAm samyaksaMboDim aBisaMbuDyate /
   iti bodhisattvabhūmāvādhāre yogasthāne navamaṃ dānapaṭalam /	iti boDisattva BUmO= ADAre yoga sTAne navamam dAna pawalam /
   (Dutt 95)	(Dutt 95)
   Śīlapaṭalam (Chapter 1.10)	ŚIla pawalam (ChapteH 1.10)
   uddānam /	uddAnam /
   svabhāvaścaiva sarvañca duṣkaraṃ sarvatomukham /	svaBAvaH ca eva sarvaQca duzkaram sarvatomuKam /
   syāt [sāt]pauruṣyayuktañca sarvākāraṃ tathaiva ca //	syAt [sAt]pOruzya yuktaQca sarva AkAram taTA eva ca //
   vighātārthikayuktañca ihāmutrasukhaṃ tathā /	viGAta arTika yuktaQca iha amutra suKam taTA /
   viśuddhañca navākāraṃ śīlametatsamāsataḥ //	viSudDaQca nava AkAram SIlam etat samAsatas //
   tatra śīlaṃ bodhisattvānāṃ katamat / tadapi navavidhaṃ veditavyam /	tatra SIlam boDisattvAnAm katamat / tat api navaviDam veditavyam /
   svabhāva śīlaṃ sarvaśīlaṃ duṣkaraśīlaṃ sarvatomukhaṃ śīlaṃ satpuruṣaśīlaṃ	svaBAva SIlam sarva SIlam duzkara SIlam sarvatomuKam SIlam sat puruza SIlam
   sarvākāraśīlaṃ vighātārthikaśīlaṃ ihāmutrasukhaṃ śīlaṃ viśuddhaśīlañca /	sarva AkAra SIlam viGAta arTika SIlam iha amutra suKam SIlam viSudDa SIlaQca /
   tatra svabhāvaśīlaṃ katamat / caturbhirguṇairyuktaṃ samāsato	tatra svaBAva SIlam katamat / caturBiH guNEH yuktam samAsatas 
   bodhisattvānāṃ svabhāvaśīlaṃ veditavyam / katamaiścaturbhiḥ / parataḥ	boDisattvAnAm svaBAva SIlam veditavyam / katamEH caturBiH / paratas 
   samyaksamādānataḥ suviśuddhāśayatayā vyatikrāntaiḥ pratyāpattyā	samyak samAdAnataH su viSudDa ASaya tayA vyatikrAntEH pratyApattyA
   'vyatikramāya cādarajātasyopasthitasmṛtitayā / tatra parataḥ	avyatikramAya ca Adara jAtasya upasTita smRti tayA / tatra paratas 
   śīlasamādānādbodhisattvasya paramupanidhāya śikṣāvyatikrame	SIla samAdAnAt boDisattvasya param upaniDAya SikzA vyatikrame
   vyapatrāpyamutpadyate / suviśuddhāśayatayā śīleṣu	vyapatrApyam utpadyate / su viSudDa ASaya tayA SIlezu
   bodhisattvasyātmānamupanidhāya śikṣāvyatikrame hīrutpadyate / śikṣāpadānāṃ	boDisattvasya AtmAnam upaniDAya SikzA vyatikrame hIH utpadyate / SikzA padAnAm
   vyatikrama pratyāpattyā ādarajātasya cādita evāvyatikramādbodhisattvo	vyatikrama  pratyApattyA Adara jAtasya ca Aditas eva avyatikramAt boDisattvaH 
   dvābhyāmākārābhyāṃ niṣkaukṛtyo bhavati / evamayaṃ bodhisattvaḥ	dvAByAm AkArAByAm nizkOkRtyaH Bavati / evam ayam boDisattvaH
   samādanamāśayaviśuddhiñca niśritya hrīvyapatrāpyamutpādayati /	samAdanam ASaya viSudDiQca niSritya hrIvyapatrApyam utpAdayati /
   hrīvyapatrāpyāt śīlaṃ samāttaṃ rakṣati / rakṣamāṇo niṣkaukṛtyo bhavati /	hrI vyapatrApyAt SIlam samAttam rakzati / rakzamANaH nizkOkRtyaH Bavati /
   tatra yacca parataḥ samādānaṃ yaśca viśuddho 'dhyāśayaḥ itīmau dvau	tatra yat ca paratas samAdAnam yaH ca viSudDaH aDyASayaH iti imO dvO
   dhamauṃ yā ca vyatikramapratyāpattiryaścādaraḥ avyatikrame	DamOm yA ca vyatikrama pratyApattiH yaH ca AdaraH avyatikrame
   'nayordvayordharmayorāvāhakau / tatra yacca parataḥ samādānaṃ yaśca	anayoH dvayoH DarmayoH AvAhakO / tatra yat ca paratas samAdAnam yaH ca
   suviśuddho 'dhyāśayaḥ yaścāvyatikramāyādarajāta	su viSudDaH aDyASayaH yaH ca avyatikramAya Adara jAta
   ityebhistribhirdharmairavipattirbodhisattvaśīlasya veditavyā /	iti eBiH triBiH DarmEH avipattiH boDisattva SIlasya veditavyA /
   vyatikramapratyāpattyā punaśchidritasya pratyānayanavyutthānaṃ veditavyam	vyatikrama pratyApattyA punar Cidritasya pratyAnayana vyutTAnam veditavyam
   / tatpunaretaccaturbhiguṇairyuktaṃ svabhāvaśīlaṃ bodhisattvānāṃ (Dutt 96)	/ tat punar etat caturBi guNEH yuktam svaBAva SIlam boDisattvAnAm (Dutt 96)
   kalyāṇaṃ veditavyamātmahitāya parahitāya bahujanahitāya bahujanasukhāya	kalyANam veditavyam Atma hitAya para hitAya bahu jana hitAya bahu jana suKAya
   lokānukampāyai cārthāya hitāya sukhāya devamanuṣyāṇāṃ samādānato	loka anukampAyE ca arTAya hitAya suKAya deva manuzyANAm samAdAnataH 
   'nuśikṣaṇataśca / aprameyaṃ	anuSikzaNataH ca / aprameyam
   veditavyamaprameyabodhisattvaśikṣāparigṛhītatayā / sattvānugrāhakaṃ	veditavyam aprameya boDisattva SikzA parigRhIta tayA / sattva anugrAhakam
   veditavyaṃ sarvasattvahitasukhapratyupasthānatayā / mahāphalānuśaṃsaṃ	veditavyam sarva sattva hita suKa pratyupasTAna tayA / mahA Pala anuSaMsam
   veditavyam anuttarasamyak saṃbodhiphalaparigrahānupradānatayā /	veditavyam anuttara samyak saMboDi Pala parigraha anupradAna tayA /
   tatra katamad bodhisattvasya sarvaśīlam / samāsato bodhisattvasya	tatra katamat boDisattvasya sarva SIlam / samAsatas boDisattvasya
   gṛhipakṣagataṃ pravrajitapakṣagatañca śīlaṃ sarvaśīlamityucyate /	gRhi pakza gatam pravrajita pakza gataQca SIlam sarva SIlam iti ucyate /
   tatpunargṛhipakṣāśritaṃ pravrajitapakṣāśritañca śīlaṃ samāsatastrividham /	tad punar gRhi pakza ASritam pravrajita pakza aSri taQca SIlam samAsatas triviDam /
   saṃvaraśīlaṃ kuśaladharmasaṃgrāhakaśīlaṃ sattvārthakriyāśīlañca /	saMvara SIlam kuSala Darma saMgrAhaka SIlam sattva arTa kriyA SIlaQca /
   tatra saṃvaraśīlaṃ bodhisattvasya katamat / yatsaptanairṇāyikaṃ	tatra saMvara SIlam boDisattvasya katamat / yat saptanErNAyikam
   prātimokṣasaṃvarasamādānaṃ	prAtimokza saMvara samAdAnam
   bhikṣubhikṣuṇī śikṣamāṇā śrāmaṇera śramaṇeryyupāsakopāsikāśīlam / tadetad	BikzuBikzuNI  SikzamANA  SrAmaNera SramaNeryyupAsa ka upAsikA SIlam / tat etat 
   gṛhipravrajitapakṣe yathāyogaṃ veditavyam /	gRhi pravrajita pakze yaTAyogam veditavyam /
   tatra kuśaladharmasaṃgrāhakaṃ śīlaṃ yatkiñcidbodhisattvaḥ	tatra kuSala Darma saMgrAhakam SIlam yat kiQcid boDisattvaH
   śīlasaṃvarasamādānādūrdhvaṃ mahābodhāya kuśalamācinoti kāyena vācā manasā	SIla saMvara samAdAnAt UrDvam mahA boDAya kuSalam Acinoti kAyena vAcA manasA
   sarvaṃ tatsamāsataḥ kuśaladharmasaṃgrāhakaṃ śīlamityucyate / tatpunaḥ	sarvam tad samAsataH kuSala Darma saMgrAhakam SIlam iti ucyate / tat punar 
   katamat / iha bodhisattvaḥ śīlaṃ niśritya śīlaṃ pratiṣṭhāya śrute yogaṃ	katamat / iha boDisattvaH SIlam niSritya SIlam pratizWAya Srute yogam
   karoti cintāyāṃ śamathavipaśyanābhāvanāyāmekārāmatāyām / tathā	karoti cintAyAm SamaTa vipaSyanA BAvanAyAm eka ArAma tAyAm / taTA
   gurūṇāmabhivādana vandana pratyutthānāñjalikarmaṇaḥ kālena kālaṃ kartā	gurUNAm aBivAdana vandana pratyutTAna aQjali karmaNaH kAlena kAlam kartA
   bhavati / tathā kālena kālaṃ teṣāmeva gurūṇāṃ gauraveṇopasthānasya kartā	Bavati / taTA kAlena kAlam tezAm eva gurUNAm gOraveNa upasTAnasya kartA
   bhavati / glānānāṃ satkṛtya kāruṇyena glānopasthānasya kartā bhavati tathā	Bavati / glAnAnAm satkRtya kAruNyena glAna upasTAnasya kartA Bavati taTA
   subhāṣite sādhukārasya dātā bhavati / guṇavatāṃ pudgalānāṃ bhūtasya	su BAzite sADu kArasya dAtA Bavati / guNavatAm pudgalAnAm BUtasya
   varṇasyāhartā bhavati / tathā sarvasattvānāṃ daśasu dikṣu	varNasya AhartA Bavati / taTA sarva sattvAnAm daSasu dikzu
   sarvapuṇyasyāśayena prasannacittamutpādya vācaṃ bhāṣāmāṇo 'numoditā	sarva puNyasya ASayena prasanna cittam utpAdya vAcam BAzAmANaH anumoditA
   bhavati / tathā sarvaṃ vyatikramaṃ pratisaṃkhyāya pareṣāṃ kṣamitā bhavati	Bavati / taTA sarvam vyatikramam pratisaMKyAya parezAm kzamitA Bavati
   / tathā sarvaṃ kāyena vācā manasā kṛtaṃ kuśalamanuttarāyāṃ samyaksaṃbodhau	/ taTA sarvam kAyena vAcA manasA kRtam kuSalam anuttarAyAm samyaksaMboDO
   pariṇāmayitā bhavati / kālena ca kālaṃ vicitrāṇāṃ samyak praṇidhānānāṃ	pariNAmayitA Bavati / kAlena ca kAlam vicitrANAm samyak praNiDAnAnAm
   triratnapūjāyāśca sarvākārāyā udārāyāḥ kartā (Dutt 97) bhavati /	tri ratna pUjAyAH ca sarva AkArAyAH udArAyAH kartA (Dutt 97) Bavati /
   abhiyuktaśca bhavatyārabdhavīryaḥ satatasamitaṃ kuśalapakṣe /	aBiyuktaH ca Bavati ArabDa vIryaH satata samitam kuSala pakze /
   apramādavihārī kāyena vācā / śikṣāpadānāṃ smṛtisaṃprajanyacārikayā	apramAda vihArI kAyena vAcA / SikzA padAnAm smRti saMprajanya cArikayA
   cārakṣakaḥ / indriyaiśca guptadvāro bhojane mātrajñaḥ pūrvarātrāpararātraṃ	ca ArakzakaH / indriyEH ca gupta dvAraH Bojane mAtra jQaH pUrva rAtra apararAtram
   jāgarikānuyuktaḥ satpuruṣasevī kalyāṇamitrasanniśritaḥ ātmaskhalitānāñca	jAgarikA anuyuktaH sat puruza sevI kalyANa mitra sanniSritaH Atma sKalita anAQca
   parijñātā bhavati doṣadarśī / parijñāya ca doṣaṃ dṛṣṭvā pratisaṃhartā	parijQAtA Bavati doza darSI / parijQAya ca dozam dRzwvA pratisaMhartA
   bhavati / skhalitaśca buddhabodhisattvānāṃ sahadhārmikāṇāṃ cāntike	Bavati / sKalitaH ca budDa boDisattvAnAm saha DArmikANAm ca antike
