   govardhanācārya-viracitā	govarDana-AcArya--viracitA
   ekā pade'pi ramate na vasati nihitā śirasy aparā ||GAss_204||	ekA pade-api ramate na vasati nihitA Sirasi aparAH ||GAsH-_204||
   gatvā jīvita-saṃśayam abhyastaḥ soḍhum aticirād virahaḥ |	gatvA jIvita--saMSayam aByastaH soXum ati-cirAt virahaH |
   akaruṇaḥ punar api ditsasi surata-durabhyāsam asmākam ||GAss_205||	akaruNaH punar api ditsasi surata-duraByAsam asmAkam ||GAsH-_205||
   gotra-skhalita-praśne'py uttaram atiśīla-śītalaṃ dattvā |	gotra--sKalita-praSne-api uttaram ati-SIla-SItalam dattvA |
   niḥśvasya mogha-rūpe sva-vapuṣi nihitaṃ tayā cakṣuḥ ||GAss_206||	niHSvasya moGa--rUpe sva--vapuzi nihitam tayA cakzuH ||GAsH-_206||
   gandha-grāhiṇi śālonmīlita-niryāsa-nihita-nikhilāṅgi |	ganDa--grAhiNi SAlA-unmIlita-niryAsa--nihita--niKila-aFgi |
   upabhukta-mukta-bhūruha-śate'dhunā bhramari na bhramasi ||GAss_207||	upaBukta-mukta-BUruha--Sate-aDunA Bramari na Bramasi ||GAsH-_207||
   guruṣu militeṣu śirasā praṇamasi laghuṣūnnatā sameṣu samā |	guruzu militezu SirasA praNamasi laGuzu-unnatA samezu samAH |
   ucitajñāsi tule kiṃ tulayasi guñjā-phalaiḥ kanakam ||GAss_208||	ucita-jQA-asi tule kim tulayasi guQjA-a-PalEH kanakam ||GAsH-_208||
   gehinyā hriyamāṇaṃ nirudhyamānaṃ navoḍhayā purataḥ |	gehinyA hriyamANam niruDyamAnam na-voXayA puratas |
   mama naukā-dvitayārpita-guṇa iva hṛdayaṃ dvidhā bhavati ||GAss_209||	mama nOkA--dvitaya-arpita--guNaH iva hRdayam dviDA Bavati ||GAsH-_209||
   guṇa ākarṣaṇa-yogyo dhanuṣa ivaiko 'pi lakṣa-lābhāya |	guNaH AkarzaNa--yogyaH DanuzaH iva-ekaH api lakza-lABAya |
   lūtātantubhir iva kiṃ guṇair vimardāsahair bahubhiḥ ||GAss_210||	lUtA-tantuBiH iva kim guNEH vimarda-asahEH bahuBiH ||GAsH-_210||
   gāyati gīte vaṃśe vādayati sa vipañcīṣu |	gAyati gIte vaMSe vAdayati sa vipaQcIzu |
   pāṭhayati pañjara-śukaṃ tava sandeśākṣaraṃ rāmā ||GAss_211||	pAWayati paQjara--Sukam tava sandeSa-akzaram rAmAH ||GAsH-_211||
   gaṇayati na madhu-vyayam ayam aviratam āpibatu madhukaraḥ kumudam |	gaNayati na maDu--vyayam ayam aviratam Apibatu maDukaraH kumudam |
   saubhāgya-mānavān param asūyati dyu-maṇaye candraḥ ||GAss_212||	sOBAgya--mAnavAn param asUyati dyu-maNaye candraH ||GAsH-_212||
   guṇa-vidhṛtā sakhi tiṣṭhasi tathaiva dehena kiṃ tu hṛdayaṃ te |	guNa--viDRtA saKi tizWasi taTA-eva dehena kim tu hRdayam te |
   hṛtam amunā mālāyāḥ samīraṇeneva saurabhyam ||GAss_213||	hRtam amunA mAlAyAH samIraNena-iva sOraByam ||GAsH-_213||
   guru-sadane nedīyasi caraṇa-gate mayi ca mūkayāpi tayā |	guru--sadane nedIyasi caraNa--gate mayi ca mUkayA-api tayA |
   nūpuram apāsya padayoḥ kiṃ na priyam īritaṃ priyayā ||GAss_214||	nUpuram apAsya padayoH kim na priyam Iritam priyayA ||GAsH-_214||
   granthilatayā kim ikṣoḥ kim apabhraṃśena bhavati gītasya |	granTila-tayA kim ikzoH kim apaBraMSena Bavati gItasya |
   kim anārjavena śaśinaḥ kiṃ dāridryeṇa dayitasya ||GAss_215||	kim anArjavena SaSinaH kim dAridryeNa dayitasya ||GAsH-_215||
   gehinyā cikura-graha-samaya-sasītkāra-mīlita-dṛśāpi |	gehinyA cikura--graha--samaya--sa-sItkAra--mIlita-dRSA-api |
   bālā-kapola-pulakaṃ vilokya nihito 'smi śirasi padā ||GAss_216||	bAlA--kapola--pulakam vilokya nihitaH asmi Sirasi padA ||GAsH-_216||
   guru-pakṣma jāgarāruṇa-ghūrṇat-tāraṃ kathañcid api valate |	guru-pakzma jAgara-aruNa-GUrNat--tAram kaTaQcid api valate |
   nayanam idaṃ sphuṭa-nakha-pada-niveś a-kṛta-kopa-kuṭila-bhru ||GAss_217||	nayanam idam sPuwa-naKa--pada--niveH a-kRta-kopa-kuwila-Bru ||GAsH-_217||
   iti vibhāvyākhyā-sametā ga-kāra-vrajyā ||	iti viBAvi-a-AKyA--sametAH ga-kAra-vrajyA ||
   gha-kāra-vrajyā	Ga-kAra-vrajyA
   ghaṭita-jaghanaṃ nipīḍita-pīnoru nyasta-nikhila-kuca-bhāram |	Gawita--jaGanam nipIxita--pIna-Uru nyasta--niKila--kuca-BAram |
   āliṅganty api bālā vadaty asau muñca muñceti ||GAss_218||	AliFganti api bAlA vadati asO muQca muQca-iti ||GAsH-_218||
   ghaṭita-palāśa-kapāṭaṃ niśi niśi sukhino hi śerate padmāḥ |	Gawita-palASa--kapAwam niSi niSi suKinaH hi Serate padmAH |
   ujjāgareṇa kairava kati śakyā rakṣituṃ lakṣmīḥ ||GAss_219||	ujjAgareNa kErava kati SakyA rakzitum lakzmIH ||GAsH-_219||
   ghūrṇanti vipralabdhāḥ snehāpāyāt pradīpa-kalikāś ca |	GUrNanti vipralabDAH sneha-apAyAt pradIpa-kalikAH ca |
   prātaḥ prasthita-pāntha-strī-hṛdayaṃ sphuṭati kamalaṃ ca ||GAss_220||	prAtar prasTita-pAnTa--strI--hRdayam sPuwati kamalam ca ||GAsH-_220||
   iti vibhāvyākhyā-sametā gha-kāra-vrajyā ||	iti viBAvi-a-AKyA--sametAH Ga-kAra-vrajyA ||
   ca-kāra-vrajyā	ca-kAra-vrajyA
   capalasya palita-lāñchita-cikuraṃ dayitasya maulim avalokya |	capalasya palita--lAQCita-cikuram dayitasya mOlim avalokya |
   khedocite'pi samaye saṃmadam evādade gṛhiṇī ||GAss_221||	Keda-ucite-api samaye saMmadam eva-Adade gRhiNI ||GAsH-_221||
   caṇḍi prasāritena spṛśan bhujenāpi kopanāṃ bhavatīm |	caNxi prasAritena spRSan Bujena-api kopanAm BavatIm |
   tṛpyāmi paṅkilām iva piban nadīṃ nalina-nālena ||GAss_222||	tRpyAmi paFkilAm iva piban nadIm nalina-nAlena ||GAsH-_222||
   capala-bhujaṅgī-bhuktojjhita śītala-gandhavaha niśi bhrānta |	capala--BujaFgI-Bukta-ujJita SItala-ganDavaha niSi BrAntaH |
   aparāśāṃ pūrayituṃ pratyūṣa-sadāgate gaccha ||GAss_223||	apara-ASAm pUrayitum pratyUza--sadAgate gacCa ||GAsH-_223||
   cira-pathika drāghima-milad-alaka-latā-śaivalāvali-grathilā |	cira-paTika drAGima-milat--ala-ka-latA--SEvala-Avali-graTilA |
   kara-toyeva mṛgākṣyā dṛṣṭir idānīṃ sadānīrā ||GAss_224||	kara-toyA-iva mRga-akzyAH dRzwiH idAnIm sadAnIrAH ||GAsH-_224||
   caṇḍi dara-capala-cela-vyaktoru-vilokanaika-rasikena |	caNxi dara--capala--cela--vyakta-Uru--vilokana-eka-rasikena |
   dhūli-bhayād api na mayā caraṇa-hṛtau kuñcitaṃ cakṣuḥ ||GAss_225||	DUli-BayAt api na mayA caraNa--hRtO kuQcitam cakzuH ||GAsH-_225||
   cala-kuṇḍala-calad-alaka-skhalad-urasija-vasana-sajjad-ūru-yugam |	cala--kuNxala--calat--alaka-sKala-d-u-rasi-ja--vasana-sajja-d-Uru--yugam |
   jaghana-bhara-klama-kūṇita-nayanam idaṃ harati gatam asyāḥ ||GAss_226||	jaGana--Bara--klama--kUNita--nayanam idam harati gatam asyAH ||GAsH-_226||
   caraṇaiḥ parāga-saikatam aphalam idaṃ likhasi madhupa ketakyāḥ |	caraNEH parAga--sEkatam aPalam idam liKasi maDupa ketakyAH |
   iha vasati kānti-sāre nāntaḥ-salilāpi madhu-sindhuḥ ||GAss_227||	iha vasati kAnti--sAre na-antaH--salilA-api maDu--sinDuH ||GAsH-_227||
   cira-kāla-pathika śaṅkā-taraṅgitākṣaḥ kim īkṣase mugdha |	cira--kAla-paTika SaFkA-taraFgita-akzaH kim Ikzase mugDaH |
   tvan-nistriṃśāśleṣa-vraṇa-kiṇarājīyam etasyāḥ ||GAss_228||	tu-an--nistriMSa-ASleza--vraNa-kiNa-rAjIyam etasyAH ||GAsH-_228||
   capalāṃ yathā madāndhaś chāyāmayam ātmanaḥ karo hanti |	capalAm yaTA mada-anDaH CAyA-m-ayam AtmanaH karaH hanti |
   āsphālayati karaṃ pratigajas tathāyaṃ puro ruddhaḥ ||GAss_229||	AsPAlayati karam pratigajaH taTA-ayam puras rudDaH ||GAsH-_229||
   cumbana-lolupa-mad-adhara-hṛta-kāśmīraṃ smaran na tṛpyāmi |	cumbana--lolupa-mad-a-Dara--hRta-kASmIram smaran na tRpyAmi |
   hṛdaya-dviradālāna-stambhaṃ tasyās tad-ūru-yugam ||GAss_230||	hRdaya-dvirada-AlAna--stamBam tasyAH tad--Uru--yugam ||GAsH-_230||
   cikura-visāraṇa-tiryaṅ-nata-kaṇṭhī vimukha-vṛttir api bālā |	cikura--visAraNa--tiryaF-nata--kaNWI vimuKa--vRttiH api bAlA |
   tvām iyam aṅguli-kalpita-kacāvakāśā vilokayati ||GAss_231||	tvAm iyam aFguli-kalpita-kaca-avakASA vilokayati ||GAsH-_231||
   cumbana-hṛtāñjanārghaṃ sphuṭa-jāgara-rāgam īkṣaṇaṃ kṣipasi |	cumbana--hRta-aQjana-arGam sPuwa--jAgara--rAgam IkzaNam kzipasi |
   kim uṣasi viyoga-kātaram asameṣur ivārdha-nārācam ||GAss_232||	kim uzasi viyoga--kAtaram asamezuH iva-arDa-nArAcam ||GAsH-_232||
   iti vibhāvyākhyā-sametā ca-kāra-vrajyā ||	iti viBAvi-a-AKyA--sametA ca-kAra--vrajyA ||
   cha-kāra-vrajyā	Ca-kAra-vrajyA
   chāyā-grāhī candraḥ kūṭatvaṃ satatam ambujaṃ vrajati |	CAyA-grAhI candraH kUwa-tvam satatam ambujam vrajati |
   hitvobhayaṃ sabhāyāṃ stauti tavaivānanaṃ lokaḥ ||GAss_233||	hitvA-uBayam saBAyAm stOti tava-eva-Ananam lokaH ||GAsH-_233||
   chāyā-mātraṃ paśyann adhomukho 'py udgatena dhairyeṇa |	CAyA--mAtram paSyan aDomuKaH api udgatena DEryeNa |
   tudati mama hṛdaya-nipuṇā rādhā-cakraṃ kirītīva ||GAss_234||	tudati mama hRdaya--nipuNAH rADA--cakram kirIti-iva ||GAsH-_234||
   iti vibhāvyākhyā-sametā cha-kāra-vrajyā ||	iti viBAvi-a-AKyA--sametA Ca-kAra--vrajyA ||
   ja-kāra-vrajyā	ja-kAra--vrajyA
   jala-bindavaḥ katipaye nayanād gamanodyame tava skhalitāḥ |	jala-bindavaH katipaye nayanAt gamana-udyame tava sKalitAH |
   kānte mama gantavyā bhūr etair eva picchilitā ||GAss_235||	kAnte mama gantavyAH BUH etEH eva picCilitAH ||GAsH-_235||
   jṛmbhottambhita-dor-yuga-yantrita-tāṭaṅka-pīḍita-kapolam |	jRmBA-uttamBita-doH---yuga-yantrita-tA-waFka--pIxita-kapolam |
   tasyāḥ smarāmi jala-kaṇa-lulitāñjanam alasa-dṛṣṭi mukham ||GAss_236||	tasyAH smarAmi jala--kaNa-lulita-aQjanam alasa-dRzwi muKam ||GAsH-_236||
   jāgaritvā puruṣaṃ paraṃ vane sarvato mukhaṃ harasi |	jAgaritvA puruzam param vane sarvatas muKam harasi |
   ati śarad-anurūpaṃ tava śīlam idaṃ jāti-śālinyāḥ ||GAss_237||	ati Sarad--anurUpam tava SIlam idam jAti--SAlinyAH ||GAsH-_237||
   iti vibhāvyākhyā-sametā ja-kāra-vrajyā ||	iti viBAvi-a-AKyA--sametAH ja-kAra--vrajyA ||
   jha-kāra-vrajyā	Ja-kAra-vrajyA
   jhaṅkṛta-kaṅkaṇa-pāṇi-kṣepaiḥ stambhāvalambanair maunaiḥ |	JaFkRta-kaFkaNa--pANi-kzepEH stamBa-avalambanEH mOnEH |
   śobhayasi śuṣka-ruditair api sundari mandira-dvāram ||GAss_246||	SoBayasi Suzka-ruditEH api sundari mandira-dvAram ||GAsH-_246||
   iti vibhāvyākhyā-sametā jha-kāra-vrajyā ||	iti viBAvi-a-AKyA--sametAH Ja-kAra-vrajyA ||
   ḍha-kāra-vrajyā	Xa-kAra-vrajyA
   ḍhakkām āhatya madaṃ vitanvate kariṇa iva ciraṃ puruṣāḥ |	XakkAm Ahatya madam vitanvate kariNaH iva ciram puruzAH |
   strīṇāṃ kariṇīnām iva madaḥ punaḥ sva-kula-nāśāya ||GAss_247||	strINAm kariNInAm iva madaH punar sva-kula-nASAya ||GAsH-_247||
   iti vibhāvyākhyā-sametā ḍha-kāra-vrajyā ||	iti viBAvi-a-AKyA--sametAH Xa-kAra--vrajyA ||
   ta-kāra-vrajyā	ta--kAra-vrajyA
   tāṃ tāpayanti manmatha-bāṇās tvāṃ prīṇayanti bata subhaga |	tAm tApayanti manmaTa--bANAH tvAm prINayanti bata suBaga |
   tapana-karās tapana-śilāṃ jvalayanti vidhuṃ madhurayanti ||GAss_248||	tapana-karAH tapana-SilAm jvalayanti viDum maDurayanti ||GAsH-_248||
   tava sutanu sānumatyā bahu-dhātu-janita-nitamba-rāgāyāḥ |	tava su-tanu sa-anumatyAH bahu-DAtu--janita--nitamba--rAgAyAH |
   giri-vara-bhuva iva lābhenāpnomi dvy-aṅgulena divam ||GAss_249||	giri-vara--BuvaH iva lABena-Apnomi dvi--aFgulena divam ||GAsH-_249||
   tyakto muñcati jīvanam ujjhati nānugrahe'pi lolutvam |	tyaktaH muQcati jIvanam ujJati na-anugrahe-api lolutvam |
   kiṃ prāvṛṣeva padmākarasya karaṇīyam asya mayā ||GAss_250||	kim prAvRzA-iva padma-Akarasya karaNIyam asya mayA ||GAsH-_250||
   tvad-virahāpadi pāṇḍus tanvaṅgī chāyayaiva kevalayā |	tvad--viraha-Apadi pANxuH tanvaFgI CAyayA-eva kevalayA |
   haṃsīva jyotsnāyāṃ sā subhaga pratyabhijñeyā ||GAss_251||	haMsI-iva jyotsnAyAm sA suBaga pratyaBijQeyAH ||GAsH-_251||
   tvayi viniveśita-cittā subhaga gatā kevalena kāyena |	tvayi viniveSita--cittA suBaga gatA kevalena kAyena |
   ghana-jāla-ruddha-mīnā nadīva sā nīra-mātreṇa ||GAss_252||	Gana--jAla--rudDa-mInAH nadI-iva sA nIra--mAtreNa ||GAsH-_252||
   tvayi saṃsaktaṃ tasyāḥ kaṭhoratara hṛdayam asama-śara-taralam |	tvayi saMsaktam tasyAH kaWoratara hRdayam asama-Sara-taralam |
   māruta-calam añcalam iva kaṇṭaka-samparkataḥ sphuṭitam ||GAss_253||	mAruta--calam aQcalam iva kaNwaka--samparkataH sPuwitam ||GAsH-_253||
   tvam asūryaṃpaśyā sakhi padam api na vināpavāraṇaṃ bhramasi |	tvam asUryaMpaSyA saKi padam api na vinA-apavAraNam Bramasi |
   chāye kim iha vidheyaṃ muñcanti na mūrtimantas tvām ||GAss_254||	CAye kim iha viDeyam muQcanti na mUrtimantaH tvAm ||GAsH-_254||
   tava virahe vistārita-rajanau janitendu-candana-dveṣe |	tava virahe vistArita-rajanO janita-indu--candana--dveze |
   visinīva māgha-māse vinā hutāśane sā dagdhā ||GAss_255||	visinI-iva mAGa--mAse vinA hutASane sA dagDAH ||GAsH-_255||
   taruṇi tvac-caraṇāhati-kusumita-kaṅkelli-koraka-prakaram |	taruNi tvac-caraNa-Ahati--kusumita-kaFkelli-koraka-prakaram |
   kuṭila-caritā sapatnī na pibati bata śoka-vikalāpi ||GAss_256||	kuwila--caritA sapatnI na pibati bata Soka-vikalA-api ||GAsH-_256||
   talpe prabhur iva gurur iva manasija-tantre śrame bhujiṣyeva |	talpe praBuH iva guruH iva manasija-tantre Srame BujizyA-iva |
   gehe śrīr iva guru-jana-purato mūrteva sā vrīḍā ||GAss_257||	gehe SrIH iva guru--jana--puratas mUrtA-iva sA vrIxAH ||GAsH-_257||
   tvam alabhyā mama tāvan moktum aśaktasya saṃmukhaṃ vrajataḥ |	tvam alaByA mama tAvat moktum aSaktasya saMmuKam vrajataH |
   chāyevāpasarantī bhittyā na nivāryase yāvat ||GAss_258||	CAyA-iva-apasarantI BittyA na nivAryase yAvat ||GAsH-_258||
   tapasā kleśita eṣa prauḍha-balo na khalu phālgune'py āsīt |	tapasA kleSitaH eza prOXa-balaH na Kalu PAlgune-api AsIt |
   madhunā pramattam adhunā ko madanaṃ mihiram iva sahate ||GAss_259||	maDunA pramattam aDunA kaH madanam mihiram iva sahate ||GAsH-_259||
   tvad-gamana-divasa-gaṇa-nāvalakṣa-rekhābhir aṅkitā subhaga |	tvad--gamana--divasa--gaNa-nAva-lakza-reKABiH aFkitA suBaga |
   gaṇḍa-sthalīva tasyāḥ pāṇḍuritā bhavana-bhittir api ||GAss_260||	gaNxa-sTalI-iva tasyAH pANxuritA Bavana-BittiH api ||GAsH-_260||
   tasyāgrāmyasyāhaṃ sakhi vakra-snigdha-madhurayā dṛṣṭyā |	tasya-agrAmyasya-aham saKi vakra--snigDa--maDurayA dRzwyA |
   viddhā tad-eka-neyā potriṇa iva daṃṣṭrayā dharaṇī ||GAss_261||	vidDA tad--eka-neyA potriNaH iva daMzwrayA DaraNI ||GAsH-_261||
   tvayi kugrāma-vaṭa-druma vaiśravaṇo vasatu vā lakṣmīḥ |	tvayi kugrAma-vawa-druma vESravaNaH vasatu vA lakzmIH |
   pāmara-kuṭhāra-pātāt kāsara-śirasaiva te rakṣā ||GAss_262||	pAmara--kuWAra--pAtAt kAsara--SirasA-eva te rakzA ||GAsH-_262||
   tava mukhara vadana-doṣaṃ sahamānā moktum akṣamā sutanuḥ |	tava muKara vadana--dozam sahamAnA moktum akzamA su-tanuH |
   sā vahati viṭa bhavantaṃ ghuṇamantaḥ śālabhañjīva ||GAss_263||	sA vahati viwa Bavantam GuNam-antar SAlaBaQjI-iva ||GAsH-_263||
   tṛṇa-mukham iva na khalu tvāṃ tyajanty amī hariṇa vairiṇaḥ śavarāḥ |	tRNa-muKam iva na Kalu tvAm tyajanti amI hariNa vEriNaH SavarAH |
   yaśasaiva jīvitam idaṃ tyaja yojita-śṛṅga-saṅgrāmaḥ ||GAss_264||	yaSasA-eva jIvitam idam tyaja yojita--SRFga--saFgrAmaH ||GAsH-_264||
   tripura-ripor iva gaṅgā mama mānini janita-madana-dāhasya |	tripura-ripoH iva gaFgA mama mAnini janita-madana-dAhasya |
   jīvanam arpita-śiraso dadāsi cikura-graheṇaiva ||GAss_265||	jIvanam arpita--SirasaH dadAsi cikura--graheNa-eva ||GAsH-_265||
   tvat-saṅkathāsu mukharaḥ saninda-sānanda-sāvahittha iva |	tu-at--saFkaTAsu muKaraH sa-ninda--sa-Ananda--sa-avahitTaH iva |
   sa khalu sakhīnāṃ nibhṛtaṃ tvayā kṛtārthīkṛtaḥ subhagaḥ ||GAss_266||	sa Kalu saKInAm niBRtam tvayA kRtArTIkRtaH suBagaH ||GAsH-_266||
   tvayi sarpati pathi dṛṣṭiḥ sundara vṛti-vivara-nirgatā tasyāḥ |	tvayi sarpati paTi dRzwiH sundara vRti-vivara--nirgatA tasyAH |
   dara-tarala-bhinna-śaivala-jālā śapharīva visphurati ||GAss_267||	dara-tarala--Binna--SEvala--jAlA SaParI-iva visPurati ||GAsH-_267||
   te sutanu śūnya-hṛdayā ye śaṅkhaṃ śūnya-hṛdayam abhidadhati |	te su-tanu SUnya--hRdayAH ye SaFKam SUnya--hRdayam aBidaDati |
   aṅgīkṛta-kara-pattro yas tava hasta-grahaṃ kurute ||GAss_268||	aFgIkRta--kara-pattraH yaH tava hasta--graham kurute ||GAsH-_268||
   te śreṣṭhinaḥ kva samprati śakra-dhvaja yaiḥ kṛtas tavocchrāyaḥ |	te SrezWinaH kva samprati Sakra-Dvaja yEH kRtaH tava-ucCrAyaH |
   īṣāṃ vā meḍhiṃ vādhunātanās tvāṃ vidhitsanti ||GAss_269||	IzAm vA meXim vA-aDunAtanAH tvAm viDitsanti ||GAsH-_269||
   tānavam etya chinnaḥ paropahita-rāga-madana-saṅghaṭitaḥ |	tAnavam etya CinnaH para-upahita-rAga--madana--saFGawitaH |
   karṇa iva kāminīnāṃ na śobhate nirbharaḥ premā ||GAss_270||	karNaH iva kAminInAm na SoBate nirBaraH premAH ||GAsH-_270||
   tasmin gatārdra-bhāve vīta-rase śuṇṭhi-śakala iva puruṣe |	tasmin gata-Ardra-BAve vIta--rase SuNWi-SakalaH iva puruze |
   api bhūti-bhāji maline nāgara-śabdo viḍambāya ||GAss_271||	api BUti-BAji maline nAgara--SabdaH vixambAya ||GAsH-_271||
   tamasi ghane viṣame pathi jambukam ulkā-mukhaṃ prapannāḥ smaḥ |	tamasi Gane vizame paTi jambukam ulkA-muKam prapannAH smaH |
   kiṃ kurmaḥ so 'pi sakhe sthito mukhaṃ mudrayitvaiva ||GAss_272||	kim kurmaH saH api saKe sTitaH muKam mudrayitvA-eva ||GAsH-_272||
   tvām abhilaṣato mānini mama garima-guṇo 'pi doṣatāṃ yātaḥ |	tvAm aBilazataH mAnini mama garima-guNaH api doza-tAm yAtaH |
   paṅkila-kūlāṃ taṭinīṃ yiyāsataḥ sindhur asy eva ||GAss_273||	paFkila--kUlAm tawinIm yiyAsataH sinDuH asi eva ||GAsH-_273||
   timire'pi dūra-dṛśyā kaṭhināśleṣe ca rahasi mukharā ca |	timire-api dUra-dRSyA kaWina-ASleze ca rahasi muKarA ca |
   śaṅkha-maya-valaya-rājī gṛha-pati-śirasā saha sphuṭatu ||GAss_274||	SaFKa--maya-valaya--rAjI gRha-pati-SirasA saha sPuwatu ||GAsH-_274||
   tava vṛttena guṇena ca samucita-sampanna-kaṇṭha-luṭhanāyāḥ |	tava vRttena guNena ca samucita--sampanna--kaNWa--luWanAyAH |
   hāra-sraja iva sundari kṛtaḥ punar nāyakas taralaḥ ||GAss_275||	hAra--srajaH iva sundari kRtaH punar nAyakaH taralaH ||GAsH-_275||
   iti vibhāvyākhyā-sametā ta-kāra-vrajyā ||	iti viBAvi-a-AKyA--sametA ta-kAra-vrajyA ||
   da-kāra-vrajyā	da-kAra-vrajyA
   darśana-vinīta-mānā gṛhiṇī harṣollasat-kapola-talam |	darSana-vinIta-mAnA gRhiNI harza-ullasat--kapola-talam |
   cumbana-niṣedha-miṣato vadanaṃ pidadhāti pāṇibhyām ||GAss_276||	cumbana--nizeDa-mizataH vadanam pidaDAti pANiByAm ||GAsH-_276||
   deha-stambhaḥ skhalanaṃ śaithilyaṃ vepathuḥ priya-dhyānam |	deha-stamBaH sKalanam SETilyam vepaTuH priya-DyAnam |
   pathi pathi gaganāśleṣaḥ kāmini kas te'bhisāra-guṇaḥ ||GAss_277||	paTi paTi gagana-ASlezaH kAmini kaH te-aBisAra--guNaH ||GAsH-_277||
   drāghayatā divasāni tvadīya-viraheṇa tīvra-tāpena |	drAGayatA divasAni tvadIya--viraheNa tIvra-tApena |
   grīṣmeṇeva nalinyā jīvanam alpīkṛtaṃ tasyāḥ ||GAss_278||	grIzmeNa-iva nalinyAH jIvanam alpIkRtam tasyAH ||GAsH-_278||
   durjana-sahavāsād api śīlotkarṣaṃ na sajjanas tyajati |	durjana--sahavAsAt api SIla-utkarzam na sat-janaH tyajati |
   pratiparva-tapana-vāsī niḥsṛta-mātraḥ śaśī śītaḥ ||GAss_279||	pratiparva-tapana-vAsI niHsRta--mAtraH SaSI SItaH ||GAsH-_279||
   dayita-prahitāṃ dūtīm ālambya kareṇa tamasi gacchantī |	dayita--prahitAm dUtIm Alambya kareNa tamasi gacCantI |
   sveda-cyuta-mṛganābhir dūrād gaurāṅgi dṛśyāsi ||GAss_280||	sveda--cyuta--mRganABiH dUrAt gOra-aFgi dRSyA-asi ||GAsH-_280||
   dayitā-guṇaḥ prakāśaṃ nītaḥ svasyaiva vadana-doṣeṇa |	dayitA--guNaH prakASam nItaH svasya-eva vadana--dozeNa |
   pratidina-vidalita-vāṭī-vṛti-gahṭanaiḥ khidyase kim iti ||GAss_281||	pratidina--vidalita--vAwI-vRti--gahwanEH Kidyase kim iti ||GAsH-_281||
   dākṣiṇyān mradimānaṃ dadhataṃ mā bhānum enam avamaṃsthāḥ |	dAkziNyAt mradimAnam daDatam mA BAnum enam avamaMsTAH |
   raudrīm upāgate'smin kaḥ kṣamate dṛṣṭim api dātum ||GAss_282||	rOdrIm upAgate-asmin kaH kzamate dRzwim api dAtum ||GAsH-_282||
   dṛṣṭyaiva viraha-kātara-tārakayā priya-mukhe samarpitayā |	dRzwyA-eva viraha-kAtara--tArakayA priya--muKe samarpitayA |
   yānti mṛga-vallabhāyāḥ pulinda-bāṇārditāḥ prāṇāḥ ||GAss_283||	yAnti mRga-vallaBAyAH pulinda--bANa-arditAH prANAH ||GAsH-_283||
   dūra-sthāpita-hṛdayo gūḍha-rahasyo nikāmam āśaṅkaḥ |	dUra-sTApita--hRdayaH gUXa--rahasyaH nikAmam ASaFkaH |
   āśleṣo bālānāṃ bhavati khalānāṃ ca sambhedaḥ ||GAss_284||	ASlezaH bAlAnAm Bavati KalAnAm ca samBedaH ||GAsH-_284||
   dvāre guravaḥ koṇe śukaḥ sakāśe śiśur gṛhe sakhyaḥ |	dvAre guravaH koNe SukaH sakASe SiSuH gRhe saKyaH |
   kālāsaha kṣamasva priya prasīda prayāta-mahaḥ ||GAss_285||	kAla-asaha kzamasva priya prasIda prayAta--m-ahaH ||GAsH-_285||
   dadhi-kaṇa-muktā-bharaṇa-śvāsottuṅga-stanārpaṇa-manojñam |	daDi-kaNa--muktA--BaraNa--SvAsa-uttuFga--stana-arpaNa--manojQam |
   priyam āliṅgati gopī manthana-śrama-mantharair aṅgaiḥ ||GAss_286||	priyam AliFgati gopI manTana--Srama-manTarEH aFgEH ||GAsH-_286||
   dalitodvegena sakhi priyeṇa lagnena rāgam āvahatā |	dalita-udvegena saKi priyeNa lagnena rAgam AvahatA |
   mohayatā śayanīyaṃ tāmbūleneva nītāsmi ||GAss_287||	mohayatA SayanIyam tAmbUlena-iva nItA-asmi ||GAsH-_287||
   dṛṣṭam adṛṣṭa-prāyaṃ dayitaṃ kṛtvā prakāśitas tanayā |	dRzwam adRzwa--prAyam dayitam kRtvA prakASitaH tanayA |
   hṛdayaṃ kareṇa tāḍitam atha mithyā vyañjita-trapayā ||GAss_288||	hRdayam kareNa tAxitam aTa miTyA vyaQjita-trapayA ||GAsH-_288||
   darśita-yamunocchrāye bhrū-vibhrama-bhāji valati tava nayane |	darSita-yamunA-ucCrAye BrU--viBrama--BAji valati tava nayane |
