   oṃ namo vighnavināyakāya |	om namaH viGna-vinAyakAya |
   gaṇāḥ pañca tathaivaite pitḥṇāṃ pāpanāśanāḥ // Valc_2,9.16 //	gaNAH paQca taTA-eva-ete pitHNAm pApa-nASanAH // Valt-_2,9.16 //
   sukhado dhanadaścānyo dharmmado nyaśca bhūtidaḥ /	suKa-daH DanadaH-ca-anyaH Darmma-daH nyaH-ca BUti-daH /
   pitḥṇāṃ kathyate caitat tathā gaṇacatuṣṭayam // Valc_2,9.17 //	pitHNAm kaTyate ca-etat taTA gaNa-catuzwayam // Valt-_2,9.17 //
   iti vallālacarite vyāsapurāṇe sṛṣṭivisṛṣṭikathanaṃ nāma navamo 'dhyāyaḥ /	iti vallAla-carite vyAsapurANe sRzwivisRzwikaTanam nAma navamaH aDyAyaH /
   atha daśamā 'dhyāyaḥ	aTa daSamA aDyAyaH
   vyāsa uvāca:	vyAsaH uvAca:
   virājamasṛjatkālaḥ so 'sṛjat puruṣaṃ virāṭ /	virAjam-asRjat-kAlaH saH asRjat puruzam virAj /
   puruṣaṃ taṃ manuṃ viddhi virāja ūrusambhavam // Valc_2,10.1 //	puruzam tam manum vidDi virAjaH Uru-samBavam // Valt-_2,10.1 //
   sa sṛṣṭvā tu prajāstveva āpavaḥ sa prajāpatiḥ /	sa sRzwvA tu prajAH-tu-eva ApavaH sa prajApatiH /
   labdhavān puruṣaḥ patnīm śatarūpāmayonijām // Valc_2,10.2 //	labDavAn puruzaH patnIm SatarUpAm-ayonijAm // Valt-_2,10.2 //
   vairājāt puruṣāt vīraṃ śatarūpā vyajāyata /	vErAjAt puruzAt vIram SatarUpA vyajAyata /
   priyavratottānapādau vīrāt kāmyā vyajāyata // Valc_2,10.3 //	priyavrata-uttAnapAdO vIrAt kAmyAH vyajAyata // Valt-_2,10.3 //
   kāmyā nāma mahābhāgā kardamasya prajāpateḥ /	kAmyA nAma mahABAgA kardamasya prajApateH /
   kanyā putrāśca catvāraḥ samrāṭ kukṣi rvirāṭ prabhuḥ // Valc_2,10.4 //	kanyA putrAH-ca catvAraH samrAj kukzi rvirAj praBuH // Valt-_2,10.4 //
   priyavrataṃ samāsādya patiṃ sā janayat sutān /	priyavratam samAsAdya patim sA janayat sutAn /
   uttānapādaṃ jagrāha puttramatriḥ prajāpatiḥ // Valc_2,10.5 //	uttAnapAdam jagrAha puttram-atriH prajApatiH // Valt-_2,10.5 //
   uttānapādāccaturaḥ sunṛtā suṣuve sutān /	uttAnapAdAt-caturaH su-nRtA suzuve sutAn /
   dharmmasya kanyā suśroṇī sunṛtā nāma viśrutā // Valc_2,10.6 //	Darmmasya kanyA suSroNI su-nRtAH nAma viSrutAH // Valt-_2,10.6 //
   utpannā vājimedhena dhruvasya jananī śubhā /	utpannA vAjimeDena Druvasya jananI SuBA /
   dhruvañca kīrttimantañca āyuṣmantaṃ vasuntathā /	DruvaQca kIrttiman-taQcaH Ayuzmantam vasuntaTA /
   uttānapādo 'janayat sunṛtāyāṃ prajāpatiḥ // Valc_2,10.7 //	uttAnapAdaH ajanayat su-nRtAyAm prajApatiH // Valt-_2,10.7 //
   saptarṣīṇāṃ puraḥsthānaṃ dhruvaśca tapasāptavān /	saptarzINAm puras-sTAnam DruvaH-ca tapasA-AptavAn /
   tasmāt śliṣṭiñca bhavyañca dhruvācchambhurvyajāyata // Valc_2,10.8 //	tasmAt SlizwiQca BavyaQca DruvAt-SamBuH-vyajAyata // Valt-_2,10.8 //
   śliṣṭerādhatta succhāyā pañcaputrānakalmaṣān /	SlizweH-ADatta sucCAyA paQca-putrAn-akalmazAn /
   ripuṃ ripuñjayaṃ ripraṃ vṛkalaṃ vṛkatejasam // Valc_2,10.9 //	ripum ripuQjayam ripram vRkalam vRka-tejasam // Valt-_2,10.9 //
   riporādhatta vṛhatī cākṣuṣaṃ sarvvatejasam /	ripoH-ADatta vRhatI cAkzuzam sarvu-atejasam /
   ajījanat puṣkariṇyāṃ vīraṇyāṃ cākṣuṣo manum // Valc_2,10.10 //	ajIjanat puzkariNyAm vIraNyAm cAkzuzaH manum // Valt-_2,10.10 //
   prajāpetarātmajāyāmaraṇyasya mahātmanaḥ /	prajA-apetara-AtmajAyAm-araNyasya mahAtmanaH /
   manorajāyanta daśa naḍvalāyāṃ mahaujasaḥ // Valc_2,10.11 //	manoH-ajAyanta daSa naxvalAyAm mahA-ojasaH // Valt-_2,10.11 //
   kanyāyāṃ mānavaśreṣṭhā vairājasya prajāpateḥ /	kanyAyAm mAnava-SrezWAH vErAjasya prajApateH /
   ūruḥ puruḥ śatadyumnastapasvī satyavāk kaviḥ // Valc_2,10.12 //	UruH puruH SatadyumnaH-tapasvI satya-vAc kaviH // Valt-_2,10.12 //
   agniṣṭuratirātraśca sudyumnaścetyamī nava /	agnizwut-atirAtraH-ca sudyumnaH-ca-iti-amI nava /
   abhimanyuśca daśamo naḍvalāyāṃ mahaujasaḥ // Valc_2,10.13 //	aBimanyuH-ca daSamaH naxvalAyAm mahA-ojasaH // Valt-_2,10.13 //
   ūrorajanayat putrān ṣaḍāgneyī mahāprabhān /	UroH-ajanayat putrAn zaz-AgneyI mahA-praBAn /
   aṅgaṃ sumanasaṃ svātiṃ kratumaṅgirasaṃ gayam // Valc_2,10.14 //	aFgam sumanasam svAtim kratum-aFgirasam gayam // Valt-_2,10.14 //
   aṅgāt sunīthakanyāyāṃ veṇa eko vyajāyata /	aFgAt sunITa-kanyAyAm veNaH ekaH vyajAyata /
   veṇasya mathite pāṇau sambabhūva pṛthurnṛpaḥ // Valc_2,10.15 //	veNasya maTite pANO sambaBUva pRTuH-nRpaH // Valt-_2,10.15 //
   pṛthu rvaiṇyastadā cemāṃ rarakṣa kṣatrapūrvvajaḥ /	pRTu rvENyaH-tadA ca-imAm rarakza kzatra-pUrvvajaH /
   rājasūyābhiṣiktānāmādyaḥ sa pṛthivīpatiḥ // Valc_2,10.16 //	rAjasUya-aBiziktAnAm-AdyaH sa pRTivIpatiH // Valt-_2,10.16 //
   tasmāccaiva samutpannau nipuṇau sutamāgadhau /	tasmAt-ca-eva samutpannO nipuNO suta-mAgaDO /
   pṛthoḥ putrau tu dharmmajñau jajñāte 'ntarddhipālinau // Valc_2,10.17 //	pRToH putrO tu Darmma-jQO jajQAte anta-rdDi-pAlinO // Valt-_2,10.17 //
   śikhaṇḍinī havirdhānamantarddhāmādvyajāyata /	SiKaNxinI havirDAnam-antardDAmAt-vyajAyata /
   havirdhānāt ṣaḍāgneyī dhīṣaṇā janayat sutān // Valc_2,10.18 //	havirDAnAt zaz-AgneyI DIzaNA janayat sutAn // Valt-_2,10.18 //
   prācīnavarhiṣaṃ śukraṃ gayaṃ kṛṣṇaṃ vrajājinau /	prAcInavarhizam Sukram gayam kRzNam vraja-ajinO /
   prācīnavarhirbhagavān mahānāsīt prajāpatiḥ // Valc_2,10.19 //	prAcInavarhiH-BagavAn mahAn-AsIt prajApatiH // Valt-_2,10.19 //
   samudratanayāyāntu kṛtadāro 'bhavat prabhuḥ /	samudra-tanayA-AyAntu kRta-dAraH aBavat praBuH /
   suvarṇādhatta sāmudrī daśa prācīnavarhiṣaḥ // Valc_2,10.20 //	suvarNa-aDatta sAmudrI daSa prAcInavarhizaH // Valt-_2,10.20 //
   sarvve pracetaso nāma dhanurvedasya pāragāḥ /	sarvve pracetasaH nAma Danurvedasya pAragAH /
   prajāpatitvaṃ samprāpya tuṣṭāḥ prācīnavarhiṣaḥ // Valc_2,10.21 //	prajApati-tvam samprApya tuzwAH prAcInavarhizaH // Valt-_2,10.21 //
   bhū khaṃ vyāptaṃ hi tarubhistāṃstarūnadahaṃśca te /	BU Kam vyAptam hi taruBiH-tAn=-tarUn-adahan=-ca te /
   drumakṣayamatho buddhvā kiñcicchiṣṭeṣu śākhiṣu /	druma-kzayam-aTo budDvA kiQcid-Sizwezu SAKizu /
   upagamyābravīdetān rājā somaḥ prajāpatīn // Valc_2,10.22 //	upagamya-abravIt-etAn rAjA somaH prajApatIn // Valt-_2,10.22 //
   kopaṃ yacchata dāsyanti kanyāṃ vo māriṣāṃ varām /	kopam yacCata dAsyanti kanyAm vaH mArizAm varAm /
   tapasvino muneḥ kaṇḍoḥ pramlocāyāṃ mamaiva ca // Valc_2,10.23 //	tapasvinaH muneH kaNxoH pramlocAyAm mama-eva ca // Valt-_2,10.23 //
   bhaviṣyaṃ jānatā sṛṣṭā bhāryyā vo 'stu kulaṅkarī /	Bavizyam jAnatA sRzwA BAryyA vaH astu kulaFkarI /
   asyāmutpatsyate dakṣaḥ prajāḥ saṃvarddhayiṣyati // Valc_2,10.24 //	asyAm-utpatsyate dakzaH prajAH saMvardDayizyati // Valt-_2,10.24 //
   pracetasastāṃ jagṛha daṃkṣo 'syāñca tato 'bhavat /	pracetasaH-tAm jagRha daMkzaH asya-aQca tatas aBavat /
   daśabhyastu pracetobhyo māriṣāyāṃ prajāpatiḥ // Valc_2,10.25 //	daSaByaH-tu pracetoByaH mArizAyAm prajApatiH // Valt-_2,10.25 //
   dakṣo jajñe mahātejāḥ somasyāṃśena bhūmipāḥ putrānutpādayāmāsa śataśo 'tha	dakzaH jajQe mahA-tejAH somasya-aMSena BUmipAH putrAn-utpAdayAmAsa SataSas aTa
   sahasraśaḥ /	sahasraSas /
   haryyaśya nāma dakṣasya sahasrāṇi ca pañca ca putrāṇāṃ vedituṃ pṛthvyāḥ	haryyaSya nAma dakzasya sahasrANi ca paQca ca putrANAm veditum pRTvyAH
   pramāṇaṃ hi gatādiśaḥ // Valc_2,10.26 //	pramANam hi gata-AdiSas // Valt-_2,10.26 //
   tato 'nyaputrasāhasraṃ teṣāmanveṣaṇe gatam /	tatas anya-putra-sAhasram tezAm-anvezaNe gatam /
   adyāpi na nivarttante samudrebhya ivāpagāḥ // Valc_2,10.27 //	adya-api na nivarttante samudreByaH iva-ApagAH // Valt-_2,10.27 //
   iti vallālacarite vyāsapurāṇe svāyambhuvavaṃśakathanaṃ nāma daśamo	iti vallAla-carite vyAsapurANe svAyamBuva-vaMSakaTanam nAma daSamaH-
   'dhyāyaḥ /	aDyAyaH /
   ekādaśo 'dhyāyaḥ	ekAdaSaH aDyAyaH
   siṃhagiriruvāca:	siMha-giriH-uvAca:
   brahmaṇo mānasādatriḥ somastatputratāṃ gataḥ /	brahmaNaH mAnasAt-atriH somaH-tad-putra-tAm gataH /
   tasya vaṃśaṃ pravakṣyāmi yatra jāto 'si pārthiva // Valc_2,11.1 //	tasya vaMSam pravakzyAmi yatra jAtaH asi pArTiva // Valt-_2,11.1 //
   vyāsa uvāca:	vyAsaH uvAca:
   kṛtvā somo rājasūyaṃ trailokyaṃ dakṣiṇāṃ dadau /	kRtvA somaH rAjasUyam trElokyam dakziNAm dadO /
   sadasyebhyaśca mukhyebhyo brahmarṣiḥ parantapāḥ // Valc_2,11.2 //	sadasyeByaH-ca muKyeByaH brahmarziH parantapAH // Valt-_2,11.2 //
   samāptevabhṛthe somaṃ tadrūpālokanepsavaḥ /	samAptA-iva-BRTe somam tad-rUpa-Alokana-IpsavaH /
   kāmavāṇābhitaptāṅgyo navadevyaḥ siṣevire // Valc_2,11.3 //	kAma-vANa-aBitapta-aFgyaH navadevyaH sizevire // Valt-_2,11.3 //
   śinīvālī karddamañca haviṣmantaṃ kratuḥ svayam /	SinIvAlI karddamaQca havizmantam kratuH svayam /
   dyutirvibhāvasuṃ tyaktvā puṣṭirdhātāramavyayam // Valc_2,11.4 //	dyutiH-viBAvasum tyaktvA puzwiH-DAtAram-avyayam // Valt-_2,11.4 //
   prabhā prabhākaraṃ tyaktvā vasurmārīcikāśyapam /	praBA praBAkaram tyaktvA vasuH-mArIci-kASyapam /
   kīrttirjayantaṃ bharttāraṃ nandīṃ tyaktvā patiṃ dhṛtiḥ /	kIrttiH-jayantam BarttAram nandIm tyaktvA patim DRtiH /
   lakṣmīnārāyaṇaṃ tyaktvā somamevābhajat tadā // Valc_2,11.5 //	lakzmI-nArAyaNam tyaktvA somam-eva-aBajat tadA // Valt-_2,11.5 //
   somo 'pi kāmayāmāsa svakīyā iva tāstadā /	somaH api kAmayAmAsa svakIyAH iva tAH-tadA /
   vṛhaspateḥ sa vai bhāryyāṃ tārāṃ nāma yaśasvinīm // Valc_2,11.6 //	vRhaspateH sa vE BAryyAm tArAm nAma yaSasvinIm // Valt-_2,11.6 //
   jahāra tarasā somo hyavamatyāṅgiraḥ sutam /	jahAra tarasA somaH hi-avamatya-aFgiraH sutam /
   sa yācyamāno devaiśca somo devarṣirbhiḥ saha // Valc_2,11.7 //	sa yAcyamAnaH devEH-ca somaH devarzirBiH saha // Valt-_2,11.7 //
   āṅgirase tadā tasmai tārāṃ naiva vyavasarjjayat /	AFgirase tadA tasmE tArAm na-eva vyavasarjjayat /
   sa saṃrabdhastatastasmin devācāryo vṛhaspatiḥ // Valc_2,11.8 //	sa saMrabDaH-tatas-tasmin deva-AcAryaH vRhaspatiH // Valt-_2,11.8 //
   uśanāstasya jagrāha pārṣṇimāṅgirasastadā /	uSanAH-tasya jagrAha pArzNimAFgirasaH-tadA /
   sa hi śiṣyo mahātejāḥ pituḥ pūrvvo vṛhaspateḥ // Valc_2,11.9 //	sa hi SizyaH mahA-tejAH pituH pUrvvaH vRhaspateH // Valt-_2,11.9 //
   tena snehena bhagavān rudrastasya vṛhaspateḥ /	tena snehena BagavAn rudraH-tasya vRhaspateH /
   pārṣṇigrāho 'bhavaddevaḥ pragṛhmāyagavaṃ dhanuḥ // Valc_2,11.10 //	pArzNigrAhaH aBavat-devaH pragRhma-Ayagavam DanuH // Valt-_2,11.10 //
   tena brahmaśiro nāma paramāstraṃ mahātmanā /	tena brahmaSiraH nAma parama-astram mahAtmanA /
   uddiśya daityānutsṛṣṭaṃ yenaiṣāṃ nāśitaṃ yaśaḥ // Valc_2,11.11 /	uddiSya dEtyAn-utsRzwam yena-ezAm nASitam yaSaH // Valt-_2,11.11 /
   tatra yuddhamabhūdghoraṃ prakhyātaṃ tārakāmayam /	tatra yudDam-aBUt-Goram praKyAtam tArakA-mayam /
   devānāṃ dānavānāñca lokakṣayakaraṃ mahat // Valc_2,11.12 //	devAnAm dAnavAn-AQca loka-kzaya-karam mahat // Valt-_2,11.12 //
   tatra śiṣṭāstu ye devāḥ tuṣitāścaiva pārthivāḥ /	tatra SizwAH-tu ye devAH tuzitAH-ca-eva pArTivAH /
   brahmāṇaṃ śaraṇaṃ jagmurādidevaṃ sanātanam // Valc_2,11.13 //	brahmANam SaraNam jagmuH-Adidevam sanAtanam // Valt-_2,11.13 //
   brahmā nivāryośanasaṃ tārāmāṅgirase dadau /	brahmA nivArya-uSanasam tArAm-AFgirase dadO /
   tāmantaḥprasavāṃ dṛṣṭvā garbhaṃ tyajābravīdguruḥ // Valc_2,11.14 //	tAm-antar-prasavAm dRzwvA garBam tyaja-abravIt-guruH // Valt-_2,11.14 //
   garbhastyaktaḥ pradīpto 'tha prāhāhaṃ somasambhavaḥ /	garBaH-tyaktaH pradIptaH aTa prAha-aham soma-samBavaH /
   evaṃ somādvudhaḥ putraḥ putrastasya purūravāḥ // Valc_2,11.15 //	evam somAt-vuDaH putraH putraH-tasya purUravAH // Valt-_2,11.15 //
   urvvaśyāṃ jajñire yasya putrāḥ sapta mahātmanaḥ /	urvvaSyAm jajQire yasya putrAH sapta mahAtmanaH /
   gandharvyāṃ sumahātmānaḥ āyurdhīmānamāvasuḥ // Valc_2,11.15 //	ganDarvyAm su-mahAtmAnaH AyuH-DImAnam-AvasuH // Valt-_2,11.15 //
   viśvāyuścaiva dharmmātmā śrutāyuśca tathāparaḥ /	viSvAyuH-ca-eva Darmma-AtmA SrutAyuH-ca taTA-aparaH /
   dṛḍhāyuśca vanāyuśca śatāyuścorvvaśīsutāḥ // Valc_2,11.16 //	dRXAyuH-ca vanAyuH-ca SatAyuH-ca-urvvaSI-sutAH // Valt-_2,11.16 //
   svarbhānutanayāyāṃ tu prabhāyāṃ jajñire purā /	svarBAnu-tanayAyAm tu praBAyAm jajQire purA /
   siṃhagiriruvāca:	siMha-giriH-uvAca:
   teṣāṃ vaṃśeṣu vallāla mahātmāno mahaujasaḥ /	tezAm vaMSezu vallAla mahAtmAnaH mahA-ojasaH /
   brāhmaṇāḥ kṣatriyā vaiśyāḥ śūdrā jātāḥ sahasraśaḥ // Valc_2,11.17 //	brAhmaNAH kzatriyAH vESyAH SUdrAH jAtAH sahasraSas // Valt-_2,11.17 //
   vyāsa uvāca:	vyAsaH uvAca:
   āyuṣaḥ nahuṣaḥ putro vṛddhaśarmmā tataḥ param /	AyuzaH nahuzaH putraH vRdDaSarmmA tatas param /
   rambho rajiranenāśca rajeḥ putraśataṃ hyabhūt // Valc_2,11.18 //	ramBaH rajiranenAH-ca rajeH putra-Satam hi-aBUt // Valt-_2,11.18 //
   rājeyamiti vikhyātaṃ viṣṇudattavaro rajiḥ /	rAjA-iyam-iti viKyAtam vizNu-datta-varaH rajiH /
   yuddhe devāsure daityānabadhīt surayācitaḥ // Valc_2,11.19 //	yudDe devAsure dEtyAn-abaDIt surayA-AcitaH // Valt-_2,11.19 //
   utpannā pitṛkanyāyāṃ virajāyāṃ mahaujasaḥ /	utpannA pitR-kanyAyAm virajAyAm mahA-ojasaH /
   nahuṣasya sutāḥ sapta ṣaḍindropamatejasaḥ // Valc_2,11.20 //	nahuzasya sutAH sapta zaz-indra-upama-tejasaH // Valt-_2,11.20 //
   yatiryayātiḥ saṃyāti rāyātiḥ pāñciko bhavaḥ /	yatiH-yayAtiH saMyAti rAyAtiH pAQcikaH BavaH /
   suyātiḥ ṣaṣṭasteṣāṃ vai yayātiḥ pārthivo 'bhavat // Valc_2,11.21 //	suyAtiH zazwaH-tezAm vE yayAtiH pArTivaH aBavat // Valt-_2,11.21 //
   yatistu mokṣamāsthāya brahmabhūto 'bhavanmuniḥ /	yatiH-tu mokzam-AsTAya brahma-BUtaH aBavat-muniH /
   teṣāṃ yayātiḥ pañcānāṃ vijitya vasudhāmimām /	tezAm yayAtiH paQcAnAm vijitya vasuDAm-imAm /
   devayānīmuśanasaḥ sutāṃ bhāryyāmavāpa saḥ // Valc_2,11.22 //	devayAnIm-uSanasaH sutAm BAryyAm-avApa saH // Valt-_2,11.22 //
   śarmmiṣṭhāmāsurīṃ caiva tanayāṃ vṛṣaparvvaṇaḥ /	SarmmizWAm-AsurIm ca-eva tanayAm vRzaparvvaNaH /
   yaduñca turvvasuñcaiva devayānī vyajāyata /	yat-uQca turvvasuQcA-eva devayAnI vyajAyata /
   duhyuṃ cānuṃ puruñcaiva śarmmiṣṭhā vārṣaparvvaṇī // Valc_2,11.23 //	duhyum ca-anum puruQca-eva SarmmizWA vArzaparvvaNI // Valt-_2,11.23 //
   yaduḥ puruścābhavatāṃ teṣāṃ vaṃśavivarddhanau /	yaduH puruH-ca-aBavatAm tezAm vaMSa-vivardDanO /
   śṛṇutātha yadostasya vaṃśamadbhutapauruṣam // Valc_2,11.24 //	SRNutA-aTa yadoH-tasya vaMSam-adButa-pOruzam // Valt-_2,11.24 //
   babhūvustu yadoḥ putrāḥ pañca devasutopamāḥ /	baBUvuH-tu yadoH putrAH paQca deva-suta-upamAH /
   sahasradaḥ payodaśca kroṣṭā nīlo 'ñjikastathā // Valc_2,11.25 //	sahasra-daH payodaH-ca krozwA nIlaH aQjikaH-taTA // Valt-_2,11.25 //
   sahasradasya dāyādāstrayaḥ paramadhārmmikāḥ /	sahasradasya dAyAdAH-trayaH parama-DArmmikAH /
   haihayaśca hayaścaiva rājā veṇuhayastathā // Valc_2,11.26 //	hEhayaH-ca hayaH-ca-eva rAjA veNu-hayaH-taTA // Valt-_2,11.26 //
   haihayasyābhavatpatnī dharmmanetra iti śrutaḥ /	hEhayasya-aBavat-patnI Darmma-netraH iti SrutaH /
   dharmmanetrasya kārttastu sāhañjastasya cātmajaḥ /	Darmma-netrasya kArttaH-tu sAhaQjaH-tasya ca-AtmajaH /
   sāhañjanī nāma purī tena rājñā niveśitā // Valc_2,11.27 //	sAhaQjanI nAma purI tena rAjQA niveSitAH // Valt-_2,11.27 //
   sāhañjasya tu dāyādo mahiṣmānnāma pārthivaḥ /	sAhaQjasya tu dAyAdaH mahizmAn-nAma pArTivaH /
   māhīṣmatī nāma purī tena rājñā niveśitā // Valc_2,11.28 //	mAhIzmatI nAma purI tena rAjQA niveSitAH // Valt-_2,11.28 //
   āsīnmahiṣmataḥ putro bhadraśreṇyaḥ pratāpavān /	AsIt-mahizmataH putraH BadraSreNyaH pratApavAn /
   vārāṇasyadhipo rājā purāṇe parikīrttitaḥ // Valc_2,11.29 //	vArANasI-aDipaH rAjA purANe parikIrttitaH // Valt-_2,11.29 //
   bhadraśreṇyasya dāyādo durdamo nāma viśrutaḥ /	BadraSreNyasya dAyAdaH durdamaH nAma viSrutaH /
   durdamasya suto rājā kaṇako nāma viśrutaḥ // Valc_2,11.30 //	durdamasya sutaH rAjA kaNakaH nAma viSrutaH // Valt-_2,11.30 //
   kaṇakāt kṛtavīryyastu kṛtāgniḥ karavīrakaḥ /	kaNakAt kRtavIryyaH-tu kRta-agniH karavIrakaH /
   kṛtaujāśca caturtho 'bhūt kṛtavīryyādathārjjunaḥ // Valc_2,11.31 //	kRtOjAH-ca caturTaH aBUt kRtavIryyAt-aTa-arjjunaH // Valt-_2,11.31 //
   yaḥ sa bāhusahasreṇa saptadvīpeśvaro bhavat /	yaH sa bAhu-sahasreNa sapta-dvIpA-ISvaraH Bavat /
   jigāya pṛthivīmeko rathenādityavarccasā // Valc_2,11.32 //	jigAya pRTivIm-ekaH raTena-Aditya-varccasA // Valt-_2,11.32 //
   laṅkeśaṃ mohayitvā tu sabalaṃ rāvaṇaṃ balāt /	laFkeSam mohayitvA tu sa-balam rAvaNam balAt /
   asau baddhvā dhanurjyābhi rutsiktaṃ pañcabhiḥ śaraiḥ // Valc_2,11.33 //	asO badDvA DanuH-jyA-aBi rutsiktam paQcaBiH SarEH // Valt-_2,11.33 //
   nirjjityaiva samānīya māhiṣmatyāṃ babandha tam /	nirjjitya-eva samAnIya mAhizmatyAm babanDa tam /
   tasya bāhusahasrantu yudhyato bhuvaneśvarāḥ /	tasya bAhu-sahasrantu yuDyataH BuvaneSvarAH /
   yogādyogeśvarasyaiva prādurbhavati māyayā // Valc_2,11.34 //	yogAt-yoga-ISvarasya-eva prAdurBavati mAyayA // Valt-_2,11.34 //
   aho vata mṛdhe vīryyaṃ bhārgavo 'sya yadācchinat /	aho vata mRDe vIryyam BArgavaH asya yat-A-AcCinat /
   rājño bāhusahasrantu haimatālavanaṃ yathā // Valc_2,11.35 //	rAjQaH bAhu-sahasrantu hEma-tAla-vanam yaTA // Valt-_2,11.35 //
   jāmadagnāttadā rāmāt bāhujān kṣatriyān ghnataḥ /	jAma-dagnAt-tadA rAmAt bAhu-jAn kzatriyAn GnataH /
   kārttavīryyasya mahiṣī palāyata sudāruṇāt // Valc_2,11.36 //	kArttavIryyasya mahizI palAyata su-dAruNAt // Valt-_2,11.36 //
   antarvvatnī tu sā devī suṣuve kauśikāśrame /	antarvvatnI tu sA devI suzuve kOSika-ASrame /
   putraṃ subhaumanāmānam bālārkamiva sundaram // Valc_2,11.37 //	putram su-BOma-nAmAnam bAla-arkam-iva sundaram // Valt-_2,11.37 //
   sa mātrā varddhitaḥ kāle putraḥ sarasijānanaḥ /	sa mAtrA vardDitaH kAle putraH sarasija-AnanaH /
   kauśikāt pratijagrāha dhanurvedaṃ mahābhujaḥ // Valc_2,11.38 //	kOSikAt pratijagrAha Danurvedam mahA-BujaH // Valt-_2,11.38 //
   brāhmaṇaṃ pitṛhantāraṃ śrutvā mātṛmukhādyuvā /	brAhmaNam pitR-hantAram SrutvA mAtR-muKAt-yuvA /
   jagāma brāhmaṇān hantuṃ dikṣu krodhāruṇekṣaṇaḥ // Valc_2,11.39 //	jagAma brAhmaNAn hantum dikzu kroDa-aruNa-IkzaNaH // Valt-_2,11.39 //
   ekaviṃśativārān sa mahīmabrāhmaṇāmimām /	ekaviMSati-vArAn sa mahIm-abrAhmaNAm-imAm /
   cakārāto na vidyante brāhmaṇā mukhajāḥ kalau // Valc_2,11.40 //	cakArAtaH na vidyante brAhmaNAH muKa-jAH kalO // Valt-_2,11.40 //
   śavarān kaḍhukaivarttān vilokya bhārgavastataḥ /	SavarAn kaXukA-eva-rttAn vilokya BArgavaH-tatas /
   abrāhmaṇye tadā deśe teṣāṃ sūtramakalpayat // Valc_2,11.41 //	abrAhmaNye tadA deSe tezAm sUtram-akalpayat // Valt-_2,11.41 //
   tuṣyanti bhūṣaṇairnāryyo gāvaḥ svacchandacārataḥ /	tuzyanti BUzaNEH-nAryyaH gAvaH svacCanda-cArataH /
   kuñjarāḥ pāṃśuvarṣeṇa kiṃ tvete paranindayā // Valc_2,11.42 //	kuQjarAH pAMSu-varzeNa kim tu-ete para-nindayA // Valt-_2,11.42 //
   jāmadagnyaṃ tato yuddhe jaghānārjjunanandanaḥ /	jAmadagnyam tatas yudDe jaGAna-arjjuna-nandanaH /
   evaṃ sa brāhmaṇān jitvā subhīmo 'bhūjjayadhvajaḥ // Valc_2,11.43 //	evam sa brAhmaNAn jitvA su-BImaH aBUt-jayaDvajaH // Valt-_2,11.43 //
   tato viprāḥ sutārthinyaḥ kṣatriyānupatasthire /	tatas viprAH suta-arTinyaH kzatriya-anupatasTire /
   jātayo jajñire tāsu kadambapallavādayaḥ // Valc_2,11.44 //	jAtayaH jajQire tAsu kadamba-pallava-AdayaH // Valt-_2,11.44 //
   brahmahatyā pāpaviddho nirvṛtiṃ so 'labhannṛpaḥ /	brahmahatyA pApa-vidDaH nirvRtim saH alaBat-nRpaH /
   ayaṣṭa vājimedhena yajñaṃ pāpavināśanam // Valc_2,11.45 //	ayazwa vAjimeDena yajQam pApa-vinASanam // Valt-_2,11.45 //
   tasya yayoḥ pratikṛtiradyāpyasti śilāmayī /	tasya yayoH pratikRtiH-adya-api-asti SilA-mayI /
   māhiṣmatīpure ramye narmmadātaṭinītaṭe // Valc_2,11.46 //	mAhizmatI-pure ramye narmmadA-tawinI-tawe // Valt-_2,11.46 //
   kārttavīryyasya tu śataṃ putrāṇām pañca vai parāḥ /	kArttavIryyasya tu Satam putrANAm paQca vE parAH /
   śūrasenaśca śūraśca dhṛṣṭoktaḥ kṛṣṇa eva ca /	SUrasenaH-ca SUraH-ca DRzwa-uktaH kRzNaH eva ca /
   jayadhvaja iti khyātaḥ subhaumaśca mahāvalaḥ // Valc_2,11.47 //	jayaDvajaH iti KyAtaH su-BOmaH-ca mahA-valaH // Valt-_2,11.47 //
   jayadhvajāt tālajaṅghaḥ tālajaṅghāt śataṃ sutāḥ /	jayaDvajAt tAlajaFGaH tAlajaFGAt Satam sutAH /
   tālajaṅghā iti khyātāḥ śūrā uttamapauruṣāḥ // Valc_2,11.48 //	tAlajaFGAH iti KyAtAH SUrAH uttama-pOruzAH // Valt-_2,11.48 //
   teṣāṃ kule 'tivimale hehayānāṃ mahātmanām /	tezAm kule ati-vimale hehayAnAm mahAtmanAm /
   vītihotrāḥ svayaṃ jātāḥ bhojāścāvantayaḥ smṛtāḥ // Valc_2,11.59 //	vItihotrAH svayam jAtAH BojAH-ca-avantayaH smRtAH // Valt-_2,11.59 //
   tauṇḍikeyāśca vikhyātāstālajaṅghāstathaiva ca /	tONxikeyAH-ca viKyAtAH-tAlajaFGAH-taTA-eva ca /
   bharatāśca sujātāśca purāṇe kathitā mayā // Valc_2,11.50 //	BaratAH-ca sujAtAH-ca purANe kaTitAH mayA // Valt-_2,11.50 //
   vṛṣaprabhṛtayo vīrāḥ yādavāḥ puṇyakarmmiṇaḥ /	vRza-praBRtayaH vIrAH yAdavAH puNya-karmmiNaH /
