   maṅgalācaraṇam	maFgala-AcaraNam
   mūrkhasya ca diśaḥ śūnyāḥ sarva-śūnyā daridratā // Hit_1.121 //	mUrKasya ca diSaH SUnyAH sarva--SUnyAH daridra-tA // Hit-_1.121 //
   aparaṃ ca-	aparam ca-
   dāridryān maraṇād vāpi dāridryam avaraṃ smṛtam |	dAridryAt maraNAt vA-api dAridryam avaram smRtam |
   alpa-kleśena maraṇaṃ dāridryam atiduḥsaham // Hit_1.122 //	alpa--kleSena maraNam dAridryam ati-duHsaham // Hit-_1.122 //
   anyac ca-	anyat ca-
   tānīndriyāṇy avikalāni tad eva nāma	tAni-indriyANi avikalAni tat eva nAma
   sā buddhir apratihatā vacanaṃ tad eva |	sA budDiH apratihatAH vacanam tat eva |
   arthoṣmaṇā virahitaḥ puruṣaḥ sa eva	arTa-UzmaNA virahitaH puruzaH saH eva
   anyaḥ kṣaṇena bhavatīti vicitram etat // Hit_1.123 //	anyaH kzaNena Bavati-iti vicitram etat // Hit-_1.123 //
   etat sarvam ākarṇya mayālocitaṃ-mamānnāvasthānam ayuktam idānīm | tathā	etat sarvam AkarNya mayA-AlocitaM-mamAnna-avasTAnam ayuktam idAnIm | taTA
   coktam-	ca-uktam-
   atyanta-vimukhe daive vyarthe yatne ca pauruṣe |	atyanta--vimuKe dEve vyarTe yatne ca pOruze |
   manasvino daridrasya vanād anyat kutaḥ sukham // Hit_1.124 //	manasvinaH daridrasya vanAt anyat kutas suKam // Hit-_1.124 //
   anyac ca-	anyat ca-
   manasvī miryate kāmaṃ kārpaṇyaṃ na tu gacchati |	manasvI miryate kAmam kArpaNyam na tu gacCati |
   api nirvāṇam āyāti nānalo yāti śītatām // Hit_1.125 //	api nirvANam AyAti na-analaH yAti SIta-tAm // Hit-_1.125 //
   kiṃ ca-	kim ca-
   kusuma-stavakasyeva dve vṛttī tu manasvinaḥ |	kusuma-H-tavakasya-iva dve vRttI tu manasvinaH |
   sarveṣāṃ mūrdhni vā tiṣṭhed viśīryeta vane'thavā // Hit_1.126 //	sarvezAm mUrDni vA tizWet viSIryeta vane-aTavA // Hid-_1.126 //
   yac cānyasmai etad vṛttānta-kathanaṃ tad apy anucitam | yataḥ-	yat ca-anyasmE etat vRttAnta-kaTanam tat api anucitam | yatas--
   artha-nāśaṃ manas-tāpaṃ gṛhe duścaritāni ca |	arTa-nASam manas-tApam gRhe duScaritAni ca |
   vañcanaṃ cāpamānaṃ ca matimān na prakāśayet // Hit_1.127 //	vaQcanam ca-apamAnam ca matimAn na prakASayet // Hit-_1.127 //
   yac cātraiva yācñayā jīvanaṃ tad apy atīva-garhitam | yataḥ-	yat ca-atra-eva yAcQayA jIvanam tat api atIva--garhitam | yatas--
   varaṃ vibhava-hīnena prāṇaiḥ santarpito 'nalaḥ |	varam viBava--hInena prANEH santarpitaH analaH |
   nopacāra-paribhraṣṭaḥ kṛpaṇaḥ prārthyate janaḥ // Hit_1.128 //	na-upacAra--pariBrazwaH kRpaNaH prArTyate janaH // Hit-_1.128 //
   anyac ca-	anyat ca-
   dāridryād dhriyam eti hrī-parigataḥ sattvāt paribhraśyate	dAridryAt Driyam eti hrI--parigataH sattvAt pariBraSyate
   niḥsattvaṃ paribhūyate paribhavān nirvedam āpadyate |	niHsattvam pariBUyate pariBavAt nirvedam Apadyate |
   nirviṇṇaḥ śucam eti śoka-phihito buddhyā parityajyate	nirviNNaH Sucam eti Soka--PihitaH budDyA parityajyate
   nirbuddhiḥ kṣayam ety aho nidhanatā sarvāpadām āspadam // Hit_1.129 //	nirbudDiH kzayam eti aho niDana-tA sarva-ApadAm Aspadam // Hit-_1.129 //
   kiṃ ca-	kim ca-
   varaṃ maunaṃ kāryaṃ na ca vacanam uktaṃ yad anṛtaṃ	varam mOnam kAryam na ca vacanam uktam yat anRtam
   varaṃ klaibyaṃ puṃsāṃ na ca para-kalatrābhigamanam |	varam klEbyam puMsAm na ca para-kalatra-aBigamanam |
   varaṃ prāṇa-tyāgo na ca piśuna-vākyeṣv abhirucir	varam prANa--tyAgaH na ca piSuna--vAkyezu aBiruciH-
   varaṃ bhikṣāśitvaṃ na ca para-dhanāsvādana-sukham // Hit_1.130 //	varam BikzA-ASi-tvam na ca para-Dana-AsvAdana--suKam // Hit-_1.130 //
   varaṃ śūnyā śālā na ca khalu varo duṣṭa-vṛṣabho	varam SUnyA SAlA na ca Kalu varaH duzwa--vRzaBaH-
   varaṃ veśyā patnī na punar avinītā kula-vadhūḥ |	varam veSyA patnI na punar avinItA kula-vaDUH |
   varaṃ vāso 'raṇye na punar avivekādhipa-pure	varam vAsaH araNye na punar aviveka-aDipa-pure
   varaṃ prāṇa-tyāgo na punar adhamānām upagamaḥ // Hit_1.131 //	varam prANa--tyAgaH na punar aDamAnAm upagamaH // Hit-_1.131 //
   api ca-	api ca-
   seveva mānam akhilaṃ jyotsneva tamo jareva lāvaṇyam |	sevA-iva mAnam aKilam jyotsnA-iva tamaH jarA-iva lAvaNyam |
   hari-hara-katheva duritaṃ guṇa-śatam apy arthitā harati // Hit_1.132 //	hari-hara--kaTA-iva duritam guNa--Satam api arTitAH harati // Hit-_1.132 //
   tat kim ahaṃ para-piṇḍena ātmānaṃ poṣayāmi ? kaṣṭaṃ bhoḥ ! tad api	tat kim aham para--piNxena AtmAnam pozayAmi ? kazwam BoH ! tat api
   dvitīyaṃ mṛtyu-dvāram | anyac ca-	dvitIyam mRtyu--dvAram | anyat ca-
   rogī cira-pravāsī parānna-bhojī parāvasatha-śāyī |	rogI cira--pravAsI para-anna-BojI para-AvasaTa--SAyI |
   yaj jīvati tan maraṇaṃ yan maraṇaṃ so 'sya viśrāmaḥ // Hit_1.133 //	yat jIvati tat maraNam yat maraNam saH asya viSrAmaH // Hit-_1.133 //
   ity ālocyāpi lobhāt punar api tadīyam annaṃ grahītuṃ graham akaravam |	iti Alocya-api loBAt punar api tadIyam annam grahItum graham akaravam |
   tathā coktam-	taTA ca-uktam-
   lobhena buddhiś calati lobho janayate tṛṣām |	loBena budDiH calati loBaH janayate tRzAm |
   tṛṣārto duḥkham āpnoti paratreha ca mānavaḥ // Hit_1.134 //	tRzA-ArtaH duHKam Apnoti paratra-iha ca mAnavaH // Hit-_1.134 //
   tato 'haṃ mandaṃ mandam upasarpaṃs tena vīṇākarṇena jarjara-vaṃśa-khaṇḍena	tatas aham mandam mandam upasarpan tena vINAkarNena jarjara--vaMSa--KaNxena
   tāḍitaś cācintayam-lubdho hy asantuṣṭo niyatam ātma-drohī bhavati | tathā	tAxitaH ca-acintayam-lubDaH hi asantuzwaH niyatam Atma-drohI Bavati | taTA
   ca-	ca-
   dhana-lubdho hy asantuṣṭo 'niyatātmājitendriyaḥ |	Dana-lubDaH hi asantuzwaH aniyata-AtmA-ajita-indriyaH |
   sarvā evāpadas tasya yasya tuṣṭaṃ na mānasam // Hit_1.135 //	sarvAH eva-ApadaH tasya yasya tuzwam na mAnasam // Hit-_1.135 //
   sarvāḥ sampattasyas tasya santuṣṭaṃ yasya mānasam |	sarvAH sampad-tasyaH tasya santuzwam yasya mAnasam |
   upānad-gūḍha-pādasya nanu carmāvṛteva bhūḥ // Hit_1.136 //	upAnad--gUXa--pAdasya nanu carma-AvRtA-iva BUH // Hit-_1.136 //
   aparaṃ ca-	aparam ca-
   santoṣāmṛta-tṛptānāṃ yat sukhaṃ śānta-cetasām |	santoza-amRta--tRptAnAm yat suKam SAnta--cetasAm |
   kutas tad-dhana-lubdhānām itaś cetaś ca dhāvatām // Hit_1.137 //	kutas tad--Dana--lubDAnAm itas ca-itas ca DAvatAm // Hit-_1.137 //
   kiṃ ca-	kim ca-
   tenādhītaṃ śrutaṃ tena tena sarvam anuṣṭhitam |	tena-aDItam Srutam tena tena sarvam anuzWitam |
   yenāśāḥ pṛṣṭhataḥ kṛtvā nairāśyam avalambitam // Hit_1.138 //	yena-ASAH pRzWatas kRtvA nErASyam avalambitam // Hit-_1.138 //
   api ca-	api ca-
   aseviteśvara-dvāram adṛṣṭa-viraha-vyatham |	aseviteSvara-dvAram adRzwa--viraha--vyaTam |
   anukta-klība-vacanaṃ dhanyaṃ kasyāpi jīvanam // Hit_1.139 //	anukta-klIba-vacanam Danyam kasya-api jIvanam // Hit-_1.139 //
   na yojana-śataṃ dūraṃ vāhyamānasya tṛṣṇayā |	na yojana-Satam dUram vAhyamAnasya tRzNayA |
   santuṣṭasya kara-prāpte'py arthe bhavati nādaraḥ // Hit_1.140 //	santuzwasya kara--prApte-api arTe Bavati na-AdaraH // Hit-_1.140 //
   tad atra avasthocita-kārya-paricchedaḥ śreyān |	tat atra avasTA-ucita--kArya--paricCedaH SreyAn |
   ko dharmo bhūta-dayā kiṃ saukhyaṃ nityam aroginā jagati |	kaH DarmaH BUta-dayA kim sOKyam nityam aroginA jagati |
   kaḥ snehaḥ sad-bhāvaḥ kiṃ pāṇḍityaṃ paricchedaḥ // Hit_1.141 //	kaH snehaH sad-BAvaH kim pANxityam paricCedaH // Hit-_1.141 //
   tathā ca-	taTA ca-
   paricchedo hi pāṇḍityaṃ yadāpannā vipattayaḥ |	paricCedaH hi pANxityam yat-ApannAH vipattayaH |
   apariccheda-kartṝṇāṃ vipadaḥ syuḥ pade pade // Hit_1.142 //	aparicCeda--kartLNAm vipadaH syuH pade pade // Hit-_1.142 //
   tathā hi-	taTA hi-
   tyajed ekaṃ kulasyārthe grāmasyārthe kulaṃ tyajet |	tyajet ekam kulasya-arTe grAmasya-arTe kulam tyajet |
   grāmaṃ janapadasyārthe ātmārthe pṛthivīṃ tyajet // Hit_1.143 //	grAmam janapadasya-arTe Atma-arTe pRTivIm tyajet // Hit-_1.143 //
   aparaṃ ca-	aparam ca-
   pānīyaṃ vā nirāyāsaṃ svādvannaṃ vā bhayottaram |	pAnIyam vA nirAyAsam svAdu-annam vA Baya-uttaram |
   vicāryaṃ khalu paśyāmi tat sukhaṃ yatra nirvṛtiḥ // Hit_1.144 //	vicAryam Kalu paSyAmi tat suKam yatra nirvRtiH // Hit-_1.144 //
   ity ālocyāhaṃ nirjana-vanam āgataḥ | yataḥ-	iti Alocya-aham nirjana--vanam AgataH | yatas--
   varaṃ vanaṃ vyāghra-gajendra-sevitaṃ	varam vanam vyAGra--gaja-indra--sevitam
   drumālayaḥ patra-phalāmbu-bhakṣitam |	druma-AlayaH patra-Pala-ambu--Bakzitam |
   tṛṇāni śayyā vasanaṃ ca valkalaṃ	tRNAni SayyA vasanam ca valkalam
   na bandhu-madhye dhana-hīna-jīvanam // Hit_1.145 //	na banDu--maDye Dana--hIna--jIvanam // Hid-_1.145 //
   ataḥ-	atas--
   saṃsāra-viṣaya-vṛkṣasya dve eva rasavat phale |	saMsAra--vizaya-vRkzasya dve eva rasavat Pale |
   kāvyāmṛta-rasāsvādaḥ saṅgamaḥ sajjanaiḥ saha // Hit_1.146 //	kAvya-amRta--rasa-AsvAdaH saFgamaH sat-janEH saha // Hit-_1.146 //
   aparaṃ ca-	aparam ca-
   sat-saṅgaḥ keśave bhaktir gaṅgāmbhasi nimajjanam |	sat-saFgaH keSave BaktiH gaFgA-amBasi nimajjanam |
   asāre khalu saṃsāre trīṇi sārāṇi bhāvayet // Hit_1.147 //	asAre Kalu saMsAre trINi sArANi BAvayet // Hit-_1.147 //
   manthara uvāca-	manTaraH uvAca-
   arthāḥ pāda-rajopamā giri-nadī-vegopamaṃ yauvanam	arTAH pAda-raja-upamA giri-nadI--vega-upamam yOvanam
   āyuṣyaṃ jala-bindu-lola-capalaṃ phenopamaṃ jīvanam |	Ayuzyam jala--bindu--lola--capalam Pena-upamam jIvanam |
   dharmaṃ yo na karoti niścala-matiḥ svargārgalodghāṭanaṃ	Darmam yaH na karoti niScala-matiH svarga-argala-udGAwanam
   paścāt-tāpa-hato jarā-pariṇataḥ śokāgninā dahyate // Hit_1.148 //	paSca-at-tA-apa-hataH jarA--pariNataH Soka-agninA dahyate // Hid-_1.148 //
   yuṣmābhir atisañcayaḥ kṛtaḥ | tasyāyaṃ doṣaḥ | śṛṇu-	yuzmABiH ati-saQcayaH kRtaH | tasya-ayam dozaH | SRNu-
   upārjitānāṃ vittānāṃ tyāga eva hi rakṣaṇam |	upArjitAnAm vittAnAm tyAgaH eva hi rakzaNam |
   taḍāgodara-saṃsthānāṃ parīvāhaivāmbhasām // Hit_1.149 //	taxAga-udara--saMsTAnAm parIvAha-eva-amBasAm // Hit-_1.149 //
   anyac ca-	anyat ca-
   yad adho 'dhaḥ kṣitau vittaṃ nicakhāna mitampacaḥ |	yat aDas aDas kzitO vittam nicaKAna mitampacaH |
   tad-adho nilayaṃ gantuṃ cakre panthānam agrataḥ // Hit_1.150 //	tad--aDas nilayam gantum cakre panTAnam agratas // Hit-_1.150 //
   yataḥ-	yatas--
   nija-saukhyaṃ nirundhāno yo dhanārjanam icchati |	nija--sOKyam nirunDAnaH yaH Dana-arjanam icCati |
   parārtha-bhāra-vāhīva sa kleśasyaiva bhājanam // Hit_1.151 //	para-arTa--BAra--vAhI-iva sa kleSasya-eva BAjanam // Hit-_1.151 //
   tathā coktaṃ-	taTA ca-uktaM-
   dānopabhoga-hīnena dhanena dhanino yadi |	dAna-upaBoga--hInena Danena DaninaH yadi |
   bhavāmaḥ kiṃ na tenaiva dhanena dhanino vayam // Hit_1.152 //	BavAmaH kim na tena-eva Danena DaninaH vayam // Hit-_1.152 //
   yataḥ-	yatas--
   dhanena kiṃ yo na dadāti nāśnute	Danena kim yaH na dadAti na-aSnute
   balena kiṃ yaś ca ripūn na yādhatte |	balena kim yaH ca ripUn na yADatte |
   śrutena kiṃ yo na ca dharmam ācaret	Srutena kim yaH na ca Darmam Acaret-
   kim ātmanā yo na jitendriyo bhavet // Hit_1.153 //	kim AtmanA yaH na jita-indriyaH Bavet // Hit-_1.153 //
   anyac ca-	anyat ca-
   asambhogena sāmānyaṃ kṛpaṇasya dhanaṃ paraiḥ |	asamBogena sAmAnyam kRpaNasya Danam parEH |
   asyedam iti sambandho hānau duḥkhena gamyate // Hit_1.154 //	asya-idam iti sambanDaH hAnO duHKena gamyate // Hid-_1.154 //
   api ca-	api ca-
   na devāya na viprāya na bandhubhyo na cātmane |	na devAya na viprAya na banDuByaH na ca-Atmane |
   kṛpaṇasya dhanaṃ yāti vahni-taskara-pārthivaiḥ // Hit_1.155 //	kRpaNasya Danam yAti vahni-taskara--pArTivEH // Hit-_1.155 //
   tathā coktam-	taTA ca-uktam-
   dānaṃ priya-vāk-sahitaṃ	dAnam priya-vAk--sahitam
   jñānam agarvaṃ kṣamānvitaṃ sauryam |	jQAnam agarvam kzamA-anvitam sOryam |
   tyāgaṃ sahitaṃ ca vittaṃ	tyAgam sahitam ca vittam
   durlabham etac catur bhadram // Hit_1.156 //	durlaBam etat catuH Badram // Hit-_1.156 //
   uktaṃ ca-	uktam ca-
   kartavyaḥ sañcayo nityaṃ na tu kāryo 'tisañcayaḥ |	kartavyaH saQcayaH nityam na tu kAryaH ati-saQcayaH |
   atisañcaya-śīlo 'yaṃ dhanuṣā jambuko hataḥ // Hit_1.157 //	ati-saQcaya--SIlaH ayam DanuzA jambukaH hataH // Hit-_1.157 //
   tāv āhatuḥ-katham etat ?	tO AhatuH-kaTam etat ?
   mantharaḥ kathayati-	manTaraH kaTayati-
   kathā 5	kaTA 5
   āsīt kalyāṇa-kaṭaka-vāstavyo bhairavo nāma vyādhaḥ | sa caikadā	AsIt kalyANa-kawaka--vAstavyaH BEravaH nAma vyADaH | sa ca-ekadA
   māṃsa-lubdho dhanur ādāya mṛgam anviṣyan vindhyāṭavī-madhyaṃ gataḥ | tatra	mAMsa-lubDaH DanuH AdAya mRgam anvizyan vinDya-awavI--maDyam gataH | tatra
   tena mṛga eko vyāpāditaḥ | tato mṛgam ādāya gacchatā tena ghorākṛtiḥ	tena mRgaH ekaH vyApAditaH | tatas mRgam AdAya gacCatA tena Gora-AkRtiH
   śūkaro dṛṣṭaḥ | tatas tena mṛgaṃ bhūmau nidhāya śūkaraḥ śareṇa hataḥ |	SUkaraH dRzwaH | tatas tena mRgam BUmO niDAya SUkaraH SareNa hataH |
   śūkareṇāpy āgatya pralaya-ghana-ghora-garjanaṃ kurvāṇena sa vyādho	SUkareNa-api Agatya pralaya--Gana-Gora--garjanam kurvANena sa vyADaH-
   muṣka-deśe hataḥ chinna-druma iva papāta | tathā coktam-	muzka-deSe hataH Cinna-drumaH iva papAta | taTA ca-uktam-
   jalam agnir viṣaṃ śastaṃ kṣud vyādhiḥ patanaṃ gireḥ |	jalam agniH vizam Sastam kzuD vyADiH patanam gireH |
   nimittaṃ kiñcid āsādya dehī prāṇair vimucyate // Hit_1.158 //	nimittam kiQcid AsAdya dehI prANEH vimucyate // Hid-_1.158 //
   atha tayoḥ pādāsphālanena ekaḥ sarpo 'pi mṛtaḥ | atrāntare dīrgharāvo nāma	aTa tayoH pAda-AsPAlanena ekaH sarpaH api mRtaH | atra-antare dIrGarAvaH nAma
   jambukaḥ paribhramanāhārārthā tān mṛtān mṛga-vyādha-sarpa-śūkarān apaśyat	jambukaH pariBramana-AhAra-arTA tAn mRtAn mRga-vyADa--sarpa--SUkarAn apaSyat-
   | ālokyācintayac ca-aho bhāgyam ! adya mahad bhojyaṃ me samupasthitam |	| Alokya-acintayat ca-ahaH BAgyam ! adya mahat Bojyam me samupasTitam |
   athavā-	aTavA-
   acintitāni duḥkhāni yathaivāyānti dehinām |	acintitAni duHKAni yaTA-eva-AyAnti dehinAm |
   sukhāny api tathā manye daivam atrātiricyate // Hit_1.159 //	suKAni api taTA manye dEvam atra-atiricyate // Hid-_1.159 //
   māsam ekaṃ naro yāti dvau māsau mṛga-śūkarau |	mAsam ekam naraH yAti dvO mAsO mRga--SUkarO |
   ahir ekaṃ dinaṃ yāti adya bhakṣyo dhanurguṇaḥ // Hit_1.160 //	ahiH ekam dinam yAti adya BakzyaH DanuH-guNaH // Hit-_1.160 //
   tataḥ prathama-bubhukṣāyām idaṃ niḥsvādu kodaṇḍa-lagnaṃ snāyu-bandhanaṃ	tatas praTama--buBukzAyAm idam niHsvAdu kodaNxa--lagnam snAyu-banDanam
   khādāmi, ity uktvā tathākarot | tataś chinne snāyu-bandhane drutam	KA-dAmi, iti uktvA taTA-akarot | tatas Cinne snAyu--banDane drutam
   utpatitena dhanuṣā hṛdi nirbhinnaḥ sa dīrgharāvaḥ pañcatvaṃ gataḥ | ato	utpatitena DanuzA hRdi nirBinnaH sa dIrGarAvaH paQcatvam gataH | atas-
   'haṃ bravīmi kartavyaḥ sañcayo nityam ity ādi | tathā ca-	aham bravImi kartavyaH saQcayaH nityam iti Adi | taTA ca-
   yad dadāti yad aśnāti tad eva dhanino dhanam |	yat dadAti yat aSnAti tat eva DaninaH Danam |
   anye mṛtasya krīḍanti dārair api dhanair api // Hit_1.161 //	anye mRtasya krIxanti dArEH api DanEH api // Hit-_1.161 //
   kiṃ ca-	kim ca-
   yad dadāsi viśiṣṭebhyo yac cāśnāsi dine dine |	yat dadAsi viSizweByaH yat ca-aSnAsi dine dine |
   tat te vittam ahaṃ manye śeṣaṃ kasyāpi rakṣasi // Hit_1.162 //	tat te vittam aham manye Sezam kasya-api rakzasi // Hid-_1.162 //
   yātu, kim idānīm atikrāntopavarṇanena | yataḥ-	yAtu, kim idAnIm atikrAnta-upavarNanena | yatas--
   nāprāyam abhivāñchanti naṣṭaṃ necchanti śocitum |	na-aprAyam aBivAQCanti nazwam na-icCanti Socitum |
   āpatsv api na muhyanti narāḥ paṇḍita-buddhayaḥ // Hit_1.163 //	Apatsu api na muhyanti narAH paNxita--budDayaH // Hit-_1.163 //
   tat sakhe ! sarvadā tvayā sotsāhena bhavitavyam, yataḥ-	tat saKe ! sarvadA tvayA sa-utsAhena Bavitavyam, yatas--
   śāstrāṇy adhītyāpi bhavanti mūrkhā	SAstrANi aDItya-api Bavanti mUrKA
   yas tu kriyāvān puruṣaḥ sa vidvān |	yaH tu kriyAvAn puruzaH sa vidvAn |
   sucintitaṃ cauṣadham āturāṇāṃ	su-cintitam ca-OzaDam AturANAm
   na nāma-mātreṇa karoty arogam // Hit_1.164 //	na nAma--mAtreNa karoti arogam // Hit-_1.164 //
   anyac ca-	anyat ca-
   na svalpam apy adhyavasāya-bhīroḥ	na su-alpam api aDyavasAya--BIroH
   karoti vijñāna-vidhir guṇaṃ hi |	karoti vijQAna-viDiH guNam hi |
   andhasya kiṃ hasta-tala-sthito 'pi	anDasya kim hasta--tala--sTitaH api
   prakāśayaty artham iha pradīpaḥ // Hit_1.165 //	prakASayati arTam iha pradIpaH // Hit-_1.165 //
   tad atra sakhe daśātiśeṣEṇa śāntiḥ karaṇīyā | etad apy atikaṣṭaṃ tvayā na	tat atra saKe daSa-atiSezENa SAntiH karaNIyA | etat api ati-kazwam tvayA na
   mantavyam |	mantavyam |
   sukham āpatitaṃ sevyaṃ duḥkham āpatitaṃ tathā |	suKam Apatitam sevyam duHKam Apatitam taTA |
   cakravat parivartante duḥkhāni ca sukhāni ca // Hit_1.166 //	cakra-vat parivartante duHKAni ca suKAni ca // Hit-_1.166 //
   aparaṃ ca-	aparam ca-
   nipānam iva maṇḍūkāḥ saraḥ pūrṇam ivāṇḍajāḥ |	nipAnam iva maNxUkAH saraH pUrNam iva-aNxajAH |
   sodyogaṃ naram āyānti vivaśāḥ sarva-sampadaḥ // Hit_1.167 //	sa-udyogam naram AyAnti vivaSAH sarva--sampadaH // Hit-_1.167 //
   api ca-	api ca-
   utsāha-saṃpannam adīrgha-sūtraṃ kriyā-vidhijñaṃ vyasaneṣv asaktam |	utsAha--saMpannam adIrGa-sUtram kriyA--viDi-jQam vyasanezu asaktam |
   śūraṃ kṛtajñaṃ dṛḍha-sauhṛdaṃ ca- lakṣmīḥ svayaṃ vāñchati vāsa-hetoḥ //	SUram kRtajQam dRXa--sOhRdam ca lakzmIH svayam vAQCati vAsa--hetoH //
   Hit_1.168 //	Hit-_1.168 //
   viśeṣataś ca-	viSezataH ca-
   vināpy arthair dhīraḥ spṛśati bahumānonnati-padaṃ	vinA-api arTEH DIraH spRSati bahu-mAna-unnati--padam
   samāyukto 'py arthaiḥ paribhava-padaṃ yāti kṛpaṇaḥ |	samAyuktaH api arTEH pariBava--padam yAti kRpaNaH |
   svabhāvād udbhūtāṃ guṇa-samudayāvāpti-viṣayāṃ	svaBAvAt udBUtAm guNa--samudaya-avApti-vizayAm
   dyutiṃ saiṃhīṃ śvā kiṃ dhṛta-kanaka-mālo 'pi labhate // Hit_1.169 //	dyutim sEMhIm SvA kim DRta-kanaka-mAlaH api laBate // Hit-_1.169 //
   kiṃ ca-	kim ca-
   dhanavān iti hi madas te kiṃ gata-vibhavo viṣādam upayāsi |	DanavAn iti hi madaH te kim gata-viBavaH vizAdam upayAsi |
   kara-nihata-kanduka-samāḥ pātotpātā manuṣyāṇām // Hit_1.170 //	kara--nihata-kanduka--samAH pAta-utpAtAH manuzyANAm // Hit-_1.170 //
   anyac ca-	anyat ca-
   vṛtty-arthaṃ nāticeṣṭate sā hi dhātraiva nirmitā |	vRtti--arTam na-ati-cezwate sA hi DAtrA-eva nirmitA |
   garbhād utpatite jantau mātuḥ prasravataḥ stanau // Hit_1.171 //	garBAt utpatite jantO mAtuH prasravataH stanO // Hit-_1.171 //
   api ca sakhe śṛṇu-	api ca saKe SRNu-
   yena śuklī-kṛtā haṃsāḥ śukāś ca haritīkṛtāḥ |	yena SuklI-kRtAH haMsAH SukAH ca haritIkRtAH |
   mayūrāś citritā yena sa te vṛttiṃ vidhāsyati // Hit_1.172 //	mayUrAH citritAH yena sa te vRttim viDAsyati // Hit-_1.172 //
   aparaṃ ca satāṃ rahasyaṃ śṛṇu, mitra !	aparam ca satAm rahasyam SRNu, mitra !
   janayanty arjane duḥkhaṃ tāpayanti vipattiṣu |	janayanti arjane duHKam tApayanti vipattizu |
   mohayanti ca sampattau katham arthāḥ sukhāvahāḥ // Hit_1.173 //	mohayanti ca sampattO kaTam arTAH suKa-AvahAH // Hit-_1.173 //
   aparaṃ ca-	aparam ca-
   dharmārdhaṃ yasya vittehā varaṃ tasya nirīhatā |	Darma-arDam yasya vittehAH varam tasya nirIha-tA |
   prakṣālanād dhi paṅkasya dūrād asparśanaṃ varam // Hit_1.174 //	prakzAlanAt Di paFkasya dUrAt asparSanam varam // Hit-_1.174 //
   yataḥ-	yatas--
   yathāāmiṣam ākāśe pakṣibhiḥ śvāpadair bhuvi |	yaTAAmizam AkASe pakziBiH SvApadEH Buvi |
   bhakṣyate salile matsyais tathā sarvatra vittavān // Hit_1.175 //	Bakzyate salile matsyEH taTA sarvatra vittavAn // Hit-_1.175 //
   anyac ca-	anyat ca-
   rājataḥ salilād agneś corataḥ svajanād api |	rAjataH salilAt agneH corataH sva-janAt api |
   bhayam arthavatāṃ nityaṃ mṛtyoḥ prāṇa-bhṛtām iva // Hit_1.176 //	Bayam arTavatAm nityam mRtyoH prANa-BRtAm iva // Hit-_1.176 //
   tathā hi-	taTA hi-
   janmani kleśa-bahule kiṃ nu duḥkham ataḥ param |	janmani kleSa--bahule kim nu duHKam atas param |
   icchā-sampad yato nāsti yac cecchā na nivartate // Hit_1.177 //	icCA-sampad yatas na-asti yat ca-icCA na nivartate // Hit-_1.177 //
   anyac ca bhrātaḥ śṛṇu-	anyat ca BrAtar SRNu-
   dhanaṃ tāvad asulabhaṃ labdhaṃ kṛcchreṇa pālyate |	Danam tAvat asulaBam labDam kRcCreNa pAlyate |
   labdha-nāśo yathā mṛtyus tasmād etan na cintayet // Hit_1.178 //	labDa-nASaH yaTA mRtyuH tasmAt etat na cintayet // Hit-_1.178 //
   sā tṛṣṇā cet parityaktā ko daridraḥ ka īśvaraḥ |	sA tRzNA ced parityaktA kaH daridraH kaH ISvaraH |
   tasyāś cet prasaro datto dāsyaṃ ca śirasi sthitam // Hit_1.179 //	tasyAH ced prasaraH dattaH dAsyam ca Sirasi sTitam // Hit-_1.179 //
   aparaṃ ca-	aparam ca-
   yad yad eva hi vāñcheta tato vāñchā pravartate |	yat yat eva hi vAQCeta tatas vAQCA pravartate |
   prāpta evārthataḥ so 'rtho yato vāñchā nivartate // Hit_1.180 //	prAptaH eva-arTataH saH arTaH yatas vAQCA nivartate // Hit-_1.180 //
