   śikṣāsamuccayaḥ |	SikzAsamuccayaH |
   āhāraprajñâtāpino 'nadhyavasitâhārāḥ	AhAra-prajQâ-tApinaH anaDyavasitâ-hArAH
   prītibhakṣānirāmiṣâhārā yāvat kāmatṛṣṇāvinivarttakāḥ |	prIti-BakzA-nirAmizâ-hArAH yAvat kAma-tRzNA-vinivarttakAH |
   sarvasatvāḥ dharmarasameghapravarṣakā bhavantu |	sarva-satvAH Darma-rasa-meGa-pravarzakAH Bavantu |
   anuttaradharmaratiprīṇitasantānāḥ |	anuttara-Darma-rati-prINita-santAnAH |
   sarvasatvāḥ sarvarasâgrajihvā bhavantu rasanimittā grahītāraḥ	sarva-satvAH sarva-rasâgrajihvAH Bavantu rasa-nimittAH grahItAraH
   sarvabuddhadharmacittanaprayuktāḥ	sarva-budDa-Darma-cittana-prayuktAH
   avipannayānâgrayānôttamayānāḥ śīghrayānā mahāyānāḥ |	avipannayAnâgrayAn-ôttama-yAnAH SIGrayAnAH mahAyAnAH |
   sarvasatvâtṛptadarśanā bhavantu	sarva-satvâ-tRpta-darSanAH Bavantu
   buddhaprītipratilabdhāḥ |	budDa-prIti-pratilabDAH |
   sarvasatvāḥ sarvakalyāṇamitradarśanânupahatasantānā bhavantu |	sarva-satvAH sarva-kalyANa-mitra-darSanânupahata-santAnAH Bavantu |
   sarvasatvâgadabhaiṣajyarājôpadarśanā bhavantu |	sarva-satvâ-gada-BEzajya-rAjô-padarSanAH Bavantu |
   sarvasatvāḥ kleśaviṣavinivarttakāḥ |	sarva-satvAH kleSa-viza-vinivarttakAH |
   sarvasatvâdityamaṇḍalôdgatadarśanā bhavantu	sarva-satvâditya-maNxalôt-gata-darSanAH Bavantu
   sarvasatvatamastimirapaṭalavidhamanatvāt ||	sarva-satva-tamaH-timira-pawala-viDa-mana-tvAt ||
   evam ātmānam upanidhāya svabhāvanânukūlyena paṭhitavyaṃ |	evam AtmAnam upaniDAya svaBAvanânukUlyena paWitavyam |
   sarvasatvānām abhiruciradarśanatāyāṃ pariṇāmayāmi |	sarva-satvAnAm aBirucira-darSana-tAyAm pariNAmayAmi |
   saumanasyadarśanatāyāṃ kalyāṇadarśanatāyāṃ pariṇāmayāmi |	sOmanasya-darSana-tAyAm kalyANa-darSana-tAyAm pariNAmayAmi |
   abhilaṣitadarśanatāyāṃ praharṣitadarśanatāyāṃ daurmanasyâdarśanatāyāṃ	aBilazita-darSana-tAyAm praharzita-darSana-tAyAm dOrmanasyâdarSana-tAyAm
   buddhadarśanôpetāyāṃ pariṇāmayāmi ||	budDa-darSanô-petAyAm pariNAmayAmi ||
   sarvasatvāḥ śīlagandhôpetā bhavantv anācchedyaśīlā bodhisatvapāramitāśīlā-	sarva-satvAH SIla-ganDô-petAH Bavantu anAcCedya-SIlA boDisatva-pAramitA-SIlA-
   [ Cambridge MS f21b ---> ]	[ Cambridge M f21B ---> ]
   ḥ ||	H ||
   sarvasatvā dānavāsitā bhavantu sarvatyāgaparityāginaḥ |	sarva-satvAH dAna-vAsitAH Bavantu sarva-tyAga-parityAginaH |
   sarvasatvāḥ kśāntivāsitā bhavantu	sarva-satvAH kSAnti-vAsitAH Bavantu
   akṣobhyacetanāpratilabdhāḥ |	akzoBya-cetanA-pratilabDAH |
   sarvasatvā vīryavāsitā bhavantu	sarva-satvAH vIrya-vAsitAH Bavantu
   mahāvīryayānasannaddhāḥ |	mahA-vIrya-yAna-sannadDAH |
   sarvasatvā dhyānavāsitā bhavantu	sarva-satvAH DyAna-vAsitAH Bavantu
   pratyutpannabuddhasaṃmukhībhāvasthitāḥ samādhipratilabdhāḥ |	pratyutpanna-budDa-saMmuKIBAva-sTitAH samADi-pratilabDAH |
   sarvasatvā bodhisatvapariṇāmanāvāsitā bhavantu	sarva-satvAH boDisatva-pariNAmanA-vAsitAH Bavantu
   sarvasatvāḥ	sarva-satvAH
   sarvaśukladharmavāsitā bhavantu	sarva-Sukla-Darma-vAsitAH Bavantu
   sarvâkuśaladharmaprahīṇāḥ |	sarvâ-kuSala-Darma-prahINAH |
   sarvasatvā divyaśayanapratilabdhā bhavantu	sarva-satvAH divya-Sayana-pratilabDAH Bavantu
   mahājñānâdhigamāya |	mahA-jQAn-âDigamAya |
   sarvasatvâryaśayana-	sarva-satvârya-Sayana-
   [ Bendall ed p32 ---> ]	[ Bet-dalt ed p32 ---> ]
   pratilabdhā bhavantu |	pratilabDAH Bavantu |
   niḥpṛthagjanabodhicittâvāsanatvāt sarvasatvāḥ	niHpRTagjana-boDi-cittâvAsana-tvAt sarva-satvAH
   sukhaśayanapratilabdhā bhavantu |	suKa-Sayana-pratilabDAH Bavantu |
   sarvasaṃsārâvacaraduḥkhaparivarjanatvāt sarvasatvāḥ	sarva-saMsArâ-vacara-duHKa-parivarjana-tvAt sarva-satvAH
   kṣemaśayanapratilabdhā bhavantu dharmakāmasparśôpetāḥ |	kzema-Sayana-pratilabDAH Bavantu Darma-kAma-sparSô-petAH |
   sarvasatvāḥ pariśuddhabuddhakṣetrâvabhāsā bhavantu	sarva-satvAH pariSudDa-budDa-kzetrâvaBAsAH Bavantu
   guṇavāsasuprayuktâryâvāsaniketôccalitāḥ |	guNa-vAsa-su-prayuktârI-âvAsaniketôt-calitAH |
   anuttarasarvabuddhâvāsâvirahitāḥ |	anuttara-sarva-budDâ-vAsâ-virahitAH |
   sarvasatvā buddhôpaniścayavihāriṇo bhavantu |	sarva-satvAH budDôpa-niScaya-vihAriNaH Bavantu |
   sarvasatvânantâlokā bhavantu sarvabuddhadharmeṣu	sarva-satvânantâ-lokAH Bavantu sarva-budDa-Darmezu
   sarvasatvâpratihatâvabhāsā bhavantu sarvadharmadhātvekaspharaṇāḥ |	sarva-satvâ-pratihatâ-vaBAsAH Bavantu sarva-Darma-DAtu-eka-sParaNAH |
   sarvasatvârogyaśarīrā bhavantu	sarva-satvâ-rogya-SarIrAH Bavantu
   tathāgatakāyapratilabdhāḥ |	taTAgata-kAya-pratilabDAH |
   sarvasatvā bhaiṣajyarājôpamā bhavantu	sarva-satvAH BEzajya-rAjô-pamAH Bavantu
   atyantâkalpanadharmāṇaḥ |	atyantâ-kalpana-DarmANaH |
   sarvasatvâpratihatabhaiṣajyastambhôpamā bhavantu	sarva-satvâ-pratihata-BEzajya-stamBô-pamAH Bavantu
   jagaccikitsāpratipannāḥ |	jagat-cikitsA-pratipannAH |
   sarvasatvā rogaśalyaniruddhā bhavantu	sarva-satvAH roga-Salya-nirudDAH Bavantu
   sarvajñârogyapratilabdhāḥ |	sarva-jQârogya-pratilabDAH |
   sarvasatvāḥ saravjagadbhaiṣajyakuśalā bhavantu	sarva-satvAH saravjagat-BEzajya-kuSalAH Bavantu
   yathâśayabhaiṣajyaprayogasaṃprayoktā-	yaTâSaya-BEzajya-prayoga-saMprayoktA-
   [ Cambridge MS f22a ---> ]	[ Cambridge M f22aH ---> ]
   raḥ ||	raH ||
   sarvasattveṣu sarvarogavinivarttanāya pariṇāmayāmi |	sarva-sattvezu sarva-roga-vinivarttanAya pariNAmayAmi |
   sarvasattveṣv aparyantasthāmabalaśarīratāyāṃ pariṇāmayāmi |	sarva-sattvezu aparyanta-sTAma-bala-SarIra-tAyAm pariNAmayAmi |
   sarvasatvānāṃ cakravāḍaparvatânavamardyakāyabalôpapattaye	sarva-satvAnAm cakravAxa-parvatâ-nava-mardya-kAya-balôpapattaye
   pariṇāmayāmi |	pariNAmayAmi |
   sarvasatvānāṃ sarvabalôpastambhanâtṛptāyāṃ pariṇāmayāmi ||	sarva-satvAnAm sarva-balôpa-stamBanâ-tRptAyAm pariNAmayAmi ||
   sarvasatvâpramāṇabhājanā bhavantv ākāśadhātuvipulāḥ	sarva-satvâ-pramANa-BAjanAH Bavantu AkASa-DAtu-vipulAH
   smṛtîndriyôpetāḥ	smRtîndriyô-petAH
   sarvalaukikalokôttarabhāṣasaṃgrahaṇād grahaṇasmṛtyasaṃpramūḍhāḥ |	sarva-lOkika-lokôttara-BAza-saMgrahaNAt grahaNa-smRtyasaMpramUXAH |
   sarvasatvāḥ kalyāṇaviśuddhibhāvanā bhavantu |	sarva-satvAH kalyANa-viSudDi-BAvanAH Bavantu |
   atītânāgatapratyutpannasarvabuddhabodhyabhedaprasādagrāhiṇaḥ |	atItânAgata-pratyutpanna-sarva-budDa-boDya-Beda-prasAda-grAhiNaH |
   sarvasatvā kāmaṅgamā bhavantu	sarva-satvA kAmaFgamAH Bavantu
   sarvatragāminībuddhabhūmipratilabdhāḥ |	sarvatra-gAminI-budDa-BUmi-pratilabDAH |
   sarvasatvāḥ sarvasattveṣv apratihatacittā bhavantu |	sarva-satvAH sarva-sattvezu apratihata-cittAH Bavantu |
   sarvasatvânābhogasarvabuddhakṣetraparisphuṭagamanā bhavantu |	sarva-satvânABoga-sarva-budDa-kzetra-parisPuwa-gamanAH Bavantu |
   ekacittakṣaṇasarvadharmavikramāḥ |	eka-citta-kzaNa-sarva-Darma-vikramAH |
   sarvasatvāḥ śrāntâklāntasarvalokadhātugamanā bhavantu |	sarva-satvAH SrAntâ-klAnta-sarva-loka-DAtu-gamanAH Bavantu |
   aviśrāmyamānamanomayakāyapratilabdhāḥ |	aviSrAmyamAna-manaH-maya-kAya-pratilabDAH |
   [ Bendall ed p33 ---> ]	[ Bet-dalt ed p33 ---> ]
   sarvasatvāḥ sukhagamanamuktā bhavantu	sarva-satvAH suKa-gamana-muktAH Bavantu
   sarvabodhisatvacaryânupraveśinaḥ |	sarva-boDisatva-caryânupraveSinaH |
   anena kuśalamūlena sarvasatvāḥ kalyāṇamitrâtyāgacittânutsṛṣṭā bhavantu	anena kuSala-mUlena sarva-satvAH kalyANa-mitrâ-tyAga-cittâ-nud-sRzwAH Bavantu
   kṛtajñāḥ kṛtânupālanatayā |	kRtajQAH kRtânupAlana-tayA |
   sarvasatvāḥ kalyāṇamitraiḥ sahâikârthā bhavantu	sarva-satvAH kalyANa-mitrEH sahâikârTAH Bavantu
   sabhāgakuśalamūlasaṃgrahaṇatayā |	sa-BAga-kuSala-mUla-saMgrahaNa-tayA |
   sarvasatvāḥ kalyāṇâśayā bhavantu	sarva-satvAH kalyANâSayAH Bavantu
   kalyāṇamitrasaṃvasanasaṃpadavihārânudhanvanatayā |	kalyANa-mitra-saMvasana-saMpada-vihArânuDanvana-tayA |
   sarvasatvāḥ kalyāṇamitrakuśalamūlakarmavipākaviśuddhā bhavantv	sarva-satvAH kalyANa-mitra-kuSala-mUla-karma-vipAka-viSudDAH Bavantu-
   ekapraṇidhānāḥ |	eka-praNiDAnAH |
   sarvasatvā mahāyānâbhiraktāḥ saṃ-	sarva-satvAH mahAyAnâBiraktAH saM-
   [ Cambridge MS f22b ---> ]	[ Cambridge M f22B ---> ]
   prasthitā bhavantv aviṣkambhitayānasarvajñatāparyavasānāḥ |	prasTitAH Bavantu avizkamBita-yAna-sarvajQa-tA-paryavasAnAH |
   sarvasatvāḥ pracchāditakuśalamūlā bhavantu	sarva-satvAH pracCAdita-kuSala-mUlAH Bavantu
   sarvabuddhâvasthāgopanapratilabdhāḥ |	sarva-budDâvasTA-gopana-pratilabDAH |
   sarvasatvā guṇajñānâbhicchāditā bhavantu	sarva-satvAH guNa-jQAnâBicCAditAH Bavantu
   sarvalokôpakleśavyapavṛttāḥ |	sarva-lokôpa-kleSa-vyapavRttAH |
   sarvasatvâcchinnâvikṣiptaśukladharmāṇo bhavantv	sarva-satvâ=-Cinnâ-vikzipta-Sukla-DarmANaH Bavantu-
   avipannabuddhadharmapravāhāḥ |	avipanna-budDa-Darma-pravAhAH |
   sarvasatvāś chatrabhūtā bhavantu daśabalavitānânvitāḥ |	sarva-satvAH Catra-BUtAH Bavantu daSa-bala-vitAn-ânvitAH |
   sarvasatvâtyantabodhyāsanapratilabdhā bhavantu |	sarva-satvâti-anta-boDya-Asana-pratilabDAH Bavantu |
   sarvasatvā buddhavikrāntisiṃhâsanapratilabdhā bhavantu	sarva-satvAH budDa-vikrAnti-siMhâsana-pratilabDAH Bavantu
   sarvajagadavalokanīyêti ||	sarva-jagat-avalokanIyêti ||
   āryagaganagañjasūtre 'py āha |	Arya-gagana-gaQja-sUtre api Aha |
   mā bhūt tan mama kuśalamūlaṃ dharmajñānakauśalyaṃ vā	mA BUt tat mama kuSala-mUlam Darma-jQAna-kOSalyam vA
   yan na	yat na
   sarvasattvôpajīvyaṃ syād iti ||	sarva-sattvôpajIvyam syAt iti ||
   atītânāgataśubhôtsargas tv āryâkṣayamatisūtre	atItânAgata-SuBôtsargaH tu Aryâ-kzayam-atisUtre
   abhihitaḥ |	aBihitaH |
   kuśalānāṃ ca cittacaitasikānānām anusmṛtir anusmṛtya ca	kuSalAnAm ca citta-cEtasikAnAnAm anusmRtiH anusmRtya ca
   bodhipariṇāmanā |	boDi-pariNAmanAH |
   idam atītakauśalyaṃ |	idam atIta-kOSalyam |
   yo 'nāgatānāṃ kuśalamūlānāṃ nidhyaptibodher āmukhīkarmasamanvāhāraḥ |	yaH anAgatAnAm kuSala-mUlAnAm niDi-apti-boDeH AmuKIkarma-samanvAhAraH |
   ye me utpatsyante kuśalāś cittôtpādās tān anuttarāyāṃ samyaksaṃbodhau	ye me utpatsyante kuSalAH cittôt-pAdAH tAn anuttarAyAm samyaksaMboDO
   pariṇāmiṣyāmîtîdam anāgatakauśalyaṃ ||	pariNAmizyAmîtîdam anAgata-kOSalyam ||
   tad evaṃ caitasike-	tat evam cEtasike-
   [ Bendall ed p34 ---> ]	[ Bet-dalt ed p34 ---> ]
   nâbhyāsena sarvatyāgâdhimuktiṃ paripūrye	nâByAsena sarvatyAgâDi-muktim paripUrye
   tyāgacittavegâpannena kāyaprayogeṇôtsṛṣṭasarvaparigrahaḥ |	tyAga-citta-vegâpannena kAya-prayogeNôtsRzwa-sarva-parigrahaH |
   sarvaparigrahamūlād bhavaduṣkhād vimukto muktêty ucyate |	sarva-parigraha-mUlAt Bava-duzKAt vimuktaH muktêti ucyate |
   anuttarāṃś câprameyâsaṃkhyeyān kalpān	anuttarAn câprameyâ-saMKyeyAn kalpAn
   nānâkārânantān laukikalokôttarān	na-anâkArânantAn lOkika-lokôttarAn
   sukhasaṃpatpravarṣān	suKa-saMpad-pravarzAn
   anubhavati |	anuBavati |
   tena câtmabhāvâdinā [[DOUBT]] vaḍiṣâmiṣenêva	tena câtma-BAvâdinA [[DOUBT]] vaxizâmizenêva
   svayam	svayam
   anabhigatôpabhogenâpy ākṛṣya parān api tārayati ||	anaBigatôpaBogena-ipi AkRzya parAn api tArayati ||
   atâiva-	atâiva-
   [ Cambridge MS f23a ---> ]	[ Cambridge M f23aH ---> ]
   uktaṃ ratnameghe |	uktam ratna-meGe |
   dānaṃ hi bodhisatvasya bodhir iti ||	dAnam hi boDisatvasya boDiH iti ||
   śikṣāsamuccaye dānapāramitā prathamaḥ paricchedaḥ ||	SikzA-samuccaye dAna-pAramitA praTamaH paricCedaH ||
   Copyright (c) 2002 by Jens Braarvig - Oslo	CopyriGt (c) 2002 bi Jens Braarvij  Oslo
