   kāmaśūtrasya viṣayānukramaḥ	kAmaSUtrasya vizaya-anukramaH
   2.3.1/.cumbana^nakha^daśana^cchedyānāṃ na paurva^aparyam asti/ rāga^yogāt/	2.3.1/.cumbana^naKa^daSana^cCedyAnAm na pOrva^aparyam asti/ rAga^yogAt-/
   prāk^saṃyogād eṣāṃ prādhānyena prayogaḥ/ prahaṇana^sītkṛtayoś ca	prAk-^saMyogAt ezAm prADAnyena prayogaH/ prahaNana^sItkRtayoH ca
   saṃprayoge//(p.104)	saMprayoge//(p.104)
   2.3.2/.sarvaṃ sarvatra/ rāgasyān apekṣitatvāt/ iti vātsyāyanaḥ//(p.105)	2.3.2/.-sarvam sarvatra/ rAgasyAn apekzita-tva-at/ iti vAtsyAyanaH//(p.105)
   2.3.3/.tāni prathama^rate na^ativyaktāni viśrabdhikāyāṃ vikalpena ca	2.3.3/.tAni praTama^rate na^ati-vyaktAni viSrabDikAyAm vikalpena ca
   prayuñjīta/ tathābhūtatvād rāgasya/ tataḥ param atitvarayā viśeṣavatsam	prayuQjIta/ taTABUta-tvAt rAgasya/ tatas param ati-tvarayA viSeza-vat-sam
   uccayena rāga^saṃdhu^kṣaṇa^artham//(p.105)	uccayena rAga^saMDu^kzaNa^arTam-//(p.105)
   2.3.4/.lalāṭa^alaka^kapola^nayana^vakṣaḥ^stana^oṣṭha^antarmukheṣu	2.3.4/.lalAwa^alaka^kapola^nayana^vakzaH^stanaH-^ozWa^antarmuKezu
   cumbanam/	cumbanam/
   2.3.5/.ūru^saṃdhibāhu^nābhi^mūlayor lāṭānām/	2.3.5/.Uru^saMDi-bAhu^nABi^mUlayoH lAwAnAm-/
   2.3.6/.rāga^vaśād deśa^pravṛtteś ca santi tāni tāni sthānāni, na tu	2.3.6/.rAga^vaSAt deSa^pravRtteH ca santi tAni tAni sTAnAni, na tu
   sarva^jana^prayojyāni^iti vātsyāyanaḥ//(p.106)	sarva^jana^prayojyAni^iti vAtsyAyanaH//(p.106)
   2.3.7/.tad yathā --- nimitakaṃ sphuritakaṃ ghaṭṭitakam iti trīṇi	2.3.7/.tat yaTA -- nimitakam sPuritakam Gawwitakam iti trINi
   kanyā^cumbanāni//(p.106)	kanyA^cumbana-ani//(p.106)
   2.3.8/.balāt kāreṇa niyuktā mukhe mukham ādhatte na tu viceṣṭata iti	2.3.8/.balAt kAreNa niyuktA muKe muKam ADatte na tu vicezwate iti
   nimitakam//(p.107)	nimitakam//(p.107)
   2.3.9/.vadane praveśitaṃ ca^oṣṭhaṃ manāga^patra^pāvagrahītum icchantī	2.3.9/.vadane praveSitam ca^ozWam manAga^patra^pAvagrahItum icCantI
   *syandayati[ch:spandayati] svam oṣṭhaṃ na^uttaram utsahata iti	*syandayati[-S:spanda-yati] svam ozWam na^uttaram utsahate iti
   sphuritakam//(p.107)	sPuritakam//(p.107)
   2.3.10/.īṣat^parigṛhya vinimīlita^nayanā kareṇa ca tasya nayane	2.3.10/.Izat-^parigRhya vinimIlita^nayanA kareNa ca tasya nayane
   avacchādayantī jihvā^agreṇa ghaṭṭayati iti ghaṭṭitakam//(p.107)	avacCAdayantI jihvA^agreNa Gawwayati iti Gawwita-kam//(p.107)
   2.3.11/.samaṃ tiryag udbhrāntam avapīḍitakam iti caturvidham	2.3.11/.-samam tiryak udBrAntam avapIxitakam iti caturviDam
   apare//(p.107)	apare//(p.107)
   2.3.12/.aṅguli^saṃpuṭena piṇḍīkṛtya nirdaśanam oṣṭha^puṭena^avapīḍayed ity	2.3.12/.aFguli^saMpuwena piNxIkRtya nirdaSanam ozWa^puwena^avapIxayet iti-
   avapīḍitakaṃ pañcamam api karaṇam//(p.108)	avapIxitakam paQcamam api karaNam-//(p.108)
   2.3.13/.dyūtaṃ ca^atra pravartayet//(p.108)	2.3.13/.dyUtam ca^atra pravartayet//(p.108)
   2.3.14/.pūrvam adhara^saṃpādanena jitam idaṃ syāt//(p.108)	2.3.14/.pUrvam aDara^saMpAdanena jitam idam syAt-//(p.108)
   2.3.15/.tatra jitā sa^ardha^ruditaṃ karaṃ vidhunuyāt praṇuded daśet	2.3.15/.tatra jitA saH-^arDa^ruditam karam viDunuyAt praNudet daSet-
   parivartayed balād āhṛtā vivadet punar apy astu paṇa iti brūyāt/ tatra^api	parivartayet balAt AhRtA vivadet punar api astu paNaH iti brUyAt/ tatra^api
   jitā dviguṇam āyasyet//(p.109)	jitA dviguNam Ayasyet//(p.109)
   2.3.16/.viśrabdhasya pramattasya vā^adharam avagṛhya daśana^antargatam	2.3.16/.viSrabDasya pramattasya vE-^aDaram avagRhya daSana^antargatam
   anirgamaṃ kṛtvā hased utkrośet tarjayed valged *āhvayen[ch:āhlayen] nṛtyet	anirgamam kRtvA haset utkroSet tarjayet valget *Ahvayen[S:a-Ahlayen] nRtyet-
   pranartita^bhruṇā ca vicala^nayanena mukhena vihasantī tāni tāni ca	pranartita^BruNA ca vicala^nayanena muKena vihasantI tAni tAni ca
   brūyāt/ iti cumbana^dyūta^kalahaḥ//(p.109)	brUyAt/ iti cumbana^dyUta^kalahaH//(p.109)
   2.3.17/.etena nakha^daśana^cchedya^prahaṇana^dyūta^kalahā	2.3.17/.etena naKa^daSana^cCedya^prahaNana^dyUta^kalahA
   vyākhyātāḥ//(p.110)	vyAKyAtAH//(p.110)
   2.3.18/.caṇḍa^vegayor eva tv eṣāṃ prayogaḥ/ tat^sātmyāt//(p.111)	2.3.18/.caNxa^vegayoH eva tu ezAm prayogaH/ tat-^sAtmya-at//(p.111)
   2.3.19/.tasyāṃ cubanty āmayam apy uttaraṃ gṛhṇīyāt/ ity	2.3.19/.tasyAm cubanti Amayam api uttaram gRhNIya-at/ iti-
   uttara^cumbitam//(p.111)	uttara^cumbitam-//(p.111)
   2.3.20/.oṣṭha^saṃdaṃśena^avagṛhya^oṣṭha^dvayam api cumbeta/ iti saṃpuṭakaṃ	2.3.20/.ozWa^saMdaMSena^avagRhya^ozWa^dvayam api cumbeta/ iti saMpuwakam
   striyāḥ, puṃso vā +ajātavyañ janasya//(p.111)	striyAH, puMsaH vA +ajAtavyan janasya//(p.111)
   2.3.21/.tasminn itaro +api jihvayā^āsyā daśanān ghaṭṭayet tālu jihvāṃ	2.3.21/.tasmin itaraH +api jihvayA^AsyAH daSanAn Gawwayet tAlu jihvAm
   ca^iti jihvā^yuddham//(p.112)	ca^iti jihvA^yudDam-//(p.112)
   2.3.22/.etena balād vadana^radana^grahaṇaṃ dānaṃ ca vyākhyātam//(p.112)	2.3.22/.etena balAt vadana^radana^grahaNam dAnam ca vyAKyAtam-//(p.112)
   2.3.23/.samaṃ pīḍitam añcitaṃ mṛdu śeṣa^aṅgeṣu cumbanaṃ	2.3.23/.-samam pIxitam aQcitam mRdu Seza^aFgezu cumbanam
   sthāna^viśeṣa^yogāt/ iti cumbana^viśeṣāḥ//(p.112)	sTAna^viSeza^yoga-at/ iti cumbana^viSezAH//(p.112)
   2.3.24/.suptasya mukham *avalokayantyāḥ[ch:avalokayantyā] sva^abhiprāyeṇa	2.3.24/.suptasya muKam *avalokayantyAH[C:ava-lokayantyA] sva^aBiprAyeNa
   cumbanaṃ rāga^dīpanam//(p.112)	cumbanam rAga^dIpanam-//(p.112)
   2.3.25/.pramattasya vivadamānasya vā +anyato +abhimukhasya	2.3.25/.-pramattasya vivadamAnasya vA +anyataH +aBimuKasya
   supta^abhimukhasya vā nidrā^vyāghāta^arthaṃ calitakam//(p.113)	supta^aBimuKasya vA nidrA^vyAGAta^arTam calita-kam//(p.113)
   2.3.26/.cirarātrāv āgatasya śayana^suptāyāḥ sva^abhiprāya^cumbanaṃ	2.3.26/.cira-rAtrO Agatasya Sayana^suptAyAH sva^aBiprAya^cumbanam
   prātibodhikam//(p.113)	prAtiboDikam-//(p.113)
   2.3.27/.sāpi tu bhāva^jijñāsa^arthinī nāyakasya^agamana^kālaṃ saṃlakṣya	2.3.27/.sA-api tu BAva^jijQAsa^arTinI nAyakasya^agamana^kAlam saMlakzya
   vyājena suptā syāt//(p.113)	vyAjena suptA syAt-//(p.113)
   2.3.28/.ādarśe kuḍye salile vā prayojyāyāś chāyā^cumbanam	2.3.28/.AdarSe kuxye salile vA prayojyAyAH CAyA^cumbanam
   ākāra^pradarśana^artham eva kāryam//(p.114)	AkAra^pradarSana^arTam eva kAryam-//(p.114)
   2.3.29/.bālasya citra^karmaṇaḥ pratimāyāś ca cumbanaṃ saṃkrāntakam	2.3.29/.bAlasya citra^karmaNaH pratimAyAH ca cumbanam saMkrAntakam
   āliṅganaṃ ca//(p.114)	AliFganam ca//(p.114)
   2.3.30/.tathā niśi prekṣaṇake svajana^samāje vā samīpe gatasya prayojyāyā	2.3.30/.taTA niSi prekzaNake sva-jana^samAje vA samIpe gatasya prayojyAyAH-
   hasta^aṅguli^cumbanaṃ saṃviṣṭasya vā pāda^aṅguli^cumbanam//(p.114)	hasta^aFguli^cumbanam saMvizwasya vA pAda^aFguli^cumbanam-//(p.114)
   2.3.31/.saṃvāhikāyās tu nāyakam ākāra^yantyā nidrā^vaśād akāmāyā iva	2.3.31/.-saMvAhikAyAH tu nAyakam AkAra^yantyA nidrA^vaSAt akAmAyAH iva
   tasya^ūrvor vadanasya nidhānam ūru^cumbanaṃ	tasya^UrvoH vadanasya niDAnam Uru^cumbanam
   pāda^aṅguṣṭha^*cumbanaṃ[ch:omits] ca^ity ābhiyogikāni//(p.115) bhavati	pAda^aFguzWaH-^*cumbanan[S:omits] ca^iti ABiyogikA-ni//(p.115) Bavati
   ca^atra ślokaḥ ---(p.115)	ca^atra SlokaH ---(p.115)
   2.3.32ab/.kṛte pratikṛtaṃ kuryāt tāḍite pratitāḍitam//(p.115)	2.3.32ab/.kRte pratikRtam kuryAt tAxite pratitAxitam-//(p.115)
   2.3.32cd/.karaṇena ca tena^eva cumbite praticumbitam//(p.115)	2.3.32cd/.karaNena ca tena^eva cumbite praticumbitam-//(p.115)
   2.4.1/.rāga^vṛddhau saṃgharṣa^ātmakaṃ nakha^vilekhanam//(p.116)	2.4.1/.rAga^vRdDO saMGarza^Atmakam naKa^vileKanam-//(p.116)
   2.4.2/.tasya prathama^samāgame pravāsa^pratyāgamane pravāsa^gamane	2.4.2/.tasya praTama^samAgame pravAsa^pratyAgamane pravAsa^gamane
   kruddha^prasannāyāṃ mattāyāṃ ca prayogaḥ/ na nityam	krudDa^prasannAyAm mattAyAm ca prayogaH/ na nityam
   acaṇḍa^vegayoḥ//(p.116)	acaNxa^vegayoH//(p.116)
   2.4.3/.tathā daśana^cchedyasya sātmya^vaśād vā//(p.116)	2.4.3/.taTA daSana^cCedyasya sAtmya^vaSAt vA//(p.116)
   2.4.4/.tad^ācchuritakam ardhacandro maṇḍalaṃ rekhā vyāghra^nakhaṃ	2.4.4/.tat-^AcCuritakam arDacandraH maNxalam reKA vyAGra^naKam
   mayūra^padakaṃ śaśa^plutakam utpala^patrakam iti rūpato	mayUra^padakam SaSa^plutakam utpala^patrakam iti rUpataH-
   +aṣṭa^vikalpam//(p.117)	+azwa^vikalpam-//(p.117)
   2.4.5/.kakṣau stanau galaḥ pṛṣṭhaṃ jaghanam ūrū ca sthānāni//(p.117)	2.4.5/.kakzO stanO galaH pRzWam jaGanam UrU ca sTAna-ani//(p.117)
   2.4.6/.pravṛtta^rati^cakrāṇāṃ na sthānam asthānaṃ vā vidyata iti	2.4.6/.-pravRtta^rati^cakrANAm na sTAnam asTAnam vA vidyate iti
   suvarṇanābhaḥ//(p.117)	suvarNanABaH//(p.117)
   2.4.7/.tatra savya^hastāni pratyagra^śikharāṇi dvi^tri^śikharāṇi	2.4.7/.tatra savya^hastAni pratyagra^SiKarANi dvi-^tri^SiKarANi
   caṇḍa^vegayor nakhāni syuḥ//(p.117)	caNxa^vegayoH naKAni syuH-//(p.117)
   2.4.8/.anugatarāji samam ujjvalam amalinam avipāṭitaṃ vivardhiṣṇu	2.4.8/.anugata-rAji samam ujjvalam amalinam avipAwitam vivarDizNu
   mṛdu^snigdha^darśanam iti nakha^guṇāḥ//(p.118)	mRdu^snigDa^darSanam iti naKa^guNAH//(p.118)
   2.4.9/.dīrghāṇi hasta^śobhīny āloke ca yoṣitāṃ citta^grāhīṇi gauḍānāṃ	2.4.9/.dIrGANi hasta^SoBIni Aloke ca yozitAm citta^grAhINi gOxAnAm
   nakhāni syuḥ//(p.118)	naKAni syuH-//(p.118)
   2.4.10/.hrasvāni karma^sahiṣṇūni vikalpa^yojanāsu ca svecchāpātīni	2.4.10/.hrasvAni karma^sahizNUni vikalpa^yojanAsu ca sva-icCA-pAtIni
   dākṣiṇātyānām//(p.118)	dAkziNAtyAnAm-//(p.118)
   2.4.11/.madhyamāny ubhaya^bhāñji mahārāṣṭrakāṇām iti//(p.119)	2.4.11/.maDyamAni uBaya^BAQji mahArAzwrakANAm iti//(p.119)
   2.4.12/.taiḥ suniyamitair hanu^deśe stanayor adhare vā laghu^karaṇam	2.4.12/.tEH su-niyamitEH hanu^deSe stanayoH aDare vA laGu^karaNam
   anudgata^lekhaṃ sparśa^mātra^jananād romāñ cakaramante	anudgata^leKam sparSa^mA-atra^jananAt romAn cakaram-ante
   saṃnipāta^vardhamāna^śabdam ācchuritakam//(p.119)	saMnipAta^varDamAna^Sabdam AcCuritakam//(p.119)
   2.4.13/.prayojyāyāṃ ca tasya^aṅga^saṃvāhane śirasaḥ kaṇḍūyane	2.4.13/.-prayojyAyAm ca tasya^aFga^saMvAhane SirasaH kaNxUyane
   piṭaka^bhedane vyākulīkaraṇe bhīṣaṇena prayogaḥ//(p.119)	piwaka^Bedane vyAkulIkaraNe BIzaNena prayogaH//(p.119)
   2.4.14/.grīvāyāṃ stana^pṛṣṭhe ca vakro nakha^pada^niveśo	2.4.14/.grIvAyAm stana^pRzWe ca vakraH naKa^pada^niveSaH-
   +ardha^candrakaḥ//(p.120)	+arDa^candrakaH//(p.120)
   2.4.15/.tāv eva dvau paraspara^abhimukhau maṇḍalam//(p.120)	2.4.15/.tO eva dvO paraspara^aBimuKO maNxalam-//(p.120)
   2.4.16/.nābhi^mūla^kakundara^vaṅkṣaṇeṣu tasya prayogaḥ//(p.120)	2.4.16/.nABi^mUla^kakundara^vaFkzaNezu tasya prayogaH//(p.120)
   2.4.17/.sarva^sthāneṣu na^atidīrghā lekhā//(p.120)	2.4.17/.sarva^sTAnezu na^ati-dIrGAH leKA//(p.120)
   2.4.18/.sa^eva vakrā vyāghra^nakha^kamā^stana^mukham//(p.120)	2.4.18/.saH-^eva vakrAH vyAGra^naKa^kamA^stana^muKam-//(p.120)
   2.4.19/.pañcabhir abhimukhair lekhā cūcuka^abhimukhī	2.4.19/.-paQcaBiH aBimuKEH leKA cUcuka^aBimuKI
   mayūra^padakam//(p.120)	mayUra^padakam-//(p.120)
   2.4.20/.tat^saṃprayoga^ślāghāyāḥ stana^cūcuke saṃnikṛṣṭāni	2.4.20/.tat^saMprayoga^SlAGAyAH stana^cUcuke saMnikRzwAni
   pañca^nakha^padāni śaśa^plutakam//(p.121)	paQca^naKa^padAni SaSa^plutakam//(p.121)
   2.4.21/.stana^pṛṣṭhe mekhalā^pathe ca^utpala^pattra^ākṛti^ity	2.4.21/.stana^pRzWe meKalA^paTe ca^utpala^pattra^AkRti^iti-
   utpala^patrakam//(p.121)	utpala^patrakam-//(p.121)
   2.4.22/.ūrvoḥ stana^pṛṣṭhe ca pravāsaṃ gacchataḥ smāraṇīyakaṃ saṃhatāś	2.4.22/.UrvoH stana^pRzWe ca pravAsam gacCataH smAraNIyakam saMhatAH-
   catasras tisro vā lekhāḥ/ iti nakha^karmāṇi//(p.121)	catasraH tisraH vA leKAH/ iti naKa^karma-aNi//(p.121)
   2.4.23/.ākṛti^vikāra^yuktāni ca^anyāny api kurvīta//(p.121)	2.4.23/.a-AkRti^vikAra^yuktAni ca^anyAni api kurvIta//(p.121)
   2.4.24/.vikalpānām anantatvād ānantyāc ca kauśala^vidher abhyāsasya ca	2.4.24/.-vikalpAnAm ananta-tvAt AnantyAt ca kOSala^viDeH aByAsasya ca
   sarva^gāmitvād rāga^ātmakatvāc chedyasya prakārān ko +abhisamīkṣitum	sarva^gAmi-tvAt rAga^Atmaka-tvAt Cedyasya prakArAn kaH +aBisamIkzitum
   arhati^ity ācāryāḥ//(p.122)	arhati^iti AcAryAH//(p.122)
   2.4.25/.bhavati hi rāge +api citra^apekṣā/ vaicitryāc ca parasparaṃ rāgo	2.4.25/.Bavati hi rAge +api citra^apekzA/ vEcitryAt ca parasparam rAgaH-
   janayitavyaḥ/ vaicakṣaṇya^yuktāś ca gaṇikās tat^kāminaś ca parasparaṃ	janayitavyaH/ vEcakzaNya^yuktAH ca gaNikAH tat-^kAminaH ca parasparam
   prārthanīyā bhavanti/ dhanur^vedād iṣv api hi śastra^karma^śāstreṣu	prArTanIyAH Bavanti/ DanuH-^vedAt izu api hi Sastra^karma^SAstrezu
   vaicitryam eva^apekṣyate kiṃ punar iha^iti vātsyāyanaḥ//(p.122)	vEcitryam eva^apekzyate kim punar iha^iti vAtsyAyanaH//(p.122)
   2.4.26/.na tu paraparigṛhītāsv evaṃ *kurthāt[ch:kuryāt]/ pracchanneṣu	2.4.26/.na tu para-parigRhItAsu evam *kurTa-at[S:kuryAt]/ pracCannezu
   pradeśeṣu tāsām anusmaraṇa^arthaṃ rāga^vardhanāc ca viśeṣān	pradeSezu tAsAm anusmaraNa^arTam rAga^varDanAt ca viSezAn
   darśayet//(p.123)	darSayet//(p.123)
   2.4.27a/.nakha^kṣatāni paśyantyā gūḍha^sthāneṣu yoṣitaḥ/(p.123)	2.4.27a/.naKa^kzatAni paSyantyAH gUXa^sTAnezu yozitaH/(p.123)
   2.4.27b/.cira^utsṛṣṭa^apy abhinavā pītir bhavati peśalā//(p.123)	2.4.27b/.ciraH-^utsRzwa^api aBinavA pItiH Bavati peSalA/-/(p.123)
   2.4.28a/.cira^utsṛṣṭeṣu rāgeṣu prītir gacchet parābhavam/(p.123)	2.4.28a/.ciraH-^utsRzwezu rAgezu prItiH gacCet parABavam-/(p.123)
   2.4.28b/.rāga^āyatana^saṃsmāri yadi na syān nakha^kṣatam//(p.123)	2.4.28b/.rAgaH-^Ayatana^saMsmAri yadi na syAt naKa^kzatam-//(p.123)
   2.4.29a/.paśyato yuvatiṃ dūrān nakha^ucchiṣṭa^payodharām/(p.124)	2.4.29a/.paSyataH yuvatim dUrAt naKa^ucCizwa^payoDarAm-/(p.124)
   2.4.29b/.bahu^mānaḥ parasya^api rāga^yogaś ca jāyate//(p.124)	2.4.29b/.bahu^mAnaH parasya^api rAga^yogaH ca jAyate//(p.124)
   2.4.30a/.puruṣaś ca pradeśeṣu nakha^cihnair vicihnitaḥ/(p.124)	2.4.30a/.puruzaH ca pradeSezu naKa^cihnEH vicihnitaH/(p.124)
   2.4.30b/.cittaṃ sthiram api prāyaś calayaty eva yoṣitaḥ//(p.124)	2.4.30b/.cittam sTiram api prAyas calayati eva yozitaH//(p.124)
   2.4.31a/.na^anyat paṭutaraṃ kiṃ cid asti rāga^vivardhanam/(p.124)	2.4.31a/.na^anyat pawutaram kim cit asti rAga^vivarDanam-/(p.124)
   2.4.31b/.nakha^danta^samutthānāṃ karmaṇāṃ gatayo yathā//(p.124)	2.4.31b/.naKa^danta^samutTAnAm karmaNAm gatayaH yaTA//(p.124)
   2.5.(10) daśana^cchedyavihayo	2.5.(10) daSana^cCedya-vihayaH-
   2.5.1./.uttarauṣṭham antarmukhaṃ nayanam iti muktvā cumbanavad	2.5.1./.uttara-ozWam antarmuKam nayanam iti muktvA cumbana-vat-
   daśana^radana^sthānāni//(p.125)	daSana^radana^sTAna-ani//(p.125)
   2.5.2/.samāḥ snigdha^cchāyā rāga^grāhiṇo yukta^pramāṇā niśchidrās	2.5.2/.-samAH snigDa^cCAyA rAga^grAhiNaH yukta^pramANA niSCidrAH-
   tīkṣṇa^agrā iti daśana^guṇāḥ//(p.125)	tIkzNa^agrAH iti daSana^guNAH//(p.125)
   2.5.3/.kuṇṭhā rājy^udgatāḥ paruṣāḥ viṣamāḥ ślakṣṇāḥ pṛthavo viralā iti ca	2.5.3/.kuNWAH rAji-^udgatAH paruzAH vizamAH SlakzNAH pRTavaH viralAH iti ca
   doṣāḥ//(p.125)	dozAH//(p.125)
   2.5.4/.gūḍhakam ucchūnakaṃ bindur bindumālā *pravāsa[ch:pravāla]^maṇir	2.5.4/.gUXakam ucCUnakam binduH bindumAlA *pravAsa[-S:pravAla]^maNiH-
   maṇi^mālā khaṇḍa^abhrakaṃ varāha^carvitakam iti	maNi^mAlA KaNxa^aBrakam varAha^carvitakam iti
   daśana^cchedana^vikalpāḥ//(p.126)	daSana^cCedana^vikalpAH-//(p.126)
   2.5.5/.na^atilohitena rāga^mātreṇa vibhāvanīyaṃ gūḍhakam//(p.126)	2.5.5/.na^ati-lohitena rAga^mAtreNa viBAvanIyam gUXakam//(p.126)
   2.5.6/.tad eva pīḍanād ucchūnakam//(p.126)	2.5.6/.tat eva pIxanAt ucCUnakam-//(p.126)
   2.5.7/.tad ubhayaṃ bindur adhara^madhya iti//(p.126)	2.5.7/.tat uBayam binduH aDara^maDye iti//(p.126)
   2.5.8/.ucchūnakaṃ pravāla^maṇiś ca kapole//(p.126)	2.5.8/.ucCUnakam pravAla^maNiH ca kapole//(p.126)
   2.5.9/.karṇa^pūra^cumbanaṃ nakha^daśana^cchedyam iti	2.5.9/.karNa^pUra^cumbanam naKa^daSana^cCedyam iti
   savya^kapola^maṇḍanāni//(p.126)	savya^kapola^maNxana-ani//(p.126)
   2.5.10/.danta^oṣṭha^saṃyoga^abhyāsa^niṣpādanāt	2.5.10/.dantaH-^ozWa^saMyoga^aByAsa^nizpAdanAt-
   pravāla^maṇi^siddhiḥ//(p.127)	pravAla^maNi^sidDiH//(p.127)
   2.5.11/.sarvasya^iyaṃ maṇi^mālāyāś ca//(p.127)	2.5.11/.-sarvasya^iyam maNi^mAlAyAH ca//(p.127)
   2.5.12/.alpa^deśāyāś ca tvaco daśana^dvaya^saṃdaṃśajā	2.5.12/.alpa^deSAyAH ca tvacaH daSana^dvaya^saMdaMSa-jA
   bindu^siddhiḥ//(p.127)	bindu^sidDiH//(p.127)
   2.5.13/.sarvair bindu^mālāyāś ca//(p.127)	2.5.13/.-sarvEH bindu^mAlAyAH ca//(p.127)
   2.5.14/.tasmān mālā^dvayam api gala^kakṣa^vaṅkṣaṇa^pradeśeṣu//(p.127)	2.5.14/.tasmAt mAlA^dvayam api gala^kakza^vaFkzaNa^pradeSa-izu/-/(p.127)
   2.5.15/.lalāṭe ca^ūrvor bindu^māla//(p.127)	2.5.15/.lalAwe ca^UrvoH bindu^mAla//(p.127)
   2.5.16/.maṇḍalam iva viṣama^kūṭaka^yuktaṃ khaṇḍa^abhrakaṃ stana^pṛṣṭha	2.5.16/.-maNxalam iva vizama^kUwaka^yuktam KaNxa^aBrakam stana^pRzWa
   eva//(p.127)	eva//(p.127)
   2.5.17/.saṃhatāḥ pradīrghā bahvyo daśana^pada^rājayas tāmra^antarālā	2.5.17/.-saMhatAH pradIrGAH bahvyaH daSana^pada^rAjayaH tAmra^antarAlA
   varāha^carvitakam/ stana^pṛṣṭha eva//(p.128)	varAha^carvita-kam/ stana^pRzWe eva//(p.128)
   2.5.18/.tad^ubhayam api ca caṇḍa^vegayoḥ/ iti daśana^cchedyāni//(p.128)	2.5.18/.tat-^uBayam api ca caNxa^vegayoH/ iti daSana^cCedya-ani//(p.128)
   2.5.19/.viśeṣake karṇa^pūre puṣpa^āpīḍe tāmbūla^palāśe tamāla^pattre	2.5.19/.viSezake karNa^pUre puzpaH-^ApIxe tAmbUla^palASe tamAla^pattre
   ca^iti prayojya^āgāmiṣu nakha^daśana^cchedya^ādīny ābhiyogikāni//(p.128)	ca^iti prayojyaH-^AgAmizu naKa^daSana^cCedya^AdIni ABiyogikA-ni//(p.128)
   2.5.20/.deśasātmyāc ca yoṣita upacaret//(p.129)	2.5.20/.deSa-sAtmyAt ca yozitaH upacaret//(p.129)
   2.5.21/.madhyadeśyā ārya^prāyāḥ śucy^upacarāś	2.5.21/.-maDyadeSyAH Arya^prAyAH Suci-^upacarAH-
   cumbana^nakha^danta^pada^dveṣiṇyaḥ//(p.129)	cumbana^naKa^danta^pada^dveziNyaH-//(p.129)
   2.5.22/.bāhlīkadeśyā āvantikāś ca//(p.129)	2.5.22/.-bAhlIka-deSyAH AvantikAH ca//(p.129)
   2.5.23/.citra^rateṣu tv āsām abhiniveśaḥ//(p.129)	2.5.23/.citra^ratezu tu AsAm aBiniveSaH//(p.129)
   2.5.24/.pariṣvaṅga^cumbana^nakha^danta^cūṣaṇa^pradhānāḥ kṣata^varjitāḥ	2.5.24/.-parizvaFga^cumbana^naKa^danta^cUzaNa^praDAnAH kzata^varjitAH
   prahaṇana^sādhyā mālavya ābhīryaś ca//(p.129)	prahaNana^sADyAH mAlavyaH ABIryaH ca//(p.129)
   2.5.25/.sindhu^ṣaṣṭhānāṃ ca nadīnām antarālīyā	2.5.25/.sinDu-^zazWAnAm ca nadInAm antarAlIyA
   aupariṣṭaka^sātmyāḥ//(p.130)	Oparizwaka^sAtmyAH//(p.130)
   2.5.26/.caṇḍa^vegā manda^sītkṛtā āparāntikā lāṭhyaś ca//(p.130)	2.5.26/.caNxa^vegAH manda^sItkRtA AparAntikAH lAWyaH ca//(p.130)
   2.5.27/.dṛḍha^prahaṇana^yoginyaḥ khara^vegā eva, apadravya^pradhānāḥ	2.5.27/.dRXa^prahaNana^yoginyaH Kara^vegAH eva, apadravya^praDAnAH
   strīrājye kośalāyāṃ ca//(p.130)	strI-rAjye koSalAyAm ca//(p.130)
   2.5.28/.prakṛtyā mṛdvyo rati^priyā aśucirucayo nirācārāś	2.5.28/.-prakRtyAH mRdvyaH rati^priyAH aSuci-rucayaH nirAcArAH-
   ca^āndhryaḥ//(p.130)	ca^AnDryaH//(p.130)
   2.5.29/.sakala^catuḥṣaṣṭi^prayoga^rāgiṇyo +aślīla^paruṣa^vākya^priyāḥ	2.5.29/.sakala^catuHzazwi^prayoga^rAgiNyaH +a-SlIla^paruza^vAkya^priyAH
   śayane ca sarabhasa^upakramā mahārāṣṭrikāḥ//(p.130)	Sayane ca sa-raBasaH-^upakramAH mahArAzwrikAH//(p.130)
   2.5.30/.tathā^vidhā eva rahasi prakāśante nāgarikāḥ//(p.131)	2.5.30/.taTA^viDAH eva rahasi prakASante nAgarikAH//(p.131)
   2.5.31/.mṛdyamānāś ca^abhiyogān mandaṃ mandaṃ prasiñcante	2.5.31/.mRdyamAnAH ca^aBiyogAt mandam mandam prasiQcante
   draviḍyaḥ//(p.131)	dravixyaH//(p.131)
   2.5.32/.madhyama^vegāḥ sarvaṃsahāḥ svāṅga^pracchādinyaḥ parāṅga^hāsinyaḥ	2.5.32/.-maDyama^vegAH sarvaMsahAH sva-aFga^pracCAdinyaH parAFga^hAsinyaH
   kutsita^aślīla^paruṣa^parihāriṇyo vānavāsikāḥ//(p.131)	kutsita^aSlIla^paruza^parihAriNyaH vAnavAsikAH//(p.131)
   2.5.33/.mṛdu^bhāṣiṇyo +anurāgavatyo mṛdvyaṅgyaś ca gauḍyaḥ//(p.131)	2.5.33/.-mRdu^BAziNyaH +anurAgavatyaH mRdvI-aFgyaH ca gOxyaH//(p.131)
   2.5.34/.deśa^sātmyāt prakṛti^sātmyaṃ balīya iti suvarṇanābhaḥ/ na tatra	2.5.34/.da-ISa^sAtmyAt prakRti^sAtmyam balIyaH iti suvarNanABaH/ na tatra
   deśyā upacārāḥ//(p.132)	deSyAH upacArAH//(p.132)
