   Buddhacarita	BudDa-carita
   avatīrya tatasturaṅgapṛṣṭhācchanakairgā vyacaracchucā parītaḥ /	avatIrya tatas-turaFga-pRzWAt-SanakEs-gA vyacarat-SucA parItaH /
   jagato jananavyayaṃ vicinvan kṛpaṇaṃ khalvidamityuvāca cārtaḥ // Bc_5.7 //	jagataH janana-vyayam vicinvan kRpaNam Kalu-idam-iti-uvAca ca-ArtaH // Bc_5.7 //
   manasā ca viviktatāmabhīpsuḥ suhṛdastānanuyāyino nivārya /	manasA ca vivikta-tAm-aBIpsuH suhRdaH-tAn-anuyAyinaH nivArya /
   abhitaścalacāruparṇavatyā vijane mūlamupeyivān sa jambvāḥ // Bc_5.8 //	aBitas-cala-cAru-parNavatyAH vijane mUlam-upeyivAn sa jambvAH // Bc_5.8 //
   niṣasāda sa yatra śaucavatyāṃ bhuvi vaidūryanikāśaśādvalāyām /	nizasAda sa yatra SOcavatyAm Buvi vEdUrya-nikASa-SAdvalAyAm /
   jagataḥ prabhavavyayau vicinvanmanasaśca sthitimārgamālalambe // Bc_5.9 //	jagataH praBava-vyayO vicinvan-manasaH-ca sTiti-mArgam-Ala-lambe // Bc_5.9 //
   samavāptamanaḥsthitiśca sadyo viṣayecchādibhirādhibhiśca muktaḥ /	samavApta-manaH-sTitiH-ca sadyas vizaya-icCA-AdiBiH-ADiBiH-ca muktaH /
   savitarkavicāramāpa śāntaṃ prathamaṃ dhyānamanāsravaprakāram // Bc_5.10 //	sa-vitarka-vicAram-Apa SAntam praTamam DyAnam-anAsrava-prakAram // Bc_5.10 //
   adhigamya tato vivekajaṃ tu paramaprītisukhaṃ manaḥsamādhim /	aDigamya tatas viveka-jam tu parama-prIti-suKam manaH-samADim /
   idameva tataḥ paraṃ pradadhyau manasā lokagatiṃ niśāmya samyak // Bc_5.11	idam-eva tatas param pradaDyO manasA loka-gatim niSAmya samyak // Bc_5.11
   kṛpaṇaṃ bata yajjanaḥ svayaṃ sannavaśo vyādhijarāvināśadharmā /	kRpaNam bata yat-janaH svayam san=-avaSaH vyADi-jarA-vinASa-DarmA /
   jarayārditamāturaṃ mṛtaṃ vā paramajño vijugupsate madāndhaḥ // Bc_5.12 //	jarayA-arditam-Aturam mRtam vA parama-jQaH vijugupsate mada-anDaH // Bc_5.12 //
   iha cedahamīdṛśaḥ svayaṃ sanvijugupseya paraṃ tathāsvabhāvam /	iha ced-aham-IdRSaH svayam san-vijugupseya param taTA-svaBAvam /
   na bhavetsadṛśaṃ hi tatkṣamaṃ vā paramaṃ dharmamimaṃ vijānato me //	na Bavet-sadRSam hi tad-kzamam vA paramam Darmam-imam vijAnataH me //
   Bc_5.13 //	Bc_5.13 //
   iti tasya vipaśyato yathāvajjagato vyādhijarāvipattidoṣān /	iti tasya vipaSyataH yaTAvat-jagataH vyADi-jarA-vipatti-dozAn /
   balayauvanajīvitapravṛtto vijagāmātmagato madaḥ kṣaṇena // Bc_5.14 //	bala-yOvana-jIvita-pravRttaH vijagAma-Atma-gataH madaH kzaNena // Bc_5.14 //
   na jaharṣa na cāpi cānutepe vicikitsāṃ na yayau na tandrinidre /	na jaharza na ca-api ca-anutepe vicikitsAm na yayO na tandri-nidre /
   na ca kāmaguṇeṣu saṃrarañje na vididveṣa paraṃ na cāvamene // Bc_5.15 //	na ca kAma-guNezu saMraraQje na vididveza param na ca-avamene // Bc_5.15 //
   iti buddhiriyaṃ ca nīrajaskā vavṛdhe tasya mahātmano viśuddhā /	iti budDiH-iyam ca nIrajaskAH vavRDe tasya mahAtmanaH viSudDAH /
   puruṣairaparairadṛśyamānaḥ puruṣaścopasasarpa bhikṣuveṣaḥ // Bc_5.16 //	puruzEH-aparEH-adRSyamAnaH puruzaH-ca-upasasarpa Bikzu-vezaH // Bc_5.16 //
   naradevasutastamabhyapṛcchadvada ko 'sīti śaśaṃsa so 'tha tasmai /	naradeva-sutaH-tam-aByapRcCat-vada kaH asi-iti SaSaMsa saH aTa tasmE /
   narapuṃgava janmamṛtyubhītaḥ śramaṇaḥ pravrajito 'smi mokṣahetoḥ //	nara-puMgava janma-mRtyu-BItaH SramaNaH pravrajitaH asmi mokza-hetoH //
   Bc_5.17 //	Bc_5.17 //
   jagati kṣayadharmake mumukṣarmṛgaye 'haṃ śivamakṣayaṃ padaṃ tat /	jagati kzaya-Darmake mumukzarmRgaye aham Sivam-akzayam padam tat /
   svajane 'nyajane ca tulyabuddhirviṣayebhyo vinivṛttarāgadoṣaḥ // Bc_5.18	sva-jane anya-jane ca tulya-budDiH-vizayeByaH vinivRtta-rAga-dozaH // Bc_5.18
   nivasan kvacideva vṛkṣamūle vijane vāyatane girau vane vā /	nivasan kvacid-eva vRkza-mUle vijane vA-Ayatane girO vane vA /
   vicarāmyaparigraho nirāśaḥ paramārthāya yathopapannabhaikṣaḥ // Bc_5.19 //	vicarAmi-aparigrahaH nirASaH parama-arTAya yaTA-upapanna-BEkzaH // Bc_5.19 //
   iti paśyata eva rājasūnoridamuktvā sa nabhaḥ samutpapāta /	iti paSyataH eva rAja-sUnoH-idam-uktvA sa naBaH samutpapAta /
   sa hi tadvapuranyabuddhadarśī smṛtaye tasya sameyivāndivaukāḥ // Bc_5.20	sa hi tad-vapuH-anyabudDa-darSI smRtaye tasya sameyivAn-divOkAH // Bc_5.20
   gaganaṃ khagavadgate ca tasminṛvaraḥ saṃjahṛṣe visismiye ca /	gaganam Kaga-vat-gate ca tasmi-n-RvaraH saMjahRze visismiye ca /
   upalabhya tataśca dharmasaṃjñāmabhiniryāṇavidhau matiṃ cakāra // Bc_5.21	upalaBya tatas-ca Darma-saMjQAm-aBiniryANa-viDO matim cakAra // Bc_5.21
   tata indrasamo jitendriyāśvaḥ pravivikṣuḥ puramaśvamāruroha /	tatas indra-samaH jita-indriya-aSvaH pravivikzuH puram-aSvam-Aruroha /
   parivārajanaṃ tvavekṣamāṇastata evābhimataṃ vanaṃ na bheje // Bc_5.22 //	parivAra-janam tu-avekzamANaH-tatas eva-aBimatam vanam na Beje // Bc_5.22 //
   sa jarāmaraṇakṣayaṃ cikīrṣurvanavāsāya matiṃ smṛtau nidhāya /	sa jarA-maraNa-kzayam cikIrzuH-vana-vAsAya matim smRtO niDAya /
   praviveśa punaḥ puraṃ na kāmādvanabhūmeriva maṇḍalaṃ dvipendraḥ // Bc_5.23	praviveSa punar puram na kAmAt-vana-BUmeH-iva maNxalam dvipa-indraH // Bc_5.23
   sukhitā bata nirvṛtā ca sā strī patirīdṛkṣa ihāyatākṣa yasyāḥ /	suKitA bata nirvRtA ca sA strI patiH-IdRkzaH iha-Ayata-akza yasyAH /
   iti taṃ samudīkṣya rājakanyā praviśantaṃ pathi sāñjalirjagāda // Bc_5.24	iti tam samudIkzya rAja-kanyA praviSantam paTi sa-aQjaliH-jagAda // Bc_5.24
   atha ghoṣamimaṃ mahābhraghoṣaḥ pariśuśrāva śamaṃ paraṃ ca lebhe /	aTa Gozam-imam mahA-aBra-GozaH pariSuSrAva Samam param ca leBe /
   śrutavānsa hi nirvṛteti śabdaṃ parinirvāṇavidhau matiṃ cakāra // Bc_5.25	SrutavAn-sa hi nirvRtA-iti Sabdam parinirvANa-viDO matim cakAra // Bc_5.25
   atha kāñcanaśailaśṛṅgavarṣmā gajamegharṣabhabāhunisvanākṣaḥ /	aTa kAQcana-SEla-SRFga-varzmA gaja-meGa-RzaBa-bAhu-nisvana-akzaH /
   kṣayamakṣayadharmajātarāgaḥ śaśisiṃhānanavikramaḥ prapede // Bc_5.26 //	kzayam-akzaya-Darma-jAta-rAgaH SaSi-siMha-Anana-vikramaH prapede // Bc_5.26 //
   mṛgarājagatistato 'bhyagacchannṛpatiṃ mantrigaṇairupāsyamānam /	mRgarAja-gatiH-tatas aByagacCat-nRpatim mantri-gaNEH-upAsyamAnam /
   samitau marutāmiva jvalantaṃ maghavantaṃ tridive sanatkumāraḥ // Bc_5.27	samitO marutAm-iva jvalantam maGavantam tridive sanatkumAraH // Bc_5.27
   praṇipatya ca sāñjalirbabhāṣe diśa mahyaṃ naradeva sādhvanujñām /	praNipatya ca sa-aQjaliH-baBAze diSa mahyam naradeva sADu-anujQAm /
   parivivrajiṣāmi mokṣahetorniyato hyasya janasya viprayogaḥ // Bc_5.28 //	parivivrajizAmi mokza-hetoH-niyataH hi-asya janasya viprayogaH // Bc_5.28 //
   iti tasya vaco niśamya rājā kariṇevābhihato drumaścacāla /	iti tasya vacaH niSamya rAjA kariNA-iva-aBihataH drumaH-cacAla /
   kamalapratime 'ñjalau gṛhītvā vacanaṃ cedamuvāca bāṣpakaṇṭhaḥ // Bc_5.29	kamala-pratime aQjalO gRhItvA vacanam ca-idam-uvAca bAzpa-kaNWaH // Bc_5.29
   pratisaṃhara tāt buddhimetāṃ na hi kālastava dharmasaṃśrayasya /	pratisaMhara tAt budDim-etAm na hi kAlaH-tava Darma-saMSrayasya /
   vayasi prathame matau calāyāṃ bahudoṣāṃ hi vadanti dharmacaryām // Bc_5.30	vayasi praTame matO calAyAm bahu-dozAm hi vadanti Darma-caryAm // Bc_5.30
   viṣayeṣu kutūhalendriyasya vratakhedeṣvasamarthīniścayasya /	vizayezu kutUhala-indriyasya vrata-Kedezu-asamarTI-niScayasya /
   taruṇasya manaścalatyaraṇyādanabhijñaśca viśeṣato viveke // Bc_5.31 //	taruNasya manaH-calati-araNyAt-anaBijQaH-ca viSezataH viveke // Bc_5.31 //
   mama tu priyadharma dharmakālastvayi lakṣmīmavasṛjya lakṣmabhūte /	mama tu priya-Darma Darma-kAlaH-tvayi lakzmIm-avasRjya lakzma-BUte /
   sthiravikrama vikrameṇa dharmastava hitvā tu guruṃ bhavedadharmaḥ //	sTira-vikrama vikrameNa DarmaH-tava hitvA tu gurum Bavet-aDarmaH //
   Bc_5.32 //	Bc_5.32 //
   tadimaṃ vyavasāyamutsṛja tvaṃ bhava tāvannirato gṛhasthadharme /	tat-imam vyavasAyam-utsRja tvam Bava tAvat-nirataH gRhasTa-Darme /
   puruṣasya vayaḥsukhāni bhuktvā ramaṇīyo hi tapovanapraveśaḥ // Bc_5.33 //	puruzasya vayaH-suKAni BuktvA ramaNIyaH hi tapaH-vana-praveSaH // Bc_5.33 //
   iti vākyamidaṃ niśamya rājñaḥ kalaviṅkasvara uttaraṃ babhāṣe /	iti vAkyam-idam niSamya rAjQaH kalaviFka-svaraH uttaram baBAze /
   yadi me pratibhūtaścaturṣu rājan bhavasi tvaṃ na tapovanaṃ śrayiṣye //	yadi me pratiBUtaH-caturzu rAjan Bavasi tvam na tapaH-vanam Srayizye //
   Bc_5.34 //	Bc_5.34 //
   na bhavenmaraṇāya jīvitaṃ me viharetsvāsthyamidaṃ ca me na rogaḥ /	na Bavet-maraNAya jIvitam me viharet-svAsTyam-idam ca me na rogaH /
   na ca yauvanamākṣipejjarā me na ca saṃpattimimāṃ haredvipattiḥ // Bc_5.35	na ca yOvanam-Akzipet-jarA me na ca saMpattim-imAm haret-vipattiH // Bc_5.35
   iti durlabhamarthamūcivāṃsaṃ tanayaṃ vākyamuvāca śākyarājaḥ /	iti durlaBam-arTam-Uci-vAMsam tanayam vAkyam-uvAca SAkya-rAjaH /
   tyaja buddhimimāmatipravṛttāmavahāsyo 'timanoratho 'kramaśca // Bc_5.36 //	tyaja budDim-imAm-atipravRttAm-avahAsyaH ati-manoraTaH akramaH-ca // Bc_5.36 //
   atha merugururguruṃ babhāṣe yadi nāsti krama eṣa nāsmi vāryaḥ /	aTa meru-guruH-gurum baBAze yadi na-asti kramaH eza na-asmi vAryaH /
   śaraṇājjvalanena dahyamānānna hi niścikramiṣuḥ kṣamaṃ grahītum // Bc_5.37	SaraNAt-jvalanena dahyamAnAt-na hi niScikramizuH kzamam grahItum // Bc_5.37
   jagataśca yadā dhruvo viyogo nanu dharmāya varaṃ svayaviyogaḥ /	jagataH-ca yadA DruvaH viyogaH nanu DarmAya varam svaya-viyogaH /
   avaśaṃ nanu viprayojayenmāmakṛtasvārthamatṛptameva mṛtyuḥ // Bc_5.38 //	avaSam nanu viprayojayet-mAm-akRta-sva-arTam-atRptam-eva mRtyuH // Bc_5.38 //
   iti bhūmipatirniśamya tasya vyavasāyaṃ tanayasya nirmumukṣoḥ /	iti BUmipatiH-niSamya tasya vyavasAyam tanayasya nirmumukzoH /
   abhidhāya na yāsyatīti bhūyo vidadhe rakṣaṇamuttamāṃśca kāmān // Bc_5.39	aBiDAya na yAsyati-iti BUyas vidaDe rakzaNam-uttamAn=-ca kAmAn // Bc_5.39
   sacivaistu nidarśito yathāvad bahumānātpraṇayācca śāstrapūrvam /	sacivEH-tu nidarSitaH yaTAvat bahu-mAnAt-praNayAt-ca SAstra-pUrvam /
   guruṇā ca nivārito 'śrupātaiḥ praviveśāvasathaṃ tataḥ sa śocan // Bc_5.40	guruNA ca nivAritaH aSru-pAtEH praviveSa-AvasaTam tatas sa Socan // Bc_5.40
   calakuṇḍalacumbitānanābhirghananiśvāsavikampitastanībhiḥ /	cala-kuNxala-cumbita-AnanABiH-Gana-niSvAsa-vikampita-stanIBiH /
   vanitābhiradhīralocanābhimṛrgaśāvābhirivābhyudīkṣyamāṇaḥ // Bc_5.41 //	vanitABiH-aDIra-locana-aBimRrga-SAvABiH-iva-aByudIkzyamANaH // Bc_5.41 //
   sa hi kāñcanaparvatāvadāto hṛdayenmādakaro varāṅganānām /	sa hi kAQcana-parvata-avadAtaH hRdayet-mAdakaraH vara-aFganAnAm /
   śravaṇāṅgavilocanātmabhāvānvacanasparśavapurguṇairjahāra // Bc_5.42 //	SravaNa-aFga-vilocana-Atma-BAvAn-vacana-sparSa-vapuH-guNEH-jahAraH // Bc_5.42 //
   vigate divase tato vimānaṃ vapuṣā sūrya iva pradīpyamānaḥ /	vigate divase tatas vimAnam vapuzA sUryaH iva pradIpyamAnaH /
   timiraṃ vijighāṃsurātmabhāsā ravirudyanniva merumāruroha // Bc_5.43 //	timiram vijiGAMsuH-Atma-BAsAH raviH-udyan=-iva merum-Aruroha // Bc_5.43 //
   kanakojjvaladīptadīpavṛkṣaṃ varakālāgurudhūpapūrṇagarbham /	kanaka-ujjvala-dIpta-dIpa-vRkzam vara-kAlAguru-DUpa-pUrNa-garBam /
   adhiruhya sa vajrabhakticitraṃ pravaraṃ kāñcanamāsanaṃ siṣeve // Bc_5.44	aDiruhya sa vajra-Bakti-citram pravaram kAQcanam-Asanam sizeve // Bc_5.44
   tata uttamamuttamāṅganāstaṃ niśi tūryairupatasthurindrakalpam /	tatas uttamam-uttama-aFganAH-tam niSi tUryEH-upatasTuH-indra-kalpam /
   himavacchirasīva candragaure draviṇendrātmajamapsarogaṇaughāḥ // Bc_5.45	himavat-Sirasi-iva candragOre draviNa-indra-Atmajam-apsaraH-gaNa-oGAH // Bc_5.45
   paramairapi divyatūryakalpaiḥ sa tu tairnaiva ratiṃ yayau na harṣam /	paramEH-api divya-tUrya-kalpEH sa tu tEH-na-eva ratim yayO na harzam /
   paramārthasukhāya tasya sādhorabhiniścikramiṣā yato na reme // Bc_5.46 //	parama-arTa-suKAya tasya sADoH-aBiniScikramizA yatas na reme // Bc_5.46 //
   atha tatra suraistapovariṣṭhairakaniṣṭhairvyavasāyamasya buddhvā /	aTa tatra surEH-tapaH-varizWEH-akanizWEH-vyavasAyam-asya budDvA /
   yugapatpramadājanasya nidrā vihitāsīdvikṛtāśca gātraceṣṭāḥ // Bc_5.47 //	yugapad-pramadA-janasya nidrA vihitA-AsIt-vikRtAH-ca gAtra-cezwAH // Bc_5.47 //
   abhavacchayitā hi tatra kācidviniveśya pracale kare kapolam /	aBavat-SayitA hi tatra kAcid-viniveSya pracale kare kapolam /
   dayitāmapi rukmapattracitrāṃ kupitevāṅkagatāṃ vihāya vīṇām // Bc_5.48 //	dayitAm-api rukma-pattra-citrAm kupitA-iva-aFka-gatAm vihAya vINAm // Bc_5.48 //
   vibabhau karalagnaveṇuranyā stanavisrastasitāṃśukā śayānā /	vibaBO kara-lagna-veNuH-anyA stana-visrasta-sita-aMSukA SayAnAH /
   ṛjuṣaṭpadapaṅktijuṣṭapadmā jalaphenaprahasattaṭā nadīva // Bc_5.49 //	Rju-zawpada-paFkti-juzwa-padmA jala-Pena-prahasat-tawA nadI-iva // Bc_5.49 //
   navapuṣkaragarbhakomalābhyāṃ tapanīyojjvalasaṃgatāṅgadābhyām /	nava-puzkara-garBa-komalAByAm tapanIya-ujjvala-saMgata-aFgadAByAm /
   svapiti sma tathāparā bhujābhyāṃ parirabhya priyavanmṛdaṅgameva // Bc_5.50	svapiti sma taTA-aparA BujAByAm pariraBya priya-vat-mRdaFgam-eva // Bc_5.50
   navahāṭakabhūṣaṇāstathānyā vasanaṃ pītamanuttamaṃ vasānāḥ /	nava-hAwaka-BUzaNAH-taTA-anyAH vasanam pItam-anuttamam vasAnAH /
   avaśā ghananidrayā nipeturgajabhagnā iva karṇikāraśākhāḥ // Bc_5.51 //	avaSAH Gana-nidrayA nipetuH-gaja-BagnAH iva karNikAra-SAKAH // Bc_5.51 //
   avalambya gavākṣapārśvamanyā śayitā cāpavibhugnagātrayaṣṭiḥ /	avalambya gavAkza-pArSvam-anyA SayitA cApa-viBugna-gAtra-yazwiH /
   virarāja vilambicāruhārā racitā toraṇāśālabhañjikeva // Bc_5.52 //	virarAja vilambicAru-hArAH racitA toraNa-aSAlaBaQjikA-iva // Bc_5.52 //
   maṇikuṇḍaladaṣṭapattralekhaṃ mukhapadmaṃ vinataṃ tathāparasyāḥ /	maNi-kuNxala-dazwa-pattra-leKam muKa-padmam vinatam taTA-aparasyAH /
   śatapattramivārdhavakranāḍaṃ sthitakāraṇḍavaghaṭṭitaṃ cakāśe // Bc_5.53 //	Satapattram-iva-arDa-vakra-nAxam sTita-kAraNxava-Gawwitam cakASe // Bc_5.53 //
   aparāḥ śayitā yathopaviṣṭāḥ stanabhārairavanamyamānagātrāḥ /	aparAH SayitAH yaTA-upavizwAH stana-BArEH-avanamyamAna-gAtrAH /
   upaguhya parasparaṃ virejurbhujapāśaistapanīyaparihāryaiḥ // Bc_5.54 //	upaguhya parasparam virejuH-Buja-pASEH-tapanIya-parihAryEH // Bc_5.54 //
   mahatī parivādinī ca kācidvanitāliṅgya sakhīmiva prasuptā /	mahatI parivAdinI ca kAcid-vanitA-AliFgya saKIm-iva prasuptAH /
   vijughūrṇa calatsuvarṇasūtrā vadanenākulakarṇikojjvalena // Bc_5.55 //	vijuGUrNa calat-suvarNa-sUtrAH vadanena-Akula-karNikA-ujjvalena // Bc_5.55 //
   paṇavaṃ yuvatirbhujāṃsadeśādavavisraṃsitacārūpāśamanyā /	paNavam yuvatiH-Buja-aMsa-deSAt-avavisraMsita-cAru-upASam-anyA /
   savilāsaratāntatāntamūrvorvivare kāntamivābhinīya śiśye // Bc_5.56 //	sa-vilAsa-rata-anta-tAntam-UrvoH-vivare kAntam-iva-aBinIya SiSye // Bc_5.56 //
   aparā babhūvurnimīlitākṣyo vipulākṣyo 'pi śubhabhruvo 'pi satyaḥ /	aparAH baBUvuH-nimIlita-akzyaH vipula-akzyaH api SuBa-BruvaH api satyaH /
   pratisaṃkucitāravindakośāḥ savitaryastamite yathā nalinyaḥ // Bc_5.57 //	pratisaMkucita-aravinda-koSAH savitari-astamite yaTA nalinyaH // Bc_5.57 //
   śithilākulamūrdhajā tathānyā jaghanasrastavibhūṣaṇāṃśukāntā /	SiTila-Akula-mUrDajA taTA-anyA jaGana-srasta-viBUzaNa-aMSu-kAntAH /
   aśayiṣṭa vikīrṇakaṇṭhasūtrā gajabhagnā pratiyātanāṅganeva // Bc_5.58 //	aSayizwa vikIrNa-kaNWa-sUtrAH gaja-BagnA pratiyAtana-aFganA-iva // Bc_5.58 //
   aparāstvavaśā hriyā viyuktā dhṛtimatyo 'pi vapurguṇairupetāḥ /	aparAH-tu-avaSAH hriyAH viyuktAH DRtimatyaH api vapuH-guNEH-upetAH /
   viniśaśvasurulbaṇaṃ śayānā vikṛtāḥ kṣiptabhūjā jajṛmbhire ca // Bc_5.59 //	viniSaSvasuH-ulbaNam SayAnAH vikRtAH kzipta-BUjAH jajRmBire ca // Bc_5.59 //
   vyapaviddhavibhūṣaṇasrajo 'nyā visṛtāgranthanavāsaso visaṃjñāḥ /	vyapavidDa-viBUzaNa-srajaH anyAH visRta-AgranTana-vAsasaH visaMjQAH /
   animīlitaśuklaniścalākṣyo na virejuḥ śayitā gatāsukalpāḥ // Bc_5.60 //	animIlita-Sukla-niScala-akzyaH na virejuH SayitAH gatAsu-kalpAH // Bc_5.60 //
   vivṛtāsyapuṭā vivṛddhagātrī prapatadvaktrajalā prakāśaguhyā /	vivRta-Asya-puwA vivRdDa-gAtrI prapatat-vaktra-jalA prakASa-guhyAH /
   aparā madaghūrṇiteva śiśye na babhāse vikṛtaṃ vapuḥ pupoṣa // Bc_5.61 //	aparA mada-GUrNitA-iva SiSye na baBAse vikRtam vapuH pupoza // Bc_5.61 //
   iti sattvakulānvayānurūpaṃ vividhaṃ sa pramadājanaḥ śayānaḥ /	iti sattva-kula-anvaya-anurUpam viviDam sa pramadA-janaH SayAnaH /
   sarasaḥ sadṛśaṃ babhāra rūpaṃ pavanāvarjitarugnapuṣkarasya // Bc_5.62 //	sarasaH sadRSam baBAra rUpam pavana-Avarjita-rugna-puzkarasya // Bc_5.62 //
   samavekṣya tathā tathā śayānā vikṛtāstā yuvatīradhīraceṣṭāḥ /	samavekzya taTA taTA SayAnAH vikRtAH-tAH yuvatIH-aDIra-cezwAH /
   guṇavadvapuṣo 'pi valgubhāṣā nṛpasūnuḥ sa vigarhayāṃbabhūva // Bc_5.63 //	guNavat-vapuzaH api valgu-BAzAH nRpa-sUnuH sa vigarhayAMbaBUva // Bc_5.63 //
   aśucirvikṛtaśca jīvaloke vanitānāmayamīdṛśaḥ svabhāvaḥ /	aSuciH-vikRtaH-ca jIva-loke vanitAnAm-ayam-IdRSaH svaBAvaH /
   vasanābharaṇaistu vañcyamānaḥ puruṣaḥ strīviṣayeṣu rāgameti // Bc_5.64 //	vasana-ABaraNEH-tu vaQcyamAnaH puruzaH strI-vizayezu rAgam-eti // Bc_5.64 //
   vimṛśedyadi yoṣitāṃ manuṣyaḥ prakṛtiṃ svapnavikāramīdṛśaṃ ca /	vimRSet-yadi yozitAm manuzyaH prakRtim svapna-vikAram-IdRSam ca /
   dhruvamatra na vardhayetpramādaṃ guṇasaṃkalpahatastu rāgameti // Bc_5.65	Druvam-atra na varDayet-pramAdam guNa-saMkalpa-hataH-tu rAgam-eti // Bc_5.65
   iti tasya tadantaraṃ viditvā niśi niścikramiṣā samudbabhūva /	iti tasya tad-antaram viditvA niSi niScikramizA samudbaBUva /
   avagamya manastato 'sya devairbhavanadvāramapāvṛtaṃ babhūva // Bc_5.66 //	avagamya manaH-tatas asya devEH-Bavana-dvAram-apAvRtam baBUva // Bc_5.66 //
   atha so 'vatatāra harmyapṛṣṭhādyuvatīstāḥ śayitā vigarhamāṇaḥ /	aTa saH avatatAra harmya-pRzWAt-yuvatIH-tAH SayitAH vigarhamANaH /
   avatīrya tataśca nirviśaṅko gṛhakakṣyāṃ prathamāṃ vinirjagāma // Bc_5.67	avatIrya tatas-ca nirviSaFkaH gRha-kakzyAm praTamAm vinirjagAma // Bc_5.67
   turagāvacaraṃ sa bodhayitvā javinaṃ chandakamitthamityuvāca /	turaga-avacaram sa boDayitvA javinam Candakam-itTam-iti-uvAca /
   hayamānaya kanthakaṃ tvarāvānamṛtaṃ prāptumito 'dya me yiyāsā // Bc_5.68	hayam-Anaya kanTakam tvarAvAn-amRtam prAptum-itas adya me yiyAsA // Bc_5.68
   hṛdi yā mama tuṣṭiradya jātā vyavasāyaśca yathā matau niviṣṭaḥ /	hRdi yA mama tuzwiH-adya jAtAH vyavasAyaH-ca yaTA matO nivizwaH /
   vijane 'pi ca nāthavānivāsmi dhruvamartho 'bhimukhaḥ sameta iṣṭaḥ //	vijane api ca nATavAn-iva-asmi Druvam-arTaH aBimuKaH sametaH izwaH //
   Bc_5.69 //	Bc_5.69 //
   hriyameva ca saṃnatiṃ ca hitvā śayitā matpramukhe yathā yuvatyaḥ /	hriyam-eva ca saMnatim ca hitvA SayitA mad-pramuKe yaTA yuvatyaH /
   vivṛte ca yathā svayaṃ kapāṭe niyataṃ yātumato mamādya kālaḥ // Bc_5.70 //	vivRte ca yaTA svayam kapAwe niyatam yAtum-atas mama-adya kAlaH // Bc_5.70 //
   pratigṛhya tataḥ sa bharturājñāṃ viditārtho 'pi narendraśāsanasya /	pratigRhya tatas sa BartuH-AjQAm vidita-arTaH api narendra-SAsanasya /
   manasīva pareṇa codyamānasturagasyānayane matiṃ cakāra // Bc_5.71 //	manasi-iva pareNa codyamAnaH-turagasya-Anayane matim cakAra // Bc_5.71 //
   atha hemakhalīnapūrṇavaktraṃ laghuśayyāstaraṇopagūḍhapṛṣṭham /	aTa hema-KalIna-pUrNa-vaktram laGu-SayyA-AstaraNa-upagUXa-pRzWam /
   balasattvajavānvayopapannaṃ sa varāśvaṃ tamupānināya bhartre // Bc_5.72 //	bala-sattva-java-anvaya-upapannam sa vara-aSvam tam-upAninAya Bartre // Bc_5.72 //
   pratatrikapucchamūlapārṣṇi nibhṛtahṛsvatanūjapucchakarṇam /	pratatrika-pucCa-mUla-pArzNi niBRta-hRsva-tanUja-pucCa-karNam /
   vinatonnatapṛṣṭhakukṣipārśva vipulaprothalalāṭakaṭyuraskam // Bc_5.73 //	vinata-unnata-pRzWa-kukzi-pArSva vipula-proTa-lalAwa-kawI-uraskam // Bc_5.73 //
   upaguhya sa taṃ viśālavakṣāḥ kamalābhena ca sāntvayan kareṇa /	upaguhya sa tam viSAla-vakzAH kamala-ABena ca sAntvayan kareNa /
   madhurākṣarayā girā śaśāsa dhvajinīmadhyamiva praveṣṭukāmaḥ // Bc_5.74 //	maDura-akzarayA girA SaSAsa DvajinI-maDyam-iva pravezwu-kAmaH // Bc_5.74 //
   bahuśaḥ kila śatravo nirastāḥ samare tvāmadhiruhya pārthivena /	bahuSas kila SatravaH nirastAH samare tvAm-aDiruhya pArTivena /
   ahamapyamṛtaṃ padaṃ yathāvatturagaśreṣṭha labheya tatkuruṣva // Bc_5.75 //	aham-api-amRtam padam yaTAvat-turaga-SrezWa laBeya tat-kuruzva // Bc_5.75 //
   sulabhāḥ khalu saṃyuge sahāyā viṣayāvāptasukhe dhanārjane vā /	sulaBAH Kalu saMyuge sahAyAH vizaya-avApta-suKe Dana-arjane vA /
   puruṣasya tu durlabhāḥ sahāyāḥ patitasyāpadi dharmasaṃśraye vā // Bc_5.76	puruzasya tu durlaBAH sahAyAH patitasya-Apadi Darma-saMSraye vA // Bc_5.76
   iha caiva bhavanti ye sahāyaḥ kaluṣe karmaṇi dharmasaṃśraye vā /	iha ca-eva Bavanti ye sahAyaH kaluze karmaNi Darma-saMSraye vA /
   avagacchait me yathāntarātmā niyataṃ te 'pi janāstadaṃśabhājaḥ // Bc_5.77	avagacCEt me yaTA-antarAtmA niyatam te api janAH-tad-aMSa-BAjaH // Bc_5.77
   tadidaṃ parigamya dharmayuktaṃ mama niryāṇamito jagaddhitāya /	tat-idam parigamya Darma-yuktam mama niryANam-itas jagat-hitAya /
   turagottama vegavikramābhyāṃ prayatasvātmahite jagaddhite ca // Bc_5.78 //	turaga-uttama vega-vikramAByAm prayatasva-Atma-hite jagat-hite ca // Bc_5.78 //
   iti suhṛdamivānuśiṣya kṛtye turagavaraṃ nṛvaro vanaṃ yiyāsuḥ /	iti suhRdam-iva-anuSizya kRtye turaga-varam nR-varaH vanam yiyAsuH /
