   Gaṇakārikā, 1	GaNa-kArikA, 1
   * ityetat pāśupatayogavidhānaṃ paramottamaṃ surairapi alabhyaṃ	* iti-etat pASupata-yoga-viDAnam parama-uttamam surEH-api alaByam
   paramaguhyam ā parameśvarād gurupāramparyopadeśaikasamadhigamyaṃ	parama-guhyam A parameSvarAt guru-pAramparya-upadeSa-eka-samaDigamyam
   svalpaprajñānām anugrahārthaṃ vyaktam evopanyastam // GkT_1.7:98	su-alpa-prajQAnAm anugraha-arTam vyaktam eva-upanyastam // GkT_1.7:98
   * yastvevaṃ na śraddadhātyaparīkṣitebhyo vā dadāti tasya brahmahatyādibhyo	* yaH-tu-evam na SraddaDAti-aparIkziteByaH vA dadAti tasya brahmahatyA-AdiByaH-
   'pi garīyaḥ pātakaṃ syād ityataḥ śiṣyaparīkṣāyāṃ śraddhāyāṃ ca yatnaḥ	api garIyaH pAtakam syAt iti-atas Sizya-parIkzAyAm SradDAyAm ca yatnaH
   kartavya iti // GkT_1.7:99	kartavyaH iti // GkT_1.7:99
   * sthiter upāyamāha // GkT_1.7:100	* sTiteH upAyam-Aha // GkT_1.7:100
   * sadārudrasmṛtis tathā iti // GkT_1.7:101	* sadA-rudra-smRtiH taTA iti // GkT_1.7:101
   * devanityatvameva sadāsmṛtir ity ucyate // GkT_1.7:102	* deva-nitya-tvam-eva sadA-asmRtiH iti ucyate // GkT_1.7:102
   * sthitiṃ pratyupāyatvapratipādanārthaṃ saṃjñāntarābhidhānam iti //	* sTitim pratyupAya-tva-pratipAdana-arTam saMjQA-antara-aBiDAnam iti //
   GkT_1.7:103	GkT_1.7:103
   * tathāśabdaḥ samānārthaḥ // GkT_1.7:104	* taTASabdaH samAna-arTaH // GkT_1.7:104
   * yathā devanityatvaṃ pratyadhyayanadhyānayorevopāyatvaṃ dharmaṃ ca prati	* yaTA deva-nitya-tvam pratyaDyayana-DyAnayoH-eva-upAya-tvam Darmam ca prati
   caryāyā eva tadanugrāhakatvenānusnānādiyamayantraṇādir apyupāyatvam	caryAyAH eva tad-anugrAhaka-tvena-anusnAna-Adi-yama-yantraNa-AdiH api-upAya-tvam
   upacaryate tathā sthitiṃ prati smṛtireva prādhānyenopāyas	upacaryate taTA sTitim prati smRtiH-eva prADAnyena-upAyas
   tadanugrāhakatvenendriyajayo 'pyupāyatvenokta ityato nendriyajayād	tad-anugrAhaka-tvena-indriya-jayaH api-upAya-tvena-uktaH iti-atas na-indriya-jayAt-
   ityanena virodhaḥ // GkT_1.7:105	iti-anena viroDaH // GkT_1.7:105
   * saṅgādinivṛtterupāyāntaramindriyajaya ityeke // GkT_1.7:106	* saFga-Adi-ni-vRtteH-upAya-antaram-indriya-jayaH iti-eke // GkT_1.7:106
   * tanna pañcopāyatvavirodhāt tyāgādānasūtrabhāṣyavirodhāc ca //	* tat-na paQca-upAya-tva-viroDAt tyAga-AdAna-sUtra-BAzya-viroDAt ca //
   GkT_1.7:107	GkT_1.7:107
   * devanityatvendriyajayayor abheda ityanye 'pi // GkT_1.7:108	* deva-nitya-tva-indriya-jayayoH aBedaH iti-anye api // GkT_1.7:108
   * tadapi na // GkT_1.7:109	* tat-api na // GkT_1.7:109
   * lakṣaṇabhedādīndriyotsargagrahayoḥ prabhutvamindriyajayaḥ // GkT_1.7:110	* lakzaNa-Beda-Adi-indriya-utsarga-grahayoH praBu-tvam-indriya-jayaH // GkT_1.7:110
   * deve bhāvābhyāsataratvaṃ devanityatvamiti // GkT_1.7:111	* deve BAva-aByAsatara-tvam deva-nitya-tvam-iti // GkT_1.7:111
   * siddhestarhyupāyo vācya ityata āha // GkT_1.7:112	* sidDeH-tarhi-upAyaH vAcyaH iti-atas Aha // GkT_1.7:112
   * prasādaś caiva iti // GkT_1.7:113	* prasAdaH ca-eva iti // GkT_1.7:113
   * kāraṇasya svaguṇaditsā prasāda ityucyate // GkT_1.7:114	* kAraNasya sva-guNa-ditsA prasAdaH iti-ucyate // GkT_1.7:114
   * caśabdo nyūnādhikavyavacchedasūcakaḥ // GkT_1.7:115	* caSabdaH nyUna-aDika-vyavacCeda-sUcakaH // GkT_1.7:115
   * evaśabdaḥ prasādasyānyānapekṣatvam avadhārayati // GkT_1.7:116	* eva-SabdaH prasAdasya-anya-anapekza-tvam avaDArayati // GkT_1.7:116
   * lābhānāmupāyā ityetad gamyamānārthasyāpyabhidhānaṃ śāstrāntaroktānāṃ	* lABAnAm-upAyAH iti-etat gamyamAna-arTasya-api-aBiDAnam SAstra-antara-uktAnAm
   mokṣopāyānām anupāyatvajñāpanārtham // GkT_1.7:117	mokza-upAyAnAm anupAya-tva-jQApana-arTam // GkT_1.7:117
   * pañca ityupasaṃhārārtham // GkT_1.7:118	* paQca iti-upasaMhAra-arTam // GkT_1.7:118
   * niścitā ityāptairdṛṣṭā ityarthaḥ // GkT_1.7:119	* niScitAH iti-AptEH-dRzwAH iti-arTaH // GkT_1.7:119
   * atha kimetairupāyaiḥ pañcalābhā eva prāptavyā iti na kiṃ tarhi malāśca	* aTa kim-etEH-upAyEH paQca-lABAH eva prAptavyAH iti na kim tarhi malAH-ca
   pañca kṣapaṇīyāḥ // GkT_1.7:120	paQca kzapaNIyAH // GkT_1.7:120
   * ke punaste ityāha // GkT_1.7:121]	* ke punar-te iti-Aha // GkT_1.7:121]
   mithyājñānamadharmaśca saktihetuś cyutistathā /	miTyAjQAnam-aDarmaH-ca sakti-hetuH cyutiH-taTA /
   paśutvaṃ mūlaṃ pañcaite tantre heyādhikārataḥ // Gk_1.8	paSu-tvam mUlam paQca-ete tantre heya-aDikArataH // Gk_1.8
   * tatra pramāṇābhāsajaṃ jñānaṃ mithyājñānam uktaṃ	* tatra pramANa-ABAsa-jam jQAnam miTyAjQAnam uktam
   saṃśayaviparyayādilakṣaṇam // GkT_1.8:1	saMSaya-viparyaya-Adi-lakzaNam // GkT_1.8:1
   * śāstrāntarebhyo'pi tarhi saṃśayādinivṛtter aviśeṣaprasaṅga iti cen na	* SAstra-antareByaH-api tarhi saMSaya-Adi-nivRtteH aviSeza-prasaFgaH iti ced na
   śāstrāntarapraṇetḥṇām api viparyayānivṛttipratipādanād	SAstra-antara-praNetHNAm api viparyaya-anivRtti-pratipAdanAt-
   ācāryavaiśeṣyaprakaraṇe // GkT_1.8:2	AcArya-vESezya-prakaraNe // GkT_1.8:2
   * tanna śāstrāntarebhyo'pi saṃśayādinivṛttiriti // GkT_1.8:3	* tat-na SAstra-antareByaH-api saMSaya-Adi-nivRttiH-iti // GkT_1.8:3
   * kāmakrodhadveṣāḥ kaluṣaṃ tasyāpyajñāne 'ntarbhāvaḥ // GkT_1.8:4	* kAma-kroDa-dvezAH kaluzam tasya-api-ajQAne antarBAvaH // GkT_1.8:4
   * kasmāt // GkT_1.8:5	* kasmAt // GkT_1.8:5
   * avyaktāvasthāgamane pratyanīkatvāt // GkT_1.8:6	* avyakta-avasTA-gamane pratyanIka-tvAt // GkT_1.8:6
   * tadidaṃ saṃśayādi kaluṣaṃ ca saha bījena mithyājñānam ityucyate //	* tat-idam saMSaya-Adi kaluzam ca saha bIjena miTyAjQAnam iti-ucyate //
   GkT_1.8:7	GkT_1.8:7
   * dvitīyaṃ malaṃ darśayati adharmaśca iti // GkT_1.8:8	* dvitIyam malam darSayati aDarmaH-ca iti // GkT_1.8:8
   * pāpmabījaṃ pāpam evātrādharma ityabhipretam // GkT_1.8:9	* pApma-bIjam pApam eva-atra-aDarmaH iti-aBipretam // GkT_1.8:9
   * tasya savikārasyaikamalatvaṃ vikāravikāriṇorananyatvād iti // GkT_1.8:10	* tasya sa-vikArasya-eka-mala-tvam vikAra-vikAriNoH-ananya-tvAt iti // GkT_1.8:10
   * saty apy ajñānakaluṣasaṅgacyutihetor adharmatve pāpākhya evātrādharmo	* sati api ajQAna-kaluza-saFga-cyuti-hetoH aDarma-tve pApa-AKyaH eva-atra-aDarmaH-
   'bhipreta iti caḥ sūcayati // GkT_1.8:11	aBipretaH iti caH sUcayati // GkT_1.8:11
   * tṛtīyaṃ malam āha // GkT_1.8:12	* tRtIyam malam Aha // GkT_1.8:12
   * saktihetuḥ iti // GkT_1.8:13	* sakti-hetuH iti // GkT_1.8:13
   * saktiḥ saṅgaḥ viṣayāsaktilakṣaṇasukhaṃ bhāṣye sukhābhimāna ityanenoktam	* saktiH saFgaH vizaya-Asakti-lakzaNa-suKam BAzye suKa-aBimAnaH iti-anena-uktam
   // GkT_1.8:14	// GkT_1.8:14
   * tasyaiva lakṣaṇārthaṃ bhāṣyam avivecanamiśraṇapreraṇalakṣaṇo vanagajavat	* tasya-eva lakzaNa-arTam BAzyam avivecana-miSraNa-preraNa-lakzaNaH vana-gaja-vat-
   iti // GkT_1.8:15	iti // GkT_1.8:15
   * tasya saṅgasya hetus tanmayakaraṇaṃ vidhyantaropārjito dharmaḥ saṅgakara	* tasya saFgasya hetuH tad-maya-karaNam viDi-antara-upArjitaH DarmaH saFga-kara
   iti ya uktaḥ saha vikāreṇāsau tṛtīyo mala iti // GkT_1.8:16	iti yaH uktaH saha vikAreNa-asO tRtIyaH malaH iti // GkT_1.8:16
   * caturthaṃ malam āha // GkT_1.8:17	* caturTam malam Aha // GkT_1.8:17
   * cyutis tathā iti // GkT_1.8:18	* cyutiH taTA iti // GkT_1.8:18
   * rudratattvādīṣaccittaṃ cyavate viṣayaṃ na prāpnoti taccittacyavanaṃ	* rudra-tattvAt-Izat-cittam cyavate vizayam na prApnoti tad-citta-cyavanam
   cyutir ityucyate // GkT_1.8:19	cyutiH iti-ucyate // GkT_1.8:19
   * tathāśabdaḥ samānārthe // GkT_1.8:20	* taTASabdaH samAna-arTe // GkT_1.8:20
   * yathā mithyājñānasya svabījena saha malatvam adharmasaṅgakarayoś ca	* yaTA miTyAjQAnasya sva-bIjena saha mala-tvam aDarma-saFga-karayoH ca
   savikāreṇa tathā cyuterapi ūṣmavad avasthitādharmākhyena svabījena saha	sa-vikAreNa taTA cyuteH-api Uzma-vat avasTita-aDarma-AKyena sva-bIjena saha
   malatvam iti // GkT_1.8:21	mala-tvam iti // GkT_1.8:21
   * atra bhāṣyavirodhānna mithyājñānakaluṣapāpmasaṅgacyutayaḥ puruṣasya	* atra BAzya-viroDAt-na miTyAjQAna-kaluza-pApma-saFga-cyutayaH puruzasya
   bhāvāś cittavidyayor vā // GkT_1.8:22	BAvAH citta-vidyayoH vA // GkT_1.8:22
   * nāpi kaluṣamicchāyā bhāvaḥ kiṃtvadharmavikārā evaite jñānecchābhyāṃ saha	* na-api kaluzam-icCAyAH BAvaH kiMtu-aDarma-vikArAH eva-ete jQAna-icCAByAm saha
   kṣīrodakavad abhinnā iva gṛhyante // GkT_1.8:23	kzIra-udaka-vat aBinnAH iva gRhyante // GkT_1.8:23
   * tathā ca satkāryavicāre prapañcitametad iti // GkT_1.8:24	* taTA ca satkArya-vicAre prapaQcitam-etat iti // GkT_1.8:24
   * pañcamaṃ malamāha paśutvam iti // GkT_1.8:25	* paQcamam malam-Aha paSutvam iti // GkT_1.8:25
   * dharmādharmavyatiriktaḥ pratighātānumeyaḥ puruṣaguṇaḥ paśutvam //	* Darma-aDarma-vyatiriktaH pratiGAta-anumeyaH puruza-guNaH paSutvam //
   GkT_1.8:26	GkT_1.8:26
   * tasya caturdaśalakṣaṇopetasya malatvam // GkT_1.8:27	* tasya caturdaSa-lakzaNa-upetasya mala-tvam // GkT_1.8:27
   * tāni ca lakṣaṇāny asarvajñatvādīny apatitvāntāni	* tAni ca lakzaNAni asarvajQa-tva-AdIni apatitva-antAni
   sarvajñatvādiviparyayeṇaiva vyākhyātānīti // GkT_1.8:28	sarvajQa-tva-Adi-viparyayeNa-eva vyAKyAtAni-iti // GkT_1.8:28
   * taccetthaṃbhūtaṃ paśutvaṃ saṃsārasyānādikāraṇaṃ pradhānabhūtam ityevaṃ	* tat-cetTaMBUtam paSu-tvam saMsArasya-anAdi-kAraNam praDAna-BUtam iti-evam
   matvāha mūlamiti // GkT_1.8:29	matvA-Aha mUlam-iti // GkT_1.8:29
   * tathāhi kaivalyagatānāmanyamalābhāve 'pi paśutvādeva punaḥ	* taTA-hi kEvalya-gatAnAm-anya-mala-aBAve api paSu-tvAt-eva punar-
   saṃsārāpattiriti // GkT_1.8:30	saMsAra-ApattiH-iti // GkT_1.8:30
   * pañca iti nyūnādhikavyavacchedenopasaṃhārārtham // GkT_1.8:31	* paQca iti nyUna-aDika-vyavacCedena-upasaMhAra-arTam // GkT_1.8:31
   * ete ityavadhāraṇārtham // GkT_1.8:32	* ete iti-avaDAraNa-arTam // GkT_1.8:32
   * ete eva saṃsārabandhātmakā malā na tu śāstrāntaroktā	* ete eva saMsAra-banDa-AtmakA malAH na tu SAstra-antara-uktA
   bhoktṛbhogyasambandhādaya ityarthaḥ // GkT_1.8:33	BoktR-Bogya-sambanDa-AdayaH iti-arTaH // GkT_1.8:33
   * kva punaritthaṃbhūtā malāḥ prasiddhā ityāha // GkT_1.8:34	* kva punar-itTaMBUtAH malAH prasidDAH iti-Aha // GkT_1.8:34
   * tantre sākṣān maheśvarapraṇītam athaśabdādi śivāntaṃ śāstraṃ tantraṃ	* tantre sAkzAt maheSvara-praNItam aTa-Sabda-Adi Siva-antam SAstram tantram
   tasminnete pratipāditā ityarthaḥ // GkT_1.8:35	tasmin=-ete pratipAditAH iti-arTaH // GkT_1.8:35
   * dharmajñānāderapi tyajyamānatvād adharmāderiva malatvaṃ	* Darma-jQAna-AdeH-api tyajyamAna-tvAt aDarma-AdeH-iva mala-tvam
   prāptamityāśaṅkyāha heyādhikārataḥ iti // GkT_1.8:36	prAptam-iti-ASaFkya-Aha heya-aDikArataH iti // GkT_1.8:36
   * yeṣāṃ kardamādivadduḥkhahetutvaṃ matvā sādhakaḥ kṣapaṇārtham adhikriyate	* yezAm kardama-Adi-vat-duHKa-hetu-tvam matvA sADakaH kzapaNa-arTam aDikriyate
   ta eva malā na tu yeṣāṃ puṣpādivadanicchato'pi vināśa ityato heyādhikārād	te eva malAH na tu yezAm puzpa-Adi-vat-anicCataH-api vinASaH iti-atas heya-aDikArAt-
   ajñānādaya eva malā iti // GkT_1.8:37	ajQAna-AdayaH eva malAH iti // GkT_1.8:37
   * heyādhikārikā iti vā pāṭhastatrāpyayam arthaḥ // GkT_1.8:38	* heya-ADikArikAH iti vA pAWaH-tatra-api-ayam arTaH // GkT_1.8:38
   * heyatvena kṣapaṇīyatvenādhikāro yogyatāsti yeṣāṃ te heyādhikāriṇasta eva	* heya-tvena kzapaNIya-tvena-aDikAraH yogyatA-asti yezAm te heya-aDikAriNaH-te eva
   heyādhikārikāḥ // GkT_1.8:39	heya-ADikArikAH // GkT_1.8:39
   * svārthe kapratyayaḥ // GkT_1.8:40	* sva-arTe kapratyayaH // GkT_1.8:40
   * adhikāraśabdād vā ikaṅpratyaye kṛte heyapadena karmadhārayas	* aDikAra-SabdAt vA ikaFpratyaye kRte heya-padena karma-DAraya-H-
   tadayamartho yato heyādhikārikā evātra malā vivakṣitāḥ // GkT_1.8:41	tat-ayam-arTaH yatas heya-ADikArikAH eva-atra malAH vivakzitAH // GkT_1.8:41
   * tasmānna dharmajñānavairāgyādayo'pi malā iti // GkT_1.8:42	* tasmAt-na Darma-jQAna-vErAgya-AdayaH-api malAH iti // GkT_1.8:42
   * ityetatsarvamākhyātaṃ saṃkṣipyābdhisamaṃ mayā /	* iti-etat-sarvam-AKyAtam saMkzipya-abDi-samam mayA /
   * ācāryāṇāṃ prasādena jñānaṃ pañcārthalakṣaṇam // GkT_1.8:43	* AcAryANAm prasAdena jQAnam paQcArTa-lakzaNam // GkT_1.8:43
   * kiṃ jñātairbahubhiḥ śāstraiḥ svānuṣṭhānāpahāribhiḥ /	* kim jQAtEH-bahuBiH SAstrEH sva-anuzWAna-apahAriBiH /
   * idamevottamaṃ jñātvā yogābhyāsaratirbhavet // GkT_1.8:44	* idam-eva-uttamam jQAtvA yoga-aByAsa-ratiH-Bavet // GkT_1.8:44
   * kṛtakṛtyaṃ svamātmānaṃ śrutvaitanmanyate tu yaḥ /	* kRtakRtyam svam-AtmAnam SrutvA-etat-manyate tu yaH /
   * tasmai deyamidaṃ jñānaṃ nānyasmin siddhimicchatā // GkT_1.8:45	* tasmE deyam-idam jQAnam na-anyasmin sidDim-icCatA // GkT_1.8:45
   * yastu maryādāhīnebhyo dadyātkenāpi hetunā /	* yaH-tu maryAdA-hIneByaH dadyAt-kena-api hetunA /
   * sa guhyabhedato gacchetsaha śiṣyairadhogatim // GkT_1.8:46	* sa guhya-BedataH gacCet-saha SizyEH-aDogatim // GkT_1.8:46
   * namaḥ sadgurave tasmai sarvavidyāntagāmine /	* namaH sat-gurave tasmE sarva-vidyA-anta-gAmine /
   * sacchlokair aṣṭabhir yena pañcārthābdhiḥ pradarśitaḥ // GkT_1.8:47]	* sat-SlokEH azwaBiH yena paQcArTa-abDiH pradarSitaH // GkT_1.8:47]
