   Carmavastu	Carma-vastu
   bhagavān āha / na rajjupādukā dhārayitavyā / uktaṃ bhagavatā / na	BagavAn Aha / na rajju-pAdukA DArayitavyA / uktam BagavatA / na
   rajjupādukā dhārayitavyā iti bhikṣūṇāṃ vātaśoṇitaṃ bhavati / teṣāṃ	rajju-pAdukA DArayitavyAH iti BikzUNAm vAta-SoNitam Bavati / tezAm
   pariṣekeṇa carmapādukāḥ klidyante / etat prakaraṇaṃ bhikṣavo bhagavata	parizekeNa carma-pAdukAH klidyante / etat prakaraNam BikzavaH Bagavata
   ārocayanti / bhagavān āha / yasya vātaśoṇitaṃ bhavati tena rajjupādukā	Arocayanti / BagavAn Aha / yasya vAta-SoNitam Bavati tena rajjupAdukA
   dhārayitavyā /	DArayitavyA /
   yadā śroṇaḥ koṭīviṃśaḥ pravrajitas tadā pādataleṣu suvarṇavarṇāni romāṇi	yadA SroNaH kowIviMSaH pravrajitaH tadA pAda-talezu suvarNa-varNAni romANi
   caturaṃgulamātrāṇi ṣaḍvargikair dṛṣṭāni / te dṛṣṭvā kathayanti / eṣa tāvan	catur-aMgula-mAtrANi zaz-vargikEH dRzwAni / te dRzwvA kaTayanti / eza tAvan
   navanītapiṇḍaḥ ekāntaghaṭane śāsane kiṃ pravrajya kariṣyati / tena śrutam*	navanIta-piNxaH ekAnta-Gawane SAsane kim pravrajya karizyati / tena Srutam*
   / tasya śrutvābhimāno jātaḥ / sa āyuṣmata ānandasya sakāśam upasaṃkrāntaḥ	/ tasya SrutvA-aBimAnaH jAtaH / saH AyuzmataH Anandasya sakASam upasaMkrAntaH
   / upasaṃkramyāyuṣmantam ānandaṃ pṛcchati / katamo bhadantānanda	/ upasaMkramya-Ayuzmantam Anandam pRcCati / katamaH Badanta-Ananda
   ekāntaghaṭanaḥ samādhir ukto bhagavatā / caṃkramyādhigamaḥ āyuṣman śroṇa /	ekAnta-GawanaH samADiH uktaH BagavatA / caMkramya-aDigamaH Ayuzman SroNa /
   tena śītavanaṃ śmaśānaṃ gatvā caṃkrame 'dhiṣṭhitaḥ / tasya caṃkramataḥ	tena SItavanam SmaSAnam gatvA caMkrame aDizWitaH / tasya caMkramataH
   svarṇavarṇāni romāṇi caturaṃgulamātrāṇi śīrṇāni / tataḥ paścāc carma	svarNa-varNAni romANi catur-aMgula-mAtrANi SIrNAni / tatas paScAt carma
   paścāc choṇitam* / sa yāvad ekasmāc caṃkramaśiraso 'paraṃ gacchati tāvat	paScAt SoNitam* / sa yAvat ekasmAt caMkrama-SirasaH aparam gacCati tAvat-
   tasyaikasmin (MSV IV 203) caṃkramaśirasi kākāḥ śoṇitaṃ pibanti dvitīye 'pi	tasya-ekasmin (MSV IV 203) caMkrama-Sirasi kAkAH SoNitam pibanti dvitIye api
   / dharmatā khalu buddhā bhagavanto jīvantas tiṣṭhanto dhriyamāṇā	/ DarmatA Kalu budDAH BagavantaH jIvantaH tizWantaH DriyamANA
   yāpayantaḥ kālena kālaṃ nadīcārikāṃ caranti vistareṇa yāvad evāsmiṃs tv	yApayantaH kAlena kAlam nadI-cArikAm caranti vistareNa yAvat eva-asmin tu-
   arthe buddho bhagavān vihāracārikāṃ caran (90r = GBM 6.762) yenāyuṣmataḥ	arTe budDaH BagavAn vihAra-cArikAm caran (90H  GBm 6.762) yena-AyuzmataH
   śroṇasya koṭīviṃśasya vihāras tenopasaṃkrāntaḥ / adrākṣīd bhagavān	SroNasya kowIviMSasya vihAraH tena-upasaMkrAntaH / adrAkzIt BagavAn
   śroṇasya koṭīviṃśasya caṃkramam* / dṛṣṭvā ca punar jānakāḥ pṛcchakā buddhā	SroNasya kowIviMSasya caMkramam* / dRzwvA ca punar jAnakAH pRcCakA budDA
   bhagavanto jānantaḥ pṛcchanti / pṛcchati buddho bhagavān āyuṣmantam	BagavantaH jAnantaH pRcCanti / pRcCati budDaH BagavAn Ayuzmantam
   ānandam ekāntaghaṭakasya bhikṣoś caṃkramam* / śroṇasya bhadanta	Anandam ekAnta-Gawakasya BikzoH caMkramam* / SroNasya Badanta
   koṭīviṃśasya / tasmād ānanda anujānāmi śroṇena koṭīviṃśena ekapalāśikā	kowIviMSasya / tasmAt Ananda anujAnAmi SroNena kowIviMSena ekapalASikA
   upānahā dhārayitavyā na dvipuṭī na tripuṭī / sā cet kṣayadharmiṇī bhavati	upAnahA DArayitavyA na dvi-puwI na tripuwI / sA ced kzaya-DarmiNI Bavati
   argalakaṃ datvā dhārayitavyā / athāyuṣmān ānando yenāyuṣmān	argalakam datvA DArayitavyA / aTa-AyuzmAn AnandaH yena-AyuzmAn
   śroṇakoṭīviṃśas tenopasaṃkrāntaḥ / upasaṃkramya śroṇaṃ koṭīviṃśam idam	SroNakowIviMSaH tena-upasaMkrAntaH / upasaMkramya SroNam kowIviMSam idam
   avocat* / yat khalv āyuṣman śroṇa jānīthāḥ śāstrā te ekapalāśikopānahā	avocat* / yat Kalu Ayuzman SroNa jAnITAH SAstrA te eka-palASika-upAna-hA
   anujñātā na dvipuṭīti vistaraḥ / kiṃ bhadantānanda sarvasaṃghasya āhosvin	anujQAtA na dvi-puwI-iti vistaraH / kim Badanta-Ananda sarva-saMGasya Ahosvin
   mamaivaikasya / tavaivaikasya / akopyā bhadantānanda śāstur ājñā / saced	mama-eva-ekasya / tava-eva-ekasya / akopyAH Badanta-Ananda SAstuH AjQA / saced-
   ahaṃ dhārayiṣyāmi syān me atonidānaṃ sabrahmacāriṇo vaktāraḥ / prabhūtaṃ	aham DArayizyAmi syAt me atonidAnam sabrahmacAriNaH vaktAraH / praBUtam
   tatra śroṇakoṭīviṃśena pravrajyāvāptaṃ yaś campām asādhāraṇāṃ	tatra SroNakowIviMSena pravrajyA-avAptam yaH campAm asADAraNAm
   saptahastikāṃ cānīkam apahāya pravrajitaḥ sa idānīm upānahakalpamātre	sapta-hastikAm ca-anIkam apahAya pravrajitaH saH idAnIm upAnaha-kalpa-mAtre
   saktaḥ / api tu yadi bhagavān (MSV IV 204) samāgamya	saktaH / api tu yadi BagavAn (MSV IV 204) samAgamya
   sarvasaṃghasyānujānīyād evam ahaṃ dhārayeyam* / etat prakaraṇam āyuṣmān	sarva-saMGasya-anujAnIyAt evam aham DArayeyam* / etat prakaraNam AyuzmAn
   ānando bhagavato vistareṇārocayati / bhagavān āha / tasmād anujānāmi	AnandaH BagavataH vistareNa-Arocayati / BagavAn Aha / tasmAt anujAnAmi
   śroṇaṃ koṭīviṃśam āgamya sarvasaṃghenaikapalāśikopānahā dhārayitavyā na	SroNam kowIviMSam Agamya sarva-saMGena-eka-palASika-upAna-hA DArayitavyA na
   dvipuṭīti vistaraḥ /	dvi-puwI-iti vistaraH /
   anyatamo mahallo bhagavataḥ purastāt sopānatkaś caṃkramati / atha	anyatamaH mahallaH BagavataH purastAt sa-upAnatkaH caMkramati / aTa
   bhagavāṃs taṃ bhikṣum idam avocat* / apehi bhikṣo mā me puratas tiṣṭha /	BagavAn tam Bikzum idam avocat* / apehi BikzaH mA me puratas tizWa /
   tatra bhagavān bhikṣūn āmantrayate sma / yas tāvad asau bhikṣavaḥ śāstā	tatra BagavAn BikzUn Amantrayate sma / yaH tAvat asO BikzavaH SAstA
   sarvalokāmiṣasaṃmṛṣṭo bhavati tasya tāvac chāstuḥ śrāvakā naiva laghu	sarva-loka-Amiza-saMmRzwaH Bavati tasya tAvat SAstuH SrAvakAH na-eva laGu
   laghv eva pātakavratam āpadyante / kutaḥ punaḥ sarvalokāmiṣavisaṃyukto	laGu eva pAtaka-vratam Apadyante / kutas punar sarva-loka-Amiza-visaMyuktaH-
   viharāmi / bhagavān saṃlakṣayati / yaḥ kaścid ādīnavo bhikṣavaḥ upānahau	viharAmi / BagavAn saMlakzayati / yaH kaScid AdInavaH BikzavaH upAnahO
   dhārayanti tasmān na bhikṣuṇā upānahā dhārayitavyā iti /	DArayanti tasmAt na BikzuNA upAnahAH DArayitavyAH iti /
   anyatamaś śobhitaḥ pravrajita iti / tasyodakasthānakaṃ bhagnam* / sa	anyatamaH SoBitaH pravrajitaH iti / tasya-udaka-sTAnakam Bagnam* / sa
   pādadhāvanikāyāṃ pādau prakṣālya pānīyenāsyaṃ {MS: pānīyasyā[p]yaṃ}	pAda-DAvanikAyAm pAdO prakzAlya pAnIyena-Asyam {MS: pAnIyasya-a[p]yaM}
   pūrayitvā mayūragatyā saṃprasthitaḥ / sa ṣaḍvargikair dṛṣṭaḥ / te	pUrayitvA mayUra-gatyA saMprasTitaH / sa zaxvargikEH dRzwaH / te
   kathayanti / āyuṣmanto vinā vāditreṇa bhikṣur nṛtyati / vāditraṃ	kaTayanti / AyuzmantaH vinA vAditreNa BikzuH nRtyati / vAditram
   vādayateti / te mukhavāditraṃ vādayitum ārabdhāḥ / te bhikṣubhir	vAdayata-iti / te muKa-vAditram vAdayitum ArabDAH / te BikzuBiH-
   bhartsyante / kim auddhatyaṃ kuruta / te kathayanti / kim atrauddhatyam* /	Bartsyante / kim OdDatyam kuruta / te kaTayanti / kim atra-OdDatyam* /
   na paśyata yūyaṃ bhikṣuṃ vinā vāditreṇa nṛtyantam* / etat prakaraṇaṃ	na paSyata yUyam Bikzum vinA vAditreNa nRtyantam* / etat prakaraNam
   bhikṣavo bhagavata ārocayanti / jānakā pṛcchakā buddhā bhagavanto jānantaḥ	BikzavaH BagavataH Arocayanti / jAnakAH pRcCakAH budDAH BagavantaH jAnantaH
   pṛcchanti / pṛcchati buddho bhagavāṃs taṃ bhikṣuṃ kim abhiprāyeṇa bhikṣo	pRcCanti / pRcCati budDaH BagavAn tam Bikzum kim aBiprAyeNa Bikzo
   evaṃ kṛtam* / śayanāsanaguptyarthaṃ bhadanta / anāpattir asya bhikṣoḥ (MSV	evam kRtam* / Sayana-Asana-gupti-arTam Badanta / anApattiH asya BikzoH (MSV
   IV 205) śayanāsanaguptyartham eva kurvataḥ / tasmād anujānāmi	IV 205) Sayana-Asana-gupti-arTam eva kurvataH / tasmAt anujAnAmi
   śayanāsaguptyartham ekapalāśikopānahā dhārayitavyā / na dvipuṭī na tripuṭī	Sayana-asa-gupti-arTam eka-palASika-upAna-hA DArayitavyA / na dvi-puwI na tripuwI
   / sā cet kṣayadharmiṇī bhavaty argalakaṃ datvā dhārayitavyā /	/ sA ced kzaya-DarmiNI Bavati argalakam datvA DArayitavyA /
   uktaṃ bhagavatā / ekapalāśikopānahā dhārayitavyā iti / anyatamasya	uktam BagavatA / eka-palASika-upAna-hA DArayitavyAH iti / anyatamasya
   piṇḍapātikasya (90v = GBM 6.763) gṛhapatir abhiprasannaḥ / so 'nupānahakaḥ	piNxapAtikasya (90u  GBm 6.763) gRhapatiH aBiprasannaH / saH anupAnahakaH
   śrāvastīṃ piṇḍāya praviṣṭaḥ / sa tena gṛhapatinā anupānahako dṛṣṭaḥ /	SrAvastIm piNxAya pravizwaH / sa tena gRhapatinA anupAnahakaH dRzwaH /
   dṛṣṭvā ca kathayati / āryasya nāsty upānahaḥ / āgaccha carmakārasakāśaṃ	dRzwvA ca kaTayati / Aryasya na-asti upAnahaH / AgacCa carmakAra-sakASam
   gacchāmaḥ / upānahau dāpayiṣyāmi / sa carmakārasakāśaṃ gataḥ / tena	gacCAmaH / upAnahO dApayizyAmi / sa carmakAra-sakASam gataH / tena
   carmakāra uktaḥ / āryasyopānahāv anuprayacchety uktvā prakrāntaḥ / tena	carmakAraH uktaH / Aryasya-upAnahO anuprayacCa-iti uktvA prakrAntaH / tena
   khalu samayena dvayor ekapalāśikā upānahāḥ kriyante bhikṣūṇām uparatakānāṃ	Kalu samayena dvayoH eka-palASikAH upAnahAH kriyante BikzUNAm uparatakAnAm
   ca / sa bhikṣur bhūyo bhūyaś carmakārasakāśam upasaṃkrāmati / sa	ca / sa BikzuH BUyas BUyas carmakAra-sakASam upasaMkrAmati / sa
   nānuprayacchati / apareṇa samayena bhūyas tena gṛhapatinā sa bhikṣur dṛṣṭo	na-anuprayacCati / apareNa samayena BUyas tena gRhapatinA sa BikzuH dRzwaH-
   'nupānatkaḥ / dṛṣṭvā kathayati / ārya na tena śilpinā upānahā dattā /	anupAnat-kaH / dRzwvA kaTayati / Arya na tena SilpinA upAnahA dattA /
   gṛhapate na śrutaṃ tvayā durlabhaḥ śilpī satyajalpaka iti / bhūyo bhūya	gRhapate na Srutam tvayA durlaBaH SilpI satyajalpakaH iti / BUyas BUya
   upasaṃkramāmi nānuprayacchati / sa kathayati / āryāgaccha gṛhaṃ gacchāmaḥ	upasaMkramAmi na-anuprayacCati / sa kaTayati / Arya-AgacCa gRham gacCAmaH
   / sa tena gṛhaṃ nītvā praṇītenāhāreṇa santarpya bahupuṭī upānahā dattā /	/ sa tena gRham nItvA praNItena-AhAreNa santarpya bahu-puwI upAnahA dattA /
   bhikṣuḥ kathayati / gṛhapate bhagavatā nānujñātam* / sa kathayati / ārya	BikzuH kaTayati / gRhapate BagavatA na-anujQAtam* / sa kaTayati / Arya
   gaccha ekapuṭīṃ kṛtvā dhārayiṣyasi / sa tāṃ gṛhītvā vihāraṃ gataḥ / sa tām	gacCa eka-puwIm kRtvA DArayizyasi / sa tAm gRhItvA vihAram gataH / sa tAm
   ādāya śastrakaṃ ca vṛkṣamūlaṃ gatvā utpāṭayitum ārabdhaḥ / (MSV IV 206)	AdAya Sastrakam ca vRkza-mUlam gatvA utpAwayitum ArabDaH / (MSV IV 206)
   bhagavāṃś ca taṃ pradeśam anuprāptaḥ / bhikṣo kiṃ kriyate / bhagavatā	BagavAn ca tam pradeSam anuprAptaH / BikzaH kim kriyate / BagavatA
   bahupuṭī upānahā pratikṣiptā / mama ca bahupuṭī eva saṃpannā ekapuṭīṃ	bahu-puwI upAnahA pratikziptA / mama ca bahu-puwI eva saMpannAH eka-puwIm
   kṛtvā dhārayiṣyāmi / atha bhagavata etad abhavat* / dāsyanti batāmī	kRtvA DArayizyAmi / aTa BagavataH etat aBavat* / dAsyanti bata-amI
   śrāddhā gṛhapatayaḥ śrāvakāṇāṃ bahupuṭī upānahā tasmād anujānāmi bahupuṭī	SrAdDA gRhapatayaH SrAvakANAm bahu-puwI upAnahA tasmAt anujAnAmi bahu-puwI
   upānahā āgārikavinirmuktena kṛtvā dhārayitavyā / āyuṣmān upālī yāvat	upAnahA AgArika-vinirmuktena kRtvA DArayitavyA / AyuzmAn upAlI yAvat-
   pṛcchati / yad uktaṃ bhadanta bhagavatā bahupuṭī upānahā	pRcCati / yat uktam Badanta BagavatA bahu-puwI upAnahA
   āgārikavinirmuktebhiḥ kṛtvā dhārayitavyā / kiyatā bhadanta	AgArika-vinirmukteBiH kRtvA DArayitavyA / kiyatA Badanta
   āgārikavinirmuktā vaktavyā / antata upālin sapta vāṣṭa vā padāni	AgArika-vinirmuktA vaktavyA / antatas upAlin sapta vA-azwa vA padAni
   parimuktāni bhavanti /	parimuktAni Bavanti /
   vaiśālyāṃ nidānam* / tena khalu samayena vaiśālyāṃ evaṃrūpā upānahāḥ	vESAlyAm nidAnam* / tena Kalu samayena vESAlyAm evaMrUpAH upAnahAH
   kriyante / tadyathā hinihināyamānāḥ kiṇikiṇāyamānā meṇḍaviṣāṇikā	kriyante / tat-yaTA hinihinAyamAnAH kiNikiNAyamAnA meNxavizANikA
   bodhipaṭapatrakāḥ citropacitrāḥ paṃcakārṣāpaṇamūlyāḥ / ṣaḍvargikair hi	boDi-pawa-patrakAH citra-upacitrAH paMca-kArza-ApaNa-mUlyAH / zaz-vargikEH hi
   dṛṣṭo bhavati upānahā yāvat pidhāya te pārṣṇipādāṅguṣṭhena pāṭayitvā	dRzwaH Bavati upAnahA yAvat piDAya te pArzNi-pAda-aFguzWena pAwayitvA
   grīvāyāṃ mellayitvā gṛhṇantīdaṃ te dānaṃ cittālaṅkārāya / sāmantakena	grIvAyAm mellayitvA gRhNanti-idam te dAnam citta-alaFkArAya / sAmantakena
   śabdo visṛtaḥ / āryakā upānahāny evaṃrūpāṇi haranti / ekāyuvatyā jāmātā	SabdaH visRtaH / AryakAH upAnahAni evaMrUpANi haranti / ekAyuvatyA jAmAtA
   āgataḥ / tasya tayopānahā (MSV IV 207) dattā / uktaś cāryā upānahāṃ	AgataH / tasya tayA-upAnahAH (MSV IV 207) dattA / uktaH ca-AryAH upAnahAm
   haranti / apramatto bhaviṣyasi yathā na harāpayasīti / piṇḍapātikaḥ	haranti / apramattaH Bavizyasi yaTA na hara-apayasi-iti / piNxapAtikaH
   piṇḍapātaṃ praviśati / tena dṛṣṭaḥ sa ekasmin gṛhe praviṣṭaḥ / asāv api	piNxa-pAtam praviSati / tena dRzwaH saH ekasmin gRhe pravizwaH / asO api
   tatraiva praviṣṭaḥ / sa tasmād gṛhān nirgatyāparaṃ gṛhaṃ praviṣṭaḥ /	tatra-eva pravizwaH / sa tasmAt gRhAt nirgatya-aparam gRham pravizwaH /
   piṇḍapātiko 'pi tatraiva praviṣṭaḥ / sa kathayati / ārya kasyārthe tvaṃ	piNxapAtikaH api tatra-eva pravizwaH / sa kaTayati / Arya kasya-arTe tvam
   māṃ pṛṣṭhataḥ pṛṣṭhataḥ samanubaddhaḥ / kim icchasy upānahām apahartum* /	mAm pRzWatas pRzWatas samanubadDaH / kim icCasi upAnahAm apahartum* /
   bhadramukha nāhaṃ tavopānahām apaharāmi tv ahaṃ piṇḍapātaṃ praviśāmi / sa	Badra-muKa na-aham tava-upAnahAm apaharAmi tu aham piNxa-pAtam praviSAmi / sa
   kathayati / ārya hara vā mā vāpi tu yuṣmākaṃ sāmantakena śabdo visṛtaḥ -	kaTayati / Arya hara vA mA vA-api tu yuzmAkam sAmantakena SabdaH visRtaH -
   āryakā upanāhā harantīti / etat prakaraṇaṃ bhikṣavo bhagavata ārocayanti /	AryakAH upanAhAH haranti-iti / etat prakaraNam BikzavaH BagavataH Arocayanti /
   atha bhagavata etad abhavat* / yaḥ kaścid ādīnava iha bhikṣava evaṃrūpām	aTa BagavataH etat aBavat* / yaH kaScid AdInavaH iha BikzavaH evaMrUpAm
   upānahāṃ dhārayanti hinihinikā iti vistaraḥ /	upAnahAm DArayanti hinihinikA iti vistaraH /
   (91r = GBM 6.764) tasmān na bhikṣuṇā evaṃrūpā upānahā dhārayitavyā	(91H  GBm 6.764) tasmAt na BikzuNA evaMrUpA upAnahA DArayitavyA
   hinihinikā iti vistaraḥ / bhikṣur imām evaṃrūpām upānahāṃ dhārayati	hinihinikA iti vistaraH / BikzuH imAm evaMrUpAm upAnahAm DArayati
   sātisāro bhavati /	sa-atisAraH Bavati /
   śrāvastyāṃ nidānam* / tena khalu samayena bhikṣūṇām upānahābhiḥ pādapṛṣṭhe	SrAvastyAm nidAnam* / tena Kalu samayena BikzUNAm upAnahABiH pAda-pRzWe
   vraṇāni kṛtāni / brāhmaṇagṛhapatibhir dṛṣṭāni / kena yuṣmākaṃ vraṇāni	vraNAni kRtAni / brAhmaNa-gRhapatiBiH dRzwAni / kena yuzmAkam vraNAni
   kṛtāni / upānahābhiḥ / kiṃ na yūyaṃ tiryagbaddhā dhārayata / bhagavatā	kRtAni / upAnahABiH / kim na yUyam tiryak-badDA DArayata / BagavatA
   nānujñātam* / etat prakaraṇaṃ bhikṣavo bhagavata ārocayanti / bhagavān āha	na-anujQAtam* / etat prakaraNam BikzavaH BagavataH Arocayanti / BagavAn Aha
   / tiryagbaddhikā dhārayitavyā / gṛdhrakūṭa eva parvato rājagṛhe / parvatam	/ tiryak-badDikA DArayitavyA / gRDrakUwaH eva parvataH rAjagRhe / parvatam
   abhiruhatāṃ pādāṅguṣṭheṣu kṣatāni (MSV IV 208) bhavanti / te	aBiruhatAm pAdAFguzWezu kzatAni (MSV IV 208) Bavanti / te
   brāhmaṇagṛhapatibhir dṛṣṭāḥ / kena yuṣmākaṃ pādāṅguṣṭheṣu kṣatāni /	brAhmaNa-gRhapatiBiH dRzwAH / kena yuzmAkam pAdAFguzWezu kzatAni /
   gṛdhrakūṭaparvatam abhiruhatām* / na yūyaṃ puṭāpuṭīṃ dhārayata /	gRDra-kUwa-parvatam aBiruhatAm* / na yUyam puwApuwIm DArayata /
   nānujñātaṃ bhagavatā / etat prakaraṇaṃ bhikṣavo bhagavata ārocayanti /	na-anujQAtam BagavatA / etat prakaraNam BikzavaH BagavataH Arocayanti /
   bhagavān āha / dhārayitavyā / tatraivāvataratāṃ pārṣṇyā kṣatā bhavanti /	BagavAn Aha / DArayitavyAH / tatra-eva-avatara-tAm pArzNyA kzatAH Bavanti /
   pūrvavad yāvad dhārayitavyā /	pUrvavat yAvat DArayitavyA /
   uddānam* /	uddAnam* /
   nālāmbujā muṇḍapūlā pūlā haimavateṣu ca /	nAla-ambujA muNxa-pUlA pUlAH hEmavatezu ca /
   ṛkṣacarmam anujñātam ārā śastrī ca baddhikā //	Rkza-carmam anujQAtam ArA SastrI ca badDikA //
   śravastyāṃ nidānam* / bhikṣūṇāṃ navena tṛṇena pādāḥ śūlitāḥ /	SravastyAm nidAnam* / BikzUNAm navena tRNena pAdAH SUlitAH /
   brāhmaṇagṛhapatayaḥ kathayanti / kena yuṣmākaṃ pādāḥ śūlitāḥ / navena	brAhmaNa-gRhapatayaH kaTayanti / kena yuzmAkam pAdAH SUlitAH / navena
   tṛṇena / yūyaṃ nālāmbujaṃ kiṃ na dhārayata / nānujñātaṃ bhagavatā / etat	tRNena / yUyam nAla-ambujam kim na DArayata / na-anujQAtam BagavatA / etat-
   prakaraṇaṃ bhikṣavo bhagavata ārocayanti / bhagavān āha / nālāmbujā (MSV	prakaraNam BikzavaH BagavataH Arocayanti / BagavAn Aha / nAla-ambujAH (MSV
   IV 209) dhārayitavyāḥ / evaṃ vṛddhe tṛṇe muṇḍapūlā dhārayitavyāḥ / pūlā	IV 209) DArayitavyAH / evam vRdDe tRNe muNxa-pUlAH DArayitavyAH / pUlA
   haimavateṣu ca iti /	hEmavatezu ca iti /
   yadā virūḍhakena mohapuruṣeṇa kāpilavāstavaḥ śākyāḥ praghātitāḥ tatra	yadA virUXakena moha-puruzeNa kApilavAstavaH SAkyAH praGAtitAH tatra
   kecid uttarāpathaṃ gatāḥ kecid yāvan naivālaṃ praviṣṭāḥ / śrāvastīyā	kecid uttarApaTam gatAH kecid yAvat na-eva-alam pravizwAH / SrAvastIyA
   vaṇijo naivālaṃ gatāḥ / tair vaṇijaḥ pṛṣṭāḥ / āryānando jñātivatsalo	vaNijaH na-eva-alam gatAH / tEH vaNijaH pRzwAH / Arya-AnandaH jQAti-vatsalaH-
   nāsmākam avalokayatīti / yāvat tais tasyārocitam* / sa naivālaṃ praviṣṭaḥ	na-asmAkam avalokayati-iti / yAvat tEH tasya-Arocitam* / sa na-eva-alam pravizwaH
   / tasya himena pādau sphuṭitau / sa bhikṣubhir ucyate / tava pādau	/ tasya himena pAdO sPuwitO / sa BikzuBiH ucyate / tava pAdO
   kimartham idānīm īdṛśau / himena / te tava jñātayaḥ kiṃ kurvanti / pūlāṃ	kimarTam idAnIm IdRSO / himena / te tava jQAtayaH kim kurvanti / pUlAm
   dhārayanti / tvaṃ kimarthaṃ na dhārayasi / bhagavatā nānujñātam* / etat	DArayanti / tvam kim-arTam na DArayasi / BagavatA na-anujQAtam* / etat-
   prakaraṇaṃ bhikṣavo bhagavata ārocayanti / bhagavān āha / haimavateṣu	prakaraNam BikzavaH BagavataH Arocayanti / BagavAn Aha / hEmavatezu
   janapadeṣu pūlā dhārayitavyāḥ /	janapadezu pUlAH DArayitavyAH /
   āyuṣmān upālī buddhaṃ bhagavantaṃ pṛcchati / yad uktaṃ bhadanta bhagavatā	AyuzmAn upAlI budDam Bagavantam pRcCati / yat uktam Badanta BagavatA
   haimavateṣu janapadeṣu pūlā dhārayitavyā iti / katame haimavatā janapadāḥ	hEmavatezu janapadezu pUlAH DArayitavyAH iti / katame hEmavatAH janapadAH
   / yatrodakasthālakaṃ śyāyati /	/ yatra-udaka-sTAlakam SyAyati /
   bhikṣor lubdhako 'bhiprasannaḥ / tasya ṛkṣacarma saṃpannam* / sa bhikṣor	BikzoH lubDakaH aBiprasannaH / tasya Rkza-carma saMpannam* / sa BikzoH-
   anuprayacchati / sa na gṛhṇāti / bhagavāṃś ca taṃ pradeśam anuprāptaḥ /	anuprayacCati / sa na gRhNAti / BagavAn ca tam pradeSam anuprAptaH /
   jānakā pṛcchakā buddhā bhagavantaḥ / pṛcchati buddho bhagavān āyuṣmantam	jAnakA pRcCakAH budDAH BagavantaH / pRcCati budDaH BagavAn Ayuzmantam
   ānandam* / kim eṣa ānanda bhikṣor lubdhakaḥ pṛṣṭhataḥ (MSV IV 210)	Anandam* / kim ezaH Ananda BikzoH lubDakaH pRzWatas (MSV IV 210)
   pṛṣṭhataḥ samanubaddhaḥ / etat prakaraṇaṃ bhikṣavo bhagavata ārocayanti /	pRzWatas samanubadDaH / etat prakaraNam BikzavaH BagavataH Arocayanti /
   bhagavān āha / durlabhā ānanda lubdhakasya śraddhā / yadi śatasahasram api	BagavAn Aha / durlaBAH Ananda lubDakasya SradDA / yadi Sata-sahasram api
   labhati sarvaṃ praghātayati / tasmād yadi lubdhako rikṣacarmānuprayacchati	laBati sarvam praGAtayati / tasmAt yadi lubDakaH rikza-carma-anuprayacCati
   (91v = GBM 6.765) grahītavyam* / gṛhītvā gandhakuṭidvāre prajñapayitavyaṃ	(91u  GBm 6.765) grahItavyam* / gRhItvA ganDa-kuwi-dvAre prajQapayitavyam
   pādānte vā / sarvaṃ rikṣacarma cākṣuṣyaṃ svasti /	pAda-ante vA / sarvam rikza-carma cAkzuzyam svasti /
   bhikṣor upānahāś chinnāḥ / sa carmakārasakāśaṃ gacchati / yāvad	BikzoH upAnahAH CinnAH / sa carmakAra-sakASam gacCati / yAvat-
   dīrghakālaṃ gatvā svabuddher vārayiṣyatīti / so 'nyatamena bhikṣuṇā dṛṣṭaḥ	dIrGa-kAlam gatvA sva-budDeH vArayizyati-iti / saH anyatamena BikzuNA dRzwaH
   / yāvad asti mama kauśalaṃ yadi bhagavān anujānīyād granthayeyam* / etat	/ yAvat asti mama kOSalam yadi BagavAn anujAnIyAt granTayeyam* / etat-
   prakaraṇaṃ bhikṣavo bhagavata ārocayanti / bhagavān āha / yasya kauśalaṃ	prakaraNam BikzavaH BagavataH Arocayanti / BagavAn Aha / yasya kOSalam
   vidyate tena pratigupte pradeśe sthitvā granthayitavyam* / sa kathayati /	vidyate tena pratigupte pradeSe sTitvA granTayitavyam* / sa kaTayati /
   bhagavatānujñātaḥ / granthaye / tatrārayā śastrakeṇa baddhikayā ca	BagavatA-anujQAtaH / granTaye / tatra-ArayA SastrakeNa badDikayA ca
   prayojanam* / etat prakaraṇaṃ bhikṣavo bhagavata ārocayanti / bhagavān āha	prayojanam* / etat prakaraNam BikzavaH BagavataH Arocayanti / BagavAn Aha
   / tasmād anujānāmi bhikṣuṇā ārā śastrakaṃ baddhikā ca dhārayitavyāḥ /	/ tasmAt anujAnAmi BikzuNA ArA Sastrakam badDikA ca DArayitavyAH /
   carmavastu samāptam* /	carmavastu samAptam* /
