   Mahāmāyūrīvidyārājñī	MahAmAyUrI-vidyA-rAjQI
   ca, daha (Mmvr Taku 24) daha daha daha daha daha daha daha daha daha,	ca, daha (MmvH Taku 24) daha daha daha daha daha daha daha daha daha,
   ahitaiṣiṇo mama sarvasatvānāṃ ca, paca paca paca paca paca paca paca paca	ahita-eziNaH mama sarva-satvAnAm ca, paca paca paca paca paca paca paca paca
   paca paca, pratyarthikāṃ mama sarvasatvānāṃ ca, dhu dhu dhu dhu dhu dhu	paca paca, pratyarTikAm mama sarva-satvAnAm ca, Du Du Du Du Du Du
   dhu dhu dhu dhu, nāśaya ahitaiṣiṇo mama, hu hu hu hu hu hu hu hu hu hu,	Du Du Du Du, nASaya ahita-eziNaH mama, hu hu hu hu hu hu hu hu hu hu,
   jiṭi jiṭi jiṭi jiṭi jiṭi jiṭi jiṭi jiṭi jiṭi jiṭi, nāśaya śatrūn mama	jiwi jiwi jiwi jiwi jiwi jiwi jiwi jiwi jiwi jiwi, nASaya SatrUn mama
   sarvasatvānāṃ ca, culu culu culu culu culu culu culu culu culu culu, hili	sarva-satvAnAm ca, culu culu culu culu culu culu culu culu culu culu, hili
   hili hili hili hili hili hili hili hili hili, mili mili mili mili mili	hili hili hili hili hili hili hili hili hili, mili mili mili mili mili
   mili mili mili mili mili, phuru phuru phuru phuru phuru phuru phuru phuru	mili mili mili mili mili, Puru Puru Puru Puru Puru Puru Puru Puru
   phuru phuru, ciṭi ciṭi ciṭi ciṭi ciṭi ciṭi ciṭi ciṭi ciṭi ciṭi, nāśaya	Puru Puru, ciwi ciwi ciwi ciwi ciwi ciwi ciwi ciwi ciwi ciwi, nASaya
   sarvaśatrūn mama sarvasatvānāṃ ca, hikke mikke cikke cukke śrībhadre	sarva-SatrUn mama sarva-satvAnAm ca, hikke mikke cikke cukke SrIBadre
   maṅgale samantabhadre hiraṇyagarbhe, sarvārthasādhani, amale vimale,	maFgale samantaBadre hiraNyagarBe, sarva-arTa-sADani, amale vimale,
   candre candraprabhe, sūrye sūryaprabhe sūryakānte, durvijñeye duṃbe duṃbe	candre candra-praBe, sUrye sUrya-praBe sUryakAnte, durvijQeye duMbe duMbe
   doduṃbe, priyaṃkare rakṣa māṃ sarvasatvāṃś ca, jīvatu varṣaśataṃ paśyatu	doduMbe, priyaMkare rakza mAm sarva-satvAn ca, jIvatu varza-Satam paSyatu
   śaradāśataṃ.	Sarad-A-SataM.
   udgṛhṇa tvam ānanda mahāyakṣasenāpatīnāṃ nāmāni, ye daśadiśo rakṣanti	udgRhNa tvam Ananda mahA-yakza-senApatInAm nAma-ani, ye daSa-diSaH rakzanti
   paripālayanti.	paripAlayanti.
   pūrvāyām ānanda diśāyāṃ catvāro mahāyakṣasenāpatayaḥ prativasanti, ye	pUrvAyAm Ananda diSAyAm catvAraH mahA-yakza-senApatayaH prativasanti, ye
   pūrvāṃ diśaṃ rakṣanti paripālayanti. tadyathā. dīrghaḥ sunetraḥ pūrṇakaḥ	pUrvAm diSam rakzanti paripAlayanti. tat-yaTA. dIrGaH sunetraH pUrNakaH
   kapilaś ceti. te 'py anayā mahāmāyūryā vidyārājñyā svāter bhikṣor mama	kapilaH ca-iti. te api anayA mahA-mAyUryA vidyA-rAjQyA svAteH BikzoH mama
   sarvasatvānāṃ ca rakṣāṃ kurvantu, guptiṃ paritrāṇaṃ parigrahaṃ paripālanaṃ	sarva-satvAnAm ca rakzAm kurvantu, guptim paritrANam parigraham paripAlanam
   śāntiṃ svastyayanaṃ daṇḍaparihāraṃ śastraparihāraṃ viṣadūṣaṇaṃ viṣanāśanaṃ	SAntim svastyayanam daNxa-parihAram Sastra-parihAram viza-dUzaNam viza-nASanam
   sīmābandhaṃ dharaṇībandhaṃ ca kurvantu, jīvatu varṣaśataṃ paśyatu	sImAbanDam DaraNI-banDam ca kurvantu, jIvatu varza-Satam paSyatu
   śaradāśataṃ.	Sarad-A-SataM.
   dakṣiṇāyām ānanda diśāyāṃ catvāro mahāyakṣasenāpatayaḥ prativasanti, ye	dakziNAyAm Ananda diSAyAm catvAraH mahA-yakza-senApatayaH prativasanti, ye
   dakṣiṇāṃ diśaṃ rakṣanti paripālayanti. tadyathā siṃha upasiṃhaḥ śaṃkhilo	dakziNAm diSam rakzanti paripAlayanti. tat-yaTA siMhaH upasiMhaH SaMKilaH-
   nandaś ceti. (Mmvr Taku 25) te 'py anayā mahāmāyūryā vidyārājñyā svāter	nandaH ceti. (MmvH Taku 25) te api anayA mahA-mAyUryA vidyA-rAjQyA svAteH-
   bhikṣor mama sarvasatvānāṃ ca rakṣāṃ kurvantu, guptiṃ paritrāṇaṃ	BikzoH mama sarva-satvAnAm ca rakzAm kurvantu, guptim paritrANam
   parigrahaṃ paripālanaṃ śāntiṃ svastyayanaṃ daṇḍaparihāraṃ śastraparihāraṃ	parigraham paripAlanam SAntim svastyayanam daNxa-parihAram Sastra-parihAram
   viṣadūṣaṇaṃ viṣanāśanaṃ sīmābandhaṃ dharaṇībandhaṃ ca kurvantu, jīvatu	viza-dUzaNam viza-nASanam sImAbanDam DaraNI-banDam ca kurvantu, jIvatu
   varṣaśataṃ paśyatu śaradāśataṃ.	varza-Satam paSyatu Sarad-A-SataM.
   paścimāyām ānanda diśāyāṃ catvāro mahāyakṣasenāpatayaḥ prativasanti, ye	paScimAyAm Ananda diSAyAm catvAraH mahA-yakza-senApatayaH prativasanti, ye
   paścimāṃ diśaṃ rakṣanti paripālayanti. tadyathā. harir harikeśaḥ prabhuḥ	paScimAm diSam rakzanti paripAlayanti. tat-yaTA. hariH harikeSaH praBuH
   piṅgalaś ceti. te 'py anayā mahāmāyūryā vidyārājñyā svāter bhikṣor mama	piFgalaH ca-iti. te api anayA mahA-mAyUryA vidyA-rAjQyA svAteH BikzoH mama
   sarvasatvānāṃ ca rakṣāṃ kurvantu, guptiṃ paritrāṇaṃ parigrahaṃ paripālanaṃ	sarva-satvAnAm ca rakzAm kurvantu, guptim paritrANam parigraham paripAlanam
   śāntiṃ svastyayanaṃ daṇḍaparihāraṃ śastraparihāraṃ viṣadūṣaṇaṃ viṣanāśanaṃ	SAntim svastyayanam daNxa-parihAram Sastra-parihAram viza-dUzaNam viza-nASanam
   sīmābandhaṃ dharaṇībandhaṃ ca kurvantu, jīvatu varṣaśataṃ paśyatu	sImAbanDam DaraNI-banDam ca kurvantu, jIvatu varza-Satam paSyatu
   śaradāśataṃ.	Sarad-A-SataM.
   uttarāyām ānanda diśāyāṃ catvāro mahāyakṣasenāpatayaḥ prativasanti, ye	uttarAyAm Ananda diSAyAm catvAraH mahA-yakza-senApatayaH prativasanti, ye
   uttarāṃ diśaṃ rakṣanti paripālayanti. tadyathā. dharaṇo dharananda	uttarAm diSam rakzanti paripAlayanti. tat-yaTA. DaraNaH Darananda
   udyogapālo viṣṇuś ceti. te 'py anayā mahāmāyūryā vidyārājñyā svāter	udyogapAlaH vizNuH ca-iti. te api anayA mahA-mAyUryA vidyA-rAjQyA svAteH-
   bhikṣor mama sarvasatvānāṃ ca rakṣāṃ kurvantu, guptiṃ paritrāṇaṃ	BikzoH mama sarva-satvAnAm ca rakzAm kurvantu, guptim paritrANam
   parigrahaṃ paripālanaṃ śāntiṃ svastyayanaṃ daṇḍaparihāraṃ śastraparihāraṃ	parigraham paripAlanam SAntim svastyayanam daNxa-parihAram Sastra-parihAram
   viṣadūṣaṇaṃ viṣanāśanaṃ sīmābandhaṃ dharaṇībandhaṃ ca kurvantu, jīvatu	viza-dUzaNam viza-nASanam sImAbanDam DaraNI-banDam ca kurvantu, jIvatu
   varṣaśataṃ paśyatu śaradāśataṃ.	varza-Satam paSyatu Sarad-A-SataM.
   catvāra ima ānanda mahāyakṣasenāpatayo ye vidiśāsu prativasanti, ye vidiśo	catvAraH ime Ananda mahA-yakza-senApatayaH ye vidiSAsu prativasanti, ye vidiSaH-
   rakṣanti paripālayanti. tadyathā. pañcikaḥ pañcālagaṇḍaḥ sātāgirir	rakzanti paripAlayanti. tat-yaTA. paQcikaH paQcAlagaNxaH sAtAgiriH-
   haimavataś ca. te 'py anayā mahāmāyūryā vidyārājñyā svāter bhikṣor mama	hEmavataH ca. te api anayA mahA-mAyUryA vidyA-rAjQyA svAteH BikzoH mama
   sarvasatvānāṃ ca rakṣāṃ kurvantu, guptiṃ paritrāṇaṃ parigrahaṃ paripālanaṃ	sarva-satvAnAm ca rakzAm kurvantu, guptim paritrANam parigraham paripAlanam
   śāntiṃ svastyayanaṃ daṇḍaparihāraṃ śastraparihāraṃ viṣadūṣaṇaṃ viṣanāśanaṃ	SAntim svastyayanam daNxa-parihAram Sastra-parihAram viza-dUzaNam viza-nASanam
   sīmābandhaṃ dharaṇībandhaṃ (Mmvr Taku 26) ca kurvantu, jīvatu varṣaśataṃ	sImAbanDam DaraNI-banDam (MmvH Taku 26) ca kurvantu, jIvatu varza-Satam
   paśyatu śaradāśataṃ.	paSyatu Sarad-A-SataM.
   catvāra ima ānanda mahāyakṣasenāpatayo ye dharaṇyāṃ prativasanti, ye	catvAraH ime Ananda mahA-yakza-senApatayaH ye DaraNyAm prativasanti, ye
   dharaṇīgatān satvān rakṣanti paripālayanti. tadyathā. bhūmaḥ subhūmaḥ kāla	DaraNI-gatAn satvAn rakzanti paripAlayanti. tat-yaTA. BUmaH su-BUmaH kAla
   upakālaś ceti. te 'py anayā mahāmāyūryā vidyārājñyā svāter bhikṣor mama	upakAlaH ca-iti. te api anayA mahA-mAyUryA vidyA-rAjQyA svAteH BikzoH mama
   sarvasatvānāṃ ca rakṣāṃ kurvantu, guptiṃ paritrāṇaṃ parigrahaṃ paripālanaṃ	sarva-satvAnAm ca rakzAm kurvantu, guptim paritrANam parigraham paripAlanam
   śāntiṃ svastyayanaṃ daṇḍaparihāraṃ śastraparihāraṃ viṣadūṣaṇaṃ viṣanāśanaṃ	SAntim svastyayanam daNxa-parihAram Sastra-parihAram viza-dUzaNam viza-nASanam
   sīmābandhaṃ dharaṇībandhaṃ ca kurvantu, jīvatu varṣaśataṃ paśyatu	sImAbanDam DaraNI-banDam ca kurvantu, jIvatu varza-Satam paSyatu
   śaradāśataṃ.	Sarad-A-SataM.
   catvāra ima ānanda mahāyakṣasenāpatayo ye 'ntarīkṣe prativasanti, ye	catvAraH ime Ananda mahA-yakza-senApatayaH ye antarIkze prativasanti, ye
   'ntarīkṣe gatān satvān rakṣanti paripālayanti. tadyathā sūryaḥ somo 'gnir	antarIkze gatAn satvAn rakzanti paripAlayanti. tat-yaTA sUryaH somaH agniH-
   vāyuś ceti. te 'py anayā mahāmāyūryā vidyārājñyā svāter bhikṣor mama	vAyuH ca-iti. te api anayA mahA-mAyUryA vidyA-rAjQyA svAteH BikzoH mama
   sarvasatvānāṃ ca rakṣāṃ kurvantu, guptiṃ paritrāṇaṃ parigrahaṃ paripālanaṃ	sarva-satvAnAm ca rakzAm kurvantu, guptim paritrANam parigraham paripAlanam
   śāntiṃ svastyayanaṃ daṇḍaparihāraṃ śastraparihāraṃ viṣadūṣaṇaṃ viṣanāśanaṃ	SAntim svastyayanam daNxa-parihAram Sastra-parihAram viza-dUzaNam viza-nASanam
   sīmābandhaṃ dharaṇībandhaṃ ca kurvantu, jīvatu varṣaśataṃ paśyatu	sImAbanDam DaraNI-banDam ca kurvantu, jIvatu varza-Satam paSyatu
   śaradāśataṃ.	Sarad-A-SataM.
   udgṛhṇa tvam ānanda vaiśravaṇasya mahārājasya dharmabhrātṝṇāṃ nāmāni, ye	udgRhNa tvam Ananda vESravaNasya mahA-rAjasya Darma-BrAtLNAm nAma-ani, ye
   satvān rakṣanti paripālayanti. ītīś copadravāṃś copasargāṃś ca	satvAn rakzanti paripAlayanti. ItIH ca-upadravAn ca-upasargAn ca
   sarvasatvānāṃ nāśayanti, lokānugrahārthaṃ lokam anuvicaranti. tadyathā.	sarva-satvAnAm nASayanti, loka-anugraha-arTam lokam anuvicaranti. tat-yaTA.
   indraḥ somaḥ sūryo varuṇaḥ prajāpatiḥ bharadvājaḥ īśanaś candanaḥ kāmaḥ	indraH somaH sUryaH varuNaH prajApatiH BaradvAjaH ISanaH candanaH kAmaH
   śreṣṭhaḥ kunikaṇṭho nikaṇṭhako vaḍir maṇir māṇicaraḥ praṇāda upapañcakaḥ	SrezWaH kunikaNWaH nikaNWakaH vaxiH maNiH mANicaraH praNAdaH upapaQcakaH
   sātāgirir haimavataḥ (Mmvr Taku 27) pūrṇakaḥ khadiraḥ kovido gopālayakṣa	sAtAgiriH hEmavataH (MmvH Taku 27) pUrNakaH KadiraH kovidaH gopAlayakza
   āṭavako nararājo jinarṣabhaḥ pāñcālagaṇḍaḥ sumukho dīrghayakṣaḥ	AwavakaH nara-rAjaH jina-RzaBaH pAQcAlagaNxaH sumuKaH dIrGa-yakzaH
   saparijanaś citrasenaś ca gandharvas triphālī ca trikhaṇṭhakaḥ	sa-parijanaH citrasenaH ca ganDarvaH triPAlI ca triKaNWakaH
   dīrghaśaktiś ca mātaliḥ.	dIrGa-SaktiH ca mAtaliH.
   ete yakṣāḥ mahāyakṣāḥ senāyāḥ parināyakā ṛddhimanto dyutimanto varṇavanto	ete yakzAH mahA-yakzAH senAyAH parinAyakAH RdDimantaH dyutimantaH varNavantaH-
   yaśasvinaḥ vaiśravaṇasya mahārājasya dharmabhrātaraḥ, yeṣāṃ vaiśravaṇo	yaSasvinaH vESravaNasya mahA-rAjasya Darma-BrAtaraH, yezAm vESravaNaH-
   mahārājā ārocayati, ayaṃ me yakṣo viheṭhayaty ayaṃ me na muñcati, ime	mahA-rAjA Arocayati, ayam me yakzaH viheWayati ayam me na muQcati, ime
   vaiśravaṇasya mahārājasya dharmabhrātaraḥ, te 'py anayā mahāmāyūryā	vESravaNasya mahA-rAjasya Darma-BrAtaraH, te api anayA mahA-mAyUryA
   vidyārājñyā svāter bhikṣor mama sarvasatvānāṃ ca rakṣāṃ kurvantu, guptiṃ	vidyA-rAjQyA svAteH BikzoH mama sarva-satvAnAm ca rakzAm kurvantu, guptim
   paritrāṇaṃ parigrahaṃ paripālanaṃ śāntiṃ svastyayanaṃ daṇḍaparihāraṃ	paritrANam parigraham paripAlanam SAntim svastyayanam daNxa-parihAram
   śastraparihāraṃ viṣadūṣaṇaṃ viṣanāśanaṃ sīmābandhaṃ dharaṇībandhaṃ ca	Sastra-parihAram viza-dUzaNam viza-nASanam sImAbanDam DaraNI-banDam ca
   kurvantu, jīvatu varṣaśataṃ paśyatu śaradāśataṃ. paritrāyantu	kurvantu, jIvatu varza-Satam paSyatu SaradA-SataM. paritrAyantu
   kalikalahavigrahavivādebhyaḥ, paritrāyantu manuṣyagrahātaḥ	kali-kalaha-vigraha-vivAdeByaH, paritrAyantu manuzya-grahAtaH
   amanuṣyagrahātaḥ, devagrahātaḥ, nāgagrahātaḥ, asuragrahātaḥ,	amanuzya-grahAtaH, deva-grahAtaH, nAga-grahAtaH, asura-grahAtaH,
   marutagrahātaḥ, garuḍagrahātaḥ, gandharvagrahātaḥ, kiṃnaragrahātaḥ,	maruta-grahAtaH, garuxa-grahAtaH, ganDarva-grahAtaH, kiMnara-grahAtaH,
   mahoragagrahātaḥ, yakṣagrahātaḥ, rākṣasagrahātaḥ, pretagrahātaḥ,	mahA-uraga-grahAtaH, yakza-grahAtaH, rAkzasa-grahAtaH, preta-grahAtaH,
   piśācagrahātaḥ, bhūtagrahātaḥ kumbhāṇḍagrahātaḥ, pūtanagrahātaḥ,	piSAca-grahAtaH, BUta-grahAtaH kumBANxa-grahAtaH, pUtana-grahAtaH,
   kaṭapūtanagrahātaḥ, skandagrahātaḥ, unmādagrahātaḥ, chāyāgrahātaḥ,	kawa-pUtana-grahAtaH, skanda-grahAtaH, unmAda-grahAtaH, CAyA-grahAtaH,
   apasmāragrahātaḥ, ostārakagrahātaḥ, nakṣatragrahātaḥ lepakagrahātaḥ, mama	apasmAra-grahAtaH, oH-tAraka-graha-ataH, nakzatra-grahAtaH lepaka-graha-ataH, mama
   rakṣāṃ kurvantu.	rakzAm kurvantu.
   ojohāriṇīto rudhirāhāriṇīto vasāhāriṇīto māṃsāhāriṇīto medāhāriṇīto	ojaH-hAriNItaH ruDira-AhAriNItaH vasA-hAriNItaH mAMsa-AhAriNItaH medA-AhAriNItaH-
   majjāhāriṇīto, (Mmvr Taku 28) jātāhāriṇīto jīvitāhāriṇīto balyāhāriṇīto	majja-AhAriNIto, (MmvH Taku 28) jAta-AhAriNI-itaH jIvita-AhAriNItaH balyAhAriNI-taH-
   mālyāhāriṇīto gandhāhāriṇītaḥ puṣpāhāriṇītaḥ phalāhāriṇītaḥ sasyāhāriṇīto	mAlya-AhAriNI-itaH ganDa-AhAriNItaH puzpa-AhAriNItaH Pala-AhAriNItaH sasya-AhAriNItaH-
   āhutyāhāriṇītaḥ pūyāhāriṇīto rudhirāhāriṇīto viṣṭāhāriṇīto mūtrāhāriṇītaḥ	Ahuti-AhAriNItaH pUyAhAriNItaH ruDira-AhAriNItaH vizwa-AhAriNI-itaH mUtra-AhAriNItaH
   kheṭāhāriṇītaḥ śleṣmāhāriṇītaḥ siṃhānakāhāriṇīto vāntāhāriṇīto	KewA-hAriNI-itaH Slezma-AhAriNItaH siMha-Anaka-AhAriNItaH vAnta-AhAriNI-taH-
   viriṃktāhāriṇīto aśucyāhāriṇītaḥ syandikāhāriṇītaḥ svāter bhikṣor mama	viriMktA-hAriNI-itaH aSucyAha-ariNItaH syandikA-hAriNItaH svAteH BikzoH mama
   sarvasatvānāṃ ca rakṣāṃ kurvantu, guptiṃ paritrāṇaṃ sarvasatvānāṃ ca	sarva-satvAnAm ca rakzAm kurvantu, guptim paritrANam sarva-satvAnAm ca
   parigrahaṃ paripālanaṃ śāntiṃ svastyayanaṃ daṇḍaparihāraṃ śastraparihāraṃ	parigraham paripAlanam SAntim svastyayanam daNxa-parihAram Sastra-parihAram
   viṣadūṣaṇaṃ viṣanāśanaṃ sīmābandhaṃ dharaṇībandhaṃ ca kurvantu,	viza-dUzaNam viza-nASanam sImAbanDam DaraNI-banDam ca kurvantu,
   kṛtyākarmaṇaḥ kākhordakiraṇād havanāto huvanāta unmādāto bhūtāto vetāḍātaś	kRtyA-karmaNaH kAKordakiraNAt havanAtaH huvanAtaH unmAdAtaH BUtAtaH vetAxAta-S
   ciccātaḥ preṣyakāto durbhuktāto duścharditāto duścchāyāto duṣprekṣito	cit-ca-atas prezyakAtaH durBukta-atas duSCardita-atas duScCAyAtaH duzprekzitaH-
   durlikhitāto durllaṃghitāto 'vardhūtāta uttrāsāta ostārakāto 'pasmārato	durliKita-atas durllaMGitA-ataH avarDUta-ataH uttrAsAtaH oH-tArakAtaH apasmArataH-
   vitrāsato rakṣantu māṃ sarvasatvānāṃ ca. rājabhayāc caurabhayād agnibhayād	vitrAsataH rakzantu mAm sarva-satvAnAm ca. rAja-BayAt cOra-BayAt agni-BayAt-
   udakabhayāt paracakrabhayād durbhikṣabhayād aśanibhayād akālamṛtyubhayād	udaka-BayAt para-cakra-BayAt durBikza-BayAt aSani-BayAt akAla-mRtyu-BayAt-
   dharaṇīkampabhayād dhanikabhayāc caṇḍamṛgabhayād amitrabhayād maraṇabhayāt	DaraNI-kampa-BayAt Danika-BayAt caNxa-mRga-BayAt amitra-BayAt maraNa-BayAt-
   sarvabhayād rakṣāṃ kurvantu svāter bhikṣor mama sarvasatvānāṃ ca	sarva-BayAt rakzAm kurvantu svAteH BikzoH mama sarva-satvAnAm ca
   dadrūkaṇḍūkuṣṭhabhagandarārṣakiṭimapistakapāmāvaisarpalohaliṃgabhayāt.	dadrU-kaNxU-kuzWa-Bagandara-Arza-kiwima-pistaka-pAma-avEsarpa-loha-liMga-BayAt.
   śirorttim apanayantu. ardhāvabhedakam arocakam akṣirogaṃ nāsārogaṃ	SiraH-rttim apanayantu. arDAvaBedakam arocakam akzi-rogam nAsA-rogam
   mukharogaṃ kaṇṭharogaṃ hṛdrogaṃ galagrahaṃ karṇaśūlaṃ dantaśūlaṃ	muKa-rogam kaNWa-rogam hRd-rogam galagraham karNa-SUlam danta-SUlam
   hṛdayaśūlaṃ pārśvaśūlaṃ pṛṣṭhaśūlaṃ udaraśūlaṃ gaṇḍaśūlaṃ vaṣṭiśūlaṃ	hRdaya-SUlam pArSva-SUlam pRzWa-SUlam udara-SUlam gaNxa-SUlam vazwi-SUlam
   guḍaśūlaṃ yoniśūlaṃ prajanaśūlaṃ ūruśūlaṃ jaṃghāśūlaṃ hastaśūlaṃ pādaśūlaṃ	guxa-SUlam yoni-SUlam prajana-SUlam Uru-SUlam jaMGA-SUlam hasta-SUlam pAda-SUlam
   aṅgapratyaṅgaśūlaṃ jvaram apanayantu. ekāhikaṃ dvāhikaṃ traitīyakaṃ (Mmvr	aFga-pratyaFga-SUlam jvaram apanayantu. ekAhikam dvAhikam trEtIyakam (Mmvr
   Taku 29) cāturthakaṃ saptāhikaṃ ardhamāsikaṃ māsikaṃ dvaimāsikaṃ	Taku 29) cAturTakam saptAhikam arDa-mAsikam mAsikam dvEmAsikam
   mauhūrtikaṃ nityajvaraṃ viṣamajvaraṃ bhūtajvaraṃ pretajvaraṃ mānuṣajvaraṃ	mOhUrtikam nitya-jvaram vizamajvaram BUta-jvaram preta-jvaram mAnuza-jvaram
   amānuṣajvaraṃ vātikaṃ paittikaṃ śleṣmikaṃ sānnipātikaṃ sarvajvaraṃ	amAnuza-jvaram vAtikam pEttikam Slezmikam sAnnipAtikam sarva-jvaram
   sarvavyādhiṃ sarvagrahaṃ sarvaviṣaṃ sarvapāpaṃ sarvabhayaṃ ca nāśayantu	sarva-vyADim sarva-graham sarva-vizam sarva-pApam sarva-Bayam ca nASayantu
   svāter bhikṣor mama sarvasatvānāṃ ca svāhā.	svAteH BikzoH mama sarva-satvAnAm ca svAhA.
   dvādaśemā ānanda mahāpiśācyo yābhir bodhisatvo mātuḥ kukṣigato rakṣito	dvAdaSa-imAH Ananda mahA-piSAcyaH yABiH boDisatvaH mAtuH kukzi-gataH rakzitaH-
   jāyamāno rakṣito jāto 'pi rakṣitaḥ, tāḥ punaḥ katamā dvādaśa. tadyathā.	jAyamAnaH rakzitaH jAtaH api rakzitaH, tAH punar katamA dvAdaSa. tat-yaTA.
   lambā pralambā vilambā olambā hārītī harikeśī piṅgalā kālī karālī	lambA pralambA vilambA olambA hArItI harikeSI piFgalA kAlI karAlI
   kambugrīvā kākī kalaśodarī ceti. etā dvādaśa mahāpiśācyaḥ ṛddhimatyo	kambugrIvA kAkI kalaSodarI ceti. etAH dvAdaSa mahA-piSAcyaH RdDimatyaH-
   dyutimatyo varṇavatyo yaśasvinaḥ, devāsuram api saṃgrāmam anubhavanti	dyutimatyaH varNavatyaH yaSasvinaH, deva-asuram api saMgrAmam anuBavanti
   maharddhikāḥ. tā 'py anayā mahāmāyūryā vidyārājñyā svāter bhikṣor mama	mahardDikAH. tAH api anayA mahA-mAyUryA vidyA-rAjQyA svAteH BikzoH mama
   sarvasatvānāṃ ca rakṣāṃ kurvantu, guptiṃ paritrāṇaṃ parigrahaṃ paripālanaṃ	sarva-satvAnAm ca rakzAm kurvantu, guptim paritrANam parigraham paripAlanam
   śāntiṃ svastyayanaṃ daṇḍaparihāraṃ śastraparihāraṃ viṣadūṣaṇaṃ viṣanāśanaṃ	SAntim svastyayanam daNxa-parihAram Sastra-parihAram viza-dUzaNam viza-nASanam
   sīmābandhaṃ dharaṇībandhaṃ ca kurvantu, jīvatu varṣaśataṃ paśyatu	sImAbanDam DaraNI-banDam ca kurvantu, jIvatu varza-Satam paSyatu
   śaradāśataṃ. imāni cātra mantrapadāni bhavanti. tadyathā.	SaradA-Satan. imAni ca-atra mantra-padAni Bavanti. tat-yaTA.
   hare khare khure male vimale mūle, madenti matte maṇḍitike. hulu hulu hulu	hare Kare Kure male vimale mUle, madenti matte maNxitike. hulu hulu hulu
   hulu hulu hulu hulu hulu hulu hulu, lu lu lu lu, meḍi meḍi meḍi meḍi,	hulu hulu hulu hulu hulu hulu hulu, lu lu lu lu, mexi mexi mexi mexi,
   siddhi siddhi siddhi siddhi, svāter bhikṣor mama sarvasatvānāṃ ca svāhā.	sidDi sidDi sidDi sidDi, svAteH BikzoH mama sarva-satvAnAm ca svAhA.
   svasti svasti svasti svasti. svāter bhikṣor mama sarvasatvānāṃ ca svāhā.	svasti svasti svasti svasti. svAteH BikzoH mama sarva-satvAnAm ca svAhA.
   aṣṭa imā ānanda mahāpiśācyo māṃsaśoṇitabhojikā manuṣyāṇāṃ viheṭhikā yābhir	azwaH imAH Ananda mahA-piSAcyaH mAMsa-SoNita-BojikA manuzyANAm viheWikA yABiH-
   (Mmvr Taku 30) bodhisatvo mātuḥ kukṣigato rakṣito jāyamāno rakṣito jāto	(MmvH Taku 30) boDisatvaH mAtuH kukzi-gataH rakzitaH jAyamAnaH rakzitaH jAtaH-
   'pi rakṣitaḥ. tāḥ punaḥ katamāḥ. tadyathā.	api rakzitaH. tAH punar katamAH. tat-yaTA.
   madā madanā madotkaṭā upamadā pretī ojohāriṇī asanī grasanī ceti. etā aṣṭa	madA madanA madotkawA upamadA pretI ojohAriNI asanI grasanI ceti. etAH azwa
   mahāpiśācyaḥ ṛddhimatyo dyutimatyo varṇavatyo yaśasvinaḥ, devāsuram api	mahA-piSAcyaH RdDimatyaH dyutimatyaH varNavatyaH yaSasvinaH, deva-asuram api
   saṃgrāmam anubhavanti maharddhikāḥ. tā 'py anayā mahāmāyūryā vidyārājñyā	saMgrAmam anuBavanti mahardDikAH. tAH api anayA mahA-mAyUryA vidyA-rAjQyA
   svāter bhikṣor mama sarvasatvānāṃ ca rakṣāṃ kurvantu, guptiṃ paritrāṇaṃ	svAteH BikzoH mama sarva-satvAnAm ca rakzAm kurvantu, guptim paritrANam
   parigrahaṃ paripālanaṃ śāntiṃ svastyayanaṃ daṇḍaparihāraṃ śastraparihāraṃ	parigraham paripAlanam SAntim svastyayanam daNxa-parihAram Sastra-parihAram
   viṣadūṣaṇaṃ viṣanāśanaṃ sīmābandhaṃ dharaṇībandhaṃ ca kurvantu, jīvatu	viza-dUzaNam viza-nASanam sImAbanDam DaraNI-banDam ca kurvantu, jIvatu
   varṣaśataṃ paśyatu śaradāśataṃ. tadyathā.	varza-Satam paSyatu SaradA-SataM. tat-yaTA.
   hare khare khure male mile mūle, madenti matte maṇḍitike. hulu hulu hulu	hare Kare Kure male mile mUle, madenti matte maNxitike. hulu hulu hulu
   hulu hulu hulu hulu hulu hulu hulu, lu lu lu lu, meḍi meḍi meḍi meḍi,	hulu hulu hulu hulu hulu hulu hulu, lu lu lu lu, mexi mexi mexi mexi,
   siddhi siddhi siddhi siddhi, svasti svasti svasti svasti, svāter bhikṣor	sidDi sidDi sidDi sidDi, svasti svasti svasti svasti, svAteH BikzoH-
   mama sarvasatvānāṃ ca svāhā. svasti svasti svasti svasti. svāter bhikṣor	mama sarva-satvAnAm ca svAhA. svasti svasti svasti svasti. svAteH BikzoH-
