   Mahāpratisarā vidyārājñī	MahA-pratisarA vidyA-rAjQI
   cāsya kāye mahāvyādhayo bhaviṣyanti / nāgnir na viṣaṃ na śastraṃ na garaṃ	ca-asya kAye mahA-vyADayaH Bavizyanti / na-agniH na vizam na Sastram na garam
   (Mp_32) na kākhordā na kiraṇā na mantrakarmaṇaṃ na cūrṇayogo nāṅgaśūlaṃ na	(Mp_32) na kAKa-UH-dA na kiraNAH na mantra-karmaNam na cUrNa-yogaH na-aFga-SUlam na
   śirovarti ekāhikaṃ dvaitīyakaṃ cāturthakaṃ saptāhikā vā jvālā na	Sirovarti ekAhikam dvEtIyakam cAturTakam saptAhikAH vA jvAlA na
   kramiṣyanti / sa smṛta eva sukhaṃ svastinā svapiti / smṛta eva vibudhyate	kramizyanti / sa smRtaH eva suKam svastinA svapiti / smRtaH eva vibuDyate
   / mahāparinirvāṇalābhī bhaviṣyati / sakṛtsahadharmeṇa mahad aiśvaryaṃ	/ mahA-parinirvANa-lABI Bavizyati / sakRt-sahaDarmeNa mahat ESvaryam
   cādhigacchanti / sa yatrayatropapadyate tatratatra jātau jātau jātismaro	ca-aDigacCanti / sa yatra-yatra-upapadyate tatra-tatra jAtO jAtO jAti-smaraH-
   bhaviṣyati / sarvasatvānāṃ ca priyo bhaviṣyati / vandanīyaś ca pudgalo	Bavizyati / sarva-satvAnAm ca priyaH Bavizyati / vandanIyaH ca pudgalaH-
   bhaviṣyati / sarvanarakagatitiryagyonigatigaṇapretopapattibhyaś ca	Bavizyati / sarva-naraka-gati-tiryagyoni-gati-gaNa-preta-upapattiByaH ca
   parimukto bhaviṣyati / yathā cārkamaṇḍalaṃ sarvasatvānāṃ tathā	parimuktaH Bavizyati / yaTA ca-arka-maNxalam sarva-satvAnAm taTA
   raśmyāvabhāsakaro bhaviṣyati / yathā candramaṇḍalam amṛtena prabhavatā	raSmyA-avaBAsa-karaH Bavizyati / yaTA candra-maNxalam amRtena praBavatA
   sarvasatvānāṃ kāyaṃ prahradayati tathā dharmāmṛtena sarvasatvānāṃ	sarva-satvAnAm kAyam prahradayati taTA Darma-amRtena sarva-satvAnAm
   cittasantānāni prahradayiṣyati /	citta-santAnAni prahradayizyati /
   sarvaduṣṭayakṣarākṣasabhūtapretapiśāconmādāpasmāraḍākinīgrahavighnavināśakādayaḥ	sarva-duzwa-yakza-rAkzasa-BUta-preta-piSAca-unmAda-apasmAra-xAkinI-graha-viGna-vinASaka-AdayaH
   sarve 'sya mahāpratisarāyā mahāvidyāyāḥ prabhāvena na śaktā viheṭhanāṃ	sarve asya mahA-pratisarAyAH mahAvidyAyAH praBAvena na SaktAH viheWanAm
   kartum / upasaṃkrāmatāṃ ca teṣām iyaṃ mahāvidyārājñī smartavyā / tatas te	kartum / upasaMkrAmatAm ca tezAm iyam mahAvidyA-rAjQI smartavyA / tatas te
   sarve duṣṭacittā vidyādharasya vaśyā ājñayā śravaṇavidheyā bhaviṣyanti /	sarve duzwa-cittAH vidyADarasya vaSyAH AjQayA SravaNa-viDeyAH Bavizyanti /
   asyā evānubhāvena yad uta mahāpratisarāyā mahāvidyārājño na cāsya	asyAH eva-anuBAvena yat uta mahA-pratisarAyAH mahAvidyA-rAjQaH na ca-asya
   śatrubhayaṃ bhaviṣyati / anatikramanīyaś ca bhaviṣyati / sarvaśatrugaṇai	Satru-Bayam Bavizyati / anatikramanIyaH ca Bavizyati / sarva-Satru-gaNE
   rājamahārājāmātyabrāhmaṇagṛhapatibhiś ca / antaśo vadhyārho 'pi	rAja-mahA-rAja-amAtya-brAhmaNa-gRhapatiBiH ca / antaSas vaDya-arhaH api
   vadhakapuruṣair ucchritāny api śastrāṇi khaṇḍaṃ khaṇḍaṃ gacchanti	vaDaka-puruzEH ucCritAni api SastrANi KaNxam KaNxam gacCanti
   pāṃśumayānīva viśīryas tataś ca samaye sarvadharmā asyābhimukhī	pAMSu-mayAni-iva viSIryaH tatas ca samaye sarva-DarmAH asya-aBimuKI
   bhaviṣyanti / mahac cāsya smṛtibalaṃ bhaviṣyanti /	Bavizyanti / mahat ca-asya smRti-balam Bavizyanti /
   rakṣoghnaṃ paramaṃ hy etat pavitraṃ pāpanāśanam /	rakzaH-Gnam paramam hi etat pavitram pApa-nASanam /
   śrīkaraṃ dhīkaraṃ caiva sarvaguṇavivardhanam //	SrI-karam DIkaram ca-eva sarva-guNa-vivarDanam //
   sarvamaṅgalakarī hy eṣāṃ sarvāmaṅgalavināśanī /	sarva-maFgala-karI hi ezAm sarva-amaFgala-vinASanI /
   susvapnadarśanī cāpi duḥsvapnasya vināśanī //	su-svapna-darSanI ca-api duHsvapnasya vinASanI //
   strīpuṃsayoḥ parārakṣāvidyeyaṃ hi mahābalā /	strIpuMsayoH parArakza-avidyA-iyam hi mahA-balAH /
   aṭavīkāntāradurgeṣu nityaṃ mucyanti tatkṣaṇāt //	awavI-kAntAra-durgezu nityam mucyanti tad-kzaNAt //
   sarvakāmāṃś ca labhate buddhasya vacane yathā //	sarva-kAmAn ca laBate budDasya vacane yaTA //
   (Mp_33)	(Mp_33)
   patha utpatham āpannā eṣāṃ vidyām anusmaret //	paTaH utpaTam ApannAH ezAm vidyAm anusmaret //
   panthānaṃ labhate śīghraṃ bhojanaṃ pānam uttamam /	panTAnam laBate SIGram Bojanam pAnam uttamam /
   karmaṇā manasā vācā yat kṛtaṃ pūrvajanmasu //	karmaNA manasA vAcA yat kRtam pUrva-janmasu //
   aśubhaṃ bahuvidhā kiṃcit sarvaṃ kṣayayiṣyati /	aSuBam bahuviDA kiMcid sarvam kzayayizyati /
   smaraṇād dhāraṇāc caiva udgrahāl likhanād api //	smaraNAt DAraNAt ca-eva udgrahAt liKanAt api //
   paṭhanād vacanāc caiva jayanāt paradeśanāt /	paWanAt vacanAt ca-eva jayanAt para-deSanAt /
   bhaviṣyaty acireṇāsau sarvadharmagatiṃ gataḥ //	Bavizyati acireNa-asO sarva-Darma-gatim gataH //
   evaṃ hi dharmarase prāpte pāpā gacchanti saṃkṣayam /	evam hi Darma-rase prApte pApAH gacCanti saMkzayam /
   sidhyante sarvakarmāṇi manasā yad yad īpsitam //	siDyante sarva-karmANi manasA yat yat Ipsitam //
   sarvamṛtyubhaye caiṣāṃ trāṇaṃ tasya bhaviṣyati /	sarva-mRtyu-Baye ca-ezAm trANam tasya Bavizyati /
   rājāgnir udakaṃ caiva vidyud vā taskaro 'pi vā //	rAjA-agniH udakam ca-eva vidyut vA taskaraH api vA //
   yuddhasaṃgrāmakalahā daṃṣṭriṇo ye ca dāruṇāḥ /	yudDa-saMgrAma-kalahAH daMzwriNaH ye ca dAruNAH /
   sarve te pralapaṃ yānti vidyāyā lakṣajāyātaḥ //	sarve te pralapam yAnti vidyAyAH lakzaja-AyAtaH //
   vidyemāṃ paramāṃ siddhāṃ sarvabuddhair hi deśitā /	vidyA-imAm paramAm sidDAm sarva-budDEH hi deSitA /
   kīrtimānā na sīdanti bodhisaṃbhārapūraye //	kIrtimAnAH na sIdanti boDi-saMBAra-pUraye //
   sarveṣu caiva sthāneṣu imāṃ vidyāṃ prayojayet /	sarvezu ca-eva sTAnezu imAm vidyAm prayojayet /
   yāni cecchanti kāryāṇi svaparārthaprasiddhaye //	yAni ca-icCanti kAryANi sva-para-arTa-prasidDaye //
   sidhyanti ayatnatasthāni vidyāto nātra saṃśayaḥ /	siDyanti ayatnatasTAni vidyAtaH na-atra saMSayaH /
   namaḥ sarvatathāgatebhyo ye 'pi tiṣṭhanti daśasu dikṣu //	namaH sarva-taTAgateByaH ye api tizWanti daSasu dikzu //
   oṃ maṇivajre hṛdayavaire mārasainyavidāriṇi hana 2 sarvaśatrūn rakṣa 2	om maNi-vajre hRdaya-vEre mAra-sEnya-vidAriNi hanaH 2 sarva-SatrUn rakza 2
   mama śarīraṃ sarvasatvānāṃ ca vajre 2 vajragarbhe 2 / trāsaya 2	mama SarIram sarva-satvAnAm ca vajre 2 vajra-garBe 2 / trAsaya 2
   sarvamārabhavanāni hūṃ hūṃ phaṭ phaṭ svāhā //	sarvamAra-BavanAni hUm hUm Paw Paw svAhA //
   buddhamaitrīsarvatathāgatavajrakalpādhiṣṭhite sarvakarmāvaraṇāny apanaya	budDa-mEtrI-sarva-taTAgata-vajra-kalpa-aDizWite sarva-karma-AvaraNAni apanaya
   svāhā //	svAhA //
   tad idānīṃ pravakṣāmy āturāṇāṃ cikitsānam /	tat idAnIm pravakzAmi AturANAm cikitsAnam /
   caturaśraṃ maṇḍalakaṃ kuryāt mṛdgomayasamanvitam //	caturaSram maNxalakam kuryAt mRd-gomaya-samanvitam //
   pañcaraṅgikacūrṇena citrayed maṇḍalaṃ śubham /	paQca-raFgika-cUrNena citrayet maNxalam SuBam /
   caturaḥ pūrṇakuṃbhāṃś ca sthāpayed vidhinā budhaḥ //	caturaH pUrNa-kuMBAn ca sTApayet viDinA buDaH //
   puṣpāṇy avakiret tatra dhūpayed dhūpam uttamam /	puzpANi avakiret tatra DUpayet DUpam uttamam /
   (Mp_34)	(Mp_34)
   balikarmaṃ ca kurvīta mahāsāhasrapramardanam //	bali-karmam ca kurvIta mahA-sAhasra-pramardanam //
   pūrvavad gandhapuṣpādīn dadyāc cātra vidhānataḥ /	pUrvavat ganDa-puzpa-AdIn dadyAt ca-atra viDAnataH /
   caturas tīrikāḥ sthāpyāḥ sarvāś ca paṭṭabaddhakāḥ //	caturaH tIrikAH sTApyAH sarvAH ca pawwa-badDakAH //
   sthāpayitvāturaṃ paścāc chucivastrasamāvṛtam /	sTApayitvA-Aturam paScAt Suci-vastra-samAvRtam /
   śubhagandhānuliptāṅgaṃ praveśayet madhyamaṇḍale //	SuBa-ganDa-anulipta-aFgam praveSayet maDya-maNxale //
   pūrvāmukhaṃ niṣadyaitāṃ etāṃ vidyāṃ udāharet /	pUrvAmuKam nizadya-etAm etAm vidyAm udAharet /
   saptaso japtayā cāsya rakṣāṃ kuryād vicakṣaṇaḥ //	saptasaH japtayA ca-asya rakzAm kuryAt vicakzaNaH //
   āturasya tato 'rthāya vārāṃś cāpy ekaviṃśati /	Aturasya tatas arTAya vArAn ca-api ekaviMSati /
   udāhared imāṃ vidyāṃ sarvarogopaśāntaye //	udAharet imAm vidyAm sarva-roga-upaSAntaye //
   bhūyaś ca saptavārān vai varikumbhaṃ sumantritam /	BUyas ca sapta-vArAn vE vari-kumBam su-mantritam /
   paścān niveśayed mantrī varipuṣpaṃ yathāvidhiḥ //	paScAt niveSayet mantrI vari-puzpam yaTAviDiH //
   ity evaṃ dakṣiṇe pārśve prakṣipet sapta eva tu /	iti evam dakziNe pArSve prakzipet sapta eva tu /
   paścimā yāntu saptaiva uttarāyāṃ tathā diśi //	paScimAH yAntu sapta-eva uttarAyAm taTA diSi //
   adha ūrdhvaṃ tu saptaiva kṛtā rakṣā bhaviṣyati /	aDas UrDvam tu sapta-eva kRtA rakzA Bavizyati /
   evaṃ kṛte dvijaśreṣṭha sarvaduḥkhāt parimucyate //	evam kRte dvijaSrezWa sarva-duHKAt parimucyate //
   eṣā rakṣā mayā khyātā śākyasiṃhena bhāṣitā /	ezA rakzA mayA KyAtA SAkya-siMhena BAzitA /
   nāsty asyāḥ parā kācid rakṣā vidyā tridhātuke //	na-asti asyAH parA kAcid rakzA vidyA tri-DAtuke //
   na tasya mṛtyur na jarā na rogo na ca priyair jātuviyogabhāvaḥ / na	na tasya mRtyuH na jarA na rogaH na ca priyEH jAtu-viyoga-BAvaH / na
   cāpriyais tasya hi saṃprayogo bhaved dhiyo bhāvitacittasaṃtatiḥ / yamo 'pi	ca-apriyEH tasya hi saMprayogaH Bavet DiyaH BAvita-citta-saMtatiH / yamaH api
   tasya varadharmarājā kariṣyate pūjāṃ sagauraveṇa / kathayiṣyate devasuraṃ	tasya vara-DarmarAjA karizyate pUjAm sa-gOraveNa / kaTayizyate deva-suram
   hi gacha kṣaṇikaṃ mamedaṃ narakapurajvāriṃ kariṣyasi / tato vimānaiḥ	hi gaCa kzaNikam mama-idam naraka-pura-jvA-arim karizyasi / tatas vimAnEH
   subahuprakārarir maharddhiko yāti surālayaṃ śubham / evaṃ hy asau	su-bahu-prakArariH mahardDikaH yAti surAlayam SuBam / evam hi asO
   naramarudyakṣarākṣasaiḥ saṃpūjitas tatra sadā bhaviṣyati /	nara-marut-yakza-rAkzasEH saMpUjitaH tatra sadA Bavizyati /
   vajrapāṇiś ca yakṣendra indra caiva śacīpatiḥ /	vajrapANiH ca yakzendraH indra ca-eva SacIpatiH /
   hārītī pāñcikaś caiva lokapālā mahārddhikāḥ //	hArItI pAQcikaH ca-eva lokapAlAH mahArdDikAH //
   candrasūryau sanakṣatrau ye grahāḥ paramadāruṇāḥ /	candra-sUryO sa-nakzatrO ye grahAH parama-dAruNAH /
   te ca sarve mahānāgā devatā ṛṣayas tathā //	te ca sarve mahA-nAgAH devatAH RzayaH taTA //
   asurā garuḍā gandharvāḥ kinnarāś ca mahoragāḥ /	asurAH garuxAH ganDarvAH kinnarAH ca mahA-uragAH /
   nityānubuddhārakṣārthaṃ yasya vidyāmahābalāḥ //	nitya-anubudDA-rakzA-arTam yasya vidyA-mahA-balAH //
   (Mp_35)	(Mp_35)
   likhitāṃ dhārayet prājño bāhau baddhvā maharddhikāḥ /	liKitAm DArayet prAjQaH bAhO badDvA mahardDikAH /
   mahatīṃ labhate pūjāṃ saṃpadaṃ cāpi nityaśa iti //	mahatIm laBate pUjAm saMpadam ca-api nityaSas iti //
   mahāpratisarāyā vidyārājño rakṣāvidhānakalpo vidyādharasya samāptaḥ //	mahA-pratisarAyAH vidyA-rAjQaH rakzA-viDAna-kalpaH vidyADarasya samAptaH //
