   Muktā-caritram	MuktA--caritram
   tvad-vakṣaḥ-stha-kāñcana-ghaṭa-dvayam ardha-candra-patrāṅkurādibhiḥ	tvad--vakzaH---sTa--kAQcana--Gawa--dvayam arDa--candra--patra-aFkura-AdiBiH
   santoṣeṇālaṅkṛtya tām ānandayāmīti |	santozeNa-alaFkRtya tAm AnandayAmi-iti |
   tac chravaṇataḥ sa-krodhaṃ citrā - aye aviratam	tat SravaNataH sa--kroDam citrAH  aye aviratam
   ativikaṭa-bhaṇḍatoccaṇḍa-caṇḍikāviṣṭa! aye trijagati	ati-vikawa--BaNxa-tA-uccaNxa--caNxikA-Avizwa! aye trijagati
   prasiddha-dhṛṣṭatodbhaṭa-bāṭikā-kuraṅga-kuṭumbinī-kula-naṭa! tva-yogyābhis	prasidDa--DRzwa-tA-udBawa--bAwikA--kuraFga-kuwumbinI--kula--nawa! tva--yogya-aBis
   tat-tat-sādhana-karma-karmaṭhābhis tābhir eva sa-santoṣaṃ sucitritena	tat-tat--sADana--karma-karmaWABiH tABiH eva sa--santozam su-citritena
   bhavatā tā	BavatA tA
   eva suślāghaṃ suvareṇa santatam anukīrtyantāṃ itas tvaritam apasaratu	eva su-SlAGam suvareNa santatam anukIrti-antAm itas tvaritam apasaratu
   svāmī |	svAmI |
   ity ākarṇanena jāta-hāsāḥ sarvās tāṃ suṣṭhu tuṣṭuvuḥ |	iti AkarNanena jAta-hAsAH sarvAH tAm suzWu tuzwuvuH |
   tad anu nāndīmukhī - gokula-maṅgala!	tat anu nAndImuKI  go-kula--maFgala!
   sakala-gokula-jana-jīvātu-mukha-candra-prakāśaṃ bhavantaṃ akasmād	sakala--go-kula---jana--jIvA-tu-muKa--candra--prakASam Bavantam akasmAt-
   vimanaskam	vimanaskam
   iva saṃvīkṣya bhavad-ekāyuṣām asmākaṃ hṛdayāni	iva saMvIkzya Bavat--eka-AyuzAm asmAkam hRdayAni
   marma-vraṇa-vedanā-vahni-jvālitānīva sphuṭanti santi | tatas tan-nidānam	marma--vraNa--vedanA--vahni-jvAlitAni-iva sPuwanti santi | tatas tan--nidAnam
   avaśyaṃ	avaSyam
   kṛpayā prakāśyatām | yathā bhagavatī-dvārā tat-pratīkāraṃ jhaṭiti niṣpādya	kRpayA prakASyatAm | yaTA BagavatI--dvArA tat--pratIkAram Jawiti nizpAdya
   śrīmantaṃ bhavantaṃ bāḍham ānandaivātmānaṃ sandhukṣayāma |	SrImantam Bavantam bAXam Ananda-eva-AtmAnam sanDukzayAma |
   iti nāndīmukhī-vacanam ākarṇya savaiklavyam iva mayoktaṃ -- nāndīmukhi	iti nAndI-muKI--vacanam AkarNya sa-vEklavyam iva mayA-uktam - nAndI-muKi
   śrūyatām |	SrUyatAm |
   adṛṣṭāśruta-cara-cāru-cāturya-niravadya-mahā-vaidagdhya-viovidha-sudurbodha	adRzwa-aSruta--cara--cAru-cAturya--niravadya--mahA--vEdagDi-a-vioviDa--su-durboDa
   -narma-karma-svādhyāya-prathamācāryāyāḥ	-narma-karma--svADyAya--praTama-AcAryAyAH
   samasta-kalyāṇa-guṇa-maṇi-mañjuṣāyāḥ	samasta--kalyANa--guNa-maNi--maQjuzAyAH
   sva-parijana-gaṇa-jīvanī-bhūta-smita-nava-ghana-sāra-suvāsita-bhāṣita-pīyūṣāyāḥ	sva--parijana--gaNa--jIvanI--BUta---smita-nava--Gana--sAra--su-vAsi-ta-BAzita--pIyUzAyAH
   śacy-ādi-saubhāgyavatī-vṛnda-varṇyamān-saubhāgya-bharāyāḥ santatam	Sacy-a-Adi--sOBAgyavatI--vRnda-varNya-mAn--sOBAgya--BarAyAH santatam
   indirādi-gaurī-gaṇa-mṛgyamāṇa-saundarya-rasa-sphurita-nakhāñcala-pratīkāyāḥ	indirAdi-gOrI--gaNa--mRgyamANa--sOndarya--rasa--sPurita-naKa-aQcala--pratIkAyAH
   sura-nara-gaṇa-gandharva-vidyādhara-muni-vara-vandita-bhuvaneśvarī-śata-vand	sura--nara--gaNa--ganDarva-vidyADara--muni-vara--vandita--Buvana-ISvarI--Sata-vand
   yamāna-padāravindāyāḥ, samasta-vaikuṇṭhato'pi	yamAna--pada-aravindAyAH, samasta-vEkuNWataH-api
   paramottama-parama-vyomato'pi	parama-uttama--parama---vyomataH-api
   bṛṃhita-mahā-mahimottara-vṛndāṭavī-mahā-yoga-pīṭha-mahā-siṃhāsane	bRMhita-mahA--mahima-uttara--vRnda-awavI--mahA-yoga--pIWa--mahA--siMhAsane
   saṃbhṛta-mahāratnābhiṣekāyāḥ mahādevyāḥ	saMBRta-mahAratna-aBizekAyAH mahAdevyAH
   sudhā-sāgara-mathanotthita-rādhety-akṣara-yugala-ghanībhūta-tat-sārāṃśa-kalas	suDA-sAgara--maTana-utTita--rADA-iti--akza-ra--yuga-la-GanI-BUta---tat-sAra-aMSa--kalas
   a-dvaya-vinirmita-rādheti-nāma-dheyād	a-dvaya--vinirmita--rADA-iti-nAma-DeyAt-
   apūrvāmṛta-sāra-vikāra-viśeṣeṇāpyāyita-śītkārita-caturdaśa-bhuvanāyāḥ,	apUrva-amRta--sAra--vikAra--viSezeNa-ApyAyita-SIt-kArita--caturdaSa--BuvanAyAH,
   santata-saurabhya-niravadhi-saundarya-nistula-kaumalya-nirbhara-varāruṇyādi-vin	santata--sOraBya--niravaDi--sOndarya--nistula--kOmalya--nirBara-vara-aruNyAdi--vin
   irjita-raktotpala-kula-caraṇa-paricaraṇaika-jīvine	irjita--rakta-utpala--kula--caraNa--paricaraNa-eka--jIvine
   sakala-varivasyā-viśāradāya	sakala--varivasyA--viSAradAya
   mahyaṃ svayam āhūyāsaṅkocatayā mat-kāmita-pratyaṅga-sevā yat tayā na	mahyam svayam AhUya-asaFkoca-tayA mat-kAmita--pratyaFga--sevA yat tayA na
   dīyate |	dIyate |
   atas tasya mayi madhurāṃ prītim anavadhārya tat-pūrṇāṃśāṃ yathārtha-nāmnīṃ	atas tasya mayi maDurAm prItim anavaDArya tat--pUrNa-aMSAm yaTArTa--nAmnIm
   tuṅgavidyāṃ bhagavatī-mukhāt niśamya satvarābhīṣṭa-lābhāya enāṃ	tuFga-vidyAm BagavatI--muKAt niSamya sa-tvara-aBIzwa-lABAya enAm
   gurutvenāsādyāsyāḥ sakāśāt mahādevī-mantra-rājaṃ didīkṣiṣur ahaṃ tvāṃ	guru-tvena-AsAdya-AsyAH sakASAt mahAdevI--mantra-rAjam didIkzizuH aham tvAm
   bhagavaty-advitīyāṃ prapanno'smi |	Bagavati--a-dvitIyAm prapannaH-asmi |
   nāndīmukhī vihasya | sulakṣaṇa prathamaṃ tāvat śāstra-nirṇīta-gurūpasattir	nAndImuKI vihasya | su-lakzaNa praTamam tAvat SAstra--nirNIta-guru-upasattiH-
   vidhīyatām |	viDIyatAm |
   mayoktam | bhadraṃ vacaḥ prathamaṃ guru-śiṣyayoḥ parīkṣaiva nyāyyā | tatas	mayA-uktam | Badram vacaH praTamam guru--SizyayoH parIkzA-eva nyAyyAH | tatas-
   tisras triyāmāḥ kutrāpi nirjana-kuñje kṣaṇe mahilāṃ kṣaṇe pumāṃsaṃ māṃ	tisraH triyAmAH kutra-api nirjana--kuQje kzaNe mahilAm kzaNe pumAMsam mAm
   sampādya sva-vidyāyāḥ prabhāvam asau darśayatu | tato viśrabhya	sampAdya sva--vidyAyAH praBAvam asO darSayatu | tatas viSraBya
   parama-sambhrameṇa mayāpy asyāś	parama--samBrameNa mayA-api asya-AS
   caraṇa-yāvābharaṇa-śroṇi-mardana-vakṣoja-kaṇḍūyana-veṇī-bandhanādi-paricaryās	caraNa-yO=-ABaraNa--SroNi-mardana-vakzaH-ja--kaNxUyana--veNI--banDana-Adi-paricaryA-s
   sarvāpekṣayā kriyamāṇāsu suprasanneyaṃ tvat-sevayā parama-prasannāsmīti	sarva-apekzayA kriyamANAsu su-prasannA-iyam tu-at--sevayA parama--prasannA-asmi-iti
   nirucya māṃ manobhavānanda-kara-nikuñja-maṇḍapa-vedikāṃ prāpayya bho	nirucya mAm manoBava-Ananda--kara--nikuQja--maNxapa-vedikAm prApayya Bo
   vicakṣaṇa mad-vakṣaḥ-sthala-kārttasvara-maṅgala-ghaṭa-yugalaṃ	vicakzaNa mad---vakzaH---sTala-kArtta-svara--maFgala--Gawa--yugalam
   svakara-yugalena	sva-kara--yugalena
   spṛśan mṛgamada-kuṅkumādi-paṅka-lepa-pūrvakaṃ maṇi-puṣpa-mālābhir	spRSan mRgamada--kuFkuma-Adi--paFka--lepa--pUrvakam maNi-puzpa--mAlABiH-
   veṣṭayety ādibhāṣitamantrair ghaṭaṃ sthāpayitvā,	vezwayA-iti Adi-BAzita-mantrEH Gawam sTApayitvA,
   sva-vakṣoja-mahā-prasāda0kuṅkumena mama lalāṭādiṣu tilakaṃ kṛtvā	sva--vakzoja--mahA--prasAda0-kuFkumena mama lalAwa-Adizu tilakam kRtvA
   mṛgamadena mad-vakṣasi mahā-devī-nāma-mudrām abhilikhya bāhu-dvayaṃ ca	mRga-madena mad--vakzasi mahA--devI-nAma--mudrAm aBiliKya bAhu--dvayam ca
   tac-caraṇa-cihna-saubhāgya-mudrābhir aṅkīkṛtya sva-kaṇṭhād ekāvalī-mālām	tac-caraNa--cihna--sOBAgya-mudrABiH aFkIkRtya sva-kaNWAt eka-AvalI--mAlAm
   uttārya mat-kaṇṭhe nidhāya mama vakṣaḥ-pārśvayoḥ sva-kucau aṃsa-dvaye	uttArya mat--kaNWe niDAya mama vakzaH-pArSvayoH sva-kucO aMsa--dvaye
   bāhulate mukhe ca svādharaṃ aparāṅgānyāgamānabhijñena mayā sphuṭam	bAhulate muKe ca svADaram apara-aFgAni-Agama-anaBijQena mayA sPuwam
   ajñātāny api paramāgamācāryeyaṃ svayaṃ tad-arpaṇa-sthāne'rpayatu iti	ajQAtAni api parama-Agama-AcAryA-iyam svayam tad--arpaNa--sTAne-arpayatu iti
   ṣaḍ-aṅgāni	zaz--aFgAni
   vinyasya ṣaḍ-akṣara-mantra-rājasyāsya svayambhū-ṛṣi-gāyatrī chandaḥ	vinyasya zaz--akzara--mantra-rAjasya-asya svayamBU--Rzi-gAyatrI CandaH
   śrī-gāndharvā devatā sa-bindu-prathama-varṇo bījaṃ śaktir upāsyopāsakayor	SrI--gAnDarvA devatA sa-bindu-praTama--varNaH bIjam SaktiH upAsya-upAsakayoH-
   mithaḥ-suyukta-rati-janana-pūrvakābhīṣṭa-kāma-siddhaye viniyoga ity ādi	miTas--su-yukta--rati--janana--pUrvaka-aBIzwa--kAma--sidDaye viniyogaH iti Adi
   pūrvāṅgaṃ yathā-vidhi sampādya,	pUrva-aFgam yaTA-viDi sampAdya,
   atha svīya-saras-tīra-kuñja-raṅga-sthale mudā |	aTa svIya--saras--tIra--kuQja-raFga-sTale mudA |
   sabhyānālī-gaṇān bhaṅgyā dhinvantīṃ narma-nartanaiḥ ||	saByAnAlI--gaNAn BaFgyA DinvantIm narma-nartanEH ||
   gaurīṃ raktāmbarāṃ ramyāṃ sunetrāṃ susmitānanām |	gOrIm rakta-ambarAm ramyAm sunetrAm su-smita-AnanAm |
   śyāmāṃ śyāmākhilābhīṣṭa-sādhikāṃ rādhikāṃ śraye ||	SyAmAm SyAma-aKila-aBIzwa--sa-aDikAm rADikAm Sraye ||
   iti dhyānaṃ ca suciraṃ kārayitvā kṛpayā mahyaṃ kāmine kāma-bīja-puṭitaṃ	iti DyAnam ca su-ciram kArayitvA kRpayA mahyam kAmine kAma-bIja--puwitam
   mantra-rājam upadiśya māṃ kṛtārthīkarotu |	mantra-rAjam upadiSya mAm kRta-arTIkarotu |
   tad anu --	tat anu --
   mahā-bhāvojjvalac-cintā-ratnodbhāvita-vigrahām |	mahA-a-BAva-ujjvala-c-cintA--ratna-udBAvita--vigrahAm |
   sakhī-praṇaya-sad-gandha-varodvartana-suprabhām ||1||	saKI--praNaya--sad-ganDa--vara-udvartana--su-praBAm ||1||
   kāruṇyāmṛta-vīcibhis tāruṇyāmṛta-dhārayā |	kAruNya-amRta--vIciBiH tAruNya-amRta-DArayA |
   lāvaṇyāmṛta-vanyābhiḥ snapitāṃ glaptendirām ||2||	lAvaNya-amRta--vanyABiH snapitAm glapta-indirAm ||2||
   hrī-paṭṭa-vastra-guptāṅgīṃ saundarya-ghusṛṇāñcitām |	hrI--pawwa-vastra-gupta-aFgIm sOndarya--GusRNa-AQcitAm |
   śyāmalojjvala-kastūrī-vicitrita-kalevarām ||3||	SyAmala-ujjvala--kastUrI--vicitrita--kalevarAm ||3||
   kampāśru-pulaka-stambha-sveda-gadgada-raktatāḥ |	kampa-aSru--pulaka-stamBa-sveda--gadgada--raktatAH |
   unmādo jāḍyam ity etai rathanir navabhir uttamaiḥ ||4||	unmAdaH jAxyam iti etEH raTa-niH navaBiH uttamEH ||4||
   k ptālaṅkṛti-saṃsliṣṭāṃ guṇālī-puṣpa-mālinīm |	k ptAlaFkRti--saMslizwAm guNa-AlI--puzpa--mAlinIm |
   dhīrādhīrātva-sad-vāsa-paṭa-vāsaiḥ pariṣkṛtām ||5||	DIra-aDIrAtva--sat--vAsa--pawa-vAsEH parizkRtAm ||5||
   pracchanna-māna-dhammillāṃ saubhāgya-tilakojjvalām |	pracCanna--mAna--DammillAm sOBAgya-tilaka-ujjvalAm |
   kṛṣṇa-nāma-yaśaḥ-śrāva-vataṃsollāsi-karṇikām ||6||	kRzNa-nAma--yaSaH-SrAva-vataMsa-ullAsi--karNikAm ||6||
   rāga-tāmbūla-raktauṣṭhīṃ prema-kauṭilya-kajjalām |	rAga--tAmbUla--rakta-ozWIm prema--kOwilya--kajjalAm |
   narma-bhāṣita-nisyanda-smita-karpūra-vāsitām ||7||	narma--BAzita--nisyanda--smita-karpUra-vAsitAm ||7||
   saurabhāntaḥ-pure garva-paryaṅkopari līlayā |	sOraBa-antaH--pure garva--paryaFka-upari lIlayA |
   niviṣṭāṃ prema-vaicittya-vicalat-taralāñcitām ||8||	nivizwAm prema-vEcittya--vicalat--tarala-AQcitAm ||8||
   praṇaya-krodha-sac-colī-bandh-guptī-kṛta-stanām |	praNaya--kroDa--sac-colI--banD--guptI-kRta-stanAm |
   sapatnī-vaktra-hṛc-choṣi-yaśaḥ-śrī-kacchapī-varām ||9||	sapatnI--vaktra--hRc--Sozi--yaSaH--SrI--kacCapI-varAm ||9||
   madhyatātma-sakhī-skandha-līlānyasta-karāmbujām |	maDya-ta-Atma--saKI--skanDa--lIlA-nyasta-kara-ambujAm |
   śyāmāṃ śyāma-smarāmoda-madhulī-pariveśikām ||10||	SyAmAm SyAma-smara-Amoda--maDulI--pariveSikAm ||10||
   tvāṃ natvā yācate dhṛtvā tṛṇaṃ dantair ayaṃ janaḥ |	tvAm natvA yAcate DRtvA tRNam dantEH ayam janaH |
   sva-dāsyāmṛta-sekena jīvayāmuṃ suduḥkhitam ||11||	sva-da-asya-amRta-sekena jIvaya-amum su-duHKitam ||11||
   na muñcec charaṇāyātam api duṣṭaṃ dayāmayaḥ |	na muQcet SaraNa-AyAtam api duzwam dayA-mayaH |
   ato gāndharvike hā hā muñcainaṃ naiva tādṛśam ||12||	atas gAnDarvike hA hA muQca-enam na-eva tAdRSam ||12||
   premāmbhoja-marandākhyaṃ stavarājam imaṃ janaḥ |	prema-amBoja-maranda-AKyam stava-rAjam imam janaH |
   śrī-rādhikā-kṛpā-hetuṃ paṭhaṃs tad-dāsyam āpnuyāt ||13||	SrI-rADikA--kRpA--hetum paWan tad--dAsyam ApnuyAt ||13||
   imaṃ stava-rājam apy upadiśatu ||	imam stava-rAjam api upadiSatu ||
   tataḥ śrī-guror labdhābhīṣṭa-kāmo'smi iti sagadgadaṃ vadantaṃ sakampaṃ	tatas SrI--guroH labDa-aBIzwa-kAmaH-asmi iti sa-gadgadam vadantam sa-kampam
   tac-caraṇa-kamalayoḥ patitaṃ māṃ sānandaṃ samutthāpya samāliṅgya	tac-caraNa--kamalayoH patitam mAm sa-Anandam samutTApya samAliFgya
   svādharocchiṣṭa-pīyūṣa-prasādaṃ saṃbhojya ca sva-mukhodgīrṇa-tāmbūlaṃ	sva-aDara-ucCizwa--pIyUza--prasAdam saMBojya ca sva--muKa-udgIrNa--tAmbUlam
   man-mukhe vitaratu | brahmacāriṇo mama tāmbūla-bhakṣaṇam anucitam iti cet	man-muKe vitaratu | brahmacAriNaH mama tAmbUla--BakzaNam anucitam iti ced-
   tarhi karpūra-vāsita-nija-mukha-vāsena man-mukha-śuddhiṃ vitanotu | tataḥ	tarhi karpUra-vAsi-ta--nija--muKa--vAsena man-muKa--SudDim vitanotu | tatas-
   kṛtārthena mayaitad-abhīpsitāni anyāny api bahūni ca muktāphalāni	kRtArTena mayA-etat--aBIpsitAni anyAni api bahUni ca muktAPalAni
   dakṣinātvena	dakzinA-tvena
   samarpyamāṇāni kṛpayā svīkṛtya mām anugṛhṇātu ||	samarpyamANAni kRpayA svIkRtya mAm anugRhNAtu ||
   iti niśamya sarvāsu sa-smitaṃ tuṅgavidyā-mukham avalokayantīṣu tayāpy	iti niSamya sarvAsu sa--smitam tuFga-vidyA-muKam avalokayantIzu tayA-api-
   ucchalitāntarānandam āvṛtya bhrū-bhaṅgena saroṣam iva mām īṣad avalokya	ucCalita-antara-Anandam AvRtya BrU-BaFgena sa-rozam iva mAm Izat avalokya
   bhāṣitaṃ | nāndīmukhi tvaṃ siddhā tapasviny asi | tasmād etad-vidhinā tvam	BAzitam | nAndI-muKi tvam sidDA tapasvini asi | tasmAt etat--viDinA tvam
   evainaṃ dīkṣaya | tadāsya siddhāto mantra-grahaṇāt svābhīṣṭa-kāma-lābho	eva-enam dIkzaya | tadA-asya sidDAtaH mantra-grahaNAt sva-aBIzwa-kAma--lABaH-
   jhaṭiti	Jawiti
   sampatsyata iti vyāhṛtya sakrodhaṃ gṛhāya gacchantīṃ kareṇa gṛhītvā	sampatsyate iti vyAhRtya sa-kroDam gRhAya gacCantIm kareNa gRhItvA
   vyāghoṭya	vyAGowya
   viśākhā vihasya nāndīmukhīṃ prāha -- nāndīmukhi! asya samprati	viSAKA vihasya nAndImuKIm prAha - nAndImuKi! asya samprati
   prāpta-vyalīkasya dīkṣā-dāne mahān eva pratyavāyaḥ syād ity ācāryeyaṃ tvāṃ	prApta--vyalIkasya dIkzA-dAne mahAn eva pratyavAyaH syAt iti AcAryA-iyam tvAm
   prati krudhyati ||	prati kruDyati ||
   nāndīmukhī -- mithyā-vādini viśākhe! sakala-sadharma-rājīva-bandhor	nAndImuKI - miTyA-a-vAdini viSAKe! sakala--saDarma--rAjIva-banDoH-
   gokula-rājasya sat-tanaye katham alīka-parivādam āropayasi |	gokula--rAjasya sat-tanaye kaTam alIka--parivAdam Aropayasi |
   viśākhā -- tubhyaṃ śape satyam evaitad doṣam |	viSAKA - tuByam Sape satyam eva-etat dozam |
   nāndīmukhī -- kas tāvad doṣaḥ ?	nAndImuKI - kaH tAvat dozaH ?
   viśākhā -- ucchiṣṭa-bhojanam |	viSAKAH - ucCizwa--Bojanam |
   nāndīmukhī -- kasya ?	nAndImuKI - kasya ?
   viśākhā -- dāsyāḥ |	viSAKAH - dAsyAH |
   nāndīmukhī vihasya -- kā tāvat sā dāsī ?	nAndImuKI vihasya - kA tAvat sA dAsI ?
   viśākhā -- śākhoṭa-vana-vāsinī kācin māyayā gopīva bhūtvā	viSAKA - SAKA-uwa--vana-vAsinI kAcid mAyayA gopI-iva BUtvA
   kaṃsa-bhṛtya-govardhana-malla-gṛhiṇīm āsādya tām uvāca candrāvali! tvaṃ	kaMsa--BRtya--govarDana-malla--gRhiNIm AsAdya tAm uvAca candra-Avali! tvam
   bhuvaneśvaryāś caṇḍikāyāḥ priya-paricārikāsi | aham api tad-gaṇa-madhye	BuvaneSvaryAH caNxikAyAH priya--paricArikA-asi | aham api tad--gaNa--maDye
   ekāsmi | tataḥ sneha-bhareṇa tva-sakhītvam icchāmi | tac chrutvā samīcīnam	ekA-asmi | tatas sneha--BareNa tva--saKI-tvam icCAmi | tat SrutvA samIcInam
   etad	etat-
   ity āliṅgya sā candrāvalī yāṃ sakhyena parijagrāha saiva |	iti AliFgya sA candrAvalI yAm saKyena parijagrAha sA-eva |
   nāndīmukhī -- saiva kā ?	nAndImuKI - sA-eva kA ?
   viśākhā -- apūrvā padmā sā sarvatra prasiddhā bhavatyāpi jñāyate |	viSAKA - apUrvA padmA sA sarvatra prasidDA BavatyA-api jQAyate |
   nāndīmukhī -- kiṃ tad ucchiṣṭam ?	nAndImuKI - kim tat ucCizwam ?
   viśākhā -- tan mecakādhara-kupī-sthitaṃ parama-pāvanaṃ madhu ||	viSAKAH - tat mecaka-aDara--kupI--sTitam parama---pAvanam maDu ||
   etan niśamya kiñcit smayamānāṃ rādhikām avalokayantas tat-sabhāsadaḥ sarve	etat niSamya kiQcid smayamAnAm rADikAm avalokayantaH tat--saBAsadaH sarve
   janā	janA
   jahasuḥ | tato nāndīmukhī -- viśākhe! kenāpy etad dṛṣṭam asti ?	jahasuH | tatas nAndImuKI - viSAKe! kena-api etat dRzwam asti ?
   viśākhā -- atha kim |	viSAKAH - aTa kim |
   nāndīmukhī -- kena ?	nAndImuKI - kena ?
   viśākhā - vividha-giridhātu-paricchadān ānetuṃ priya-sakhyā gāndharvayā	viSAKA  viviDa-giri-DAtu--paricCadAn Anetum priya-saKyA gAnDarvayA
   preṣitābhyāṃ mallī-bhṛṅgībhyāṃ mānasa-gaṅgā-nikaṭoṣara-taṭe prakaṭam	prezitAByAm mallI--BRFgIByAm mAnasa-gaFgA-nikawa-uzara--tawe prakawam
   evaitat parama-pāvanaṃ karma paraśva eva sākṣād avalokyāgatya sarvāsāṃ	eva-etat parama---pAvanam karma paraSvas eva sAkzAt avalokya-Agatya sarvAsAm
   purato	puratas-
   vivicya kathitam |	vivicya kaTitam |
   nāndīmukhī sacintam iva -- sakala-gokula-jīvanībhūtasyāsya kathaṃ	nAndImuKI sa-cintam iva - sakala--go-kula--jIvanIBUtasya-asya kaTam
   tad-doṣa-dhvaṃso bhavati ?	tad--doza--DvaMsaH Bavati ?
   viśākhā -- prāyaścittācaraṇenaiva |	viSAKAH - prAyaScitta-AcaraNena-eva |
   nāndīmukhī -- tato bhagavatītas tad-doṣa-vihita-niṣkṛtiṃ sampādya	nAndImuKI - tatas Bagavati-itaH tad--doza--vihita--nizkRtim sampAdya
   puruṣottamam	puruzottamam
   enaṃ śuddhaṃ vidhāya dīkṣayantu bhavaytaḥ |	enam SudDam viDAya dIkzayantu BavaytaH |
   tac chrutvā campakalatā prāha -- mugdhe! ujjvala-maṇi-saṃhitāyām eva	tat SrutvA campakalatA prAha - mugDe! ujjvala-maNi--saMhitAyAm eva
   vivṛto'sti	vivRtaH-asti
   tan-niṣkṛti-vidhir bhavatyāḥ prāyeṇa gocaro na bhavatīti tayaiva	tan--nizkRti-viDiH BavatyAH prAyeNa gocaraH na Bavati-iti tayA-eva
   kathā-prasaṅge	kaTA--prasaFge
   kathitam asti ||	kaTitam asti ||
   nāndīmukhī -- atra tat-saṃhitāṃ kas tāvaj jānāti ?	nAndImuKI - atra tat-saMhitAm kaH tAvat jAnAti ?
   campakalatā -- priya-sakhī gāndharvaiva |	campakalatA - priya--saKI gAnDarva-eva |
   nāndīmukhī -- adhunā sā kilātra sabhā-madhye na vidyate | tat katham idaṃ	nAndImuKI - aDunA sA kila-atra saBA-maDye na vidyate | tat kaTam idam
   jhaṭiti nirvahatu ?	Jawiti nirvahatu ?
   viśākhā -- tad-advitīyeyaṃ tato'dhīta-sandarbha-tat-saṃhitā-lalitā	viSAKA - tat--a-dvitIyA-iyam tatas-aDIta-sandarBa-tat--saMhitA-lalitA
   nirantaraṃ tad	nirantaram tat-
   abhyasyantī suṣṭhu taj jānantī tan nirūpayiṣyati |	aByasyantI suzWu tat jAnantI tat nirUpayizyati |
   nāndīmukhī sa-kāku -- sakhi lalite! vicārya yathocita-niṣkṛtir ādiśyatām |	nAndImuKI sa-kAku - saKi lalite! vicArya yaTocita--nizkRtiH AdiSyatAm |
   lalitā kiñcid vihasya -- priya-sakhi! kṛta-vaylīko jano yadi sabhā-madhye	lalitA kiQcid vihasya - priya--saKi! kRta-vaylIkaH janaH yadi saBA-maDye
   svayam	svayam
   āgatya niḥśeṣaṃ svayam aghaṃ niṣkāpaṭyena nivedyānutapati, tadaivāsya	Agatya niHSezam svayam aGam nizkApawyena nivedya-anutapati, tadA-eva-asya
   prāyaścittaṃ kāryate iti purāna-kṛdbhiḥ nirṇitam asti | tathā hi --	prAyaScittam kAryate iti purAna-kRdBiH nirNitam asti | taTA hi --
   saṃkathya svam aghaṃ goṣṭhyāṃ paścāt tapati yaḥ sphuṭam |	saMkaTya svam aGam gozWyAm paScAt tapati yaH sPuwam |
   tasyaiva niṣkṛtiḥ sāṅgā munibhiḥ kāryate'khilā || iti |	tasya-eva nizkRtiH sa-aFgAH muniBiH kAryate-aKilAH || iti |
   ity ākarṇya nāndīmukhyāṃ man-mukhaṃ sākūtam ālokayantyāṃ mayi ca	iti AkarNya nAndImuKyAm man-muKam sa-AkUtam AlokayantyAm mayi ca
   subala-madhumaṅgalābhyāṃ saha lalitā-savidham āsādya kiñcid vivakṣamāṇe	subala--maDu-maFgalAByAm saha lalitA--saviDam AsAdya kiQcid vivakzamANe
   sati,	sati,
   viśākhā prāha -- he dhīra! kāmāturāṇāṃ na ghṛṇā na lajjeti svabhāvataḥ	viSAKA prAha - he DIra! kAma-AturANAm na GRNA na lajjA-iti svaBAvataH
   kāminā	kAminA
   tvayā yat kṛtaṃ tat kṛtam eva | adhunā tv etat tasyāḥ puro vivicya tat	tvayA yat kRtam tat kRtam eva | aDunA tu etat tasyAH puras vivicya tat-
   sarvaṃ	sarvam
   kathaya |	kaTaya |
   tato'haṃ smitam apavārya sānutāpam iva -- lalite! caturthe'hani	tatas-aham smitam apavArya sa-anutApam iva - lalite! caturTe-ahani
   vighaṭita-gavānveṣaṇe gaurī-tīrtham evāptasya mama gaurī-mandirān niḥsṛtya	viGawita-gavAnvezaNe gOrI-tIrTam eva-Aptasya mama gOrI--mandirAt niHsRtya
   kācid gaurī sahacarī carcikā haṭhena mad-urasi savya-kucenāhatya	kAcid gOrI sahacarI carcikA haWena mad--urasi savya--kucena-Ahatya
   mādhavī-catuḥśālikāntarālaṃ mām ānīya kampamānasya mama mukhe	mADavI--catur-SAlika-antarAlam mAm AnIya kampamAnasya mama muKe
   tāmbūla-carvitaṃ pradāya yat kiñcit kṛtavatī tan-mohito'haṃ kim api	tAmbUla--carvitam pradAya yat kiQcid kRtavatI tan-mohitaH-aham kim api
   nāvediṣam |	na-Avedizam |
   paraśvo'pi suvarṇa-sūtreṇa vividha-kusumair grathita-mālām ādāya	paraSvas-api suvarNa-sUtreNa viviDa--kusumEH graTita--mAlAm AdAya
   rādhā-kuṇḍa-taṭa-nikuñja-nāgarīṃ gāndharvām anusmarato mama	rADA--kuNxa--tawa--nikuQja--nAgarIm gAnDarvAm anusmarataH mama
   mālya-haraṇa-kuṇḍa-taṭa-nikaṭa-mandārodyāna-parisare sā carcikā punar apy	mAlya--haraNa--kuNxa--tawa--nikawa--mandAra-udyAna--parisare sA carcikA punar api-
