   (PSP_5:1)	(PSu _5:1)
   vedanāyās tathatā yā saṃjñāyās tathatā yā saṃskārāṇāṃ tathatā yā	vedanAyAH taTatA yA saMjQAyAH taTatA yA saMskArANAm taTatA yA
   vijñānasya tathatā, evaṃ yā skandhadhātvāyatanānāṃ tathatā yā	vijQAnasya taTatA, evam yA skanDa DAtu AyatanAnAm taTatA yA
   pratītyasamutpādasya tathatā yā pratītyasamutpādāṅgānāṃ tathatā yā	pratItyasamutpAdasya taTatA yA pratItyasamutpAda aFgAnAm taTatA yA
   pāramitānāṃ tathatā yā sarvaśūnyatānāṃ tathatā yā	pAramitAnAm taTatA yA sarva SUnyatAnAm taTatA yA
   sarvavimokṣasamādhisamāpattidhāraṇīmukhānāṃ tathatā yā saptatriṃśad	sarva vimokza samADi samApatti DAraNI muKAnAm taTatA yA saptatriMSat 
   bodhipakṣyāṇāṃ dharmāṇāṃ tathatā yāpramāṇadhyānārūpyasamāpattīnāṃ tathatā	boDi pakzyANAm DarmANAm taTatA yA pramANa DyAna ArUpya samApattInAm taTatA
   yāryasatyānāṃ tathatā yā trayāṇāṃ vimokṣamukhānāṃ tathatā yā pañcānām	yArya satyAnAm taTatA yA trayANAm vimokza muKAnAm taTatA yA paQcAnAm
   abhijñānāṃ tathatā yā daśabalavaiśāradyapratisaṃvidāveṇikābuddhadharmāṇāṃ	aBijQAnAm taTatA yA daSa bala vESAradya pratisaMvid AveNikA budDa DarmANAm
   tathatā yā samyaksaṃbodhes tathatā yā srotaāpannasya tathatā yā	taTatA yA samyaksaMboDeH taTatA yA srotaApannasya taTatA yA
   sakṛdāgāminas tathatā yānāgāminas tathatā yārhatas tathatā yā	sakRdAgAminaH taTatA yAn a AgAminaH taTatA yArhataH taTatA yA
   pratyekabuddhasya tathatā yā bodhisattvasya mahāsattvasya tathatā, yā	pratyekabudDasya taTatA yA boDisattvasya mahAsattvasya taTatA, yA
   tathāgatasya tathatā, yayā tathatayā tathāgataḥ prajñapyate, api nu sā	taTAgatasya taTatA, yayA taTatayA taTAgataH prajQapyate, api nu sA
   tathatā kṣīyate vā virahyate vā nirudhyate vā prahīyate vā.	taTatA kzIyate vA virahyate vA niruDyate vA prahIyate vA.
   subhūtir āha: na bhagavan na sugata.	suBUtiH Aha: na Bagavat na sugata.
   bhagavān āha: evaṃ śikṣamāṇaḥ subhūte bodhisattvo mahāsattvas tathatāyāṃ	BagavAn Aha: evam SikzamANaH suBUte boDisattvaH mahAsattvaH taTatAyAm
   śikṣate śikṣate sarvākārajñatāyāṃ na ca tathatā kṣīyate vā virahyate vā	Sikzate Sikzate sarva AkAra jQa tAyAm na ca taTatA kzIyate vA virahyate vA
   nirudhyate vā prahīyate vā. evaṃ śikṣamāṇaḥ subhūte bodhisattvo	niruDyate vA prahIyate vA. evam SikzamANaH suBUte boDisattvaH 
   mahāsattvas tathatāyāṃ śikṣate śikṣate sarvākārajñatāyām. evaṃ śikṣamāṇaḥ	mahAsattvaH taTatAyAm Sikzate Sikzate sarva AkAra jQa tA AyAm. evam SikzamANaH
   subhūte bodhisattvo mahāsattvas tathatāyāṃ śikṣate śikṣate ṣaṭsu	suBUte boDisattvaH mahAsattvaH taTatAyAm Sikzate Sikzate zawsu
   pāramitāsu, śikṣate sarvāsu śūnyatāsu, śikṣate smṛtyupasthāneṣu, śikṣate	pAramitAsu, Sikzate sarvAsu SUnyatAsu, Sikzate smRti upasTAna izu, Sikzate
   samyakprahāṇarddhipādendriyabalabodhyaṅgamārgeṣu, śikṣate āryasatyeṣu,	samyak prahANa RdDi pAda indriya bala boDi aFga mArga izu, Sikzate Arya satyezu,
   śikṣate 'pramāṇadhyānārūpyasamāpattiṣu, śikṣate	Sikzate apramANa DyAna ArUpya samApattizu, Sikzate
   sarvavimokṣasamādhisamāpattidhāraṇīmukheṣu, śikṣate	sarva vimokza samADi samApatti DAraNI muKezu, Sikzate
   śūnyatānimittāpraṇihiteṣu, śikṣate pañcasv abhijñāsu, śikṣate	SUnyatA nimitta apraNihita izu, Sikzate paQcasu aBijQAsu, Sikzate
   daśabalavaiśāradyapratisaṃvitsu, (PSP_5:30) śikṣate 'ṣṭādaśasv āveṇikeṣu	daSa bala vESAradya pratisaMvitsu, (PSu _5:30) Sikzate azwAdaSasu AveNikezu
   buddhadharmeṣu, śikṣate sarvākārajñatāyām. evaṃ śikṣamāṇaḥ subhūte	budDa Darma izu, Sikzate sarva AkAra jQa tA AyAm. evam SikzamANaH suBUte
   bodhisattvo mahāsattvaḥ sarvaśikṣāparamapāramitām anuprāpsyati. evaṃ	boDisattvaH mahAsattvaH sarva SikzA parama pAramitAm anuprApsyati. evam
   śikṣamāṇaḥ subhūte bodhisattvo mahāsattvo na śakyate māreṇa vā	SikzamANaH suBUte boDisattvaH mahAsattvaH na Sakyate mAreNa vA
   mārakāyikābhir vā devatābhir abhimarditum. evaṃ śikṣamāṇaḥ subhūte	mAra kAyikABiH vA devatABiH aBimarditum. evam SikzamANaH suBUte
   bodhisattvo mahāsattvaḥ kṣipram avinivartanīyatām anuprāpsyati. evaṃ	boDisattvaH mahAsattvaH kzipram avinivartanIya tAm anuprApsyati. evam
   śikṣamāṇaḥ subhūte bodhisattvo mahāsattvaḥ svake paitṛke tathāgatagocare	SikzamANaH suBUte boDisattvaH mahAsattvaH svake pEtRke taTAgata gocare
   carati. evaṃ śikṣamāṇaḥ subhūte bodhisattvo mahāsattvo nāthakaraṇīyair	carati. evam SikzamANaH suBUte boDisattvaH mahAsattvaH nATa karaNIyEH 
   dharmaiś carati buddhakṣetrapariśodhanaiḥ. evaṃ śikṣamāṇaḥ subhūte	DarmEH carati budDa kzetra pariSoDanEH. evam SikzamANaH suBUte
   bodhisattvo mahāsattvo mahāmaitryāṃ śikṣate mahākaruṇāyāṃ śikṣate	boDisattvaH mahAsattvaH mahAmEtryAm Sikzate mahA karuNAyAm Sikzate
   buddhakṣetrapariśodhanāya śikṣate sattvaparipākāya śikṣate. evaṃ	budDa kzetra pariSoDanAya Sikzate sattva paripAkAya Sikzate. evam
   śikṣamāṇaḥ subhūte bodhisattvo mahāsattvas	SikzamANaH suBUte boDisattvaH mahAsattva s
   triparivartadvādaśākāradharmacakrapravartanatāyai śikṣate. evaṃ śikṣamāṇaḥ	tri parivarta dvAdaSa AkAra Darma cakra pravartana tAyE Sikzate. evam SikzamANaH
   subhūte bodhisattvo mahāsattvaḥ sarvasattvān parinirvāpayiṣyāmīti śikṣate.	suBUte boDisattvaH mahAsattvaH sarva sattvAn parinirvApayizyAmi iti Sikzate.
   evaṃ śikṣamāṇaḥ subhūte bodhisattvo mahāsattvas	evam SikzamANaH suBUte boDisattvaH mahAsattva s
   tathāgatavaṃśasyānupacchedāya śikṣate. evaṃ śikṣamāṇaḥ subhūte bodhisattvo	taTAgata vaMSasya anupacCedAya Sikzate. evam SikzamANaH suBUte boDisattvaH 
   mahāsattvo 'mṛtadhātudvāraṃ vivariṣyāmīti śikṣate, saṃskṛtadhātuṃ	mahAsattvaH amRta DAtu dvAram vivarizyAmi iti Sikzate, saMskRta DAtum
   saṃdarśayiṣyāmīti śikṣate, na hi subhūte śakyaṃ hīnasattvair iha śikṣāyāṃ	saMdarSayizyAmi iti Sikzate, na hi suBUte Sakyam hIna sattvEH iha SikzAyAm
   śikṣituṃ sarvasattvān saṃsārād uddhartukāmaḥ sa sattvo yo 'syāṃ śikṣāyāṃ	Sikzitum sarva sattvAn saMsArAt udDartu kAmaH sa sattvaH yaH asyAm SikzAyAm
   śikṣate. evaṃ śikṣamāṇaḥ subhūte bodhisattvo mahāsattvo na	Sikzate. evam SikzamANaH suBUte boDisattvaH mahAsattvaH na
   narakeṣūpapadyate, na tiryagyonau na yamaloke upapadyate, na pratyanteṣu	narakezu upapadyate, na tiryagyonO na yama loke upapadyate, na pratyantezu
   janapadeṣūpapadyate na caṇḍālakuleṣūpapadyate, nānyeṣu nīceṣu nīcavṛttiṣu	janapadezu upapadyate na caNxAla kulezu upapadyate, na anyezu nIcezu nIca vRttizu
   kutsiteṣu kuleṣūpapadyate, na kāṇo bhavati, na kuṇḍo bhavati, na laṅgo	kutsitezu kulezu upapadyate, na kANaH Bavati, na kuNxaH Bavati, na laFgaH 
   bhavati, na lallo bhavati, na vadhiro bhavati, na pakṣahato bhavati, na	Bavati, na lallaH Bavati, na vaDiraH Bavati, na pakza hataH Bavati, na
   vikalendriyo bhavati, suparipūrṇendriyo bhavati, nāparipūrṇendriyo	vikala indriyaH Bavati, su paripUrNa indriyaH Bavati, na aparipUrNa indriyaH 
   bhavati, na prāṇātipātiko bhavati, nādattādāyī bhavati, na kāmamithyācārī	Bavati, na prANa atipAtikaH Bavati, na adattA dAyI Bavati, na kAma miTyA AcArI
   bhavati, na mṛṣāvādī bhavati, na paruṣavāg bhavati, na piśunavāg bhavati,	Bavati, na mRzAvAdI Bavati, na paruza vAc Bavati, na piSuna vAc Bavati,
   nābaddhapralāpī bhavati, nābhidhyālur bhavati, na vyāpannacitto bhavati,	na AbadDa pralApI Bavati, na aBiDyAluH Bavati, na vyApanna cittaH Bavati,
   na mithyādṛṣṭir bhavati, na mithyājīvena jīvikāṃ kalpayati,	na miTyAdRzwiH Bavati, na miTyA jIvena jIvikAm kalpayati,
   nābhūtaparigrahaṃ karoti, na duḥśīlaparigrāhako bhavati. evaṃ śikṣamāṇaḥ	na aBUta parigraham karoti, na duHSIla parigrAhakaH Bavati. evam SikzamANaH
   subhūte bodhisattvo mahāsattvo na dīrghāyuṣkeṣu devesūveṣūpapadyate. tat	suBUte boDisattvaH mahAsattvaH na dIrGa Ayuzkezu devesUvezu upapadyate. tat 
   kasya hetoḥ? tathā (PSP_5:31 ) hy asti tasyopāyakauśalyaṃ	kasya hetoH? taTA (PSu _5:31 ) hi asti tasya upAya kOSalyam
   yenopāyakauśalyena samanvāgato bodhisattvo mahāsattvo dhyānāni ca	yena upAya kOSalyena samanvAgataH boDisattvaH mahAsattvaH DyAnAni ca
   samāpadyate, apramāṇāni ca samāpadyate, ārūpyasamāpattīś ca samāpadyate,	samApadyate, apramANAni ca samApadyate, ArUpya samApattIH ca samApadyate,
   na ca dhyānānāṃ na cāpramāṇānāṃ na cārūpyasamāpattīnāṃ vaśenopapadyate.	na ca DyAnAnAm na ca apramANAnAm na ca ArUpya samApattInAm vaSena upapadyate.
   evaṃ śikṣamāṇaḥ subhūte bodhisattvo mahāsattvaḥ sarvadharmāṇāṃ pariśuddhim	evam SikzamANaH suBUte boDisattvaH mahAsattvaH sarva DarmANAm pariSudDim
   adhigacchati, śrāvakabhūmeḥ pratyekabuddhabhūmer api pariśuddhim	aDigacCati, SrAvaka BUmeH pratyekabudDa BUmeH api pariSudDim
   adhigacchati.	aDigacCati.
   evam ukte āyuṣmān subhūtiḥ sthaviro bhagavantam etad avocat: yad bhagavan	evam ukte AyuzmAn suBUtiH sTaviraH Bagavantam etat avocat: yat Bagavan
   sarvadharmāḥ prakṛtipariśuddhās, tat katamasya dharmasya bodhisattvo	sarva DarmAH prakRti pariSudDAs, tat katamasya Darmasya boDisattvaH 
   mahāsattvaḥ pariśuddhim adhigacchati?	mahAsattvaH pariSudDim aDigacCati?
   bhagavān āha: evam etat subhūte evam etat, yathā vadasi sarvadharmāḥ	BagavAn Aha: evam etat suBUte evam etat, yaTA vadasi sarva DarmAH
   subhūte parakṛtipariśuddhāḥ, evaṃ pariśuddheṣu subhūte sarvadharmeṣu	suBUte para kRti pariSudDAH, evam pariSudDezu suBUte sarva Darmezu
   bodhisattvasya mahāsattvasya prajñāpāramitāyāṃ śikṣamāṇasya yā	boDisattvasya mahAsattvasya prajQApAramitAyAm SikzamANasya yA
   tatrāsaṃsīdanatā anavalīnatā, iyaṃ subhūte bodhisattvasya mahāsattvasya	tatra asaMsIdana tA anavalInatA, iyam suBUte boDisattvasya mahAsattvasya
   prajñāpāramitā. tatsarvabālapṛthagjanā etān dharmān na jānanti na	prajQApAramitA. tad sarva bAla pRTagjanAH etAn DarmAn na jAnanti na
   paśyanti, teṣāṃ sattvānāṃ kṛtena bodhisattvo mahāsattvo dānapāramitāyāṃ	paSyanti, tezAm sattvAnAm kRtena boDisattvaH mahAsattvaH dAna pAramitAyAm
   carati śīlapāramitāyāṃ carati kṣāntipāramitāyāṃ carati vīryapāramitāyāṃ	carati SIla pAramitAyAm carati kzAnti pAramitAyAm carati vIrya pAramitAyAm
   carati dhyānapāramitāyāṃ carati prajñāpāramitāyāṃ carati,	carati DyAna pAramitAyAm carati prajQApAramitAyAm carati,
   adhyātmaśūnyatāyāṃ carati yāvad abhāvasvabhāvaśūnyatāyāṃ carati,	aDyAtma SUnyatAyAm carati yAvat aBAva svaBAva SUnyatAyAm carati,
   smṛtyupasthāneṣu carati, samyakprahāṇarddhipādendriyabalabodhyaṅgamārgeṣu	smRti upasTAnezu carati, samyak prahANa RdDi pAda indriya bala boDi aFga mArgezu
   caraty, āryasatyeṣv apramāṇadhyānārūpyasamāpattiṣu carati,	caraty, Arya satyezu apramANa DyAna ArUpya samApattizu carati,
   sarvavimokṣasamādhisamāpattidhāraṇīmukheṣu carati,	sarva vimokza samADi samApatti DAraNI muKezu carati,
   śūnyatānimittāpraṇihiteṣu carati, pañcasv abhijñāsu carati	SUnyatA nimitta apraNihitezu carati, paQcasu aBijQAsu carati
   daśabalavaiśāradyapratisaṃvitsu carati, aṣṭādaśāveṇikeṣu buddhadharmeṣu	daSa bala vESAradya pratisaMvitsu carati, azwAdaSa AveNikezu budDa Darmezu
   carati sarvākārajñatāyāṃ carati. evaṃ śikṣamāṇaḥ subhūte bodhisattvo	carati sarva AkAra jQa tAyAm carati. evam SikzamANaH suBUte boDisattvaH 
   mahāsattvaḥ sarvadharmeṣu balavaiśāradyam anuprāpnoti. evaṃ śikṣamāṇaḥ	mahAsattvaH sarva Darmezu bala vESAradyam anuprApnoti. evam SikzamANaH
   subhūte bodhisattvo mahāsattvaḥ sarvasattvacittacaritānāṃ pāraṃ gacchati.	suBUte boDisattvaH mahAsattvaH sarva sattva citta caritAnAm pAram gacCati.
   iti navamī	iti navamI
   tadyathāpi nāma subhūte 'lpakās te mahāpṛthivīpradeśā yatra jāṃbūnadaṃ	tat yaTA api nAma suBUte alpakAH te mahA pRTivI pradeSAH yatra jAMbUnadam
   suvarṇaṃ jātarūpam utpadyate, evam eva subhūte 'lpakās te sattvā ya iha	suvarNam jAtarUpam utpadyate, evam eva suBUte alpakAH te sattvAH yaH iha
   śikṣāyāṃ śikṣaṇte, yad uta prajñāpāramitāśikṣāyām ito bahutarakās te	SikzAyAm SikzaNte, yat uta prajQApAramitA SikzAyAm itas bahutarakAH te
   sattvā ye śrāvakapratyekabuddhabhūmau saṃprasthitāḥ. iti daśamī	sattvAH ye SrAvaka pratyekabudDa BUmO saMprasTitAH. iti daSamI
   tadyathāpi nāma subhūte 'lpakās te sattvā ye cakravartirājyasaṃvartanīyaṃ	tat yaTA api nAma suBUte alpakAH te sattvAH ye cakravarti rAjya saMvartanIyam
   karma samādāya vartante, ataḥ prabhūtatarakās te sattvā (PSP_5:32) ye	karma samAdAya vartante, atas praBUtatarakAH te sattvAH (PSu _5:32) ye
   koṭṭarājyaṃ saṃvartanīyaṃ karma samadāya vartante. evam eva subhūte	kowwarAjyam saMvartanIyam karma samadAya vartante. evam eva suBUte
   'lpatarakās te sattvā ya imaṃ sarvākārajñatāmārgaṃ samāruhanti, ataḥ	alpatarakAH te sattvAH yaH imam sarva AkAra jQa tA mArgam samAruhanti, atas 
   prabhūtatarakās te sattvā ye śrāvakapratyekabuddhamārgaṃ samāruhanti. ye	praBUtatarakAH te sattvAH ye SrAvaka pratyekabudDa mArgam samAruhanti. ye
   'pi te subhūte bodhisattvā mahāsattvā anuttarāyai samyaksaṃbodhaye	api te suBUte boDisattvAH mahAsattvAH anuttarAyE samyaksaMboDaye
   saṃprasthitās tato 'lpakās te bodhisattvā mahāsattvā ye tathatāyai	saMprasTitAH tatas alpakAH te boDisattvAH mahAsattvAH ye taTatAyE
   pratipadyante, ataḥ prabhūtatarakās te sattvā ye	pratipadyante, atas praBUtatarakAH te sattvAH ye
   śrāvakapratyekabuddhatvāya sthāsyanti. ye 'pi te subhūte	SrAvaka pratyekabudDa tvAya sTAsyanti. ye api te suBUte
   bodhisattvayānikāḥ kulaputrāḥ kuladuhitaraḥ prajñāpāramitayāvirahitā ye	boDisattva yAnikAH kula putrAH kula duhitaraH prajQApAramitayA avirahitAH ye
   'vinivartanīyabhūmim avakramiṣyanti, ataḥ prabhūtatarakās te ye	avinivartanIya BUmim avakramizyanti, atas praBUtatarakAH te ye
   sattvāvinivartanīyabhūmin nāvakramiṣyanti, tasmāt tarhi subhūte	sattva avinivartanIya BUmin na avakramizyanti, tasmAt tarhi suBUte
   bodhisattvena mahāsattvenāvinivartanīyabhūmim	boDisattvena mahAsattvena avinivartanIya BUmim
   anuprāptukāmenāvinivartanīyabhūmau gaṇanāṃ gantukāmenehaiva gambhīrāyāṃ	anuprAptukAmena avinivartanIya BUmO gaNanAm gantu kAmena iha eva gamBIrAyAm
   prajñāpāramitāyāṃ śikṣitavyam. ity ekādaśī	prajQApAramitAyAm Sikzitavyam. iti ekAdaSI
   punar aparaṃ subhūte bodhisattvasya mahāsattvasya prajñāpāramitāyāṃ carato	punar aparam suBUte boDisattvasya mahAsattvasya prajQApAramitAyAm carataH 
   na mātsaryasahagataṃ cittam utpadyate, na dauḥśīlyasahagataṃ cittam	na mAtsarya sahagatam cittam utpadyate, na dOHSIlya saha gatam cittam
   utpadyate, na kṣobhasahagataṃ cittam utpadyate, na kauśīdyasahagataṃ	utpadyate, na kzoBa saha gatam cittam utpadyate, na kOSIdya sahagatam
   cittam utpadyate, na vikṣiptasahagataṃ cittam utpadyate, na	cittam utpadyate, na vikzipta saha gatam cittam utpadyate, na
   dauḥprajñāsahagataṃ cittam utpadyate, na rāgasahagataṃ cittam utpadyate,	dOHprajQA sahagatam cittam utpadyate, na rAga saha gatam cittam utpadyate,
   na dveṣasahagataṃ cittam utpadyate, na mohasahagataṃ cittam utpadyate, na	na dveza saha gatam cittam utpadyate, na moha sahagatam cittam utpadyate, na
   khilasahagataṃ cittam utpadyate. iti dvādaśī	Kila saha gatam cittam utpadyate. iti dvAdaSI
   na rūpasahagataṃ cittam utpadyate, na vedanāsaṃjñāsaṃskārasahagataṃ cittam	na rUpa sahagatam cittam utpadyate, na vedanA saMjQA saMskAra sahagatam cittam
   utpadyate, na vijñānasahagataṃ cittam utpadyate na	utpadyate, na vijQAna saha gatam cittam utpadyate na
   skandhadhātvāyatanapratītyasamutpādapratītyasamutpādāṅgasahagataṃ cittam	skanDa DAtu Ayatana pratItyasamutpAda pratItyasamutpAda aFga saha gatam cittam
   utpadyate, evaṃ na sarvaśūnyatāḥ sarvapāramitāḥ	utpadyate, evam na sarva SUnyatAH sarva pAramitAH
   saptatriṃśadbodhipakṣyadharmāryasatyāpramāṇadhyānārūpyasamāpattiśūnyatānimittāpraṇihitābhijñāsarvavimokṣasamādhisamāpattidhāraṇīmukhadaśabalavaiśāradyapratisaṃvidāveṇikabuddhadharmasahagataṃ	saptatriMSat boDi pakzya Darma Arya satya apramANa DyAna ArUpya samApatti SUnyatA nimitta apraNihita aBijQA sarva vimokza samADi samApatti DAraNI muKa d
   cittam utpadyate, na samyaksaṃbodhisaghagataṃ cittam utpadyate. tat kasya	cittam utpadyate, na samyaksaMboDi saGa gatam cittam utpadyate. tat kasya
   hetoḥ? tathā hi subhūte bodhisattvo mahāsattva iha gambhīrāyāṃ	hetoH? taTA hi suBUte boDisattvaH mahAsattvaH iha gamBIrAyAm
   prajñāpāramitāyāñ caran na kañcid dharmam upalabhate, anupalambhamāno na	prajQApAramitAyAn caran na kaQcid Darmam upalaBate, anupalamBamAnaH na
   kañcid dharmacittam utpādayati. evaṃ khalu subhūte iha gambhīrāyāṃ	kaQcid Darma cittam utpAdayati. evam Kalu suBUte iha gamBIrAyAm
   prajñāpāramitāyāṃ śikṣamāṇena bodhisattvena mahāsattvena sarvāḥ pāramitāḥ	prajQApAramitAyAm SikzamANena boDisattvena mahAsattvena sarvAH pAramitAH
   saṃgṛhītā bhavanti, sarvāḥ pāramitāḥ samudānītā bhavanti, sarvāḥ pāramitā	saMgRhItAH Bavanti, sarvAH pAramitAH samudAnItAH Bavanti, sarvAH pAramitA
   (PSP_5:33) anugatā bhavanti. tat kasya hetoḥ? tathā hi subhūte iha	(PSu _5:33) anugatAH Bavanti. tat kasya hetoH? taTA hi suBUte iha
   gambhīrāyāṃ prajñāpāramitāyāṃ sarvāḥ pāramitā antargatā bhavanti. iti	gamBIrAyAm prajQApAramitAyAm sarvAH pAramitA antargatAH Bavanti. iti
   trayodaśī	trayodaSI
   tadyathāpi nāma subhūte satkāyadṛṣṭyāṃ dvāṣaṣṭidṛṣṭigatāny antargatāni	tat yaTA api nAma suBUte sat kAya dRzwyAm dvAzazwi dRzwi gatAni antargatAni
   bhavanti, evam eva subhūte bodhisattvasya mahāsattvasyeha gambhīrāyāṃ	Bavanti, evam eva suBUte boDisattvasya mahAsattvasya iha gamBIrAyAm
   prajñāpāramitāyāṃ carataḥ sarvāḥ pāramitā antargatā bhavanti. tadyathāpi	prajQApAramitAyAm carataH sarvAH pAramitAH antargatAH Bavanti. tat yaTA api
   nāma subhūte puruṣasya kālagatasya jīvitendriye niruddhe sarvāṇīndriyāṇi	nAma suBUte puruzasya kAlagatasya jIvita indriye nirudDe sarvANi indriyANi
   niruddhāni bhavanti. evam eva subhūte bodhisattvasya mahāsatvasyeha	nirudDAni Bavanti. evam eva suBUte boDisattvasya mahAsatvasya iha
   gambhīrāyāṃ prajñāpāramitāyāṃ carataḥ sarvāḥ pāramitā antargatā bhavanti,	gamBIrAyAm prajQApAramitAyAm carataH sarvAH pAramitAH antargatAH Bavanti,
   tasmāt tarhi subhūte bodhisattvena mahāsattvena sarvapāramitānāṃ pāraṃ	tasmAt tarhi suBUte boDisattvena mahAsattvena sarva pAramitAnAm pAram
   gantukāmena iha gambhīrāyāṃ prajñāpāramitāyāṃ śikṣitavyam. iti caturdaśī	gantu kAmena iha gamBIrAyAm prajQApAramitAyAm Sikzitavyam. iti caturdaSI
   iha punaḥ subhūte gambhīrāyāṃ prajñāpāramitāyāṃ śikṣamāṇo bodhisattvo	iha punar suBUte gamBIrAyAm prajQApAramitAyAm SikzamANaH boDisattvaH 
   mahāsattvaḥ sarvasattvānām agratāyai śikṣate. tat kiṃ manyase? subhūte ye	mahAsattvaH sarva sattvAnAm agra tAyE Sikzate. tat kim manyase? suBUte ye
   trisāhasramahāsāhasre lokadhātau sattvā api nu te bahavaḥ.	tri sAhasra mahA sAhasre lokaDAtO sattvAH api nu te bahavaH.
   subhūtir āha: bahavo bhagavan jāṃbūdvīpakā eva tāvat sattvāḥ kaḥ punar	suBUtiH Aha: bahavaH Bagavan jAMbUdvIpakAH eva tAvat sattvAH kaH punar 
   vādo ye trisāhasramahāsāhasre lokadhātau sattvāḥ.	vAdaH ye tri sAhasra mahA sAhasre lokaDAtO sattvAH.
   bhagavān āha: yāvantaḥ subhūte trisāhasramahāsāhasre lokadhātau sattvās te	BagavAn Aha: yAvantaH suBUte tri sAhasra mahA sAhasre lokaDAtO sattvAH te
   sarve 'pūrvācaramamānuṣyakam ātmabhāvaṃ pratilabhyānuttarāṃ	sarve apUrvA caram amAnuzyakam Atma BAvam pratilaBya anuttarAm
   samyaksaṃbodhim abhisaṃbudhyeraṃs tāṃ sarvān ekaiko bodhisattvo yāvajjīvaṃ	samyaksaMboDim aBisaMbuDyeran tAm sarvAn ekEkaH boDisattvaH yAvat jIvam
   tiṣṭhaṃs tathāgatān arhataḥ samyaksaṃbuddhāṃś	tizWan taTAgatAn arhataH samyaksaMbudDa aMS
   cīvarapiṇḍapātaśayanāsanaglānapratyayabhaiṣajyapariṣkārair upatiṣṭhet. tat	cIvara piNxapAta Sayana Asana glAna pratyaya BEzajya parizkArEH upatizWet. tat 
   kiṃ manyase? subhūte 'pi nu sa bodhisattvo mahāsattvas tatonidānaṃ	kim manyase? suBUte api nu sa boDisattvaH mahAsattvaH tatonidAnam
