   Śrāvakabhūmiḥ	ŚrAvaka BUmiH
   pratisaṃkhyānabalasaṃgṛhī[to bhāvanābalaṃsaṃgṛhī]taśca |	pratisaMKyAna bala saMgRhI[taH BAvanA balaMsaMgRhI]taH ca |
   tatra pratisaṃkhyānabala saṃgṛhīto yena viṣyeṣvādīnavaṃ paśyati | no tu	tatra pratisaMKyAna bala saMgRhItaH yena vizyezu AdInavam paSyati | no tu
   tamādīnavaṃ vyapakarṣati | prajahāti | tatra [bhā]vanābalasaṃgṛhīto yena	tam AdInavam vyapakarzati | prajahAti | tatra [BA]vana abala saMgRhItaH yena
   viṣyeṣvādīnavaṃ paśyati, taṃ ca punarādīnavaṃ vyapakarṣati | prajahāti |	vizyezu Adi inavam paSyati, tam ca punar AdInavam vyapakarzati | prajahAti |
   tatra pratisaṃkhyānabalasaṃgṛhītenendriyasamvareṇa viṣayālambanaṃ	tatra pratisaMKyAna bala saMgRhItena indriya samvareNa vizaya Alambanam
   kleśaparyavasthānaṃ notpādayati, na saṃmukhīkaroti | na	kleSa paryavasTAnam na utpAdayati, na saMmuKIkaroti | na
   caivāśa(śra)yasanniviṣṭamanuśayaṃ pra[jahā]ti, samudghātayati | tatra	ca eva aSa(Sra)ya sannivizwam anuSayam pra[jahA]ti, samudGAtayati | tatra
   bhāvanābalasaṃgṛhīte[ne]ndriyasamvareṇa viṣayālambanaṃ ca	BAvanA bala saMgRhIte[ne]ndriya samvareNa vizaya Alambanam ca
   kleśaparyavasthānaṃ notpādayati, na sammukhīkaroti | sarvadā	kleSa paryavasTAnam na utpAdayati, na sammuKIkaroti | sarvadA
   sarvakālamāśrayasanniviṣṭaṃ cānuśayaṃ prajahāti | samudghātayati |	sarva kAlam ASraya sannivizwam ca anuSayam prajahAti | samudGAtayati |
   ayamviśeṣaḥ, ayamabhiprāyaḥ | ida[ma]nākaraṇaṃ	ayam viSezaH, ayam aBiprAyaH | ida[ma]nAkaraNam
   pratisaṃkhyānabalasaṃgṛhītasya bhāvanābalasaṃgṛhītasya cendriyasamvarasya	pratisaMKyAna bala saMgRhItasya BAvanA bala saMgRhItasya ca indriya samvarasya
   | tatra yo [a]yaṃ pratisaṃkhyānabalasaṃgṛhīta indriyasamvaro [a]yaṃ	| tatra yaH [a]yam pratisaMKyAna bala saMgRhItaH indriya samvaraH [a]yam
   saṃbhāramārgasaṃgṛhītaḥ [|] yaḥ punarbhāvanābalasaṃgṛhīta indriyasamvaraḥ	saMBAra mArga saMgRhItaH [|] yaH punar BAvanA bala saMgRhItaH indriya samvaraH
   | sa vairāgyabhūmipatito veditavyaḥ ||	| sa vErAgya BUmi patitaH veditavyaH ||
   bhojane mātrajñatā katamā | yathāpīhaikatyaḥ pratisaṃkhyāyāhāramāharati |	Bojane mAtra jQa tA katamA | yaTA api iha ekatyaH pratisaMKyAya AhAram Aharati |
   (Śbh_Sh: 74) na dravārthaṃ, na maṇḍanārthaṃ, na vibhūṣaṇārthamiti	(ŚB_Sh: 74) na drava arTaM, na maNxana arTaM, na viBUzaNa arTam iti
   vistareṇa pūrvavat |	vistareNa pUrvavat |
   kathaṃ pratisaṃkhyāyāhāramāharati | pratisaṃkhyocyate yayā prajñayā	kaTam pratisaMKyAya AhAram Aharati | pratisaMKyA ucyate yayA prajQayA
   kabaḍaṃkārasyāhārasyādīnavaṃ samanupaśyatyādīnavadarśanena (Śbh_Sh 75)	kabaxaMkArasya AhArasya AdInavam samanupaSyati AdIn avadarSanena (ŚB_Sh 75)
   vidūṣayitvā (vidūṣyā)bhyavaharati ||	vidUzayitvA (vidUzyA)Byavaharati ||
   tatpunarādīnavadarśanaṃ katamat | yaduta yasyaiva kabaḍaṃkārasya	tad punar AdIn ava darSanam katamat | yat uta yasya eva kabaxaMkArasya
   paribhogānvayo vā, vipariṇāmānvayo vā, paryeṣaṇānvayo vā |	pariBoga anvayaH vA, vipariNAma anvayaH vA, paryezaNa anvayaH vA |
   paribhogānvaya ādīnavaḥ (katamaḥ) [|] yathāpīhaikatyo yasmin samaye	pariBoga anvayaH AdInavaH (katamaH) [|] yaTA api iha ekatyaH yasmin samaye
   āhāramāharati varṇasampannamapi, gandhasampannamapi, rasasampannamapi,	AhAram Aharati varNa sampannam api, ganDa sampannam api, rasa sampannam api,
   supraṇītamapi [|] tasya kabaḍaṃkāra āhāraḥ samanantarakṣipta eva āsye yadā	su praNItam api [|] tasya kabaxaMkAraH AhAraH samanantara kziptaH eva Asye yadA
   dantayantracūrṇitaśca, lālāvisaraviklinnaśca bhavati | lālāpariveṣṭitaśca	dantayantra cUrNitaH ca, lAlA visara viklinnaH ca Bavati | lAlA parivezwitaH ca
   bhavati | sa tasmin samaye kaṇṭhanālīpraluṭhitaśca bhavati | sa yāsau	Bavati | sa tasmin samaye kaNWa nAlI praluWitaH ca Bavati | sa yA asO
   pūrvikā, purāṇā manāpatā (na āpatā) tāṃ sarveṇa sarvaṃ vijahāti | parāṃ ca	pUrvikA, purANAH manApatA (naH ApatA) tAm sarveNa sarvam vijahAti | parAm ca
   vikṛtimāpadyate | yasyāṃ ca vikṛtau (Śbh_Sh 76) vartamānaśchanditakopamaḥ	vikRtim Apadyate | yasyAm ca vikRtO (ŚB_Sh 76) vartamAnaH Canditaka upamaH
   khyāti | tadavasthaṃ cainaṃ sa cedayaṃ bhoktā puruṣapudgalaḥ sa cedākārato	KyAti | tad avasTam ca enam sa ced ayam BoktA puruza pudgalaH sa ced AkArataH 
   manasi kuryāt samanusmarennāsya sarveṇa sarvamanyatrāpi tāvadavipariṇate,	manasi kuryAt samanusmaret na asya sarveNa sarvam anyatra api tAvat avipariNate,
   praṇīte bhojane bhogakāmatā santiṣṭheta | kaḥ punarvādastatra tadavastha	praNIte Bojane Boga kAma tA santizWeta | kaH punar vAdaH tatra tad avasTa
   iti ya ebhirākauraranekavidhairanayānupūrvyā bhojanaparibhogamadhipatiṃ	iti yaH eBiH AkOraranekaviDEH anayA AnupUrvyA Bojana pariBogam aDipatim
   kṛtvā yāsau śubhā varṇanibhā antarīyate, ādīnavaśca prādurbhavati	kRtvA yA asO SuBA varNa niBAH antarIyate, AdInavaH ca prAdurBavati
   aśū(śu)cisaṃgṛhītaḥ [|] ayamucyate paribhogānvayaḥ | ādīnavaḥ | yaduta	aSU(Su)ci saMgRhItaH [|] ayam ucyate pariBoga anvayaH | AdInavaH | yat uta
   āhāre |	AhAre |
   tatra katamo vipariṇāmānvaya ādīnava āhāre | tasya tamāhāramāhṛtavatastu	tatra katamaH vipariNAma anvayaH AdInavaH AhAre | tasya tam AhAram AhRtavataH tu
   [ṣṭava] taḥ yadā vipariṇamati rātryā madhyame vā yāme, paścime vā yāme,	[zwava] taH yadA vipariNamati rAtryA maDyame vA yAme, paScime vA yAme,
   tadā sa rudhiramānsa(māṃsa)snāyvasthitvagādīnyanekavidhāni	tadA sa ruDiramAn sa( mAMsa) snAyu asTi tvac AdIni anekaviDAni
   bahunānāprakārāṇi | asmin kāye aśucindravyāṇi vivardhayati saṃjanayati |	bahu nAnA prakArANi | asmin kAye aSucindravyANi vivarDayati saMjanayati |
   arthataśca | atipariṇataścādhobhāgī (Śbh_Sh: 77) bhavati | yadasya divase	arTataH ca | ati pariNataH ca aDoBAgI (ŚB_Sh: 77) Bavati | yat asya divase
   śocayitavyaṃ ca bhavati | tena ca yaḥ spṛṣṭo bhavati | hasto (tau) vā pādo	Socayitavyam ca Bavati | tena ca yaH spRzwaH Bavati | hastaH (tO) vA pAdaH 
   (dau) vā, anyatamā nyatamajvā (maṃvā) aṃgapratyaṃgaṃ, bahirdhā gupyanīyaṃ	(dO) vA, anyatamA nyatam ajvA (maMvA) aMga pratyaMgan, bahirDA gupyanIyam
   (gopanīyaṃ) bhavatyātmanaḥ pareṣāṃ ca (|) tannidānāścāsyotpadyante | kāye	(gopanIyan) Bavati AtmanaH parezAm ca (|) tad nidAnAH ca asya utpadyante | kAye
   bahavaḥ kāyikā ābādhāḥ | tadyathā gaṇḍaḥ, piṭakaḥ, dadrū, vicarcikā,	bahavaH kAyikAH AbADAH | tat yaTA gaNxaH, piwakaH, dadrU, vicarcikA,
   kaṇḍū[ḥ], kuṣṭhaḥ, kiṭibhaḥ, kivāso (kilāso), jvaraḥ kāsaḥ śothaḥ,	kaNxU[H], kuzWaH, kiwiBaH, kivAsaH (kilAso), jvaraH kAsaH SoTaH,
   śoṣāpasmāra (śoṣo 'pasmāra), āṭakkaraṃ, pāṇḍurogaḥ, rudhiraṃ,	Soza apasmAraH (SozaH apasmAra), AwakkaraM, pANxu rogaH, ruDiraM,
   pittabhagandara itīme cānye bhairaṃbhagaṃyā ([a]pyevaṃbhāgīyāḥ) kāye	pitta BagandaraH iti ime ca anye BEraMBagaMyAH ([a]pi evaMBAgIyAH) kAye
   kāyikā ābādhā utpadyante | bhuktamvā [a]sya vipadyate | yenāsya kāye	kAyikAH AbADAH utpadyante | Buktam vA [a]sya vipadyate | yena asya kAye
   viṣūcikā santiṣṭhate | ayamucyate (Śbh_Sh: 78) vipariṇāmācca ya ādīnavo	vizUcikA santizWate | ayam ucyate (ŚB_Sh: 78) vipariNAmAt ca yaH AdInavaH 
   yaduta āhāre |	yat uta AhAre |
   tatra katamaḥ paryeṣaṇānna(nva)yaādīnava āhāre | paryeṣaṇānvaya ādīnavo	tatra katamaH paryezaNa anna (nva)yaa AdIn avaH AhAre | paryezaNa anvayaH AdInavaH 
   [a]nekavidha[ḥ] samudānanākṛtaḥ | ārakṣākṛtaḥ | snehaparibhraṃśakṛtaḥ |	[a]neka viDa[H]  samudAnanA kRtaH | ArakzA kRtaH | sneha pariBraMSa kRtaH |
   atṛptikṛtaḥ | asvātantryakṛtaḥ duścaritakṛtaśca |	atRpti kRtaH | asvAtantrya kRtaH duScarita kRtaH ca |
   tatra katama ādīnava āhāre [|] samudānanā kṛtaḥ [|] yathāpīhaikatyaḥ	tatra katamaH AdInavaH AhAre [|] samudAnanA kRtaH [|] yaTA api iha ekatyaH
   āhārahetorāhāranidānaṃ śīte śītena hanyamānaḥ, uṣṇe uṣṇena hanyamānaḥ,	AhAra hetoH AhAra nidAnam SIte SItena hanyamAnaH, uzNe uzNena hanyamAnaH,
   utsahate, ghaṭate, vyāyacchate | kṛṣiṇā vā, gorakṣyeṇa vā, vāṇijyena vā,	utsahate, Gawate, vyAyacCate | kRziNA vA, gorakzyeNa vA, vANijyena vA,
   lipigaṇanāvyasanasaṃkhyāmudrayā [a]nekavidhena	lipi gaNanA vyasana saMKyA mudrayA [a]nekaviDena
   śilpasthānakarmasthānenāpratilabdhasya vāhārasya pratilambhāya, upacayāya	Silpa sTAna karma sTAnena apratilabDasya vA AhArasya pratilamBa aya, upacayAya
   vā [|] yathā āhārasye (syai)vamāhāranidānasya [|] tasyaivamutsahato,	vA [|] yaTA AhArasye (sya e)vam AhAra nidAnasya [|] tasya evam utsahataH ,
   ghaṭata(to), vyāyacchata (ḥ), sa cette karmāntā vipadyante | sa taṃ	Gawata(to), vyAyacCata (H), sa ced te karmAntAH vipadyante | sa tam
   nidānaṃ (tannidānaṃ) śocati klāmyati, paridevate | urastāḍayati |	nidAnam (tad nidAnaM) Socati klAmyati, paridevate | uraH tAxayati |
   krandati  saṃgo vā [mā] māpadyate | moho bata me svāyāso [a]tiphala iti |	krandati saMgaH vA [mA] mA Apadyate | mohaH bata me svAyAsaH [a]tiPalaH iti |
   ayamu(yaṃ samu)dānanā sahagataḥ ādīnavo yaduta āhāre [|]	ayam u(yam sa mu)da AnanA saha gataH AdInavaH yat uta AhAre [|]
   sa cetsaṃpadyate sa tasyārakṣādhikaraṇahetostīvramautsukyamāpadyayate |	sa ced saMpadyate sa tasya Arakza aDikaraNa hetoH tIvram Otsukyam Apadyayate |
   kaccinme bhogā rājñā vā apahriyeraṃścaurairvā, agninā vā dahyerannudakena	kaccit me BogAH rAjQA vA apahriyeran= cOrEH vA, agninA vA dahyeH an= udakena
   vā uhyeyuḥ | kuniha(hi)tā vā nidhayaḥ praṇaśyeyuḥ (Śbh_Sh: 79) kuprayuktā	vE uhyeyuH | kuniha( hi)tA vA niDayaH praNaSyeyuH (ŚB_Sh: 79) ku prayuktA
   vā karmāntāḥ pralujyeran, apriyo(yā)vā dāyādā adhigaccheyuḥ | kulevā	vA karmAntAH pralujyeran, apriyo(yA a) vA dAyAdAH aDigacCeyuH | kulevA
   kulāṃgāra utpadyeta | yastānbhogānanayena vyasanamāpādaye	kula aMgAraH utpadyeta | yaH tAn BogAn anayena vyasanam ApAdaye
   [da]yamārakṣāsahagata ādīnavo yaduta āhāre |	[da]yama ArakzA sahagataH AdInavaH yat uta AhAre |
   katama ādīnava[ḥ] snehaparibhraṃśakṛtaḥ | yathāpi	katamaH AdInava[H] sneha pariBraMSa kRtaH | yaTA api
   tadāhāranidānamāhārādhikaraṇahetormātā putrasyāvarṇambhāṣate | putro	tad AhAra nidAnam AhAra aDikaraNa hetoH mAtA putrasya AvarNamBAzate | putraH 
   mātyaḥ (mātuḥ), pitā putrasya, putro (traḥ) pituḥ, bhrātā bhaginyā,	mAtyaH (mAtuH), pitA putrasya, putraH (traH) pituH, BrAtA BaginyA,
   bhaginī bhrātuḥ | sahāyakaḥ | sahāyakasya | prāgeva jano janasya [|] te	BaginI BrAtuH | sahAyakaH | sahAyakasya | prAk eva janaH janasya [|] te
   (|) cānyonyaṃ vigṛhītā bhavanti, vivādamāpannāstathāudārā	(|) ca anyonyam vigRhItAH Bavanti, vivAdam ApannAH taTA udArA
   brāhmaṇakṣatriyagṛhapatimahāsālā āhārādhikaraṇahetorevaṃ	brAhmaNa kzatriya gRhapati mahA sAlAH AhAra aDikaraNa hetoH evam
   vigṛhītāvivādamāpannāḥ anyonyaṃ pāṇinā praharanti | loṣṭhenāpi, daṇḍenāpi,	vigRhItO= iva Adam ApannAH anyonyam pANinA praharanti | lozWena api, daNxena api,
   śastreṇāpi praharantyayamucyate snehaparibhaṃśakṛta ādīnavaḥ |	SastreNa api praharanti ayam ucyate sneha pariBaMSa kRtaH AdInavaH |
   tatra katamaḥ | atṛptikṛta ādīnavaḥ | yathāpi tadrājānaḥ kṛtiyā (kṣatriyā)	tatra katamaH | atRpti kRtaH AdInavaH | yaTA api tad rAjAnaH kRtiyA (kzatriyA)
   mūrddhābhiṣiktāḥ, sveṣu grāmanigamarāṣṭrarājadhānīṣu asaṃtuṣṭā viharanta	mUrdDA aBiziktAH, svezu grAma nigama rAzwra rAja DAnIzu asaMtuzwAH viharanta
   ubhayato [a]bhyūhakāni saṃgrāmānīkāni pratisaranti | śaṃkhai(ḥ)	uBayatas [a]ByUhakAni saMgrAma anIkAni pratisaranti | SaMKE(H)
   kampa(mpya)mānaiḥ, paṭāhairvādyamānaiḥ, iṣubhiḥ kṣipyamāṇairvividhaiste	kampa(mpya)mAnEH, pawAhEH vAdyamAnEH, izuBiH kzipyamANEH viviDEH te
   tatra bhrāntenāśvena sārdhaṃ samāgacchanti || bhrāntena hastinā, sthena,	tatra BrAntena aSvena sArDam samAgacCanti || BrAntena hastinA, sTena,
   pattinā sārdhaṃ samāgacchanti | iṣubhiḥ śaktibhirvā apakṛttagātrā (Śbh_Sh:	pattinA sArDam samAgacCanti | izuBiH SaktiBiH vA apakRtta gAtrA (ŚB_Sh:
   80) maraṇamvā ni (vi)gacchanti | maraṇamātraṃ vā duḥkhamayamucyate |	80) maraNam vA ni (vi)gacCanti | maraNa mAtram vA duHKa mayam ucyate |
   atṛptikṛta ādīnava iti yo vā punarapyevaṃbhāgīyaḥ ||	atRpti kRtaH AdInavaH iti yaH vA punar api evaMBAgIyaH ||
   tatra katamaḥ | asvātantryakṛta ādīnavaḥ | yathāpi tadrājñaḥ pauruṣeyā	tatra katamaH | asvAtantrya kRtaH AdInavaH | yaTA api tad rAjQaH pOruzeyA
   āvarodhikāni nagarāṇyanupraskandataḥ (nte) | taptenāpi ti	AvaroDikAni nagarANi anupraskandataH (nte) | taptena api ti
   (tai)lenāvasicyante | taptayā vasayā, taptayā gomayalo (lau)hikayā,	(tE)lena avasicyante | taptayA vasayA, taptayA gomayalaH (lO)hikayA,
   taptena tāmreṇa, taptenāyasā, iṣubhiḥ santibhi (śaktibhi)ścāpakṛttagātrā	taptena tAmreNa, taptena AyasA, izuBiH santiBi (SaktiBi)H ca apakRtta gAtrA
   maraṇaṃ vā ni (vi)gacchanti | maraṇamātrakaṃ vā duḥkhaṃ | ayamucyate	maraNam vA ni (vi)gacCanti | maraNa mAtrakam vA duHKam | ayam ucyate
   asvātantrayakṛta ādīnava iti yo vā punarapyevaṃbhāgīyaḥ |	asvAtantra ya kRtaH AdInavaH iti yaH vA punar api evaMBAgIyaH |
   tatra [katamo] duścaritakṛta ādīnavaḥ [|] yathāpi tadekatyenāhāranidānaṃ	tatra [katamo] duScarita kRtaH AdInavaH [|] yaTA api tad ekatyena AhAra nidAnam
   prabhūtaṃ kāyena duścaritaṃ kṛtaṃ bhavatyupacitaṃ, yathā kāyenaivamvācā,	praBUtam kAyena duScaritam kRtam Bavati upacitaM, yaTA kAyena evam vAcA,
   manasā [|] sa ca ya(thā kā)ya ābādhiko bhavati, duḥkhito, bāḍhaglānaḥ,	manasA [|] sa ca ya(TA kA)yaH AbADikaH Bavati, duHKito, bAXa glAnaH,
   tasya tatpūrvakaṃ kāyaduścaritaṃ vāṅmanoduścarita(taṃ), parvatānāṃ vā	tasya tad pUrvakam kAya duScaritam vAc manaH duScarita (taM), parvatAnAm vA
   parvatakūṭānāmvā, sāyāhne [yā]cchayā(cchāyā) avalambate |	parvata kUwAnAm vA, sAyAhne [yA]= CayA(= CAyA) avalambate |
   avyā(dhya)valambate | abhipralambate | [tasyai]vaṃ bhavati | kṛtaṃ bata me	avyA(Di a)valambate | aBipralambate | [tasya e]vam Bavati | kRtam bata me
   pāpaṃ, na kṛtaṃ bata me puṇyaṃ, kāyena vācā, manasā, (Śbh_Sh: 81) so	pApaM, na kRtam bata me puNyan, kAyena vAcA, manasA, (ŚB_Sh: 81) saH 
   [a]haṃ yā gati[ḥ] kṛtapāpānāṃ [tāṃ] gatiṃ pretya gamiṣyāmīti | vipratisārī	[a]ham yA gati[H] kRta pApAnAm [tAM] gatim pretya gamizyAmi iti | vipratisArI
   kālaṃ karoti | akālañca kṛtvāpāyeṣūpapadyate | yaduta narakeṣu,	kAlam karoti | akAlaQca kRtvA apAyezu upapadyate | yat uta narakezu,
   tiryakpreteṣu [|] ayamucyate duścarita kṛta ādīnavaḥ |	tiryak pretezu [|] ayam ucyate duScarita kRtaH AdInavaH |
   tasyaivambhavati | ityayamāhāra[ḥ] paryeṣa(ṣya)māṇo [a]pi sādīnavaḥ |	tasya evam Bavati | iti ayam AhAra[H] paryeza(zya)mANaH [a]pi sAdInavaH |
   paribhujyamāno [a]pi sādīnavaḥ | paribhukto [a]pi pariṇāma ādīnavaḥ |	pariBujyamAnaH [a]pi sa AdInavaH | pariBuktaH [a]pi pariNAmaH AdInavaH |
   evamasti punarasyāhārasya kācidanuśansa (śaṃsa)mātrā sā punaḥ katamā |	evam asti punar asya AhArasya kAcid anuSansaH (SaMsa) mAtrA sA punar katamA |
   āhārasthitiko [a]ya(yaṃ) [kāya] āhāraṃ niśritya tiṣṭhati | nānāhāra	AhAra sTitikaH [a]ya(yan) [kAya] AhAram niSritya tizWati | nAnA AhAra
   iyamasyānuśansa(śaṃsa)mātrā [|]	iyam asya anuSan sa( SaMsa) mAtrAH [|]
   evamāhārasthitiko [a]yaṃ kāyaṃ(ḥ) suciramapi tiṣṭhan varṣaśatamvā tiṣṭhati	evam AhAra sTitikaH [a]yam kAyaM(H) su ciram api tizWan varza Satam vA tizWati
   | kiṃcidvā punarbhūyaḥ samyak parihriyamāṇaḥ | asti cāsyārvāguparatiḥ |	| kiMcid vA punar BUyas samyak parihriyamANaH | asti ca asya arvAk uparatiH |
   tatra yaḥ (ye) kāyasthitimātre pratipannāḥ na te supratipannā[ḥ] kāye	tatra yaH (ye) kAya sTiti mAtre pratipannAH na te su pratipannA[H] kAye
   kāyasthitimātrakena (ṇa) saṃtuṣṭā na (na) te asaṃtuṣṭā, na ca punaste	kAya sTiti mAtrakena (Na) saMtuzwAH na (na) te asaMtuzwA, na ca punar te
   āhārakṛtaṃ paripūrṇamanavadyamanuśansaṃ (śaṃsaṃ) pratyanubhavanti | ye	AhAra kRtam paripUrNam anavadyam anuSansam (SaMsaM) pratyanuBavanti | ye
   punarnakāyasthitimātrakeṇa (na) saṃtuṣṭā[ḥ] kāyasthitimātrake pratipannā,	punar nakAya sTiti mAtrakeNa (na) saMtuzwA[H] kAya sTiti mAtrake pratipannA,
   na te supratipannā, api tu tāmeva kāyasthitiṃ (Śbh_Sh: 82) niściṃ[tya]	na te su pratipannA, api tu tAm eva kAya sTitim (ŚB_Sh: 82) niSciM[ti a]
   (niśritya) brahmacaryaṃ (rya)samudāgamāya pratipannāḥ, supratipannāḥ, ta	(niSritya) brahmacaryam (rya) samudAgamAya pratipannAH, su pratipannAH, ta
   eva ca punaḥ paripūrṇamanavadyamanuśansaṃ (śaṃsaṃ) pratyanubhavanti |	eva ca punar paripUrNam anavadyam anuSansam (SaMsaM) pratyanuBavanti |
   tanme pratimaṃ syād yada(d)vā pratyavareṇa āhārānuśansa (śaṃsa)mātrakeṇa	tat me pratimam syAt yat a(d)vA pratyavareNa AhAra anuSansaH (SaMsa) mAtrakeNa
   saṃtuṣṭo vihareyaṃ | na me pratirūpaṃ syādyadahaṃ bālasabhāgatāṃ	saMtuzwaH vihareyam | na me pratirUpam syAt yat aham bAla saBA gatAm
   bālasahadhārmikatāmadhyāpadyeyamevamāhāre sarvākāraṃ paripūrṇamādīnavaṃ	bAla saha DArmika tAm aDyApadyeyam evam AhAre sarva AkAram paripUrNam AdInavam
   jñātvā sa itaḥ pratisaṃkhyāyādīnava darśī, niḥsaraṇānveṣī	jQAtvA saH itas pratisaMKyAya AdIn ava darSI, niHsaraNa anvezI
   cāhāraniḥsaraṇārthameva putramāṃ(mān) so dharmamāhāramāharati |	ca AhAra niHsaraNa arTam eva putra mAM(mAn) saH Darmam AhAram Aharati |
   tasyaivaṃ bhavati | evamete dāyakadānapatayaḥ kṛcchreṇa bhogān samudānīya,	tasya evam Bavati | evam ete dAyaka dAna patayaH kRcCreNa BogAn samudAnIya,
   mahāntaṃ paryeṣaṇākṛtamādīnavaṃ pratyanubhavantaḥ, prapīḍya, prapīḍya,	mahAntam paryezaNa akRtam AdInavam pratyanuBavantaH, prapIxya, prapIxya,
   tvaṅmānsa (māṃsa)śoṇitamasmākamanuprayacchanti | ya [ete]	tvac mAn sa (mAMsa) SoNitam asmAkam anuprayacCanti | yaH [ete]
   [a]nukampāmupādāya viśeṣaphalārthinaḥ tasyāsmākaṃ tathā pratilabdhasya	[a]nukampAm upAdAya viSeza Pala arTinaH tasya asmAkam taTA pratilabDasya
   piṇḍapātasyāyamevaṃ rūpo [a]nurūpaḥ paribhogaḥ syādyadahaṃ tathā	piNxa pAtasya ayam evam rUpaH [a]nu rUpaH pariBogaH syAt yat aham taTA
   paribhūtamātmānaṃ (|) sthāpayitvā paribhuṃjīya, yathā teṣāṃ kārāḥ kṛtā	pariBUtam AtmAnam (|) sTApayitvA pariBuMjIya, yaTA tezAm kArAH kRtA
   atyarthaṃ mahāphalā[ḥ] syurmahānuśaṃsā, mahādyubha(ta)yo, mahāvistārāḥ,	atyarTam mahA PalA[H] syuH mahA anuSaMsA, mahA Adi uBa(ta)yo, mahA vistArAH,
   candropamaśca kulānyupasaṃkrameyaṃ vyavakṛṣya kāyaṃ, vyavakṛṣya cittaṃ,	candra upamaH ca kulAni upasaMkrameyam vyavakRzya kAyaM, vyavakRzya cittaM,
   hrīmānapragalbhaḥ, anātmotkarṣī aparapansī, (Śbh_Sh: 83) yathāsvena	hrImAnapragalBaH, anAtma utkarzI aparapansI, (ŚB_Sh: 83) yaTAsvena
   lābhena citta (sucittaḥ) syāṃ, sumanāḥ, evaṃ parasyāpi lābhena citta	lABena cittaH (sucittaH) syAM, sumanAH, evam parasya api lABena citta
   (sucittaḥ) syāṃ sumanā, evaṃ cittaśca punaḥ kulānyusaṃkrameyaṃ | tatkuta	(sucittaH) syAm sumanA, evam cittaH ca punar kulAni usaMkrameyam | tat kuta
   etallabhyaṃ pravrajitena parakuleṣu yadvadatra pare me māna (naṃ) dadatu |	etat laByam pravrajitena para kulezu yadvat atra pare me mAnaH (naM) dadatu |
   satkṛtya, mā asatkṛtya, prabhūtaṃ mā stokaṃ, praṇītaṃ mā lūhaṃ, tvarita[ṃ]	satkRtya, mA asatkRtya, praBUtam mA stokaM, praNItam mA lUhan, tvarita [M]
   mā gatvaṃ (baddham) | evaṃ caritasya me kulānyusaṃkramataḥ sa cet pare na	mA ga tvam (badDam) | evam caritasya me kulAni usaMkramataH sa ced pare na
   dadyustenāhaṃ na teṣāmantike āghātacittatayā pratighacittatayā	dadyuH tena aham na tezAm antike AGAta citta tayA pratiGa citta tayA
   vyavadīyeyaṃ | na ca punastannidānaṃ kāyasya bhedādapāyopapattyā	vyavadIyeyam | na ca punar tad nidAnam kAyasya BedAt apAya upapattyA
   vighātamāpadyeya (yaṃ) | yaduta tāmevāghātacittatā (tāṃ)	viGAtam ApadyeyaH (yan) | yat uta tAm eva AGAta citta tA (tAM)
   [pratighacittā]madhipatiṃ kṛtvā sa cedasatkṛtya na satkṛtya, sa cetstokaṃ	[pratiGa cittA]m aDipatim kRtvA sa ced asatkRtya na satkRtya, sa ced stokam
   na prabhūtaṃ | sa cellūhaṃ na praṇītaṃ, sa cedvaddhaṃ na tvaritaṃ dadyuḥ |	na praBUtam | sa ced lUham na praNItaM, sa ced vadDam na tvaritam dadyuH |
   da (ta)yāhamāghātacittatayā, pratighacittatayā ca vyavadīyeyamiti	daH (ta)ya aham AGAta citta tayA, pratiGa citta tayA ca vyavadIyeyam iti
   vistareṇa pūrvavat | imaṃ cāhaṃ kabaḍīkāramāhāraṃ niśritya tathā tathā	vistareNa pUrvavat | imam ca aham kabaxIkAram AhAram niSritya taTA taTA
