   uparivibhāgaḥ	upari viBAgaH
   aśaktāvaśiraskaṃ vā snānamasya vidhīyate /	aSaktO= aSiraskam vA snAnam asya viDIyate /
   ārdreṇa vāsasā vātha mārjanaṃ kāpilaṃ smṛtam // KūrmP_2,18.10 //	ArdreNa vAsasA vA aTa mArjanam kApilam smRtam // KUrmP_2,18.10 //
   asāmarthye samutpanne snānamevaṃ samācaret /	asAmarTye samutpanne snAnam evam samAcaret /
   brāhmādīni yathāśaktau snānānyāhurmanīṣiṇaḥ // KūrmP_2,18.11 //	brAhma AdIni yaTASaktO snAnAni AhuH manIziNaH // KUrmP_2,18.11 //
   brāhmamāgneyamuddiṣṭaṃ vāyavyaṃ divyameva ca /	brAhmam Agneyam uddizwam vAyavyam divyam eva ca /
   vāruṇaṃ yaugikaṃ tadvat ṣoḍhā snānaṃ prakīrtitam // KūrmP_2,18.12 //	vAruNam yOgikam tadvat zoXA snAnam prakIrtitam // KUrmP_2,18.12 //
   brāhmaṃ tu mārjanaṃ mantraiḥ kuśaiḥ sodakabindubhiḥ /	brAhmam tu mArjanam mantrEH kuSEH sa udaka binduBiH /
   āgneyaṃ bhasmanā pādamastakāddehadhūlanam // KūrmP_2,18.13 //	Agneyam BasmanA pAda mastakAt deha DUlanam // KUrmP_2,18.13 //
   gavāṃ hi rajasā proktaṃ vāyavyaṃ snānamuttamam /	gavAm hi rajasA proktam vAyavyam snAnam uttamam /
   yattu sātapavarṣeṇa snānaṃ tad divyamucyate // KūrmP_2,18.14 //	yat tu sa Atapa varzeNa snAnam tat divyam ucyate // KUrmP_2,18.14 //
   vāruṇaṃ cāvagāhastu mānasaṃ tvātmavedanam /	vAruNam ca avagAhaH tu mAnasam tu Atma vedanam /
   yaugikaṃ snānamākhyātaṃ yogo viṣṇuvicintanam // KūrmP_2,18.15 //	yOgikam snAnam AKyAtam yogaH vizNu vicintanam // KUrmP_2,18.15 //
   ātmatīrthamiti khyātaṃ sevitaṃ brahmavādibhiḥ /	AtmatIrTam iti KyAtam sevitam brahma vAdiBiH /
   manaḥ śucikaraṃ puṃsāṃ nityaṃ tat snānamācaret // KūrmP_2,18.16 //	manaH Suci karam puMsAm nityam tat snAnam Acaret // KUrmP_2,18.16 //
   śaktaśced vāruṇaṃ vidvān prājāpatyaṃ tathaiva ca /	SaktaH ced vAruNam vidvAn prAjApatyam taTA eva ca /
   prakṣālya dantakāṣṭhaṃ vai bhakṣayitvā vidhānataḥ // KūrmP_2,18.17 //	prakzAlya dantakAzWam vE BakzayitvA viDAnataH // KUrmP_2,18.17 //
   ācamya prayato nityaṃ snānaṃ prātaḥ samācaret /	Acamya prayataH nityam snAnam prAtar samAcaret /
   madhyāṅgulisamasthaulyaṃ dvādaśāṅgulasaṃmitam // KūrmP_2,18.18 //	maDya aFguli sama sTOlyam dvAdaSa aFgula saMmitam // KUrmP_2,18.18 //
   satvacaṃ dantakāṣṭhaṃ syāt tadagreṇa tu dhāvayet /	sa tvacam dantakAzWam syAt tad agreNa tu DAvayet /
   kṣīravṛkṣasamudbhūtaṃ mālatīsaṃbhavaṃ śubham /	kzIravRkza samudBUtam mAlatI saMBavam SuBam /
   apāmārgaṃ ca bilvaṃ ca karavīraṃ viśeṣataḥ // KūrmP_2,18.19 //	apAmArgam ca bilvam ca karavIram viSezataH // KUrmP_2,18.19 //
   varjayitvā ninditāni gṛhītvaikaṃ yathoditam /	varjayitvA ninditAni gRhItvA ekam yaTA uditam /
   parihṛtya dinaṃ pāpaṃ bhakṣayed vai vidhānavit // KūrmP_2,18.20 //	parihRtya dinam pApam Bakzayet vE viDAna vid // KUrmP_2,18.20 //
   notpāṭayeddantakāṣṭaṃnāṅgulyā dhāvayet kvacit /	na utpAwayet dantaka azwaMna aFgulyA DAvayet kvacid /
   prakṣālya bhaṅktvā tajjahyācchucaudeśe samāhitaḥ // KūrmP_2,18.21 //	prakzAlya BaFktvA tat jahyAt SucA OdeSe samAhitaH // KUrmP_2,18.21 //
   snātvā saṃtarpayed devānṛṣīn pitṛgaṇāṃstathā /	snAtvA saMtarpayet devAn RzIn pitR gaNAn= taTA /
   ācamya mantravannityaṃ punarācamya vāgyataḥ // KūrmP_2,18.22 //	Acamya mantravat nityam punar Acamya vAgyataH // KUrmP_2,18.22 //
   saṃmārjya mantrairātmānaṃ kuśaiḥ sodakabindubhiḥ /	saMmArjya mantrEH AtmAnam kuSEH sa udaka binduBiH /
   āpo hiṣṭhā vyāhṛtibhiḥ sāvitryā vāruṇaiḥ śubhaiḥ // KūrmP_2,18.23 //	ApaH hizWA vyAhRtiBiH sAvitryAH vAruNEH SuBEH // KUrmP_2,18.23 //
   oṅkāravyāhṛtiyutāṃ gāyatrīṃ vedamātaram /	oFkAra vyAhRti yutAm gAyatrIm vedamAtaram /
   japtvā jalāñjaliṃ dadyād bhāskaraṃ prati tanmanāḥ // KūrmP_2,18.24 //	japtvA jala aQjalim dadyAt BAskaram prati tad manAH // KUrmP_2,18.24 //
   prākkūleṣu samāsīno darbheṣu susamāhitaḥ /	prAc kUlezu samAsInaH darBezu su samAhitaH /
   prāṇāyāmatrayaṃ kṛtvā dhyāyet saṃdhyāmiti śrutiḥ // KūrmP_2,18.25 //	prANAyAma trayam kRtvA DyAyet saMDyAm iti SrutiH // KUrmP_2,18.25 //
   yā saṃdhyā sā jagatsūtirmāyātītā hi niṣkalā /	yA saMDyA sA jagat sUtiH mAyA atItA hi nizkalA /
   aiśvarī tu parāśaktistattvatrayasamudbhavā // KūrmP_2,18.26 //	ESvarI tu parASaktiH tattva traya samudBavA // KUrmP_2,18.26 //
   dhyātvār'kamaṇḍalagatāṃ sāvitrīṃ vai japan budhaḥ /	DyA tvAr aka maNxala gatAm sAvitrIm vE japan buDaH /
   prāṅmukhaḥ satataṃ vipraḥ saṃdhyopāsanamācaret // KūrmP_2,18.27 //	prAFmuKaH satatam vipraH saMDyA upAsanam Acaret // KUrmP_2,18.27 //
   saṃdhyāhīno 'śucirnityamanarhaḥ sarvakarmasu /	saMDyA hInaH aSuciH nityam anarhaH sarva karmasu /
   yadanyat kurute kiñcinna tasya phalamāpnuyāt // KūrmP_2,18.28 //	yat anyat kurute kiQcid na tasya Palam ApnuyAt // KUrmP_2,18.28 //
   ananyacetasaḥ śāntā brāhmaṇā vedapāragāḥ /	ananya cetasaH SAntAH brAhmaNAH vedapAragAH /
   upāsya vidhivat saṃdhyāṃ prāptāḥ pūrvaṃ parāṃ gatim // KūrmP_2,18.29 //	upAsya viDivat saMDyAm prAptAH pUrvam parAm gatim // KUrmP_2,18.29 //
   yo 'nyatra kurute yatnaṃ dharmakārye dvijottamaḥ /	yaH anyatra kurute yatnam Darma kArye dvijottamaH /
   vihāya saṃdhyāpraṇatiṃ sa yāti narakāyutam // KūrmP_2,18.30 //	vihAya saMDyA praNatim sa yAti naraka ayutam // KUrmP_2,18.30 //
   tasmāt sarvaprayatnena saṃdhyopāsanamācaret /	tasmAt sarva prayatnena saMDyA upAsanam Acaret /
   upāsito bhavet tena devo yogatanuḥ paraḥ // KūrmP_2,18.31 //	upAsitaH Bavet tena devaH yoga tanuH paraH // KUrmP_2,18.31 //
   sahasraparamāṃ nityaṃ śatamadhyāṃ daśāvarām /	sahasra paramAm nityam Sata maDyAm daSa avarAm /
   sāvitrariṃ vai japed vidvān prāṅmukhaḥ prayataḥ sthitaḥ // KūrmP_2,18.32	sAvitrarim vE japet vidvAn prAc muKaH prayataH sTitaH // KUrmP_2,18.32
   athopatiṣṭhedādityamudayantaṃ samāhitaḥ /	aTa upatizWet Adityam udayantam samAhitaH /
   mantraistu vividhaiḥ saurerṛgyajuḥ sāmasaṃbhavaiḥ // KūrmP_2,18.33 //	mantrEH tu viviDEH sOreH Rc yajuH sAma saMBavEH // KUrmP_2,18.33 //
   upasthāya mahāyogaṃ devadevaṃ divākaram /	upasTAya mahA yogam devadevam divAkaram /
   kurvota praṇatiṃ bhūmau mūrdhnā tenaiva mantrataḥ // KūrmP_2,18.34 //	kurvota praNatim BUmO mUrDnA tena eva mantrataH // KUrmP_2,18.34 //
   oṃ khakholkāya śāntāya kāraṇatrayahetave /	om KaKolkAya SAntAya kAraNa traya hetave /
   nivedayāmi cātmānaṃ namaste jñānarūpiṇe /	nivedayAmi ca AtmAnam namaH te jQAna rUpiNe /
   namaste ghṛṇine tubhyaṃ sūryāya brahmarūpiṇe // KūrmP_2,18.35 //	namaH te GRNine tuByam sUryAya brahma rUpiNe // KUrmP_2,18.35 //
   tvameva brahma paramamāpo jyotī raso 'mṛtam /	tvam eva brahma paramam ApaH jyotiH rasaH amRtam /
   bhūrbhuvaḥ svastvamoṅkāraḥ sarve rudrāḥ sanātanāḥ /	BUH BuvaH svar tvam oFkAraH sarve rudrAH sanAtanAH /
   puruṣaḥ sanmaho 'tastvāṃ praṇamāmi kapardinam // KūrmP_2,18.36 //	puruzaH sat mahaH atas tvAm praNamAmi kapardinam // KUrmP_2,18.36 //
   tvameva viśvaṃ bahudhā sadasat sūyate ca yat /	tvam eva viSvam bahuDA sat asat sUyate ca yat /
   namo rudrāya sūryāya tvāmahaṃ śaraṇaṃ gataḥ // KūrmP_2,18.37 //	namaH rudrAya sUryAya tvAm aham SaraNam gataH // KUrmP_2,18.37 //
   pracetase namastubhyaṃ namo mīḍhuṣṭamāya te /	pracetase namaH tuByam namaH mIXuzwamAya te /
   namo namaste rudrāya tvāmahaṃ śaraṇaṃ gataḥ // KūrmP_2,18.38 //	namaH namaH te rudrAya tvAm aham SaraNam gataH // KUrmP_2,18.38 //
   hiraṇyabāhave tubhyaṃ hiraṇyapataye namaḥ /	hiraNyabAhave tuByam hiraNyapataye namaH /
   ambikāpataye tubhyamumāyāḥ pataye namaḥ // KūrmP_2,18.39 //	ambikApataye tuByam umAyAH pataye namaH // KUrmP_2,18.39 //
   namo 'stu nīlagrīvāya namastubhyaṃ pinākine /	namaH astu nIlagrIvAya namaH tuByam pinAkine /
   vilohitāya bhargāya sahasrākṣāya te namaḥ // KūrmP_2,18.40 //	vilohitAya BargAya sahasrAkzAya te namaH // KUrmP_2,18.40 //
   namo haṃsāya te nityamādityāya namo 'stu te /	namaH haMsAya te nityam AdityAya namaH astu te /
   namaste vajrahastāya tryambakāya namo 'stu te // KūrmP_2,18.41 //	namaH te vajrahastAya tryambakAya namaH astu te // KUrmP_2,18.41 //
   prapadye tvāṃ virūpākṣaṃ mahāntaṃ parameśvaram /	prapadye tvAm virUpAkzam mahAntam parameSvaram /
   hiraṇmayaṃ gṛhe guptamātmānaṃ sarvadehinām // KūrmP_2,18.42 //	hiraNmayam gRhe guptam AtmAnam sarva dehinAm // KUrmP_2,18.42 //
   namasyāmi paraṃ jyotirbrahmāṇaṃ tvāṃ parāṃ gatim /	namasyAmi param jyotiH brahmANam tvAm parAm gatim /
   viśvaṃ paśupatiṃ bhīmaṃ naranārīśarīriṇam // KūrmP_2,18.43 //	viSvam paSupatim BImam nara nArI SarIriNam // KUrmP_2,18.43 //
   namaḥ sūryāya rudrāya bhāsvate parameṣṭhine /	namaH sUryAya rudrAya BAsvate paramezWine /
   ugrāya sarvabhaktāya tvāṃ prapadye sadaiva hi // KūrmP_2,18.44 //	ugrAya sarva BaktAya tvAm prapadye sadA eva hi // KUrmP_2,18.44 //
   etad vai sūryahṛdayaṃ japtvā stavamanuttamam /	etat vE sUrya hRdayam japtvA stavam anuttamam /
   prātaḥ kāle 'tha madhyāhne namaskuryād divākaram // KūrmP_2,18.45 //	prAtar kAle aTa maDyAhne namaskuryAt divAkaram // KUrmP_2,18.45 //
   idaṃ putrāya śiṣyāya dhārmikāya dvijātaye /	idam putrAya SizyAya DArmikAya dvijAtaye /
   pradeyaṃ sūryahṛdayaṃ brahmaṇā tu pradarśitam // KūrmP_2,18.46 //	pradeyam sUrya hRdayam brahmaNA tu pradarSitam // KUrmP_2,18.46 //
   sarvapāpapraśamanaṃ vedasārasamudbhavam /	sarva pApa praSamanam veda sAra samudBavam /
   brāhmaṇānāṃ hitaṃ puṇyamṛṣisaṅghairniṣevitam // KūrmP_2,18.47 //	brAhmaNAnAm hitam puNyam Rzi saFGEH nizevitam // KUrmP_2,18.47 //
   athāgamya gṛhaṃ vipraḥ samācamya yathāvidhi /	aTa Agamya gRham vipraH samAcamya yaTAviDi /
   prajvālya vihniṃ vidhivajjuhuyājjātavedasam // KūrmP_2,18.48 //	prajvAlya vihnim viDivat juhuyAt jAtavedasam // KUrmP_2,18.48 //
   ṛtvikputro 'tha patnī vā śiṣyo vāpi sahodaraḥ /	Rtvij putraH aTa patnI vA SizyaH vA api sahodaraH /
   prāpyānujñāṃ viśeṣeṇa juhuyurvā yatāvidhi // KūrmP_2,18.49 //	prApya anujQAm viSezeNa juhuyuH vA yata aviDi // KUrmP_2,18.49 //
   pavitrapāṇiḥ pūtātmā śuklāmbaradharottaraḥ /	pavitra pANiH pUta AtmA Sukla ambara Dara uttaraH /
   ananyamānaso vahniṃ juhuyāt saṃyatendriyaḥ // KūrmP_2,18.50 //	ananya mAnasaH vahnim juhuyAt saMyata indriyaH // KUrmP_2,18.50 //
   vinā darbheṇa yatkarma vinā sūtreṇa vā punaḥ /	vinA darBeNa yat karma vinA sUtreNa vA punar /
   rākṣasaṃ tadbhavet sarvaṃ nāmutreha phalapradam // KūrmP_2,18.51 //	rAkzasam tat Bavet sarvam na amutra iha Pala pradam // KUrmP_2,18.51 //
   daivatāni namaskuryād deyasārānnivedayet /	dEvatAni namaskuryAt deyasArAn nivedayet /
   dadyāt puṣpādikaṃ teṣāṃ vṛddhāṃścaivābhivādayet // KūrmP_2,18.52 //	dadyAt puzpa Adikam tezAm vRdDAn= ca eva aBivAdayet // KUrmP_2,18.52 //
   guruṃ caivāpyupāsīta hitaṃ cāsya samācaret /	gurum ca eva api upAsIta hitam ca asya samAcaret /
   vedābhyāsaṃ tataḥ kuryāt prayatnācchaktito dvijaḥ // KūrmP_2,18.53 //	veda aByAsam tatas kuryAt prayatnAt Saktitas dvijaH // KUrmP_2,18.53 //
   japedadhyāpayecchiṣyān dhārayecca vicārayet /	japet aDyApayet SizyAn DArayet ca vicArayet /
   avekṣeta ca śāstrāṇi dharmādīni dvijottamaḥ /	avekzeta ca SAstrANi Darma AdIni dvijottamaH /
   vaidikāṃścaiva nigamān vedāṅgāni veśiṣataḥ // KūrmP_2,18.54 //	vEdikAn= ca eva nigamAn vedAFgAni veSizataH // KUrmP_2,18.54 //
   upeyādīśvaraṃ cātha yogakṣemaprasiddhaye /	upeyAt ISvaram ca aTa yogakzema prasidDaye /
   sādhayed vividhānarthān kuṭumbārthe tato dvijaḥ // KūrmP_2,18.55 //	sADayet viviDAn arTAn kuwumba arTe tatas dvijaH // KUrmP_2,18.55 //
   tato madhyāhnasamaye snānārthaṃ mṛdamāharet /	tatas maDyAhna samaye snAna arTam mRdam Aharet /
   puṣpākṣatān kuśatilān gomayaṃ śuddhameva ca // KūrmP_2,18.56 //	puzpa akzatAn kuSa tilAn gomayam SudDam eva ca // KUrmP_2,18.56 //
   nadīṣu devakhāteṣu taḍāgeṣu saraḥsu ca /	nadIzu devaKAtezu taxAgezu saraHsu ca /
   snānaṃ samācarennityaṃ gartaprastravaṇeṣu ca // KūrmP_2,18.57 //	snAnam samAcaret nityam garta prastravaNezu ca // KUrmP_2,18.57 //
   parakīyanipāneṣu na snāyād vai kadācana /	parakIya nipAnezu na snAyAt vE kadAcana /
   pañcapiṇḍān samuddhṛtya snāyād vāsaṃbhave punaḥ // KūrmP_2,18.58 //	paQca piNxAn samudDRtya snAyAt vA asaMBave punar // KUrmP_2,18.58 //
   mṛdaikayā śiraḥ kṣālyaṃ dvābhyāṃ nābhestathopari /	mRdA ekayA SiraH kzAlyam dvAByAm nABeH taTA upari /
   adhaśca tisṛbhiḥ kāyaṃ pādau ṣaḍbhistathaiva ca // KūrmP_2,18.59 //	aDas ca tisRBiH kAyam pAdO zaxBiH taTA eva ca // KUrmP_2,18.59 //
   mṛttikā ca samuddiṣṭā tvārdrāmalakamātrikā /	mRttikA ca samuddizwA tu Ardra Amalaka mAtrikA /
   gomayasya pramāṇaṃ tat tenāṅgaṃ lepayet tataḥ // KūrmP_2,18.60 //	gomayasya pramANam tat tena aFgam lepayet tatas // KUrmP_2,18.60 //
   lepayitvā tu tīrasthastalliṅgaireva mantrataḥ /	lepayitvA tu tIra sTaH tad liFgEH eva mantrataH /
   prakṣālyācamya vidhivat tataḥ snāyāt samāhitaḥ // KūrmP_2,18.61 //	prakzAlya Acamya viDivat tatas snAyAt samAhitaH // KUrmP_2,18.61 //
   abhimantrya jalaṃ mantraistalliṅgairvāruṇaiḥ śubhaiḥ /	aBimantrya jalam mantrEH tad liFgEH vAruNEH SuBEH /
   bhāvapūtastadavyaktaṃ dhyāyan vai viṣṇumavyayam // KūrmP_2,18.62 //	BAva pUtaH tat avyaktam DyAyan vE vizNum avyayam // KUrmP_2,18.62 //
   āpo nārāyaṇodbhūtāstā evāsyāyanaṃ punaḥ /	ApaH nArAyaNa udBUtAH tAH eva asya ayanam punar /
   tasmānnārāyaṇaṃ devaṃ snānakāle smared budhaḥ // KūrmP_2,18.63 //	tasmAt nArAyaNam devam snAna kAle smaret buDaH // KUrmP_2,18.63 //
   procya soṃkāramādityaṃ trirnimajjejjalāśaye /	procya soMkAram Adityam tris nimajjet jalASaye /
   ācāntaḥ punarācāmenmantreṇānena mantravit // KūrmP_2,18.64 //	AcAntaH punar AcAmet mantreNa anena mantra vid // KUrmP_2,18.64 //
   antaścarasi bhūteṣu guhāyāṃ viśvato mukhaḥ /	antar carasi BUtezu guhAyAm viSvatas muKaH /
   tvaṃ yajñastvaṃ vaṣaṭkāra āpo jyotī raso 'mṛtam // KūrmP_2,18.65 //	tvam yajQaH tvam vazawkAraH ApaH jyotiH rasaH amRtam // KUrmP_2,18.65 //
   drupadāṃ vā trirabhyasyed vyāhṛtipraṇavānvitām /	drupadAm vA tris aByasyet vyAhRti praNava anvitAm /
   sāvitrīṃ vā japed vidvān tathā caivāghamarṣaṇam // KūrmP_2,18.66 //	sAvitrIm vA japet vidvAn taTA ca eva aGamarzaNam // KUrmP_2,18.66 //
   tataḥ saṃmārjanaṃ kuryādāpo hi ṣṭhā mayobhuvaḥ /	tatas saMmArjanam kuryAt ApaH hi zWAH mayaH BuvaH /
   idamāpaḥ pravahata vyāhṛtibhistathaiva ca // KūrmP_2,18.67 //	idam ApaH pravahata vyAhRtiBiH taTA eva ca // KUrmP_2,18.67 //
   tato 'bhimantrya tat tīrthamāpo hiṣṭhādimantrakaiḥ /	tatas aBimantrya tat tIrTam ApaH hizWA Adi mantrakEH /
   antarjalagato magno japet triraghamarṣaṇam // KūrmP_2,18.68 //	antar jala gataH magnaH japet tris aGamarzaNam // KUrmP_2,18.68 //
   tripadāṃ vātha sāvitrīṃ tadviṣṇoḥ paramaṃ padam /	tripadAm vA aTa sAvitrIm tat vizNoH paramam padam /
   āvartayed vā praṇavaṃ devaṃ vā saṃsmareddharim // KūrmP_2,18.69 //	Avartayet vA praNavam devam vA saMsmaret harim // KUrmP_2,18.69 //
   drupadādiva yo mantro yajurvede pratiṣṭhitaḥ /	drupadAt iva yaH mantraH yajurvede pratizWitaH /
   antarjale trirāvartya sarvapāpaiḥ pramucyate // KūrmP_2,18.70 //	antar jale tris Avartya sarva pApEH pramucyate // KUrmP_2,18.70 //
   apaḥ pāṇau samādāya japtvā vai mārjane kṛte /	apaH pANO samAdAya japtvA vE mArjane kRte /
   vinyasya mūrdhni tat toyaṃ mucyate sarvapātakaiḥ // KūrmP_2,18.71 //	vinyasya mUrDni tat toyam mucyate sarva pAtakEH // KUrmP_2,18.71 //
   yathāśvamedhaḥ kraturāṭ sarvapāpāpanodanaḥ /	yaTA aSvameDaH kratu rAj sarva pApa apanodanaH /
   tathāghamarṣaṇaṃ sūktaṃ sarvapāpāpanodanam // KūrmP_2,18.72 //	taTA aGamarzaNam sUktam sarva pApa apanodanam // KUrmP_2,18.72 //
   athopatiṣṭhedādityaṃ mūrdhni puṣpānvitāñjalim /	aTa upatizWet Adityam mUrDni puzpa anvita aQjalim /
   prakṣipyālokayed devamudvayaṃ tamasaspari // KūrmP_2,18.73 //	prakzipya Alokayet devam udvayam tamasaspari // KUrmP_2,18.73 //
   udutyaṃ citramityete taccakṣuriti mantrataḥ /	udutyam citram iti ete tat cakzuH iti mantrataH /
   haṃsaḥ śuciṣadetena sāvitryā ca viśeṣataḥ // KūrmP_2,18.74 //	haMsaH Sucizad etena sAvitryA ca viSezataH // KUrmP_2,18.74 //
   anyaiśca vaidikairmantraiḥ sauraiḥ pāpapraṇāśanaiḥ /	anyEH ca vEdikEH mantrEH sOrEH pApa praNASanEH /
   sāvitrīṃ vai japet paścājjapayajñaḥ sa vai smṛtaḥ // KūrmP_2,18.75 //	sAvitrIm vE japet paScAt japa yajQaH sa vE smRtaH // KUrmP_2,18.75 //
   vividhāni pavitrāṇi guhyavidyāstathaiva ca /	viviDAni pavitrANi guhya vidyAH taTA eva ca /
   śatarudrīyamatharvaśiraḥ saurāṃśca śaktitaḥ // KūrmP_2,18.76 //	SatarudrIyam aTarvaSiraH sOrAn= ca Saktitas // KUrmP_2,18.76 //
   prākkūleṣu samāsīnaḥ kuśeṣu prāṅmukhaḥ śuciḥ /	prAc kUlezu samAsInaH kuSezu prAFmuKaH SuciH /
   tiṣṭhaṃścedīkṣamāṇor'kaṃ japyaṃ kuryāt samāhitaḥ // KūrmP_2,18.77 //	tizWan= ced IkzamANoH akam japyam kuryAt samAhitaH // KUrmP_2,18.77 //
   sphāṭikendrākṣarudrākṣaiḥ putrajīvasamudbhavaḥ /	sPAwika indrAkza rudrAkzEH putrajIva samudBavaH /
   kartavyā tvakṣamālā syāduttarāduttamā smṛtā // KūrmP_2,18.78 //	kartavyA tu akzamAlA syAt uttarAt uttamA smRtA // KUrmP_2,18.78 //
   japakāle na bhāṣeta nānyāni prekṣayed budhaḥ /	japa kAle na BAzeta na anyAni prekzayet buDaH /
   na kampayecchirogrīvāṃ dantānnaiva prakāśayet // KūrmP_2,18.79 //	na kampayet SiraH grIvAm dantAn na eva prakASayet // KUrmP_2,18.79 //
   guhyakā rākṣasā siddhā haranti prasabhaṃ yataḥ /	guhyakAH rAkzasAH sidDAH haranti prasaBam yatas /
   ekānte suśubhe deśe tasmājjapyaṃ samācaret // KūrmP_2,18.80 //	ekAnte su SuBe deSe tasmAt japyam samAcaret // KUrmP_2,18.80 //
   caṇḍālāśaucapatitān dṛṣṭvācamya punarjapet /	caNxAla ASOca patitAn dRzwvA Acamya punar japet /
   taireva bhāṣaṇaṃ kṛtvā snātvā caiva japet punaḥ // KūrmP_2,18.81 //	tEH eva BAzaNam kRtvA snAtvA ca eva japet punar // KUrmP_2,18.81 //
   ācamya prayato nityaṃ japedaśucidarśane /	Acamya prayataH nityam japet aSuci darSane /
   saurān mantrān śaktito vai pāvamānīstu kāmataḥ // KūrmP_2,18.82 //	sOrAn mantrAn Saktitas vE pAvamAnIH tu kAmataH // KUrmP_2,18.82 //
   yadi syāt klinnavāsā vai vārimadhyagato japet /	yadi syAt klinna vAsAH vE vAri maDya gataH japet /
   anyathā tu śucau bhūmyāṃ darbheṣu susamāhitaḥ // KūrmP_2,18.83 //	anyaTA tu SucO BUmyAm darBezu su samAhitaH // KUrmP_2,18.83 //
   pradakṣiṇaṃ samāvṛtya namaskṛtvā tataḥ kṣitau /	pradakziNam samAvRtya namaskRtvA tatas kzitO /
   ācamya ca yathāśāstraṃ śaktyā svādhyāyamācaret // KūrmP_2,18.84 //	Acamya ca yaTASAstram SaktyA svADyAyam Acaret // KUrmP_2,18.84 //
   tataḥ saṃtarpayed devānṛṣīn pitṛgaṇāṃstathā /	tatas saMtarpayet devAn RzIn pitR gaNAn= taTA /
   adāvoṅkāramuccārya namo 'nte tarpayāmi vaḥ // KūrmP_2,18.85 //	adO= oFkAram uccArya namaH ante tarpayAmi vaH // KUrmP_2,18.85 //
   devān brahmaḥṛṣīṃścaiva tarpayedakṣatodakaiḥ /	devAn brahmaH RzIn= ca eva tarpayet akzata udakEH /
   tilodakaiḥ pitṝn bhaktyā svasūtroktavidhānataḥ // KūrmP_2,18.86 //	tila udakEH pitLn BaktyA sva sUtra ukta viDAnataH // KUrmP_2,18.86 //
   anvārabdhena savyena pāṇinā dakṣiṇena tu /	anvArabDena savyena pANinA dakziNena tu /
   devarṣostarpayed dhīmānudakāñjalibhiḥ pitan // KūrmP_2,18.87 //	devaRzoH tarpayet DImAn udaka aQjaliBiH pitan // KUrmP_2,18.87 //
   yajñopavītī devānāṃ nivītī ṛṣītarpaṇe /	yajQa upavItI devAnAm nivItI RzI tarpaNe /
   prācīnāvītī pitrye tu svena tīrthena bhāvataḥ // KūrmP_2,18.88 //	prAcInAvItI pitrye tu svena tIrTena BAvataH // KUrmP_2,18.88 //
   niṣpīḍya snānavastraṃ tu samācamya ca vāgyataḥ /	nizpIxya snAna vastram tu samAcamya ca vAgyataH /
   svairmantrairarcayed devān puṣpaiḥ patrairathāmbubhiḥ // KūrmP_2,18.89 //	svEH mantrEH arcayet devAn puzpEH patrEH aTa ambuBiH // KUrmP_2,18.89 //
   brahmāṇaṃ śaṅkaraṃ sūryaṃ tathaiva madhusūdanam /	brahmANam SaFkaram sUryam taTA eva maDusUdanam /
   anyāṃścābhimatān devān bhaktyā cākrodhano 'tvaraḥ // KūrmP_2,18.90 //	anyAn= ca aBimatAn devAn BaktyA ca akroDanaH atvaraH // KUrmP_2,18.90 //
   pradadyād vātha puṣpāṇi sūktena pauruṣeṇa tu /	pradadyAt vA aTa puzpANi sUktena pOruzeNa tu /
   āpo vā devatāḥ sarvāstena samyak samarcitāḥ // KūrmP_2,18.91 //	ApaH vA devatAH sarvAH tena samyak samarcitAH // KUrmP_2,18.91 //
   dhyātvā praṇavapūrvaṃ vai daivatāni samāhitaḥ /	DyAtvA praNava pUrvam vE dEvatAni samAhitaH /
   namaskāreṇa puṣpāṇi vinyased vai pṛthak pṛthak // KūrmP_2,18.92 //	namaskAreNa puzpANi vinyaset vE pRTak pRTak // KUrmP_2,18.92 //
   na viṣṇvārādhanāt puṇyaṃ vidyate karma vaidikam /	na vizNu ArADanAt puNyam vidyate karma vEdikam /
   tasmādanādimadhyāntaṃ nityamārādhayeddharim // KūrmP_2,18.93 //	tasmAt anAdi maDya antam nityam ArADayet harim // KUrmP_2,18.93 //
   tadviṣṇoriti mantreṇa sūktena puruṣeṇa tu /	tat vizNoH iti mantreNa sUktena puruzeNa tu /
   naitābhyāṃ sadṛśo mantro sūktena puruṣeṇa tu /	na etAByAm sadRSaH mantraH sUktena puruzeNa tu /
