   // śrīḥ// 8 6 2001.	// SrIH// 8 6 2001.
   tarkatāṇḍavam	tarka tANxavam
   dhūmādikaṃ vyāpakatāvacchedakadhūmatvādidharmādhikaraṇaṃ tathā	DUma Adikam vyApaka tA avacCedaka DUma tva Adi Darma aDikaraNam taTA
   dravyatvasamānādhikaraṇaṃ 3 spārśanatvarūpamapi sādhyaṃ	dravya tva samAna aDikaraNam 3 spArSana tva rUpam api sADyam
   vyāpakatāvacchedakaspārśanatvatvādhikaraṇameveti na kutrāpyavyāptiḥ/ na hi	vyApaka tAvacCedaka spArSana tva tva aDikaraNam eva iti na kutra api avyAptiH/ na hi
   dhavalatvasamānādhikaraṇaṃ 5 gotvamagotvaṃ bhavati//	Davalatva samAna aDikaraNam 5 go tvam ago tvam Bavati//
   etadevābhipretyoktaṃ sudhāyām   sādhyapadenāsādhyapadenāvacchinnā 6	etat eva aBipretya uktam suDAyAm  sADya padena asADya padena avacCinnAH 6
   navacchinnasādhyābhidhānāditi//	nava= Cinna sADya aBiDAnAt iti//
   sādhyeti// sāmānyalakṣaṇagatasādhyapadenetyarthaḥ/ pakṣadharmeti//	sADya iti// sAmAnya lakzaNa gata sADya padena iti arTaH/ pakza DarmA iti//
   pakṣadharmāvacchinnetyarthaḥ/ vyāvakatāvacchedaketi// yasminprayoge	pakza Darma avacCinnA iti arTaH/ vyAvaka tA avacCedaka iti// yasmin prayoge
   yavdyāpakatāvacchedakam taddharmāvacchinnasādhyavyāpaka upādhi 7	yavdyApaka tA avacCedakam tad Darma avacCinna sADya vyApakaH upADi 7
   rityarthaḥ// uktaṃ sudhāyāmiti//	riti arTaH// uktam suDAyAm iti//
   sādhyavyāpakavailomyamityetavdyākhyānasudhāyāmityarthaḥ/	sADya vyApaka vElomyam iti etavdya AKyAna suDAyAm iti arTaH/
   r1.mānava ṭa. nakārapūraṇena śodhitaṃ ṭha. 2.dhyaṃ dhū rā.	r1.mAn ava wa. nakAra pUraNena SoDitaM Wa. 2.Dyam DU rA.
   3.ṇaspā ka.ga.rā.	3.Na spA ka.ga.rA.
   4.gandhavatvasa rā. 5.tathā dravyatvasamānādhikaraṇaṃ ityadhikam ga.rā.	4.ganDava tu asa rA. 5. taTA dravya tva samAna aDikaraNam iti aDika m ga.rA.
   6.nnābhidhā ga. nnasādhyābhā ṭa. 7.janyatvasāvayavatvānyataratvena	6.nna aBiDA ga. nnasADya ABA wa. 7.janya tva sA avayava tva anyatara tvena
   paryavasānāt/ kṛtakatvaṃ sāvayavatvaṃ mayā upādhirudbhāvitaḥ/ prāgabhāvo	paryavasAnAt/ kRtaka tvam sAvayava tvam mayA upADiH udBAvitaH/ prAgaBAvaH 
   janyaḥ vināśitvādityatra	janyaH vinASi tvA Aditi atra
   sādhanāvacchinnasādhyavyāpakabhāvatvamupādhirityarthaḥ/ ityasti ṭha.	sADana avacCinna sADya vyApaka BAva tvam upADiH iti arTaH/ iti asti Wa.
   svāto pādhi sānya laṇam) upādhivādaḥ pu  83.	svAto pADi  sAnya laNam) upADivAdaH pu 83.
   yadyapyavacchinnasādhya 1 vyāpako 'vacchinnasādhya evopādhiḥ/ tathāpi	yadi api avacCinna sADya 1 vyApakaH avacCinna sADyaH eva upADiH/ taTA api
   svavyāvṛtyāvacchinna 2 sādhyaṃ	sva vyAvRtya avacCinnaH 2 sADyam
   vyāvartayannavacchedakavyāvṛtterasaṃbhavādavacchedyaśuddhasādhyavyāvṛttau	vyAvartayan= avacCeda kavyAvRtteH asaMBavAt avacCedya SudDa sADya vyAvRttO
   paryavasyanbhikṣupādaprasaraṇanyāyena śuddhasādhyasādhakānumānepi doṣo	paryavasyan Bikzu pAda prasaraNa nyAyena SudDa sADya sADaka anumAnepi dozaH 
   bhavati/ yathā viśeṣaṇāsiddho viśiṣṭahetvasiddhau paryavasyanhetudoṣo	Bavati/ yaTA viSezaNa asidDaH viSizwa hetu asidDO paryavasyan hetu dozaH 
   bhavati tatheti nārthāntarādikaṃ vyañjanavatvā 3 dyapi mahānasa 4	Bavati taTA iti na arTa antara Adikam vyaQjanavatvA 3 dyapi mahAnasa 4
   tvādyavacchinnavahnirūpasādhyavyāpakatvāttatropādhireva kintu	tvAdi avacCinna vahni rUpa sADya vyApaka tvAt tatra upADiH eva kintu
   dhūmānumānasyānukūlatarkasanādhatvenāvacchedyavahnivyāvṛtterasaṃbhavādavacchedakamahānasatvavyāvṛttereva	DUma anumAnasya anukUla tarka sanADa tvena avacCedya vahni vyAvRtteH asaMBavAt avacCedaka mahAna satva vyAvRtteH eva
   ca saṃbhavādvahnimātrasādhakadhūmānumānadūṣaṇe na śakta iti na tatra doṣa	ca saMBavAt vahni mAtra sADaka DUma anumAna dUzaNe na SaktaH iti na tatra doza
   iti bhedaḥ//	iti BedaH//
   nanu śuddhasādhyaprayoge 'vacchinnasādhyavyāpakopādhyuktau	nanu SudDa sADya prayoge avacCinna sADya vyApaka upa aDyuktO
   prakṛtanupayuktānvitoktirūpārthāntaratādoṣaḥ syādityāśaṅkāmanūdya	prakRtanupayukta anvitokti rUpa arTa antara tA dozaH syAt iti ASaFkAm anUdya
   śuddhasādhyaprayogadūṣakatvasyāpi satvānnadoṣa iti bhāvena pariharati//	SudDa sADya prayoga dUzaka tvasya api satva anna dozaH iti BAvena pariharati//
   yadyapīti//	yadi api iti//
   nanvevaṃ parvatognimāndhūmavatvādityādisadanumānabhaṅgaprasaṅgaḥ/	nanu evam parvata ugni mAnDUmava tvAt itya Adi sat anumAna BaFga prasaFgaH/
   tatrāpyuktadiśāvacchinnasādhyavyāpakopādhisaṃbhavādityata āha  	tatra api ukta diSA avacCinna sADya vyApaka upADi saMBavAt iti atas Aha  
   vyañjanavatvādikamiti// na śakta iti vibhāgaḥ/ evaṃ yathāśrutaṃ sudhoktaṃ	vyaQjanava tu Adikam iti// na SaktaH iti viBAgaH/ evam yaTASrutam suDA uktam
   samarthya  	samarTya  
   1.ko vahnirasādhya evo ityasti rā. 2.nnaṃ saḥ  ṭa.rā. 3.dirapi ka.	1.kaH vahniH asADyaH evaH iti asti rA. 2.nnam saH  wa.rA. 3.dirapi ka.
   ga.ṭa.rā. 4.sādyava  rā.	ga.wa.rA. 4.sAdyava rA.
   pu  84. nyāyadīpayutatarkatāṇḍavam (tṛ.paricchedaḥ	pu 84. nyAya dIpa yuta tarka tANxavam (tR. paricCedaH
   athavā yo yaddharmāvacchinnasādhyavyāpakatve sati sādhanāvyāpakaḥ sa	aTavA yaH yat Darma avacCinna sADya vyApaka tve sati sADana avyApakaH sa
   tatropādhiḥ/ sādhyavyāpakatvesati sādhanāvyāpaka upādhiriti sudhāyāmapi	tatra upADiH/ sADya vyApaka tvesati sADana avyApakaH upADiH iti suDAyAm api
   sādhyavyāpakapadenedameva vivakṣitam/ evaṃ cāvacchinnasādhyasādhyavyāpake	sADya vyApaka padena idam eva vivakzitam/ evam ca avacCinna sADya sADya vyApake
   nāvyāptiśaṅkāpi 1 / nāpi śuddhasādhyavyāpake ārdrendhanādau tasyāpi	na avyApti SaFkA api 1 / na api SudDa sADya vyApake Ardra inDana AdO tasya api
   dhūmatvādidharmāvacchinnadhūmarūpasādhyavyāpakatvāt/ evaṃ ca	DUma tva Adi Darma avacCinna DUma rUpa sADya vyApaka tva at/ evam ca
   sarvopyupādhiravacchinnasādhyavyāpaka eva/ sudhāyāmanavacchinnapadaṃ tu	sarva upyupADiH avacCinna sADya vyApakaH eva/ suDAyAm anavacCinna padam tu
   vyāpakatāvacchedakadharmānyadharmeṇānavacchinnatvābhiprāyam//	vyApaka tAvacCedaka DarmAni aDarmeNa anavacCinna tva aBiprAyam//
   yadvā sādhya 2 padasthāne yatpadaprakṣepeṇa yo yavdyāpakatve sati	yat vA sADye 2 pada sTAne yat pada prakzepeNa yaH yavdyApaka tve sati
   yadavyāpakaḥ sa svāvyāpye tasminhetāvupādhirityastu/ evaṃ ca	yat avyApakaH sa sva avyApye tasmin hetO= upADiH iti aH tu/ evam ca
   dravyatvāvacchinnaspārśanatvasya dūṣyānumānasādhyatvābhāvepi tatra cākṣuṣa	dravya tva avacCinna spArSana tvasya dUzya anumAna sADya tva aBAvepi tatra cAkzuza
   3 tvopādhitāsiddhiḥ/ sudhāyāṃsādhyapadaṃ tu prāyikābhiprāyam/ ata eva	3 tvA upADita asidDiH/ suDAya aMsa aDya padam tu prAyika aBiprAyam/ atas eva
   sudhāyāṃ vastutastu yo dharmo yavdyāpakāvyā 4 pakastasya tenāvyāptiriti	suDAyAm vastutas tu yaH DarmaH yavdyApakAvyA 4 pakaH tasya tena avyAptiH iti
   sādhyapadasthāne yatpadameva prayuktam//	sADya pada sTAne yat padam eva prayuktam //
   atra dvitīyatṛtīyapakṣayorapya 5 vacchinnasādhyavyāpaker'thāntaranirāsa	atra dvitIya tRtIya pakzayoH apya 5 vacCinna sADya vyApaker aTa antara nirAsa
   ādyapakṣa 6 vaddraṣṭavyaḥ//	Adya pakza 6 vat drazwavyaH//
   prakāntareṇa pakṣadvayamāha  athaveti// yadveti ca // ādyapakṣavaditi//	prakA antareNa pakza dvayam Aha  aTavA iti// yat vA iti ca // Adya pakza vat iti//
   1.apipadaṃ na ka.ga.ṭa.rā. 2.dhyādipa ga.ṭa.rā. 3.tvasyo ga.ṭa.rā. 4.pyaḥ	1.apipadam na ka.ga.wa.rA. 2.Di Adi pa ga.wa.rA. 3.tu asi a u ga.wa.rA. 4.pyaH
   tasya ka.ga.ṭa.rā. 5.apipadaṃ na ga.ṭa.rā. 6.kṣa eva dra ga.rā.	tasya  ka.ga.wa.rA. 5.apipadam na ga.wa.rA. 6.kzaH eva dra ga.rA.
   svāto pādhi sānya laṇam) upādhivādaḥ pu   85.	svAto pADi  sAnya laNam) upADivAdaH pu  85.
   atra cādye pakṣe avacchinnasādhyamapi sādhyameva/ dvitīye	atra ca Adye pakze avacCinna sADyam api sADyam eva/ dvitIye
   śuddhasādhyamapyavacchinnasādhyameva/ tṛtīye	SudDa sADyam api avacCinna sADyam eva/ tRtIye
   'vacchinnasādhyasyāsādhyatvepi cākṣuṣatvasya tatropādhitvamiti bhedo	avacCinna sADyasya asADya tvepi cAkzuza tvasya tatra upADi tvam iti BedaH 
   draṣṭavyaḥ//	drazwavyaH//
   kecittu spārśanatvādirūpaśuddhasādhya eva dravyatvādiviśi 1	kecid tu spArSana tva Adi rUpa SudDa sADyaH eva dravya tva Adi viSi 1
   ṣṭacākṣuṣatvābhāvasyābhāva upādhiḥ/ ayaṃ ca viśiṣṭābhāvarūpa upādhiḥ	zwacAkzuza tva aBAvasya aBAvaH upADiH/ ayam ca viSizwa aBAva rUpaH upADiH
   sadhyavati sparśādau dravyatvarūpaviśeṣaṇasyābhāvena ghaṭādau 2	saDyavati sparSa AdO dravya tva rUpa viSezaNasya aBAvena Gawa AdO 2
   cākṣuṣatvābhāvarūpaviśeṣyasyābhāvenānugata iti śuddhasādhyavyāpakaḥ/	cAkzuza tva aBAva rUpa viSezyasya aBAvena anugataH iti SudDa sADya vyApakaH/
   taduktam  	tat uktam  
   "ya upādhirlālagīti sādhye vai yadviśeṣaṇe/	"yaH upADiH lAla gIti sADye vE yat viSezaNe/
   svavyāvṛttyāvacchinnaṃ sādhyaṃ vyāvartayannityādinoktadiśeti bhāvaḥ//	sva vyAvRttyA avacCinnam sADyam vyAvartayan= ityAdinA ukta diSA iti BAvaH//
   pakṣāṇāṃ viveka svayamevāha    atra cādya iti// sādhyameveti//	pakzANAm viveka svayam eva Aha   atra ca adya iti// sADyam eva iti//
   vyāpakatāvacchedakadharmādhikaraṇamātrasya sādhyapadena vivakṣitatvāditi	vyApaka tAvacCedaka Darma aDikaraNa mAtrasya sADya padena vivakzita tvAt iti
   bhāvaḥ/ udayanādimatamāha   kecitviti// sādhyavyāpakatvaṃ vyanakti    ayaṃ	BAvaH/ udayana Adi matam Aha  kecitu iti// sADya vyApaka tvam vyanakti   ayam
   ceti// ya iti// ya upādhiścākṣuṣatvābhāvasyābhāvarūpa upādhiḥ/ sādhye	ca iti// yaH iti// yaH upADiH cAkzuza tva aBAvasya aBAva rUpaH upADiH/ sADye
   spārśanatvarūpasādhye dravyatvarūpayadviṣaṇayuktai 3 tasya	spArSana tva rUpa sADye dravya tva rUpayat vizaNa yuktEH 3 tasya
   dravyatvaviśiṣṭacākṣuṣatvābhāvasyābhāvaḥ kevale sādhye vyāpaka eva sa	dravya tva viSizwa cAkzuza tva aBAvasya aBAvaH kevale sADye vyApakaH eva sa
   upādhirbhavatītyarthaḥ/ evaṃ 4 tarhi śāsre śuddha	upADiH Bavati iti arTaH/ evam 4 tarhi SAsre SudDa
   sādhyavyāpakarūpaikarūpopādhimanuktvāvacchinnasādhyavyāpako 5 ktiḥ	sADya vyApaka rUpa eka rUpa upADim anuktvA avacCinna sADya vyApakaH 5 ktiH
   kimarthetyata āha   śāstre tviti// tadākṣepārthā taduktiriti vākyaśeṣaḥ//	kimarTa iti atas Aha  SAstre tu iti// tad Akzepa arTA tad uktiH iti vAkya SezaH//
   1.ṣṭasya  ka.ga.ṭa.rā. 2.'tu' ityadhikam ka.ga.ṭa. 3.dabhāvābhūḥ	1.zwasya  ka.ga.wa.rA. 2. atu a iti aDikam ka.ga.wa. 3.daBAvABUH
   dravyatvaviśeṣaṇaviśiṣṭa ityasti ṭha. 4.evaṃ hi ṭha. 5.kopādhyuktiḥ ṭha.	dravya tva viSezaNa viSizwaH iti asti Wa. 4.evam hi Wa. 5.kopa aDyuktiH Wa.
   pu 86. nyāyadīpayutatarkatāṇḍavam (tṛ.paricchedaḥ	pu 86. nyAya dIpa yuta tarka tANxavam (tR. paricCedaH
   tadviśeṣaṇayuktaitadabhāvā 1 bhūstu kevala"/	tad viSezaNa yukta etat aBAvAH 1 BUH tu kevala"/
   iti/ śāstre tu vyatirekavyāptyādinānvayavyāptyādi 2	iti/ SAstre tu vyatireka vyApti AdinA anvaya vyApti Adi 2
   mivāvacchinnasādhyavyāpakopādhinokta 3 śuddhasādhyavyāpakopādhirākṣipyata	miva avacCinna sADya vyApaka upADinA uktaH 3 SudDa sADya vyApaka upa ADiH Akzipyata
   ityāhuḥ//	iti AhuH//
   ayaṃ 1 prakāro vāyuḥ spārśanaḥ sparśatvāditya 5 siddhisaṃkīrṇe	ayam 1 prakAraH vAyuH spArSanaH sparSa tva Aditya 5 sidDi saMkIrNe
   dravyatvāvacchinnasādhyavyāpake cākṣuṣatvopādhau na	dravya tva avacCinna sADya vyApake cAkzuza tva upADO na
   saṃbhavatītyasārvatrikaḥ/ tatra dravyatvāvacchinnacākṣuṣatvābhāvā 6	saMBavati iti asArvatrikaH/ tatra dravya tva avacCinna cAkzuza tva aBAvAH 6
   bhāvarūpopādhāvuktarītyā spārśanatvarūpasādhyavyāpakatvepi 7	BAva rUpa upADO= ukta rItyA spArSana tva rUpa sADya vyApaka tvepi 7
   sparśatvarūpasādhanāvyāpakatvasyābhāvātsādhanavati sparśe dravyatvābhāvena	sparSa tva rUpa sADana avyApaka tvasya aBAvAt sADanavati sparSe dravya tva aBAvena
   dravyatvaviśiṣṭasya cākṣuṣatvābhāvasyābhāvenopādheḥ sādhanavyāpakatvāt//	dravya tva viSizwasya cAkzuza tva aBAvasya aBAvena upADeH sADana vyApaka tva at//
   ata eva sudhāyāṃ"kvicitsādhyāvacchedakāvacchinnasyopādhyabhāvasya	atas eva suDAyAM"kvicid sADyAvacCedaka avacCinnasya upADi aBAvasya
   hetutvādyathā vāyuḥ spārśano na dravyatve satyacākṣuṣatvā"diti kvacitpadaṃ	hetu tvAt yaTA vAyuH spArSanaH na dravya tve satyacAkzuza tvA"t iti kvacid padam
   pratyuktam//	pratyuktam //
   1.vobhūtsakevale ityastu ṭa.rā. 2.dikami ka.ga.rā. 3.ktaḥ śu ga.ṭa.rā.	1.vaH BUt sa kevale iti astu wa.rA. 2.dikami ka.ga.rA. 3.ktaH Su ga.wa.rA.
   4.tupra ka.ga.rā. 5.tyādauhyasaṃ ṭa.	4.tu pra ka.ga.rA. 5.ti AdOhya saM wa.
   6.varūpo ga.rā. 7.satveti pūritaṃ ṭa. 8.śetvarū  ṭha.ḍa.	6.va rUpaH  ga.rA. 7.satva iti pUritaM wa. 8.Setva rU  Wa.xa.
   svāto pādhi sānya laṇam) upādhivādaḥ pu   87.	svAto pADi  sAnya laNam) upADivAdaH pu  87.
   yattu sādhanavyāpakopi kvacidupādhiryatra pakṣāvṛttirhetuḥ yathā karakā	yat tu sADana vyApakopi kvacid upADiH yatra pakzAvRttiH hetuH yaTA karakA
   pṛthivī kaṭhinasaṃyogava 1 tvādityādāvanuṣṇāśītasparśavatvamiti/ tanna/	pRTivI kaWina saMyogava 1 tvAt ityAdO= anuzNa aSIta sparSava tvam iti/ tat na/
   sparśa 2 tvarūpasādhanavatītyarthaḥ/ ata eva asārvatrikatvādeva 3 sudhāyāṃ	sparSaH 2 tu arUpa sADanavatI iti arTaH/ atas eva asArva trika tvAt eva 3 suDAyAm
   sādhyavyāpakavailomyamityādervyākhyānasudhāyāmityarthaḥ/ kvacitpadaṃ	sADya vyApaka vElomyam iti AdeH vyAKyAna suDAyAm iti arTaH/ kvacid padam
   prayuktamiti/ dravyatvaviśiṣṭasya cākṣuṣatvasyābhāva upādhiriti hi	prayuktam iti/ dravya tva viSizwasya cAkzuza tvasya aBAvaH upADiH iti hi
   prāgaktam/ etadabhāvaśca pratipakṣaprayoge hetūkṛtya kvacitpadaṃ prayuktaṃ	prAgaktam/ etad aBAvaH ca pratipakza prayoge hetUkRtya kvacid padam prayuktam
   cetprāguktaviśiṣṭābhāvarūpopādhiprakāraśca kvacidevetyaktaṃ bhavatīti	ced prAc ukta viSizwa aBAva rUpa upADi prakAraH ca kvacid eva ityaktam Bavati iti
   bhāvaḥ/ etena sudhāvākyaṃ kecitvityupanyastapakṣābhiprāyeṇetyuktaṃ	BAvaH/ etena suDA vAkyam kecitu iti upanyasta pakza aBiprAyeNa iti uktam
   bhavati//	Bavati//
   kvacitsādhanavyāpakopyupādhiryatra pakṣāvṛttirheturītyādinā maṇyukteḥ 4	kvacid sADana vyApakopi upADiH yatra pakzAvRttiH heturI ityAdinA maNI ukteH 4
   sādhanavyāpakyāpyupādhitvātkathaṃ"sādhyavyāpakavailomyaṃ	sADana vyApakyA api upADi tvAt kaTaM"sADya vyApaka vElomyam
   sādhanasye"tyanuvyākhyānādau lakṣaṇoktirityatastaṃ pakṣamanūdya nirāha  	sADanasya i"ti anuvyAKyAna AdO lakzaNa uktiH iti atas tam pakzam anUdya nirAha  
   yatvityādinā// karaketi pakṣaḥ pṛthivīti sādhyam/ kaṭhinasaṃyogavatvaṃ	yatu ityAdinA// karaka iti pakzaH pRTivI iti sADyam/ kaWina saMyogava tvam
   pāṣāṇādeva na tu karakakāyāṃ alpakāla eva dravībhāvadarśanāt/	pAzANAt eva na tu karaka kAyAm alpa kAle eva dravIBAva darSanAt/
   pakṣāvṛttiścāyaṃ hetuḥ/ hetoḥ pakṣavṛttitve tavdyāpakasyopādherapi	pakza AvRttiH ca ayam hetuH/ hetoH pakza vRtti tve tavdyApakasya upADeH api
   pakṣavṛttitayā tavdyatirekasya svarūpāsiddhatvena svavyāvṛttibalena	pakza vRtti tayA tavdyatirekasya sva rUpa asidDa tvena sva vyAvRtti balena
   pakṣātsādhyavyāvṛttisaṃpādanasyāśakyatayā dūṣakatvamupādherna syāt iti	pakzAt sADya vyAvRtti saMpAdanasya aSakya tayA dUzaka tvam upADeH na syAt iti
   yatra pakṣāvṛttirheturityuktam/ anuṣṇeti// yatra pṛthivītvaṃ ghaṭādau	yatra pakza AvRttiH hetuH iti uktam/ anuzNa iti// yatra pRTivI tvam Gawa AdO
   tatrānuṣṇāśītasparśavatvamiti sādhyāvyāpakam/ yatra kaṭhinasaṃyogavatvaṃ	tatra anuzNA SIta sparSavatvam iti sADya avyApakam/ yatra kaWina saMyogava tvam
   ghaṭādāveva tatrānuṣṇāśītasparśavatvamiti sādhyāvyāpakam/ yatra	Gawa AdO= eva tatra anuzNa aSIta sparSavatvam iti sADya avyApakam/ yatra
   kaṭhinasaṃyogavatvaṃ ghaṭādāveva tatrā 5 nuṣṇāśītasparśavatvamityapi	kaWina saMyogava tvam Gawa AdO= eva tatrA 5 nuzNa aSIta sparSava tvam iti api
   niyamātsādhanavyāpakaṃ ca/ pṛthivīvayvoranuṣṇāśītasparśavatvopagamāditi	niyamAt sADana vyApakam ca/ pRTivI ivayvoH anuzNa aSIta sparSavatva upagamAt iti
   bhāvaḥ//	BAvaH//
   1.gatvā ka.gar. 2.śavatvarū ṭha.ḍa. 3.vasādhya ṭa.ṭha.ḍa.	1.ga tvA  ka.gar. 2.Sava tva rU Wa.xa. 3.vasADya wa.Wa.xa.
   4.ktasā ṭa.ṭha.ḍa. 5.tra pṛthivītvamityapi  ṭa.ṭha.ḍa.	4.ktasA wa.Wa.xa. 5.tra pRTivI tvam iti api  wa.Wa.xa.
   pu  88. nyāyadīpayutatarkatāṇḍavam (tṛ.paricchedaḥ	pu  88. nyAya dIpa yuta tarka tANxavam (tR. paricCedaH
   asyopādhitve ghaṭaḥ pṛthivī kaṭhinasaṃyogavatvādityatrāpyupādhitvāpātāt/	asya upADi tve GawaH pRTivI kaWina saMyogavatu AdityatrApi upADi tva ApAtAt/
   na hi sa eva dharmastasminneva sādhye pakṣabhedamātreṇopādhiranupādhiśca	na hi saH eva DarmaH tasmin= eva sADye pakza Beda mAtreNa upADiH anupADiH ca
   bhavati/ anuṣṇāśītasparśābhāvasya sādhyābhāvasādhakatvaṃ tu	Bavati/ anuzNa aSIta sparSa aBAvasya sADya aBAva sADaka tvam tu
   nopādhyabhāvatvāt/ sādhanavyāpakasyāpyupādhitve 'tiprasaṅgāt/ kintu	na upADyaBAva tvAt/ sADana vyApakasya api upADi tve ati prasaFga at/ kintu
   pratipakṣāntaravatsvata eva sādhyābhāvavyāptatvāt/ na hi sarvopi	pratipakza antara vatsvataH eva sADya aBAva vyApta tva at/ na hi sarva upi
   pratipakṣa upādhyabhāvarūpaḥ//	pratipakzaH upADi aBAva rUpaH//
   iti 1 svābhimatopādhisāmānyalakṣaṇam// 7 //	iti 1 sva aBimata upADi sAmAnya lakzaNam// 7 //
   nanvekatropādhitve 'nyatrāpi kuta ityata āha   na hīti// nanu bhavatyaṃ 2	nanu ekatra upADi tve anyatra api kutas iti atas Aha  na hi iti// nanu Bavatyam 2
   pakṣavṛttihetāvapyupādhiḥ anukūlatarkeṇa tannirāso bhaviṣyatīti cettarhi	pakza vRtti hetO= api upADiH anukUla tarkeNa tad nirAsaH Bavizyati iti ced tarhi
   karakā pṛthivītyādāvapi tathāstu/ na ca tatrānukūlatarko nāstīti vācyam/	karakA pRTivI ityAdO= api taTA astu/ na ca tatra anukUla tarkaH na asti iti vAcyam/
   tarhi tata eva tasya duṣṭatve kimanenālaukikena sadanumānaduṣṭatāpādakena	tarhi tatas eva tasya duzwa tve kim anena alOkikena sat anumAna duzwa tApAdakena
   sādanavyāpakasyāpyupādhitvakalpanena / nanvasya 3	sAdana vyApakasya api upADi tva kalpanena / nanu asya 3
   pakṣavṛttihetāvapyupādhitve ghaṭo na pṛthivī	pakza vRtti hetO= api upADi tve GawaH na pRTivI
   anuṣṇāśītasparśavatvābhāvājjalavaditi svābhāvena sādhyābhāvasādhanaṃ na	anuzNa aSIta sparSavatva aBAvAt jala vat iti svABAvena sADya aBAva sADanam na
   syādityata āha   anuṣṇeti// atiprasaṅgāditi// dhūmādyanumāne	syAt iti atas Aha  anuzNa iti// atiprasaFgAt iti// DUma Adi anumAne
   prameyatvāderapyupādhitāpātāditi bhāvaḥ//	prameya tva AdeH api upADita ApAtAt iti BAvaH//
   iti svābhimatopādhisāmānyalakṣaṇam// 7 //	iti sva aBimata upADi sAmAnya lakzaNam// 7 //
   1.svamate  ṭha.ṭa. 2.tatrāpyu ṭha.ḍa. 3.syānupādhitve karakā na pṛthivī	1.sva mate  Wa.wa. 2.tatra api u Wa.xa. 3.sya anupADi tve karakA na pRTivI
   anuṣṇāśī ityasti  ṭa.ṭha.	anuzNa ASI iti asti  wa.Wa.
   udanā dyuktodhi laṇaṅgaḥ) upādhivādaḥ pu   89.	udanA  dyuktoDi  laNaFgaH) upADivAdaH pu  89.
   athodayanādyuktopādhilakṣaṇabhaṅgaḥ // 8 //	aTa udayana Adi ukta upADi lakzaNa BaFgaH // 8 //
   udayanādayastu    sādhyasamavyāptatve sati sādhanāvyāpaka	udayana AdayaH tu   sADya samavyApta tve sati sADana avyApaka
   upādhirityāhustanna/	upADiH iti AhuH tat na/
   athodayanādyuktopādhilakṣaṇabhaṅgaḥ // 8 //	aTa udayana Adi ukta upADi lakzaNa BaFgaH // 8 //
   anuvyākhyāne sādhyavyāpakavailomyaṃ sādhanasyetyupādhilakṣaṇoktiḥ	anuvyAKyAne sADya vyApaka vElomyam sADanasya iti upADi lakzaNa uktiH
   sādhyasamavyāpakatva 1 lakṣaṇanirāsāyetyuktvā sudhāyāṃ 2 dūṣitam/ tadvi 3	sADya samavyApaka tva 1 lakzaNa nirAsAya iti uktvA suDAyAm 2 dUzitam/ tat vi 3
   śadīkurvannāha    udayanādayastviti// yadyapyetanmataṃ maṇāveva pūrvapakṣe	SadIkurvan= Aha   udayana AdayaH tu iti// yadi api etat matam maNO= eva pUrva pakze
   nirastam/ tathāpyadhikadoṣavivakṣayā sudhāvākya 4 vivaraṇacikīrṣayā cātra	nirastam/ taTA api aDika doza vivakzayA suDA vAkya 4 vivaraNa cikIrzayA ca atra
   punirupanyāsaḥ/ samavyāptatvaṃ kiṃ viṣamavyāptasyopādhitvena	punirupanyAsaH/ samavyApta tvam kim vizam avyAptasya upADi tvena
   śāsrakārairanupādānādupādīyate, uta dūṣakatābījasya samavyāpta eva	SAsra kArEH anupAdAnAt upAdIyate, uta dUzaka tA bIjasya samavyAptaH eva
   saṃbhavena viṣamavyāptopādherabhāvāt/ atha   	saMBavena vizama vyApta upADeH a BAvAt/ aTa   
   svasaṃbandhena yaḥ svīyaṃ dharmamanyatra darśayet /	sva saMbanDena yaH svIyam Darmam anyatra darSayet /
   sa upādhiryathā loke japādiḥ sphaṭikādiṣu//	saH upADiH yaTA loke japa AdiH sPawika Adizu//
   ihāpyañyāpyahetvarthavyāpta 5 tvabhramahetutā/	iha api aQyApya hetu arTa vyApta 5 tu aBram ahetutA/
   upādheḥ syāt . . . . . //	upADeH syAt . . . . . //
   ityādyuktyā yaḥ samīpasthite hetau svadharmaṃ	iti Adi uktyA yaH samIpa sTite hetO svaDarmam
