   bhaktivilāsākhyaṃ prathamaṃ stotram	BaktivilAsa-AKyam praTamam stotram
   dhyātamātramuditaṃ tava rūpaṃ karhi nātha paramāmṛtapūraiḥ &	DyAta-mAtram-uditam tava rUpam karhi nATa parama-amRta-pUrEH &
   pūrayet tvadavibhedavimokṣākhyātidūravivarāṇi sadā me // UtSst_19.7 //	pUrayet tvad-aviBeda-vimokza-AKyAti-dUra-vivarANi sadA me // UtSst_19.7 //
   tvadīyānuttararasāsaṅgasaṃtyaktacāpalam &	tvadIyAn-uttara-rasa-AsaFga-saMtyakta-cApalam &
   nādyāpi me mano nātha karhi syād astu śīghrataḥ // UtSst_19.8 //	na-adya-api me manaH nATa karhi syAt astu SIGrataH // UtSst_19.8 //
   mā śuṣkakaṭukāny eva paraṃ sarvāṇi sarvadā &	mA Suzka-kawukAni eva param sarvANi sarvadA &
   tavopahṛtya labdhāni dvandvāny apy āpatantu me // UtSst_19.9 //	tava-upahRtya labDAni dvandvAni api Apatantu me // UtSst_19.9 //
   nātha sāṃmukhyam āyāntu viśuddhās tava raśmayaḥ &	nATa sAMmuKyam AyAntu viSudDAH tava raSmayaH &
   yāvat kāyamanastāpatamobhiḥ parilupyatām // UtSst_19.10 //	yAvat kAya-manaH-tApatamoBiH parilupyatAm // UtSst_19.10 //
   deva prasīda yāvan me tvanmārgaparipanthikāḥ &	deva prasIda yAvat me tvad-mArga-paripanTikAH &
   paramārthamuṣo vaśyā bhūyāsur guṇataskarāḥ // UtSst_19.11 //	parama-arTa-muzaH vaSyAH BUyAsuH guNa-taskarAH // UtSst_19.11 //
   tvad bhaktisudhāsārair mānasam āpūryatāṃ mamāśu vibho &	tvat Bakti-suDA-sArEH mAnasam ApUryatAm mama-ASu viBo &
   yāvad imā uhyantāṃ niḥśeṣāsāravāsanāḥ plutvā // UtSst_19.12 //	yAvat imAH uhyantAm niHSeza-AsAra-vAsanAH plutvA // UtSst_19.12 //
   mokṣadaśāyāṃ bhaktis tvayi kuta iva martyadharmiṇo 'pi na sā &	mokza-daSAyAm BaktiH tvayi kutas iva martya-DarmiNaH api na sA &
   rājati tato 'nurūpām āropaya siddhibhūmikām aja mām // UtSst_19.13 //	rAjati tatas anurUpAm Aropaya sidDi-BUmikAm aja mAm // UtSst-_19.13 //
   siddhilavalābhalubdhaṃ mām avalepena mā vibho saṃsthāḥ &	sidDi-lava-lABa-lubDam mAm avalepena mA viBo saMsTAH &
   kṣāmas tvadbhaktimukhe prollasadaṇimādipakṣato mokṣaḥ // UtSst_19.14 //	kzAmaH tvad-Bakti-muKe prollasa-daNima-Adi-pakzataH mokzaH // UtSst_19.14 //
   dāsasya me prasīdatu bhagavān etāvad eva nanu yāce &	dAsasya me prasIdatu BagavAn etAvat eva nanu yAce &
   dātā tribhuvananātho yasya na tanmādṛśāṃ dṛśo viṣayaḥ // UtSst_19.15 //	dAtA triBuvana-nATaH yasya na tat-mAdRSAm dRSaH vizayaH // UtSst_19.15 //
   tvadvapuḥsmṛtisudhārasapūrṇe mānase tava padāmbujayugmam &	tvad-vapuH-smRti-suDA-rasa-pUrNe mAnase tava pada-ambuja-yugmam &
   māmake vikasad astu sadaiva prasravanmadhu kim apy atilokam // UtSst_19.16	mAmake vikasat astu sadA-eva prasravat-maDu kim api ati-lokam // UtSst-_19.16
   asti me prabhur asau janako 'tha tryambako 'tha jananī ca bhavānī &	asti me praBuH asO janakaH aTa tryambakaH aTa jananI ca BavAnI &
   na dvitīya iha ko 'pi mamāstīty eva nirvṛtatamo vicareyam // UtSst_19.17	na dvitIyaH iha kaH api mama-asti-iti eva nirvRtatamaH vicareyam // UtSst_19.17
   carvanābhidhānam vimśam stotram	carvana-aBiDAnam vimSam stotram
   nathaṃ tribhuvananāthaṃ bhūtisitaṃ trinayanaṃ triśūladharam &	naTam triBuvana-nATam BUti-sitam trinayanam triSUla-Daram &
   upavītīkṛtabhoginam indukalāśekharaṃ vande // UtSst_20.1 //	upavItIkRta-Boginam indu-kalA-SeKaram vande // UtSst_20.1 //
   naumi nijatanuvinismaradaṃśukapariveṣadhavalaparidhānam &	nOmi nija-tanu-vinismarad-aMSuka-pariveza-Davala-pariDAnam &
   vilasatkapālamālākalpitanṛttotsavākalpam // UtSst_20.2 //	vilasat-kapAla-mAlA-kalpita-nRtta-utsava-Akalpam // UtSst_20.2 //
   vande tān daivataṃ yeṣāṃ haraś ceṣṭā harocitāḥ &	vande tAn dEvatam yezAm haraH cezwAH hara-ucitAH &
   haraikapravaṇāḥ prāṇāḥ sadā saubhāgyasadmanām // UtSst_20.3 //	hara-eka-pravaNAH prANAH sadA sOBAgya-sadmanAm // UtSst_20.3 //
   krīḍitaṃ tava maheśvaratāyāḥ pṛṣṭhato 'nyad idam eva yathaitat &	krIxitam tava maheSvara-tAyAH pRzWatas anyat idam eva yaTA-etat &
   iṣṭamātraghaṭiteṣv avadāneṣv ātmanā param upāyam upaimi // UtSst_20.4 //	izwa-mAtra-Gawitezu avadAnezu AtmanA param upAyam upEmi // UtSst-_20.4 //
   tvaddhāmni viśvavandye 'sminn iyati krīḍane sati &	tvad-DAmni viSva-vandye asmin iyati krIxane sati &
   tava nātha kiyān bhūyānn ānandarasasambhavaḥ // UtSst_20.5 //	tava nATa kiyAn BUyAn Ananda-rasa-samBavaH // UtSst_20.5 //
   kathaṃ sa subhago mā bhūdyo gauryā vallabho haraḥ &	kaTam sa suBagaH mA BUt-yaH gOryAH vallaBaH haraH &
   haro 'pi mā bhūd atha kiṃ gauryāḥ paramavallabhaḥ // UtSst_20.6 //	haraH api mA BUt aTa kim gOryAH parama-vallaBaH // UtSst_20.6 //
   dhyānāmṛtamayaṃ yasya svātmamūlam anaśvaram &	DyAna-amRta-mayam yasya sva-Atma-mUlam anaSvaram &
   saṃvillatās tathārūpās tasya kasyāpi sattaroḥ // UtSst_20.7 //	saMvid-latAH taTArUpAH tasya kasya-api sattaroH // UtSst_20.7 //
   bhaktikaṇḍūsam ullāsāvasare parameśvara &	Bakti-kaNxU-sam ullAsa-avasare parameSvara &
   mahānikaṣapāṣāṇasthūṇā pūjaiva jāyate // UtSst_20.8 //	mahA-nikaza-pAzANa-sTUNA pUjA-eva jAyate // UtSst_20.8 //
   sadā srṣṭivinodāya sadā sthitisukhāsine &	sadA srzwi-vinodAya sadA sTiti-suKa-asine &
   sadā tribhuvanāhāratṛptāya svāmine namaḥ // UtSst_20.9 //	sadA triBuvana-AhAra-tRptAya svAmine namaH // UtSst_20.9 //
   na kvāpi gatvā hitvāpi na kiṃcid idam eva ye &	na kvApi gatvA hitvA-api na kiMcid idam eva ye &
   bhavyaṃ tvaddhāma paśyanti bhavyās tebhyo namo namaḥ // UtSst_20.10 //	Bavyam tvad-DAma paSyanti BavyAH teByaH namaH namaH // UtSst_20.10 //
   bhaktilakṣmīsamṛddhānāṃ kim anyad upayācitam &	Bakti-lakzmI-samRdDAnAm kim anyat upayAcitam &
   etayā vā daridraṇāṃ kim anyad upayācitam // UtSst_20.11 //	etayA vA daridraNAm kim anyat upayAcitam // UtSst-_20.11 //
   duḥkhāny api sukhāyante viṣam apy amṛtāyate &	duHKAni api suKAyante vizam api amRtAyate &
   mokṣāyate ca saṃsāro yatra mārgaḥ sa śaṅkaraḥ // UtSst_20.12 //	mokzAyate ca saMsAraH yatra mArgaH sa SaFkaraH // UtSst_20.12 //
   mūle madhye 'vasāne ca nāsti duḥkhaṃ bhavajjuṣāṃ &	mUle maDye avasAne ca na-asti duHKam Bavat-juzAm &
   tathāpi vayam īśāna sīdāmaḥ katham ucyatām // UtSst_20.13 //	taTA-api vayam ISAna sIdAmaH kaTam ucyatAm // UtSst_20.13 //
   jñānayogādinānyeṣām apy apekṣitum arhati &	jQAna-yoga-AdinA-anyezAm api apekzitum arhati &
   prakāśaḥ svairiṇām iva bhavān bhaktimatāṃ prabho // UtSst_20.14 //	prakASaH svEriNAm iva BavAn BaktimatAm praBo // UtSst-_20.14 //
   bhaktānāṃ nārtayo nāpy asty ādhyānaṃ svātmanas tava &	BaktAnAm na-ArtayaH na-api asti ADyAnam sva-AtmanaH tava &
   tathāpy asti śivety etat kim apy eṣāṃ bahirmukhe // UtSst_20.15 //	taTA-api asti Siva-iti etat kim api ezAm bahirmuKe // UtSst_20.15 //
   sarvābhāsāvabhāso yo vimarśavalito 'khilam &	sarva-ABAsa-avaBAsaH yaH vimarSavalitaH aKilam &
   aham etad iti staumi tāṃ kriyāśaktim īśa te // UtSst_20.16 //	aham etat iti stOmi tAm kriyASaktim ISa te // UtSst_20.16 //
   vartante jantavo 'śeṣā api brahmendraviṣṇavaḥ &	vartante jantavaH aSezAH api brahma-indra-vizNavaH &
   grasamānās tato vande deva viśvaṃ bhavanmayam // UtSst_20.17 //	grasamAnAH tatas vande deva viSvam Bavat-mayam // UtSst_20.17 //
   sato vināśasambandhān matparaṃ nikhilaṃ mṛṣā &	sataH vinASa-sambanDAt mad-param niKilam mRzA &
   evamevodyate nātha tvayā saṃhāralīlayā // UtSst_20.18 //	evam-eva-udyate nATa tvayA saMhAra-lIlayA // UtSst_20.18 //
   dhyātam ātmupatiṣṭhata eva tvadvapur varada bhaktidhanānām &	DyAtam AtmupatizWate eva tvad-vapuH vara-da Bakti-DanAnAm &
   apy acintyam akhilādbhutacintākartṛtāṃ prati ca te vijayante //	api acintyam aKila-adButa-cintA-kartR-tAm prati ca te vijayante //
   UtSst_20.19 //	UtSst-_20.19 //
   tāvakabhaktirasāsavasekād iva sukhitamarmamaṇḍalasphuritaiḥ &	tAvaka-Bakti-rasa-Asa-va-sekAt iva suKita-marma-maNxala-sPuritEH &
   nṛtyati vīrajano niśi vetālakulaiḥ kṛtotsāhaḥ // UtSst_20.20 //	nRtyati vIra-janaH niSi vetAla-kulEH kRta-utsAhaH // UtSst_20.20 //
   ārabdhā bhavadabhinutir amunā yenāṅgakena mama śambho &	ArabDAH Bavat-aBinutiH amunA yena-aFgakena mama SamBo &
   tenāparyantam imaṃ kālaṃ dṛḍham akhilam eva bhaviṣīṣṭa // UtSst_20.21 //	tena-aparyantam imam kAlam dRXam aKilam eva Bavizi-izwaH // UtSst-_20.21 //
