   Mahāsāṃghikānāṃ prātimokṣasūtram	MahAsAMGikAnAm prAtimokza-sUtram
   yathādharmmaṃ yathāvinayaṃ kārāpayitavyo uttariṃ saṃmohamāpādayitavyo	yaTADarmmam yaTAvinayam kArApayitavyaH uttarim saMmoham-ApAdayitavyaH-
   tasya te āyuṣman lābhādurlabdhāyastvaṃ anvarddhamāsaṃ sūtre pratimokṣo	tasya te Ayuzman lABAdurlabDa-ayaH-tvam anvardDa-mAsam sUtre pratimokzaH-
   uddiśyamānenāsthīkṛtvā na manasi kṛtvā na sarvvacetasā samanvāhṛtya	uddiSyamAnena-asTIkRtvA na manasi kRtvA na sarvu-acetasA samanvAhRtya
   avahitaśroto sankṛtya dharmaśṛṇoṣīti imantasya bhikṣūsya sammohanayā	avahita-SrotaH sankRtya Darma-SRNozi-iti imantasya BikzUsya sammohanayA
   pācattikam //	pAcattikam //
   uddānam // [81] sabhakto [82] rājño [83] sūcīgṛhaṃ [84] mañca [85] tūla	uddAnam // [81] sa-BaktaH [82] rAjQaH [83] sUcI-gRham [84] maQca [85] tUla
   [86] niṣīdanaṃ [87] kanḍu [88] varṣāśāṣṭikā [89] sugatacīvara [90]	[86] nizIdanam [87] kanxu [88] varzA-SAzwikAH [89] sugata-cIvaraH [90]
   mabhyākhyānaṃ [91] pariṇāmana [92] majñānakena // navamo vaggaḥ //	maBya-AKyAnam [91] pariNAmana [92] majQAnakena // navamaH vaggaH //
   vaggāṇāmuddānaṃ [1] mṛṣā [2] bījaṃ [3] asammato [4] ekāhaparamo [5] kṣobhi	vaggANAm-uddAnam [1] mRzA [2] bIjam [3] asammataH [4] ekAha-paramaH [5] kzoBi
   [6] saprāṇakaṃ [7] sañcintya [8] unaviṃśati [9] sabhaktakena // navamaḥ	[6] sa-prANakam [7] saQcintya [8] unaviMSati [9] sa-Baktakena // navamaH
   uddiṣṭāḥ //	uddizwAH //
   kho punarāyuṣmanto dvānavati śuddhapācattikā dharmmāstatrāyuṣmanto	KaH punar-AyuzmantaH dvAnavati SudDa-pAcattikAH DarmmAH-tatra-AyuzmantaH-
   pṛcchāmi kaccittha pariśuddhā dvitīyampi āyuṣmanto pṛcchāmi kaccittha	pRcCAmi kaccit-Ta pariSudDAH dvitIyampi AyuzmantaH pRcCAmi kaccitTa
   pariśuddhāḥ / tṛtīyampi āyuṣmanto pṛcchāmi kaccittha pariśuddhāḥ	pariSudDAH / tRtIyampi AyuzmantaH pRcCAmi kaccitTa pariSudDAH
   pariśuddhā atrāyuṣmanto yasmāttūṣṇīṃ mevametandhārayāmi /	pariSudDAH atra-AyuzmantaH yasmAt-tUzNIm mevam-etat-DArayAmi /
   VI. THE FOUR PRATIDESANIYA DHARMAS.	VI. THE FOUR PRATI-DA-ESANIYAH DHARMAS.
   ime kho punarāyuṣmanto catvāraḥ pātideśanikā dharmā anvarddhamāsaṃ sūtre	ime KaH punar-AyuzmantaH catvAraH pAti-deSanikA DarmAH anvardDa-mAsam sUtre
   prātimokṣe uddeśamāgacchanti /	prAtimokze uddeSam-AgacCanti /
   PrMoSū(Mā)_Pratid.1. yo punabhikṣu āraṇyake śayanāsane viharanto pūrvve	PrMoSU(MA)_Prati-d.1. yaH puna-Bikzu AraNyake Sayana-Asane viharantaH pUrvve
   apratisamveditaṃ vahidvā apratigṛhītamantevāsa vastusminnagilāno svahastaṃ	apratisamveditam vahit-vA apratigRhItam-antevAsa vastu-sminnagilAnaH sva-hastam
   khādanīyamvā bhojanīyamvā pratigṛhṇitvā khādeya vā bhuñjeya vā bhuktāvinā	KAdanIyam-vA BojanIyam-vA pratigRhNitvA KAdeya vA BuQjeya vA BuktAvinA
   tena bhikṣuṇā pratideśayitavyaṃ / asaṃpreyamme āyuṣman	tena BikzuNA pratideSayitavyam / asaMpreyam-me Ayuzman
   gārhyamprātideśanikaṃ dharmmamāpanno taṃ dharmapratideśayāmi ayaṃ dharmmo	gArhyamprAtideSanikam Darmmam-ApannaH tam Darma-pratideSayAmi ayam DarmmaH-
   prātideśaniko //	prAtideSanikaH //
   PrMoSū(Mā)_Pratid.2. yo punabhikṣuranyātikāye bhikṣuṇīye antaragṛhaṃ	PrMoSU(MA)_Prati-d.2. yaH puna-BikzuH-anyA-atikAye BikzuNIye antara-gRham
   praviṣtāye agilāno svahastaṃ khādanīyaṃ vā bhojanīyamvā pratigṛhṇitvā	praviztAye agilAnaH sva-hastam KAdanIyam vA BojanIyam-vA pratigRhNitvA
   khāde ya vā bhuñjeya vā bhuktā vinā tena bhikṣuṇā pratideśayitavyaṃ /	KAde yaH vA BuQjeya vA BuktA vinA tena BikzuNA pratideSayitavyam /
   asaṃpreyamme āyuṣman gārhyampratideśanikaṃ dharmmamāpanno taṃ dharmmaṃ	asaMpreyam-me Ayuzman gArhyampratideSanikam Darmmam-ApannaH tam Darmmam
   pratideśayāmi / ayaṃ pi dharmmo prātideśaniko /	pratideSayAmi / ayam pi DarmmaH prAtideSanikaH /
   PrMoSū(Mā)_Pratid.3. bhikṣu kho punarantaragṛhe nimantritakānmuñjanti	PrMoSU(MA)_Pratid.3. Bikzu KaH punar-antara-gRhe nimantritakAn-muQjanti
   tatra ca bhikṣuṇī viśvāsamānarūpāsthitā bhavati so evamāha iha odanaṃ dehi	tatra ca BikzuNI viSvAsa-mAna-rUpa-AsTitA Bavati saH evam-Aha iha odanam dehi
   iha sūpaṃ dehi iha vyañjanaṃ dehīti vadeya sarvehi te bhikṣū hi sā	iha sUpam dehi iha vyaQjanam dehi-iti vadeya sarvehi te BikzU hi sA
   bhikṣūṇī evamasya vacanīyā / āgamaya tāvattvaṃ bhagini yāvadbhikṣū	BikzUNI evam-asya vacanIyAH / Agamaya tAvat-tvam Bagini yAvat-BikzU
   bhuñjantīti ekabhikṣū pi ca tāṃ bhikṣuṇīnnevaṃ vadeya / āgamaya tāvattvaṃ	BuQjanti-iti eka-BikzU pi ca tAm BikzuNIn=-evam vadeyaH / Agamaya tAvat-tvam
   bhagini yāvadbhikṣū bhuñjantīti bhuktāvīhi te hi bhikṣu hi	Bagini yAvat-BikzU BuQjanti-iti Bukta-avIhi te hi Bikzu hi
   pratideśayitavyaṃ / asaṃpreyamme āyuṣman gārhyampratideśanikaṃ	pratideSayitavyam / asaMpreyam-me Ayuzman gArhyampratideSa-nikam
   dharmamāpanno taṃ dharmaṃ pratideśayāmi / ayampi dharmmo pratideśaniko //	Darmam-ApannaH tam Darmam pratideSayAmi / ayampi DarmmaH pratideSanikaH //
   PrMoSū(Mā)_Pratid.4. yāni kho punarimāni śikṣasammatā ni kulāni bhavanti /	PrMoSU(MA)_Prati-d.4. yAni KaH punar-imAni Sikza-sammatA ni kulAni Bavanti /
   tatra ca bhikṣūḥ pūrvve apravārito upasaṃkramitvā svahastaṃ khādanīyaṃ vā	tatra ca BikzUH pUrvve apravAritaH upasaMkramitvA sva-hastam KAdanIyam vA
   bhojanīyaṃ vā pratigṛhṇitvā khādeya vā bhuṃjeya vā bhuktāvinā tena	BojanIyam vA pratigRhNitvA KAdeya vA BuMjeya vA Bukta-AvinA tena
   bhikṣuṇā pratideśayitavyaṃ / asaṃpreyamme āyuṣman gārhyaṃ pratideśanikaṃ	BikzuNA pratideSayitavyam / asaMpreyam-me Ayuzman gArhyam pratideSa-nikam
   dharmamāpanno taṃ dharmaṃ pratideśayāmi / ayaṃ pi dharmo pratideśaniko //	Darmam-ApannaH tam Darmam pratideSayAmi / ayam pi DarmaH pratideSanikaH //
   uddānam // [1] āraṇyaka [2] mantaragṛhe [3] bhikṣū ca nimantritakāḥ [4]	uddAnam // [1] AraNyakaH [2] mantara-gRhe [3] BikzU ca nimantritakAH [4]
   śaikṣasammatena catvāraḥ uddiṣṭāḥ //	SEkza-sammatena catvAraH uddizwAH //
   kho punarāyuṣmanto catvāraḥ prātideśanikā dharmāstatrāyuṣmanto pṛcchāmi	KaH punar-AyuzmantaH catvAraH prAtideSanikAH DarmAH-tatra-AyuzmantaH pRcCAmi
   kaccittha pariśuddhāḥ / dvitīyampi āyuṣmanto pṛcchāmi kaccittha	kaccit-Ta pariSudDAH / dvitIyampi AyuzmantaH pRcCAmi kaccitTa
   pariśuddhāḥ tṛtīyampi āyuṣmanto pṛcchāmi kaccittha pariśuddhāḥ pariśuddhāḥ	pariSudDAH tRtIyampi AyuzmantaH pRcCAmi kaccitTa pariSudDAH pariSudDAH
   atrāyuṣmanto yasmāttūṣṇīmevametaṃ dhārayāmi /	atra-AyuzmantaH yasmAt-tUzNIm-evam-etam DArayAmi /
   VII. THE SIXTY-SEVEN SAIKSA DHARMAS.	VII. THE SIXTY--SEVEN SAIKSAH DHARMAS.
   ime kho punarāyuṣmano sātireka pañcāṣaḍ śikṣādharmmā anvarddhamāsaṃ sūtre	ime KaH punar-AyuzmanaH sa-atireka paQcAzaz SikzA-DarmmA anvardDa-mAsam sUtre
   prātimokṣe uddeśamāga cchanti /	prAtimokze uddeSa-mAga cCanti /
   PrMoSū(Mā)_Śai.1. parimaṇḍalannivasanaṃ nivāsayiṣyāmīti śikṣā karaṇīyā /	PrMoSU(MA)_ŚE.1. parimaNxalat-nivasanam nivAsayizyAmi-iti SikzA karaNIyAH /
   PrMoSū(Mā)_Śai.2. parimaṇḍalaṃ cīvaraṃ prāvariṣyāmīti śikṣākaraṇīyā /	PrMoSU(MA)_ŚE.2. parimaNxalam cIvaram prAvarizyAmi-iti SikzA-karaNIyA /
   PrMoSū(Mā)_Śai.3. svasaṃvṛto antaragṛhamupasaṃkramiṣyāmīti śikṣākaraṇīyā /	PrMoSU(MA)_ŚE.3. sva-saMvRtaH antara-gRham-upasaMkramizyAmi-iti SikzA-karaNIyA /
   PrMoSū(Mā)_Śai.4. na ukṣiptakṣūrantaragṛhamupasaṃkramiṣyāmīti	PrMoSU(MA)_ŚE.4. na ukzipta-kzUrantara-gRham-upasaMkramizyAmi-iti
   śikṣākaraṇīyā /	SikzA-karaNIyA /
   PrMoSū(Mā)_Śai.5. alpaśabdo antaragṛhamupasaṃkramiṣyāmīti śikṣākaraṇīyā /	PrMoSU(MA)_ŚE.5. alpa-SabdaH antara-gRham-upasaMkramizyAmi-iti SikzA-karaNIyA /
   PrMoSū(Mā)_Śai.6. na ujhaggīkāya antaragṛhamupasaṃkramiṣyāmīti	PrMoSU(MA)_ŚE.6. naH uJaggIkAya antara-gRham-upasaMkramizyAmi-iti
   śikṣākaraṇīyā /	SikzA-karaNIyA /
   PrMoSū(Mā)_Śai.7. na oguṇṭhikāya antaragṛhamupasaṃkramiṣyāmīti	PrMoSU(MA)_ŚE.7. na aH-guNWikAya antara-gRham-upasaMkramizyAmi-iti
   śikṣākaraṇīyā /	SikzA-karaNIyA /
   PrMoSū(Mā)_Śai.8. na ukṣiptikāya antaragṛhamupasaṃkramiṣyāmīti	PrMoSU(MA)_ŚE.8. naH ukziptikAya antara-gRham-upasaMkramizyAmi-iti
   śikṣākaraṇīyā /	SikzA-karaNIyA /
   PrMoSū(Mā)_Śai.9. na ukkuṭṭikāya antaragṛhamupasaṃkramiṣyāmīti	PrMoSU(MA)_ŚE.9. na ukkuwwikAya antara-gRham-upasaMkramizyAmi-iti
   śikṣākaraṇīyā /	SikzA-karaNIyA /
   PrMoSū(Mā)_Śai.10. na khambhakṛto antaragṛhamupasaṃkramiṣyāmīti	PrMoSU(MA)_ŚE.10. na KamBa-kRtaH antara-gRham-upasaMkramizyAmi-iti
   śikṣākaraṇīyā /	SikzA-karaNIyA /
   PrMoSū(Mā)_Śai.11. na kāyapracālakamantaragṛhamupasaṃkramiṣyāmīti	PrMoSU(MA)_ŚE.11. na kAya-pracAlakam-antara-gRham-upasaMkramizyAmi-iti
   śikṣākaraṇīyā /	SikzA-karaNIyA /
   PrMoSū(Mā)_Śai.12. na śīrṣapracālakamantaragṛhamupasaṃ kramiṣyāmīti	PrMoSU(MA)_ŚE.12. na SIrza-pracAlakam-antara-gRham-upasam kramizyAmi-iti
   śikṣākaraṇīyā /	SikzA-karaNIyA /
   PrMoSū(Mā)_Śai.13. na bāhuvikṣepakamantaragṛhamupasaṃkramiṣyāmīti	PrMoSU(MA)_ŚE.13. na bAhu-vikzepakam-antara-gRham-upasaMkramizyAmi-iti
   śikṣākaraṇīyā /	SikzA-karaNIyA /
   uddānam [1] nivasanaṃ [2] prāvaraṇaṃ [3] susaṃvṛto [4] cakṣūḥ [5] śabda	uddAnam [1] nivasanam [2] prAvaraNam [3] su-saMvRtaH [4] cakzUH [5] Sabda
   [6] nojhaggīkā [7] na oguṇṭhikā [8] nokṣiptikā [9] na ukkuṭṭikā [10] na	[6] na-uJaggIkA [7] na aH-guNWikA [8] na-ukziptikA [9] na ukkuwwikA [10] na
   khambha [11] na kāya [12] na śīrṣa [13] na bāhukena / prathamo vaggaḥ /	KamBa [11] na kAya [12] na SIrza [13] na bAhukena / praTamaH vaggaH /
   PrMoSū(Mā)_Śai.14. susaṃvṛto antaragṛhe niṣīdiṣyāmīti śikṣākaraṇīyā /	PrMoSU(MA)_ŚE.14. su-saMvRtaH antara-gRhe nizIdizyAmi-iti SikzA-karaNIyA /
   PrMoSū(Mā)_Śai.15. na ukṣiptacakṣū antaragṛhe niṣīdiṣyāmīti śikṣākaraṇīyā	PrMoSU(MA)_ŚE.15. naH ukzipta-cakzU antara-gRhe nizIdizyAmi-iti SikzA-karaNIyA
   PrMoSū(Mā)_Śai.16. alpaśabdo antaragṛhe niṣīdiṣyāmīti śikṣākaraṇīyā /	PrMoSU(MA)_ŚE.16. alpa-SabdaH antara-gRhe nizIdizyAmi-iti SikzA-karaNIyA /
   PrMoSū(Mā)_Śai.17. na ujhaggīkāya antaragṛhe niṣīdiṣyāmīti śikṣākaraṇīyā /	PrMoSU(MA)_ŚE.17. na uJaggIkAya antara-gRhe nizIdizyAmi-iti SikzA-karaNIyA /
   PrMoSū(Mā)_Śai.18. na oguṇṭhikāya antaragṛhe niṣīdiṣyāmīti śikṣākaraṇīyā /	PrMoSU(MA)_ŚE.18. na aH-guNWikAya antara-gRhe nizIdizyAmi-iti SikzA-karaNIyA /
   PrMoSū(Mā)_Śai.19. na ukṣiptikāya antaragṛhe niṣīdiṣyāmīti śikṣākaraṇīyā /	PrMoSU(MA)_ŚE.19. naH ukziptikAya antara-gRhe nizIdizyAmi-iti SikzA-karaNIyA /
   PrMoSū(Mā)_Śai.20. na osaktikāya antaragṛhe niṣīdiṣyāmīti śikṣākaraṇīyā /	PrMoSU(MA)_ŚE.20. na osaktikAya antara-gRhe nizIdizyAmi-iti SikzA-karaNIyA /
   PrMoSū(Mā)_Śai.21. na pallatthikāya antaragṛhe niṣī diṣyāmīti	PrMoSU(MA)_ŚE.21. na pallatTikAya antara-gRhe nizI dizyAmi-iti
   śikṣākaraṇīyā /	SikzA-karaNIyA /
   PrMoSū(Mā)_Śai.22. na khambhakṛto antaragṛhe niṣīdiśyāmīti śi[kṣā]	PrMoSU(MA)_ŚE.22. na KamBa-kRtaH antara-gRhe nizIdiSyAmI-iti Si[kzA]
   karaṇīyā /	karaNIyAH /
   PrMoSū(Mā)_Śai.23. na antaragṛhe niṣaṇṇo hastaṃ kokṛtyamvā pādakaukṛtyamvā	PrMoSU(MA)_ŚE.23. na antara-gRhe nizaNNaH hastam kokRtyam-vA pAda-kOkRtyamvA
   kariṣyāmīti śikṣākaraṇīyā /	karizyAmi-iti SikzA-karaNIyA /
   uddānaṃ // [14] susaṃvṛto [15] cakṣuḥ [16] śabda [17] nojhaggikā [18] na	uddAnam // [14] su-saMvRtaH [15] cakzuH [16] SabdaH [17] na-uJaggikA [18] na
   oguṇṭhikā [19] nokṣiptikā [20] nośaktikā [21] na pallatthikā [22] na	oguNWikA [19] na-ukziptikA [20] na-uSaktikA [21] na pallatTikAH [22] na
   khambha [23] na hastapādakaukṛtyena / dvitīyo vaggaḥ //	KamBa [23] na hasta-pAda-kOkRtyena / dvitIyaH vaggaH //
   PrMoSū(Mā)_Śai.24. satkṛtya piṇḍapātraṃ pratigṛhṇiṣyāmīti śikṣākaraṇīyā /	PrMoSU(MA)_ŚE.24. satkRtya piNxa-pAtram pratigRhNizyAmi-iti SikzA-karaNIyA /
   PrMoSū(Mā)_Śai.25. samasūpaṃ piṇḍapātraṃ paribhuñjiṣyāmīti śikṣākaraṇīyā /	PrMoSU(MA)_ŚE.25. sama-sUpam piNxa-pAtram pariBuQjizyAmi-iti SikzA-karaNIyA /
   PrMoSū(Mā)_Śai.26. na stūpakārakaṃ piṇḍapātraṃ paribhuñjiṣyāmīti	PrMoSU(MA)_ŚE.26. na stu-upakArakam piNxa-pAtram pariBuQjizyAmi-iti
   śikṣākaraṇīyā /	SikzA-karaNIyA /
   PrMoSū(Mā)_Śai.27. nāvakīrṇṇakārakaṃ piṇḍapātraṃ paribhuṃjiṣyāmīti	PrMoSU(MA)_ŚE.27. na-avakIrNNa-kArakam piNxa-pAtram pariBuMjizyAmi-iti
   śikṣākaraṇīyā /	SikzA-karaNIyA /
   PrMoSū(Mā)_Śai.28. nāvagaṇḍakārakaṃ piṇḍapātraṃ paribhuṃjiṣyāmīti	PrMoSU(MA)_ŚE.28. na-avagaNxa-kArakam piNxa-pAtram pariBuMjizyAmi-iti
   śikṣākaraṇīyā /	SikzA-karaNIyA /
   PrMoSū(Mā)_Śai.29. na jihvā nicārakaṃ piṇḍapātraṃ paribhuṃjiṣyāmīti	PrMoSU(MA)_ŚE.29. na jihvA nicArakam piNxa-pAtram pariBuMjizyAmi-iti
   śikṣākaraṇīyā /	SikzA-karaNIyA /
   PrMoSū(Mā)_Śai.30. nāti mahamte hi kavaḍe hi piṇḍapātraṃ paribhuṃjiṣyāmīti	PrMoSU(MA)_ŚE.30. na-ati maham-te hi kavaxe hi piNxa-pAtram pariBuMjizyAmi-iti
   śikṣākaraṇīyā /	SikzA-karaNIyA /
   PrMoSū(Mā)_Śai.31. nānāgatekavaḍe mukhadvāraṃ vivariṣyāmīti śikṣākaraṇīyā	PrMoSU(MA)_ŚE.31. nAnAgateka-vaxe muKa-dvAram vivarizyAmi-iti SikzA-karaNIyA
   PrMoSū(Mā)_Śai.32. na kavaḍotkṣepakaṃ piṇḍapātraṃ paribhuṃjiṣyāmīti	PrMoSU(MA)_ŚE.32. na kavaxa-utkzepakam piNxa-pAtram pariBuMjizyAmi-iti
   śikṣākaraṇīyā /	SikzA-karaNIyA /
   PrMoSū(Mā)_Śai.33. na kavaḍacchedakaṃ piṇḍapātraṃ paribhuṃjiṣyāmīti	PrMoSU(MA)_ŚE.33. na kavaxa=-Cedakam piNxa-pAtram pariBuMjizyAmi-iti
   śikṣākaraṇīyā /	SikzA-karaNIyA /
   PrMoSū(Mā)_Śai.34. na sakavaḍena mukhena vāca bhāṣiṣyamīti śikṣākaraṇīyā /	PrMoSU(MA)_ŚE.34. na sa-kavaxena muKena vAca BAzizyami-iti SikzA-karaNIyA /
   uddānaṃ // [24] satkṛtya [25] samasūpa [26] na sūpa [27] nāvakīṇṇa [28]	uddAnam // [24] satkRtya [25] samasUpaH [26] na sUpaH [27] na-avakINNa [28]
   nāvaganḍa [29] na jihvā [30] nātimahāntaṃ [31] nānāgataṃ [32] na	na-avaganxa [29] na jihvA [30] na-ati-mahAntam [31] na-anAgatam [32] na
   kavaḍotkṣepaka [33] na kavaḍacchedaka [34] na sakavaḍena mukhena vācaṃ //	kavaxa-utkzepakaH [33] na kavaxacCedakaH [34] na sa-kavaxena muKena vAcam //
   tṛtīyo vaggaḥ //	tRtIyaH vaggaH //
   PrMoSū(Mā)_Śai.35. na pātraṃ nirllehakaṃ piṇḍapātraṃ paribhuṃjiṣyāmīti	PrMoSU(MA)_ŚE.35. na pAtram nirllehakam piNxa-pAtram pariBuMjizyAmi-iti
   śikṣākaraṇīyā /	SikzA-karaNIyA /
   PrMoSū(Mā)_Śai.36. na hastanirllehakaṃ piṇḍapātraṃ paribhuṃjiṣyāmīti	PrMoSU(MA)_ŚE.36. na hasta-nirllehakam piNxa-pAtram pariBuMjizyAmi-iti
   śikṣākaraṇīyā /	SikzA-karaNIyA /
   PrMoSū(Mā)_Śai.37. nāṃguṃlillehakaṃ piṇḍapātraṃ paribhuṃjiṣyāmīti	PrMoSU(MA)_ŚE.37. na-aMguMlit-lehakam piNxa-pAtram pariBuMjizyAmi-iti
   śikṣākaraṇīyā /	SikzA-karaNIyA /
   PrMoSū(Mā)_Śai.38. na cuccūkāraṃ piṇḍapātraṃ paribhuṃjiṣyāmīti	PrMoSU(MA)_ŚE.38. na cuccUkAram piNxa-pAtram pariBuMjizyAmi-iti
   śikṣākaraṇīyā /	SikzA-karaNIyA /
   PrMoSū(Mā)_Śai.39. na surusurukāraṃ piṇḍapātraṃ paribhuṃjiṣyāmīti	PrMoSU(MA)_ŚE.39. na surusurukAram piNxa-pAtram pariBuMjizyAmi-iti
   śikṣākaraṇīyā /	SikzA-karaNIyA /
   PrMoSū(Mā)_Śai.40. na śuluśulukārakaṃ piṇḍapātraṃ paribhuṃjiṣyāmīti	PrMoSU(MA)_ŚE.40. na Sulu-Sulu-kArakam piNxa-pAtram pariBuMjizyAmi-iti
   śikṣākaraṇīyā /	SikzA-karaNIyA /
   PrMoSū(Mā)_Śai.41. na hastanirddhūnakaṃ piṇḍapātraṃ paribhuñjiṣyāmīti	PrMoSU(MA)_ŚE.41. na hasta-nirdDUnakam piNxa-pAtram pariBuQjizyAmi-iti
   śikṣākaraṇīyā /	SikzA-karaNIyA /
   PrMoSū(Mā)_Śai.42. na sitthāvakārakaṃ piṇḍapātraṃ paribhuṃjiṣyāmīti	PrMoSU(MA)_ŚE.42. na sitTAvakArakam piNxa-pAtram pariBuMjizyAmi-iti
   śikṣākaraṇīyā /	SikzA-karaNIyA /
   PrMoSū(Mā)_Śai.43. nātivelāparasya pātrannidhyāyiṣyāmi	PrMoSU(MA)_ŚE.43. na-ativelA-parasya pAtrat-niDyAyizyAmi
   odhyāyanakarmatāmupādāyeti śikṣākaraṇīyā /	oDyAyana-karma-tAm-upAdAya-iti SikzA-karaNIyA /
   PrMoSū(Mā)_Śai.44. pātrasaṃjñīpiṇḍapātraṃ paridṛśyāmīti śikṣākaraṇīyā /	PrMoSU(MA)_ŚE.44. pAtra-saMjQI-piNxa-pAtram paridRSyAmi-iti SikzA-karaNIyA /
   PrMoSū(Mā)_Śai.45. na agilāno odanamvā sūpamvā vyañjanamvā ātmātvāya kule	PrMoSU(MA)_ŚE.45. na agilAnaH odanam-vA sUpam-vA vyaQjanam-vA Atma-AtvAya kule
   hi vijñāpetvā vā vijñāpāyetvā vā piṇḍapātraṃ paribhuṃjiṣyāmīti	hi vijQApetvA vA vijQApAyetvA vA piNxa-pAtram pariBuMjizyAmi-iti
   śikṣākaraṇīyā /	SikzA-karaNIyA /
   PrMoSū(Mā)_Śai.46. nadinnadinnāniṣṭhaṃ janāni odanena pracchādayiṣyāmi /	PrMoSU(MA)_ŚE.46. nadinna-dinnA-nizWam janAni odanena pracCAdayizyAmi /
   bhūyo āgamanakarmatāmupādāyeti śikṣākaraṇīyā /	BUyas Agamana-karma-tAm-upAdAya-iti SikzA-karaNIyA /
   PrMoSū(Mā)_Śai.47. na sasithāmyānodakaṃ pṛthivyānniṣiñciṣyāmīti	PrMoSU(MA)_ŚE.47. na sa-siTAmyAnodakam pRTivyAn-niziQcizyAmi-iti
   śikṣākaraṇīyā /	SikzA-karaNIyA /
   PrMoSū(Mā)_Śai.48. na saśitthena pāṇinā pānīyasthālakaṃ pratigṛhṇiṣyāmīti	PrMoSU(MA)_ŚE.48. na sa-SitTena pANinA pAnIya-sTAlakam pratigRhNizyAmi-iti
   śikṣākaraṇīyā /	SikzA-karaNIyA /
   uddānam / [35-36-37] trayo nirllehāḥ / [28] cucu [39] surusuru [40] na	uddAnam / [35-36-37] trayaH nirllehAH / [28] cucu [39] surusuru [40] na
   śuluśulu [41] na hasta [42] na sittha [43] na odhyāyana [44] pātrasaṃjñī	SuluSulu [41] na hastaH [42] na sitTaH [43] na oDyAyana [44] pAtra-saMjQI
   [45] rvijñapti [46] cchādayati [47] pātrodaka [48] sasitthena // catutho	[45] rvijQapti [46] cCAdayati [47] pAtra-udakaH [48] sa-sitTena // catuTaH-
   vagaḥ //	vagaH //
   PrMoSū(Mā)_Śai.49. na thito niṣaṇṇasya agilānasya dharmmandeśayiṣyāmīti	PrMoSU(MA)_ŚE.49. na TitaH nizaNNasya agilAnasya Darmman-deSayizyAmi-iti
   śikṣākaraṇīyā /	SikzA-karaNIyA /
   PrMoSū(Mā)_Śai.50. na niṣaṇṇo niṣadyasya agilānasya dharmandeśayiṣyāmīti	PrMoSU(MA)_ŚE.50. na nizaNNaH nizadyasya agilAnasya DarmandeSayizyAmi-iti
   śikṣākaraṇīyā /	SikzA-karaNIyA /
   PrMoSū(Mā)_Śai.51. na nīcāsane niṣaṇṇo uccāsane niṣaṇṇo agilānasya	PrMoSU(MA)_ŚE.51. na nIca-Asane nizaNNaH ucca-Asane nizaNNaH agilAnasya
   dharmandeśayiṣyāmīti śikṣākaraṇīyā /	DarmandeSayizyAmi-iti SikzA-karaNIyA /
   PrMoSū(Mā)_Śai.52. na upānahārūḍhasya agilānasya dharmandeśayiṣyāmīti	PrMoSU(MA)_ŚE.52. naH upAnaha-ArUXasya agilAnasya DarmandeSayizyAmi-iti
   śikṣākaraṇīyā /	SikzA-karaNIyA /
   PrMoSū(Mā)_Śai.53. na pādukārūḍhasya agilānasya dharmandeśayiṣyāmīti	PrMoSU(MA)_ŚE.53. na pAdukA-ArUXasya agilAnasya DarmandeSayizyAmi-iti
   śikṣākaraṇīyā /	SikzA-karaNIyA /
   PrMoSū(Mā)_Śai.54. na oguṇṭhikākṛtasya agilānasya dharmandeśayiṣyāmīti	PrMoSU(MA)_ŚE.54. na aH-guNWikA-kRtasya agilAnasya DarmandeSayizyAmi-iti
   śikṣākaraṇīyā /	SikzA-karaNIyA /
   PrMoSū(Mā)_Śai.55. na saṃmukhāveṣṭhitasya agilānasya dharmandeśayiṣyāmīti	PrMoSU(MA)_ŚE.55. na saMmuKa-avezWitasya agilAnasya DarmandeSayizyAmi-iti
   śikṣākaraṇīyā /	SikzA-karaNIyA /
   PrMoSū(Mā)_Śai.56. na osaktikāya niṣaṇṇasyāgilānasya dharmandeśayiṣyāmīti	PrMoSU(MA)_ŚE.56. na osaktikAya nizaNNasya-AgilAn-asya DarmandeSayizyAmi-iti
   śikṣākaraṇīyā /	SikzA-karaNIyA /
   PrMoSū(Mā)_Śai.57. na pallatthikāya niṣaṇṇasya agilāna sya	PrMoSU(MA)_ŚE.57. na pallatTikAya nizaNNasya agilAnaH sya
   dharmandeśayiṣyāmīti śikṣākaraṇīyā /	DarmandeSayizyAmi-iti SikzA-karaNIyA /
   uddānam // [49] na thito [50] na niṣaṇṇo [51] uccāsana [52] upānaha [53]	uddAnam // [49] na TitaH [50] na nizaNNaH [51] ucca-AsanaH [52] upAnahaH [53]
   pādukā [54] oguṇṭhikā [55] na sanmukha [56] na osattikā [57] na	pAdukA [54] oguNWikA [55] na sat-muKaH [56] na osattikAH [57] na
   pallatthikāya / pañcamo vagaḥ /	pallatTikAya / paQcamaH vagaH /
   PrMoSū(Mā)_Śai.58. na śastrapāṇasya agilānasya dharmadeśayiṣyāmīti	PrMoSU(MA)_ŚE.58. na Sastra-pANasya agilAnasya Darma-deSayizyAmi-iti
   śikṣākaraṇīyā /	SikzA-karaNIyA /
   PrMoSū(Mā)_Śai.59. nāyudhapāṇisya agilānasya dharmandeśayiṣyāmīti	PrMoSU(MA)_ŚE.59. na-AyuDa-pANisya agilAnasya DarmandeSayizyAmi-iti
   śikṣākaraṇīyā /	SikzA-karaNIyA /
