   laghusiddhāntakaumudī	laGu-sidDAnta-kOmudI
   abhyāsaṛvarṇasyāt pratyaye / raparaḥ / halādiḥ śeṣaḥ / vṛddhiḥ /	aByAsaRvarNasyAt pratyaye / raparaH / halAdiH SezaH / vRdDiH /
   gopāyāñcakāra / dvitvātparatvādyaṇi prāpte ----- .	gopAyAQcakAra / dvi-tvAt-para-tvAt-yaNi prApte ---- .
   dvirvacane 'ci // VLk_476 = P_1,1.59 //	dvis-vacane aci // VLk-_476  P_1,1.59 //
   dvitvanimitte 'ci aca ādeśo na dvitve kartavye / gopāyāñcakratuḥ //	dvi-tva-nimitte aci aca AdeSaH na dvi-tve kartavye / gopAyAn-cakratuH //
   ekāca upadeśe 'nudāttāt // VLk_477 = P_7,2.10 //	ekAcaH upadeSe anudAttAt // VLk-_477  P_7,2.10 //
   upadeśe yo dhāturekājanudāttaśca tata ārdhadhātukasyeṇna /	upadeSe yaH DAtuH-ekA-janudAttaH-ca tatas ArDaDAtukasyeNna /
    ūdṝdantairyautirukṣṇuśīṅsnunukṣuśviḍīṅśribhiḥ /	UdLdantEH-yOtiH-ukzNu-SIFsnu-nukzuH-vixIFSriBiH /
    vṛṅvṛñbhyāṃ ca vinaikāco 'janteṣu nihatāḥ smṛtāḥ //	vRFvRQByAm ca vinA-ekAcaH ajantezu nihatAH smRtAH //
   kānteṣu śaklekaḥ / cānteṣu pacmucricvacvicsicaḥ ṣaṭ / chānteṣu pracchekaḥ	kAntezu SaklekaH / ca-antezu pacmu-cri-cvacvicsicaH zaw / CAntezu pracCekaH
   / jānteṣu tyajnijirbhajbhañjbhujbhrasjmasjyajyujruj	/ jAntezu tyajnijirBat-BaQt-BujBrasjma-sjyajyujruj
   rañjvijirsvañjsañjsṛjaḥ pañcadaśa // dānteṣu adkṣudkhidchidtud	raQjvijiH-svan-jsaQjsRjaH paQcadaSa // dAntezu adkzut-Kit-Cidtud
   nudpadyabhidvidyativinadvindśadsadsvidyaskandhadaḥ ṣoḍaśa / dhānteṣu	nudpadi-aBidvidyati-vinat-vindSat-sat-svidya-skanDa-daH zoxaSa / DAntezu
   krudhkṣudhbudhyabandhyudhrudhrādhvyadhsādhśudhsidhyā ekādaśa / nānteṣu	kruDkzuDbuDya-banDyuDru-DrADvI-aDsa-aDSuDsiDyA ekAdaSa / na-antezu
   manyahanī dvau / pānteṣu āpchupkṣiptaptiptṛpyadṛpyalipalupvapśapsvap	manyahanI dvO / pAntezu ApCupkziptaptiptRpyadRpyali-palu-pvapSapsu-ap
   sṛpastrayodaśa / bhānteṣu yabhrabhlabhastrayaḥ / mānteṣu	sRpaH-trayodaSa / BAntezu yaBra-BlaBaH-trayaH / mAntezu
   gamyamnamramaścatvāraḥ / śānteṣu kraśdaṃśdiśdṛśmṛśriśruśliśviśspṛśo daśa /	gamyamnamramaH-catvAraH / SAntezu kraSdaMSdiH-dRS-mR-SriSru-SliSviSspRSaH daSa /
   ṣānteṣu kṛṣ tviṣtuṣdviṣpuṣyapiṣviṣśiṣśuṣśliṣyā ekādaśa // sānteṣu	zAntezu kRz tu-iztuzdvizpuzya-pizvizSiH-SuzSlizyAH ekAdaSa // sAntezu
   ghasvasatī dvau / hānteṣu dahdihduhnahmihruhlihvaho 'ṣṭau /	GasvasatI dvO / ha-antezu dahdihduhna-hmi-hruhlihvahaH azwO /
    anudāttā halanteṣu dhātavastryadhikaṃ śatam /	anudAttA halantezu DAtavaH-tri-aDikam Satam /
   gopāyāñcakartha / gopāyāñcakrathuḥ / gopāyāñcakra / gopāyāñcakāra /	gopAyAQca-karTaH / gopAyAQcakraTuH / gopAyAn-cakra / gopAyAQcakAra /
   gopāyāñcakara / gopāyāñcakṛva / gopāyāñcakṛma / gopāyāmbabhūva, gopāyāmāsa	gopAyAQca-kara / gopAya-aQcakRva / gopAyAQca-kRma / gopAya-AmbaBUva, gopAyAmAsa
   / jugopa / jugupatuḥ / jugupuḥ //	/ jugopa / jugupatuH / jugupuH //
   svaratisūtisūyatidhūñūdito vā // VLk_478 = P_7,2.44 //	sva-rati-sUti-sUyati-DUQu-uditaH vA // VLk-_478  P_7,2.44 //
   svaratyāderūditaśca parasya valāderārdhadhātukasyeḍ vā syāt / jugopitha,	svarati-AdeH-u-uditaH-ca parasya valAdeH-a-arDa-DAtukasyex vA syAt / jugopiTa,
   jugoptha / gopāyitā, gopitā, goptā / gopāyiṣyati, gopiṣyati, gopsyati /	jugopTa / gopAyitA, gopitA, goptA / gopAyizyati, gopizyati, gopsyati /
   gopāyatu / agopāyat / gopāyet / gopāyyāt, gupyāt / agopāyīt //	gopAyatu / agopAyat / gopAyet / gopAyyAt, gupyAt / agopAyIt //
   neṭi // VLk_479 = P_7,2.4 //	newi // VLk-_479  P_7,2.4 //
   iḍādau sici halantasya vṛddhirna / agopīt, agaupsīt //	ixA-AdO sici halantasya vRdDiH-na / agopIt, agOpsIt //
   jhalo jhali // VLk_480 = P_8,2.26 //	JalaH Jali // VLk-_480  P_8,2.26 //
   jhalaḥ parasya sasya lopo jhali / agauptām / agaupsuḥ / agaupsīḥ /	JalaH parasya sasya lopaH Jali / agOptAm / agOpsuH / agOpsIH /
   agauptam / agaupta / agaupsam / agaupsva / agaupsma / agopāyiṣyat,	agOptam / agOpta / agOpsam / agOpsva / agOpsma / agopAyizyat,
   agopiṣyat, agopsyat // kṣi kṣaye // 13 // kṣayati / cikṣāya / cikṣiyatuḥ /	agopizyat, agopsyat // kzi kzaye // 13 // kzayati / cikzAya / cikziyatuH /
   cikṣiyuḥ / ekāca iti niṣedhe prāpte -- .	cikziyuH / ekAcaH iti nizeDe prApte - .
   kṛsṛbhṛvṛstudrusruśruvo liṭi // VLk_481 = P_7,2.13 //	kRsRBR-vRH-tudrusruSruvaH liwi // VLk-_481  P_7,2.13 //
   krādibhya eva liṭa iṇna syādanyasmādaniṭo 'pi syāt //	krAdiByaH eva liwaH iNna syAt-anyasmAt-aniwaH api syAt //
   acastāsvatthalyaniṭo nityam // VLk_482 = P_7,2.61 //	acastAsvatTalI-a-niwaH nityam // VLk-_482  P_7,2.61 //
   upadeśe 'janto yo dhātustāsau nityāniṭ tatasthala iṇna //	upadeSe ajantaH yaH DAtuH-tAsO nitya-aniz tatasTalaH iNnaH //
   upadeśe 'tvataḥ // VLk_483 = P_7,2.62 //	upadeSe atvataH // VLk-_483  P_7,2.62 //
   upadeśe 'kāravatastāsau nityāniṭaḥ parasya thala iṇna syāt //	upadeSe akAravataH-tAsO nitya-aniwaH parasya TalaH iNna syAt //
   ṛto bhāradvājasya // VLk_484 = P_7,2.63 //	RtaH BAradvAjasya // VLk-_484  P_7,2.63 //
   tāsau nityāniṭa ṛdantādeva thalo neṭ bhāradvājasya mate / tena anyasya	tAsO nitya-aniwaH RdantAt-eva TalaH new BAradvAjasya mate / tena anyasya
   syādeva / ayamatra saṃgrahaḥ ---  ajanto 'kāravānvā yastāsyaniṭthali	syAt-eva / ayam-atra saMgrahaH --  ajantaH akAravAn-vA yaH-tAsi-aniwTali
   veḍayam /	vexayam /
    ṛdanta īdṛṅnityāniṭ krādyanyo liṭi seḍbhavet //	Rdante IdRS-nitya-aniw krAdi-anyaH liwi sexBavet //
   cikṣayitha, cikṣetha / cikṣiyathuḥ / cikṣiya / cikṣāya, cikṣaya /	cikzayiTa, cikzeTa / cikziyaTuH / cikziya / cikzAya, cikzaya /
   cikṣiyiva / cikṣiyima / kṣetā / kṣeṣyati / kṣayatu / akṣayat / kṣayet //	cikziyiva / cikziyima / kzetAH / kzezyati / kzayatu / akzayat / kzayet //
   akṛtsārvadhātukayordīrghaḥ // VLk_485 = P_7,4.25 //	akRt-sArva-DAtukayoH-dIrGaH // VLk-_485  P_7,4.25 //
   ajantāṅgasya dīrgho yādau pratyaye na tu kṛtsārvadhātukayoḥ / kṣīyāt //	ajanta-aFgasya dIrGaH yAdO pratyaye na tu kRtsArvaDAtukayoH / kzIyAt //
   sici vṛddhiḥ parasmaipadeṣu // VLk_486 = P_7,2.1 //	sici vRdDiH parasmEpadezu // VLk-_486  P_7,2.1 //
   igantāṅgasya vṛddhiḥ syāt parasmaipade sici / akṣaiṣīt / akṣeṣyat // tapa	iganta-aFgasya vRdDiH syAt parasma-epade sici / akzEzIt / akzezyat // tapa
   santāpe // 14 // tapati / tatāpa / tepatuḥ / tepuḥ / tepitha, tataptha /	santApe // 14 // tapati / tatApa / tepatuH / tepuH / tepiTa, tatapTa /
   tepiva / tepima / taptā / tapsyati / tapatu / atapat / tapet / tapyāt /	tepiva / tepima / taptA / tapsyati / tapatu / atapat / tapet / tapyAt /
   atāpsīt / atāptām / atapsyat // kramu pādavikṣepe // 15 //	atApsIt / atAptAm / atapsyat // kramu pAda-vikzepe // 15 //
   vā bhrāśabhlāśabhramukramuklamutrasitruṭilaṣaḥ // VLk_487 = P_3,1.70 //	vA BrASaBlASaBra-mu-kramu-kla-mutra-sitruwi-lazaH // VLk-_487  P_3,1.70 //
   ebhyaḥ śyanvā kartrarthe sārvadhātuke pare / pakṣe śap //	eByaH SyanvA kartR-arTe sArvaDAtuke pare / pakze SaB //
   kramaḥ parasmaipadeṣu // VLk_488 = P_7,3.76 //	kramaH parasmEpadezu // VLk-_488  P_7,3.76 //
   kramo dīrghaḥ parasmaipade śiti / krāmyati, krāmati / cakrāma / kramitā /	kramaH dIrGaH parasmEpade Siti / krAmyati, krAmati / cakrAma / kramitA /
   kramiṣyati / krāmyatu, krāmatu / akrāmyat, akrāmat / krāmyet / krāmet /	kramizyati / krAmyatu, krAmatu / akrAmyat, akrAmat / krAmyet / krAmet /
   kramyāt / akramīt / akramiṣyat // pā pāne // 16 //	kramyAt / akramIt / akramizyat // pAH pAne // 16 //
   pāghrādhmāsthāmnādāṇdṛśyartisartiśadasadāṃ	pAGra-aDma-AsTAmna-AdANdRSyaRti-sarti-Sada-sadAm
   pibajighradhamatiṣṭhamanayacchapaśyarcchadhauśīyasīdāḥ // VLk_489 =	piba-jiGraDama-tizWam-anayat-SapaSya-RcCaDOSIyasIdAH // VLk-_489 =
   P_7,3.78 //	P_7,3.78 //
   pādīnāṃ pibādayaḥ syuritsaṃjñakaśakārādau pratyaye pare / pibādeśo	pAdInAm pibA-AdayaH syuH-itsaMjQaka-SakAra-AdO pratyaye pare / pibA-deSaH-
   'dantastena na guṇaḥ / pibati //	adantaH-tena na guNaH / pibati //
   āta au ṇalaḥ // VLk_490 = P_7,1.34 //	Ata O NalaH // VLk-_490  P_7,1.34 //
   ādantāddhātorṇala aukārādeśaḥ syāt / papau //	AdantAt-DAtorNalaH OkAra-AdeSaH syAt / papO //
   āto lopa iṭi ca // VLk_491 = P_6,4.64 //	AtaH lopaH iwi ca // VLk-_491  P_6,4.64 //
   ajādyorārdhadhātukayoḥ kṅidiṭoḥ parayorāto lopaḥ / papatuḥ / papuḥ /	ajAdyorArDa-DAtukayoH kFidiwoH parayoH-AtaH lopaH / papatuH / papuH /
   papitha, papātha / papathuḥ / papa / papau / papiva / papima / pātā /	papiTa, papATa / papaTuH / papaH / papO / papiva / papima / pAtAH /
   pāsyati / pibatu / apibat / pibet //	pAsyati / pibatu / apibat / pibet //
   erliṅi // VLk_492 = P_6,4.67 //	erliFi // VLk-_492  P_6,4.67 //
   ghusaṃjñakānāṃ māsthādīnāṃ ca etvaṃ syādārdhadhātuke kiti liṅi / peyāt /	Gu-saMjQakAnAm mA-asTa-AdInAm ca etvam syAt-ArDaDAtuke kiti liFi / peyAt /
   gātistheti sico luk / apāt / apātām //	gAti-sTA-iti sicaH luc / apAt / apAtAm //
   ātaḥ // VLk_493 = P_3,4.110 //	Atar // VLk-_493  P_3,4.110 //
   sijluki ādantādeva jherjus //	sijluki AdantAt-eva JerjuH //
   usyapadāntāt // VLk_494 = P_6,1.96 //	usya-pada-antAt // VLk-_494  P_6,1.96 //
   apadāntādakārādusi pararūpamekādeśaḥ / apuḥ / apāsyat // glai harṣakṣaye	apadAntAt-akArAdusi para-rUpam-ekAdeSaH / apuH / apAsyat // glE harza-kzaye
   // 17 // glāyati //	// 17 // glAyati //
   ādeca upadeśe 'śiti // VLk_495 = P_6,1.45 //	Adeca upadeSe aSiti // VLk-_495  P_6,1.45 //
   upadeśe ejantasya dhātorātvaṃ na tu śiti / jaglau / glātā / glāsyati /	upadeSe ejantasya DAtoH-Atvam na tu Siti / jaglO / glAtA / glAsyati /
   glāyatu / aglāyat / glāyet //	glAyatu / aglAyat / glAyet //
   vānyasya saṃyogādeḥ // VLk_496 = P_6,4.68 //	vA-anyasya saMyoga-AdeH // VLk-_496  P_6,4.68 //
   ghumāsthāderanyasya saṃyogāderdhātorāta etvaṃ vārdhadhātuke kiti liṅi /	Guma-AsTa-AdeH-anyasya saMyoga-AdeH-DAtorAtaH etvam vA-arDaDAtuke kiti liFi /
   gleyāt, glāyāt //	gleyAt, glAyAt //
   yamaramanamātāṃ sak ca // VLk_497 = P_7,2.73 //	yamaramanamAtAm sak ca // VLk-_497  P_7,2.73 //
   eṣāṃ sak syādebhyaḥ sica iṭ syātparasmaipadeṣu / aglāsīt / aglāsyat // hvṛ	ezAm sak syAt-eByaH sicaH iS syAt-parasmEpadezu / aglAsIt / aglAsyat // hvR
   kauṭilye // 18 // hvarati //	kOwilye // 18 // hvarati //
   ṛtaśca saṃyogāderguṇaḥ // VLk_498 = P_7,4.10 //	RtaH-ca saMyoga-AdeH-guNaH // VLk-_498  P_7,4.10 //
   ṛdantasya saṃyogāderaṅgasya guṇo liṭi / upadhāyā vṛddhiḥ / jahvāra /	Rdantasya saMyoga-AdeH-aFgasya guNaH liwi / upaDAyA vRdDiH / jahvAra /
   jahvaratuḥ / jahvaruḥ / jahvartha / jahvarathuḥ / jahvara / jahvāra,	jahvaratuH / jahvaruH / jahvarTa / jahvaraTuH / jahvara / jahvAra,
   jahvara / jahvariva / jahvarima / hvartā //	jahvara / jahvar-iva / jahvarima / hvartAH //
   ṛddhanoḥ sye // VLk_499 = P_7,2.10 //	RdDanoH sye // VLk-_499  P_7,2.10 //
   ṛto hanteśca syasyeṭ / hvariṣyati / hvaratu / ahvarat / hvaret //	RtaH hanteH-ca syasyew / hvarizyati / hvaratu / ahvarat / hvaret //
   guṇo 'rtisaṃyogādyoḥ // VLk_500 = P_7,4.29 //	guNaH arti-saMyoga-AdyoH // VLk-_500  P_7,4.29 //
   arteḥ saṃyogāderṛdantasya ca guṇaḥ syādyaki yādāvārdhadhātuke liṅi ca /	arteH saMyoga-AdeH-Rdantasya ca guNaH syAt-yaki yAdAva-arDaDAtuke liFi ca /
   hvaryāt / ahvārṣīt / ahvariṣyat // śru śravaṇe // 19 //	hvaryAt / ahvArzIt / ahvarizyat // Sru SravaNe // 19 //
   śruvaḥ śṛ ca // VLk_501 = P_6,1.74 //	SruvaH SR ca // VLk-_501  P_6,1.74 //
   śruvaḥ śṛ ityādeśaḥ syāt śnupratyayaśca / śṛṇoti //	SruvaH SR iti-AdeSaH syAt Snu-pratyayaH-ca / SRNoti //
   sārvadhātukamapit // VLk_502 = P_1,2.4 //	sArvaDAtukam-apit // VLk-_502  P_1,2.4 //
   apitsārvadhātukaṃ ṅidvat / śṛṇutaḥ //	apitsArvaDAtukam Fidvat / SRNutaH //
   huśnuvoḥ sārvadhātuke // VLk_503 = P_6,4.87 //	huSnuvoH sArvaDAtuke // VLk-_503  P_6,4.87 //
   huśnuvoranekāco 'saṃyogapūrvasyovarṇasya yaṇ syādaci sārvadhātuke /	huSnuvoH-anekAcaH asaMyoga-pUrvasyaH-varNasya yaN syAt-aci sArvaDAtuke /
   śṛṇvanti / śṛṇoṣi / śṛṇuthaḥ / śṛṇutha / śṛṇomi //	SRNvanti / SRNozi / SRNuTaH / SRNuTa / SRNomi //
   lopaścāsyānyatarasyāṃ mvoḥ // VLk_504 = P_6,4.107 //	lopaH-ca-asya-anyatarasyAm mvoH // VLk-_504  P_6,4.107 //
   asaṃyogapūrvasya pratyayokārasya lopo vā mvoḥ parayoḥ / śṛṇvaḥ, śṛṇuvaḥ /	asaMyoga-pUrvasya pratyaya-ukArasya lopaH vA mvoH parayoH / SRNvaH, SRNuvaH /
   śṛṇmaḥ, śṛṇumaḥ / śuśrāva / śuśruvatuḥ / śuśruvuḥ / śuśrotha / śuśruvathuḥ	SRNmaH, SRNumaH / SuSrAva / SuSruvatuH / SuSruvuH / SuSroTaH / SuSruvaTuH
   / śuśruva / śuśrāva, śuśrava / śuśruva / śuśruma / śrotā / śroṣyati /	/ SuSruva / SuSrAva, SuSrava / SuSruva / SuSruma / SrotA / Srozyati /
   śṛṇotu, śṛṇutāt / śṛṇutām / śṛṇvantu //	SRNotu, SRNutAt / SRNutAm / SRNvantu //
   utaśca pratyayādasaṃyogapūrvāt // VLk_505 = P_6,4.106 //	utas-ca pratyayAt-asaMyoga-pUrvAt // VLk-_505  P_6,4.106 //
   asaṃyogapūrvātpratyayoto herluk / śṛṇu, śṛṇutāt / śṛṇutam / śṛṇuta /	asaMyoga-pUrvAt-pratyayotaH heH-luc / SRNu, SRNutAt / SRNutam / SRNuta /
   guṇāvādeśau / śṛṇavāni / śṛṇavāva / śṛṇavāma / aśṛṇot / aśṛṇutām / aśṛṇvan	guNA=-AdeSO / SRNavAni / SRNavAvaH / SRNavAma / aSRNot / aSRNu-tAm / aSRNvan
   / aśṛṇoḥ / aśṛṇutam / aśṛṇuta / aśṛṇavam / aśṛṇva, aśṛṇuva / aśṛṇma,	/ aSRNoH / aSRNutam / aSRNuta / aSRNavam / aSRNva, aSRNuvaH / aSRNma,
   aśṛṇuma / śṛṇuyāt / śṛṇuyātām / śṛṇuyuḥ / śṛṇuyāḥ / śṛṇuyātam / śṛṇuyāta /	aSRNuma / SRNuyAt / SRNuyAtAm / SRNuyuH / SRNuyAH / SRNu-yAtam / SRNuyAtaH /
   śṛṇuyām / śṛṇuyāva / śṛṇuyāma / śrūyāt / aśrauṣīt / aśroṣyat // gamḷ gatau	SRNuyAm / SRNuyAvaH / SRNuyAma / SrUyAt / aSrOzIt / aSrozyat // gam? gatO
   iṣugamiyamāṃ chaḥ // VLk_506 = P_7,3.77 //	izu-gami-yamAm CaH // VLk-_506  P_7,3.77 //
   eṣāṃ chaḥ syāt śiti / gacchati / jagāma //	ezAm CaH syAt Siti / gacCati / jagAma //
   gamahanajanakhanaghasāṃ lopaḥ kṅityanaṅi // VLk_507 = P_6,4.98 //	gamahana-jana-Kana-GasAm lopaH kFiti-anaFi // VLk-_507  P_6,4.98 //
   eṣāmupadhāyā lopo 'jādau kṅiti na tvaṅi / jagmatuḥ / jagmuḥ / jagamitha,	ezAm-upaDAyAH lopaH aja-AdO kFiti na tvaFi / jagmatuH / jagmuH / jagamiTa,
   jagantha / jagmathuḥ / jagma / jagāma, jagama / jagmiva / jagmima / gantā	jaganTa / jagmaTuH / jagma / jagAma, jagama / jagmivaH / jagmima / gantA
   gameriṭ parasmaipadeṣu // VLk_508 = P_7,2.58 //	gamerih parasmEpadezu // VLk-_508  P_7,2.58 //
   gameḥ parasya sāderārdhadhātukasyeṭ syāt parasmaipadeṣu / gamiṣyati /	gameH parasya sAdera-arDa-DAtukasyew syAt parasmEpadezu / gamizyati /
   gacchatu / agacchat / gacchet / gamyāt //	gacCatu / agacCat / gacCet / gamyAt //
   puṣādidyutādyḷditaḥ parasmaipadeṣu // VLk_509 = P_3,1.55 //	puzA-Adi-dyuta-Adi-?ditaH parasmEpadezu // VLk-_509  P_3,1.55 //
   śyanvikaraṇapuṣāderdyutāderḷditaśca cleraṅ parasmaipadeṣu / agamat /	Syan-vi-karaNa-puzA-AdeH-dyuta-AdeH-?ditaH-ca cleraF parasmEpadezu / agamat /
   agamiṣyat //	agamizyat //
   iti parasmaipadinaḥ /	iti para-smEpadinaH /
   edha vṛddhau // 1 //	eDa vRdDO // 1 //
   ṭita ātmanapadānāṃ ṭere // VLk_510 = P_3,4.79 //	witaH Atmana-padAnAm were // VLk-_510  P_3,4.79 //
   ṭito lasyātmanepadānāṃ ṭeretvam / edhate //	witaH lasya-AtmanepadAnAm weretvam / eDate //
   āto ṅitaḥ // VLk_511 = P_7,2.81 //	AtaH FitaH // VLk-_511  P_7,2.81 //
   ataḥ parasya ṅitāmākārasya iy syāt / edhete / edhante //	atas parasya FitAm-a-AkArasya iy syAt / eDete / eDante //
   thāsaḥ se // VLk_512 = P_3,4.80 //	TAsaH se // VLk-_512  P_3,4.80 //
   ṭito lasya thāsaḥ se syāt / edhase / edhethe / edhadhve / ato guṇe / edhe	witaH lasya TAsaH se syAt / eDase / eDeTe / eDaDve / atas guNe / eDe
   / edhāvahe / edhāmahe //	/ eDAvahe / eDAmahe //
   ijādeśca gurumato 'nṛcchaḥ // VLk_513 = P_3,1.36 //	ija-AdeH-ca guru-mataH anRcCaH // VLk-_513  P_3,1.36 //
   ijādiryo dhāturgurumānṛcchatyanyastata ām syālliṭi //	ijAdiryaH DAtuH-gurum-AnRcCati-anyaH-tatas Am syAt-liwi //
   āmpratyayavatkṛño 'nuprayogasya // VLk_514 = P_1,3.63 //	Am-pratyaya-vat-kRQaH anuprayogasya // VLk-_514  P_1,3.63 //
   āmpratyayo yasmādityatadguṇasaṃvijñāno bahuvrīhiḥ / āmprakṛtyā	AmpratyayaH yasma-Aditi-atad-guNa-saMvijQAnaH bahuvrIhiH / AmprakRtyA
   tulyamanuprayujyamānāt kṛño 'pyātmanepadam //	tulyam-anuprayujyamAnAt kRQaH api-Atmanepadam //
   liṭastajhayoreśirec // VLk_515 = P_3,4.81 //	liwaH-taJaya-uH-eSiret // VLk-_515  P_3,4.81 //
   liḍādeśayostajhayoreś irejetau staḥ / edhāñcakre / edhāñcakrāte /	lixAdeSayoH-ta-JayoreH irejetO staH / eDAQcakre / eDAQca-krAte /
   edhāñcakrire / edhāñcakṛṣe / edhāñcakrāthe //	eDAQcakrire / eDAQca-kRze / eDAQca-krATe //
   iṇaḥ ṣīdhvaṃluṅliṭāṃ dho 'ṅgāt // VLk_516 = P_8,3.78 //	iNaH zIDvaMluFliwAm Das aFgAt // VLk-_516  P_8,3.78 //
   iṇantādaṅgātpareṣāṃ ṣīdhvaṃluṅliṭāṃ dhasya ḍhaḥ syāt // edhāñcakṛḍhve /	iNantAt-aFgAt-parezAm zIDvaMluFliwAm Dasya Xar syAt // eDAQca-kRXve /
   edhāñcakre / edhāñcakṛvahe / edhāñcakṛmahe / edhāmbabhūva / edhāmāsa /	eDAQcakre / eDAQca-kRvahe / eDAQca-kRmahe / eDA-ambaBUva / eDAmAsa /
   edhitā / edhitārau / edhitāraḥ / edhitāse / edhitāsāthe //	eDitAH / eDitArO / eDitAraH / eDitAse / eDita-AsATe //
   dhi ca // VLk_517 = P_8,2.25 //	Di ca // VLk-_517  P_8,2.25 //
   dhādau pratyaye pare sasya lopaḥ / edhitādhve //	DAdO pratyaye pare sasya lopaH / eDita-aDve //
   ha eti // VLk_518 = P_7,4.25 //	ha eti // VLk-_518  P_7,4.25 //
   tāsastyoḥ sasya haḥ syādeti pare / edhitāhe / edhitāsvahe / edhitāsmahe /	tAsaH-tyoH sasya haH syAt-eti pare / eDitAhe / eDita-Asu-ahe / eDita-asmahe /
   edhiṣyate / edhiṣyete / edhiṣyante / edhiṣyase / edhiṣyethe / edhiṣyadhve	eDizyate / eDizyete / eDizyante / eDizyase / eDizyeTe / eDizyaDve
   / edhiṣye / edhiṣyāvahe / edhiṣyāmahe //	/ eDizye / eDizyAvahe / eDizyAmahe //
   āmetaḥ // VLk_519 = P_3,4.90 //	AmetaH // VLk-_519  P_3,4.90 //
   loṭa ekārasyām syāt / edhatām / edhetām / edhantām //	lowaH ekArasyAm syAt / eDatAm / eDetAm / eDantAm //
   savābhyāṃ vāmau // VLk_520 = P_3,4.91 //	sa-vAByAm vAmO // VLk-_520  P_3,4.91 //
   savābhyām parasya loḍetaḥ kramādvāmau staḥ / edhasva / edhethām /	sa-vAByAm parasya loxetaH kramAt-vAmO staH / eDasva / eDeTAm /
   edhadhvam //	eDaDvam //
   eta ai // VLk_521 = P_3,4.93 //	ete E // VLk-_521  P_3,4.93 //
   loḍuttamasya eta ai syāt / edhai / edhāvahai / edhāmahai // āṭaśca /	loxuttam-asya ete E syAt / eDE / eDAvahE / eDAmahE // AwaH-ca /
   aidhata / aidhetām / aidhanta / aidhathāḥ / aidhethām / aidhadhvam / aidhe	EData / EDetAm / EDanta / EDaTAH / EDeTAm / EDaDvam / EDe
   / aidhāvahi / aidhāmahi //	/ EDAvahi / EDAmahi //
   liḍaḥ sīyuṭ // VLk_522 = P_3,4.102 //	lixaH sIyuh // VLk-_522  P_3,4.102 //
   salopaḥ / edheta / edheyātām //	sa-lopaH / eDeta / eDeyAtAm //
   jhasya ran // VLk_523 = P_3,4.105 //	Jasya ran // VLk-_523  P_3,4.105 //
   liṅo jhasya ran syāt / edheran / edhethāḥ / edheyāthām / edhedhvam //	liFaH Jasya ran syAt / eDeran / eDeTAH / eDeya-aTAm / eDeDvam //
   iṭo 't // VLk_524 = P_3,4.106 //	iwaH at // VLk-_524  P_3,4.106 //
   liṅādeśasya iṭo 'tsyāt / edheya / edhevahi / edhemahi //	liFA-deSasya iwaH atsyAt / eDeyaH / eDevahi / eDemahi //
   suṭ tithoḥ // VLk_525 = P_3,4.107 //	suh tiToH // VLk-_525  P_3,4.107 //
   liṅastathoḥ suṭ / yalopaḥ / ārdhadhātukatvātsalopo na / edhiṣīṣṭa /	liFaH-taToH suh / yalopaH / ArDaDAtuka-tvAt-sa-lopaH na / eDizIzwaH /
   edhiṣīyāstām / edhiṣīran / edhiṣīṣṭhāḥ / edhiṣīyāsthām / edhiṣīdhvam /	eDizIyAH-tAm / eDizIran / eDizIzWAH / eDizIyA-sTAm / eDizIDvam /
   edhiṣīya / edhiṣīvahi / edhiṣīmahi / aidhiṣṭa / aidhiṣātām //	eDizIya / eDizIvahi / eDizImahi / EDizwa / EDizAtAm //
   ātmanepadeṣvanataḥ // VLk_526 = P_7,1.5 //	Atmanepadezu-anataH // VLk-_526  P_7,1.5 //
   anakārātparasyātmanepadeṣu jhasya adityādeśaḥ syāt / aidhiṣata /	anakArAt-parasya-Atmanepadezu Jasya aditi-AdeSaH syAt / EDizata /
   aidhiṣṭhāḥ / aidhiṣāthām / aidhiḍhvam / aidhiṣi / aidhiṣvahi / aidhiṣmahi	EDizWAH / EDiza-aTAm / EDiXvam / EDizi / EDizvahi / EDizmahi
   / aidhiṣyata / aidhiṣyetām / aidhiṣyanta / aidhiṣyathāḥ / aidhiṣyethām /	/ EDizyata / EDizyetAm / EDizyanta / EDizyaTAH / EDizyeTAm /
   aidhiṣyadhvam / aidhiṣye / aidhiṣyāvahi / aidhiṣyāmahi // kamu kāntau // 2	EDizyaDvam / EDizye / EDizya-avahi / EDizyAmahi // kamu kAntO // 2
   kramerṇiṅ // VLk_527 = P_3,1.30 //	krameH-NiF // VLk-_527  P_3,1.30 //
   svārthe / ṅittvāttaṅ / kāmayate //	sva-arTe / Fit-tvAt-taF / kAmayate //
   ayāmantālvāyyetnviṣṇuṣu // VLk_528 = P_6,4.55 //	ayAm-antAlvAyi-etn-vizNuzu // VLk-_528  P_6,4.55 //
   ām anta ālu āyya itnu iṣṇu eṣu ṇerayādeśaḥ syāt / kāmāyāñcakre / āyādaya	Am antaH Alu AyyaH itnu izNu ezu Na-IrayAdeSaH syAt / kAmAya-aQcakre / AyAdaya
   iti ṇiṅ vā / cakame / cakamāte / cakamire / cakamiṣe / cakamāthe /	iti NiF vA / cakame / caka-mAte / cakamire / cakamize / cakamATe /
   cakamidhve / cakame / cakamivahe / cakamimahe / kāmayitā / kāmayitāse /	cakam-iDve / cakame / cakamivahe / cakamimahe / kAmayitA / kAmayitAse /
