   Kṣemendraviracitā	Kzema indra viracitA
   tatpuṇyapraṇidhānena jāto gṝhapateḥ kule /	tad puNya praNiDAnena jAtaH gLhapateH kule /
   sa eva bhikṣusaṃghasya jantukāsnānasatrakṛt // KAvk_10.145 //	saH eva Bikzu saMGasya jantukA snAna satra kRt // Ka avc _10.145 //
   sa puṇyaśīlaḥ pratyekabuddhopasthāyakah purā /	sa puNya SIlaH pratyekabudDa upasTAyakah purA /
   stūpaṃ cakre śobhamānaṃ mālabhivaraṇojjvalam // KAvk_10.146 //	stUpam cakre SoBamAnam mAlaBi varaNa ujjvalam // Ka avc _10.146 //
   tatpuṇyapraṇidhānena kṛkeḥ kāśīpateḥ sutaḥ /	tad puNya praNiDAnena kRkeH kASIpateH sutaH /
   so 'bhvaddyutimān nāma divyalakṣaṇalakṣitaḥ // KAvk_10.147 //	saH aBvat dyutimAn nAma divya lakzaNa lakzitaH // Ka avc _10.147 //
   kāśyapasyārhataḥ samyaksaṃbuddasyāntanirvṛtau /	kASyapasya arhataH samyaksaMbuddasya anta nirvRtO /
   saptaratnamaye stūpe kṛte kāśīmahībhujā // KAvk_10.148 //	sapta ratna maye stUpe kRte kASI mahIBujA // KAvc _10.148 //
   tatsūnurdhyutimān haumacchatramāropya bhāsvaram /	tad sUnuH DyutimAn hOma= Catram Aropya BAsvaram /
   jātastatpraṇidhānena nandaḥ śākyamuke 'dhunā // KAvk_10.149 //	jAtaH tad praNiDAnena nandaH SAkyamuke aDunA // Ka avc _10.149 //
   iti sukṛtasamutthaiḥ pūrvajanvakramāptaiḥ kimapi vipulapuṇyaireva nandaḥ	iti sukRta samutTEH pUrva janvakram AptEH kim api vipula puNyEH eva nandaH
   prapede /	prapede /
   kulamamalamudāraṃ rūmamagryaṃ ca bhogaṃ śamaparicitamante satpadaṃ	kulam amalam udAram rUmam agryam ca Bogam Sama paricitam ante sat padam
   saugataṃ ca // KAvk_10.150 //	sOgatam ca // Ka avc _10.150 //
   kathayotveti bhagavān nandakalyāṇakāraṇam /	kaTaya utvA iti BagavAn nanda kalyANa kAraNam /
   cakāra bhikṣusaṃghasya tāṃ tāṃ sukṛtadeśanām // KAvk_10.151 //	cakAra Bikzu saMGasya tAm tAm sukRta deSanAm // Ka avc _10.151 //
   iti kṣemendraviracitāyām bodhisattvāvadānakalpalatāyāṃ sundarīnandāvadānaṃ	iti kzema indra viracitAyAm boDisattva avadAna kalpa latAyAm sundarI nanda avadAnam
   nāma daśamaḥ pallavaḥ //	nAma daSamaH pallavaH //
   11. virūḍhakāvadānam /	11. virUXaka avadAnam /
   ārohati padamunnatamamalamatirvimalakuśalasopānaiḥ /	Arohati padam unnatam amala matiH vimala kuSala sopAnEH /
   narakakuhareṣu nipatati malinamatirghoratimireṣu // KAvk_11.1 //	naraka kuharezu nipatati malina matiH Gora timirezu // Ka avc _11.1 //
   śākyānāṃ nagare pūrvaṃ sphīte kapilavāstuni /	SAkyAnAm nagare pUrvam sPIte kapila vAstuni /
   mahataḥ śākyamukhyasya sumukhī dāsakanyākā // KAvk_11.2 //	mahataH SAkya muKyasya sumuKI dAsa kanyAkA // Ka avc _11.2 //
   śāstre kṛtaśramā sarvakalākauśalaśālinī /	SAstre kRta SramA sarva kalA kOSala SAlinI /
   mālikā nāma kāmasya mālikeva guṇocitā // KAvk_11.3 //	mAlikA nAma kAmasya mAlikA iva guNa ucitA // Ka avc _11.3 //
   prabhorgirā varodyāne kusumāvacayodyatā /	praBoH girA vara udyAne kusuma avacaya udyatA /
   bhramantaṃ taṃ samāyāntaṃ dadarśa sugataṃ puraḥ // KAvk_11.4 //	Bramantam tam samAyAntam dadarSa sugatam puras // Ka avc _11.4 //
   tasyānte 'syāstamālokya prasannamabhavanmanaḥ /	tasya ante asya astam Alokya prasannam aBavat manaH /
   śaratkāla iva svacchaḥ prasādayati mānasam // KAvk_11.5 //	Sarad kAle iva svacCaH prasAdayati mAnasam // KAvc _11.5 //
   sācintayattadā lokaprītyā dṛḍhīkṛtāspadā /	sA acintayat tadA loka prItyA dRXIkRta AspadA /
   sukṛtaiḥ piṇḍapātaṃ me gṛhṇīyādbhagavānapi // KAvk_11.6 //	sukRtEH piNxa pAtam me gRhNIyAt BagavAn api // Ka avc _11.6 //
   vijñāya tasyāh sarvajñaḥ saṃkalpaṃ karuṇākulaḥ /	vijQAya tasyAh sarvajQaH saMkalpam karuNA AkulaH /
   prasārya pātraṃ bhagavān bhadre dehītyuvāca tām // KAvk_11.7 //	prasArya pAtram BagavAn Badre dehi iti uvAca tAm // KAvc _11.7 //
   datvā praṇamya sā tasmai paripūrṇamanorathā /	datvA praNamya sA tasmE paripUrNa manoraTAH /
   praṇidhānaṃ pravidadhe dāsyaduḥkhanivṛttaye // KAvk_11.8 //	praNiDAnam pravidaDe dAsya duHKa nivRttaye // Ka avc _11.8 //
   tataḥ kadācidāyātaḥ pituastasyāḥ sakhā dvijaḥ /	tatas kadAcid AyAtaH pituaH tasyAH saKA dvijaH /
   naumittikastaṃ pradeśaṃ dṛṣṭvā tām vismito 'va dat // KAvk_11.9 //	nOmittikaH tam pradeSam dRzwvA tAm vismitaH ava dat // Ka avc _11.9 //
   aho gṛhapatestasya putrī tvaṃ śrīmatah sutā /	aho gRhapateH tasya putrI tvam SrImatah sutA /
   bandhuhīnā gatā dāsyaṃ dhanabhogavivarjitā // KAvk_11.10 //	banDu hInA gatA dAsyam Dana Boga vivarjitA // Ka avc _11.10 //
   aho mohaghanārambhakṣaṇoddyotanavidyutaḥ /	aho moha Gana AramBa kzaNa uddyotana vidyutaH /
   saṃsārasarparasanāvilāsacapalāḥ śriyaḥ // KAvk_11.11 //	saMsAra sarpa rasanA vilAsa capalAH SriyaH // Ka avc _11.11 //
   gamyānāṃ mā kṛthāścintāṃ jāne 'haṃ hastalakṣaṇaiḥ /	gamyAnAm mA kRTAH cintAm jAne aham hasta lakzaNEH /
   acireṇaiva bhūbharturvallabhā tvaṃ bhaviṣyasi // KAvk_11.12 //	acireNa eva BU BartuH vallaBA tvam Bavizyasi // Ka avc _11.12 //
   idaṃ paśyāmi te pāṇau lakṣmīkamalakomale /	idam paSyAmi te pANO lakzmI kamala komale /
   mālācakrāṅkuśākāramityuktvā prayayau dvijaḥ // KAvk_11.13 //	mAlA cakra aFkuSa AkAram iti uktvA prayayO dvijaH // Ka avc _11.13 //
   atha manmathasaṃbhogasuhṛnmadhupabāndhavaḥ /	aTa manmaTa saMBoga suhRd maDupa bAnDavaH /
   latāliṅganasaubhāgyabhavyo 'dṛśyata mādhavaḥ // KAvk_11.14 //	latA AliFgana sOBAgya BavyaH adRSyata mADavaH // Ka avc _11.14 //
   madhoḥ kesariṇastasya kāntāmānadvipadviṣaḥ /	maDoH kesariNaH tasya kAntAmAna dvipa dvizaH /
   vibabhau jihmamānasya jihvevāśokamañjarī // KAvk_11.15 //	vibaBO jihmamAnasya jihvA iva aSoka maQjarI // Ka avc _11.15 //
   bālākapolalāvaṇyacauraścampakasaṃcayaḥ /	bAlA kapola lAvaNya cOraH campaka saMcayaH /
   sudṛśāṃ keśapāśeṣu yayau bandhanayogyatām // KAvk_11.16 //	sudRSAm keSa pASezu yayO banDana yogya tAm // Ka avc _11.16 //
   sahakārairvirahiṇīnidhanaṃ vidadhe madhu /	sahakArEH virahiNI niDanam vidaDe maDu /
   nirapekṣāparavadhe vidhurāḥ prabhaviṣṇavaḥ // KAvk_11.17 //	nirapekzA para vaDe viDurAH praBavizNavaH // Ka avc _11.17 //
   yayurmadhulihāṃ cūtalatā nirbharabhogyatām /	yayuH maDu lihAm cUta latA nirBara Bogya tAm /
   sahasauva vidgadhānāmiva mugdhavibhūtayaḥ // KAvk_11.18 //	saha sOva vidgaDAnAm iva mugDa viBUtayaH // Ka avc _11.18 //
   rūtāyudhaścūtalatācāpanyastaśilīmukhaḥ /	rUta AyuDaH cUta latA cApa nyasta SilImuKaH /
   jayatīti jagau bandī kandarpasyeva kokilaḥ // KAvk_11.19 //	jayati iti jagO bandI kandarpasya iva kokilaH // Ka avc _11.19 //
   asminnavasare śrīmān kosalendraḥ prasenajit /	asmin= avasare SrImAn kosala indraH prasenajit /
   mṛgayānirgato 'śvena hṛtastaṃ deśamāyayau // KAvk_11.20 //	mRgayA nirgataH aSvena hRtaH tam deSam AyayO // Ka avc _11.20 //
   dhanvīmanobhavākāraḥ so 'vatīrya turaṃgamāt /	DanvI manoBava AkAraH saH avatIrya turaMgamAt /
   dadarśānanyalāvaṇyām kanyāṃ ratimivāparām // KAvk_11.21 //	dadarSa AnanyalAvaNyAm kanyAm ratim iva aparAm // Ka avc _11.21 //
   tadvilokanavistīrṇaṃ manastasya mahātmanaḥ /	tad vilokana vistIrNam manaH tasya mahAtmanaH /
   vismayāddṛṣṭimārgeṇa praviveśa manobhavaḥ // KAvk_11.22 //	vismayAt dRzwi mArgeNa praviveSa manoBavaH // Ka avc _11.22 //
   tāṃ lajjāvanatāṃ dṛṣṭvā sahasodbhūītasādhvasām /	tAm lajjA avanatAm dRzwvA sahasA udBUIta sADvasAm /
   acintayannarapatiḥ kāntikallilinīhṛtaḥ // KAvk_11.23 //	acintayat narapatiH kAnti kallilinI hRtaH // Ka avc _11.23 //
   keyaṃ navā śaśimukhī śyāmā taralatārakā /	kA iyam navA SaSimuKI SyAmA tarala tArakA /
   yatkāntiraniśaṃ netraśatapatravikāśinī // KAvk_11.24 //	yat kAntiH aniSam netra Satapatra vikASinI // KAvc _11.24 //
   bakulāmodavibhrāntabhramare pāṭalādhare /	bakula Amoda viBrAnta Bramare pAwalA Dare /
   kāntaṃ vasantaṃ paśyāmi mukhe 'syāḥ kumudāyudham // KAvk_11.25 //	kAntam vasantam paSyAmi muKe asyAH kumuda AyuDam // Ka avc _11.25 //
   aho lāvaṇyamamlānaṃ tāruṇyābharaṇaṃ tanoḥ /	aho lAvaNyam amlAnam tAruNya ABaraNam tanoH /
   dhīrasyāpi dhṛtiryena śaṅkhe saṃgaliteva me // KAvk_11.26 //	DIrasya api DRtiH yena SaFKe saMgalitA iva me // Ka avc _11.26 //
   aho nu madhumañjaryāḥ prārambhe 'pyadbhuto guṇaḥ /	aho nu maDumaQjaryAH prAramBe api adButaH guNaH /
   yena gantuṃ na śaknoti ṣaṭpado 'pi padātpadam // KAvk_11.27 //	yena gantum na Saknoti zawpadaH api padAt padam // Ka avc _11.27 //
   iti saṃcintya bhīpālastāṃ matvā vanadevatām /	iti saMcintya BIpAlaH tAm matvA vana devatAm /
   pṛṣṭvā viveda tadvṛttaṃ krameṇa kathitaṃ tayā // KAvk_11.28 //	pRzwvA viveda tad vRttam krameNa kaTitam tayA // Ka avc _11.28 //
   tatastatra kṛtātithyastayā pallavavījanaiḥ /	tatas tatra kRta AtiTyaH tayA pallava vIjanEH /
   śuciśītaiśca salilaiḥ prāptavān nirvṛtiṃ nṛpaḥ // KAvk_11.29 //	Suci SItEH ca salilEH prAptavAn nirvRtim nRpaH // Ka avc _11.29 //
   śrāntaḥ saṃvāhane tasya tayā caraṇapadmayoḥ /	SrAntaH saMvAhane tasya tayA caraNa padmayoH /
   kṛte karāptasaṃsparśe sa nidrām sahasā yayau // KAvk_11.30 //	kRte kara Apta saMsparSe sa nidrAm sahasA yayO // Ka avc _11.30 //
   kṣaṇena pratibyddho 'tha viśrāntamṛgayāśramaḥ /	kzaNena pratibydDaH aTa viSrAnta mRgayA ASramaH /
   divyasparśena tām mene ratiṃ rūpāntarāgatām // KAvk_11.31 //	divya sparSena tAm mene ratim rUpa antara AgatAm // KAvc _11.31 //
   mahānapi tataḥ śākyaḥ saṃprāptaṃ kosaleśvaram /	mahAn api tatas SAkyaH saMprAptam kosaleSvaram /
   śrutvā taṃ deśamabhyetya pūjārhaṃ tamapūjayat // KAvk_11.32 //	SrutvA tam deSam aByetya pUjA arham tam apUjayat // Ka avc _11.32 //
   sādareṇārthitāṃ tena svasutāmiva mālikām /	sa AdareNa arTitAm tena sva sutAm iva mAlikAm /
   ratnārhāya dadau tasmai smaramaṅgalamālikām // KAvk_11.33 //	ratna arhAya dadO tasmE smara maFgala mAlikAm // Ka avc _11.33 //
   tāmādāya manojanmavaijayantīṃ sitasmitām /	tAm AdAya manaH janma vEjayantIm sita smitAm /
   nijaṃ jagāma nagaraṃ gajamāruhya bhūpatiḥ // KAvk_11.34 //	nijam jagAma nagaram gajam Aruhya BUpatiH // Ka avc _11.34 //
   tasminnāganagotsaṅge sā lolālakaṣaṭpadā /	tasmin= Aga naga utsaFge sA lola alaka zawpadA /
   babhau rājavasantena saṃgatā navamālikā // KAvk_11.35 //	baBO rAja vasantena saMgatA navamAlikA // Ka avc _11.35 //
   rājadhānīṃ samāsādya sundaryā sahitastayā /	rAjaDAnIm samAsAdya sundaryA sahitaH tayA /
   ratnaharmyakarodāramandire vijahāra saḥ // KAvk_11.36 //	ratna harmya kara udAra mandire vijahAra saH // Ka avc _11.36 //
   varṣākārābhidhā devī rājñaḥ prathamavallabhā /	varza AkAra aBiDA devI rAjQaH praTama vallaBA /
   abhinnavṛttiṃ tām mene rājalakṣmīmiva kṣitiḥ // KAvk_11.37 //	aBinna vRttim tAm mene rAja lakzmIm iva kzitiH // Ka avc _11.37 //
   divyasparśena sā tasyāḥ sā cāsyā rūpasaṃpadā /	divya sparSena sA tasyAH sA ca asyAH rUpa saMpadA /
   parasparaguṇotkarṣātparaṃ vismayamāpatuḥ // KAvk_11.38 //	paraspara guNa utkarzAt param vismayam ApatuH // Ka avc _11.38 //
   divyarūpavatī jyeṣṭhā divyasparśavatī par ā /	divya rUpavatI jyezWA divya sparSavatI par A /
   iti pravādaḥ sāścaryastayuorlokeṣu paprathe // KAvk_11.39 //	iti pravAdaH sa AScaryaH tayuoH lokezu papraTe // Ka avc _11.39 //
   atrāntare tayordivyarūpasaṃsparśakāraṇam /	atra antare tayoH divya rUpa saMsparSa kAraNam /
   āśrame bhikṣubhiḥ pṛṣṭaḥ provāca bhagavān jinaḥ // KAvk_11.40 //	ASrame BikzuBiH pRzwaH provAca BagavAn jinaH // Ka avc _11.40 //
   purā śrutavarākhyasya dvijasya gṛhamedhinaḥ /	purA Srutavara AKyasya dvijasya gRhameDinaH /
   kāntā śirīṣikā ceti priye bhārye babhūvatuḥ // KAvk_11.41 //	kAntA SirIzikA ca iti priye BArye baBUvatuH // Ka avc _11.41 //
   sa kadācidatho kāntābhrātā pravrajyayā śanaiḥ /	sa kadAcid aTo kAntA BrAtA pravrajyayA SanEs /
   pratyekabuddhatāṃ yātaḥ svasurbhavanamāyayau // KAvk_11.42 //	pratyekabudDa tAm yAtaH svasuH Bavanam AyayO // Ka avc _11.42 //
   traimāsikopacāreṇa sa tayā patyurājñayā /	trEmAsika upacAreNa sa tayA patyuH AjQayA /
   bhaktyā nimantritastasthau tatsaptnyāvapūjitaḥ // KAvk_11.43 //	BaktyA nimantritaH tasTO tad saptnyAvapUjitaH // Ka avc _11.43 //
   te cārumṛdubhirbhogaistamabhyarcyānyajanmani /	te cAru mRduBiH BogEH tam aByarcya ani ajanmani /
   jāte 'dhunā cārurūpadivyasaṃsparśasaṃyute // KAvk_11.44 //	jAte aDunA cAru rUpa divya saMsparSa saMyute // Ka avc _11.44 //
   kṛṣṭeṣu prathamaṃ prayuktavinayāmādāya gosaṃpadaṃ	kRzwezu praTamam prayukta vinayAm AdAya go saMpadam
   satkṣetreṣu tapaḥ pratatptanuṣu prāptiṣvatisvādutām /	sat kzetrezu tapaH pratatptanuzu prAptizu ati svAdu tAm /
   yatkāle śubhabījamuptamucitaṃ satkarmaśakteḥ paraṃ	yad kAle SuBa bIjam uptam ucitam sat karma SakteH param
   bhujyante phalasaṃpadaḥ sumatibhistasyaiva pākojjvalāḥ // KAvk_11.45 //	Bujyante Pala saMpadaH su matiBiH tasya eva pAka ujjvalAH // Ka avc _11.45 //
   iti sarvajñavacanam tathyamākarṇya bhikṣavaḥ /	iti sarvajQa vacanam taTyam AkarNya BikzavaH /
   tattatheti viniścitya babhūvuḥ śāntisaṃśrayāḥ // KAvk_11.46 //	tat taTA iti viniScitya baBUvuH SAnti saMSrayAH // Ka avc _11.46 //
   atha kālena bhūbharturmālikāyāmabhūtsutaḥ /	aTa kAlena BUBartuH mAlikAyAm aBUt sutaH /
   virūḍhaketimukhyākhyo vidyāsu ca kṛtaśramah // KAvk_11.47 //	virUXaka iti muKya AKyaH vidyAsu ca kRta Sramah // Ka avc _11.47 //
   priyastulyavayāstasya purohitasuto 'bhavat /	priyaH tulya vayAH tasya purohita sutaH aBavat /
   māturduḥkhena jātatvādviśruto duḥkhamātṛkaḥ // KAvk_11.48 //	mAtuH duHKena jAta tvAt viSrutaH duHKa mAtRkaH // Ka avc _11.48 //
   kadācit sahitastena hayārūḍho virūḍhakah /	kadAcid sahitaH tena haya ArUXaH virUXakah /
   prāpa śākyavarodyānaṃ mṝgayāyām vinirgataḥ // KAvk_11.49 //	prApa SAkyavara udyAnam mLgayAyAm vinirgataH // KAvc _11.49 //
   nyakkāraṃ cakrire tatra śākyāstasyodyatāyudhāḥ /	nyakkAram cakrire tatra SAkyAH tasya udyata AyuDAH /
   ayaṃ dāsīsuto 'smākamiti darpapravādinah // KAvk_11.50 //	ayam dAsI sutaH asmAkam iti darpa pravAdinah // Ka avc _11.50 //
   gatvāsau svapuraṃ teṣāṃ vairaṃ darpyamacintayat /	gatvA asO sva puram tezAm vEram darpyam acintayat /
   kuladarpāpavādo hi śalyatodaḥ śarīriṇām // KAvk_11.51 //	kula darpa apavAdaH hi Salya todaH SarIriNAm // Ka avc _11.51 //
   tasya nirdahyamānasya tatpratīkāracintayā /	tasya nirdahyamAnasya tad pratIkAra cintayA /
   rājyāya jātā janake jīvatyapi parā spṛhā // KAvk_11.52 //	rAjyAya jAtA janake jIvati api parA spRhA // Ka avc _11.52 //
   sa cārāyaṇamukhyānāṃ mantriṇāṃ śatapañcakam /	sa cArAyaNa muKyAnAm mantriNAm Sata paQcakam /
   svavaśaṃ piturākṛṣya vidadhe bhedayuktibhiḥ // KAvk_11.53 //	sva vaSam pituH AkRzya vidaDe Beda yuktiBiH // Ka avc _11.53 //
   tataḥ kadācitsaṃjātavivekaḥ pṛthivīpatiḥ /	tatas kadAcid saMjAta vivekaH pRTivIpatiH /
   dharmopadeśaśravaṇe vardhamānādaraḥ param // KAvk_11.54 //	Darma upadeSa SravaNe varDamAna AdaraH param // Ka avc _11.54 //
   cārātyaṇagṛhītāśvaṃ rathamāruhya saṃyataḥ /	ca arAtyaNa gRhIta aSvam raTam Aruhya saMyataH /
   draṣṭuṃ jagāma sarvajñaṃ bhagavantam prasenajit // KAvk_11.55 //	drazwum jagAma sarvajQam Bagavantam prasenajit // Ka avc _11.55 //
   prāyāśramaṃ bhagavataḥ kṛtvā pādābhivandanam /	prAya ASramam BagavataH kRtvA pAda aBivandanam /
   dharmānvayam sa śuśrāva tatprasādaprasannadhīḥ // KAvk_11.56 //	Darma an vayam sa SuSrAva tad prasAda prasanna DIH // Ka avc _11.56 //
   cārāyaṇo 'pyāśu gatvā rathena nagaraṃ javāt /	cArAyaNaH api ASu gatvA raTena nagaram javAt /
   akarodantare tasmin rājaputrābhiṣecanam // KAvk_11.57 //	akarot antare tasmin rAja putra aBizecanam // Ka avc _11.57 //
   bhagavantamathāmantrya nṛpatirgantumudyataḥ /	Bagavantam aTa Amantrya nRpatiH gantum udyataH /
   dadarśa nānugānagre na rathaṃ na ca mantriṇam // KAvk_11.58 //	dadarSa na anugAn agre na raTam na ca mantriNam // Ka avc _11.58 //
   sa padbhyāmeva śanakaiḥ prasthitām pṛthivīpatiḥ /	sa padByAm eva SanakEs prasTitAm pRTivIpatiH /
   dūrādapaśyadāyāntīṃ varṣākārāṃ samālikām // KAvk_11.59 //	dUrAt apaSyat AyAntIm varza AkArAm sa mAlikAm // Ka avc _11.59 //
   te pṛṣṭvā tadgirā jñātvā so 'bhiṣiktaṃ virūḍhakam /	te pRzwvA tad girA jQAtvA saH aBiziktam virUXakam /
   visasarja sutaiśvaryaparibhogāya mālokām // KAvk_11.60 //	visasarja suta ESvarya pariBogAya mA AlokAm // Ka avc _11.60 //
   varṣākārāṃ samādāya sa mitrasya mahīpateḥ /	varza AkArAm samAdAya sa mitrasya mahIpateH /
   ajātaśatrornagaraṃ prāta rājagṛhābhidham // KAvk_11.61 //	ajAta SatroH nagaram prAta rAjagRha aBiDam // Ka avc _11.61 //
   sa tatptaśchatravirahāt kṣuptipāsāśramānvitaḥ /	sa tad ptaH Catra virahAt kzupti pAsa ASrama anvitaH /
   yayau vamanniva śvāsaṃ dīrgheśvāramamārutaiḥ // KAvk_11.62 //	yayO vaman= iva SvAsam dIrGeSvA ram amArutEH // KAvc _11.62 //
   sukhamaskhalitaṃ kena prāptaṃ kasyāyurāyatam /	suKam asKalitam kena prAptam kasya AyuH Ayatam /
   na kasyānupadaṃ dṛṣṭaḥ kṣayaḥ sapadi saṃpadaḥ // KAvk_11.63 //	na kasya anupadam dRzwaH kzayaH sapadi saMpadaH // Ka avc _11.63 //
   sa jīrṇamūlakaṃ bhuktvā karmamūlamivāyatam /	sa jIrNa mUlakam BuktvA karma mUlam iva Ayatam /
   kṣaṇaṃ pītvā ca pānīyaṃ papātāptaviṣūcikaḥ // KAvk_11.64 //	kzaNam pItvA ca pAnIyam papAta Apta vizUcikaH // Ka avc _11.64 //
   anityatāmavijñāya mohāya patate janah /	anitya tAm avijQAya mohAya patate janah /
   sa cāpāyanikāyasya kāyasyopāyatṛṣṇayā // KAvk_11.65 //	sa ca apAya nikAyasya kAyasya upAya tRzNayA // Ka avc _11.65 //
   ajātaśatruḥ śrutvaiva kosaleśvaramāgatam /	ajAtaSatruH SrutvA eva kosaleSvaram Agatam /
   abhyetya pāṃśupūrṇāsyaṃ vigatāsuṃ dadarśa tam // KAvk_11.66 //	aByetya pAMSu pUrNa Asyam vigata asum dadarSa tam // Ka avc _11.66 //
   tasya jāyānuyātasya sa kṛtvā dehasatkriyām /	tasya jAyA anuyAtasya sa kRtvA deha satkriyAm /
   bhagavantaṃ yayau druṣṭuṃ sugataṃ duḥkhaśāntaye // KAvk_11.67 //	Bagavantam yayO druzwum sugatam duHKa SAntaye // Ka avc _11.67 //
   sa taṃ praṇamya provāca bhagavan kosaleśvaraḥ /	sa tam praNamya provAca Bagavan kosala ISvaraH /
   puraṃ me suhṝdaḥ prāya nirdhano nidhanaṃ gataḥ // KAvk_11.68 //	puram me suhLdaH prAya nirDanaH niDanam gataH // KAvc _11.68 //
   dhiṅbhāmasaṃpadaṃ pāpaṃ mihādayaśasaḥ padam /	DiFBAma saMpadam pApam mihAt aya SasaH padam /
   vibhavo yena naivāyaṃ mitropakaraṇīkṛtaḥ // KAvk_11.69 //	viBavaH yena na eva ayam mitra upakaraNIkRtaH // Ka avc _11.69 //
   hṛdaye viniveśyāśāṃ prāptaḥ suhṝdamāpadi /	hRdaye viniveSya ASAm prAptaH suhLdam Apadi /
   suhṛnnaiṣphalyamāyāti yasya kiṃ tena jīvatā // KAvk_11.70 //	suhRd nEzPalyam AyAti yasya kim tena jIvatA // Ka avc _11.70 //
   mitropakaraṇaṃ lakṣmīrdīnopakaraṇam dhanam /	mitra upakaraNam lakzmIH dIna upakaraNam Danam /
   bhītopakaraṇaṃ prāṇā yeṣāṃ teṣāṃ sujīvitam // KAvk_11.71 //	BIta upakaraNam prANAH yezAm tezAm su jIvitam // Ka avc _11.71 //
   kukarma kiṃ kṛtaṃ tena bhagavan ūrvajanmani /	kukarma kim kRtam tena Bagavan Urvajanmani /
   yasya pākena paryante prapede so 'tidurdaśām // KAvk_11.72 //	yasya pAkena paryante prapede saH ati durdaSAm // Ka avc _11.72 //
   iti pṛṣṭaḥ kṣitīśena bhagavān sāśrucakṣuṣā /	iti pRzwaH kzitISena BagavAn sa aSru cakzuzA /
   tamūce tāpaśamanīṃ diśan daśanacandrikām // KAvk_11.73 //	tam Uce tApa SamanIm diSan daSana candrikAm // Ka avc _11.73 //
   mā śucaḥ pṛthivīpāla svabhāvo 'yaṃ bhavasthitaḥ /	mA SucaH pRTivIpAla svaBAvaH ayam Bava sTitaH /
   evaṃvidhaiva bhāvānāmasatyānāmanityatā // KAvk_11.74 //	evaMviDA eva BAvAnAm asatyAnAm anitya tA // Ka avc _11.74 //
   visārisaṃsāravanāntare 'smin nisargalolaḥ kila kāmabhṛṅgaḥ /	visAri saMsAra vana antare asmin nisarga lolaH kila kAma BRFgaH /
   svacchandajātajanapuṣkarajīvapuñjakiñjalkapuñjamaniśaṃ kavalīkaroti //	svacCanda jAta jana puzkara jIva puQja kiQjalka puQjam aniSam kavalIkaroti //
   KAvk_11.75 //	KAvc _11.75 //
   taraṅganto bhogāścakitahariṇīlocanacalāḥ kṣaṇe 'lakṣyā	taraFgantaH BogAH cakita hariNI locana calAH kzaNe alakzyA
   lakṣmīrjanajaladavidyotanataḍit /	lakzmIH jana jalada vidyotana taxit /
   śarīrābje bālātapacapalarāgaṃ navavayaḥ kṣayaṃ yāti kṣipraṃ bhavamarūtaṭe	SarIra abje bAla Atapa capala rAgam nava vayaH kzayam yAti kzipram Bava marUtawe
   jīvitakaṇaḥ // KAvk_11.76 //	jIvita kaNaH // Ka avc _11.76 //
