   akalpā pariṣadyatra Ang_2,6.2a	akalpA parizadyatra Ank-_2,6.2a
   tatkāle kṣudbhavedyadi Ang_1.290b	tad-kAle kzuD-Bavet-yadi Ank-_1.290b
   tatkāṣṭhapatrakusuma- Ang_1.549a	tad-kAzWa-patra-kusuma Ank-_1.549a
   tatkāṃkṣitāni vastūni Ang_1.1087c	tad-kAMkzitAni vastUni Ank-_1.1087c
   tatkiṃcidviguṇībhūyāt Ang_1.804a	tat-kiMcid-viguNIBUyAt Ank-_1.804a
   tatkulaṃ tadanantaram Ang_1.339b	tad-kulam tad-anantaram Ank-_1.339b
   tatkulaṃ svakulaṃ ca te Ang_1.70d	tat-kulam sva-kulam ca te Ank-_1.70d
   tatkrameṇaiva kartavyaṃ Ang_1.272c	tad-krameNa-eva kartavyam Ank-_1.272c
   tatkrāntiyugmaśrāddhādi- Ang_1.655a	tad-krAnti-yugma-SrAdDa-Adi Ank-_1.655a
   tatkriyākaraṇe tattu Ang_1.23a	tad-kriyA-karaNe tat-tu Ank-_1.23a
   tatkriyāmatha kurvīta Ang_1.24a	tad-kriyAm-aTa kurvIta Ang_1.24a
   tatkriyā mantrapūrvaivaṃ Ang_1.480a	tad-kriyA mantra-pUrvA-evam Ank-_1.480a
   tatkriyārthaṃ prathamataḥ Ang_1.23c	tad-kriyA-arTam praTamatas Ank-_1.23c
   tatkṣaṇātprāpitaṃ bhavet Ang_1.913b	tad-kzaNAt-prApitam Bavet Ank-_1.913b
   tatkṣaṇāllabhate 'khilam Ang_1.142d	tad-kzaNAt-laBate aKilam Ang_1.142d
   tatkṣetrasya pitustu vā Ang_1.441b	tad-kzetrasya pituH-tu vA Ank-_1.441b
   tattatkarma samācaret Ang_1.132d	tat-tat-karma samAcaret Ang_1.132d
   tattatkarma samārabhet Ang_1.21b	tat-tat-karma samAraBet Ank-_1.21b
   tattatkarmasu kartāro Ang_1.468c	tat-tad-karmasu kartAraH Ank-_1.468c
   tattatkarmaikapūrtaye Ang_1.332d	tad-tad-karma-eka-pUrtaye Ank-_1.332d
   tattatkāleṣu vidhivac Ang_1.109a	tad-tad-kAlezu viDivat Ank-_1.109a
   tattatkriyāviśeṣeṣu Ang_1.843c	tad-tad-kriyA-viSezezu Ank-_1.843c
   tattatsarvaṃ prayatnataḥ Ang_1.1095d	tat-tat-sarvam prayatnataH Ank-_1.1095d
   tattatsaṃkalpakarmasu Ang_1.805b	tad-tad-saMkalpa-karmasu Ank-_1.805b
   tattaduccāraṇaṃ kṛtvā Ang_1.132c	tad-tad-uccAraNam kRtvA Ank-_1.132c
   tattadgrāmasthitairapi Ang_1.1048b	tad-tad-grAma-sTitEH-api Ank-_1.1048b
   tattadyatnena kartavyam Ang_2,3.10c	tad-tat-yatnena kartavyam Ank-_2,3.10c
   tattadvāṅmūlamapyalam Ang_1.215d	tad-tad-vAc-mUlam-api-alam Ank-_1.215d
   tattannāmāṅkitāḥ smṛtāḥ Ang_1.1055d	tad-tad-nAma-aFkitAH smRtAH Ank-_1.1055d
   tattanmantrā saṃbhavanti Ang_1.8c	tad-tad-mantrAH saMBavanti Ank-_1.8c
   tattanmātustattanayā Ang_1.467c	tat-tad-mAtuH-tad-tanayA Ank-_1.467c
   tattaiva vihito 'yaṃ hi Ang_1.628a	tat-ta-eva vihitaH ayam hi Ank-_1.628a
   tattyāgī cetpatatyadhaḥ Ang_1.629b	tad-tyAgI ced-patati-aDas Ank-_1.629b
   tattyāgī brahmaghātakaḥ Ang_1.625d	tad-tyAgI brahma-GAtakaH Ank-_1.625d
   tattyāge buddhipūrvake Ang_1.14b	tad-tyAge budDi-pUrvake Ank-_1.14b
   tattvaṃ tasyāstu vijñāya Ang_1.214a	tattvam tasyAH-tu vijQAya Ank-_1.214a
   tatpañcame 'tha divase Ang_1.91a	tad-paQcame aTa divase Ank-_1.91a
   tatpatiḥ pitṛbhiḥ sārdhaṃ Ang_1.194c	tad-patiH pitRBiH sArDam Ank-_1.194c
   tatpatnīkarmakartā ced Ang_1.433c	tad-patnI-karma-kartA ced Ank-_1.433c
   tatpatnīnāṃ ca sarvāsāṃ Ang_1.725c	tad-patnInAm ca sarvAsAm Ank-_1.725c
   tatpatnī vāpi patnyapi Ang_1.1039d	tad-patnI vA-api patnI-api Ank-_1.1039d
   tatpatnyāśca tataḥ param Ang_1.1034b	tad-patnyAH-ca tatas param Ank-_1.1034b
   tatpatnyāśca samāgamam Ang_1.1037b	tad-patnyAH-ca samAgamam Ank-_1.1037b
   tatpatnyāstasya ca śrāddha- Ang_1.136c	tad-patnyAH-tasya ca SrAdDa Ank-_1.136c
   tatpatrāṇi pavitrāṇi Ang_1.560a	tad-patrANi pavitrANi Ank-_1.560a
   tatpadaṃ cakrapāṇinaḥ Ang_1.566d	tat-padam cakrapANinaH Ank-_1.566d
   tatparaṃ tvaurasasya vai Ang_1.478d	tat-param tu-Orasasya vE Ang_1.478d
   tatparaṃ prātareva syād Ang_1.178a	tat-param prAtar-eva syAt Ank-_1.178a
   tatpare 'hani tān yajet Ang_1.718d	tad-pare ahani tAn yajet Ang_1.718d
   tatpaścāttu trirātrakam Ang_1.870d	tad-paScAt-tu tri-rAtrakam Ank-_1.870d
   tatpaścādyā kulīnā vā Ang_1.448a	tad-paSca-At-yA kulInAH vE Ank-_1.448a
   tatpātraṃ ca vihāya ca Ang_1.958b	tat-pAtram ca vihAya ca Ank-_1.958b
   tatpātraṃ parihatyātha Ang_1.958c	tat-pAtram parihatya-aTa Ank-_1.958c
   tatpāpaṃ kva nu tiṣṭhati Ang_2,6.9d	tad-pApam kva nu tizWati Ank-_2,6.9d
   tatpāpaṃ śatadhā bhūtvā Ang_2,6.15c	tat-pApam SataDA BUtvA Ank-_2,6.15c
   tatpitāmahamadhyakam Ang_1.670b	tad-pitAmaha-maDyakam Ank-_1.670b
   tatpitrādisapiṇḍanam Ang_1.999d	tad-pitR-Adi-sapiNxanam Ank-_1.999d
   tatpitrorgrāhakeṇa yā Ang_1.368b	tad-pitroH-grAhakeNa yA Ank-_1.368b
   tatpitrormānasaṃ tadā Ang_1.361b	tat-pitroH-mAnasam tadA Ank-_1.361b
   tatputraścettato vṛddha- Ang_1.1005c	tad-putraH-ced-tatas vRdDa Ank-_1.1005c
   tatputrasya ca maryādā Ang_1.362c	tad-putrasya ca maryAdA Ang_1.362c
   tatputraḥ prapitāmaham Ang_1.1005b	tad-putraH prapitAmaham Ank-_1.1005b
   tatputrāstatsamā hi yat Ang_1.412b	tad-putrAH-tad-samA hi yat Ank-_1.412b
   tatpuraskṛtya cetkarma Ang_1.124c	tat-puraskRtya ced-karma Ank-_1.124c
   tatpuro jyāyaso 'sya cet Ang_1.442b	tad-puras jyAyasaH asya ced Ank-_1.442b
   tatpurohita eva ca Ang_1.768d	tad-purohitaH eva ca Ank-_1.768d
   tatpūjā vihitā parā Ang_1.788d	tad-pUjA vihitA parAH Ank-_1.788d
   tatpūjāṃ vidhinā kuryāt Ang_1.868c	tad-pUjAm viDinA kuryAt Ang_1.868c
   tatpūrvakakriyāṃ caret Ang_1.804d	tad-pUrvaka-kriyAm caret Ang_1.804d
   tatpūrvakṛtasaṃkalpa- Ang_1.803c	tad-pUrva-kRta-saMkalpa Ank-_1.803c
   tatpūrvaṃ cettu daivake Ang_1.965b	tat-pUrvam ced-tu dEvake Ank-_1.965b
   tatpūrvaṃ tatsamācaret Ang_1.302b	tat-pUrvam tat-samAcaret Ank-_1.302b
   tatpūrvaṃ lavamātraṃ vā Ang_1.1096c	tat-pUrvam lava-mAtram vA Ank-_1.1096c
   tatpūrvaṃ sā na sidhyati Ang_1.309b	tat-pUrvam sA na siDyati Ank-_1.309b
   tatpaitṛkamahāsaṅga- Ang_1.664a	tad-pEtRka-mahA-saFga Ank-_1.664a
   tatpramāṇaṃ tu sarveṣāṃ Ang_2,1.8c	tad-pramANam tu sarvezAm Ank-_2,1.8c
   tatpraviśyaiva putrāṇāṃ Ang_1.867c	tat-praviSya-eva putrANAm Ank-_1.867c
   tatpretakṛtapāpaughaṃ Ang_1.142c	tad-preta-kRta-pApa-oGam Ank-_1.142c
   tatpretaparpaṭaṃ sākṣāt Ang_1.943c	tad-preta-parpawam sAkzAt Ank-_1.943c
   tatpreṣyatvena kurvīta Ang_1.134a	tad-prezya-tvena kurvIta Ang_1.134a
   tatra caitāsu yāḥ krūrāḥ Ang_1.585a	tatra ca-etAsu yAH krUrAH Ank-_1.585a
   tatra jātāstu cettataḥ Ang_1.356d	tatra jAtAH-tu ced-tatas Ank-_1.356d
   tatra tatra pracoditāḥ Ang_1.297d	tatra tatra pracoditAH Ank-_1.297d
   tatra tatrā 'pradakṣiṇam Ang_1.666d	tatra tatrA apradakziNam Ank-_1.666d
   tatra tatrāsya vai śiśoḥ Ang_1.471d	tatra tatra-asya vE SiSoH Ank-_1.471d
   tatra dharmā yathoktitaḥ Ang_1.1082b	tatra DarmAH yaTA-uktitaH Ank-_1.1082b
   tatra nikṣipya taccāmbhas Ang_1.795a	tatra nikzipya tat-ca-amBaH Ank-_1.795a
   tatra pakṣe yatīnāṃ tu Ang_1.709a	tatra pakze yatInAm tu Ank-_1.709a
   tatra pātramadhobilam Ang_1.793b	tatra pAtram-aDas-bilam Ank-_1.793b
   tatra pūjā prakartavyā Ang_1.686a	tatra pUjA prakartavyAH Ank-_1.686a
   tatra sākṣātkaniṣṭhasya Ang_1.403c	tatra sAkzAt-kanizWasya Ank-_1.403c
   tatra snānaśataṃ caret Ang_1.189b	tatra snAna-Satam caret Ank-_1.189b
   tatra syāttu pradakṣiṇam Ang_1.668b	tatra syAt-tu pradakziNam Ank-_1.668b
   tatra syādapradakṣiṇam Ang_1.665d	tatra syAt-apradakziNam Ank-_1.665d
   tatrādau tu tridaivatyaṃ Ang_1.661c	tatra-AdO tu tri-dEvatyam Ank-_1.661c
   tatrādau yāḥ saridvarāḥ Ang_1.917d	tatra-AdO yAH sarit-varAH Ank-_1.917d
   tatrāpi pariśuddhasya Ang_1.161c	tatra-api pariSudDasya Ank-_1.161c
   tatrāpi pariśuddhasya Ang_1.162a	tatra-api pariSudDasya Ank-_1.162a
   tatraiva vikiretpātra- Ang_1.841a	tatra-eva vikiret-pAtra Ank-_1.841a
   tatraiva visṛjetpādyaṃ Ang_1.779c	tatra-eva visRjet-pAdyam Ank-_1.779c
   tatraiva sakalā dharmā Ang_1.1113a	tatra-eva sakalAH DarmAH Ank-_1.1113a
   tatsamāpanaparyantaṃ Ang_1.93c	tad-samApana-paryantam Ank-_1.93c
   tatsamāpanaparyantaṃ Ang_1.94a	tad-samApana-paryantam Ank-_1.94a
   tatsamā sā prakīrtitā Ang_1.398d	tad-samA sA prakIrtitAH Ank-_1.398d
   tatsamenā 'thavā bhrātrā Ang_1.470c	tad-samenAH aTavA BrAtrA Ank-_1.470c
   tatsarvaṃ prītaye teṣāṃ Ang_1.1095a	tat-sarvam prItaye tezAm Ank-_1.1095a
   tatsarvaṃ syānnirarthakam Ang_2,1.10d	tat-sarvam syAt-nirarTakam Ank-_2,1.10d
   tatsallāpādi varjayet Ang_1.1026d	tad-sallApa-Adi varjayet Ank-_1.1026d
   tatsahāyaśca sarve te Ang_1.100a	tad-sahAyaH-ca sarve te Ank-_1.100a
   tatsaṃbhūtamahādoṣa- Ang_1.1070a	tad-saMBUta-mahA-doza Ank-_1.1070a
   tatsānnidhyasparśamātrāt Ang_1.473a	tat-sAnniDya-sparSa-mAtrAt Ank-_1.473a
   tatsānnidhyaṃ ca kevalam Ang_1.472b	tat-sAnniDyam ca kevalam Ank-_1.472b
   tatsāmyacetaso yasmād Ang_1.578a	tad-sAmya-cetasaH yasmAt Ank-_1.578a
   tatsāmyamicchurārānme Ang_1.573c	tat-sAmyam-icCurArAt-me Ank-_1.573c
   tatsāmyaṃ tattrayasyaiva Ang_1.579a	tad-sAmyam tat-trayasya-eva Ank-_1.579a
   tatsāyujyamavāpnuyāt Ang_1.548b	tat-sAyujyam-avApnuyAt Ank-_1.548b
   tatsutāpatiriṣyate Ang_1.435b	tad-sutA-apatiH-izyate Ank-_1.435b
   tatsūktajapahomābhyāṃ Ang_1.966c	tad-sUkta-japa-homAByAm Ank-_1.966c
   tatsthānanāmagotreṇa Ang_1.955a	tad-sTAna-nAma-gotreNa Ank-_1.955a
   tatsthānanāmagotreṇa Ang_1.970c	tad-sTAna-nAma-gotreNa Ank-_1.970c
   tatsthāne varaṇaṃ kṛtvā Ang_1.786c	tad-sTAne varaNam kRtvA Ank-_1.786c
   tatsthāne sarvaśūnye tu Ang_1.62c	tad-sTAne sarva-SUnye tu Ank-_1.62c
   tatsnānaṃ kathitaṃ sadbhir Ang_1.251c	tat-snAnam kaTitam sadBiH Ank-_1.251c
   tathā kālaṃ samādiśet Ang_2,12.9b	taTA kAlam samAdiSet Ank-_2,12.9b
   tathā ghoṣaḥ prakartavyaḥ Ang_1.834a	taTA GozaH prakartavyaH Ank-_1.834a
   tathā ca prakṛte tataḥ Ang_1.774b	taTA ca prakRte tatas Ank-_1.774b
   tathā cānyeṣvabhojyeṣu Ang_2,9.6a	taTA ca-anyezu-aBojyezu Ank-_2,9.6a
   tathā cetkarma tatparam Ang_1.431b	taTA ced-karma tad-param Ank-_1.431b
   tathā tasmāttu taccaret Ang_1.473d	taTA tasmAt-tu tat-caret Ank-_1.473d
   tathā tasmātsamācaret Ang_1.63d	taTA tasmAt-samAcaret Ank-_1.63d
   tathā tasmānna cācaret Ang_1.815b	taTA tasmAt-na ca-Acaret Ank-_1.815b
   tathāto nācaredbudhaḥ Ang_1.257b	taTA-atas na-Acaret-buDaH Ank-_1.257b
   tathā dharmapathe sthitaḥ Ang_2,5.13b	taTA Darma-paTe sTitaH Ank-_2,5.13b
   tathā nāmākhyakarmaṇaḥ Ang_1.16b	taTA nAma-AKya-karmaNaH Ank-_1.16b
   tathā niveditaṃ bhūyo Ang_1.234a	taTA niveditam BUyas Ank-_1.234a
   tathānnaprāśanasyāpi Ang_1.16c	taTA-annaprASanasya-api Ank-_1.16c
   tathā pallavikaṃ krūram Ang_1.746a	taTA pallavikam krUram Ank-_1.746a
   tathā piṇḍapradānasya Ang_1.827a	taTA piNxa-pradAnasya Ank-_1.827a
   tathā pitrādikān sarvān Ang_1.1053c	taTA pitR-AdikAn sarvAn Ank-_1.1053c
   tathāpi punarekakam Ang_1.417b	taTA-api punar-ekakam Ank-_1.417b
   tathā prāha śrutiḥ śivā Ang_1.270b	taTA prAha SrutiH SivA Ank-_1.270b
   tathā mahālayaśrāddhe Ang_1.953a	taTA mahAlaya-SrAdDe Ank-_1.953a
   tathā mātari tatparam Ang_1.1047d	taTA mAtari tad-param Ank-_1.1047d
   tathāvasthāprabhedataḥ Ang_1.1051b	taTA-avasTA-praBedataH Ank-_1.1051b
   tathā śūnyatithau yatnāt Ang_1.273c	taTA SUnya-tiTO yatnAt Ank-_1.273c
   tathā śūnyalalāṭaṃ ca Ang_1.667a	taTA SUnya-lalAwam ca Ank-_1.667a
   tathā syātpripitāmahe Ang_1.107d	taTA syAt-pripitAmahe Ank-_1.107d
   tathaiva garbhiṇīnātham Ang_1.756c	taTA-eva garBiNI-nATam Ang_1.756c
   tathaiva paścātkurvīta Ang_1.396a	taTA-eva paScAt-kurvIta Ank-_1.396a
   tathaiva mātṛvarge 'pi Ang_1.672a	taTA-eva mAtR-varge api Ank-_1.672a
   tathaiva varaṇaṃ gauryā Ang_1.476c	taTA-eva varaNam gOryAH Ank-_1.476c
   tathaivāgniṃ samādhāya Ang_1.970a	taTA-eva-agnim samADAya Ank-_1.970a
   tadaṅgatarpaṇaṃ kāryaṃ Ang_1.1106a	tad-aFga-tarpaNam kAryam Ank-_1.1106a
   tadaṅgasnānataḥ sadyaḥ Ang_1.267c	tad-aFga-snAnataH sadyas Ank-_1.267c
   tadanta eva kurvīta Ang_1.39c	tad-antaH eva kurvIta Ang_1.39c
   tadante karaṇaṃ nanu Ang_1.35d	tad-ante karaNam nanu Ank-_1.35d
   tadante cetkṛtākṛtam Ang_1.40d	tad-ante ced-kRta-akRtam Ank-_1.40d
   tadannamapi yatnena Ang_1.244c	tat-annam-api yatnena Ank-_1.244c
   tadannaṃ taddhṛdi sthitam Ang_1.738d	tat-annam tat-hRdi sTitam Ank-_1.738d
   tadannaṃ tasya kukṣisthaṃ Ang_1.737c	tat-annam tasya kukzi-sTam Ang_1.737c
   tadannaṃ śiṣṭamuddhṛtam Ang_1.812b	tat-annam Sizwam-udDRtam Ank-_1.812b
   tadanyathākṛtaṃ taccet Ang_1.133a	tat-anyaTA-akRtam tat-ced Ank-_1.133a
   tadanyathākṛtaṃ taccet Ang_1.275c	tat-anyaTA-akRtam tat-ced Ank-_1.275c
   tadanyastūpacārataḥ Ang_1.3b	tad-anyaH-tu-upacArataH Ank-_1.3b
   tadanyasmin tathāvidhe Ang_1.713b	tad-anyasmin taTAviDe Ank-_1.713b
   tadanyasmin tādṛśe vai Ang_1.713a	tad-anyasmin tAdRSe vE Ank-_1.713a
   tadanyasya punaryadi Ang_1.377b	tad-anyasya punar-yadi Ank-_1.377b
   tadabhyanujñayā tattu Ang_1.146c	tad-aByanujQayA tat-tu Ank-_1.146c
   tadabhyanujñārahitaṃ Ang_1.147c	tad-aByanujQA-rahitam Ank-_1.147c
   tadayogena ca dvidhā Ang_1.528b	tad-ayogena ca dviDA Ank-_1.528b
   tadavaśyakakṛtyeṣu Ang_1.262a	tad-avaSyaka-kRtyezu Ank-_1.262a
   tadā cettanmṛtāhaṃ tu Ang_1.1040c	tadA ced-tat-mRtA-aham tu Ank-_1.1040c
   tadā jātā hi paśyatām Ang_1.532d	tadA jAtAH hi paSyatAm Ank-_1.532d
   tadā tatsnānataḥ param Ang_1.82d	tadA tad-snAnataH param Ank-_1.82d
   tadā tadā tu vihitā Ang_1.652a	tadA tadA tu vihitAH Ank-_1.652a
   tadā tadā pālito yo Ang_1.1048c	tadA tadA pAlitaH yaH Ang_1.1048c
   tadā tasminniyojayet Ang_1.112d	tadA tasminniyojayet Ank-_1.112d
   tadā tu taddhanaṃ sarvaṃ Ang_1.311a	tadA tu tat-Danam sarvam Ank-_1.311a
   tadā tu panasaḥ kiṃcid Ang_1.532a	tadA tu panasaH kiMcid Ank-_1.532a
   tadā darśādikaṃ purā Ang_1.1041d	tadA darSa-Adikam purA Ank-_1.1041d
   tadādāya ghṛtena vā Ang_1.234d	tat-AdAya GRtena vE Ank-_1.234d
   tadānīṃ samupasthite Ang_1.1007d	tadAnIm samupasTite Ang_1.1007d
   tadānīṃ svīkṛtasuto Ang_1.392c	tadAnIm svIkRta-sutaH Ank-_1.392c
   tadānnenaivaṃ yacchrāddhaṃ Ang_1.486c	tadA-annena-evam yat-SrAdDam Ank-_1.486c
   tadā punastatsaṃpādya Ang_1.72a	tadA punar-tad-saMpAdya Ank-_1.72a
   tadā pūrvamudīritam Ang_1.373d	tadA pUrvam-udIritam Ank-_1.373d
   tadā pravrajitaḥ svayam Ang_2,9.13d	tadA pravrajitaH svayam Ank-_2,9.13d
   tadā yadyāhito garbho Ang_1.67c	tadA yadi-AhitaH garBaH Ank-_1.67c
   tadārādeva kevalam Ang_1.391b	tadA-ArAt-eva kevalam Ank-_1.391b
   tadārṣadvayamācaret Ang_1.344d	tad-Arza-dvayam-Acaret Ank-_1.344d
   tadā vyāhṛtibhiścaret Ang_1.796b	tadA vyAhRtiBiH-caret Ank-_1.796b
   tadā śākasahasrakam Ang_1.497d	tadA SAka-sahasrakam Ank-_1.497d
   tadā śuddhiprakāśanam Ang_2,3.11b	tadA SudDi-prakASanam Ank-_2,3.11b
   tadā sakṛtsannipāte Ang_1.68a	tadA sakRt-sannipAte Ank-_1.68a
   tadā saṃvatsaraṃ dṛṣṭvā Ang_1.52a	tadA saMvatsaram dRzwvA Ank-_1.52a
   tadā sūktajapāddhi sā Ang_1.964d	tadA su-ukta-japAt-hi sA Ang_1.964d
   tadā snānaṃ vidhānataḥ Ang_1.176b	tadA snAnam viDAnataH Ank-_1.176b
   tadiṣṭitrayataḥ śuddho Ang_1.601c	tat-izwi-trayataH SudDaH Ank-_1.601c
   tadīyakṛtyasaṃbhāṣā- Ang_1.1020c	tadIya-kRtya-saMBAzA Ank-_1.1020c
   tadīyodakasaṃbandhād Ang_1.910c	tadIya-udaka-saMbanDAt Ank-_1.910c
   taduktitatkathātṛptāḥ Ang_1.1018c	tad-ukti-tad-kaTA-tRptAH Ank-_1.1018c
   taduccāraṇataḥ kṣaṇāt Ang_1.162d	tad-uccAraNataH kzaNAt Ang_1.162d
   taduccāraṇalakṣaṇam Ang_1.670d	tad-uccAraNa-lakzaNam Ank-_1.670d
   taducchiṣṭaṃ na kurvīta Ang_1.235c	tat-ucCizwam na kurvIta Ang_1.235c
   taduttarakṣaṇādgaṅgā Ang_1.916c	tad-uttarakzaNAt-gaFgA Ank-_1.916c
   tadudeti svayaṃ punaḥ Ang_1.25b	tat-udeti svayam punar Ank-_1.25b
   taduddiśyaiva tatkriyā Ang_1.128d	tat-uddiSya-eva tad-kriyA Ank-_1.128d
   tadūrdhvamiti vijñeyaṃ Ang_1.677c	tad-UrDvam-iti vijQeyam Ank-_1.677c
   tadūrdhvaṃ patito bhavet Ang_1.151d	tad-UrDvam patitaH Bavet Ang_1.151d
   tadekamatha tārakam Ang_1.481d	tat-ekam-aTa tArakam Ang_1.481d
   tadetat kathitaṃ param Ang_1.800b	tat-etat kaTitam param Ank-_1.800b
   tadetatkila deveśo Ang_1.487c	tat-etat-kila deveSaH Ank-_1.487c
   tadetatparamaṃ śuddhaṃ Ang_1.237c	tat-etat-paramam SudDam Ang_1.237c
   tadeva tattilaiḥ sadā Ang_1.1102d	tat-eva tad-tilEH sadA Ank-_1.1102d
   tadeva dviguṇaṃ bhavet Ang_2,9.12b	tat-eva dviguNam Bavet Ank-_2,9.12b
   tadeva dviguṇaṃ vaktre Ang_2,9.12c	tat-eva dviguNam vaktre Ank-_2,9.12c
   tadeva paramaṃ sthalam Ang_1.1111d	tat-eva paramam sTalam Ank-_1.1111d
   tadeva parikīrtitam Ang_1.170b	tat-eva parikIrtitam Ank-_1.170b
   tadeva prakṛtiḥ proktā Ang_1.619c	tat-eva prakRtiH proktAH Ank-_1.619c
   tadevaṃ saptapūrṣākhyaṃ Ang_1.676a	tat-evam sapta-pUrza-AKyam Ank-_1.676a
   tadevāhuḥ pradhānakam Ang_1.985b	tat-eva-AhuH praDAnakam Ank-_1.985b
   tadevocuśca nikhilā Ang_1.1107c	tat-eva-UcuH-ca niKilAH Ank-_1.1107c
   tadopadaṃśaṃ svīkuryān Ang_1.238c	tadA-upadaMSam svIkuryAt Ank-_1.238c
   tadaupāsanahomaḥ syāt Ang_1.82a	tad-OpAsana-homaH syAt Ank-_1.82a
   tadgaṅgātyavalepahā Ang_1.907b	tad-gaFgA-atyavalepa-hA Ank-_1.907b
   tadgṛhakṣetramanasāṃ Ang_1.92a	tad-gRha-kzetra-manasAm Ank-_1.92a
   tadgotradvayajāstu te Ang_1.342d	tad-gotra-dvaya-jAH-tu te Ank-_1.342d
   tadgotradvayayuktyartha- Ang_1.344a	tad-gotra-dvaya-yukti-arTa Ank-_1.344a
   tadgotre yojayecca tam Ang_1.1000d	tad-gotre yojayet-ca tam Ank-_1.1000d
   tadgrahaśrāddhamucyate Ang_1.487b	tad-graha-SrAdDam-ucyate Ank-_1.487b
   taddattaṃ kavyamuttamam Ang_1.1101b	tat-dattam kavyam-uttamam Ank-_1.1101b
   taddāne tatpratigrahe Ang_1.304b	tad-dAne tad-pratigrahe Ank-_1.304b
   taddāne tatpratigrahe Ang_1.384d	tad-dAne tad-pratigrahe Ank-_1.384d
   taddine kriyate tu yat Ang_1.1094d	tad-dine kriyate tu yat Ank-_1.1094d
   taddine copavāsaḥ syāt Ang_1.949a	tad-dine ca-upavAsaH syAt Ank-_1.949a
   taddine nāvalokayet Ang_1.764b	tad-dine na-avalokayet Ank-_1.764b
   taddine prātareva ca Ang_1.785b	tad-dine prAtar-eva ca Ank-_1.785b
   taddine vā paredyurvā Ang_1.984a	tad-dine vA paredyus-vA Ank-_1.984a
   taddineṣu viśeṣataḥ Ang_1.1089d	tad-dinezu viSezataH Ank-_1.1089d
   taddine samupasthite Ang_1.1097d	tad-dine samupasTite Ang_1.1097d
   taddinopoṣaṇaṃ bhavet Ang_1.968b	tad-dina-upozaNam Bavet Ank-_1.968b
   taddoṣaparihārāya Ang_1.356c	tad-doza-parihArAya Ank-_1.356c
   taddoṣaparihārāya Ang_1.781c	tad-doza-parihArAya Ank-_1.781c
   taddoṣaśamanāyātha Ang_1.143a	tad-doza-SamanAya-aTa Ank-_1.143a
   taddoṣaśamanāyātha Ang_1.195c	tad-doza-SamanAya-aTa Ank-_1.195c
   taddoṣaśamanāyaiva Ang_1.188c	tad-doza-SamanAya-eva Ank-_1.188c
   taddoṣaśamanāyaiva Ang_1.199a	tad-doza-SamanAya-eva Ank-_1.199a
   taddoṣaśamanāyaiva Ang_1.211c	tad-doza-SamanAya-eva Ank-_1.211c
   taddravyaharaṇecchayā Ang_1.93b	tad-dravya-haraNa-icCayA Ank-_1.93b
   taddravyaṃ karṇasaṃyogād Ang_2,6.5c	tat-dravyam karNa-saMyogAt Ang_2,6.5c
   taddravyairaniśaṃ bhaktyā Ang_1.555c	tad-dravyEH-aniSam BaktyA Ank-_1.555c
   taddhanaṃ tu na cetsadyas Ang_1.312a	tad-Danam tu na ced-sadyas Ank-_1.312a
   taddharmairakhilairvṛtaḥ Ang_1.278d	tad-DarmEH-aKilEH-vRtaH Ank-_1.278d
   taddhaste 'rghyaṃ pradāpayet Ang_1.795b	tat-haste arGyam pradApayet Ank-_1.795b
   taddhaste salilaṃ kṣipet Ang_1.892d	tat-haste salilam kzipet Ang_1.892d
   taddhi snānaṃ prakīrtitam Ang_1.255b	tat-hi snAnam prakIrtitam Ank-_1.255b
   tadbandhubhistena rājñā Ang_1.369a	tad-banDuBiH-tena rAjQA Ank-_1.369a
   tadbhārgatanusaṃbhavā Ang_1.916d	tad-BArga-tanu-saMBavAH Ank-_1.916d
   tadbhāryākarmakartā cet Ang_1.435a	tad-BAryA-karma-kartA ced Ank-_1.435a
   tadbhāryā dvañjaliṃ labhet Ang_1.398b	tad-BAryA dvaQjalim laBet Ank-_1.398b
   tadbhāryābhistattanayair Ang_1.369c	tad-BAryABiH-tad-tanayEH Ank-_1.369c
   tadbhāryāyā (athāpi vā) Ang_1.419b	tad-BAryAyAH (aTa-api vA) Ank-_1.419b
   tadbhinnasnānadānādi- Ang_1.651c	tad-Binna-snAna-dAna-Adi Ank-_1.651c
   tadbhinnasya tu cedayam Ang_1.649d	tad-Binnasya tu ced-ayam Ank-_1.649d
   tadbhinnānāṃ tu sarveṣāṃ Ang_1.724c	tad-BinnAnAm tu sarvezAm Ank-_1.724c
   tadbhinnā sapta yāśca tāḥ Ang_1.909b	tad-BinnA sapta yAH-ca tAH Ank-_1.909b
   tadbhinne 'parapakṣake Ang_1.712d	tad-Binne apara-pakzake Ank-_1.712d
   tadbhinnaikādaśānāṃ ca Ang_1.506c	tad-Binna-ekAdaSAnAm ca Ank-_1.506c
   tadyogaṃ ca praṇaśyati Ang_2,6.4b	tad-yogam ca praNaSyati Ank-_2,6.4b
   tadyogyā bhavataiva vai Ang_1.578d	tad-yogyAH BavatA-eva vE Ang_1.578d
   tadrajodarśanātparam Ang_1.402d	tad-rajaH-darSanAt-param Ank-_1.402d
   tadrākṣasaṃ bhavecchrāddhaṃ Ang_1.815a	tad-rAkzasam Bavet-SrAdDam Ank-_1.815a
   tadrūpāḥ pitaraḥ sarve Ang_1.32c	tad-rUpAH pitaraH sarve Ank-_1.32c
