   Śayanāsanavastu	Śayana-Asana-vastu
   adhivāsayati bhagavān anāthapiṇḍadasya gṛhapates tūṣṇīṃbhāvena;	aDivAsayati BagavAn anATapiNxadasya gRhapateH tUzNIMBAvena;
   anāthapiṇḍado gṛhapatir bhagavatas tūṣṇīṃbhāvenādhivāsanāṃ viditvā	anATapiNxadaH gRhapatiH BagavataH tUzNIMBAvena-aDivAsanAm viditvA
   bhagavataḥ pādau śirasā vanditvā bhagavato 'ntikāt prakrāntaḥ; tato 'sya	BagavataH pAdO SirasA vanditvA BagavataH antikAt prakrAntaH; tatas asya
   yad rājagṛhe kṛtyaṃ vā karaṇīyaṃ vā tat sarvaṃ kṛtvā pariprāpya (MSV III	yat rAja-gRhe kRtyam vA karaNIyam vA tat sarvam kRtvA pariprApya (MSV III
   144) punar yena bhagavāṃs tenopasaṅkrāntaḥ; upasaṅkramya bhagavataḥ pādau	144) punar yena BagavAn tena-upasaFkrAntaH; upasaFkramya BagavataH pAdO
   śirasā vanditvā ekānte niṣaṇṇaḥ; ekāntaninṣaṇṇo 'nāthapiṇḍado gṛhapatir	SirasA vanditvA ekAnte nizaNNaH; ekAnta-ninzaNNaH anATapiNxadaH gRhapatiH-
   bhagavantam idam avocat: anuprayaccha me bhagavan bhikṣuṃ sahāyakan yena	Bagavantam idam avocat: anuprayacCa me Bagavan Bikzum sahAyakan yena
   sahāyakena śrāvastyāṃ bhagavato 'rthāya vihāraṃ kārayāmīti; bhagavān	sahAyakena SrAvastyAm BagavataH arTAya vihAram kArayAmi-iti; BagavAn
   saṃlakṣayati; katarasya bhikṣor anāthapiṇḍado gṛhapatiḥ saparivāro	saMlakzayati; katarasya BikzoH anATapiNxadaH gRhapatiH sa-parivAraH-
   śrāvastīnivāsī ca janakāyo vidheyaḥ? paśyati śāriputrasya bhikṣoḥ; tatra	SrAvastI-nivAsI ca jana-kAyaH viDeyaH? paSyati SAriputrasya BikzoH; tatra
   bhagavān āyuṣmantam śāriputram āmantrayate: samanvāhara śāriputra	BagavAn Ayuzmantam SAriputram Amantrayate: samanvAhara SAriputra
   anāthapiṇḍadaṃ gṛhapatiṃ saparivāraṃ śrāvastīnivāsinaṃ ca janakāyam iti;	anATapiNxadam gRhapatim sa-parivAram SrAvastI-nivAsinam ca jana-kAyam iti;
   adhivāsayaty āyuṣmāṃś chāriputro bhagavatas tūṣṇīṃbhāvena; athāyuṣmāṃś	aDivAsayati AyuzmAn CAriputraH BagavataH tUzNIMBA=-ena; aTa-AyuzmAn=-
   chāriputro bhagavataḥ pādau śirasā vanditvā bhagavato 'ntikāt ptakrāntaḥ	CAriputraH BagavataH pAdO SirasA vanditvA BagavataH antikAt ptakrAntaH
   Śāriputra leaves for Śrāvastī	ŚAriputra leaveH foH ŚrAvastI
        athāyuṣmāṃś chāriputras tasyā eva rātrer atyayāt pūrvāhṇe nivāsya,	aTa-AyuzmAn CAriputraH tasyAH eva rAtreH atyayAt pUrvAhNe nivAsya,
   pātracīvaram ādāya rājagṛhaṃ piṇḍāya prāvikṣat; rājagṛhaṃ piṇḍāya caritvā	pAtra-cIvaram AdAya rAjagRham piNxAya prAvikzat; rAjagRham piNxAya caritvA
   kṛtabhaktakṛtyaḥ paścādbhaktapiṇḍapātapratikrānto yathāparibhuktaṃ	kRta-Bakta-kRtyaH paScAt-Bakta-piNxapAta-pratikrAntaH yaTA-pariBuktam
   śayanāsanaṃ pratiśamayya, samādāya pātracīvaraṃ, yena śrāvastī tena	Sayana-Asanam pratiSamayya, samAdAya pAtra-cIvaran, yena SrAvastI tena
   cārikāṃ prakrāntaḥ; athānāthapiṇḍado gṛhapatiḥ prabhūtaṃ śambalam ādāya	cArikAm prakrAntaH; aTa-anATapiNxadaH gRhapatiH praBUtam Sambalam AdAya
   ekaikarātrinivāsena śrāvastīm anuprāptaḥ; sa praviśann eva śrāvastīm	ekEka-rAtri-nivAsena SrAvastIm anuprAptaH; sa praviSan eva SrAvastIm
   ārāmeṇārāmam udyānenodyānam upavanenopavanaṃ caṅkramam anucaṅkramyamāṇo	ArAmeNa-ArAmam udyAnena-udyAnam upavanena-upavanam caFkramam anucaFkramyamANaH-
   suvicarann evam āha: kataraḥ sa pṛthivīpradeśo bhaviṣyati śrāvastyā	su-vicaran evam Aha: kataraH sa pRTivI-pradeSaH Bavizyati SrAvastyA
   nātidūre (Śay-v 19) nātyāsanne divā alpākīrṇo 'lpavilāpo rātrāv alpaśabdo	na-ati-dUre (Śay-u 19) na-ati-Asanne divA alpa-AkIrNaH alpa-vilApaH rAtrO alpa-SabdaH-
   'lpanirghoṣaḥ alpadaṃśamaśakavātātapasarīsṛpasaṃsparśaḥ, yatrāhaṃ	alpa-nirGozaH alpa-daMSa-maSaka-vAta-Atapa-sarIsRpa-saMsparSaH, yatra-aham
   bhagavato 'rthāya vihāraṃ māpayiṣyāmīti; adrākṣīd anāthapiṇḍado gṛhapatiḥ,	BagavataH arTAya vihAram mApayizyAmi-iti; adrAkzIt anATapiNxadaH gRhapatiH,
   jetasya kumarasyārāmam śrāvastyā nātidūre nātyāsanne divā alpākīṇam	jetasya kumarasya-ArAmam SrAvastyAH na-ati-dUre na-ati-Asanne divA alpa-AkINam
   alpavilāpaṃ rātrāv alpaśabdṃ alpanirghoṣaṃ	alpa-vilApam rAtrO alpa-Sabdm alpa-nirGozam
   alpadaṃśamaśakavātātapasarīsṛpasparśam; dṛṣṭvā ca punar asyaitad abhavat:	alpa-daMSa-maSaka-vAta-Atapa-sarIsRpa-sparSam; dRzwvA ca punar asya-etat aBavat-:
   atrāhaṃ bhagavato 'rthāya vihāraṃ māpayiṣyāmīti; sa praviśann eva svaṃ	atra-aham BagavataH arTAya vihAram mApayizyAmi-iti; sa praviSan eva svam
   niveśanaṃ yena jetaḥ kumāras tenopasaṅkrāntaḥ; upasaṅkramya jetaṃ kumāram	niveSanam yena jetaH kumAraH tena-upasaFkrAntaH; upasaFkramya jetam kumAram
   idam avocat; anuprayaccha me kumāra ārāmam; ahaṃ tatra bhagavato 'rthāya	idam avocat; anuprayacCa me kumAraH ArAmam; aham tatra BagavataH arTAya
   vihāraṃ kārayāmi iti; sa kathayati; na me gṛhapate sa ārāmaḥ; kin tu	vihAram kArayAmi iti; sa kaTayati; na me gRhapate saH ArAmaH; kin tu
   udyānaṃ tan mameti; dvir api trir apy anāthapiṇḍado gṛhapatir jetaṃ	udyAnam tat mama-iti; dvis api tris api anATapiNxadaH gRhapatiH jetam
   kumāram idam avocat: anuprayaccha me kumāra ārāmam; ahaṃ tatra bhagavato	kumAram idam avocat: anuprayacCa me kumAraH ArAmam; aham tatra BagavataH-
   'rthāya vihāraṃ māpayāmīti; aparityakto ḥgṛhapateḥ me ārāmāḥ	arTAya vihAram mApayAmi-iti; aparityaktaH HgRhapateH me ArAmAH
   koṭisaṃstareṇāpi; punar apy anāthapiṇḍado gṛhaptir jetaṃ kumaram idam	kowi-saMstareNa-api; punar api anATapiNxadaH gRhaptiH jetam kumaram idam
   avocat: kṛtārgho 'si kumāra ārāmasya; pratīccha hiraṇyasuvarṇam;	avocat: kRta-arGaH asi kumAraH ArAmasya; pratIcCa hiraNya-suvarNam;
   mamārāmaḥ; kaḥ kṛtārghaḥ? tvaṃ kṛtārghaḥ; tau kṛtārgho na kṛtargha iti	mama-ArAmaH; kaH kRta-arGaH? tvam kRta-arGaH; tO kRtArGaH na kRtarGaH iti
   vivādam āpannau, yena vyāvahārikapuruṣās tena saṃprasthitāḥ; atrāntare	vivAdam ApannO, yena vyAvahArika-puruzAH tena saMprasTitAH; atra-antare
   caturṇāṃ lokapālānām etad abhavat; ayam anāthapiṇḍado gṛhapatir udyukto	caturNAm lokapAlAnAm etat aBavat; ayam anATapiNxadaH gRhapatiH udyuktaH-
   bhagavato 'rthāya vihāraṃ vihāraṃ māpayitum; sāhāyyam asyānuṣṭheyam iti;	BagavataH arTAya vihAram vihAram mApayitum; sAhAyyam asya-anuzWeyam iti;
   tato vyāvahārikapuruṣam ātmānam abhinirmāya arthādhikaraṇe niṣaṇṇāḥ;	tatas vyAvahArika-puruzam AtmAnam aBinirmAya arTa-aDikaraNe nizaNNAH;
   anāthapiṇḍado gṛhapatir jetaś ca kumāro vyāvahārikasakāśam upasaṅkrāntau;	anATapiNxadaH gRhapatiH jetaH ca kumAraH vyAvahArika-sakASam upasaFkrAntO;
   athānāthapiṇḍako gṛhapatir vyāvahārikapuruṣāṇām etam arthaṃ vistareṇa	aTa-anATapiNxakaH gRhapatiH vyAvahArika-puruzANAm etam arTam vistareNa
   nivedayati; te kathayanti; kṛtārgho 'si kumāra ārāmasya; pratīccha	nivedayati; te kaTayanti; kRta-arGaH asi kumAraH ArAmasya; pratIcCa
   suvarṇam: gṛhapatre ārāma iti; sa tūṣṇīm avasthitaḥ; anāthapiṇḍado	suvarNam: gRha-patre ArAmaH iti; sa tUzNIm avasTitaH; anATapiNxadaH-
   gṛhapatiḥ śakaṭair bhāraiḥ mūṭaiḥ piṭakair uṣṭrair gobhir gardabhaiḥ	gRhapatiH SakawEH BArEH mUwEH piwakEH uzwrEH goBiH gardaBEH
   prabhūtaṃ suvarṇam abhinirhṛtya, sarvaṃ jetavanaṃ saṃstartum ārabdhaḥ; na	praBUtam suvarNam aBinirhRtya, sarvam jetavanam saMstartum ArabDaH; na
   parisamāpyate; tiṣṭhate evānāstīrṇaḥ kaścit pṛthivīpradeśaḥ; tataḥ	parisamApyate; tizWate eva-anAstIrNaH kaScid pRTivI-pradeSaH; tatas-
   anāthapiṇḍado gṛhapatir etam arthaṃ cintayan muhūrtaṃ tūṣṇīm asthāt;	anATapiNxadaH gRhapatiH etam arTam cintayan muhUrtam tUzNIm asTAt;
   katarat tan nidhānaṃ bhaviṣyati? nātistokaṃ, nātiprabhūtaṃ yena ayam	katarat tat niDAnam Bavizyati? na-ati-stokaM, na-ati-praBUtam yena ayam
   anāstīrṇaḥ pṛthivīpradeśaḥ āstariṣyati; na ca punar gopayitavyo	anAstIrNaH pRTivI-pradeSaH Astarizyati; na ca punar gopayitavyaH-
   bhaviṣyatīti; jetaḥ kumāraḥ saṃlakṣayati; nūnam anāthapiṇḍadasya gṛhapater	Bavizyati-iti; jetaH kumAraH saMlakzayati; nUnam anATapiNxadasya gRhapateH-
   vipratisāraḥ; kasmād ārāmakāraṇād iyantaṃ mahāntaṃ dhanaskandhaṃ	vipratisAraH; kasmAt ArAma-kAraNAt iyantam mahAntam Dana-skanDam
   parityajāmi; iti viditvā anāthapiṇḍadaṃ gṛhapatim idam (Śay-v 20) avocat;	parityajAmi; iti viditvA anATapiNxadam gRhapatim idam (Śay-u 20) avocat-;
   sacet te ha gṛhapate vipratisāraḥ pratīccha suvarṇam; mamaivārāmaḥ; na me	saced te ha gRhapate vipratisAraH pratIcCa suvarNam; mama-eva-ArAmaH; na me
   kumāra vipratisāraḥ; api tv aham etam evārtham anucintayan muhūrtaṃ tūṣṇīm	kumAra vipratisAraH; api tu aham etam eva-arTam anucintayan muhUrtam tUzNIm
   avasthitaḥ; katarat tan nidhānaṃ bhaviṣyati? nātistokaṃ nātiprabhūtaṃ,	avasTitaH; katarat tat niDAnam Bavizyati? na-ati-stokam na-ati-praBUtaM,
   yenāyam anāstīrṇaḥ pṛthivīpradeśaḥ āstariṣyati; na ca punar gopayitavyo	yena-ayam anAstIrNaH pRTivI-pradeSaH Astarizyati; na ca punar gopayitavyaH-
   bhaviṣyatīti; atha jetasya kumārasya etad abhavat: na batāvaro buddho	Bavizyati-iti; aTa jetasya kumArasya etat aBavat: na bata-avaraH budDaH-
   bhaviṣyati; nāvaraṃ dharmākhyānam; yatredānīm ayaṃ gṛhapatir ārāmakāraṇād	Bavizyati; na-avaram Darma-AKyAnam; yatra-idAnIm ayam gRhapatiH ArAma-kAraNAt-
   iyantaṃ mahāntaṃ dhanaskandhaṃ parityajati; iti viditvā anāthapiṇḍadaṃ	iyantam mahAntam Dana-skanDam parityajati; iti viditvA anATapiNxadam
   gṛhapatim idam avocat: anuprayaccha me gṛhapate anāstīrṇaṃ	gRhapatim idam avocat: anuprayacCa me gRhapate anAstIrNam
   pṛthivīpradeśam; atrāhaṃ bhagavato 'rthāya dvārakoṣṭhakaṃ māpayāmi;	pRTivI-pradeSam; atra-aham BagavataH arTAya dvAra-kozWakam mApayAmi;
   anāthapiṇḍado gṛhapatir jetasya kumārasya anāstīrṇaṃ pṛthivīpradeśam	anATapiNxadaH gRhapatiH jetasya kumArasya anAstIrNam pRTivI-pradeSam
   anuprayacchati; yatra jetaḥ kumāro bhagavato 'rthāya dvārakoṣṭhakaṃ	anuprayacCati; yatra jetaH kumAraH BagavataH arTAya dvAra-kozWakam
   māpayati	mApayati
   Obstruction by Tīrthyas	Obstruction bi TIrTya-s
        athānāthapiṇḍado gṛhapatir bhagavato 'rthāya vihāraṃ māpayitum	aTa-anATapiNxadaH gRhapatiH BagavataH arTAya vihAram mApayitum
   ārabdha iti tīvradveṣaparyākulīkṛtamanasas tīrthyās te saṃbhūya	ArabDaH iti tIvra-dveza-paryAkulIkRta-manasaH tIrTyAH te saMBUya
   yenānāthapiṇḍado gṛhapatis tenopasaṃkrāntāḥ; upasaṃkramya kathayanti: mā	yena-anATapiNxadaH gRhapatiH tena-upasaMkrAntAH; upasaMkramya kaTayanti: mA
   tvaṃ gṛhapate śramaṇasya gautamasya arthāyātra vihāraṃ kāraya; kiṃ	tvam gRhapate SramaNasya gOtamasya arTAya-atra vihAram kAraya; kim
   kāraṇam? asmābhir nagarāṇi bhājitāni; śramaṇasya gautamasya rājagṛham;	kAraNam? asmABiH nagarANi BAjitAni; SramaNasya gOtamasya rAja-gRham;
   asmākaṃ śrāvastī; sa kathayati: bhājitāni yuṣmābhir nagarāṇi, na tu	asmAkam SrAvastI; sa kaTayati: BAjitAni yuzmABiH nagarANi, na tu
   madīyam svāpateyam; yasyābhipretaṃ tasya dharmaskandhaṃ kārayāmīti; te	madIyam svApateyam; yasya-aBipretam tasya Darma-skanDam kArayAmi-iti; te
   rājñaḥ sakāśaṃ gataḥ; tatrāpy anāthapiṇḍadena parājitāḥ; dhvāṅkṣās tīrthyā	rAjQaH sakASam gataH; tatra-api anATapiNxadena parAjitAH; DvAFkzAH tIrTyA
   avikṛtavadanāḥ kathayanti; gṛhapate na te kāmakāram anuprayacchāmaḥ;	avikRta-vadanAH kaTayanti; gRhapate na te kAmakAram anuprayacCAmaH;
   śramaṇasya gautamasyāgraśrāvakaḥ āgataḥ; sa yady asmān vādena parājayate,	SramaNasya gOtamasya-agra-SrAvakaH AgataH; sa yadi asmAn vAdena parAjayate,
   kāraya vihāram iti; sa kathayati: śobhanam; āryaśāriputraṃ tāvad	kAraya vihAram iti; sa kaTayati: SoBanam; Arya-SAriputram tAvat-
   avalokayāmīti; athānāthapiṇḍado gṛhapatir yenāyuṣmān śāriputraḥ	avalokayAmi-iti; aTa-anATapiNxadaH gRhapatiH yena-AyuzmAn SAriputraH
   tenopasaṅkrāntaḥ; upasaṅkramyāyuṣmataḥ śāriputrasya pādau śirasā vanditvā	tena-upasaFkrAntaH; upasaFkramya-AyuzmataH SAriputrasya pAdO SirasA vanditvA
   ekānte niṣaṇṇaḥ; ekantaniṣaṇṇo 'nāthapiṇḍado gṛhapatir āyuṣmantaṃ	ekAnte nizaNNaH; ekanta-nizaNNaH anATapiNxadaH gRhapatiH Ayuzmantam
   śāriputram idam avocat; tīrthyā bhadanta śāriputra evam āhuḥ; gṛhapate na	SAriputram idam avocat; tIrTyAH Badanta SAriputraH evam AhuH; gRhapate na
   te kāmakāram anuprayacchāmaḥ; śramaṇasya gautamasya agraśrāvaka āgataḥ; sa	te kAmakAram anuprayacCAmaH; SramaNasya gOtamasya agraSrAvakaH AgataH; sa
   yady asmān vādena parājayate, kāraya vihāram iti; katham atra	yadi asmAn vAdena parAjayate, kAraya vihAram iti; kaTam atra
   pratipattavyam iti; āyuṣmān śāriputraḥ saṃlakṣayati; kim eṣāṃ santi	pratipattavyam iti; AyuzmAn SAriputraH saMlakzayati; kim ezAm santi
   kānicit kuśalamūlāni uta na santīti; paśyati, santi; kasyāntike	kAnicid kuSala-mUlAni uta na santi-iti; paSyati, santi; kasya-antike
   pratibaddhāni; mamaiva; punaḥ saṃlakṣayati; kim etāvanta eva mama	pratibadDAni; mama-eva; punar saMlakzayati; kim etAvantaH eva mama
   pratibaddhā vineyā āhosvid anye 'pi vādena vineyāḥ santīti; paśyati,	pratibadDAH vineyAH Ahosvit anye api vAdena vineyAH santi-iti; paSyati,
   santi; kiyaccireṇa sannipatiṣyanti; (Śay-v 24) paśyati, saptāhasyātyayād	santi; kiyat-cireNa sannipatizyanti; (Śay-u 24) paSyati, sapta-ahasya-atyayAt-
   iti; samanvāhṛtya kathayati: gṛhapate enaṃ bhavatu; kiṃ tu saptame divase;	iti; samanvAhRtya kaTayati: gRhapate enam Bavatu; kim tu saptame divase;
   tato 'nāthapiṇḍado gṛhapatiḥ prītiprāmodyajāto yena tīrthyās tena	tatas anATapiNxadaH gRhapatiH prIti-prAmodya-jAtaH yena tIrTyAH tena
   upasaṅkrāntaḥ; upasaṅkramya tīrthyān idam avocat; bhadanta āryaśāriputraḥ	upasaFkrAntaH; upasaFkramya tIrTyAn idam avocat; Badanta Arya-SAriputraH
   kathatyati: śobhanam, evaṃ bhavatu; kiṃ tu saptame divase iti; te	kaTati-ati: SoBanam, evam Bavatu; kim tu saptame divase iti; te
   saṃlakṣayanti; dvābhyām atra kāraṇābhyām bhavitavyam; athavāsau	saMlakzayanti; dvAByAm atra kAraNAByAm Bavitavyam; aTavA-asO
   niṣpalāyitukāmaḥ; athavā pakṣaṃ samanveṣṭukāmaḥ; kim atra prāptakālam;	nizpalAyitu-kAmaH; aTavA pakzam samanvezwu-kAmaH; kim atra prApta-kAlam;
   vayam api pakṣaṃ samanveṣāmaha iti; te pakṣaṃ samanveṣṭum ārabdhāḥ; taiḥ	vayam api pakzam samanvezAm-ahe iti; te pakzam samanvezwum ArabDAH; tEH
   pakṣam samanveṣamānai raktākṣo nāma parivrājako dṛṣṭaḥ; sa tair uktaḥ;	pakzam samanvezamAnEH raktAkzaH nAma parivrAjakaH dRzwaH; sa tEH uktaH;
   tvam asmākaṃ sabrahmacāri; śramaṇasya gautamasyāgraśrāvako 'smābhir	tvam asmAkam sa-brahmacAri; SramaNasya gOtamasya-agra-SrAvakaH asmABiH-
   vādenāhūtaḥ; sa pakṣaṃ samanveṣate; tvam asmākaṃ sāhāyyaṃ kalpaya; kiyatā	vAdena-AhUtaH; sa pakzam samanvezate; tvam asmAkam sAhAyyam kalpaya; kiyatA
   kālena? itaḥ saptame divase; śobhanam, evaṃ bhavatu; yadā yuṣmākaṃ	kAlena? itas saptame divase; SoBanam, evam Bavatu; yadA yuzmAkam
   sannipato bhavati tadā mamārocayitavyam; tīrthyāḥ śaṅkitodvignamanaso	sannipataH Bavati tadA mama-Arocayitavyam; tIrTyAH SaFkita-udvigna-manasaH-
   divasānudivasaṃ pakṣaṃ samanveṣayante; divasāṃś ca gaṇayanti	divasAnudivasam pakzam samanvezayante; divasAn ca gaNayanti
   Tīrthyas and Śāriputra contest	TIrTyaH and ŚAriputra ca-unteH-t
        yāvat saptame divase anāthapiṇḍadena gṛhapatinā vistīrṇāvakāśe	yAvat saptame divase anATapiNxadena gRhapatinA vistIrNa-avakASe
   pṛthivīpradeśe āsanaprajñaptiḥ kāritā; āyuṣmataś ca śāriputrasyārthāya	pRTivI-pradeSe Asana-prajQaptiH kAritA; AyuzmataH ca SAriputrasya-arTAya
   siṃhāsanaṃ prajñaptam; nānādeśanvāsinas tīrthyāḥ sannipatitāḥ;	siMhAsanam prajQaptam; nAnA-deSan-vAsinaH tIrTyAH sannipatitAH;
   śrāvastīnivāsī janakāyaḥ anekāni ca tatsāmatanivāsīni prāṇiśatasahasrāṇi,	SrAvastI-nivAsI jana-kAyaH anekAni ca tad-sAmata-nivAsIni prANi-Sata-sahasrANi,
   kānicit kutūhalajātāni, kānicit pūrvakaiḥ kūśalamūlaiḥ saṃcodyamānāni;	kAnicid kutUhala-jAtAni, kAnicid pUrvakEH kUSala-mUlEH saMcodyamAnAni;
   tata āyuṣmān śāriputro 'nāthapiṇḍadena gṛhapatinā saparivāreṇa	tatas AyuzmAn SAriputraH anATapiNxadena gRhapatinA sa-parivAreNa
   saṃpuraskṛto vādimaṇḍalaṃ praviśya vineyajanam abhisaṃīkṣya smitapūrvaṃ	saMpuraskRtaH vAdi-maNxalam praviSya vineya-janam aBisaMIkzya smita-pUrvam
   samaśānteneryāpathena siṃhāsanam abhiruhya niṣaṇṇaḥ; sarvaiva sā parṣad	sama-SAntena-IryApaTena siMhAsanam aBiruhya nizaNNaH; sarvA-eva sA parzad
   avahitacetaskā āyuṣmantam śāriputraṃ abhisamīkṣamāṇā niṣaṇṇnā	avahita-cetaskAH Ayuzmantam SAriputram aBisamIkzamANAH nizaNNnA
   Defeat of the Tīrthyas	Defeat of Te TIrTya-s
        tata āyuṣmān śāriputras tīrthyān āmantrayāmāsa: bhavantaḥ kiṃ tāvat	tatas AyuzmAn SAriputraH tIrTyAn AmantrayAmAsa: BavantaH kim tAvat-
   kariṣyatha? āhosvid vikariṣyatha? te kathayanti: vayaṃ kurmaḥ: tvāṃ	karizyaTa? Ahosvit vikarizyaTa? te kaTayanti: vayam kurmaH: tvAm
   vikuru; āyuṣmān śāriputraḥ saṃlakṣayati: yady ahaṃ kariṣyāmi; sadevako 'pi	vikuru; AyuzmAn SAriputraH saMlakzayati: yadi aham karizyAmi; sa-devakaH api
   loko na śakṣyati vikartum; prāg eva raktākṣaḥ parivrājakaḥ; iti viditvā	lokaH na Sakzyati vikartum; prAk eva rakta-akzaH parivrAjakaH; iti viditvA
   raktākṣaṃ parivrājakam idam avocat: tvaṃ kuru, ahaṃ vikariṣyāmīti; sa	rakta-akzam parivrAjakam idam avocat: tvam kuru, aham vikarizyAmi-iti; sa
   indrajāle kṛtāvī; tena supuṣpitaḥ sahakārapādapo nirmitaḥ; āyuṣmatā	indrajAle kRta-avI; tena su-puzpitaH sahakAra-pAdapaH nirmitaH; AyuzmatA
   śāriputreṇa tumulo vātavarṣa (Śay-v 22) utsṛṣṭaḥ; yenāsau samūla utpāṭya	SAriputreNa tumulaH vAta-varza (Śay-u 22) utsRzwaH; yena-asO sa-mUlaH utpAwya
   itaś cāmutaś ca vikīrṇo yogijanānām apy aviṣayībhūtaḥ; tatad tena padminī	itas ca-amutas ca vikIrNaH yogi-janAnAm api avizayIBUtaH; tatat tena padminI
   nirmitā; āyuṣmatā śāriputreṇa kalabhahastī nirmitaḥ; tena sā samantān	nirmitA; AyuzmatA SAriputreNa kalaBa-hastI nirmitaH; tena sA samantAn
   marditā; tena saptaśīrṣo nāgo nirmitaḥ; āyuṣmatā śāriputreṇa garuḍo	marditA; tena sapta-SIrzaH nAgaH nirmitaH; AyuzmatA SAriputreNa garuxaH-
   nirmitaḥ; yenāsāv apahṛtaḥ; tena vetāḍo nirmitaḥ; āyuṣmatā śāriputreṇa	nirmitaH; yena-asO apahRtaH; tena vetAxaH nirmitaH; AyuzmatA SAriputreNa
   mantraiḥ kīlitaḥ; kuprayukto vetāḍa ātmavadhāya cetayate; sa tasyaivopari	mantrEH kIlitaH; ku-prayuktaH vetAxaH Atma-vaDAya cetayate; sa tasya-eva-upari
   pradhāvitaḥ; tato 'sau bhītas trastaḥ saṃvigna āhṛṣṭaromakūpaḥ āyuṣmataḥ	praDAvitaH; tatas asO BItaH trastaH saMvignaH AhRzwa-romakUpaH AyuzmataH
   śāriputrasya pādayor nipatitaḥ; ārya śāriputra trāyasva śaraṇāgato 'smīti;	SAriputrasya pAdayoH nipatitaH; Arya SAriputra trAyasva SaraNa-AgataH asmi-iti;
   tata āyuṣmatā śāriputreṇa mantrā utkīlitāḥ; sa vetāḍo vyupaśāntaḥ;	tatas AyuzmatA SAriputreNa mantrAH utkIlitAH; sa vetAxaH vyupaSAntaH;
   tasyāyuṣmatā śāriputreṇa dharmo deśitaḥ; sa prasādajātaḥ kathayati:	tasya-Ayuzma-tA SAriputreNa DarmaH deSitaH; sa prasAda-jAtaH kaTayati:
   labheyāham āryaśāriputra svākhyāte dharmavinaye pravrajyām upasaṃpadaṃ	laBeya-aham Arya-SAriputra su-AKyAte Darma-vinaye pravrajyAm upasaMpadam
   bhikṣubhāvam; careyam aham āryaśāriputrasyāntike brahmacaryam iti;	Bikzu-BAvam; careyam aham Arya-SAriputrasya-antike brahmacaryam iti;
   āyuṣmatā śāriputreṇa sa pravrājitaḥ upasaṃpāditaḥ avavādo dattaḥ,	AyuzmatA SAriputreNa sa pravrAjitaH upasaMpAditaH avavAdaH dattaH,
   tenodyacchamānena ghaṭamānena vyāyacchamānena sarvakleśaprahāṇād arhatvaṃ	tena-udyat-CamAnena GawamAnena vyAyacCamAnena sarva-kleSa-prahANAt arhatvam
   sākṣātkṛtam; arhan saṃvṛttaḥ; traidhātukavītarāgaḥ samaloṣṭakāñcana	sAkzAtkRtam; arhan saMvRttaH; trEDAtuka-vIta-rAgaH sama-lozwa-kAQcana
   ākāśapāṇitalasamacitto vāsīcandanakalpo vidyāvidāritāṇḍakośo	AkASa-pANi-tala-sama-cittaH vAsI-candana-kalpaH vidyA-vidArita-aNxakoSaH-
   vidyābhijñapratisaṃvitprāpto bhavalābhalobhaparāṅmukhaḥ; sendropendrāṇāṃ	vidyA-aBijQa-pratisaMvid-prAptaH Bava-lABa-loBa-parAFmuKaH; sa-indra-upendrANAm
   devānāṃ pūjyo mānyo 'bhivādyaś ca saṃvṛttaḥ; tataḥ sā parṣat	devAnAm pUjyaH mAnyaH aBivAdyaH ca saMvRttaH; tatas sA parzad-
