   dvitīyo 'dhyāyaḥ /	dvitIyaH aDyAyaH /
   upapadyate // 24 //	upapadyate // 24 //
   FN: kārakāṇāmupasaṃhāro melanam /	FN: kArakANAm upasaMhAraH melanam /
   tvāryate śaighryaṃ kāryate kṣīraṃ dadhibhāvamauṣṇyādinā /	tvAryate SEGryam kAryate kzIram daDi BAvam OzNya AdinA /
   devādivad api loke | BBs_2,1.25 |	deva Adi vat api loke | BBH _2,1.25 |
   syādetat /	syAt etat /
   upapadyate kṣīrādīnāmacetanānāmanapekṣyāpi bāhyaṃ sādhanaṃ dadhyādibhāvaḥ,	upapadyate kzIra AdInAm acetanAnAm anapekzya api bAhyam sADanam daDi Adi BAvaH,
   dṛṣṭatvāt /	dRzwa tvAt /
   cetanāḥ punaḥ kulālādayaḥ sādhanasāmagrīmapekṣyaiva tasmai kāryāya	cetanAH punar kulAla AdayaH sADana sAmagrIm apekzya eva tasmE kAryAya
   pravartamānā dṛśyante /	pravartamAnAH dRSyante /
   kathaṃ brahma cetanaṃ sadasahāyaṃ pravarteteti /	kaTam brahma cetanam sat asahAyam pravarteta iti /
   devādivaditi brūmaḥ /	deva Adi vat iti brUmaH /
   yathā loke devāḥ pitara ṛṣaya ityevamādayo mahāprabhāvāścetanā api santo	yaTA loke devAH pitaraH RzayaH iti evamAdayaH mahA praBAvAH cetanAH api santaH 
   'napekṣyaiva kiñcidbāhyaṃ sādhanamaiśvaryaviśeṣayogādabhidhyānamātreṇa	anapekzya eva kiQcid bAhyam sADanam ESvarya viSeza yogAt aBiDyAna mAtreNa
   svata eva bahūni nānāsaṃsthāni śarīrīṇi prāsādādīni ca rathādīni ca	svatas eva bahUni nAnA saMsTAni SarIrINi prAsAda AdIni ca raTa AdIni ca
   nirmimāṇā upalabhyante mantrārthavādetihāsapurāṇaprāmāṇyāt /	nirmimANAH upalaByante mantra arTa vAda itihAsa purANa prAmANyAt /
   tantunābhaśca svata eva tantūnsṛjati /	tantunABaH ca svatas eva tantUn sRjati /
   balākā cāntareṇaiva śukraṃ garbhaṃ dhatte /	balAkA ca antareNa eva Sukram garBam Datte /
   padminī cānapekṣya kiñcitprastānasādhanaṃ sarontarātsarontaraṃ pratiṣṭhate	padminI ca anapekzya kiQcid prastAna sADanam sa rontarAt sa rontaram pratizWate
   evaṃ cetanamapi brahmānapekṣya bāhyaṃ sādhanaṃ svata eva jagatsrakṣyati /	evam cetanam api brahmAn apekzya bAhyam sADanam svatas eva jagatsrakzyati /
   sa yadi brūyādya ete devādayo brahmaṇo dṛṣṭāntā upāttāste dārṣṭrāntikena	sa yadi brUyAt yaH ete deva AdayaH brahmaNaH dRzwAntAH upAttAH te dArzwra antikena
   brahmaṇā na samānā bhavanti /	brahmaNA na samAnAH Bavanti /
   śarīrameva hyacetanaṃ devādīnāṃ śarīrāntarādivibhūtyutpādana upādānaṃ natu	SarIram eva hi acetanam deva AdInAm SarIra antara Adi viBUti utpAdane upAdAnam na tu
   cetana ātmā /	cetanaH AtmA /
   tantunābhyā ca kṣudratarajantubhakṣaṇāllālā kaṭhinatāmāpadyamānā	tantunAByA ca kzudratara jantu BakzaNAt lAlA kaWina tAm ApadyamAnA
   tanturbhavati /	tantuH Bavati /
   balākā ca stanayitnuravaśravaṇādgarbhaṃ dhatte /	balAkA ca stanayitnurava SravaNAt garBam Datte /
   padminī ca cetanaprayuktā satyacetanevaiva śarīreṇa sarontaropasarpaṇe	padminI ca cetana prayuktA satya cetanA iva eva SarIreNa sarontara upasarpaNe
   vyāpriyate /	vyApriyate /
   tasmānaite brahmaṇo dṛṣṭāntā iti /	tasmAnEte brahmaNaH dRzwAntAH iti /
   taṃ prati brūyānnāyaṃ doṣaḥ /	tam prati brUyAt na ayam dozaH /
   kulālādidṛṣṭāntavailakṣaṇyamātrasya vivakṣitatvāditi /	kulAla Adi dRzwAnta vElakzaNya mAtrasya vivakzita tvAt iti /
   yathā hi kulālādīnāṃ devādīnāṃ ca samāne cetanatve kulālādayaḥ kāryārambhe	yaTA hi kulAla AdInAm deva AdInAm ca samAne cetana tve kulAla AdayaH kArya AramBe
   bāhyaṃ sādhanamapekṣante na devādayaḥ, tathā brahma cetanamapi na bāhyaṃ	bAhyam sADanam apekzante na deva AdayaH, taTA brahma cetanam api na bAhyam
   sādhanamapekṣiṣyata ityetadvākyaṃ devādyudāharaṇena vivakṣyāmaḥ /	sADanam apekzizyate iti etat vAkyam deva Adi udAharaNena vivakzyAmaH /
   tasmādyathaikasya sāmarthyaṃ dṛṣṭaṃ tathā sarveṣāmeva bhavitumarhatīti	tasmAt yaTA ekasya sAmarTyam dRzwam taTA sarvezAm eva Bavitum arhati iti
   nāstyekānta ityabhiprāyaḥ // 25 //	na asti ekAntaH iti aBiprAyaH // 25 //
   FN: lokyate jñāyater'thoneneti loko mantrārthavādādiśāstraṃ	FN: lokyate jQAyater aTa Unena iti lokaH mantra arTa vAda Adi SAstram
   vṛddhavyavahāraśca /	vRdDa vyavahAraH ca /
   abhidhyānaṃ saṃkalpaḥ /	aBiDyAnam saMkalpaH /
   yathā bhārate śrīkṛṣṇasya saṃkalpamātreṇa draupadyāḥ paṭaparamparotpattiḥ	yaTA BArate SrI kRzNasya saMkalpa mAtreNa drOpadyAH pawa parampara utpattiH
   tathā asahāyasyāpi brahmaṇaḥ kāraṇatvam /	taTA asahAyasya api brahmaNaH kAraNa tvam /
   9 kṛtsnaprasaktyadhikaraṇam / sū. 26 29	9 kRtsna prasakti aDikaraNam / sU. 26 29
   kṛtsnaprasaktir niravayavatvaśabdakopo vā | BBs_2,1.26 |	kRtsna prasaktiH niravayava tva Sabda kopaH vA | BBH _2,1.26 |
   cetanamekamadvitīyaṃ brahma kṣīrādivaddevādivaccānapekṣya bāhyasādhanaṃ	cetanam ekam advitIyam brahma kzIra Adi vat deva Adi vat ca anapekzya bAhya sADanam
   svayaṃ pariṇamamānaṃ jagataḥ kāraṇamiti sthitam /	svayam pariNamamAnam jagataH kAraNam iti sTitam /
   śāstrārthapariśuddhaye tu punarākṣipati /	SAstra arTa pariSudDaye tu punar Akzipati /
   kṛtsnaprasaktiḥ kṛtsnasya brahmaṇaḥ kāryarūpeṇa pariṇāmaḥ prāpnoti,	kRtsna prasaktiH kRtsnasya brahmaNaH kArya rUpeNa pariNAmaH prApnoti,
   niravayavatvāt /	niravayava tvAt /
   yadi brahma pathivyādivatsāvayavamabhaviṣyattato 'syaikadeśaḥ	yadi brahma paTivI Adi vat sAvayavam aBavizyat tatas asya eka deSaH
   paryaṇaṃsyadekadeśaścāvāsthāsyat /	paryaNaMsyat eka deSaH ca avAsTAsyat /
   niravayavaṃ tu brahma śrutibhyo 'vagamyate  'niṣkalaṃ niṣkriyaṃ śāntaṃ	niravayavam tu brahma SrutiByaH avagamyate  anizkalam nizkriyam SAntam
   niravadyaṃ nirañjanam' (śve. 6.19), 'divyo hyamūrtaḥ puruṣaḥ	niravadyam niraQjanam a (Sve. 6.19), adivyaH hi amUrtaH puruzaH
   sabāhyābhyantarohyajaḥ' (mu. 2.1.2), 'idaṃ mahadbhūtamanantamapāraṃ	sa bAhya aByantarohya jaH a (mu. 2.1.2), aidam mahat BUtam anantam apAram
   vijñānaghana eva' (bṛ. 2.4.12), 'sa eṣa neti netyātmā' (bṛ. 3.9.26),	vijQAna GanaH eva a (bR. 2.4.12), asaH eza na iti na iti AtmA a (bR. 3.9.26),
   'asthūlamanaṇu' (bṛ. 3.8.8) ityādyābhyaḥ sarvaviśeṣapratiṣedhinībhyaḥ /	aasTUlamanaNu a (bR. 3.8.8) iti AdyAByaH sarva viSeza pratizeDinIByaH /
   tataścaikadeśapariṇāmasaṃbhavātkṛtsnapariṇāmaprasaktau satyāṃ mūlocchedaḥ	tatas ca eka deSa pariNAma saMBavAt kRtsna pariNAma prasaktO satyAm mUla ucCedaH
   prasajyeta /	prasajyeta /
   draṣṭavyatopadeśānarthakyaṃ cāpannamayatnadraṣṭatvātkāryasya,	drazwavyatA upadeSa AnarTakyam ca Apannam ayatna drazwa tvAt kAryasya,
   tadvyatiriktasya ca brahmaṇo 'saṃbhavāt ajatvādiśabdakopaśca /	tad vyatiriktasya ca brahmaNaH asaMBavAt aja tva Adi Sabda kopaH ca /
   athaitaddoṣaparijihīrṣayā sāvayavameva brahmābhyupagamyeta tathāpi ye	aTa etad doza parijihIrzayA sAvayavam eva brahma aByupagamyeta taTA api ye
   niravayavatvasya pratipādakāḥ śabdā udāhṛtāste prakuṣyeyuḥ /	niravayavatvasya pratipAdakAH SabdAH udAhRtAH te prakuzyeyuH /
   sāvayavatve cānityatvaprasaṅga iti /	sAvayava tve ca anitya tva prasaFgaH iti /
   sarvathāyaṃ pakṣo na ghaṭayituṃ śakyata ityākṣipati // 26 //	sarvaTA ayam pakzaH na Gawayitum Sakyate iti Akzipati // 26 //
   FN: paryaṇaṃsyat pariṇato 'bhaviṣyat /	FN: paryaNaMsyat pariNataH aBavizyat /
   ekadeśaścāvasthāsyadapariṇato 'bhaviṣyat /	eka deSaH ca avasTA Asya da pariNataH aBavizyat /
   śrutes tu śabdamūlatvāt | BBs_2,1.27 |	SruteH tu Sabda mUla tvAt | BBH _2,1.27 |
   tuśabdenākṣepaṃ pariharati /	tuSabdena Akzepam pariharati /
   na khalvasmatpakṣe kaścidapi doṣo 'sti /	na Kalu asmad pakze kaScid api dozaH asti /
   na tāvatkṛtsnaprasaktirasti /	na tAvat kRtsna prasaktiH asti /
   kutaḥ /	kutas /
   śruteḥ /	SruteH /
   yathaiva hi brahmaṇo jagadutpattiḥ śrūyata evaṃ vikāravyatirekeṇāpi	yaTA eva hi brahmaNaH jagat utpattiH SrUyate evam vikAra vyatirekeNa api
   brahmaṇo 'vastānaṃ śrūyate, prakṛtivikārayorbhedena vyapadeśāt 'seyaṃ	brahmaNaH avastAnam SrUyate, prakRti vikArayoH Bedena vyapadeSAt aseyam
   devataikṣata hantāhamimāstisro devatā anena jīvenātmanānupraviśya nāmarūpe	devatA Ekzata hanta aham imAH tisraH devatAH anena jIvena AtmanA anupraviSya nAma rUpe
   vyākaravāṇi' (chā. 6.3.2) iti, 'tāvānasya mahimā tato jyāyāṃśca puruṣaḥ /	vyAkaravANi a (CA. 6.3.2) iti, atAvAn asya mahimA tatas jyAyAn= ca puruzaH /
   pādo 'sya sarvā bhūtāni tripādasyāmṛtaṃ divi' (chā. 3.12.6) iti	pAdaH asya sarvAH BUtAni tripAdasya amRtam divi a (CA. 3.12.6) iti
   caivañjātīyakāt /	ca evan jAtIyakAt /
   tathā hṛdayāyatanatvavacanātsatsaṃpattivacanācca /	taTA hRdaya Ayatana tva vacanAt sat saMpatti vacanAt ca /
   yadi ca kṛtsnaṃ brahma kāryābhāvenopayuktaṃ syāt 'satā somya tadā saṃpanno	yadi ca kRtsnam brahma kArya aBAvena upayuktam syAt asatA somya tadA saMpannaH 
   bhavati' (chā. 6.81) iti suṣuptigataṃ viśeṣaṇamanupapannaṃ syāt /	Bavati a (CA. 6.81) iti suzupti gatam viSezaNam anupapannam syAt /
   vikṛtena brahmaṇā nityasaṃpannatvādivikṛtasya ca brahmaṇo 'bhāvāt /	vikRtena brahmaNA nitya saMpanna tva Adi vikRtasya ca brahmaNaH aBAvAt /
   tathendriyagocaratvapratiṣedhādbrahmaṇo vikārasya	taTA indriya gocara tva pratizeDAt brahmaNaH vikArasya
   cendriyagocaratvopapatteḥ /	ca indriya gocara tva upapatteH /
   tasmādastyavikṛtaṃ brahma /	tasmAt asti avikRtam brahma /
   naca niravayavatvaśabdakopo 'sti, śrūyamāṇatvādeva	na ca niravayava tva Sabda kopaH asti, SrUyamANa tvAt eva
   niravayavatvasyāpyabhyupagamyamānatvāt /	niravayava tvasya api aByupagamyamAna tvAt /
   śabdamūlaṃ ca brahma śabdapramāṇakaṃ nendriyādipramāṇakaṃ	Sabda mUlam ca brahma Sabda pramANakam na indriya Adi pramANakam
   tadyathāśabdamabhyupagantavyam /	tat yaTASabdam aByupagantavyam /
   śabdaścobhayamapi brahmaṇaḥ pratipādayatyakṛtsnaprasaktiṃ niravayavatvaṃ	SabdaH ca uBayam api brahmaNaH pratipAdayati akRtsna prasaktim niravayava tvam
   ca /	ca /
   laukikānāmapi maṇimantrauṣadhiprabhṛtīnāṃ	lOkikAnAm api maNi mantra ozaDi praBRtInAm
   deśakālanimittavaicitryavaśācchaktayo viruddhānekakāryaviṣayā dṛśyante /	deSa kAla nimitta vEcitrya vaSAt SaktayaH virudDa aneka kArya vizayAH dRSyante /
   tā api tāvannopadeśamantareṇa kevalena tarkeṇāvagantuṃ śakyante 'sya	tAH api tAvat na upadeSam antareNa kevalena tarkeNa avagantum Sakyante asya
   vastuna etāvatya etatsahāya etadviṣayā etatprayojanāśca śaktaya iti /	vastunaH etAvatyaH etat sahAyaH etat vizayAH etad prayojanAH ca SaktayaH iti /
   kimutācintyasvabhāvasya brahmaṇo rūpaṃ vinā śabdena na nirūpyeta /	kim uta acintya svaBAvasya brahmaNaH rUpam vinA Sabdena na nirUpyeta /
   tathācāhuḥ paurāṇikāḥ   'acintyāḥ khalu ye bhāvā na tāṃstarkeṇa yojayet /	taTA ca AhuH pOrANikAH  aacintyAH Kalu ye BAvAH na tAn= tarkeNa yojayet /
   prakṛtibhyaḥ paraṃ yacca tadacintyasya lakṣaṇam //	prakRtiByaH param yat ca tat acintyasya lakzaNam //
   ' iti tasmācchabdamūla evātīndriyārthayāthātmyādhigamaḥ /	a iti tasmAt Sabda mUlaH eva atIndriya arTa yATAtmya aDigamaH /
   nanu śabdenāpi na śakyate viruddhor'thaḥ pratyāyayituṃ niravayavaṃ ca	nanu Sabdena api na Sakyate virudDor aTaH pratyAyayitum niravayavam ca
   brahma pariṇamate naca kṛtsnamiti /	brahma pariNamate na ca kRtsnam iti /
   yadi niravayavaṃ brahma syānnaiva pariṇameta /	yadi niravayavam brahma syAt na eva pariNameta /
   kṛtsnameva vā pariṇameta /	kRtsnam eva vA pariNameta /
   atha kenacidrūpeṇa pariṇameta kenaciccāvatiṣṭheteti	aTa kenacid rUpeNa pariNameta kenacid ca avatizWeta iti
   rūpabhedakalpanātsāvayavameva prasajyeta /	rUpa Beda kalpanAt sAvayavam eva prasajyeta /
   kriyāviṣaye hi 'atirātre ṣoḍaśinaṃ gṛhṇāti' 'nātirātre ṣoḍaśinaṃ gṛhṇāti'	kriyA vizaye hi aatirAtre zoxaSinam gRhNAti a anAtirAtre zoxaSinam gRhNAti a
   ityevañjātīyakāyāṃ virodhapratītāvapi vikalpāśrayaṇaṃ	iti evan jAtIyakAyAm viroDa pratItO= api vikalpa ASrayaNam
   virodhaparihārakāraṇaṃ bhavati puruṣatantratvāccānuṣṭhānasya /	viroDa parihAra kAraNam Bavati puruza tantra tvAt ca anuzWAnasya /
   iha tu vikalpāśrayaṇenāpi na virodhaparihāraḥ	iha tu vikalpa ASrayaNena api na viroDa parihAraH
   saṃbhavatyapuruṣatantratvādvastunaḥ tasmāddurghaṭametaditi /	saMBavati apuruza tantra tvAt vastunaH tasmAt durGawam etat iti /
   naiṣa doṣaḥ /	na eza dozaH /
   avidyākalpitarūpabhedābhyupagamāt /	avidyA kalpita rUpa Beda aByupagamAt /
   nahyavidyākalpitena rūpabhedena sāvayavaṃ vastu saṃpadyate /	na hi avidyA kalpitena rUpa Bedena sa avayavam vastu saMpadyate /
   nahi timiropahatanayanenāneka iva candramā dṛśyamāno 'neka eva bhavati /	na hi timira upahata nayanena anekaH iva candramAH dRSyamAnaH anekaH eva Bavati /
   avidyākalpitena ca nāmarūpalakṣaṇena rūpabhedena vyākṛtāvyākṛtātmakena	avidyA kalpitena ca nAma rUpa lakzaNena rUpa Bedena vyAkRta avyAkRta Atmakena
   tattvānyatvābhyāmanirvacanīyena brahma pariṇāmādisarvavyavahārāspadatvaṃ	tattva anya tvAByAm anirvacanIyena brahma pariNAma Adi sarva vyavahAra Aspada tvam
   pratipadyate /	pratipadyate /
   pāramārthikena ca rūpeṇa sarvavyavahārātītamapariṇamatavatiṣṭhate /	pAramArTikena ca rUpeNa sarva vyavahAra atItam apariNama tavatizWate /
   vācārambhaṇamātratvāccāvidyākalpitasya nāmarūpabhedasyeti na	vAcA AramBaNa mAtra tvAt ca avidyA kalpitasya nAma rUpa Bedasya iti na
   niravayavatvaṃ brahmaṇaḥ kupyati /	niravayava tvam brahmaNaH kupyati /
   naceyaṃ pariṇāmaśrutiḥ pariṇāmapratipādanārthā, tatpratipattau	naceyam pariNAma SrutiH pariNAma pratipAdana arTA, tad pratipattO
   phalānavagamāt /	PalAn avagamAt /
   sarvavyavahārahīnabrahmātmabhāvapratipādanārthā tveṣā,	sarva vyavahAra hIna brahma Atma BAva pratipAdana arTA tu ezA,
   tatpratiphalāvagamāt /	tad pratiPala avagamAt /
   'sa eṣa neti netyātmā' ityupakramyāha  'abhayaṃ vai janaka prāpto 'si'	asaH eza na iti na iti AtmA a iti upakramya aha aaBayam vE janaka prAptaH asi a
   (bṛ. 4.2.4) iti /	(bR. 4.2.4) iti /
   tasmādasmatpakṣe na kaścidapi doṣaprasaṅgo 'sti // 27 //	tasmAt asmat pakze na kaScid api doza prasaFgaH asti // 27 //
   ātmani caivaṃ vicitrāś ca hi | BBs_2,1.28 |	Atmani ca evam vicitrAH ca hi | BBH _2,1.28 |
   apica naivātra vivaditavyaṃ kathamekasminbrahmaṇi	apica na eva atra vivaditavyam kaTam ekasmin brahmaNi
   svarūpānupamardenaivānekākārā sṛṣṭiḥ syāditi /	svarUpa anupamardena eva aneka AkArA sRzwiH syAt iti /
   yata ātmanyapyekasminsvapnadṛśi svarūpānupamardenaivānekākārā sṛṣṭiḥ	yatas Atmani api ekasmin svapna dRSi svarUpa anupamardena eva aneka AkArA sRzwiH
   paṭhyate  'na tatra rathā na rathayogo na panthāno bhavantyatha	paWyate ana tatra raTAH na raTa yogaH na panTAnaH Bavanti aTa
   rathārathayogānpathaḥ sṛjate' ( bṛ. 4.3.10) ityādinā /	raTa araTa yogAn paTaH sRjate a ( bR. 4.3.10) ityAdinA /
   loke 'pi devādiṣu māyāvyādiṣu ca svapnarūpānupamardenaiva vicitrā	loke api deva Adizu mAyA vyAdizu ca svapna rUpAnupamardena eva vicitrA
   hastyaśvādisṛṣṭayo dṛśyante /	hasti aSva Adi sRzwayaH dRSyante /
   tathaikasminnapi brahmaṇi svarūpānupamardenaivānekākārā sṛṣṭirbhaviṣyatīti	taTA ekasmin= api brahmaNi svarUpa anupamardena eva aneka AkArA sRzwiH Bavizyati iti
   svapakṣadoṣāc ca | BBs_2,1.29 |	sva pakza dozAt ca | BBH _2,1.29 |
   pareṣāmapyeṣa samānaḥ svapakṣe doṣaḥ /	parezAm api eza samAnaH sva pakze dozaH /
   pradhānavādino 'pi hi niravayavamaparicchinnaṃ śabdādihīnaṃ pradhānaṃ	praDAna vAdinaH api hi niravayavama paricCinnam Sabda Adi hInam praDAnam
   sāvavasya paricchinnasya śabdādimataḥ kāryasya kāraṇamiti svapakṣaḥ /	sAvavasya paricCinnasya Sabda AdimataH kAryasya kAraNam iti sva pakzaH /
   tatrāpi kṛtsnaprasaktirniravayavatvātpradhānasya prāpnoti	tatra api kRtsna prasaktiH niravayava tvAt praDAnasya prApnoti
   niravayavatvābhyupagamakopo vā /	niravayava tva aByupagama kopaH vA /
   nanu naiva tairniravayavaṃ pradhānamabhyupagamyate, sattvarajastamāṃsi	nanu na eva tEH niravayavam praDAnam aByupagamyate, sattva rajaH tamAMsi
   trayo guṇā nityāsteṣāṃ sāmyāvasthā pradhāne tairevāvayavaistatsāvayavamiti	trayaH guNAH nityAH tezAm sAmya avasTA praDAne tEH eva avayavEH tat sAvayavam iti
   naivañjātīyakena sāvayavatvena prakṛto doṣaḥ parihartuṃ pāryate /	na evan jAtIyakena sAvayava tvena prakRtaH dozaH parihartum pAryate /
   yataḥ sattvarajastamasāmapyekaikasya samānaṃ niravayavatvam /	yatas sattva rajaH tamasAm api ekEkasya samAnam niravayava tvam /
   ekaikameva cetaradvayānugṛhītaṃ sajātīyasya prapañcasyopādānamiti	ekEkam eva ca itara dvaya anugRhItam sajAtIyasya prapaQcasya upAdAnam iti
   samānatvātsvapakṣadoṣaprasaṅgasya /	samAna tvAt sva pakza doza prasaFgasya /
   tarkapratiṣṭhānātsāvayavatvameveti cet /	tarka pratizWAnAt sAvayava tvam eva iti ced /
   evavamapyanityatvādidoṣaprasaṅgaḥ /	evavam api anitya tva Adi doza prasaFgaH /
   atha śaktaya eva kāryavaicitryasūcitā avayavā ityabhiprāyaḥ /	aTa SaktayaH eva kArya vEcitrya sUcitAH avayavAH iti aBiprAyaH /
   tāstu brahmavādino 'pyavaśiṣṭāḥ /	tAH tu brahma vAdinaH api avaSizwAH /
   tathāṇuvādino 'pyaṇuraṇvantareṇa saṃyujyamāno niravayavatvādyadi kārtsyena	taTA aNuvAdinaH api aNuraNvantareNa saMyujyamAnaH niravayava tvAt yadi kArtsyena
   saṃyujyeta tataḥ prathimānupapatteraṇumātratvaprasaṅgaḥ /	saMyujyeta tatas praTima anupapatteH aNu mAtra tva prasaFgaH /
   athaikadeśena saṃyujyeta tathāpi niravayavatvābhyupagamakopa iti svapakṣe	aTa eka deSena saMyujyeta taTA api niravayava tva aByupagama kopaH iti sva pakze
   'pi samāna eṣa doṣaḥ /	api samAnaH eza dozaH /
   samānatvācca nānyanyatarasminneva pakṣa upakṣeptavyo bhavati /	samAna tvAt ca na anyanyatarasmin= eva pakzaH upakzeptavyaH Bavati /
   parihṛtastu brahmavādinā svapakṣe doṣaḥ // 29 //	parihRtaH tu brahma vAdinA sva pakze dozaH // 29 //
   FN: vaiśeṣikāṇāṃ hyaṇubhyāṃ saṃyujya hyaṇukamekamārabhyate,	FN: vESezikANAm hi aNuByAm saMyujya hi aNukam ekam AraByate,
   taistribhirhyaṇukaistryaṇukamekamārabhyata iti prakriyā /	tEH triBiH hi aNukEH tri aNukam ekam AraByate iti prakriyA /
   10 sarvopetādhikaraṇam / sū. 30 31	10 sarva upeta aDikaraNam / sU. 30 31
   sarvopetā ca taddarśanāt | BBs_2,1.30 |	sarva upetA ca tad darSanAt | BBH _2,1.30 |
   ekasyāpi brahmaṇo vicitraśaktiyogādupapadyate vicitro vikāraprapañca	ekasya api brahmaNaH vicitra Sakti yogAt upapadyate vicitraH vikAra prapaQca
   ityuktam /	iti uktam /
   tatpunaḥ kathamavagamyate paraṃ brahmeti /	tat punar kaTam avagamyate param brahma iti /
   taducyate /	tat ucyate /
   sarvopetā ca taddarśanāt /	sarva upetA ca tad darSanAt /
   sarvaśaktiyuktā ca parā devatetyabhyupagantavyam /	sarva Sakti yuktA ca parA devatA iti aByupagantavyam /
   kutaḥ /	kutas /
   taddarśanāt /	tad darSanAt /
   yathāhi darśayati śrutiḥ sarvaśaktiyogaṃ parasyā devatāyāḥ   'sarvakarmā	yaTA hi darSayati SrutiH sarva Sakti yogam parasyAH devatAyAH  asarva karmA
   sarvakāmaḥ sarvagandhaḥ sarvarasaḥ sarvamidamabhyātto 'vākyanādaraḥ' (chā.	sarva kAmaH sarvaganDaH sarva rasaH sarvam idam aByAttaH avAkI anAdaraH a (CA.
   3.14.4), 'satyakāmaḥ satyasaṃkalpaḥ' (chā. 8.7.1), 'yaḥ sarvajñaḥ	3.14.4), asatyakAmaH satya saMkalpaH a (CA. 8.7.1), ayaH sarvajQaH
   sarvavit' (muṇḍa. 1.1.9), 'etasya vā akṣarasya praśāsane	sarva vit a (muNxa. 1.1.9), aetasya vE akzarasya praSAsane
   gārgisūryācandramasau vidhṛtau tiṣṭhataḥ' (bṛ. 3.8.9) ityevañjātīyakā //	gArgi sUryA candramasO viDRtO tizWataH a (bR. 3.8.9) iti evan jAtIyakAH //
   FN: abhyāttaḥ abhitovyāptaḥ /	FN: aByAttaH aBitas vyAptaH /
   avākī vāgindriyaśūnyaḥ /	avAkI vAc indriya SUnyaH /
   anādaro niṣkāmaḥ /	anAdaraH nizkAmaH /
   vikaraṇatvān neti cet tad uktam | BBs_2,1.31 |	vikaraNa tvAt na iti ced tat uktam | BBH _2,1.31 |
   syādetat vikaraṇāṃ parāṃ devatāṃ śāsti śāstram 	syAt etat vikaraNAm parAm devatAm SAsti SAstram 
   'acakṣuṣkamaśrotramavāgamanāḥ' (bṛ.3.8.8) ityevañjātīyakam /	aacakzuzkam aSrotram avAgamanAH a (bR.3.8.8) iti evan jAtIyakam /
   kathaṃ sā sarvaśaktiyuktāpi satī kāryāya prabhavet /	kaTam sA sarva Sakti yuktA api satI kAryAya praBavet /
   devādayo hi cetanāḥ sarvaśaktiyuktā api santa	deva AdayaH hi cetanAH sarva Sakti yuktAH api santa
   ādhyatmikakāryakaraṇasaṃpannā eva tasmaitasmai kāryāya prabhavanto	ADyatmika kArya karaNa saMpannAH eva tasma etasmE kAryAya praBavantaH 
   vijñāyante /	vijQAyante /
