   Prātimokṣasūtram*	PrAti-mokza-sUtram*
   PrMoSū(Mā-L)Pāc.90. yo puna bhikṣu bhikṣusya duṣṭo doṣāt kupito anāttamano	PrMoSU(MA-L)-PAc.90. yaH puna Bikzu Bikzusya duzwaH dozAt kupitaH anAttamanaH-
   amūlakena saṃghātiśeṣeṇa dharmeṇānudhvaṃseya pācattikaṃ /	amUlakena saMGa-ati-SezeNa DarmeNa-anuDvaMseya pAcattikam /
   PrMoSū(Mā-L)Pāc.91. yo puna bhikṣur jānan sāṃghikaṃ lābhaṃ saṃghe	PrMoSU(MA-L)-PAc.91. yaH puna BikzuH jAnan sAMGikam lABam saMGe
   pariṇataṃ pudgalo pudgalasya pariṇāmeya pācattikaṃ /	pariNatam pudgalaH pudgalasya pariNAmeya pAcattikam /
   PrMoSū(Mā-L)Pāc.92. yo puna bhikṣur anvardhamāsaṃ sūtre prātimokṣe	PrMoSU(MA-L)-PAc.92. yaH puna BikzuH anvarDa-mAsam sUtre prAtimokze
   uddiśyamāne evaṃ vadeya Ō adya punar ahaṃ jānāmi, idānīṃ punar ahaṃ jānāmi	uddiSyamAne evam vadeya Ō adya punar aham jAnAmi, idAnIm punar aham jAnAmi
   Ō ayaṃ pi dharmo sūtrāgato sūtraparyāpanno anvardhamāsaṃ sūtre prātimokṣe	Ō ayam pi DarmaH sUtra-AgataH sUtra-paryApannaH anvarDa-mAsam sUtre prAtimokze
   uddeśam āgacchati / yāvad ahaṃ na jānāmi tāvan nāstītthaṃ mahyam āpattir	uddeSam AgacCati / yAvat aham na jAnAmi tAvat na-asti-itTam mahyam ApattiH-
   jāneṃsu ca te bhikṣu taṃ bhikṣuṃ sakṛd dvikkhuto trikkhuto āgatapūrvaṃ pi	jAneMsu ca te Bikzu tam Bikzum sakRt dvikKutaH trikKutaH Agata-pUrvam pi
   sanniṣaṇṇapūrvaṃ pi, kaḥ punar vādo bahuśo / nāsti kho punas tasya	sannizaNNa-pUrvam pi, kaH punar vAdaH bahuSas / na-asti KaH punar tasya
   bhikṣusya ajñānena muktiḥ / atha khu yāṃ pi ca so bhikṣur āpattim āpanno	Bikzusya ajQAnena muktiH / aTa Ku yAm pi ca saH BikzuH Apattim ApannaH-
   tāṃ kṣipram eva yathādharmmaṃ yathāvinayaṃ kārāpayitavyo, uttariṃ ca	tAm kzipram eva yaTADarmmam yaTAvinayam kArApayitavyo, uttarim ca
   saṃmoham āpādayitavyo / tasya te āyuṣman lābhā durlabdhā yas tvaṃ	saMmoham ApAdayitavyaH / tasya te Ayuzman lABAH durlabDAH yaH tvam
   anvardhamāsaṃ sūtre prātimokṣe uddiśyamāne nāsthīkṛtvā na manasikṛtvā na	anvarDa-mAsam sUtre prAtimokze uddiSyamAne na-asTIkRtvA na manasi-kRtvA na
   sarvacetasā samanvāhṛtya avahitaśroto satkṛtya dharmaṃ śṛṇoṣīti / imaṃ	sarva-cetasA samanvAhRtya avahita-SrotaH satkRtya Darmam SRNozi-iti / imam
   tasya bhikṣusya saṃmohapācattikaṃ /	tasya Bikzusya saMmoha-pAcattikam /
   // uddānam //	// uddAnam //
   (81) sabhakto (82) rājño (83) sūcī gṛhaṃ (84) mañca (85) tūla (86)	(81) sa-BaktaH (82) rAjQaH (83) sUcI gRham (84) maQca (85) tUla (86)
   niṣīdanaṃ / (87) kaṇḍū (88) varṣāśāṭikā (89) sugatacīvaram (90)	nizIdanam / (87) kaNxU (88) varzA-SAwikA (89) sugata-cIvaram (90)
   abhyākhyānaṃ (91) pariṇāmanam (92) ajñānakena // navamo vargaḥ //	aByAKyAnam (91) pariNAmanam (92) ajQAnakena // navamaH vargaH //
   // vargāṇām uddānaṃ //	// vargANAm uddAnam //
   (1) mṛṣā (2) bījaṃ (3) asaṃmato (4) ekāhaparamo / (5) jyoti (6) saprāṇakaṃ	(1) mRzA (2) bIjam (3) asaMmataH (4) ekAha-paramaH / (5) jyoti (6) sa-prANakam
   (7) sañcintya (8) ūnaviṃśati (9) sabhaktakena navamaḥ /	(7) saQcintya (8) UnaviMSati (9) sa-Baktakena navamaH /
   uddiṣṭāḥ kho punar āyuṣmanto dvānavati śuddhapācattikā dharmāḥ /	uddizwAH KaH punar AyuzmantaH dvAnavati SudDa-pAcattikAH DarmAH /
   tatrāyuṣmanto pṛcchāmi kaccittha pariśuddhāḥ? dvitīyaṃ pi āyuṣmanto	tatra-AyuzmantaH pRcCAmi kaccitTa pariSudDAH? dvitIyam pi AyuzmantaH-
   pṛcchāmi kaccittha pariśuddhāḥ? tṛtīyaṃ pi āyuṣmanto pṛcchāmi kaccittha	pRcCAmi kaccitTa pariSudDAH? tRtIyam pi AyuzmantaH pRcCAmi kaccitTa
   pariśuddhāḥ? pariśuddhā atrāyuṣmanto yasmāt tūṣṇīm evam etaṃ dhārayāmi /	pariSudDAH? pariSudDAH atra-AyuzmantaH yasmAt tUzNIm evam etam DArayAmi /
   [VI. catvāraḥ prātideśanikā dharmāḥ]	[VI. catvAraH prAtideSanikAH DarmAH]
   ime kho punar āyuṣmanto catvāraḥ prātideśanikā dharmā anvardhamāsaṃ sūtre	ime KaH punar AyuzmantaH catvAraH prAtideSanikA DarmAH anvarDa-mAsam sUtre
   prātimokṣe uddeśam āgacchanti Ō	prAtimokze uddeSam AgacCanti Ō
   PrMoSū(Mā-L)Pratid.1. yo puna bhikṣu āraṇyake śayanāsane viharanto pūrve	PrMoSU(MA-L)-Pratid.1. yaH puna Bikzu AraNyake Sayana-Asane viharantaH pUrve
   apratisaṃveditaṃ bahirdhā apratigṛhītaṃ, antovāsavastusminn agilāno	apratisaMveditam bahirDA apratigRhItaM, antaH-vAsavastusmin agilAnaH-
   svahastaṃ khādanīyaṃ vā bhojanīyaṃ vā pratigṛhṇitvā khādeya vā bhuñjeya vā	sva-hastam KAdanIyam vA BojanIyam vA pratigRhNitvA KAdeya vA BuQjeya vA
   bhuktāvinā tena bhikṣuṇā pratideśayitavyaṃ Ō asaṃpreyaṃ me āyuṣman gārhyaṃ	Bukta-AvinA tena BikzuNA pratideSayitavyam Ō asaMpreyam me Ayuzman gArhyam
   prātideśanikaṃ dharmam āpanno / taṃ dharmaṃ pratideśayāmi / ayaṃ dharmo	prAtideSanikam Darmam ApannaH / tam Darmam pratideSayAmi / ayam DarmaH-
   prātideśaniko //	prAtideSanikaH //
   PrMoSū(Mā-L)Pratid.2. yo puna bhikṣur anyātikāye bhikṣuṇīye antaragṛhaṃ	PrMoSU(MA-L)-Pratid.2. yaH puna BikzuH anyAtikAye BikzuNIye antara-gRham
   praviṣṭāye agilāno svahastaṃ khādanīyaṃ vā bhojanīyaṃ vā pratigṛhṇitvā	pravizwAye agilAnaH sva-hastam KAdanIyam vA BojanIyam vA pratigRhNitvA
   khādeya vā bhuṃjeya vā bhuktāvinā tena bhikṣuṇā pratideśayitavyaṃ Ō	KAdeya vA BuMjeya vA Bukta-AvinA tena BikzuNA pratideSayitavyam Ō
   asaṃpreyaṃ me āyuṣman gārhyaṃ prātideśanikaṃ dharmam āpanno / taṃ dharmmaṃ	asaMpreyam me Ayuzman gArhyam prAtideSanikam Darmam ApannaH / tam Darmmam
   pratideśayāmi / ayaṃ pi dharmo prātideśaniko /	pratideSayAmi / ayam pi DarmaH prAtideSanikaH /
   PrMoSū(Mā-L)Pratid.3. bhikṣu kho punar antaragṛhe nimantritakā bhuñjanti /	PrMoSU(MA-L)-Pratid.3. Bikzu KaH punar antara-gRhe nimantritakAH BuQjanti /
   tatra ca bhikṣuṇī viśvāsamānarūpā sthitā bhavati / sā evam āha Ō iha	tatra ca BikzuNI viSvAsa-mAna-rUpA sTitA Bavati / sA evam Aha Ō iha
   odanaṃ dehi, iha sūpaṃ dehi, iha vyañjanaṃ dehīti vā vadeya / sarvehi tehi	odanam dehi, iha sUpam dehi, iha vyaQjanam dehi-iti vA vadeyaH / sarvehi tehi
   bhikṣuhi sā bhikṣuṇī evam asya vacanīyā Ō āgamaya tāva tvaṃ bhagini yāvad	Bikzuhi sA BikzuNI evam asya vacanIyAH Ō Agamaya tAva tvam Bagini yAvat-
   bhikṣū bhuñjantīti / ekabhikṣū pi ca tāṃ bhikṣuṇīṃ neva vadeya Ō āgamaya	BikzU BuQjanti-iti / eka-BikzU pi ca tAm BikzuNIm na-iva vadeyaH Ō Agamaya
   tāva tvaṃ bhagini yāvad bhikṣū bhuñjantīti, bhuktāvīhi tehi bhikṣūhi	tAva tvam Bagini yAvat BikzU BuQjanti-iti, Bukta-avIhi tehi BikzUhi
   pratideśayitavyaṃ Ō asaṃpreyaṃ me āyuṣman gārhyaṃ prātideśanikaṃ dharmam	pratideSayitavyam Ō asaMpreyam me Ayuzman gArhyam prAtideSanikam Darmam
   āpanno / taṃ dharmaṃ pratideśayāmi / ayaṃ pi dharmo prātideśaniko //	ApannaH / tam Darmam pratideSayAmi / ayam pi DarmaH prAtideSanikaH //
   PrMoSū(Mā-L)Pratid.4. yāni kho punar imāni śaikṣasaṃmatāni kulāni bhavanti	PrMoSU(MA-L)-Prati-d.4. yAni KaH punar imAni SEkza-saMmatAni kulAni Bavanti
   tatra ca bhikṣuḥ pūrve apravārito upasaṃkramitvā svahastaṃ khādanīyaṃ vā	tatra ca BikzuH pUrve apravAritaH upasaMkramitvA sva-hastam KAdanIyam vA
   bhojanīyaṃ vā pratigṛhṇitvā khādeya vā bhuñjeya vā bhuktāvinā tena	BojanIyam vA pratigRhNitvA KAdeya vA BuQjeya vA Bukta-AvinA tena
   bhikṣuṇā pratideśayitavyaṃ Ō asaṃpreyaṃ me āyuṣman gārhyaṃ prātideśanikaṃ	BikzuNA pratideSayitavyam Ō asaMpreyam me Ayuzman gArhyam prAtideSa-nikam
   dharmam āpanno / taṃ dharmaṃ pratideśayāmi / ayaṃ pi dharmo prātideśaniko	Darmam ApannaH / tam Darmam pratideSayAmi / ayam pi DarmaH prAtideSa-nikaH-
   // uddānam //	// uddAnam //
   (1) āraṇyakam (2) antaragṛhe (3) bhikṣū ca nimantritakāḥ (4)	(1) AraNyakam (2) antara-gRhe (3) BikzU ca nimantritakAH (4)
   śaikṣasaṃmatena caturthaḥ //	SEkza-saMmatena caturTaH //
   uddiṣṭāḥ kho punar āyuṣmanto catvāraḥ prātideśanikā dharmāḥ /	uddizwAH KaH punar AyuzmantaH catvAraH prAtideSanikAH DarmAH /
   tatrāyuṣmanto pṛcchāmi kaccittha pariśuddhāḥ? dvitīyaṃ pi āyuṣmanto	tatra-AyuzmantaH pRcCAmi kaccitTa pariSudDAH? dvitIyam pi AyuzmantaH-
   pṛcchāmi kaccittha pariśuddhāḥ? tṛtīyaṃ pi āyuṣmanto pṛcchāmi kaccittha	pRcCAmi kaccitTa pariSudDAH? tRtIyam pi AyuzmantaH pRcCAmi kaccitTa
   pariśuddhāḥ? pariśuddhā atrāyuṣmanto yasmāt tūṣṇīm evam etaṃ dhārayāmi /	pariSudDAH? pariSudDAH atra-AyuzmantaH yasmAt tUzNIm evam etam DArayAmi /
   [VII. sātirekapañcāśac chaikṣā dharmāḥ]	[VII. sa-atiH-ekapaQcASat SEkzAH DarmAH]
   ime kho punar āyuṣmanto sātirekapañcāśac chaikṣā dharmā anvardhamāsaṃ	ime KaH punar AyuzmantaH sa-atiH-ekapaQcASat SEkzAH DarmAH anvarDamAsam
   sūtre prātimokṣe uddeśam āgacchanti Ō	sUtre prAtimokze uddeSam AgacCanti Ō
   PrMoSū(Mā-L)Śai.1. parimaṇḍalaṃ nivasanaṃ nivāsayiṣyāmīti śikṣā karaṇīyā /	PrMoSU(MA-L)ŚE.1. parimaNxalam nivasanam nivAsayizyAmi-iti SikzA karaNIyAH /
   PrMoSū(Mā-L)Śai.2. parimaṇḍalaṃ cīvaraṃ prāvariṣyāmīti śikṣā karaṇīyā /	PrMoSU(MA-L)ŚE.2. parimaNxalam cIvaram prAvarizyAmi-iti SikzA karaNIyAH /
   PrMoSū(Mā-L)Śai.3. susaṃvṛto antaragṛham upasaṃkramiṣyāmīti śikṣā karaṇīyā	PrMoSU(MA-L)-ŚE.3. su-saMvRtaH antara-gRham upasaMkramizyAmi-iti SikzA karaNIyA
   PrMoSū(Mā-L)Śai.4. na utkṣiptacakṣur antaragṛham upasaṃkramiṣyāmīti śikṣā	PrMoSU(MA-L)-ŚE.4. na utkzipta-cakzuH antara-gRham upasaMkramizyAmi-iti SikzA
   karaṇīyā /	karaNIyAH /
   PrMoSū(Mā-L)Śai.5. alpaśabdo antaragṛham upasaṃkramiṣyāmīti śikṣā karaṇīyā	PrMoSU(MA-L)ŚE.5. alpa-SabdaH antara-gRham upasaMkramizyAmi-iti SikzA karaNIyA
   PrMoSū(Mā-L)Śai.6. na uccagghikāya antaragṛham upasaṃkramiṣyāmīti śikṣā	PrMoSU(MA-L)-ŚE.6. naH uccagGikAya antara-gRham upasaMkramizyAmi-iti SikzA
   karaṇīyā /	karaNIyAH /
   PrMoSū(Mā-L)Śai.7. na oguṇṭhikāya antaragṛham upasaṃkramiṣyāmīti śikṣā	PrMoSU(MA-L)ŚE.7. na aH-guNWikAya antara-gRham upasaMkramizyAmi-iti SikzA
   karaṇīyā /	karaNIyAH /
   PrMoSū(Mā-L)Śai.8. na utkṣiptikāya antaragṛham upasaṃkramiṣyāmīti śikṣā	PrMoSU(MA-L)ŚE.8. na utkziptikAya antara-gRham upasaMkramizyAmi-iti SikzA
   karaṇīyā /	karaNIyAH /
   PrMoSū(Mā-L)Śai.9. na utkuṭukāya antaragṛham upasaṃkramiṣyāmīti śikṣā	PrMoSU(MA-L)-ŚE.9. naH utkuwukAya antara-gRham upasaMkramizyAmi-iti SikzA
   karaṇīyā /	karaNIyAH /
   PrMoSū(Mā-L)Śai.10. na khambhakṛto antaragṛham upasaṃkramiṣyāmīti śikṣā	PrMoSU(MA-L)-ŚE.10. na KamBa-kRtaH antara-gRham upasaMkramizyAmi-iti SikzA
   karaṇīyā /	karaNIyAH /
   PrMoSū(Mā-L)Śai.11. na kāyapracālakam antaragṛham upasaṃkramiṣyāmīti śikṣā	PrMoSU(MA-L)-ŚE.11. na kAya-pracAlakam antara-gRham upasaMkramizyAmi-iti SikzA
   karaṇīyā /	karaNIyAH /
   PrMoSū(Mā-L)Śai.12. na śīrṣapracālakam antaragṛham upasaṃkramiṣyāmīti	PrMoSU(MA-L)-ŚE.12. na SIrza-pracAlakam antara-gRham upasaMkramizyAmi-iti
   śikṣā karaṇīyā /	SikzA karaNIyAH /
   PrMoSū(Mā-L)Śai.13. na bāhuvikṣepakam antaragṛham upasaṃkramiṣyāmīti śikṣā	PrMoSU(MA-L)-ŚE.13. na bAhu-vikzepakam antara-gRham upasaMkramizyAmi-iti SikzA
   karaṇīyā /	karaNIyAH /
   // uddānam //	// uddAnam //
   (1) nivasanaṃ (2) prāvaraṇaṃ (3) susaṃvṛto (4) cakṣuḥ (5) śabda (6)	(1) nivasanam (2) prAvaraNam (3) su-saMvRtaH (4) cakzuH (5) SabdaH (6)
   noccagghikā (7) na oguṇṭhikā (8) notkṣiptikā (9) na utkuṭukā (10) na	na-uccagGikA (7) na aH-guNWikA (8) na-utkziptikAH (9) naH utkuwukAH (10) na
   khambha (11) na kāya (12) na śīrṣa (13) na bāhukena // prathamo vargaḥ //	KamBa (11) na kAya (12) na SIrza (13) na bAhukena // praTamaH vargaH //
   PrMoSū(Mā-L)Śai.14. susaṃvṛto antaragṛhe niṣīdiṣyāmīti śikṣā karaṇīyā /	PrMoSU(MA-L)-ŚE.14. su-saMvRtaH antara-gRhe nizIdizyAmi-iti SikzA karaNIyAH /
   PrMoSū(Mā-L)Śai.15. na utkṣiptacakṣu antaragṛhe niṣīdiṣyāmīti śikṣā	PrMoSU(MA-L)-ŚE.15. na utkzipta-cakzu antara-gRhe nizIdizyAmi-iti SikzA
   karaṇīyā /	karaNIyAH /
   PrMoSū(Mā-L)Śai.16. alpaśabdo antaragṛhe niṣīdiṣyāmīti śikṣā karaṇīyā /	PrMoSU(MA-L)ŚE.16. alpa-SabdaH antara-gRhe nizIdizyAmi-iti SikzA karaNIyAH /
   PrMoSū(Mā-L)Śai.17. na uccagghikāya antaragṛhe niṣīdiṣyāmīti śikṣā	PrMoSU(MA-L)-ŚE.17. na uccagGikAya antara-gRhe nizIdizyAmi-iti SikzA
   karaṇīyā /	karaNIyAH /
   PrMoSū(Mā-L)Śai.18. na oguṇṭhikāya antaragṛhe niṣīdiṣyāmīti śikṣā karaṇīyā	PrMoSU(MA-L)-ŚE.18. na aH-guNWikAya antara-gRhe nizIdizyAmi-iti SikzA karaNIyA
   PrMoSū(Mā-L)Śai.19. na utkṣiptikāya antaragṛhe niṣīdiṣyāmīti śikṣā	PrMoSU(MA-L)ŚE.19. na utkziptikAya antara-gRhe nizIdizyAmi-iti SikzA
   karaṇīyā /	karaNIyAH /
   PrMoSū(Mā-L)Śai.20. na osaktikāya antaragṛhe niṣīdiṣyāmīti śikṣā karaṇīyā	PrMoSU(MA-L)-ŚE.20. na osaktikAya antara-gRhe nizIdizyAmi-iti SikzA karaNIyA
   PrMoSū(Mā-L)Śai.21. na pallatthikāya antaragṛhe niṣīdiṣyāmīti śikṣā	PrMoSU(MA-L)-ŚE.21. na pallatTikAya antara-gRhe nizIdizyAmi-iti SikzA
   karaṇīyā /	karaNIyAH /
   PrMoSū(Mā-L)Śai.22. na khambhakṛto antaragṛhe niṣīdiṣyāmīti śikṣā karaṇīyā	PrMoSU(MA-L)-ŚE.22. na KamBa-kRtaH antara-gRhe nizIdizyAmi-iti SikzA karaNIyA
   PrMoSū(Mā-L)Śai.23. na antaragṛhe niṣaṇṇo hastakaukṛtyaṃ pādakaukṛtyaṃ vā	PrMoSU(MA-L)-ŚE.23. na antara-gRhe nizaNNaH hasta-kOkRtyam pAda-kOkRtyam vA
   kariṣyāmīti śikṣā karaṇīyā /	karizyAmi-iti SikzA karaNIyAH /
   // uddānaṃ //	// uddAnam //
   (14) susaṃvṛto (15) cakṣuḥ (16) śabda (17) noccagghikā (18) na oguṇṭhikā	(14) su-saMvRtaH (15) cakzuH (16) SabdaH (17) na-uccagGikA (18) na oguNWikA
   (19) notkṣiptikā (20) nosaktikā (21) na pallatthikā (22) na khambha (23)	(19) na-utkziptikA (20) nosaktikAH (21) na pallatTikAH (22) na KamBaH (23)
   na hastapādakaukṛtyena // dvitīyo vargaḥ //	na hasta-pAda-kOkRtyena // dvitIyaH vargaH //
   PrMoSū(Mā-L)Śai.24. satkṛtya piṇḍapātaṃ pratigṛhṇiṣyāmīti śikṣā karaṇīyā /	PrMoSU(MA-L)ŚE.24. satkRtya piNxapAtam pratigRhNizyAmi-iti SikzA karaNIyAH /
   PrMoSū(Mā-L)Śai.25. samasūpaṃ piṇḍapātaṃ paribhuṃjiṣyāmīti śikṣā karaṇīyā	PrMoSU(MA-L)ŚE.25. sama-sUpam piNxapAtam pariBuMjizyAmi-iti SikzA karaNIyA
   PrMoSū(Mā-L)Śai.26. na stūpakārakaṃ piṇḍapātaṃ paribhuṃjiṣyāmīti śikṣā	PrMoSU(MA-L)-ŚE.26. na stu-upakArakam piNxapAtam pariBuMjizyAmi-iti SikzA
   karaṇīyā /	karaNIyAH /
   PrMoSū(Mā-L)Śai.27. nāvakīrṇakārakaṃ piṇḍapātaṃ paribhuṃjiṣyāmīti śikṣā	PrMoSU(MA-L)ŚE.27. na-avakIrNa-kArakam piNxapAtam pariBuMjizyAmi-iti SikzA
   karaṇīyā /	karaNIyAH /
   PrMoSū(Mā-L)Śai.28. nāvagaṇḍakārakaṃ piṇḍapātaṃ paribhuṃjiṣyāmīti śikṣā	PrMoSU(MA-L)ŚE.28. na-avagaNxa-kArakam piNxapAtam pariBuMjizyAmi-iti SikzA
   karaṇīyā /	karaNIyAH /
   PrMoSū(Mā-L)Śai.29. na jihvānicārakaṃ piṇḍapātaṃ paribhuṃjiṣyāmīti śikṣā	PrMoSU(MA-L)-ŚE.29. na jihvA-nicArakam piNxapAtam pariBuMjizyAmi-iti SikzA
   karaṇīyā /	karaNIyAH /
   PrMoSū(Mā-L)Śai.30. nātimahantehi kavaḍehi piṇḍapātaṃ paribhuṃjiṣyāmīti	PrMoSU(MA-L)ŚE.30. na-atimahanta-ihi kavaxehi piNxapAtam pariBuMjizyAmi-iti
   śikṣā karaṇīyā /	SikzA karaNIyAH /
   PrMoSū(Mā-L)Śai.31. nānāgate kavaḍe mukhadvāraṃ vivariṣyāmīti śikṣā	PrMoSU(MA-L)ŚE.31. na-anAgate kavaxe muKa-dvAram vivarizyAmi-iti SikzA
   karaṇīyā /	karaNIyAH /
   PrMoSū(Mā-L)Śai.32. na kavaḍotkṣepakaṃ piṇḍapātaṃ paribhuṃjiṣyāmīti śikṣā	PrMoSU(MA-L)-ŚE.32. na kavaxa-utkzepakam piNxapAtam pariBuMjizyAmi-iti SikzA
   karaṇīyā /	karaNIyAH /
   PrMoSū(Mā-L)Śai.33. na kavaḍacchedakaṃ piṇḍapātaṃ paribhuṃjiṣyāmīti śikṣā	PrMoSU(MA-L)-ŚE.33. na kavaxa=-Cedakam piNxapAtam pariBuMjizyAmi-iti SikzA
   karaṇīyā /	karaNIyAH /
   PrMoSū(Mā-L)Śai.34. na sakavaḍena mukhena vācaṃ bhāṣiṣyamīti śikṣā	PrMoSU(MA-L)-ŚE.34. na sa-kavaxena muKena vAcam BAzizyami-iti SikzA
   karaṇīyā /	karaNIyAH /
   // uddānaṃ //	// uddAnam //
   (24) satkṛtya (25) samasūpa (26) na stūpa (27) nāvakīrṇa (28) nāvagaṇḍa	(24) satkRtya (25) samasUpaH (26) na stUpa (27) na-avakIrNa (28) na-avagaNxa
   (29) na jihvā (30) nātimahantaṃ (31) nānāgataṃ (32) na kavaḍotkṣepaka (33)	(29) na jihvA (30) na-atimahantam (31) na-anAgatam (32) na kavaxa-utkzepakaH (33)
   na kavaḍacchedaka (34) na sakavaḍena mukhena vācaṃ // tṛtīyo vargaḥ //	na kavaxacCedakaH (34) na sa-kavaxena muKena vAcam // tRtIyaH vargaH //
   PrMoSū(Mā-L)Śai.35. na pātranirlehakaṃ piṇḍapātaṃ paribhuṃjiṣyāmīti śikṣā	PrMoSU(MA-L)-ŚE.35. na pAtra-nirlehakam piNxapAtam pariBuMjizyAmi-iti SikzA
   karaṇīyā /	karaNIyAH /
   PrMoSū(Mā-L)Śai.36. na hastanirlehakaṃ piṇḍapātaṃ paribhuṃjiṣyāmīti śikṣā	PrMoSU(MA-L)-ŚE.36. na hasta-nirlehakam piNxapAtam pariBuMjizyAmi-iti SikzA
   karaṇīyā /	karaNIyAH /
   PrMoSū(Mā-L)Śai.37. nāṅgulinirlehakaṃ piṇḍapātaṃ paribhuṃjiṣyāmīti śikṣā	PrMoSU(MA-L)ŚE.37. na-aFguli-nirlehakam piNxapAtam pariBuMjizyAmi-iti SikzA
   karaṇīyā /	karaNIyAH /
   PrMoSū(Mā-L)Śai.38. na cuccukāraṃ piṇḍapātaṃ paribhuṃjiṣyāmīti śikṣā	PrMoSU(MA-L)-ŚE.38. na cuccukAram piNxapAtam pariBuMjizyAmi-iti SikzA
   karaṇīyā /	karaNIyAH /
   PrMoSū(Mā-L)Śai.39. na surusurukāraṃ piṇḍapātaṃ paribhuṃjiṣyāmīti śikṣā	PrMoSU(MA-L)-ŚE.39. na surusurukAram piNxapAtam pariBuMjizyAmi-iti SikzA
   karaṇīyā /	karaNIyAH /
   PrMoSū(Mā-L)Śai.40. na gulugulukārakaṃ piṇḍapātaṃ paribhuṃjiṣyāmīti śikṣā	PrMoSU(MA-L)-ŚE.40. na gulu-gulu-kArakam piNxapAtam pariBuMjizyAmi-iti SikzA
   karaṇīyā /	karaNIyAH /
   PrMoSū(Mā-L)Śai.41. na hastanirdhūnakaṃ piṇḍapātaṃ paribhuṃjiṣyāmīti śikṣā	PrMoSU(MA-L)-ŚE.41. na hasta-nirDUnakam piNxapAtam pariBuMjizyAmi-iti SikzA
   karaṇīyā /	karaNIyAH /
   {Ed. hastanirdhūtakaṃ}	{Ed. hasta-nirDUta-kaM}
   PrMoSū(Mā-L)Śai.42. na sitthāpakārakaṃ piṇḍapātaṃ paribhuṃjiṣyāmīti śikṣā	PrMoSU(MA-L)-ŚE.42. na sitTa-apakArakam piNxapAtam pariBuMjizyAmi-iti SikzA
   karaṇīyā /	karaNIyAH /
   PrMoSū(Mā-L)Śai.43. nātivelaṃ parasya pātraṃ nidhyāyiṣyāmi	PrMoSU(MA-L)ŚE.43. na-ativelam parasya pAtram niDyAyizyAmi
   odhyāyanakarmatām upādāyeti śikṣā karaṇīyā /	oDyAyana-karma-tAm upAdAya-iti SikzA karaNIyAH /
   PrMoSū(Mā-L)Śai.44. na pātrasaṃjñī piṇḍapātaṃ pari[bhuṃji]ṣyāmīti śikṣā	PrMoSU(MA-L)-ŚE.44. na pAtra-saMjQI piNxapAtam pari[BuMji]zyAmi-iti SikzA
   karaṇīyā /	karaNIyAH /
   PrMoSū(Mā-L)Śai.45. na agilāno odanaṃ vā sūpaṃ vā vyañjanaṃ vā ātmārthāya	PrMoSU(MA-L)-ŚE.45. na agilAnaH odanam vA sUpam vA vyaQjanam vA Atma-arTAya
   kulehi vijñāpetvā vā vijñāpāyetvā vā piṇḍapātaṃ paribhuṃjiṣyāmīti śikṣā	kulehi vijQApetvA vA vijQApAyetvA vA piNxapAtam pariBuMjizyAmi-iti SikzA
   karaṇīyā /	karaNIyAH /
   PrMoSū(Mā-L)Śai.46. na dinnadinnāni vyaṃjanāni odanena pracchādayiṣyāmi	PrMoSU(MA-L)-ŚE.46. na dinna-dinnAni vyaMjanAni odanena pracCAdayizyAmi
   bhūyo āgamanakarmatām upādāyeti śikṣā karaṇīyā /	BUyas Agamana-karma-tAm upAdAya-iti SikzA karaNIyAH /
   PrMoSū(Mā-L)Śai.47. na sasitthaṃ pātrodakaṃ pṛthivyāṃ niṣiñciṣyāmīti śikṣā	PrMoSU(MA-L)-ŚE.47. na sa-sitTam pAtra-udakam pRTivyAm niziQcizyAmi-iti SikzA
   karaṇīyā /	karaNIyAH /
   PrMoSū(Mā-L)Śai.48. na sasitthena pāṇinā pānīyasthālakaṃ pratigṛhṇiṣyāmīti	PrMoSU(MA-L)-ŚE.48. na sa-sitTena pANinA pAnIya-sTAlakam pratigRhNizyAmi-iti
   śikṣā karaṇīyā /	SikzA karaNIyAH /
   // uddānam //	// uddAnam //
   (35-7) trayo nirlehāḥ (38) cuccu (39) surusuru (40) na gulugulu (41) na	(35-7) trayaH nirlehAH (38) cuccu (39) surusuru (40) na gulu-gulu (41) na
   hasta (42) na sittha (43) na odhyāyana (44) na pātrasaṃjñī (45) vijñaptiḥ	hastaH (42) na sitTaH (43) na oDyAyana (44) na pAtra-saMjQI (45) vijQaptiH
   (46) cchādayati (47) pātrodaka (48) sasitthena // caturtho vargaḥ //	(46) cCAdayati (47) pAtra-udakaH (48) sa-sitTena // caturTaH vargaH //
   PrMoSū(Mā-L)Śai.49. na sthito niṣaṇṇasya agilānasya dharmaṃ deśayiṣyāmīti	PrMoSU(MA-L)-ŚE.49. na sTitaH nizaNNasya agilAnasya Darmam deSayizyAmi-iti
   śikṣā karaṇīyā /	SikzA karaNIyAH /
   PrMoSū(Mā-L)Śai.50. na niṣaṇṇo niṣaṇṇasya agilānasya dharmaṃ deśayiṣyāmīti	PrMoSU(MA-L)-ŚE.50. na nizaNNaH nizaNNasya agilAnasya Darmam deSayizyAmi-iti
   śikṣā karaṇīyā /	SikzA karaNIyAH /
   PrMoSū(Mā-L)Śai.51. na nīcāsane niṣaṇṇo uccāsane niṣaṇṇasya agilānasya	PrMoSU(MA-L)-ŚE.51. na nIca-Asane nizaNNaH ucca-Asane nizaNNasya agilAnasya
