   alātaśāntiprakaraṇa	alAta-SAnti-prakaraNa
   suṣṭhūparatasvabhāvā ityarthaḥ, sarve dharmāḥ samāścābhinnāśca	suzWu-uparata-svaBAvAH iti-arTaH, sarve DarmAH samAH-ca-aBinnAH-ca
   samābhinnāḥ, ajaṃ sāmyaṃ viśāradaṃ viśuddhamātmatatvaṃ	samABinnAH, ajam sAmyam viSAradam viSudDam-Atmata-tvam
   yasmāttasmācchāntirmokṣo vā nāsti kartavya ityarthaḥ, na hi	yasmAt-tasmAt-SAntiH-mokzaH vA na-asti kartavyaH iti-arTaH, na hi
   nityaikasvabhāvasya kṛtaṃ kiñcidarthavatsyāt //93//	nitya-eka-svaBAvasya kRtam kiQcid-arTa-vatsyAt //93//
   START MandUpK 4.94	START Mandu-upK 4.94
   ye yathoktaṃ paramārthatattvaṃ pratipannāsta evākṛpaṇā loke kṛpaṇā evānya	ye yaToktam parama-arTa-tattvam pratipannAH-te eva-akRpaNAH loke kRpaNAH eva-anya
   ityāha-	iti-Aha-
   vaiśāradyaṃ tu vai nāsti bhede vicaratāṃ sadā /	vESAradyam tu vE na-asti Bede vicaratAm sadA /
   bhedanimnāḥ pṛthagvādās tasmāt te kṛpaṇāḥ smṛtāḥ // MandUpK_4.94 //	Beda-nimnAH pRTak-vAdAH tasmAt te kRpaNAH smRtAH // Mandu-upK_4.94 //
   MandUpKC_4.94	Mandu-upKC_4.94
   yasmādbhedanimnā bhedānuyāyinaḥ saṃsārānugā ityarthaḥ ; ke? pṛdagvādāḥ	yasmAt-Beda-nimnAH Beda-anuyAyinaH saMsAra-anugAH iti-arTaH ; ke? pRdak-vAdAH
   pṛthaṅnānā vastvityevaṃ vadanaṃ yeṣāṃ te pṛthagvādā dvaitina ityarthaḥ,	pRTak-nAnA vastu-iti-evam vadanam yezAm te pRTak-vAdAH dvEtinaH iti-arTaH,
   tasmātte kṛpaṇāḥ kṣudrāḥ smṛtāḥ; yasmādvaiśāradyaṃ viśuddhirnāsti teṣāṃ	tasmAt-te kRpaNAH kzudrAH smRtAH; yasmAt-vESAradyam viSudDiH-na-asti tezAm
   bhede vicaratāṃ dvaitamārge 'vidyākalpite sarvadā vartamānānāmityarthaḥ /	Bede vicaratAm dvEta-mArge avidyA-kalpite sarvadA vartamAnAnAm-iti-arTaH /
   ato yuktameva teṣāṃ kārpaṇyamityabhiprāyaḥ //94//	atas yuktam-eva tezAm kArpaNyam-iti-aBiprAyaH //94//
   START MandUpK 4.95	START Mandu-upK 4.95
   yadidaṃ paramārthatattvamamahātmabhirapaṇḍitairvedāntabahiḥṣṭhaiḥ	yat-idam parama-arTa-tattvam-amahAtmaBiH-apaNxitEH-vedAnta-bahiHzWEH
   kṣudrairalpaprajñairanavagāhyamityāha-	kzudrEH-alpa-prajQEH-anavagAhyam-iti-Aha-
   aje sāmye tu ye kecid bhaviṣyanti suniścitāḥ /	aje sAmye tu ye kecid Bavizyanti su-niScitAH /
   te hi loke mahājñānās tac ca loko na gāhate // MandUpK_4.95 //	te hi loke mahA-jQAnAH tat ca lokaH na gAhate // Mandu-upK_4.95 //
   MandUpKC_4.95	Mandu-upKC_4.95
   aje sāmye paramārthatattva evameveti ye kecitstrāyadayo 'pi suniścitā	aje sAmye parama-arTa-tattvaH evam-eva-iti ye kecid-strAya-dayaH api su-niScitA
   bhaviṣyanti cetta eva hi loke mahājñānā niratiśaya tattvaviṣayajñānā	Bavizyanti ced-te eva hi loke mahA-jQAnA niratiSaya tattva-vizaya-jQAnA
   ityarthaḥ /	iti-arTaH /
   tacca teṣāṃ vartma teṣāṃ viditaṃ paramārthatattvaṃ sāmānyabuddhiranyo loko	tat-ca tezAm vartma tezAm viditam parama-arTa-tattvam sAmAnya-budDiH-anyaH lokaH-
   na gāhate nāvatariti na viṣayīkarotītyarthaḥ /	na gAhate na-avatar-iti na vizayIkaroti-iti-arTaH /
   sarvābhūtātmabhūtasya sarvabhūtahitasya ca /	sarva-aBUta-Atma-BUtasya sarva-BUta-hitasya ca /
   devā api mārge muhyantyapadasya padaiṣiṇaḥ /	devAH api mArge muhyanti-apadasya pada-eziNaH /
   "śakunīnāmivākāśe gatirnaivopalabhyate"(mahā.śā.239 / 23,24)	"SakunInAm-iva-AkASe gatiH-na-eva-upalaByate"(-mahA.SA.239 / 23,24)
   ityādismaraṇāt //95//	ityAdi-smaraNAt //95//
   START MandUpK 4.96	START Mandu-upK 4.96
   kathaṃ mahājñānatvamityāha-	kaTam mahA-jQAna-tvam-iti-Aha-
   ajeṣv ajam asaṃkrāntaṃ dharmeṣu jñānam iṣyate /	ajezu ajam asaMkrAntam Darmezu jQAnam izyate /
   yato na kramate jñānam asaṅgaṃ tena kīrtitam // MandUpK_4.96 //	yatas na kramate jQAnam asaFgam tena kIrtitam // Mandu-upK_4.96 //
   MandUpKC_4.96	Mandu-upKC_4.96
   ajeṣvanutpanneṣvacaleṣu dharmeṣvātmasvajamacalaṃ ca jñānamiṣyate	ajezu-anutpannezu-acalezu Darmezu-Atma-svajam-acalam ca jQAnam-izyate
   savitarīvauṣṇyaṃ prakāśaśca yatastasmādasaṃkrāntamarthāntare	savitarI-iva-OzNyam prakASaH-ca yatas-tasmAt-asaMkrAntam-arTa-antare
   jñānamajamiṣyate /	jQAnam-ajam-izyate /
   yasmānna kramater'thāntare jñānaṃ tena kāraṇenāsaṅgaṃ	yasmAt-na kramater-aTa-antare jQAnam tena kAraNena-AsaFgam
   tatkīrtitamākāśakalpamityuktam //96//	tad-kIrtitamAkASa-kalpam-iti-uktam //96//
   START MandUpK 4.97	START Mandu-upK 4.97
   aṇumātre 'pi vaidharmye jāyamāne 'vipaścitaḥ /	aNu-mAtre api vEDarmye jAyamAne avipaScitaH /
   asaṅgatā sadā nāsti kimutāvaraṇacyutiḥ // MandUpK_4.97 //	asaFga-tA sadA na-asti kim-uta-AvaraNa-cyutiH // Mandu-upK_4.97 //
   MandUpKC_4.97	Mandu-upKC_4.97
   ito 'nyeṣāṃ vādināmaṇumātre 'pi vaidharmye vastuni bahirantarvā jāyamāna	itas anyezAm vAdinAm-aNu-mAtre api vEDarmye vastuni bahis-antar-vA jAyamAna
   utpādyamāne 'vipaścito 'vivekino 'saṅgatā asaṅgatvaṃ sadā nāsti kimuta	utpAdyamAne avipaScitaH avivekinaH asaFga-tA asaFga-tvam sadA na-asti kim-uta
   vaktayavyamāvaraṇacyutirbandhanāśo nāstīti //97//	vaktaya-vyam-AvaraNa-cyutiH-banDa-nASaH na-asti-iti //97//
   START MandUpK 4.98	START Mandu-upK 4.98
   teṣāmāvaraṇacyutirnāstīti bruvatāṃ svasiddhānte 'bhyupagataṃ tarhi	tezAm-AvaraNa-cyutiH-na-asti-iti bruvatAm sva-sidDAnte aByupagatam tarhi
   dharmāṇāmāvaraṇam /	DarmANAm-AvaraNam /
   netyucyate /	na-iti-ucyate /
   alabdhāvaraṇāḥ sarve dharmāḥ prakṛtinirmalāḥ /	alabDa-AvaraNAH sarve DarmAH prakRti-nirmalAH /
   ādau buddhās tathā muktā budhyanta iti nāyakāḥ // MandUpK_4.98 //	AdO budDAH taTA muktAH buDyantaH iti nAyakAH // Mandu-upK_4.98 //
   MandUpKC_4.98	Mandu-upKC_4.98
   alabdhāvaraṇāḥ- alabdhamaprāptamāvaraṇamavidyādibandhanaṃ yeṣāṃ te dharmā	alabDa-AvaraNAH alabDam-aprAptam-AvaraNam-avidyA-Adi-banDanam yezAm te DarmA
   alabdhāvaraṇā bandhanarahitā ityarthaḥ, prakṛtinirmalāḥ svabhāvaśuddhā	alabDa-AvaraNAH banDana-rahitAH iti-arTaH, prakRti-nirmalAH svaBAva-SudDA
   ādau buddhāstathā muktā yasmānnityaśuddhabuddhamuktasvabhāvāḥ /	AdO budDAH-taTA muktAH yasmAt-nitya-SudDa-budDa-mukta-svaBAvAH /
   yadyevaṃ kathaṃ tarhi budhyanta ityucyate?	yadi-evam kaTam tarhi buDyantaH iti-ucyate?
   nāyakāḥ svāminaḥ samarthā boddhuṃ bodhaśaktimatsvabhāvā ityarthaḥ, yathā	nAyakAH svAminaH samarTAH bodDum boDa-Saktimat-svaBAvAH iti-arTaH, yaTA
   nityaprakāśasvarūpo 'pi savitā prakāśata ityucyate yathā vā	nitya-prakASa-svarUpaH api savitA prakASate iti-ucyate yaTA vA
   nityanivṛttagatayo 'pi nityameva śailāstiṣṭhantītyucyate tadvat //98//	nitya-nivRtta-gatayaH api nityam-eva SElAH-tizWanti-iti-ucyate tadvat //98//
   START MandUpK 4.99	START Mandu-upK 4.99
   kramate na hi buddhasya jñānaṃ dharmeṣu tāyinaḥ /	kramate na hi budDasya jQAnam Darmezu tAyinaH /
   sarve dharmās tathā jñānaṃ naitad buddhena bhāṣitam // MandUpK_4.99 //	sarve DarmAH taTA jQAnam na-etat budDena BAzitam // Mandu-upK_4.99 //
   MandUpKC_4.99	Mandu-upKC_4.99
   yasmānna hi kramate buddhasya paramārthadarśino jñānaṃ viṣayāntareṣu	yasmAt-na hi kramate budDasya parama-arTa-darSinaH jQAnam vizaya-antarezu
   dharmeṣu dharmasaṃsthaṃ savitarīva prabhā, tāyinas tāyo 'syāstīti tāyī,	Darmezu Darma-saMsTam savitarI-iva praBA, tAyinaH tAyaH asya-asti-iti tAyI,
   saṃtānavato nirantarasyākāśakalpasyetyarthaḥ, pūjāvato vā prajñāvato vā,	saMtAnavataH nirantarasya-AkASa-kalpasya-iti-arTaH, pUjAvataH vA prajQAvataH vA,
   sarve dharmā ātmāno 'pi tathā jñānavadevākāśakalpatvānna kramante	sarve DarmAH AtmAnaH api taTA jQAna-vat-eva-AkASa-kalpa-tvAt-na kramante
   kvacidapyarthāntara ityarthaḥ /	kvacid-api-arTa-antaraH iti-arTaH /
   yadādāvupanyastaṃ jñānenākāśakalpenetyādi tadidamākāśakalpasya tāyino	yat-AdO=-upanyastam jQAnena-AkASa-kalpena-ityAdi tat-idam-AkASa-kalpasya tAyinaH-
   buddhasya tadananyatvādākāśakalpaṃ jñānaṃ na kramaye kvacidapyarthāntare /	budDasya tat-ananya-tvAt-AkASa-kalpam jQAnam na kramaye kvacid-api-arTa-antare /
   tathā dharmā iti /	taTA DarmAH iti /
   ākāśamivācalamavikriyaṃ niravayavaṃ	AkASam-iva-acalam-avikriyam niravayavam
   nityamadvitīyamasaṅgamadṛśyamagrāhyamaśanāyādyatītaṃ brahmātmatattvam /	nityam-advitIyam-asaFgam-adRSyam-agrAhyam-aSanAya-Adi-atItam brahma-Atma-tattvam /
   "na hi draṣṭurdṛṣṭerviparilopo vidyate"(bṛ.u.4 / 3 / 23) iti śruteḥ /	"na hi drazwuH-dRzweH-viparilopaH vidyate"(bR.u.4 / 3 / 23) iti SruteH /
   jñānajñeyajñātṛbhedarahitaṃ paramārthatattvamadvayam etanna buddhena	jQAna-jQeya-jQAtR-Beda-rahitam parama-arTa-tattvam-advayam etat-na budDena
   bhāṣitam /	BAzitam /
   yadyapi bāhyārthanirākaraṇaṃ jñānamātrakalpanā cādvayavastusāmīpyamuktam /	yadi-api bAhya-arTa-nirAkaraNam jQAna-mAtra-kalpanA ca-advaya-vastu-sAmIpyam-uktam /
   idaṃ tu paramārthatattvamadvaitaṃ vedānteṣveva vijñeyamityarthaḥ //99//	idam tu parama-arTa-tattvam-advEtam vedAntezu-eva vijQeyam-iti-arTaH //99//
   START MandUpK 4.100	START Mandu-upK 4.100
   śāstrasamāptau paramārthatattvastutyarthaṃ namaskāra ucyate-	SAstra-samAptO parama-arTa-tattva-stutyarTam namaskAraH ucyate-
   durdarśam atigambhīram ajaṃ sāmyaṃ viśāradam /	durdarSam ati-gamBIram ajam sAmyam viSAradam /
   buddhvā padam anānātvaṃ namaskurmo yathābalam // MandUpK_4.100 //	budDvA padam anAnAtvam namaskurmaH yaTAbalam // Mandu-upK_4.100 //
   MandUpKC_4.100	Mandu-upKC_4.100
   durdarśaṃ duḥkhena darśanamasyeti durdarśam, asti nāstīti	durdarSam duHKena darSanam-asya-iti durdarSam, asti na-asti-iti
   catuṣkoṭivarjitatatvāddurvijñeyamityarthaḥ /	catuzkowi-varjita-tatvAt-durvijQeyam-iti-arTaH /
   ata evātigambhīraṃ duṣparveśaṃ mahāsamudravadakṛtaprajñaiḥ, ajaṃ sāmyaṃ	atas eva-ati-gamBIram duzparva-ISam mahA-samudra-vat-akRta-prajQEH, ajam sAmyam
   viśāradam īdṛkpadamanānātvaṃ nānātvavarjitaṃ buddhvāvagamya tadbhūtāḥ	viSAradam IdRS-padamanAnAtvam nAnA-tva-varjitam budDvA-avagamya tad-BUtAH
   santo namaskurmastasmai padāya, avyavahāryamapi vyavahāragocaramāpādya	santaH namaskurmaH-tasmE padAya, avyavahAryam-api vyavahAra-gocaram-ApAdya
   yathābalaṃ yathāśaktītyarthaḥ //100//	yaTAbalam yaTASakti-iti-arTaH //100//
   iti śaṅkarabhagavataḥ kṛtau gauḍapādīyāgamaśāstravivaraṇe 'lātaśāntyākhyaṃ	iti SaFkara-BagavataH kRtO gOxapAdIyAgama-SAstra-vivaraNe alAta-SAnti-AKyam
   caturthaṃ prakaraṇam //	caturTam prakaraNam //
   oṃ śantiḥ! śāntiḥ!! śāntiḥ!!!	om SantiH! SAntiH!! SAntiH!!!
