   śrī-bhāgavata-sandarbhe prathamaḥ	SrI--BAgavata--sandarBe praTamaH
   cet tatrāha tathā tṛtīya iti | munir iti maitreyaṃ prati viduroktiḥ | te	ced tatra-Aha taTA tRtIyaH iti | muniH iti mEtreyam prati viduH-a-uktiH | te
   maitreyasya guru-putratvāt sakhā kṛṣṇo vyāsaḥ | grāmyā	mEtreyasya guru--putra-tvAt saKA kRzNaH vyAsaH | grAmyA
   gṛhidharmakartavyatādi-lakṣaṇā vyāvahārikī mūṣika-viḍāla-gṛdhra-gomāyu-	gRhi-Darma-kartavyatA-Adi-lakzaNA vyAvahArikI mUzika--vixAla--gRDra--gomAyu-
   dṛṣṭāntopetā ca kathā | tat-tat-svārtha-kautuka-kathā-śravaṇāya bhārata-	dRzwAnta-upetA ca kaTA | tat-tat-sva-arTa--kOtuka--kaTA--SravaNAya BArata-
   sadasi samāgatānāṃ nṝṇāṃ śrī-gītādi-śravaṇena harau matir gṛhītā syād	sadasi samAgatAnAm nLNAm SrI-gIta-Adi--SravaNena harO matiH gRhItA syAt-
   iti tat-kathānuvāda eva | vastuto bhagavat-param eva bhāratam iti śrī-	iti tat--kaTA-anuvAdaH eva | vastutas Bagavat--param eva BAratam iti SrI-
   bhāgavatena nirṇītam ity arthaḥ | sāmavedavadasya śraiṣṭhyaṃ skānda-	BAgavatena nirNItam iti arTaH | sAmaveda-vadasya SrEzWyam skAnda-
   vākyaṃ śataśo'thetyādi prakaṭārtham | tad evam iti | ukta-guṇa-gaṇe siddhe	vAkyam SataSas-aTa-ityAdi prakawa-arTam | tat evam iti | ukta--guNa--gaNe sidDe
   satīty arthaḥ ||22||	sati-iti arTaH ||22||
   ataeva satsv api nānā-śāstreṣv etad evoktam - kalau naṣṭa-dṛśām eṣa	ataeva satsu api nAnA-SAstrezu etat eva-uktam  kalO nazwa--dRSAm eza
   purāṇārko'dhunoditaḥ [BhP 1.3.45] iti | arkatā-rūpakeṇa tad vinā nānyeṣāṃ	purANa-arkaH-aDunA-uditaH [Bhj 1.3.45] iti | arka-tA--rUpakeNa tat vinA na-anyezAm
   samyag-vastu-prakāśakatvam iti pratipadyate | yasyaiva śrīmad-bhāgavatasya	samyak--vastu--prakASaka-tvam iti pratipadyate | yasya-eva SrImat--BAgavatasya
   bhāṣya-bhūtaṃ śrī-hayaśīrṣa-pañcarātre śāstra-prastāve gaṇitaṃ tantra-	BAzya--BUtam SrI-hayaSIrza--paQcarAtre SAstra--prastAve gaNitam tantra-
   bhāgavatābhidhaṃ tantram | yasya sākṣāc chrī-hanumadbhāṣya-	BAgavata-aBiDam tantram | yasya sAkzAt SrI-hanumat-BAzya-
   vāsanābhāṣya-sambandhokti-vidvatkāmadhenu-tattvadīpikā-	vAsanA-BAzya--sambanDa-ukti-vidvatkAm-aDenu--tattva-dIpikA-
   bhāvārthadīpikā-paramahaṃsapriyā-śukahṛdayādayo vyākhyā-granthāḥ |	BAva-arTa-dIpikA--paramahaMsa-priyA-Suka-hRdaya-AdayaH vyAKyA-granTAH |
   tathā muktāphala-harilīlā-bhaktiratnāvaly-ādayo nibandhāś ca vividhā eva	taTA muktAPala-hari-lIlA--Bakti-ratna-Avaly-a-AdayaH nibanDAH ca viviDAH eva
   tat-tan-mata-prasiddha-mahānubhāva-kṛtā virājante | yad eva ca hemādri-	tat-tan-mata--prasidDa--mahA-anuBAva--kRtAH virAjante | yat eva ca hemAdri-
   granthasya dāna-khaṇḍe purāṇa-dāna-prastāve matsya-purāṇīya-tal-lakṣaṇa-	granTasya dAna---KaNxe purANa--dAna--prastAve matsya-purANIya-tal--lakzaNa-
   dhṛtyā praśastam | hemādri-pariśeṣa-khaṇḍasya kāla-nirṇaye ca kali-yuga-	DRtyA praSastam | hema-adri--pariSeza---KaNxasya kAla-nirNaye ca kali--yuga-
   dharma-nirṇaye kaliṃ sabhājayanty āryāḥ (BhP 11.5.36) ity ādikaṃ yad-	Darma-nirNaye kalim saBAjayanti AryAH (Bhj 11.5.36) iti Adikam yat--
   vākyatvenotthāpya yat pratipādita-dharma eva kalāv aṅgīkṛtaḥ |	vAkya-tvena-utTApya yat pratipAdita--DarmaH eva kalO aFgIkRtaH |
   atha yad eva kaivalyam apy atikramya bhakti-sukha-vyāhārādi-liṅgena nija-	aTa yat eva kEvalyam api atikramya Bakti-suKa--vyAhAra-Adi--liFgena nija-
   matasyāpy upari virājamānārthaṃ matvā yad apauruṣeyaṃ vedānta-	matasya-api upari virAjamAna-arTam matvA yat apOruzeyam vedAnta-
   vyākhyānaṃ bhayād acālayataiva śaṅkarāvatāratayā prasiddhena	vyAKyAnam BayAt acAlayatA-eva SaFkara-avatAra-tayA prasidDena
   vakṣyamāṇa-svagopanādi-hetuka-bhagavad-ājñā-pravartitādvaya-vādenāpi	vakzyamANa--sva-gopana-Adi--hetu-ka-Bagavat--AjQA--pravartitA-dvaya--vAdena-api
   tan-mātra-varṇita-viśva-rūpa-darśana-kṛta-vrajeśvarī-vismaya-śrī-vraja-	tan--mAtra--varNita--viSva-rUpa-darSana-kRta--vraja-ISvarI--vismaya--SrI-vraja-
   kumārī-vasana-cauryādikaṃ govindāṣṭakādau varṇayatā taṭasthībhūya nija-	kumArI--vasana--cOrya-Adikam govinda-azwaka-AdO varNayatA tawasTIBUya nija-
   vacaḥ-sāphalyāya spṛṣṭam iti ||23||	vacaH-sAPalyAya spRzwam iti ||23||
   BD: ataeveti varṇita-lakṣaṇād utkarṣād eva hetor ity arthaḥ | purātanānām	BD: ataeva-iti varNita-lakzaNAt utkarzAt eva hetoH iti arTaH | purAtanAnAm
   ṛṣīṇām ādhunikānāṃ ca vidvattamānām upādeyam idaṃ śrī-bhāgavatam	RzINAm ADunikAnAm ca vidvattamAnAm upAdeyam idam SrI--BAgavatam
   ity āha yasyaiveti | virājante samprati pracarantīty arthaḥ |	iti Aha yasya-eva-iti | virAjante samprati pracaranti-iti arTaH |
   dharma-śāstra-	Darma-SAstra-
   kṛtāṃ copādeyam etad ity āha yad eva ca hemādrīty ādi | tat-pratipādito	kRtAm ca-upAdeyam etat iti Aha yat eva ca hemAdri-iti Adi | tat--pratipAditaH-
   dharmaḥ kṛṣṇa-saṅkīrtana-lakṣaṇaḥ | nanu ced īdṛśaṃ śrī-bhāgavataṃ tarhi	DarmaH kRzNa--saFkIrtana--lakzaNaH | nanu ced IdRSam SrI--BAgavatam tarhi
   śaṅkarācāryaḥ kutas tan na vyācaṣṭeti cet tatrāha | atha yad eva kaivalyam	SaFkara-AcAryaH kutas tat na vyAcazwa-iti ced tatra-Aha | aTa yat eva kEvalyam
   ity ādi | ayaṃ bhāvaḥ pralayādhikārī khalu harer bhakto'ham upaniṣad-ādi	iti Adi | ayam BAvaH pralaya-aDikArI Kalu hareH BaktaH-aham upanizad--a-Adi
   vyākhyāya tat-siddhāntaṃ vilāpya tasyājñāṃ pālitavān evāsmi | atha tad	vyAKyAya tat--sidDAntam vilApya tasya-AjQAm pAlitavAn eva-asmi | aTa tat-
   atipriye śrī-bhāgavate'pi cālite sa prabhur mayi kupyed ato na tac cālyam	atipriye SrI--BAgavate-api cAlite sa praBuH mayi kupyet atas na tat cAlyam
   evaṃ sati me sārajñatā sukha-sampac ca na syād ataḥ kathañcit tat	evam sati me sArajQa-tA suKa--sampad ca na syAt atas kaTaQcid tat-
   sparśanīyam iti tan-mātroktaṃ viśva-rūpa-darśanādi-sva-kāvye nibabandheti	sparSanIyam iti tan--mAtra-uktam viSva-rUpa-darSana-Adi-sva-kAvye nibabanDa-iti
   tena cādṛta tad iti sarva-mānyaṃ śrī-bhāgavatam iti ||23||	tena ca-AdRta tat iti sarva-mAnyam SrI--BAgavatam iti ||23||
   yad eva kila dṛṣṭvā śrī-madhvācārya-caraṇair vaiṣṇavāntarāṇāṃ tac-	yat eva kila dRzwvA SrI--maDu-AcArya--caraNEH vEzNava-antarANAm tac-
   chiṣyāntara-puṇyāraṇyādi-rītika-vyākhyā-praveśa-śaṅkayā tatra	CizyA-antara--puNya-araNya-Adi--rIti-ka-vyAKyA--praveSa--SaFkayA tatra
   tātparyāntaraṃ likhadbhir vartmopadeśaḥ kṛta iti ca sātvatā varṇayanti |	tAtparya-antaram liKadBiH vartma-upadeSaH kRtaH iti ca sAtvatAH varNayanti |
   tasmād yuktam uktaṃ tatraiva prathama-skandhe -	tasmAt yuktam uktam tatra-eva praTama-skanDe -
   tad idaṃ grāhayāmāsa sutam ātmavatāṃ varam |	tat idam grAhayAmAsa sutam AtmavatAm varam |
   sarva-vedetihāsānāṃ sāraṃ sāraṃ sumuddhṛtam || [BhP 1.3.41-42]	sarva-veda-itihAsAnAm sAram sAram sumudDRtam || [Bhj 1.3.41-42]
   dvādaśe -	dvAdaSe -
   sarva-vedānta-sāraṃ hi śrī-bhāgavatam iṣyate |	sarva-vedAnta--sAram hi SrI--BAgavatam izyate |
   tad-rasāmṛta-tṛptasya nānyatra syād ratiḥ kvacit || [BhP 12.13.15]	tad--rasa-amRta--tRptasya na-anyatra syAt ratiH kvacid || [Bhj 12.13.15]
   tathā prathame --	taTA praTame --
   nigama-kalpa-taror galitaṃ phalaṃ	nigama--kalpa--taroH galitam Palam
   śuka-mukhād amṛta-drava-saṃyutam |	Suka--muKAt amRta-drava--saMyutam |
   pibata bhāgavataṃ rasam ālayaṃ	pibata BAgavatam rasam Alayam
   muhur aho rasikā bhuvi bhāvukāḥ || [BhP 1.1.3]	muhur aho rasikAH Buvi BAvukAH || [Bhj 1.1.3]
   ataeva tatraiva -	ataeva tatra-eva -
   yaḥ svānubhāvam akhila-śruti-sāram ekam	yaH sva-anuBAvam aKila--Sruti--sAram ekam
   adhyātma-dīpam atititīrṣatāṃ tamo 'ndham |	aDyAtma--dIpam atititIrzatAm tamaH anDam |
   saṃsāriṇāṃ karuṇayāha purāṇa-guhyaṃ	saMsAriNAm karuNayA-Aha purANa-guhyam
   taṃ vyāsa-sūnum upayāmi guruṃ munīnām || [BhP 1.2.3]	tam vyAsa--sUnum upayAmi gurum munInAm || [Bhj 1.2.3]
   śrī-bhāgavata-mataṃ tu sarva-matānām adhīśa-rūpam iti sūcakam | sarva-	SrI--BAgavata-matam tu sarva--matAnAm aDISa--rUpam iti sUcakam | sarva-
   munīnāṃ sabhā-madhyam adhyāsyopadeṣṭṛtvena teṣāṃ gurutvam api tasya	munInAm saBA-maDyam aDyAsya-upadezwR-tvena tezAm guru-tvam api tasya
   tatra suvyaktam ||24||	tatra su-vyaktam ||24||
   BD: śrī-madhvamunes tu paramopāsyaṃ śrī-bhāgavatam ity āha yad eva	BD: SrI-maDu-amuneH tu parama-upAsyam SrI--BAgavatam iti Aha yat eva
   kileti | śaṅkareṇa naitad vicālitaṃ kintv ādṛtam eveti vibhāvyety arthaḥ	kila-iti | SaFkareNa na-etat vicAlitam kintu AdRtam eva-iti viBAvya-iti arTaH
   kintu	kintu
   tac-chiṣyaiḥ puṇyāraṇyādibhir etad anyathā vyākhyātaṃ tena vaiṣṇavānāṃ	tac-SizyEH puNya-araNya-AdiBiH etat anyaTA vyAKyAtam tena vEzNavAnAm
   nirguṇa-cinmātra-param idam iti bhrāntiḥ syād iti śaṅkayā hetunā tad-	nirguNa--cit-mAtra--param idam iti BrAntiH syAt iti SaFkayA hetunA tat--
   bhrānti-cchedāya tatra tātparyāntaraṃ bhagavat-paratā-rūpaṃ tato'nyat	BrAnti-=-CedAya tatra tAtparya-antaram Bagavat--para-tA--rUpam tatas-anyat-
   tātparyaṃ likhadbhis tasya vyākhyāna-vartmopadiṣṭaṃ vaiṣṇavān pratīti |	tAtparyam liKadBiH tasya vyAKyAna--vartma-upadizwam vEzNavAn prati-iti |
   madhvācārya-caraṇair iti atyādara-sūcaka-bahutva-nirdeśaḥ | sva-	maDu-AcArya--caraNEH iti atyAdara-sUcaka--bahu-tva--nirdeSaH | sva--
   pūrvācāryatvād iti bodhyam | vāyudevaḥ khalu madhva-muniḥ	pUrva-AcArya-tvAt iti boDyam | vAyudevaH Kalu maDva--muniH
   sarvajño'tivikramī yo dig-vijayinaṃ caturdaśa-vidyaṃ caturdaśabhiḥ kṣaṇair	sarvajQaH-ati-vikramI yaH diS--vijayinam caturdaSa-vidyam caturdaSaBiH kzaNEH-
   nirjityāsanāni tasya caturdaśa jagrāha | sa ca tac-chiṣyaḥ	nirjitya-AsanAni tasya caturdaSa jagrAha | sa ca tac-SizyaH
   padmanābhābhidhāno babhūveti prasiddham | tasmād iti prokta-guṇakatvād	padma-nABa-aBiDAnaH baBUva-iti prasidDam | tasmAt iti prokta--guNaka-tvAt-
   dhetor ity arthaḥ | ālayam iti mokṣam abhivyāpyety arthaḥ | ya iti andhaṃ	DetoH iti arTaH | Alayam iti mokzam aBivyApya-iti arTaH | yaH iti anDam
   tamo'vidyām atititīrṣatāṃ saṃsāriṇāṃ karuṇayā yaḥ purāṇa-guhyaṃ śrī-	tamaH-avidyAm atititIrzatAm saMsAriNAm karuNayA yaH purANa-guhyam SrI-
   bhāgavatam āhety anvayaḥ | svānuybhāvam asādhāraṇa-prabhāvam ity	BAgavatam Aha-iti anvayaH | sva-anuyBAvam asADAraNa--praBAvam iti-
   arthaḥ ||24||	arTaH ||24||
   yataḥ --	yatas --
   tatropajagmur bhuvanaṃ punānā	tatra-upajagmuH Buvanam punAnA
   mahānubhāvā munayaḥ sa-śiṣyāḥ |	mahA-anuBAvAH munayaH sa-SizyAH |
   prāyeṇa tīrthābhigamāpadeśaiḥ	prAyeNa tIrTa-aBigama-apadeSEH
   svayaṃ hi tīrthāni punanti santaḥ ||	svayam hi tIrTAni punanti santaH ||
   atrir vasiṣṭhaś cyavanaḥ śaradvān	atriH vasizWaH cyavanaH SaradvAn
   ariṣṭanemir bhṛgur aṅgirāś ca |	arizwanemiH BRguH aFgirAH ca |
   parāśaro gādhi-suto 'tha rāma	parASaraH gADi-sutaH aTa rAma
   utathya indrapramadedhmavāhau ||	utaTyaH indra-pramada-iDma-vAhO ||
   medhātithir devala ārṣṭiṣeṇo	meDAtiTiH devalaH ArzwizeNa-u
   bhāradvājo gautamaḥ pippalādaḥ |	BAradvAjaH gOtamaH pippalAdaH |
   maitreya aurvaḥ kavaṣaḥ kumbhayonir	mEtreya OrvaH kavazaH kumBayoniH-
   dvaipāyano bhagavān nāradaś ca ||	dvEpAyanaH BagavAn nAradaH ca ||
   anye ca devarṣi-brahmarṣi-varyā	anye ca devarzi--brahmarzi--varyA
   rājarṣi-varyā aruṇādayaś ca |	rAjarzi-varyAH aruNa-AdayaH ca |
   nānārṣeya-pravarān sametān	na-anA-rzeya--pravarAn sametAn
   abhyarcya rājā śirasā vavande ||	aByarcya rAjA SirasA vavande ||
   sukhopaviṣṭeṣv atha teṣu bhūyaḥ	suKa-upavizwezu aTa tezu BUyas-
   kṛta-praṇāmaḥ sva-cikīrṣitaṃ yat |	kRta--praNAmaH sva-cikIrzitam yat |
   vijñāpayām āsa vivikta-cetā	vijQApayAm Asa vivikta--cetA
   upasthito 'gre 'bhigṛhīta-pāṇiḥ || [BhP 1.19.8-12] ity ādy-anantaram -	upasTitaH agre aBigRhIta-pANiH || [Bhj 1.19.8-12] iti Ady-anantaram -
   tataś ca vaḥ pṛcchyam imaṃ vipṛcche	tatas ca vaH pRcCyam imam vipRcCe
   viśrabhya viprā iti kṛtyatāyām |	viSraBya viprAH iti kRtya-tAyAm |
   sarvātmanā mriyamāṇaiś ca kṛtyaṃ	sarva-AtmanA mriyamANEH ca kRtyam
   śuddhaṃ ca tatrāmṛśatābhiyuktāḥ || [BhP 1.19.24]	SudDam ca tatra-AmRSata-aBiyuktAH || [Bhj 1.19.24]
   iti pṛcchati rājñi -	iti pRcCati rAjQi -
   tatrābhavad bhagavān vyāsa-putro	tatra-aBavat BagavAn vyAsa-putraH-
   yadṛcchayā gām aṭamāno 'napekṣaḥ |	yadRcCayA gAm awamAnaH anapekzaH |
   alakṣya-liṅgo nija-lābha-tuṣṭo	alakzya--liFgaH nija-lABa-tuzwaH-
   vṛtaś ca bālair avadhūta-veṣaḥ || [BhP 1.19.25]	vRtaH ca bAlEH avaDUta--vezaH || [Bhj 1.19.25]
   tataś ca -- pratyutthitās te munayaḥ svāsanebhyaḥ (BhP 1.19.28)	tatas ca - pratyutTitAH te munayaH sva-AsaneByaH (Bhj 1.19.28)
   ity-ādy-ante	iti--Adi--ante
   sa saṃvṛtas tatra mahān mahīyasāṃ	sa saMvRtaH tatra mahAn mahIyasAm
   brahmarṣi-rājarṣi-devarṣi-saṅghaiḥ |	brahmarzi-rAja-Rzi--deva-Rzi--saFGEH |
   vyarocatālaṃ bhagavān yathendur	vyarocata-alam BagavAn yaTA-induH-
   graharkṣa-tārā-nikaraiḥ parītaḥ || (BhP 1.19.30) ity uktam || 25||	graha-Rkza--tArA--nikarEH parItaH || (Bhj 1.19.30) iti uktam || 25||
   BD: munīnāṃ gurum ity uktam | tat katham ity atrāha yata iti | yata ity	BD: munInAm gurum iti uktam | tat kaTam iti atra-Aha yatas iti | yatas iti-
   asya	asya
   ity uktam iti pareṇa sambandhaḥ | aurva iti vipra-vaṃśaṃ vināśayadbhyo	iti uktam iti pareNa sambanDaH | OrvaH iti vipra-vaMSam vinASayadByaH-
   duṣṭebhyaḥ kṣatriyebhyo bhayād garbhād ākṛṣyorau tan-mātrā sthāpitas	duzweByaH kzatriyeByaH BayAt garBAt AkRzya-UrO tan--mAtrA sTApitas
   tato jātaḥ kṣatriyāṃs tān svena tejasā bhasmīcakāra iti	tatas jAtaH kzatriyAn tAn svena tejasA BasmIcakAraH iti
   bhārate[*ENDNOTE #2] kathāsti | nigṛhīta-pāṇi-yojitāñjali-puṭaḥ | evaṃ	BArate[*ENDNOTEH #2] kaTA-asti | nigRhIta--pANi--yojita-aQjali-puwaH | evam
   kartavyasya bhāva itikartavyatā | tasyāṃ viṣaye sarvāvasthāyāṃ puṃsaḥ kiṃ	kartavyasya BAvaH itikartavya-tA | tasyAm vizaye sarva-avasTAyAm puMsaH kim
   kṛtyam | tatrāpi mriyamāṇaiś ca kiṃ kṛtyam | tac ca śuddhaṃ hiṃsā-śūnyaṃ,	kRtyam | tatra-api mriyamANEH ca kim kRtyam | tat ca SudDam hiMsA--SUnyaM,
   tatrāmṛśata yūyam | gāṃ pṛthivīm | anapekṣo niḥspṛhaḥ | nijasya śuddhi-	tatra-amRSata yUyam | gAm pRTivIm | anapekzaH niHspRhaH | nijasya SudDi-
   pūrti-kartuḥ sva-svāminaḥ kṛṣṇasya lābhena tuṣṭaḥ | tatra sabhāyām ||25||	pUrti-kartuH sva-svAminaH kRzNasya lABena tuzwaH | tatra saBAyAm ||25||
   atra yadyapi tatra śrī-vyāsa-nāradau tasyāpi guru-parama-gurū, tathāpi	atra yadi-api tatra SrI--vyAsa--nAradO tasya-api guru--parama--gurU, taTA-api
   punas	punar-
   tan-mukha-niḥsṛtaṃ śrī-bhāgavataṃ tayor apy aśrutacaram iva jātam ity evaṃ	tan--muKa--niHsRtam SrI--BAgavatam tayoH api aSruta-caram iva jAtam iti evam
   śrī-śukas tāv apy upadideśa deśyam ity abhiprāyaḥ | yad uktaṃ śuka-	SrI-SukaH tO api upadideSa deSyam iti aBiprAyaH | yat uktam Suka-
   mukhād amṛta-dravya-saṃyutam (1.1.3) iti | tasmād evam api śrī-	muKAt amRta-dravya--saMyutam (1.1.3) iti | tasmAt evam api SrI-
   bhāgavatasyaiva sarvādhikyam | mātsyādīnāṃ yat purāṇādhikyaṃ śrūyate tat	BAgavatasya-eva sarva-ADikyam | mAtsya-AdInAm yat purANa-ADikyam SrUyate tat-
   tv āpekṣikam iti | aho kiṃ bahunā, śrī-kṛṣṇa-pratinidhi-rūpam evedam |	tu Apekzikam iti | aho kim bahunA, SrI--kRzNa--pratiniDi--rUpam eva-idam |
   yata	yata
   uktaṃ prathama-skandhe--	uktam praTama-skanDe--
   kṛṣṇe sva-dhāmopagate dharma-jñānādibhiḥ saha |	kRzNe sva--DAma-upagate Darma--jQAna-AdiBiH saha |
   kalau naṣṭa-dṛśām eṣa purāṇārko 'dhunoditaḥ || (BhP 1.3.45) iti |	kalO nazwa--dRSAm eza purANa-arkaH aDunA-uditaH || (Bhj 1.3.45) iti |
   ataeva sarva-guṇa-yuktatvam asyaiva dṛṣṭaṃ dharmaḥ projjhita-kaitavo'tra	ataeva sarva--guNa--yukta-tvam asya-eva dRzwam DarmaH projJita-kEtavaH-atra
   (1.1.2) ity ādinā,	(1.1.2) iti AdinA,
   vedāḥ purāṇaṃ kāvyaṃ ca prabhur mitraṃ priyeva ca |	vedAH purANam kAvyam ca praBuH mitram priyA-iva ca |
   bodhayantīti hi prāhus trivṛd bhāgavataṃ punaḥ ||	boDayanti-iti hi prAhuH trivRt BAgavatam punar ||
   iti muktāphale hemādri-kāra-vacanena ca | tasmān manyantāṃ vā kecit	iti muktAPale hema-adri--kAra-vacanena ca | tasmAt manyantAm vA kecid-
   purāṇāntareṣu veda-sāpekṣatvaṃ śrī-bhāgavate tu tathā sambhāvanā svayam	purANa-antarezu veda--sApekza-tvam SrI--BAgavate tu taTA samBAvanA svayam
   eva nirastaity api svayam eva labdhaṃ bhavati | ataeva	eva nirasta-eti api svayam eva labDam Bavati | ataeva
   parama-śruti-rūpatvaṃ	parama--Sruti--rUpa-tvam
   tasya | yathoktam --	tasya | yaToktam --
   kathaṃ vā pāṇḍaveyasya rājarṣer muninā saha |	kaTam vA pANxaveyasya rAjarzeH muninA saha |
   saṃvādaḥ samabhūt tāta yatraiṣā sātvatī śrutiḥ || (BhP 1.4.7) iti |	saMvAdaH samaBUt tAta yatra-ezA sAtvatI SrutiH || (Bhj 1.4.7) iti |
   atha yat khalu sarvaṃ purāṇa-jātam āvirbhāvyety ādikaṃ pūrvam uktaṃ tat	aTa yat Kalu sarvam purANa--jAtam AvirBAvya-iti Adikam pUrvam uktam tat-
   tu prathama-skandha-gata-śrī-vyāsa-nārada-saṃvādenaiva prameyam ||26||	tu praTama-skanDa--gata--SrI--vyAsa--nArada--saMvAdena-eva prameyam ||26||
   BD: vaktavyaṃ yojayaty atra yadyapīty-ādinā | tasmād evam iti tad-vaktuḥ	BD: vaktavyam yojayati atra yadi-api-iti--AdinA | tasmAt evam iti tat--vaktuH
   śrī-śukasya sarva-gurutvenāpīty arthaḥ | āpekṣikam iti etad-anya-	SrI-Sukasya sarva--guru-tvena-api-iti arTaH | Apekzikam iti etat--anya-
   purāṇāpekṣayety arthaḥ | atha paramotkarṣam āha aho kim iti # ataeveti	purANa-apekzayA-iti arTaH | aTa parama-utkarzam Aha aho kim iti # ataeva-iti
   kṛṣṇa-pratinidhitvāt kṛṣṇavat sarva-guṇa-yuktatvam ity arthaḥ | priyeva	kRzNa--pratiniDi-tvAt kRzNa-vat sarva--guNa--yukta-tvam iti arTaH | priyA-iva
   kānteva | trivṛt vedādi-traya-guṇa-yuktam ity arthaḥ | tasmād iti veda-	kAntA-iva | trivRt veda-Adi-traya--guNa-yuktam iti arTaH | tasmAt iti veda-
   sāpekṣatvaṃ veda-vākyena purāṇa-prāmāṇyam ity arthaḥ | ataeveti	sa-apekza-tvam veda--vAkyena purANa--prAmANyam iti arTaH | ataeva-iti
   paramārthāvedakatvād vedāntasyeva bhāgavatasya parama-śruti-rūpatvam ity	parama-arTa-Avedaka-tvAt vedAntasya-iva BAgavatasya parama--Sruti--rUpa-tvam iti-
   arthaḥ | yatra saṃvāde | sātvatī vaiṣṇavīty arthaḥ | artheti - idaṃ	arTaH | yatra saMvAde | sAtvatI vEzNavI-iti arTaH | arTa-iti  idam
   bhagavatā	BagavatA
   pūrvam ity ādi-dvādaśokter brahma-nārāyaṇa-saṃvāda-rūpam aṣṭādaśasu	pUrvam iti Adi-dvAdaSa-ukteH brahma-nArAyaNa--saMvAda--rUpam azwAdaSasu
   madhye prakaṭitaṃ, vyāsa-nārada-saṃvāda-rūpaṃ tatraiva praveśitaṃ, tad-	maDye prakawitaM, vyAsa--nArada--saMvAda--rUpam tatra-eva praveSitaM, tat--
   ubhayasya lakṣaṇa-saṅkhye tu mātsyādāv ukte iti bodhyam ity arthaḥ | evam	uBayasya lakzaNa--saFKye tu mAtsya-AdO ukte iti boDyam iti arTaH | evam
   eva bhāratopakrame'pi dṛṣṭam | ādāv ākhyānair vinā caturviṃśati-sahasraṃ	eva BArata-upakrame-api dRzwam | AdO AKyAnEH vinA caturviMSati--sahasram
   bhārataṃ tatas taiḥ sahitaṃ pañcāśat-sahasraṃ tatas tais tato'py adhikam	BAratam tatas tEH sahitam paQcASat--sahasram tatas tEH tatas-api aDikam
   ito'py	itas-api-
   adhikam iti tadvat ||26||	aDikam iti tadvat ||26||
   tad evaṃ parama-niḥśreyasa-niścayāya śrī-bhāgavatam eva	tat evam parama--niHSreyasa--niScayAya SrI--BAgavatam eva
   paurvāparyāvirodhena vicāryate | tatrāsmin sandarbha-ṣaṭkātmake granthe	pOrvAparya-aviroDena vicAryate | tatra-asmin sandarBa-zawka-Atmake granTe
   sūtra-sthānīyam avatārikā-vākyaṃ viṣaya-vākyaṃ śrī-bhāgavata-vākyam |	sUtra-sTAnIyam avatArikA--vAkyam vizaya--vAkyam SrI--BAgavata--vAkyam |
   bhāṣya-rūpā tad-vyākhyā tu samprati madhya-deśādau vyāptān advaita-	BAzya--rUpA tat--vyAKyA tu samprati maDya--deSa-AdO vyAptAn advEta-
   vādino nūnaṃ bhagavan-mahimānam avagāhayituṃ tad-vādena karburita-	vAdinaH nUnam Bagavan-mahimAnam avagAhayitum tad--vAdena karburita-
   lipīnāṃ parama-vaiṣṇavānāṃ śrīdhara-svāmi-caraṇānāṃ śuddha-vaiṣṇava-	lipInAm parama--vEzNavAnAm SrIDara--svAmi--caraNAnAm SudDa--vEzNava-
   siddhāntānugatā cet tarhi yathāvad eva vilikhyate | kvacit teṣām	sidDAnta-anugatA ced tarhi yaTAvat eva viliKyate | kvacid tezAm
   evānyatra-	eva-anyatra-
   dṛṣṭa-vyākhyānusāreṇa draviḍādi-deśa-vikhyāta-parama-bhāgavatānāṃ	dRzwa--vyAKyA-anusAreNa dravixa-Adi-deSa--viKyAta--parama--BAgavatAnAm
   teṣām eva bāhulyena tatra vaiṣṇavatvena prasiddhatvāt | śrī-bhāgavata eva,	tezAm eva bAhulyena tatra vEzNava-tvena prasidDa-tvAt | SrI--BAgavataH eva,
   kvacit kvacin mahārāja draviḍeṣu ca bhūriśaḥ (BhP 11.5.39) ity anena	kvacid kvacid mahA-rAja dravixezu ca BUriSas (Bhu 11.5.39) iti anena
   prathita-mahimnāṃ sākṣāc chrī-prabhṛtitaḥ pravṛtta-sampradāyānāṃ śrī-	praTita--mahimnAm sAkzAt SrI--praBRtitaH pravRtta--sampradAyAnAm SrI-
   vaiṣṇavābhidhānāṃ śrī-rāmānuja-bhagavat-pāda-viracita-śrī-bhāṣyādi-	vEzNava-aBiDAnAm SrI-rAma-anuja--Bagavat--pAda--viracita---SrI--BAzya-Adi-
   dṛṣṭa-mata-prāmāṇyena mūla-grantha-svārasyena cānyathā ca | advaita-	dRzwa--mata--prAmANyena mUla-granTa-svArasyena ca-anyaTA ca | advEta-
