   folios 1-4 are missing	folioH 1-4 are missing
   nāgo 'bhipravarṣati smāntaśaḥ ekabindur api buddhabalādhiṣṭhānena //	nAgaH aBipravarzati sma-antaSas eka-binduH api budDa-bala-aDizWAnena //
   tena khalu punaḥ samayena catvāro mahāśrāvakāḥ pūrvāhṇe nivāsya	tena Kalu punar samayena catvAraH mahA-SrAvakAH pUrvAhNe nivAsya
   pātracīvaram ādāya rājagṛhaṃ mahānagaraṃ piṇḍāya praviviśuḥ / āyuṣmāñ	pAtra-cIvaram AdAya rAja-gRham mahA-nagaram piNxAya praviviSuH / AyuzmAn-
   chāriputro dakṣiṇena nagaradvāreṇa rājagṛhaṃ mahānagaraṃ piṇḍāya praviveśa	CAriputraH dakziNena nagara-dvAreNa rAja-gRham mahA-nagaram piNxAya praviveSa
   / (Kurumiya 63) tatra ca nagare paṃcāśan mārakumārakāḥ paramayauvanasurūpā	/ (Kurum-iya 63) tatra ca nagare paMcASat mAra-kumArakAH parama-yOvana-surUpA
   mahātmaputraveśasadṛśā nṛtyaṃto gāyantaḥ saṃceruḥ / ta āyuṣmantaṃ	mahAtma-putra-veSa-sadRSAH nRtyaMtaH gAyantaH saMceruH / te Ayuzmantam
   śāriputram ubhābhyāṃ pāṇibhyāṃ gṛhītvā vīthyāṃ dhāvanti sma / nṛtyanto	SAriputram uBAByAm pANiByAm gRhItvA vITyAm DAvanti sma / nRtyantaH-
   gāyantaḥ śāriputram evam āhuḥ / nartasva śramaṇa gāyasva śramaṇa /	gAyantaH SAriputram evam AhuH / nartasva SramaNa gAyasva SramaNa /
   śāriputra āha / śṛṇuta yūyaṃ mārṣāḥ svayam / aśrutapūrvāṃ gītikāṃ	SAriputraH Aha / SRNuta yUyam mArzAH svayam / aSruta-pUrvAm gItikAm
   śrāvayiṣyāmi / te ca sarve mārakumārakā dhāvanto gītasvareṇa saha	SrAvayizyAmi / te ca sarve mAra-kumArakAH DAvantaH gIta-svareNa saha
   śāriputreṇaivam āhuḥ /	SAriputreNa-evam AhuH /
   alam eva hi āyatanehi vaṃcite ā vayam āyatanehi /	alam eva hi Ayatana-ihi vaMcite A vayam Ayatana-ihi /
   āghatanāni hi āyatanāni antu karomy ahu āyatanānām // RKP_3.23	AGatanAni hi AyatanAni antu karomi ahu AyatanAnAm // RKc-_3.23
   alam eva hi skandhakṛtehi vaṃcite ā vaya skandhakṛtehi /	alam eva hi skanDa-kRtA-ihi vaMcite A vaya skanDa-kRtA-ihi /
   āghatanāni hi skandhakṛtāni antu karomy ahu skandhakṛtānām // RKP_3.24	AGatanAni hi skanDa-kRtAni antu karomi ahu skanDa-kRtAnAm // RKc-_3.24
   tadyathā	tat-yaTA
   bahara 2 bahara 3 bhāra 4 baha 5 marīcibaha 6 satyabaha 7 āmabaha 8 svāhā	bahara 2 bahara 3 BAraH 4 baha 5 marIci-baha 6 satya-baha 7 Ama-baha 8 svAhA
   sthaviraḥ śāriputro dhāvan gītasvareṇeme gāthe imāni ca mantrapadāni	sTaviraH SAriputraH DAvan gIta-svareNa-ime gATe imAni ca mantra-padAni
   bhāṣate sma /	BAzate sma /
   atha te paṃcāśan mārakumārakāḥ paramahṛṣṭāḥ suprasannamanasa evam āhuḥ /	aTa te paMcASan mAra-kumArakAH parama-hRzwAH su-prasanna-manasaH evam AhuH /
   (Kurumiya 64)	(Kurum-iya 64)
   kṣamāpayāmo vayam adya nāthaṃ tvām eva bandhuṃ jagataḥ sudeśakaṃ /	kzamApayAmaH vayam adya nATam tvAm eva banDum jagataH su-deSakam /
   skandhā yathā te sabhayāḥ pradiṣṭhās tathā vayaṃ sākṣiṇa eṇu nityam //	skanDAH yaTA te sa-BayAH pradizWAH taTA vayam sAkziNaH eNu nityam //
   RKP_3.25	RKc-_3.25
   sarve ca te śāriputrasya vīthīmadhye pādau śirasābhivandya purato nyaṣedur	sarve ca te SAriputrasya vITI-maDye pAdO SirasA-aBivandya puratas nyazeduH-
   dharmaśravaṇāya //	Darma-SravaNAya //
   atha khalv āyuṣmān mahāmaudgalyāyanaḥ pūrveṇa nagaradvāreṇa rājagṛhe	aTa Kalu AyuzmAn mahAmOdgalyAyanaH pUrveNa nagara-dvAreNa rAjagRhe
   mahānagare piṇḍāya prāviśat / tathāpi paṃcāśan mārakumārakāḥ yāvad	mahA-nagare piNxAya prAviSat / taTA-api paMcASat mAra-kumArakAH yAvat-
   gītasvareṇaivam āhuḥ /	gIta-svareNa-evam AhuH /
   alam eva hi dhātumayehi vaṃcite ā vaya dhātumayehi /	alam eva hi DAtu-maya-ihi vaMcite A vaya DAtu-maya-ihi /
   āghatanāni hi dhātumayāni antu karomy ahu dhātumayānām // RKP_3.26	AGatanAni hi DAtu-mayAni antu karomi ahu DAtu-mayAnAm // RKc-_3.26
   alam eva hi vedayitebhi vaṃcite ā vaya vedayitebhi /	alam eva hi vedayiteBi vaMcite A vaya vedayiteBi /
   āghatanāni hi vedayitāni antu karomy ahu vedayitānām // RKP_3.27	AGatanAni hi vedayitAni antu karomi ahu vedayitAnAm // RKc-_3.27
   alam eva hi cetayitehi vaṃcite ā vaya cetayitehi /	alam eva hi cetayitehi vaMcite A vaya cetayitehi /
   āghatanāni hi cetayitāni antu karomy ahu cetayitānām // RKP_3.28	AGatanAni hi cetayitAni antu karomi ahu cetayitAnAm // RKc-_3.28
   alam eva hi saṃjñakṛtehi vaṃcite yā vaya saṃjñakṛtehi /	alam eva hi saMjQa-kRtA-ihi vaMcite yAH vaya saMjQa-kRtA-ihi /
   āghatanāni hi saṃjñakṛtāni antu karomy ahu saṃjñakṛtānām // RKP_3.29	AGatanAni hi saMjQa-kRtAni antu karomi ahu saMjQa-kRtAnAm // RKc-_3.29
   (Kurumiya 65)	(Kurum-iya 65)
   alam eva hi saṃsaritehi vaṃcite yā vaya saṃsaritehi /	alam eva hi saMsarite-hi vaMcite yAH vaya saMsarite-hi /
   āghatanāni hi saṃsaritāni antu karomy ahu saṃsaritānām // RKP_3.30	AGatanAni hi saMsaritAni antu karomi ahu saMsaritAnAm // RKc-_3.30
   tadyathā	tat-yaTA
   āmava 2 āmava 3 āmava 4 āmava 5 / āraja 6 ranajaha 7 / śamyatha 8 śamyatha	Amava 2 AmavaH 3 AmavaH 4 Amava 5 / Araja 6 ranajaha 7 / SamI-aTa 8 SamI-aTa
   9 śamyatha 10 / gaganavama 11 svāhā 12 //	9 SamI-aTa 10 / gagana-vamaH 11 svAhA 12 //
   dhāvan gītasvareṇāyuṣmān mahāmaudgalyāyano māraputrebhya imā gāthā imāni	DAvan gIta-svareNa-AyuzmAn mahAmOdgalyAyanaH mAra-putreByaH imAH gATAH imAni
   ca mantrapadāni bhāṣate sma / atha te paṃcāśan mārakumārakāḥ paramahṛṣṭāḥ	ca mantra-padAni BAzate sma / aTa te paMcASan mAra-kumArakAH parama-hRzwAH
   suprasannamanasa evam āhuḥ /	su-prasanna-manasaH evam AhuH /
   ṛddhyānvitāryapathagupta munīndrasūno	RdDyA-anvitAri-apaTagupta muni-indra-sUno
   saṃsāradoṣasamadarśaka dharmadīpa /	saMsAra-doza-sama-darSaka Darma-dIpaH /
   pāpaṃ prahāya vayam ādarabhaktijātā	pApam prahAya vayam Adara-Bakti-jAtA
   buddhaṃ gatā dya śaraṇaṃ varadharmasaṃghaṃ // RKP_3.31	budDam gatAH dya SaraNam vara-Darma-saMGam // RKc-_3.31
   sarve te paṃcāśan mārakumārakā vīthīmadhye āyuṣmato maudalyāyanasya pādau	sarve te paMcASat mArakumArakAH vITI-maDye AyuzmataH mOdalyAyanasya pAdO
   śirasābhivandya tasyaiva purato nyaṣedur dharmaśravaṇāya //	SirasA-aBivandya tasya-eva puratas nyazeduH Darma-SravaNAya //
   athāyuṣmān pūrṇo maitrāyaṇiputra uttareṇa nagaradvāreṇa piṇḍāya (Kurumiya	aTa-AyuzmAn pUrNaH mEtrAyaNi-putraH uttareNa nagara-dvAreNa piNxAya (Kurum-iya
   66) prāviśat / yāvad gītasvareṇaivam āhuḥ /	66) prAviSat / yAvat gIta-svareNa-evam AhuH /
   alam eva hi sparśakṛtehi vaṃcite yā vaya sparśakṛtehi /	alam eva hi sparSa-kRta-ihi vaMcite yAH vaya sparSa-kRtA-ihi /
   āghatanāni hi sparśakṛtāni antu karomy ahu sparśakṛtānām // RKP_3.32	AGatanAni hi sparSa-kRtAni antu karomi ahu sparSa-kRtAnAm // RKc-_3.32
   alam eva hi ādhipatehi vaṃcite yā vayam ādhipatehi /	alam eva hi ADipata-ihi vaMcite yAH vayam ADipata-ihi /
   āghatanāni hi ādhipatīni antu karomy ahu ādhipatīnām // RKP_3.33	AGatanAni hi ADipatIni antu karomi ahu ADipatInAm // RKc-_3.33
   alam eva hi saṃsaritehi vaṃcite yā vaya saṃsaritehi /	alam eva hi saMsarite-hi vaMcite yAH vaya saMsarite-hi /
   āghatanāni hi saṃsaritāni antu karomy ahu saṃsaritānām // RKP_3.34	AGatanAni hi saMsaritAni antu karomi ahu saMsaritAnAm // RKc-_3.34
   alam eva hi sarvabhavehi vaṃcite yā vaya sarvabhavehi /	alam eva hi sarva-Bava-ihi vaMcite yAH vaya sarva-Bava-ihi /
   āghatanāni hi sarvabhavāni antu karomy ahu sarvabhavānām // RKP_3.35	AGatanAni hi sarva-BavAni antu karomi ahu sarva-BavAnAm // RKc-_3.35
   laghu gacchati āyu mārṣāḥ salilā śīghrajavena veginī /	laGu gacCati Ayu mArzAH salilA SIGra-javena veginI /
   na ca jānati bāliśo jano abudho rūpamadena mattakaḥ // RKP_3.36	na ca jAnati bAliSaH janaH abuDaH rUpa-madena mattakaH // RKc-_3.36
   peyālam /	peyAlam /
   abudhaḥ śabdamadena mattakaḥ // RKP_3.37	abuDaH Sabda-madena mattakaH // RKc-_3.37
   abudho gandhamadena mattakaḥ // RKP_3.38	abuDaH ganDa-madena mattakaH // RKc-_3.38
   abudho rasamadena mattakaḥ // RKP_3.39	abuDaH rasa-madena mattakaH // RKc-_3.39
   abudhaḥ sparśamadena mattakaḥ // RKP_3.40	abuDaH sparSa-madena mattakaH // RKc-_3.40
   (Kurumiya 67)	(Kurum-iya 67)
   laghu gacchati āyu mārṣāḥ salilā śīghrajavena veginī /	laGu gacCati Ayu mArzAH salilA SIGra-javena veginI /
   na ca paśyati bāliśo jano abudho dharmamadena mattakaḥ // RKP_3.41	na ca paSyati bAliSaH janaH abuDaH Darma-madena mattakaH // RKc-_3.41
   abudhaḥ skandhamadena mattakaḥ // RKP_3.42	abuDaH skanDa-madena mattakaH // RKc-_3.42
   abudho dhātumadena mattakaḥ // RKP_3.43	abuDaH DAtu-madena mattakaH // RKc-_3.43
   abudho bhogamadena mattakaḥ // RKP_3.44	abuDaH Boga-madena mattakaH // RKc-_3.44
   abudhaḥ saukhyamadena mattakaḥ // RKP_3.45	abuDaH sOKya-madena mattakaH // RKc-_3.45
   abudho jātimadena mattakaḥ // RKP_3.46	abuDaH jAti-madena mattakaH // RKc-_3.46
   abudhaḥ kāmamadena mattakaḥ // RKP_3.47	abuDaH kAma-madena mattakaH // RKc-_3.47
   laghu gacchati āyu mārṣāḥ salilā śīghrajavena veginī /	laGu gacCati Ayu mArzAH salilA SIGra-javena veginI /
   na ca jānati bāliśo jano abudhaḥ sarvamadena mattakaḥ // RKP_3.48	na ca jAnati bAliSaH janaH abuDaH sarva-madena mattakaH // RKc-_3.48
   tadyathā	tat-yaTA
   khargava 2 khargava 3 khargava 4 mujñini 5 / āvarta 6 vivarta 7 / khavarta	KargavaH 2 KargavaH 3 KargavaH 4 mujQini 5 / Avarta 6 vivarta 7 / Kavarta
   8 bramārtha 9 jyotivarta 10 / svāhā 11 //	8 brama-arTa 9 jyotivarte 10 / svAhA 11 //
   athāyuṣmān pūrṇo dhāvan gītasvareṇa māraputrebhyaḥ imā gāthā imāni ca	aTa-AyuzmAn pUrNaH DAvan gIta-svareNa mAra-putreByaH imAH gATAH imAni ca
   mantrapadāni bhāṣate sma / atha te paṃcāśan mārakumārakāḥ paramahṛṣṭāḥ	mantra-padAni BAzate sma / aTa te paMcASan mAra-kumArakAH parama-hRzwAH
   suprasannamanasa evam āhuḥ /	su-prasanna-manasaH evam AhuH /
   tvayopadiṣṭaḥ khalu śāntimārgo māyāmarīcipratimāś ca dhātavaḥ /	tvayA-upadizwaH Kalu SAnti-mArgaH mAyA-marIci-pratimAH ca DAtavaH /
   saṃkalpamātrajanito vata jīvaloko ratnatrayaṃ hi śaraṇaṃ varadaṃ vrajāmaḥ	saMkalpa-mAtra-janitaH vata jIva-lokaH ratna-trayam hi SaraNam vara-dam vrajAmaH
   // RKP_3.49	// RKc-_3.49
   (Kurumiya 68)	(Kurum-iya 68)
   sarve te paṃcāśan mārakumārakāḥ āyuṣmataḥ pūrṇasya pādau śirasābhivandya	sarve te paMcASan mAra-kumArakAH AyuzmataH pUrNasya pAdO SirasA-aBivandya
   vīthīmadhye tasya purato niṣaṇṇā dharmaśravaṇāya //	vITI-maDye tasya puratas nizaNNAH Darma-SravaNAya //
   tena ca samayenāyuṣmān subhūtiḥ paścimena nagaradvāreṇa rājagṛhaṃ	tena ca samayena-AyuzmAn suBUtiH paScimena nagara-dvAreNa rAja-gRham
   mahānagaraṃ piṇḍāya prāviśat / tatra ca nagaradvāre paṃcāśan mārakumārakāḥ	mahA-nagaram piNxAya prAviSat / tatra ca nagara-dvAre paMcASan mAra-kumArakAH
   paramayauvanasurūpā mahātmaputraveṣadhāriṇo nṛtyaṃto gāyanto viceruḥ / ta	parama-yOvana-surUpAH mahAtma-putra-veza-DAriNaH nRtyaMtaH gAyantaH viceruH / ta
   āyuṣmantaṃ subhūtim ubhābhyāṃ pāṇibhyāṃ gṛhya vīthyāṃ dhāvanta āyuṣmantaṃ	Ayuzmantam suBUtim uBAByAm pANiByAm gRhya vITyAm DAvantaH Ayuzmantam
   subhūtim evam āhuḥ / nartasva śramaṇa gāyasva śramaṇa / subhūtir āha /	suBUtim evam AhuH / naRtasva SramaNa gAyasva SramaNa / suBUtiH Aha /
   śṛṇuta mārṣā yūyam aśrutapūrvāṃ gītikāṃ śrāvayiṣyāmi / sarve cālpaśabdā	SRNuta mArzAH yUyam aSruta-pUrvAm gItikAm SrAvayizyAmi / sarve ca-alpa-SabdA
   abhūvan / dhāvan gītasvareṇāyuṣmān subhūtir evam āhuḥ /	aBUvan / DAvan gIta-svareNa-AyuzmAn suBUtiH evam AhuH /
   anitya sarvabhāva māyabudbudopama	anitya sarva-BAva mAya-budbuda-upama
   anityam asti saṃskṛte kvacic calātmake /	anityam asti saMskRte kvacid cala-Atmake /
   yathā marīci dṛṣṭanaṣṭa nāsti tatra śāśvataṃ	yaTA marIci dRzwa-nazwa na-asti tatra SASvatam
   laghuvyayā hi sarvadharma buddhimān prajānate // RKP_3.50	laGu-vyayAH hi sarva-Darma budDimAn prajAnate // RKc-_3.50
   (Kurumiya 69)	(Kurum-iya 69)
   sarvasparśa duḥkhabhāra vedanā nirātmikā	sarva-sparSa duHKa-BAra vedanA nirAtmikA
   yatra prasakta sarvabāla duḥkhadharmapīḍitā /	yatra prasakta sarva-bAla duHKa-Darma-pIxitA /
   mitraṃ na kaścid asti sarvaduḥkhamocaka	mitram na kaScid asti sarva-duHKa-mocaka
   yathā hi śraddha bodhimārga bhāvanā ca sevitā // RKP_3.51	yaTA hi SradDa boDimArga BAvanA ca sevitAH // RKc-_3.51
   ekalakṣa sarvadharma saṃjñavarjitāḥ śubhā	eka-lakza sarva-Darma saMjQa-varjitAH SuBA
   nirātmayoga sarvacarya 'dravyalakṣaṇātmikā /	nirAtma-yoga sarva-caryaH adravya-lakzaNa-AtmikA /
   na jīvapoṣa pudgalo 'pi kārako na vidyate	na jIvapoza pudgalaH api kArakaH na vidyate
   tyajitva māraśāṭhya bodhi citta nāmaye // RKP_3.52	tyajitva mAra-SAWya boDi citta nAmaye // RKc-_3.52
   vijñānu vartate 'ndriyeṣu vidyutā yathā nabhe	vijQA-anu vartate andriyezu vidyutA yaTA naBe
   anātmakāś ca sarvasparśavedanā pi cetanā /	anAtmakAH ca sarva-sparSa-vedanA pi cetanA /
   yoniśo nirīkṣa kiṃcid asti naiva dravyataḥ	yoniSas nirIkza kiMcid asti na-eva dravyataH
   saṃmohito hi bālavargu yaṃtravat pravartate // RKP_3.53	saMmohitaH hi bAla-vargu yaMtra-vat pravartate // RKc-_3.53
   skandha sarve yoniśo vibhāvya kārako na labhyate	skanDa sarve yoniSas viBAvya kArakaH na laByate
   bhūtakoṭi śānta śūnya sarva-antavarjitā /	BUtakowi SAnta SUnya sarva--anta-varjitA /
   (Kurumiya 70)	(Kurum-iya 70)
   amohadharmataiṣa ukta bodhimārgacārikā	amoha-Darma-tA-ezaH ukta boDi-mArga-cArikA
   nayāhi nāyakena bodhi prāpta tāyina // RKP_3.54	nayAhi nAyakena boDi prApta tAyinaH // RKc-_3.54
   tadyathā /	tat-yaTA /
   sumunde 2 vimunde 3 munda 4 jahi 5 / sili 6 sili 7 sili 8 / avasili 9	su-munde 2 vimunde 3 munda 4 jahi 5 / sili 6 sili 7 sili 8 / avasili 9
   tathātvasili 11 bhūtakoṭisili 12 svāhā 13 //	taTA-tvasili 11 BUtakowi-sili 12 svAhA 13 //
   athāyuṣmān subhūtir dhāvan gītasvareṇemā gāthā imāni ca mantrapadāni	aTa-AyuzmAn suBUtiH DAvan gIta-svareNa-imAH gATAH imAni ca mantra-padAni
   bhāṣate sma / atha te paṃcāśan mārakumārakāḥ paramahṛṣṭāḥ prasannamanasaḥ	BAzate sma / aTa te paMcASan mAra-kumArakAH parama-hRzwAH prasanna-manasaH
   evam āhuḥ /	evam AhuH /
   aśrutvā hīdṛśān dharmān pāpamitravaśānugaiḥ /	aSrutvA hi-IdRSAn DarmAn pApa-mitra-vaSa-anugEH /
   yat kṛtaṃ pāpakaṃ karmamohāvidyānvitendriyaiḥ // RKP_3.55	yat kRtam pApakam karma-moha-avidyA-anvita-indriyEH // RKc-_3.55
   pratideśya tad adyaiva vayaṃ sākṣāj jinātmajā /	pratideSya tat adya-eva vayam sAkzAt jina-AtmajA /
   praṇidhānaṃ śubhaṃ kurmo buddhatvāya jagaddhitāḥ // RKP_3.56	praNiDAnam SuBam kurmaH budDa-tvAya jagat-hitAH // RKc-_3.56
   sarve te paṃcāśan mārakumārakā āyuṣmataḥ subhūteḥ pādau śirasābhivandya	sarve te paMcASat mAra-kumArakAH AyuzmataH suBUteH pAdO SirasA-aBivandya
   tasyaiva purato vīthīmadhye nyaṣīdur dharmaśravaṇāya //	tasya-eva puratas vITI-maDye nyazIduH Darma-SravaNAya //
   tena khalu punaḥ samayena sā vīthī buddhānubhāvena	tena Kalu punar samayena sA vITI budDa-anuBAvena
   yojanaśatavistīrṇāvakāśaṃ saṃdṛśyate sma / tatra ca vīthīmadhye sthaviraḥ	yojana-Sata-vistIrNa-avakASam saMdRSyate sma / tatra ca vITI-maDye sTaviraH
   śāriputra uttarāmukho (Kurumiya 71) niṣaṇṇaḥ / mahāmaudgalyāyanaḥ	SAriputraH uttarAmuKaH (Kurum-iyaH 71) nizaNNaH / mahAmOdgalyAyanaH
   paścāmukho niṣaṇṇaḥ / pūrṇo dakṣiṇāmukhaḥ / subhūtiḥ pūrvāmukhaḥ /	paScAmuKaH nizaNNaH / pUrNaH dakziNAmuKaH / suBUtiH pUrvAmuKaH /
   parasparam ardhayojanapramāṇena tasthuḥ / teṣāṃ ca caturṇāṃ mahāśrāvakāṇāṃ	parasparam arDa-yojana-pramANena tasTuH / tezAm ca caturNAm mahA-SrAvakANAm
   madhye pṛthivīpradeśasya padmaṃ prādur abhavat paṃcāśad dhastavistāraṃ	maDye pRTivI-pradeSasya padmam prAdur aBavat paMcASat Dasta-vistAram
   jāṃbūnadamayena daṇḍena nīlavaiḍūryamayaiḥ partaiḥ śrīgarbhamayena	jAMbUnada-mayena daNxena nIla-vExUrya-mayEH partEH SrI-garBa-mayena
   kesareṇa muktāmayyā karṇikayā / tataś ca padmān mahān avabhāso 'bhavat /	kesareNa muktA-mayyA karNikayA / tatas ca padmAn mahAn avaBAsaH aBavat /
   tasyāṃ ca vīthyāṃ tat padmaṃ tṛpauruṣam uccatvena saṃdṛśyate sma yāvac	tasyAm ca vITyAm tat padmam tRpOruzam ucca-tvena saMdRSyate sma yA-avat-
   caturmahārājakāyikeṣu deveṣu tat padmaṃ divyāni paṃcāśad yojanāny	catur-mahA-rAja-kAyikezu devezu tat padmam divyAni paMcASat yojanAni-
   uccatvena saṃdṛśyate sma / trayastriṃśatsu tat padmaṃ yojanaśatam	ucca-tvena saMdRSyate sma / trayastriMSatsu tat padmam yojana-Satam
   uccatvena saṃdṛśyate sma yāvad akaniṣṭheṣu deveṣu tat padmam ardhayojanam	ucca-tvena saMdRSyate sma yAvat akanizWezu devezu tat padmam arDa-yojanam
   uccatvena saṃdṛśyate sma / tasya ca padmasya patrebhyo nānārthapadāḥ ślokā	ucca-tvena saMdRSyate sma / tasya ca padmasya patreByaH nAnA-arTa-padAH SlokA
   niśceruḥ / ye sattvā iha bhūmau sthitās tā imāṃ chlokāñ chuśruvuḥ //	niSceruH / ye sattvAH iha BUmO sTitAH tAH imAm ClokAn CuSruvuH //
   (Kurumiya 72)	(Kurum-iya 72)
   ekapudgala utpanno buddhakṣetra ihānaghaḥ /	eka-pudgalaH utpannaH budDa-kzetraH iha-anaGaH /
   nihato māra ekena sasainyabalavāhanaḥ // RKP_3.57	nihataH mAraH ekena sa-sEnya-bala-vAhanaH // RKc-_3.57
   ekena buddhavīryeṇa dharmacakraṃ pravartitaṃ /	ekena budDa-vIryeNa Darma-cakram pravartitam /
   ekākīha jagaddhetor āyāsyati na saṃśayaḥ // RKP_3.58	ekAkI-iha jagat-hetoH AyAsyati na saMSayaH // RKc-_3.58
   vidvāṃsau bahunītiśāstrakuśalau dharmārthamokṣārthikau	vidvAMsO bahunIti-SAstra-kuSalO Darma-arTa-mokza-arTikO
   nītijñāv upatiṣyakaulitavarau śāstrā vinītāv iha /	nIti-jQO upatizya-kOlita-varO SAstrAH vinItO iha /
   vidvāṃ sarvajagaddhitārthakuśalaḥ saddharmavādī mahān	vidvAm sarva-jagat-hita-arTa-kuSalaH sat-Darma-vAdI mahAn
   neṣyaty adya sa sarvalokamahito vādipradhāno muniḥ // RKP_3.59	na-izyati adya sa sarva-lokam-ahitaH vAdi-praDAnaH muniH // RKc-_3.59
   tryadhvajñānasudeśakaḥ śramaṇarāṭ chikṣātrayodbhāvakas	tri-aDva-jQAna-sudeSakaH SramaNa-rAj CikzA-traya-udBAvakas
   trātā vai sanarāmarasya jagato dharmāprameyārthavit /	trAtA vE sa-nara-amarasya jagataH Darma-aprameya-arTa-vid /
   lokasyārthahitapracārakuśalo jñānapradīpo mahān	lokasya-arTa-hita-pracAra-kuSalaH jQAna-pradIpaH mahAn
   sadvādī tṛmalaprahīṇa iha so adyaiva saṃgāsyati // RKP_3.60	sat-vAdI tRmala-prahINaH iha saH adya-eva saMgAsyati // RKc-_3.60
   lokārtham aśrāntamatiś cacāra duḥkhārditaṃ sarvajagad vimocayan /	loka-arTam aSrAnta-matiH cacAra duHKa-arditam sarva-jagat vimocayan /
   avidyayā nīvṛtalocanānāṃ saddharmacakṣuḥ pradadau yathāvat // RKP_3.61	avidyayA nIvRta-locanAnAm sadDarmacakzuH pradadO yaTAvat // RKc-_3.61
   (Kurumiya 73)	(Kurum-iya 73)
   sarvāvatīyaṃ pariṣat samāgatā na cirād ihāyāsyati vādisiṃhaḥ /	sarvAvatIyam parizad samAgatAH na cirAt iha-AyAsyati vAdi-siMhaH /
   paramārthadarśī paramaṃ surūpo balair upeto hi parāparajñaḥ // RKP_3.62	parama-arTa-darSI paramam surUpaH balEH upetaH hi para-apara-jQaH // RKc-_3.62
   dṛṣṭvā jagad duḥkhamahārṇavastham āhaṃtum āyāsyati dharmadundubhim /	dRzwvA jagat duHKa-mahA-arNava-sTam AhaMtum AyAsyati Darma-dunduBim /
   ṣaḍindriyair uttamasaṃvarasthaḥ ṣaḍāśrayaś ca ṣaḍabhijñakovidaḥ //	zaz-indriyEH uttama-saMvara-sTaH zaz-ASrayaH ca zaz-aBijQa-kovidaH //
   RKP_3.63	RKc-_3.63
   ṣaṭsāradharmottamadeśanāyai ṣaḍbīja āyāsyati vādisiṃhaḥ /	zawsAra-Darma-uttama-deSanAyE zaxbIjaH AyAsyati vAdi-siMhaH /
   ṣaḍindriyagrāmaviheṭanāya ṣaḍuttamārthasmṛtisārathīndraḥ // RKP_3.64	zaz-indriya-grAma-vihewanAya zaz-uttama-arTa-smRti-sAraTi-indraH // RKc-_3.64
   yāvat ṣaṭsu kāmāvacareṣu deveṣu tataḥ padmād imā gāthā niśceruḥ /	yAvat zawsu kAma-avacarezu devezu tatas padmAt imAH gATAH niSceruH /
   yūyaṃ samagrā ratim adya bhuṃjatha pramattacittāḥ madatṛṣṇasaṃvṛtāḥ /	yUyam samagrAH ratim adya BuMjaTa pramatta-cittAH mada-tRzNa-saMvRtAH /
   sadā vimūḍhā ratipānamattā na pūjayadhvaṃ sugataṃ pramādāt // RKP_3.65	sadA vimUXA rati-pAna-mattAH na pUjayaDvam sugatam pramAdAt // RKc-_3.65
   (Kurumiya 74)	(Kurum-iya 74)
   kāmā anityā dagacandrasannibhāḥ saṃsārapāśo 'tidṛḍhaḥ prajāyāḥ /	kAmAH anityAH daga-candra-sanniBAH saMsAra-pASaH ati-dRXaH prajAyAH /
   aniḥsṛtānāṃ ratiṣu pramādināṃ na nirvṛtir jātu punar bhaviṣyati //	aniHsRtAnAm ratizu pramAdinAm na nirvRtiH jAtu punar Bavizyati //
   RKP_3.66	RKc-_3.66
   sadā pramattā na śamāya yuktā na paśyata prāksukṛtaṃ śubhāśubhaṃ /	sadA pramattA na SamAya yuktA na paSyata prAc-sukRtam SuBa-aSuBam /
   jarārujāmṛtyubhayaiḥ parītā apāyabhūmiprasṛtāś ca yūyaṃ // RKP_3.67	jarA-rujA-mRtyu-BayEH parItAH apAya-BUmi-prasRtAH ca yUyam // RKc-_3.67
   dānaṃ damaṃ saṃyamam apramādaṃ niṣevata prāksukṛtaṃ ca rakṣata /	dAnam damam saMyamam apramAdam nizevata prAc-sukRtam ca rakzata /
   utsṛjya kāmān aśucīn durantān upasaṃkramadhvaṃ sugataṃ śaraṇyaṃ //	utsRjya kAmAn aSucIn durantAn upasaMkramaDvam sugatam SaraNyam //
   RKP_3.68	RKc-_3.68
   gatvā ca tasmād vacanaṃ śṛṇudhvaṃ subhāṣitaṃ tad dhi mahārthikaṃ ca /	gatvA ca tasmAt vacanam SRNuDvam su-BAzitam tat Di mahArTikam ca /
   prajñāvimuktipraśamāya hetuḥ saddharmayuktaṃ śravaṇe mahārthaṃ // RKP_3.69	prajQA-vimukti-praSamAya hetuH sadDarma-yuktam SravaNe mahArTam // RKc-_3.69
   yāvat ṣoḍaśasu devanikāyeṣu tasya padmasya patrebhyaḥ imā evaṃrūpā gāthā	yAvat zoxaSasu deva-nikAyezu tasya padmasya patreByaH imAH evaMrUpA gATA
