   (PSP_6 8:1)	(PSu _6 8:1)
   vāyatanāni vā nāsty atra svapno na svapnasya draṣṭā, na pratiśrutkā na	vAyatanAni vA na asti atra svapnaH na svapnasya drazwA, na pratiSrutkA na
   pratiśrutkāyā draṣṭā, na pratibhāso na pratibhāsasya draṣṭā, na	pratiSrutkAyAH drazwA, na pratiBAsaH na pratiBAsasya drazwA, na
   pratibiṃbaṃ na pratibiṃbasya draṣṭā, na marīcir na marīcyā draṣṭā, na	pratibiMbam na pratibiMbasya drazwA, na marIciH na marIcyA drazwA, na
   māyāṃ na māyāyā draṣṭā, na nirmitako na nirmitakasya draṣṭā, na	mAyAm na mAyAyAH drazwA, na nirmitakaH na nirmitakasya drazwA, na
   gandharvanagaraṃ na gandharvanagarasya draṣṭā, 'pi tu sarva ete dharmā	ganDarvanagaram na ganDarvanagarasya drazwA, api tu sarve ete DarmA
   avastukā abhāvasvabhāvās tatra bhavanto 'skandhe skandhasaṃjñinaḥ,	avastukAH aBAva svaBAvAH tatra BavantaH askanDe skanDa saMjQinaH,
   adhātuṣu dhātusaṃjñino 'nāyataneṣv āyatanasaṃjñinaḥ, api tu khalu punaḥ	aDAtuzu DAtu saMjQinaH anAyatanezu Ayatana saMjQinaH, api tu Kalu punar 
   pratītyasamutpannā ete sarvadharmā viparyāsasamutthitāḥ	pratItyasamutpannAH ete sarva DarmAH viparyAsa samutTitAH
   karmavipākaparigṛhītāḥ, kiṃ punar yūyam avastukeṣu dharmeṣu vastusaṃjñām	karma vipAka parigRhItAH, kim punar yUyam avastukezu Darmezu vastu saMjQAm
   utpādayathaivaṃ bodhisattvo mahāsattvaḥ prajñāpāramitāyāṃ caran ye	utpAda yaTa evam boDisattvaH mahAsattvaH prajQApAramitAyAm caran ye
   matsariṇaḥ sattvās tān mātsaryān nivartayati, dānapāramitāyāṃ ca	matsariNaH sattvAH tAn mAtsaryAt nivartayati, dAna pAramitAyAm ca
   niyojayati, teṣāñ ca sa dānaparityāgo mahābhogatāyai saṃvartate, sa tāṃs	niyojayati, tezAn ca sa dAna parityAgaH mahA Boga tAyE saMvartate, sa tAn= 
   tata uccālya śīle niyojayati, teṣāṃ sa śīlasamādānajaḥ puṇyaskandhaḥ	tatas uccAlya SIle niyojayati, tezAm sa SIla samAdAna jaH puNya skanDaH
   svargopapattaye bhavati, sa tāṃs tata uccālya samādhau niyojayati sa teṣāṃ	svarga upapattaye Bavati, sa tAn tatas uccAlya samADO niyojayati sa tezAm
   samāpattijaḥ puṇyaskandho brahmalokopapāttaye bhavati, evaṃ prathamād	samApatti jaH puNya skanDaH brahma loka upapAttaye Bavati, evam praTamAd
   dhyānād dvitīye dhyāne dvitīyād dhyānāt tṛtīye dhyāne tṛtīyād dhyānāc	DyAnAt dvitIye DyAne dvitIyAt DyAnAt tRtIye DyAne tRtIyAt DyAnAt 
   caturthe dhyāne caturthād dhyānād ūrdhvam ākāśānantyāyatanasamāpattau	caturTe DyAne caturTAt DyAnAt UrDvam AkASa Anantya Ayatana samApattO
   vijñānānantyāyatanasamāpattāv ākiñcanyāyatanasamāpattau	vijQAna Ananti Ayatana samApattO AkiQcani Ayatana samApattO
   naivasaṃjñānāsaṃjñāyatanasamāpattau ca niyojayati, sa tasmād api dānād	na eva saMjQAna asaMjQA Ayatana samApattO ca niyojayati, sa tasmAt api dAnAt 
   dānaphalāc cānekaparyāyaṃ (PSP_6 8:46) vivecyānupadhiśeṣe nirvāṇadhātau	dAna PalAt ca aneka paryAyam (PSu _6 8:46) vivecya anupaDi Seze nirvANa DAtO
   niveśayati vinayati pratiṣṭhāpayati, sa tasmāc chīlāc chīlaphalāc	niveSayati vinayati pratizWApayati, sa tasmAt SIlAt SIla Pala Ac
   cānekaparyāyaṃ vivecyānupadhiśeṣe nirvāṇadhātau niveśayati vinayati	ca aneka paryAyam vivecya anupaDi Seze nirvANa DAtO niveSayati vinayati
   pratiṣṭhāpayati, sa tebhyo dhyānebhyo dhyānaphalebhyaś ca samāpattibhyaḥ	pratizWApayati, sa teByaH DyAneByaH DyAna PaleByaH ca samApattiByaH
   samāpattiphalebhyaś cānekaparyāyaṃ vivecyānupadhiśeṣe nirvāṇadhātau	samApatti PaleByaH ca aneka paryAyam vivecya anupaDi Seze nirvANa DAtO
   niveśayati vinayati pratiṣṭhāpayati, evaṃ caturṣu smṛtyupasthāneṣu caturṣu	niveSayati vinayati pratizWApayati, evam caturzu smRti upasTAnezu caturzu
   samyakprahāṇeṣu caturṣv ṛddhipādeṣu pañcasv indriyeṣu pañcasu baleṣu	samyak prahANezu caturzu RdDi pAdezu paQcasu indriyezu paQcasu balezu
   saptasu bodhyaṅgeṣu āryāṣṭāṅgikamārge triṣu vimokṣamukheṣv aṣṭasu	saptasu boDi aFgezu Arya azwAFgika mArge trizu vimokza muKezu azwasu
   vimokṣeṣu navasv anupūrvavihārasamāpattiṣu daśasu tathāgatabaleṣu caturṣu	vimokzezu navasu anupUrva vihAra samApattizu daSasu taTAgata balezu caturzu
   vaiśāradyeṣu catasṛṣu pratisaṃvitsv aṣṭādaśasv āveṇikeṣu buddhadharmeṣu	vESAradyezu catasRzu pratisaMvitsu azwAdaSasu AveNikezu budDa Darmezu
   niveśayati vinayati pratiṣṭhāpayati, sa ebhir anāsravair dharmair	niveSayati vinayati pratizWApayati, saH eBiH anAsravEH DarmEH 
   arūpibhir anidarśanair apratighair ye srotraāpattiphale sthāsyanti tān	arUpiBiH anidarSanEH apratiGEH ye srotraApatti Pale sTAsyanti tAn
   srotaāpattiphale pratiṣṭhāpayati, ye sakṛdāgāmiphale sthāsyanti tān	srotaApatti Pale pratizWApayati, ye sakRdAgAmi Pale sTAsyanti tAn
   sakṛdāgāmiphale pratiṣṭhāpayati, ye 'nāgāmiphale sthāsyanti tān	sakRdAgAmi Pale pratizWApayati, ye anAgAmi Pale sTAsyanti tAn
   anāgāmiphale pratiṣṭhāpayati, ye 'rhattve sthāsyanti tān arhattve	anAgAmi Pale pratizWApayati, ye arhat tve sTAsyanti tAn arhat tve
   pratiṣṭhāpayati, ye pratyekabodhau sthāsyanti tān pratyekabodhau	pratizWApayati, ye pratyeka boDO sTAsyanti tAn pratyeka boDO
   pratiṣṭhāpayati, ye 'nuttarāyāṃ samyaksaṃbodhau sthāsyanti, teṣāṃ	pratizWApayati, ye anuttarAyAm samyaksaMboDO sTAsyanti, tezAm
   satpuruṣāṇāṃ bodhimārgam ākhyāti upadiśati samuttejayati, saṃprakāśayati	sat puruzANAm boDi mArgam AKyAti upadiSati samuttejayati, saMprakASayati
   saṃpraharṣayati, pratiṣṭhāpayati.	saMpraharzayati, pratizWApayati.
   evam ukte āyuṣmān subhūtir bhagavanatam etad avocat: āścaryam etat	evam ukte AyuzmAn suBUtiH Bagavanatam etat avocat: AScaryam etat 
   bhagavann adbhuto dharmo yatra hi nāma bodhisattvo mahāsattvaḥ, iha	Bagavan adButaH DarmaH yatra hi nAma boDisattvaH mahAsattvaH, iha
   gambhīrāyāṃ prajñāpāramitāyāṃ carann abhāvasvabhāvānāṃ dharmāṇām	gamBIrAyAm prajQApAramitAyAm caran aBAva svaBAvAnAm DarmANAm
   atyantaśūnyatāyām anavarāgraśūnyatāyāṃ sthitvā dharmāṇāṃ vyavasthānaṃ	atyanta SUnyatAyAm anavara agra SUnyatAyAm sTitvA DarmANAm vyavasTAnam
   karoti, ime kuśalā dharmā ime 'kuśalā dharmā ime laukikā dharmā ime	karoti, ime kuSalAH DarmAH ime akuSalAH DarmAH ime lOkikAH DarmAH ime
   lokottarā dharmā ime sāsravā dharmā ime 'nāsravā dharmā ime sāvadyā dharmā	loka uttarAH DarmAH ime sa AsravAH DarmAH ime anAsravAH DarmAH ime sAvadyA DarmA
   ime 'navadyā dharmā ime saṃskṛtā dharmā ime 'saṃskṛtā dharmāḥ	ime anavadyAH DarmAH ime saMskRtAH DarmAH ime asaMskRtAH DarmAH
   evam ukte bhagavān āyuṣmantaṃ subhūtim etad avocat: evam etat subhūte evam	evam ukte BagavAn Ayuzmantam suBUtim etat avocat: evam etat suBUte evam
   etat āścaryam idaṃ subhūte paramāścaryam idaṃ bodhisattvasya	etat AScaryam idam suBUte parama AScaryam idam boDisattvasya
   mahāsattvasyādbhuto dharmo yad iha gambhīrāyāṃ prajñāpāramitāyāṃ caran	mahAsattvasya adButaH DarmaH yat iha gamBIrAyAm prajQApAramitAyAm caran
   dharmāṇāṃ vyavasthānaṃ karoti, sacet tvaṃ subhūte jānīyā yo bodhisattvasya	DarmANAm vyavasTAnam karoti, saced tvam suBUte jAnIyAH yaH boDisattvasya
   mahāsattvasyāścaryādbhuto dharmas (PSP_6 8:47) taṃ	mahAsattvasya AScaryA adButaH DarmaH (PSu _6 8:47) tam
   sarvaśrāvakapratyekabuddhā api ca evam api bodhisattvasya mahāsattvasya na	sarva SrAvaka pratyekabudDAH api ca evam api boDisattvasya mahAsattvasya na
   sukaraḥ pratikāraḥ kartuṃ tad yuṣmābhiḥ sarvair bodhisattvasya	sukaraH pratikAraH kartum tat yuzmABiH sarvEH boDisattvasya
   mahāsattvasya na śakyaḥ sarvadharmā bhāvayituṃ syāt.	mahAsattvasya na SakyaH sarva DarmAH BAvayitum syAt .
   evam ukte āyuṣmān subhūtir bhagavantam etad avocat: katamo bhagavan	evam ukte AyuzmAn suBUtiH Bagavantam etat avocat: katamaH Bagavan
   bodhisattvasya mahāsattvasyāścaryādbhūto dharmo yo na	boDisattvasya mahAsattvasya AScaryAt BUtaH DarmaH yaH na
   śrāvakapratyekabuddhānāṃ saṃvidyate?	SrAvaka pratyekabudDAnAm saMvidyate?
   bhagavān āha: tena hi subhūte śṛṇu sādhu ca suṣṭhuś ca manasikuru bhāṣiṣye	BagavAn Aha: tena hi suBUte SRNu sADu ca suzWuH ca manasikuru BAzizye
   'haṃ te, evaṃ bhagavann ity āyuṣmān subhūtir bhagavataḥ pratyaśrauṣīd,	aham te, evam Bagavan iti AyuzmAn suBUtiH BagavataH pratyaSrOzIt ,
   bhagavān etad avocat: iha subhūte bodhisattvo mahāsattvaḥ	BagavAn etat avocat: iha suBUte boDisattvaH mahAsattvaH
   prajñāpāramitāyāṃ caran vipākajāsu ṣaṭsu pāramitāsu sthitvā pañcasv	prajQApAramitAyAm caran vipAka jAsu zawsu pAramitAsu sTitvA paQcasv
   abhijñāsu saptatriṃśadbodhipakṣeṣu dharmeṣu dhāraṇīmukheṣu catasṛṣu	aBijQAsu saptatriMSat boDi pakzezu Darmezu DAraNI muKezu catasRzu
   pratisaṃvitsu sthitvā daśadiglokadhātuṣu ye sattvā dānenānugrahītavyās tān	pratisaMvitsu sTitvA daSa diS lokaDAtuzu ye sattvAH dAnena anugrahItavyAH tAn
   dānenānugṛhṇāti, ye śīlena ye kṣāntyā ye vīryeṇa ye dhyānena ye prajñayā	dAnena anugRhNAti, ye SIlena ye kzAntyA ye vIryeNa ye DyAnena ye prajQayA
   ye prathamena dhyānena ye dvitīyena dhyānena ye tṛtīyena dhyānena ye	ye praTamena DyAnena ye dvitIyena DyAnena ye tRtIyena DyAnena ye
   caturthena dhyānena, ye ākāśānantyāyatanasamāpattyā ye	caturTena DyAnena, ye AkASa Anantya Ayatana samApattyA ye
   vijñānānantyāyatanasamāpattyā ye ākiñcanyāyatanasamāpattyā ye	vijQAna Ananti Ayatana samApattyA ye AkiQcani Ayatana samApattyA ye
   naivasaṃjñānāsaṃjñāyatanasamāpattyānugrahītavyās tān anugṛhṇāti, ye	na eva saMjQAna asaMjQA Ayatana samApattyA anugrahItavyAH tAn anugRhNAti, ye
   maitryānugrahītavyā ye karuṇayā ye muditayā ye upekṣayā ye caturbhiḥ	mEtryAnugrahItavyAH ye karuNayA ye muditayA ye upekzayA ye caturBiH
   smṛtyupasthānaiḥ, ye caturbhiḥ samyakprahāṇaiḥ, ye caturbhiḥ ṛddhipādaiḥ,	smRti upasTAnEH, ye caturBiH samyak prahANEH, ye caturBiH RdDi pAdEH,
   ye pañcabhir indriyaiḥ, ye pañcabhir balaiḥ, ye saptabhir bodhyaṅgair ye	ye paQcaBiH indriyEH, ye paQcaBiH balEH, ye saptaBiH boDi aFgEH ye
   āryāṣṭāṅgikena mārgeṇa, ye śūnyatayā ye ānimittena ye 'praṇihitena	Arya azwa AFgikena mArgeNa, ye SUnyatayA ye Animittena ye apraNihitena
   samādhinānugrahītavyās tān śūnyatānimittāpraṇihitasamādhibhir anugṛhṇāti.	samADinA anugrahItavyAH tAn SUnyatA nimitta apraNihita samADiBiH anugRhNAti.
   subhūtir āha: kathaṃ bhagavan bodhisattvo mahāsattvo dānena sattvān	suBUtiH Aha: kaTam Bagavan boDisattvaH mahAsattvaH dAnena sattvAn
   anugṛhṇāti?	anugRhNAti?
   bhagavān āha: iha subhūte bodhisattvo mahāsattvaḥ prajñāpāramitāyāṃ caran	BagavAn Aha: iha suBUte boDisattvaH mahAsattvaH prajQApAramitAyAm caran
   dānaṃ dadāty annam annārthikebhyo dadāti, pānaṃ pānārthikebhyo yānaṃ	dAnam dadAti annam anna arTikeByaH dadAti, pAnam pAna arTikeByaH yAnam
   yānārthikebhyaḥ	yAna arTikeByaH
   puṣpadhūpagandhamālyavilepanacūrṇacīvaracchatradhvajapatākāśayanāsanaṃ	puzpa DUpa ganDa mAlya vilepana cUrNa cIvara= Catra Dvaja patAkA Sayana Asanam
   yāvad anyatarānyataraṃ mānuṣyopakaraṇapariṣkāraṃ dadāti, yathaiva	yAvat anyatara anyataram mAnuzya upakaraNa parizkAram dadAti, yaTA eva
   (PSP_6 8:48) tathāgatayārhate samyaksaṃbuddhāya dadāti tathāiva	(PSu _6 8:48) taTAgatayA arhate samyaksaMbudDAya dadAti taTA aiva
   pratyekabuddhebhyo 'rhadbhyo 'nāgāmibhyaḥ sakṛdāgāmibhyaḥ srotaāpannebhyaḥ	pratyekabudDeByaH arhadByaH anAgAmiByaH sakRdAgAmiByaH srotaApanneByaH
   samyaggatebhyaḥ samyakpratipannebhyas tathāiva tiryagyonigatebhyaḥ	samyak gateByaH samyak pratipanneByaH taTA iva tiryagyoni gateByaH
   sarvebhyo 'nānātvena dānan dadāti. tat kasya hetoḥ? tathā hy anānātvaṃ	sarveByaH anAnAtvena dAnan dadAti. tat kasya hetoH? taTA hi anAnAtvam
   sarvadharmaṃ jñātvā anānātvaṃ dānaṃ dadāti, anānātvaṃ dānaṃ datvā	sarva Darmam jQAtvA anAnAtvam dAnam dadAti, anAnAtvam dAnam datvA
   anānātvasya dharmasya lābhī bhavati yad uta sarvākārajñatāyāḥ, sacet	anAnAtu asya Darmasya lABI Bavati yat uta sarva AkAra jQa tAyAH, saced 
   subhūte bodhisattvasya mahāsattvasya yācanakaṃ dṛṣṭvā evaṃ cittam	suBUte boDisattvasya mahAsattvasya yAcanakam dRzwvA evam cittam
   utpadyate, samyaksaṃbuddhā me dakṣiṇīyā na tiryagyonigatā iti, na	utpadyate, samyaksaMbudDAH me dakziNIyAH na tiryagyoni gatAH iti, na
   bodhisattvadharmo bhavet. tat kasya hetoḥ? na hi subhūte bodhisattvo	boDisattva DarmaH Bavet. tat kasya hetoH? na hi suBUte boDisattvaH 
   mahāsattvo bodhāya cittam utpādyaivam anuttarāyāṃ samyaksaṃbodhau	mahAsattvaH boDAya cittam utpAdya evam anuttarAyAm samyaksaMboDO
   saṃprasthita ime mayā sattvā dānenānugrahītavyā ime mayā sattvā	saMprasTitaH ime mayA sattvAH dAnena anugrahItavyAH ime mayA sattvA
   dānenānugrahītavyā iti cintayati, te dānenānugṛhītāḥ	dAnena anugrahItavyAH iti cintayati, te dAnena anugRhItAH
   kṣatriyamahāśālakuleṣūpapatsyante, brāhmaṇamahāśālakuleṣūpapatsyante,	kzatriya mahASAla kulezu upapatsyante, brAhmaNa mahASAla kulezu upapatsyante,
   gṛhapatimahāsālakuleṣūpapatsyante, tenaiva ca dānānugraheṇa tribhir yānair	gRhapati mahA sAla kulezu upapatsyante, tena eva ca dAna anugraheNa triBiH yAnEH 
   anupariśeṣe nirvāṇadhātau parinirvāsyanti, saced ete bodhisattvaṃ	anupariSeze nirvANa DAtO parinirvAsyanti, saced ete boDisattvam
   mahāsattvaṃ janapadabalakāyā avadhyāyeran tena nānyathācittam	mahAsattvam janapada balakAyAH avaDyAyeran tena na anyaTAcittam
   utpādayitavyaṃ dāsyāmi vā na vā, api tu akopitamānasena	utpAdayitavyam dAsyAmi vA na vA, api tu akopita mAnasena
   janapadabalakāyebhyo dānaṃ dātavyaḥ. tat kasya hetoḥ? tathā hi tasya	janapada bala kAyeByaH dAnam dAtavyaH. tat kasya hetoH? taTA hi tasya
   janapadabalakāyasyārthāyānuttarāyāṃ samyaksaṃbodhau saṃprasthitaḥ. evaṃ ca	janapada bala kAyasya arTAya anuttarAyAm samyaksaMboDO saMprasTitaH. evam ca
   punar vikalpayed garhyo bhaveyaṃ teṣāṃ buddhānāṃ bhagavatāṃ teṣāṃ	punar vikalpayet garhyaH Baveyam tezAm budDAnAm BagavatAm tezAm
   bodhisattvānāṃ mahāsattvānāṃ pratyekabuddhānām arhatāṃ śaikṣāṇāṃ	boDisattvAnAm mahAsattvAnAm pratyekabudDAnAm arhatAm SEkzANAm
   sadevamānuṣāsurasya ca lokasya kenāyam adhīṣṭaḥ sarvasattvānām ahaṃ trāṇaṃ	sa deva mAnuza asurasya ca lokasya kena ayam aDIzwaH sarva sattvAnAm aham trANam
   bhaviṣyāmi parāyaṇaṃ layanaṃ śaraṇam iti.	BavizyAmi parAyaNam layanam SaraNam iti.
   punar aparaṃ subhūte bodhisattvasya mahāsattvasya prajñāpāramitāyāṃ caratā	punar aparam suBUte boDisattvasya mahAsattvasya prajQApAramitAyAm caratA
   manuṣyabhūtā vāmanuṣyabhūtā vāgatyāṅgapratyaṅgāni yāceran, tena na dvidhā	manuzya BUtAH vA amanuzya BUtAH vAgatya aFga pratyaFgAni yAceran, tena na dviDA
   cittam utpādayitavyaṃ, dāsyāmi vā na dāsyāmi vā. tat kasya hetoḥ? tathā hi	cittam utpAdayitavyan, dAsyAmi vA na dAsyAmi vA. tat kasya hetoH? taTA hi
   tena bodhisattvena mahāsattvena sattvānām arthāya sañcintya āśrayaḥ	tena boDisattvena mahAsattvena sattvAnAm arTAya saQcintyaH ASrayaH
   parigṛhīto 'nena mayātmabhāvena sattvānām arthaḥ karaṇīyaḥ, tenaivaṃ	parigRhItaH anena mayA Atma BAvena sattvAnAm arTaH karaNIyaH, tena evam
   cittam utpādayitavyaṃ yeṣām arthe mayātmabhāva upāttas te 'yācitakam eva	cittam utpAdayitavyam yezAm arTe mayA Atma BAvaH upAttaH te ayAcitakam eva
   gṛhītvā gacchantu. evaṃ khalu (PSP_6 8:49) subhūte bodhisattvena	gRhItvA gacCantu. evam Kalu (PSu _6 8:49) suBUte boDisattvena
   mahāsattvena prajñāpāramitāyāṃ caratā śikṣitavyam. tat kasya hetoḥ? tathā	mahAsattvena prajQApAramitAyAm caratA Sikzitavyam. tat kasya hetoH? taTA
   hy ete dharmā atyantaśūnyatayā śūnyā na hi śūnyatā kasmaicid dadāti vā	hi ete DarmAH atyanta SUnya tayA SUnyA na hi SUnyatA kasmEcid dadAti vA
   cchinatti vā, evaṃ khalu subhūte bodhisattvena mahāsattvena	cCinatti vA, evam Kalu suBUte boDisattvena mahAsattvena
   prajñāpāramitāyāṃ caratā śikṣitavyaṃ, yad utādhyātmaśūnyatāyāṃ	prajQApAramitAyAm caratA Sikzitavyan, yat uta aDyAtma SUnyatAyAm
   bahirdhāśūnyatāyām adhyātmabahirdhāśūnyatāyāṃ yāvad	bahirDA SUnyatAyAm aDyAtma bahirDA SUnyatAyAm yAvat 
   abhāvasvabhāvaśūnyatāyāṃ sthitvā dānaṃ dātavyaṃ satatasamitam.	aBAva svaBAva SUnyatAyAm sTitvA dAnam dAtavyam satata samitam.
   punar aparaṃ subhūte bodhisattvena mahāsattvena yācanakaṃ dṛṣṭvā, evaṃ	punar aparam suBUte boDisattvena mahAsattvena yAcanakam dRzwvA, evam
   cittam utpādayitavyaṃ, ko veha dānan dadāti, kasmai vādīyate, kiṃ	cittam utpAdayitavyan, kaH vA iha dAnan dadAti, kasmE vA AdIyate, kim
   vādīyate, tasyaivaṃ dadato dānapāramitāyāṃ paripūrir bhaviṣyati, so 'nayā	vAdIyate, tasya evam dadataH dAna pAramitAyAm paripUriH Bavizyati, saH anayA
   dānapāramitayā paripūryā vā hy adhyātmikeṣu dharmeṣu cchidyamāneṣu evaṃ	dAna pAramitayA paripUryAH vA hi aDyAtmikezu Darmezu cCidyamAnezu evam
   cittam utpādayiṣyati ko me cchinatti vā bhinatti vā.	cittam utpAdayizyati kaH me cCinatti vA Binatti vA.
   iti sāmānyena nirmāṇakāyadvāreṇa dharmakāyasya karma	iti sAmAnyena nirmANa kAya dvAreNa Darma kAyasya karma
   ihāhaṃ subhūte paśyāmi buddhacakṣuṣā lokaṃ vyavalokayan pūrvasyān diśi	iha aham suBUte paSyAmi budDa cakzuzA lokam vyavalokayan pUrvasyAn diSi
   gaṅgānadīvālukopameṣu lokadhātuṣu bodhisattvān mahāsattvān saṃcintya	gaFgA nadI vAlukA upamezu lokaDAtuzu boDisattvAn mahAsattvAn saMcintya
   mahānirayaṃ patitvā tāni mahānirayaduḥkhāny upaśāmya tribhiḥ prātihāryais	mahAnirayam patitvA tAni mahAniraya duHKAni upaSAmya triBiH prAtihAryEH 
   teṣāṃ nairayikānāṃ sattvānāṃ dharmaṃ deśayato yad uta ṛddhiprātihāryeṇa	tezAm nErayikAnAm sattvAnAm Darmam deSayataH yat uta RdDi prAtihAryeNa
   vādeśanāprātihāryeṇa vānuśāsanīprātihāryeṇa vā, ṛddhiprātihāryeṇa ca tāni	vAdeSanA prAtihAryeNa vA anuSAsanI prAtihAryeNa vA, RdDi prAtihAryeNa ca tAni
   mahānirayaduḥkhāny upaśāmya, ādeśanāprātihāryeṇa dharmaṃ deśayanti,	mahAniraya duHKAni upaSAmya, AdeSanA prAtihAryeNa Darmam deSayanti,
   anuśāsanīprātihāryeṇa ca te bodhisattvā mahāsattvā mahāmaitryā	anuSAsanI prAtihAryeNa ca te boDisattvAH mahAsattvAH mahAmEtryA
   mahākaruṇayā mahāmuditayā mahopekṣayā ca dharmaṃ deśayanti. tatas te	mahA karuNayA mahAmuditayA mahA upekzayA ca Darmam deSayanti. tatas te
   nairayikāḥ sattvās teṣāṃ bodhisattvānāṃ mahāsattvānām antike cittam	nErayikAH sattvAH tezAm boDisattvAnAm mahAsattvAnAm antike cittam
   atiprasādya tebhyo nirayebhyo vyuttiṣṭhanti, tebhyo nirayebhyo	atiprasAdya teByaH nirayeByaH vyuttizWanti, teByaH nirayeByaH 
   vyutthāyānupūrveṇa tribhir yānair duḥkhasyāntaṃ kariṣyanti, evaṃ	vyutTAya AnupUrveNa triBiH yAnEH duHKasya antam karizyanti, evam
   dakṣiṇasyāṃ paścimāyām uttarasyām adhastād upariṣṭād anuvidikṣu	dakziNasyAm paScimAyAm uttarasyAm aDastAt uparizwAt anuvidikzu
   lokadhatuṣu buddhacakṣuṣā lokaṃ vyavalokayan paśyāmi gaṅgānadīvālukopameṣu	lokaDatuzu budDa cakzuzA lokam vyavalokayan paSyAmi gaFgA nadI vAlukA upamezu
   lokadhātuṣu bodhisattvān mahāsattvān sañcintya mahāniraye patitvā tāni	lokaDAtuzu boDisattvAn mahAsattvAn saQcintya mahAniraye patitvA tAni
   mahānirayaduḥkhāny upaśāmya tribhiḥ prātihāryais teṣāṃ nairayikānāṃ	mahAniraya duHKAni upaSAmya triBiH prAtihAryEH tezAm nErayikAnAm
   sattvānāṃ dharmaṃ deśayato yad uta ṛddhiprātihāryeṇa vādeśanāprātihāryeṇa	sattvAnAm Darmam deSayataH yat uta RdDi prAtihAryeNa vAdeSanA prAtihAryeNa
   vānuśāsanīprātihāryeṇa (PSP_6 8:50) vā ṛddhiprātihāryeṇa ca tāni	vA anuSAsanI prAtihAryeNa (PSu _6 8:50) vE RdDi prAtihAryeNa ca tAni
   mahānirayaduḥkhāny upaśāmya ādeśanāprātihāryeṇa dharmaṃ deśayanti,	mahAniraya duHKAni upaSAmya AdeSana aprAtihAryeNa Darmam deSayanti,
   anuśāsanīprātihāryeṇa ca te bodhisattvā mahāsattvā mahāmaitryā	anuSAsanI prAtihAryeNa ca te boDisattvAH mahAsattvAH mahAmEtryA
   mahākaruṇayā mahāmuditayā mahopekṣayā ca dharmaṃ deśayanti, tatas te	mahA karuNayA mahAmuditayA mahA upekzayA ca Darmam deSayanti, tatas te
   nairayikāḥ sattvās teṣāṃ bodhisattvānāṃ mahāsattvānām antike cittam	nErayikAH sattvAH tezAm boDisattvAnAm mahAsattvAnAm antike cittam
