   śrīrastu	SrIH astu
   vastrāṅgulīyakānāṃ saṃsparśaṃ vrīḍitaḥ kuryāt // BhN_7.59 //	vastra aFgulIyakAnAm saMsparSam vrIxitaH kuryAt // Bhz _7.59 //
   capalatā nāma rāgadveṣamātsaryāmarṣāpratikūlyādibhirvibhāvaiḥ samutpadyate	capalatA nAma rAga dveza mAtsarya amarza apratikUlya AdiBiH viBAvEH samutpadyate
   tasyāśca	tasyAH ca
   vākpāruṣyanirbhartsanavadhabandhasamprahāratāḍanādibhiranubhāvairabhinayaḥ	vAc pAruzya nirBartsana vaDa banDa samprahAra tAxana AdiBiH anuBAvEH aBinayaH
   prayoktavyaḥ |	prayoktavyaH |
   atrāryā bhavati:	atra AryA Bavati:
   avimṛśya tu yaḥ kāryaṃ puruṣo vadhatāḍanaṃ samārabhate /	avimRSya tu yaH kAryam puruzaH vaDa tAxanam samAraBate /
   aviniścitakāritvātsa tu khalu capalo budhairjñeyaḥ // BhN_7.60 //	aviniScita kAri tvAt sa tu Kalu capalaH buDEH jQeyaH // Bhz _7.60 //
   harṣo nāma	harzaH nAma
   manorathalābheṣṭajanasamāgamanamanaḥparitoṣadevagururājabhartṛprasādabhojanācchādanalābhopabhogādibhirvibhāvaiḥ	manoraTa lABa izwa jana samAgamana manaH paritoza deva guru rAja BartR prasAda Bojana AcCAdana lABa upaBoga AdiBiH viBAvEH
   samutpadyate |	samutpadyate |
   tamabhinayennayanavadanaprasādapriyabhāṣaṇāliṅganakaṇṭakitapulakitāsrasvedādibhiranubhāvaiḥ	tam aBinayet nayana vadana prasAda priya BAzaNa AliFgana kaNwakita pulakita asra sveda AdiBiH anuBAvEH
   atrārye bhavataḥ:	atra Arye BavataH:
   aprāpye prāpye vā labdhe 'rthe priyasamāgame vā'pi /	aprApye prApye vA labDe arTe priya samAgame vA api /
   hṛdayamanorathalābhe harṣaḥ sañjāyate puṃsām // BhN_7.61 //	hRdaya manoH aTa lABe harzaH san jAyate puMsAm // Bhz _7.61 //
   nayanavadanapriyabhāṣāliṅganaiśca romāñcaiḥ /	nayana vadana priya BAzA AliFganEH ca romAQcEH /
   lalitaiścāṅgavihāraiḥ svedādyairabhinayastasya // BhN_7.62 //	lalitEH ca aFga vihArEH sveda AdyEH aBinayaH tasya // Bhz _7.62 //
   āvego nāma	AvegaH nAma
   utpātavātavarṣākuñjarodbhramaṇapriyāpriyaśravaṇavyasanābhighātādirvibhāvaiḥ	utpAta vAta varzA kuQjara udBramaNa priya apriya SravaNa vyasana aBiGAta AdiH viBAvEH
   samutpadyate |	samutpadyate |
   tatrotpātakṛto nāma	tatra utpAta kRtaH nAma
   vidyudulkānirghātaprapatanacandrasūryoparāgaketudarśanakṛtaḥ |	vidyut ulkA nirGAta prapatana candra sUrya uparAga ketu darSana kRtaH |
   tamabhinayetsarvāṅgasrastatāvaimanasyamukhavaivarṇyaviṣādavismayādibhiḥ |	tam aBinayet sarva aFga srasta tA vEmanasya muKa vEvarNya vizAda vismaya AdiBiH |
   vātakṛtaṃ punaravakuṇṭhanākṣiparimārjanavastrasaṅgūhanatvaritagamanādibhiḥ	vAta kRtam punar avakuNWana akzi parimArjana vastra saFgUhana tvarita gamana AdiBiH
   varṣakṛtaṃ punaḥ sarvāṅgasampiṇḍanapradhāvanacchannāśrayamārgaṇādibhiḥ |	varza kRtam punar sarva aFga sampiNxana praDAvana= Canna ASraya mArgaNa AdiBiH |
   agnikṛtaṃ tu dhūmākulanetratā'ṅgasaṅkocanavidhūnanātikrāntāpakrāntādibhiḥ	agni kRtam tu DUma Akula netra tA aFga saFkocana viDUnanA atikrAnta apakrAnta AdiBiH
   kuñjarodbhramaṇakṛtaṃ nāma	kuQjara udBramaNa kRtam nAma
   tvaritāpasarpaṇacañcalagamanabhayastambhavepathupaścādavalokanavismayādibhiḥ	tvarita apasarpaNa caQcala gamana Baya stamBa vepaTu paScAt avalokana vismaya AdiBiH
   priyaśravaṇakṛtaṃ	priya SravaNa kRtam
   nāmābhyutthānāliṅganavastrābharaṇapradānāśrupulakitādibhiḥ |	nAma aByutTAna AliFgana vastra ABaraNa pradAna aSru pulakita AdiBiH |
   apriyaśravaṇakṛtaṃ nāma	apriya SravaNa kRtam nAma
   bhūmipatanaviṣamavivartanaparidhāvanavilāpanākrandanādibhiḥ |	BUmi patana vizama vivartana pariDAvana vilApana Akrandana AdiBiH |
   vyasanābhighātajaṃ tu	vyasana aBiGAta jam tu
   sahasāpasarpaṇaśastracarmavarmadhāraṇagajaturagarathārohaṇasampradhāraṇādibhiḥ	sahasA apasarpaNa Sastra carma varma DAraNa gaja turaga raTa ArohaNa sampraDAraNa AdiBiH
   evamaṣṭavikalpo 'yamāvegaḥ sambhramātmakaḥ /	evam azwa vikalpaH ayam AvegaH samBrama AtmakaH /
   stheryeṇottamamadhyānāṃ nīcānāṃ cāpasarpaṇaiḥ // BhN_7.63 //	sTeryeNa uttama maDyAnAm nIcAnAm ca apasarpaNEH // Bhz _7.63 //
   atrārye bhavataḥ:	atra Arye BavataH:
   apriyanivedanādvā sahasā hyavadhāritārivacanasya /	apriya nivedanAt vA sahasA hi avaDAri tAri vacanasya /
   śastrakṣepāt trāsādāvego nāma sambhavati // BhN_7.64 //	Sastra kzepAt trAsAt AvegaH nAma samBavati // Bhz _7.64 //
   apriyanivedanādyo viṣādabhāvāśrayo 'nubhāvasya /	apriya nivedana AdyaH vizAda BAva ASrayaH anuBAvasya /
   sahasāridarśanāccetpaharaṇaparighaṭṭanaiḥ kāryaḥ // BhN_7.65 //	sahasA ari darSanAt ced pa haraNa pariGawwanEH kAryaH // Bhz _7.65 //
   jaḍatānāma sarvakāryāpratipattiḥ |	jaxatA nAma sarva kArya apratipattiH |
   iṣṭāniṣṭaśravaṇadarśanavyādhyādibhirvibhāvaiḥ samutpadyate |	izwa anizwa SravaNa darSana vyADi AdiBiH viBAvEH samutpadyate |
   tāmabhinayedakathanāvibhāṣaṇatūṣṇīmbhāvāpratibhā'nimeṣanirīkṣaṇaparavaśatvādibhiranubhāvaiḥ	tAm aBinayet akaTana aviBAzaNa tUzNImBAva apratiBA animeza nirIkzaNa para vaSa tva AdiBiH anuBAvEH
   atrāryā bhavati:	atra AryA Bavati:
   iṣṭaṃ vā'niṣṭaṃ vā sukhaduḥkhe vā na vetti yo mohāt /	izwam vA anizwam vA suKa duHKe vA na vetti yaH mohAt /
   tūṣṇīkaḥ paravaśago bhavati sa jaḍasaṃjñitaḥ puruṣaḥ // BhN_7.66 //	tUzNIkaH para vaSa gaH Bavati sa jaxa saMjQitaH puruzaH // Bhz _7.66 //
   garvo nāma aiśvaryakularūpayauvanavidyābaladhanalābhādibhirvibhāvaiḥ	garvaH nAma ESvarya kula rUpa yOvana vidyA bala Dana lABa AdiBiH viBAvEH
   samutpadyate |	samutpadyate |
   tasyāsūyāvajñāgharṣaṇānuttaradānāsambhāṣaṇāṅgāvalokana	tasya asUya avajQA GarzaNa anuttara dAna asamBAzaNa aFga avalokana
   vibhramāpahasanavākpāruṣyaguruvyatikramaṇādhikṣepavacanavicchedādibhiranubhāvairabhinayaḥ	viBrama apahasana vAc pAruzya guru vyatikramaNa aDikzepa vacana vicCeda AdiBiH anuBAvEH aBinayaH
   prayoktavyaḥ	prayoktavyaH
   atrāryā bhavati:	atra AryA Bavati:
   vidyāvāpte rūpādaiśvaryādatha dhanāgamādvāpi /	vidyA avApte rUpAt ESvaryAt aTa Dana AgamAt vA api /
   garvaḥ khalu nīcānāṃ dṛṣṭyaṅgavicāraṇaiḥ kāryaḥ // BhN_7.67 //	garvaH Kalu nIcAnAm dRzwi aFga vicAraNEH kAryaH // Bhz _7.67 //
   viṣādo nāma kāryānistaraṇadaivavyāpattisamutthaḥ |	vizAdaH nAma kArya anistaraNa dEva vyApatti samutTaH |
   tamabhinayetsahāyānveṣaṇopāyacintanotsāhavighātavaimanasyaniḥśvasitādibhiranubhāvairuttamamadhyamānām	tam aBinayet sahAya anvezaNa upAya cintana utsAha viGAta vEmanasya niHSvasita AdiBiH anuBAvEH uttama maDyamAnAm
   adhamānāṃ tu	aDamAnAm tu
   viparidhāvanālokanamukhaśoṣaṇasṛkvaparilehananidrāniḥśvasitadhyānādibhiranubhāvaiḥ	vipariDO= ana Alokana muKa SozaNa sRkvaparilehana nidrA niHSvasita DyAna AdiBiH anuBAvEH
   atrāryā ślokau:	atra AryA SlokO:
   kāryānistaraṇādvā cauryābhigrahaṇarājadoṣādvā /	kArya anistaraNAt vA cOrya aBigrahaNa rAja dozAt vA /
   daivādarthavipatterbhavati viṣādaḥ sadā puṃsām // BhN_7.68 //	dEvAt arTa vipatteH Bavati vizAdaH sadA puMsAm // Bhz _7.68 //
   vaicitryopāyacintābhyāṃ kārya uttamamadhyayoḥ /	vEcitrya upAya cintAByAm kAryaH uttama maDyayoH /
   nidrāniḥśvasitadhyānairadhamānāṃ tu yojayet // BhN_7.69 //	nidrA niHSvasita DyAnEH aDamAnAm tu yojayet // Bhz _7.69 //
   autsukyaṃ nāma iṣṭajanaviyogānusmaraṇodyānadarśanādibhirvibhāvaiḥ	Otsukyam nAma izwa jana viyoga anusmaraNa udyAna darSana AdiBiH viBAvEH
   samutpadyate |	samutpadyate |
   tasya	tasya
   dīrghaniḥśvasitādhomukhavicintananidrātandrīśayanābhilāṣādibhiranubhavairabhinayaḥ	dIrGa niHSvasita aDomuKa vicintana nidrA tandrI Sayana aBilAza AdiBiH anuBavEH aBinayaH
   prayoktavyaḥ |	prayoktavyaH |
   atrāryā bhavati:	atra AryA Bavati:
   iṣṭajanasya viyogādautsukyaṃ jāyate hyanusmṛtyā /	izwa janasya viyogAt Otsukyam jAyate hi anusmRtyA /
   cintānidrātandrīgātragurutvairabhinayo 'sya // BhN_7.70 //	cintA nidrA tandrI gAtra guru tvEH aBinayaH asya // Bhz _7.70 //
   nidrā nāma	nidrA nAma
   daurbalyaśramaklamamadālasyacintā'tyāhārasvabhāvādibhirvibhāvaiḥ	dOrbalya Srama klama mada Alasya cintA ati AhAra svaBAva AdiBiH viBAvEH
   samutpadyate |	samutpadyate |
   tāmabhinayedvadanagauravaśarīrāvalokananetraghūraṇanagātravijṛmbhanamāndyocchvasitasannagātratā'kṣinimīlanādibhiranubhāvaiḥ	tAm aBinayet vadana gOrava SarIra avalokana netra GUraNana gAtra vijRmBa na mAndya ucCvasita sanna gAtra tA akzi nimIlana AdiBiH anuBAvEH
   atrārye bhavataḥ:	atra Arye BavataH:
   ālasyāddaurbalyātklamācchramāccintanātsvabhāvācca /	AlasyAt dOrbalyAt klamAt SramAt cintanAt svaBAvAt ca /
   rātrau jāgaraṇādapi nidrā puruṣasya sambhavati // BhN_7.71 //	rAtrO jAgaraNAt api nidrA puruzasya samBavati // Bhz _7.71 //
   tāṃ mukhagauravagātrapratilolananayanamīlanajaḍatvaiḥ /	tAm muKa gOrava gAtra pratilolana nayana mIlana jaxa tvEH /
   jṛmbhaṇagātravimardairanubhāvairabhinayetprājñaḥ // BhN_7.72 //	jRmBaNa gAtra vimardEH anuBAvEH aBinayet prAjQaH // Bhz _7.72 //
   apasmāro nāma	apasmAraH nAma
   devayakṣanāgabrahmarākṣasabhūtapretapiśācagrahaṇānusmaranocchiṣṭaśūnyāgārasevanāśucikālāntarāparipatanavyādyādibhirvibhāvaiḥ	deva yakza nAga brahmarAkzasa BUta preta piSAca grahaNa anusmarana ucCizwa SUnya AgAra sevana aSuci kAla antara aparipatana vyAdi AdiBiH viBAvEH
   samutpadyate |	samutpadyate |
   tasya	tasya
   sphuritaniḥśvasitotkampitadhāvanapatanasvedastambhavadanaphenajihvāparilehanādibhiranubhāvairabhinayaḥ	sPurita niHSvasita utkampita DAvana patana sveda stamBa vadana Pena jihvA parilehana AdiBiH anuBAvEH aBinayaH
   prayoktavyaḥ |	prayoktavyaH |
   atrārye bhavataḥ:	atra Arye BavataH:
   bhūtapiśācagrahaṇānusmaraṇocchiṣṭaśūnyagṛhagamanāt /	BUta piSAca grahaNa anusmaraNa ucCizwa SUnya gRha gamanAt /
   kālāntarātipātādaśuceścabhavatyapasmāraḥ // BhN_7.73 //	kAla antara atipAtAt aSuceH caBavati apasmAraH // Bhz _7.73 //
   sahasā bhūmau patanaṃ pravepanaṃ vadanaphenamokṣaśca /	sahasA BUmO patanam pravepanam vadana Pena mokzaH ca /
   niḥsaṃjñasyotthānaṃ rūpāṇyetānyapasmāre // BhN_7.74 //	niHsaMjQasya utTAnam rUpANi etAni apasmAre // Bhz _7.74 //
   suptaṃ nāma	suptam nAma
   nidrābhibhavaviṣayopagamanakṣititalaśayanaprasāraṇānukarṣaṇādibhirvibhāvaiḥ	nidrA aBiBava vizaya upagamana kziti tala Sayana prasAraNa anukarzaNa AdiBiH viBAvEH
   samutpadyate nidrāsamuttham |	samutpadyate nidrA samutTam |
   taducchvasitaṃsannagātrākṣinimīlanasarvendriya	tad ucCvasitaMsan= agAtra akzi nimIlana sarva indriya
   sammohanotsvapnāyitādibhiranubhāvairabhinayet |	sammohana utsvapnAyita AdiBiH anuBAvEH aBinayet |
   atrārye bhavataḥ:	atra Arye BavataH:
   nidrābhibhavendriyoparamaṇamohāirhavetsuptam /	nidrA aBiBava indriya uparamaNa moha airhavet suptam /
   akṣinimīlanocchvasanaiḥ svapnāyitajalpitaiḥ kāryaḥ // BhN_7.75 //	akzi nimIlana ucCvasanEH svapnAyita jalpitEH kAryaH // Bhz _7.75 //
   socchvāsairniḥśvāsairmandākṣinimīlanena niśceṣṭaḥ /	sa ucCvAsEH niHSvAsEH manda akzi nimIlanena niScezwaH /
   sarvendriyasammohātsuptaṃ svapnaiśca yuñjīta // BhN_7.76 //	sarva indriya sammohAt suptam svapnEH ca yuQjIta // Bhz _7.76 //
   vibodho nāma	viboDaH nAma
   āhārapariṇāmanidrācchedasvapnāntatīvraśabdaśravaṇādibhirvibhāvaiḥ	AhAra pariNAma nidrA A= Ceda svapna anta tIvra Sabda SravaNa AdiBiH viBAvEH
   samutpadyate |	samutpadyate |
   tamabhinayejjṛmbhaṇākṣiparimardanaśayanamokṣaṇādibhiranubhāvaiḥ |	tam aBinayet jRmBaNa akzi parimardana Sayana mokzaNa AdiBiH anuBAvEH |
   atrāryā bhavati:	atra AryA Bavati:
   āhāravipariṇāmācchabdasparśādibhiśca sambhūtaḥ /	AhAra vipariNAmAt Sabda sparSa AdiBiH ca samBUtaH /
   pratibodhastvabhineyo jṛmbhaṇavadanākṣiparimardaiḥ // BhN_7.77 //	pratiboDaH tu aBineyaH jRmBaNa vadana akzi parimardEH // Bhz _7.77 //
   amarṣo nāma vidyaiśvaryaśauryabalādhikairadhikṣiptasyāvamānitasya vā	amarzaH nAma vidyA ESvarya SOrya bala aDikEH aDikziptasya avamAnitasya vA
   samutpadyate |	samutpadyate |
   tamabhinayecchiraḥkampanaprasvedanādhomukhacintanadhyānādhyavasāyopāyasahāyānveṣaṇādibhiranubhāvaiḥ	tam aBinayet SiraH kampana prasvedana aDomuKa cintana DyAna aDyavasAya upAya sahAya anvezaNa AdiBiH anuBAvEH
   atra ślokau:	atra SlokO:
   ākṣiptānāṃ sabhāmadhye vidyāśauryabalādhikaiḥ /	AkziptAnAm saBA maDye vidyA SOrya bala aDikEH /
   nṝṇāmutsāhasaṃyogādamarṣo nāma jāyate // BhN_7.78 //	nLNAm utsAhasaMyogAt amarzaH nAma jAyate // Bhz _7.78 //
   utsāhādhyavasāyābhyāmadhomukhavicintanaiḥ /	utsAha aDyavasAyAByAm aDomuKa vicintanEH /
   śiraḥprakampasvedādyaistaṃ prayuñjīta paṇḍitaḥ // BhN_7.79 //	SiraH prakampa sveda AdyEH tam prayuQjIta paNxitaH // Bhz _7.79 //
   avahitthaṃ nāma ākārapracchādanātmakam |	avahitTam nAma AkAra pracCAdana Atmakam |
   tacca lajābhayāpajayagauravajaihmayādibhirvibhāviḥ samutpadyate |	tat ca laja aBayA apajaya gOrava jEhmaya AdiBiH viBAviH samutpadyate |
   tasyānyathākathanāvalokitakathābhaṅgakṛtakadhairyādibhiranubhāvairabhinayaḥ	tasya anyaTA kaTana avalokita kaTA BaFga kRtaka DEryAdiBiH anuBAvEH aBinayaH
   prayoktavyaḥ |	prayoktavyaH |
   atra śloko bhavati:	atra SlokaH Bavati:
   dhārṣṭyajaihmyādisambhītamavahitthaṃ bhayatmakam /	DArzwyajEhmi Adi samBItam avahitTam Baya tmakam /
   taccāgaṇanayā kāryaṃ nātīvottarabhāṣaṇāt // BhN_7.80 //	tat ca agaNanayA kAryam na atIva uttara BAzaNAt // Bhz _7.80 //
   ugratā āma cauryābhigrahāṇanṛpāparādhāsatpralāpādibhirvibhāvaiḥ	ugra tA Ama cOrya aBigrahANa nRpa aparADA sat pralApa AdiBiH viBAvEH
   samutpadyate |	samutpadyate |
   tāṃ ca vadhabandhanatāḍananirbhatsanādibhiranubhāvairabhinayet |	tAm ca vaDa banDana tAxana nirBatsana AdiBiH anuBAvEH aBinayet |
   atrāryā bhavati:	atra AryA Bavati:
   cauryābhigrahanavaśānnṛpāparādhādathogratā bhavti /	cOrya aBigrahana vaSAt nRpa aparADAt aTa ugra tA Bavti /
   vadhabandhatāḍanādibhiranubhāvairabhinayastasyāḥ // BhN_7.81 //	vaDa banDa tAxana AdiBiH anuBAvEH aBinayaH tasyAH // Bhz _7.81 //
   bhavati cātra ślokaḥ:	Bavati ca atra SlokaH:
   nānāśātrārthabodhena matiḥ saṃjāyate nṛṇām /	nAnA SAtra arTa boDena matiH saMjAyate nRNAm /
   śiṣyopadeśārthakṛtastasyāstvabhinayo bhavet // BhN_7.82 //	Sizya upadeSa arTa kRtaH tasyAH tu aBinayaH Bavet // Bhz _7.82 //
   vyādhirnāma vātapittakaphasannipātaprabhavaḥ |	vyADiH nAma vAta pitta kaPa sannipAta praBavaH |
   tasya jvarādayo viśeṣāḥ |	tasya jvara AdayaH viSezAH |
   jvarastu dvividhaḥ saśītaḥ sadāhaśca |	jvaraH tu dviviDaH sa SItaH sa dAhaH ca |
   tatra saśīto nāma	tatra sa SItaH nAma
   pravepitasarvāṅgopkampananikuñcanāgnyabhilāṣaromāñcahanuvalananāsāvikūnanamukhaśoṣaṇaparidevitādibhiranubhāvairabhineyaḥ	pravepita sarva aFga upkampana nikuQcana agni aBilAza romAQcahanu valana nAsA vikUnana muKa SozaNa paridevita AdiBiH anuBAvEH aBineyaH
   sadāho nāma	sa dAhaH nAma
   vikṣiptāṅgakaracaraṇabhūmyabhilāṣānulepanaśītābhilāṣaparidevanamukhaśoṣotkruṣṭādibhiranubhāvaiḥ	vikzipta aFga kara caraNa BUmi aBilAza anulepana SIta aBilAza paridevana muKa Soza utkruzwa AdiBiH anuBAvEH
   ye cānye vyādhayaste 'pi khalu	ye ca anye vyADayaH te api Kalu
   mukhavikūṇanagātrastambhasrastākṣiniḥśvasanastanitotkruṣṭavepanādibhiranubhāvairabhineyāḥ	muKa vikUNana gAtra stamBa srasta akzi niHSvasana stanita utkruzwa vepana AdiBiH anuBAvEH aBineyAH
   atra śloko bhavati:	atra SlokaH Bavati:
   samāsatastu vyādhīnāṃ kartavyo 'bhinayo budhaiḥ /	samAsatas tu vyADInAm kartavyaH aBinayaH buDEH /
   srastāṅgagātravikṣepaistathā mukhavikūṇanaiḥ // BhN_7.83 //	srasta aFga gAtra vikzepEH taTA muKa vikUNanEH // Bhz _7.83 //
   unmādo nāma	unmAdaH nAma
   iṣṭajanaviyogavibhavanāśābhighātavātapittaśleṣmaprakopādibhirvibhāvairutpadyate	izwa jana viyoga viBava nASa aBiGAta vAta pitta Slezma prakopa AdiBiH viBAvEH utpadyate
   tamanimittahasitaruditotkruṣṭāsambaddhapralāpaśayitopaviṣṭotthitapradhāvitanṛttagītapaṭhitabhasmapāṃsvavadhūlanatṛṇanirmālyakucelacīraghaṭakakapālaśarāvābharaṇadhāraṇopabhogairanekaiścānavasthitaiśceṣṭānukaraṇādibhiranubhāvairabhinayet	tam animitta hasita rudita utkruzwa asambadDa pralApa Sayita upavizwa utTita praDAvita nRtta gIta paWita Basma pAMsu avaDUlana tRNa nirmAlya kucela cIr
   atrārye bhavataḥ:	atra Arye BavataH:
   iṣṭajanavibhavanāśādabhighātādvātapittakaphakopāt /	izwa jana viBava nASAt aBiGAtAt vAta pitta kaPa kopAt /
   vividhāccittavikārādunmādo nāma sambhavati // BhN_7.84 //	viviDAt citta vikArAt unmAdaH nAma samBavati // Bhz _7.84 //
   animittaruditahasitopaviṣṭagītapradhāvitotkruṣṭaiḥ /	animitta rudita hasita upavizwa gIta praDAvita utkruzwEH /
   anyaiśca vikārairakṛtairunmādaṃ samprayuñjīta // BhN_7.85 //	anyEH ca vikArEH akRtEH unmAdam samprayuQjIta // Bhz _7.85 //
   maraṇaṃ nāma vyādhijamabhighātajañca |	maraNam nAma vyADi jam aBiGAta jaQcaH |
   tatra	tatra
   yadāntrayakṛcchūladoṣavaiṣamyagaṇḍapiṭakajvaraviṣūcikādibhirutpadyate	yadA antra yakRt SUla doza vEzamya gaNxa piwaka jvara vizUcikA AdiBiH utpadyate
   tadvyādhiprabhavam |	tad vyADi praBavam |
   abhighātajaṃ tu	aBiGAta jam tu
   śastrāhidaṃśaviṣapānaśvāpadagajaturagarathapaśuyānapātavināśaprabhavam |	Sastra ahi daMSa viza pAna SvApada gaja turaga raTa paSu yAnapAta vinASa praBavam |
   etayorabhinayaviśeṣānvakṣyāmaḥ:	etayoH aBinaya viSezAn vakzyAmaH:
   tatra vyādhijaṃ	tatra vyADi jam
   viṣaṇṇagātrāvyāyatāṅgaviceṣṭitanimīlitanayanahikkāśvāsopetānavekṣitaparijanāvyaktākṣarakathanādibhiranubhāvairabhinayet	vizaNNa gAtra avyAyata aFga vicezwita nimIlita nayana hikkA SvAsa upetAn avekzita parijana avyakta akzara kaTana AdiBiH anuBAvEH aBinayet
   atra śloko bhavati:	atra SlokaH Bavati:
   vyādhīnāmekabhāvo hi maraṇābhinayaḥ smṛtaḥ /	vyADInAm eka BAvaH hi maraNa aBinayaH smRtaH /
   viṣaṇṇagātrairniśceṣṭairindriayaiśca vivarjitaḥ // BhN_7.86 //	vizaNNa gAtrEH niScezwEH indriayEH ca vivarjitaH // Bhz _7.86 //
   abhighātaje tu nānāprakārābhinayaviśeṣāḥ |	aBiGAta je tu nAnA prakAra aBinaya viSezAH |
   śastrakṣatāhidaṣṭaviṣapītagajādipatitaśvāpadahatāḥ |	Sastra kzata ahi dazwa viza pIta gaja Adi patita SvApada hatAH |
   yathā tatra śastrakṣate tāvatsahasā	yaTA tatra Sastra kzate tAvat sahasA
   bhūmipatanavepanasphuraṇādibhirabhinayaḥ prayoktavyaḥ |	BUmi patana vepana sPuraNa AdiBiH aBinayaH prayoktavyaH |
   ahidaṣṭaviṣapītayorviṣayogo yathā	ahi dazwa viza pItayoH viza yogaH yaTA
   kārśyavepathuvidāhahikkāphenaskandhabhaṅgajaḍatāmaraṇānītyaṣṭau viṣavegāḥ	kArSya vepaTu vidAha hikkA Pena skanDa BaFga jaxa tA maraNAni iti azwO viza vegAH
   atra ślokau bhavataḥ:	atra SlokO BavataH:
   kārśyaṃ tu prathame vege dvitīye vepathurbhavet /	kArSyam tu praTame vege dvitIye vepaTuH Bavet /
   dāhaṃ tṛtīye hikkāṃ ca caturthe samprayojayet // BhN_7.87 //	dAham tRtIye hikkAm ca caturTe samprayojayet // Bhz _7.87 //
   phenañca pañcame kuryātṣaṣṭhe skandhasya bhañjanam /	PenaQca paQcame kuryAt zazWe skanDasya BaQjanam /
   jaḍatāṃ saptame kuryādaṣṭame maraṇaṃ bhavet // BhN_7.88 //	jaxa tAm saptame kuryAt azwame maraNam Bavet // Bhz _7.88 //
   atrāryā bhavati:	atra AryA Bavati:
   śvāpadagajaturagarathodbhavaṃ tu paśuyānapatanajaṃ vā'pi /	SvApada gaja turaga raTa udBavam tu paSu yAna patana jam vA api /
   śāstrakṣatavatkuryādanavekṣitagātrasañcāram // BhN_7.89 //	SAstra kzata vat kuryAt anavekzita gAtra saQcAram // Bhz _7.89 //
   ityeva maraṇaṃ jñeyaṃ nānāvasthāntarātmakam /	iti eva maraNam jQeyam nAnA avasTA antarAtmakam /
   prayoktavyaṃ budhaiḥ samyagyathā bhavāṅgaceṣṭitaiḥ // BhN_7.90 //	prayoktavyam buDEH samyak yaTA Bava aFga cezwitEH // Bhz _7.90 //
   trāso nāma	trAsaH nAma
   vidyudulkāśanipātanirghātāmbudharamahāsattvapaśuravādibhirvibhāvairutpadyate	vidyut ulkA aSani pAta nirGAta ambuDara mahA sattva paSu H ava AdiBiH viBAvEH utpadyate
   tamabhinayetsaṃkṣiptāṅgotkampanavepathustambharomāñcagadgadapralāpādibhiranubhāvaiḥ	tam aBinayet saMkzipta aFga utkampana vepaTu stamBa romAQca gadgada pralApa AdiBiH anuBAvEH
   atra śloko bhavati:	atra SlokaH Bavati:
   mahābhairavanādadyaistrāsaḥ samupajāyate /	mahABEravanAdadyEH trAsaH samupajAyate /
   srastāṅgākṣinimeṣaiśca tasya tvabhinayo bhavet // BhN_7.91 //	srasta aFga akzi nimezEH ca tasya tu aBinayaH Bavet // Bhz _7.91 //
   vitarko nāma sandehavimarśavipratipattyādibhirvibhāvairutpadyate |	vitarkaH nAma sandeha vimarSa vipratipatti AdiBiH viBAvEH utpadyate |
   tamabhinayedvividhavicāritapraśnasampradhāraṇamantrasaṅgūhanādibhiranubhāvaiḥ	tam aBinayet viviDa vicArita praSna sampraDAraNa mantra saFgUhana AdiBiH anuBAvEH
   atra śloko bhavati:	atra SlokaH Bavati:
   vicāraṇādisambhūtaḥ sandehātiśayātmakaḥ /	vicAraNa Adi samBUtaH sandeha atiSaya AtmakaH /
   vitarkaḥ so 'bhineyastu śirobhrūkṣepakampanaiḥ // BhN_7.92 //	vitarkaH saH aBineyaH tu SiraH BrU kzepa kampanEH // Bhz _7.92 //
   evamete trayastriṃśadvyabhicāriṇo bhāvā	evam ete trayastriMSat vyaBicAriNaH BAvA
   deśakālāvasthānurūpyeṇāmagataparagatamadhyasthā uttamamadhyamādhamaiḥ	deSa kAla avasTA AnurUpyeNa Ama gata para gata maDya sTAH uttama maDyama aDamEH
