   # atha dvitīyo 'dhyāyaḥ /.#	# aTa dvitIyaH aDyAyaH /.#
   idaṃ jagat sadātmaiveti sāmānādhikaraṇyaśrutyā sṛṣṭeḥ prākkāryasya	idam jagat sat A AtmA eva iti sAmAnADikaraNya SrutyA sRzweH prAk kAryasya
   kāraṇātmanā sattvaṃ śrutaṃ, tadanyathānupapattyotpannasyāpi jagataḥ	kAraNa AtmanA sattvam SrutaM, tad anyaTA anupapattyA utpannasya api jagataH
   kāraṇādananyatvamityāha sūtrakāraḥ# sattvācceti /.#	kAraNAt ananya tvam iti Aha sUtra kAraH# sattvAt ca iti /.#
   śrutyarthe yuktimapyāha # yacca yadātmaneti /.#	Sruti arTe yuktim api Aha # yat ca yadA AtmanA iti /.#
   ghaṭādikaṃ prāg mṛdādyātmanā vartate tata utpadyamānatvāt sāmānyato	Gawa Adikam prAk mRdA adi AtmanA vartate tatas utpadyamAna tvAt sAmAnyatas 
   vyatirekeṇa sikatābhyastailavadityarthaḥ /	vyatirekeNa sikatAByaH tEla vat iti arTaH /
   kāraṇavatkāryasyāpi sattvāt sattvabhede mānābhāvāt kāryasya	kAraNa vat kAryasya api sattvAt sattva Bede mAna aBAvAt kAryasya
   kāraṇādabhinnasattākatvamiti sūtrasyārthāntaramāha # yathā ceti /.#	kAraNAt aBinna sattAka tvam iti sUtrasya arTa antaram Aha # yaTA ca iti /.#
   idānīṃ sataḥ kāryasya prāguttarakālayorasattvāyogāt sattvāvyabhicāraḥ /	idAnIm sataH kAryasya prAc uttara kAlayoH asattva ayogAt sattva avyaBicAraH /
   tacca sattvaṃ sarvānusyūtacinmātramekam /	tat ca sattvam sarva anusyUta cit mAtram ekam /
   tadabhedena satī mṛt san ghaṭa iti bhāsamānayoḥ	tad aBedena satI mRd san GawaH iti BAsamAnayoH
   kāryakāraṇayorananyatvamityarthaḥ //16//	kArya kAraNayoH ananya tvam iti arTaH //16//
   END BsRp_2,1.6.16	END BsRp _2,1.6.16
   START BsRp_2,1.6.16ḥ	START BsRp _2,1.6.16H
   na caivaṃ ghaṭapaṭayorapyaikasattvābhedādananyatvaṃ syāditi vācyaṃ,	na ca evam Gawa pawayoH apya eka sattva aBedAt ananya tvam syAt iti vAcyaM,
   vastuta ekasattvātmanānanyatvasyeṣṭatvāt /	vastutas eka sattva AtmanA ananya tvasya izwa tvAt /
   tarhi mṛdghaṭayoḥ ko viśeṣaḥ /	tarhi mRd GawayoH kaH viSezaH /
   tādātmyamiti brūmaḥ /	tAdAtmyam iti brUmaH /
   vastutaḥ sarvatra sattaikye 'pi ghaṭapaṭayorabhedena sattāyā bhinnatvānna	vastutas sarvatra sattEkye api Gawa pawayoH aBedena sattAyAH Binna tvAt na
   tādātmyaṃ, kāryakāraṇayorbhedasya sattābhedakatvābhāvādabhinnasattākatvaṃ	tAdAtmyan, kArya kAraNayoH Bedasya sattA Bedaka tva aBAvAt aBinna sattAka tvam
   tādātmyamiti viśeṣaḥ //16//	tAdAtmyam iti viSezaH //16//
   END BsRp_2,1.6.16	END BsRp _2,1.6.16
   START BsRp_2,1.6.17ḥ	START BsRp _2,1.6.17H
   asadvyapadeśān neti cen na dharmāntareṇa vākyaśeṣāt | BBs_2,1.17 |	asat vyapadeSAt na iti ced na Darma antareNa vAkya SezAt | BBH _2,1.17 |
   uktaṃ kāryasya prāk kāraṇātmanā sattvamasiddhamityāśaṅkya samādhatte #	uktam kAryasya prAk kAraNa AtmanA sattvam asidDam iti ASaFkya samADatte #
   asaditi /.#	asat iti /.#
   'aktāḥ śarkarā upadadhyāt'ityupakrame kenāktā iti saṃdehe 'tejo vai	aaktAH SarkarA upadaDyAt aiti upakrame kena aktAH iti saMdehe atejaH vE
   ghṛtam'iti vākyaśeṣāddhṛteneti yathā niścayaḥ evamatrāpi 'tatsat'iti	GRtam aiti vAkya SezAt hRtena iti yaTA niScayaH evam atra api atat sa t aiti
   vākyaśeṣātsanniścaya ityarthaḥ /	vAkya SezAt sanniScayaH iti arTaH /
   āsīdityatītakālasaṃbandhokteścāsadavyākṛtameva na śūnyamityāha # asataśca	AsIt iti atIta kAla saMbanDa ukteH ca asat avyAkRtam eva na SUnyam iti Aha # asataH ca
   pūrvāpareti /.#	pUrva aparA iti /.#
   uktanyāyaṃ vākyāntare 'tidiśati # asadveti /.#	ukta nyAyam vAkya antare atidiSati # asat vA iti /.#
   kriyamāṇatvaviśeṣaṇaṃ śūnyasyāsaṃbhavīti bhāvaḥ //17//	kriyamANa tva viSezaNam SUnyasya asaMBavI iti BAvaH //17//
   END BsRp_2,1.6.17	END BsRp _2,1.6.17
   START BsRp_2,1.6.18ḥ	START BsRp _2,1.6.18H
   yukteḥ śabdāntarāc ca | BBs_2,1.18 |	yukteH Sabda antarAt ca | BBH _2,1.18 |
   sattvānanyatvayorhetvantaramāha sūtrakāraḥ # yukteriti /.#	sattva an anya tvayoH hetu antaram Aha sUtrakAraH # yukteH iti /.#
   dadhyādyarthināṃ kṣīrādau pravṛttyanyathānupapattiryuktistayā kāryasya	daDi Adi arTinAm kzIra AdO pravRtti anyaTA anupapattiH yuktiH tayA kAryasya
   prākkāraṇānanyatvena sattvaṃ sidhyatītyarthaḥ /	prAk kAraNa ananya tvena sattvam siDyati iti arTaH /
   asato 'pi kāryasya tasmādutpatteḥ kāraṇatvadhiyā tatra	asataH api kAryasya tasmAt utpatteH kAraNa tva DiyA tatra
   pravṛttirityanyathopapattimāśaṅkyāha # aviśiṣṭe hīti /.#	pravRttiH iti anyaTA upapattim ASaFkyA Aha # aviSizwe hi iti /.#
   asata utpattyabhāvādutpattau vā	asataH utpatti aBAvAt utpattO vA
   sarvasmātsarvotpattiprasaṅgāttattadupādānaviśeṣe pravṛttirna syādityarthaḥ	sarvasmAt sarva utpatti prasaFgAt tad tad upAdAna viSeze pravRttiH na syAt iti arTaH
   taduktaṃ sāṃkhyavṛddhaiḥ 'asadakaraṇādupādānagrahaṇātsarvasaṃbhavābhāvāt /	tat uktam sAMKya vRdDEH  aasat akaraNAt upAdAna grahaNAt sarva saMBava aBAvAt /
   śaktasya śakyakaraṇātkāraṇabhāvācca satkāryam'iti /	Saktasya Sakya karaNAt kAraNa BAvAt ca satkAryam aiti /
   śaktasya kāraṇasya śakyakāryakāritvācchaktiviṣayasya kāryasya sattvamasato	Saktasya kAraNasya Sakya kArya kAri tvAt Sakti vizayasya kAryasya sattvam asataH 
   'śakyatvāt /	aSakya tvAt /
   kiñca satkāraṇābhedātkāryaṃ sadityuttarārdhārthaḥ /	kiQca satkAraNA BedAt kAryam sat iti uttara arDa arTaH /
   kāryasyāsattve 'pi kutaścidatiśayātpravṛttiniyamopapattiriti śaṅkate #	kAryasya asattve api kutaScid atiSayAt pravRtti niyama upapattiH iti SaFkate #
   atheti /.#	aTa iti /.#
   atiśayaḥ kāryadharmaḥ kāraṇadharmo vā /	atiSayaH kArya DarmaH kAraNa DarmaH vA /
   ādye dharmitvātprāgavasthārūpasya kāryasya sattvaṃ durvāramityāha #	Adye Darmi tvAt prAc avasTA rUpasya kAryasya sattvam durvAram iti Aha #
   tarhyatiśayavattvāditi /.#	tarhi atiSayavat tvAt iti /.#
   dvitīye 'pi kāryasattvamāyātītyāha # śaktiśceti /.#	dvitIye api kArya sattvam AyAti iti Aha # SaktiH ca iti /.#
   kāryakāraṇābhyāmanyā kāryavadasati vā śaktirna kāryaniyāmikā, yasya	kArya kAraNAByAm anyA kArya vat asati vA SaktiH na kArya niyAmikA, yasya
   kasyacidanyasya naraśṛṅgasya vā niyāmakatvaprasaṅgādanyatvāsattvayoḥ	kasyacid anyasya nara SRFgasya vA niyAmaka tva prasaFgAt anya tva asattvayoH
   śaktāvanyatra cāviśeṣāt /	SaktO= anyatra ca aviSezAt /
   tasmāt kāraṇātmanā līnaṃ kāryamevābhivyaktiniyāmakatayā śaktirityeṣṭavyaṃ,	tasmAt kAraNa AtmanA lInam kAryam eva aBivyakti niyAmaka tayA SaktiH ityezwavyaM,
   tataḥ satkāryasiddhirityarthaḥ /	tatas satkArya sidDiH iti arTaH /
   kiñca kāryakāraṇayoranyatve mṛdghaṭau bhinnau santāviti bhedabuddhiḥ	kiQca kArya kAraNayoH anya tve mRd GawO BinnO santO= iti Beda budDiH
   syādityāha # apiceti /.#	syAt iti Aha # apicA iti /.#
   tayoranyatve 'pi samavāyaśāttathā buddhirnodetītyāśaṅkya samavāyaṃ	tayoH anya tve api samavAyaSAt taTA budDiH na udetI iti ASaFkya samavAyam
   dūṣayati # samavāyeti /.#	dUzayati # samavAya iti /.#
   samavāyaḥ samavāyibhiḥ saṃbaddhona na vā /	samavAyaH samavAyiBiH saMbadDa Una na vA /
   ādye sa saṃbandhaḥ kiṃ samavāyaḥ uta svarūpam /	Adye sa saMbanDaH kim samavAyaH uta sva rUpam /
   ādye samavāyānavasthā /	Adye samavAya anavasTA /
   dvitīye mṛdghaṭayorapi svarūpasaṃbandhādevopapatteḥ samavāyāsiddhiḥ /	dvitIye mRd GawayoH api svarUpa saMbanDAt eva upapatteH samavAya asidDiH /
   asaṃbaddha iti pakṣe doṣamāha # anabhyupagamyamāna iti /.#	asaMbadDaH iti pakze dozam Aha # anaByupagamyamAnaH iti /.#
   dravyaguṇādīnāṃ viśiṣṭadhīvirahaprasaṅgaḥ /	dravya guNa AdInAm viSizwa DI viraha prasaFgaH /
   asaṃbaddhasya viśiṣṭadhīniyāmakatvāyogādityarthaḥ /	asaMbadDasya viSizwa DI niyAmaka tva ayogAt iti arTaH /
   viśiṣṭadhīniyāmako hi saṃbandhaḥ, na tasya niyāmakāntarāpekṣā,	viSizwa DI niyAmakaH hi saMbanDaH, na tasya niyAmaka antara apekzA,
   anavasthānāt, ataḥ svaparanirvāhakaḥ samavāya iti śaṅkate # atheti /.#	anavasTAnAt, atas sva para nirvAhakaH samavAyaH iti SaFkate # aTa iti /.#
   saṃbadhyate /	saMbaDyate /
   svasya svasaṃbandhinaśca viśiṣṭadhiyaṃ karotītyarthaḥ /	svasya sva saMbanDinaH ca viSizwa Diyam karoti iti arTaH /
   pratibandyā dūṣayati # saṃyogo 'pīti /.#	pratibandyA dUzayati # saMyogaH api iti /.#
   yattu guṇatvātsaṃyogasya samavāyāpekṣā na saṃbandhatvāditi, tanna,	yat tu guNa tvAt saMyogasya samavAya apekzA na saMbanDa tvAt iti, tat na,
   dharmatvāt, samavāyasyāpi saṃbandhāntarāpatterasaṃbaddhasyāśvatvasya	Darma tvAt, samavAyasya api saMbanDa antara ApatteH asaMbadDasya aSva tvasya
   godharmatvādarśanāt /	go Darma tva adarSanAt /
   kiñca 'niṣpāpatvādayo guṇāḥ'iti śrutismṛtyādiṣu 'vyavahārādiṣṭadharmo	kiQca anizpApa tva AdayaH guNAH aiti Sruti smRti Adizu avyavahAra Adizwa DarmaH 
   guṇaḥ'iti paribhāṣayā samāyasyāpi guṇatvācca /	guNaH aiti pariBAzayA samAyasya api guNa tvAt ca /
   'jātiviśeṣo guṇatvam'iti paribhāṣā tu samavāyasidhyuttarakālīnā,	ajAti viSezaH guNa tvam aiti pariBAzA tu samavAya siDI uttara kAlInA,
   nityānekasamavetā jātiriti jñānasya samavāyajñānādhīnatvāt /	nitya aneka samavetA jAtiH iti jQAnasya samavAya jQAna aDIna tvAt /
   ataḥ samavāyasiddheḥ prāk saṃyogasya guṇatvamasiddhamiti dik /	atas samavAya sidDeH prAk saMyogasya guNa tvam asidDam iti diS /
   kiñca pratītyanusāreṇa vastu svīkāryamanyathā gopratiteraśva	kiQca prati iti anusAreNa vastu svIkAryam anyaTA go pratiteH aSva
   ālambanamityasyāpi suvacatvāt /	Alambanam iti asya api su vaca tvAt /
   tathā ca mṛdghaṭa ityabhedapratīterabheda eva svīkāryaḥ,	taTA ca mRd GawaH iti aBeda pratIteH aBedaH eva svIkAryaH,
   tābhyāmatyantabhinnasya samavāyasya tanniyāmakatvāsaṃbhavādityāha #	tAByAm atyanta Binnasya samavAyasya tad niyAmaka tva asaMBavAt iti Aha #
   tādātmyeti /.#	tAdAtmya iti /.#
   evaṃ pratītyanusāreṇa kāryasya kāraṇātmanā sattvaṃ, svarūpeṇa tu	evam prati iti anusAreNa kAryasya kAraNa AtmanA sattvan, svarUpeNa tu
   mithyātmityuktam /	miTyA Atmiti uktam /
   vṛttyanirūpaṇācca tasya mithyātvamityāha # kathaṃ ceti /.#	vRtti anirUpaNAt ca tasya miTyAtvam iti Aha # kaTam ca iti /.#
   tatrādyamanūdyavayavinaḥ paṭādestantvādiṣvavayaveṣu tritvādivatsvarūpeṇa	tatra Adyam anUdyavayavinaH pawa AdeH tantu Adizu avayavezu tri tva Adi vat svarUpeNa
   vṛttirutāvayavaśa iti vikalpādyaṃ dūṣayati # yadītyādinā /.#	vRtti ruta avayavaSas iti vikalpa Adyam dUzayati # yadi ityAdinA /.#
   vyāsajyavṛttivastupratyakṣasya yāvadāśrayapratyakṣajanyatvāt	vyAsa jya vRtti vastu pratyakzasya yAvat ASraya pratyakza janya tvAt 
   saṃvṛtapaṭāderyāvadavayavānāmapratyakṣatvādapratyakṣatvaṃ	saMvRta pawa AdeH yAvat avayavAnAm apratyakza tvAt apratyakza tvam
   prasajyetetyarthaḥ /	prasajyeta iti arTaH /
   dvitīyaṃ śaṅkate # atheti /.#	dvitIyam SaFkate # aTa iti /.#
   yathā haste kośe cāvayavaśaḥ khaṅgo vartamāno hastamātragrahe 'pi gṛhyate,	yaTA haste koSe ca avayavaSas KaFgaH vartamAnaH hasta mAtra grahe api gRhyate,
   evaṃ yatkiñcidavayavagraheṇāvayavino grahasaṃbhave 'pyavayavānāmanavasthā	evam yat kiQcidavayava graheNa avayavinaH graha saMBave api avayavAnAm anavasTA
   syāditi dūṣayati # tadāpīti /.#	syAt iti dUzayati # tadA api iti /.#
   ādyadvitīyamudbhāvya dūṣayati # atha pratyavayavamityādinā /.#	AdyadvitIyam udBAvya dUzayati # aTa pratyavayavam ityAdinA /.#
   ekasmiṃstantau paṭavṛttikāle tantvantare vṛttirna syāt,	ekasmin= tantO pawa vRtti kAle tantu antare vRttiH na syAt ,
   vṛttāvanekatvāpatterityarthaḥ /	vRttO= aneka tva ApatteH iti arTaH /
   yathā yugapadanekavyaktiṣu vṛttāvapi jāteranekatvadoṣo nāsti tathāvayavina	yaTA yugapad aneka vyaktizu vRttO= api jAteH aneka tva dozaH na asti taTA avayavina
   ityāśaṅkate # gotveti /.#	iti ASaFkate # go tva iti /.#
   jātivadavayavino vṛttirasiddhā anubhavābhāviditi pariharati # na /	jAti vat avayavinaH vRttiH asidDAH anuBava aBAvit iti pariharati # na /
   tatheti /.#	taTA iti /.#
   doṣāntaramāha # pratyeketi /.#	doza antaram Aha # pratyeka iti /.#
   adhikārātsaṃbandhāt /	aDikArAt saMbanDAt /
   yathā devadattaḥ svakāryamadhyayanaṃ grāme 'raṇye vā karoti, yathā	yaTA devadattaH sva kAryam aDyayanam grAme araNye vA karoti, yaTA
   gauravayavī svakāryaṃ kṣīrādikaṃ śṛṅgapucchādāvapi kuryādityarthaḥ /	gOrava yavI sva kAryam kzIra Adikam SRFga pucCa AdO= api kuryAt iti arTaH /
   evaṃ vṛttyanirūpaṇādanirvācyatvaṃ kāryasya darśitam /	evam vRtti anirUpaNAt a nirvAcya tvam kAryasya darSitam /
   saṃpratyasatkāryavāde doṣāntaramāha # prāgiti /.#	saMprati asat kArya vAde doza antaram Aha # prAk iti /.#
   yathā ghaṭaścalatītyukte calanakriyāṃ pratyāśrayatvarūpaṃ kartṛtvaṃ	yaTA GawaH calati iti ukte calana kriyAm pratyASraya tva rUpam kartR tvam
   ghaṭasya bhāti tathā paṭo jāyata iti janikriyākartṛtvamanubhūyate /	Gawasya BAti taTA pawaH jAyate iti jani kriyA kartR tvam anuBUyate /
   ato janikartuḥ janeḥ prāksattvaṃ vācyam /	atas janikartuH janeH prAk sattvam vAcyam /
   karturasattve kriyāyā apyasattvāpatterityarthaḥ /	kartuH asattve kriyAyAH api asattva ApatteH iti arTaH /
   janeranubhavasiddhe 'pi sakartṛkatve kriyātvenānumānamāha # utpattiśceti	janeH anuBava sidDe api sa kartRka tve kriyA tvena anumAnam Aha # utpattiH ca iti
   asato ghaṭasyotpattau kartṛtvāsaṃbhave 'pi kulālādeḥ	asataH Gawasya utpattO kartR tva asaMBave api kulAla AdeH
   sattvātkartṛtvamityāśaṅkayāha # ghaṭasya ceti /.#	sattvAt kartR tvam iti ASaFkayA Aha # Gawasya ca iti /.#
   ghaṭotpattivadasatkapālādyutpattirityatidiśati # tatheti /.#	Gawa utpatti vat asat kapAla Adi utpattiH iti atidiSati # taTA iti /.#
   śaṅkāmanūdya doṣamāha # tathā ceti /.#	SaFkAm anUdya dozam Aha # taTA ca iti /.#
   anubhavavirodhamityarthaḥ /	anuBava viroDam iti arTaH /
   utpattirbhāvasyādya vikriyeti svamatena kāryasattvamānītaṃ, saṃprati	utpattiH BAvasya adya vikriyA iti sva matena kArya sattvam AnItaM, saMprati
   kāryasyotpattirnāma svakāraṇe samavāyaḥsvasmin sattāsamavāyo veti	kAryasya utpattiH nAma sva kAraNe samavAyaHsvasmin sattA samavAyaH vA iti
   tārkikamatamāśaṅkate # atheti /.#	tArkika matamASaFkate # aTa iti /.#
   tanmatenāpi kāryasya sattvamāvaśyakaṃ, asataḥ saṃbandhitvāyogādityāha #	tad matena api kAryasya sattvam AvaSya kaM, asataH saMbanDi tva ayogAt iti a Aha #
   kathamiti /.#	kaTam iti /.#
   asatorveti dṛṣṭāntoktiḥ /	asatA uH vA iti dRzwAnta uktiH /
   nanu naraśṛṅgādivatkāryaṃ sarvadā sarvatrāsanna bhavati kintūtpatteḥ prāk	nanu nara SRFga Adi vat kAryam sarvadA sarvatra Asan na Bavati kintu utpatteH prAk 
   dhvaṃsānantaraṃ cāsat madhye tu sadeveti	DvaMsa anantaram ca asat maDye tu sat eva iti
   vaiṣamyātsaṃbandhitvopapattirityāśaṅkyāha # abhāvasyeti /.#	vEzamyAt saMbanDi tva upapattiH iti ASaFkya Aha # aBAvasya iti /.#
   atrābhāvabdā asacchabdāparaparyāyā vyākhyeyāḥ /	atra aBAvabdAH asat Sabda apara paryAyAH vyAKyeyAH /
   asataḥ kālenāsaṃbandhātprāktvaṃ na yuktamityarthaḥ /	asataH kAlena asaMbanDAt prAk tvam na yuktam iti arTaH /
   nanu kārakavyāpārādūrdhvabhāvinaḥ kāryasya vandhyāputratulyatvaṃ	nanu kAraka vyApArAt UrDva BAvinaH kAryasya vanDyA putra tulya tvam
   kathamityata āha # yadi ceti /.#	kaTam iti atas Aha # yadi ca iti /.#
   kāryābhāvo 'satkāryamityartha ityupāpatsvata upapannamabhaviṣyadityanvayaḥ	kArya aBAvaH asatkAryam iti arTaH iti upApatsvataH upapannam aBavizyat iti anvayaH
   kastarhi nirṇayaḥ, tatrāha # vayaṃ tviti /.#	kaH tarhi nirNayaH, tatra Aha # vayam tu iti /.#
   'nāsato vidyate bhāvaḥ'iti smṛteriti bhāvaḥ /	anAsataH vidyate BAvaH aiti smRteH iti BAvaH /
   satkāryavāde kārakavaiyarthyaṃ śaṅkate # nanviti /.#	satkArya vAde kAraka vEyarTyam SaFkate # nanu iti /.#
   siddhakāraṇānanyatvācca kāryasya siddhatvamityāha # tadananyatvācceti /.#	sidDa kAraNa ananya tvAt ca kAryasya sidDa tvam iti Aha # tat ananya tvAt ca iti /.#
   anirvācyakāryātmanā kāraṇasyābhivyaktyarthaḥ kārakavyāpāra ityāha # naiṣa	anirvAcya kArya AtmanA kAraNasya aBivyakti arTaH kAraka vyApAraH iti Aha # na eza
   doṣa iti /.#	dozaH iti /.#
   kāryasatyatvamicchatāṃ sāṃkhyānāṃ satkāryavāde kārakavaiyarthyaṃ doṣa	kArya satya tvam icCatAm sAMKyAnAm satkArya vAde kAraka vEyarTyam doza
   āpatati, abhivyakterapi sattvāt /	Apatati, aBivyakteH api sattvAt /
   advaitavādināṃ tvaghaṭitaghaṭhanāvabhāsanacaturamāyāmahimnā	advEta vAdinAm tu aGawita GaWana avaBAsana catura mAyA mahimnA
   svapnavadyathādarśanaṃ sarvamupapannam /	svapna vat yaTA darSanam sarvam upapannam /
   vicāryamāṇe sarvamayuktaṃ, yuktatve dvaitāpatteriti mukhyaṃ samādhānaṃ	vicAryamANe sarvam ayuktan, yukta tve dvEta ApatteH iti muKyam samADAnam
   samādhānāntarābhāvāt /	samADAna antara aBAvAt /
   nanu kāraṇādbhinnamasadevotpadyata iti samādhānaṃ kiṃ na	nanu kAraNAt Binnam asadeva utpadyate iti samADAnam kim na
   syādityāśaṅkyāsatpakṣasya dūṣaṇamuktaṃ smaretyāha # kāryākāro 'pīti /.#	syAt iti ASaFkya asat pakzasya dUzaNam uktam smara iti Aha # kArya akAraH api iti /.#
   ataḥ kāraṇādbhedābhedābhyāṃ durnirūpasya	atas kAraNAt Beda aBedAByAm durnirUpasya
   sadasadvilakṣaṇasyānirvācyābhivyaktiranirvācyakārakavyāpārāṇāṃ phalamiti	sat asat vilakzaNasya anirvAcya aBivyaktiH anirvAcya kAraka vyApArANAm Palam iti
   pakṣa eva śreyāniti bhāvaḥ /	pakzaH eva SreyAn iti BAvaH /
   nanu mṛdyadṛṣṭaḥ pṛthubudhnatvādyavasthāviśeṣo ghaṭe dṛśyate /	nanu mRdyadRzwaH pRTu buDna tva Adi avasTA viSezaH Gawe dRSyate /
   tathāca ghaṭo mṛdbhinnaḥ, tadviruddhaviśeṣavattvāt, vṛkṣavadityata āha #	taTA ca GawaH mRd BinnaH, tad virudDa viSezavat tva at, vRkza vat iti atas Aha #
   naceti /.#	na ca iti /.#
   vastuto 'nyatvaṃ satyo bhedaḥ /	vastutas anya tvam satyaH BedaH /
   hetorvyabhicārasthalāntaramāha # tathā pratidinamiti /.#	hetoH vyaBicAra sTala antaram Aha # taTA pratidinam iti /.#
   pratyahaṃ pitrādidehasyāvasthābhede 'pi janmanāśayorabhāvādabhedo yuktaḥ /	pratyaham pitR Adi dehasya avasTA Bede api janma nA ASaya uH aBAvAt aBedaH yuktaH /
   dārṣṭāntike tu mṛdādināśe sati ghaṭādikaṃ jāyata iti	dArzwa antike tu mRd Adi nASe sati Gawa Adikam jAyate iti
   janmavināśarūpaviruddhadharmavattvātkāryakāraṇayorabhedo na yukta iti	janma vinASa rUpa virudDa Darmavat tvAt kArya kAraNayoH aBedaH na yuktaH iti
   śaṅkate # janmeti /.#	SaFkate # janma iti /.#
   kāraṇasya nāśābhāvāddhetvasiddhiriti pariharati # neti /.#	kAraNasya nASa aBAvAt hetu asidDiH iti pariharati # na iti /.#
   dadhighaṭādikāryānvitatvena kṣīramṛdādīnāṃ	daDi Gawa Adi kArya anvita tvena kzIra mRdA AdInAm
   pratyakṣatvānnāśāsiddhirityarthaḥ /	pratyakza tvAt nASA sidDiH iti arTaH /
   nanu yatrānvayo dṛśyate tatra hetvasiddhāvapi yatrāṅkurādau	nanu yatra anvayaH dRSyate tatra hetu asidDO= api yatra aFkura AdO
   vaṭabījādīnāmanvayo na dṛśyate tatra hetusattvādvasatvanyatvaṃ syādityata	vawa bIja AdInAm anvayaH na dRSyate tatra hetu sattvAt vasatu anya tvam syAt iti ata
   āha # adṛśyeti /.#	Aha # adRSya iti /.#
   tatrāpyaṅkurādau bījādyavayavānāmanvayānna sta eva janmavināśau	tatra api aFkura AdO bIja Adi avayavAnAm anvayAt na staH eva janma vinASO
   kintvavayāntaropacayāpacayābhyāṃ tadvyavahāra ityarthaḥ /	kintu avayA antara upacaya apacayAByAm tad vyavahAraH iti arTaH /
   astūpacayāpacayaliṅgena vastubhedānumānaṃ tato 'sata utpattiḥ sato nāśa	astu upacaya apacaya liFgena vastu Beda anumAnam tatas asataH utpattiH sataH nASa
   ityāśaṅkya vyabhicāramāha # tatredṛgiti /.#	iti ASaFkya vyaBicAram Aha # tatra IdRS iti /.#
   pitṛdehe 'pi bhedasattvānna vyabhicāra ityatra bādhakamāha # pitrādīti /	pitR dehe api Beda sattvAt na vyaBicAraH iti atra bADakam Aha # pitR Adi iti /
   eteneti /.#	etena iti /.#
   kāraṇasya sarvakāryeṣvanvayakathanenetyarthaḥ /	kAraNasya sarva kAryezu anvaya kaTanena iti arTaH /
   svapakṣe doṣaṃ parihṛtya parapakṣe prasañjayati # yasya punariti /.#	sva pakze dozam parihRtya para pakze prasaQjayati # yasya punar iti /.#
   asataḥ kāryasya kārakavyāpārāhitātiśayāśrayatvāyogādaviṣayatve 'pi	asataH kAryasya kAraka vyApAra ahita atiSaya ASraya tva ayogAt avizaya tve api
   mṛdāderviṣayatvaṃ syāditi śaṅkate # samavāyīti /.#	mRd AdeH vizaya tvam syAt iti SaFkate # samavAyi iti /.#
   samavāyikāraṇātkāryaṃ bhinnamabhinnaṃ veti vikalpādyaṃ nirasyati #	samavAyi kAraNAt kAryam Binnam aBinnam vA iti vikalpa Adyam nirasyati  #
   netyādinā /.#	na ityAdinA /.#
   dvitīyamāśaṅkyeṣṭāpattimāha # samavāyīti /.#	dvitIyam ASaFkya izwApattim Aha # samavAyi iti /.#
