   (PSP_2 3:1)	(PSu _2 3:1)
   vikalpayiṣyanti, na viviktam asaṃskṛtadhātur iti vikalpayiṣyanti.	vikalpayizyanti, na viviktam asaMskRta DAtuH iti vikalpayizyanti.
   atha khalv āyuṣmān subhūtis tān devaputrān etad avocat: nāsyā devaputrāḥ	aTa Kalu AyuzmAn suBUtiH tAn deva putrAn etat avocat: na asyAH deva putrAH
   prajñāpāramitāyā evaṃ gambhīrāyā yāvad alamāryāyāḥ paṇḍitavijñavedanīyāyāḥ	prajQApAramitAyAH evam gamBIrAyAH yAvat alamAryAyAH paNxita vijQa vedanIyAyAH
   kaścit pratyeṣako bhaviṣyati tat kasya hetos? tathā hy atra na kaścid	kaScid pratyezakaH Bavizyati tat kasya hetos? taTA hi atra na kaScid 
   dharmo deśyate na sūcyate na paridīpyate, yathaivātra na kaścid dharmo	DarmaH deSyate na sUcyate na paridIpyate, yaTA eva atra na kaScid DarmaH 
   deśyate na sūcyate na paridīpyate tathaivātra na kaścit pratyeṣako	deSyate na sUcyate na paridIpyate taTA eva atra na kaScid pratyezakaH 
   bhaviṣyati.	Bavizyati.
   atha khalv āyuṣmāñ śāriputra āyuṣmantaṃ subhūtiṃ sthaviram etad avocat:	aTa Kalu AyuzmAn SAriputraH Ayuzmantam suBUtim sTaviram etat avocat :
   nanv āyuṣman subhūte iha prajñāpāramitāyāṃ trīṇi yānāni	nanu Ayuzman suBUte iha prajQApAramitAyAm trINi yAnAni
   vistareṇopadiśyante yad uta śrāvakayānaṃ pratyekabuddhayānaṃ	vistareNa upadiSyante yat uta SrAvaka yAnam pratyekabudDa yAnam
   samyaksaṃbuddhayānaṃ, bodhisattvānāṃ ca mahāsattvānāṃ saṃparigraha	samyaksaMbudDa yAnaM, boDisattvAnAm ca mahAsattvAnAm saMparigraha
   upadiśyate prathamacittotpādam upādāya yāvad daśamaś cittotpāda iti	upadiSyate praTama citta utpAdam upAdAya yAvat daSamaH citta utpAdaH iti
   bodhisattvamārgaś copadiśyate yad uta dānapāramitā śīlapāramitā	boDisattva mArgaH ca upadiSyate yat uta dAna pAramitA SIla pAramitA
   kṣāntipāramitā vīryapāramitā dhyānapāramitā prajñāpāramitā	kzAnti pAramitA vIrya pAramitA DyAna pAramitA prajQApAramitA
   smṛtyupasthānāni samyakprahāṇāny ṛddhipādā indriyāṇi balāṇi bodhyaṅgāny	smRti upasTAnAni samyak prahANAni RdDipAdAH indriyANi balANi boDi aFgAni 
   āryāṣṭāṅgamārgaś catvāry apramāṇāṃ catvāri dhyānāni catasra	Arya azwa aFga mArgaH catvAri apramANAm catvAri DyAnAni catasra
   ārūpyasamāpattayo 'bhijñāḥ satyāni daśatathāgatabalāni catvāri	ArUpya samApattayaH aBijQAH satyAni daSa taTAgata balAni catvAri
   vaiśāradyāni catasraḥ pratisaṃvido 'ṣṭādaśāveṇikā buddhadharmāḥ	vESAradyAni catasraH pratisaMvidaH azwAdaSa AveNikAH budDa DarmAH
   sarvaśūnyatāḥ sarvasamādhayaḥ sarvadhāraṇīmukhāni, bodhisattvānāṃ ca	sarva SUnyatAH sarva samADayaH sarva DAraNI muKAni, boDisattvAnAm ca
   mahāsattvānāṃ saṃparigraha upadiṣyate evaṃ bodhisattvo mahāsattvaḥ	mahAsattvAnAm saMparigrahaH upadizyate evam boDisattvaH mahAsattvaH
   prajñāpāramitāyāṃ caran nopapāduko bhaviṣyati. evam abhijñābhir	prajQApAramitAyAm caran na upapAdukaH Bavizyati. evam aBijQABiH 
   aparihāṇadharmā buddhakṣetrād buddhakṣetraṃ saṃkramiṣyanti yaiś ca	aparihANa DarmAH budDa kzetrAt budDa kzetram saMkramizyanti yEH ca
   kuśalamūlair ākāṅkṣiṣyanti buddhān bhagavataḥ satkartuṃ gurukartuṃ	kuSala mUlEH AkAFkzizyanti budDAn BagavataH satkartum guru kartum
   mānayituṃ pūjayituṃ tāny asya kuśalamūlāni samṛddhiṃ yāsyanti. yaṃ ca	mAnayitum pUjayitum tAni asya kuSala mUlAni samRdDim yAsyanti. yam ca
   teṣāṃ buddhānāṃ bhagavatām antike dharmaṃ śroṣyanti sarvo 'sya dharmo na	tezAm budDAnAm BagavatAm antike Darmam Srozyanti sarvaH asya DarmaH na
   jātv antarā vicchetsyati yāvan nānuttarā samyaksaṃbodhir abhisaṃbuddheti	jAtu antarA vicCetsyati yAvat na anuttarA samyaksaMboDiH aBisaMbudDa iti
   sadā samāhitaś ca bhaviṣyati avikṣiptacittaḥ. samāhitayogena,	sadA samAhitaH ca Bavizyati avikzipta cittaH. samAhita yogena,
   asaṅgapratibhānaś ca bhaviṣyati, anācchedyapratibhānaḥ samāhitapratibhāno	asaFga pratiBAnaH ca Bavizyati, anAcCedya pratiBAnaH samAhita pratiBAnaH 
   yuktapratibhānaḥ śliṣṭapratibhāno 'rthavatpratibhānaḥ	yukta pratiBAnaH Slizwa pratiBAnaH arTavat pratiBAnaH
   sarvalokābhyudgataviśiṣṭapratibhānaś ca bhaviṣyati.	sarva loka aByudgata viSizwa pratiBAnaH ca Bavizyati.
   (PSP_2 3:19)	(PSu _2 3:19)
   subhūtir āha: evam etad āyuṣmañ śāriputra evam etat. tathaiva tadyathā	suBUtiH Aha: evam etat Ayuzman SAriputra evam etat. taTA eva tat yaTA
   vadasi vistareṇeha prajñāpāramitāyāṃ trīṇi yānāny upadiṣṭāni yad uta	vadasi vistareNa iha prajQApAramitAyAm trINi yAnAni upadizwAni yat uta
   śrāvakayānaṃ pratyekabuddhayānaṃ mahāyānaṃ, bodhisattvānāṃ ca	SrAvaka yAnam pratyekabudDa yAnam mahAyAnaM, boDisattvAnAm ca
   mahāsattvānāṃ saṃparigrahā upadiṣṭā yāvad bodhisattvā mahāsattvāḥ	mahAsattvAnAm saMparigrahAH upadizwAH yAvat boDisattvAH mahAsattvAH
   sarvalokābhyudgataviśiṣṭapratibhānā bhaviṣyanti. tac cānupalambhayogena	sarva loka aByudgata viSizwa pratiBAnA Bavizyanti. tat ca anupalamBa yogena
   kasyānupalambhayogena?	kasya anupalamBa yogena?
   ātmasattvajīvapoṣapuruṣapudgalamanujamānavakārakavedakajānakapaśyakasyānupalambhayogena.	Atma sattva jIva poza puruza pudgalam anujamAnavakAraka vedaka jAnaka paSyakasya anupalamBa yogena.
   rūpasyānupalambhayogena, vedanāyāḥ saṃjñāyāḥ saṃskārāṇāṃ	rUpasya anupalamBa yogena, vedanAyAH saMjQAyAH saMskArANAm
   vijñānasyānupalambhayogena. cakṣuṣo 'nupalambhayogena, evaṃ śrotrasya	vijQAnasya anupalamBa yogena. cakzuzaH anupalamBa yogena, evam Srotrasya
   ghrāṇasya jihvāyāḥ kāyasya manaso 'nupalambhayogena. cakṣurviñānasya	GrANasya jihvAyAH kAyasya manasaH anupalamBa yogena. cakzuH viQAnasya
   cakṣuḥsaṃsparśasya cakṣuḥsaṃsparśajāyā vedanāyā anupalambhayogena, evaṃ	cakzuH saMsparSasya cakzuH saMsparSa jAyAH vedanAyAH anupalamBa yogena, evam
   śrotraghrāṇajihvākāyamanovijñānasya manaḥsaṃsparśasya manaḥsaṃsparśajāyā	Srotra GrANa jihvA kAya manaH vijQAnasya manaH saMsparSasya manaH saMsparSa jAyA
   vedanāyā anupalambhayogena. evaṃ rūpaśabdagandharasasparśadharmāṇām	vedanAyAH anupalamBa yogena. evam rUpa Sabda ganDa rasa sparSa DarmANAm
   anupalambhayogena. pṛthivīdhātor anupalambhayogena, evam abdhātos	anupalamBa yogena. pRTivI DAtoH anupalamBa yogena, evam abDAtoH 
   tejodhātor vāyudhātor ākāśadhātor vijñānadhātor anupalambhayogena.	tejaH DAtoH vAyuDAtoH AkASa DAtoH vijQAna DAtoH anupalamBa yogena.
   dānapāramitāyā anupalambhayogena, evaṃ śīlapāramitāyāḥ. kṣāntipāramitāyā	dAna pAramitAyAH anupalamBa yogena, evam SIla pAramitAyAH. kzAnti pAramitAyAH 
   vīryapāramitāyā dhyānapāramitāyāḥ prajñāpāramitāyā anupalambhayogena.	vIrya pAramitAyAH DyAna pAramitAyAH prajQApAramitAyAH anupalamBa yogena.
   adhyātmaśūnyatāyā anupalambhayogena yāvad abhāvasvabhāvaśūnyatāyā	aDyAtma SUnyatAyAH anupalamBa yogena yAvat aBAva svaBAva SUnyatAyA
   anupalambhayogena. smṛtyupasthānānām anupalambhayogena, evaṃ	anupalamBa yogena. smRti upasTAnAnAm anupalamBa yogena, evam
   samyakprahāṇānām ṛddhipādānām indriyāṇāṃ balānāṃ bodhyaṅgānām	samyak prahANAnAm RdDi pAdAnAm indriyANAm balAnAm boDi aFgAnAm
   āryāṣṭāṅgikasya mārgasyānupalambhayogena. apramāṇadhyānārūpyasamāpattīnām	Arya azwa AFgikasya mArgasya anupalamBa yogena. apramANa DyAna ArUpya samApattInAm
   abhijñānām āryasatyānām anupalambhayogena. daśānāṃ tathāgatabalānāṃ	aBijQAnAm Arya satyAnAm anupalamBa yogena. daSAnAm taTAgata balAnAm
   vaiśāradyānāṃ pratisaṃvidām āveṇikabuddhadharmāṇām anupalambhayogena.	vESAradyAnAm pratisaMvidAm AveNika budDa DarmANAm anupalamBa yogena.
   sarvasamādhīnāṃ sarvadhāraṇīmukhānāṃ sarvajñatāyā anupalambhayogena.	sarva sama aDInAm sarva DAraNI muKAnAm sarvajQa tAyAH anupalamBa yogena.
   atha khalv āyuṣmāñ chāriputra āyuṣmantaṃ subhūtim etad avocat: kena	aTa Kalu AyuzmAn CAriputraH Ayuzmantam suBUtim etat avocat: kena
   kāraṇenāyuṣman subhūte iha prajñāpāramitāyāṃ triṇi yānāni	kAraNena Ayuzman suBUte iha prajQApAramitAyAm triNi yAnAni
   vistareṇopadiśyante anupalambhayogena? kena kāraṇena bodhisattvasya	vistareNa upadiSyante anupalamBa yogena? kena kAraNena boDisattvasya
   mahāsattvasya saṃparigraha upadiśyate yāvat	mahAsattvasya saMparigrahaH upadiSyate yAvat 
   sarvalokābhyudgataviśiṣṭapratibhāno bodhisattvo mahāsattvo bhaviṣyati	sarva loka aByudgata viSizwa pratiBAnaH boDisattvaH mahAsattvaH Bavizyati
   anupalambhayogena?	anupalamBa yogena?
   subhūtir āha: adhyātmaśūnyatām upādāyāyuṣmañ śāriputra triṇi yānāni	suBUtiH Aha: aDyAtma SUnyatAm upAdAya Ayuzman SAriputra triNi yAnAni
   vistareṇopodiśyante anupalambhayogena. bahirdhāśūnyatām	vistareNa upodiSyante anupalamBa yogena. bahirDA SUnyatAm
   upādāyādhyātmabahirdhāśūnyatām (PSP_2 3:20) upādāya yāvad	upAdAya aDyAtma bahirDA SUnyatAm (PSu _2 3:20) upAdAya yAvat 
   abhāvasvabhāvaśūnyatām upādāya trīṇi yānāni vistareṇopadiśyante	aBAva svaBAva SUnyatAm upAdAya trINi yAnAni vistareNa upadiSyante
   anupalambhayogena, yāvad abhāvasvabhāvaśūnyatām upādāya bodhisattvasya	anupalamBa yogena, yAvat aBAva svaBAva SUnyatAm upAdAya boDisattvasya
   mahāsattvasya saṃparigraha upadiśyate yāvat	mahAsattvasya saMparigrahaH upadiSyate yAvat 
   sarvalokābhyudgataviśiṣṭapratibhāno bodhisattvasya mahāsattvasya	sarva loka aByudgata viSizwa pratiBAnaH boDisattvasya mahAsattvasya
   bhaviṣyati anupalambhayogena.	Bavizyati anupalamBa yogena.
   atha khalu śakrasya devānām indrasyaitad abhavat: asyā dharmadṛṣṭeḥ	aTa Kalu Sakrasya devAnAm indrasya etat aBavat: asyAH Darma dRzweH
   subhūtinā sthavireṇa bhāṣyamāṇāyā yāvantas trisāhasramahāsāhasre	suBUtinA sTavireNa BAzyamANAyAH yAvantaH tri sAhasra mahA sAhasre
   lokadhātau cāturmahārājakāyikā devā yāvad akaniṣṭhā devās teṣāṃ caitad	lokaDAtO cAturmahArAja kAyikAH devAH yAvat akanizWAH devAH tezAm ca etat 
   abhavat: asyā dharmadṛṣṭeḥ subhūtinā sthavireṇa bhāṣyamāṇāyā yan nu vayaṃ	aBavat: asyAH Darma dRzweH suBUtinA sTavireNa BAzyamANAyAH yat nu vayam
   puṣpāṇy abhinirmāya taiḥ puṣpair buddhaṃ bhagavantaṃ bodhisattvaṃ	puzpANi aBinirmAya tEH puzpEH budDam Bagavantam boDisattvam
   bhikṣusaṃghaṃ ca subhūtiṃ ca sthaviram imāṃ prajñāpāramitām abhyavakirema.	Bikzu saMGam ca suBUtim ca sTaviram imAm prajQApAramitAm aByavakirema.
   atha khalu śakro devānām indras te trisāhasramahāsāhasre lokadhātau	aTa Kalu SakraH devAnAm indraH te tri sAhasra mahA sAhasre lokaDAtO
   cāturmahārājakāyikān devān upādāya yāvad akaniṣṭhā devā divyāni	cAturmahArAjakAyikAn devAn upAdAya yAvat akanizWA devAH divyAni
   māndāravāṇi puṣpāṇy abhinirmāya, taiḥ puṣpair buddhaṃ bhagavantaṃ	mAndAravANi puzpANi aBinirmAya, tEH puzpEH budDam Bagavantam
   bodhisattvaṃ bhikṣusaṃghaṃ ca subhūtiṃ ca sthaviram imāṃ ca	boDisattvam Bikzu saMGam ca suBUtim ca sTaviram imAm ca
   prajñāpāramitām abhyavakiranti sma, abhiprakiranti sma,	prajQApAramitAm aByavakiranti sma, aBiprakiranti sma,
   samanantarāvakīrṇāni ca tāni puṣpāṇi śakreṇa devānām indreṇa, taiś ca	samanantara avakIrNAni ca tAni puzpANi SakreNa devAnAm indreNa, tEH ca
   yāvad akaniṣṭhair devaiḥ.	yAvat akanizWEH devEH.
   atha khalu sarvasmiṃs trisāhasramahāsāhasre lokadhātau puṣpasaṃstaraḥ	aTa Kalu sarvasmin tri sAhasra mahA sAhasre lokaDAtO puzpa saMstaraH
   saṃstṛto 'bhūt. upariṣṭāc cāntarīkṣe puṣpakūṭāgāraṃ saṃsthitam abhūt	saMstRtaH aBUt. uparizwAt ca antarIkze puzpa kUwAgAram saMsTitam aBUt 
   ramaṇīyaṃ manoramam.	ramaNIyam manoramam.
   atha khalu subhūteḥ sthavirasyaitad abhavat: na punar imāni puṣpāṇi mayā	aTa Kalu suBUteH sTavirasya etat aBavat: na punar imAni puzpANi mayA
   sarvadevabhavaṇeṣu dṛṣṭapūrvāṇi pracaranti yānīmāni puṣpāṇi devaputrair	sarva deva BavaNezu dRzwa pUrvANi pracaranti yAni imAni puzpANi deva putrEH 
   abhyavakīrṇāni nirmitānīmāni puṣpāṇi na vṛkṣagulmalatānirjātāni, yānīmāni	aByavakIrNAni nirmitAni imAni puzpANi na vRkza gulma latA nirjAta ani, yAni imAni
   devaputrair abhyavakīrṇāni manomayāny etāni puṣpāṇi naitāni puṣpāṇi	deva putrEH aByavakIrNAni manaH mayAni etAni puzpANi na etAni puzpANi
   vṛkṣagulmalatānirjātānīmāni devaputrair abhyavakīrṇāni.	vRkza gulma latA nirjAtAni imAni deva putrEH aByavakIrNAni.
   atha khalu śakro devānām indraḥ sthaviraṃ subhūtiṃ etad avocat:	aTa Kalu SakraH devAnAm indraH sTaviram suBUtim etat avocat :
   anirjātānīmāni bhadanta subhūte puṣpāṇi naitāni puṣpāṇi manonirjātāni nāpi	anirjAtAni imAni Badanta suBUte puzpANi na etAni puzpANi manaH nirjAtAni na api
   (PSP_2 3:21) vṛkṣagulmalatānirjātāni.	(PSu _2 3:21) vRkza gulma latA nirjAtAni.
   subhūtir āha: yat kauśikaivaṃ vadasi, anirjātānīmāni puṣpāṇi naitāni	suBUtiH Aha: yat kOSika evam vadasi, anirjAtAni imAni puzpANi na etAni
   manonirjātāni nāpi vṛkṣagulmalatānirjātānīti. yāni kauśikānirjātāni na	manaH nirjAtAni na api vRkza gulma latA nirjAta Ani iti. yAni kOSikA nirjAtAni na
   tāni puṣpāṇi śakro devānām indra āha: kiṃ punar bhadanta subhūte imāny eva	tAni puzpANi SakraH devAnAm indraH Aha: kim punar Badanta suBUte imAni eva
   puṣpāny anirjātāni, atha rūpam apy anirjātaṃ vedanāsaṃjñāsaṃskārāḥ	puzpAni anirjAta ani, aTa rUpam api anirjAtam vedanA saMjQA saMskArAH
   vijñānam apy anirjātaṃ?	vijQAnam api anirjAtaM?
   subhūtiḥ sthavira āha: na kauśika imāny eva puṣpāṇy anirjātāni, rūpam api	suBUtiH sTaviraH Aha: na kOSika imAni eva puzpANi anirjAtAni, rUpam api
   kauśikānirjātaṃ yac cānirjātaṃ na tad rūpam. vedanāsaṃjñāsaṃskārāḥ	kOSikA nirjAtam yat ca anirjAtam na tat rUpam. vedanA saMjQA saMskArAH
   vijñānaṃ kauśikānirjātaṃ yac cānirjātaṃ na tad vijñānaṃ. cakṣuḥ	vijQAnam kOSikA nirjAtam yat ca anirjAtam na tat vijQAnaM. cakzuH
   kauśikānirjātaṃ yac cānirjātaṃ na tac cakṣuḥ, evaṃ śrotraṃ ghrāṇaṃ jihvā	kOSikA nirjAtam yat ca anirjAtam na tat cakzuH, evam Srotram GrANam jihvA
   kāyo manaḥ kauśikānirjātaṃ yac cānirjātaṃ na tan manaḥ. pṛthivīdhātuḥ	kAyaH manaH kOSikA nirjAtam yat ca anirjAtam na tat manaH. pRTivI DAtuH
   kauśikānirjāto yaś cānirjāto na sa pṛthivīdhātur, evam abdhātus tejodhātur	kOSikA nirjAtaH yaH ca anirjAtaH na sa pRTivI DAtur, evam abDAtuH tejaH DAtuH 
   ākāśadhātur vijñānadhatuḥ kauśikānirjāto yaś cānirjāto na sa	AkASa DAtuH vijQAna DatuH kOSikA nirjAtaH yaH ca anirjAtaH na sa
   vijñānadhātuḥ. dānapāramitā kauśika anirjātā yā cānirjātā na sā	vijQAna DAtuH. dAna pAramitA kOSika anirjAtA yA ca anirjAtA na sA
   dānapāramitā, evaṃ śīlapāramitā kṣāntipāramitā vīryapāramitā	dAna pAramitA, evam SIla pAramitA kzAnti pAramitA vIrya pAramitA
   dhyānapāramitā prajñāpāramitā kauśika anirjātā yā cānirjātā na sā	DyAna pAramitA prajQApAramitA kOSika anirjAtA yA ca anirjAtA na sA
   prajñāpāramitā. adhyātmaśūnyatā kauśika anirjātā yā cānirjātā na sā	prajQApAramitA. aDyAtma SUnyatA kOSika anirjAtA yA ca anirjAtA na sA
   adhyātmaśūnyatā yāvad abhāvasvabhāvaśūnyatā kauśika anirjātā yā cānirjātā	aDyAtma SUnyatA yAvat aBAva svaBAva SUnyatA kOSika anirjAtA yA ca anirjAtA
   na sā abhāvasvabhāvaśūnyatā, smṛtyupasthānāni kauśika anirjātāni yāni	na sA aBAva svaBAva SUnyatA, smRti upasTAnAni kOSika anirjAtAni yAni
   cānirjātāni na tāni smṛtyupasthānāni, evaṃ samyakprahāṇāny ṛddhipādāḥ	ca anirjAtAni na tAni smRti upasTAnAni, evam samyak prahANAni RdDi pAdAH
   indriyāṇi balāni bodhyaṅgāny āryāṣṭaṅgo mārgaḥ kauśika, anirjāto yaś	indriyANi balAni boDi aFgAni AryAzwaFgaH mArgaH kOSika, anirjAtaH yaH 
   cānirjāto na sa mārgaḥ. evam abhijñāḥ satyāny	ca anirjAtaH na sa mArgaH. evam aBijQAH satyAni 
   apramāṇadhyānārūpyasamāpattayo daśatathāgatabalāni catvāri vaiśāradyāni	apramANa DyAna ArUpya samApattayaH daSa taTAgata balAni catvAri vESAradyAni
   catasraḥ pratisaṃvido 'ṣṭādaśāveṇikābuddhadharmāḥ kauśika anirjātā ye	catasraH pratisaMvidaH azwAdaSa aveNikA budDa DarmAH kOSika anirjAtAH ye
   cānirjātā na te buddhadharmāḥ. srotaāpattiphalaṃ kauśika anirjātaṃ yac	ca anirjAtAH na te budDa DarmAH. srotaApatti Palam kOSika anirjAtam yat 
   cānirjātaṃ na tat srotaāpattiphalaṃ, evaṃ sakṛdāgāmiphalam anāgāmiphalam	ca anirjAtam na tat srotaApatti Palan, evam sakRdAgAmi Palam anAgAmi Palam
   arhattvaṃ pratyekabuddhatvaṃ sarvajñatvaṃ kauśikānirjātaṃ yac cānirjātaṃ	arhat tvam pratyekabudDa tvam sarvajQa tvam kOSikA nirjAtam yat ca anirjAtam
   na tat sarvajñatvaṃ. srotaāpannaḥ kauśika anirjāto yaś cānirjāto na sa	na tat sarvajQa tvaM. srotaApannaH kOSika anirjAtaH yaH ca anirjAtaH na sa
   srotaāpannaḥ, evaṃ sakṛdāgāmī, anāgāmī, arhan pratyekabuddhas tathāgato	srotaApannaH, evam sakRdAgAmI, anAgAmI, arhan pratyekabudDaH taTAgataH 
   'rhan samyaksaṃbuddhaḥ kauśikānirjāto yaś cānirjāto na sa	arhan samyaksaMbudDaH kOSikA nirjAtaH yaH ca anirjAtaH na sa
   samyaksaṃbuddhaḥ. ity adhigamādhāragotram	samyaksaMbudDaH. iti aDigama ADAra gotram
   (PSP_2 3:22)	(PSu _2 3:22)
   atha khalu śakro devānām indro bhagavantam etad avocat: gambhīraprajño	aTa Kalu SakraH devAnAm indraH Bagavantam etat avocat: gamBIra prajQaH 
   batāyam āryasubhūtiḥ. sthaviro yatprajñaptiṃ ca na virodhayati dharmatāṃ	bata ayam Arya suBUtiH. sTaviraH yat prajQaptim ca na viroDayati Darma tAm
   copadiśati.	ca upadiSati.
   atha khalu bhagavān śakraṃ devānām indram etad avocat: evam etat	aTa Kalu BagavAn Sakram devAnAm indram etat avocat: evam etat 
   kauśikaivam etat, gambhīraprajño batāyam āryasubhūtiḥ sthaviro	kOSika evam etat, gamBIra prajQaH bata ayam Arya suBUtiH sTaviraH 
   yatprajñaptiṃ ca na virodhayati dharmatāṃ copadiśati.	yat prajQaptim ca na viroDayati Darma tAm ca upadiSati.
   atha khalu śakro devānām indro bhagavantam etad avocat: kathaṃ bhagavan	aTa Kalu SakraH devAnAm indraH Bagavantam etat avocat: kaTam Bagavan
   subhūtiḥ sthaviraḥ prajñaptiṃ ca na virodhayati dharmatāṃ copadiśati?	suBUtiH sTaviraH prajQaptim ca na viroDayati Darma tAm ca upadiSati?
   bhagavān āha: rūpaṃ kauśika prajñaptimātraṃ yac ca prajñaptimātraṃ sā	BagavAn Aha: rUpam kOSika prajQapti mAtram yat ca prajQapti mAtram sA
   dharmatā, tāṃ ca subhūtiḥ sthaviro na virodhayaty upadiśasti ca.	DarmatA, tAm ca suBUtiH sTaviraH na viroDayati upadiSasti ca.
   vedanāsaṃjñāsaṃskārā vijñānaṃ kauśika prajñaptimātraṃ yac ca	vedanA saMjQA saMskArAH vijQAnam kOSika prajQapti mAtram yat ca
   prajñaptimātraṃ sā dharmatā, tāṃ ca subhūtiḥ sthaviro na virodhaty	prajQapti mAtram sA DarmatA, tAm ca suBUtiH sTaviraH na viroDati 
   upadiśati ca. tat kasya hetor? yā dharmatā sā na virudhyate yā na	upadiSati ca. tat kasya hetor? yA DarmatA sA na viruDyate yA na
   virudhyate tāṃ ca subhūtiḥ sthavira upadiśati na virodhayati, evaṃ	viruDyate tAm ca suBUtiH sTaviraH upadiSati na viroDayati, evam
   vyastasamasteṣu skandhadhātvāyatanapratītyasamutpādāṅgeṣu, evaṃ	vyasta samastezu skanDa DAtu Ayatana pratItyasamutpAda aFga izu, evam
   dānapāramitāyāṃ śīlapāramitāyāṃ kṣāntipāramitāyāṃ vīryapāramitāyāṃ	dAna pAramitAyAm SIla pAramitAyAm kzAnti pAramitAyAm vIrya pAramitAyAm
   dhyānapāramitāyāṃ prajñāpāramitāyāṃ, evam adhyātmaśūnyatāyāṃ yāvad	DyAna pAramitAyAm prajQApAramitAyAn, evam aDyAtma SUnyatAyAm yAvat 
   abhāvasvabhāvaśūnyatāyāṃ. evaṃ smṛtyupasthāneṣu samyakprahāṇeṣv	aBAva svaBAva SUnyatAyAn. evam smRti upasTAnezu samyak prahANezu 
   ṛddhipādendriyeṣu baleṣu bodhyaṅgeṣv āryāṣṭāṅge mārge	RdDipAda indriyezu balezu boDi aFgezu Arya azwa aFge mArge
   'pramāṇadhyānārūpyasamāpattiṣv abhijñāsu satyeṣu daśatathāgatabaleṣu	apramANa DyAna ArUpya samApattizu aBijQAsu satyezu daSa taTAgata balezu
   vaiśāradyeṣu pratisaṃvitsv aṣṭādaśāveṇikeṣu buddhadharmeṣu, evaṃ	vESAradyezu pratisaMvitsu azwAdaSa AveNikezu budDa Darma izu, evam
   srotaāpattiphale sakṛdāgāmiphale 'nāgāmiphale 'rhattve pratyekabuddhatve	srotaApatti Pale sakRdAgAmi Pale anAgAmi Pale arhat tve pratyekabudDa tve
   sarvajñatve srotaāpanna iti kauśika prajñaptimātraṃ yat prajñaptimātraṃ sā	sarvajQa tve srotaApannaH iti kOSika prajQapti mAtram yat prajQapti mAtram sA
   dharmatā, tāṃ ca subhūtiḥ sthaviro na virodhayaty upadiśati ca. evaṃ	DarmatA, tAm ca suBUtiH sTaviraH na viroDayati upadiSati ca. evam
