   akasmāj jāyate yatra ST_2.49a	akasmAt jAyate yatra ST_2.49a
   vaidagdhī ko rasāgamaḥ ST_3.56b	vEdagDI kaH rasa-AgamaH ST_3.56b
   vairibhir vanitāyitam ST_3.12cd	vEriBiH vanitAyitam ST_3.12cd
   vaivarṇyam aśru pralaya ST_1.15c	vEvarNyam aSru pralaya ST_1.15c
   vaivarṇyam aśru saṃtrāso ST_3.13a	vEvarNyam aSru saMtrAsaH ST_3.13a
   vaivarṇyaṃ cātra jāyate ST_3.6d	vEvarNyam ca-atra jAyate ST_3.6d
   vyaṅgās tathā pravrajitā vibhinna- ST_1.95c	vyaFgAH taTA pravrajitAH viBinna ST_1.95c
   vyavasāyo bhaved yatra ST_2.7a	vyavasAyaH Bavet yatra ST_2.7a
   vyājṛmbhaṇonnamita-danta-mayūkha-jāla- ST_1.57aa	vyAjRmBaNa-unnam-ita-danta--mayUKa--jAla ST_1.57aa
   vyādhiś ca karuṇe jñeyā ST_3.31c	vyADiH ca karuNe jQeyA ST_3.31c
   vyādhiś cintā smṛtir dhṛtiḥ ST_3.28b	vyADiH cintA smRtiH DRtiH ST_3.28b
   vyāpāraṃ kurvate sadā ST_2.68b	vyApAram kurvate sadA ST_2.68b
   vyāpārocchalad-accha-mohana-jalā jāyanta eṇīdṛśaḥ ST_1.51ab	vyApAra-ucCalat--acCa--mohana--jalAH jAyante eNi-IdRSaH ST_1.51ab
   vyāpāro jāyate yatra ST_2.13c	vyApAraH jAyate yatra ST_2.13c
   vyāyāṃ cita-kañcukaṃ mṛga-dṛśas tasyās tad-ālokitam ST_1.22db	vyAyAm cita--kaQcukam mRga-dRSaH tasyAH tat--Alokitam ST_1.22db
   vyālambi-mauktika-guṇaṃ ramaṇe mudeva ST_1.57ab	vyAlambi-mOktika-guNam ramaNe mudA-iva ST_1.57ab
   vyutpattaye niṣevantu ST_3.55c	vyutpattaye nizevantu ST_3.55c
   vrīḍā capalatā harṣa ST_1.12a	vrIxA capala-tA harza ST_1.12a
   vrīḍonmādo madas tathā ST_3.28d	vrIxA-unmAdaH madaH taTA ST_3.28d
   śakti-śaṃsā karāghāto ST_3.8c	Sakti-SaMsA kara-AGAtaH ST_3.8c
   śaṅkāsūyā bhayaṃ glānir ST_3.28a	SaFkA-asUyA Bayam glAniH ST_3.28a
   śaṅkāsūyā madaḥ śramaḥ ST_1.11b	SaFkA-asUyA madaH SramaH ST_1.11b
   śaṅkāsūyāvahitthaṃ ca ST_3.30c	SaFkA-asUya-avahitTam ca ST_3.30c
   śabdāder vikṛtād voḍhaṃ ST_3.12c	Sabda-AdeH vikRtAt voXam ST_3.12c
   śamaya dīpam iyaṃ samayā sakhī ST_1.35cb	Samaya dIpam iyam samayA saKI ST_1.35cb
   śarīra-tāḍanaṃ moho ST_3.6c	SarIra-tAxanam mohaH ST_3.6c
   śastroddārita-kumbhi-kumbha-vigalad-raktākta-muktā-phalaṃ ST_3.41aa	Sastra-uddAri-ta--kumBi--kumBa--vigala-d--rakta-akta-muktA--Palam ST_3.41aa
   śāntaye naiva sevitam ST_2.3d	SAntaye na-eva sevitam ST_2.3d
   śāsitur bhuvana-druhām ST_3.44bb	SAsituH Buvana--druhAm ST_3.44bb
   śibir ahaṃ bhavatā vidito na kiṃ ST_3.10ac	SibiH aham BavatA viditaH na kim ST_3.10ac
   śilīmukho'patad iti jalpati priye ST_2.49ab	SilImuKaH-apatat iti jalpati priye ST_2.49ab
   śiṣyāyitaṃ gṛha-kapota-śatair yathāsyāḥ ST_1.39dd	SizyAyitam gRha--kapota--SatEH yaTA-asyAH ST_1.39dd
   śṛṅgāra-tilaka-vidhinā punar api rudraḥ prasādayati ST_3.57db	SRFgAra-tilaka-viDinA punar api rudraH prasAdayati ST_3.57db
   śṛṅgāra-tilakaṃ vinā ST_3.56d	SRFgAra-tilakam vinA ST_3.56d
   śṛṅgāra-tilako nāma ST_3.55a	SRFgAra-tilakaH nAma ST_3.55a
   śṛṅgāra-bībhatsa-rasau ST_3.21a	SRFgAra-bIBatsa-rasO ST_3.21a
   śṛṅgāra-vacana-prāyaḥ ST_2.63c	SRFgAra-vacana--prAyaH ST_2.63c
   śṛṅgāra-hāsya-karuṇa- ST_3.39a	SRFgAra-hAsya--karuNa ST_3.39a
   śṛṅgāra-hāsya-karuṇā ST_1.9a	SRFgAra-hAsya--karuNA ST_1.9a
   śṛṅgāraḥ kavibhiḥ sadā ST_2.69b	SRFgAraH kaviBiH sadA ST_2.69b
   śṛṅgārādi-raseṣv eva ST_3.26a	SRFgAra-Adi---rasezu eva ST_3.26a
   śṛṅgārābhāsa etāsu ST_1.64a	SRFgAra-ABAsaH etAsu ST_1.64a
   śṛṅgārī girijānane sakaruṇo ratyāṃ pravīraḥ smare ST_1.1a	SRFgArI girija-Anane sa-karuNaH ratyAm pravIraH smare ST_1.1a
   śṛṅgāre vyabhicāriṇaḥ ST_3.29d	SRFgAre vyaBicAriNaH ST_3.29d
   śṛṅgāro dvividho mataḥ ST_1.21d	SRFgAraH dviviDaH mataH ST_1.21d
   śṛṅgāro nāyako rasaḥ ST_1.20d	SRFgAraH nAyakaH rasaH ST_1.20d
   śokaṃ mugdhe mayā saha ST_3.47b	Sokam mugDe mayA saha ST_3.47b
   śokātmā karuṇo jñeyaḥ ST_3.5a	Soka-AtmA karuNaH jQeyaH ST_3.5a
   śaurya-dhairyādi-bhūṣitaḥ ST_3.10b	SOrya-DErya-Adi-BUzitaH ST_3.10b
   ścirād abhūḥ pramupita-cāru-candanaḥ ST_1.41ab	ScirAt aBUH pramupita-cAru-candanaH ST_1.41ab
   śramaś capalatā nidrā ST_3.30a	SramaH capala-tA nidrA ST_3.30a
   śravaṇaṃ cāsya tad yathā ST_1.51d	SravaNam ca-asya tat yaTA ST_1.51d
   śravaṇāt kīrtanād vāpi ST_3.14c	SravaNAt kIrtanAt vA-api ST_3.14c
   śravya-śabda-manoramā ST_3.43b	Sravya--Sabda--manoramA ST_3.43b
   śrutvā tūrya-ninādaṃ dvāre bhaya-cakita-lalita-bāhu-lataḥ ST_3.12aa	SrutvA tUrya--ninAdam dvAre Baya-cakita--lalita--bAhu---lataH ST_3.12aa
   śrūyamāṇa-dhvanir yathā ST_3.3d	SrUyamANa-DvaniH yaTA ST_3.3d
   śvāsa-prarodanotkampa- ST_2.13a	SvAsa--prarodana-utkampa ST_2.13a
   śvāsāḥ samadhikāḥ kārśyaṃ ST_2.15c	SvAsAH samaDikAH kArSyam ST_2.15c
   śvāsair manorathaiś cāpi ST_2.9c	SvAsEH manoraTEH ca-api ST_2.9c
   śvāsaiḥ kevalam eva khedita-tanur dhyāyaty asau bālikā ST_2.9ac	SvAsEH kevalam eva Kedita-tanuH DyAyati asO bAlikA ST_2.9ac
   sa udvegaḥ smṛto yathā ST_2.11d	saH udvegaH smRtaH yaTA ST_2.11d
   sa unmādaḥ smṛto yathā ST_2.13d	saH unmAdaH smRtaH yaTA ST_2.13d
   sa-kampā cumbane vaktraṃ ST_1.36a	sa-kampA cumbane vaktram ST_1.36a
   sakaraja-kṣata-vāmam api priyā ST_1.22ac	sa-kara-ja-kzata-vAmam api priyA ST_1.22ac
   sakala-sattva-samuddharaṇa-kṣamaḥ ST_3.10ad	sakala--sattva--samudDaraNa-kzamaH ST_3.10ad
   sakhī-karmeti tad yathā ST_2.67d	saKI--karma-iti tat yaTA ST_2.67d
   sakhī-yuktā madādhikyāt ST_1.86a	saKI-yuktAH mad-a-ADikyAt ST_1.86a
   sakhī vadati nāyakam ST_1.53b	saKI vadati nAyakam ST_1.53b
   sakhīṃ vadati kiṃcana ST_1.55b	saKIm vadati kiMcana ST_1.55b
   sakhīṃ svajani nirbharam ST_1.54d	saKIm sva-jani nirBaram ST_1.54d
   sakhyas tat-surataṃ bhaṇāmi rataye śeṣā tu loka-sthitiḥ ST_1.42bd	saKyaH tat-suratam BaNAmi rataye SezA tu loka-sTitiH ST_1.42bd
   sakhyaṃ tvayā vapur idaṃ gamitaṃ varākyāḥ ST_2.58ab	saKyam tvayA vapuH idam gamitam varAkyAH ST_2.58ab
   sakhyaḥ saṃvṛṇutāśru muñcata bhayaṃ kasmān mudevākulā ST_2.57ac	saKyaH saMvRNuta-aSru muQcata Bayam kasmAt mudA-iva-AkulA ST_2.57ac
   sakhyākhyāte'thavā doṣe ST_2.35c	saKi-AKyAte-aTavA doze ST_2.35c
   sakhyādi sthāpitāṃ mālāṃ ST_1.56a	saKi-Adi sTApitAm mAlAm ST_1.56a
   sakhyā no hasitā sacintam asakṛt saṃśocitā pratyuta ST_1.51cd	saKyA naH hasitA sa-cintam asakRt saMSocitA pratyuta ST_1.51cd
   sakhyā mugdha-vadhūr iyaṃ rati-vidhau yatnena saṃśikṣitā ST_2.67cc	saKyA mugDa--vaDUH iyam rati-viDO yatnena saMSikzitA ST_2.67cc
   sakhyās tavaiva sutanu pracura-trapāyāḥ ST_1.53bd	saKyAH tava-eva su-tanu pracura-trapAyAH ST_1.53bd
   sakhyeva sthira-śobhayā dṛḍhataraṃ pratyaṅgam āliṅgitā ST_2.58cd	saKi-A-iva sTira-SoBayA dRXataram pratyaFgam AliFgitA ST_2.58cd
   sakhyaivaṃ hasitaṃ vadhūṃ prati tathā sānandam āvirbhavad- ST_3.3ac	saKyA-evam hasitam vaDUm prati taTA sa-Anandam AvirBavad ST_3.3ac
   saṅkalpākula-cittatvāt ST_2.7c	saFkalpa-Akula---citta-tvAt ST_2.7c
   saṅketake'pi mṛga-śāvaka-locanāyāḥ ST_1.22cb	saFketake-api mRga-SAvaka-locanAyAH ST_1.22cb
   saṅketaṃ nāgataḥ priyaḥ ST_1.75b	saFketam na-AgataH priyaH ST_1.75b
   saṅketaṃ nāgataḥ priyaḥ ST_1.78b	saFketam na-AgataH priyaH ST_1.78b
   saṅga-doṣa-vaśād yathā ST_2.32d	saFga-doza--vaSAt yaTA ST_2.32d
   saṅgamo virahāśvāsaḥ ST_2.67c	saFgamaH viraha-ASvAsaH ST_2.67c
   sa-cinto dainya-bhāg asminn ST_2.61c	sa--cintaH dEnya-BAj asmin ST_2.61c
   sajjitāṅgaratālayā ST_1.76b	sajjita-aFga-ratAlayA ST_1.76b
   sa tad-vṛttyā nigadyate ST_1.18d	sa tad--vRttyA nigadyate ST_1.18d
   satām api bhaved yathā ST_2.31d	satAm api Bavet yaTA ST_2.31d
   sat-toraṇaṃ hṛdi viśaty aparā vyudāse ST_1.57ad	sat--toraNam hRdi viSati aparA vyudAse ST_1.57ad
   satyaṃ durlabha eṣa vallabhatamo rāgo mamāsmin punaḥ ST_2.8aa	satyam durlaBaH eza vallaBatamaH rAgaH mama-asmin punar ST_2.8aa
   satyaṃ santi gṛhe gṛhe priyatamā yeṣāṃ bhujāliṅgana- ST_1.51aa	satyam santi gRhe gRhe priyatamAH yezAm Buja-AliFgana ST_1.51aa
   satyaṃ santi gṛhe gṛhe sukavayo yeṣāṃ vacaś cāturī ST_1.7a	satyam santi gRhe gRhe sukavayaH yezAm vacaH ca-AturI ST_1.7a
   satyaṃ hṛtā tvayā haṃsa ST_3.16aa	satyam hRtA tvayA haMsa ST_3.16aa
   sad-bhāvaṃ pūrva-yoṣiti ST_1.26b	sad-BAvam pUrva--yoziti ST_1.26b
   sadyaḥ prodgata-candrakānti-jayinī yasmin kapola-cchaviḥ ST_1.91ab	sadyas prodgata--candra-kAnti--jayinI yasmin kapola-=-CaviH ST_1.91ab
   sadyo yāvaka-maṇḍanaṃ na racitaṃ pāde kuraṅgī-dṛśā ST_2.67bc	sadyas yAvaka-maNxanam na racitam pAde kuraFgI--dRSA ST_2.67bc
   sad-vakrokti-nirantarā ST_3.44b	sat--vakrokti-nirantarA ST_3.44b
   sad-vāg-alaṅkṛti-guṇaṃ sarasaṃ suvṛttam ST_1.2b	sat--vAc--alaFkRti-guNam sarasam su-vRttam ST_1.2b
   santaptaḥ smra-saṃniveśa-vivaśaiḥ śvāsair muhuḥ pañcamo- ST_1.22ba	santaptaH smra--saMniveSa--vivaSEH SvAsEH muhur paQcamo ST_1.22ba
   santarjya dayitaṃ yathā ST_1.45d	santarjya dayitam yaTA ST_1.45d
   santāpayanti śiśirāṃśu-ruco yad ete ST_1.53ba	santApayanti SiSirAMSu-rucaH yat ete ST_1.53ba
   santāpa-vedanā-prāyo ST_2.14a	santApa---vedanA--prAyaH ST_2.14a
   santepur vidhuradhiyo niśānta-vadhvāḥ ST_1.50cd	santepuH viDura-DiyaH niSA-anta--vaDvAH ST_1.50cd
   sandaṣṭādhara-mukta-sītkṛtam atibhrāmyad-bhru-nṛtyat-karam ST_1.68ab	sandazwADara--mukta-sItkRtam ati-BrAmyat--Bru--nRtyat-karam ST_1.68ab
   sandhitābhimatā yathā ST_1.77d	sanDita-aBimatAH yaTA ST_1.77d
   sandhitā vipralabdhā ca ST_1.72c	sanDitA vipralabDA ca ST_1.72c
   sa pralāpaḥ smṛto yathā ST_2.12d	sa pralApaH smRtaH yaTA ST_2.12d
   sa pravāsa iti khyātaḥ ST_2.57c	sa pravAsaH iti KyAtaH ST_2.57c
   sa prāyaśo bhaved tredhā ST_2.33a	sa prAyaSas Bavet treDA ST_2.33a
   saphalaṃ khalu yadi bhavet so'tra ST_1.51dd	saPalam Kalu yadi Bavet saH-atra ST_1.51dd
   sa bhavet prathamas tatra ST_1.30c	sa Bavet praTamaH tatra ST_1.30c
   samatvāt sarva-jantuṣu ST_3.18b	sama-tvAt sarva-jantuzu ST_3.18b
   samantād anavekṣitā ST_1.85d	samantAt anavekzitA ST_1.85d
   samasta-rati-kovidā ST_1.42b	samasta--rati-kovidA ST_1.42b
   sa māno nāyikā yasminn ST_2.32a	sa mAnaH nAyikA yasmin ST_2.32a
   samāvarjya prasādataḥ ST_2.46b	samAvarjya prasAdataH ST_2.46b
   samunmūlya balāl lajjām ST_1.51bc	samunmUlya balAt lajjAm ST_1.51bc
   samullasat-kāñcana-kuṇḍalojjvala- ST_3.39ca	samullasat--kAQcana--kuNxala-ujjvala ST_3.39ca
   sampattau ca vipattau ca ST_1.49a	sampattO ca vipattO ca ST_1.49a
   sampraty uddhata-vahni-vāri-viṣamaṃ manye vrataṃ sevate ST_1.22bd	samprati udData--vahni-vAri-vizamam manye vratam sevate ST_1.22bd
   sambandhi-mitra-dvija-rāja-tīkṣṇa- ST_1.95a	sambanDi--mitra-dvija-rAja--tIkzNa ST_1.95a
   sambhavanti yathā vṛkṣe ST_1.17a	samBavanti yaTA vRkze ST_1.17a
   sambhoga-śṛṅgāram imaṃ vitanvan ST_1.96b	samBoga--SRFgAram imam vitanvan ST_1.96b
   samyag jñānodbhavaḥ śāntaḥ ST_3.18a	samyak jQAna-udBavaH SAntaH ST_3.18a
   sarati saras-tīrād eṣā bhramad-bhramarāvalī ST_1.37aa	sarati saras--tIrAt ezA Bramat--Bramara-AvalI ST_1.37aa
   sarasa-visinī-kanda-ccheda-cchavir mṛga-lāñchanaḥ ST_1.32bd	sarasa--visinI--kanda--=-Ceda-=-CaviH mRga-lAQCanaH ST_1.32bd
   sarvam uddhata-manmathā ST_1.58b	sarvam udData--manmaTA ST_1.58b
   sarvasvam etās tad aho smarasya ST_1.69d	sarva-svam etAH tat aho smarasya ST_1.69d
   sarvāṅgaṃ caṭukārako'py abalayā saṅketake kautukā- ST_1.59ac	sarva-aFgam cawu-kArakaH-api abalayA saFketake kOtukA ST_1.59ac
   sarvāśā-vijigīṣu-puṣpa-dhanuṣo bāṇa-śriyaṃ dhāsyati ST_1.42ad	sarva-ASA--vijigIzu--puzpa--DanuzaH bANa--Sriyam DAsyati ST_1.42ad
   sarve sarva-rasāśrayāḥ ST_3.37d	sarve sarva--rasa-ASrayAH ST_3.37d
   sarvair niṣkaruṇair hṛtā dhruvam aho daivena kiṃcin na me ST_2.60bd	sarvEH nizkaruNEH hRtA Druvam aho dEvena kiMcid na me ST_2.60bd
   savilāsaṃ sphurac-cakṣuḥ ST_2.36a	sa-vilAsam sPurac-cakzuH ST_2.36a
   savyājaṃ sundaraṃ kiñcid ST_1.55c	sa-vyAjam sundaram kiQcid ST_1.55c
   savrīḍā ca drutaṃ vrajet ST_1.85b	sa-vrIxA ca drutam vrajet ST_1.85b
   sa-śabdābharaṇā kāmaṃ ST_1.86c	sa--Sabda-ABaraNA kAmam ST_1.86c
   sa-sādhvasaṃ kupitam aloki kāntayā ST_2.49ad	sa--sADvasam kupitam aloki kAntayA ST_2.49ad
   sahaja-tarale āvāṃ tāvad-bahu-śruti-śālinau ST_1.27aa	sahaja--tarale AvAm tAvat--bahu--Sruti--SAlinO ST_1.27aa
   sahodāhṛtibhir yathā ST_2.43d	saha-udAhRtiBiH yaTA ST_2.43d
   saṃcintyeti mṛgīdṛśā priyatame dṛṣṭe ślathāṃ mekhalāṃ ST_2.8ac	saMcintya-iti mRgI-dRSA priyatame dRzwe SlaTAm meKalAm ST_2.8ac
   saṃcumbya cādhara-dale gamitā prasādam ST_1.38ad	saMcumbya ca-aDara-dale gamitA prasAdam ST_1.38ad
   saṃtrāso maraṇaṃ caiva ST_3.34c	saMtrAsaH maraNam ca-eva ST_3.34c
   saṃbhramāś ca prakīrtitāḥ ST_3.13d	saMBramAH ca prakIrtitAH ST_3.13d
   saṃmohayanti ca vinidra-saroja-vātāḥ ST_1.53bb	saMmohayanti ca vinidra--saroja--vAtAH ST_1.53bb
   saṃyuktyoś ca saṃyogo ST_1.22a	saMyuktyoH ca saMyogaH ST_1.22a
   saṃyogo vipralambhaś ca ST_1.21c	saMyogaH vipralamBaH ca ST_1.21c
   sā kiṃ tv āgantuka-priyā ST_1.83d	sA kim tu Agantuka-priyA ST_1.83d
   sākṣāc citre tathā svapne ST_1.51a	sAkzAt citre taTA svapne ST_1.51a
   sākṣīdaṃ mada-bāndhavasya nibhṛtaṃ kasyāpi līlā-nidheḥ ST_3.39bc	sAkzi-idam mad-a--bAnDavasya niBRtam kasya-api lIlA-niDeH ST_3.39bc
   sāttvikās tān nibodhata ST_3.25d	sAttvikAH tAn niboData ST_3.25d
   sāttvikās tu bhavanty ete ST_3.37c	sAttvikAH tu Bavanti ete ST_3.37c
   sātvatī bhāratī tathā ST_1.19b	sAtvatI BAratI taTA ST_1.19b
   sā dravyaṃ param icchati ST_1.62b	sA dravyam param icCati ST_1.62b
   sādhayet tām atandritaḥ ST_2.25d	sADayet tAm atandritaH ST_2.25d
   sādhīyān eṣa tat-siddhyai ST_1.20c	sADIyAn eza tat-sidDyE ST_1.20c
   sā dhīrā vakti vakroktyā ST_1.41a	sA DIrAH vakti vakra-uktyA ST_1.41a
   sānanda-pramadā-kaṭākṣa-viśikhair yeṣāṃ na bhinnaṃ mano ST_1.4a	sa-Ananda--pramadA--kawAkza--viSiKEH yezAm na Binnam manaH ST_1.4a
   sānurāgo'pi nāyakaḥ ST_1.48b	sa-anurAgaH-api nAyakaH ST_1.48b
   sāpekṣaḥ saṃgame punaḥ ST_2.63b	sa-apekzaH saMgame punar ST_2.63b
   sā bāḍhaṃ bhavatekṣiteti niviḍaṃ saṃyamya bāhvoḥ srajā ST_1.45ba	sA bAXam BavatA-IkzitA-iti nivixam saMyamya bAhvoH srajA ST_1.45ba
   sāma dānaṃ ca bhedaḥ syād ST_2.42a	sAma dAnam ca BedaH syAt ST_2.42a
   sāmānya-vanitā tathā ST_1.33b	sAmAnya-vanitA taTA ST_1.33b
   sāmānyā vanitā veśyā ST_1.62a	sAmAnyA vanitA veSyA ST_1.62a
   sāmnā mānena dānena ST_2.23c	sAmnA mAnena dAnena ST_2.23c
   sāriketi matā yathā ST_1.80d	sArikA-iti matAH yaTA ST_1.80d
   sārdhaṃ manoratha-śatais tava dhūrta kāntā ST_1.41ca	sArDam manoraTa--SatEH tava DUrta kAntA ST_1.41ca
   sārdhaṃ locana-vāriṇā vigalitaṃ yat prāktanaṃ me sukham ST_2.58bb	sArDam locana--vAriNA vigalitam yat prAktanam me suKam ST_2.58bb
   sā vāṇī jita-kāma-kārmuka-ravā saundaryam etasya tat ST_2.10ab	sA vANI jita-kAma--kArmuka--ravA sOndaryam etasya tat ST_2.10ab
   sā sātvatī nāma matātra vṛttiḥ ST_3.42d	sA sAtvatI nAma mata-atra vRttiH ST_3.42d
   sāhasaika-paratātra kāraṇam ST_3.44ad	sAhasa-eka-paratA-atra kAraNam ST_3.44ad
   sītāyāṃ rāmavat so'yam anukūlaḥ smṛto yathā ST_1.25b	sItAyAm rAma-vat saH-ayam anukUlaH smRtaH yaTA ST_1.25b
   sukha-prāpta-dhano mūrkhaḥ ST_1.66c	suKa--prApta-DanaH mUrKaH ST_1.66c
   sukha-sādhyo bhaved yathā ST_2.39d	suKa--sADyaH Bavet yaTA ST_2.39d
   sukhito'si hare nūnaṃ ST_3.10ba	suKitaH-asi hare nUnam ST_3.10ba
   sukhe necchā tathā duḥkhe'py ST_3.19c	suKe na-icCA taTA duHKe-api ST_3.19c
   sundaraṃ kintu kāvyāṅgam ST_2.29c	sundaram kintu kAvya-aFgam ST_2.29c
   sundarās te nidarśyante ST_2.43c	sundarAH te nidarSyante ST_2.43c
   suptaṃ prabodho'marṣaś cāpy ST_1.13a	suptam praboDaH-amarzaH ca-api ST_1.13a
   supteyaṃ kila sundarīti subhagaḥ svairaṃ tathaivāsvaja- ST_1.40ac	suptA-iyam kila sundarI-iti suBagaH svEram taTA-eva-asvaja ST_1.40ac
   subhaga kuravakas tvaṃ no kim āliṅganoktiḥ ST_1.39ca	suBaga kuravakaH tvam no kim AliFganoktiH ST_1.39ca
   subhaga bhagavatā hṛdye tasyā jvalat-smara-pāvake'py ST_2.67da	suBaga BagavatA hRdye tasyAH jvalat-smara--pAvake-api ST_2.67da
   sumukhi vimukhī padme manye tavāsyapipāsayā ST_1.37ab	su-muKi vimuKI padme manye tava-Asya-pipAsayA ST_1.37ab
   surataṃ jāyate yathā ST_1.68d	suratam jAyate yaTA ST_1.68d
   seyaṃ paraṅginī mṛṇāla-latikām ādāya yasyāḥ priyo ST_1.42aa	sA-iyam paraFginI mRNAla--latikAm AdAya yasyAH priyaH ST_1.42aa
   sevitā ghnanti cānyathā ST_1.71b	sevitAH Gnanti ca-anyaTA ST_1.71b
   saiva sthitā manasi kṛtrima-bhāva-ramyā ST_1.41cb	sA-eva sTitA manasi kRtrima--BAva--ramyA ST_1.41cb
   saivāsya praṇatis tad eva vacanaṃ tā eva keli-kriyā- ST_1.26aa	sA-eva-asya praNatiH tat eva vacanam tAH eva keli-kriyA ST_1.26aa
   sotkaṇṭhaṃ ruditaṃ sakampam asakṛd yātaṃ sa-bāṣpaṃ ciraṃ ST_1.79aa	sa-utkaNWam ruditam sa-kampam asakRt yAtam sa-bAzpam ciram ST_1.79aa
   so'bhilāṣaḥ smṛto yathā ST_2.7d	saH-aBilAzaH smRtaH yaTA ST_2.7d
   so'yaṃ prasaṅga-vidhvaṃsaḥ ST_2.49c	saH-ayam prasaFga-viDvaMsaH ST_2.49c
   solluṇṭhaṃ sādhu-bhāṣitaiḥ ST_1.45b	sa-ulluNWam sADu--BAzitEH ST_1.45b
   saugandhyaṃ malayānilena balinā tanvī vibhajyeti sā ST_2.60bc	sOganDyam malaya-anilena balinA tanvI viBajya-iti sA ST_2.60bc
   saundarya-hasitālāpair ST_2.10a	sOndarya--hasita-AlApEH ST_2.10a
   saundaryaṃ śaśa-lāñchanasya kavibhir mithyaiva tad varṇyate ST_3.39aa	sOndaryam SaSa-lAQCanasya kaviBiH miTyA-eva tat varNyate ST_3.39aa
   saundaryaṃ sutarāṃ dhatte ST_2.64c	sOndaryam sutarAm Datte ST_2.64c
   saubhāgyaṃ kva nu paṅkajasya rajanī-saṃbhoga-bhagna-tviṣaḥ ST_3.39ab	sOBAgyam kva nu paFkajasya rajanI--saMBoga--Bagna-tvizaH ST_3.39ab
   saubhāgyaika-gṛhaṃ vilāsa-nikaṣo vaidagdhya-siddhi-dhvajaḥ ST_3.39bb	sOBAgya-eka-gRham vilAsa-nikazaH vEdagDya--sidDi-DvajaH ST_3.39bb
   skhalite ca gurur yathā ST_2.34d	sKalite ca guruH yaTA ST_2.34d
   stat kenāsau sutanu jantio mānmathas te vikāraḥ ST_2.11ad	stat kena-asO su-tanu jantiaH mAnmaTaH te vikAraH ST_2.11ad
   stana-taṭam api dhatte cāru-romāñca-mālām ST_2.67gb	stana--tawam api Datte cAru-roma-aQca-mAlAm ST_2.67gb
   stana-yuge paritaḥ sphuritāṅgulim ST_1.22ab	stana--yuge paritas sPurita-aFgulim ST_1.22ab
   stambhaḥ svedo'tha romāñcaḥ ST_1.15a	stamBaH svedaH-aTa romAQcaH ST_1.15a
   stribhuvana-jaye sā pañceṣoḥ karoti sahāyatām ST_1.42dd	striBuvana--jaye sA paQca-izoH karoti sahAya-tAm ST_1.42dd
   strīṇām abhīṣṭas tv iha nāyakaḥ syāt ST_1.23d	strINAm aBIzwaH tu iha nAyakaH syAt ST_1.23d
   strīṇāṃ kaṣṭam idaṃ kṛtaṃ sarasijaṃ karṇe na barhi-cchadam ST_3.3bb	strINAm kazwam idam kRtam sarasijam karNe na barhi-cCadam ST_3.3bb
   strīṇāṃ yā ca nivāraṇā ST_2.30b	strINAm yA ca nivAraNA ST_2.30b
   strīnāṃ jñeyaḥ sakhījanaḥ ST_2.65d	strInAm jQeyaH saKI-janaH ST_2.65d
   strī-puṃsayor bhaved eṣa ST_2.63a	strI-puMsayoH Bavet eza ST_2.63a
   sthānopāsana-sūcanāya vigalat-sāndrāñjanair locanair ST_1.78ac	sTAna-upAsana--sUcanAya vigalat--sAndra-aQjanEH locanEH ST_1.78ac
   sthāyi-bhāvāḥ prakīrtitāḥ ST_1.10d	sTAyi-BAvAH prakIrtitAH ST_1.10d
   snihyaty anunayaṃ vinā ST_1.91b	snihyati anunayam vinA ST_1.91b
   snehaṃ vinā bhayaṃ na syān ST_2.53a	sneham vinA Bayam na syAt ST_2.53a
   spṛṣṭā tena tatheti jāta-pulakā prāptā punar mohanam ST_1.42cd	spRzwA tena taTA-iti jAta--pulakA prAptA punar mohanam ST_1.42cd
   sphāra-sphurat-pradīpaṃ saudhaṃ ST_1.51da	sPAra--sPurat--pradIpam sODam ST_1.51da
   sphāra-sphūrjita-kānti-kalpita-bṛhac-cañcac-catuṣkāyitam ST_3.41ab	sPAra--sPUrjita--kAnti-kalpita--bRhac--caQcac-catuzkAyitam ST_3.41ab
   sphāritākṣī na śaṅkitā ST_1.86b	sPArita-akzI na SaFkitA ST_1.86b
   sphāritākṣī nirīkṣyate ST_1.54b	sPArita-akzI nirIkzyate ST_1.54b
   sphāritotkaṭa-kaṭhora-tārakākīrṇa- vahni-kaṇa-saṃtatiḥ krudhā ST_3.43ba	sPArita-utkawa--kaWora--tAraka-AkIrNa vahni-kaNa--saMtatiH kruDA ST_3.43ba
   sphurati yad idam uccair locanaṃ tanvi vāmaṃ ST_2.67ga	sPurati yat idam uccEs locanam tanvi vAmam ST_2.67ga
   smaraḥ kiṃ bhakṣito bakaiḥ ST_1.64d	smaraH kim BakzitaH bakEH ST_1.64d
   smṛtiś ca guṇa-kīrtanam ST_2.5b	smRtiH ca guNa-kIrtanam ST_2.5b
   smerāntā viśada-cchade ca śayane dṛṣṭiḥ samāropitā ST_2.67bd	smera-antAH viSada--cCade ca Sayane dRzwiH samAropitA ST_2.67bd
   syān narma-sacivas tasya ST_1.29c	syAt narma--sacivaH tasya ST_1.29c
   srastāṅgo mukta-cetanaḥ ST_2.61b	srasta-aFgaH mukta-cetanaH ST_2.61b
   sraho'vataṃsaṃ raśanāṃ ca kiñci ST_1.57a	srahaH-avataMsam raSanAm ca kiQci ST_1.57a
