   // śrīḥ //	// SrIH //
   alaṅkārasarvasvam	alaFkAra-sarvasvam
   kuṭilalipibhiḥ kaṃ kāyasthaṃ na nāma visūtrayan vyadhita	kuwila-lipiBiH kam kAyasTam na nAma visUtrayan vyaDita
   virahiprāṇeṣvāyavyayāvadhikaṃ madhuḥ' [śrī. ca. 670] //	virahi-prANezu-Aya-vyayO=-aDikam maDuHa [SrI. ca. 670] //
   atra hi pattralipikāyasthaśabdeṣu śleṣagarbhe rūpakaṃ	atra hi pattra-lipikAya-sTa-Sabdezu Sleza-garBe rUpakam
   dvirephamaṣīlavairityetadrūpakanimittam /	dvirePa-mazI-lavEH-iti-etat-rUpaka-nimittam /
   asya ca pracuraḥ prayogaviṣaya iti na samāsoktibuddhiḥ kāryā /	asya ca pracuraH prayoga-vizayaH iti na samAsa-ukti-budDiH kAryA /
   tadevaṃ śliṣṭaviśeṣaṇasamutthāpitaikā /	tat-evam Slizwa-viSezaNa-samutTApitA-ekA /
   sādhāraṇaviśeṣaṇasamutthāpitā tu dharmakāryasamāropābhyāṃ dvibhedā /	sADAraNa-viSezaNa-samutTApitA tu Darma-kArya-samAropAByAm dvi-BedAH /
   aupamyagarbhaviśeṣaṇasamutthāpitopamāsaṃkarasamāsābhyāṃ dvibhedā /	Opamya-garBa-viSezaNa-samutTApita-upama-asaMkara-samAsAByAm dvi-BedAH /
   rūpakasamāśrayeṇa tu bhedadvayamasyā na viṣayaḥ /	rUpaka-samASrayeNa tu Beda-dvayam-asyAH na vizayaH /
   tadevaṃ pañcaprakārā samāsoktiḥ /	tat-evam paQca-prakArA samAsoktiH /
   iyaṃ ca śuddhakāryasamāropeṇa viśeṣaṇasāmyenobhayamayatvena prathamaṃ	iyam ca SudDa-kArya-samAropeNa viSezaNa-sAmyena-uBaya-maya-tvena praTamam
   tridhā samāsoktiḥ /	triDA samAsoktiH /
   viśeṣaṇasāmyaṃ ca pañcaprakāraṃ nirṇītam /	viSezaNa-sAmyam ca paQca-prakAram nirNItam /
   sarvatra cātra vyavahārasamāropa eva jīvitam /	sarvatra ca-atra vyavahAra-samAropaH eva jIvitam /
   sa ca laukike vastuni laukikavastuvyavahārasamāropaḥ /	sa ca lOkike vastuni lOkika-vastu-vyavahAra-samAropaH /
   śāstrīye vastuni śāstrīyavastuvyavahārasamāropaḥ /	SAstrIye vastuni SAstrIya-vastu-vyavahAra-samAropaH /
   laukike vā śāstrīyavastuvyavahārasamāropaḥ /	lOkike vA SAstrIya-vastu-vyavahAra-samAropaH /
   śāstrīye vā laukikavastuvyavahāramāropa iti caturdhā bhavati /	SAstrIye vA lOkika-vastu-vyavahAram-AropaH iti caturDA Bavati /
   tadevaṃ bahuprakārā samāsoktiḥ /	tat-evam bahu-prakArA samAsoktiH /
   tatra śuddhakāryasamāropeṇa yathā-	tatra SudDa-kArya-samAropeNa yaTA-
   'vilikhati kucāvuccairgāḍhaṃ karoti kacagrahaṃ likhati lalite vaktre	aviliKati kucO=-uccEs-gAXam karoti kaca-graham liKati lalite vaktre
   pattrāvalīmasamañjasām /	pattrAvalIm-asamaQjasAm /
   kṣitipa khadiraḥ śroṇībimbād vikarṣati cāṃśukaṃ marubhuvi haṭhāt	kzitipa KadiraH SroNI-bimbAt vikarzati ca-aMSukam maru-Buvi haWAt-
   trasyantīnāṃ tavārimṛgīdṛśām' //	trasyantInAm tava-ari-mRgI-dRSAma //
   atra pattrāvalīvilekhanādiśuddhakāryasamāropāt khadirasya	atra pattrAvalI-vileKana-Adi-SudDa-kArya-samAropAt Kadirasya
   haṭhakāmukatvapratītiḥ viśeṣaṇasāmyenodāhṛtā /	haWa-kAmuka-tva-pratItiH viSezaNa-sAmyena-udAhRtAH /
   ubhayamayatvena yathā -	uBaya-maya-tvena yaTA -
   'nirlūnānyalakāni pāṭitamuraḥ kṛtsno 'dharaḥ khaṇḍitaḥ karṇe rugjanitā	anirlUnAni-alakAni pAwitam-uraH kRtsnaH aDaraH KaNxitaH karNe ruj-janitA
   kṛtaṃ ca nayane nīlābjakānte kṣatam /	kRtam ca nayane nIla-abja-kAnte kzatam /
   yāntīnāmatisaṃbhramākulapadanyāsaṃ marau nīrasaiḥ kiṃ kiṃ kaṇṭakibhiḥ	yAntInAm-atisaMBrama-Akula-pada-nyAsam marO nIrasEH kim kim kaNwakiBiH
   kṛtaṃ na tarubhistvadvairivāmabhruvām' //	kRtam na taruBiH-tu-ad-vEri-vAm-aBru-vAm-a //
   atra nīrasaiḥ kaṇṭakibhiriti viśeṣaṇasāmyam /	atra nIrasEH kaNwakiBiH-iti viSezaNa-sAmyam /
   nirlūnānyalakānītyādiṣu kāryasamāropaḥ /	nirlUnAni-alakAni-ityAdizu kArya-samAropaH /
   vyavahārasamāropaprakāracatuṣṭaye krameṇodāharaṇam /	vyavahAra-samAropa-prakAra-catuzwaye krameNa-udAharaNam /
   yathā-	yaTA-
   'dyāmāliliṅga mukhamāśu diśāṃ cucumba ruddhāmbarāṃ	adyAmA-aliliFga muKam-ASu diSAm cucumba rudDa-ambarAm
   śaśikalāmalikhatkarāgraiḥ /	SaSi-kalAma-li-Kat-kara-agrEH /
   antarnimagracarapuṣpaśaro 'titāpāt kiṃ kiṃ cakāra taruṇo na yadīkṣaṇāgniḥ'	antar-nimagra-cara-puzpa-SaraH ati-tApAt kim kim cakAra taruNaH na yad-IkzaNA-agniH-a
   laukikaṃ ca vastu rasādibhedānnānābhedaṃ svayamevotprekṣyam /	lOkikam ca vastu rasa-Adi-BedAt-nAnA-Bedam svayam-eva-utprekzyam /
   'yairekarūpamakhilāsvapi vṛttiṣu tvāṃ paśyadbhikhyayamasaṃkhyatayā	ayEH-eka-rUpam-aKilAsu-api vRttizu tvAm paSyat-BiKyayama-saMKya-tayA
   pravṛttam /	pravRttam /
   lopaḥ kṛtaḥ kila paratvajuṣo vibhakte- stairlakṣaṇaṃ tava kṛtaṃ dhruvameva	lopaH kRtaH kila para-tva-juzaH viBakte stEH-lakzaNam tava kRtam Druvam-eva
   manye' //	manye-a //
   atrāgamaśāstraprasiddhe vastuni vyākaraṇaprasiddhavastusamāropaḥ /	atra-Agama-SAstra-prasidDe vastuni vyAkaraNa-prasidDa-vastu-samAropaH /
   'sīmānaṃ na jagāma yannayanayornānyena yatsaṃgataṃ na spṛṣṭaṃ vacasā	asi-imAnam na jagAma yat-nayanayoH-na-anyena yat-saMgatam na spRzwam vacasA
   kadācidapi yad dṛṣṭopamānaṃ na yat /	kadAcid-api yat dRzwa-upamAnam na yat /
   arthādāpatitaṃ na yanna ca na yattatkiñcideṇīdṛśāṃ lāvaṇyaṃ jayati	arTAt-Apatitam na yat-na ca na yat-tat-kiQcid-eNi-IdRSAm lAvaNyam jayati
   pramāṇarahitaṃ cetaścamatkārakam' //	pramANa-rahitam cetaH-camatkArakam-a //
   atra lāvaṇye laukike vastuni mīmāṃsāśāstraprasiddhavastusamāropaḥ /	atra lAvaNye lOkike vastuni mImAMsA-SAstra-prasidDa-vastu-samAropaH /
   evaṃ tarkāyurvedajyotiḥśāstraprasiddhavastusamāropo boddhavyaḥ /	evam tarka-Ayurveda-jyotiHSAstra-prasidDa-vastu-samAropaH bodDavyaH /
   yathā-	yaTA-
   'svapakṣalīlālalitairupoḍhahetau smare darśayato viśeṣam /	asvapakza-lIlA-lalitEH-upoXa-hetO smare darSayataH viSezam /
   mānaṃ nikārartumaśeṣayūnāṃ pikasya pāṇḍityamakhaṇḍamāsīt' //	mAnam nikAra-Rtum-aSeza-yUnAm pikasya pANxityam-aKaNxam-AsIt-a //
   atra tarkaśāstraprasiddhavastusamāropaḥ /	atra tarka-SAstra-prasidDa-vastu-samAropaH /
   pāṇḍityaśabdaḥ prakṛte lakṣaṇayā vyākhyeyaḥ /	pANxitya-SabdaH prakRte lakzaNayA vyAKyeyaH /
   'mandamagrimadhuraryamopalā darśitaśvayathu cābhavattamaḥ /	amandam-agri-maDura-ryamopalA darSita-SvayaTu ca-aBavat-tamaH /
   dṛṣṭayastimirajaṃ siṣevire doṣamoṣadhipaterasaṃnidhau' //	dRzwayaH-timira-jam sizevire dozam-ozaDi-pateH-asaMniDO-a //
   atrāyurvedaprasiddhavastusamāropaḥ /	atra-Ayurveda-prasidDa-vastu-samAropaH /
   'gaṇḍānte madadantināṃ prahṛrataḥ kṣmāmaṇḍale vaidhṛte rakṣāmācarataḥ sadā	agaNxa-ante mada-dantinAm prahRrataH kzmA-maNxale vEDRte rakzAm-AcarataH sadA
   vidadhato lāṭeṣu yātrotsavam /	vidaDataH lAwezu yAtrA-utsavam /
   pūrvāmatyajataḥ sthitiṃ śubhakarīmāsevyamānasya te vardhante vijayaśriyaḥ	pUrvAm-atyajataH sTitim SuBa-karIm-AsevyamAnasya te varDante vijaya-SriyaH
   kimiva na śreyasvināṃ maṅgalam' //	kim-iva na SreyasvinAm maFgalam-a //
   atra jyotiḥśāstraprasiddhavastusamāropaḥ /	atra jyotiHSAstra-prasidDa-vastu-samAropaH /
   'prasarpattātparyairapi sadanumānaikarasikai- rapi jñeyo no yaḥ	aprasarpat-tAt-paryEH-api sat-anumAna-eka-rasikE rapi jQeyaH naH yaH
   parimitagatitvaṃ parijahṛt /	parimita-gati-tvam parijahRt /
   apūrvavyāpāro guruvara! budhairityavasito na vācyo no lakṣyastava	apUrva-vyApAraH guru-vara! buDEH-iti-avasitaH na vAcyaH naH lakzyaH-tava
   sahṛdayasyo guṇagaṇaḥ' //	sahRdayasyaH guNa-gaNaH-a //
   atra bharatādiśāstraprasiddhavastusamāropaḥ /	atra Barata-Adi-SAstra-prasidDa-vastu-samAropaH /
   tathā hyatra guṇagaṇagatatvena śṛṅgārādirasavyavahāraḥ pratīyate /	taTA hi-atra guNa-gaNa-gata-tvena SRFgAra-Adi-rasa-vyavahAraH pratIyate /
   yato raso na tātparyaśaktijñeyaḥ /	yatas rasaH na tAtparyaSakti-jQeyaH /
   nāpyanumānaviṣayaḥ /	na-api-anumAna-vizayaH /
   na śabdairabhidhāvyāpāreṇa vācyīkṛtaḥ /	na SabdEH-aBiDAvyA-pAreNa vAcyIkRtaH /
   na lakṣaṇāgocaraḥ /	na lakzaNa-agocaraH /
   kiṃ tu vigalitavedyānataratvena parihṛtapārimityo	kim tu vigalita-vedyAnatara-tvena parihRta-pArimityaH-
   vyañjanalakṣaṇāpūrvavyāpāraviṣayīkṛto 'nukāryānukartṛgatatvapari hāreṇa	vyaQjana-lakzaNa-apUrva-vyApAra-vizayIkRtaH anukArya-anukartR-gata-tva-pari hAreNa
   sahṛdayagata iti prasarpattātparyairityādipadai rasa eva pratīyate /	sahRdaya-gataH iti prasarpat-tAt-paryEH-iti-Adi-padEH rasaH eva pratIyate /
   eva pratīyate /	eva pratIyate /
   evamanyadapi jñeyam /	evam-anyat-api jQeyam /
   'paśyantī trapayeva yatra tirayatyātmānamābhyantare yatra truṭyati	apaSyantI trapayA-iva yatra tirayati-AtmAnam-AByantare yatra truwyati
   madhyamāpi madhuradhvanyujjihāsārasāt /	maDyamA-api maDura-DvanI-ujjihAsA-rasAt /
   cāṭūccāraṇacāpalaṃ vidadhatāṃ vāk tatra bāhyā kathaṃ devyā te parayā	cAwu-uccAraNa-cApalam vidaDatAm vAc tatra bAhyA kaTam devyA te parayA
   prabho saha rahaḥkrīḍādṛḍhāliṅgane' //	praBo saha rahaH-krIxA-dRXa-AliFgane-a //
   atrāgamaprasiddhe vastuni laukikavastuvyavahārasamāropa /	atra-Agama-prasidDe vastuni lOkika-vastu-vyavahAra-samAropa /
   laukikavastuvyavahāraśca rasādibhedād bahubheda ityuktaṃ prāk /	lOkika-vastu-vyavahAraH-ca rasa-Adi-BedAt bahu-BedaH iti-uktam prAk /
   tatra śuddhakāryasamārope kāryasya viśeṣaṇatvamaupacārikamāśritya	tatra SudDa-kArya-samArope kAryasya viSezaNa-tvam-OpacArikam-ASritya
   viśeṣaṇasāmyāditi lakṣaṇaṃ pūrvaśāstrānusāreṇa vihitaṃ yathākathañcid	viSezaNa-sAmyAt-iti lakzaNam pUrva-SAstra-anusAreNa vihitam yaTA-kaTaQcit-
   yojyam /	yojyam /
   iha tu--	iha tu--
   'aindraṃ dhanuḥ pāṇḍupayodhareṇa śarad dadhānārdranakhakṣatābham /	aEndram DanuH pANxu-payoDareNa Sarad daDAna-Ardra-naKa-kzata-ABam /
   prasādayantī sakalaṅkaminduṃ tāpaṃ raverabhyadhikaṃ cakāra' //	prasAdayantI sa-kalaFkam-indum tApam raveH-aByaDikam cakAra-a //
   ityatrāsti tāvad raviśaśinornāyakatvapratītiḥ /	iti-atra-asti tAvat ravi-SaSinoH-nAyaka-tva-pratItiH /
   na cātra viśeṣaṇasāmyamiti sā kutastyā /	na ca-atra viSezaNa-sAmyam-iti sA kutastyAH /
   prasādayantī sakalaṅkamindumiti viśeṣaṇasāmyāccharadonāyikātvapratītau	prasAdayantI sa-kalaFkam-indum-iti viSezaNa-sAmyAt-SaradaH-nAyikAtva-pratItO
   tadunuguṇyāt tayoḥ samāsoktyā nāyakatvapratītiriti cet	tadunu-guNyAt tayoH samAsa-uktyA nAyaka-tva-pratItiH-iti ced-
   ārdranakhakṣatābhamaindraṃ dhanurdadhānetyetadviśeṣaṇaṃ kathaṃ sāmyena	Ardra-naKa-kzata-ABam-Endram DanuH-daDAna-iti-etat-viSezaNam kaTam sAmyena
   nirdriṣṭam /	nirdrizwam /
   na caikadeśavivartinyupamoktā yatsāmarthyānnāyakatvapratītiḥ syāt /	na ca-eka-deSa-vivartinI-upama-uktA yat-sAmarTyAt-nAyaka-tva-pratItiH syAt /
   tatkathamatra dhyavasthā /	tat-kaTam-atra Di-avasTA /
   atrocyate-ekadeśavivartinyupamā yadi pratipadaṃ noktā tat sā kena	atra-ucyate-eka-deSa-vivartinI-upamA yadi pratipadam na-uktA tat sA kena
   pratiṣiddhā /	pratizidDA /
   sāmānyalakṣaṇadvāreṇāyātāyāstasyā atrāpi saṃbhavāt /	sAmAnya-lakzaNa-dvAreNa-AyAtAyAH-tasyAH atra-api saMBavAt /
   athātra nopamānatvena nāyakaḥ svasvarūpeṇa pratīyate apitu	aTa-atra na-upamAna-tvena nAyakaH sva-svarUpeNa pratIyate apitu
   raviśaśinorevanāyakatvapratītiḥ /	ravi-SaSinoH-eva-nAyaka-tva-pratItiH /
   tayoratra nāyakatvāt /	tayoH-atra nAyaka-tvAt /
   tadatrārdranakhakṣatābhamityatra sthitamapi śrutyopamānatvaṃ	tad-atra-Ardra-naKa-kzata-ABam-iti-atra sTitam-api SrutyA-upamAna-tvam
   vastuparyālocanayā aindre dhanuṣi saṃcāraṇīyam, indracāpābhaṃ nakhakṣataṃ	vastu-paryAlocanayA Endre Danuzi saMcAraNIyam, indracApa-ABam naKa-kzatam
   dadhāneti pratīteḥ, yathā 'dadhnā juhoti' ityādau dadhni saṃcaryate vidhiḥ	daDAna-iti pratIteH, yaTA adaDnA juhoti-a ityAdO daDni saMcaryate viDiH
   evamiyamupamānuprāṇitā samāsoktireva /	evam-iyam-upamA-anuprANitA samAsoktiH-eva /
   iha punaḥ ityatra saraḥśriyāṃ nāyikātvapratītirna samāsoktyā,	iha punar iti-atra saraH-SriyAm nAyikAtva-pratItiH-na samAsa-uktyA,
   viśeṣaṇasāmyābhāvāt /	viSezaNa-sAmya-aBAvAt /
   tasmānnāyikātropamānatvena pratīyate na tu saraḥśrīdharmatvena	tasmAt-nAyikAtra-upamAna-tvena pratIyate na tu saraH-SrI-Darma-tvena
   nāyikātvapratītirityekadeśavivartinyupamaivābhyupagamyā,gatyantarāsaṃbhavāt	nAyikAtva-pratItiH-iti-eka-deSa-vivartini-upama-eva-aByupagamyA,-gati-antara-asaMBavAt
   yaistunoktā teṣāmapyupasaṃkhyeyaiva /	yEH-tunA-uktA tezAm-api-upasaMKyeya-eva /
   yatra tu 'keśapāśālivṛndena' ityādau samāsoktāyāmupamāyāṃ samāsantariṇa	yatra tu akeSa-pASa-Ali-vRndena-a iti-AdO samAsa-uktAyAm-upamAyAm samAsantariNa
   viśeṣaṇasāmyaṃ yojayituṃ śakyaṃ tatraupamyagarbhaviśeṣaṇaprabhāvitā	viSezaNa-sAmyam yojayitum Sakyam tatra-Opamya-garBa-viSezaNa-praBAvitA
   samāsoktireveti na virodhaḥ kaścit /	samAsoktiH-eva-iti na viroDaH kaScid /
   sā ca samāroktirarthāntaranyāse kacitsamarthyagatatvena	sA ca samAroktiH-arTa-antara-nyAse kacit-samarTya-gata-tvena
   kacitsamarthakagatatvena ca bhavati /	kacit-samarTaka-gata-tvena ca Bavati /
   krameṇa yathā-	krameNa yaTA-
   'athopagūḍhe śaradā śaśāṅke prāvṛḍ yayau śāntataḍitkaṭākṣā /	aaTa-upagUXe SaradA SaSAFke prAvRz yayO SAnta-taxit-kawAkzAH /
   kāsāṃ na saubhāgyaguṇo 'ṅganānāṃ naṣṭaṃ pirabhraṣṭapayodharāṇām' //	kAsAm na sOBAgya-guNaH aFganAnAm nazwam piraBrazwa-payoDarANAm-a //
   'asamātpajigīṣasya strīcintā kā manasvinaḥ /	aasamAt-pajigIzasya strI-cintA kA manasvinaH /
   anākramya jagat sarve no saṃdhyāṃ bhajate raviḥ' //	anAkramya jagat sarve no saMDyAm Bajate raviH-a //
   atropagūḍhatvena śāntataḍitkaṭākṣatvena ca	atra-upagUXa-tvena SAnta-taxit-kawAkza-tvena ca
   śaśāṅkaśaradornāyakavyavahārapratītau samāsoktyāliṅgita evārtho	SaSAFka-Sara-doH-nAyaka-vyavahAra-pratItO samAsa-uktya-AliFgitaH eva-arTaH-
   viśeṣarūpaḥ sāmānyāśrayeṇārthāntaranyāsena samarthyate /	viSeza-rUpaH sAmAnya-ASrayeNa-arTa-antara-nyAsena samarTyate /
   sāmānyasya cātra śleṣavaśādutthānam /	sAmAnyasya ca-atra Sleza-vaSAt-utTAnam /
   śāntataḍitkaṭākṣetyaupamyagarbhe viśeṣaṇaṃ samāsāntarāśrayeṇātra samānam /	SAnta-taxit-kawAkzA-iti-Opamya-garBe viSezaNam samAsa-antara-ASrayeNa-atra samAnam /
   asamātpetyādau tu strīśabdasya sāmānyena strītvamātrābhidhānāt sāmānyarūpo	asamAtpa-ityAdO tu strI-Sabdasya sAmAnyena strI-tva-mAtra-aBiDAnAt sAmAnya-rUpaH-
   'rtho liṅgaviśeṣanirdeśagarbheṇa kāryāpanibandhanenotthāpitayā samāsoktyā	arTaH liFga-viSeza-nirdeSa-garBeNa kArya-apanibanDanena-utTApitayA samAsa-uktyA
   samāropitanāyakavyavahāreṇa ravisaṃdhyāvṛttāntena viśeṣarūpeṇa samarthyate	samAropita-nAyaka-vyavahAreNa ravi-saMDyA-vRttAntena viSeza-rUpeNa samarTyate
   'ākṛṣṭivegavigaladbhujagendrabhoganimokapaṭṭapariveṣatayāmburāśeḥ /	aAkRzwi-vega-vigalat-Bujaga-indra-Boga-nimoka-pawwa-pariveza-tayA-amburASeH /
   manthavyathāvyupaśamārthamivāśu yasya mandākinī ciraveṣṭata pādamūle' //	manTa-vyaTA-vyupaSama-arTam-iva-ASu yasya mandAkinI ciravezwata pAda-mUle-a //
   atra nirmokapaṭṭāpahnavena samāropitāyā mandākinyā yadvastuvṛttena	atra nirmoka-pawwa-apahnavena samAropitAyAH mandAkinyAH yat-vastu-vRttena
   pādamūle veṣṭanaṃ taccaraṇamūle veṣṭanatvena	pAda-mUle vezwanam tad-caraNa-mUle vezwana-tvena
   śleṣamūlayātiśayoktyādhyavasīyate /	Sleza-mUlayA-atiSaya-uktyA-aDyavasIyate /
   tat tathādhyavasitaṃ manthavyathāvyupaśamārthamivetyutprekṣāmutthāpayati /	tat taTA-aDyavasitam manTa-vyaTA-vyupaSama-arTam-iva-iti-utprekzAm-utTApayati /
   sotthāpyamānaivāmburāśimandākinyoḥ patipatnīvyavahārāśrayāṃ samāsoktiṃ	sa-utTApyamAnA-eva-amburASi-mandA-kinyoH pati-patnI-vyavahAra-ASrayAm samAsa-uktim
   garbhīkaroti /	garBIkaroti /
   evaṃ cotprekṣāsamāsoktyorekaḥ kālaḥ /	evam ca-utprekzA-samAsa-uktyoH-ekaH kAlaH /
   evaṃ 'nakhakṣatānīva vanasthalīnām' ityatrāpi vanasthalīnāṃ	evam anaKa-kzatAni-iva vana-sTalInAm-a iti-atra-api vana-sTa-lInAm
   nāyikāvyavahāra utprekṣāntarānupraviṣṭasamāsoktimūla eva /	nAyikA-vyavahAraH utprekzA-antara-anupravizwa-samAsa-ukti-mUlaH eva /
   evamiyaṃ samāsoktiranantaprapañcetyanayā diśā svayamutprekṣyā /	evam-iyam samAsa-uktiH-ananta-prapaQca-iti-anayA diSA svayam-utprekzyAH /
   START Sūtra 33:	START SUtra 33:
   viśeṣaṇasābhiprāyatvaṃ parikaraḥ // RuAss_33 //	viSezaNa-sa-aBiprAya-tvam parikaraH // RuAsH-_33 //
   viśeṣaṇavaicitryaprastāvādasyeha nirdeśaḥ /	viSezaNa-vEcitrya-prastAvAt-asya-iha nirdeSaH /
   viśeṣaṇānāṃ sābhiprāyatvaṃ pratīyamānārthagarbhīkāraḥ /	viSezaNAnAm sa-aBiprAya-tvam pratIyamAna-arTa-garBIkAraH /
   ata eva prasannagambhīrapadatvānnāyaṃ dhvanerviṣayaḥ /	atas eva prasanna-gamBIra-padatvAt-na-ayam DvaneH-vizayaH /
   evaṃ ca pratīyamānāṃśasya vācyonmukhatvātparikara iti sārthakaṃ nāma /	evam ca pratIyamAna-aMSasya vAcya-unmuKa-tvAt-parikaraH iti sArTakam nAma /
   'rājño mānadhanasya kārmukabhṛto duryodhanasyāgrataḥ pratyakṣaṃ	arAjQaH mAna-Danasya kArmuka-BRtaH duryoDanasya-agratas pratyakzam
   kurubāndhavasya miṣataḥ karṇasya śalyasya ca /	kuru-bAnDavasya mizataH karNasya Salyasya ca /
   pītaṃ tasya mayādya pāṇḍavavadhūkeśāmbarākarṣiṇaḥ koṣṇaṃ jīvata eva	pItam tasya mayA-adya pANxava-vaDU-keSa-ambara-AkarziNaH kozNam jIvate eva
   tīkṣṇakarajakṣuṇṇādasṛgvakṣasaḥ' //	tIkzNaka-raja-kzuNNAt-asRj-vakzasaH-a //
   atra rājña ityādau sotprāsatvaparaṃ prasannagambhīrapadatvam /	atra rAjQaH iti-AdO sa-utprAsa-tva-param prasanna-gamBIra-pada-tvam /
   evam-	evam-
   'aṅgāja senāpate rājavallabha droṇopahāsin karṇaṃ, sāṃprataṃ rakṣainaṃ	aaFga-Aja senApate rAja-vallaBa droNa-upahAsin karNaM, sAMpratam rakza-enam
   bhīmād duḥśāsanam' ityādau jñeyam /	BImAt duHSAsanam-a ityAdO jQeyam /
   START Sūtra 34:	START SUtra 34:
   viśeṣyasyāpi sāmye dvapaurvopādāne śleṣaḥ // RuAss_34 //	viSezyasya-api sAmye dvapOH-vA-upAdAne SlezaH // RuAsH-_34 //
   kevalaviśeṣasāmyaṃ samāsoktāvuktan /	kevala-viSeza-sAmyam samAsa-uktO=-uktan /
   viśeṣyayuktaviśeṣaṇasāmyaṃ tvadhikṛtyedamucyate /	viSezya-yukta-viSezaNa-sAmyam tu-aDikRtya-idam-ucyate /
   tatra dvayoḥ prākaraṇikayoraprākaraṇikayoḥ prākaraṇikāprakaraṇikayor vā	tatra dvayoH prAkaraNikayoH-aprAkaraNikayoH prAkaraNikA-prakaraNikayoH vA
   śliṣṭapadopanibandhe śleṣaḥ /	Slizwa-pada-upanibanDe SlezaH /
   tatrādyaṃ prakāradvayaṃ viśeṣaṇaviśeṣyasāmya eva tṛtīyastu prakāro	tatra-Adyam prakAra-dvayam viSezaNa-viSezya-sAmyaH eva tRtIyaH-tu prakAraH-
   viśeṣaṇasāmya eva bhavati /	viSezaNa-sAmya eva Bavati /
   viśeṣyasāmye tvarthaprakaraṇādinā vācyārthaniyame	viSezya-sAmye tu-arTa-prakaraNa-AdinA vAcya-arTa-niyame
   'rthāntaragatadhvanerviṣayaḥ syāt /	arTa-antara-gata-DvaneH-vizayaH syAt /
   ādye tu prakāradvaye dvayorapyarthayorvācyatvam /	Adye tu prakAra-dvaye dvayoH-api-arTayoH-vAcya-tvam /
   ata evātra - 'dvayorvopādāne' iti tṛtīyaprakāraviṣayatvenoktam /	atas eva-atra  advaya-UH-vA-upAdAne-a iti tRtIya-prakAra-vizaya-tvena-uktam /
   'viśeṣyasyāpi sāmye' iti tu śiṣṭaprakāradvayaviṣayam /	aviSezyasya-api sAmye-a iti tu Sizwa-prakAra-dvaya-vizayam /
   krameṇa yathā-	krameNa yaTA-
   'yena dhvastamanobhavena balijitkāyaḥ purāstrīkṛto	ayena Dvasta-manoBavena bali-jit-kAyaH purA-astrI-kRtaH-
   yaścodvṛttabhujaṅgahāravalayo gaṅgā ca yo 'dhārayat /	yaH-ca-udvRtta-BujaFga-hAra-valayaH gaFgA ca yaH aDArayat /
   yasyāhuḥ śaśimacchirohara iti stutyaṃ ca nāmāmarāḥ pāyātsa	yasya-AhuH SaSimat-SiraH-haraH iti stutyam ca nAma-amarAH pAyAt-sa
   svayamandhakakṣayakarastvāṃ sarvadomādhavaḥ' //	svayam-anDaka-kzaya-karaH-tvAm sarva-domADavaH-a //
   'nītānāmākulībhāvaṃ lubdhairbhuriśilīmukhaiḥ /	anItAnAm-AkulIBAvam lubDEH-Buri-SilImuKEH /
   sadṛśe vanavṛddhānāṃ kamalānāṃ tadīkṣaṇe' //	sadRSe vana-vRdDAnAm kamalAnAm tad-IkzaNe-a //
   'svecchopajātaviṣayo 'pi na yāti vaktuṃ dehīti mārgaṇaśataiśca dadāti	asvet-SA-upajAta-vizayaH api na yAti vaktum dehi-iti mArgaNa-SatEH-ca dadAti
   duḥkham /	duHKam /
   mohātsamākṣipati jīvitamapyakāṇḍe kaṣṭaṃ manobhava iveśvaradurvidagdhaḥ'	mohAt-samAkzipati jIvitam-api-akANxe kazwam manoBavaH iva-ISvara-durvidagDaH-a
   atra hariharayorddhayorapi prākaraṇikatvam /	atra hari-harayoH-dDayoH-api prAkaraNika-tvam /
   padmānāṃ mṛgāṇāṃ copamānatvādaprākaraṇikatvarm /	padmAnAm mRgANAm ca-upamAna-tvAt-aprAkaraNika-tvarm /
   iśvaramanobhavayoḥ prākaraṇikāprākaraṇikatvam /	iSvara-manoBavayoH prAkaraNikA-prAkaraNika-tvam /
   evaṃ ca śabdārthobhayagatatvena vartamānatvāttrividhaḥ /	evam ca Sabda-arTa-uBaya-gata-tvena vartamAna-tvAt-triviDaH /
   tatrodāttādisvarabhedātprayantabhedācca śabdānyatve śabdaśleṣaḥ /	tatra-udAtta-Adi-svara-BedAt-prayanta-BedAt-ca Sabda-anya-tve Sabda-SlezaH /
   yatra prāyeṇa padabhaṅgo bhavati /	yatra prAyeNa pada-BaFgaH Bavati /
   arthaśleṣastu yatra svarādibhedo nāsti /	arTa-SlezaH-tu yatra svara-Adi-BedaH na-asti /
   ata eva na tatra sabhaṅgapadatvam /	atas eva na tatra sa-BaFga-padatvam /
   saṃkalanayā tūbhayaśleṣaḥ /	saMkalanayA tu-uBaya-SlezaH /
   yathā-	yaTA-
   'raktacchadatvaṃ vikacā vahanto nālaṃ jalaiḥ saṃgatamādadhānāḥ /	arakta=-Cada-tvam vikacAH vahantaH na-alam jalEH saMgatam-AdaDAnAH /
   nirasya puṣpeṣu ruciṃ samagrāṃ padmā virejuḥ śramaṇā yathaiva' //	nirasya puzpezu rucim samagrAm padmA virejuH SramaNAH yaTA-eva-a //
   atra raktacchadatvamityādāvarthaśleṣaḥ /	atra raktacCada-tvam-iti-AdO=-arTa-SlezaH /
   nālamityādau śabdaśleṣaḥ /	nAlam-iti-AdO Sabda-SlezaH /
