   śrīvyāsatīrtharacitam	SrI vyAsa tIrTa racitam
   bhāgāntarapakṣīkāre hetūnāmasiddhiriti bhāvena śaṅkyate	BAga antara pakzIkAre hetUnAm asidDiH iti BAvena SaFkyate
     nanviti//naimittikadravyatvāśrayetyapi jñeyam/ avani 10 bhāgavartīti //	  nanu iti//nEmittika dravya tva ASrayA iti api jQeyam/ avani 10 BAgavartI iti //
   saṃśliṣṭatayā vartamānetyarthaḥ//	saMSlizwa tayA vartamAnA iti arTaH//
   śuklabhāsvareṣṇasparśavaddravyānanubhave 'pyanumīyata ityata āha  	Sukla BAsvarezNa sparSa vat dravyAn anuBave api anumIyate iti atas Aha  
   tatkalpa 11 kasyeti // tathācaika eva bhāga iti tasyaiva ca	tat kalpa 11 kasya iti // taTA ca ekaH eva BAgaH iti tasya eva ca
   pakṣatvānnāsiddhiḥ/ anyathā ghaṭādāvapi bhāgāntarakalpanena	pakzatvA at na asidDiH/ anyaTA Gawa AdO= api BAga antara kalpanena
   taijasatvādikalpanaṃ tatrāpi syāditi bhāvaḥ//	tEjasa tva Adi kalpanam tatra api syAt iti BAvaH//
   1.ṣicyamānā naṃ. 2.rapatyañjātaṃ  ga. 3.'pariyat' ityadhikam ja.	1.zicyamAna a naM. 2.rapatyaQjAtam  ga. 3. apariyat a iti aDikam  ja.
   4.vanibhāga naṃ.ga. vanibhāvagarbhita  rā. 5.sabhā rā. 6.itthaṃ'	4.vani BAga naM.ga. vaniBAva garBitaH  rA. 5.sa BA rA. 6.itTama
   ityadhikam rā. 7.nyatsa  u. 8.yā ur. ṇaṃ dvi u. r10.bhāgavatīti u.	iti aDikam rA. 7.nyat sa  u. 8.yA ur. Nam dvi u. r10.BAgavati iti u.
   11.nasya u.	11.nasya u.
   nyāyadīpayutatarkatāṇḍavam (dvi.paricchedaḥ pu   128.	nyAya dIpa yuta tarka tANxavam (dvi. paricCedaH pu  128.
   na cānudbhūta 1 sparśa 2 vatvānnānubhavaḥ/ tvanmate	na ca anudBUta 1 sparSaH 2 vatvAt na anuBavaH/ tvad mate
   suvarṇarūpasyodbhūtatvenāpasiddhāntāt //	suvarNa rUpasya udBUta tvena apasidDAntAt //
   na ca    sopi bhāgaśruṣā suvarṇatvenānubhūyate, tasya śuklabhāsvarūpaṃ	na ca   sA upi BAga SruzA suvarNa tvena anuBUyate, tasya Sukla BA svarUpam
   tūpaṣṭambhakapītarūpābhibhūtatvānnānubhūyata iti vācyam / pārthivarūpeṇa	tu upazwamBaka pIta rUpa aBiBUta tvAt na anuBUyate iti vAcyam / pArTiva rUpeNa
   tejorūpābhive ghaṭādirūpeṇa tatprakāśakālokarūpābhibhavāpātāt//	tejaH rUpa aBive Gawa Adi rUpeNa tad prakASa kAloka rUpa aBiBava apAtAt//
   na ca    pārthivaṃ rūpaṃ svāśrayā 3 vinirbhāgavartina eva tejaso	na ca   pArTivam rUpam sva ASrayAH 3 vinirBAga vartinaH eva tejasaH 
   rūpābhibhāvakamiti vācyam / maṇyādimadhyavṛttitejorūpasya	rUpa aBiBAvakam iti vAcyam / maNi Adi maDya vRtti tejaH rUpasya
   maṇirūpeṇābhibhavāt / tathā ca	maNi rUpeNa aBiBavAt / taTA ca
   suvarṇamupaṣṭambhakapītadravyasaṃyuktamapyanābhi  	suvarNam upazwamBaka pIta dravya saMyuktam api anABi  
   ananubhavasyānyathāsiddhimāśaṅkya nirāha   naceti // kiṃ rūpānubhavo	ananuBavasya anyaTA sidDim ASaFkya nirAha  na ca iti // kim rUpa anuBavaH 
   netyucyate atha dravyānubhavaḥ/ ādya āha   tvanmata iti// rūpaṃ 4	na iti ucyate aTa dravya anuBavaH/ AdyaH Aha  tvad mataH iti// rUpam 4
   suvarṇasyodbhūtameveti maṇyuktateriti bhāvaḥ/ dvitīyamāśaṅkyate    na ceti	suvarNasya udBUtam eva iti maNi uktateH iti BAvaH/ dvitIyam ASaFkyate   na ca iti
   maṇyādimadhya iti // tatrāpi tejobhāgasya tava saṃmatatvāttatrāpyabhibhave	maNi Adi maDye iti // tatra api tejaH BAgasya tava saMmata tvAt tatra api aBiBave
   5 parapra kāśakatvābhāvaprasaṅgāditi bhāvaḥ/	5 para pra kASaka tva aBAva prasaFgAt iti BAvaH/
   saṃyuktamapītyapipadenābhyugamaṃ sūcayati//	saMyuktam api iti apipadena aByugamam sUcayati//
   1.'rūpa' ityadhikam rā.ga. apica 'sparśa' iti nāsti ka.rūpa sparśa jar.	1. arUpa a iti aDikam rA. ga. apica asparSa a iti nAsti ka.rUpa  sparSa  jar.
   2.śatvā rā.naṃ. 3.vanibhāga naṃ. yāvibhāga rā. vanirbhā  ga. 4.tutasyedbhū	2.Satu A rA.nan. 3.vaniBAga naM. yA aviBAga rA. vanirBA ga. 4.tutasyet BU
    u. 5.'sva' ityadhikam  u.	 u. 5. asva a iti aDikam  u.
   pata su yonubdhi bādhaḥ) śaktivādaḥ pu   129.	pata  su yonubDi  bADaH) SaktivAdaH pu  129.
     bhūtodbhūtarūpavattejastvādaṅgāravahnirivāndhakāre svaparaprakāśakaṃ	  BUta udBUta rUpa vat tejaH tvAt aFgAra vahniH iva anDakAre sva para prakASakam
   syāt/ na cāṅgārādāvanabhibhūtarūpaṃ prabhāntaramanubhūyate yena tadeva	syAt/ na ca aFgAra AdO= anaBiBUta rUpam praBA antaram anuBUyate yena tat eva
   prakāśakaṃ na tvaṅgāravahniravahniriti syāt//	prakASakam na tu aFgAra vahniH avahniH iti syAt//
   atroktaṃ maṇau   maṇiprabhāyāmaṅgāravahnau ca rūpagata 1	atra uktam maNO  maNipraBAyAm aFgAra vahnO ca rUpa gataH 1
   śuklatvamevābhibhūtaṃ, na tu rūpaṃ, na vā tadgataṃ bhāsvaratvaṃ, ata	Sukla tvam eva aBiBUtaM, na tu rUpaM, na vA tad gatam BAsvara tvan, ata
   evāṅgāravahnyādikaṃ nīlāruṇādirūpava 2 tvenaiva bhāsate, evaṃ ca	eva aFgAra vahni Adikam nIla aruNa Adi rUpavaH 2 tu ena eva BAsate, evam ca
   svaparaprakāśa 3 katvopayuktabhāsvaratvasyānabhibhavādaṅgāravahniḥ	sva para prakASa 3 katva upayukta BAsvara tvasya anaBiBavAt aFgAra vahniH
   svaparaprakāśakaḥ, suvarṇe tu rūpamudbhūtaṃ, tadgate śuklabhāsvaratve	sva para prakASakaH, suvarNe tu rUpam udBUtaM, tad gate Sukla BAsvara tve
   cābhūbhūte iti na tatsvaparaprakāśakamiti /tanna / ratnātprabhāyā iva	ca aBUBUte iti na tad sva para prakASakam iti /tat naH / ratnAt praBAyAH iva
   kāṣṭhādvahnerivi suvarṇasya kadāpyananubhavena kalpakābhāvāt / anyathā   	kAzWAt vahneH ivi suvarNasya kadA api ananuBavena kalpaka aBAvAt / anyaTA   
   abhibhavakalpanenānupalabdhivirodhe parihṛte tejobhāgāsiddhiḥ    	aBiBava kalpanena anupalabDi viroDe parihRte tejaH BAga asidDiH    
   sarvasyāpi pārthivatvasyaivābhimatatvādatroktamiti ca	sarvasya api pArTiva tvasya eva aBimata tvAt atra uktam iti ca
   tathācetyādinoktaprameye samādhānaṃ pratyakṣakhaṇḍe suvarṇataijasatva 5	taTA ca ityAdinA ukta prameye samADAnam pratyakza KaNxe suvarNa tEjasa tva 5
   vāde uktamityarthaḥ/ anyatheti// kalpakābhāvepyevaṃ kalpana ityarthaḥ/	vAde uktam iti arTaH/ anyaTA iti// kalpakA BAvepi evam kalpanaH iti arTaH/
   1.taṃ śu naṃ.rā.ka.ja. 2.patve naṃ.ga. 3.'śayuktabhāsvarasyānabhi'	1.tam Su naM.rA. ka.ja. 2.patve naM.ga. 3. aSayukta BAsvarasya anaBi a
   ityasti naṃ. 4.nnatvasya naṃ. 5.sa vā  u.	iti asti naM. 4.nna tvasi a naM. 5.sa vA  u.
   nyāyadīpayutatarkatāṇḍavam (dvi.paricchedaḥ pu   130.	nyAya dIpa yuta tarka tANxavam (dvi. paricCedaH pu  130.
     siddhe ca tasmin phalabalādabhibhavakalpanamityanyonyāśrayaḥ syāt //	 sidDe ca tasmin Pala balAt aBiBava kalpanam iti anyonya ASrayaH syAt //
   kiṃ cāstu suvarṇarūpamabhibhūtaṃ tathāpi mahatve satyudbhūtarūpa 1	kim ca astu suvarNa rUpam aBiBUtam taTA api mahatve sati udBUta rUpaH 1
   vattejastvasyaiva vyañjakatve tantratvena suvarṇamapi vyañjakaṃ syāt/ yadi	vattejaH tu asya eva vyaQjaka tve tantra tvena suvarNam api vyaQjakam syAt/ yadi
   hyudbhūtarūpamapyabhibhūtarūpatvenānabhivyañjakaṃ kiñcitteja ubhayasiddhaṃ	hi udBUta rUpam api aBiBUta rUpa tvena anaBivyaQjakam kiQcid tejaH uBaya sidDam
   syāt / tadā tatrānatiprasaṅgāyānabhibhūtatvaviśeṣaṇamarthavadbhavet/ na ca	syAt / tadA tatra anati prasaFgAya anaBiBUta tva viSezaNam arTavat Bavet/ na ca
   tadasti/ anabhivyañjakānāṃ grīṣmoṣmādīnāmanudbhūtarūpavatvāt//	tat asti/ anaBivyaQjakAnAm grIzma Uzma AdInAm anudBUta rUpavatvAt//
   kiñcaiva suvarṇa(anu)uṣṇasparśopyudbhūta evābhibhūtaḥ kalpyatām/	kiQca eva suvarNa (anu)uzNa sparSa upyudBUtaH eva aBiBUtaH kalpyatAm/
   tasminniti// tejaubhāga ityarthaḥ/ phaleti// anupalabdhirūpakārya	tasmin= iti// tejOBAgaH iti arTaH/ Pala iti// anupalabDi rUpa kArya
   balenetyarthaḥ//	balena iti arTaH//
   astu vā rūpamabhi 2 mataṃ tathāpi dīpādivatparaprakāśakaṃ syādeva	astu vA rUpam aBi 2 matam taTA api dIpa Adi vat para prakASakam syAt eva
   prayojakasya 3 samatvāditi bhāvenāha    kiñceti// nanu mahatve	prayojakasya 3 sama tvAt iti BAvena Aha   kiQca iti// nanu mahatve
   satyanabhibhūtodbhūtarūpavattejastvameva prayojakamataḥ suvarṇe	sati anaBiBUta udBUta rUpa vat tejaH tvam eva prayojakam atas suvarNe
   tādṛśatejastvābhāvānna doṣa ityata āha   yadi hīti// grīṣma ūṣmādyeva	tAdRSa tejaH tva aBAvAt na dozaH iti atas Aha  yadi hi iti// grIzmaH Uzma Adi eva
   tādṛśaṃ teja ityata āha   anabhivyañjakānāmiti//	tAdRSam tejaH iti atas Aha  anaBivyaQjakAnAm iti//
   astu vānabhibhūtodbhūtarūpavattejastvameva vyañjakatve prayojakaṃ, athāpi	astu vA anaBiBUta udBUta rUpa vat tejaH tvam eva vyaQjaka tve prayojakan, aTa api
   suvarṇaṃ tejaścedupeyate tarhi syādeva tatparaprakāśakaṃ	suvarNam tejaH ced upeyate tarhi syAt eva tad para prakASakam
   tadrūpābhibhabhyāyuktādita bhāvena sparśapratibandīmāha  kiñceti// yadvā	tad rUpa aBiBaByAyukta Adita BAvena sparSa pratibandIm Aha kiQca iti// yat vA
   tejaḥ sparśavattejorūpasyāpyabhibhavāyogātprāguktaprayojakenābhibhūtatvā 4	tejaH sparSavat tejaH rUpasya api aBiBava ayogAt prAc ukta prayojakena aBiBUta tvA 4
   viśeṣaṇamasaṃbhavaduktikam/	viSezaNam asaMBava duktikam/
   1.pate naṃ.rā.ga.ja. 2.bhūta  u. 3.satvādi u. 4.tvavi u.	1.pate naM.rA. ga.ja. 2.BUta   u. 3.satva Adi u. 4.tu avi u.
   pata su yonulabdhi bādhaḥ) śaktivādaḥ pu   131.	pata  su yonulabDi  bADaH) SaktivAdaH pu  131.
   na caivaṃ sparśodbhave suvarṇamandhakāre tvacā gṛhyeta, tathā ca suvarṇaṃ	na ca evam sparSa udBave suvarNam anDakAre tvacA gRhyeta, taTA ca suvarNam
   na veti saṃśayo na syāditi vācyam / tava 1 suvarṇatvajāterupaṣṭambhakā 2	na vA iti saMSayaH na syAt iti vAcyam / tava 1 suvarNa tva jAteH upazwamBakAH 2
   bhimatarūpaviśeṣagrahavyaṅgyatvena brāhmaṇavyaktigrahe 'pi	Bimata rUpa viSeza graha vyaFgya tvena brAhmaNa vyakti grahe api
   brāhmaṇatvajātisaṃdehavadupapatteriti 3 suvacatvāt /	brAhmaNa tva jAti saMdeha vat upapatteH iti 3 su vaca tvAt /
   tejaḥsparśonabhibhāvya iti tu rūpe 'pi tulyam/ tasmātvacā cakṣuṣā vā	tejaH sparSaH naBi BAvyaH iti tu rUpe api tulyam/ tasmAt vacA cakzuzA vA
   pītagurudravyādiriktasya 4 bhāgāntarasyāgrahe 5 ṇa dharmiṇa eva	pIta guru dravya Adi riktasya 4 BAga antarasya agrahe 5 Na DarmiNaH eva
   buddhyanārohānna tadrūpe 'bhibhavādikalpanaṃ yuktam//	budDi anArohAt na tad rUpe aBiBava Adi kalpanam yuktam //
   parābhi 6 suvarṇasya yogyānupalabdhibādhaḥ// 12 //	parABi 6 suvarNasya yogyA anupalabDi bADaH// 12 //
   saṃbhavavyabhicārābhyāmeva viśeṣaṇasyārthavatvāditi bhāvenāha   kiñceti//	saMBava vyaBicArAByAm eva viSezaNasya arTava tvAt iti BAvena aha  kiQca iti//
   naiva kalpanā yuktetyāśaṅkya nirāha   nacaivamiti// taveti//	na eva kalpanA yuktA iti ASaFkya nirAha  na ca evam iti// tava iti//
   upaṣṭambhakamastīti vadata ityarthaḥ/ tejaḥsparśa eva sarvābhibhāvako na	upazwamBakam asti iti vadate iti arTaH/ tejaH sparSaH eva sarva aBiBAvakaH na
   svayamanyenābhibhavituṃ śakya ityata āha    teja iti// tasmādityasya	svayam anyena aBiBavitum SakyaH iti atas Aha   tejaH iti// tasmAt iti asya
   vivaraṇaṃ tvacetyādipañcamyantaparyantam//	vivaraNam tvacA ityAdi paQcamI anta paryantam//
   parābhipretasuvarṇasyānupalabdhibādhaḥ// 12//	para aBipreta suvarNasya anupalabDi bADaH// 12//
   1.naveti nāsti naṃ.rā.ga.ja. 2.katvābhi rā.ga. 3.'tava' ityadhikam ga.	1.nava iti nAsti naM.rA. ga.ja. 2.ka tva aBi rA. ga. 3. atava a iti aDikam ga.
   4.bhāgantarasyeti nāsti rā. 5.hṛṇe naṃ.ka.ja. haṇāt rā.	4.BAj antarasya iti nAsti rA. 5.hRNe naM.ka.ja. haNAt rA.
   6.pretasuvarṇasyānupalabdhi  rā.ga.	6. preta suvarNasya anupalabDi  rA. ga.
   nyāyadīpayutatarkatāṇḍavam (dvi.paricchedaḥ pu   132.	nyAya dIpa yuta tarka tANxavam (dvi. paricCedaH pu  132.
   atha suvarṇasyodayanādyuktārthāpatteḥ pañcadhānyathopapattisamarthanam //	aTa suvarNasya udayanAdyukta arTApatteH paQcaDA anI aTA upapatti samarTanam //
   atra maṇāvudayanoktaṃ tamamuktaṃ  	atra maNO= udayana uktam tam amuktaM  
   avaśyaṃ bhāgāntaraṃ svīkāryam / atyantānalasaṃyogi 1 rūpādhikaraṇaṃ	avaSyam BAga antaram svIkAryam / atyanta anala saMyogi 1 rUpa aDikaraNam
   pārthivaṃ	pArTivam
   pūrvarūpavijātīyarūpapratibandhaka 2 dravadravyasaṃyuktaṃ	pUrvarUpa vijAtIya rUpa pratibanDaka 2 drava dravya saMyuktam
   atyantānalasaṃyuktatve sati pūrvarūvijātīyarūpānadhikaraṇapārthivatvāt/	atyanta anala saMyukta tve sati pUrva rUvi jAtIya rUpAn aDikaraNa pArTiva tvAt/
   atha suvarṇasyodayanādyuktārthāpatteḥ pañcadhānyathopapattisamarthanam //	aTa suvarNasya udayanAdyukta arTApatteH paQcaDA anI aTA upapatti samarTanam //
   evaṃ suvarṇasya pārthivatve	evam suvarNasya pArTiva tve
   prayuktahetūnāmasiddhisiddhasādhanatayornirāsāya tatra	prayukta hetUnAm asidDi sidDa sADana tayoH nirAsAya tatra
   parābhimatabhāgāntare 'nupalabdhibādhamuktvā tatsādhakatayā	para aBimata BAga antare anupalabDi bADam uktvA tad sADaka tayA
   parābhimatānumānamapyanūdya nirāha   atretyādinā//	para aBimata anumAnam api anUdya nirAha  atra ityAdinA//
   maṇāvudayanoktamatamuktamiti// pratyakṣakhaṇḍe suvarṇataijasavāde	maNO= udayana ukta matam uktam iti// pratyakza KaNxe suvarNa tEjasa vAde
   etatprayogoktyanantaramityācāryo 3 kteriti maṇāvukteriti bhāvaḥ/	etad prayoga ukti anantaram iti AcAryaH 3 kteH iti maNO= ukteH iti BAvaH/
   bhāgāntaramiti// suvarṇaṃ 4 pārthivabhāgasaṃpṛktaṃ bhāgāntaramityarthaḥ/	BAga antaram iti// suvarNam 4 pArTiva BAga saMpRktam BAga antaram iti arTaH/
   tathā ca tatra prāguktahetavo 'siddhā iti bhāvaḥ/ atyanteti//	taTA ca tatra prAc ukta hetavaH asidDAH iti BAvaH/ atyanta iti//
   pārthivamityantaṃ 5 pakṣaḥ/ pārthivamityevokte ghaṭādau bādhaḥ/	pArTivam iti antam 5 pakzaH/ pArTivam iti eva ukte Gawa AdO bADaH/
   tannirāsāyātyantetyādiviśeṣaṇam/ tādṛśā 6 ghaṭādau bādhāsiddhyornirāsāya	tad nirAsAya atyanta ityAdi viSezaNam/ tAdRSA 6 Gawa AdO bADA sidDyoH nirAsAya
   pītarūpādhikaraṇamiti/	pIta rUpa aDikaraNam iti/
   1.ge pī rā.su. gipārthivaṃ ga. 2.dravapadaṃ nāsti kā.ga.ja.narṃ. 3.yā iti	1.ge pI rA. su. gipa arTi vaM ga. 2.drava padam nAsti kA. ga.ja. narM. 3.yAH iti
   māṇā ur. 4.ṇepā  u. 5.ntaḥ pa u. 6. śasyā  u.	mANA ur. 4.NepAH  u. 5.ntaH pa u. 6. SasyA u.
   susyo dadyu ktāteḥ padhā thotti sanam) śaktivādaḥ pu   133.	susyaH  dadyu ktAteH paDa a Ta utti  sanam) SaktivAdaH pu  133.
   1 kvāthyamānajalamadhya 2 sthapaṭavadityanumānāt / na cāprayojakam/	1 kvATyamAna jala maDye 2 sTapawa vat iti anumAnAt / na ca aprayojakam/
   dravadravyasaṃbandhaṃ vinā pārthive 'tyantānalasaṃyogasya	drava dravya saMbanDam vinA pArTive atyanta anala saMyogasya
   pūrvarūpavijātīyarūpajanakatvaniyamāt/ tacca dravadravyaṃ na jalam	pUrvarUpa vijAtIya rUpa janakatva niyamAt/ tat ca drava dravyam na jalam
   naimittikadravatvavatvāt snehaśūnyatvācca, snehavatve	nEmittika drava tvava tvAt sneha SUnya tvAt ca, snehava tve
   tadadhīnasaṅgrahaprasaṅgāt, nāpi pārthivam dāhavirodhitvāt,	tad aDIna saFgraha prasaFgAt, na api pArTivam dAha viroDi tvA at,
   āpādakadaśāyāmabādhāyātyantālasaṃyogīti/ pārthivamiti svarūpoktiḥ/	ApAdaka daSa AyAma bADAya atyantAla saMyogI iti/ pArTivam iti svarUpa uktiH/
   jalaparamāṇvādisaṃyuktatvenārthāntaranirāsāya sādhye	jala paramANu Adi saMyukta tvena arTa antara nirAsAya sADye
   pratibandhakāntaroktiḥ/ svāvayavāvayava eva	pratibanDaka antaroktiH/ sva avayava avayavaH eva
   pūrvarūpaparāvṛttipratibandhakostu / tathā ca	pUrvarUpa parAvRtti pratibanDakoH tu / taTA ca
   tatsaṃyuktatvenārthāntaravāraṇāya dravadravyetyuktiḥ/ svāvayavāvayavsatu	tad saMyukta tvena arTa antara vAraNAya drava dravyA iti uktiH/ sva avayava a= ayavsatu
   na dravadravyamityāhuḥ/ staṃbhādāvavyabhicārāya hetau satyantam /	na drava dravyam iti AhuH/ staMBa AdO= avyaBicArAya hetO satyantam /
   pacyamānaghaṭādāvavyabhicārāya pūrvarūpavijātīyarūpānadhikaraṇeti	pacyamAna Gawa AdO= avyaBicArAya pUrvarUpa vijAtIya rUpAn aDikaraNa iti
   viśeṣaṇam/ jale vyabhicāravāraṇāya pārthivatvādityuktiḥ/ dṛṣṭānte	viSezaNam/ jale vyaBicAra vAraNAya pArTiva tva Adi ti uktiH/ dRzwAnte
   'tyantanaletyādihetvaṃśopapādanāya kathyamānetyuktiḥ/ sādhyopapādanāya	atyanta nala ityAdi hetu aMSa upapAdanAya kaTyamAnA iti uktiH/ sADya upapAdanAya
   jalamadhyasthetyuktiḥ/ jalamadhyasthetyuktyaiva	jala maDya sTa iti uktiH/ jala maDyasTa iti uktyA eva
   pūrvarūpavijātīyarūpānadhikaraṇasya sphaṭatvātpārthivatvalābhāyā	pUrvarUpa vijAtIya rUpA an aDikaraNasya sPawa tvAt pArTiva tva lABAyA
   ghaṭavadityuktiḥ/ aprayojakamiti // anumānamityanvayaḥ//	Gawa vat iti uktiH/ aprayojakam iti // anumAnam iti anvayaH//
   nanvetāvatā 3 dravadravyaṃ taijasamiti kuta ityataḥ pariśeṣāditi	nanu etAvatA 3 drava dravyam tEjasam iti kutas iti atas pariSezAt iti
   bhāvenāha  tacceti// saṅgraheti// yathā jalaṃ pārthivarajāṃsi	BAvena aha tat ca iti// saFgraha iti// yaTA jalam pArTiva rajAMsi
   piṇḍībhūtatayā saṅgrahṇāti, evaṃ dravībhūtaṃ suvarṇaṃ na saṃgṛhṇāti	piNxIBUta tayA saFgrahNAti, evam dravIBUtam suvarNam na saMgRhNAti
   kiñciditi 4 na sneharūpacikkaṇatālakṣaṇajalāsādhāraṇadharmābhāvānna	kiQcid iti 4 na sneha rUpa cikkaNa tA lakzaNa jalAsA DAraNa Darma aBAvAt na
   jalamityarthaḥ/ nāpīti// tacca drava 5 dravyaṃ pārthivaṃ na bhavati/	jalam iti arTaH/ na api iti// tat ca drava 5 dravyam pArTivam na Bavati/
   1.kvasya rā.ka.ga.ja.naṃ.su. 2.'stha' iti nāsti su. 3.taddrava u. 4.na iti	1.kvasya  rA.ka.ga.ja.naM.su. 2. asTa a iti nAsti su. 3.tad drava u. 4.naH iti
   nāsti u. 5.prāyaḥ 'vaddṛ' ityevāsti  u.	nAsti u. 5.prAyas avaddRa iti eva asti u.
   nyāyadīpayutatarkatāṇḍavam (śaktivādaḥ pu   134.	nyAya dIpa yuta tarka tANxavam (SaktivAdaH pu  134.
   taddravyaṃ rūpavacca dravatvavatvādeva, taijasaṃ ca pṛthivījanānyatve sati	tat dravyam rUpa vat ca drava tu ava tvAt eva, tEjasam ca pRTivI jana anya tve sati
   rūpavatvāditi dharmigrahakamānasiddhaṃ 1	rUpava tvAt iti Darmi grahaka mAna sidDam 1
   tejastvamiti //	tejaH tvam iti //
   tanna / tvaduktaṃ rūpāparāvṛttirūpaṃ liṅgaṃ hi 2 rūpapāravṛtti	tat naH / tvad uktam rUpa aparAvRtti rUpam liFgam hi 2 rUpa pAravRtti
   pratibandhakakiñcidvatvenaivopapannaṃ 3 sanna pratibandhakasya	pratibanDaka kiQci dvatvena eva upapannam 3 sat na pratibanDakasya
   dravatvaparyantaṃ dhāvati/ yena dravatvavatorūpitvamityāditvaduktarītyā	drava tva paryantam DAvati/ yena drava tvavataH rUpi tvam iti Adi tvad ukta rItyA
   dejastvaṃ sidhyet/ saṃbhavati ceha kḷptaṃ pratibandhakāntaram /	dejaH tvam siDyet/ saMBavati ca iha k?ptam pratibanDaka antaram /
   pārthivasya svasaṃyuktopaṣṭambhakabhāge yo bhasmībhāvalakṣaṇo	pArTivasya sva saMyukta upazwamBaka BAge yaH BasmIBAva lakzaNaH 
   dāhastadavirodhitvādasya ca dravadravyasya tadvirodhitvādityarthaḥ//	dAhaH tad aviroDi tvAt asya ca drava dravyasya tad viroDi tvAt iti arTaH//
   tarhi taddravyaṃ vāyvādirūpaṃ kuto netyata āha    rūpavacceti// tatra	tarhi tat dravyam vAyu Adi rUpam kutas na iti atas Aha   rUpa vat ceti// tatra
   hetumāha   dravatvavatvāditi// jalavaditi bhāvaḥ/ taijasaṃ ceti//	hetum Aha  drava tvavatvAt iti// jala vat iti BAvaH/ tEjasam ca iti//
   dravyamityanuṣaṅgaḥ//	dravyam iti anuzaFgaH//
   nanu    tejontare naimittikadravatvavijātīyarūpe 4	nanu   tejaH ntare nEmittika drava tva vijAtIya rUpe 4
   pratibandhakatvayoradṛṣṭeratra kathaṃ tadadhikaraṇasya	pratibanDaka tvayoH adRzweH atra kaTam tat aDikaraNasya
   taijasatvakalpanamityata āha   iti dharmigrāhaketi//	tEjasa tva kalpanam iti atas Aha  iti Darmi grAhaka iti//
   dāhavirodhitvanaimittikadravatvarūpatvahetubhiḥ sahakṛtaprācīnena	dAha viroDi tva nEmittika drava tva rUpa tva hetuBiH saha kRta prAcInena
   dravadravyasaṃyuktatvasādhakenānumānena siddhamityarthaḥ//	drava dravya saMyukta tva sADakena anumAnena sidDam iti arTaH//
   ādyānumāne hetoruktasādhyena vinānyathopapatyāprayojakatvena	Adya anumAne hetoH ukta sADyena vinA anyaTa upapatyA prayojaka tvena
   dharmigrāhakamānaṃ nirāha   tvaduktamityādinā // nanu  	Darmi grAhaka mAnam nirAha  tvad uktam ityAdinA // nanu  
   dravatvahīnamanyattādṛśapratibandhakaṃ vastu nāstyevetyata āha  	drava tva hInam anyat tAdRSa pratibanDakam vastu na asti eva iti atas Aha  
   saṃbhavati ceti// kiṃ tadadṛṣṭaṃ cetakthaṃ ca pratibandhakatā	saMBavati ca iti// kim tat adRzwam cetakTam ca pratibanDaka tA
   kvāpyadṛṣṭerityato dṛṣṭāntapūrvaṃ vyanakti   karaketi//	kvApi adRzweH iti atas dRzwAnta pUrvam vyanakti  karaka iti//
   1.tasyetyadhikam  rā.ga.naṃ.su. tatte ka.ja. 2.hi śabdo nāsti rā.su.	1.tasya iti aDikam  rA. ga.naM.su. tat te ka.ja. 2.hi SabdaH nAsti rA. su.
   3.nnaprati rā.su. 4.papra  u.	3.nna prati rA. su. 4.papra  u.
   susya dadyu ktātteḥ padhā thotti sanam ) śaktivādaḥ pu   135.	susya  dadyu ktAt teH paDA Ta utti sanam ) SaktivAdaH pu  135.
   karakādau sāṃsiddhikadravatvasyevātyantānalasaṃyukte pārthive vajre	karaka AdO sAMsidDika drava tvasi a iva atyanta anala saMyukte pArTive vajre
