   ṣaṭ-sandarbha-nāmaka-	zaw-sandarBa-nAmaka-
   anyatrāpi śrī-jāmātṛ-munibhir upadiṣṭasya jīva-lakṣaṇasyaviopajīvyatvena	anyatra-api SrI-jA-mAtR--muniBiH upadizwasya jIva--lakzaNasya-viA-upajIvya-tvena
   taṃ lakṣayati tribhiḥ -	tam lakzayati triBiH -
   ahaṃ mamābhimānotthaiḥ	aham mama-aBimAna-utTEH
   kāma-lobhādibhir malaiḥ |	kAma--loBa-AdiBiH malEH |
   vītaṃ yadā manaḥ śuddham	vItam yadA manaH SudDam
   aduḥkham asukhaṃ samam || [BhP 3.25.16]	aduHKam asuKam samam || [Bhj 3.25.16]
   tadā puruṣa ātmānaṃ	tadA puruzaH AtmAnam
   kevalaṃ prakṛteḥ param |	kevalam prakRteH param |
   nirantaraṃ svayaṃ-jyotir	nirantaram svayaM-jyotiH-
   aṇimānam akhaṇḍitam || [BhP 3.25.17]	aNimAnam aKaNxitam || [Bhj 3.25.17]
   jñāna-vairāgya-yuktena	jQAna--vErAgya--yuktena
   bhakti-yuktena cātmanā |	Bakti-yuktena ca-AtmanA |
   paripaśyaty udāsīnaṃ	paripaSyati udAsInam
   prakṛtiṃ ca hataujasam || [BhP 3.25.18]	prakRtim ca hata-ojasam || [Bhj 3.25.18]
   spaṣṭaiva yojanā | tavāham iti padyena sa ātmā nitya-nirmala iti | ātmānam	spazwA-eva yojanA | tava-aham iti padyena saH AtmA nitya--nirmalaH iti | AtmAnam
   ity anenaivāham artha iti | anyathā hy ātmatva-pratīty-abhāvaḥ syāt |	iti anena-eva-aham arTaH iti | anyaTA hi Atma-tva--prati-iti--aBAvaH syAt |
   kevalam ity anenaika-rūpa-svarūpa-bhāg iti | prakṛteḥ param ity anena	kevalam iti anena-eka--rUpa--svarUpa-BAj iti | prakRteH param iti anena
   vikāra-	vikAra-
   rahitaḥ | bhakti-yuktenety anena paramātma-prasādādhīna-tat-prakāśatvāt	rahitaH | Bakti-yuktena-iti anena paramAtma--prasAda-aDIna--tat--prakASa-tvAt-
   nirantaram ity anena nityatvāt paramātmaika-śeṣatvam iti | svayaṃ jyotir	nirantaram iti anena nitya-tvAt paramAtmA-eka-Seza-tvam iti | svayam jyotiH-
   ity	iti-
   anena svasmai svayaṃ prakāśa iti jñāna-mātrātmako na ca iti ca | aṇimānam	anena svasmE svayam prakASaH iti jQAna--mAtra-AtmakaH na ca iti ca | aNimAnam
   ity anenāṇur eveti prati-kṣetraṃ bhinna iti ca | akhaṇḍitam ity anena	iti anena-aNuH eva-iti prati-kzetram BinnaH iti ca | aKaNxitam iti anena
   vicchinna-	vicCinna-
   jñānādi-śaktitvāt jñātṛtva-kartṛtva-bhoktṛtva-nija-dharmaka iti	jQAna-Adi--Sakti-tvAt jQAtR-tva--kartR-tva-BoktR-tva--nija--DarmakaH iti
   vyañjitam || 3.25 || śrī-kapiladevaḥ ||45||	vyaQjitam || 3.25 || SrI--kapiladevaH ||45||
   tathedam api prāktana-lakṣaṇā-viruddham -	taTA-idam api prAktana--lakzaNA--virudDam -
   ātmā nityo 'vyayaḥ śuddha	AtmA nityaH avyayaH SudDa
   ekaḥ kṣetra-jña āśrayaḥ |	ekaH kzetra--jQaH ASrayaH |
   avikriyaḥ sva-dṛg hetur	avikriyaH sva--dRS hetuH-
   vyāpako 'saṅgy anāvṛtaḥ || [BhP 7.7.19]	vyApakaH asaFgI anAvRtaH || [Bhj 7.7.19]
   etair dvādaśabhir vidvān	etEH dvAdaSaBiH vidvAn
   ātmano lakṣaṇaiḥ paraiḥ |	AtmanaH lakzaNEH parEH |
   ahaṃ mamety asad-bhāvaṃ	aham mama-iti asat--BAvam
   dehādau mohajaṃ tyajet || [BhP 7.7.20]	deha-AdO moha-jam tyajet || [Bhj 7.7.20]
   avyayaḥ apakṣaya-śūnyaḥ | eko na tu dehedriyādi-saṅghāta-rūpaḥ | kṣetrajño	avyayaH apakzaya--SUnyaH | ekaH na tu dehedriyA-Adi-saFGAta--rUpaH | kzetrajQaH-
   jñātṛtvādi-dharmakaḥ | indriyādīnām āśrayaḥ | svābhāvika-jñātṛtvād	jQAtR-tva-Adi-DarmakaH | indriya-AdInAm ASrayaH | svABAvika-jQAtR-tvAt-
   evāvikriyaḥ | svadṛk svasmai svayaṃ prakāśaḥ | hetuḥ sargādi-nimittam |	eva-avikriyaH | svadRS svasmE svayam prakASaH | hetuH sarga-Adi--nimittam |
   tad	tat-
   uktaṃ śrī-sūtena - hetur jīvo'sya sargāder avidyā-karma-kāraka [BhP	uktam SrI--sUtena  hetuH jIvaH-asya sarga-AdeH avidyA-karma-kAraka [BhP
   iti | vyāpako vyāpti-śīlaḥ | asaṅgī anāvṛtaś ca svataḥ prakāśa-rūpatvāt |	iti | vyApakaH vyApti--SIlaH | asaFgI anAvRtaH ca svatas prakASa--rUpa-tvAt |
   ahaṃ mamety asadbhāvaṃ dehādau mohajaṃ tyajed iti dehādy-adhikaraṇakasya	aham mama-iti asadBAvam deha-AdO moha-jam tyajet iti deha-Adi--aDikaraNakasya
   mohajasyaiva tyāgo na tu svarūpa-bhūtasyety ahama artha iti | vyajjate |	moha-jasya-eva tyAgaH na tu svarUpa-BUtasya-iti ahamaH arTaH iti | vyajjate |
   tad	tat-
   evaṃ jīvas taad -aṃśatvāt sūkṣma-jyotī-rūpa ity eke | tathaiva hi	evam jIvaH taat -aMSa-tvAt sUkzma-jyotI--rUpaH iti eke | taTA-eva hi
   kaustubhāṃśatvena vyañjitam | tathā ca skānda-prabhāsa-khaṇḍe jīva-	kOstuBa-aMSa-tvena vyaQjitam | taTA ca skAnda--praBAsa--KaNxe jIva-
   nirūpaṇe -	nirUpaNe -
   na tasya rūpaṃ varṇā vā pramāṇaṃ dṛśyate kvacit |	na tasya rUpam varNAH vA pramANam dRSyate kvacid |
   na śakyaṃ kathituṃ vāpi sūkṣmaś cānanta-vigrahaḥ ||	na Sakyam kaTitum vA-api sUkzmaH ca-ananta--vigrahaH ||
   bālāgra-śata-bhāgasya śatadhā kalpitasya ca |	bAla-agra--Sata-BAgasya SataDA kalpitasya ca |
   tasmāt sūkṣmataro devaḥ sa cānantyāya kalpyte ||	tasmAt sUkzmataraH devaH sa ca-AnantyAya kalpyte ||
   āditya-varṇaṃ sūkṣmābham ab-bindum iva puṣkare |	Aditya--varNam sUkzma-ABam ab-bindum iva puzkare |
   nakṣatram iva paśyanti yogino jñāna-cakṣuṣā || iti ||	nakzatram iva paSyanti yoginaH jQAna-cakzuzA || iti ||
   ||7.9|| śrī-prahlādo'sura-bālakān ||46||	||7.9|| SrI--prahlAdaH-asura--bAlakAn ||46||
   tad evam anantā eva jīvākhyās taṭasthāḥ śaktayaḥ | tatra tāsāṃ varga-	tat evam anantAH eva jIva-AKyAH tawa-sTAH SaktayaH | tatra tAsAm varga-
   dvayam | eko vargo'nādita eva bhagavad-unmukhaḥ anyas tv anādita eva	dvayam | ekaH vargaH-anAditaH eva Bagavat--unmuKaH anyaH tu anAditaH eva
   bhagavat-parāṅmukhaḥ | svabhāvatas tadīya-jñāna-bhāvāt tadīya-	Bagavat--parAFmuKaH | svaBAvataH tadIya--jQAna-BAvAt tadIya-
   jñānābhāvāc ca | atra prathamo'ntaraṅgāśakti-vilāsānugṛhīto nitya-	jQAna-aBAvAt ca | atra praTamaH-antaraFga-aSakti-vilAsa-anugRhItaH nitya-
   bhagavat-parikara-rūpo garuḍādikaḥ | yathoktaṃ pādmottara-khaṇḍe tripād-	Bagavat--parikara--rUpaH garuxa-AdikaH | yaToktam pAdma-uttara---KaNxe tripAd-
   vibhūter lokās tv ity ādau bhagavat-sandarbhodāhṛte (81) | asya ca	viBUteH lokAH tu iti AdO Bagavat--sandarBa-udAhRte (81) | asya ca
   taṭasthatvaṃ jīvatva-prasiddher īśvaratva-koṭāv apraveśāt | aparasya tat-	tawa-sTa-tvam jIva-tva--prasidDeH ISvara-tva--kowO apraveSAt | aparasya tat-
   parāṅmukhatva-doṣeṇa labdha-cchidrayā māyayā paribhūtaḥ saṃsārī |	parAFmuKa-tva--dozeNa labDa-=-CidrayA mAyayA pariBUtaH saMsArI |
   yathoktaṃ haṃsa-guhya-stave - sarvaṃ pumān veda guṇāṃś ca taj-jño na veda	yaTA-uktam haMsa--guhya--stave  sarvam pumAn veda guNAn ca taj-jQaH na veda
   sarvajñam anantam īḍe iti [BhP 6.4.25] | ekādaśe ca -- bhayaṃ	sarvajQam anantam Ixe iti [Bhj 6.4.25] | ekAdaSe ca - Bayam
   dvitīyābhiniveśataḥ syād iti [BhP 11.2.37] |	dvitIya-aBiniveSataH syAt iti [Bhj 11.2.37] |
   tad-varga-dvayam evoktaṃ śrī-vidureṇāpi -	tad--varga--dvayam eva-uktam SrI--vidureNa-api -
   tattvānāṃ bhagavaṃs teṣāṃ	tattvAnAm Bagavan tezAm
   katidhā prati-saṅkramaḥ |	katiDA prati-saFkramaH |
   tatremaṃ ka upāsīran	tatra-imam kaH upAsIran
   ka u svid anuśerate || [BhP 3.7.37] ity anena |	kaH u svid anuSerate || [Bhj 3.7.37] iti anena |
   tatra parameśvara-parāḍmukhānāṃ śuddhānām api tac-chakti-viśiṣṭān	tatra parameSvara--parAxmuKAnAm SudDAnAm api tac--Sakti-viSizwAn
   parameśvarāt sopādhikaṃ janma bhavati | tac ca janma nijopādhi-janmanā	parameSvarAt sa-upADikam janma Bavati | tat ca janma nija-upADi-janmanA
   nija-jnamābhimāna-hetukādhyātmikāvasthā-prāptir eva | tad etad āhuḥ --	nija--jnama-aBimAna--hetuka-ADya-AtmikA-avasTA--prAptiH eva | tat etat AhuH --
   na ghaṭata udbhavaḥ prakṛti-puruṣayor ajayor	na GawataH udBavaH prakRti-puruzayoH ajayoH-
   ubhaya-yujā bhavany asubhṛto jala-budbudavat |	uBaya-yujA BavanI asuBRtaH jala-budbuda-vat |
   tvayi na ime tato vividha-nāma-guṇaiḥ parame	tvayi naH ime tatas viviDa-nAma-guNEH parame
   sarita ivārṇave madhuni likhyur aśeṣa-rasāḥ || [BhP 10.87.31]	saritaH iva-arNave maDuni liKyuH aSeza--rasAH || [Bhj 10.87.31]
   prakṛtes traiguṇyaṃ puruṣaṃ śuddhau jīvas tayor dvayor apy ajatvād udbhavo	prakRteH trEguNyam puruzam SudDO jIvaH tayoH dvayoH api aja-tvAt udBavaH-
   na ghaṭate ye cāsubhṛta ādhyātmika-rūpāḥ sopādhayo jīvā jāyante tat-tad-	na Gawate ye ca-asuBRtaH ADyAtmika--rUpAH sa-upADayaH jIvAH jAyante tat-tat--
   ubhaya-śakti-yujā paramātmanaiva kāraṇena jāyante prakṛti-vikāra-pralayeṇa	uBaya--Sakti--yujA paramAtmanA-eva kAraNena jAyante prakRti-vikAra--pralayeNa
   supta-vāsanatvāt śuddhās tāḥ paramātmani līnā jīvākhyāḥ śaktayaḥ sṛṣṭi-	supta--vAsana-tvAt SudDAH tAH paramAtmani lInAH jIva-AKyAH SaktayaH sRzwi-
   kāle vikāriṇīṃ prakṛtim āsṛjya kṣbhita-vāsanāḥ satyaḥ sopādhikāvasthāṃ	kAle vikAriNIm prakRtim AsRjya kzBita--vAsanAH satyaH sa-upADika-avasTAm
   prāpnuvantya eva vyuccarantīty arthaḥ | etad abhipretyaiva bhagavān eka	prApnuvantyaH eva vyuccaranti-iti arTaH | etat aBipretya-eva BagavAn eka
   āsedam ity [3.5.23] ādi tṛtīya-skandha-prakaraṇe -	Asa-idam iti [3.5.23] Adi tRtIya--skanDa--prakaraNe -
   kāla-vṛttyā tu māyāyāṃ	kAla-vRttyA tu mAyAyAm
   guṇa-mayyām adhokṣajaḥ |	guNa-mayyAm aDokzajaH |
   puruṣeṇātma-bhūtena	puruzeNa-Atma-BUtena
   vīryam ādhatta vīryavān || [BhP 3.5.26]	vIryam ADatta vIryavAn || [Bhj 3.5.26]
   ity anena vīrya-śabdoktasya jīvasya prakṛtāvādhānam uktam | evaṃ śrī-	iti anena vIrya--Sabda-uktasya jIvasya prakRtO=-ADAnam uktam | evam SrI-
   gītopaniṣatsv api mama yonir mahad brahma tasmin garbhaṃ dadhāmy aham	gIta-upanizatsu api mama yoniH mahat brahma tasmin garBam daDAmi aham
   ity [Gītā 14.3] atroktam | ṭīkākāraiś ca brahma-śabdena prakṛtir vyākhyātā	iti [GItA 14.3] atra-uktam | wIkAkArEH ca brahma--Sabdena prakRtiH vyAKyAtA
   garbha-śabdena jīva iti | punar eṣa eva tṛtīye -	garBa--Sabdena jIvaH iti | punar ezaH eva tRtIye -
   daivāt kṣubhita-dharmiṇyāṃ	dEvAt kzuBita--DarmiNyAm
   svasyāṃ yonau paraḥ pumān |	svasyAm yonO paraH pumAn |
   ādhatta vīryaṃ sāsūta	ADatta vIryam sA-asUta
   mahat tattvaṃ hiraṇmayam || [BhP 3.26.19]	mahat tattvam hiraNmayam || [Bhj 3.26.19]
   ity atra vīryaṃ cic-chaktim iti ṭīkāyāṃ vyākhyātamataḥ śaktitvam asya	iti atra vIryam cic--Saktim iti wIkAyAm vyAKyAtam-atas Sakti-tvam asya
   ṭīkā-	wIkA-
   sammatam | tato'kasmād udbhava-mātrāṃśe dṛṣṭāntaḥ | jala-budbudavad iti |	sammatam | tatas-akasmAt udBava--mAtra-aMSe dRzwAntaH | jala-budbuda-vat iti |
   ataḥ punar api pralaya-samaye ime sopādhikā jīvās tvayi bimbasthānīya-	atas punar api pralaya--samaye ime sa-upADikAH jIvAH tvayi bimba-sTAnIya-
   mūla-cid-rūpe raśmi-sthānīya-cid-eka-lakṣaṇa-śuddha-jīva-śaktimaye | tata	mUla-cit--rUpe raSmi-sTAnIya-cit--eka--lakzaNa--SudDa-jIva--Sakti-maye | tata
   eva svam apīto bhavatīty ādi śrutau sva-śabdābhidheye parame paramātmani	eva svam api-itas Bavati-iti Adi SrutO sva--Sabda-aBiDeye parame paramAtmani
   vividha-nāma-guṇair vividhābhir devādi saṃjñābhir vividhaiḥ śubhāśubha-	viviDa-nAma-guNEH viviDABiH deva-Adi saMjQABiH viviDEH SuBa-aSuBa-
   guṇaiś ca saha lilyur līyante | pūrvavat pralaye'pi dṛṣṭāntaḥ sarita	guNEH ca saha lilyuH lIyante | pUrvavat pralaye-api dRzwAntaH sarita
   ivārṇava	iva-arNava
   iti aśeṣa-rasā iva madhuni iti ca | atra deva-manuṣyādi-nāma-rūpa-	iti aSeza--rasAH iva maDuni iti ca | atra deva--manuzya-Adi-nAma--rUpa-
   parityāgena tasmin līne'pi svarūpa-bhedo'sty eva tat-tad-aṃśa-sad-bhāvād	parityAgena tasmin lIne-api svarUpa-BedaH-asti eva tat--tad--aMSa--sad-BAvAt-
   ity	iti-
   abhiprāyaḥ | atra śrutayaḥ ajām ekām ity [ŚvetU 5.5] ādi |	aBiprAyaH | atra SrutayaH ajAm ekAm iti [ŚvetU 5.5] Adi |
   yathā nadyaḥ syandamānāḥ samudre	yaTA nadyaH syandamAnAH samudre
   'staṃ gacchanti nāma-rūpe vihāya |	astam gacCanti nAma--rUpe vihAya |
   tathā vidvān nāma-rūpād vimuktaḥ	taTA vidvAn nAma--rUpAt vimuktaH
   parāt paraṃ puruṣam upaiti divyam || [MuṇḍU 3.2.8] iti |	parAt param puruzam upEti divyam || [MuNxU 3.2.8] iti |
   yathā saumyemā madhu-kṛto nistiṣṭhanti nānā-rūpāṇām vṛkṣāṇāṃ rasān	yaTA sOmya-imAH maDu-kRtaH nistizWanti nAnA---rUpANAm vRkzANAm rasAn
   samavahāram	samavahAram
   ekatāṃ rasaṃ gamayanti || [ChāU 6.9.1]	eka-tAm rasam gamayanti || [ShAU 6.9.1]
   te yathā vivekaṃ na labhante amuṣāhaṃ vṛkṣasya raso'smīty evaṃ khalu	te yaTA vivekam na laBante amuzA-aham vRkzasya rasaH-asmi-iti evam Kalu
   saumyemāḥ sarvāḥ prajāḥ sati sampadya na viduḥ sati sampadyāmaha iti ||	sOmya-imAH sarvAH prajAH sati sampadya na viduH sati sampadyAmahe iti ||
   iti	iti
   [ChāU 6.9.2]	[ShAU 6.9.2]
   || 10.87 || śrutayaḥ śrī-bhagavantam ||47||	|| 10.87 || SrutayaH SrI--Bagavantam ||47||
   tad evaṃ paramātmanas taṭasthākhyā śaktir vivṛtā | antarāṅgākhyā tu	tat evam paramAtmanaH tawa-sTa-AKyA SaktiH vivRtA | antara-aFga-AKyA tu
   pūrvavad eva jñeyā | atha bahiraṅgākhyā vivriyate |	pUrvavat eva jQeyA | aTa bahiraFga-AKyA vivriyate |
   eṣā māyā bhagavataḥ	ezA mAyA BagavataH
   sṛṣṭi-sthity-anta-kāriṇī	sRzwi--sTiti--anta--kAriNI
   tri-varṇā varṇitāsmābhiḥ	tri-varNAH varNitA-asmABiH
   kiṃ bhūyaḥ śrotum icchasi || [BhP 11.3.18]	kim BUyas Srotum icCasi || [Bhj 11.3.18]
   bhagavataḥ svarūpa-bhūtaiśvaryādeḥ | paramātmana eṣā taṭastha-lakṣaṇena	BagavataH svarUpa-BUta-ESvarya-AdeH | paramAtmanaH ezA tawa-sTa--lakzaNena
   pūrvoktā jagat-sṛṣṭy-ādi-kāriṇī māyākhyā śaktiḥ | trayo varṇā yasyāḥ sā |	pUrva-uktA jagat--sRzwi--Adi-kAriNI mAyA-AKyA SaktiH | trayaH varNAH yasyAH sA |
   tathā cātharvaṇikāḥ paṭhanti | sitāsitā ca kṛṣṇā ca sarva-kāma-dughā	taTA ca-ATarvaNikAH paWanti | sitAsitA ca kRzNA ca sarva-kAma-duGA
   vibhor	viBoH-
   iti | uktaṃ ca daivī hy eṣā guṇamayī mama māyā duratyayā [Gītā 7.14]	iti | uktam ca dEvI hi ezA guNa-mayI mama mAyA duratyayAH [GItAH 7.14]
   iti ||11.3|| antarīkṣo videham ||48||	iti ||11.3|| antarIkzaH videham ||48||
   tasyā māyāyāś cāṃśa-dvayam | tatra guṇa-rūpasya māyākhyasya	tasyAH mAyAyAH ca-aMSa--dvayam | tatra guNa---rUpasya mAyA-AKyasya
   nimittāṃśasya drava-rūpasya pradhānākhyasyopādānāṃśasya ca parasparaṃ	nimitta-aMSasya drava--rUpasya praDAna-AKyasya-upAdAna-aMSasya ca parasparam
   bhedam āha caturbhiḥ |	Bedam Aha caturBiH |
   atha te sampravakṣyāmi	aTa te sampravakzyAmi
   sāṅkhyaṃ pūrva-viniścitam |	sAFKyam pUrva--viniScitam |
   yad vijñāya pumān sadyo	yat vijQAya pumAn sadyas-
   jahyād vaikalpikaṃ bhramam || [BhP 11.24.1]	jahyAt vEkalpikam Bramam || [Bhj 11.24.1]
   ṭīkā ca - advitīyāt paramātmano māyayā prakṛti-puruṣa-dvārā sarvaṃ	wIkA ca  advitIyAt paramAtmanaH mAyayA prakRti-puruza--dvArA sarvam
   dvaitam udeti punas tatraiva līyate ity anusandadhānasya puruṣasya	dvEtam udeti punar tatra-eva lIyate iti anusandaDAnasya puruzasya
   dvandva-	dvandva-
   bhramo nivartate iti vaktuṃ sāṅkhyaṃ prastauti atha te ity eṣā | atra	BramaH nivartate iti vaktum sAFKyam prastOti aTa te iti ezA | atra
   pradhāna-	praDAna-
   paryāyaḥ prakṛti-śabdhaḥ ||49||	paryAyaH prakRti-SabDaH ||49||
   āsīj jñāna-mayo arthaṃ	AsIt jQAna--mayaH arTam
   ekam evāvikalpitam |	ekam eva-avikalpitam |
   yadā viveka-nipuṇā	yadA viveka--nipuNA
   ādau kṛta-yuge yuge || [BhP 11.24.2]	AdO kRta--yuge yuge || [Bhj 11.24.2]
   ṭīkā ca - atho śabdaḥ kārtsnye | jñānaṃ draṣṭṛ | tena dṛśya-rūpaḥ	wIkA ca  aTo SabdaH kArtsnye | jQAnam drazwR | tena dRSya--rUpaH
   kṛtsno'py	kRtsnaH-api-
   arthaś ca vikalpa-śūnyam ekam eva | brahmaṇy eva līnam āsīd ity arthaḥ |	arTaH ca vikalpa--SUnyam ekam eva | brahmaNi eva lInam AsIt iti arTaH |
   ity eṣā |	iti ezA |
   tṛtīya-skandhe ca bhagavān eka āsedam agra ātmātmanāṃ vibhur ity [BhP	tRtIya--skanDe ca BagavAn ekaH Asa-idam agre Atma-AtmanAm viBuH iti [BhP
   3.5.23] ādau yad bhagavattvena śabdyate tad evātra brahmatvena śabdyate	3.5.23] AdO yat Bagavat-tvena Sabdyate tat eva-atra brahma-tvena Sabdyate
   iti	iti
   vadantīty ādivad ubhatraikam eva vastu pratipādyam | ante tu eṣa sāṅkhya-	vadanti-iti Adi-vat uBatra-ekam eva vastu pratipAdyam | ante tu eza sAFKya-
   vidhiḥ prokta ity ādau parāvara-dṛśā mayety anena bhagavad-rūpeṇāpy	viDiH proktaH iti AdO parAvara-dRSA mayA-iti anena Bagavat--rUpeNa-api-
   avasthitiḥ spaṣṭaiva | kadety apekṣāyām āha | yadā ādau kṛta-yuge viveka-	avasTitiH spazwA-eva | kadA-iti apekzAyAm Aha | yadA AdO kRta-yuge viveka-
   nipuṇā janā bhavanti tasmin yuge tat pūrvasmin pralaya-samaya ity	nipuNAH janAH Bavanti tasmin yuge tat pUrvasmin pralaya--samayaH iti-
   arthaḥ ||50||	arTaH ||50||
   tan-māyā-phala-rūpeṇa	tan-m-AyA--Pala--rUpeNa
   kevalaṃ nirvikalpitam |	kevalam nirvikalpitam |
   vāṅ-mano-gocaraṃ satyaṃ	vAc--mano--gocaram satyam
   dvidhā samabhavad bṛhat || [BhP 11.24.3]	dviDA samaBavat bRhat || [Bhj 11.24.3]
   ṭīkā ca - tad bṛhad brahma vāṅ-mano-gocaraṃ yathā bhavati tathā | māyā	wIkA ca  tat bRhat brahma vAc--mano--gocaram yaTA Bavati taTA | mAyA
   dṛśyam | phalaṃ tat-prakāśaḥ | tad-rūpeṇa māyā-rūpeṇa vilāsa-rūpeṇa ca	dRSyam | Palam tat--prakASaH | tad--rUpeNa mAyA--rUpeNa vilAsa--rUpeNa ca
   dvidhābhūd ity eṣā | atra māyā dṛśyam iti phalaṃ tat-prakāśa iti chedaḥ |	dviDA-aBUt iti ezA | atra mAyA dRSyam iti Palam tat-prakASaH iti CedaH |
   tena brahmaṇā yad dṛśyaṃ vastu tan māyā | tasya brahmaṇo yaḥ prakāśa-	tena brahmaNA yat dRSyam vastu tat mAyA | tasya brahmaNaH yaH prakASa-
   vikāśaḥ sa phalam ity arthaḥ ||51||	vikASaH sa Palam iti arTaH ||51||
   tayor ekataro hy arthaḥ	tayoH ekataraH hi arTaH
   prakṛtiḥ sobhayātmikā |	prakRtiH sa-uBaya-AtmikA |
   jānanty anyatamo bhāvaḥ	jAnanti anyatamaH BAvaH
   puruṣaḥ so'bhidhīyate || [BhP 11.24.4]	puruzaH saH-aBiDIyate || [Bhj 11.24.4]
   ṭīkā ca - tayor dvidhābhūtayor aṃśayor madhye ubhayātmikā kārya-kāraṇa-	wIkA ca  tayoH dviDA-BUtayoH aMSayoH maDye uBaya-AtmikA kArya--kAraNa-
   rūpiṇī | ity eṣā | śrī-viṣṇu-purāṇe - viṣṇoḥ svarūpāt parato hi te'nye	rUpiNI | iti ezA | SrI--vizNu-purANe  vizNoH svarUpAt paratas hi te-anye
   rūpaṃ	rUpam
   pradhānaṃ puruṣaś ca vipra ity [ViP 1.2.24] atra teṣām eva ṭīkā ca -	praDAnam puruzaH ca vipraH iti [ViS 1.2.24] atra tezAm eva wIkA ca -
   parato	paratas-
   nirupāder viṣṇoḥ svarūpāt te prāg ukte pradhānaṃ puruṣaṃ ceti dve rūpe	nirupAdeH vizNoH svarUpAt te prAk ukte praDAnam puruzam ca-iti dve rUpe
   anye māyā-kṛte iti || 11.24 || bhagavān ||52||	anye mAyA-kRte iti || 11.24 || BagavAn ||52||
   anyatra tayor upādāna-nimittayor aṃśayor vṛtti-bhedena bhedān apy āha --	anyatra tayoH upAdAna--nimittayoH aMSayoH vRtti-Bedena BedAn api Aha --
   kālo daivaṃ karma jīvaḥ svabhāvo	kAlaH dEvam karma jIvaH svaBAvaH-
   dravyaṃ kṣetraṃ prāṇam ātmā vikāraḥ |	dravyam kzetram prANam AtmA vikAraH |
   tat-saṅghāto bījaroha-pravāhas	tat-saFGAtaH bIja-roha--pravAhas
   tan-māyaiṣā tan-niṣedhaṃ prapadye || [BhP 10.63.26]	tan--mAyA-ezA tan--nizeDam prapadye || [Bhj 10.63.26]
   ṭīkā ca - kālaḥ kṣobhakaḥ | karma nimittaṃ tad eva phalābhimukham	wIkA ca  kAlaH kzoBakaH | karma nimittam tat eva Pala-aBimuKam
   abhivyaktaṃ daivam | svabhāvas tat-saṃskāraḥ | jīvas tadvān | dravyaṃ	aBivyaktam dEvam | svaBAvaH tat-saMskAraH | jIvaH tadvAn | dravyam
   bhūta-	BUta-
   sūkṣmāṇi | kṣetraṃ prakṛtiḥ | prāṇaḥ sūtram | ātmā ahaṅkāraḥ | vikāra	sUkzmANi | kzetram prakRtiH | prANaH sUtram | AtmA ahaFkAraH | vikAra
   ekādeśendriyāṇi mahābhūtāni ceti ṣoḍaśakaḥ tat-saṅghāto dehaḥ | tasya ca	ekAdeSa-indriyANi mahABUtAni ca-iti zoxaSakaH tat-saFGAtaH dehaH | tasya ca
   bīja-rohavat pravāhaḥ | roho'ṅkuraḥ | dehād bīja-rūpaṃ karma | tato'ṅkura-	bIja--roha-vat pravAhaH | rohaH-aFkuraH | dehAt bIja--rUpam karma | tatas-aFkura-
   rūpo dehaḥ | tataḥ punar evam iti pravāhaḥ | taṃ tvāṃ niṣedhāvadhi-bhūtaṃ	rUpaH dehaH | tatas punar evam iti pravAhaH | tam tvAm nizeDa-avaDi-BUtam
   prapadye bhaje iti | ity eṣā |	prapadye Baje iti | iti ezA |
   atra kāla-daiva-karma-svabhāvā nimittāṃśāḥ anye upādānāṃśās tadvān	atra kAla-dEva-karma--svaBAvAH nimitta-aMSAH anye upAdAna-aMSAH tadvAn
   jīvas tūbhayātmakas tathopādāna-varge nimitta-śakty-aṃśo'py anuvartate |	jIvaH tu-uBaya-AtmakaH taTA-upAdAna--varge nimitta--Sakti--aMSaH-api anuvartate |
   yathā jīvopādhi-lakṣaṇe'ham-ākhye tattve tadīyāham (aṃha?)-bhāvaḥ sa hy	yaTA jIva-upADi-lakzaNe-aham-a-AKye tattve tadIya-aham (aMha?)-BAvaH sa hi-
   avidyā-pariṇāma ity ādi | yathoktaṃ tṛtīyasya ṣaṣṭhe -	avidyA--pariNAmaH iti Adi | yaToktam tRtIyasya zazWe -
   ātmānaṃ cāsya nirbhinnam	AtmAnam ca-asya nirBinnam
   abhimāno 'viśat padam |	aBimAnaH aviSat padam |
   karmaṇāṃśena yenāsau	karmaNA-aMSena yena-asO
   kartavyaṃ pratipadyate || [BhP 3.6.25] iti |	kartavyam pratipadyate || [Bhj 3.6.25] iti |
   atrātmānam ahaṅkāram abhimāno rudraḥ karmaṇāhaṃ-vṛttyā iti ṭīkā ca |	atra-AtmAnam ahaFkAram aBimAnaH rudraH karmaNA-ahaM-vRttyA iti wIkA ca |
   atra ca yan nirbhinnaṃ tad-adhiṣṭhātnaṃ vāg-ādīndriyaṃ tṛtīyānta-	atra ca yat nirBinnam tat--aDizWAtnam vAc--a-Adi-indriyam tRtIya-anta-
   madhyātmam iti prakaraṇa-nirṇayaṣ ṭīkāyām eva kṛto'sti | bīja-rūpatvaṃ	maDyAtmam iti prakaraNa--nirNayaH wIkAyAm eva kRtaH-asti | bIja--rUpa-tvam
   kāraṇatā-mātra-vivakṣayā | tad evam atrāpi mūla-māyāyāḥ	kAraNa-tA--mAtra--vivakzayA | tat evam atra-api mUla-mAyAyAH
