   (KauśS_1,1.1) atha vidhiṃ vakṣyāmaḥ	(KOSS_1,1.1) aTa viDim vakzyAmaH
   [ ]> iti	[ ]> iti
   (KauśS_3,5[22].10) niśāyām āgrayaṇataṇḍulān udakyān madhumiśrān nidadhāty	(KOSH _3,5[22].10) niSAyAm AgrayaNa taNxulAn udakyAt maDu miSrAn nidaDAti 
   ā yavānāṃ paṅkteḥ	A yavAnAm paFkteH
   (KauśS_3,5[22].11) evaṃ yavān ubhayān samopya	(KOSS_3,5[22].11) evam yavAn uBayAn samopya
   (KauśS_3,5[22].12) trivṛti gomayaparicaye śṛtam aśnāti	(KOSH _3,5[22].12) trivRti gomaya paricaye SRtam aSnAti
   (KauśS_3,5[22].13) samṛddham iti kāṅkāyanaḥ	(KOSS_3,5[22].13) samRdDam iti kAFkAyanaH
   (KauśS_3,5[22].14) <mamāgne varco [5.3]> iti sāttrikān agnīn	(KOSH _3,5[22].14) <mama agne varcaH [5.3]> iti sAttrikAn agnIn
   darbhapūtīkabhāṅgābhiḥ paristīrya gārhapatyaśṛtaṃ sarveṣu saṃpātavantaṃ	darBa pUtIka BAFgABiH paristIrya gArhapatya SRtam sarvezu saMpAtavantam
   gārhapatyadeśe_aśnāti	gArhapatya deSe_aSnAti
   (KauśS_3,5[22].15) evaṃ pūrvasminn aparayor upasaṃhṛtya	(KOSS_3,5[22].15) evam pUrvasmin aparayoH upasaMhRtya
   (KauśS_3,5[22].16) evaṃ droṇakalaśe rasān uktam	(KOSS_3,5[22].16) evam droNa kalaSe rasAn uktam
   (KauśS_3,6[23].1) <yajūṃṣi yajñe [5.26]> iti navaśālāyāṃ sarpir	(KOSS_3,6[23].1) <yajUMzi yajQe [5.26]> iti nava SAlAyAm sarpiH 
   madhumiśram aśnāti [but Caland: juhoti]	maDu miSram aSnAti [but Caland: juhoti]
   (KauśS_3,6[23].2) <doṣo gāya [6.1]> iti dvitīyām	(KOSS_3,6[23].2) <dozaH gAyaH [6.1]> iti dvitIyAm
   (KauśS_3,6[23].3) yuktābhyāṃ tṛtīyām	(KOSS_3,6[23].3) yuktAByAm tRtIyAm
   (KauśS_3,6[23].4) ānumatīṃ caturthīm	(KOSS_3,6[23].4) AnumatIm caturTIm
   (KauśS_3,6[23].5) śālām aṅgulibhyāṃ saṃprokṣya gṛhapatnyāsāda	(KOSS_3,6[23].5) SAlAm aFguliByAm saMprokzya gRhapatnI AsAda
   upaviśya_udapātraṃ ninayati	upaviSya_uda pAtram ninayati
   (KauśS_3,6[23].6) <ihaiva sta [7.60.7]> iti vācaṃ visṛjate	(KOSS_3,6[23].6) <iha eva staH [7.60.7]> iti vAcam visRjate
   (KauśS_3,6[23].7) <ūrdhvā asya [5.27]> iti vārṣmaṇam audumbaraṃ	(KOSS_3,6[23].7) <u UrDvAH asya [5.27]> iti vArzmaNam Odumbaram
   manthapratirūpam abhijuhoti	manTa pratirUpam aBijuhoti
   (KauśS_3,6[23].8) asaṃkhyātā adhiśṛtya saptāgamaśaṣkulīḥ	(KOSH _3,6[23].8) asaMKyAtAH aDiSRtya sapta Agama SazkulIH
   (KauśS_3,6[23].9) <tvaṣṭā me []> iti prātar +vibhakṣyamāṇo [so Caland; ed.	(KOSH _3,6[23].9) <tvazwA me []> iti prAtar +viBakzyamANaH [saH Caland; ed.
   vibhuṅkṣyamāṇo]_aśnāti	viBuFkzyamANo]_aSnAti
   (KauśS_3,6[23].10) jyājuṃ badnāti	(KOSS_3,6[23].10) jyAjum badnAti
   (KauśS_3,6[23].11) daṇḍaṃ saṃpātavantaṃ vimṛjya dhārayati	(KOSS_3,6[23].11) daNxam saMpAtavantam vimRjya DArayati
   (KauśS_3,6[23].12) <vāyur enāḥ [6.141]> iti yuktayoś citrākarma niśāyāṃ	(KOSH _3,6[23].12) <vAyuH enAH [6.141]> iti yuktayoH citrA akarma niSAyAm
   saṃbhārān saṃpātavataḥ karoti	saMBArAn saMpAtavataH karoti
   (KauśS_3,6[23].13) aparedyur <vāyur enāḥ [6.141]> iti śākhayā_udakadhārayā	(KOSH _3,6[23].13) aparedyus <vAyuH enAH [6.141]> iti SAKayA_udaka DArayA
   gāḥ parikrāmati	gAH parikrAmati
   (KauśS_3,6[23].14) prathamajasya śakalam avadhāya_audumbareṇāsinā	(KOSS_3,6[23].14) praTama jasya Sakalam avaDAya_OdumbareNa asinA
   <lohitena [6.141.2]> iti mantroktam	<lohitena [6.141.2]> iti mantra uktam
   (KauśS_3,6[23].15) <yathā cakrur [6.141.3]> itīkṣukāśakāṇḍyā lohitaṃ	(KOSS_3,6[23].15) <yaTA cakruH [6.141.3]> iti ikzu kASa kANxyA lohitam
   nirmṛjya rasamiśram aśnāti	nirmRjya rasa miSram aSnAti
   (KauśS_3,6[23].16) sarvam audumbaram	(KOSS_3,6[23].16) sarvam Odumbaram
   (KauśS_3,6[23].17) <yasyedam ā [6.33]> ity āyojanānām apyayaḥ	(KOSS_3,6[23].17) <yasya idam A [6.33]> iti AyojanAnAm apyayaH
   (KauśS_3,7[24].1) <uc chrayasva [6.142]> iti bījopaharaṇam	(KOSS_3,7[24].1) <uc Srayasva [6.142]> iti bIja upaharaNam
   (KauśS_3,7[24].2) ājyamiśrān yavān urvarāyāṃ kṛṣṭe phālena_uduhyānvṛcaṃ	(KOSS_3,7[24].2) Ajya miSrAn yavAn urvarAyAm kRzwe PAlena_uduhyAnvRcam
   kāśīn ninayati nivapati	kASIt ninayati nivapati
   (KauśS_3,7[24].3) <abhi tyam [7.14]> iti mahāvakāśe_araṇya unnate vimite	(KOSH _3,7[24].3) <aBi tyam [7.14]> iti mahA vakASe_araNye unnate vimite
   prāgdvārapratyagdvāreṣv apsu saṃpātān ānayati	prAc dvAra pratyak dvArezu apsu saMpAtAn Anayati
   (KauśS_3,7[24].4) kṛṣṇājine somāṃśūn vicinoti	(KOSS_3,7[24].4) kRzNAjine soma aMSUn vicinoti
   (KauśS_3,7[24].5) somamiśreṇa saṃpātavantam aśnāti	(KOSS_3,7[24].5) soma miSreNa saMpAtavantam aSnAti
   (KauśS_3,7[24].6) ādīpte saṃpannam	(KOSS_3,7[24].6) AdIpte saMpannam
   (KauśS_3,7[24].7) <tāṃ savitaḥ [7.15]> iti gṛṣṭidāma badhnāti	(KOSS_3,7[24].7) <tAm savitaH [7.15]> iti gRzwi dAma baDnAti
   (KauśS_3,7[24].8) <saṃ mā siñcantu [7.33]> iti sarvodake maiśradhānyam	(KOSS_3,7[24].8) <sam mA siQcantu [7.33]> iti sarva udake mESraDAnyam
   (KauśS_3,7[24].9) <divyaṃ suparṇaṃ [7.39]> ity ṛṣabhadaṇḍino vapayā_indraṃ	(KOSS_3,7[24].9) <divyam suparNam [7.39]> iti RzaBa daNxinaH vapayA_indram
   yajate	yajate
   (KauśS_3,7[24].10) anubaddhaśiraḥpādena gośālāṃ carmaṇāvachādyāvadānakṛtaṃ	(KOSH _3,7[24].10) anubadDa SiraH pAdena go SAlAm carmaNA avaCAdya avadAna kRtam
   brāhmaṇān bhojayati	brAhmaNAn Bojayati
   (KauśS_3,7[24].11) proṣya samidha ādāya_ <ūrjaṃ bibhrad [7.60]> iti	(KOSS_3,7[24].11) prozya samiDaH AdAya_ <Urjam biBrat [7.60]> iti
   gṛhasaṃkāśe japati	gRha saMkASe japati
   (KauśS_3,7[24].12) savyena samidho dakṣiṇena śālāvalīkaṃ saṃstabhya japati	(KOSS_3,7[24].12) savyena samiDaH dakziNena SAlAvalIkam saMstaBya japati
   (KauśS_3,7[24].13) ativrajya samidha ādhāya <sumaṅgali prajāvati suśīme	(KOSS_3,7[24].13) ativrajya samiDaH ADAya <sumaFgali prajAvati su SIme
   [so Caland; ed. susīme] _ahaṃ vāṃ gṛhapatir jīvyāsam> iti sthūṇe gṛhṇāty	[saH Caland; ed. su sIme] _aham vAm gRhapatiH jIvya asam> iti sTUNe gRhNAti 
   upatiṣṭhate	upatizWate
   (KauśS_3,7[24].14) <yad vadāmi [12.1.58]> iti mantroktam	(KOSS_3,7[24].14) <yat vadAmi [12.1.58]> iti mantra uktam
   (KauśS_3,7[24].15) gṛhapatnyāsāde_upaviśya_udapātraṃ ninayati	(KOSS_3,7[24].15) gRhapatnI AsAde_upaviSya_uda pAtram ninayati
   (KauśS_3,7[24].16) <ihaiva sta [7.60.7]> iti pravatsyann avekṣate	(KOSS_3,7[24].16) <iha eva staH [7.60.7]> iti pravatsyan avekzate
   (KauśS_3,7[24].17) <sūyavasād [7.73.11]> sūyavase paśūn niṣṭhāpayati	(KOSS_3,7[24].17) <sUya vasAt [7.73.11]> sUyavase paSUn nizWApayati
   (KauśS_3,7[24].18) dūrvāgrair añjalau_apa ānīya darśaṃ dārśībhir	(KOSH _3,7[24].18) dUrvA agrEH aQjalO_apaH AnIya darSam dArSIBiH 
   upatiṣṭhate	upatizWate
   (KauśS_3,7[24].19) <indrasya kukṣir [7.111]> <sāhasras [9.4]> ity ṛṣabhaṃ	(KOSS_3,7[24].19) <indrasya kukziH [7.111]> <sAhasraH [9.4]> iti RzaBam
   saṃpātavantam atisṛjati	saMpAtavantam atisRjati
   (KauśS_3,7[24].20) retodhāyai tvātisṛjāmi vayodhāyai tvātisṛjāmi	(KOSH _3,7[24].20) retoDAyE tvA atisRjAmi vayaH DAyE tvA atisRjAmi
   yūthatvāyai tvātisṛjāmi gaṇatvāyai tvātisṛjāmi sahasrapoṣāyai tvātisṛjāmy	yUTa tvAyE tvA atisRjAmi gaNa tvAyE tvA atisRjAmi sahasra pozAyE tvA atisRjAmi 
   aparimitapos.āyai tvātisṛjāmi	aparimita pos.AyE tvA atisRjAmi
   (KauśS_3,7[24].21) <etaṃ vo yuvānaṃ [9.4.24]> iti purāṇaṃ pravṛtya navam	(KOSS_3,7[24].21) <etam vaH yuvAnam [9.4.24]> iti purANam pravRtya navam
   utsṛjate saṃprokṣati	utsRjate saMprokzati
   (KauśS_3,7[24].22) uttareṇa puṣṭikāma ṛṣabheṇa_indraṃ yajate	(KOSS_3,7[24].22) uttareNa puzwi kAmaH RzaBeNa_indram yajate
   (KauśS_3,7[24].23) saṃpatkāmaḥ śvetena paurṇamāsyām	(KOSS_3,7[24].23) saMpad kAmaH Svetena pOrNamAsyAm
   (KauśS_3,7[24].24) <satyaṃ bṛhad [12.1]> ity āgrahāyaṇyām	(KOSS_3,7[24].24) <satyam bRhat [12.1]> iti AgrahAyaNyAm
   (KauśS_3,7[24].25) paścād agner darbheṣu khadāyāṃ sarvahutam	(KOSS_3,7[24].25) paScAt agneH darBezu KadAyAm sarva hutam
   (KauśS_3,7[24].26) dvitīyaṃ saṃpātavantam aśnāti	(KOSS_3,7[24].26) dvitIyam saMpAtavantam aSnAti
   (KauśS_3,7[24].27) tṛtīyasyāditiḥ saptabhir <bhūme mātar [12.1.63]> iti	(KOSS_3,7[24].27) tRtIyasya aditiH saptaBiH <BUme mAtar [12.1.63]> iti
   trir juhoti	tris juhoti
   (KauśS_3,7[24].28) paścād agner darbheṣu kaśipu_āstīrya <vimṛgvarīṃ []>	(KOSS_3,7[24].28) paScAt agneH darBezu kaSipu_AstIryaH <vimRc varIm []>
   ity upaviśati	iti upaviSati
   (KauśS_3,7[24].29) <yās te śivās [9.2.25]> iti saṃviśati	(KOSS_3,7[24].29) <yAH te SivAH [9.2.25]> iti saMviSati
   (KauśS_3,7[24].30) <yac chayānaḥ []> iti paryāvartate	(KOSS_3,7[24].30) <yat SayAnaH []> iti paryAvartate
   (KauśS_3,7[24].31) navabhiḥ <śantivā [12.1.59]> iti daśamyā_ <ud āyuṣā	(KOSS_3,7[24].31) navaBiH <SantivA [12.1.59]> iti daSamyA_ <ud AyuzA
   [3.31.10]> ity upottiṣṭhati	[3.31.10]> iti upottizWati
   (KauśS_3,7[24].32) <ud vayaṃ [7.53.7]> ity utkrāmati	(KOSS_3,7[24].32) <ud vayam [7.53.7]> iti utkrAmati
   (KauśS_3,7[24].33) <udīrāṇā [12.1.28]> iti trīṇi padāni prāṅ vā_udaṅ vā	(KOSS_3,7[24].33) <udIrANAH [12.1.28]> iti trINi padAni prAF vA_udaF vA
   bāhyena_upaniṣkramya <yāvat te [12.1.33]> iti vīkṣate	bAhyena_upanizkramya <yAvat te [12.1.33]> iti vIkzate
   (KauśS_3,7[24].34) unnatāc ca	(KOSS_3,7[24].34) unnatAt ca
   (KauśS_3,7[24].35) purastād agneḥ sīraṃ yuktam udapātreṇa	(KOSS_3,7[24].35) purastAt agneH sIram yuktam uda pAtreNa
   saṃpātavatāvasiñcati	saMpAtavatA avasiQcati
   (KauśS_3,7[24].36) āyojanānām apyayaḥ	(KOSH _3,7[24].36) AyojanAnAm apyayaH
   (KauśS_3,7[24].37) <yasyāṃ sadohavirdhāne [12.1.38 40]> iti juhoti varo ma	(KOSS_3,7[24].37) <yasyAm sa dohavirDAne [12.1.38 40]> iti juhoti varaH ma
   āgamiṣyatīti	Agamizyati iti
   (KauśS_3,7[24].38) <yasyām annaṃ [12.1.42]> ity upatiṣṭhate	(KOSS_3,7[24].38) <yasyAm annam [12.1.42]> iti upatizWate
   (KauśS_3,7[24].39) <nidhiṃ bibhrati [12.1.44 45]> iti maṇiṃ hiraṇyakāmaḥ	(KOSS_3,7[24].39) <niDim biBrati [12.1.44 45]> iti maNim hiraNya kAmaH
   (KauśS_3,7[24].40) evaṃ vittvā	(KOSS_3,7[24].40) evam vittvA
   (KauśS_3,7[24].41) <yasyāṃ kṛṣṇam [12.1.52]> iti vārṣakṛtasyācamati śirasy	(KOSS_3,7[24].41) <yasyAm kRzNam [12.1.52]> iti vArzakRtasya Acamati Sirasi 
   ānayate	Anayate
   (KauśS_3,7[24].42) <yaṃ tvā pṛṣatī rathe [13.1.21 26]> iti dyauḥ pṛṣaty	(KOSS_3,7[24].42) <yam tvA pRzatiH raTe [13.1.21 26]> iti dyOH pRzati 
   ādityo rohitaḥ	AdityaH rohitaH
   (KauśS_3,7[24].43) pṛṣatīṃ gāṃ dadāti	(KOSS_3,7[24].43) pRzatIm gAm dadAti
   (KauśS_3,7[24].44) pṛṣatyā kṣīraudanaṃ sarvahutam	(KOSS_3,7[24].44) pRzatyA kzIra odanam sarva hutam
   (KauśS_3,7[24].45) puṣṭikarmaṇām upadhānopasthānam	(KOSS_3,7[24].45) puzwi karmaNAm upaDAna upasTAnam
   (KauśS_3,7[24].46) salilaiḥ sarvakāmaḥ salilaiḥ sarvakāmaḥ	(KOSS_3,7[24].46) salilEH sarva kAmaH salilEH sarva kAmaH
   (KauśS 3 Colophon) iti atharvavede kauśikasūtre tṛtīyo 'dhyāyaḥ samāptaḥ	(KOSH 3 ColoPon) iti aTarvavede kOSika sUtre tRtIyaH aDyAyaH samAptaH
   (KauśS_4,1[25].1) atha bhaiṣajyāni	(KOSS_4,1[25].1) aTa BEzajyAni
   (KauśS_4,1[25].2) liṅgyupatāpo +bhiṣajyam [cf. Caland, AZ, p. 67, n.2 but	(KOSS_4,1[25].2) liFgI upatApaH +Bizajyam [cf. Caland, AZ, p. 67, n.2 but
   also Speijer Museum 9 250]	alsaH SpeijeH Museum 9 250]
   (KauśS_4,1[25].3) vacanād anyat	(KOSS_4,1[25].3) vacanAt anyat 
   (KauśS_4,1[25].4) pūrvasya_udapātreṇa saṃpātavatāṅkte	(KOSS_4,1[25].4) pUrvasya_uda pAtreNa saMpAtavatA aFkte
   (KauśS_4,1[25].5) valīr vimārṣṭi	(KOSH _4,1[25].5) valIH vimArzwi
   (KauśS_4,1[25].6) <vidmā śarasya [1.2.1]>_<ado yad [2.3.1 etc.]> iti	(KOSS_4,1[25].6) <vidmA Sarasya [1.2.1]>_<adaH yat [2.3.1 ed c.]> iti
   muñjaśiro rajjvā badhnāti	muQja SiraH rajjvA baDnAti
   (KauśS_4,1[25].7) ākṛtiloṣṭavalmīkau parilikhya pāyayati	(KOSS_4,1[25].7) AkRti lozwa valmIkO pariliKya pAyayati
   (KauśS_4,1[25].8) sarpiṣālimpati	(KOSS_4,1[25].8) sarpizA Alimpati
   (KauśS_4,1[25].9) apidhamati	(KOSS_4,1[25].9) apiDamati
   (KauśS_4,1[25].10) <vidmā śarasya [1.3.1]> _iti pramehaṇaṃ badhnāti	(KOSS_4,1[25].10) <vidmA Sarasya [1.3.1]> _iti pramehaNam baDnAti
   (KauśS_4,1[25].11) ākhukiripūtīkamathitajaratpramandasāvraskān pāyayati	(KOSS_4,1[25].11) AKu kiri pUtIka maTita jarat pramandasAvraskAn pAyayati
   (KauśS_4,1[25].12) uttamābhyām āsthāpayati	(KOSS_4,1[25].12) uttamAByAm AsTApayati
   (KauśS_4,1[25].13) yānam ārohayati	(KOSS_4,1[25].13) yAnam Arohayati
   (KauśS_4,1[25].14) iṣuṃ visṛjati	(KOSS_4,1[25].14) izum visRjati
   (KauśS_4,1[25].15) vastiṃ viṣyati	(KOSS_4,1[25].15) vastim vizyati
   (KauśS_4,1[25].16) vartiṃ bibhetti	(KOSS_4,1[25].16) vartim biBetti
   (KauśS_4,1[25].17) ekaviṃśatiṃ yavān dohanyām adbhir ānīya drughnīṃ	(KOSS_4,1[25].17) ekaviMSatim yavAn dohanyAm adBiH AnIya druGnIm
   jaghane saṃstabhya phalato_avasiñcati	jaGane saMstaBya PalataH _avasiQcati
   (KauśS_4,1[25].18) ālabisolaṃ phāṇṭaṃ pāyayati	(KOSS_4,1[25].18) Alabisolam PANwam pAyayati
   (KauśS_4,1[25].19) udāvartine ca	(KOSS_4,1[25].19) udAvartine ca
   (KauśS_4,1[25].20) <ambayo yanty [1.4.1]>_<vāyoḥ pūtaḥ []> iti ca śāntāḥ	(KOSH _4,1[25].20) <ambayaH yanti [1.4.1]>_<vAyoH pUtaH []> iti ca SAntAH
   (KauśS_4,1[25].21) uttarasya sasomāḥ	(KOSH _4,1[25].21) uttarasya sa somAH
   (KauśS_4,1[25].22) cātanānām apanodanena vyākhyātam	(KOSS_4,1[25].22) cAtanAnAm apanodanena vyAKyAtam
   (KauśS_4,1[25].23) trapusamusalakhadiratārṣṭāghānām ādadhāti	(KOSH _4,1[25].23) trapusa musala Kadira tArzwa aGAnAm AdaDAti
   (KauśS_4,1[25].24) ayugmān khādirān_śaṅkūn <akṣyau ni vidhya [5.29.4]> iti	(KOSH _4,1[25].24) ayugmAn KAdirAn_SaFkUn <akzyO ni viDya [5.29.4]> iti
   paścād agneḥ samaṃbhūmi nihanti	paScAt agneH samaMBUmi nihanti
   (KauśS_4,1[25].25) evam āyasalohān	(KOSS_4,1[25].25) evam Ayasa lohAn
   (KauśS_4,1[25].26) taptaśarkarābhiḥ śayanaṃ rāśipalyāṇi parikirati	(KOSS_4,1[25].26) taptaSarkarABiH Sayanam rASi palyANi parikirati
   (KauśS_4,1[25].27) amāvāsyāyāṃ sakṛdgṛhītān yavān anapahatān	(KOSS_4,1[25].27) amAvAsyAyAm sakRt gRhItAn yavAn anapahatAn
   apratīhārapiṣṭān ābhicārikaṃ paristīrya tārṣṭāghedhma āvapati	apratIhAra pizwAn ABicArikam paristIrya tArzwa aGa iDme Avapati
   (KauśS_4,1[25].28) ya āgachet taṃ brūyāt_śaṇaśulbena jihvāṃ nirmṛjānaḥ	(KOSS_4,1[25].28) yaH AgaCet tam brUyAt _SaNa Sulbena jihvAm nirmRjAnaH
   śālāyāḥ praskanda_iti	SAlAyAH praskandaH _iti
   (KauśS_4,1[25].29) tathākurvann anādye hnuvāne	(KOSH _4,1[25].29) taTA akurvan anAdye hnuvAne
   (KauśS_4,1[25].30) vīriṇatūlamiśram iṅgiḍaṃ prapuṭe juhoti	(KOSS_4,1[25].30) vIriNa tUla miSram iFgixam prapuwe juhoti
   (KauśS_4,1[25].31) idhmābarhiḥ śālāyām āsajati	(KOSS_4,1[25].31) iDmAbarhiH SAlAyAm Asajati
   (KauśS_4,1[25].32) aparedyur vikṛte piśācato rujati	(KOSH _4,1[25].32) aparedyus vikRte piSAcataH rujati
   (KauśS_4,1[25].33) ukto homaḥ	(KOSS_4,1[25].33) uktaH homaH
   (KauśS_4,1[25].34) vaiśravaṇāyāñjaliṃ kṛtvā japann ācamayati_abhyukṣati	(KOSH _4,1[25].34) vESravaNAya aQjalim kRtvA japan Acamayati_aByukzati
   (KauśS_4,1[25].35) niśi_ulmuke saṃkarṣati	(KOSH _4,1[25].35) niSi_ulmuke saMkarzati
   (KauśS_4,1[25].36) svastyādyaṃ kurute	(KOSS_4,1[25].36) svasti Adyam kurute
   (KauśS_4,1[25].37) <ayaṃ devānām [1.10.1]> iti_ekaviṃśatyā	(KOSS_4,1[25].37) <ayam devAnAm [1.10.1]> iti_ekaviMSatyA
   darbhapiñjūlībhir valīkaiḥ sārdham adhiśiro_avasiñcati	darBa piQjUlIBiH valIkEH sArDam aDiSiraH _avasiQcati
   (KauśS_4,2[26].1) <jarāyujaḥ [1.12.1]> iti medo madhu sarpis tailaṃ	(KOSH _4,2[26].1) <jarAyu jaH [1.12.1]> iti medaH maDu sarpiH tElam
   pāyayati	pAyayati
   (KauśS_4,2[26].2) mauñjapraśnena śirasi_apihitaḥ savyena tita uni pūlyāni	(KOSH _4,2[26].2) mOQja praSnena Sirasi_apihitaH savyena tita uni pUlyAni
   dhārayamāṇo dakṣiṇenāvakiran vrajati	DArayamANaH dakziNena avakiran vrajati
   (KauśS_4,2[26].3) savyena tita upraśnau dakṣiṇena jyāṃ drughnīm	(KOSS_4,2[26].3) savyena tita u praSnO dakziNena jyAm druGnIm
   (KauśS_4,2[26].4) praiṣakṛd agrataḥ	(KOSH _4,2[26].4) prEza kRt agratas 
   (KauśS_4,2[26].5) yatra_enaṃ vyādhir gṛhṇāti tatra tita upraśnau nidadhāti	(KOSS_4,2[26].5) yatra_enam vyADiH gRhNAti tatra tita u praSnO nidaDAti
   (KauśS_4,2[26].6) jyāṃ ca	(KOSS_4,2[26].6) jyAm ca
   (KauśS_4,2[26].7) āvrajanam	(KOSS_4,2[26].7) Avrajanam
   (KauśS_4,2[26].8) ghṛtam nastaḥ	(KOSS_4,2[26].8) GRtam nastas 
   (KauśS_4,2[26].9) pañcaparvaṇā lalāṭaṃ saṃstabhya japati_ <amūr yā	(KOSS_4,2[26].9) paQca parvaNA lalAwam saMstaBya japati_ <amUH yA
   [1.17.1]> iti	[1.17.1]> iti
   (KauśS_4,2[26].10) pañcaparvaṇā pāṃsusikatābhiḥ parikirati	(KOSS_4,2[26].10) paQca parvaNA pAMsu sikatABiH parikirati
   (KauśS_4,2[26].11) armakapālikāṃ badhnāti	(KOSH _4,2[26].11) armakapAlikAm baDnAti
   (KauśS_4,2[26].12) pāyayati	(KOSS_4,2[26].12) pAyayati
   (KauśS_4,2[26].13) caturbhir dūrvāgrair dadhipalalaṃ pāyayati	(KOSS_4,2[26].13) caturBiH dUrvA agrEH daDi palalam pAyayati
   (KauśS_4,2[26].14) <anu sūryam [1.22.1]> iti mantroktasya lomamiśram	(KOSS_4,2[26].14) <anu sUryam [1.22.1]> iti mantra uktasya loma miSram
   ācamayati	Acamayati
   (KauśS_4,2[26].15) pṛṣṭhe cānīya	(KOSS_4,2[26].15) pRzWe ca AnIya
   (KauśS_4,2[26].16) śaṅkudhānaṃ carmaṇi_āsīnāya dugdhe saṃpātavantaṃ	(KOSS_4,2[26].16) SaFkuDAnam carmaNi_AsInAya dugDe saMpAtavantam
   badhnāti	baDnAti
   (KauśS_4,2[26].17) pāyayati	(KOSS_4,2[26].17) pAyayati
   (KauśS_4,2[26].18) haridraudanabhuktam ucchiṣṭān ucchiṣṭenā prapadāt	(KOSS_4,2[26].18) haridrA odana Buktam ucCizwAn ucCizwenA prapadAt 
   pralipya mantroktān adhastalpe haritasūtreṇa savyajaṅghāsu	pralipya mantra uktAn aDas talpe harita sUtreNa sa vyajaFGAsu
   baddhvāvasnāpayati	badDvA avasnApayati
   (KauśS_4,2[26].19) prapādayati	(KOSS_4,2[26].19) prapAdayati
   (KauśS_4,2[26].20) vadata upasthāpayati	(KOSS_4,2[26].20) vadate upasTApayati
   (KauśS_4,2[26].21) kroḍalomāni jatunā saṃdihya jātarūpeṇāpidhāpya	(KOSS_4,2[26].21) kroxa lomAni jatunA saMdihya jAtarUpeNa apiDApya
   (KauśS_4,2[26].22) <naktaṃjātā [1.23.1]> <suparṇo jātaḥ [1.24.1]> iti	(KOSS_4,2[26].22) <naktaMjAtA [1.23.1]> <suparNaH jAtaH [1.24.1]> iti
   mantroktaṃ śakṛdā(see Caland, Kl.Schr., p. 59)_ālohitaṃ praghṛṣyālimpati	mantra uktam SakRt A(see Caland, Kl.H Cr., p. 59)_Alohitam praGRzyAlimpati
   (KauśS_4,2[26].23) palitāni_āchidya	(KOSH _4,2[26].23) palitAni_ACidya
   (KauśS_4,2[26].24) mārutāni_apihitaḥ	(KOSH _4,2[26].24) mArutAni_apihitaH
   (KauśS_4,2[26].25) <yad agnir [1.25.1]> iti paraśuṃ japan_tāpayati	(KOSS_4,2[26].25) <yat agniH [1.25.1]> iti paraSum japan_tApayati
   kvāthayati_avasiñcati	kvATayati_avasiQcati
   (KauśS_4,2[26].26) <upa prāgād [1.28.1]> iti_udvijamānasya śuklaprasūnasya	(KOSS_4,2[26].26) <upa prAgAt [1.28.1]> iti_udvijamAnasya Sukla prasUnasya
   vīriṇasya catasṛṇām iṣīkāṇām ubhayataḥ pratyuṣṭaṃ badhnāti	vIriNasya catasRNAm izIkANAm uBayatas pratyuzwam baDnAti
   (KauśS_4,2[26].27) trividagdhaṃ kāṇḍamaṇim	(KOSH _4,2[26].27) tri vidagDam kANxamaNim
   (KauśS_4,2[26].28) ulmuke svastyādyam	(KOSH _4,2[26].28) ulmuke svasti Adyam
   (KauśS_4,2[26].29) mātṛnāmnoḥ sarvasurabhicūrṇāni_anvaktāni hutvā śeṣeṇa	(KOSH _4,2[26].29) mAtR nAmnoH sarva suraBi cUrNAni_anvaktAni hutvA SezeNa
   pralimpati	pralimpati
   (KauśS_4,2[26].30) catuṣpathe ca śirasi darbheṇḍve_aṅgārakapāle_anvaktāni	(KOSS_4,2[26].30) catuzpaTe ca Sirasi darBa INxve_aFgAra kapAle_anvaktAni
   (KauśS_4,2[26].31) tita uni pratīpaṃ gāhamāno vapatītaro_avasiñcati paścāt	(KOSS_4,2[26].31) tita uni pratIpam gAhamAnaH vapati itaraH _avasiQcati paScAt 
   (KauśS_4,2[26].32) āmapātre_opyāsicya mauñje tripāde vayoniveśane	(KOSS_4,2[26].32) Ama pAtre_opya Asicya mOQje tri pAde vayaH niveSane
   prabadhnāti	prabaDnAti
   (KauśS_4,2[26].33) <aghadviṣṭā [2.7.1]> <śaṃ no devī [2.25.1]> <varaṇo	(KOSS_4,2[26].33) <aGa dvizwA [2.7.1]> <Sam naH devI [2.25.1]> <varaNaH 
   [6.85.1]>_<pippalī [6.109.1]> <vidradhasya [6.127.1]> <yā babhravo	[6.85.1]>_<pippalI [6.109.1]> <vidraDasya [6.127.1]> <yA baBravaH 
   [8.7.1]>_iti	[8.7.1]>_iti
   (KauśS_4,2[26].34) upottamena palāśasya caturaṅgulenālimpati	(KOSS_4,2[26].34) upottamena palASasya catur aFgulena Alimpati
   (KauśS_4,2[26].35) prathamena mantroktaṃ badhnāti	(KOSS_4,2[26].35) praTamena mantra uktam baDnAti
   (KauśS_4,2[26].36) dvitīyena mantroktasya saṃpātavatānulimpati [note	(KOSS_4,2[26].36) dvitIyena mantra uktasya saMpAtavata anulimpati [note
   Speijer Museum 9 250]	SpeijeH Museum 9 250]
   (KauśS_4,2[26].37) tṛtīyena mantroktaṃ badhnāti	(KOSH _4,2[26].37) tRtIyena mantra uktam baDnAti
   (KauśS_4,2[26].38) caturthenāśayati	(KOSS_4,2[26].38) caturTena ASayati
