   Vādivāgīśvara: Mānamanohara	VAdi-vAc-ISvara: MAna-manohara
   iti śrīmānamanohare dravyapadārthaḥ //	iti SrI-mAn-amanohare dravya-padArTaH //
   [guṇaprakaraṇam]	[guNa-prakaraNam]
   [1-4 rūparasagandhasparśāṇāṃ nirūpaṇam--]	[1-4 rUpa-rasa-ganDa-sparSANAm nirUpaNam--]
   1) pratyakṣaṃ rūpe pramāṇam /	1) pratyakzam rUpe pramANam /
   vivādapadaṃ ghaṭotpattyanantarakāle jāyate, ghaṭaguṇatvāt,	vivAda-padam Gawa-utpatti-anantara-kAle jAyate, Gawa-guNa-tvAt,
   sampratipannaghaṭasaṃyogavat /	sampratipanna-Gawa-saMyoga-vat /
   na ca sāmānyaguṇatvamupādhiḥ, tadgataparimāṇādīnāmapi	na ca sAmAnya-guNa-tvam-upADiH, tad-gata-parimANa-AdInAm-api
   paścādutpattiprasaṅgāt /	paScAt-utpatti-prasaFgAt /
   2) vivādapadaṃ kāryaṃ pārthivaviśeṣaguṇatvādghaṭarūpavat /	2) vivAda-padam kAryam pArTiva-viSeza-guNa-tvAt-Gawa-rUpavat /
   na ca kāryagatatvamupādhiḥ, paramāṇusaṃyogasaṃskārādyavyāpanāt /	na ca kArya-gata-tvam-upADiH, paramANu-saMyoga-saMskAra-Adi-avyApanAt /
   3) vivādapadaṃ kāryaṃ saṃkhyāparimāṇapṛthaktvagurutvasaṃskāravyatiriktatve	3) vivAda-padam kAryam saMKyA-parimANa-pRTaktva-guru-tva-saMskAra-vyatirikta-tve
   sati pārthivaguṇatvāt pārthivaparamāṇusaṃyogavat /	sati pArTiva-guNa-tvAt pArTiva-paramANu-saMyoga-vat /
   4) vivādapadamagnisaṃyogajaviśeṣaguṇavad, anityaviśeṣaguṇatve sati	4) vivAda-padam-agni-saMyoga-ja-viSeza-guNavad, anitya-viSeza-guNa-tve sati
   nityatvādātmavat /	nitya-tvAt-Atma-vat /
   5) vivādapadamavayavyāśrayakāle na rūpajanakamāśrayatvājjalāṇuvat /	5) vivAda-padam-avayavi-ASraya-kAle na rUpa-janakam-ASraya-tvAt-jala-aNu-vat /
   6) vivādapadamāśrayanāśanāśyamānakāryavyatiriktaguṇāśrayaḥ,	6) vivAda-padam-ASraya-nASa-nASyamAna-kArya-vyatirikta-guNa-ASrayaH,
   guṇavattvātsamavāyikāraṇatvādātmavat /	guNavat-tvAt-samavAyi-kAraNa-tvAt-Atma-vat /
   7) rūpatvamanāśrite 'pi samavetam, rūpajātitvātsattāvat /	7) rUpa-tvam-anASrite api samavetam, rUpa-jAti-tvAt-sat-tAvat /
   8) vivādāśrayo 'nekarūpādhikaraṇam na bhavati, avayavitvāt, śuklatantuvat	8) vivAda-ASrayaH aneka-rUpa-aDikaraNam na Bavati, avayavi-tva-at, Sukla-tantu-vat-
   vivādapadaṃ na nīlatvādhikaraṇam, pītārabdhatvāt, vivādapadaṃ na	vivAda-padam na nIlatva-aDikaraNam, pIta-ArabDa-tvAt, vivAda-padam na
   pītatvādhikaraṇam, nīlārabdhatvātpītavannīlavacca /	pIta-tva-aDikaraNam, nIla-ArabDa-tvAt-pIta-vat-nIla-vat-ca /
   9) vivādapadaṃ pītatvādhikaraṇam, pītārabdhatvāt, pītavaditi cet na,	9) vivAda-padam pIta-tva-aDikaraNam, pIta-ArabDa-tvAt, pIta-vat-iti ced na,
   viruddhajātisamāveśena bādhitatvāt, anyathā vivādapadaṃ gotvādhikaraṇam,	virudDa-jAti-samAveSena bADita-tva-at, anyaTA vivAda-padam go-tva-aDikaraNam,
   pārthivādityāpi syāt /	pArTiva-Aditya-api syAt /
   rūpatvāvāntarapītatvavyatiriktajātyanāśrayarūpatvaṃ copādhiḥ /	rUpa-tva-avAntara-pIta-tva-vyatirikta-jAti-anASraya-rUpa-tvam ca-upADiH /
   etena śuklaṃ rūpamekameveti nirastam, taratamabhāvasyāpi dṛṣṭeḥ /	etena Suklam rUpam-ekam-eva-iti nirastam, taratam-a-BAvasya-api dRzweH /
   10) nityatve satyanekārthe vartamānatvātsāmānyamityuktaṃ syāt, tasya ca	10) nitya-tve satyaneka-arTe vartamAna-tvAt-sAmAnyam-iti-uktam syAt, tasya ca
   yāvaddravyabhāvitvāt /	yAvat-dravya-BAvi-tvAt /
   pākajeṣu raktapratyayo durghaṭaḥ /	pAka-jezu rakta-pratyayaH durGawaH /
   tadanekaprakāram /	tad-aneka-prakAram /
   guṇatve sati cakṣuḥsparśanayormadhye cakṣuṣaiva grahaṇārhaṃ rūpam /	guNa-tve sati cakzuH-sparSanayoH-maDye cakzuzA-eva grahaNa-arham rUpam /
   etena rasagandhasparśā api nirūpitāḥ /	etena rasa-ganDa-sparSAH api nirUpitAH /
   citrā api te 'vagantavyāḥ /	citrAH api te avagantavyAH /
   11) guṇatve sati rasanagrāhyo rasaḥ /	11) guNa-tve sati rasana-grAhyaH rasaH /
   12) guṇatve sati ghrāṇagrāhyo gandhaḥ /	12) guNa-tve sati GrANa-grAhyaH ganDaH /
   pṛthivī sparśavatī rūpitvāt, tejovat /	pRTivI sparSavatI rUpi-tvA-at, tejaH-vat /
   vivādapadaṃ sparśavad, dravyārambhakatvāt, tejovat /	vivAda-padam sparSa-vad, dravya-AramBaka-tvAt, tejaH-vat /
   cakṣuḥsparśanayormadhye sparśanenaiva grāhyo guṇaḥ sparśaḥ /	cakzuH-sparSanayoH-maDye sparSanena-eva grAhyaH guNaH sparSaH /
   [5-6 saṃkhyāpṛthaktvayornirūpaṇam--]	[5-6 saMKyA-pRTaktvayoH-nirUpaNam--]
   (I. ekatvaikapṛthaktvayoḥ siddhiḥ)	(I. ekatva-eka-pRTaktvayoH sidDiH)
   1) sparśavad guṇāsamavāyikāraṇādviṣṭhaguṇayorāśrayaḥ, dravyatvād	1) sparSa-vat guNa-asamavAyi-kAraNAt-vizWa-guNayoH-ASrayaH, dravya-tvAt-
   mūrtatvāt, paṭārambhakatantuvat /	mUrta-tvAt, pawa-AramBaka-tantu-vat /
   na ca sparśavattvamupādhiḥ, sparśavatāṃ ghaṭādīnāmapi	na ca sparSavat-tvam-upADiH, sparSavatAm Gawa-AdInAm-api
   tathāvidhaguṇadvayāśrayatvaprasaṅgāt /	taTAviDa-guNa-dvaya-ASraya-tva-prasaFgAt /
   na ca dravyāsamavāyikāraṇatvamupādhiḥ, viśeṣaṇavaiyarthyāt /	na ca dravya-asamavAyikAraNa-tvam-upADiH, viSezaNa-vEyarTyAt /
   nirūpādhikasya sādhyaparityāge svabhāvaparityāgaprasaṅgāt /	nirUpa-aDikasya sADya-parityAge svaBAva-parityAga-prasaFgAt /
   tatrākāśādiṣu yau guṇau, tayorekamekatvaṃ, aparamekapṛthaktvam /	tatra-AkASa-Adizu yO guNO, tayoH-ekam-eka-tvan, aparam-eka-pRTaktvam /
   anyatrāpi tau pūrvoktahetoreva sādhyau /	anyatra-api tO pUrva-ukta-hetoH-eva sADyO /
   2) vipratipannaḥ saṃyogaḥ svato 'dhikavṛttikāryaikārthasamavetatvārhaḥ,	2) vipratipannaH saMyogaH svatas aDika-vRtti-kArya-eka-arTa-samavetatva-arhaH,
   saṃyogatvāt, tritantukārambhakasaṃyogavat /	saMyoga-tvAt, tri-tantuka-AramBaka-saMyoga-vat /
   3) paramāṇavaḥ saṃyogādhikavṛttikāryasamavāyikāraṇam, aṇutvād, dvyaṇukavat	3) paramANavaH saMyoga-aDika-vRtti-kArya-samavAyi-kAraNam, aNu-tvAd, dvi-aNuka-vat-
   4) vipratipanno 'vayavī kāraṇatvārheṇa saha tulyāśrayaḥ, avayavitvād,	4) vipratipannaH avayavI kAraNa-tva-arheNa saha tulya-ASrayaH, avayavi-tvAt-,
   dvyaṇukavad dvitantukavacca /	dvi-aNuka-vat dvi-tantuka-vat-ca /
   rūpādīnāmekāśrayavṛttitvāt, saṃyogasya dviṣṭhatvāt /	rUpa-AdInAm-eka-ASraya-vRtti-tva-at, saMyogasya dvizWa-tvAt /
   tricaturārabdhatvānna siddhasādhanatā /	tri-catur-ArabDa-tvAt-na sidDa-sADana-tA /
   anenaiva yathā parimāṇasiddhirapi /	anena-eva yaTA parimANa-sidDiH-api /
   (II. anekatvānekapṛthaktvayoḥ siddhiḥ)	(II. aneka-tva-aneka-pRTaktvayoH sidDiH)
   1) vivādādhyāsito buddhijaguṇayorāśrayaḥ, dravyatvātsamavāyikāraṇatvād,	1) vivAda-aDyAsitaH budDi-jaguNayoH-ASrayaH, dravya-tvAt-samavAyi-kAraNa-tvAt-,
   ātmavat /	Atma-vat /
   na cātmatvamupādhiḥ, īśvare vyabhicārāt /	na ca-Atma-tvam-upADiH, ISvare vyaBicArAt /
   atraikam-- anekatvasaṃkhyā, aparam-- anekapṛthaktvamiti /	atra-ekam- aneka-tva-saMKyA, aparam- aneka-pRTaktvam-iti /
   2) tadevaṃ siddhayoḥ saṃkhyāpṛthaktvayorvyavahāreṇāpi siddhiḥ /	2) tat-evam sidDayoH saMKyA-pRTak-tvayoH-vyavahAreNa-api sidDiH /
   asti ca tāvadekaṃ dve trīṇi ityādivyavahāraḥ /	asti ca tAvat-ekam dve trINi ityAdi-vyavahAraH /
   na cāsau nirnibandhanaḥ, padatvavyāghātaprasaṅgāt /	na ca-asO nirnibanDanaH, padatva-vyAGAta-prasaFgAt /
   na cābheda ekatvaṃ bhedasamuccayaḥ punaranekatvamiti yuktam /	na ca-aBedaH ekatvam BedasamuccayaH punar-aneka-tvam-iti yuktam /
   abhedaḥ kiṃ paṭastadatirikto vā? ādye (ekaḥ paṭa iti)	aBedaH kim pawaH-tad-atiriktaH vA? Adye (ekaH pawaH iti)
   sahaprayogānupapattiḥ, paryāyatvāt /	saha-prayoga-anupapattiH, paryAya-tvAt /
   dvitīye saṃpratipattidharmapadārtho 'sāviti cet, kimatra pramāṇam?	dvitIye saMpratipatti-Darma-padArTaH asO=-iti cet, kim-atra pramANam?
   guṇādāvabhedavyavahāra iti cenna, vyavahāramātrādarthāsiddheḥ, tasya	guNa-AdA=-aBeda-vyavahAraH iti ced-na, vyavahAra-mAtrAt-arTa-asidDeH, tasya
   gauṇasyāpi bahuśo darśanāt /	gONasya-api bahuSas darSanAt /
   mukhye bādhakābhāvāt, kathaṃ gauṇatvamiti cet, na; sādhakasyāpyabhāvāt /	muKye bADaka-aBAvAt, kaTam gONa-tvam-iti cet, na; sADakasya-api-aBAvAt /
   utpattikāraṇābhāvasya vispaṣṭatvāt /	utpatti-kAraNa-aBAvasya vispazwa-tvAt /
   samavāyyasamavāyikāraṇayorabhāvāt, nimittakāraṇamātrādevotpattistu	samavAyi-asamavAyi-kAraNayoH-aBAvAt, nimitta-kAraNa-mAtrAt-eva-utpattiH-tu
   tatsiddhau satyāṃ kalpanīyā, apratītestadasiddheḥ /	tad-sidDO satyAm kalpanIyA, apratIteH-tat-asidDeH /
   3) yadyapyapekṣābuddhivaijātyasamavāyād dvitvatritvadivyavahārāṇāmapi	3) yadi-api-apekzA-budDi-vEjAtya-samavAyAt dvi-tva-tri-tva-divya-vahArANAm-api
   bhedasamuccayo na saṃkaramāpādayati, tathāpyananusaṃhitavaijātyādīnāṃ	BedasamuccayaH na saMkaram-ApAdayati, taTA-api-ananu-saMhita-vEjAtya-AdInAm
   bālagopālādīnāṃ dvāviti vyavahāro 'yaṃ na tannibandhanaḥ dvyaṇukaparimāṇaṃ	bAla-gopAla-AdInAm dvO=-iti vyavahAraH ayam na tad-nibanDanaH dvi-aNuka-parimANam
   dvitvasaṃkhyayā vinā na ghaṭate /	dvi-tva-saMKyayA vinA na Gawate /
   nityaparamāṇuparimāṇābhyāṃ paramāṇuparimāṇasyānārambhāt, pracayasya	nitya-paramANu-parimANAByAm paramANu-parimANasya-anAramBAt, pracayasya
   cānāśaṅkanīyatvāt /	cAnA-SaFkanIya-tvAt /
   kāraṇaparimāṇatvasya na sādhakateti vācyam,	kAraNa-parimANa-tvasya na sADaka-tA-iti vAcyam,
   atrāvāntarātiśayavattvasyopādheḥ, pracayajanye 'pi parimāṇe	atra-avAntara-atiSayavat-tvasya-upADeH, pracaya-janye api parimANe
   tasyānārambhakatvācca /	tasya-anAramBaka-tvAt-ca /
   tathāpekṣābuddhyāpi janyate, idamekamidamekamiti	taTA-apekzA-budDyA-api janyate, idam-ekam-idam-ekam-iti
   jñānānvayavyatirekānuvidhāyitvāt /	jQAna-anvaya-vyatireka-anuviDAyi-tvAt /
   na ca vyañjakatvenopapattiḥ, samānendriyagrāhyasamānadeśāvasthitānāṃ	na ca vyaQjaka-tvena-upapattiH, samAna-indriya-grAhya-samAna-deSa-avasTitAnAm
   yugapadindriyasambaddhānāmindriyasambandhavyatirekeṇa	yugapad-indriya-sambadDAnAm-indriya-sambanDa-vyatirekeNa
   niyatavyañjakavyaṅgyatvādarśanāt /	niyata-vyaQjaka-vyaFgya-tva-adarSanAt /
   ataḥ saṃyogasamānatā dvitvasyeti /	atas saMyoga-samAna-tA dvi-tvasya-iti /
   4) eke dvitvaṃ buddhijaṃ niyamenaikapratipattṛvedyatvādityāhuḥ /	4) eke dvi-tvam budDi-jam niyamena-eka-pratipattR-vedya-tvAt-iti-AhuH /
   teṣāṃ jñānaprāgabhāvena vyabhicāraḥ --- guṇatve satīti viśeṣaṇe	tezAm jQAna-prAgaBAvena vyaBicAraH -- guNa-tve sati-iti viSezaNe
   īśvarecchāyām, kāryatve satīti viśeṣaṇe jāgarādijñāne /	ISvarecCA-AyAm, kAryatve sati-iti viSezaNe jAgara-Adi-jQAne /
   anvayavyatirekābhyāṃ cāpekṣābuddhyabhāve dvitvābhāvopalambhāttadvināśasya	anvaya-vyatirekAByAm ca-apekzA-budDi-aBAve dvi-tva-aBAva-upalamBAt-tad-vinASasya
   dvitvavināśahetutvam /	dvi-tva-vinASa-hetu-tvam /
   anumānakramastu --- dvitvaṃ nimittakāraṇanāśanāśyavyaktisamavetam,	anumAna-kramaH-tu -- dvi-tvam nimitta-kAraNa-nASa-nASya-vyakti-samavetam,
   tajjātitvātsattāvat /	tat-jAti-tvAt-sat-tA-vat /
   sattādinimittakāraṇībhūtadehanāśanāśyamāne yuñjānasyāntyasukhajñāne	sattA-Adi-nimitta-kAraNI-BUta-deha-nASa-nASyamAne yuQjAnasya-antya-suKa-jQAne
   samavetam /	samavetam /
   evaṃ sarvaṃ pṛthaktve vaktavyamiti /	evam sarvam pRTaktve vaktavyam-iti /
   [7 parimāṇasya nirūpaṇam--]	[7 parimANasya nirUpaNam---]
   1) vivādādhyāsitaṃ	1) vivAda-aDyAsitam
   dviṣṭhaguṇānasamavāyikāraṇānityaviśeṣaṇaguṇavyatiriktādviṣṭhaguṇāśrayaḥ,	dvizWa-guNAn-asamavAyi-kAraNa-anitya-viSezaNa-guNa-vyatiriktAt-vizWa-guNa-ASrayaH,
   dravyatvājjalaparamāṇuvat /	dravya-tvAt-jala-paramANu-vat /
   na ca sparśavattvamūrtatve upādhī, pavanapārthivaparamāṇau vyabhicārāt /	na ca sparSavat-tva-mUrta-tve upADI, pavana-pArTiva-paramANO vyaBicArAt /
   īśvaro nityaviśeṣaguṇavyatiriktānasamavāyikāraṇādviṣṭhaguṇāśrayaḥ,	ISvaraH nitya-viSeza-guNa-vyatiriktAn-asamavAyi-kAraNAt-vizWa-guNa-ASrayaH,
   ātmatvājjīvavat /	Atma-tvAt-jIva-vat /
   nityaikatvaikapṛthaktvaparimāṇasādhanavivakṣāyāmanasamavāyikāraṇamiti na	nitya-ekatva-eka-pRTaktva-parimANa-sADana-vivakzAyAmana-samavAyikAraNam-iti na
   vācyam /	vAcyam /
   adviṣṭha iti dviṣṭhaguṇatvāvāntarajātirahita iti boddhavyam, anyathā	advizWaH iti dvizWa-guNa-tva-avAntara-jAti-rahitaH iti bodDavyam, anyaTA
   ekatvena siddhasādhanatā /	ekatvena sidDa-sADana-tA /
   2) tathā vyavahāreṇāpi sādhanīyam --- asti tāvadayaṃ mahān, ayaṃ mahāniti	2) taTA vyavahAreNa-api sADanIyam -- asti tAvat-ayam mahAn, ayam mahAn-iti
   vyavahāraḥ /	vyavahAraH /
   na cātra mahattvasāmānyameva nimittam, taratamabhāvasyānupapattiprasaṅgāt	na ca-atra mahattva-sAmAnyam-eva nimittam, taratama-BAvasya-anupapatti-prasaFgAt-
   anyathā madhurarasasyāpyucchedaprasaṅgāt, madhuratvasāmānyādeva	anyaTA maDura-rasasya-api-ucCeda-prasaFgAt, maDura-tva-sAmAnyAt-eva
   dravyāśritād vyavahāropapatteḥ /	dravya-ASritAt vyavahAra-upapatteH /
   3) pracayasaṃkhyāparimāṇānāmanvayavyatirekābhyāṃ tadutpattau kāraṇatvam /	3) pracaya-saMKyA-parimANAnAm-anvaya-vyatirekAByAm tad-utpattO kAraNa-tvam /
   vivādādhyāsito 'ṇuparimāṇavyatiriktaparimāṇāśrayaḥ, dravyatvāt /	vivAda-aDyAsitaH aNu-parimANa-vyatirikta-parimANa-ASrayaH, dravya-tvAt /
   vivādādhyāsito mahatparimāṇavyatiriktaparimāṇāśrayaḥ, dravyatvādghaṭavat	vivAda-aDyAsitaH mahat-parimANa-vyatirikta-parimANa-ASrayaH, dravya-tvAt-Gawa-vat-
   paramāṇuvacca /	paramANu-vat-ca /
   na cātrāṇutvamahattve upādhī, rūpādiṣu vyabhicārāt /	na ca-atra-aNu-tva-mahat-tve upADI, rUpa-Adizu vyaBicArAt /
   dravyatvena viśeṣaṇe vaiyarthyam /	dravya-tvena viSezaNe vEyarTyam /
   hrasvadīrghavyavahārayoranyathānupapattiśca pramāṇam /	hrasva-dIrGa-vyavahArayoH-anyaTA-anupapattiH-ca pramANam /
   āśrayanāśānnāśa ityatra prācīnamanumānaṃ vācyam /	ASraya-nASAt-nASaH iti-atra prAcInam-anumAnam vAcyam /
   4) dvitvāsamavāyikāraṇakavṛttiguṇatvāvāntarajātīyaṃ parimāṇam /	4) dvi-tva-asamavAyi-kAraNaka-vRtti-guNa-tva-avAntara-jAtIyam parimANam /
   [8 saṃyogasya nirūpaṇam--]	[8 saMyogasya nirUpaNam--]
   1) vivādapadamasamavāyikāraṇajanyaṃ kāryatvādrūpavat /	1) vivAda-padam-asamavAyi-kAraNa-janyam kArya-tvAt-rUpa-vat /
   na ca pradhvaṃse vyabhicāraḥ, prāgabhāvapratiyogitvasya bhāvatve satīti	na ca praDvaMse vyaBicAraH, prAc-aBAva-pratiyogi-tvasya BAva-tve sati-iti
   viśeṣitasya tatrāsiddheḥ /	viSezitasya tatra-asidDeH /
   na cātropādhiśaṅkāpyadhirohati, vispaṣṭaśca ghaṭau saṃyuktāviti pratyayaḥ	na ca-atra-upADi-SaFkA-api-aDirohati, vispazwaH-ca GawO saMyuktO=-iti pratyayaH
   nirākṛtaśca kṣaṇabhaṅga iti nāviraladeśe utpādastannimittatvenāśaṅkanīyaḥ	nirAkRtaH-ca kzaNa-BaFgaH iti na-avirala-deSe utpAdaH-tad-nimitta-tvena-aSaFkanIyaH
   karmasaṃyogayoḥ tajjanakatvaṃ pratyakṣasiddhameva /	karma-saMyogayoH tad-janaka-tvam pratyakza-sidDam-eva /
   2) ākāśa ātmanā saṃyujyate, dravyatvāditi kecit /	2) AkASaH AtmanA saMyujyate, dravya-tvAt-iti kecid /
   tanna, kriyāvattvamūrtatvayoḥ paratvāparatvayorvopādhitvāt /	tat-na, kriyAvat-tva-mUrta-tvayoH paratva-apara-tvayoH-vA-upADi-tvAt /
   ātmā ākāśena na saṃyujyate, amūrtatvādrūpavat /	AtmA AkASena na saMyujyate, amUrta-tvAt-rUpa-vat /
   na cātrādravyatvamupādhiḥ, ākāśe tadabhāvena sapakṣāvyāpakatvāt /	na ca-atra-adravya-tvam-upADiH, AkASe tad-aBAvena sa-pakza-avyApaka-tvAt /
   3) vibhāgāśrayanāśābhyāṃ ca tasya nāśaḥ /	3) viBAga-ASraya-nASAByAm ca tasya nASaH /
   āśrayanāśottarasaṃyogābhyāṃ ca vibhāganāśaḥ /	ASraya-nASa-uttara-saMyogAByAm ca viBAga-nASaH /
   saṃyogasya tvāśrayanāśavibhāgābhyāmeva nāśa ityuktam /	saMyogasya tu-ASraya-nASa-viBAgAByAm-eva nASaH iti-uktam /
   nityatvātparamāṇvākāśayorāśrayanāśanāśyatvaṃ tatsaṃyogasya na sambhavati /	nitya-tvAt-paramANu-AkASayoH-ASraya-nASa-nASya-tvam tad-saMyogasya na samBavati /
   sarvamuktipakṣe ca virodhiguṇaprādurbhāvo 'pi durghaṭaḥ /	sarva-mukti-pakze ca viroDi-guNa-prAdurBAvaH api durGawaH /
   ato nimittanāśanāśyatvamaṅgīkriyate iti /	atas nimitta-nASa-nASya-tvam-aFgIkriyate iti /
   anityaḥ sambandhaḥ saṃyogaḥ,	anityaH sambanDaH saMyogaH,
   ghaṭajanakatadavayavaniṣṭhaguṇatvāvāntarajātīyaḥ saṃyogaḥ /	Gawa-janaka-tad-avayava-nizWa-guNa-tva-avAntara-jAtIyaH saMyogaH /
   [9 vibhāgasya nirūpaṇam--]	[9 viBAgasya nirUpaNam--]
   1) karma saṃyogavyatiriktāsamavāyikāraṇam, saṃyogavyatiriktatve sati	1) karma saMyoga-vyatiriktA-samavAyi-kAraNam, saMyoga-vyatirikta-tve sati
   asamavāyikāraṇatvādrūpavat /	asamavAyi-kAraNa-tvAt-rUpa-vat /
   na cākarmatvamupādhiḥ, ākāśādiṣu vyabhicārāt /	na ca-akarma-tvam-upADiH, AkASa-Adizu vyaBicArAt /
   asamavāyikāraṇatve satīti viśeṣaṇe kevalasaṃyogārambhakeṇa saṃyogena	asamavAyi-kAraNa-tve satI-iti viSezaNe kevala-saMyoga-AramBakeNa saMyogena
   vyabhicārāt /	vyaBicArAt /
   saṃyogavyatiriktatve satīti viśeṣaṇe vaiyarthyam /	saMyoga-vyatirikta-tve sati-iti viSezaNe vEyarTyam /
   na ca saṃyogavyatiriktāsamavāyikāraṇatvāditi	na ca saMyoga-vyatiriktA-samavAyi-kAraNa-tvAt-iti
   saṃyogasyaivāsamavāyikāraṇatvaṃ pratīyate iti bādhitaviṣayatvam, bhavatāṃ	saMyogasya-eva-asamavAyi-kAraNa-tvam pratIyate iti bADita-vizaya-tvam, BavatAm
   karmaṇaḥ karmāsamavāyikāraṇatvāt /	karmaNaH karma-asamavAyi-kAraNa-tvAt /
   na caivaṃ prathamānumāne siddhasādhyatā, mandagatau tadabhāvāt	na ca-evam praTama-anumAne sidDa-sADyatA, manda-gatO tad-aBAvAt
   vyatiriktāsiddheḥ /	vyatirikta-asidDeH /
   tava ca saṃskārasyāpyasiddheḥ /	tava ca saMskArasya-api-asidDeH /
   antyakarmaṇaḥ karmājanakatvāt, mama tasyaiva pakṣatvāt /	antyakarmaNaH karma-ajanaka-tvAt, mama tasya-eva pakza-tvAt /
   2) kiṃ cāsti tāvadayaṃ vibhāgavyavahāraḥ /	2) kim ca-asti tAvat-ayam viBAga-vyavahAraH /
   na cāsau nirnibandhanaḥ /	na ca-asO nirnibanDanaH /
   na ca saṃyogābhāvo nimittam, saṃyoganāśe eva kāraṇabhāvāt /	na ca saMyoga-aBAvaH nimittam, saMyoga-nASe eva kAraNa-BAvAt /
   na ca karmaṇaḥ tatra kāraṇatvam, guṇānāṃ karmavināśyatvādarśanāt /	na ca karmaNaH tatra kAraNa-tvam, guNAnAm karma-vinASya-tva-adarSanAt /
   vipratipannaḥ saṃyogo na karmanāśyaḥ, guṇatvātsampratipannavat /	vipratipannaH saMyogaH na karma-nASyaH, guNa-tvAt-sampratipanna-vat /
   na ca vibhāgavināśyo 'pi na bhavati, tasmādeveti sāmpratam,	na ca viBAga-vinASyaH api na Bavati, tasmAt-eva-iti sAmpratam,
   pratiyogyasiddhyā vyāptyasiddheḥ /	pratiyogi-asidDyA vyApti-asidDeH /
   siddhi vā tadvināśakatvenaiva kalpanā, niṣkāraṇakāryasiddheḥ /	sidDi vA tad-vinASaka-tvena-eva kalpanA, nizkAraNa-kArya-sidDeH /
   3) sa ca dvividhaḥ --- karmajavibhāgajabhedāt /	3) sa ca dviviDaH -- karma-ja-viBAga-ja-BedAt /
   vivādādhyāsito vibhāgo na karmāsamavāyikāraṇakaḥ,	vivAda-aDyAsitaH viBAgaH na karma-asamavAyi-kAraNakaH,
   karmaikārthasamavetatvācchabdavat /	karma-eka-arTa-samaveta-tvAt-Sabda-vat /
   vivādapadamātmātiriktaṃ dravyaṃ vibhāgajanyaguṇādhikaraṇam,	vivAda-padam-Atma-atiriktam dravyam viBAga-janya-guNa-aDikaraNam,
   nityadravyatvādātmavat /	nitya-dravya-tvAt-Atma-vat /
   na cātmatvamupādhiḥ, īśvare vyabhicārāt /	na ca-Atma-tvam-upADiH, ISvare vyaBicArAt /
   ākāśe ca vyāptyabhāvāt /	AkASe ca vyApti-aBAvAt /
   4) anye tu dravyārambhakasaṃyogavirodhivibhāgotpattikāle nāvayavakarma	4) anye tu dravya-AramBaka-saMyoga-viroDi-viBAga-utpatti-kAle na-avayava-karma
   ākāśādideśād vibhāgārambhakam, karmatvāditi bruvate /	AkASa-Adi-deSAt viBAga-AramBakam, karma-tvAt-iti bruvate /
   tadasat, ākāśadeśena vibhāgamārabhate karmatvādityapi vaktuṃ śakyatvāt /	tat-asat, AkASa-deSena viBAgam-AraBate karma-tvAt-iti-api vaktum Sakya-tvAt /
   tasmānna kāraṇavibhāgādvibhāgaḥ syāt /	tasmAt-na kAraNa-viBAgAt-viBAgaH syAt /
   vivādapadamātmanā vibhajyate dravyatvāditi pūrvavaddūṣaṇīyam /	vivAda-padam-AtmanA viBajyate dravya-tvAt-iti pUrvavat-dUzaNIyam /
   5) āśrayavināśottarasaṃyogābhyāṃ ca tadvināśaḥ /	5) ASraya-vinASa-uttara-saMyogAByAm ca tad-vinASaH /
   uttarasaṃyogādvināśaḥ paścādapi kathaṃ vibhāgapratyayānuvṛtterapi na	uttara-saMyogAt-vinASaH paScAt-api kaTam viBAga-pratyaya-anuvRtteH-api na
   vācyam, pratyayasyaivāsiddheḥ, śabdaprayogasya cānyathāpyupapatteḥ,	vAcyam, pratyayasya-eva-asidDeH, Sabda-prayogasya ca-anyaTA-api-upapatteH,
   śravaṇamātrādeva mukhyatvānirṇayāt /	SravaNa-mAtrAt-eva muKya-tva-anirNayAt /
   saṃyogasaṃsargābhāve vibhāgapadasyāpi na pṛthak saṃketaḥ,	saMyoga-saMsarga-aBAve viBAga-padasya-api na pRTak saMketaH,
   saṃyogaprāgabhāve 'pi vyavahāradarśanāt /	saMyoga-prAgaBAve api vyavahAra-darSanAt /
   saṃyogasamānāśrayatve sati saṃyogavināśako vibhāgaḥ /	saMyoga-samAna-ASraya-tve sati saMyoga-vinASakaH viBAgaH /
   [10-11 paratvāparatvayornirūpaṇam--]	[10-11 paratva-aparatvayoH-nirUpaNam--]
   1) vivādapadaṃ paramāṇuvṛttyadviṣṭhaguṇajanakam, paramāṇavo vā	1) vivAda-padam paramANu-vRtti-at-vizWa-guNa-janakam, paramANavaH vA
   kāryavṛttyadviṣṭhaguṇajanakā mūrttatvāt, pārthivaparamāṇuvadghaṭavacceti /	kArya-vRtti-at-vizWa-guNa-janakAH mUrtta-tvAt, pArTiva-paramANu-vat-Gawa-vat-ca-iti /
   vivādapadaṃ svārabdhadravye guṇajanakam, dravyatve sati	vivAda-padam su-a-ArabDa-dravye guNa-janakam, dravya-tve sati
   dravyārambhakatvādīśvaravat /	dravya-AramBaka-tvAt-ISvara-vat /
   vivādapadaṃ paramāṇujanyam, karmahetvadviṣṭhaguṇāśrayam,	vivAda-padam paramANu-janyam, karma-hetvad-vizWa-guNa-ASrayam,
   mūrttatvādaguṇatvātpārthivaparamāṇuvat /	mUrtta-tvAt-aguNa-tvAt-pArTiva-paramANu-vat /
