   akartā nityayajñānāṃ YSS_2.9a	akartA nitya-yajQAnAm YSH-_2.9a
   mātaraṃ gurupatnīṃ ca YS182v_3.7a	mAtaram guru-patnIm ca YS182u-_3.7a
   mātaraṃ gurupatnīṃ ca YS99v_35a	mAtaram guru-patnIm ca YS99u-_35a
   mātā caiva pitā caiva YS182v_3.22a	mAtA ca-eva pitA ca-eva YS182u-_3.22a
   mātā caiva pitā caiva YS78v_23a	mAtA ca-eva pitA ca-eva YS78u-_23a
   mātā tu tasya śūdrasya YSS_2.63c	mAtA tu tasya SUdrasya YSH-_2.63c
   mātāpitros tu satkṛtim YS99v_81b	mAtA-pitroH tu satkRtim YS99u-_81b
   mātā bhuktvā sa daivatam YS99v_80b	mAtA BuktvA sa dEvatam YS99u-_80b
   mātṛgotragatāsv api YS99v_37b	mAtR-gotra-gatAsu api YS99u-_37b
   mātṛvarṇā na te proktāḥ YSS_1.38a	mAtR-varNAH na te proktAH YSH-_1.38a
   mātṛsvatantrair nṛpasaṃgataiś ca YSS_1.39a	mAtR-svatantrEH nRpa-saMgatEH ca YSH-_1.39a
   mānavo nācared vrataṃ YSS_2.4b	mAnavaH na-Acaret vratam YSH-_2.4b
   mānasaṃ vācikaṃ caiva YS182v_4.49a	mAnasam vAcikam ca-eva YS182u-_4.49a
   mānuṣaiś ca ratiṃ vinā YS99v_25b	mAnuzEH ca ratim vinA YS99u-_25b
   mānuṣaiś caritaṃ vinā YSS_1.5b	mAnuzEH caritam vinA YSH-_1.5b
   mārutārkeṇa śuddhyanti YS78v_52c	mAruta-arkeNa SudDyanti YS78u-_52c
   māsam abhyasya pūruṣaḥ YS99v_32b	mAsam aByasya pUruzaH YS99u-_32b
   māsam ekaṃ nirantaram YS182v_3.14b	mAsam ekam nirantaram YS182u-_3.14b
   māsaṃ kṛcchraṃ cared vipraś YS182v_1.12c	mAsam kRcCram caret vipraH YS182u-_1.12c
   māsaṃ samāpnoti parāya dattvā YSS_1.46b	mAsam samApnoti parAya dattvA YSH-_1.46b
   māsārdhena viśudhyati YS99v_26d	mAsa-arDena viSuDyati YS99u-_26d
   māsi māsi rajas tasyāḥ YS182v_3.20c	mAsi mAsi rajaH tasyAH YS182u-_3.20c
   māsi māsi rajas tasyāḥ YS78v_22c	mAsi mAsi rajaH tasyAH YS78u-_22c
   māhendrīṃ vāruṇīñ cāpi YSS_2.17a	mAhendrIm vAruNIn ca-api YSH-_2.17a
   miśritaṃ tilatailena YSS_2.37a	miSritam tila-tElena YSH-_2.37a
   miśritya saha sādhubhiḥ YSS_2.27b	miSritya saha sADuBiH YSH-_2.27b
   miśrīkṛtya tato nṛṇāṃ YSS_2.40b	miSrIkRtya tatas nRNAm YSH-_2.40b
   mukhena dhamitaṃ bhuṅkte YS182v_3.31c	muKena Damitam BuFkte YS182u-_3.31c
   mucyate pretalokāt sa YS99v_89c	mucyate preta-lokAt sa YS99u-_89c
   muṇḍamuṇḍāpanaṃ smṛtam YS99v_54d	muNxam-uNxApanam smRtam YS99u-_54d
   munīnām agraṇīr yamaḥ YS99v_1d	munInAm agraNIH yamaH YS99u-_1d
   muṣṭyā vā nihatā yā gauḥ YS182v_4.10a	muzwyA vA nihatAH yAH gOH YS182u-_4.10a
   mūtraṃ sthitvā samutsṛjet YSS_2.16d	mUtram sTitvA samutsRjet YSH-_2.16d
   mūrchitaḥ patito vāpi YS99v_46a	mUrCitaH patitaH vA-api YS99u-_46a
   mūle sarvaṃ samācaret YS99v_53d	mUle sarvam samAcaret YS99u-_53d
   mūṣikotkaravartmasu YS99v_67b	mUzikA-utkara-vartmasu YS99u-_67b
   mṛtakaṃ ca yadā bhavet YS182v_4.18d	mRtakam ca yadA Bavet YS182u-_4.18d
   mṛtakena tu jātena YS78v_75a	mRtakena tu jAtena YS78u-_75a
   mṛtam udbandhanena ca YSS_1.10b	mRtam udbanDanena ca YSH-_1.10b
   mṛtam udbandhanena tu YS182v_1.6b	mRtam udbanDanena tu YS182u-_1.6b
   mṛtam udvandhanena ca YS78v_5b	mRtam udvanDanena ca YS78u-_5b
   mṛtaṃ codbandhanādinā YS99v_27b	mRtam ca-udbanDa-na-AdinA YS99u-_27b
   mṛtā caiva yadā sā gauḥ YS182v_4.12c	mRtA ca-eva yadA sA gOH YS182u-_4.12c
   mṛte golakanāmā tu YSS_1.37c	mRte golaka-nAmA tu YSH-_1.37c
   mṛtena mṛtakaṃ tathā YS99v_76b	mRtena mRtakam taTA YS99u-_76b
   mṛto 'medhyena leptavyo YS99v_20c	mRtaH ameDyena leptavyaH YS99u-_20c
   mṛtpiṇḍanavagomaye YS182v_4.9b	mRd-piNxa-nava-gomaye YS182u-_4.9b
   mṛtpiṇḍānyeva sādhayet YS182v_4.1d	mRd-piNxAni-eva sADayet YS182u-_4.1d
   mṛtpiṇḍe gokulena ca YS78v_66d	mRd-piNxe gokulena ca YS78u-_66d
   meṣaṃ hatvā ca ṣoḍaśa YSS_2.43d	mezam hatvA ca zoxaSa YSH-_2.43d
   maithunaṃ goṣu gatvā tu YSS_2.58c	mETunam gozu gatvA tu YSH-_2.58c
   moktā rūpye ca daṇḍyate YSS_2.42d	moktA rUpye ca daNxyate YSH-_2.42d
   mauñjīhomena śudhyati YSS_1.15d	mOQjI-homena SuDyati YSH-_1.15d
   mauñjīhomena śudhyati YS182v_2.3d	mOQjI-homena SuDyati YS182u-_2.3d
   mauñjī homena śudhyati YS99v_30d	mOQjI homena SuDyati YS99u-_30d
   mlecchacāṇḍāladasyubhiḥ YS182v_5.5d	mlecCa-cANxAla-dasyuBiH YS182u-_5.5d
   yajñe vivāhe ca tathotsaveṣu YSS_1.45a	yajQe vivAhe ca taTA-utsavezu YSH-_1.45a
   yat karoty ekarātreṇa YS78v_26a	yat karoti eka-rAtreNa YS78u-_26a
   yatra yatra mṛtā gāvaḥ YS78v_68c	yatra yatra mRtAH gAvaH YS78u-_68c
   yatra yatra mriyed gauś ca YS182v_4.11c	yatra yatra mriyet gOH ca YS182u-_4.11c
   yathā pūrvaṃ tathā punaḥ YS99v_42d	yaTA pUrvam taTA punar YS99u-_42d
   yathā brahmavadhe pāpaṃ YS182v_4.8a	yaTA brahma-vaDe pApam YS182u-_4.8a
   yathā śāstrapracoditam YS99v_21d	yaTA SAstra-pracoditam YS99u-_21d
   yathāsaṃkhyaṃ samācaret YS99v_3b	yaTAsaMKyam samAcaret YS99u-_3b
   yad aṅgam upahanyate YS78v_45b	yat aFgam upahanyate YS78u-_45b
   yad attaṃ ca hutaṃ tasmai hy YS182v_3.43e	yat attam ca hutam tasmE hi YS182u-_3.43e
   yadā bhojanakāle syād YS99v_7a	yadA Bojana-kAle syAt YS99u-_7a
   yadi na kṣipate toyaṃ YS182v_1.10a	yadi na kzipate toyam YS182u-_1.10a
   yadi pravṛttau na paropatāpe YSS_1.46d	yadi pravRttO na para-upatApe YSH-_1.46d
   yad dehakaṃ kākabalākacillām- YS182v_3.61a	yat dehakam kAka-balA-kacillAm YS182u-_3.61a
   yad yaddhi jātir dvijavargajātyā YSS_1.51a	yat yat-hi jAtiH dvija-varga-jAtyA YSH-_1.51a
   yad veṣṭitaṃ kākabalākacillair YS78v_44a	yat vezwitam kAka-balAka-cillEH YS78u-_44a
   yan na kārayate tat tan YS182v_3.56a	yat na kArayate tat tan YS182u-_3.56a
   yamadātur bhaven meṣo YSS_2.61c	yama-dAtuH Bavet mezaH YSH-_2.61c
   yamasya vacanaṃ yathā YS78v_65d	yamasya vacanam yaTA YS78u-_65d
   yamaṃ yamitamānasam YSS_1.1d	yamam yamita-mAnasam YSS_1.1d
   yamaḥ prāha yathā tatham YS182v_4.19d	yamaH prAha yaTA taTam YS182u-_4.19d
   yaśo rāṣṭraṃ ca varddhate YSS_2.75d	yaSaH rAzwram ca vardDate YSH-_2.75d
   yaś cātmanaṃ nivedayet YS78v_20d	yaH ca-Atmanam nivedayet YS78u-_20d
   yaś cā ''tmānaṃ nivedayet YS182v_3.10d	yaH cA aatmAnam nivedayet YS182u-_3.10d
   yaś chadati hi pāpānāṃ YSS_2.32c	yaH Cadati hi pApAnAm YSH-_2.32c
   yaṣṭighāte dvayaṃ caret YS78v_b	yazwi-GAte dvayam caret YS78u-_b
   yaṣṭyā tu ghātane caiva YS78v_66c	yazwyA tu GAtane ca-eva YS78u-_66c
   yaṣṭyā tu ghātite caiva YS182v_4.1c	yazwyA tu GAtite ca-eva YS182u-_4.1c
   yaṣṭyā tu patitā yā gaur YS182v_4.4a	yazwyA tu patitAH yAH gOH YS182u-_4.4a
   yas tāṃ vivāhayet kanyāṃ YS182v_3.19a	yaH tAm vivAhayet kanyAm YS182u-_3.19a
   yas tāṃ vivāhayet kanyāṃ YS78v_24a	yaH tAm vivAhayet kanyAm YS78u-_24a
   yas tu gāṃ vinipātayet YS99v_40b	yaH tu gAm vinipAtayet YS99u-_40b
   yas tu bhāryābhṛtiṃ dvijaḥ YSS_2.54b	yaH tu BAryA-BRtim dvijaH YSH-_2.54b
   yas toyaṃ pibati dvijaḥ YS182v_1.9b	yaH toyam pibati dvijaH YS182u-_1.9b
   yasya cotsṛjyate vṛṣaḥ YS99v_89b	yasya ca-utsRjyate vRzaH YS99u-_89b
   ''yaṃ gauriti vā ṛcaḥ[cā] YS182v_3.58b	aayam gOH-iti vE RcaH[cA] YS182u-_3.58b
   yaḥ kanyāṃ na prayacchati YS78v_22b	yaH kanyAm na prayacCati YS78u-_22b
   yaḥ karoty ekarātreṇa YS182v_3.12a	yaH karoti eka-rAtreNa YS182u-_3.12a
   yaḥ kṣatriyas tathā vaiśyaḥ YS78v_8a	yaH kzatriyaH taTA vESyaH YS78u-_8a
   yaḥ pratyavasito vipraḥ YS78v_48a	yaH pratyavasitaH vipraH YS78u-_48a
   yāgādikam pāpakṛto na daṇḍyāḥ YSS_1.51b	yAga-Adikam pApa-kRtaH na daNxyAH YSH-_1.51b
   yācako viṣayātmakaḥ YS182v_3.36b	yAcakaH vizaya-AtmakaH YS182u-_3.36b
   yācako viṣayātmakaḥ YS78v_31b	yAcakaH vizaya-AtmakaH YS78u-_31b
   yā caiva vyabhicāriṇī YS78v_36b	yA ca-eva vyaBicAriNI YS78u-_36b
   yānti devāmaharṣibhiḥ YS78v_34d	yAnti devAmahA-RziBiH YS78u-_34d
   yāvato grasate grāsān YS182v_3.29a	yAvataH grasate grAsAn YS182u-_3.29a
   yāvato grasate grāsān YS78v_40a	yAvataH grasate grAsAn YS78u-_40a
   yāvadasthi manuṣyāṇāṃ YS99v_91a	yAvat-asTi manuzyANAm YS99u-_91a
   yāvad ābhūtasaṃplavam YS182v_4.6d	yAvat ABUtasaMplavam YS182u-_4.6d
   yāvad ābhūtasaṃplavam YS182v_4.61d	yAvat ABUtasaMplavam YS182u-_4.61d
   yāvad uṣṇaṃ bhavaty annaṃ YS78v_38a	yAvat uzNam Bavati annam YS78u-_38a
   yāvad uṣṇaṃ bhaved annaṃ YS182v_3.27a	yAvat uzNam Bavet annam YS182u-_3.27a
   yāvad ekaḥ pṛthak dravyaḥ YS78v_13a	yAvat ekaH pRTak dravyaH YS78u-_13a
   yāvad ekaḥ pṛthag bhāvyaḥ YS182v_2.8a	yAvat ekaH pRTak BAvyaH YS182u-_2.8a
   yāvad eko 'pṛthagdravyaḥ YSS_1.17a	yAvat ekaH apRTak-dravyaH YSH-_1.17a
   yāvad dvijā na cārcyante YS182v_3.59c	yAvat dvijAH na ca-arcyante YS182u-_3.59c
   yāvad bhuñjanti vāgyatāḥ YS182v_3.27b	yAvat BuQjanti vAgyatAH YS182u-_3.27b
   yāvad bhuñjanti vāgyatāḥ YS78v_38b	yAvat BuQjanti vAgyatAH YS78u-_38b
   yāvad viprā na pūjyante YS78v_43a	yAvat viprAH na pUjyante YS78u-_43a
   yāvan noktā havirguṇāḥ YS182v_3.27d	yAvat na-uktAH haviH-guNAH YS182u-_3.27d
   yāvan noktā havirguṇāḥ YS78v_38d	yAvat na-uktAH haviH-guNAH YS78u-_38d
   ye 'grāmya śaraṇacyutāḥ YS78v_4b	ye agrAmya SaraNa-cyutAH YS78u-_4b
   ye ca ātmahano janāḥ YS182v_4.31b	ye ca Atma-hanaH janAH YS182u-_4.31b
   ye ca saṃkīrṇayonayaḥ YS182v_1.14b	ye ca saMkIrNa-yonayaH YS182u-_1.14b
   ye ca strīsūtake mṛtāḥ YS182v_4.30d	ye ca strI-sUtake mRtAH YS182u-_4.30d
   yena yena tu varṇena YS99v_85a	yena yena tu varNena YS99u-_85a
   ye narās tv akṛtavratāḥ YSS_2.1b	ye narAH tu akRta-vratAH YSH-_2.1b
   ye 'py adhogatim āgatāḥ YS182v_4.33b	ye api aDogatim AgatAH YS182u-_4.33b
   ye bhuñjanty abudhā dvijāḥ YS182v_3.11b	ye BuQjanti abuDAH dvijAH YS182u-_3.11b
   ye bhuñjanty abudhā narāḥ YS78v_21b	ye BuQjanti abuDAH narAH YS78u-_21b
   ye śāmaśabalācyutāḥ YS182v_1.5b	ye SAmaSabala-acyutAH YS182u-_1.5b
   ye śyāmaśabalācyutāḥ YSS_1.9b	ye SyAma-Sabala-acyutAH YSH-_1.9b
   yair yair vratair viśudhyanti YSS_1.2c	yEH yEH vratEH viSuDyanti YSH-_1.2c
   yojanīyaṃ[yettu] prayatnataḥ YS182v_3.40d	yojanIyaM[yet-tu] prayatnataH YS182u-_3.40d
   yojanīyaḥ prayatnena YS182v_3.43c	yojanIyaH prayatnena YS182u-_3.43c
   yo jāyāṃ karajair vraṇaṃ YSS_2.55b	yaH jAyAm karajEH vraNam YSH-_2.55b
   yo duṣṭabhāvena parasya hantā YSS_1.41a	yaH duzwa-BAvena parasya hantA YSH-_1.41a
   yo doṣaduṣṭas sa nṛpeṇa śāsyo YSS_1.48c	yaH doza-duzwaH sa nRpeNa SAsyaH YSH-_1.48c
   yonisaṃkarajaṃ sarvaṃ YS182v_5.2c	yoni-saMkara-jam sarvam YS182u-_5.2c
   yonyāṃ goṣu naro vrajet YSS_2.60b	yonyAm gozu naraH vrajet YSH-_2.60b
   yo bhuñjāno 'śucir vāpi YS99v_2a	yaH BuQjAnaH aSuciH vA-api YS99u-_2a
   yo yasya bhaktāśrayadāsasaktaḥ YSS_1.43a	yaH yasya Bakta-ASraya-dAsa-saktaH YSH-_1.43a
   yo vartate yasya narasya citte YSS_1.49c	yaH vartate yasya narasya citte YSH-_1.49c
   yo varttayati gomadhye YS78v_71c	yaH varttayati go-maDye YS78u-_71c
   yo vāhanaṃ kartari vāraṇaṃ vā hy YSS_1.47a	yaH vAhanam kartari vAraNam vA hi YSH-_1.47a
   yoṣitmukhaṃ tu bhuñjāno YSS_2.56a	yozitmuKam tu BuQjAnaH YSH-_2.56a
   raktamālyavibhūṣitaṃ YSS_2.20b	rakta-mAlya-viBUzitam YSH-_2.20b
   raktavastrasya vikretā YS182v_3.52a	rakta-vastrasya vikretA YS182u-_3.52a
   rajakaś carmakāraś ca YSS_1.32a	rajakaH carmakAraH ca YSH-_1.32a
   rajakaś carmakāraś ca YS78v_54a	rajakaH carmakAraH ca YS78u-_54a
   rajakaś carmakāraś ca YS99v_33a	rajakaH carmakAraH ca YS99u-_33a
   rajakīṃ veṇujīvinīm YS182v_2.1b	rajakIm veNu-jIvinIm YS182u-_2.1b
   rajatena tathaiva ca YSS_2.70b	rajatena taTA-eva ca YSH-_2.70b
   rajasy uparate sādhvī YS99v_77c	rajasi uparate sADvI YS99u-_77c
   rajasvalā tu saṃspṛṣṭā YS99v_12a	rajasvalA tu saMspRzwAH YS99u-_12a
   rajasvalāṃ spṛśed yas tu YS182v_3.50a	rajasvalAm spRSet yaH tu YS182u-_3.50a
   rajasvale yadā nāryāv YS99v_13a	rajasvale yadA nAryO YS99u-_13a
   rajaḥ paśyati yā nārī YS182v_3.57a	rajaH paSyati yA nArI YS182u-_3.57a
   rajjvādibhir upakramaiḥ YS99v_20b	rajju-AdiBiH upakramEH YS99u-_20b
   rathy ākardamatoyāni YS78v_52a	raTI Akardama-toyAni YS78u-_52a
   rathyādau doṣam āpnuyāt YSS_2.15d	raTyA-AdO dozam ApnuyAt YSH-_2.15d
   rahasyakaraṇe 'py evaṃ YS99v_32a	rahasya-karaNe api evam YS99u-_32a
   rahasyakāriṇas tv ete YSS_1.26a	rahasya-kAriNaH tu ete YSH-_1.26a
   rahas saṃkamya vā sakṛt YSS_1.32Ab	rahaH saMkamya vA sakRt YSH-_1.32a-ab
   rākṣasair vipralupyati YS182v_3.32d	rAkzasEH vipralupyati YS182u-_3.32d
   rājadaṇḍo na tasyāsti YSS_1.21c	rAja-daNxaH na tasya-asti YSH-_1.21c
   rājadaṇḍo na tasyāsti YS182v_3.2c	rAja-daNxaH na tasya-asti YS182u-_3.2c
   rājadaṇḍo na tasyāsti YS78v_16c	rAja-daNxaH na tasya-asti YS78u-_16c
   rājapratigrahāt sarvaṃ YS182v_4.58a	rAja-pratigrahAt sarvam YS182u-_4.58a
   rājasaṃ brāhmaṇādhamaṃ YSS_2.26b	rAjasam brAhmaNa-aDamam YSH-_2.26b
   rājā daṇḍena pīḍayet YS99v_59d	rAjA daNxena pIxayet YS99u-_59d
   rājā rāṣṭrāt pravāsayet YSS_2.7d	rAjA rAzwrAt pravAsayet YSH-_2.7d
   rājā rāṣṭrāt pravāsayet YSS_2.24d	rAjA rAzwrAt pravAsayet YSH-_2.24d
   rājā rāṣṭreṣu kaṇṭakān YSS_2.19b	rAjA rAzwrezu kaNwakAn YSH-_2.19b
   rājā vā rāja putro vā YS99v_56a	rAjA vA rAja putraH vA YS99u-_56a
   rājā sāhasikaṃ rāṣṭrāc YSS_2.22c	rAjA sAhasikam rAzwrAt YSH-_2.22c
   rājña ity eva kalpayet YSS_2.36d	rAjQaH iti eva kalpayet YSH-_2.36d
   rājñaḥ pratigrahāc caiva YS182v_4.59c	rAjQaH pratigrahAt ca-eva YS182u-_4.59c
   rājñaḥ svārtthaṃ pracakṣate YSS_2.12d	rAjQaH svArtTam pracakzate YSH-_2.12d
   rājñāṃ pratigrahas tyājyo YS182v_4.59a	rAjQAm pratigrahaH tyAjyaH YS182u-_4.59a
   rājñāṃ pravrajitāṃ dhātrīṃ YS99v_36a	rAjQAm pravrajitAm DAtrIm YS99u-_36a
   rājñāṃ sukṛtanāmabhiḥ YS182v_4.61b	rAjQAm su-kRta-nAmaBiH YS182u-_4.61b
   rājñīm ācāryaśiṣyāṃ vā YS182v_3.5a	rAjQIm AcArya-SizyAm vA YS182u-_3.5a
   rātrāv ahani vā dvijaḥ YSS_1.4Ab	rAtrO ahani vA dvijaH YSS_1.4Ab
   rātribhir māsatulyābhir YS99v_77a	rAtriBiH mAsa-tulyABiH YS99u-_77a
   rātrau nakṣatradarśanāt YS182v_3.70b	rAtrO nakzatra-darSanAt YS182u-_3.70b
   rātrau nakṣatramārutaiḥ YSS_1.3b	rAtrO nakzatra-mArutEH YSH-_1.3b
   rātrau nakṣatramārutaiḥ YS99v_96b	rAtrO nakzatra-mArutEH YS99u-_96b
   rātrau nakṣatraraśmibhiḥ YS78v_64b	rAtrO nakzatra-raSmiBiH YS78u-_64b
   retomūtrapurīṣāṇāṃ YS182v_3.62c	retaH-mUtra-purIzANAm YS182u-_3.62c
   reto mūtrapurīṣāṇāṃ YS78v_46c	retaH mUtra-purIzANAm YS78u-_46c
   rogī hīnātiriktāṅgaḥ YS182v_3.34c	rogI hIna-atirikta-aFgaH YS182u-_3.34c
   rogī hīnātiriktāṅgaḥ YS78v_29c	rogI hIna-atirikta-aFgaH YS78u-_29c
   rodhane bandhane caiva YS182v_4.9a	roDane banDane ca-eva YS182u-_4.9a
   rodhane bandhane caiva YS78v_67a	roDane banDane ca-eva YS78u-_67a
   romāṇi prathame pāde YS78v_72a	romANi praTame pAde YS78u-_72a
   lalāṭe bhagam aṅkayet YSS_2.10d	lalAwe Bagam aFkayet YSH-_2.10d
   lavaṇañ ca tathā mṛdā YSS_2.38b	lavaNan ca taTA mRdA YSH-_2.38b
   lavaṇaṃ tailam eva ca YSS_2.44b	lavaNam tElam eva ca YSH-_2.44b
   lākṣāñ ca vikrayaṃ kurvan YSS_2.44c	lAkzAn ca vikrayam kurvan YSH-_2.44c
   lākṣārajakameva ca YS182v_3.52b	lAkzA-rajakam-eva ca YS182u-_3.52b
   liṅgāj jānāti mānavaḥ YSS_2.31b	liFgAt jAnAti mAnavaH YSH-_2.31b
   lehitaṃ vartitaṃ caiva YS182v_3.33c	lehitam vartitam ca-eva YS182u-_3.33c
   lokatrayajigīṣubhiḥ YS182v_4.59b	lokatraya-jigIzuBiH YS182u-_4.59b
   lolupā vedavarjitāḥ YS182v_4.55d	lolupAH veda-varjitAH YS182u-_4.55d
   vaktavyaṃ śobhanaṃ haviḥ YS182v_3.28d	vaktavyam SoBanam haviH YS182u-_3.28d
   vaktavyaṃ śobhanaṃ haviḥ YS78v_39d	vaktavyam SoBanam haviH YS78u-_39d
   vacanād bhavate[ti] kṣamaḥ YS182v_5.11b	vacanAt BavatA-i[ti] kzamaH YS182u-_5.11b
   vacasoddālakasya ca YS182v_5.20b	vacasA-uddAlakasya ca YS182u-_5.20b
   vaṇik caturguṇaṃ dāpyaṃ YSS_2.37c	vaNij caturguNam dApyam YSH-_2.37c
   vatsānāṃ kaṇṭhabandhena YS99v_52a	vatsAnAm kaNWa-banDena YS99u-_52a
   vatso vatsataro vā 'pi YS182v_4.4c	vatsaH vatsataraH vA api YS182u-_4.4c
   vane ca patitā yā gauḥ YS182v_4.12a	vane ca patitA yAH gOH YS182u-_4.12a
   vandhyā tu vṛṣalī jñeyā YS78v_25a	vanDyA tu vRzalI jQeyAH YS78u-_25a
   variṣṭhalaghu vāgṛte YSS_2.36b	varizWa-laGu vAc-Rte YSH-_2.36b
   varjanīyāḥ prayatnataḥ YSS_1.35d	varjanIyAH prayatnataH YSH-_1.35d
   varjanīyāḥ prayatnataḥ YS182v_3.37b	varjanIyAH prayatnataH YS182u-_3.37b
   varjanīyāḥ prayatnataḥ YS78v_b	varjanIyAH prayatnataH YS78u-_b
   varjitaṃ ca yamaḥ prāha YS182v_3.41c	varjitam ca yamaH prAha YS182u-_3.41c
   varṇataś cāpi sarvaśaḥ YS182v_5.2d	varNataH ca-api sarvaSas YS182u-_5.2d
   varṇādīnāṃ yathā kramam YS182v_5.1d	varNa-AdInAm yaTA kramam YS182u-_5.1d
   varṇānām anupūrvaśaḥ YS99v_1b	varNAnAm anupUrvaSas YS99u-_1b
   varṇānām anupūrvaśaḥ YS99v_88d	varNAnAm anupUrvaSas YS99u-_88d
   varṇānāṃ hitakāmyayā YS78v_78b	varNAnAm hita-kAmyayA YS78u-_78b
   varṇijātyeṣv anukramāt YS182v_5.3b	varNi-jAtyezu anukramAt YS182u-_5.3b
   varṇe varṇe vidhīyate YS78v_56d	varNe varNe viDIyate YS78u-_56d
   varṣaṃ tyājyā dhanaṃ vinā YS99v_18d	varzam tyAjyAH Danam vinA YS99u-_18d
   varṣe varṣe tu kurvīta YS99v_81a	varze varze tu kurvIta YS99u-_81a
   vastrasyārdham adhaḥ kṛtam YS182v_3.31b	vastrasya-arDam aDas kRtam YS182u-_3.31b
   vāpī kūpataḍāgāni YS99v_70a	vApI kUpa-taxAgAni YS99u-_70a
   vāristho dakṣiṇāmukhaḥ YS99v_94b	vAri-sTaH dakziNAmuKaH YS99u-_94b
   vikrītaṃ ghṛtakākhyayā YSS_2.37b	vikrItam GRtaka-AKyayA YSH-_2.37b
   vikretā tatsamaṃ dāpyo YSS_2.39c	vikretA tad-samam dApyaH YSH-_2.39c
   viṇmūtre tu kṛte dvijaḥ YS99v_10b	viz-mUtre tu kRte dvijaH YS99u-_10b
   vittaṃ dattaṃ tathāmārgād YSS_2.28a	vittam dattam taTA-amArgAt YSH-_2.28a
   vittāpekṣaṃ bhaved iṣṭaṃ YS99v_69a	vitta-apekzam Bavet izwam YS99u-_69a
   vidyāt apobhyāṃ saṃyuktaḥ YS182v_4.53c	vidyAt apoByAm saMyuktaH YS182u-_4.53c
   vidyāvinayasaṃpannaḥ YS182v_3.42c	vidyA-vinaya-saMpannaH YS182u-_3.42c
   vidhav āgamane pāpaṃ YS182v_4.43a	viDau Agamane pApam YS182u-_4.43a
   vidhavā caiva yā nārī YS182v_4.39a	viDavA ca-eva yA nArI YS182u-_4.39a
   vidhiṃ prabrūhi no yama YS182v_4.18b	viDim prabrUhi naH yamaH YS182u-_4.18b
   vinā śākhāprabhedena YS182v_4.45c	vinA SAKA-praBedena YS182u-_4.45c
   vipule ca jale snātvā YS182v_3.57c	vipule ca jale snAtvA YS182u-_3.57c
   viprakṣattriyaviṭśūdrā- YS182v_5.3a	vipra-kzattriya-viS-SUdrA YS182u-_5.3a
   vipram agniparityaktaṃ YSS_2.7a	vipram agni-parityaktam YSH-_2.7a
   vipram utpāditāpatyaṃ YSS_2.47a	vipram utpAdita-apatyam YSH-_2.47a
   vipras tu vṛṣalīpateḥ YSS_2.48b	vipraH tu vRzalI-pateH YSH-_2.48b
   viprasyaiva caturguṇam YS182v_4.14b	viprasya-eva caturguNam YS182u-_4.14b
   viprasyoktaparityaktaṃ YSS_2.13a	viprasya-ukta-parityaktam YSH-_2.13a
   vipraṃ tu vṛṣalīpatiṃ YSS_2.67b	vipram tu vRzalI-patim YSH-_2.67b
   vipraṃ sarvasvam ādāya YSS_2.10c	vipram sarva-svam AdAya YSH-_2.10c
   vipraḥ kṣatriyayā spṛṣṭas YSS_2.71a	vipraH kzatriyayA spRzwaH YSH-_2.71a
   vipraḥ pañcāśad āpnuyāt YSS_2.58b	vipraH paQcASat ApnuyAt YSH-_2.58b
   vipraḥ prāpnoti madhyamaṃ YSS_2.44d	vipraH prApnoti maDyamam YSH-_2.44d
   vipraḥ prāpnoti ṣoḍaśa YSS_2.52b	vipraH prApnoti zoxaSa YSH-_2.52b
   vipraḥ śūdrāvaraḥ smṛtaḥ YSS_2.62b	vipraH SUdra-avaraH smRtaH YSH-_2.62b
   vipraḥ spṛṣṭo niśāyāñ ca YS78v_63a	vipraH spRzwaH niSAyAn ca YS78u-_63a
   vipraḥ spṛṣṭo niśāyāṃ tū- YS182v_3.69a	vipraH spRzwaH niSAyAm tU YS182u-_3.69a
   viprās te nātra saṃśayaḥ YS182v_4.54d	viprAH te na-atra saMSayaH YS182u-_4.54d
   vipreṇa cānnavarjitam YS182v_3.45b	vipreNa ca-anna-varjitam YS182u-_3.45b
   vipro 'gnihā pratīkṣate YSS_2.64d	vipraH agni-hA pratIkzate YSH-_2.64d
   vipro nakulam eva hi YSS_2.5d	vipraH nakulam eva hi YSH-_2.5d
   vipro hṛtvākhilaṃ dhanaṃ YSS_2.29d	vipraH hRtvA-aKilam Danam YSH-_2.29d
   vibhāgasya vinirṇayaḥ YS182v_5.21b	viBAgasya vinirNayaH YS182u-_5.21b
   vivāhāt saptame pade YS99v_78b	vivAhAt saptame pade YS99u-_78b
   vivāhe caiva saṃvṛtte YS99v_86a	vivAhe ca-eva saMvRtte YS99u-_86a
   vivāhotsavayajñeṣu YS182v_3.56c	vivAha-utsava-yajQezu YS182u-_3.56c
   viśeṣāc cānimittataḥ YSS_2.49d	viSezAt ca-animittataH YSH-_2.49d
   viśo vittaṃ nayād .. YSS_2.65c	viSaH vittam nayAt .. YSH-_2.65c
   viṣaprapatanaprāya- YS78v_2c	viza-prapatana-prAya YS78u-_2c
   viṣaprapatanaprāya- YS99v_22c	viza-prapatana-prAya YS99u-_22c
   viṣaprapatanaprāyāḥ YSS_1.7c	viza-prapatana-prAyAH YSH-_1.7c
   viṣaprapannagātrāś ca YS182v_1.3c	viza-prapanna-gAtrAH ca YS182u-_1.3c
