   BhP_06.01.001/0 śrīparīkṣiduvāca	Bhu-_06.01.001/0 SrIparIkzit-uvAca
   BhP_06.07.018/1 tac chrutvaivāsurāḥ sarva āśrityauśanasaṃ matam	Bhu-_06.07.018/1 tat SrutvA-eva-asurAH sarve ASriti-a-OSanasam matam
   BhP_06.07.018/2 devān pratyudyamaṃ cakrurdurmadā ātatāyinaḥ	Bhu-_06.07.018/2 devAn pratyudyamam cakruH-durmadAH AtatAyinaH
   BhP_06.07.019/1 tairvisṛṣṭeṣubhistīkṣṇairnirbhinnāṅgorubāhavaḥ	Bhu-_06.07.019/1 tEH-visRzwa-izuBiH-tIkzNEH-nirBinna-aFga-Uru-bAhavaH
   BhP_06.07.019/2 brahmāṇaṃ śaraṇaṃ jagmuḥ sahendrā natakandharāḥ	Bhu-_06.07.019/2 brahmANam SaraNam jagmuH saha-indrAH nata-kanDarAH
   BhP_06.07.020/1 tāṃstathābhyarditān vīkṣya bhagavān ātmabhūrajaḥ	Bhu-_06.07.020/1 tAn=-taTA-aByarditAn vIkzya BagavAn Atma-BUrajaH
   BhP_06.07.020/2 kṛpayā parayā deva uvāca parisāntvayan	Bhu-_06.07.020/2 kRpayA parayA devaH uvAca parisAntvayan
   BhP_06.07.021/0 śrībrahmovāca	Bhu-_06.07.021/0 SrI-brahmA-uvAca
   BhP_06.07.021/1 aho bata suraśreṣṭhā hy abhadraṃ vaḥ kṛtaṃ mahat	Bhu-_06.07.021/1 aho bata sura-SrezWAH hi aBadram vaH kRtam mahat-
   BhP_06.07.021/2 brahmiṣṭhaṃ brāhmaṇaṃ dāntamaiśvaryān nābhyanandata	Bhu-_06.07.021/2 brahmizWam brAhmaNam dAntam-ESvaryAt na-aByanandata
   BhP_06.07.022/1 tasyāyamanayasyāsīt parebhyo vaḥ parābhavaḥ	Bhu-_06.07.022/1 tasya-ayam-anayasya-AsIt pareByaH vaH parABavaH
   BhP_06.07.022/2 prakṣīṇebhyaḥ svavairibhyaḥ samṛddhānāṃ ca yat surāḥ	Bhu-_06.07.022/2 prakzINeByaH sva-vEriByaH samRdDAnAm ca yat surAH
   BhP_06.07.023/1 maghavan dviṣataḥ paśya prakṣīṇān gurvatikramāt	Bhu-_06.07.023/1 maGavan dvizataH paSya prakzINAn guru-atikramAt-
   BhP_06.07.023/2 sampraty upacitān bhūyaḥ kāvyamārādhya bhaktitaḥ	Bhu-_06.07.023/2 samprati upacitAn BUyas kAvyam-ArADya BaktitaH
   BhP_06.07.023/3 ādadīran nilayanaṃ mamāpi bhṛgudevatāḥ	Bhu-_06.07.023/3 AdadIran nilayanam mama-api BRgu-devatAH
   BhP_06.07.024/1 tripiṣṭapaṃ kiṃ gaṇayanty abhedya mantrā	Bhu-_06.07.024/1 tripizwapam kim gaNayanti aBedya mantrA
   bhṛgūṇāmanuśikṣitārthāḥ	BRgUNAm-anuSikzita-arTAH
   BhP_06.07.024/2 na vipragovindagavīśvarāṇāṃ bhavanty abhadrāṇi	Bhu-_06.07.024/2 na vipra-govinda-gavISvarANAm Bavanti aBadrANi
   nareśvarāṇām	nareSvarANAm
   BhP_06.07.025/1 tadviśvarūpaṃ bhajatāśu vipraṃ tapasvinaṃ	Bhu-_06.07.025/1 tad-viSva-rUpam Bajata-ASu vipram tapasvinam
   tvāṣṭramathātmavantam	tvAzwram-aTa-Atmavantam
   BhP_06.07.025/2 sabhājito 'rthān sa vidhāsyate vo yadi kṣamiṣyadhvamutāsya	Bhu-_06.07.025/2 saBAjitaH arTAn sa viDAsyate vaH yadi kzamizI-aDva-muta-asya
   karma	karma
   BhP_06.07.026/0 śrīśuka uvāca	BhP_06.07.026/0 SrI-SukaH uvAca
   BhP_06.07.026/1 ta evamuditā rājan brahmaṇā vigatajvarāḥ	Bhu-_06.07.026/1 te evam-uditAH rAjan brahmaNA vigata-jvarAH
   BhP_06.07.026/2 ṛṣiṃ tvāṣṭramupavrajya pariṣvajyedamabruvan	Bhu-_06.07.026/2 Rzim tvAzwram-upavrajya parizvajya-idam-abruvan
   BhP_06.07.027/0 śrīdevā ūcuḥ	Bhu-_06.07.027/0 SrI-devAH UcuH
   BhP_06.07.027/1 vayaṃ te 'tithayaḥ prāptā āśramaṃ bhadramastu te	Bhu-_06.07.027/1 vayam te atiTayaH prAptAH ASramam Badram-astu te
   BhP_06.07.027/2 kāmaḥ sampādyatāṃ tāta pitṝṇāṃ samayocitaḥ	BhP_06.07.027/2 kAmaH sampAdyatAm tAta pitLNAm samaya-ucitaH
   BhP_06.07.028/1 putrāṇāṃ hi paro dharmaḥ pitṛśuśrūṣaṇaṃ satām	Bhu-_06.07.028/1 putrANAm hi paraH DarmaH pitR-SuSrUzaNam satAm
   BhP_06.07.028/2 api putravatāṃ brahman kimuta brahmacāriṇām	Bhu-_06.07.028/2 api putravatAm brahman kim-uta brahmacAriNAm
   BhP_06.07.029/1 ācāryo brahmaṇo mūrtiḥ pitā mūrtiḥ prajāpateḥ	Bhu-_06.07.029/1 AcAryaH brahmaNaH mUrtiH pitA mUrtiH prajApateH
   BhP_06.07.029/2 bhrātā marutpatermūrtirmātā sākṣāt kṣitestanuḥ	BhP_06.07.029/2 BrAtA marutpateH-mUrtiH-mAtA sAkzAt kziteH-tanuH
   BhP_06.07.030/1 dayāyā bhaginī mūrtirdharmasyātmātithiḥ svayam	Bhu-_06.07.030/1 dayAyAH BaginI mUrtiH-Darmasya-AtmA-atiTiH svayam
   BhP_06.07.030/2 agnerabhyāgato mūrtiḥ sarvabhūtāni cātmanaḥ	Bhu-_06.07.030/2 agneH-aByAgataH mUrtiH sarva-BUtAni ca-AtmanaH
   BhP_06.07.031/1 tasmāt pitṝṇāmārtānāmārtiṃ paraparābhavam	Bhu-_06.07.031/1 tasmAt pitLNAm-ArtAnAm-Artim para-parABavam
   BhP_06.07.031/2 tapasāpanayaṃstāta sandeśaṃ kartumarhasi	Bhu-_06.07.031/2 tapasA-apanayan=-tAta sandeSam kartum-arhasi
   BhP_06.07.032/1 vṛṇīmahe tvopādhyāyaṃ brahmiṣṭhaṃ brāhmaṇaṃ gurum	Bhu-_06.07.032/1 vRNImahe tvA-upADyAyam brahmizWam brAhmaNam gurum
   BhP_06.07.032/2 yathāñjasā vijeṣyāmaḥ sapatnāṃstava tejasā	Bhu-_06.07.032/2 yaTA-aQjasA vijezyAmaH sapatnAn=-tava tejasA
   BhP_06.07.033/1 na garhayanti hy artheṣu yaviṣṭhāṅghryabhivādanam	Bhu-_06.07.033/1 na garhayanti hi arTezu yavizWa-aFGrI-aBivAdanam
   BhP_06.07.033/2 chandobhyo 'nyatra na brahman vayo jyaiṣṭhyasya kāraṇam	Bhu-_06.07.033/2 CandoByaH anyatra na brahman vayaH jyEzWyasya kAraNam
   BhP_06.07.034/0 śrīṛṣiruvāca	BhP_06.07.034/0 SrIRziH-uvAca
   BhP_06.07.034/1 abhyarthitaḥ suragaṇaiḥ paurahitye mahātapāḥ	Bhu-_06.07.034/1 aByarTitaH sura-gaNEH pOra-hitye mahA-tapAH
   BhP_06.07.034/2 sa viśvarūpastān āha prasannaḥ ślakṣṇayā girā	Bhu-_06.07.034/2 sa viSva-rUpaH-tAn Aha prasannaH SlakzNayA girA
   BhP_06.07.035/0 śrīviśvarūpa uvāca	Bhu-_06.07.035/0 SrI-viSva-rUpaH uvAca
   BhP_06.07.035/1 vigarhitaṃ dharmaśīlairbrahmavarcaupavyayam	Bhu-_06.07.035/1 vigarhitam Darma-SIlEH-brahmavarca-Opa-vyayam
   BhP_06.07.035/2 kathaṃ nu madvidho nāthā lokeśairabhiyācitam	Bhu-_06.07.035/2 kaTam nu madviDaH nATAH lokeSEH-aBiyAcitam
   BhP_06.07.035/3 pratyākhyāsyati tacchiṣyaḥ sa eva svārtha ucyate	Bhu-_06.07.035/3 pratyAKyAsyati tad-SizyaH saH eva sva-arTaH ucyate
   BhP_06.07.036/1 akiñcanānāṃ hi dhanaṃ śiloñchanaṃ teneha	Bhu-_06.07.036/1 akiQcanAnAm hi Danam Sila-uQCanam tena-iha
   nirvartitasādhusatkriyaḥ	nirvartita-sADu-satkriyaH
   BhP_06.07.036/2 kathaṃ vigarhyaṃ nu karomy adhīśvarāḥ paurodhasaṃ hṛṣyati	Bhu-_06.07.036/2 kaTam vigarhyam nu karomi aDISvarAH pOroDasam hRzyati
   yena durmatiḥ	yena durmatiH
   BhP_06.07.037/1 tathāpi na pratibrūyāṃ gurubhiḥ prārthitaṃ kiyat	Bhu-_06.07.037/1 taTA-api na pratibrUyAm guruBiH prArTitam kiyat-
   BhP_06.07.037/2 bhavatāṃ prārthitaṃ sarvaṃ prāṇairarthaiśca sādhaye	Bhu-_06.07.037/2 BavatAm prArTitam sarvam prANEH-arTEH-ca sADaye
   BhP_06.07.038/0 śrībādarāyaṇiruvāca	Bhu-_06.07.038/0 SrI-bAdarAyaNiH-uvAca
   BhP_06.07.038/1 tebhya evaṃ pratiśrutya viśvarūpo mahātapāḥ	Bhu-_06.07.038/1 teByaH evam pratiSrutya viSvarUpaH mahA-tapAH
   BhP_06.07.038/2 paurahityaṃ vṛtaścakre parameṇa samādhinā	Bhu-_06.07.038/2 pOra-hityam vRtaH-cakre parameNa samADinA
   BhP_06.07.039/1 suradviṣāṃ śriyaṃ guptāmauśanasyāpi vidyayā	Bhu-_06.07.039/1 suradvizAm Sriyam guptAm-OSanasya-api vidyayA
   BhP_06.07.039/2 ācchidyādān mahendrāya vaiṣṇavyā vidyayā vibhuḥ	Bhu-_06.07.039/2 AcCidya-AdAn mahA-indrAya vEzNavyAH vidyayA viBuH
   BhP_06.07.040/1 yayā guptaḥ sahasrākṣo jigye 'suracamūrvibhuḥ	Bhu-_06.07.040/1 yayA guptaH sahasrAkzaH jigye asura-camUH-viBuH
   BhP_06.07.040/2 tāṃ prāha sa mahendrāya viśvarūpa udāradhīḥ	Bhu-_06.07.040/2 tAm prAha sa mahA-indrAya viSvarUpaH udAra-DIH
   BhP_06.08.001/0 śrīrājovāca	BhP_06.08.001/0 SrI-rAjA-uvAca
   BhP_06.08.001/1 yayā guptaḥ sahasrākṣaḥ savāhān ripusainikān	Bhu-_06.08.001/1 yayA guptaH sahasrAkzaH sa-vAhAn ripu-sEnikAn
   BhP_06.08.001/2 krīḍanniva vinirjitya trilokyā bubhuje śriyam	Bhu-_06.08.001/2 krIxan=-iva vinirjitya trilokyAH buBuje Sriyam
   BhP_06.08.002/1 bhagavaṃstan mamākhyāhi varma nārāyaṇātmakam	Bhu-_06.08.002/1 Bagavan=-tat mama-AKyAhi varma nArAyaNa-Atmakam
   BhP_06.08.002/2 yathātatāyinaḥ śatrūn yena gupto 'jayan mṛdhe	Bhu-_06.08.002/2 yaTA-AtatAyinaH SatrUn yena guptaH ajayat mRDe
   BhP_06.08.003/0 śrībādarāyaṇiruvāca	Bhu-_06.08.003/0 SrI-bAdarAyaNiH-uvAca
   BhP_06.08.003/1 vṛtaḥ purohitastvāṣṭro mahendrāyānupṛcchate	Bhu-_06.08.003/1 vRtaH purohitaH-tvAzwraH mahA-indrAya-anupRcCate
   BhP_06.08.003/2 nārāyaṇākhyaṃ varmāha tadihaikamanāḥ śṛṇu	Bhu-_06.08.003/2 nArAyaNa-AKyam varmAha tat-iha-ekamanAH SRNu
   BhP_06.08.004/0 śrīviśvarūpa uvāca	Bhu-_06.08.004/0 SrI-viSva-rUpaH uvAca
   BhP_06.08.004/1 dhautāṅghripāṇirācamya sapavitra udaṅmukhaḥ	Bhu-_06.08.004/1 DOta-aFGri-pANiH-Acamya sa-pavitraH udaFmuKaH
   BhP_06.08.004/2 kṛtasvāṅgakaranyāso mantrābhyāṃ vāgyataḥ śuciḥ	Bhu-_06.08.004/2 kRta-sva-aFga-karanyAsaH mantrAByAm vAgyataH SuciH
   BhP_06.08.005/1 nārāyaṇaparaṃ varma sannahyedbhaya āgate	Bhu-_06.08.005/1 nArAyaNa-param varma sat-nahyet-BayaH Agate
   BhP_06.08.005/2 pādayorjānunorūrvorudare hṛdy athorasi	Bhu-_06.08.005/2 pAdayoH-jAnunoH-UrvoH-udare hRdi aTa-urasi
   BhP_06.08.006/1 mukhe śirasy ānupūrvyādoṃkārādīni vinyaset	Bhu-_06.08.006/1 muKe Sirasi AnupUrvyAt-oMkAra-AdIni vinyaset-
   BhP_06.08.006/2 oṃ namo nārāyaṇāyeti viparyayamathāpi vā	BhP_06.08.006/2 om namaH nArAyaNAya-iti viparyayam-aTa-api vA
   BhP_06.08.007/1 karanyāsaṃ tataḥ kuryāddvādaśākṣaravidyayā	Bhu-_06.08.007/1 karanyAsam tatas kuryAt-dvAdaSa-akzara-vidyayA
   BhP_06.08.007/2 praṇavādiyakārāntamaṅgulyaṅguṣṭhaparvasu	BhP_06.08.007/2 praNava-Adi-yakAra-antam-aFgulI-aFguzWa-parvasu
   BhP_06.08.008/1 nyaseddhṛdaya oṃkāraṃ vikāramanu mūrdhani	Bhu-_06.08.008/1 nyaset-hRdayaH oMkAram vikAram-anu mUrDani
   BhP_06.08.008/2 ṣakāraṃ tu bhruvormadhye ṇakāraṃ śikhayā nyaset	Bhu-_06.08.008/2 zakAram tu BruvoH-maDye NakAram SiKayA nyaset-
   BhP_06.08.009/1 vekāraṃ netrayoryuñjyān nakāraṃ sarvasandhiṣu	Bhu-_06.08.009/1 vekAram netrayoH-yuQjyAt nakAram sarva-sanDizu
   BhP_06.08.009/2 makāramastramuddiśya mantramūrtirbhavedbudhaḥ	Bhu-_06.08.009/2 makAram-astram-uddiSya mantra-mUrtiH-Bavet-buDaH
   BhP_06.08.010/1 savisargaṃ phaḍantaṃ tat sarvadikṣu vinirdiśet	Bhu-_06.08.010/1 sa-visargam Paw-antam tat sarva-dikzu vinirdiSet-
   BhP_06.08.010/2 oṃ viṣṇave nama iti	Bhu-_06.08.010/2 om vizNave namaH iti
   BhP_06.08.011/1 ātmānaṃ paramaṃ dhyāyeddhyeyaṃ ṣaṭśaktibhiryutam	Bhu-_06.08.011/1 AtmAnam paramam DyAyet-Dyeyam zaz-SaktiBiH-yutam
   BhP_06.08.011/2 vidyātejastapomūrtimimaṃ mantramudāharet	Bhu-_06.08.011/2 vidyA-tejaH-tapaH-mUrtim-imam mantram-udAharet-
   BhP_06.08.012/1 oṃ harirvidadhyān mama sarvarakṣāṃ nyastāṅghripadmaḥ	Bhu-_06.08.012/1 om hariH-vidaDyAt mama sarva-rakzAm nyasta-aFGri-padmaH
   patagendrapṛṣṭhe	pataga-indra-pRzWe
   BhP_06.08.012/2 darāricarmāsigadeṣucāpa pāśān dadhāno 'ṣṭaguṇo 'ṣṭabāhuḥ	Bhu-_06.08.012/2 dara-ari-carma-asi-gadezu-cApa pASAn daDAnaH azwaguNaH azwa-bAhuH
   BhP_06.08.013/1 jaleṣu māṃ rakṣatu matsyamūrtir yādogaṇebhyo varuṇasya	Bhu-_06.08.013/1 jalezu mAm rakzatu matsya-mUrtiH yAdaH-gaNeByaH varuNasya
   pāśāt	pASAt-
   BhP_06.08.013/2 sthaleṣu māyāvaṭuvāmano 'vyāt trivikramaḥ khe 'vatu	BhP_06.08.013/2 sTalezu mAyA-vawu-vAmanaH avyAt trivikramaH Ke avatu
   viśvarūpaḥ	viSva-rUpaH
   BhP_06.08.014/1 durgeṣvaṭavyājimukhādiṣu prabhuḥ pāyān nṛsiṃho	Bhu-_06.08.014/1 durgezu-awa-vyAji-muKa-Adizu praBuH pAyAn nRsiMhaH-
   'surayūthapāriḥ	asura-yUTa-pAriH
   BhP_06.08.014/2 vimuñcato yasya mahāṭṭahāsaṃ diśo vinedurnyapataṃśca	Bhu-_06.08.014/2 vimuQcataH yasya mahA-awwahAsam diSaH vineduH-nyapatan=-ca
   garbhāḥ	garBAH
   BhP_06.08.015/1 rakṣatvasau mādhvani yajñakalpaḥ svadaṃṣṭrayonnītadharo	Bhu-_06.08.015/1 rakzatu-asO mA-aDvani yajQa-kalpaH sva-daMzwrayA-unnIta-DaraH-
   varāhaḥ	varAhaH
   BhP_06.08.015/2 rāmo 'drikūṭeṣvatha vipravāse salakṣmaṇo 'vyādbharatāgrajo	Bhu-_06.08.015/2 rAmaH adri-kUwezu-aTa vipravAse sa-lakzmaNaH avyAt-Barata-agrajaH-
   'smān	asmAn
   BhP_06.08.016/1 māmugradharmādakhilāt pramādān nārāyaṇaḥ pātu naraśca	Bhu-_06.08.016/1 mAm-ugra-DarmAt-aKilAt pramAdAt nArAyaNaH pAtu naraH-ca
   hāsāt	hAsAt-
   BhP_06.08.016/2 dattastvayogādatha yoganāthaḥ pāyādguṇeśaḥ kapilaḥ	Bhu-_06.08.016/2 dattaH-tu-ayogAt-aTa yoga-nATaH pAyAt-guNeSaH kapilaH
   karmabandhāt	karma-banDAt-
   BhP_06.08.017/1 sanatkumāro 'vatu kāmadevād dhayaśīrṣā māṃ pathi	BhP_06.08.017/1 sanatkumAraH avatu kAmadevAt DayaSIrzA mAm paTi
   devahelanāt	devahelanAt-
   BhP_06.08.017/2 devarṣivaryaḥ puruṣārcanāntarāt kūrmo harirmāṃ	Bhu-_06.08.017/2 devaRzi-varyaH puruza-arcana-antarAt kUrmaH hariH-mAm
   nirayādaśeṣāt	nirayAt-aSezAt-
   BhP_06.08.018/1 dhanvantarirbhagavān pātvapathyād dvandvādbhayādṛṣabho	Bhu-_06.08.018/1 DanvantariH-BagavAn pAtu-apaTyAt dvandvAt-BayAt-RzaBaH-
   nirjitātmā	nirjita-AtmA
   BhP_06.08.018/2 yajñaśca lokādavatāj janāntād balo gaṇāt	Bhu-_06.08.018/2 yajQaH-ca lokAt-avatAt jana-antAt balaH gaNAt-
   krodhavaśādahīndraḥ	kroDa-vaSAt-ahi-indraH
   BhP_06.08.019/1 dvaipāyano bhagavān aprabodhād buddhastu	Bhu-_06.08.019/1 dvEpAyanaH BagavAn apraboDAt budDaH-tu
   pāṣaṇḍagaṇapramādāt	pAzaNxa-gaNa-pramAdAt-
   BhP_06.08.019/2 kalkiḥ kaleḥ kālamalāt prapātu dharmāvanāyorukṛtāvatāraḥ	BhP_06.08.019/2 kalkiH kaleH kAla-malAt prapAtu Darma-avanAya-Uru-kRta-avatAraH
   BhP_06.08.020/1 māṃ keśavo gadayā prātaravyād govinda āsaṅgavamāttaveṇuḥ	Bhu-_06.08.020/1 mAm keSavaH gadayA prAtaravyAt govindaH AsaFgavamAt-taveNuH
   BhP_06.08.020/2 nārāyaṇaḥ prāhṇa udāttaśaktir madhyandine	Bha-a_06.08.020/2 nArAyaNaH prAhNa udAtta-SaktiH maDyandine
   viṣṇurarīndrapāṇiḥ	vizNuH-arIndra-pANiH
   BhP_06.08.021/1 devo 'parāhṇe madhuhogradhanvā sāyaṃ tridhāmāvatu mādhavo	Bhu-_06.08.021/1 devaH aparAhNe maDuhA-ugra-DanvA sAyam triDAmA-avatu mADavaH-
   mām	mAm
   BhP_06.08.021/2 doṣe hṛṣīkeśa utārdharātre niśītha eko 'vatu padmanābhaḥ	Bhu-_06.08.021/2 doze hRzIkeSaH uta-arDarAtre niSITe ekaH avatu padmanABaH
   BhP_06.08.022/1 śrīvatsadhāmāpararātra īśaḥ pratyūṣa īśo 'sidharo	Bhu-_06.08.022/1 SrIvatsa-DAma-apararAtraH ISaH pratyUzaH ISaH asi-DaraH-
   janārdanaḥ	janArdanaH
   BhP_06.08.022/2 dāmodaro 'vyādanusandhyaṃ prabhāte viśveśvaro bhagavān	Bhu-_06.08.022/2 dAmodaraH avyAt-anu-sanDyam praBAte viSveSvaraH BagavAn
   kālamūrtiḥ	kAla-mUrtiH
   BhP_06.08.023/1 cakraṃ yugāntānalatigmanemi bhramat	Bhu-_06.08.023/1 cakram yugAnta-anala-tigmanemi Bramat-
   samantādbhagavatprayuktam	samantAt-Bagavat-prayuktam
   BhP_06.08.023/2 dandagdhi dandagdhy arisainyamāśu kakṣaṃ yathā vātasakho	Bhu-_06.08.023/2 dandagDi dandagDi ari-sEnyam-ASu kakzam yaTA vAta-saKaH-
   hutāśaḥ	hutASaH
   BhP_06.08.024/1 gade 'śanisparśanavisphuliṅge niṣpiṇḍhi niṣpiṇḍhy	Bhu-_06.08.024/1 gade aSani-sparSana-visPuliFge nizpiNXi nizpiNXy
   ajitapriyāsi	ajita-priyA-asi
   BhP_06.08.024/2 kuṣmāṇḍavaināyakayakṣarakṣo bhūtagrahāṃścūrṇaya cūrṇayārīn	Bhu-_06.08.024/2 kuzmANxa-vEnAyaka-yakza-rakzaH BUta-grahAn=-cUrNaya cUrNayA-arIn
   BhP_06.08.025/1 tvaṃ yātudhānapramathapretamātṛ	Bhu-_06.08.025/1 tvam yAtuDAna-pramaTa-preta-mAtR
   piśācavipragrahaghoradṛṣṭīn	piSAca-vipra-graha-Gora-dRzwIn
   BhP_06.08.025/2 darendra vidrāvaya kṛṣṇapūrito bhīmasvano 'rerhṛdayāni	Bhu-_06.08.025/2 dara-indra vidrAvaya kRzNa-pUritaH BIma-svanaH areH-hRdayAni
   kampayan	kampayan
   BhP_06.08.026/1 tvaṃ tigmadhārāsivarārisainyam īśaprayukto mama chindhi	Bhu-_06.08.026/1 tvam tigma-DArA-asi-varAri-sEnyam ISa-prayuktaH mama CinDi
   chindhi	CinDi
   BhP_06.08.026/2 cakṣūṃṣi carman chatacandra chādaya dviṣāmaghonāṃ hara	Bhu-_06.08.026/2 cakzUMzi carman Cata-candra CAdaya dvi-zAm-aGonAm hara
   pāpacakṣuṣām	pApa-cakzuzAm
   BhP_06.08.027/1 yan no bhayaṃ grahebhyo 'bhūt ketubhyo nṛbhya eva ca	BhP-_06.08.027/1 yat naH Bayam graheByaH aBUt ketuByaH nRByaH eva ca
   BhP_06.08.027/2 sarīsṛpebhyo daṃṣṭribhyo bhūtebhyo 'ṃhobhya eva ca	Bhu-_06.08.027/2 sarIsRpeByaH daMzwriByaH BUteByaH aMhoByaH eva ca
   BhP_06.08.028/1 sarvāṇy etāni bhagavan nāmarūpānukīrtanāt	BhP_06.08.028/1 sarvANi etAni Bagavat nAma-rUpa-anukIrtanAt
   BhP_06.08.028/2 prayāntu saṅkṣayaṃ sadyo ye naḥ śreyaḥpratīpakāḥ	Bhu-_06.08.028/2 prayAntu saFkzayam sadyas ye naH SreyaH-pratIpakAH
   BhP_06.08.029/1 garuḍo bhagavān stotra stobhaśchandomayaḥ prabhuḥ	Bhu-_06.08.029/1 garuxaH BagavAn stotra stoBaH-CandaH-mayaH praBuH
   BhP_06.08.029/2 rakṣatvaśeṣakṛcchrebhyo viṣvaksenaḥ svanāmabhiḥ	Bhu-_06.08.029/2 rakzatu-aSeza-kRcCreByaH vizvaksenaH sva-nAmaBiH
   BhP_06.08.030/1 sarvāpadbhyo harernāma rūpayānāyudhāni naḥ	Bhu-_06.08.030/1 sarva-ApadByaH hareH-nAma rUpa-yAna-AyuDAni naH
   BhP_06.08.030/2 buddhīndriyamanaḥprāṇān pāntu pārṣadabhūṣaṇāḥ	Bhu-_06.08.030/2 budDIndriya-manaH-prANAn pAntu pArzada-BUzaNAH
   BhP_06.08.031/1 yathā hi bhagavān eva vastutaḥ sadasac ca yat	Bhu-_06.08.031/1 yaTA hi BagavAn eva vastutas sat-asat ca yat-
   BhP_06.08.031/2 satyenānena naḥ sarve yāntu nāśamupadravāḥ	Bhu-_06.08.031/2 satyena-anena naH sarve yAntu nASam-upadravAH
   BhP_06.08.032/1 yathaikātmyānubhāvānāṃ vikalparahitaḥ svayam	Bhu-_06.08.032/1 yaTA-EkAtmya-anuBAvAnAm vikalpa-rahitaH svayam
   BhP_06.08.032/2 bhūṣaṇāyudhaliṅgākhyā dhatte śaktīḥ svamāyayā	BhP_06.08.032/2 BUzaNa-AyuDa-liFga-AKyA Datte SaktIH sva-mAyayA
   BhP_06.08.033/1 tenaiva satyamānena sarvajño bhagavān hariḥ	Bhu-_06.08.033/1 tena-eva satya-mAnena sarvajQaH BagavAn hariH
   BhP_06.08.033/2 pātu sarvaiḥ svarūpairnaḥ sadā sarvatra sarvagaḥ	Bhu-_06.08.033/2 pAtu sarvEH svarUpEH-naH sadA sarvatra sarva-gaH
   BhP_06.08.034/1 vidikṣu dikṣūrdhvamadhaḥ samantād antarbahirbhagavān	Bhu-_06.08.034/1 vidikzu dikzu-UrDvam-aDas samantAt antar-bahis-BagavAn
   nārasiṃhaḥ	nArasiMhaH
   BhP_06.08.034/2 prahāpaya lokabhayaṃ svanena svatejasā grastasamastatejāḥ	Bhu-_06.08.034/2 prahApaya loka-Bayam svanena sva-tejasA grasta-samasta-tejAH
   BhP_06.08.035/1 maghavannidamākhyātaṃ varma nārāyaṇātmakam	Bhu-_06.08.035/1 maGavan=-idama-AKyAtam varma nArAyaNa-Atmakam
   BhP_06.08.035/2 vijeṣyase 'ñjasā yena daṃśito 'surayūthapān	Bhu-_06.08.035/2 vijezyase aQjasA yena daMSitaH asura-yUTapAn
   BhP_06.08.036/1 etaddhārayamāṇastu yaṃ yaṃ paśyati cakṣuṣā	Bhu-_06.08.036/1 etat-DArayamANaH-tu yam yam paSyati cakzuzA
   BhP_06.08.036/2 padā vā saṃspṛśet sadyaḥ sādhvasāt sa vimucyate	Bhu-_06.08.036/2 padA vA saMspRSet sadyas sADvasAt sa vimucyate
   BhP_06.08.037/1 na kutaścidbhayaṃ tasya vidyāṃ dhārayato bhavet	Bhu-_06.08.037/1 na kutaScid-Bayam tasya vidyAm DArayataH Bavet-
   BhP_06.08.037/2 rājadasyugrahādibhyo vyādhyādibhyaśca karhicit	Bhu-_06.08.037/2 rAja-dasi-u-graha-AdiByaH vyADi-AdiByaH-ca karhicit-
   BhP_06.08.038/1 imāṃ vidyāṃ purā kaścit kauśiko dhārayan dvijaḥ	Bhu-_06.08.038/1 imAm vidyAm purA kaScid kOSikaH DArayan dvijaH
   BhP_06.08.038/2 yogadhāraṇayā svāṅgaṃ jahau sa marudhanvani	BhP_06.08.038/2 yoga-DAraNayA sva-aFgam jahO sa maru-Danvani
   BhP_06.08.039/1 tasyopari vimānena gandharvapatirekadā	Bhu-_06.08.039/1 tasya-upari vimAnena ganDarva-patiH-ekadA
   BhP_06.08.039/2 yayau citrarathaḥ strībhirvṛto yatra dvijakṣayaḥ	Bhu-_06.08.039/2 yayO citraraTaH strIBiH-vRtaH yatra dvija-kzayaH
   BhP_06.08.040/1 gaganān nyapatat sadyaḥ savimāno hy avākśirāḥ	Bhu-_06.08.040/1 gaganAt nyapatat sadyas sa-vimAnaH hi avAkSirAH
   BhP_06.08.040/2 sa vālikhilyavacanādasthīny ādāya vismitaḥ	Bhu-_06.08.040/2 sa vAliKilya-vacanAt-asTIni AdAya vismitaH
   BhP_06.08.040/3 prāsya prācīsarasvatyāṃ snātvā dhāma svamanvagāt	Bhu-_06.08.040/3 prAsya prAcI-sarasvatyAm snAtvA DAma svam-anvagAt-
   BhP_06.08.041/0 śrīśuka uvāca	BhP_06.08.041/0 SrI-SukaH uvAca
   BhP_06.08.041/1 ya idaṃ śṛṇuyāt kāle yo dhārayati cādṛtaḥ	Bhu-_06.08.041/1 yaH idam SRNuyAt kAle yaH DArayati ca-AdRtaH
   BhP_06.08.041/2 taṃ namasyanti bhūtāni mucyate sarvato bhayāt	Bhu-_06.08.041/2 tam namasyanti BUtAni mucyate sarvatas BayAt-
   BhP_06.08.042/1 etāṃ vidyāmadhigato viśvarūpāc chatakratuḥ	Bhu-_06.08.042/1 etAm vidyAm-aDigataH viSva-rUpAt SatakratuH
   BhP_06.08.042/2 trailokyalakṣmīṃ bubhuje vinirjitya mṛdhe 'surān	Bhu-_06.08.042/2 trElokya-lakzmIm buBuje vinirjitya mRDe asurAn
   BhP_06.09.001/0 śrīśuka uvāca	BhP_06.09.001/0 SrI-SukaH uvAca
