   śrīpāda dhyāna-candra gosvāmī	SrIpAda DyAna-candra gosvAmI
   ambhoja-keśara-samāna-ruciṃ suśīlāṃ	amBoja--keSara--samAna-rucim su-SIlAm
   raktāmbarāṃ rucira-hāsa-virāji-vaktrām /	rakta-ambarAm rucira-hAsa--virAji--vaktrAm /
   śrī-nandanandana-puro jala-sevanāḍhyāṃ	SrI-nanda-nandana-puras jala--sevana-AXyAm
   sad-bhūṣaṇāvali-yutāṃ ca bhaje sudevīm // GGS_293 //	sat--BUzaNa-Avali--yutAm ca Baje sudevIm // GGS_293 //
   kuñjo 'sti rūpollāsākhyo lalitā-kuñjakottare /	kuQjaH asti rUpollAsa-AKyaH lalitA--kuQjaka-uttare /
   sadā tiṣṭhati tatraiva suśobhā rūpa-mañjarī // GGS_294 //	sadA tizWati tatra-eva su-SoBA rUpa-maQjarI // GGS_294 //
   priya-narma-sakhī-mukhyā sundarī rūpa-mañjarī /	priya-narma-saKI-muKyA sundarI rUpa-maQjarI /
   gorocanā-samāṅga-śrīḥ keki-patrāṃśuka-priyā // GGS_295 //	gorocanA--sama-aFga--SrIH keki--patra-aMSu-ka-priyA // GGS_295 //
   sārdha-tridaśa-varṣāsau (13-6) vāma-madhyātvam āśritā /	sArDa-tridaSa--varza-asO (13-6) vAma-maDyAtvam ASritAH /
   raṅgaṇa-mālikā ceti pravadanti manīṣiṇaḥ // GGS_296 //	raFgaNa-mAlikA ca-iti pravadanti manIziNaH // GGS_296 //
   iyaṃ lavaṅga-mañjaryā ekenāhnā kanīyasī /	iyam lavaFga-maQjaryA ekena-ahnA kanIyasI /
   kalau gaura-rase rūpa-gosvāmitvaṃ samāgatā // GGS_297 //	kalO gOra--rase rUpa-gosvAmi-tvam samAgatAH // GGS_297 //
   asyā mantroddhāro yathā kiśorī-tantre--	asyAH mantra-udDAraH yaTA kiSorI-tantre--
   śrī-bījena samāyuktā ṅe 'ntā vai rūpa-mañjarī /	SrI--bIjena samAyuktA Fe antA vE rUpa-maQjarI /
   ayam aṣṭākṣaro rūpa-mañjaryā mantra īritaḥ // GGS_298 //	ayam azwa-akzaraH rUpa-maQjaryAH mantraH IritaH // GGS_298 //
   mantro yathā--śrīṃ rūpa-mañjaryai svāhā /	mantraH yaTA--SrIm rUpa-maQjaryE svAhA /
   asyā dhyānaṃ yathā tatraiva--	asyAH DyAnam yaTA tatra-eva--
   gorocanā-nindi-nijāṅga-kāntiṃ	gorocanA-nindi--nija-aFga-kAntim
   māyūra-piñchābha-sucīna-vastrām /	mAyUra--piQCa-ABa--su-cIna--vastrAm /
   śrī-rādhikā-pāda-saroja-dāsīṃ	SrI-rADikA--pAda--saroja--dAsIm
   rūpākhyakāṃ mañjarikāṃ bhaje 'ham // GGS_299 //	rUpa-AKyakAm maQjarikAm Baje aham // GGS_299 //
   ratyambujākhyaḥ kuñjo 'sti indulekhā-kuñja-dakṣiṇe /	ratyambuja-AKyaH kuQjaH asti indu-leKA--kuQja--dakziNe /
   tatraiva tiṣṭhati sadā surūpā rati-mañjarī // GGS_300 //	tatra-eva tizWati sadA surUpA rati-maQjarI // GGS_300 //
   tārāvalī-dukūleyaṃ taḍit-tulya-tanu-cchaviḥ /	tArAvalI--dukUlA-iyam taxit--tulya--tanu-=-CaviH /
   dakṣiṇā mṛdvīkā khyātā tulasīti vadanti yām // GGS_301 //	dakziNA mRdvIkA KyAtA tulasi-iti vadanti yAm // GGS_301 //
   asyā vayo dvi-māsāḍhya-hāyanās tu trayodaśa (13-2) /	asyAH vayaH dvi-mAsa-AXya--hAyanAH tu trayodaSa (13-2) /
   iyaṃ śrī-raghunāthākhyāṃ prāptā gaura-rase kalau // GGS_302 //	iyam SrI-raGu-nATa-AKyAm prAptAH gOra--rase kalO // GGS_302 //
   asyā mantroddhāro yathā kiśorī-tantre--	asyAH mantra-udDAraH yaTA kiSorI-tantre--
   nāda-bindu-yuto vahnir mukha-vṛtta-samanvitaḥ /	nAda-bindu--yutaH vahniH muKa--vRtta--samanvitaH /
   svāhāntā mañjarī ṅe 'ntā rati-mañjarikā-manuḥ // GGS_303 //	svAhA-antA maQjarI Fe antAH rati-maQjarikA-manuH // GGS_303 //
   mantro yathā--rāṃ rati-mañjaryai svāhā	mantraH yaTA--rAm rati-maQjaryE svAhA
   asyā dhyānaṃ yathā tatraiva--	asyAH DyAnam yaTA tatra-eva--
   tārālivāso-yugalaṃ vasānāṃ	tArAli-vAso--yugalam vasAnAm
   taḍit-samāna-svatanu-cchaviṃ ca /	taxit--samAna--sva-tanu-=-Cavim ca /
   śrī-rādhikāyā nikaṭe vasantīṃ	SrI-rADikAyAH nikawe vasantIm
   bhaje surūpāṃ rati-mañjarīṃ tām // GGS_304 //	Baje surUpAm rati-maQjarIm tAm // GGS_304 //
   kuñjasya tuṅgavidyāyāḥ kuñjaḥ pūrvatra vartate /	kuQjasya tuFga-vidyAyAH kuQjaH pUrvatra vartate /
   lavaṅga-sukhado nāmnā sudṛśāṃ sumanoharaḥ // GGS_305 //	lavaFga--suKa-daH nAmnA sudRSAm su-manoharaH // GGS_305 //
   lavaṅga-mañjarī tatra mudā tiṣṭhati sarvadā /	lavaFga-maQjarI tatra mudA tizWati sarvadA /
   sā tu rūpākhya-mañjaryā ekenāhnā varīyasī // GGS_306 //	sA tu rUpa-AKya-maQjaryA ekena-ahnA varIyasI // GGS_306 //
   udyad-vidyut-samāna-śrīs tārāvalī-paṭāvṛtā /	udyad-vidyut--samAna--SrIH tArAvalI--pawa-AvRtA /
   śrī-kṛṣṇānandadā nityaṃ dakṣiṇā mṛdvikā matā // GGS_307 //	SrI--kRzNA-Ananda-dA nityam dakziNA mRdvikA matAH // GGS_307 //
   vaya eka-dinaṃ sārdha-hāyanās tu trayodaśa (13-6-1) /	vayaH eka-dinam sArDa--hAyanAH tu trayodaSa (13-6-1) /
   śrī-sanātana-nāmāsau khyātā gaura-rase kalau // GGS_308 //	SrI--sanAtana--nAmA-asO KyAtAH gOra--rase kalO // GGS_308 //
   asyā mantroddhāro yathā kiśorī-tantre--	asyAH mantra-udDAraH yaTA kiSorI-tantre--
   śrī-līlābhyāṃ samāyuktā	SrI--lIlAByAm samAyuktA
   ṅe 'ntā lavaṅga-mañjarī /	Fe antA lavaFga-maQjarI /
   svāhā lavaṅga-mañjaryā	svAhA lavaFga-maQjaryA
   mantro 'yaṃ daśa-varṇakaḥ // GGS_309 //	mantraH ayam daSa-varNakaH // GGS_309 //
   mantro yathā--śrīṃ lāṃ lavaṅga-mañjaryai svāhā	mantraH yaTA--SrIm lAm lavaFga-maQjaryE svAhA
   asyā dhyānaṃ yathā tatraiva--	asyAH DyAnam yaTA tatra-eva--
   capalā-dyuti-nindi-kāntikāṃ	capalA--dyuti--nindi--kAntikAm
   śubha-tārāvali-śobhitāmbarām /	SuBa-tAra-Avali--SoBita-ambarAm /
   vraja-rāja-suta-pramodinīṃ	vraja-rAja--suta--pramodinIm
   prabhaje tāṃ ca lavaṅga-mañjarīm // GGS_310 //	praBaje tAm ca lavaFga--maQjarIm // GGS_310 //
   rasānanda-prado nāmnā citrā-kuñjasya paścime /	rasAnanda-pradaH nAmnA citrA-kuQjasya paScime /
   kuñjo 'sti tatra vasati sarvadā rasa-mañjarī // GGS_311 //	kuQjaH asti tatra vasati sarvadA rasa-maQjarI // GGS_311 //
   śrī-rūpa-mañjarī-samyag-jivātu sā prakīrtitā /	SrI--rUpa-maQjarI--samyak--jivAtu sA prakIrtitA /
   haṃsa-pakṣa-dukūleyaṃ phulla-campaka-kānti-bhāk // GGS_312 //	haMsa-pakza--dukUlA-iyam Pulla-campaka-kAnti--BAj // GGS_312 //
   lavaṅga-mañjarī-tulyā prāyeṇa guṇa-sampadā /	lavaFga-maQjarI--tulyA prAyeNa guNa--sampadA /
   atīva priyatāṃ prāptā śrī-rūpa-mañjarī-śritā // GGS_313 //	atIva priya-tAm prAptA SrI--rUpa--maQjarI--SritAH // GGS_313 //
   sandhāna-caturā seyaṃ dautye kauśalam āgatā /	sanDAna--caturA sA-iyam dOtye kOSalam AgatAH /
   trayodaśa-śarad-yuktā (13) dakṣiṇā mṛdvikā matā // GGS_314 //	trayodaSa--Sarad--yuktA (13) dakziNA mRdvikA matAH // GGS_314 //
   sā kalau raghunāthākhyā-yukta-bhaṭṭatvam āgatā // GGS_315 //	sA kalO raGunATa-AKyA--yukta-Bawwa-tvam AgatAH // GGS_315 //
   asyā mantroddhāro yathā kiśorī-tantre--	asyAH mantra-udDAraH yaTA kiSorI-tantre--
   mukha-vṛtta-yuto vahni-nāda-bindu-samanvitaḥ /	muKa--vRtta--yutaH vahni-nAda--bindu--samanvitaH /
   svāhānta-sampradānānto mantro vai rasa-mañjarī // GGS_316 //	svAhA-anta--sampradAna-antaH mantraH vE rasa-maQjarI // GGS_316 //
   mantro yathā--rāṃ rasa-mañjaryai svāhā /	mantraH yaTA--rAm rasa--maQjaryE svAhA /
   asyā dhyānaṃ yathā tatraiva--	asyAH DyAnam yaTA tatra-eva--
   haṃsa-pakṣa-rucireṇa vāsasā	haMsa-pakza--rucireNa vAsasA
   saṃyutāṃ vikaca-campaka-dyutim /	saMyutAm vikaca-campaka-dyutim /
   cāru-rūpa-guṇa-sampadānvitāṃ	cAru-rUpa-guNa--sampadA-anvitAm
   sarvadāpi rasa-mañjarīṃ bhaje // GGS_317 //	sarvadA-api rasa--maQjarIm Baje // GGS_317 //
   aiśānye campakalatā-kuñjāt kuñjo 'sti śobhanaḥ /	ESAnye campakalatA-kuQjAt kuQjaH asti SoBanaH /
   guṇānanda-prado nāmnā tatrāste guṇa-mañjarī // GGS_318 //	guNa-Ananda-pradaH nAmnA tatra-Aste guNa--maQjarI // GGS_318 //
   rūpa-mañjarikā-saukhyābhilāṣā sā prakīrtitā /	rUpa-maQjarikA--sOKya-aBilAzA sA prakIrtitA /
   jabā-rāji-dukūleyaṃ taḍit-prakara-kānti-bhāk // GGS_319 //	jabA-rAji--dukUlA-iyam taxit--prakara--kAnti--BAj // GGS_319 //
   kaniṣṭheyaṃ bhavet tasyās tulasyās tu tribhir dinaiḥ /	kanizWA-iyam Bavet tasyAH tulasyAH tu triBiH dinEH /
   śrī-kṛṣṇāmoda-dākṣiṇyam āśritā prakharoditā // GGS_320 //	SrI--kRzNA-moda--dAkziNyam ASritA praKara-uditAH // GGS_320 //
   vayo 'syā eka-māsāḍhyā hāyanās tu trayodaśa /	vayaH asyAH eka-mAsa-AXyAH hAyanAH tu trayodaSa /
   sapta-viṃśatibhir yuktaṃ dinaiś ca samudīritam (13-1-27) // GGS_321 //	sapta-viMSatiBiH yuktam dinEH ca samudIritam (13-1-27) // GGS_321 //
   gopāla-bhaṭṭa-nāmāsau khyātā gaura-rase kalau // GGS_322 //	gopAla-Bawwa--nAmA-asO KyAtAH gOra--rase kalO // GGS_322 //
   asyā mantroddhāro yathā kiśorī-tantre--	asyAH mantra-udDAraH yaTA kiSorI-tantre--
   gaṇeśo mukha-vṛttāḍhyo nāda-bindu-samanvitaḥ /	gaNeSaH muKa--vRtta-AXyaH nAda--bindu--samanvitaH /
   ṅe 'ntā vahni-priyāntā ca mantro vai guṇa-mañjarī // GGS_323 //	Fe antA vahni-priya-antA ca mantraH vE guNa-maQjarI // GGS_323 //
   mantro yathā--gāṃ guṇa-mañjaryai svāhā	mantraH yaTA--gAm guNa--maQjaryE svAhA
   asyā dhyānaṃ yathā tatraiva--	asyAH DyAnam yaTA tatra-eva--
   jabā-nibha-dukūlāḍhyāṃ taḍid-āli-tanu-cchavim /	jabA--niBa--dukUla-AXyAm taxit--A-ali-tanu-=-Cavim /
   kṛṣṇāmoda-kṛtāpekṣāṃ bhaje 'haṃ guṇa-mañjarīm // GGS_324 //	kRzNAmoda--kRta-apekzAm Baje aham guNa--maQjarIm // GGS_324 //
   līlānanda-prado nāmnā sudevyāḥ kuñjakottare /	lIlA-Ananda--pradaH nAmnA sudevyAH kuQjaka-uttare /
   tatraiva tiṣṭhati sadā mañjulālī sumañjarī // GGS_325 //	tatra-eva tizWati sadA maQjulAlI sumaQjarI // GGS_325 //
   rūpa-mañjarikā-sakhya-prāyā sā guṇa-sampadā /	rUpa-maQjarikA-saKya--prAyA sA guNa--sampadA /
   jabā-rāji-dukūleyaṃ tapta-hema-tanu-cchaviḥ // GGS_326 //	jabA-rAji--dukUlA-iyam tapta--hema--tanu-=-CaviH // GGS_326 //
   līlā-mañjarī nāmāsyā vāma-madhyātvam āśritā /	lIlA-maQjarI nAma-asyAH vAma-maDyAtvam ASritAH /
   vayaḥ-saptāha-yuktāsau sārdha-tridaśa-hāyanā (13-6-7) // GGS_327 //	vayaH-sapta-aha--yuktA-asO sArDa-tridaSa-hAyanAH (13-6-7) // GGS_327 //
   kalau gaura-rase loka-nātha-gosvāmitāṃ gatā // GGS_328 //	kalO gOra--rase loka-nATa-gosvAmitAm gatAH // GGS_328 //
   asyā mantroddhāro yathā kiśorī-tantre--	asyAH mantra-udDAraH yaTA kiSorI-tantre--
   lakṣmī-yuktā mañjulālī mañjarī vahni-jāyikā /	lakzmI-yuktA maQjulAlI maQjarI vahni-jAyikA /
   caturthyantā bhaven mantro daśārṇaḥ khalu kathyate // GGS_329 //	caturTI-antA Bavet mantraH daSArNaH Kalu kaTyate // GGS_329 //
   mantro yathā--śrīṃ mañjulālī-mañjaryai svāhā	mantraH yaTA--SrIm maQjula-AlI--maQjaryE svAhA
   asyā dhyānaṃ yathā tatraiva--	asyAH DyAnam yaTA tatra-eva--
   pratapta-hemāṅga-ruciṃ manojñāṃ	pratapta--hema-aFga-rucim manojQAm
   śoṇāmbarāṃ cāru-subhūṣaṇāḍhyām /	SoNa-ambarAm cAru--su-BUzaNa-AXyAm /
   śrī-rādhikā-pāda-saroja-dāsīṃ	SrI-rADikA--pAda--saroja--dAsIm
   tāṃ mañjulālīṃ niyataṃ bhajāmi // GGS_330 //	tAm maQjulAlIm niyatam BajAmi // GGS_330 //
   vaiśākha-kuñjād āgneye kuñjo 'sti sumanoharaḥ	vESAKa-kuQjAt Agneye kuQjaH asti su-manoharaH
   vilāsānandado nāmnā-trāste vilāsa-mañjarī // GGS_331 //	vilAsa-Ananda-daH nAmnA-A-trAste vilAsa--maQjarI // GGS_331 //
   vilāsa-mañjarī rūpa-mañjarī-sakhyam āśritā /	vilAsa--maQjarI rUpa-maQjarI--saKyam ASritAH /
   svakāntyā sadṛśīṃ cakre yā divyāṃ svarṇa-ketakīm // GGS_332 //	sva-kAntyA sadRSIm cakre yA divyAm svarNa-ketakIm // GGS_332 //
   cañcarīka-dukūleyaṃ vāmā mṛdvītvam āśritā	caQcarIka-du-kUlA-iyam vAmA mRdvI-tvam ASritA
   kaniṣṭhā rasa-mañjaryāś caturbhir divasair iyam (12-11-26) // GGS_333 //	kanizWAH rasa--maQjaryAH caturBiH divasEH iyam (12-11-26) // GGS_333 //
   jīva-gosvāmitāṃ prāptā kalau gaura-rase tv asau // GGS_334 //	jIva-gosvAmitAm prAptA kalO gOra--rase tu asO // GGS_334 //
   asyā mantroddhāro yathā kiśorī-tantre--	asyAH mantra-udDAraH yaTA kiSorI-tantre--
   śriyā pracetasā caiva nāda-bindv āsya-vṛtta-gā /	SriyA pracetasA ca-eva nAda--bindu Asya--vRtta-gAH /
   vilāsa-mañjarī ṅe 'ntā svāhānto manur īritaḥ // GGS_335 //	vilAsa--maQjarI Fe antA svAhA-antaH manuH IritaH // GGS_335 //
   mantro yathā--śrīṃ vāṃ vilāsa-mañjaryai svāhā	mantraH yaTA--SrIm vAm vilAsa--maQjaryE svAhA
   asyā dhyānaṃ yathā tatraiva--	asyAH DyAnam yaTA tatra-eva--
   svarṇa-ketaka-vinindi-kāyakāṃ	svarNa--ketaka-vinindi--kAyakAn
   nindita-bhramara-kāntikāmbarām /	nindita--Bramara--kAntika-ambarAm /
   kṛṣṇa-pāda-kamalopasevanīm	kRzNa--pAda--kamala-upasevanIm
   arcayāmi suvilāsa-mañjarīm // GGS_336 //	arcayAmi su-vilAsa--maQjarIm // GGS_336 //
   nairṛte śrī-raṅgadevī-kuñjāt kuñjo 'sti paścimaḥ /	nErRte SrI-raFga-devI--kuQjAt kuQjaH asti paScimaH /
   kaustūryānandado nāmnā tatrāste kaustūrī-mañjarī // GGS_337 //	kOstUrya-Ananda-daH nAmnA tatra-Aste kOstUrI--maQjarI // GGS_337 //
   kāca-tulyāmbarā cāsau śuddha-hemāṅga-kānti-bhāk /	kAca-tulya-ambarA ca-asO SudDa--hema-aFga-kAnti--BAj /
   vayas tridaśa-varṣāsau vāmā mṛdvītvam āśritā // GGS_338 //	vayaH tridaSa--varzA-asO vAmA mRdvI-tvam ASritAH // GGS_338 //
   śrī-kṛṣṇa-kavirājākhyāṃ prāptā gaura-rase kalau // GGS_339 //	SrI--kRzNa-kavi-rAja-AKyAm prAptAH gOra--rase kalO // GGS_339 //
   asyā mantroddhāro yathā kiśorī-tantre--	asyAH mantra-udDAraH yaTA kiSorI-tantre--
   śrī-bījena samāyuktā ṅe 'ntā kaustūrī-mañjarī /	SrI--bIjena samAyuktA Fe antA kOstUrI--maQjarI /
   svāhānta iti vai prokto navārṇa-mantra ucyate // GGS_340 //	svAhA-antaH iti vE proktaH navArNa-mantraH ucyate // GGS_340 //
   mantro yathā --śrīṃ kastūrī-mañjaryai svāhā /	mantraH yaTA --SrIm kastUrI--maQjaryE svAhA /
   asyā dhyānaṃ yathā tatraiva--	asyAH DyAnam yaTA tatra-eva--
   viśuddha-hemābja-kalevarābhāṃ	viSudDa--hema-abja--kalevara-ABAm
   kāca-dyuti-cāru-manojña-celām /	kAca-dyuti--cAru--manojQa--celAm /
   śrī-rādhikāyā nikaṭe vasantīṃ	SrI-rADikAyAH nikawe vasantIm
   bhajāmy ahaṃ kaustūrī-mañjarikām // GGS_341 //	BajAmi aham kOstUrI--maQjarikAm // GGS_341 //
   atha vṛndāvanādhīśau padma-keśara-madhya-gau /	aTa vRndAvana-aDISO padma-keSara--maDya-gO /
   koṭi-kandarpa-lāvaṇyau dhyāyet priya-sakhī-vṛtau // GGS_342 //	kowi--kandarpa-lAvaNyO DyAyet priya--saKI-vRtO // GGS_342 //
   ukta-veśa-vayo-rūpa-saṃyutau sumanoharau /	ukta--veSa--vayo--rUpa--saMyutO su-manoharO /
   saṃsmaret siddha-dehena sādhakaḥ sādhanair yutaḥ // GGS_343 //	saMsmaret sidDa--dehena sADakaH sADanEH yutaH // GGS_343 //
   tatrādau mañjarī-rūpān gurvādīn tu svīyān svīyān praṇāly-anusāreṇa	tatra-AdO maQjarI--rUpAn guru-AdIn tu svIyAn svIyAn praNAly-anusAreNa
   saṃsmaret śrī-guru-parama-guru-krameṇeti tataḥ śrī-rādhikāṃ dhyāyet /	saMsmaret SrI--guru--parama--guru-krameNa-iti tatas SrI-rADikAm DyAyet /
   tataḥ śrī-nandanandanam /	tatas SrI-nanda-nandanam /
   atha yugala-mantroddhāro yathā sanat-kumāra-saṃhitāyām--	aTa yugala-mantra-udDAraH yaTA sanat-kumAra--saMhitAyAm--
   gopījana-vallabheti caraṇān iti ca kramāt /	gopI-jana--vallaBa-iti caraNAn iti ca kramAt /
   śaraṇaṃ ca prapadye ca tata etat pada-dvayam // GGS_344 //	SaraNam ca prapadye ca tatas etat pada--dvayam // GGS_344 //
   pada-trayātmako mantraḥ ṣoḍaśārṇa udāhṛtaḥ /	pada-traya-AtmakaH mantraH zoxaSa-arNaH udAhRtaH /
   namo gopījanety uktvā vallabhābhyāṃ vadet tataḥ /	namaH gopIjana-iti uktvA vallaBAByAm vadet tatas /
   pada-dvayātmako mantro daśārṇaḥ khalu kathyate // GGS_345 //	pada--dvaya-AtmakaH mantraH daSArNaH Kalu kaTyate // GGS_345 //
   mantro yathā--gāṃ gopījana-vallabha-caraṇān śaraṇaṃ prapadye,	mantraH yaTA--gAm gopI-jana--vallaBa-caraNAn SaraNam prapadye,
   namo gopījana-vallabhābhyām /	namaH gopI-jana--vallaBAByAm /
   asya dhyānaṃ yathā tatraiva--	asya DyAnam yaTA tatra-eva--
   atha dhyānaṃ pravakṣyāmi mantrasyāsya dvijottama /	aTa DyAnam pravakzyAmi mantrasya-asya dvijottamaH /
   pītāmbaraṃ ghana-śyāmaṃ dvi-bhujaṃ vana-mālinam // GGS_346 //	pIta-ambaram Gana-SyAmam dvi-Bujam vana-mAlinam // GGS_346 //
   barhi-barha-kṛtāpīśaṃ śaśi-koṭi-nibhānanam /	barhi-barha--kRta-api-ISam SaSi--kowi-niBa-Ananam /
   ghūrṇāyamāna-nayanaṃ karṇikārāvataṃsinam // GGS_347 //	GUrNAyamAna--nayanam karNikArAvataMsinam // GGS_347 //
   abhitaś candanenātha madhye kuṅkuma-bindunā /	aBitas candanena-aTa maDye kuFkuma--bindunA /
   vicitra-tilakaṃ bhāle vibhṛtaṃ maṇḍalākṛtim // GGS_348 //	vicitra-tilakam BAle viBRtam maNxala-AkRtim // GGS_348 //
   taruṇāditya-saṅkāśa-kuṇḍalābhyāṃ virājitam /	taruNa-Aditya--saFkASa--kuNxalAByAm virAjitam /
   gharmāmbu-kaṇikā-rājad-darpaṇābha-kapolakam // GGS_349 //	Garma-ambu--kaNikA-rAjat--darpaNa-ABa-kapolakam // GGS_349 //
   priyā-mukhe kṛtāpāṅga-līlayā connata-bhruvam /	priyA--muKe kRta-apAFga--lIlayA ca-unnata--Bruvam /
   agra-bhāga-lasan-muktā-sphurad-ucca-sunāsikam // GGS_350 //	agra-BAga--lasan-muktA--sPurat--ucca-su-nAsikam // GGS_350 //
   daśana-jyotsnayā rājat-pakva-bimba-phalādharam /	daSana--jyA-utsnayA rAjat-pa-kva--bimba--Pala-aDaram /
   keyūrāṅgada-sad-ratna-mudrikādi-lasat-karam // GGS_351 //	keyUra-aFgada--sad-ratna--mudrikA-Adi--la-sat-karam // GGS_351 //
   vibhṛtaṃ muralīṃ vāme pāṇau padmaṃ tathottare /	viBRtam muralIm vAme pANO padmam taTA-uttare /
   kāñcī-dāma-sphuran-madhyaṃ nūpurābhyāṃ lasat-padam // GGS_352 //	kAQcI-dAma--sPuran--maDyam nUpurAByAm lasat-padam // GGS_352 //
   rati-keli-rasāveśa-capalaṃ capalekṣaṇam /	rati--keli--rasa-AveSa--capalam capala-IkzaNam /
   hasantaṃ priyayā sārdhaṃ hāsayantaṃ ca tāṃ muhuḥ // GGS_353 //	hasantam priyayA sArDam hAsayantam ca tAm muhur // GGS_353 //
   itthaṃ kalpa-taror-mūle ratna-siṃhāsanopari /	itTam kalpa--taror-mUle ratna--siMhAsana-upari /
   vṛndāraṇye smaret kṛṣṇaṃ saṃsthitaṃ priyayā saha // GGS_354 //	vRnda-araNye smaret kRzNam saMsTitam priyayA saha // GGS_354 //
   vāma-pārśve sthitāṃ tasya rādhikāṃ ca smaret tataḥ /	vAma-pArSve sTitAm tasya rADikAm ca smaret tatas /
   sucīna-nīla-vasanāṃ druta-hema-sama-prabhām // GGS_355 //	su-cIna--nIla--vasanAm druta--hema--sama--praBAm // GGS_355 //
   paṭāñcalenāvṛtāṅgāṃ sa-smitānana-paṅkajām /	pawa-aQcalena-AvRta-aFgAm sa--smita-Anana--paFkajAm /
   kānta-vaktre nyasta-nṛtyac-cakorīṃ cañcalekṣaṇām // GGS_356 //	kAnta--vaktre nyasta-nRtya-c-cakorIm caQcala-IkzaNAm // GGS_356 //
   aṅguṣṭha-tarjjanībhyāṃ ca nija-priya-mukhāmbuje /	aFguzWa--tarjjanIByAm ca nija--priya--muKa-ambuje /
   arpayantīṃ nāga-vallīṃ pūga-cūrṇa-samanvitām // GGS_357 //	arpayantIm nAga-vallIm pUga-cUrNa--samanvitAm // GGS_357 //
   muktāhāra-sphurac-cāru-pīnonnata-payodharām /	muktA-hAra--sPura-c-cAru--pIna-unnata--payoDarAm /
   kṣīṇa-madhyāṃ pṛthu-śroṇiṃ kiṅkiṇī-jāla-maṇḍitām // GGS_358 //	kzINa--maDyAm pRTu--SroNim kiFkiNI--jAla--maNxitAm // GGS_358 //
   ratna-tāḍaṅka-mañjīra-ratna-pādāṅgulīyakām /	ratna--tAxaFka--maQjIra--ratna--pAda-aFgulIyakAm /
   lāvaṇya-sāra-mugdhāṅgīṃ sarvāvayava-sundarīm // GGS_359 //	lAvaNya--sAra--mugDa-aFgIm sarva-avayava-sundarIm // GGS_359 //
   ānanda-rasa-sammagnāṃ prasannāṃ nava-yauvanam /	Ananda-rasa--sammagnAm prasannAm nava--yOvanam /
   sakhyaś ca tasyā viprendra tat-samāna-vayo-guṇāḥ /	saKyaH ca tasyAH vipra-indra tat-samAna--vayo--guNAH /
   tat-sevana-parā bhāvyāś cāmara-vyajanādibhiḥ // GGS_360 //	tat-sevana--parAH BAvyAH cAmara--vyajana-AdiBiH // GGS_360 //
   atha ca--	aTa ca--
   dīvyad-vṛndāraṇya-kalpa-drumādhaḥ-	dIvyat---vRnda-araNya--kalpa-druma-aDas--
   śrīmad-ratnāgāra-siṃhāsana-sthau /	SrI-mat--ratna-AgAra--siMhAsana---sTO /
   śrīmad-rādhā-śrīla-govinda-devau	SrImat--rADA--SrIla--govinda-devO
   preṣṭhālībhiḥ sevyamānau smarāmi // GGS_361 //	prezWAlIBiH sevyamAnO smarAmi // GGS_361 //
   smared evaṃ krameṇaiva siddha-dehena sādhakaḥ /	smaret evam krameNa-eva sidDa--dehena sADakaH /
   sa-sādhanena padmasya vrajeśau keśara-sthitau // GGS_362 //	sa--sADanena padmasya vraja-ISO keSara--sTitO // GGS_362 //
