   atha prathamaḥ paṭalaḥ	aTa praTamaH pawalaH
   ityādividhināgniṃ pratiṣṭhāpya, tatraiva yasyāṃ śālāyāṃ kanyā'ste tāṃ	ityAdi viDinA agnim pratizWApya, tatra eva yasyAm SAlAyAm kanyA aste tAm
   gatvā madhuparka pratigṛhṇāti yathārha yathāvidhi /	gatvA maDuparka pratigRhNAti yaTArha yaTAviDi /
   evameva varāpacito 'pi //2//	evam eva vara apacitaH api //2//
   anantaraṃ varaḥ kiṃ kuryādityatrāha  	anantaram varaH kim kuryAt iti atra Aha  
   2. kanyāyāḥ samīkṣaṇam /	2. kanyAyAH samIkzaNam /
   svayaṃ dṛṣṭvā tṛtīyāṃ japet // ĀpGs_4.3 //	svayam dRzwvA tRtIyAm japet // ĀpGs_4.3 //
   COMMENTARIES:	COMMENTARIES:
   ĀpGs Anā_4.3:	ĀpGs AnAH _4.3:
   tato vivāhe niścite pūrvedyurnāndīśrāddhaṃ kṛtvā paredyurbraahmaṇān	tatas vivAhe niScite pUrvedyus nAndI SrAdDam kRtvA paredyus braahmaNAn
   bhojayitvāśiṣo vācayitvā varo vadhūkulaṃ gacchati /	BojayitvA ASizaH vAcayitvA varaH vaDU kulam gacCati /
   tasmai kūrcadānādi bhojanāntaṃ madhuparka datvā kanyāṃ	tasmE kUrcadAna Adi Bojana antam maDuparka datvA kanyAm
   pratipādayati tubhyamimāṃ prajāsahatvakarmabhyaḥ pratipādayāmīti /	pratipAdayati tuByam imAm prajA sahatva karmaByaH pratipAdayAmi iti /
   tatastāṃ varaḥ svayaṃ dṛṣṭvā tṛtīyāmṛcaṃ japet	tatas tAm varaH svayam dRzwvA tRtIyAm Rcam japet 
   abhrātṛghnīmityetām /	aBrAtR GnIm iti etAm /
   svayamityanucyamāne varaṃ dṛṣṭvetyarthaḥ syāt prakṛtatvāt /	svayam iti anucyamAne varam dRzwvA iti arTaH syAt prakRta tvAt /
   svayaṃ grahaṇāttu kanyāṃ dṛṣṭvatyartho bhavati /	svayam grahaNAt tu kanyAm dRzwu ati arTaH Bavati /
   tatra brāhme vivāha udakapūrva pratipādanam /	tatra brAhme vivAhaH udaka pUrva pratipAdanam /
   gāndharvarākṣasayostu naiva pratipādanam //3//	gAnDarva rAkzasayoH tu na eva pratipAdanam //3//
   ĀpGs Tāt_4.3:	ĀpGs TAt _4.3:
   varaḥsvayaṃkanyāma dṛṣṭvā 'abrātṛghnīm'ititṛtīyāṃ ṛcaṃjapet /	varaH svayaMka nyAma dRzwvA aabrAtR GnIm aititRtIyAm RcaMjapet /
   dṛṣṭvai vacakṣuṣī upasaṃharati /	dRzwvE vacakzuzI upasaMharati /
   japaśca sarvatra cātussvaryeṇa;natu karaṇamantrādivadekaśrutyā /	japaH ca sarvatra cAtussvaryeNa;natu karaNa mantra Adi vat eka SrutyA /
   'ekaśruti dūrātsambuddhau'(pā.sū.1 2 33)	aeka Sruti dUrAt sambudDO a(pA. sU.1 2 33)
   'yajñakarmaṇyajapanyūkhasāmasu'(pā.sū.1 2 34) iti vacanāt /	ayajQa karmaNi ajapanyUKasAmasu a(pA. sU.1 2 34) iti vacanAt /
   atra ca svayamiti viśeṣamaṃ varayitṝmāṃ prakṛtānāmayaṃ japo mā bhūditi /	atra ca svayam iti viSezamam varayitLmAm prakRtAnAm ayam japaH mA BUt iti /
   kecit  svayaṃ vadhūmeva dṛṣṭvā japet ;na tu varāniti /	kecit svayam vaDUm eva dRzwvA japet ;na tu varAn iti /
   svayaṃ dṛṣṭvetyādi ca sarvavivāhānāmavikṛtam //3//	svayam dRzwvA ityAdi ca sarva vivAhAnAm avikRtam //3//
   caturthyā samīkṣeta // ĀpGs_4.4 //	caturTyA samIkzeta // ĀpGs_4.4 //
   COMMENTARIES:	COMMENTARIES:
   ĀpGs Anā_4.4:	ĀpGs AnAH _4.4:
   avayavaśa īkṣaṇaṃsamīkṣaṇam /	avayavaSas IkzaNaMsam IkzaNam /
   aghoracakṣurityeṣā caturthīṃ //4//	aGora cakzuH iti ezA caturTIm //4//
   ĀpGs Tāt_4.4:	ĀpGs TAt _4.4:
   'aghoracakṣuḥ'ityanayā samīkṣeta /	aaGora cakzuH aiti anayA samIkzeta /
   vadhvā dṛṣṭvo svadṛṣṭiṃ nipātayati, aghoracakṣurapighnyedhīti mantrāliṅgāt	vaDvAH dRzwvo sva dRzwim nipAtayati, aGora cakzuH apiGnyeDi iti mantra AliFgAt 
   kecit samīkṣeta avayavaśo nirīkṣeteti /	kecit  samIkzeta avayavaSas nirIkzeta iti /
   atra varo vadhūśca darmeṣvāsīnaudarbhān dhārayamāṇau kṛtaprāṇāyāmau	atra varaH vaDUH ca darmezu AsInOdarBAn DArayamANO kRta prANAyAmO
   saṅkalpayete  āvābhyāṃ karmāṇi kartavyāni, prajāścotpādayitavyāṃ iti // 4	saFkalpayete AvAByAm karmANi kartavyAni, prajAH ca utpAdayitavyAM iti // 4
   3. tasyāḥ bhruvorantare sammārjanam /	3. tasyAH BruvoH antare sammArjanam /
   aṅguṣṭhenopamadhyamayā cāṅgulyā darbhaṃ saṃgṛhyottareṇa yajuṣā tasyā	aFguzWena upamaDyamayA ca aFgulyA darBam saMgRhya uttareNa yajuzA tasyAH 
   bhruvorantaraṃ saṃmṛjya pratīcīnaṃ nirasyet // ĀpGs_4.5 //	BruvoH antaram saMmRjya pratIcInam nirasyet // ĀpGs_4.5 //
   COMMENTARIES:	COMMENTARIES:
   ĀpGs Anā_4.5:	ĀpGs AnAH _4.5:
   madhyamāsamīpe va4tata ityupamadhyamā tayāṅgulyā anāmikayetyarthaḥ /	maDyamA samIpe va4tataH iti upamaDyamA tayA aFgulyA anAmikayA iti arTaH /
   bhruvorantaraṃmadhyamittareṇa yajuṣāidamahamityanena /	BruvoH antaraMmaDyam ittareNa yajuzAidam aham iti anena /
   saṃmārjanamantro 'yaṃ na nirasanamantraḥ /	saMmArjana mantraH ayam na nirasana mantraH /
   pratīcīnaṃpratyaggatam /	pratIcInaMpratyak gatam /
   uparyupari śiro nirasyet /	upari upari SiraH nirasyet /
   tata udakopasparśanaṃ aṅguṣṭhasāhacaryādupamadhyamayeti viśeṣaṇādeva	tatas udaka upasparSanam aFguzWa sAhacaryAt upamaDyamayA iti viSezaNAt eva
   siddhe aṅgulyeti viśeṣyanirdeśo vispaṣṭārtham /	sidDe aFgulyA iti viSezya nirdeSaH vispazwa arTam /
   yajuṣeti viśeṣaṇaṃ uttareṇeti digvācitāśaṅkā mā bhūditi //5//	yajuzA iti viSezaNam uttareNa iti digvAcita ASaFkA mA BUt iti //5//
   ĀpGs Tāt_4.5:	ĀpGs TAt _4.5:
   upamadhyamāupakaniṣṭhikā, na tu pradeśinī, tasyā visraṃsiketi vyapadeśāt /	upamaDyamAupaka nizWikA, na tu pradeSinI, tasyAH visraMsikA iti vyapadeSAt /
   uttareṇa yajuṣā'idamahaṃ yā tvayi'ityanena /	uttareNa yajuzA aidam aham yA tvayi aiti anena /
   śeṣaṃ vyaktam /	Sezam vyaktam /
   darbha nirasyāpa upaspṛśet //5//	darBa nirasya apaH upaspRSet //5//
   prāpte nimitta uttarāṃ japet // ĀpGs_4.6 //	prApte nimittaH uttarAm japet // ĀpGs_4.6 //
   COMMENTARIES:	COMMENTARIES:
   ĀpGs Anā_4.6:	ĀpGs AnAH _4.6:
   vadhvā svabandhūnāṃ ca rodanaṃnimittaṃ jīvārudantīti liṅgāt /	vaDvA sva banDUnAm ca rodanaMnimittam jIvArudanti iti liFgAt /
   uttarāmṛcaṃ 'jīvārudantī'tyetām, sarvatra samāveśanānte	uttarAm Rcam ajIvArudantI atyetAm, sarvatra samAveSana ante
   vivāhakarmaṇyasminnimitte 'yaṃ japo bhavati /	vivAha karmaNi asmin nimitte ayam japaH Bavati /
   nimittāvṛttau mantra āvartate //6//	nimitta AvRttO mantraH Avartate //6//
   ĀpGs Tāt_4.6:	ĀpGs TAt _4.6:
   jīvāṃrudantī'ti mantraliṅganurūpe nimitte prāpte mātrādibhiḥ kanyakayā vā	jIvAMrudantI ati mantra liFga nurUpe nimitte prApte mAtrA AdiBiH kanyakayA vA
   anyonyaviyogacintayā rodane kṛte imāmṛcaṃ japet //6//	anyonya viyoga cintayA rodane kRte imAm Rcam japet //6//
   4. tasyāḥ snānārthajalāharaṇārtha yugmānāṃ brāhmaṇānāṃ preṣaṇam /	4. tasyAH snAna arTa jala AharaNa arTa yugmAnAm brAhmaNAnAm prezaNam /
   yugmānsamavetān mantravata uttarayādbhyaḥ prahiṇuyāt // ĀpGs_4.7 //	yugmAn samavetAn mantravataH uttarayA adByaH prahiNuyAt // ĀpGs_4.7 //
   COMMENTARIES:	COMMENTARIES:
   ĀpGs Anā_4.7:	ĀpGs AnAH _4.7:
   vadhūsnāpanārthānāmapāmāharaṇaṃuttarayarcā'vyukṣatkrūra'mi tyetayā /	vaDU snApana arTAnAmapAm AharaNaMuttarayarcA avyukzatkrUra ami ti etayA /
   mantravataḥprahiṇuyāt prasthāpayet /	mantravataH prahiNuyAt prasTApayet /
   'tathā maṅgalānī'tyeva siddhe yugmavacanaṃ pañcabhirmantraiḥ snāpanaṃ	ataTA maFgalAnI ati eva sidDe yugma vacanam paQcaBiH mantrEH snApanam
   vakṣyati, tatra pratimantraṃ snāpanāvṛttiḥ /	vakzyati, tatra pratimantram snApana AvRttiH /
   tatra ca snāpanasyāyugmatvāt tadarthānāmudakumbhānāmapyayugmatvaṃ syāt /	tatra ca snApanasya Ayugma tvAt tad arTAnAm uda kumBAnAm api ayugma tvam syAt /
   evamāhartṝṇāṃ brāhmaṇānāmapi /	evam AhartLNAm brAhmaNAnAm api /
   ato yugmānityucyate /	atas yugmAn iti ucyate /
   tena pratimantraṃ kubhbhabheda  pratikubhbhaṃ brāhmaṇabhedaśca siddho	tena pratimantram kuBBa Beda pratikuBBam brAhmaNa BedaH ca sidDaH 
   bhavati /	Bavati /
   tatra yadi catvāraḥ kumbhāḥ caturthena kubbhena caturthapañcamābhyāṃ	tatra yadi catvAraH kumBAH caturTena kubBena caturTa paQcamAByAm
   mantrābhyāmabhiṣekaḥ /	mantrAByAm aBizekaH /
   yadā tvaṣṭau tadā pratimantraṃ pañcabhistūṣṇīmitaraiḥ /	yadA tu azwO tadA pratimantram paQcaBiH tUzNIm itarEH /
   samavetavacanamudakāharaṇe saha pravṛttyartham /	samaveta vacanam udaka AharaNe saha pravRtti arTam /
   mantravata iti brāhmaṇānāṃ grahaṇam,"āsyai brāhmaṇā"iti mantre darśanāt	mantravataH iti brAhmaNAnAm grahaNam ,"A asyE brAhmaNA" iti mantre darSanAt 
   ĀpGs Tāt_4.7:	ĀpGs TAt _4.7:
   yugmān samasaṅkhyākān /	yugmAn sama saFKyAkAn /
   samavetānmantravataiti pūrvavat /	samavetAn mantravatA eti pUrvavat /
   uttarayā'vyukṣatkrūram'ityetayā praiṣatvāduccaiḥ prayuktayādbhyaḥ	uttarayA avyukzat krUram aityetayA prEza tvAt uccEs prayuktayA AdByaH
   prahiṇuyātvadhūsnāpanārthā upa āhartu preṣayet /	prahiNuyAtu aDU snApana arTAH upaH Ahartu prezayet /
   ete ca brāhmamā eva,'āsyai brāhmaṇā'iti mantraliṅgāt /	ete ca brAhmamAH eva, aAsyE brAhmaNA aiti mantra liFgAt /
   te ca brāhmaṇā yāsvapsu puruṣāḥ snānādiṣu pūrva na mṛtāḥ	te ca brAhmaNAH yAsu apsu puruzAH snAna Adizu pUrva na mRtAH
   tābhyastṛṇāvakādyapanīyāpa ānanyanti;'avīraghnīḥ'iti mantraliṅgāt //7//	tAByaH tRNAvaka Adi apanIya apaH Ananyanti; aavIra GnIH aiti mantra liFgAt //7//
   5. tasyāḥ snāpanam, ahatavasradhāraṇaṃ, yoktrasannahanaṃ ca /	5. tasyAH snApanam, ahata vasra DAraNaM, yoktra sannahanam ca /
   uttareṇa yajuṣā tasyāśśirasi darbheṇvaṃ nidhāya tasminnuttarayā dakṣiṇaṃ	uttareNa yajuzA tasyAH Sirasi darBeNvam niDAya tasmin= uttarayA dakziNam
   yugacchidraṃ pratiṣṭhāpya chidre suvarṇamuttarayāntardhāyottarābhiḥ	yuga= Cidram pratizWApya Cidre suvarNam uttarayA antarDAya uttarABiH
   pañcabhissnāpayitvottarayāhatena vāsasā'cchādyottarayā yoktreṇa sannahyati	paQca BiH snApayitvA uttarayA hatena vAsasA acCAdya uttarayA yoktreNa sannahyati
   // ĀpGs_4.8 //	// ĀpGs_4.8 //
   COMMENTARIES:	COMMENTARIES:
   ĀpGs Anā_4.8:	ĀpGs AnAH _4.8:
   tatastairapsvāhṛtāsutasyāvadhvāśiśarasidarbheṇavaṃdarbhaiḥ parikalpitaṃ	tatas tEH apsvAhRta asutasya avaDvASi Sara si darBeNa vaMdarBEH parikalpitam
   maṇḍalaṃuttareṇa yajuṣā'aryamṇo agni'mityanenanidhāya tasminniṇve ittarayā	maNxalaMuttareNa yajuzA aaryamNaH agni amiti anena niDAya tasmin niNve ittarayA
   'khe 'nasa'ityanayā dakṣiṇaṃ yugacchidraṃ dakṣimasyā yugadhuro	aKe anasa aiti anayA dakziNam yuga= Cidram dakzim asyAH yuga DuraH 
   bāhyacchidraṃpratiṣṭhāpya tasminchidre suvarṇamuttarayarcā'śaṃ te	bAhya= CidraMpratizWApya tasmin Cidre suvarNam uttarayarcA aSam te
   hiraṇya'mityetayāntardhāyatābhiradbhistāmuttarābhiḥ	hiraNyaH am iti etayA antarDA AyatABiH adBiH tAm uttarABiH
   pcabhiḥ'hiraṇyavarṇā'ityetābhiḥ pratimantraṃ snāpayati /	pcaBiH ahiraNya varNA aiti etABiH pratimantram snApayati /
   kathaṃ punacchidrasyāntardhānena snāpanaṃ saṃbhavati | tathāntardhānaṃ	kaTam punat Cidrasya antarDAnena snApanam saMBavati | taTA antarDAnam
   kurute yathodakamavasravati /	kurute yaTodakam avasravati /
   tatastāmuttarayarccā 'pari tvā girvaṇo gira'ityetayāhatena	tatas tAm uttarayA RccAH apari tvA girvaNaH gira aiti etayA hatena
   vāsasā'cchādayati /	vAsasA acCAdayati /
   svayameva mantramuktvā paridhāpayati ācchādyācamayya uttarayarcā	svayam eva mantram uktvA pariDApayati AcCAdya Acamayya uttarayA RcA
   āśāsānetyetayā yoktatreṇa sannahyati /	ASAsAnA iti etayA yoktatreNa san nahyati /
   ūrdhvajñumāsīnā(āpa.śrau.2 5 2)	UrDva jQum AsIna a(Apa.SrO.2 5 2)
   mityādidārśapaurṇamāsiko viśeṣa iheṣyate //8//	miti Adi dArSa pOrNamAsikaH viSezaH iha izyate //8//
   ĀpGs Tāt_4.8:	ĀpGs TAt _4.8:
   darbheṇvaṃ,darbhaiḥ parikalpitamiṇvaṃ nigalākṛtiṃ	darBeNu aM,darBEH parikalpitam iNvam nigala AkRtim
   parimaṇḍalākāramityarthaḥ /	parimaNxala AkAram iti arTaH /
   taduttareṇa yajuṣā 'aryamṇo agniṃ'ityanena vadhvāśśirasi nidhāya	tad uttareNa yajuzA aaryamNaH agniM aiti anena vaDvAH Sirasi niDAya
   tasminniṇvevarauttarayākhe 'nasa'ityetayādakṣiṇaṃ yugachidraṃ , yugasya	tasmin niNvevara Ottara yAKe anasa aiti etayA dakziNam yuga Cidram , yugasya
   dakṣiṇaṃ cdraṃ dakṣimasyā dhuro bārahyachidraṃ pratiṣṭhāpya, chidre	dakziNam cdram dakzim asyAH DuraH bArahya Cidram pratizWApya, Cidre
   suvarṇamuttarayā'śaṃ te hiraṇyam'ityetayāntardhāya,	suvarNam uttarayA aSam te hiraNyam aityetaya antarDAya,
   uttarābhiḥ'hiramyavarṇāśśucayaḥ pāvakāḥ pracakramurhitvā'ityādibhiḥ	uttarABiH ahi ramya varNAH Su cayaH pAvakAH pracakram urhi tvA aityAdiBiH
   pañcabhiḥṛgbhiḥ snāpayati /	paQcaBiHRgBiH snApayati /
   etacca pañcānāmante sakṛdeva, 'vacanādekaṃ karma bahumantram'(āpa.pa.1 47)	etat ca paQcAnAm ante sakRt eva, avacanAt ekam karma bahu mantram a(Apa.pa.1 47)
   ityuktatvāt /	iti ukta tvAt /
   evaṃ sarvatra evaṃ vidheṣvannaprāśanādiṣu //	evam sarvatra evam viDezu annaprASana Adizu //
   kecit  pañcabhiriti vacanāt pratimantramiti /	kecit paQcaBiH iti vacanAt pratimantram iti /
   tanna;tisṛbhyo '; vaśiṣṭayorvikalpanivṛttyarthatvādasya /	tat na;tisRByaH a; vaSizwayoH vikalpa nivRtti arTa tvAt asya /
   itarathā kriyābhyāvṛttivācaka pratyayāśruteḥ guṇārtha	itaraTA kriyA aByAvRtti vAcaka pratyaya aSruteH guNa arTa
   pradhānasnānābhyāvṛttikalpanāpattiḥ, prayuktigauravaṃ ca //	praDAna snAna aByAvRtti kalpanA pattiH, prayukti gOravam ca //
   uttarayā 'pari tvār rvaṇo giraḥ'ityetayā /	uttarayA apari tvAr rvaNaH giraH aiti etayA /
   ahatena anivasitena vāsasā paridhāpya, dvirācamapya, uttarayā 'āśāsānā	ahatena anivasitena vAsasA pariDApya, dvis Acam apya, uttarayA aASAsAnA
   saumanasam'; ityetayā yoktreṇa sannagyati /	sOmana sam a; iti etayA yoktreNa sat nagyati /
   kṛtsnavidhānaṃ /	kRtsna viDAnam /
   kecit aiṣṭikasannahanavidhipradarśanārthamiti //8//	kecid  Ezwika sannahana viDi pradarSana arTam iti //8//
   athaināmuttarayā dakṣiṇe haste gṛhītvāgnimabhyānīyāpareṇāgnimudagagraṃ	aTa enAm uttarayA dakziNe haste gRhItvA agnim aByAnIya apareNa agnim udak agram
   kaṭamāstīrya tasminnupaviśata uttaro varaḥ // ĀpGs_4.9 //	kawam AstIrya tasmin= upaviSataH uttaraH varaH // ĀpGs_4.9 //
   COMMENTARIES:	COMMENTARIES:
   ĀpGs Anā_4.9:	ĀpGs AnAH _4.9:
   atha sannahanānantaraṃ'yatra kvacāgni'mityādikalpenāgniṃ prasādhayati /	aTa sannahana anantaraM ayatra kvaca agni amitya Adi kalpena agnim prasADayati /
   mathitvā śrotriyāgārādvāhṛtya tato vadhūmagnimabhyānayati /	maTitvA Srotriya AgArAt vAhRtya tatas vaDUm agnim aByAnayati /
   uttarayarcā 'pūṣātveta'ityetayā /	uttarayA RcA apUzA tu eta aiti etayA /
   ānayanamantro 'yam /	Anayana mantraH ayam /
   hastagrahaṇaṃ tu tūṣṇīmeva /	hasta grahaNam tu tUzNIm eva /
   udagagravacanaṃ dakṣiṇāgranivṛttyartham //9//	udak agra vacanam dakziNa agra nivRtti arTam //9//
   ĀpGs Tāt_4.9:	ĀpGs TAt _4.9:
   athaśabda uktārthaḥ arthakṛtyapratiṣedhārtha iti /	aTaSabdaH ukta arTaH arTa kRtya pratizeDa arTaH iti /
   enāṃ vadhūṃdakṣiṇe haste gṛhītvā, uttarayā'pūṣā tveto nayatu'ityetayā	enAm vaDUMdakziNe haste gRhItvA, uttarayA apUzA tvA itas nayatu aiti etayA
   agnimabhyānīyāgnyabhimukhamānayati;nayatviti mantraliṅgāt /	agnim aByAnIya agni aBimuKa mAnayati ;nayatu iti mantra liFgAt /
   vyavahite 'pi nayane viniyogātapareṇāgnimagneradūreṇa'pascādugagraṃ	vyavahite api nayane viniyoga AtapareNa agnim agneH adUreNa apascAt ugagram
   kaṭamāstīrya, tasminkaṭe yugapadupaviśataḥ, yatottaro varo dakṣiṇā vadhūḥ	kawam AstIrya, tasmin kawe yugapad upaviSataH, yata uttaraH varaH dakziNA vaDUH
   6. agnerupasamādhānādi karma /	6. agneH upasamADAna Adi karma /
   agnerupasamādhānādyājyabhāgānte 'thaināmādito dvābhyāmabhimantrayeta //	agneH upasamADAna Adi Ajya BAga ante aTa enAm Aditas dvAByAm aBimantrayeta //
   ĀpGs_4.10 //	ĀpGs_4.10 //
   COMMENTARIES:	COMMENTARIES:
   ĀpGs Anā_4.10:	ĀpGs AnAH _4.10:
   athaivamupaviśyāgnerupasamādhānādi karma pratipadyate /	aTa evam upaviSya agneH upasamADAna Adi karma pratipadyate /
   agnimidhvā prāgagrairityādi ājyabhāgānte karmaṇi kṛte	agnim iDvA prAc agrEH ityAdi Ajya BAga ante karmaNi kRte
   athānantaramupotthāya enāmāsīnāṃ vajhūṃ tṛtīyasyānuvākasyādito	aTa anantaram upotTAya enAm AsInAm vaJUm tRtIyasya anuvAkasya Aditas 
   dvābhyāmṛgbhyāṃ 'somaḥ prathama'ityetābhyāmabhimantrayeta /	dvAByAmRgByAm asomaH praTama aiti etAByAm aBimantrayeta /
   agnerupasamādhānādi vacanaṃ tantraprāptyartham /	agneH upasamADAna Adi vacanam tantra prApti arTam /
   ājyabhāgāntagrahaṇamabhiman6ṇāderuttarasya karmaṇa  kālopadeśārtham /	Ajya BAga anta grahaNam aBiman6Na AdeH uttarasya karmaNa kAla upadeSa arTam /
   athaśabdo 'vasthāntarapradarśanārthaḥ /	aTaSabdaH avasTA antara pradarSana arTaH /
   ājyabhāgāntamāsīnaḥ kṛtvā atotthāyābhimantraṇādi pratipadyata iti /	Ajya BAga antam AsInaH kRtvA ata utTAya aBimantraNa Adi pratipadyate iti /
   tathā ca bodhāyanaḥ athāsyā upotthāya hṛdayadeśa (bau.gṛ.1 4 1) miti /	taTA ca boDAyanaH aTa asyAH upotTAya hRdaya deSaH (bO.gR.1 4 1) miti /
   āśvalāyanaśca tiṣṭhan prāṅmukhaḥ pratyaṅmukhyā āsīnāyā (āśva.1 7 3) iti /	ASvalAyanaH ca tizWan prAFmuKaH pratyaFmuKyAH AsInAyAH (a aSva.1 7 3) iti /
   enāmityucyate agnerabhimantraṇaṃ mā śaṅkīti /	enAm iti ucyate agneH aBimantraNam mA SaFkI iti /
   uttarābhyāmiti vaktavye ādito dvābhyāṃ ityucyate mantrasamāmnāye	uttarAByAm iti vaktavye Aditas dvAByAm iti ucyate mantra samAmnAye
   anuvākavyavasthāpradarśanārtham /	anuvAka vyavasTA pradarSana arTam /
   tena"śeṣaṃ samāveśane jape"dityādāvanuvākaśeṣasya grahaṇam //10//	tena" Sezam samAveSane jape"diti AdO= anuvAka Sezasya grahaNam //10//
   ĀpGs Tāt_4.10:	ĀpGs TAt _4.10:
   athaṃ tantropadeśaḥ kramārtha ityuktameva /	aTam tantra upadeSaH krama arTaH iti uktam eva /
   yadi tu lājahomāstantraśūnyā āgantukāḥ, tadā sa kramatantravidhānārtaḥ /	yadi tu lAjahomAH tantra SUnyAH AgantukAH, tadA sa krama tantra viDAna ArtaH /
   athoti pūrvavat /	aTa uti pUrvavat /
   kecit kalpāntarasiddho potthānānantaryapradarśamārthamiti //	kecid kalpa antara sidDaH potTAn Anantarya pradarSama arTam iti //
   enāṃvajhūṃ varaḥādita anuvākasya 'somaḥ prathamaḥ'ityasya 'somaḥ prathamaḥ	ena aMvaJUm varaHAditaH anuvAkasya asomaH praTamaH aityasya asomaH praTamaH
   'itidvābhyāṃ ṛgbhyāmabhimantrayeta //10//	aiti dvAByAm RgByAm aBimantrayeta //10//
   7. pāṇigrahaṇam /	7. pANigrahaNam /
   athāsyai dakṣiṇena nīcā hastena dakṣiṇamuttānaṃ hastaṃ gṛhṇīyāt //	aTa asyE dakziNena nIcAH hastena dakziNam uttAnam hastam gRhNIyAt //
   ĀpGs_4.11 //	ĀpGs_4.11 //
   COMMENTARIES:	COMMENTARIES:
   ĀpGs Anā_4.11:	ĀpGs AnAH _4.11:
   atha tathaivāvasthitaḥasyai asyāḥ tathaivāsīnāyā dakṣiṇamuttānaṃ hastaṃ	aTa taTA eva avasTitaHasyE asyAH taTA eva AsInAyAH dakziNam uttAnam hastam
   gṛhṇīyāt /	gRhNIyAt /
   dakṣiṇena nīcānyakbhūtena pastena /	dakziNena nIca anyak BUtena pastena /
   idaṃ pāṇīgrahaṇaṃ nāmakarma /	idam pANIgrahaNam nAmakarma /
   dakṣiṇeneti na vaktavyam /	dakziNena iti na vaktavyam /
   ekapāṇisādhyeṣu karmasu dakṣiṇasyaiva prasiddhatvāt /	eka pANi sADyezu karmasu dakziNasya eva prasidDa tvAt /
   athāprasiddhaḥ, anyatrāniyamaḥ prāpnoti /	aTa aprasidDaH, anyatra aniyamaH prApnoti /
   yathātraiva purastādupanayane ca /	yaTA atra eva purastAt upanayane ca /
   evaṃ ta4hi nātra dakṣimahasto vidhīyate /	evam ta4hi na atra dakzimahastaH viDIyate /
   kiṃ tarhi?nyaktāvidānārtamanūdyate yo 'yaṃ dakṣiṇo hasta  sarvakarmasu	kim tarhi?nyakta avidAn Artam anUdyate yaH ayam dakziNaH hasta sarva karmasu
   prasiddhaḥ tena nīcāpāṇigrahaṇamiha kartavyamiti /	prasidDaH tena nIcA pANi grahaNam iha kartavyam iti /
   asmādeva cānuvādāt sarvatra dakṣiṇapāṇiriti siddham //11//	asmAt eva ca anuvAdAt sarvatra dakziNa pANiH iti sidDam //11//
   ĀpGs Tāt_4.11:	ĀpGs TAt _4.11:
   anena nityavidhinā 'so 'bhīvāṅguṣṭham'ityetāvanmātrasya vyavahitasyāpi	anena nitya viDinA asaH aBi iva aFguzWam aiti etAvat mAtrasya vyavahitasya api
   sambandhaḥ /	sambanDaH /
   itarathā sa iti na brūyāt /	itaraTA saH iti na brUyAt /
   asmai asyā vadhvāḥ;ṣaṣṭhyarthe caturthī /	asmE asyAH vaDvAH;zazWI arTe caturTI /
   uttānaṃ dakṣiṇaṃ hastaṃvarassvenanīcā nyagṇūtena dakṣimahastena /	uttAnam dakziNam hastaMvara ssvena nIcAH nyagNUtena dakzimahastena /
   abhīvāṅguṣṭhaṃabhiruparyathaḥ /	aBIva aFguzWaMaBiH upari aTaH /
   ivetyavadhārakaḥ /	iva iti avaDArakaH /
   uparyaṅguṣṭhameva gṛhṇīyāt //11//	upari aFguzWam eva gRhNIyAt //11//
   atha kāmyaṃ vidhidivayamāha  	aTa kAmyam viDi divayam Aha  
   8. tatra kāmanāyāṃ viśeṣaḥ /	8. tatra kAmanAyAm viSezaH /
   yadi kāmayeta strīreva janayeyamityaṅgulīreva gṛhṇīyāt // ĀpGs_4.12 //	yadi kAmayeta strIH eva janayeyam iti aFgulIH eva gRhNIyAt // ĀpGs_4.12 //
   COMMENTARIES:	COMMENTARIES:
   ĀpGs Anā_4.12:	ĀpGs AnAH _4.12:
   aṅgulīreva nāṅguṣṭhaṃ nāpi pāṇitalam /	aFgulIH eva na aFguzWam na api pANitalam /
   pūrvoktasyaivāyaṃ kāmasaṃyukto viśeṣavidhiḥ /	pUrva uktasya eva ayam kAma saMyuktaH viSeza viDiH /
   tenehāpi dakṣiṇena nīcā hastenetyevamādayo viśeṣā bhavanti //12//	tena iha api dakziNena nIcAH hastena iti evamAdayaH viSezAH Bavanti //12//
