   Pātañjalayogaśāstram	PAtaQjala-yoga-SAstram
   sūkṣmās tu mahāpratipakṣā iti. 2.11	sUkzmAH tu mahA-pratipakzAH iti. 2.11
   kleśamūlaḥ karmāśayo dṛṣṭādṛṣṭajanmavedanīyaḥ || YS_2.12 ||	kleSa-mUlaH karma-ASayaH dRzwa-adRzwa-janma-vedanIyaH || YH-_2.12 ||
        tatra puṇyāpuṇyakarmāśayaḥ kāmalobhamohakrodhabhavaḥ. sa	tatra puNya-apuNya-karma-ASayaH kAma-loBa-moha-kroDa-BavaH. sa
   dṛṣṭajanmavedanīyaś cādṛṣṭajanmavedanīyaś ca. tatra tīvrasaṃvegena	dRzwa-janma-vedanIyaH ca-adRzwa-janma-vedanIyaH ca. tatra tIvra-saMvegena
   mantratapaḥsamādhibhir nirvartita īśvaradevatāmaharṣimahānubhāvānām	mantra-tapaH-samADiBiH nirvartitaH ISvara-devatA-mahA-Rzi-mahA-anuBAvAnAm
   ārādhanād vā yaḥ pariniṣpannaḥ sa sadyaḥ paripacyate puṇyakarmāśaya iti.	ArADanAt vA yaH parinizpannaH sa sadyas paripacyate puNya-karma-ASayaH iti.
   tathā tīvrakleśena bhītavyādhitakṛpaṇeṣu viśvāsopagateṣu vā mahānubhāveṣu	taTA tIvra-kleSena BIta-vyADita-kRpaNezu viSvAsa-upagatezu vA mahA-anuBAvezu
   vā tapasviṣu kṛtaḥ punaḥ punar apakāraḥ sa cāpi pāpakarmāśayaḥ sadya eva	vA tapasvizu kRtaH punar punar apakAraH sa ca-api pApa-karma-ASayaH sadyas eva
   paripacyate. yathā nandīśvaraḥ kumāro manuṣyapariṇāmaṃ hitvā devatvena	paripacyate. yaTA nandISvaraH kumAraH manuzya-pariNAmam hitvA deva-tvena
   pariṇataḥ. tathā nahuṣo 'pi devānām indraḥ svakaṃ pariṇāmaṃ hitvā	pariNataH. taTA nahuzaH api devAnAm indraH svakam pariNAmam hitvA
   tiryaktvena pariṇata iti. tatra nārakāṇāṃ nāsti dṛṣṭajanmavedanīyaḥ	tiryaktvena pariNataH iti. tatra nArakANAm na-asti dRzwa-janma-vedanIyaH
   karmāśayaḥ. kṣīṇakleśānām api nāsty adṛṣṭajanmavedanīyaḥ karmāśaya iti.	karma-ASayaH. kzINa-kleSAnAm api na-asti adRzwa-janma-vedanIyaH karma-ASayaH iti.
   sati mūle tadvipāko jātyāyurbhogāḥ || YS_2.13 ||	sati mUle tad-vipAkaH jAti-AyuH-BogAH || YH-_2.13 ||
        satsu kleśeṣu karmāśayo vipākārambhī bhavati nocchinnakleśamūlaḥ.	satsu kleSezu karma-ASayaH vipAka-AramBI Bavati na-ucCinna-kleSa-mUlaH.
   yathā tuṣāvanaddhāḥ śālitaṇḍulā adagdhabījabhāvāḥ prarohasamarthā	yaTA tuza-avanadDAH SAli-taNxulAH adagDa-bIja-BAvAH praroha-samarTA
   bhavanti, nāpanītatuṣā dagdhabījabhāvā vā tathā kleśāvanaddhaḥ karmāśayo	Bavanti, na-apanIta-tuzAH dagDa-bIja-BAvAH vA taTA kleSa-avanadDaH karma-ASayaH-
   vipākaprarohī bhavati, nāpanītakleśo na prasaṃkhyānadagdhakleśabījabhāvo	vipAka-prarohI Bavati, na-apanIta-kleSaH na prasaMKyAna-dagDa-kleSa-bIja-BAvaH-
   veti. sa ca vipākas trividho jātir āyur bhoga iti.	veti. sa ca vipAkaH triviDaH jAtiH AyuH BogaH iti.
        tatredaṃ vicāryate --- kim ekaṃ karmaikasya janmanaḥ kāraṇam athaikaṃ	tatra-idam vicAryate -- kim ekam karma-ekasya janmanaH kAraNam aTa-ekam
   karmānekaṃ janmākṣipatīti. dvitīyā vicāraṇā --- kim anekaṃ karmānekaṃ	karma-anekam janma-akzipati-iti. dvitIyA vicAraNA -- kim anekam karma-anekam
   janma nirvartayati athānekaṃ karmaikaṃ janma nirvartayatīti. na tāvad ekaṃ	janma nirvartayati aTa-anekam karma-ekam janma nirvartayati-iti. na tAvat ekam
   karmaikasya janmanaḥ kāraṇam. kasmāt,	karma-ekasya janmanaH kAraNam. kasmAt-,
   anādikālapracitasyāsaṃkhyeyasyāvaśiṣṭasya karmaṇaḥ sāṃpratikasya ca	anAdi-kAla-pracitasya-asaMKyeyasya-avaSizwasya karmaNaH sAMpratikasya ca
   phalakramāniyamād anāśvāso lokasya prasaktaḥ, sa cāniṣṭa iti. na caikaṃ	Pala-krama-aniyamAt anASvAsaH lokasya prasaktaH, sa ca-anizwaH iti. na ca-ekam
   karmānekasya janmanaḥ kāraṇam. kasmāt, anekeṣu karmasu ekaikam eva	karma-anekasya janmanaH kAraNam. kasmAt, anekezu karmasu ekEkam eva
   karmānekasya janmanaḥ kāraṇam ity avaśiṣṭasya vipākakālābhāvaḥ prasaktaḥ,	karma-anekasya janmanaH kAraNam iti avaSizwasya vipAka-kAla-aBAvaH prasaktaH,
   sa cāpy aniṣṭa iti. na cānekaṃ karmānekasya janmanaḥ kāraṇam. kasmāt, tad	sa ca-api anizwaH iti. na ca-anekam karma-anekasya janmanaH kAraNam. kasmAt, tat-
   anekaṃ janma yugapan na saṃbhavatīti krameṇaiva vācyam. tathā ca	anekam janma yugapad na saMBavati-iti krameNa-eva vAcyam. taTA ca
   pūrvadoṣānuṣaṅgaḥ.	pUrva-doza-anuzaFgaH.
        tasmāj janmaprāyaṇāntare kṛtaḥ puṇyāpuṇyakarmāśayapracayo vicitraḥ	tasmAt janma-prAyaNa-antare kRtaH puNyA-puNya-karma-ASaya-pracayaH vicitraH
   pradhānopasarjanabhāvenāvasthitaḥ prāyaṇābhivyakta ekapraghaṭṭakena	praDAna-upasarjana-BAvena-avasTitaH prAyaNa-aBivyaktaH eka-praGawwakena
   maraṇaṃ prasādhya saṃmūrchita ekam eva janma karoti. tac ca janma tenaiva	maraNam prasADya saMmUrCitaH ekam eva janma karoti. tat ca janma tena-eva
   karmaṇā labdhāyuṣkaṃ bhavati. tasminn āyuṣi tenaiva karmaṇā bhogaḥ	karmaNA labDa-Ayuzkam Bavati. tasmin Ayuzi tena-eva karmaNA BogaH
   saṃpadyata iti. asau karmāśayo janmāyurbhogahetutvāt trivipāko 'bhidhīyata	saMpadyate iti. asO karma-ASayaH janma-AyuH-Boga-hetu-tvAt tri-vipAkaH aBiDIyata
   iti. ata ekabhavikaḥ karmāśaya ukta iti.	iti. atas eka-BavikaH karma-ASayaH uktaH iti.
        dṛṣṭajanmavedanīyas tv ekavipākārambhī bhogahetutvād dvivipākārambhī	dRzwa-janma-vedanIyaH tu eka-vipAka-AramBI Boga-hetu-tvAt dvi-vipAka-AramBI
   vāyurbhogahetutvān nandīśvaravan nahuṣavad veti.	vAyuH-Boga-hetu-tvAt nandISvara-vat nahuza-vat vA-iti.
   kleśakarmavipākānubhavanirvartitābhis tu vāsanābhir anādikālasaṃmūrchitam	kleSa-karma-vipAka-anuBava-nirvartitABiH tu vAsanABiH anAdi-kAla-saMmUrCitam
   idaṃ cittaṃ vicitrīkṛtam iva sarvato matsyajālaṃ granthibhir ivātatam ity	idam cittam vicitrIkRtam iva sarvatas matsya-jAlam granTiBiH iva-Atatam iti-
   etā anekabhavapūrvikā vāsanāḥ. yas tv ayaṃ karmāśaya eṣa evaikabhavika	etAH aneka-Bava-pUrvikAH vAsanAH. yaH tu ayam karma-ASayaH ezaH eva-eka-Bavika
   ukta iti. ye saṃskārāḥ smṛtihetavas tā vāsanās tāś cānādikālīnā iti.	uktaH iti. ye saMskArAH smRti-hetavaH tAH vAsanAH tAH ca-anAdi-kAlInA iti.
        yas tv asāv ekabhavikaḥ karmāśayaḥ sa niyatavipākaś cāniyatavipākaś	yaH tu asO eka-BavikaH karma-ASayaH sa niyata-vipAkaH ca-aniyata-vipAkaH-
   ca. tatra dṛṣṭajanmavedanīyasya niyatavipākasyaivāyaṃ niyamo na tv	ca. tatra dRzwa-janma-vedanIyasya niyata-vipAkasya-eva-ayam niyamaH na tu-
   adṛṣṭajanmavedanīyasyāniyatavipākasya kasmāt. yo hy adṛṣṭajanmavedanīyo	adRzwa-janma-vedanIyasya-aniyata-vipAkasya kasmAt. yaH hi adRzwa-janma-vedanIyaH-
   'niyatavipākas tasya trayī gatiḥ --- kṛtasyāvipakvasya nāśaḥ,	aniyata-vipAkaH tasya trayI gatiH -- kRtasya-avipakvasya nASaH,
   pradhānakarmaṇy āvāpagamanaṃ vā, niyatavipākapradhānakarmaṇābhibhūtasya vā	praDAna-karmaNi AvApa-gamanam vA, niyata-vipAka-praDAna-karmaNA-aBiBUtasya vA
   ciram avasthānam iti.	ciram avasTAnam iti.
        tatra kṛtasyāvipakvasya nāśo yathā śuklakarmodayād ihaiva nāśaḥ	tatra kRtasya-avipakvasya nASaH yaTA Sukla-karma-udayAt iha-eva nASaH
   kṛṣṇasya. yatredam uktam --- "dve dve ha vai karmaṇī veditavye	kRzNasya. yatra-idam uktam -- "dve dve ha vE karmaNI veditavye
   pāpakasyaiko rāśiḥ puṇyakṛto 'pahanti tad icchasva karmāṇi sukṛtāni kartum	pApakasya-ekaH rASiH puNya-kRtaH apahanti tat icCasva karmANi sukRtAni kartum
   ihaiva te karma kavayo vedayante."	iha-eva te karma kavayaH vedayante."
        pradhānakarmaṇy āvāpagamanam. yatredam uktaṃ --- "syāt svalpaḥ	praDAna-karmaNi AvApa-gamanam. yatra-idam uktam -- "syAt su-alpaH
   saṃkaraḥ saparihāraḥ sapratyavamarṣaḥ kuśalasya nāpakarṣāyālam. kasmāt,	saMkaraH sa-parihAraH sa-pratyavamarzaH kuSalasya na-apakarzAya-alam. kasmAt-,
   kuśalaṃ hi me bahv anyad asti yatrāyam āvāpaṃ gataḥ svarge 'py apakarṣam	kuSalam hi me bahu anyat asti yatra-ayam AvApam gataH svarge api apakarzam
   alpaṃ kariṣyati" iti.	alpam karizyati" iti.
        niyatavipākapradhānakarmaṇābhibhūtasya vā ciram avasthānam. katham	niyata-vipAka-praDAna-karmaNA-aBiBUtasya vA ciram avasTAnam. kaTam
   iti, adṛṣṭajanmavedanīyasyaiva niyatavipākasya karmaṇaḥ samānaṃ maraṇam	iti, adRzwa-janma-vedanIyasya-eva niyata-vipAkasya karmaNaH samAnam maraNam
   abhivyaktikāraṇam uktam. na tv adṛṣṭajanmavedanīyasyāniyatavipākasya. yat	aBivyakti-kAraNam uktam. na tu adRzwa-janma-vedanIyasya-aniyata-vipAkasya. yat-
   tv adṛṣṭajanmavedanīyaṃ karmāniyatavipākaṃ tan naśyed āvāpaṃ vā gacched	tu adRzwa-janma-vedanIyam karma-aniyata-vipAkam tat naSyet AvApam vA gacCet-
   abhibhūtaṃ vā ciram apy upāsīta, yāvat samānaṃ karmābhivyañjakaṃ nimittam	aBiBUtam vA ciram api upAsIta, yAvat samAnam karma-aBivyaQjakam nimittam
   asya na vipākābhimukhaṃ karotīti. tadvipākasyaiva	asya na vipAka-aBimuKam karoti-iti. tad-vipAkasya-eva
   deśakālanimittānavadhāraṇād iyaṃ karmagatiś citrā durvijñānā ceti. na	deSa-kAla-nimittAn-avaDAraNAt iyam karma-gatiH citrA durvijQAnA ca-iti. na
   cotsargasyāpavādān nivṛttir ity ekabhavikaḥ karmāśayo 'nujñāyata iti. 2.13	ca-utsargasya-apavAdAt nivRttiH iti eka-BavikaH karma-ASayaH anujQAyate iti. 2.13
   te hlādaparitāpaphalāḥ puṇyāpuṇyahetutvāt || YS_2.14 ||	te hlAda-paritApa-PalAH puNya-apuNya-hetu-tvAt || YH-_2.14 ||
        te janmāyurbhogāḥ puṇyahetukāḥ sukhaphalā apuṇyahetukā duḥkhaphalā	te janma-AyuH-BogAH puNya-hetukAH suKa-PalA apuNya-hetukA duHKa-PalA
   iti. yathā cedaṃ duḥkhaṃ pratikūlātmakam evaṃ viṣayasukhakāle 'pi duḥkham	iti. yaTA ca-idam duHKam pratikUla-Atmakam evam vizaya-suKa-kAle api duHKam
   asty eva pratikūlātmakaṃ yoginaḥ. 2.14	asti eva pratikUla-Atmakam yoginaH. 2.14
   kathaṃ, tad upapādyate ---	kaTaM, tat upapAdyate ---
        pariṇāmatāpasaṃskāraduḥkhair guṇavṛttivirodhāc ca duḥkham eva sarvaṃ	pariNAma-tApa-saMskAra-duHKEH guNa-vRtti-viroDAt ca duHKam eva sarvam
   vivekinaḥ || YS_2.15 ||	vivekinaH || YH-_2.15 ||
        sarvasyāyaṃ rāgānuviddhaś cetanācetanasādhanādhīnaḥ sukhānubhava iti	sarvasya-ayam rAga-anuvidDaH cetana-acetana-sADana-aDInaH suKa-anuBavaH iti
   tatrāsti rāgajaḥ karmāśayaḥ. tathā ca dveṣṭi duḥkhasādhanāni muhyati ceti	tatra-asti rAga-jaH karma-ASayaH. taTA ca dvezwi duHKa-sADanAni muhyati ca-iti
   dveṣamohakṛto 'py asti karmāśayaḥ. tathā coktam --- "nānupahatya bhūtāny	dveza-moha-kRtaH api asti karma-ASayaH. taTA ca-uktam -- "nA-anupahatya BUtAni-
   upabhogaḥ saṃbhavatīti hiṃsākṛto 'py asti śarīraḥ karmāśayaḥ" iti.	upaBogaH saMBavati-iti hiMsA-kRtaH api asti SarIraH karma-ASayaH" iti.
   viṣayasukhaṃ cāvidyety uktam.	vizaya-suKam ca-avidyA-iti uktam.
        yā bhogeṣv indriyāṇāṃ tṛpter upaśāntis tat sukham. yā laulyād	yA Bogezu indriyANAm tRpteH upaSAntiH tat suKam. yA lOlyAt-
   anupaśāntis tad duḥkham. na cendriyāṇāṃ bhogābhyāsena vaitṛṣṇyaṃ kartuṃ	anupaSAntiH tat duHKam. na ca-indriyANAm Boga-aByAsena vEtRzNyam kartum
   śakyam. kasmāt, yato bhogābhyāsam anu vivardhante rāgāḥ kauśalāni	Sakyam. kasmAt, yatas Boga-aByAsam anu vivarDante rAgAH kOSalAni
   cendriyāṇām iti. tasmād anupāyaḥ sukhasya bhogābhyāsa iti. sa khalv ayaṃ	ca-indriyANAm iti. tasmAt anupAyaH suKasya Boga-aByAsaH iti. sa Kalu ayam
   vṛścikaviṣabhīta ivāśīviṣeṇa daṣṭo yaḥ sukhārthī viṣayānuvāsito mahati	vRScika-viza-BItaH iva-ASIvizeNa dazwaH yaH suKa-arTI vizaya-anuvAsitaH mahati
   duḥkhapaṅke nimagna iti. eṣā pariṇāmaduḥkhatā nāma pratikūlā	duHKa-paFke nimagnaH iti. ezA pariNAmaduHKa-tA nAma pratikUlA
   sukhāvasthāyām api yoginam eva kliśnāti.	suKa-avasTAyAm api yoginam eva kliSnAti.
        atha kā tāpaduḥkhatā, sarvasya dveṣānuviddhaś	aTa kA tApa-duHKa-tA, sarvasya dveza-anuvidDa-H-
   cetanācetanasādhanādhīnas tāpānubhava iti tatrāsti dveṣajaḥ karmāśayaḥ.	cetana-acetana-sADana-aDInaH tApa-anuBavaH iti tatra-asti dveza-jaH karma-ASayaH.
   sukhasādhanāni ca prārthayamānaḥ kāyena vācā manasā ca parispandate tataḥ	suKa-sADanAni ca prArTayamAnaH kAyena vAcA manasA ca parispandate tatas-
   param anugṛhṇāty upahanti ceti parānugrahapīḍābhyāṃ dharmādharmāv	param anugRhNAti upahanti ca-iti para-anugraha-pIxAByAm Darma-aDarmO=-
   upacinoti. sa karmāśayo lobhān mohāc ca bhavatīty eṣā tāpaduḥkhatocyate.	upacinoti. sa karma-ASayaH loBAt mohAt ca Bavati-iti ezA tApa-duHKa-tA-ucyate.
   kā punaḥ saṃskāraduḥkhatā, sukhānubhavāt sukhasaṃskārāśayo duḥkhānubhavād	kA punar saMskAra-duHKa-tA, suKa-anuBavAt suKa-saMskAra-ASayaH duHKa-anuBavAt-
   api duḥkhasaṃskārāśaya iti. evaṃ karmabhyo vipāke 'nubhūyamāne sukhe	api duHKa-saMskAra-ASayaH iti. evam karmaByaH vipAke anuBUyamAne suKe
   duḥkhe vā punaḥ karmāśayapracaya iti.	duHKe vA punar karma-ASaya-pracayaH iti.
        evam idam anādi duḥkhasroto viprasṛtaṃ yoginam eva pratikūlātmakatvād	evam idam anAdi duHKa-srotaH viprasRtam yoginam eva pratikUla-Atmaka-tvAt-
   udvejayati. kasmāt, akṣipātrakalpo hi vidvān iti. yathorṇātantur akṣipātre	udvejayati. kasmAt, akzi-pAtra-kalpaH hi vidvAn iti. yaTA-UrNA-tantuH akzi-pAtre
   nyastaḥ sparśena duḥkhayati na cānyeṣu gātrāvayaveṣu, evam etāni duḥkhāny	nyastaH sparSena duHKayati na ca-anyezu gAtra-a=-ayava-izu, evam etAni duHKAni-
   akṣipātrakalpaṃ yoginam eva kliśnanti netaraṃ pratipattāram. itaraṃ tu	akzi-pAtra-kalpam yoginam eva kliSnanti na-itaram pratipattAram. itaram tu
   svakarmopahṛtaṃ duḥkham upāttam upāttaṃ tyajantaṃ tyaktaṃ tyaktam	sva-karma-upahRtam duHKam upAttam upAttam tyajantam tyaktam tyaktam
   upādadānam anādivāsanāvicitrayā cittavṛttyā samantato 'nuviddham	upAdadAnam anAdi-vAsanA-vicitrayA citta-vRttyA samantataH anuvidDam
   ivāvidyayā hātavya evāhaṃkāramamakārānupātinaṃ jātaṃ jātaṃ	iva-avidyayA hAtavyaH eva-ahaMkAram-amakAra-anupAtinam jAtam jAtam
   bāhyādhyātmikobhayanimittās triparvāṇas tāpā anuplavante. tad evam anādinā	bAhya-ADyAtmika-uBaya-nimittAH tri-parvANaH tApAH anuplavante. tat evam anAdinA
   duḥkhasrotasā vyuhyamānam ātmānaṃ bhūtagrāmaṃ ca dṛṣṭvā yogī	duHKa-srotasA vyuhyamAnam AtmAnam BUta-grAmam ca dRzwvA yogI
   sarvaduḥkhakṣayakāraṇaṃ samyagdarśanaṃ śaraṇaṃ prapadyata iti.	sarva-duHKa-kzaya-kAraNam samyak-darSanam SaraNam prapadyate iti.
        guṇavṛttivirodhāc ca duḥkham eva sarvaṃ vivekinaḥ.	guNa-vRtti-viroDAt ca duHKam eva sarvam vivekinaH.
   prakhyāpravṛttisthitirūpā buddhiguṇāḥ parasparānugrahatantrī bhūtvā śāntaṃ	praKyA-pravRtti-sTiti-rUpAH budDi-guNAH paraspara-anugraha-tantrI BUtvA SAntam
   ghoraṃ mūḍhaṃ vā pratyayaṃ triguṇam evārabhante. calaṃ ca guṇavṛttam iti	Goram mUXam vA pratyayam triguNam eva-AraBante. calam ca guNa-vRttam iti
   kṣiprapariṇāmi cittam uktam. rūpātiśayā vṛttyatiśayāś ca paraspareṇa	kzipra-pariNAmi cittam uktam. rUpa-atiSayAH vRtti-atiSayAH ca paraspareNa
   virudhyante, sāmānyāni tv atiśayaiḥ saha pravartante. evam ete guṇā	viruDyante, sAmAnyAni tu atiSayEH saha pravartante. evam ete guNA
   itaretarāśrayeṇopārjitasukhaduḥkhamohapratyayāḥ sarve sarvarūpā	itaretara-ASrayeNa-upArjita-suKa-duHKa-moha-pratyayAH sarve sarva-rUpA
   bhavantīti, guṇapradhānabhāvakṛtas tv eṣāṃ viśeṣa iti. tasmād duḥkham eva	Bavanti-iti, guNa-praDAna-BAva-kRtaH tu ezAm viSezaH iti. tasmAt duHKam eva
   sarvaṃ vivekina iti.	sarvam vivekinaH iti.
        tad asya mahato duḥkhasamudāyasya prabhavabījam avidyā. tasyāś ca	tat asya mahataH duHKa-samudAyasya praBava-bIjam avidyA. tasyAH ca
   samyagdarśanam abhāvahetuḥ. yathā cikitsāśāstraṃ caturvyūham --- rogo	samyak-darSanam aBAva-hetuH. yaTA cikitsA-SAstram catur-vyUham -- rogaH-
   rogahetur ārogyaṃ bhaiṣajyam iti. evam idam api śāstram caturvyūham eva.	roga-hetuH Arogyam BEzajyam iti. evam idam api SAstram catur-vyUham eva.
   tadyathā --- saṃsāraḥ saṃsārahetur mokṣo mokṣopāya iti. tatra	tat-yaTA -- saMsAraH saMsAra-hetuH mokzaH mokza-upAyaH iti. tatra
   duḥkhabahulaḥ saṃsāro heyaḥ. pradhānapuruṣayoḥ saṃyogo heyahetuḥ.	duHKa-bahulaH saMsAraH heyaH. praDAna-puruzayoH saMyogaH heya-hetuH.
   saṃyogasyātyantikī nivṛttir hānam. hānopāyaḥ samyagdarśanam.	saMyogasya-AtyantikI nivRttiH hAnam. hAna-upAyaH samyak-darSanam.
        tatra hātuḥ svarūpam upādeyaṃ vā heyaṃ vā na bhavitum arhatīti hāne	tatra hAtuH sva-rUpam upAdeyam vA heyam vA na Bavitum arhati-iti hAne
   tasyocchedavādaprasaṅga upādāne ca hetuvādaḥ. ubhayapratyākhyāne	tasya-ucCeda-vAda-prasaFgaH upAdAne ca hetuvAdaH. uBaya-pratyAKyAne
   śāśvatavāda ity etat samyagdarśanam. 2.15	SASvata-vAdaH iti etat samyak-darSanam. 2.15
   tad etac chāstraṃ caturvyūham ity abhidhīyate ---	tat etat SAstram catur-vyUham iti aBiDIyate ---
        heyaṃ duḥkham anāgatam || YS_2.16 ||	heyam duHKam anAgatam || YH-_2.16 ||
   duḥkham atītam upabhogenātivāhitaṃ na heyapakṣe vartate. vartamānaṃ ca	duHKam atItam upaBogena-ativAhitam na heya-pakze vartate. vartamAnam ca
   svakṣaṇe bhogārūḍham iti na tat kṣaṇāntare heyatām āpadyate. tasmād yad	su-akzaNe Boga-ArUXam iti na tat kzaNa-antare heya-tAm Apadyate. tasmAt yat-
   evānāgataṃ duḥkhaṃ tad evākṣipātrakalpaṃ yoginaṃ kliśnāti netaraṃ	eva-anAgatam duHKam tat eva-akzi-pAtra-kalpam yoginam kliSnAti na-itaram
   pratipattāram. tad eva heyatām āpadyate. 2.16	pratipattAram. tat eva heya-tAm Apadyate. 2.16
   tasmād yad eva heyam ity ucyate tasyaiva kāraṇaṃ pratinirdiśyate ---	tasmAt yat eva heyam iti ucyate tasya-eva kAraNam pratinirdiSyate ---
        draṣṭṛdṛśyayoḥ saṃyogo heyahetuḥ || YS_2.17 ||	drazwR-dRSyayoH saMyogaH heya-hetuH || YH-_2.17 ||
   draṣṭā buddheḥ pratisaṃvedī puruṣaḥ. dṛśyā buddhisattvopārūḍhāḥ sarve	drazwA budDeH pratisaMvedI puruzaH. dRSyAH budDi-sattva-upArUXAH sarve
   dharmāḥ. tad etad dṛśyam ayaskāntamaṇikalpaṃ saṃnidhimātropakāri	DarmAH. tat etat dRSyam ayaskAnta-maNi-kalpam saMniDi-mAtra-upakAri
   dṛśyatvena svaṃ bhavati puruṣasya dṛśirūpasya svāminaḥ,	dRSya-tvena svam Bavati puruzasya dRSi-rUpasya svAminaH,
   anubhavakarmaviṣayatām āpannaṃ yataḥ. anyasvarūpeṇa pratilabdhātmakaṃ	anuBava-karma-vizaya-tAm Apannam yatas-. anya-svarUpeNa pratilabDa-Atmakam
   svatantram api parārthatvāt paratantram.	svatantram api para-arTa-tvAt paratantram.
        tayor dṛgdarśanaśaktyor anādir arthakṛtaḥ saṃyogo heyahetur duḥkhasya	tayoH dRS-darSana-SaktyoH anAdiH arTa-kRtaH saMyogaH heya-hetuH duHKasya
   kāraṇam ity arthaḥ. tathā coktam --- tatsaṃyogahetuvivarjanāt syād ayam	kAraNam iti arTaH. taTA ca-uktam -- tad-saMyoga-hetu-vivarjanAt syAt ayam
   ātyantiko duḥkhapratīkāraḥ. kasmāt, duḥkhahetoḥ parihāryasya	AtyantikaH duHKa-pratIkAraH. kasmAt, duHKa-hetoH parihAryasya
   pratīkāradarśanāt. tadyathā --- pādatalasya bhedyatā, kaṇṭakasya	pratIkAra-darSanAt. tat-yaTA -- pAda-talasya Bedya-tA, kaNwakasya
   bhettṛtvaṃ, parihāraḥ kaṇṭakasya pā(pa)dānadhiṣṭhānaṃ pādatrāṇavyavahitena	BettR-tvaM, parihAraH kaNwakasya pA(pa)da-an-aDizWAnam pAda-trANa-vyavahitena
   vādhiṣṭhānam, etat trayaṃ yo veda loke sa tatra pratīkāram ārabhamāṇo	vA-aDizWAnam, etat trayam yaH veda loke sa tatra pratIkAram AraBamANaH-
   bhedajaṃ duḥkhaṃ nāpnoti. kasmāt, tritvopalabdhisāmarthyād iti. atrāpi	Beda-jam duHKam na-Apnoti. kasmAt, tritva-upalabDi-sAmarTyAt iti. atra-api
   tāpakasya rajasaḥ sattvam eva tapyam. kasmāt, tapikriyāyāḥ karmasthatvāt,	tApakasya rajasaH sattvam eva tapyam. kasmAt, tapikriyAyAH karma-sTa-tvAt,
   sattve karmaṇi tapikriyā nāpariṇāmini niṣkriye kṣetrajñe,	sattve karmaNi tapikriyA na-apariNAmini nizkriye kzetrajQe,
   darśitaviṣayatvāt. sattve tu tapyamāne tadākārānurodhī puruṣo 'py	darSita-vizaya-tva-at. sattve tu tapyamAne tad-AkAra-anuroDI puruzaH api-
   anutapyata iti. 2.17	anutapyate iti. 2.17
   dṛśyasvarūpam ucyate ---	dRSya-svarUpam ucyate ---
        prakāśakriyāsthitiśīlaṃ bhūtendriyātmakaṃ bhogāpavargārthaṃ dṛśyam ||	prakASa-kriyA-sTiti-SIlam BUta-indriya-Atmakam Boga-apavarga-arTam dRSyam ||
   YS_2.18 ||	YH-_2.18 ||
        prakāśaśīlaṃ sattvam. kriyāśīlaṃ rajaḥ sthitiśīlaṃ tama iti. ete	prakASa-SIlam sattvam. kriyA-SIlam rajaH sTiti-SIlam tamaH iti. ete
   guṇāḥ parasparoparaktapravibhāgāḥ pariṇāminaḥ saṃyogaviyogadharmāṇa	guNAH paraspara-uparakta-praviBAgAH pariNAminaH saMyoga-viyoga-DarmANa
   itaretaropāśrayeṇopārjitamūrtayaḥ parasparāṅgāṅgitve 'py	itaretara-upASrayeNa-upArjita-mUrtayaH paraspara-aFga-aFgi-tve api-
   asaṃbhinnaśaktipravibhāgās tulyajātīyātulyajātīyaśaktibhedānupātinaḥ	asaMBinna-Sakti-praviBAgAH tulya-jAtIya-atulya-jAtIya-Sakti-Beda-anupAtinaH
   pradhānavelāyām upadarśitasaṃnidhānā guṇatve 'pi ca vyāpāramātreṇa	praDAna-velAyAm upadarSita-saMniDAnA guNa-tve api ca vyApAra-mAtreNa
   pradhānāntarṇītānumitāstitāḥ puruṣārthakartavyatayā prayuktasāmarthyāḥ	praDAna-antarNIta-anumita-astitAH puruza-arTa-kartavya-tayA prayukta-sAmarTyAH
   saṃnidhimātropakāriṇo 'yaskāntamaṇikalpāḥ pratyayam antareṇaikatamasya	saMniDi-mAtra-upakAriNaH ayaskAnta-maNi-kalpAH pratyayam antareNa-ekatamasya
   vṛttim anuvartamānāḥ pradhānaśabdavācyā bhavanti. etad dṛśyam ity ucyate.	vRttim anuvartamAnAH praDAna-Sabda-vAcyA Bavanti. etat dRSyam iti ucyate.
        tad etad bhūtendriyātmakaṃ bhūtabhāvena pṛthivyādinā sūkṣmasthūlena	tat etat BUta-indriya-Atmakam BUta-BAvena pRTivI-AdinA sUkzma-sTUlena
