   Ratnākaraśāntiviracitā	RatnAkara SAnti viracitA
   deveṣu pracarantīti avacaranti na dṛṣṭāni, anāśravatvena	devezu pracaranti iti avacaranti na dRzwAni, anASrava tvena
   dhātupatitatvābhāvāditi bhāvaḥ / abhyavakīrṇānīti pariṣadi nirmitapuṣpaiḥ	DAtu patita tva aBAvAt iti BAvaH / aByavakIrNAni iti parizadi nirmita puzpEH
   sūcitāni / nirmitāni yathādarśanamasattvāt / kuta ityāha / naitānītyādi /	sUcitAni / nirmitAni yaTAdarSanam asattvAt / kutas iti Aha / na etAni ityAdi /
   manomayānītyupasaṃhāraḥ / manonirji(rmi) tānītyarthaḥ / śakrastu	manaH mayAni iti upasaMhAraH / manaH nirji(rmi) tAni iti arTaH / SakraH tu
   manomayatvamapi niṣeddhumāha / anirjātānīti / yathā hi grāhyatvādvṛkṣādayo	manaH maya tvam api nizedDum Aha / anirjAtAni iti / yaTA hi grAhya tvAt vRkza AdayaH 
   na santīti na tebhyo nirjātāni tāni / tathā manopi nāsti grāhakatvāditi	na santi iti na teByaH nirjAtAni tAni / taTA manopi na asti grAhaka tvAt iti
   tatopyanirjātāni subhūtirāha / yatkauśikānirjātaṃ na tatpuṣpamiti	tata upya nirjAtAni suBUtiH Aha / yat kOSikA nirjAtam na tat puzpam iti
   yattayornityābhisambandhānna tatpuṣpaṃ na sa khaḍmārgaḥ syādityarthaḥ /	yat tayoH nitya aBisambanDAt na tat puzpam na sa KaxmArgaH syAt iti arTaH /
   evaṃ manyate / nirviśeṣaṃ jātaṃ nirjātam / ataḥ sajātīyaṃ kāryamāśritam /	evam manyate / nirviSezam jAtam nirjAtam / atas sajAtIyam kAryam ASritam /
   kāraṇamāśrayaḥ / khaḍgamārgaśca khaḍgāśritaḥ / na ca khaḍgasya saṃskṛto	kAraNam ASrayaH / Kaxga mArgaH ca Kaxga ASritaH / na ca Kaxgasya saMskRtaH 
   dharmo mārgasyāśrayo yujyate sāsravasya vijātīyatvāt / anāsravasyāpi	DarmaH mArgasya ASrayaH yujyate sa Asravasya vijAtIya tvAt / anAsravasya api
   saṃskṛtasyādimatvādādita eva nirāśrayasyānutpattiprasaṅgāt /	saMskRtasya Adima tvAt Aditas eva nirASrayasya anutpatti prasaFgAt /
   tasmādanāsravatvena sajātīyaḥ khaḍgasya dharmadhātureva khaḍmārgasyāśraya	tasmAt anAsrava tvena sajAtIyaH Kaxgasya DarmaDAtuH eva KaxmArgasya ASraya
   ādhāraḥ pratiṣṭhāgotramiti khaḍgamārgasyādhāraḥ // ataḥ śāstram 	ADAraH pratizWA gotram iti Kaxga mArgasya ADAraH // atas SAstram 
   (RSt_28)	(RSt _28)
   [37] grāhyārthakalpanāhānāt grāhakasyāprahāṇataḥ /	[37] grAhya arTa kalpanA AhAnAt grAhakasya aprahANataH /
   ādhārataśca vijñeyaḥ khaḍgamārgasya saṅgrahaḥ // 2 8 //	ADArataH ca vijQeyaH Kaxga mArgasya saFgrahaH // 2 8 //
   atha khaḍgānāṃ kathaṃ parārthakriyāṃ? icchāmātreṇa tatsiddheḥ / kathaṃ	aTa KaxgAnAm kaTam para arTa kriyAM? icCA mAtreNa tad sidDeH / kaTam
   tebhyaḥ śravaṇam? sūśrūṣāmātreṇa / yataḥ śāstram 	teByaH SravaNam? sUSrUzA mAtreNa / yatas SAstram 
   [38] suśrūṣā yatra yatrārthe yasya yasya yathā yathā /	[38] suSrUzA yatra yatra arTe yasya yasya yaTA yaTA /
   sa so 'rthaḥ khyātyaśabdopi tasya tasya tathā tathā //	sa saH arTaH KyAti aSabdopi tasya tasya taTA taTA //
   'yasya yasya' vineyasya / 'yatra yatrārthe ' iti	ayasya yasya a vineyasya / ayatra yatra arTe a iti
   nirvedhabhāgīyeṣvāryamārge vā / 'yathā yathā' iti yena yenākāreṇa / atha	nirveDa BAgIyezu Arya mArge vA / ayaTA yaTA a iti yena yena AkAreNa / aTa
   khalu śakretyādi / dvitīyād atha khalu śakraśabdāt prāk nirvedhabhāgīyāni	Kalu Sakra ityAdi / dvitIyAt aTa Kalu Sakra SabdAt prAk nirveDa BAgIyAni
   vaktavyāni / tatra buddhadharmeṣu śikṣata ityetadantena ūṣmā / nāmapadaiḥ	vaktavyAni / tatra budDa Darmezu Sikzate iti etad antena UzmA / nAma padEH
   prajñaptiḥ vyavahāraḥ / tān nirdiśati / na ca virodhayati tāṃ	prajQaptiH vyavahAraH / tAn nirdiSati / na ca viroDayati tAm
   cottānīkaroti / tāmeva copadiśati / tathā hi prajñaptimātraṃ rūpaṃ	ca uttAnIkaroti / tAm eva ca upadiSati / taTA hi prajQapti mAtram rUpam
   prajñaptimātrameva dharmatetyupadiśati ityūṣmā /	prajQapti mAtram eva Darma tA iti upadiSati iti UzmA /
   yo 'prameyeṣvityādinā na parihāṇāyetyetadantena mūrdhā / kathaṃ na	yaH aprameyezu ityAdinA na parihANAya iti etad antena mUrDA / kaTam na
   śikṣate, anupalambhāditi / iti mūrdhā / yo na rūpasya vivṛddhaya ityādinā	Sikzate, anupalamBAt iti / iti mUrDA / yaH na rUpasya vivRdDayaH ityAdinA
   atha khalvāyuṣmānityataḥ prāk kṣāntiḥ / atra	aTa Kalu AyuzmAn iti atas prAk kzAntiH / atra
   rūpāderaparigrahayuktirmahatyorbhagavatyoruktā 'adhyātmaśūnyatāṃ	rUpa AdeH aparigraha yuktiH mahatyoH BagavatyoH uktAH aaDyAtma SUnyatAm
   yāvadabhāvasvabhāvaśūnyatāmupādāya' iti / iti kṣāntiḥ / atha	yAvat aBAva svaBAva SUnya tAm upAdAya a iti / iti kzAntiH / aTa
   khalvāyuṣmānityādinā atha khalu śakra ityataḥ prāgagradharmaḥ / evaṃ ceti	Kalu AyuzmAn ityAdinA aTa Kalu SakraH iti atas prAc agra DarmaH / evam ca iti
   buddhisthaṃ hetuḥ parāmṛśati / mahatyorbhagavatyorya uktaḥ tathā hi "na sa	budDi sTam hetuH parAmRSati / mahatyoH BagavatyoH yaH uktaH taTA hi "na sa
   rūpasyotpādaṃ paśyati na nirodhaṃ nodgrahaṃ notsargaṃ na saṃkleśaṃ	rUpasya utpAdam paSyati na niroDam na udgraham na utsargam na saMkleSam
   nāvadānaṃ na cayaṃ nāpacayaṃ no hānirna vṛddhim" ityagradharmāḥ / ataḥ	na avadAnam na cayam na apacayam naH hAniH na vRdDim" iti agra DarmAH / atas 
   śāstram 	SAstram 
   [39] prajñapteravirodhena dharmatāsūcanākṛtiḥ /	[39] prajQapteH aviroDena DarmatA sUcana AkRtiH /
   ūṣmagaṃ mūrdhagaṃ rūpādyahānādiprabhāvitam // 2 9 //	Uzmagam mUrDa gam rUpa AdyahAnAdi praBAvitam // 2 9 //
   [40] adhyātmaśūnyatādyābhī rūpāderaparigrahāt /	[40] aDyAtma SUnyatA AdyABiH rUpa AdeH aparigrahAt /
   kṣāntī rūpādyanutpādādyākārairagradharmatā // 2 10 //	kzAntiH rUpa Adi anutpAda Adi AkArEH agra DarmatA // 2 10 //
   ityuktaḥ pratyekabuddhamārgaḥ //	iti uktaH pratyekabudDa mArgaH //
   bodhisattvasya mārgo vaktavyaḥ / tamadhikṛtya śāstram 	boDisattvasya mArgaH vaktavyaH / tam aDikRtya SAstram 
   [41] kṣāntijñānakṣaṇaiḥ satyaṃ satyaṃ prati caturvidhaiḥ /	[41] kzAnti jQA na kzaNEH satyam satyam prati caturviDEH /
   mārgajñatāyāṃ dṛṅmārgaḥ sānusaṃ (śaṃ) soyamucyate // 2 11 //	mArga jQa tAyAm dRS mArgaH sAnusam (SaM) soyam ucyate // 2 11 //
   (RSt_29)	(RSt _29)
   iti saṃkṣepeṇa sūtrārthaḥ / dve kṣāntī dve ca jñāne pratisatyam / duḥkhe	iti saMkzepeNa sUtra arTaH / dve kzAntI dve ca jQAne pratisatyam / duHKe
   dharmajñānakṣāntirduḥkhe dharmajñānam / duḥkhe anvayajñānakṣāntirduḥkhe	Darma jQAnakzAntiH duHKe Darma jQAnam / duHKe anvayajQAnakzAntiH duHKe
   anvayajñānam / evaṃ samudayanirodhe mārge ca / ebhiḥ pratisatyaṃ	anvaya jQAnam / evam samudaya niroDe mArge ca / eBiH pratisatyam
   caturvidhaiḥ kṣaṇairbodhisattvasya darśanamārgajñatāyāmucyate	caturviDEH kzaNEH boDisattvasya darSana mArga jQa tAyAm ucyate
   sahānusaṃ(śaṃ)syaiḥ / eṣāṃ tu kṣaṇānāṃ viśeṣalakṣaṇamadhikṛtya śāstre	saha anusaM(SaM)syEH / ezAm tu kzaNAnAm viSeza lakzaNam aDikRtya SAstre
   pañca ślokāḥ 	paQca SlokAH 
   [42] ādhārādheyatābhāvāttathatābuddhayormithaḥ /	[42] ADAra ADeya tA BAvAt taTatA budDayoH miTas /
   paryāyeṇānanujñānaṃ mahattā sāpramāṇatā // 2 12 //	paryAyeNa ananujQAnam mahat tA sa apramANa tA // 2 12 //
   [43] parimāṇāttathatābhāvo rūpāderavadhāraṇam /	[43] parimANAt taTatA BAvaH rUpa AdeH avaDAraNam /
   tasyāṃ sthitasya buddhatve 'nugrahātyāgatādayaḥ // 2 13 //	tasyAm sTitasya budDa tve anugraha atyAgata AdayaH // 2 13 //
   [44] maitryādi śūnyatāvyāptirbuddhatvasya parigrahaḥ /	[44] mEtrI Adi SUnyatA vyAptiH budDa tvasya parigrahaH /
   sarvasya vyavadānasya sarvādhivyādhiśātanam // 2 14 //	sarvasya vyavadAnasya sarva aDivyADi SAtanam // 2 14 //
   [45] nirvāṇagrāhasā (śā)ntatvaṃ buddhebhyo rakṣaṇādikam /	[45] nirvANa grAhasAH (SA)nta tvam budDeByaH rakzaNa Adikam /
   apramāṇi (aprāṇi) vadhamārabhya sarvākārajñatā naye // 2 15 //	apramANi (a prANi) vaDam AraBya sarva AkAra jQa tA naye // 2 15 //
   [46] svayaṃ sthitasya satvānāṃ sthāpanaṃ pariṇāmanam /	[46] svayam sTitasya satvAnAm sTApanam pariNAmanam /
   dānādīnāṃ ca sambodhāviti mārgajñatākṣaṇāḥ // 2 16 //	dAna AdInAm ca samboDO= iti mArga jQa ta akzaNAH // 2 16 //
   mārgajñatāyāṃ bodhisattvasya darśanamārgakṣaṇā ityarthaḥ /	mArga jQa tAyAm boDisattvasya darSana mArga kzaNAH iti arTaH /
   imāṃ tu bhagavatīmadhikṛtyādyaṃ pādatrayamanyathā kartavyam / tatrādyaḥ	imAm tu BagavatIm aDikRtya Adyam pAda trayam anyaTA kartavyam / tatra AdyaH
   kṣaṇaḥ pādadvayena 	kzaNaH pAda dvayena 
   rūpādito dhīrnānanyā na cānyā paramārthataḥ /	rUpa AditaH DIH na ananyA na ca anyA paramArTataH /
   dhīḥ prajñāpāramitā sā rūpādibhyo nābhinnā lakṣaṇabhedāt / na ca bhinnā	DIH prajQApAramitA sA rUpa AdiByaH na aBinnA lakzaNa BedAt / na ca BinnA
   paramārthataḥ / tathā hi / yā prajñāpāramitā yadrūpādi yā rūpāditathatā yā	paramArTataH / taTA hi / yA prajQApAramitA yad rUpa Adi yA rUpa Adi taTa tA yA
   ca gaveṣaṇā sarva ete dharmā na saṃyuktā na visaṃyuktā arūpiṇo	ca gavezaNA sarve ete DarmAH na saMyuktAH na visaMyuktAH arUpiNaH 
   'nidarśanāpratighā ekalakṣaṇā yadutālakṣaṇāḥ, na saṃyuktā na visaṃyuktā	anidarSana apratiGAH eka lakzaNAH yat uta alakzaNAH, na saMyuktA na visaMyuktA
   iti / nābhinnāḥ na bhinnāḥ kalpitā nāmatvāt / bhedābhedayośca	iti / na aBinnAH na BinnAH kalpitAH nAma tvAt / Beda aBedayoH ca
   bhāvadharmatvāt / ata eva rūpaskandhābhāvādarūpiṇaḥ /	BAva Darma tvAt / atas eva rUpa skanDa aBAvAt arUpiNaH /
   cakṣurvijñānābhāvādanidarśanāḥ / svadeśe	cakzuH vijQAna aBAvAt anidarSanAH / sva deSe
   parasyotpatteravibandhanādapratighāḥ /	parasya utpatteH avibanDa nAda pratiGAH /
   bhedapratibhāsānāmastaṅgamādekalakṣaṇāḥ / yadutālakṣaṇā iti	Beda pratiBAsAnAma staFgamAt eka lakzaNAH / yat uta alakzaNAH iti
   tathatāmātralakṣaṇāḥ / ata ādyasya kṣaṇasya prastāvanā / atha khalu śakra	taTatA mAtra lakzaNAH / atas Adyasya kzaNasya prastAvanA / aTa Kalu Sakra
   ityādinā tatkasya hetorityataḥ prāk / tata urdhvamādyakṣaṇa evamukta	ityAdinA tat kasya hetoH iti atas prAk / tatas urDvam AdyakzaNaH evam ukta
   ityataḥ prāk / iti duḥkhe dharmajñānakṣāntiḥ /	iti atas prAk / iti duHKe Darma jQAna kzAntiH /
   caturṇāṃ kṣaṇānāṃ viśeṣalakṣaṇaṃ śāstreṇa 	caturNAm kzaNAnAm viSeza lakzaNam SAstreNa 
   (RSt_30)	(RSt _30)
   [43a] tasyā [:] catuṣṭayaṃ yattu mahattā sāpramāṇatā /	[43a] tasyAH [:] catuzwayam yat tu mahat tA sa apramANa tA /
   parimāṇāntatābhāvau rūpādeḥ	parimANa anta tA BAvO rUpa AdeH
   saha apramāṇatayā 'sā'pramāṇatā' / 'mahattā' apramāṇatā cetyarthaḥ / anta	saha apramANa tayA asA apramANa tA a / amahat tA a apramANa tA ca iti arTaH / anta
   evāntatā / parimāṇaścāntatā / ca tayorabhāvau aparimāṇatā / anantatā	eva anta tA / parimANaH ca anta tA / ca tayoH aBAvO aparimANa tA / ananta tA
   cetyarthaḥ / 'tasyāḥ' iti prajñāpāramitāyāstanmahattādi 'catuṣṭayaṃ yat	ca iti arTaH / atasyAH a iti prajQApAramitAyAH tat mahat tA Adi acatuzwayam yat 
   rūpādeḥ' iti sambandhaḥ / rūpādermahattvādinā tadālambanāyāḥ	rUpa AdeH a iti sambanDaH / rUpa AdeH mahat tva AdinA tad AlambanAyAH
   prajñāpāramitāyā mahattvādi / mahāpāramitā / apramāṇapāramitā /	prajQApAramitAyAH mahat tva Adi / mahApAramitA / apramANa pAramitA /
   aparimāṇapāramitā / anantapāramitā cetyarthaḥ / etacca	aparimANa pAramitA / ananta pAramitA ca iti arTaH / etat ca
   mahāpāramitāvijñānaṃ nirabhiniveśaṃ draṣṭavyam / evaṃ mahāpāramiteti	mahApAramitA vijQAnam niraBiniveSam drazwavyam / evam mahA pAramitA iti
   kauśika nābhiniviśata ityādeḥ sūtrapāṭhāt / ata evamukte śakreṇa	kOSika na aBiniviSataH iti AdeH sUtra pAWAt / atas evam ukte SakreNa
   teṣāmuddeśaḥ / sthavira ityādikaḥ subhūtinā saślādhānuvādaḥ / tataḥ	tezAm uddeSaH / sTaviraH iti AdikaH suBUtinA sa SlADa anuvAdaH / tatas 
   subhūtinaiva nirdeśaḥ tatkasyetyādi / tatra rūpādīnāṃ mahattā  amuṣmin	suBUtinA eva nirdeSaH tat kasya ityAdi / tatra rUpa AdInAm mahat tA amuzmin
   kāle bhāvo 'muṣminnabhāvaḥ  ityevaṃ kālato 'paricchedāt	kAle BAvaH amuzmin= aBAvaH iti evam kAlataH aparicCedAt 
   tadālambanatvāttasya mahattvam / iti duḥkhe dharmajñānam //	tad Alambana tvAt tasya mahat tvam / iti duHKe Darma jQAnam //
   ākāso(śo)pamena tathatāśarīreṇa pramāṇato 'paricchedādapramāṇateti /	AkAsa u(So)pamena taTatA SarIreNa pramANataH aparicCedAt apramANa tA iti /
   duḥkhe 'nvayajñānakṣāntiḥ //	duHKe anvayajQAna kzAntiH //
   saṃkhyayā aparicchedādaparimāṇateti duḥkhe 'nvayajñānam //	saMKyayA aparicCedAt aparimANa tA iti duHKe anvaya jQAnam //
   deśato 'paricchedādanantatā ārambaṇanantatayā ca / ārambaṇaṃ sarvadharmā	deSataH aparicCedAt ananta tA ArambaNananta tayA ca / ArambaNam sarva DarmA
   na ca teṣāmantato(tā)'sti gaṇanātikrāntatvāt / api ca sarvadharmā anantā	na ca tezAm antato(tA) asti gaNanA atikrAnta tvAt / api ca sarva DarmAH anantA
   asattvena teṣāmutpādavināśāntayorabhāvāt / sattvā	asattvena tezAm utpAda vinASa antayoH aBAvAt / sattvA
   apyālambanamubhayanairātmyajñāne / te cānantāḥ / śakra āha /	api Alambanam uBaya nErAtmya jQAne / te ca anantAH / SakraH Aha /
   tatkathamanantā iti / subhūtirāha / na gaṇanā ayogena gaṇanābahutvena veti	tat kaTam anantA iti / suBUtiH Aha / na gaNanA ayogena gaNanA bahutvena vA iti
   / na gaṇanātikrāntatvena / nāpyanantākhyayā saṃkhyayetyarthaḥ / kathaṃ	/ na gaNanA atikrAnta tvena / na api ananta AKyayA saMKyayA iti arTaH / kaTam
   tarhīti tarhi śabdo 'kṣamāyām / na dharmādhivacanamiti dharma ātmadravyaṃ	tarhi iti tarhi SabdaH akzamAyAm / na Darma aDivacanam iti DarmaH Atma dravyam
   na tasyādhivacanaṃ tasyābhāvāt / dharmatvena svārthābhidhānāt	na tasya aDivacanam tasya aBAvAt / Darma tvena sva arTa aBiDAnAt 
   nādharmādhivacanam / prakṣiptamiti sūtraiḥ prayuktam / kutaḥ? yata	na aDarma aDivacanam / prakziptam iti sUtrEH prayuktam / kutas ? yata
   āgaṃtukaṃ sati vicāre calatvāt / yato 'vastukaṃ ātmadravyābhāvāt /	AgaMtukam sati vicAre cala tvAt / yatas avastukam Atma dravya aBAvAt /
   ātmasambandhādapyātmeti kiñciducyate / tadapi nāstyātmano	Atma sambanDAt api AtmA iti kiQcid ucyate / tat api na asti AtmanaH 
   'tyantamasattvādityanātmīyam / athavā ātmaprajñaptiviṣayaḥ	atyantam asattvAt iti anAtmIyam / aTavA Atma prajQapti vizayaH
   skandhādirātmīyastasyāpyabhāvādanātmīyam / athavā nāma saṃjñā tasyātmīyaḥ	skanDa AdiH AtmIyaH tasya api aBAvAt anAtmIyam / aTavA nAma saMjQA tasya AtmIyaH
   saṃjñī / tadabhāvādanātmīyam / ārambaṇaṃ viṣayastadabhāvāt ānārambaṇam /	saMjQI / tad aBAvAt anAtmIyam / ArambaNam vizayaH tad aBAvAt AnArambaNam /
   atreti śāstṛśāsane / (RSt_31) etaccāptavacanādapi nairātmyasiddhiṃ	atra iti SAstR SAsane / (RSt _31) etat ca Apta vacanAt api nErAtmya sidDim
   darśayitumāha / kā satvānantateti / gaṇanāti krāntatvena na	darSayitum Aha / kA satva ananta tA iti / gaNanAti krAnta tvena na
   kācitpramāṇasiddhepi nairātmyeāptavacanādapi nātmasiddhiriti darśayitumāha	kAcid pramANa sidDepi nErAtmya ia Apta vacanAt api na Atma sidDiH iti darSayitum Aha
   / sacetyādi / svareṇeti vacanena / anantasya lokasya vijñaptirarthajñāpano	/ sacA ityAdi / svareNa iti vacanena / anantasya lokasya vijQaptiH arTa jQApanaH 
   ghoṣaḥ śabdo 'syeti tathoktena / tathāpyatimāṃsalatvāt gambhīro	GozaH SabdaH asya iti taTA uktena / taTA api ati mAMsala tvAt gamBIraH 
   nirghoṣastūryanirghoṣavadvicitraḥ śabdosyeti tathoktena / avitiṣṭhamāna	nirGozaH tUrya nirGoza vat vicitraH Sabdosya iti taTA uktena / avitizWamAna
   iti aviśrāmyena / api nviti kinnu / ādiśuddhatvamādita	iti aviSrAmyena / api nu iti kinnu / Adi SudDa tvam Adita
   evāsattvapariśuddhatvaṃ sarvatrāsattvam / anenāpi paryāyeṇa prakāreṇa /	eva asattva pariSudDa tvam sarvatra asat tvam / anena api paryAyeNa prakAreNa /
   anantapāramiteyam / katamenetyata āha / evaṃ sattvānantayeti /	ananta pAramitA iyam / katamena iti atas Aha / evam sattva anantayA iti /
   satvānāmutpādanirodhāntavirahāt sattvānantatayeti / evaṃ cetyevameva / na	satvAnAm utpAda niroDa anta virahAt sattva anantatayA iti / evam ca iti evam eva / na
   gaṇānatikrāntatveneti samudaye dharmajñānakṣāntiḥ //	gaNAn atikrAnta tvena iti samudaye Darma jQAna kzAntiH //
   avadhāraṇam //	avaDAraNam //
   tasyāṃ sthitasya buddhatve,	tasyAm sTitasya budDa tve,
   'tasyāṃ' prajñāpāramitāyāṃ sthitāyāṃ yad 'buddhatve 'vadhāraṇaṃ' buddha	atasyAma prajQApAramitAyAm sTitAyAm yat abudDa tve avaDAraNama budDa
   eva sa dṛṣṭavya iti sa ṣaṣṭhaḥ kṣaṇaḥ / tasya prastāvanā / atha khalu	eva sa dRzwavyaH iti sa zazWaH kzaNaH / tasya prastAvanA / aTa Kalu
   sendrakā ityādinā / indra śakraḥ / brahmā sahāpatiḥ / prajāpatayaścatvāro	sa indrakAH ityAdinA / indra SakraH / brahmA sahApatiH / prajApatayaH catvAraH 
   lokapālāḥ / viśiṣṭa dharmaśravaṇapraharṣādaprayatnajaṃ vacanaṃ udānaṃ tat	lokapAlAH / viSizwa Darma SravaNa praharzAt aprayatna jam vacanam udAnam tat 
   udānayanti sma / udīratavantaḥ / aho ityāścarye / dharma iti deśanādharmaḥ	udAnayanti sma / udIratavantaH / aho iti AScarye / DarmaH iti deSanA DarmaH
   / punaḥ dharma iti dharmaprakāśito darśanamārgaḥ / tasyaiva dharmasya	/ punar DarmaH iti Darma prakASitaH darSana mArgaH / tasya eva Darmasya
   dharmatā prakṛtistathā gatotpādanam / ata evāhuḥ ya ityādi / prādurbhāva	DarmatA prakRtiH taTA gata utpAdanam / atas eva AhuH yaH ityAdi / prAdurBAva
   utpādo 'nāśravalakṣaṇaḥ sūcyate / tadvacanātkilādau pratīteḥ / tataḥ	utpAdaH anASrava lakzaNaH sUcyate / tad vacanAt kila AdO pratIteH / tatas 
   kramena(ṇa) sphuṭena sphuṭataraṃ sphuṭatamaṃ ca pratīteḥ / deśyate	kramena(Na) sPuwena sPuwataram sPuwatamam ca pratIteH / deSyate
   prakāśyate prabhāvyate ca / tathāgatamityādinā tameva ṣaṣṭhaṃ kṣaṇamāhuḥ /	prakASyate praBAvyate ca / taTAgatam ityAdinA tam eva zazWam kzaNam AhuH /
   adyāgreṇeti / adya prabhṛti dhārayiṣyāmaḥ / avirahito prāptāparihāṇāt /	adya agreNa iti / adya praBRti DArayizyAmaH / avirahitaH prApta aparihANAt /
   vihariṣyati saṃmukhībhāvāt / tathāgataṃ tu svayamavadhārayiṣyāma iti	viharizyati saMmuKIBAvAt / taTAgatam tu svayam avaDArayizyAmaH iti
   yaduktaṃ tattathāgatatve niyatamaviśeṣalābhāt / tallābhe ca vyākaraṇam /	yat uktam tat taTAgata tve niyatam aviSeza lABAt / tad lABe ca vyAkaraNam /
   tata āha yadāhamityādi / alpavayo hi śrotriyo māṇavaka ityucyate /	tatas Aha yadA aham ityAdi / alpa vayaH hi SrotriyaH mANavakaH iti ucyate /
   tasyāmantraṇaṃmāṇavaka, bhaviṣyasi buddho bhagavān svayamabhisaṃbodhāt /	tasya amantraNaMmANavaka, Bavizyasi budDaH BagavAn svayam aBisaMboDAt /
   buddhiratiśayenāsyāstīti buddhaḥ / tādṛśaṃ pratyekabuddhopīti /	budDiH atiSayena asya asti iti budDaH / tAdRSam pratyekabudDa upIti /
   tadvayavacchedārthaṃ bhagavad grahaṇam / ṣaḍivadhena bhagārthena tasya	tadvayava= Ceda arTam Bagavat grahaNam / zaxivaDena Baga arTena tasya
   yogāt / bhagavān bodhisattvopi / tadvayavacchedārthaṃ buddhagrahaṇaṃ	yogAt / BagavAn boDisattvopi / tadvayava= Ceda arTam budDa grahaNam
   tasyānabhisambodhāt / yathā dharmāstathaiva gadanāt tathāgataḥ / gadeḥ	tasya anaBisamboDAt / yaTA DarmAH taTA eva gadanAt taTAgataH / gadeH
   pacādyac / nairuktastakāraḥ / arayaḥ kleśāstān hatavāniti arhan /	pacAt yat / nErukta stakAraH / arayaH kleSAH tAn hatavAn iti arhan /
   samyagaviparītaṃ samastaṃ buddhamaneneti samyaksaṃbuddhaḥ / etena (RSt_32)	samyak aviparItam samastam budDam anena iti samyaksaMbudDaH / etena (RSt _32)
   śāstṛtvasaṃpaduktā / na hyavaktā viparītavaktā vā śāstā bhavati /	SAstR tva saMpad uktA / na hi avaktA viparIta vaktA vA SAstA Bavati /
   viparītavacanaṃ ca kleśavaśādajñānādvā bhavet / taccobhayamasya nāsti	viparIta vacanam ca kleSa vaSAt ajQAnAt vA Bavet / tat ca uBayam asya na asti
   yathākramamarhatvāt samyaksambuddhatvācc / saṃsāriṇaḥ kathamī[dṛśī]	yaTAkramam arha tvAt samyaksambudDa tvAt c / saMsAriNaH kaTam I[dRSI]
   śaktiriti cedāha sugata iti / gataḥ punarbhavāt muktaḥ / suśabdaḥ prasa	SaktiH iti ced Aha sugataH iti / gataH punarBavAt muktaH / su SabdaH prasa
