   Suvarṇavarṇāvadāna	SuvarNa-varNa-avadAna
   trirātrestridivasasya śrāvakacakṣuṣā lokaṃ vyavalokayati | ko hīyate ko	tri-rAtreH-tri-divasasya SrAvaka-cakzuzA lokam vyavalokayati | kaH hIyate kaH-
   varddhate kaḥ kṛcchraprāptaḥ kaḥ saṅkaṭaprāptaḥ kaḥ sambādhaprāptaḥ kaḥ	vardDate kaH kRcCra-prAptaH kaH saFkawa-prAptaH kaH sambADa-prAptaH kaH
   kṛcchrasaṅkaṭasambādhaprāptaḥ | ko 'pāyanimnaḥ ko 'pāyapravaṇaḥ ko	kRcCra-saFkawa-sambADa-prAptaH | kaH apAya-nimnaH kaH apAya-pravaNaH ko
   'pāyaprāptāraḥ | kam aham apāyamārgād uddhṛtya svarge mokṣe ca	apAya-prAptAraH | kam aham apAya-mArgAt udDRtya svarge mokze ca
   pratiṣṭhāpayeyaṃ | kasya kāmapaṅkanimagnasya hastoddhāram anupradadyāṃ |	pratizWApayeyam | kasya kAma-paFka-nimagnasya hasta-udDAram anupradadyAm |
   kam āryadhanavirahitaṃ āryadhanaiśvaryādhipatye pratiṣṭhāpayeyam ity	kam Arya-Dana-virahitam Arya-Dana-ESvarya-ADipatye pratizWApayeyam iti-
   adrākṣīt sthavirānandaḥ sthaviraśāradvatīsutasamena cakṣuṣā suvarṇavarṇaṃ	adrAkzIt sTavirAnandaH sTavira-SAradvatI-suta-samena cakzuzA suvarNa-varNam
   kumāramupacitakuśalamūlasambhāraṃ kṛcchrasaṅkaṭasambādhaprāptaṃ ca dṛṣṭvā	kumAram-upacita-kuSala-mUla-samBAram kRcCra-saFkawa-sambADa-prAptam ca dRzwvA
   punas tatrastha eva ṛddhyā gajabhujasadṛśam bāhum abhiprasārya sahasaiva	punar tatrasTaH eva RdDyA gaja-Buja-sadRSam bAhum aBiprasArya sahasA-eva
   rājānam ajātaśatrum upariprāsādatalagatam atipramattavihāriṇam	rAjAnam ajAta-Satrum upari-prAsAda-tala-gatam ati-pramatta-vihAriNam
   acchaṭāśabdena prabodhya vyāpinā svareṇovāca | mahārāja na śobhanaṃ te	acCawA-Sabdena praboDya vyApinA svareNa-uvAca | mahA-rAja na SoBanam te
   kṛtaṃ yata suvarṇavarṇaḥ kumāraḥ svayam eva na vicāritas tathādyaiṣa na	kRtam yata suvarNa-varNaH kumAraH svayam eva na vicAritaH taTA-adya-eza na
   sāṃpratam atrāpy anapakārī rājagṛhān niṣkāśya mahāśmaśānaṃ nīyate	sAMpratam atra-api anapakArI rAjagRhAt nizkASya mahA-SmaSAnam nIyate
   praghātayituṃ | nivārayety athaitat sthavirānandavacanam upaśrutya rājā	praGAtayitum | nivAraya-iti aTa-etat sTavira-Ananda-vacanam upaSrutya rAjA
   sasambhramaṃ tvaritam abhinamya sthaviranandam uparidhavalagṛhastha	sa-samBramam tvaritam aBinamya sTavira-nandam upari-Davala-gRhasTa
   utthāya mahatā svareṇa caturdiśam uktaṃ bhoḥ śrūyatāṃ yo mahāśmāśānaṃ	utTAya mahatA svareNa caturdiSam uktam BoH SrUyatAm yaH mahA-SmASAnam
   tvarita mabhigamyāsmadvacanāt suvarṇavarṇaṃ kumāraṃ ghātyamānaṃ	tvarita maBigamya-asmad-vacanAt suvarNa-varNam kumAram GAtyamAnam
   pratimocayati tasyāhaṃ suvarṇapeṭakamanu prayacchāmi pañca ca grāmavarāṇi|	pratimocayati tasya-aham suvarNa-pewakam-anu prayacCAmi paQca ca grAma-varANi|
   mahājanavallabho 'sau kumāraḥ| tad rājño vacanam upaśrutya prāṇisahasrāṇi	mahA-jana-vallaBaH asO kumAraH| tat rAjQaH vacanam upaSrutya prANi-sahasrANi
   pradhāvitāni ||	praDAvitAni ||
   Sva Roy 122,1 - 123,4	Svas Roy 122,1  123,4
   [49] athaitasminn antare vadhyaghātakās tai rājapuruṣair adhiṣṭhitāḥ	[49] aTa-etasmin antare vaDya-GAtakAH tEH rAja-puruzEH aDizWitAH
   suvarṇavarṇaṃ kumāram ādāya mahāśmaśānam anuprāptāḥ | kāśisundarī dārikā	suvarNa-varNam kumAram AdAya mahA-SmaSAnam anuprAptAH | kASisundarI dArikA
   svakair jñātibhir nīlapītalokahitāvadātair vastraiḥ samalaṅkṛtāyāṃ	svakEH jQAtiBiH nIla-pIta-loka-hita-avadAtEH vastrEH samalaFkRtAyAm
   śivikāyām āropya mahāśmaśānam abhinirhṛtā tasyā jñātayas tām ekasmin	SivikAyAm Aropya mahA-SmaSAnam aBinirhRtA tasyAH jQAtayaH tAm ekasmin
   pradeśe sthāpayitvā kāṣṭhāni samudānīya citām uparacayitum ārabdhāḥ | taiś	pradeSe sTApayitvA kAzWAni samudAnIya citAm uparacayitum ArabDAH | tES
   ca vadhyaghātakair uktāḥ | etāvad eṣā yuṣmābhiś citāyām āropayitavyā	ca vaDya-GAtakEH uktAH | etAvat ezA yuzmABiH citAyAm AropayitavyA
   muhūrtaṃ tāvad udīkṣadhvaṃ | yāvad vayaṃ suvarṇavarṇaṃ kumāraṃ śūle protaṃ	muhUrtam tAvat udIkzaDvam | yAvat vayam suvarNa-varNam kumAram SUle protam
   kṛtvā praghātayāmo yat kāraṇam eṣa suvarṇavarṇaḥ kumāro 'nayā kāśisundaryā	kRtvA praGAtayAmaH yat kAraNam eza suvarNa-varNaH kumAraH anayA kASisundaryA
   dārikayā saha ekāṃ citām āropya dhyāpayitavya ity uktvā śūlaṃ pṛthivyāṃ	dArikayA saha ekAm citAm Aropya DyApayitavyaH iti uktvA SUlam pRTivyAm
   pratiṣṭhāpayitum ārabdhāḥ ||	pratizWApayitum ArabDAH ||
   Sva Roy 123,2 - 125,3	Svas Roy 123,2  125,3
   [50] atha suvarṇavarṇaḥ kumāraḥ śūlaṃ pṛthivyāṃ pratiṣṭhāpya mānam ālokya	[50] aTa suvarNa-varNaH kumAraH SUlam pRTivyAm pratizWApya mAnam Alokya
   mātaram anusmṛtya tīvramanyudravīkṛtasantāno 'śrūṇi prapātayitum ārabdhaḥ	mAtaram anusmRtya tIvra-manyu-dravIkRta-santAnaH aSrUNi prapAtayitum ArabDaH
   | sāṃprataṃ mātur madviyogaṃ śrutvā kā 'vasthā bhaviṣyati | yā hi nāma	| sAMpratam mAtuH mad-viyogam SrutvA kA avasTA Bavizyati | yA hi nAma
   pūrvaṃ yāmārddhamātram api mām apaśyantī parāpīḍāpraveditavatī sā	pUrvam yAma-ardDa-mAtram api mAm apaSyantI parApIxa-apraveditavatI sA
   mayādyaikaputreṇa viyuktā kathaṃ prāṇān dhārayiṣyati | hā kaṣṭam īdṛśo 'py	mayA-adya-eka-putreNa viyuktA kaTam prANAn DArayizyati | hA kazwam IdRSaH api-
   aham evam adhanyo yan mām āgamya mātā madviyogaduḥkhaṃ	aham evam aDanyaH yat mAm Agamya mAtA mad-viyoga-duHKam
   pratyanubhaviṣyatīti | tatas tair vadhyaghātakaiḥ tat śūlaṃ pṛthivyāṃ	pratyanuBavizyati-iti | tatas tEH vaDya-GAtakEH tat SUlam pRTivyAm
   nikhātaṃ paraparāṅ ca saṅjalpaṅ kartum ārabdhaḥ | ko 'smākaṃ kumāraṃ śūle	niKAtam para-parAj ca saFjalpaF kartum ArabDaH | kaH asmAkam kumAram SUle
   samāropayati | tatra caikaiko 'pi vyājaṃ kartum ārabdho yūyam āropayata |	samAropayati | tatra ca-ekEkaH api vyAjam kartum ArabDaH yUyam Aropayata |
   mama śirorujātyartham bādhate | mama pṛṣṭhaśūlam mama pārśvaśūlam iti na	mama SiraH-ru-jA-atyarTam bADate | mama pRzWa-SUlam mama pArSva-SUlam iti na
   teṣāṃ kaścid utsahate sma tad akāryaṅ kartuṃ ||	tezAm kaScid utsahate sma tat akAryaF kartum ||
   Sva Roy 125,3 - 127,128	Svas Roy 125,3  127,128
   [51] tataḥ suvarṇavarṇaḥ kumāras teṣāṃ sañjarupaṃ śrutvā śūlañ ca	[51] tatas suvarNa-varNaH kumAraH tezAm saQjarupam SrutvA SUlan ca
   pṛthivyāṃ nikhātam udvīkṣya hā sāmpratam ahaṃ na bhaviṣyāmīti | saṃsāra	pRTivyAm niKAtam udvIkzya hA sAmpratam aham na BavizyAmi-iti | saMsAra
   doṣodvigno mokṣamārggābhilāṣī nirānandamātmānamavagamya param abhayaviṣāda	doza-udvignaH mokza-mArgga-aBilAzI nirAnandam-AtmAnam-avagamya param aBaya-vizAda
   vihvalekṣaṇo vikroṣṭum ārabdhaḥ | hā kaṣṭam idānīṃ mayā sudurllabhaṃ	vihvala-IkzaNaH vikrozwum ArabDaH | hA kazwam idAnIm mayA su-durllaBam
   saddharmamahotsavaṃ manuṣyatvam āsādyākṛtārthe naiva marttavyam	sadDarma-mahA-utsavam manuzya-tvam AsAdya-akRtArTe na-eva marttavyam
   bhaviṣyatīti | hā punar api saṃsāre saṃsariṣyāmi | punar api mayā	Bavizyati-iti | hA punar api saMsAre saMsarizyAmi | punar api mayA
   saṃsāracārake vastavyaṃ bhaviṣyati | punaḥ saṃsārāṭavyāṃ paribhramitavyaṃ	saMsAra-cArake vastavyam Bavizyati | punar saMsAra-awavyAm pariBramitavyam
   bhaviṣyati | punaḥ saṃsāramahāgahanaṃ praveṣṭavyam bhaviṣyati | punaḥ	Bavizyati | punar saMsAra-mahA-gahanam pravezwavyam Bavizyati | punar-
   saṃsāramahāprapāte patitavyam bhaviṣyati | punaḥ saṃsāramahājambālamadhye	saMsAra-mahA-prapAte patitavyam Bavizyati | punar saMsAra-mahA-jambAla-maDye
   sthātavyam bhaviṣyati | punar mayā	sTAtavyam Bavizyati | punar mayA
   sañjīvanakālasūtrasaṃghātarauravamahārauravapratāpanāvīcyādiṣu	saQjIvana-kAlasUtra-saMGAta-rOrava-mahArOrava-pratApanA-vIci-Adizu
   narakeṣūpapattavyaṃ bhaviṣyati | punar api mayā	narakezu-upapattavyam Bavizyati | punar api mayA
   gajagavayamahiṣaśaśaśarabhamṛgarurucamarabiḍālacitrāsu yoniṣūpapattavyam	gaja-gavaya-mahiza-SaSa-SaraBa-mRga-ruH-u-camara-bixAla-citrAsu yonizu-upapattavyam
   bhaviṣyati | punar api mayā satataṃ	Bavizyati | punar api mayA satatam
   kṣuttṛṣṇādimahadduḥkhadaurmanasyaparīteṣu nirnaṣṭapānabhojanaśabdeṣu	kzut-tRzNA-Adi-mahat-duHKa-dOrmanasya-parItezu nirnazwa-pAna-Bojana-Sabdezu
   mūtrapurīṣakheṭasiṃhāṇakādyāhāreṣu galagaṇḍakādiṣu preteṣūpapattavyam	mUtra-purIza-Kewa-siMhANaka-Adi-AhArezu galagaNxaka-Adizu pretezu-upapattavyam
   bhaviṣyati ||	Bavizyati ||
   Sva Roy 128,1 - 130,1	Svas Roy 128,1  130,1
   [52] śrūyate ca kadācit karhicit tathāgatā arhantaḥ samyaksambuddhā loka	[52] SrUyate ca kadAcid karhicit taTAgatAH arhantaH samyaksambudDAH loka
   utpadyante | tad yathodumbare puṣpaṃ kadācit karhicit	utpadyante | tat yaTA-udumbare puzpam kadAcid karhicit-
   tathāgatapraveditasya dharmavinayasya lokeṣu darśanārthaṃ prajñāyate |	taTAgata-praveditasya Darma-vinayasya lokezu darSana-arTam prajQAyate |
   durllabhā kṣaṇasampad durllabham manuṣyatvam āryāyatane pratyājātir	durllaBA kzaNa-sampad durllaBam manuzya-tvam Arya-Ayatane pratyAjAtiH-
   indrayair vikalatā 'jaḍatā 'neḍamūkatā 'hastasamvārtikatā pratibalatā	indrayEH vikala-tA ajaxa-tA anexamUka-tA ahasta-samvArtika-tA pratibala-tA
   subhāṣitadurbhāṣitānāṃ dharmāṇām artham ājñātuṃ | ahañ cātra viratito 'dya	su-BAzita-durBAzitAnAm DarmANAm arTam AjQAtum | ahan ca-atra viratitaH adya
   na bhaviṣyāmi | tad idam aṣṭākṣaṇavinirmuktam me manuṣyatvaṃ viphalī	na BavizyAmi | tat idam azwa-akzaNa-vinirmuktam me manuzya-tvam viPalI
   bhaviṣyati | tata kim idānīṅ karomi | kiṃ bhagavān mahākāruṇiko buddhas	Bavizyati | tata kim idAnIF karomi | kim BagavAn mahA-kAruNikaH budDas
   tiṣṭhati yaṃ samanusmārāmi yo mām āsyām avasthāyām anātham atrāṇam	tizWati yam samanusmArAmi yaH mAm AsyAm avasTAyAm anATam atrANam
   aśaraṇaṃ aparāyaṇaṃ nirālokaṃ kṛcchrasaṅkaṭasambādhaprāptaṃ	aSaraNam aparAyaNam nirAlokam kRcCra-saFkawa-sambADa-prAptam
   mahākāruṇikatvād āgatya paritrāsyate | sa ca bhagavān mama bhāgyāparādhena	mahA-kAruNika-tvAt Agatya paritrAsyate | sa ca BagavAn mama BAgya-aparADena
   laghu laghu eva parinirvṛtaḥ | tat kim idānīm asyām avasthāyāṃ	laGu laGu eva parinirvRtaH | tat kim idAnIm asyAm avasTAyAm
   samanusmarāmi | ko me tathāgata iva kāruṇyād āgatya paritrāṇaṅ kariṣyatīti	samanusmarAmi | kaH me taTAgataH iva kAruNyAt Agatya paritrANaF karizyati-iti
   | nirāśībhūtaḥ kampitum ārabdhaḥ ||	| nirASIBUtaH kampitum ArabDaH ||
   Sva Roy 130,1 - 133,134	Svas Roy 130,1  133,134
   [53] tasya buddhir utpannā sthavirānando mahātmā tiṣṭhati | taṃ	[53] tasya budDiH utpannA sTavirAnandaH mahAtmA tizWati | tam
   samanusmarāmi | so 'pi mahātmā śrūyate sarvasattvahitāvahitacittasantānaḥ	samanusmarAmi | saH api mahAtmA SrUyate sarva-sattva-hita-avahita-citta-santAnaH
   | tasya bhagavatā sthavirmahākāśyapena ca sakalaṃ śāsanam anuparīnditaṃ |	| tasya BagavatA sTaviH-mahAkASyapena ca sakalam SAsanam anupari-inditam |
   tenādhunāvalokyāvalokya sarvasattvahitaṃ karaṇīyaṃ mahārddhikaś cāsau	tena-aDunA-avalokya-avalokya sarva-sattva-hitam karaNIyam mahA-rdDikaH ca-asO
   mahānubhāvaḥ samarthaś ca sthavirānando mām asmād vyasanāt paritrātuṃ tam	mahA-anuBAvaH samarTaH ca sTavirAnandaH mAm asmAt vyasanAt paritrAtum tam
   eva samanusmarāmīti viditvā vāṣpāmbupariplutekṣaṇaḥ | saṃsārabhayodvignaḥ	eva samanusmarAmi-iti viditvA vA-azpa-ambu-paripluta-IkzaNaH | saMsAra-Baya-udvignaH
   | paramasamvegaprāptas tīvreṇāśayena sthavirānandam āyācituṃ pravṛttaḥ ||	| parama-samvega-prAptaH tIvreNa-ASayena sTavirAnandam AyAcitum pravRttaH ||
   saṃsārabhayabhītasya nirānandasya me sataḥ |	saMsAra-Baya-BItasya nirAnandasya me sataH |
   sthavirānanda vijñaptiṃ tvam idānīṃ śrotum arhasi |1|	sTavirAnanda vijQaptim tvam idAnIm Srotum arhasi |1|
   sattvārthabhāraṃ nikṣipya sarvajñaḥ karuṇātmakaḥ |	sattva-arTa-BAram nikzipya sarvajQaH karuNA-AtmakaH |
   ayi nirvṛtim āyātaḥ kāśyape tu mahātmani |2|	ayi nirvRtim AyAtaH kASyape tu mahAtmani |2|
   sthaviro 'pi kṛtārtho 'sau kāśyapaḥ parinirvṛttaḥ |	sTaviraH api kRtArTaH asO kASyapaH parinirvRttaH |
   tvayy eva bhāraṃ nikṣipya jagato 'sya vibhūtaye |3|	tvayi eva BAram nikzipya jagataH asya viBUtaye |3|
   idānīṃ nirvṛtiṃ yāte sambuddhe lokabāndhave |	idAnIm nirvRtim yAte sambudDe loka-bAnDave |
   sarvasattvahitodyukte kāśyape ca yaśasvini |4|	sarva-sattva-hita-udyukte kASyape ca yaSasvini |4|
   anāthānāṃ bhavān nātho bhītānām abhayapradaḥ |	anATAnAm BavAn nATaH BItAnAm aBaya-pradaH |
   viśrāmabhūmiṃ śrāntānāṃ śaraṇaṃ śaraṇārthināṃ |5|	viSrAma-BUmim SrAntAnAm SaraNam SaraNa-arTinAm |5|
   śāstṛkṛtyaṃ tvayā kāryaṃ tvaṃ lokasyaikabāndhavaḥ |	SAstR-kRtyam tvayA kAryam tvam lokasya-eka-bAnDavaH |
   agrayas tvaṃ buddhaśiṣyāṇāṃ tvañ ca śāsanadhūrddharaḥ |6|	agrayaH tvam budDa-SizyANAm tvan ca SAsana-DUrdDaraH |6|
   tvam adya duḥkhapātālād yadi māṃ noddhariṣyasi |	tvam adya duHKa-pAtAlAt yadi mAm na-udDarizyasi |
   hato 'smi yasmād dheto 'nyaṃ nāthaṃ nānavaimi sāṃprataṃ |7|	hataH asmi yasmAt DetaH anyam nATam nAnavEmi sAMpratam |7|
   na bibhemi tathā mṛtyor jātasya maraṇaṃ dhruvaṃ |	na biBemi taTA mRtyoH jAtasya maraNam Druvam |
   niḥsṛtiṃ tvaṃ vijānāno yathā saṃsārasāgarat |8|	niHsRtim tvam vijAnAnaH yaTA saMsAra-sAgarat |8|
   tathāṣṭākṣaṇanirmuktaṃ kṣaṇam āsādya durlabhaṃ |	taTA-azwa-akzaNa-nirmuktam kzaNam AsAdya durlaBam |
   akṛtārthena martavyam iti me mahatī vyathā |9|	akRtArTena martavyam iti me mahatI vyaTA |9|
   durllabhaḥ khalu buddhānām utpādaḥ sarvadarśināṃ |	durllaBaH Kalu budDAnAm utpAdaH sarva-darSinAm |
   tvām āgamya yathā nīti vandhyatām me tathā kuru |10|	tvAm Agamya yaTA ni-iti vanDya-tAm me taTA kuru |10|
   tava kāruṇyam acalaṃ sarvaprāṇiṣu vidyate |	tava kAruNyam acalam sarva-prANizu vidyate |
   tan māṃ nopekṣituṃ yuktaṃ mokṣamārgābhilāṣiṇaṃ |11|	tat mAm na-upekzitum yuktam mokza-mArga-aBilAziNam |11|
   yadi ca tvam mahābhāga sarvasattvahitodyataḥ |	yadi ca tvam mahABAga sarva-sattva-hita-udyataH |
   kṛcchrasaṅkasambādhaprāptam mām avalokaya |12|	kRcCra-saFka-sambADa-prAptam mAm avalokayaH |12|
   tad evam aparitrāṇaṃ vīkṣya divyena cakṣuṣā |	tat evam aparitrANam vIkzya divyena cakzuzA |
   tvam adya kṣipram āgamya māṃ paritrātum arhasī ty |13|	tvam adya kzipram Agamya mAm paritrAtum arhasI ti |13|
   Sva Roy 134,1 - 137,5	Svas Roy 134,1  137,5
   [54] athāsminn antare sthavirānando mahātmā	[54] aTa-asmin antare sTavirAnandaH mahAtmA
   sakalajagadarthasampādanāvabaddhaparikaraḥ kāruṇyāc cānena	sakala-jagat-arTa-sampAdana-avabadDa-parikaraH kAruNyAt ca-anena
   tathānantasattvaceṣṭāvalokanāhitacittasantānaparamaduḥkhādivyena cakṣuṣā	taTA-ananta-sattva-cezwA-avalokanAhita-citta-santAna-parama-duHKa-Adivyena cakzuzA
   suvarṇavarṇaṃ kumāram asyām avasthāyāṃ varttamānam ālokya karuṇayā	suvarNa-varNam kumAram asyAm avasTAyAm varttamAnam Alokya karuNayA
   sañcodyamānacittavṛttirdivyenāvabhāsena bhuvanamaṇḍalam avabhāsya	saQcodyamAna-citta-vRttiH-divyena-avaBAsena Buvana-maNxalam avaBAsya
   pañcārhacchataparivāraḥ sahasaiva ṛddhyā nabhastalam sandhyābhrapaṭalair	paQca-arha=-Sata-parivAraH sahasA-eva RdDyA naBastalam sanDyA-aBra-pawalEH-
   iva gaganatalam āpūrayan sakalabhuvanalakṣmīpuñja iva dedīpyamānavigrahaḥ	iva gagana-talam ApUrayan sakala-Buvana-lakzmI-puQjaH iva dedIpyamAna-vigrahaH
   śmaśānābhimukhaḥ saṃprasthitaḥ | adrākṣīd rājā 'jātaśatrur	SmaSAna-aBimuKaH saMprasTitaH | adrAkzIt rAjA ajAtaSatruH-
   uparidhavalagṛhasyāvasthitaḥ | sthavirānandaṃ mahatābhikṣusaṃghena	upari-Davala-gRhasya-avasTitaH | sTavira-Anandam mahatA-aBikzu-saMGena
   sārddham arddhacandrākāropagūḍham upari vihāyasā ṛddhyā	sArdDam ardDa-candra-AkAra-upagUXam upari vihAyasA RdDyA
   sandhyābhrapaṭalair iva gaganatalam alaṅkṛtya mahāśmaśāṇābhimukham	sanDyA-aBra-pawalEH iva gagana-talam alaFkRtya mahA-aSmaSANa-aBimuKam
   āgacchantaṃ dṛṣṭvā ca punar asyābhavan niyataṃ sthavirānandaḥ	AgacCantam dRzwvA ca punar asya-aBavat niyatam sTavirAnandaH
   suvarṇavarṇaṃ kumāram uddiśyāgatas tañ cāgamya mahad āścaryādbhutan	suvarNa-varNam kumAram uddiSya-AgataH tan ca-Agamya mahat AScaryAt-Butan
   dharmaṃ deśayitukāmo bhaviṣyatīti | gacchāmy aham mahāśmaśānam iti | tataś	Darmam deSayitu-kAmaH Bavizyati-iti | gacCAmi aham mahA-SmaSAnam iti | tatas-
   ca sahasaiva sthavirānandaṃ saparivāraṃ namaskṛtya śaraṇapṛṣṭhāt	ca sahasA-eva sTavirAnandam sa-parivAram namaskRtya SaraNa-pRzWAt-
   tvaritatvaritam avatīrya padabhyām eva naika prāṇiśatasahasraparivāro	tvarita-tvaritam avatIrya padaByAm eva na-eka prANi-Sata-sahasra-parivAraH-
   mahāśmaśānaṃ saṃprasthitaḥ | asmiṃś cānantare vadhyaghātakās tai	mahA-SmaSAnam saMprasTitaH | asmin ca-anantare vaDya-GAtakAH tE
   rājapuruṣair udyatā śastrais tarjitāḥ kim artham eva vilambadhvaṃ śīghram	rAja-puruzEH udyatA SastrEH tarjitAH kim arTam eva vilambaDvam SIGram
   enaṃ kumāraṃ śūle samāropayateti | tatas te vaghyaghātakāḥ saṃtrastāḥ	enam kumAram SUle samAropayata-iti | tatas te vaGya-GAtakAH saMtrastAH
   suvarṇavarṇaṃ kumāraṃ śūle samāropayāmaḥ | ity uktvā kṣeptum ārabdhā |	suvarNa-varNam kumAram SUle samAropayAmaH | iti uktvA kzeptum ArabDAH |
   suvarṇavarṇaḥ kumāraḥ saṃsāradoṣodvignacetā nirāśībhūto vikroṣṭum ārabdhaḥ	suvarNa-varNaH kumAraH saMsAra-doza-udvigna-cetAH nirASIBUtaH vikrozwum ArabDaH
   | hā kaṣṭam āryānandenāhaṃ parityakto yan nāma samanvākṛtya na paritrāta	| hA kazwam Arya-Anandena-aham parityaktaH yat nAma samanvAkRtya na paritrAta
   ity ||	iti ||
   Sva Roy 137,3 - 141,3	Svas Roy 137,3  141,3
   [55] athāsminn antare sthavirānando mahātmā dūrata evāgacchan vyāpinā	[55] aTa-asmin antare sTavirAnandaH mahAtmA dUratas eva-agacCan vyApinA
   svareṇa diśaḥ sarvvāḥ samāpūrayan suvarṇavarṇaṃ kumāraṃ samāśvāsayann	svareNa diSaH sarvvAH samApUrayan suvarNa-varNam kumAram samASvAsayan=-
   uvāca | mā bhair vatsa yuṣmadvidhānam eva vineyānām arthe imam	uvAca | mA BEH vatsa yuzmad-viDAnam eva vineyAnAm arTe imam
   āśīviṣaprakhyaṃ kāyam aham dhārayāmīti tad vatsa mā bhair ahaṃ tvām	ASIviza-praKyam kAyam aham DArayAmi-iti tat vatsa mA BEH aham tvAm
   adyāsmāt saṃṅkaṭāt parimocayiṣyāmi adya bhagavato buddhasya manorathaṃ	adya-asmAt saMFkawAt parimocayizyAmi adya BagavataH budDasya manoraTam
   paripūrayāmi | adya yat tena bhagavatā jānatā paśyatā tathāgatenārhatā	paripUrayAmi | adya yat tena BagavatA jAnatA paSyatA taTAgatena-arhatA
   samyaksambuddhena sthaviramahākāśyapena ca śāsanam api vinyas taṃ tat	samyaksambudDena sTavira-mahAkASyapena ca SAsanam api vinyaH tam tat-
   saphalī kariṣyāmi | adya tathāgraśrāvakamahātmyam udbhāvayiṣyāmi | adya te	saPalI karizyAmi | adya taTA-agra-SrAvaka-mahAtmyam udBAvayizyAmi | adya te
   manorathaṃ paripūrayāmi | adya tavedam maraṇabhayaṃ saṃsārikañ ca bhayam	manoraTam paripUrayAmi | adya tava-idam maraNa-Bayam saMsArikan ca Bayam
   apanayāmi | adya vicikitsākathaṃ kathāśalyam utpāṭayāmi | adya te	apanayAmi | adya vicikitsA-kaTam kaTA-Salyam utpAwayAmi | adya te
   kudarśanapaṭalāvaṣṭabdhe netre jñānāñjanaśalākayā śodhyāmi | adya te	kudarSana-pawala-avazwabDe netre jQAna-aQjana-SalAkayA SoDyAmi | adya te
   krodhāgniṃ nāśayāmi | adya tvāṃ vigatarāgatvenācchādāyāmi | adya te	kroDa-agnim nASayAmi | adya tvAm vigata-rAga-tvena-AcCAdAyAmi | adya te
   kuśalabījaṃ prarohayāmi | adya tvāṃ saṃsārapaṅkād uddharāmi | adya tvāṃ	kuSala-bIjam prarohayAmi | adya tvAm saMsAra-paFkAt udDarAmi | adya tvAm
   duḥkhasamudrāt uttārayāmi | adya tvāṃ saṃsārakāntāraparyantam upanayāmi ||	duHKa-samudrAt uttArayAmi | adya tvAm saMsAra-kAntAra-paryantam upanayAmi ||
   adya te kleśabandhanāni cchinadmi | adya te nivaraṇakapāṭapaṭalaṃ bhinadmi	adya te kleSa-banDanAni cCinadmi | adya te nivaraNa-kapAwa-pawalam Binadmi
   | adya te haṃ tathā kariṣyāmi yathā tvam	| adya te ham taTA karizyAmi yaTA tvam
   anantakoṭiniyutaśatasahasradurllabhataram aśeṣakleśopakleśaprahāṇād	ananta-kowi-niyuta-Sata-sahasra-durllaBataram aSeza-kleSa-upakleSa-prahANAt-
   arhatvaṃ prāpsyasi |	arha-tvam prApsyasi |
   adya kleśāndhanaṃ kṛtsnaṃ dhakṣyase jñānavahninā |	adya kleSAnDanam kRtsnam Dakzyase jQAna-vahninA |
   adya niḥśaṃsayamatir bhaviṣyasi gatajvara |1|	adya niHSaMsaya-matiH Bavizyasi gata-jvaraH |1|
