   (Msa 1)	(MsaH 1)
   | yathā yatrasthaḥ satvān vinayati | vicitrā janacarī jātakabhedena | na	| yaTA yatrasTaH satvAn vinayati | vicitrA janacarI jAtaka Bedena | na
   ca sthānāc calatīty anāsravād dhātoḥ |	ca sTAnAt calati iti anAsravAt DAtoH |
   na buddhānām evaṃ bhavati mama pakvo 'yam iti cāprapācyo 'yaṃ dehī api ca	na budDAnAm evam Bavati mama pakvaH ayam iti ca aprapAcyaH ayam dehI api ca
   adhunāpācyata iti |	aDunA apAcyate iti |
   vinā saṃskāraṃ tu prapacam upayāty eva janatā śubhair dharmair nityaṃ diśi	vinA saMskAram tu prapacam upayAti eva janatA SuBEH DarmEH nityam diSi
   diśi samantāt trayamukham || AMsa_9.52 ||	diSi samantAt traya muKam || AMsaH _9.52 ||
   anena caturthena tatparipākaprayoganimittatvam anabhisaṃskāreṇa daśayati |	anena caturTena tad paripAka prayoga nimitta tvam anaBisaMskAreNa daSayati |
   trayamukham iti yānatrayeṇa |	traya muKam iti yAna trayeNa |
   yathāyatnaṃ bhānuḥ pratataviṣadair aṃśavisaraiḥ prapākakaṃ sasyānāṃ diśi	yaTAyatnam BAnuH pratata vizadEH aMSa visarEH prapAkakam sasyAnAm diSi
   diśi samantāt prakurūte |	diSi samantAt prakurUte |
   tathā dharmārko 'pi praśamavidhidharmāṃśuvisaraiḥ prapākaṃ sasyānāṃ diśi	taTA Darma arkaH api praSama viDi Darma aMSu visarEH prapAkam sasyAnAm diSi
   diśi samantāt prakurūte || AMsa_9.53 ||	diSi samantAt prakurUte || AMsaH _9.53 ||
   anena pañcamenānabhisaṃskāraparipācanadṛṣṭāntaṃ darśayati |	anena paQcamena anaBisaMskAra paripAcana dRzwAntam darSayati |
   yathaikasmād dīpād bhavati sumahān dīpanicayo 'prameyo 'saṃkhyeyo na ca sa	yaTA ekasmAt dIpAt Bavati su mahAn dIpa nicayaH aprameyaH asaMKyeyaH na ca sa
   punar eti vyayamataḥ |	punar eti vyayam atas |
   yathaikasmād buddhād pākābhavati sumahān paripākapākanicayo 'prameyo	yaTA ekasmAt budDAt pAka aBavati su mahAn paripAka pAka nicayaH aprameyaH 
   'saṃkhyeyo na ca punar eti punar upaiti vyayamataḥ || AMsa_9.54 ||	asaMKyeyaH na ca punar eti punar upEti vyayam atas || AMsaH _9.54 ||
   (Msa 44)	(MsaH 44)
   anena ṣaṣṭhena paraṃparayā paripācanaṃ |	anena zazWena paraMparayA paripAcanam |
   yathā toyais tṛptiṃ vrajati na mahāsāgara iva na vṛddhiṃ vā yāti	yaTA toyEH tRptim vrajati na mahAsAgaraH iva na vRdDim vA yAti
   pratataviṣadāmbu praviśanaiḥ |	pratata vizada ambu praviSanEH |
   tathā bauddhau dhātuḥ satatasamitaiḥ śuddhiviśanair na tṛptiṃ vṛddhiṃ vā	taTA bOdDO DAtuH satata samitEH SudDi viSanEH na tRptim vRdDim vA
   vrajati paramāścaryam iha tat || AMsa_9.55 ||	vrajati parama AScaryam iha tat || AMsaH _9.55 ||
   anena saptamena paripakvānāṃ vimuktipraveśe samudrodāharaṇena dharmadhātor	anena saptamena paripakvAnAm vimukti praveSe samudra udAharaNena DarmaDAtoH 
   atṛptiṃ cāvakāśadānād avṛddhiṃ dhyānādhikatvāt | dharmadhātuviśuddhau	atRptim ca avakASa dAnAt avRdDim DyAna aDika tvAt | DarmaDAtu viSudDO
   catvāraḥ ślokāḥ |	catvAraH SlokAH |
   sarvadharmadvayāvāratathatāśuddhilakṣaṇaḥ |	sarva Darma dvaya AvAra taTatA SudDi lakzaNaH |
   vastujñānatadālambavaśitākṣayalakṣaṇaḥ || AMsa_9.56 ||	vastu jQAna tad Alamba vaSitA kzaya lakzaNaH || AMsaH _9.56 ||
   eṣa svabhāvārtham ārabhyaikaḥ ślokaḥ | kleśajñeyāvaraṇadvayāt	eza svaBAva arTam AraBya ekaH SlokaH | kleSa jQeya AvaraNa dvayAt
   sarvadharmatathatāviśuddhilakṣaṇaś ca | vastutadālambanajñānayor	sarva Darma taTatA viSudDi lakzaNaH ca | vastu tad Alambana jQAnayoH 
   akṣayavaśitālakṣaṇaś ca |	akzaya vaSitA lakzaNaH ca |
   | sarvatas tathatājñānabhāvanā samudāgamaḥ |	| sarvatas taTatA ajQAna BAvanA samudAgamaH |
   sarvasatvadvayādhānasarvathākṣayatā phalam || AMsa_9.57 ||	sarva satva dvaya ADAna sarvaTA akzaya tA Palam || AMsaH _9.57 ||
   eṣa hetvarthaṃ phalārthaṃ cārabhya dvitīyaḥ ślokaḥ |	eza hetu arTam Pala arTam ca AraBya dvitIyaH SlokaH |
   sarvatastathatājñānabhāvanā dharmadhātuviśuddhihetuḥ | sarvata iti	sarvatas taTatA jQAna BAvanA DarmaDAtu viSudDi hetuH | sarvatas iti
   sarvadharmaparyāyamukhaiḥ | sarvasatvānāṃ sarvathā	sarva Darma paryAya muKEH | sarva satvAnAm sarvaTA
   hitasukhadvayādhānākṣayatā phalaṃ |	hita suKa dvaya ADAna akzayatA Palam |
   kāyavākcittanirmāṇaprayogopāyakarmakaḥ |	kAya vAc citta nirmANa prayogopAya karmakaH |
   samādhidhāraṇīdvāradvayāmeyasamanvitaḥ || AMsa_9.58 ||	samADi DAraNI dvAra dvaya Ameya samanvitaH || AMsaH _9.58 ||
   eṣa karmārthaṃ yogārthaṃ cārabhya tṛtīyaḥ ślokaḥ | trividhiṃ	eza karma arTam yoga arTam ca AraBya tRtIyaH SlokaH | triviDim
   kāyādinirmāṇaṃ karma samādhidhāraṇīmukhābhyāṃ dvayena cāprameyeṇa	kAya Adi nirmANam karma samADi DAraNI muKAByAm dvayena ca aprameyeNa
   puṇyajñānasaṃbhāreṇa samanvāgamo yogaḥ |	puNya jQAna saMBAreNa samanvAgamaH yogaH |
   svabhāvadharmasaṃbhoganirmāṇair bhinnavṛttikaḥ |	svaBAva Darma saMBoga nirmANEH Binna vRttikaH |
   dharmadhātur viśuddho 'yaṃ buddhānāṃ samudāhṛtaḥ || AMsa_9.59 ||	DarmaDAtuH viSudDaH ayam budDAnAm samudAhRtaH || AMsaH _9.59 ||
   (Msa 45)	(MsaH 45)
   eṣa vṛttyartham ārabhya caturthaḥ ślokaḥ |	eza vRtti arTam AraBya caturTaH SlokaH |
   svābhāvikasāṃbhogikanairmāṇikakāyavṛttyā bhinnavṛttikaḥ |	svABAvika sAMBogikanErmANika kAya vRttyA Binna vRttikaH |
   buddhakāyavibhāge sapta ślokāḥ |	budDa kAya viBAge sapta SlokAH |
   svābhāviko 'tha sāṃbhogyaḥ kāyo nairmāṇiko 'paraḥ |	svABAvikaH aTa sAMBogyaH kAyaH nErmANikaH aparaH |
   kāyabhedā hi buddhānāṃ prathamas tu dvayāśrayaḥ || AMsa_9.60 ||	kAya BedAH hi budDAnAm praTamaH tu dvaya ASrayaH || AMsaH _9.60 ||
   trividhiḥ kāyo buddhānāṃ | svābhāviko dharmakāya āśrayaparāvṛttilakṣaṇaḥ |	triviDiH kAyaH budDAnAm | svABAvikaH DarmakAya ASraya parAvRtti lakzaNaH |
   sāṃbhogiko yena parṣanbhaṇḍaleṣu dharmasaṃbhogaṃ karoti | nairmāṇiko yena	sAMBogikaH yena parzan BaNxalezu Darma saMBogam karoti | nErmANikaH yena
   nirmāṇena satvārthaṃ karoti |	nirmANena satva arTam karoti |
   sarvadhātuṣu sāṃbhogyo bhitro gaṇaparigrahaiḥ |	sarva DAtuzu sAMBogyaH Bitro gaNa parigrahEH |
   kṣetraiś ca nāmabhiḥ kāyair dharmasaṃbhogaceṣṭitaiḥ || AMsa_9.61 ||	kzetrEH ca nAmaBiH kAyEH Darma saMBoga cezwitEH || AMsaH _9.61 ||
   tatra sāṃbhogikaḥ sarvalokadhātuṣu parṣanmaṇḍalabuddhakṣetranām	tatra sAMBogikaH sarva loka DAtuzu parzad maNxala budDa kzetranAm
   aśarīradharmasaṃbhogakriyābhir bhinnaḥ |	aSarIra Darma saMBoga kriyABiH BinnaH |
   samaḥ sūkṣmaś ca tacchiṣṭaḥ kāyaḥ svābhāviko mataḥ |	samaH sUkzmaH ca tat SizwaH kAyaH svABAvikaH mataH |
   saṃbhogavibhutāhetur yatheṣṭaṃ bhogadarśane || AMsa_9.62 ||	saMBoga viBu tA hetuH yaTezwam Boga darSane || AMsaH _9.62 ||
   svābhāvikaḥ sarvabuddhānāṃ samo nirviśiṣṭatayā | sūkṣmo durjñānatayā |	svABAvikaH sarva budDAnAm samaH nirviSizwa tayA | sUkzmaH durjQAna tayA |
   tena sāṃbhogikena kāyena saṃbaddhaḥ saṃbhogavibhutve ca hetur yatheṣṭaṃ	tena sAMBogikena kAyena saMbadDaH saMBoga viBu tve ca hetuH yaTezwam
   bhogadarśanāya |	Boga darSanAya |
   ameyaṃ buddhanirmāṇaṃ kāyo nairmāṇiko mataḥ |	ameyam budDa nirmANam kAyaH nErmANikaH mataH |
   dvayor dvayārthasaṃpattiḥ sarvākārā pratiṣṭhitā || AMsa_9.63 ||	dvayoH dvaya arTa saMpattiH sarva AkArA pratizWitAH || AMsaH _9.63 ||
   nairmāṇikas tu kāyo buddhānām aprameyaprabhedaṃ buddhanirmāṇaṃ sāṃbhogikaḥ	nErmANikaH tu kAyaH budDAnAm aprameya praBA idam budDa nirmANam sAMBogikaH
   svāthasaṃpattilakṣaṇaḥ | nairmāṇikaḥ parārthasaṃpattilakṣaṇaḥ | evaṃ	svATa saMpatti lakzaNaH | nErmANikaH para arTa saMpatti lakzaNaH | evam
   dvayārthasaṃpattir yathākramaṃ dvayoḥ pratiṣṭhitāḥ sāṃbhogike ca kāye	dvaya arTa saMpattiH yaTAkramam dvayoH pratizWitAH sAMBogike ca kAye
   nairmāṇike ca |	nErmANike ca |
   śilpajanmamahābodhisadānirvāṇadarśanaiḥ |	Silpa janma mahA boDisadA nirvANa darSanEH |
   buddhanirmāṇakāyo 'yaṃ mahāmāyo mahopāyo vimocane || AMsa_9.64 ||	budDa nirmANa kAyaH ayam mahA mAyaH mahA upAyaH vimocane || AMsaH _9.64 ||
   sa punar nirmāṇakāyaḥ sadā vineyārthaṃ śilpasya vīṇāvādanādibhiḥ |	sa punar nirmANa kAyaH sadA vineya arTam Silpasya vINA vAdana AdiBiH |
   janmanaś cābhisaṃbodheś ca (Msa 46)	janmanaH ca aBisaMboDeH ca (MsaH 46)
   nirvāṇasya ca darśanair vimocane mahopāyatvāt parārthasaṃpattilakṣaṇo	nirvANasya ca darSanEH vimocane mahA upAya tvAt para arTa saMpatti lakzaNaH 
   veditavyaḥ |	veditavyaH |
   tribhiḥ kāyais tu vijñeyo buddhānāṃ kāyasaṃgrahaḥ |	triBiH kAyEH tu vijQeyaH budDAnAm kAya saMgrahaH |
   sāśrayaḥ svaparārtho yas tribhiḥ kāyair nirdarśitaḥ || AMsa_9.65 ||	sa ASrayaH sva para arTaH yaH triBiH kAyEH nirdarSitaH || AMsaH _9.65 ||
   tribhiś ca kāyair buddhānāṃ sarvakāyasaṃgraho veditavyaḥ | ebhis tribhiḥ	triBiH ca kAyEH budDAnAm sarva kAya saMgrahaH veditavyaH | eBiH triBiH
   kāyaiḥ sāśrayaḥ svaparārtho nidarśitaḥ | dvayoḥ svaparārthaprabhāvitatvāt	kAyEH sa ASrayaH sva para arTaH nidarSitaH | dvayoH sva para arTa praBAvita tvAt
   dvayoś ca tadāśritatvād yathā pūrvam uktaṃ |	dvayoH ca tad ASrita tvAt yaTA pUrvam uktam |
   āśrayeṇāśayenāpi karmaṇā te samā matāḥ |	ASrayeNa ASayena api karmaNA te samAH matAH |
   prakṛtyā 'sraṃsanenāpi prabandhenaiṣu nityatā || AMsa_9.66 ||	prakRtyA asraMsanena api prabanDena ezu nityatA || AMsaH _9.66 ||
   te ca trayaḥ kāyāḥ sarvabuddhānāṃ yathākramaṃ tribhir nirviśeṣā āśrayeṇa	te ca trayaH kAyAH sarva budDAnAm yaTAkramam triBiH nirviSezAH ASrayeNa
   dharmadhātor abhinnatvāt āśayena pṛthak buddhāśayasyābhāvāt | karmaṇā ca	DarmaDAtoH aBinna tvAt ASayena pRTak budDa ASayasya aBAvAt | karmaNA ca
   sādhāraṇakarmakatvāt | teṣu ca triṣu kāyeṣu yathākramaṃ trividhā nityatā	sADAraNa karmaka tvAt | tezu ca trizu kAyezu yaTAkramam triviDA nityatA
   veditavyā yena nityakāyās tathāgatā ucyante | prakṛtyā nityatā	veditavyAH yena nitya kAyAH taTAgatAH ucyante | prakRtyA nityatA
   svābhāvikasya svabhāvena nityatvāt | asraṃsanena sāṃbhogikasya	svABAvikasya svaBAvena nitya tvAt | asraMsanena sAMBogikasya
   dharmasaṃbhāgo vicchedāt | prabandhena nairmāṇikasyāntarvyaye punaḥ punar	Darma saMBAgaH vicCedAt | prabanDena nErmANikasya antar vyaye punar punar 
   nirmāṇadarśanāt | buddhajñānavibhāge daśa ślokāḥ |	nirmANa darSanAt | budDa jQAna viBAge daSa SlokAH |
   ādarśajñānamacalaṃ trayajñānaṃ tadāśritam |	AdarSa jQAnam acalam traya jQAnam tad ASritam |
   samatāpratyavekṣāyāṃ kṛtyānuṣṭhāna eva ca || AMsa_9.67 ||	samatA pratyavekzAyAm kRtya anuzWAnaH eva ca || AMsaH _9.67 ||
   caturvidhaṃ buddhānāṃ jñānam ādarśajñānaṃ samatājñānaṃ pratyavekṣājñānaṃ	caturviDam budDAnAm jQAnam AdarSa jQAnam samatA jQAnam pratyavekzA jQAnam
   kṛtyānuṣṭhānajñānaṃ ca | ādarśajñānam acalaṃ trīṇi jñānāni tadāśritāni	kRtya anuzWAna jQAnam ca | AdarSa jQAnam acalam trINi jQAnAni tad ASritAni
   calāni |	calAni |
   ādarśajñānamamamāparicchinnaṃ sadānugam |	AdarSa jQAnam amama aparicCinnam sadA anugam |
   sarvajñeyeṣv asaṃmūḍhaṃ na ca teṣv āmukhaṃ sadā || AMsa_9.68 ||	sarva jQeyezu asaMmUXam na ca tezu AmuKam sadA || AMsaH _9.68 ||
   ādarśajñānam amamam aparicchinnaṃ deśataḥ sadānugaṃ kālataḥ | sarvajñeyeṣv	AdarSa jQAnam amamam aparicCinnam deSataH sadA anugam kAlataH | sarva jQeyezu 
   asaṃmūḍhaṃ sadāvaraṇavigamāt na ca teṣv āmukham anākāratvāt |	asaMmUXam sat AvaraNa vigamAt na ca tezu AmuKam anAkAra tvAt |
   sarvajñānanimittatvān mahājñānākaropamam |	sarva jQAna nimitta tvAt mahA jQAna Akara upamam |
   saṃbhogabuddhatā jñānapratibimbodayāc ca tat || AMsa_9.69 ||	saMBoga budDa tA jQAna pratibimba udayAt ca tat || AMsaH _9.69 ||
   (Msa 47)	(MsaH 47)
   teṣāṃ ca samatādijñānānāṃ sarvaprakārāṇāṃ hetutvāt sarvajñānānāmākaropamaṃ	tezAm ca samatA Adi jQAnAnAm sarva prakArANAm hetu tvAt sarva jQAnAnAm Akara upamam
   | saṃbhogabuddhatvatajjñānapratibimbodayācca tadādarśajñānam ity ucyate |	| saMBoga budDa tva tad jQAna pratibimba udayAt ca tad AdarSa jQAnam iti ucyate |
   satveṣu samatājñānaṃ bhāvanāśuddhito 'malaṃ matam |	satvezu samatA jQAnam BAvanA SudDitaH amalam matam |
   apratiṣṭhasaśamāviṣṭaṃ samatājñānamiṣyate || AMsa_9.70 ||	apratizWasa Sama Avizwam samatA ajQAnam izyate || AMsaH _9.70 ||
   yadbodhisatvenābhisamayakāleṣu samatājñānaṃ pratilabdhaṃ	yat boDisatvena aBisamaya kAlezu samatA jQAnam pratilabDam
   tadbhāvanāśuddhito budhiprāptasyāpratiṣṭhitanirvāṇe niviṣṭaṃ	tad BAvanA SudDitaH buDi prAptasya apratizWita nirvANe nivizwam
   samatājñānamiṣyate |	samatA jQAnam izyate |
   mahāmaitrīkṛpābhyāṃ ca sarvakālānugaṃ matam |	mahAmEtrI kRpAByAm ca sarva kAla anugam matam |
   yathādhimokṣaṃ satvānāṃ buddhabimbanidarśakam || AMsa_9.71 ||	yaTA aDimokzam satvAnAm budDa bimba nidarSakam || AMsaH _9.71 ||
   mahāmaitrīkaruṇābhyāṃ sarvakālānugaṃ yathādhimokṣaṃ ca satvānāṃ	mahA mEtrI karuNAByAm sarva kAla anugam yaTA aDimokzam ca satvAnAm
   buddhabimbanidarśakaṃ | yataḥ kecit satvās tathāgataṃ nīlavarṇaṃ paśyanti	budDa bimba nidarSakam | yatas kecid satvAH taTAgatam nIla varNam paSyanti
   kecit pītavarṇam ity evamādi |	kecid pIta varNam iti evamAdi |
   pratyavekṣaṇakaṃ jñāne jñeyeṣv avyāhataṃ sadā |	pratyavekzaNakam jQAne jQeyezu avyAhatam sadA |
   dhāraṇīnāṃ samādhīnāṃ nidhānopamam eva ca || AMsa_9.72 ||	DAraNInAm samADInAm niDAna upamam eva ca || AMsaH _9.72 ||
   pariṣanmaṇḍale sarvavibhūtīnāṃ nidarśakam |	parizad maNxale sarva viBUtInAm nidarSakam |
   sarvasaṃśayavicchedi mahādharmapravarṣakam || AMsa_9.73 ||	sarva saMSaya vicCedi mahA Darma pravarzakam || AMsaH _9.73 ||
   pratyavekṣaṇakaṃ jñānaṃ yathāślokaṃ |	pratyavekzaNakam jQAnam yaTASlokam |
   kṛtyānuṣṭhānatājñānaṃ nirmāṇaiḥ sarvadhātuṣu |	kRtya anuzWAnatA jQAnam nirmANEH sarva DAtuzu |
   citrāprameyācintyaiś ca sarvasatvārthakārakam || AMsa_9.74 ||	citrA prameya acintyEH ca sarva satva arTa kArakam || AMsaH _9.74 ||
   kṛtyānuṣṭhānajñānaṃ sarvalokadhātuṣu nirmāṇair nānāprakārair aprameyair	kRtya anuzWAna jQAnam sarva loka DAtuzu nirmANEH nAnA prakArEH aprameyEH 
   acintyaiś ca sarvasatvārthakaraṃ |	acintyEH ca sarva satva arTa karam |
   kṛtyaniṣpattibhir bhedaiḥ saṃkhyākṣetraiś ca sarvadā |	kRtya nizpattiBiH BedEH saMKyA kzetrEH ca sarvadA |
   acintyaṃ buddhanirmāṇaṃ vijñeyaṃ tac ca sarvathā || AMsa_9.75 ||	acintyam budDa nirmANam vijQeyam tat ca sarvaTA || AMsaH _9.75 ||
   tac ca buddhanirmāṇaṃ sadā sarvathā cācintyaṃ veditavyaṃ |	tat ca budDa nirmANam sadA sarvaTA ca acintyam veditavyam |
   kṛtyakriyābhedataḥ saṃkhyātakṣetrataś ca |	kRtya kriyA BedataH saMKyAta kzetratas ca |
   dhāraṇāt samacittāc ca samyagdharmaprakāśanāt |	DAraNAt sama cittAt ca samyak Darma prakASanAt |
   kṛtyānuṣṭhānataś caiva caturjñānasamudbhavaḥ || AMsa_9.76 ||	kRtya anuzWAnataH ca eva catur jQAna samudBavaH || AMsaH _9.76 ||
   (Msa 48)	(MsaH 48)
   tatra dhāraṇāt śrutānāṃ dharmāṇāṃ | samacittatā sarvasatveṣv	tatra DAraNAt SrutAnAm DarmANAm | sama citta tA sarva satvezu 
   ātmaparasamatayā | śeṣaṃ gatārthaṃ | buddhānekatvāpṛthaktve ślokaḥ |	Atma para sama tayA | Sezam gata arTam | budDa aneka tva apRTaktve SlokaH |
   gotrabhedād avaiyarthyāt sākalyād apy anāditaḥ |	gotra BedAt avEyarTyAt sAkalyAt api anAditaH |
   abhedān naikabuddhatvaṃ bahutvaṃ cāmalāśraye || AMsa_9.77 ||	aBedAt na eka budDa tvam bahu tvam ca amala ASraye || AMsaH _9.77 ||
   eka eva buddha ity etann eṣyate | kiṃ kāraṇaṃ | gotrabhedāt | anantā hi	ekaH eva budDaH iti etan ezyate | kim kAraNam | gotra BedAt | anantA hi
   buddhagotrāḥ satvāḥ | tatraika evābhisaṃbuddho nānye 'bhisaṃbhotsyanta iti	budDa gotrAH satvAH | tatra ekaH eva aBisaMbudDaH na anye aBisaMBotsyante iti
   | kuta etat | puṇyajñānasaṃbhāravaiyarthyaṃ ca syād anyeṣāṃ bodhisatvānām	| kutas etat | puNya jQAna saMBAra vEyarTyam ca syAt anyezAm boDisatvAnAm
   anabhisaṃbodhān na ca yuktaṃ vaiyarthyaṃ | tasmād avaiyarthyād api naika	anaBisaMboDAt na ca yuktam vEyarTyam | tasmAt avEyarTyAt api na eka
   eva buddhaḥ satvārthakriyāsākalyaṃ ca na syāt | buddhasya buddhatve	eva budDaH satva arTa kriyA sAkalyam ca na syAt | budDasya budDa tve
   kasyacit apratiṣṭhāpanād etac ca na yuktaṃ | na ca kaścid ādibuddho 'sti	kasyacid apratizWApanAt etat ca na yuktam | na ca kaScid AdibudDaH asti
   vinā saṃbhāreṇa buddhatvāyogād vinā cānyena buddhena saṃsthānāyogād ity	vinA saMBAreNa budDa tva ayogAt vinA ca anyena budDena saMsTAna ayogAt iti 
   anāditvād apy eko buddho na yuktaḥ | bahutvam api neṣyate buddhānāṃ	anAdi tvAt api ekaH budDaH na yuktaH | bahu tvam api na izyate budDAnAm
   dharmakāyasyābhedād anāsrave dhātau | buddhatvopāyapraveśe catvāraḥ ślokāḥ	Darma kAyasya aBedAt anAsrave DAtO | budDatva upAya praveSe catvAraH SlokAH
   yā 'vidyamānatā saiva paramā vidyamānatā |	yA avidyamAna tA sA eva paramA vidyamAna tA |
   sarvathā 'nupalambhaś ca upalambhaḥ paro mataḥ || AMsa_9.78 ||	sarvaTA anupalamBaH ca upalamBaH paraH mataH || AMsaH _9.78 ||
   yā parikalpitena svabhāvenāvidyamānatā saiva paramā vidyamānatā	yA parikalpitena svaBAvena avidyamAna tA sA eva paramA vidyamAna tA
   pariniṣpannena svabhāvena | yaś ca sarvathā 'nupalambhaḥ parikalpitasya	parinizpannena svaBAvena | yaH ca sarvaTA anupalamBaH parikalpitasya
   svabhāvasya sa eva parama upalambhaḥ pariniṣpannasvabhāvasya |	svaBAvasya saH eva paramaH upalamBaH parinizpanna svaBAvasya |
   bhāvanā paramā ceṣṭā bhāvanām avipaśyatām |	BAvanA paramA cezwAH BAvanAm avipaSyatAm |
   pratilambhaḥ paraś ceṣṭaḥ pratilambhaṃ ca paśyatām || AMsa_9.79 ||	pratilamBaH paraH ca izwaH pratilamBam ca paSyatAm || AMsaH _9.79 ||
   saiva paramā bhāvanā yo bhāvanāyā anupalambhaḥ | sa eva paramaḥ	sA eva paramA BAvanA yaH BAvanAyAH anupalamBaH | saH eva paramaH
   pratilambho yaḥ pratilambhānupalambhaḥ |	pratilamBaH yaH pratilamBa anupalamBaH |
   paśyatāṃ gurutvaṃ tāṃ dīrghaṃ nimittaṃ vīryam ātmanaḥ |	paSyatAm guru tvam tAm dIrGam nimittam vIryam AtmanaH |
   mānināṃ bodhisatvānāṃ dūre bodhir nirūpyate || AMsa_9.80 ||	mAninAm boDisatvAnAm dUre boDiH nirUpyate || AMsaH _9.80 ||
   ye ca gurutvaṃ bahutvaṃ paśyanti adbhutadharmayuktaṃ | dīrghaṃ ca kālaṃ	ye ca guru tvam bahu tvam paSyanti adButa Darma yuktam | dIrGam ca kAlam
   paśyanti tatsamudāgamāya | nimittaṃ na paśyanti cittālambanaṃ | ātmanaś ca	paSyanti tat samudAgamAya | nimittam na paSyanti citta Alambanam | AtmanaH ca
   vīryaṃ vayam ārabdhavīryā (Msa 59) buddhatvaṃ prāpsyāma iti | teṣām evaṃ	vIryam vayam ArabDa vIryAH (MsaH 59) budDa tvam prApsyAmaH iti | tezAm evam
   mānināṃ bodhisatvānām aupalambhikatvāt dūre bodhir nirūpyate |	mAninAm boDisatvAnAm OpalamBika tvAt dUre boDiH nirUpyate |
   paśyatām kalpanāmātraṃ sarvam etad yathoditaṃ |	paSyatAm kalpanA mAtram sarvam etat yaTA uditam |
   akalpabodhisatvānāṃ prāptā bodhir nirūpyate || AMsa_9.81 ||	akalpa boDisatvAnAm prAptA boDiH nirUpyate || AMsaH _9.81 ||
   kalpanāmātraṃ tv etat sarvam iti paśyatāṃ tasyāpi	kalpanA mAtram tu etat sarvam iti paSyatAm tasya api
   kalpanāmātrasyāvikalpanād akalpabodhisatvānām	kalpanA mAtrasya avikalpanAt akalpa boDisatvAnAm
   anutpattikadharmakṣāntilābhāvasthāyām arthataḥ prāptaiva bodhir ity ucyate	anutpattika Darma kzAnti lABa avasTAyAm arTataH prAptA eva boDiH iti ucyate
   | buddhānām anyonya naikakāryatve catvāraḥ ślokāḥ |	| budDAnAm anyonya na eka kArya tve catvAraH SlokAH |
   bhinnāśrayā bhinnajalāś ca nadyaḥ alpodakāḥ kṛtyapṛthaktvakāryāḥ |	Binna ASrayAH Binna jalAH ca nadyaH alpa udakAH kRtya pRTaktva kAryAH |
   jalāśritaprāṇitanūpabhogyā bhavanti pātālamasaṃpraviṣṭāḥ || AMsa_9.82 ||	jala ASrita prANita nUpa BogyAH Bavanti pAtAlam asaMpravizwAH || AMsaH _9.82 ||
   samudraviṣṭāś ca bhavanti sarvā ekāśrayā ekamahājalāś ca |	samudra vizwAH ca Bavanti sarvAH eka ASrayAH eka mahA jalAH ca |
   miśraikakāryāś ca mahopabhogyā jalāśritaprāṇigaṇasya nityam || AMsa_9.83	miSra eka kAryAH ca mahA upaBogyAH jala ASrita prANi gaNasya nityam || AMsaH _9.83
   bhinnāśrayā bhinnamatāś ca dhīrāḥ svalpāvabodhāḥ pṛthagātmakṛtyāḥ |	Binna ASrayAH Binna matAH ca DIrAH su alpa avaboDAH pRTak Atma kRtyAH |
