   Kālidāsa: Raghuvaṃśa	KAli-dAsa: RaGu-vaMSa
   sa viddhamātraḥ kila nāgarūpamutsṛjya tadvismitasainyadṛṣṭaḥ /	sa vidDa-mAtraH kila nAga-rUpam-utsRjya tad-vismita-sEnya-dRzwaH /
   sphuratprabhāmaṇḍalamadhyavarti kāntaṃ vapurvyomacaraṃ prapede //	sPurat-praBA-maNxala-maDya-varti kAntam vapuH-vyoma-caram prapede //
   Ragh(K)_5.51 //	RaG(K)_5.51 //
   atha prabhāvopanataiḥ kumāraṃ kalpadrumotthairavakīrya puṣpaiḥ /	aTa praBAva-upanatEH kumAram kalpadruma-utTEH-avakIrya puzpEH /
   uvāca vāgmī daśanaprabhābhiḥ saṃvardhitoraḥsthalatārahāraḥ // Ragh(K)_5.52	uvAca vAgmI daSana-praBABiH saMvarDita-uraH-sTala-tAra-hAraH // RaG(K)_5.52
   mataṅgaśāpādavalepamūlādavāptavānasmi mataṅgajatvam /	mataFga-SApAt-avalepa-mUlAt-avAptavAn-asmi mataFga-ja-tvam /
   avaihi gandharvapatestanūjaṃ priyaṃvadaṃ māṃ priyadarśanasya //	avEhi ganDarva-pateH-tanUjam priyaMvadam mAm priya-darSanasya //
   Ragh(K)_5.53 //	RaG(K)_5.53 //
   sa cānunītaḥ praṇatena paścānmayā maharṣirmṛdutāmagacchat /	sa ca-anunItaH praNatena paScAt-mayA mahA-RziH-mRd-utAm-agacCat /
   uṣṇatvamagnyātapasamprayogācchaityaṃ hi yatsā prakṛtirjalasya //	uzNa-tvam-agni-Atapa-samprayogAt-SEtyam hi yat-sA prakRtiH-jalasya //
   Ragh(K)_5.54 //	RaG(K)_5.54 //
   ikṣvākuvaṃśaprabhavo yadā te bhetsyatyajaḥ kumbhamayomukhena /	ikzvAku-vaMSa-praBavaH yadA te Betsyati-ajaH kumBa-m-ayaH-muKena /
   saṃyokṣyase svena punarmahimnā tadetyavocatsa taponidhirmām //	saMyokzyase svena punar-mahimnA tadA-iti-avocat-sa tapaH-niDiH-mAm //
   Ragh(K)_5.55 //	RaG(K)_5.55 //
   sa mocitaḥ śāpakalestvayāhaṃ gatiṃ prapanno vihitāṃ vidhātrā /	sa mocitaH SApa-kaleH-tvayA-aham gatim prapannaH vihitAm viDAtrA /
   pratikriyāṃ cedbhavato na kuryāṃ vyarthā hi me syātsvapadopalabdhiḥ //	pratikriyAm ced-BavataH na kuryAm vyarTAH hi me syAt-sva-pada-upalabDiH //
   Ragh(K)_5.56 //	RaG(K)_5.56 //
   gāndharvamastraṃ taditaḥ pratīccha prayogasaṃhāravibhaktamantram /	gAnDarvam-astram tat-itas pratIcCa prayoga-saMhAra-viBakta-mantram /
   prasvāpanaṃ nāma yataḥ praharturna cārihiṃsā vijayaśca haste //	prasvApanam nAma yatas prahartuH-na cAri-hiMsA vijayaH-ca haste //
   Ragh(K)_5.57 //	RaG(K)_5.57 //
   alaṃ hriyā māṃ prati yanmuhūrtaṃ dayāparo 'bhūḥ praharannapi tvam /	alam hriyA mAm prati yat-muhUrtam dayA-paraH aBUH praharan=-api tvam /
   tasmādupacchandayati prayojyaṃ mayi tvayā na pratiṣedharaukṣyam //	tasmAt-upacCandayati prayojyam mayi tvayA na pratizeDa-rOkzyam //
   Ragh(K)_5.58 //	RaG(K)_5.58 //
   tathetyupaspṛśya payaḥ pavitraṃ somodbhavāyāḥ sarito nṛsomaḥ /	taTA-iti-upaspRSya payaH pavitram soma-udBavAyAH saritaH nR-somaH /
   udaṅmukhaḥ so 'stravidastramantraṃ jagrāha tasmādvigṛhītaśāsī //	udaFmuKaH saH astra-vid-astra-mantram jagrAha tasmAt-vigRhIta-SAsI //
   Ragh(K)_5.59 //	RaG(K)_5.59 //
   evaṃ tayoradhvani daivayogādāseduṣoḥ sakhyamacintyahetu /	evam tayoH-aDvani dEva-yogAt-Aset-uzoH saKyam-acintya-hetu /
   eko yayau caitrarathapradeśānsaurājyaramyānaparo vidarbhān // Ragh(K)_5.60	ekaH yayO cEtraraTa-pradeSAn-sOra-Ajya-ramyAnaparaH vidarBAn // RaG(K)_5.60
   taṃ tasthivāṃsaṃ nagaropakaṇṭhe tadāgamārūḍhagurupraharṣaḥ /	tam tasTivAMsam nagara-upakaNWe tad-Agama-ArUXa-guru-praharzaH /
   pratyujjagāma krathakaiśikendraścandraṃ pravṛddhormirivormimālī //	pratyujjagAma kraTa-kESika-indraH-candram pravRdDa-UrmiH-iva-Urmi-mAlI //
   Ragh(K)_5.61 //	RaG(K)_5.61 //
   praveśya cainaṃ puramagrayāyī nīcaistathopācaradarpitaśrīḥ /	praveSya ca-enam puram-agra-yAyI nIcEs-taTA-upAcara-darpita-SrIH /
   mene yathā tatra janaḥ sameto vaidarbhamāgantumajaṃ gṛheśam //	mene yaTA tatra janaH sametaH vEdarBam-Agantum-ajam gRheSam //
   Ragh(K)_5.62 //	RaG(K)_5.62 //
   tasyādhikāripuruṣaiḥ praṇataiḥ pradiṣṭāṃ	tasya-aDikAri-puruzEH praNatEH pradizwAm
   prāgdvāravediviniveśitahemakumbhām /	prAc-dvAra-vedi-viniveSita-hema-kumBAm /
   ramyāṃ raghupratinidhiḥ sa navopakāryāṃ bālyātparāmiva daśāṃ madano	ramyAm raGu-pratiniDiH sa nava-upakAryAm bAlyAt-parAm-iva daSAm madanaH-
   'dhitasthau // Ragh(K)_5.63 //	aDitasTO // RaG(K)_5.63 //
   tatra svayaṃvarasamāhṛtarājalokaṃ kanyālalāma kamanīyamajasya lipsoḥ /	tatra svayaMvara-samAhRta-rAja-lokam kanyA-lalAma kamanIyam-ajasya lipsoH /
   bhāvāvabodhakaluṣā dayiteva rātrau nidrā cireṇa nayanābhimukhī babhūva //	BAva-avaboDa-kaluzA dayitA-iva rAtrO nidrA cireNa nayana-aBimuKI baBUva //
   Ragh(K)_5.64 //	RaG(K)_5.64 //
   taṃ karṇabhūṣaṇanipīḍitapīvarāṃsaṃ śayyottaracchadavimardakṛśāṅgarāgam /	tam karNa-BUzaNa-nipIxita-pIvarAMsam SayyA-uttaracCada-vimarda-kRSa-aFgarAgam /
   vaitālikā lalitabandhamanoharābhiḥ prābodhayannuṣasi vāgbhiruṣarbudhābham	vEtAlikA lalita-banDa-manoharABiH prAboDayan=-uzasi vAgBiH-uzarbuDa-ABam
   // Ragh(K)_5.65 //	// RaG(K)_5.65 //
   rātrirgatā matimatāṃ vara muñca śayyāṃ dhātrā dvidhaiva jagato nanu	rAtriH-gatAH matimatAm vara muQca SayyAm DAtrA dviDA-eva jagataH nanu
   dhūrvibhaktā /	DUH-viBaktAH /
   yāmekatastava bibharti gururvitandrīryasyā bhavānaparadhuryapadāvalambī //	yAm-ekatas-tava biBarti guruH-vitandrIH-yasyA BavAn-apara-Durya-pada-avalambI //
   Ragh(K)_5.66 //	RaG(K)_5.66 //
   nidrāvaśena bhavatā hyanavekṣyamāṇā paryutsukatvamabalā niśi khaṇḍiteva /	nidrA-vaSena BavatA hi-anavekzyamANA paryutsuka-tvam-abalA niSi KaNxitA-iva /
   lakṣmīrvinodayati yena digantalambī so 'pi tvadānanarucaṃ vijahāti candraḥ	lakzmIH-vinodayati yena diS-anta-lambI saH api tvad-Anana-rucam vijahAti candraH
   // Ragh(K)_5.67 //	// RaG(K)_5.67 //
   tadvalgunā yugapadunmiṣitena tāvat sadyaḥ parasparatulāmadhirohatāṃ dve /	tad-valgunA yugapad-unmizitena tAvat sadyas paraspara-tulAm-aDiroha-tAm dve /
   praspandamānaparuṣetaratāramantaścakṣustava pracalitabhramaraṃ ca padmam	praspandamAna-paruzA-itara-tAram-antar-cakzuH-tava pracalita-Bramaram ca padmam
   // Ragh(K)_5.68 //	// RaG(K)_5.68 //
   vṛntaślathaṃ harati puṣpamanokahānāṃ saṃsṛjyate sarasijairaruṇāṃśubhinnaiḥ	vRnta-SlaTam harati puzpam-anokahAnAm saMsRjyate sarasijEH-aruNa-aMSu-BinnEH
   svābhāvikaṃ paraguṇena vibhātavātaḥ saugandhyamīpsuriva te mukhamārutasya	svABAvikam para-guNena viBAta-vAtaH sOganDyam-IpsuH-iva te muKa-mArutasya
   // Ragh(K)_5.69 //	// RaG(K)_5.69 //
   tāmrodareṣu patitaṃ drumapallaveṣu nirdhautahāragulikāviṣadaṃ himāmbhaḥ /	tAmra-udarezu patitam druma-pallavezu nirDOta-hAra-gulikA-vizadam hima-amBaH /
   saṃlakṣyate daśanacandrikayānuviddhaṃ bimboṣṭhalabdhaparabhāgamiva smitaṃ	saMlakzyate daSana-candrikayA-anuvidDam bimba-uzWa-labDa-para-BAgam-iva smitam
   te // Ragh(K)_5.70 //	te // RaG(K)_5.70 //
   yāvatpratāpanidhirākramate na bhānurahnāya tāvadaruṇena tamo nirastam /	yAvat-pratApa-niDiH-Akramate na BAnuH-ahnAya tAvat-aruNena tamaH nirastam /
   āyodhanāgrasaratāṃ tvayi vīra yāte kiṃ vā ripūṃstava guruḥ	AyoDana-agra-saratAm tvayi vIra yAte kim vA ripUn=-tava guruH
   svayamucchinatti // Ragh(K)_5.71 //	svayam-ucCinatti // RaG(K)_5.71 //
   śayyāṃ jahatyubhayapakṣavinītanidrāḥ senāgajā mukharaśṛṅkhalakarṣiṇaste /	SayyAm jahati-uBaya-pakza-vinIta-nidrAH senA-gajAH muKara-SRFKala-karziNaH-te /
   yeṣāṃ vibhānti taruṇāruṇarāgayogādbhinnādrigairikataṭā iva dantakośāḥ //	yezAm viBAnti taruNa-aruNa-rAga-yogAt-Binna-adri-gErika-tawAH iva dantakoSAH //
   Ragh(K)_5.72 //	RaG(K)_5.72 //
   dīrgheṣvamī niyamitāḥ paṭamaṇḍapeṣu nidrāṃ vidhūya vanajākṣa vanāyujāste /	dIrGezu-amI niyamitAH pawa-maNxapezu nidrAm viDUya vanajAkza vanAyu-jAH-te /
   vaktroṣmaṇā malinayanti purogatāni lehyāni saindhavaśilāśakalāni vāhāḥ //	vaktra-UzmaNA malinayanti puras-gatAni lehyAni sEnDava-SilA-SakalAni vAhAH //
   Ragh(K)_5.73 //	RaG(K)_5.73 //
   bhavati viralabhaktirmlānapuṣpopakāraḥ svakiraṇapariveśodbhedaśūnyāḥ	Bavati virala-BaktiH-mlAna-puzpa-upakAraH sva-kiraNa-pariveSa-udBeda-SUnyAH
   pradīpāḥ /	pradIpAH /
   ayamapi ca giraṃ nastvatprabodhaprayuktāmanuvadati śukaste	ayam-api ca giram naH-tvad-praboDa-prayuktAm-anuvadati SukaH-te
   mañjuvākpañjarasthaḥ // Ragh(K)_5.74 //	maQju-vAc-paQjara-sTaH // RaG(K)_5.74 //
   iti sa vihṛtanidrastalpamalpetarāṃsaḥ suragaja iva gāṅgaṃ saikataṃ	iti sa vihRta-nidraH-talpam-alpa-itara-aMsaH sura-gajaH iva gAFgam sEkatam
   supratīkaḥ /	supratIkaH /
   parijanavanitānāṃ pādayorvyāpṛtānāṃ valayamaṇividaṣṭapracchadāntaṃ mumoca	parijana-vanitAnAm pAdayoH-vyApRtAnAm valaya-maNi-vidazwa-pracCada-antam mumoca
   // Ragh(K)_5.75 //	// RaG(K)_5.75 //
   atha vidhimavasāyya śāstradṛṣṭaṃ divasamukhocitamañcitākṣipakṣmā /	aTa viDim-avasAyya SAstra-dRzwam divasa-muKa-ucita-maQcita-akzi-pakzmA /
   kuśalaviracitānurūpaveśaḥ kṣitipasamājamagātsvayaṃvarastham //	kuSala-viracita-anurUpa-veSaH kzitipa-samAjam-agAt-svayaMvara-sTam //
   Ragh(K)_5.76 //	RaG(K)_5.76 //
   || iti raghuvaṃśe mahākāvye pañcamaḥ sargaḥ ||	|| iti raGu-vaMSe mahAkAvye paQcamaH sargaH ||
   sa tatra mañceṣu vimānakalpeṣvākalpasammūrchitarūpaśobhān /	sa tatra maQcezu vimAna-kalpezu-Akalpa-sammUrCita-rUpa-SoBAn /
   siṃhāsanasthānnṛpatīnapaśyadyūpānprayastāniva haimavedīn // Ragh(K)_6.1 //	siMhAsana-sTAn-nRpatIn-apaSyat-yUpAn-prayastAn-iva hEma-vedIn // RaG(K)_6.1 //
   ratergṛhītānunayena kāmaṃ pratyarpitasvāṅgamiveśvareṇa /	rateH-gRhIta-anunayena kAmam pratyarpita-sva-aFgam-iva-ISvareNa /
   kākutsthamālokayatāṃ nṛpāṇāṃ mano babhūvendumatīnirāśam // Ragh(K)_6.2 //	kAkutsTam-AlokayatAm nRpANAm manaH baBUva-indu-matI-nirASam // RaG(K)_6.2 //
   vaidarbhanirdiṣṭamatho kumāraḥ klṝúptena sopānapathena mañcam /	vEdarBa-nirdizwam-aTo kumAraH klLúptena sopAna-paTena maQcam /
   śilāvibhaṅgairmṛgarājaśāvastuṅgaṃ nagotsaṅgamivāruroha // Ragh(K)_6.3 //	SilA-viBaFgEH-mRgarAja-SAvaH-tuFgam naga-utsaFgam-iva-Aruroha // RaG(K)_6.3 //
   parārdhyavarṇāstaraṇopapannamāsedivānratnavadāsanaṃ saḥ /	parArDya-varNa-AstaraNa-upapannam-AsedivAn-ratna-vat-Asanam saH /
   bhūyiṣṭhamāsīdupameyakāntirmayūrapṛṣṭhāśrayiṇā guhena // Ragh(K)_6.4 //	BUyizWam-AsIt-upameya-kAntiH-mayUra-pRzWa-ASrayiNA guhena // RaG(K)_6.4 //
   tāsu śriyā rājaparamparāsu prabhāviśeṣodayadurnirīkṣyaḥ /	tAsu SriyA rAja-paramparAsu praBA-viSeza-udaya-durnirIkzyaH /
   sahasradhātmā vyarucadvibhaktaḥ payomucāṃ paṅktiṣu vidyuteva //	sahasraDA-AtmA vyarucat-viBaktaH payomucAm paFktizu vidyutA-iva //
   Ragh(K)_6.5 //	RaG(K)_6.5 //
   teṣāṃ mahārhāsanasaṃśrayāṇāmudāttanepathyabhṛtāṃ sa madhye /	tezAm mahArhAsana-saMSrayANAm-udAtta-nepaTyaBRtAm sa maDye /
   rarāja dhāmnā raghusūnureva kalpadrumāṇāmiva pārijātaḥ // Ragh(K)_6.6 //	rarAja DAmnA raGusUnuH-eva kalpadrumANAm-iva pArijAtaH // RaG(K)_6.6 //
   netravrajāḥ paurajanasya tasminvihāya sarvānnṛpatīnnipetuḥ /	netra-vrajAH pOra-janasya tasmin-vihAya sarvAn-nRpatIn-nipetuH /
   madotkaṭe recitapuṣpavṛkṣā gandhadvipe vanya iva dvirephāḥ // Ragh(K)_6.7	mada-utkawe recita-puzpa-vRkzAH ganDa-dvipe vanyaH iva dvirePAH // RaG(K)_6.7
   atha stute vandibhiranvayajñaiḥ somārkavaṃśye naradevaloke /	aTa stute vandiBiH-anvayajQEH soma-arka-vaMSye naradeva-loke /
   sañcārite cāgurusārayonau dhūpe śikhāvāsitaketumāle // Ragh(K)_6.8 //	saQcArite ca-aguru-sAra-yonO DUpe SiKA-vAsita-ketu-mAle // RaG(K)_6.8 //
   puropakaṇṭhopavanāśrayāṇāṃ śikhaṇḍināmuddhatanṛttahetau /	purA-upakaNWa-upavana-ASrayANAm SiKaNxinAm-udData-nRtta-hetO /
   pradhmātaśaṅkhe parito digantāṃstūryasvane mūrchati maṅgalārthe //	praDmAta-SaFKe paritas diS-antAn=-tUrya-svane mUrCati maFgala-arTe //
   Ragh(K)_6.9 //	RaG(K)_6.9 //
   manuṣyavāhyaṃ caturantayānamāsthāya kanyāparivāraśobhi /	manuzya-vAhyam catur-antayAnam-AsTAya kanyA-parivAra-SoBi /
   viveśa mañcāntararājamārgaṃ patiṃvarā kautukamiśraveśā // Ragh(K)_6.10 //	viveSa maQca-antara-rAjamArgam patiMvarA kOtuka-miSra-veSAH // RaG(K)_6.10 //
   tasminvidhānātiśaye vidhātuḥ kanyāmaye netrasahasralakṣye /	tasmin-viDAna-atiSaye viDAtuH kanyA-maye netra-sahasra-lakzye /
   nipeturantaḥkaraṇairnarendrā dehaiḥ sthitāḥ kevalamāsaneṣu // Ragh(K)_6.11	nipetuH-antaHkaraNEH-narendrAH dehEH sTitAH kevalam-Asanezu // RaG(K)_6.11
   tāṃ pratyabhivyaktamanorathānāṃ mahīpatīnāṃ praṇayāgradūtyaḥ /	tAm pratyaBivyakta-manoraTAnAm mahIpatInAm praNaya-agra-dUtyaH /
   pravātaśobhā iva pādapānāṃ śṛṅgāraceṣṭā vividhā babhūvuḥ // Ragh(K)_6.12	pravAta-SoBAH iva pAdapAnAm SRFgAra-cezwAH viviDAH baBUvuH // RaG(K)_6.12
   kaścitkarābhyāmupagūḍhanālamālolapattrābhihatadvirepham /	kaScid-karAByAm-upagUXa-nAlam-Alola-pattra-aBihata-dvirePam /
   rajobhirantaḥpariveśaśobhi līlāravindaṃ bhramayāñcakāra // Ragh(K)_6.13 //	rajoBiH-antar-pariveSa-SoBi lIlA-aravindam BramayAQcakAraH // RaG(K)_6.13 //
   visrastamaṃsādaparo vilāsī keyūrakoṭikṣaṇajātasaṅgam /	visrastam-aMsAt-a-paraH vilAsI keyUra-kowi-kzaNa-jAta-saFgam /
   prāvāramutkṣipya yathāpradeśaṃ nināya sācīkṛtacāruvaktraḥ // Ragh(K)_6.14	prAvAram-utkzipya yaTApradeSam ninAya sAcIkRta-cAru-vaktraH // RaG(K)_6.14
   ākuñcitāgrāṅgulinā tato 'nyaḥ kiñcitsamāvarjitanetraśobhaḥ /	AkuQcita-agra-aFgulinA tatas anyaH kiQcid-samAvarjita-netra-SoBaH /
   ratnāṃśusampṛktanakhaprabheṇa pādena haimaṃ vililekha pīṭham //	ratna-aMSu-sampRkta-naKa-praBeNa pAdena hEmam vilileKa pIWam //
   Ragh(K)_6.15 //	RaG(K)_6.15 //
   niveśya vāmaṃ bhujamāsanānte gāḍhāṅgadaṃ pārśvanipīḍanena /	niveSya vAmam Bujam-Asana-ante gAXa-aFgadam pArSva-nipIxanena /
   kaścidvivṛttatrikabhinnahāraḥ suhṛtsamābhāṣaṇatatparo 'bhūt //	kaScid-vivRtta-trika-Binna-hAraH suhRd-samA-BAzaNa-tatparaH aBUt //
   Ragh(K)_6.16 //	RaG(K)_6.16 //
   vilāsinīvibhramadantapatramāpāṇḍuraṃ ketakabarhamanyaḥ /	vilAsinI-viBrama-danta-patram-ApANxuram ketaka-barham-anyaH /
   priyānitambocitasannipātairvipāṭayāmāsa yuvā nakhāgraiḥ // Ragh(K)_6.17 //	priya-anitamba-ucita-sannipAtEH-vipAwayAmAsa yuvA naKa-agrEH // RaG(K)_6.17 //
   kuśeśayātāmratalena kaścitkareṇa rekhādhvajalāñchanena /	kuSeSaya-AtAmra-talena kaScid-kareNa reKA-Dva-jalAQCanena /
   dīprāṅgulīyaprabhayānuviddhānudārayāmāsa salīlamakṣān // Ragh(K)_6.18 //	dIpra-aFgulIya-praBayA-anuvidDAn-udArayAmAsa sa-lIlam-akzAn // RaG(K)_6.18 //
   kaścidyathābhāgamavasthite 'pi svasanniveśavyatilaṅghinīva /	kaScid-yaTA-BAgam-avasTite api sva-sanniveSa-vyatilaFGinI-iva /
   vajrāṃśugarbhāṅgulirandhramekaṃ vyāpārayāmāsa karaṃ kirīṭe // Ragh(K)_6.19	vajra-aMSu-garBa-aFguli-ranDram-ekam vyApArayAmAsa karam kirIwe // RaG(K)_6.19
   tato nṛpāṇāṃ śrutavṛttavaṃśā puṃvatpragalbhā pratihārarakṣī /	tatas nRpANAm Sruta-vRtta-vaMSA puMvat-pragalBA pratihAra-rakzI /
   prāksannikarṣaṃ magadheśvarasya nītvā kumārīmavadatsunandā // Ragh(K)_6.20	prAk-sannikarzam magaDa-ISvarasya nItvA kumArIm-avadat-sunandA // RaG(K)_6.20
   asau śaraṇyaḥ śaraṇotsukānāmagādhasattvo magadhapratiṣṭhaḥ /	asO SaraNyaH SaraNa-utsukAnAm-agADa-sattvaH magaDa-pratizWaH /
   rājā prajārañjanalabdhavarṇaḥ parantapo nāma yathārthanāmā // Ragh(K)_6.21	rAjA prajA-raQjana-labDa-varNaH parantapaH nAma yaTArTa-nAmA // RaG(K)_6.21
   kāmaṃ nṛpāḥ santi sahasrasaṅkhyā rājanvatīmāhuranena pṛthvīm /	kAmam nRpAH santi sahasra-saFKyA rAjanvatIm-AhuH-anena pRTvIm /
   nakṣatratārāgrahasaṅkulāpi jyotiṣmatī candramasaiva rātriḥ // Ragh(K)_6.22	nakzatra-tArA-graha-saFkulA-api jyotizmatI candramasA-eva rAtriH // RaG(K)_6.22
   kriyāprabandhādayamadhvarāṇāmajasramāhūtasahasranetraḥ /	kriyA-prabanDAt-ayam-aDvarANAm-ajasram-AhUta-sahasra-netraH /
   śacyāściraṃ pāṇḍukapolalambānmandāraśūnyānalakāṃścakāra // Ragh(K)_6.23 //	SacyAH-ciram pANxu-kapola-lambAt-mandAra-SUnya-analakAn=-cakAra // RaG(K)_6.23 //
   anena cedicchasi gṛhyamāṇaṃ pāṇiṃ vareṇyena kuru praveśe /	anena ced-icCasi gRhyamANam pANim vareNyena kuru praveSe /
   prāsādavātāyanasaṃśrayāṇāṃ netrotsavaṃ puṣpapurāṅganānām // Ragh(K)_6.24	prAsAda-vAtAyana-saMSrayANAm netra-utsavam puzpa-pura-aFganAnAm // RaG(K)_6.24
   evaṃ tayokte tamavekṣya kiñcidvisraṃsidūrvāṅkamadhūkamālā /	evam tayA-ukte tam-avekzya kiQcid-visraMsi-dUrvA-aFka-maDUka-mAlA /
   ṛjupraṇāmakriyayaiva tanvī pratyādideśainamabhāṣamāṇā // Ragh(K)_6.25 //	Rju-praNAma-kriyayA-eva tanvI pratyAdideSa-enam-aBAzamANAH // RaG(K)_6.25 //
   tāṃ sātha vetragrahaṇe niyuktā rājāntaraṃ rājasutāṃ nināya /	tAm sA-aTa vetra-grahaNe niyuktA rAja-antaram rAja-sutAm ninAya /
   samīraṇottheva taraṅgalekhā padmāntaraṃ mānasarājahaṃsīm // Ragh(K)_6.26	samIraNa-utTA-iva taraFga-leKA padma-antaram mAnasa-rAjahaMsIm // RaG(K)_6.26
   jagāda caināmayamaṅganāthaḥ surāṅganāprārthitayauvanaśrīḥ /	jagAda ca-enAm-ayam-aFga-nATaH sura-aFganA-prArTita-yOvana-SrIH /
   vinītabhāgaḥ kila sūtrakārairaindraṃ padaṃ bhūmigato 'pi bhuṅkte //	vinIta-BAgaH kila sUtrakArEH-Endram padam BUmi-gataH api BuFkte //
   Ragh(K)_6.27 //	RaG(K)_6.27 //
   anena paryāsayatāśrubindūnmuktāphalasthūlatamānstaneṣu /	anena paryAsayata-aSru-bindUn-muktAPala-sTUlatamAn-stanezu /
   pratyarpitāḥ śatruvilāsinīnāmākṣepasūtreṇa vinaiva hārāḥ // Ragh(K)_6.28	pratyarpitAH Satru-vilAsinInAm-Akzepa-sUtreNa vinA-eva hArAH // RaG(K)_6.28
   nisargabhinnāspadamekasaṃstham asmindvayaṃ śrīśca sarasvatī ca /	nisarga-Binna-Aspadam-eka-saMsTam asmin-dvayam SrIH-ca sarasvatI ca /
   kāntyā girā sūnṛtayā ca yogyā tvameva kalyāṇi tayostṛtīyā // Ragh(K)_6.29	kAntyA girA sUnRtayA ca yogyA tvam-eva kalyANi tayoH-tRtIyAH // RaG(K)_6.29
   athāṅgarājādavatārya cakṣuryāteti janyānavadatkumārī /	aTa-aFgarAjAt-avatArya cakzuH-yAtA-iti janyAnavadat-kumArI /
   nāsau na kāmyo na ca veda samyag draṣṭuṃ na sā bhinnarucirhi lokaḥ //	na-asO na kAmyaH na ca veda samyak drazwum na sA Binna-ruciH-hi lokaH //
   Ragh(K)_6.30 //	RaG(K)_6.30 //
   tataḥ paraṃ duṣprasahaṃ pareṣāṃ nṛpaṃ niyuktā pratihārabhūmau /	tatas param duzprasaham parezAm nRpam niyuktA pratihAra-BUmO /
   nidarśayāmāsa viśeṣakāntaminduṃ navotthānamivendumatyāḥ // Ragh(K)_6.31 //	nidarSayAmAsa viSeza-kAntam-indum nava-utTAnam-iva-indu-matyAH // RaG(K)_6.31 //
   avantinātho 'yamudagrabāhurviśālavakṣāstanuvṛttamadhyaḥ /	avantinATaH ayam-udagra-bAhuH-viSAla-vakzAH-tanu-vRtta-maDyaH /
   āropya cakrabhramamuṣṇatejāstvaṣṭreva yantrollikhito vibhāti //	Aropya cakra-Bramam-uzNa-tejAH-tu-azwrA-iva yantra-ulliKitaH viBAti //
   Ragh(K)_6.32 //	RaG(K)_6.32 //
   asya prayāṇeṣu samagraśakteragresarairvājibhiruddhatāni /	asya prayANezu samagra-SakteH-agresarEH-vAjiBiH-udDatAni /
   kurvanti sāmantaśikhāmaṇīṇāṃ prabhāprarohāstamayaṃ rajāṃsi // Ragh(K)_6.33	kurvanti sAmanta-SiKAmaNINAm praBA-praroha-astam-ayam rajAMsi // RaG(K)_6.33
   asau mahākālaniketanasya candrārdhamaulernivasannadūre /	asO mahAkAla-niketanasya candra-arDa-mOleH-nivasan=-adUre /
   divāpi jālāntaracandrikāṇāṃ nārīsakhaḥ sparśasukhāni bhuṅkte //	divA-api jAla-antara-candrikANAm nArI-saKaH sparSa-suKAni BuFkte //
   Ragh(K)_6.34 //	RaG(K)_6.34 //
   anena yūnā saha pārthivena rambhoru kaccinmanaso ruciste /	anena yUnA saha pArTivena ramBA-Uru kaccit-manasaH ruciH-te /
   siprātaraṅgānilakampitāsu vihartumudyānaparamparāsu // Ragh(K)_6.35 //	siprAtaraFga-anila-kampitAsu vihartum-udyAna-paramparAsu // RaG(K)_6.35 //
   tasminnapi dyotanarūpabimbe pratāpasaṃśoṣitaśatrupaṅke /	tasmin=-api dyotana-rUpa-bimbe pratApa-saMSozita-Satru-paFke /
   babandha sā nottamasaukumāryā kumudvatī bhānumatīva bhāvam // Ragh(K)_6.36	babanDa sA na-uttama-sOkumAryA kumudvatI BAnumatI-iva BAvam // RaG(K)_6.36
   tāmagratastāmarasāntarābhām anūparājasya guṇairanūnām /	tAm-agratas-tAmarasa-antara-ABAm anUpa-rAjasya guNEH-anUnAm /
   vidhāya sṛṣṭiṃ lalitāṃ vidhātur jagāda bhūyaḥ sunasāṃ sunandā //	viDAya sRzwim lalitAm viDAtuH jagAda BUyas su-nasAm sunandAH //
   Ragh(K)_6.37 //	RaG(K)_6.37 //
   saṅgrāmanirvṛttasahasrabāhuraṣṭādaśadvīpanikhātayūpaḥ /	saFgrAma-nirvRtta-sahasra-bAhuH-azwAdaSa-dvIpa-niKAta-yUpaH /
   ananyasādhāraṇarājaśabdo babhūva yogī kila kārtavīryaḥ // Ragh(K)_6.38 //	ananya-sADAraNa-rAja-SabdaH baBUva yogI kila kArtavIryaH // RaG(K)_6.38 //
   akāryacintāsamakālameva prādurbhavaṃścāpadharaḥ purastāt /	akArya-cintA-sama-kAlam-eva prAdurBavan=-cApa-DaraH purastAt /
   antaḥśarīreṣvapi yaḥ prajānāṃ pratyādideśāvinayaṃ vinetā // Ragh(K)_6.39	antar-SarIrezu-api yaH prajAnAm pratyAdideSa-avinayam vinetA // RaG(K)_6.39
   jyābandhaniḥspandabhujena yasya viniḥśvasadvaktraparampareṇa /	jyA-banDa-niHspanda-Bujena yasya viniHSvasat-vaktra-parampareNa /
   kārāgṛhe nirjitavāsavena daśānanenoṣitamā prasādāt // Ragh(K)_6.40 //	kArA-gRhe nirjita-vAsavena daSAnanena-uzitamA prasAdAt // RaG(K)_6.40 //
   tasyānvaye bhūpatireṣa jātaḥ pradīpa ityāgamavṛddhasevī /	tasya-anvaye BUpatiH-eza jAtaH pradIpaH iti-Agama-vRdDa-sevI /
   yena śriyaḥ saṃśrayadoṣarūḍhaṃ svabhāvaloletyayaśaḥ pramṛṣṭam //	yena SriyaH saMSraya-doza-rUXam svaBAva-lolA-iti-ayaSas pramRzwam //
   Ragh(K)_6.41 //	RaG(K)_6.41 //
