   || sūtraprasthānam ||	|| sUtra-prasTAnam ||
   paricchinnastathāṇośca naitāvadbhāgatā kvacit // MAnuv_2,2.66 //	paricCinnaH-taTA-aNoH-ca na-etAvat-BAga-tA kvacid // Ma-anuv_2,2.66 //
   viśrānto yadyanantāṃśaḥ kaścidastīti gamyate /	viSrAntaH yadi-ananta-aMSaH kaScid-asti-iti gamyate /
   nāvasāyayituṃ śakyo virodhādeva kevalam // MAnuv_2,2.67 //	na-avasAyayitum SakyaH viroDAt-eva kevalam // Ma-anuv_2,2.67 //
   kevalaṃ sākṣimānena kālo deśo 'pi nāntavān /	kevalam sAkzi-mAnena kAlaH deSaH api na-antavAn /
   aparyavasitiścāṇordṛśyate sakṣiṇā dvayoḥ // MAnuv_2,2.68 //	aparyavasitiH-ca-aNoH-dRSyate sakziNA dvayoH // Ma-anuv_2,2.68 //
   yadi no sākṣigamyaṃ tanmahattvaṃ kena gamyate /	yadi no sAkzi-gamyam tat-mahat-tvam kena gamyate /
   viśrāntistāratamyena dṛśyate hyanumānataḥ // MAnuv_2,2.69 //	viSrAntiH-tAratamyena dRSyate hi-anumAnataH // Ma-anuv_2,2.69 //
   yadyāgamādanantaṃ tanmahattvamavagamyate /	yadi-AgamAt-anantam tat-mahat-tvam-avagamyate /
   anantameva cāṇutvaṃ kuto naivāvasīyate // MAnuv_2,2.70 //	anantam-eva ca-aNu-tvam kutas na-eva-avasIyate // Ma-anuv_2,2.70 //
   mahattvāṇutvayornaiva viśrāntirupalabhyate /	mahattva-aNu-tvayoH-na-eva viSrAntiH-upalaByate /
   anyadeva hyanantatvaṃ mahattvāṇutvayoḥ samam // MAnuv_2,2.71 //	anyat-eva hi-ananta-tvam mahattva-aNu-tvayoH samam // Ma-anuv_2,2.71 //
   bahutvālpatvayoryadvat sāṅkhayāyāmupalabhyate /	bahutva-alpa-tvayoH-yadvat sAFKayAyAm-upalaByate /
   ānantyamekabhāgānāṃ tāvattvaṃ hyeva gaṇyate // MAnuv_2,2.72 //	Anantyam-eka-BAgAnAm tAvat-tvam hi-eva gaNyate // Ma-anuv_2,2.72 //
   aṇīyāṃśca mahīyāṃśca bhagavānāgamoditaḥ /	aNIyAn=-ca mahIyAn=-ca BagavAn-Agama-uditaH /
   ānantyavācakaḥ śabdo dvidhānantye 'pi mānatām // MAnuv_2,2.73 //	Anantya-vAcakaH SabdaH dviDA-Anantye api mAnatAm // Ma-anuv_2,2.73 //
   yāti naiva guṇālpatvaṃ kālātpatvaṃ ca mānagam /	yAti na-eva guNa-alpa-tvam kAlAt-patvam ca mAnagam /
   sarvakālagatasyālpakāle 'pi syādavasthitiḥ // MAnuv_2,2.74 //	sarva-kAla-gatasya-alpa-kAle api syAt-avasTitiH // Ma-anuv_2,2.74 //
   mahāguṇasya cālpo 'pi guṇaḥ syāditi ced bhavet /	mahA-guNasya ca-alpaH api guNaH syAt-iti ced Bavet /
   tāvattvameva naiva syād deśe 'pyetanna no matam // MAnuv_2,2.75 //	tAvat-tvam-eva na-eva syAt deSe api-etat-na naH matam // Ma-anuv_2,2.75 //
   mahato 'lpatvamapi hi vyomavat prāha vedavit /	mahataH alpa-tvam-api hi vyoma-vat prAha veda-vid /
   yadyalpadeśasaṃsthānaṃ na sarvatrāpi no bhavet // MAnuv_2,2.76 //	yadi-alpa-deSa-saMsTAnam na sarvatra-api naH Bavet // Ma-anuv_2,2.76 //
   sthitasya hyalpadeśeṣu sarvagatvaṃ bhaved dhruvam /	sTitasya hi-alpa-deSezu sarvaga-tvam Bavet Druvam /
   ekatrāpyanavasthasya kuta evākhilasthatā // MAnuv_2,2.77 //	ekatra-api-anavasTasya kutas eva-aKila-sTa-tA // Ma-anuv_2,2.77 //
   śūnyatvameva tasya syād yasyaikatrāpi na sthitiḥ /	SUnya-tvam-eva tasya syAt yasya-ekatra-api na sTitiH /
   ato nāṇutvaviśrāntirna mahattvasya ca kvacit // MAnuv_2,2.78 //	atas na-aNu-tva-viSrAntiH-na mahattvasya ca kvacid // Ma-anuv_2,2.78 //
   ubhayānantyayuk tasmād yadi mukhyamahad bhavet /	uBaya-Anantya-yuj tasmAt yadi muKya-mahat Bavet /
   tacca brahma paraṃ sākṣāt sarvānantyayutaṃ sadā // MAnuv_2,2.79 //	tat-ca brahma param sAkzAt sarva-Anantya-yutam sadA // Ma-anuv_2,2.79 //
   yadi sākṣī svayambhāto na mānaṃ kena gamyate /	yadi sAkzI svayamBAtaH na mAnam kena gamyate /
   akṣajādeśca mānatvamanavasthāthavā bhavet // MAnuv_2,2.80 //	akza-ja-AdeH-ca mAna-tvam-anavasTA-aTavA Bavet // Ma-anuv_2,2.80 //
   ataḥ sarvapadārthānāṃ bhāgāḥ santyeva sarvadā /	atas sarva-padArTAnAm BAgAH santi-eva sarvadA /
   sarvadikṣvapi sambandhādavibhāgaḥ parāṇutā // MAnuv_2,2.81 //	sarva-dikzu-api sambanDAt-aviBAgaH parANu-tA // Ma-anuv_2,2.81 //
   tatsaṃyogādaniyatāt padārthānāṃ janirbhavet /	tad-saMyogAt-aniyatAt padArTAnAm janiH-Bavet /
   dvayoreva tu saṃyoga iti kenāvasīyate // MAnuv_2,2.82 //	dvayoH-eva tu saMyogaH iti kena-avasIyate // Ma-anuv_2,2.82 //
   kāraṇasya guṇāstena bhaveyuḥ kāryagā api /	kAraNasya guNAH-tena BaveyuH kArya-gAH api /
   tāratamyena sarve 'pi mahāntaścāṇavo yataḥ // MAnuv_2,2.83 //	tAratamyena sarve api mahAntaH-ca-aNavaH yatas // Ma-anuv_2,2.83 //
   na ca tatproktasṛṣṭau tu mānaṃ kevalakalpanā /	na ca tad-prokta-sRzwO tu mAnam kevala-kalpanA /
   kathaṃ sākṣimitasyāsya śaknuyād vāraṇe kvacit // MAnuv_2,2.84 //	kaTam sAkzi-mitasya-asya SaknuyAt vAraNe kvacid // Ma-anuv_2,2.84 //
   yadi sākṣimitaṃ naitannānumā tatra vartate /	yadi sAkzi-mitam na-etat-na-anumA tatra vartate /
   pakṣīkartumaśakyatvāt kuta evānumā bhavet // MAnuv_2,2.85 //	pakzIkartum-aSakyatvAt kutas eva-anumA Bavet // Ma-anuv_2,2.85 //
   yatra nāsti padanyāsaḥ kastaṃ viṣayamāpnuyāt /	yatra na-asti padanyAsaH kaH-tam vizayam-ApnuyAt /
   deśāntarādiśabdaśca śaśaśṛṅgādiśabdavat // MAnuv_2,2.86 //	deSa-antara-Adi-SabdaH-ca SaSaSRFga-Adi-Sabda-vat // Ma-anuv_2,2.86 //
   sadṛśaṃ ca sajātīyaṃ nāsmatpakṣe kim eva hi /	sadRSam ca sajAtIyam na-asmad-pakze kim eva hi /
   yenaiva ca prakāreṇātyasiddhamanumīyate /	yena-eva ca prakAreNa-atya-sidDam-anumIyate /
   tenaiva śaśṛṅgādeḥ śakyamastitvakalpanam // MAnuv_2,2.87 //	tena-eva SaSRFga-AdeH Sakyam-astitva-kalpanam // Ma-anuv_2,2.87 //
   pratyakṣamāgamo vāpi bhaved yatra niyāmakaḥ /	pratyakzam-AgamaH vA-api Bavet yatra niyAmakaH /
   saiva vyāptirbhavenmānaṃ nānyā sandigdhamūlataḥ // MAnuv_2,2.88 //	sA-eva vyAptiH-Bavet-mAnam na-anyA sandigDa-mUlataH // Ma-anuv_2,2.88 //
   sahadarśanamātreṇa na vyāptiravasīyate /	saha-darSana-mAtreNa na vyAptiH-avasIyate /
   yadaivāvyatirekasya hyakṣajaṃ vāgamo bhavet /	yadA-eva-avyatirekasya hi-akza-jam vA-AgamaH Bavet /
   tannirdhāritayuktirvā vyāptiḥ saivāparā na hi // MAnuv_2,2.89 //	tad-nirDArita-yuktiH-vA vyAptiH sA-eva-aparAH na hi // Ma-anuv_2,2.89 //
   anyathā saptamarasabhavo 'pyanumayā'patet /	anyaTA saptama-rasa-BavaH api-anumayA-apatet /
   aniṣṭāni ca sarvāṇi hyanumā kāmacāriṇī // MAnuv_2,2.90 //	anizwAni ca sarvANi hi-anumA kAma-cAriNI // Ma-anuv_2,2.90 //
   kāryakāraṇayoścaiva guṇādeḥ pañcakasya ca /	kArya-kAraNayoH-ca-eva guNa-AdeH paQcakasya ca /
   bhinnasyaiva tu sambandhaḥ samavāyo 'nya īryate // MAnuv_2,2.91 //	Binnasya-eva tu sambanDaH samavAyaH anyaH Iryate // Ma-anuv_2,2.91 //
   bhinnatvasāmyatastasya tābhyāṃ yogo bhaved dhruvam /	Binna-tva-sAmyataH-tasya tAByAm yogaH Bavet Druvam /
   sa svanirvāhakaścet syād dravyameva tathā na kim // MAnuv_2,2.92 //	sa sva-nirvAhakaH-ced syAt dravyam-eva taTA na kim // Ma-anuv_2,2.92 //
   viśeṣastadgatatvādiryadyabhinne 'vasīyate /	viSezaH-tad-gata-tva-AdiH-yadya-Binne avasIyate /
   guṇakriyādirūpasya niṣedhaḥ kena hetunā // MAnuv_2,2.93 //	guNa-kriyA-Adi-rUpasya nizeDaH kena hetunA // Ma-anuv_2,2.93 //
   dravyameva tato 'nantaviśeṣātmatayā sadā /	dravyam-eva tatas ananta-viSeza-Atma-tayA sadA /
   nānāvyavahṛterheturanantatvaṃ viśeṣataḥ // MAnuv_2,2.94 //	nAnA-vyavahRteH-hetuH-ananta-tvam viSezataH // Ma-anuv_2,2.94 //
   viśeṣaśca viśeṣī saḥ svenaiva samavāyavat /	viSezaH-ca viSezI saH svena-eva samavAya-vat /
   kalpanāgurutādoṣāt padārthāntaratā na hi // MAnuv_2,2.95 //	kalpanA-guru-tA-dozAt padArTa-antara-tA na hi // Ma-anuv_2,2.95 //
   kalpayitvā ṣaṭ padārthān sābhāvānapi kevalam /	kalpayitvA zaw padArTAn sABAvAn-api kevalam /
   ekasmin sa viśeṣaścet kiṃ pūrvaṃ tasya vismṛtiḥ // MAnuv_2,2.96 //	ekasmin sa viSezaH-ced kim pUrvam tasya vismRtiH // Ma-anuv_2,2.96 //
   yena pratyakṣasiddhena vyavahāro 'khilo bhavet /	yena pratyakza-sidDena vyavahAraH aKilaH Bavet /
   bhāvābhāvavibhāgena yaṃ vinā na kathañcana // MAnuv_2,2.97 //	BAva-aBAva-viBAgena yam vinA na kaTaQcana // Ma-anuv_2,2.97 //
   abhedena pratītiśca kāryakāraṇapūrvake /	aBedena pratItiH-ca kArya-kAraNa-pUrvake /
   abhāvānte padārthe 'smin saviśeṣāvasīyate // MAnuv_2,2.98 //	aBAva-ante padArTe asmin sa-viSeza-avasIyate // Ma-anuv_2,2.98 //
   sāmānyādipadārtheṣu tanniṣṭhatvādayo 'khilāḥ /	sAmAnya-Adi-padArTezu tad-nizWa-tva-AdayaH aKilAH /
   kathaṃ dharmā nivāryante vastvaikye 'pi hi vādibhiḥ // MAnuv_2,2.99 //	kaTam DarmAH nivAryante vastu-Ekye api hi vAdiBiH // Ma-anuv_2,2.99 //
   kāryasya tattanniṣṭhatvaṃ guṇādervyāpitādikaḥ /	kAryasya tad-tad-nizWa-tvam guNa-AdeH-vyApita-AdikaH /
   kathaṃ viśeṣo naivāsti sa ca dharmo 'paro yadi // MAnuv_2,2.100 //	kaTam viSezaH na-eva-asti sa ca DarmaH aparaH yadi // Ma-anuv_2,2.100 //
   ṣaṭpadārthātirekaḥ syāt padārthāniyame 'pi hi /	zaz-padArTa-atirekaH syAt padArTa-aniyame api hi /
   dharmasya dharmasantānādanavasthākaro bhavet // MAnuv_2,2.101 //	Darmasya Darma-santAnAt-anavasTA-karaH Bavet // Ma-anuv_2,2.101 //
   sāmānyasyāpi sāmānyaṃ guṇasyāpi guṇo hyataḥ /	sAmAnyasya-api sAmAnyam guNasya-api guNaH hi-atas /
   nāṅgīkṛtaḥ sa ca yadi nānavasthā kvacid bhavet // MAnuv_2,2.102 //	na-aFgIkRtaH sa ca yadi na-anavasTA kvacid Bavet // Ma-anuv_2,2.102 //
   asmatpakṣe guṇādyāśca tadvanto hi viśeṣataḥ /	asmad-pakze guNa-AdyAH-ca tat-vantaH hi viSezataH /
   ananyatvānnānavasthā bhedo nāśe bhavet tathā // MAnuv_2,2.103 //	ananya-tvAt-na-anavasTA BedaH nASe Bavet taTA // Ma-anuv_2,2.103 //
   viśeṣameva saṃśritya viśeṣo balavān yataḥ /	viSezam-eva saMSritya viSezaH balavAn yatas /
   dṛṣṭipramāṇataścaiva virodho darśane katham // MAnuv_2,2.104 //	dRzwi-pramANataH-ca-eva viroDaH darSane kaTam // Ma-anuv_2,2.104 //
   virodho hyavirodhaśca yato darśanamānagau /	viroDaH hi-aviroDaH-ca yatas darSanam-AnagO /
   tato dṛṣṭe virodhastu sadbhirāpādyate katham // MAnuv_2,2.105 //	tatas dRzwe viroDaH-tu sadBiH-ApAdyate kaTam // Ma-anuv_2,2.105 //
   abhinno bhagavān svena tadanyena vibhedavān /	aBinnaH BagavAn svena tad-anyena viBedavAn /
   nityā dharmāstadīyāstu sarve 'smānnaiva bhedinaḥ // MAnuv_2,2.106 //	nityAH DarmAH-tadIyAH-tu sarve asmAn-na-eva BedinaH // Ma-anuv_2,2.106 //
   sāmastyocchedino 'nyatra dharmā ubhayarūpakāḥ /	sAmastya-ucCedinaH anyatra DarmAH uBaya-rUpakAH /
   bhāve ta eva cocchedāt tadanye ca samastaśaḥ // MAnuv_2,2.107 //	BAve te eva ca-ucCedAt tad-anye ca samastaSas // Ma-anuv_2,2.107 //
   aṃśāṃśinorabhedena tvaṃśasaṃyoga eva hi /	aMSAMSinA-uH-aBedena tu-aMSa-saMyogaH eva hi /
   aṃśino nānavasthāto yadyapyaṃśeṣvaviśramaḥ // MAnuv_2,2.108 //	aMSinaH na-anavasTAtaH yadi-api-aMSezu-aviSramaH // Ma-anuv_2,2.108 //
   ekasmin jāta evānyaḥ saṃyogo jāyate yadi /	ekasmin jAtaH eva-anyaH saMyogaH jAyate yadi /
   anavasthā tadaiva syāt saṃyogaikye bhavet kva sā // MAnuv_2,2.109 //	anavasTA tadA-eva syAt saMyoga-Ekye Bavet kva sA // Ma-anuv_2,2.109 //
   aṃśe saṃyogadṛṣṭeśca dṛṣṭe kā sānavasthitiḥ /	aMSe saMyoga-dRzweH-ca dRzwe kA sAnavasTitiH /
   yadyaṃśago na saṃyogaḥ kāryeṣu prathimā katham // MAnuv_2,2.110 //	yadi-aMSa-gaH na saMyogaH kAryezu praTimA kaTam // Ma-anuv_2,2.110 //
   paramāṇoraṇornāsti mahattetyadbhutaṃ vacaḥ /	paramANoH-aNoH-na-asti mahattA-iti-adButam vacaH /
   aṇūnāṃ prathimāpekṣāṃ vinaiva tṛyaṇuke 'pi saḥ /	aNUnAm praTimA-apekzAm vinA-eva tRyaNuke api saH /
   paramāṇormahattvaṃ ca vinetyetad vacaḥ katham // MAnuv_2,2.111 //	paramANoH-mahat-tvam ca vinA-iti-etat vacaH kaTam // Ma-anuv_2,2.111 //
   aṃśino 'ṃśairabhedo 'yamaṃśena tu bhidābhidā /	aMSinaH aMSEH-aBedaH ayam-aMSena tu BidA-aBidA /
   sarvapratyakṣaviṣayaḥ kathameva hyapohyate // MAnuv_2,2.112 //	sarva-pratyakza-vizayaH kaTam-eva hi-apohyate // Ma-anuv_2,2.112 //
   saṃyogaśca vibhāgaśca bhedaścaiva pṛthak pṛthak /	saMyogaH-ca viBAgaH-ca BedaH-ca-eva pRTak pRTak /
   anyonyapratiyogena hyubhayorapi dṛśyate // MAnuv_2,2.113 //	anyonya-pratiyogena hi-uBayoH-api dRSyate // Ma-anuv_2,2.113 //
   bhinnā iti tu bhedānāṃ samudāyo hi dṛśyate /	BinnAH iti tu BedAnAm samudAyaH hi dRSyate /
   yathaiva ca padārthānāmanayorbheda ityapi // MAnuv_2,2.114 //	yaTA-eva ca padArTAnAm-anayoH-BedaH iti-api // Ma-anuv_2,2.114 //
   ito 'muṣyāmuto 'pyasya bhedo dṛṣṭo dvidharmikaḥ /	itas amuzya-amutas api-asya BedaH dRzwaH dvi-DarmikaH /
   tatraikavacanaṃ yattad viprāṇāṃ bhojanaṃ yathā // MAnuv_2,2.115 //	tatra-eka-vacanam yat-tat viprANAm Bojanam yaTA // Ma-anuv_2,2.115 //
   naratvādikamapyevaṃ tattaddharmatayeyate /	nara-tva-Adikam-api-evam tat-tad-Darmatayeyate /
   na sarvadharma eko 'sti samudāyastu bhinnagaḥ // MAnuv_2,2.116 //	na sarva-DarmaH ekaH asti samudAyaH-tu Binna-gaH // Ma-anuv_2,2.116 //
   etādṛśaṃ ca sādṛśyaṃ padārtheṣu pṛthak pṛthak /	etAdRSam ca sAdRSyam padArTezu pRTak pRTak /
   ekasmin sa vinaṣṭe 'pi yato 'nyatraiva dṛśyate // MAnuv_2,2.117 //	ekasmin sa vinazwe api yatas anyatra-eva dRSyate // Ma-anuv_2,2.117 //
   kuto bhasmatvamāptasya naratvaṃ punariṣyate /	kutas Basma-tvam-Aptasya nara-tvam punar-izyate /
   ekatve nāsti mānaṃ ca śrutirapyāha sādaram // MAnuv_2,2.118 //	eka-tve na-asti mAnam ca SrutiH-api-Aha sa-Adaram // Ma-anuv_2,2.118 //
   bhinnāśca bhinnadharmāśca padārthā akhilā api /	BinnAH-ca Binna-DarmAH-ca padArTAH aKilAH api /
   svaiḥ svairdharmairabhinnāśca svarūpairapi sarvaśaḥ // MAnuv_2,2.119 //	svEH svEH-DarmEH-aBinnAH-ca svarUpEH-api sarvaSas // Ma-anuv_2,2.119 //
   anivṛttavināśāstu dharmā ubhayarūpakāḥ /	anivRtta-vinASAH-tu DarmAH uBaya-rUpakAH /
   na kenacidabhinno 'to bhagavān svaguṇairvinā // MAnuv_2,2.120 //	na kenacid-aBinnaH atas BagavAn sva-guNEH-vinA // Ma-anuv_2,2.120 //
   iti vyutpattirapi hi sādṛśyenaiva gamyate /	iti vyutpattiH-api hi sAdRSyena-eva gamyate /
   sarveṣu yugapacchabdaḥ sadṛśeṣu pravartate // MAnuv_2,2.121 //	sarvezu yugapad-SabdaH sadRSezu pravartate // Ma-anuv_2,2.121 //
   tathāpi prāptitastvekavacanācca viśeṣataḥ /	taTA-api prAptitaH-tu-eka-vacanAt-ca viSezataH /
   abhīṣyāvagatiśca syācchaktiḥ sādṛśyagā yataḥ // MAnuv_2,2.122 //	aBIzya-avagatiH-ca syAt-SaktiH sAdRSya-gAH yatas // Ma-anuv_2,2.122 //
   tādṛśo 'yaṃ ca tacchabda iti jñāpayati sphuṭam /	tAdRSaH ayam ca tad-SabdaH iti jQApayati sPuwam /
   jātitaścet kathaṃ tāsu tatra cedanavasthitiḥ // MAnuv_2,2.123 //	jAtitaH-ced kaTam tAsu tatra ced-anavasTitiH // Ma-anuv_2,2.123 //
   tathaiva vyaktivijñānaṃ vyaktitvābhāvadūṣitam /	taTA-eva vyakti-vijQAnam vyakti-tva-aBAva-dUzitam /
   yadi taccāsti tasyāpi viśeṣeṣvanavasthitiḥ // MAnuv_2,2.124 //	yadi tat-ca-asti tasya-api viSezezu-anavasTitiH // Ma-anuv_2,2.124 //
   kathaṃ svarūpatvamapi jñāyate 'nugataṃ yadi /	kaTam svarUpa-tvam-api jQAyate anugatam yadi /
   ekavyutpattiparyantamanavasthādidūṣitam /	eka-vyutpatti-paryantam-anavasTA-Adi-dUzitam /
   kalpanāgauravāt tena yuktā nānugakalpanā // MAnuv_2,2.125 //	kalpanA-gOravAt tena yuktAH na-anuga-kalpanA // Ma-anuv_2,2.125 //
   aupādhikaviśiṣṭādyamapi tadvastu kiṃ tataḥ /	OpADika-viSizwa-Adyam-api tat-vastu kim tatas /
   anyat tadeva cedagnimattvaṃ kiṃ tatra bhaṇyate // MAnuv_2,2.126 //	anyat tat-eva ced-agnimat-tvam kim tatra BaNyate // Ma-anuv_2,2.126 //
   agnisaṃyogamātraṃ ced bhavet tat siddhasādhanam /	agni-saMyoga-mAtram ced Bavet tat sidDa-sADanam /
   bhūdharasyāgnisaṃyogo yadi ṣaṣṭhayartha eva kaḥ // MAnuv_2,2.127 //	BUDarasya-agni-saMyogaH yadi zazWayarTaH eva kaH // Ma-anuv_2,2.127 //
   samavāyo yadi hy asya caikatvāt siddhasādhanam /	samavAyaH yadi hi asya ca-eka-tvAt sidDa-sADanam /
   yadyasyaupādhiko bhedaḥ kuta ekatvamiṣyate // MAnuv_2,2.128 //	yadi-asi-a-OpADikaH BedaH kutas eka-tvam-izyate // Ma-anuv_2,2.128 //
   nānirvācyaṃ hi teneṣyamata aupādhikānyayoḥ /	na-anirvAcyam hi tena-izyam-atas OpADika-anyayoH /
   satyatvāt ko viśeṣaḥ syānmāyāvādyanyathā bhavet // MAnuv_2,2.129 //	satya-tvAt kaH viSezaH syAt-mAyOvAdi-anyaTA Bavet // Ma-anuv_2,2.129 //
   upādhijanyaṃ tadgamyamiti vaupādhikaṃ bhavet /	upADi-janyam tat-gamyam-iti vOpADikam Bavet /
   ubhayatrāpyanantāḥ syuḥ samavāyā itastataḥ /	uBayatra-api-anantAH syuH samavAyAH itas-tatas /
   bhinnatvaṃ caiva teṣvasti ko viśeṣa upādhige // MAnuv_2,2.130 //	Binna-tvam ca-eva tezu-asti kaH viSezaH upADi-ge // Ma-anuv_2,2.130 //
   avidyamāna evānyaḥ samavāyo 'dhigamyate /	avidyamAnaH eva-anyaH samavAyaH aDigamyate /
   upādhinā tadgamakamanumānaṃ na mā bhavet // MAnuv_2,2.131 //	upADinA tad-gamakam-anumAnam na mA Bavet // Ma-anuv_2,2.131 //
   evamevāsataḥ sattasamavāyo janirmatā /	evam-eva-asataH satta-samavAyaH janirmatA /
   tatrāpi hyuktadoṣāṇāṃ naiva kiñcinnivārakam // MAnuv_2,2.132 //	tatra-api hi-ukta-dozANAm na-eva kiQcid-nivArakam // Ma-anuv_2,2.132 //
   asmatpakṣe viśeṣasya sarvatrāṅgīkṛtatvataḥ /	asmad-pakze viSezasya sarvatra-aFgIkRta-tvataH /
   nāsti doṣaḥ kvacid bhāvo hyabhāvaśca sa eva hi // MAnuv_2,2.133 //	na-asti dozaH kvacid BAvaH hi-aBAvaH-ca saH eva hi // Ma-anuv_2,2.133 //
   abhāvasya ca dharmāḥ syurbhāvāsteṣāṃ ca te 'khilāḥ /	aBAvasya ca DarmAH syuH-BAvAH-tezAm ca te aKilAH /
   pratyakṣamānataḥ sarvametanno vāraṇakṣamam /	pratyakzamAnataH sarvam-etat-naH vAraNa-kzamam /
   sarve bhāvā abhāvāśca padārthāstena sarvadā // MAnuv_2,2.134 //	sarve BAvAH aBAvAH-ca padArTAH-tena sarvadA // Ma-anuv_2,2.134 //
   tathāpi prathamaṃ buddheryo niṣedhasya gocaraḥ /	taTA-api praTamam budDeH-yaH nizeDasya gocaraH /
   so 'bhāvo vidhibuddhestu gocaraḥ prathamaṃ paraḥ // MAnuv_2,2.135 //	saH aBAvaH viDi-budDeH-tu gocaraH praTamam paraH // Ma-anuv_2,2.135 //
   tasmāt pradhvastabhedādi sadityevāvagamyate /	tasmAt praDvasta-Beda-Adi sat-iti-eva-avagamyate /
   astyabhāvo 'sti ca dhvaṃso dehābhāvaśca bhasmatā // MAnuv_2,2.136 //	asti-aBAvaH asti ca DvaMsaH deha-aBAvaH-ca Basma-tA // Ma-anuv_2,2.136 //
   ityādi yujyate sarvaṃ pratyakṣādipramāṇataḥ /	ityAdi yujyate sarvam pratyakza-Adi-pramANataH /
   anyonyābhāvabhedau ca pṛthaktavaṃ ca pṛthak pṛthak // MAnuv_2,2.137 //	anyonya-aBAva-BedO ca pRTaktavam ca pRTak pRTak // Ma-anuv_2,2.137 //
   yat kalpayanti taccaiva kalpanāgauravād gatam /	yat kalpayanti tat-ca-eva kalpanA-gOravAt gatam /
   paryāyatvena te śabdā jñāyante sarva eva hi // MAnuv_2,2.138 //	paryAya-tvena te SabdAH jQAyante sarve eva hi // Ma-anuv_2,2.138 //
   bhedasya tu svarūpatve ye vadanti ca śūnyatām /	Bedasya tu svarUpa-tve ye vadanti ca SUnyatAm /
   adbhutatāste yato 'nyasya pratiyogitvamiṣyate // MAnuv_2,2.139 //	adButa-tAH-te yatas anyasya pratiyogi-tvam-izyate // Ma-anuv_2,2.139 //
   pratiyogino hi bhedo 'yaṃ natu svasmāt kathañcana /	pratiyoginaH hi BedaH ayam na-tu svasmAt kaTaQcana /
   vibhāgenālpataiva syāt kuta eva ca śūnyatā // MAnuv_2,2.140 //	viBAgena-alpa-tA-eva syAt kutas eva ca SUnyatA // Ma-anuv_2,2.140 //
   na śūnyānāṃ hi saṃyogād bhāvo vastuna iṣyate /	na SUnyAnAm hi saMyogAt BAvaH vastunaH izyate /
   vidāraṇārtho dhātuśca vibhāgaguṇavācakaḥ // MAnuv_2,2.141 //	vidAraNa-arTaH DAtuH-ca viBAga-guNa-vAcakaH // Ma-anuv_2,2.141 //
   avidāraṇe 'pi hyāsyasya bhinnāvoṣṭhau tu tasya ca /	avidAraNe api hi-Asyasya BinnO=-ozWO tu tasya ca /
   ata unmattavākyatvānmāyāvādo 'bhyupekṣitaḥ // MAnuv_2,2.142 //	atas unmatta-vAkya-tvAt-mAyA-vAdaH aByupekzitaH // Ma-anuv_2,2.142 //
   na cāmandasadānandasyandyanantaguṇārṇavaḥ /	na ca-amandasat-Ananda-syandI-ananta-guNa-arNavaH /
   īśvaro 'ṣṭaguṇatvena prameyo 'pramitatvataḥ // MAnuv_2,2.143 //	ISvaraH azwaguNa-tvena prameyaH apramita-tvataH // Ma-anuv_2,2.143 //
   mayyanantaguṇe 'nante guṇato 'nantavigrahe /	mayi-ananta-guNe anante guNataH ananta-vigrahe /
   anantaguṇamāhātmyaśaktijñānamahārṇavaḥ // MAnuv_2,2.144 //	ananta-guNa-mAhAtmya-Sakti-jQAna-mahA-arNavaH // Ma-anuv_2,2.144 //
   nārāyaṇaḥ paro 'śeṣacetanebhyaḥ paraṃ padam /	nArAyaNaH paraH aSeza-cetaneByaH param padam /
   ityādivedatadvākyairanantaiścāvasīyate // MAnuv_2,2.145 //	ityAdi-veda-tad-vAkyEH-anantEH-ca-avasIyate // Ma-anuv_2,2.145 //
   anantaguṇatā viṣṇoḥ kathameva hyapodyate /	ananta-guNa-tA vizNoH kaTam-eva hi-apodyate /
   yadyanantaviśeṣāśca tajjñānādernivāritāḥ // MAnuv_2,2.146 //	yadi-ananta-viSezAH-ca tad-jQAna-AdeH-nivAritAH // Ma-anuv_2,2.146 //
   kathaṃ tattadviṣayatā sārvajñyārthaṃ vidhīyate /	kaTam tad-tad-vizaya-tA sArvajQya-arTam viDIyate /
   aupādhikaviśeṣastu pūrvameva nirākṛtaḥ // MAnuv_2,2.147 //	OpADika-viSezaH-tu pUrvam-eva nirAkRtaH // Ma-anuv_2,2.147 //
   svaprakāśatvamapi tu yairjñānasya nivāritam /	sva-prakASa-tvam-api tu yEH-jQAnasya nivAritam /
   kathaṃ sarvajñatā tasya svajñānādhigamaṃ vinā // MAnuv_2,2.148 //	kaTam sarvajQa-tA tasya sva-jQAna-aDigamam vinA // Ma-anuv_2,2.148 //
   jñānaṃ viśvādhigaṃ tvekaṃ tajjñānaviṣayaṃ param /	jQAnam viSva-aDigam tu-ekam tat-jQAna-vizayam param /
   iti jñānadvayenaiva sarvavit parameśvaraḥ // MAnuv_2,2.149 //	iti jQAna-dvayena-eva sarva-vid parameSvaraH // Ma-anuv_2,2.149 //
   iti cedeṣa evārthastajjñānāvasito yadi /	iti ced-ezaH eva-arTaH-tad-jQAna-avasitaH yadi /
   svaprakāśatvameva syājjñānaṃ hyetad viśeṣaṇam // MAnuv_2,2.150 //	sva-prakASa-tvam-eva syAt-jQAnam hi-etat viSezaNam // Ma-anuv_2,2.150 //
   jñānāntareṇa cedatra bhavedevānavasthitiḥ /	jQAna-antareNa ced-atra Bavet-eva-anavasTitiH /
