   Māgha: Śiśupālavadha	MAGa: ŚiSupAla vaDa
   kṣaṇekṣame yannavatāmupaiti tadevarūpaṃ ramaṇīyatāyāḥ  // MSpv_4.17 //	kzaNekzame yat navatAm upEti tat eva rUpam ramaNIya tAyAH  // MSpu _4.17 //
   uccāraṇajñe 'thagirādadhānamuccā raṇatpakṣigaṇāstaṭīstam  /	uccAraNa jQe aTa girAt aDAnam uccAH raNat pakzi gaNAH tawIH tam  /
   utkaṃ dharaṃ draṣṭumavekṣya śauriṇutkandharaṃ dāruka ityuvāca  //	utkam Daram drazwum avekzya SOriNut kanDaram dArukaH iti uvAca  //
   MSpv_4.18 //	MSpu _4.18 //
   ācchāditāyatadadigambaramuccakairgām	AcCAdita Ayatada digambaram uccakEs gAm
   ākramyasaṃsthitamudagraviśālaśṛṅgam  /	Akramya saMsTitam udagra viSAla SRFgam  /
   mūrdhniskhalattuhinadīdhitikoṭimenam udvīkṣya ko bhuvi na vismayate	mUrDni sKalat tuhinadIDiti kowim enam udvIkzya kaH Buvi na vismayate
   nageśam  // MSpv_4.19 //	nageSam  // MSpu _4.19 //
   udayativitatarḥdhvaraśamirajjāvahimarucau himadhāmni yāti cāstam  /	udayati vitatarHDvara Sami rajjAvahim arucO hima DAmni yAti ca astam  /
   vahatigirirayaṃ vilambidhaṇaṭādvayaparivāritavāraṇendralīlām  // MSpv_4.20	vahati giriH ayam vilambi DaNawA dvaya parivArita vAraNa indralIlAm  // MSpu _4.20
   vahati yaḥ paritaḥ kanakasthalīḥ saharitā lasamānanavāṃśukaḥ  /	vahati yaH paritas kanaka sTalIH sa haritA lasamAna nava aMSukaH  /
   acaleṣabhavāniva rājate sa haritālasamānanavāṃśukaḥ  // MSpv_4.21 //	acaleza BavAn iva rAjate sa haritAla samAna nava aMSukaH  // MSpu _4.21 //
   pāścātyabhāgamiha sānuṣu sanniṣaṇṇāḥ paśyanti	pAScAtyaBAgam iha sAnuzu sannizaNNAH paSyanti
   śāntamalasāndratarāṃśujālam  /	SAnta mala sAndratara aMSu jAlam  /
   saṃpūrṇalabdhalalanālāpanopamānam utsaṅgasahgihariṇamasya	saMpUrNa labDa lalana AlApana upamAnam utsaFga sahgi hariNam asya
   mṛgāṅgamūrteḥ  // MSpv_4.22 //	mRgAFga mUrteH  // MSpu _4.22 //
   kṛtvāpuṃvatpādamuccairbhṛgubhyo mūrdhni grāvṇāṃ jarjarā nirjharaughāḥ  /	kRtvA apuMvat pAdam uccEs BRguByaH mUrDni grAvNAm jarjarAH nirJara oGAH  /
   kurvanti dyāmutpatantaḥ smarārtasvarlokastrīgātranirṇamatra  // MSpv_4.23	kurvanti dyAm utpatantaH smara Arta svar loka strI gAtra nirNamatra  // MSpu _4.23
   sthagayantyamūḥ śāmitacātakārtasvarā jaladāstaḍittulitakāntakārtasvarāḥ  /	sTagayanti amUH SAmita cAtaka Arta svarAH jaladAH taxit tulita kAntaka Arta svarAH  /
   jagatīrihasphuritacārucāmīkarāḥ savituḥ kacitkapiśayanti cāmī karāḥ  //	jagatIH iha sPurita cAru cAmIkarAH savituH kacid kapiSayanti ca amI karAH  //
   MSpv_4.24 //	MSpu _4.24 //
   utkṣiptamucchritasitāṃśukarāvalambairuttambhitoḍubhirativatarāṃ	utkziptam ucCrita sita aMSu kara avalambEH uttamBita uxuBiH ativatarAm
   śirobhiḥ  /	SiroBiH  /
   śraddheyanirjharajalavyapadeśamasya viṣvaktaṭeṣu patati	SradDeya nirJara jala vyapadeSam asya vizvak tawezu patati
   sphuṭamantarīkṣam  // MSpv_4.25 //	sPuwam antarIkzam  // MSpu _4.25 //
   ekatrasphaṭikataṭāṃśubhinnanīrā nīlāśmadyutibhidurāmbhaso 'paratra  /	ekatra sPawika tawa aMSu Binna nIrAH nIla aSma dyuti BidurAmBasaH aparatra  /
   kālindījalajanitaśriyaḥ śrayante vaidagdhīmiha saritaḥ surāpagāyāḥ  //	kAlindI jala janita SriyaH Srayante vEdagDIm iha saritaH surApagAyAH  //
   MSpv_4.26 //	MSpu _4.26 //
   itastataḥ'sminvilasanti meroḥ samānavapremaṇisānurāgāḥ  /	itas tataH asmin vilasanti meroH samAna vapremaNi sAnurAgAH  /
   striyaśaca patyau surasundarībhiḥ samā navapremaṇisānurāgāḥ  // MSpv_4.27	striyaSaca patyO sura sundarIBiH samAH nava premaNi sA anurAgAH  // MSpu _4.27
   uccaimahārajatarājivirājitāsau durvarṇabhittiriha sāndrasudhāsavarṇā  /	uccEmahAra jata rAji virAjitA asO durvarNa BittiH iha sAndra suDA savarNA  /
   abhyeti bhasmaparipāṇḍuritasmarārer udvahnilocanalalāmalalāṭalīlām  //	aByeti Basma paripANxurita smara areH udvahni locana lalAma lalAwalIlAm  //
   MSpv_4.28 //	MSpu _4.28 //
   ayamatijaraṭhāḥ prakāmagurvīralaghuvilambipayodharoparuddhāḥ  /	ayam ati jaraWAH prakAma gurvIra laGu vilambi payoDara uparudDAH  /
   satatamasugatāmagamyarūpāḥ pariṇatadikkarikāstaṭīrbibharti  // MSpv_4.29	satatam asugatAm agamya rUpAH pariNata dikkarikAH tawIH biBarti  // MSpu _4.29
   dhūmākāraṃ dadhati puraḥ sauvarṇe varṇenāgneḥ sadṛśi taṭe paśyāmī  /	DUma AkAram daDati puras sOvarNe varNena agneH sadRSi tawe paSyAmI  /
   śyāmībhūtāḥ kusumasamūho 'līnāṃ līnāmālīmiha taravo bibhrāṇāḥ  //	SyAmIBUtAH kusuma samUhaH alInAm lInA mAlIm iha taravaH biBrANAH  //
   MSpv_4.30 //	MSpu _4.30 //
   vyomaspṛśaḥ prathayatā kaladhautabhittīr	vyoma spRSaH praTayatA kalaDOta BittIH 
   unnidrapuṣpacaṇacampakapiṅgabhāsaḥ  /	unnidra puzpa caNa campaka piFga BAsaH  /
   saumeravīmadhigatena nitambaśobhām etena bhāratamilāvṛtavadvibhāti  //	sOmeravIm aDigatena nitamba SoBAm etena BAratam ilAvRta vat viBAti  //
   MSpv_4.31 //	MSpu _4.31 //
   ruciracitratanūruhaśālibhirvicalitaiḥ paritaḥ priyakavrajaiḥ  /	rucira citra tanUruha SAliBiH vicalitEH paritas priyaka vrajEH  /
   vivadharatnamayairabhibātyasāvavayavairiva jaṅgamatāṃ gataiḥ  // MSpv_4.32	vivaDa ratna mayEH aBibAtyasO= avayavEH iva jaFgama tAm gatEH  // MSpu _4.32
   kuśaśayairatra jalāśayoṣitā mudāramante kalabhāvikasvaraiḥ  /	kuSa SayEH atra jalASa ya uzitAH mudAram ante kala BAvika svarEH  /
   pragīyate siddhagaṇaiśca yoṣitāmudārama kalabhāvikasvaraiḥ  // MSpv_4.33	pragIyate sidDa gaNEH ca yozitAm udArama kala BAvika svarEH  // MSpu _4.33
   āsāditasya tamasā niyaterniyogādākāṅkṣataḥpunarapakramaṇena kālam  /	AsAditasya tamasA niyateH niyogAt AkAFkzataH punar apakramaNena kAlam  /
   patyustvaṣāmiha mahauṣadhayaḥ kalatrasthānaṃ	patyuH tvazAm iha mahOzaDayaH kalatra sTAnam
   parainanabhibhūtamamūrvahanti  // MSpv_4.34 //	parEnanaBiBUtam amUrvahanti  // MSpu _4.34 //
   vanaspatiskandhaniṣaṇṇabālapravālahastāḥ pramadā ivātra  /	vanaspati skanDa nizaNNa bAla pravAla hastAH pramadAH iva atra  /
   puṣpekṣaṇailambhitalocakairvā madhuvratavrātavṛtairvratatyaḥ  // MSpv_4.35	puzpa IkzaNa elamBita locakEH vA maDu vrata vrAta vRtEH vratatyaH  // MSpu _4.35
   vihagāḥ kadambasurabhāviha gāḥ kalayantanukṣaṇamanekalayam  /	vihagAH kadamba suraBO= iha gAH kalayanta nukzaNam aneka layam  /
   bhramayannupaiti muhurabhramayaṃ pavanaśca dhūtanavanīpavanaḥ  //	Bramayan= upEti muhur aBra mayam pavanaH ca DUta navanI pavanaH  //
   MSpv_4.36 //	MSpu _4.36 //
   vidvadbhirāgamaparairvivṛtaṃ kathañcicchrutvāpi	vidvadBiH Agama parEH vivRtam kaTaQcid SrutvA api
   durgrahamaniścitadhībhiranyaiḥ  /	durgraham aniScita DIBiH anyEH  /
   śreyāndvijātiriva hantumaghāni dakṣaṃ gūṭhārthameṣa nidhimantragaṇaṃ	SreyAn dvi jAtiH iva hantum aGAni dakzam gUWa arTam eza niDi mantra gaNam
   bibharti  // MSpv_4.37 //	biBarti  // MSpu _4.37 //
   bimboṣṭhaṃ bahu manute turaṅgavaktraś cumbantaṃ mukhamiha kiṃnaraṃ	bimba uzWam bahu manute turaFga vaktraH cumbantam muKam iha kiMnaram
   priyāyāḥ  /	priyAyAH  /
   śliṣyantaṃmuhuritaro 'pi taṃ nijastrīm	SlizyantaMmuhur itaraH api tam nija strIm
   uttuṅgastanabharabhaṅgabhīrumadhyām  // MSpv_4.38 //	uttuFga stana Bara BaFga BIru maDyAm  // MSpu _4.38 //
   yadetadasyānutaṭaṃ vibhāti vanaṃ tatānekatamālatālam  /	yat etat asya anutawam viBAti vanam tata aneka tamAla tAlam  /
   na puṣpitātra sthagitārkarasmāvanāntatāne katamā latālam  // MSpv_4.39 //	na puzpitA atra sTagita arka rasma avanAn tatAne katamA latAlam  // MSpu _4.39 //
   dantojjvalāsu vimalopalamekhalāntāḥ sadratnacitrakaṭakāsu bṛhannitambāḥ  /	danta ujjvalAsu vimala upala meKalA antAH sat ratna citra kawakAsu bRhannitambAH  /
   asminbhajanti ghanakomalagaṇḍaśailā nāryo 'nurūpamadhivāsamadhityakāsu  //	asmin Bajanti Gana komala gaNxa SElAH nAryaH anurUpam aDivAsam aDityakAsu  //
   MSpv_4.40 //	MSpu _4.40 //
   anaticirojjhitasya jaladena cirasthitabuddhyudayasya payaso 'nukṛtim  /	anaticira ujJitasya jaladena cira sTita budDi udayasya payasaH anukRtim  /
   viralavikīrṇavajraśakalā sakalām iha vidadhāti dhautakaladhautamahī  //	virala vikIrNa vajraSakalA sakalAm iha vidaDAti DOta kalaDOta mahI  //
   MSpv_4.41 //	MSpu _4.41 //
   varjayantyā janaiḥ saṃgamekāntatas tarkayantyā sukhaṃ saṅgame kāntataḥ  /	varjayantyA janEH saMgam ekAntataH tarkayantyA suKam saFgame kAntataH  /
   yoṣayaiṣa smarāsannatāpāṅgayā sevyate 'nekayā saṃnnatāpaṅgayā  //	yozayA eza smara Asanna tApa aFgayA sevyate anekayA saMnnatA paFgayA  //
   MSpv_4.42 //	MSpu _4.42 //
   saṃkīrṇakīcakavanaskhalitaikavālavicchedakātaradhiyaścalituṃ camaryaḥ  /	saMkIrNa kIcaka vana sKalita eka vAla vicCeda kAtara DiyaH calitum camaryaH  /
   asminmṛduśvasanagarbhatadīyarandhraryatsvanaśrutisukhādiva notsahante  //	asmin mRdu Svasana garBa tadIya ran Draryat svana Sruti suKAt iva na utsahante  //
   MSpv_4.43 //	MSpu _4.43 //
   muktaṃ muktāgauramiha kṣīramivābhrair vāpīṣvantarlīnamahānīladalāsu  /	muktam muktA gOram iha kzIram iva aBrEH vApIzu antar lIna mahAnIla dalAsu  /
   śastrīśyāmairaṃśubhirāśu drutamambhaś chāyāmacchāmṛcchati	SastrI SyAmEH aMSuBiH ASu drutam amBaH CAyAm acCAm RcCati
   nīlīsalilasya  // MSpv_4.44 //	nIlI salilasya  // MSpu _4.44 //
   yā na yayau priyamanyavadhūbhyaḥ sāratarāgamanā yatamānam  /	yA na yayO priyam anya vaDUByaH sAratara AgamanA yatamAnam  /
   tena saheta bibharti rasaḥ strī sā ratarāgamanāyatānām  // MSpv_4.45 //	tena saheta biBarti rasaH strI sA ratara Agam anAyatAnAm  // MSpu _4.45 //
   bhinneṣuratnakiraṇaiḥ kiraṇeṣvihendor uccāvacairupagateṣu	Binna izu ratna kiraNEH kiraNezu iha indoH uccAvacEH upagatezu
   sahasrasaṃkhyāṃ  /	sahasra saMKyAm  /
   doṣāpi nūnamahimāṃśurasau kileti vyākośakokanadatāṃ dadhate nalinyaḥ  //	dozA api nUna mahimAMSuH asO kila iti vyAkoSa kokanada tAm daDate nalinyaH  //
   MSpv_4.46 //	MSpu _4.46 //
   apaśaṅkamaṅkaparivartanocitāścalitāḥ puraḥ patimupetumātmajāḥ  /	apaSaFkam aFka parivartana ucitAH calitAH puras patim upetum AtmajAH  /
   anuroditīva karuṇena pattriṇāṃ virutena vatsalatayayaiṣa nimnagāḥ  //	anuroditi iva karuNena pattriNAm virutena vatsala tayayA eza nimnagAH  //
   MSpv_4.47 //	MSpu _4.47 //
   madhukaraviṭapānamitāstarupaṅktīrbibhrataḥ'sya viṭapānamitāḥ  /	maDukara viwa pAnamitAH taru paFktIH biBrataH asya viwa pAnamitAH  /
   paripākapiśaṅgalatārajasā rodhaścakāsti kapiśaṃ galatā  // MSpv_4.48 //	paripAka piSaFga la tA rajasA roDaH cakAsti kapiSam galatA  // MSpu _4.48 //
   prāgbhāgataḥ patadihedamupatyakāsu śṛṅgāritāyatamahebhakarābhamambhaḥ  /	prAc BAgataH patat iha idam upatyakAsu SRFgArita Ayata maheBakara ABam amBaH  /
   saṃlakṣyatevividharatnakarānuviddham ūrdhvaprasāritasurādhipacāpacāru  //	saMlakzyateviviDa ratna kara anuvidDam UrDva prasArita surADi pacApacAru  //
   MSpv_4.49 //	MSpu _4.49 //
   dadhāti ca vikasadvicitrakalpadrumakusumairabhigumphitānivaitāḥ  /	daDAti ca vikasat vicitra kalpadruma kusumEH aBigumPitAn iva etAH  /
   kṣaṇamalaghuvilambipicchadāmnaḥ śikharaśikhāḥ śikhiśekharānamuṣya  //	kzaNam alaGu vilambi picCa dAmnaH SiKara SiKAH SiKi SeKarAn amuzya  //
   MSpv_4.50 //	MSpu _4.50 //
   savadhūkāḥ sukhino 'smannanavaratamamandarāmatāmarasadṛśaḥ  /	sa vaDUkAH suKinaH asmad nana varatam amandarAma ta amara sadRSaH  /
   nāsevante rasavannavaratamamandarāgatāmarasadṛśaḥ  // MSpv_4.51 //	na Asevante rasa vat navaratamamandara Agata amara sadRSaH  // MSpu _4.51 //
   ācchādya puṣpapaṭameva mahāntamantarāvartibhirgṛhakapotaśirodharābhaiḥ  /	AcCAdya puzpa pawam eva mahAntam antarAvartiBiH gRha kapota SiroDara ABEH  /
   śasvaṅgāni dhūmarucimāguravīṃ dadhānair dhūpāyatīva paṭalairnīradānām  //	SasvaFgAni DUma ruci mAguravIm daDAnEH DUpAyati iva pawalEH nIradAnAm  //
   MSpv_4.52 //	MSpu _4.52 //
   anyonyavyatikaracārubhirvicitrair atrasyannavamaṇirjanmabhirmayūkhaiḥ  /	anyonya vyatikara cAruBiH vicitrEH atrasyat nava maNiH janmaBiH mayUKEH  /
   vismerāngaganasadaḥ karotyamuṣminn ākāśeracitamabhitti citrakarma  //	vismerAn gagana sadaH karoti amuzmin AkASera citam aBitti citrakarma  //
   MSpv_4.53 //	MSpu _4.53 //
   samīraśiśiraḥ śiraḥsuvasatā satā javanikā nikānasukhinām  /	samIra SiSiraH SiraH suvasatA satA javanikA nikAna suKinAm  /
   bibhartijanayannayaṃ mudamapām apāyadhavalā valāhakatatīḥ  // MSpv_4.54 //	biBarti janayan= ayam mudam apAm apAya DavalAH valAhaka tatIH  // MSpu _4.54 //
   mairttryādicittaparikarmavido vidhāya kleśaprahāṇamiha	mErttrI Adi citta parikarma vidaH viDAya kleSa prahANam iha
   labdhasabījayogāḥ  /	labDa sa bIja yogAH  /
   khyātiṃ casattvapuruṣānyatayādhigamya vāñcanti tāmapi samādhibhṛtaḥ	KyAtim ca sattva puruza anyatayA aDigamya vAQcanti tAm api samADi BRtaH
   niroddhum  // MSpv_4.55 //	nirodDum  // MSpu _4.55 //
   marakatamayamedinīṣu bhānos taruviṭapāntarapātino mayūkhāḥ  /	marakata maya medinIzu BAnoH taru viwapa antara pAtinaH mayUKAH  /
   avanataśitikaṇṭhakaṇṭhalakṣmīm iha dadhati śphuritāṇureṇujālāḥ  //	avanata Siti kaNWa kaNWa lakzmIm iha daDati SPurita aNu reNu jAlAH  //
   MSpv_4.56 //	MSpu _4.56 //
   yā bibharti kalavallakīguṇasvānamānamatikālimālayā  /	yA biBarti kalavallakI guNa svAna mAnam ati kAli mAlayA  /
   nātra kāntamupagītayā tayā svānamānamati kālimālayā  // MSpv_4.57 //	na atra kAntam upagItayA tayA svAnam Anam ati kAlimAlayA  // MSpu _4.57 //
   sāyaṃ śaśāṅgakiraṇāhatacandrakāntanisyandinīranikareṇa kṛtābhiṣekāḥ  /	sAyam SaSAFga kiraNa Ahata candra kAnta nisyandi nIra nikareNa kRta aBizekAH  /
   arkopalollasitavahnibhirahni taptās tīvraṃ mahāvratamivātra caranati	arka upala ulla sita vahniBiH ahni taptAH tIvram mahA vratam iva atra caranati
   vaprāḥ  // MSpv_4.58 //	vaprAH  // MSpu _4.58 //
   etasminnadhikapayaḥśriyaṃ vahantyaḥ saṃkṣobhaṃ pavanabhuvā javena nītāḥ  /	etasmin= aDika payaH Sriyam vahantyaH saMkzoBam pavana BuvA javena nItAH  /
   vālmīkerarahitarāmalakṣmaṇānāṃ sādharmyaṃ dadhati girāṃ  mahāsarasyaḥ  //	vAlmIkeH a rahita rAma lakzmaNAnAm sADarmyam daDati girAm  mahA sarasyaH  //
   MSpv_4.59 //	MSpu _4.59 //
   iha muhurmuditaiḥ kalabhai ravaḥ pratidiśaṃ kriyate kalabhairavaḥ  /	iha muhur muditEH kalaBEH ravaH pratidiSam kriyate kalaBEravaH  /
   sphurati cānuvanaṃ camarīcayaḥ kanakaratnabhuvāṃ ca marīcayaḥ  //	sPurati ca anuvanam camarI cayaH kanaka ratna BuvAm ca marIcayaH  //
   MSpv_4.60 //	MSpu _4.60 //
   tvaksārarandhraparipūraṇalabdhagītir asminnasau	tvaksAra ranDra paripUraNa labDa gItiH asmin= asO
   mṛditapakṣmalarallakāṅgaḥ  /	mRdita pakzmala rallaka aFgaH  /
   kastūrikāmṛgavimardasugandhireti rāgīva saktimadhikāṃ viṣayeṣu vāyuḥ  //	kastUrikA mRga vimarda suganDiH eti rAgI iva saktim aDikAm vizayezu vAyuH  //
   MSpv_4.61 //	MSpu _4.61 //
   prītyai yūnāṃ vyavahitatapanāḥ prauḍhadvāntaṃ dinamiha jaladāḥ  /	prItyE yUnAm vyavahita tapanAH prOXa dvAntam dinam iha jaladAH  /
   doṣāmanyaṃ vidadhāti suratakrīḍāyāsaśramapaṭavaḥ  // MSpv_4.62 //	dozAm anyam vidaDAti surata krIxA yAsa Srama pawavaH  // MSpu _4.62 //
   bhagne nivāso 'yamihāsya puṣpaiḥ sadānataḥ yena viṣāṇi nāgaḥ  /	Bagne nivAsaH ayam iha asya puzpEH sa dAnataH yena vizANi nAgaH  /
   tīvrāṇi tenojjhati kopito 'sau sasānatoyena viṣāṇi nāgaḥ  // MSpv_4.63 //	tIvrANi tena ujJati kopitaH asO sasAna toyena vizANi nAgaH  // MSpu _4.63 //
   prāleyaśītalamacaleśvaramīśvaro 'pi sāndrabhacarmavasanāvaraṇādhiśete   /	prAleya SItalam acaleSvaram ISvaraH api sAndraBa carma vasana AvaraNa aDiSete   /
   sarvartunivṛttikare nivasannupaiti na dvandvaduḥkhamiha kiñcidakiñcano	sarva Rtu nivRtti kare nivasan= upEti na dvandva duHKam iha kiQcid akiQcanaH 
   'pi  // MSpv_4.64 //	api  // MSpu _4.64 //
   navanagavanalekhāśyāmadhyābhirābhiḥ  sphaṭikakaṭakabhūmināṭayatyeṣa	nava naga vana leKA ASyA maDyABiH ABiH  sPawika kawaka BUmi nAwayati eza
   śailaḥ  /	SElaH  /
   ahiparikarabhājo bhāsmanairaṅgarāgair adhigatadhavalimnaḥ	ahi parikara BAjaH BAsmanEraFga rAgEH aDigata DavalimnaH
   śūlapāṇerabhikhyām  // MSpv_4.65 //	SUlapANeH aBiKyAm  // MSpu _4.65 //
   dadhadbhirabhitastaṭau vikacavārijāmbūnadair vinoditadinaklamāḥ	daDadBiH aBitas tawO vikaca vAri jAmbUnadEH vinodita dina klamAH
   kṛtarucaścajāmbūnadaiḥ  /	kRta rucaH ca jAmbUnadEH  /
   niṣevya madhu mādhavāḥ sarasamatra kādambaraṃ haranti rataye rahaḥ	nizevya maDu mADavAH sa rasam atra kAdambaram haranti rataye rahaH
   priyatamāṅgakādambaram  // MSpv_4.66 //	priyatamAFgakAt ambaram  // MSpu _4.66 //
   darpaṇanirmalāsu patite ghanatimiramuṣi jyotiṣi raupyabhittiṣu puraḥ	darpaNa nirmalAsu patite Gana timira muzi jyotizi rOpya Bittizu puras 
   pratiphalati muhuḥ  /	pratiPalati muhur  /
   vrīḍamasaṃṃmukho 'pi ramaṇairapahṛtavasanāḥ khāñcanakandarāsu taruṇīriha	vrIxam asaMMmuKaH api ramaNEH apahRta vasanAH KAQcana kandarAsu taruNIH iha
   nayati raviḥ   // MSpv_4.67 //	nayati raviH   // MSpu _4.67 //
   anukṛtiśikharaughaśrībhirabhyagate 'sau tvayi	anukRti SiKara oGa SrIBiH aByagate asO tvayi
   sarabhasamabhyuttiṣṭhatīvādriruccaiḥ  /	saraBasam aByuttizWati iva adriH uccEs  /
   drutamarudupanunnairunnamadbhiḥ sahelaṃ	druta marut upanunnEH unnamadBiH sa helam
   haladharaparidhānaśyāmalairambuvāhaiḥ  // MSpv_4.68 //	halaDara pariDAna SyAmalEH ambuvAhEH  // MSpu _4.68 //
   itthaṃ vyalīkāḥ priyatamā iva so 'vyalīkaḥ śuśrāva sūtatanayasya tadā	itTam vyalIkAH priyatamAH iva saH avyalIkaH SuSrAva sUta tanayasya tadA
   vyalīkāḥ  /	vyalIkAH  /
   rantuṃ nirantaramiyeṣa tato 'vasāne tāsāṃ girau ca vanarājipaṭaṃ	rantum nirantaram iyeza tatas avasAne tAsAm girO ca vana rAji pawam
   vasāne  // MSpv_5.1 //	vasAne  // MSpu _5.1 //
   taṃ sa dvipendratulitātulatuṅgaśṛṅgam	tam sa dvipa indra tulita atula tuFga SRFgam
   abhyullasatkadalikāvanarājimuccaiḥ  /	aByullasat kadalikA vana rAjim uccEs  /
   vistāraruddhavasudho 'nvacalaṃ cacāla lakṣmīṃ	vistAra rudDa vasuDaH anvacalam cacAla lakzmIm
   dadhatpratigireralaghurbalaughaḥ  // MSpv_5.2 //	daDat pratigireH alaGuH bala oGaH  // MSpu _5.2 //
   bhāsvatkaravyatikarollasitāmbarāntas tāpatrapā iva mahājanadarśanena  /	BAsvat kara vyatikara ullasita ambara antaH tApa trapAH iva mahA jana darSanena  /
   saṃvivyurambaravikāsi camūsamutthaṃ pṛtvīrajaḥ	saMvivyuH ambara vikAsi camU samutTam pRtvI rajaH
   karabhakaṇṭhakaḍāramāśaḥ  // MSpv_5.3 //	karaBa kaNWa kaxAram ASaH  // MSpu _5.3 //
   āvartinaḥ śubhaphalapradaśuktiyuktāḥ saṃpannadevamaṇayo	AvartinaH SuBa Pala prada Sukti yuktAH saMpanna deva maNayaH 
   bhṛtarandhrabhāgāḥ  /	BRta ranDra BAgAH  /
   aśvāḥ pyadhurvasumatīmatirocamānās tūrṇaṃ payodhaya	aSvAH pyaDurvasu matIm atirocamAnAH tUrNam payoDaya
   ivormibhirāpatatantaḥ  // MSpv_5.4 //	iva UrmiBiH ApatatantaH  // MSpu _5.4 //
   ārakṣamagnamavamatya sṛṇiṃ śitāgram ekaḥ palāyata javena kṛtārtanādaḥ  /	Arakzamagnam avamatya sRNim Sita agram ekaH palAyata javena kRta Arta nAdaH  /
   anyapunarmuhurudaplavatāstabhāram anyonyataḥ pathi	anya punar muhur uda plavata asta BAram anyonyataH paTi
   batābibhātamibhoṣṭrau  // MSpv_5.5 //	bata abiBAtam iBa uzwrO  // MSpu _5.5 //
   āyāstamaikṣata janaśacaṭulāgrapādaṃ gacchantamuccalitacāmaracārumaśvam  /	AyAH tam Ekzata jana Sa cawula agra pAdam gacCantam uccalita cAmara cArum aSvam  /
   nāgaṃ punarmṛdu salīlanimīlitākṣaṃ sarvaḥprayaḥ khalu	nAgam punar mRdu sa lIla nimIlita akzam sarvaHprayaH Kalu
   bhavatayanurūpaceṣṭaḥ  // MSpv_5.6 //	Bavata yanurUpa cezwaH  // MSpu _5.6 //
   trastaḥ samastajanahāsakaraḥ kareṇos tāvatkharaḥ	trastaH samasta jana hAsa karaH kareNoH tAvat KaraH
   prakharamullalayāñcakāra  /	praKaram ullalayAQcakAra  /
   yāvaccalāsanavilolanitambabimbavisrastavastramavarodhavadhūḥ papāta  //	yAvat cala Asana vilola nitamba bimba visrasta vastram avaroDa vaDUH papAta  //
   MSpv_5.7 //	MSpu _5.7 //
   śailopaśalyanipatadrathanemidhārāniṣpiṣṭaniṣṭhuraśilātalacūrṇagarbhāḥ  /	SEla upaSalya nipatat raTa nemi DArA nizpizwa nizWura SilA tala cUrNa garBAH  /
   bhūreṇavonabhasi naddhapayodacakrāś cakravadaṅgaruhadhūmraruco	BUreNa vonaBasi nadDa payoda cakrAH cakra vat aFga ruha DUmra rucaH 
   visasruḥ  // MSpv_5.8 //	visasruH  // MSpu _5.8 //
   udytkṛśānuśakaleṣu surābhighātād bhūmīsamāyātaśilāphalakācitaiṣu  /	udytkRSa anu Sakalezu sura aBiGAtAt BUmI samAyAta SilA Pala ka Acita ezu  /
   parntavartmasu vcakramire mahāśvāḥ śailasya dardurapuṭāniva vādayantaḥ  //	parnta vartmasu vcakramire mahA aSvAH SElasya dardura puwAn iva vAdayantaH  //
   MSpv_5.9 //	MSpu _5.9 //
   tejonirodhasamatāvahitena yantrā samaykkaśātrayavicāravātā niyuktaḥ  /	tejaH niroDa samatA avahitena yantrA samaykka SA traya vicAra vAtA niyuktaH  /
   ārāṭṭajaścaṭulaniṣṭhurapātamuccaiś citraṃ cakāra padamardapulāyitena  //	ArAwwajaH cawula nizWura pAtam uccEs citram cakAra padamarda pulAyitena  //
   MSpv_5.10 //	MSpu _5.10 //
   nīhārajālamālinaḥ punaruktasāndrāḥ kurnvadhūjanavilocanapakṣmamālāḥ  /	nIhAra jAla mAlinaH punarukta sAndrAH kurnvaDU jana vilocana pakzma mAlAH  /
   kṣuṇṇaḥ kṣaṇaṃ yadubalairdivamātitāṃsuḥ pāṃśurdisāṃ	kzuNNaH kzaNam yadu balEH diva mAtitAMsuH pAMSuH disAm
   mukhamatutthayadutthito 'dreḥ  // MSpv_5.11 //	muKam atutTayat utTitaH adreH  // MSpu _5.11 //
