   athottarabhāgaprāramabhaḥ	aTa uttara BAga prAramaBaH
   mudaṃ jagmustadā devā daiteyāśca tapodhana // BndP_3,9.65 //	mudam jagmuH tadA devAH dEteyAH ca tapoDana // Bndu _3,9.65 //
   mathyamāne punastasminkṣīrābdau devadānavaiḥ /	maTyamAne punar tasmin kzIra abdO deva dAnavEH /
   kimetaditi siddhānāṃ divi cintayatāṃ tadā // BndP_3,9.66 //	kim etat iti sidDAnAm divi cintayatAm tadA // Bndu _3,9.66 //
   utthitā vāruṇī devī madāllolavilocanā /	utTitA vAruNI devI madAt lola vilocanA /
   asurāṇāṃ purastātsā smayamānā vyatiṣṭhata // BndP_3,9.67 //	asurANAm purastAt sA smayamAnAH vyatizWata // Bndu _3,9.67 //
   jagṛhurnaiva tāṃ daityā asurāścābhavaṃstataḥ /	jagRhuH na eva tAm dEtyAH asurAH ca aBavan= tatas /
   surā na vidyate yeṣāṃ tenaivāsuraśabditāḥ // BndP_3,9.68 //	surA na vidyate yezAm tena eva asura SabditAH // Bndu _3,9.68 //
   athasā sarvadevānāmagrataḥ samatiṣṭhata /	aTasA sarva devAnAm agratas samatizWata /
   jagṛhustāṃ mudā devāḥ sūcitāḥ parameṣṭhinā /	jagRhuH tAm mudA devAH sUcitAH paramezWinA /
   surāgrahaṇato 'pyete suraśabdena kīrtitāḥ // BndP_3,9.69 //	surA grahaNataH api ete sura Sabdena kIrtitAH // Bndu _3,9.69 //
   mathyamāne tato bhūyaḥ pārijāto mahādrumaḥ /	maTyamAne tatas BUyas pArijAtaH mahA drumaH /
   āvirāsītsuṃgadhena parito vāsayañjagat // BndP_3,9.70 //	AvirAsIt suMgaDena paritas vAsayan jagat // Bndu _3,9.70 //
   atyarthasuṃdarākārā dhīrāścāpsarasāṃ gaṇāḥ /	atyarTa suMdara AkArAH DIrAH ca apsarasAm gaNAH /
   āvirbhūtāśca devarṣe sarvalokamanoharāḥ // BndP_3,9.71 //	AvirBUtAH ca deva Rze sarva loka manoharAH // Bndu _3,9.71 //
   tataḥ śītāṃśurudabhūttaṃ jagrāha maheśvaraḥ /	tatas SItAMSuH udaBUt tam jagrAha maheSvaraH /
   viṣajātaṃ tadutpannaṃ jagṛhurnāgajātayaḥ // BndP_3,9.72 //	viza jAtam tat utpannam jagRhuH nAga jAtayaH // Bndu _3,9.72 //
   kaustubhākhyaṃ tato ratnamādade tajjanārdanaḥ /	kOstuBa AKyam tatas ratnam Adade tad janArdanaH /
   tataḥ svapatragandhena madayantī mahauṣadhīḥ /	tatas sva patra ganDena madayantI mahOzaDIH /
   vijayā nāma saṃjajñe bhairavastāmupādade // BndP_3,9.73 //	vijayA nAma saMjajQe BEravaH tAm upAdade // Bndu _3,9.73 //
   tato divyāṃbaradharo devo dhanvantariḥ svayam /	tatas divya aMbara DaraH devaH DanvantariH svayam /
   upasthitaḥ kare bibhradamṛtāḍhyaṃ kamaṇḍalum // BndP_3,9.74 //	upasTitaH kare biBrat amRta AXyam kamaNxalum // Bndu _3,9.74 //
   tataḥ prahṛṣṭamanaso devā daityāśca sarvataḥ /	tatas prahRzwa manasaH devAH dEtyAH ca sarvatas /
   munayaścābhavaṃstuṣṭāstadānīṃ tapasāṃ nidhe // BndP_3,9.75 //	munayaH ca aBavan= tuzwAH tadAnIm tapasAm niDe // Bndu _3,9.75 //
   tato vikasitāṃbhojavāsinī varadāyinī /	tatas vikasita aMBoja vAsinI vara dAyinI /
   utthitā padmahastā śrīstasmātkṣīramahārmavāt // BndP_3,9.76 //	utTitA padma hastA SrIH tasmAt kzIra mahArmavAt // Bndu _3,9.76 //
   atha tāṃ munayaḥ sarve śrīsuktena śriyaṃ parām /	aTa tAm munayaH sarve SrI suktena Sriyam parAm /
   tuṣṭuvustuṣṭa hṛdayā gandharvāśca jaguḥ param // BndP_3,9.77 //	tuzwuvuH tuzwa hRdayAH ganDarvAH ca jaguH param // Bndu _3,9.77 //
   viśvājīpramukhāḥ sarve nanṛtuścāpsarogaṇāḥ /	viSvAjI pramuKAH sarve nanRtuH ca apsaraH gaNAH /
   gaṅgādyāḥ puṇyanadyaśca snānārthamupatasthire // BndP_3,9.78 //	gaFgA AdyAH puNya nadyaH ca snAna arTam upatasTire // Bndu _3,9.78 //
   aṣṭau digdantinaścaiva medhyapātrasthitaṃ jalam /	azwO digdantinaH ca eva meDya pAtra sTitam jalam /
   ādāya snāpayāñcakrustāṃ śriyaṃ padmavāsinīm // BndP_3,9.79 //	AdAya snApayAQcakruH tAm Sriyam padma vAsinIm // Bndu _3,9.79 //
   tulasīṃ ca samutpannāṃ parārdhyā maikyajāṃ hareḥ /	tulasIm ca samutpannAm parArDyAH mEkya jAm hareH /
   padmamālāṃ dadau tasyai mūrtimānkṣīrasāgaraḥ // BndP_3,9.80 //	padma mAlAm dadO tasyE mUrtimAn kzIra sAgaraH // Bndu _3,9.80 //
   bhūṣaṇāni ca divyāni viśvakarmā samarpayat /	BUzaNAni ca divyAni viSvakarmA samarpayat /
   divyamālyāṃ baradharā divyabhūṣaṇabhūṣitā /	divya mAlyAm bara DarA divya BUzaNa BUzitA /
   yayau vakṣasthalaṃ viṣṇoḥ sarveṣāṃ paśyatāṃ ramā // BndP_3,9.81 //	yayO vakzasTalam vizNoH sarvezAm paSyatAm ramAH // Bndu _3,9.81 //
   tulasī tu dhṛtā tena viṣṇunā prabhaviṣṇunā /	tulasI tu DRtA tena vizNunA praBavizNunA /
   paśyati sma ca sā devī viṣṇuvakṣathalālayā /	paSyati sma ca sA devI vizNu vakzaTa lAlayA /
   devāndayārdrayā dṛṣṭyā sarvalokamaheśvarī // BndP_3,9.82 //	devAn daya ArdrayA dRzwyA sarva loka maheSvarI // Bndu _3,9.82 //
   iti śrībrahmāṇḍamahāpurāṇe uttarabhāge hayagrīvāgastyasaṃvāde	iti SrI brahmANxa mahApurANe uttara BAge hayagrIvA agastya saMvAde
   lalitopākhyāne amṛtamanthanaṃ nāma navamo 'dhyāyaḥ	lalita upAKyAne amRtamanTanam nAma navamaH aDyAyaH
   hayagrīva uvāca	hayagrIvaH uvAca
   atha devā mahendrādyā viṣṇunā prabhaviṣmunā /	aTa devAH mahA indra AdyAH vizNunA praBavizmunA /
   aṅgīkṛtā mahādhīrāḥ pramodaṃ paramaṃ yayuḥ // BndP_3,10.1 //	aFgIkRtAH mahA DIrAH pramodam paramam yayuH // Bndu _3,10.1 //
   malakādyāstu te sarve daityā viṣṇuparāṅmukhāḥ /	malaka AdyAH tu te sarve dEtyAH vizNu parAFmuKAH /
   saṃtyaktāśca śriyā devyā bhṛśamudvegamāgatāḥ // BndP_3,10.2 //	saMtyaktAH ca SriyA devyAH BRSam udvegam AgatAH // Bndu _3,10.2 //
   tato jagṛhire daityā dhanvantarikarasthitam /	tatas jagRhire dEtyAH Danvantari kara sTitam /
   paramāmṛtasārāḍhyaṃ kalaśaṃ kanakodbhavam /	parama amRta sAra AXyam kalaSam kanaka udBavam /
   athāsurāṇāṃ devānāmanyonyaṃ kalaho 'bhavat // BndP_3,10.3 //	aTa asurANAm devAnAm anyonyam kalahaH aBavat // Bndu _3,10.3 //
   etasminnantare viṣṇuḥ sarvalokaikarakṣakaḥ /	etasmin= antare vizNuH sarva loka eka rakzakaH /
   samyagārādhayāmāsalalitāṃ svaikyarūpiṇīm // BndP_3,10.4 //	samyak ArADayAmAsa lalitAm sva Ekya rUpiNIm // Bndu _3,10.4 //
   surāṇāmasurāṇāṃ ca raṇaṃ vīkṣya sudāruṇam /	surANAm asurANAm ca raNam vIkzya su dAruNam /
   brahmā nijapadaṃ prāpa śaṃbhuḥ kailāsamāsthitaḥ // BndP_3,10.5 //	brahmA nija padam prApa SaMBuH kElAsam AsTitaH // Bndu _3,10.5 //
   malakaṃ yodhayāmāsa daityānāmadhipaṃ vṛṣā /	malakam yoDayAmAsa dEtyAnAm aDipam vRzA /
   asuraiśca surāḥ sarve sāṃparāyamakurvata // BndP_3,10.6 //	asurEH ca surAH sarve sAMparAyam akurvataH // Bndu _3,10.6 //
   bhagavānapi yogīndraḥ samārādhya maheśvarīm /	BagavAn api yogi indraH samArADya maheSvarIm /
   tadekadhyānayogena tadrūpaḥ samajāyata // BndP_3,10.7 //	tad eka DyAna yogena tad rUpaH samajAyata // Bndu _3,10.7 //
   sarvasaṃmohinī sā tu sākṣācchṛṅgāranāyikā /	sarva saMmohinI sA tu sAkzAt SRFgAra nAyikAH /
   sarvaśṛṅgāraveṣāḍhyā sarvābharaṇabhūṣitā // BndP_3,10.8 //	sarva SRFgAra veza AXyA sarva ABaraNa BUzitAH // Bndu _3,10.8 //
   surāṇāmasurāṇāṃ ca nivārya raṇamulvaṇam /	surANAm asurANAm ca nivArya raNam ulvaNam /
   mandasmitena daiteyānmohayantī jagada ha // BndP_3,10.9 //	manda smitena dEteyAt mohayantI jagada ha // Bndu _3,10.9 //
   alaṃ yuddhena kiṃ śastrermarmasthānavibhedibhiḥ /	alam yudDena kim SastreH marma sTAna viBediBiH /
   niṣṭhuraiḥ kiṃ vṛthālāpaiḥ kaṇṭhaśoṣaṇahetubhiḥ // BndP_3,10.10 //	nizWurEH kim vRTA AlApEH kaNWa SozaNa hetuBiH // Bndu _3,10.10 //
   ahamevātra madhyasthā yuṣmākaṃ ca divaukasām /	aham eva atra maDya sTAH yuzmAkam ca divOkasAm /
   yūyaṃ tathāmī nitarāmatra hi kleśabhāginaḥ // BndP_3,10.11 //	yUyam taTA amI nitarAm atra hi kleSa BAginaH // Bndu _3,10.11 //
   sarveṣāṃ samamevādya dāsyāmyamṛtamadbhutam /	sarvezAm samam eva adya dAsyAmi amRtam adButam /
   mama haste pradātavyaṃ sudhāpātramanuttamam // BndP_3,10.12 //	mama haste pradAtavyam suDA pAtram anuttamam // Bndu _3,10.12 //
   iti tasyā vacaḥ śrutvā daityāstadvākyamohitāḥ /	iti tasyAH vacaH SrutvA dEtyAH tad vAkya mohitAH /
   pīyūṣakalaśaṃ tasyai daduste mugdhacetasaḥ // BndP_3,10.13 //	pIyUza kalaSam tasyE daduH te mugDa cetasaH // Bndu _3,10.13 //
   sā tatpātraṃ samādāya jaganmohanarūpiṇī /	sA tat pAtram samAdAya jagat mohana rUpiNI /
   surāṇāmasurāṇāṃ ca vṛthakpaṅktiṃ cakāra ha // BndP_3,10.14 //	surANAm asurANAm ca vRTak paFktim cakAra ha // Bndu _3,10.14 //
   dvayoḥ paṅktyośca madhyasthāstānuvāca surāsurān /	dvayoH paFktyoH ca maDyasTAH tAn uvAca sura asurAn /
   tūṣṇīṃ bhavantu sarve 'pi kramaśo dīyate mayā // BndP_3,10.15 //	tUzNIm Bavantu sarve api kramaSas dIyate mayA // Bndu _3,10.15 //
   tadvākyamurarīcakruste sarve samavāyinaḥ /	tad vAkya murarIcakruH te sarve samavAyinaH /
   sā tu saṃmohitāśleṣalokā dātuṃ pracakrame // BndP_3,10.16 //	sA tu saMmohita ASleza lokAH dAtum pracakrame // Bndu _3,10.16 //
   kvaṇatkanakadarvīkā kvaṇanmaṅgalakaṅkaṇā /	kvaNat kanaka darvIkA kvaNat maFgala kaFkaNAH /
   kamanīyavibhūṣāḍhyā kalā sā paramā babhau // BndP_3,10.17 //	kamanIya viBUzA AXyA kalA sA paramA baBO // Bndu _3,10.17 //
   vāme vāme karāṃbhoje sudhākalaśamujjvalam /	vAme vAme kara aMBoje suDA kalaSam ujjvalam /
   sudhāṃ tāṃ devatāpaṅktau pūrvaṃ darvyā tadādiśat // BndP_3,10.18 //	suDAm tAm devatA paFktO pUrvam darvyA tat AdiSat // Bndu _3,10.18 //
   diśantī kramaśāstatra candrabhāskarasūcitam /	diSantI kramaSAH tatra candra BAskara sUcitam /
   darvīkareṇa ciccheda saiṃhikeyaṃ tu madhyagam /	darvIkareNa cicCeda sEMhikA iyam tu maDya gam /
   pītāmṛtaśiromātraṃ tasya vyoma jagāma ca // BndP_3,10.19 //	pIta amRta SiraH mAtram tasya vyoma jagAma ca // Bndu _3,10.19 //
   taṃ dṛṣṭvāpyasurāstatra tūṣṇīmāsanvimohitāḥ /	tam dRzwvA api asurAH tatra tUzNIm Asan vimohitAH /
   evaṃ krameṇa tatsarvaṃ vibudhebhyo vitīrya sā /	evam krameNa tat sarvam vibuDeByaH vitIrya sA /
   asurāṇāṃ puraḥ pātraṃ sānināya tirodadhe // BndP_3,10.20 //	asurANAm puras pAtram sa AninAya tirodaDe // Bndu _3,10.20 //
   riktapātraṃ tu taṃ dṛṣṭvā sarve daiteyadānavāḥ /	rikta pAtram tu tam dRzwvA sarve dEteya dAnavAH /
   udvelaṃ kevalaṃ krodhaṃ prāptā yuddhacikīrṣayā // BndP_3,10.21 //	udvelam kevalam kroDam prAptAH yudDa cikIrzayA // Bndu _3,10.21 //
   indrādayaḥ surāḥ sarve sudhāpānādbalottarāḥ /	indra AdayaH surAH sarve suDA pAnAt bala uttarAH /
   durvalairasuraiḥ sārdhaṃ samayuddhyanta sāyudhāḥ // BndP_3,10.22 //	durvalEH asurEH sArDam samayudDi anta sa AyuDAH // Bndu _3,10.22 //
   te vidhyamānāḥ śataśo dānavendrāḥ surottamaiḥ /	te viDyamAnAH SataSas dAnava indrAH sura uttamEH /
   digantānkaticijjagmuḥ pātālaṃ katicidyayuḥ // BndP_3,10.23 //	diS antAn katicid jagmuH pAtAlam katicid yayuH // Bndu _3,10.23 //
   daityaṃ malakanāmānaṃ vijitya vibudheśvaraḥ /	dEtyam malaka nAmAnam vijitya vibuDa ISvaraH /
   ātmīyāṃ śriyamājahre śrīkaṭākṣa samīkṣitaḥ // BndP_3,10.24 //	AtmIyAm Sriyam Ajahre SrIkawAkza samIkzitaH // Bndu _3,10.24 //
   punaḥ siṃhāsanaṃ prāpya mahendraḥ surasevitaḥ /	punar siMhAsanam prApya mahA indraH sura sevitaH /
   trailokyaṃ pālayāmāsa pūrvavatpūrvadevajit // BndP_3,10.25 //	trElokyam pAlayAmAsa pUrvavat pUrva deva jit // Bndu _3,10.25 //
   nirbhayā nikhilā devāstrailokye sacarācare /	nirBayAH niKilAH devAH trElokye sacarAcare /
   yathākāmaṃ caranti sma sarvadā hṛṣṭacetasaḥ // BndP_3,10.26 //	yaTAkAmam caranti sma sarvadA hRzwa cetasaH // Bndu _3,10.26 //
   tadā tadakhilaṃ dṛṣṭvā mohinīcaritaṃ muniḥ /	tadA tat aKilam dRzwvA mohinI caritam muniH /
   vismitaḥ kāmacārī tu kailāsaṃ nārado gataḥ // BndP_3,10.27 //	vismitaH kAma cArI tu kElAsam nAradaH gataH // Bndu _3,10.27 //
   nandinā ca kṛtānujñaḥ praṇamya parameśvaram /	nandinA ca kRta anujQaH praNamya parameSvaram /
   tena saṃbhāvyamāno 'sau tuṣṭo viṣṭaramāsta saḥ // BndP_3,10.28 //	tena saMBAvyamAnaH asO tuzwaH vizwaram Asta saH // Bndu _3,10.28 //
   āsanasthaṃ mahādevo muniṃ svecchāvihāriṇam /	Asana sTam mahAdevaH munim sva icCA vihAriNam /
   papraccha pārvatījāniḥ svacchasphaṭikasannibhaḥ // BndP_3,10.29 //	papracCa pArvatI jAniH svacCa sPawika sanniBaH // Bndu _3,10.29 //
   bhagavansarvavṛttajña pavitrīkṛtaviṣṭara /	Bagavan sarva vRtta jQa pavitrIkRta vizwara /
   kalahapriya devarṣe kiṃ vṛttaṃ tatra nākinām // BndP_3,10.30 //	kalaha priya deva Rze kim vRttam tatra nAkinAm // Bndu _3,10.30 //
   surāṇāmasurāṇāṃ vā vijayaḥ samajāyata /	surANAm asurANAm vA vijayaH samajAyata /
   kiṃ vāpyamṛtavṛttāntaṃ viṣṇunā vāpi kiṃ kṛtam // BndP_3,10.31 //	kim vA api amRta vRttAntam vizNunA vA api kim kRtam // Bndu _3,10.31 //
   iti pṛṣṭo maheśena nārado munisattamaḥ /	iti pRzwaH maheSena nAradaH muni sattamaH /
   uvāca vismayāviṣṭaḥ prasannavadanekṣaṇaḥ // BndP_3,10.32 //	uvAca vismaya AvizwaH prasanna vadana IkzaNaH // Bndu _3,10.32 //
   sarvaṃ jānāsi bhagavansarvajño 'si yatastataḥ /	sarvam jAnAsi Bagavan sarvajQaH asi yatas tatas /
   tathāpi paripṛṣṭena mayā tadvakṣyate 'dhunā // BndP_3,10.33 //	taTA api paripRzwena mayA tat vakzyate aDunA // Bndu _3,10.33 //
   tādṛśe samare ghore sati daityadivaukasām /	tAdRSe samare Gore sati dEtya divOkasAm /
   ādinārāyamaḥ śrīmānmohinīrūpamādadhe // BndP_3,10.34 //	Adi nAra ayamaH SrImAn mohinI rUpam AdaDe // Bndu _3,10.34 //
   tāmudāravibhūṣāḍhyāṃ mūrtāṃ śṛṅgāradevatām /	tAm udAra viBUzA AXyAm mUrtAm SRFgAra devatAm /
   surāsurāḥ samālokya viratāḥ samarodhyamāt // BndP_3,10.35 //	sura asurAH samAlokya viratAH sama roDyamAt // Bndu _3,10.35 //
   tanmāyāmohitā daityāḥ sudhāpātraṃ ca yācitāḥ /	tad mAyA mohitAH dEtyAH suDA pAtram ca yAcitAH /
   kṛtvā tāmeva madhyasthāmarpayāmāsurañjasā // BndP_3,10.36 //	kRtvA tAm eva maDyasTAm arpayAmAsuH aQjasA // Bndu _3,10.36 //
   tadā devī tadādāya mandasmitamanoharā /	tadA devI tat AdAya manda smita manoharAH /
   devebhya eva pīyūṣamaśeṣaṃ vitatāra sā // BndP_3,10.37 //	deveByaH eva pIyUzam aSezam vitatAra sA // Bndu _3,10.37 //
   tirohitāmadṛṣṭvā tāṃ dṛṣṭvā śūnyaṃ ca pātrakam /	tirohitAm adRzwvA tAm dRzwvA SUnyam ca pAtrakam /
   jvalanmanyumukhā daityā yuddhāya punarutthitāḥ // BndP_3,10.38 //	jvalat manyu muKAH dEtyAH yudDAya punar utTitAH // Bndu _3,10.38 //
   amarairamṛtāsvādādatyulvaṇaparākramaiḥ /	amarEH amRta AsvAdAt ati ulvaNa parAkramEH /
   parājitā mahādaityā naṣṭāḥ pātālamabhyayuḥ // BndP_3,10.39 //	parAjitAH mahA dEtyAH nazwAH pAtAlam aByayus // Bndu _3,10.39 //
   imaṃ vṛttāntamākarṇya bhavānīpatikhyayaḥ /	imam vRttAntam AkarNya BavAnIpati KyayaH /
   nāradaṃ preṣayitvāśu taduktaṃ satataṃ smaran // BndP_3,10.40 //	nAradam prezayitvA ASu tat uktam satatam smaran // Bndu _3,10.40 //
   ajñātaḥ pramathaiḥ sarvaiḥ skandanandivināyakaiḥ /	ajQAtaH pramaTEH sarvEH skanda nandi vinAyakEH /
   pārvatīsahito viṣṇumājagāma savismayaḥ // BndP_3,10.41 //	pArvatI sahitaH vizNum AjagAma sa vismayaH // Bndu _3,10.41 //
   kṣīrodatīragaṃ dṛṣṭvā sastrīkaṃ vṛṣavāhanam /	kzIroda tIragam dRzwvA sa strIkam vRzavAhanam /
   bhogibhogāsanādviṣṇuḥ samutthāya samāgataḥ // BndP_3,10.42 //	Bogi Boga AsanAt vizNuH samutTAya samAgataH // Bndu _3,10.42 //
   vāhanādavaruhyeśaḥ pārvatyā sahitaḥ sthitam /	vAhanAt avaruhya ISaH pArvatyA sahitaH sTitam /
   taṃ dṛṣṭvā śīghramāgatya saṃpūjyārghyādito mudā // BndP_3,10.43 //	tam dRzwvA SIGram Agatya saMpUjya arGya AditaH mudA // Bndu _3,10.43 //
   sasnehaṃ gāḍhamāliṅgya bhavānīpatimacyutaḥ /	sa sneham gAXam AliFgya BavAnI patim acyutaH /
   tadāgamanakāryaṃ ca pṛṣṭavānviṣṭaraśravāḥ // BndP_3,10.44 //	tad Agamana kAryam ca pRzwavAn vizwaraSravAH // Bndu _3,10.44 //
   tamuvāca mahādevo bhagavanpuruṣottama /	tam uvAca mahAdevaH Bagavan puruzottamaH /
   mahāyogeśvara śrīmansarvasaubhāgyasundaram // BndP_3,10.45 //	mahA yoga ISvara SrIman sarva sOBAgya sundaram // Bndu _3,10.45 //
   sarvasaṃmohajanakamavāṅmanasagocaram /	sarva saMmoha janakam avAFmanasa gocaram /
   yadrūpaṃ bhavatopāttaṃ tanmahyaṃ saṃpradarśaya // BndP_3,10.46 //	yat rUpam BavatA upAttam tat mahyam saMpradarSaya // Bndu _3,10.46 //
   draṣṭumicchāmi te rūpaṃ śṛṅgārasyādhidaivatam /	drazwum icCAmi te rUpam SRFgArasya aDidEvatam /
   avaśyaṃ darśanīyaṃ me tvaṃ hi prārthitakāmadhṛk // BndP_3,10.47 //	avaSyam darSanIyam me tvam hi prArTita kAma DRc // Bndu _3,10.47 //
   iti saṃprārthitaḥ śaśvanmahādevena tena saḥ /	iti saMprArTitaH SaSvat mahAdevena tena saH /
   yaddhyānavaibhavāllabdhaṃ rūpamadvaitamadbhutam // BndP_3,10.48 //	yat DyAna vEBavAn labDam rUpam advEtam adButam // Bndu _3,10.48 //
   tadevānanyamanasā dhyātvā kiñcidvihasya saḥ /	tat eva ananya manasA DyAtvA kiQcid vihasya saH /
   tathāstviti tiro 'dhatta mahāyogeśvaro hariḥ // BndP_3,10.49 //	taTA astu iti tiras aDatta mahA yoga ISvaraH hariH // Bndu _3,10.49 //
   śarvo 'pi sarvataścakṣurmuhurvyāpārayankvacit /	SarvaH api sarvatas cakzuH muhur vyApArayan kvacid /
   adṛṣṭapūrvamārāmamabhirāmaṃ vyalokayat // BndP_3,10.50 //	adRzwa pUrvam ArAmam aBirAmam vyalokayat // Bndu _3,10.50 //
   vikasatkusumaśreṇīvinodimadhupālikam /	vikasat kusuma SreNI vinodi maDupAlikam /
   caṃpakastabakāmodasurabhīkṛtadiktaṭam // BndP_3,10.51 //	caMpaka stabaka Amoda suraBIkRta diS tawam // Bndu _3,10.51 //
   mākandavṛndamādhvīkamādyadullolakokilam /	mAkanda vRnda mADvIkam Adya t ullola kokilam /
   aśokamaṇḍalīkāṇḍasatāṇḍavaśikhaṇḍikam // BndP_3,10.52 //	aSoka maNxalI kANxa sa tANxava SiKaNxikam // Bndu _3,10.52 //
   bhṛṅgālinavajhaṅkārajitavallakinisvanam /	BRFga ali nava JaFkA ra jita vallaki nisvanam /
   pāṭalodārasaurabhyapāṭalīkusumojjvalam // BndP_3,10.53 //	pAwalA udAra sOraBya pAwalI kusuma ujjvalam // Bndu _3,10.53 //
   tamālatālahintālakṛtamālāvilāsitam /	tamAla tAla hintAla kRta mAlA vilAsitam /
   paryantadīrghikādīrghapaṅkajaśrīpariṣkṛtam // BndP_3,10.54 //	paryanta dIrGikA dIrGa paFkaja SrI parizkRtam // Bndu _3,10.54 //
   vātapātacalaccārupallavotphullapuṣpakam /	vAta pAta calat cAru pallava utPulla puzpakam /
   santānaprasavāmodasantānādhikavāsitam // BndP_3,10.55 //	santAna prasava Amoda santAna aDika vAsitam // Bndu _3,10.55 //
   tatra sarvatra puṣpāḍhye sarvalokamanohare /	tatra sarvatra puzpa AXye sarva loka manohare /
   pārijātatarormūle kāntā kācidadṛśyata // BndP_3,10.56 //	pArijAta taroH mUle kAntA kAcid adRSyata // Bndu _3,10.56 //
   bālārkapāṭalākārā navayauvanadarpitā /	bAla arka pAwala AkArA nava yOvana darpitAH /
   ākṛṣṭapadmarāgābhā caraṇābjanakhacchadā // BndP_3,10.57 //	AkRzwa padmarAga ABA caraNa abja na Ka= CadAH // Bndu _3,10.57 //
   yāvakaśrīvinikṣepapādalauhityavāhinī /	yAvaka SrI vinikzepa pAda lOhitya vAhinI /
   kalaniḥsvanamañjīrapadapadmamanoharā // BndP_3,10.58 //	kala niHsvana maQjIra pada padma manoharAH // Bndu _3,10.58 //
   anaṅgavīratūṇīradarponmadanajaṅghikā /	anaFga vIra tUNIH adarpa unmadana jaFGikA /
   kariśuṇḍākadalikākāntitulyoruśobhinī // BndP_3,10.59 //	kari SuNxA kadalikA kAnti tulya uru SoBinI // Bndu _3,10.59 //
   aruṇena dukūlena susparśena tanīyasā /	aruNena dukUlena su sparSena tanIyasA /
   alaṅkṛtanitaṃbāḍhyā jaghanābhogabhāsurā // BndP_3,10.60 //	alaFkRta nitaMbAXyA jaGana ABoga BAsurAH // Bndu _3,10.60 //
   navamāṇikyasannaddhahemakāñjīvirājitā /	nava mANikya sat nadDa hema kAQjI vi rAjitA /
   natanābhimahāvarttatrivalyūrmiprabhājharā // BndP_3,10.61 //	nata nABi mahA vartta trivalI Urmi praBA JarAH // Bndu _3,10.61 //
   stanakuḍmalahindolamuktādāmaśatāvṛtā /	stana kuxmala hindola muktA dAma Sata AvRtA /
   atipīvaravakṣojabhārabhaṅguramadhyabhūḥ // BndP_3,10.62 //	ati pIvara vakzoja BAra BaFgura maDya BUH // Bndu _3,10.62 //
   śirīṣakomalabhujā kaṅkaṇāṅgadaśālinī /	SirIza komala BujA kaFkaNa aFgada SAlinI /
   sormikāṃ gulimanmṛṣṭaśaṅkhasundarakandharā // BndP_3,10.63 //	sa UrmikAm gulimat mRzwa SaFKa sundara kanDarAH // Bndu _3,10.63 //
   mukhadarpaṇavṛttābhacubukāpāṭalāgharā /	muKa darpaNa vRtta ABa cubuka apAwalAGarAH /
   śucibhiḥ paṅktibhiḥ śuddhairvidyārūpairvibhāsvaraiḥ // BndP_3,10.64 //	SuciBiH paFktiBiH SudDEH vidyA rUpEH viBAsvarEH // Bndu _3,10.64 //
   kundakuḍmalasacchāyairdantairdarśitacandrikā /	kunda kuxmalasa= CAyEH dantEH darSita candrikA /
   sthūlamauktikasannaddhanāsābharaṇabhāsurā // BndP_3,10.65 //	sTUla mOktika sannadDanAsA ABaraNa BAsurAH // Bndu _3,10.65 //
   ketakāntarddaladroṇidīrghadīrghavilocanā /	ketaka antarddala droNi dIrGa dIrGa vilocanA /
   ardhendutulitāphāle samyakkḷptālakacchaṭā // BndP_3,10.66 //	arDa indu tulitA PAle samyak k?ptAla kacCawAH // Bndu _3,10.66 //
   pālīvataṃsamāṇikyakuṇḍalāmaṇḍitaśrutiḥ /	pAlI vataMsa mANikya kuNxalA maNxita SrutiH /
   navakarpūrakastūrīrasāmoditavīṭikā // BndP_3,10.67 //	nava karpUra kastUrI rasa Amodita vIwikA // Bndu _3,10.67 //
   śaraccaruniśānāthamaṇḍalīmadhurānanā /	Sarad caru niSA nATa maNxalI maDura AnanAH /
   sphuratkastūritilakā nīlakuntalasaṃhatiḥ // BndP_3,10.68 //	sPurat kastUri tilakA nIla kuntala saMhatiH // Bndu _3,10.68 //
