   akaveḥ śāstravedanam Bh_1.3d	akaveH SAstra-vedanam Bh_1.3d
   sa cārthaḥ padavākyayoḥ Bh_4.3b	sa ca-arTaH pada-vAkyayoH Bh_4.3b
   sacivaiḥ svārthasiddhaye Bh_4.41b	sacivEH sva-arTa-sidDaye Bh_4.41b
   sacetaso vanebhasya Bh_4.46a	sacetasaH vana-iBasya Bh_4.46a
   satāṃ viśvajanīnānām Bh_3.42c	satAm viSvajanInAnAm Bh_3.42c
   sattvādayaḥ pramāṇābhyāṃ Bh_5.5a	sattva-AdayaH pramANAByAm Bh_5.5a
   sadarthamapi nāparam Bh_1.31d	sadarTam-api na-aparam Bh_1.31d
   sadarthālambanaṃ ca tat Bh_5.7b	sat-arTa-Alambanam ca tat Bh_5.7b
   sadṛśastatra yaśca san Bh_5.24b	sadRSaH-tatra yaH-ca san Bh_5.24b
   sadṛśastvamudanvatā Bh_3.20d	sadRSaH-tvam-udanvatA Bh_3.20d
   sadṛśaḥ setugandhavāṭ Bh_6.45b	sadRSaH setu-ganDavAw Bh_6.45b
   sadaiva vāri sindhūnām Bh_5.34c	sadA-eva vAri sinDUnAm Bh_5.34c
   sadopabhuktaṃ sarvābhir Bh_6.2c	sadA-upaBuktam sarvABiH Bh_6.2c
   santāpayati vidviṣaḥ Bh_3.26d	santApayati vidvizaH Bh_3.26d
   santyanyoktānuvādinaḥ Bh_6.6d	santi-anya-ukta-anuvAdinaH Bh_6.6d
   sandaṣṭakasamudgāder Bh_2.10a	sandazwaka-samudga-AdeH Bh_2.10a
   san dvayoriti yaḥ siddhaḥ Bh_5.22a	san dvayoH-iti yaH sidDaH Bh_5.22a
   san dvayoḥ sadṛśe siddho Bh_5.21a	san dvayoH sadRSe sidDaH Bh_5.21a
   sandhādisādhanāsiddhyai Bh_5.32c	sanDA-Adi-sADana-asidDyE Bh_5.32c
   sandhābhyupagamādvinā Bh_5.45b	sanDA-aByupagamAt-vinA Bh_5.45b
   sannibandhavidhāyinām Bh_1.6b	sannibanDa-viDAyinAm Bh_1.6b
   sanniveśaviśeṣāttu Bh_1.54a	sanniveSa-viSezAt-tu Bh_1.54a
   sa pītavāsāḥ pragṛhītaśārṅgo Bh_2.58a	sa pIta-vAsAH pragRhIta-SArFgaH Bh_2.58a
   saptatyā nyāyanirṇayaḥ Bh_6.65d	saptatyA nyAya-nirNayaH Bh_6.65d
   sapta medhāvinoditāḥ Bh_2.40b	sapta meDAvinoditAH Bh_2.40b
   sa priyāsaṃgamotkaṇṭhāṃ Bh_2.27c	sa priyA-saMgama-utkaNWAm Bh_2.27c
   saphalasapallavabhūricāruvṛkṣe Bh_5.65b	sa-Pala-sa-pallava-BUri-cAru-vRkze Bh_5.65b
   samagragaganāyāma- Bh_3.36a	samagra-gagana-AyAma Bh_3.36a
   samastapādayamakam Bh_2.9c	samasta-pAda-yamakam Bh_2.9c
   samastavastuviṣayam Bh_2.22a	samasta-vastu-vizayam Bh_2.22a
   samasyanti bahūnyapi Bh_2.2b	samasyanti bahUni-api Bh_2.2b
   samādhau sulabhe sati Bh_2.77d	samADO sulaBe sati Bh_2.77d
   samānavastunyāsena Bh_2.34a	samAna-vastu-nyAsena Bh_2.34a
   sa mārutākampitapītavāsā Bh_2.41a	sa mAruta-akampita-pIta-vAsAH Bh_2.41a
   samāropaḥ kilaitāvān Bh_5.7a	samAropaH kila-etAvAn Bh_5.7a
   samāsavanti bhūyāṃsi Bh_2.1c	samAsavanti BUyAMsi Bh_2.1c
   samāsātiśayoktī ca Bh_2.66c	samAsa-atiSaya-uktI ca Bh_2.66c
   samāsābhihitā parā Bh_2.32b	samAsa-aBihitA parA Bh_2.32b
   samāsena yathānyāyaṃ Bh_5.1c	samAsena yaTAnyAyam Bh_5.1c
   samāsenoditamidaṃ Bh_2.95a	samAsena-uditam-idam Bh_2.95a
   samāhitaṃ rājamitre Bh_3.10a	samAhitam rAja-mitre Bh_3.10a
   samudāyābhidhānasya Bh_2.86c	samudAya-aBiDAnasya Bh_2.86c
   samudāyārthaśūnyaṃ yat Bh_4.8a	samudAya-arTa-SUnyam yat Bh_4.8a
   samudāyo 'tiricyate Bh_6.10b	samudAyaH atiricyate Bh_6.10b
   samudāyo 'bhidheyavān Bh_6.8b	samudAyaH aBiDeyavAn Bh_6.8b
   samudāyo 'rthavān katham Bh_6.9b	samudAyaH arTavAn kaTam Bh_6.9b
   sambandhena karotyayam Bh_5.49b	sambanDena karoti-ayam Bh_5.49b
   sambandho 'rthena vā satā Bh_6.15b	sambanDaH arTena vA satA Bh_6.15b
   sa yaśodhanamāadita Bh_3.42b	sa yaSaH-Danam-Aadita Bh_3.42b
   sarasā kusumāvalī Bh_6.5d	sarasA kusuma-AvalI Bh_6.5d
   saraḥ śaratprasannāmbho Bh_2.51c	saraH Sarad-prasanna-amBaH Bh_2.51c
   saritaḥ śuṣyadambhasaḥ Bh_2.29b	saritaH Suzyat-amBasaH Bh_2.29b
   sarūpavarṇavinyāsam Bh_2.5a	sarUpa-varNa-vinyAsam Bh_2.5a
   sarūpaśeṣaṃ tu pumān Bh_6.32a	sarUpa-Sezam tu pumAn Bh_6.32a
   sargabandho 'bhineyārthaṃ Bh_1.18a	sarga-banDaH aBineya-arTam Bh_1.18a
   sargabandho mahākāvyaṃ Bh_1.19a	sargabanDaH mahAkAvyam Bh_1.19a
   sarva eva tṛnādayaḥ Bh_6.48b	sarve eva tRna-AdayaH Bh_6.48b
   sarvakṣatravadhāśrayām Bh_5.44b	sarva-kzatra-vaDa-ASrayAm Bh_5.44b
   sarvatrālaṃkṛtiḥ parā Bh_6.46b	sarvatra-alaMkRtiH parA Bh_6.46b
   sarvathā padamapyekaṃ Bh_1.11a	sarvaTA padam-api-ekam Bh_1.11a
   sarvamevaitadiṣyate Bh_1.30d	sarvam-eva-etat-izyate Bh_1.30d
   sarvaśabdāt prayuñjate Bh_6.53b	sarva-SabdAt prayuQjate Bh_6.53b
   sarvaśāstraviruddhatvāt Bh_5.18a	sarva-SAstra-virudDa-tvAt Bh_5.18a
   sarvaṃ sarveṇa sārūpyaṃ Bh_2.43a	sarvam sarveNa sArUpyam Bh_2.43a
   sarvāgamavirodhinī Bh_5.13b	sarva-Agama-viroDinI Bh_5.13b
   sarvāgamavirodhinī Bh_5.18b	sarva-Agama-viroDinI Bh_5.18b
   sarvebhyaśca bhṛśādibhyo Bh_6.39a	sarveByaH-ca BRSa-AdiByaH Bh_6.39a
   sarvaivātiśayoktistu Bh_2.84c	sarvA-eva-atiSayoktiH-tu Bh_2.84c
   sa lolamālānīlāli- Bh_2.6c	sa lola-mAlA-nIlAli Bh_2.6c
   sa śauryābharaṇo yathā Bh_1.52d	sa SOrya-ABaraNaH yaTA Bh_1.52d
   saṣaḍjaṃ dhaivataṃ smṛtam Bh_4.33b	sa-zaxjam DEvatam smRtam Bh_4.33b
   sasandehaṃ vacaḥ stutyai Bh_3.43c	sa-sandeham vacaH stutyE Bh_3.43c
   sasandehaṃ viduryathā Bh_3.43d	sa-sandeham viduH-yaTAH Bh_3.43d
   sasaṃdehamananvayam Bh_3.3d	sa-saMdeham-ananvayam Bh_3.3d
   sasaṃśayamapakramam Bh_4.1b	sa-saMSayam-apakramam Bh_4.1b
   sasaṃśayamiti prāhus Bh_4.18a	sa-saMSayam-iti prAhuH Bh_4.18a
   sa sāmyamāpādayati Bh_2.35c	sa sAmyam-ApAdayati Bh_2.35c
   sa hanti dhyāti vā yathā Bh_6.26d	sa hanti DyAti vA yaTA Bh_6.26d
   sahitaṃ sahitaṃ kartuṃ Bh_2.11c	sahitam sahitam kartum Bh_2.11c
   saheṭā sārvadhātukam Bh_6.58d	sa-hewA sArvaDAtukam Bh_6.58d
   sahoktiparivṛttī ca Bh_3.3c	saha-ukti-parivRttI ca Bh_3.3c
   sahoktiḥ sā matā yathā Bh_3.39d	sahoktiH sA matAH yaTA Bh_3.39d
   saṃkrame 'pi mṛjeryathā Bh_6.31b	saMkrame api mRjeH-yaTA Bh_6.31b
   saṃkṣiptārthatayā yathā Bh_2.79d	saMkzipta-arTa-tayA yaTA Bh_2.79d
   saṃkhyānamiti medhāvin- Bh_2.88c	saMKyAnam-iti meDAvin Bh_2.88c
   saṃgataṃ saṃgataṃ janam Bh_2.11d	saMgatam saMgatam janam Bh_2.11d
   saṃgatiḥ saṃhatiryathā Bh_6.49b	saMgatiH saMhatiH-yaTA Bh_6.49b
   saṃgamāt pāṇḍuśabdasya Bh_1.56c	saMgamAt pANxu-Sabdasya Bh_1.56c
   saṃghātādi na yujyate Bh_4.5b	saMGAta-Adi na yujyate Bh_4.5b
   saṃjñecchāto vidhīyate Bh_1.33d	saMjQA-icCAtaH viDIyate Bh_1.33d
   saṃśrayāt sā caturvidhā Bh_5.36b	saMSrayAt sA caturviDAH Bh_5.36b
   saṃsṛjyamānaḥ śaśineva meghaḥ Bh_2.58d	saMsRjyamAnaH SaSinA-iva meGaH Bh_2.58d
   saṃsṛṣṭimapi cāpare Bh_3.4b	saMsRzwim-api ca-apare Bh_3.4b
   saṃsṛṣṭiranayā diśā Bh_3.52b	saMsRzwiH-anayA diSA Bh_3.52b
   saṃskṛtaṃ prākṛtaṃ cānyad Bh_1.16c	saMskRtam prAkRtam ca-anyat Bh_1.16c
   saṃskṛtānākulaśravya- Bh_1.25a	saMskRta-anAkula-Sravya Bh_1.25a
   saṃskṛtāsaṃskṛtā ceṣṭā Bh_1.28c	saMskRta-asaMskRtA cezwA Bh_1.28c
   sākṣādarūḍhaṃ vācye 'rthe Bh_1.41c	sAkzAt-arUXam vAcye arTe Bh_1.41c
   sā cāsādhvī prakalpanā Bh_1.39b	sA ca-asADvI prakalpanA Bh_1.39b
   sā caivamuditā yathā Bh_3.49d	sA ca-evam-uditAH yaTA Bh_3.49d
   sā caivaṃ kathyate yathā Bh_3.29d	sA ca-evam kaTyate yaTA Bh_3.29d
   sā jñātetyarthasaṃśrayā Bh_5.37d	sA jQAtA-iti-arTa-saMSrayAH Bh_5.37d
   sā jñeyā kopabādhinī Bh_5.44d	sA jQeyA kopa-bADinI Bh_5.44d
   sādhayatacakoratām Bh_5.54d	sADayata-cakora-tAm Bh_5.54d
   sādhīyaśca prayojayet Bh_1.58d	sADIyaH-ca prayojayet Bh_1.58d
   sādhukāvyanibandhanam Bh_1.2d	sADu-kAvya-nibanDanam Bh_1.2d
   sādhunā sādhunā tena Bh_2.11a	sADunA sADunA tena Bh_2.11a
   sādhu vāsādhu vāgāmi Bh_2.72c	sADu vA-asADu vA-AgAmi Bh_2.72c
   sādhusādhāraṇatvādir Bh_2.35a	sADu-sADAraNa-tva-AdiH Bh_2.35a
   sādhusādhāraṇaśriyaḥ Bh_2.36b	sADu-sADAraNa-SriyaH Bh_2.36b
   sādhuḥ saṃsārādbibhyadasmādasārāt Bh_2.12a	sADuH saMsArAt-biByat-asmAt-asArAt Bh_2.12a
   sādhyadharmānugamataḥ Bh_5.24a	sADya-Darma-anugamataH Bh_5.24a
   sādhyasādhanadharmābhyāṃ Bh_5.26a	sADya-sADana-DarmAByAm Bh_5.26a
   sādhyasādhanayoruktir Bh_5.56a	sADya-sADana-yoH-uktiH Bh_5.56a
   sādhyena liṅgānugatis Bh_5.27a	sADyena liFga-anugatiH Bh_5.27a
   sādhvyaḥ svageheṣviva bhartṛhīnāḥ Bh_2.46c	sADvyaH sva-gehezu-iva BartR-hInAH Bh_2.46c
   sānaṅgaṃ mānabhaṅguram Bh_2.27b	sa-anaFgam mAna-BaFguram Bh_2.27b
   sāpekṣāṇāṃ parasparam Bh_4.4b	sa-apekzANAm parasparam Bh_4.4b
   sāmānyaguṇanirdeśāt Bh_2.38a	sAmAnya-guNa-nirdeSAt Bh_2.38a
   sāmānyādupacaryate Bh_5.24d	sAmAnyAt-upacaryate Bh_5.24d
   sārvaḥ sarvīya ityapi Bh_6.53d	sArvaH sarvIyaH iti-api Bh_6.53d
   sālaṅkāyananetṛkam Bh_4.40b	sa-alaFkAyana-netRkam Bh_4.40b
   sālaṃkāraṃ sadāśrayam Bh_1.19d	sa-alaMkAram sat-ASrayam Bh_1.19d
   sālāturīyamatametadanukrameṇa Bh_6.62a	sAlAturIya-matam-etat-anukrameNa Bh_6.62a
   sāvarṇyavajjhayo hasya Bh_6.61c	sAvarNya-vajJayaH hasya Bh_6.61c
   sā samāsoktiruddiṣṭā Bh_2.79c	sA samAsa-uktiH-uddizwA Bh_2.79c
   sāsahyāṃ manasaḥ śucam Bh_2.27d	sa-asahyAm manasaH Sucam Bh_2.27d
   sā syāddharmanibandhanī Bh_5.36f	sA syAt-Darma-nibanDanI Bh_5.36f
   sitāsitākṣīṃ supayodharādharāṃ Bh_2.14a	sita-asita-akzIm su-payoDara-aDarAm Bh_2.14a
   sitāsite pakṣmavatī Bh_2.76a	sita-asite pakzmavatI Bh_2.76a
   siddhā sā buddhigocarā Bh_5.8b	sidDA sA budDi-gocarA Bh_5.8b
   siddho dṛṣṭānta ucyate Bh_5.26b	sidDaH dRzwAntaH ucyate Bh_5.26b
   siddho yaścopasaṃkhyānād Bh_6.29a	sidDaH yaH-ca-upasaMKyAnAt Bh_6.29a
   sukṛtī vaibudhaṃ padam Bh_1.7d	sukRtI vEbuDam padam Bh_1.7d
   sukhasevyo janānāṃ tvaṃ Bh_3.50c	suKa-sevyaH janAnAm tvam Bh_3.50c
   sugandhikusumānamrā Bh_4.29c	suganDi-kusuma-AnamrA Bh_4.29c
   sugandhi nayanānandi Bh_3.38a	suganDi nayana-Anandi Bh_3.38a
   sujanāvamayāya bhāmahena Bh_6.64c	su-jana-avamayAya BAmahena Bh_6.64c
   sutarāṃ vyajyate yathā Bh_2.73d	sutarAm vyajyate yaTA Bh_2.73d
   sudhiyāmapi naivedam Bh_1.45c	suDiyAm-api na-eva-idam Bh_1.45c
   supāṃ tiṅāṃ ca vyutpattiṃ Bh_1.14c	supAm tiFAm ca vyutpattim Bh_1.14c
   suptiṅantaṃ padaṃ punaḥ Bh_4.3d	suptiFantam padam punar Bh_4.3d
   sumedhobhiḥ prayujyate Bh_1.44d	sumeDoBiH prayujyate Bh_1.44d
   suramunisiddhayute sumerupṛṣṭhe Bh_5.65d	sura-muni-sidDa-yute sumeru-pRzWe Bh_5.65d
   surājāno ghanā iva Bh_3.19d	su-rAjAnaH GanAH iva Bh_3.19d
   surucāṃ vidyutāmiva Bh_6.40d	su-rucAm vidyutAm-iva Bh_6.40d
   suśliṣṭapadasandhi ca Bh_2.18b	su-Slizwa-pada-sanDi ca Bh_2.18b
   susaṃmadāṃ vyaktamadāṃ lalāmadām Bh_2.14b	su-saMmadAm vyakta-madAm lalAma-dAm Bh_2.14b
   sūtrakṛtpādakāreṣṭa- Bh_4.22a	sUtrakRt-pAda-kAra-izwa Bh_4.22a
   sūtrajñāpakamātreṇa Bh_6.37a	sUtra-jQApaka-mAtreNa Bh_6.37a
   sūtrāmbhasaṃ padāvartaṃ Bh_6.1a	sUtra-amBasam pada-Avartam Bh_6.1a
   sūnuryasyāhamaurasaḥ Bh_5.14d	sUnuH-yasya-aham-OrasaH Bh_5.14d
   sūryāṃśasaṃmīlitalocaneṣu Bh_2.46a	sUrya-aMSa-saMmIlita-locanezu Bh_2.46a
   sendrāyudho megha ivābabhāse Bh_2.41d	sa-indrAyuDaH meGaH iva-AbaBAse Bh_2.41d
   saiṣa sarvaiva vakroktir Bh_2.85a	sa-eza sarvA-eva vakroktiH Bh_2.85a
   socchvāsākhyāyikā matā Bh_1.25d	sa-ucCvAsa-AKyAyikA matAH Bh_1.25d
   sodāharaṇalakṣmāṇo Bh_2.40c	sa-udAharaNa-lakzmANaH Bh_2.40c
   saukaryaṃ darśayatyasau Bh_5.47b	sOkaryam darSayati-asO Bh_5.47b
   saudheṣu ghanamuktānāṃ Bh_4.16c	sODezu Gana-muktAnAm Bh_4.16c
   sauhṛdayyāvirodhoktau Bh_3.55c	sOhRdayya-aviroDa-uktO Bh_3.55c
   skandhavānṛjuravyālaḥ Bh_2.80a	skanDavAn-RjuH-avyAlaH Bh_2.80a
   stabdhasya vivaraiṣiṇaḥ Bh_1.51b	stabDasya vivara-eziNaH Bh_1.51b
   striyā yatra ca śiṣyate Bh_6.32b	striyAH yatra ca Sizyate Bh_6.32b
   striyo 'laṃkurute madhuḥ Bh_2.28b	striyaH alaMkurute maDuH Bh_2.28b
   sthāsnujaṅgamabhedena Bh_4.35a	sTAsnu-jaFgama-Bedena Bh_4.35a
   sthiro 'nekamahāphalaḥ Bh_2.80b	sTiraH aneka-mahA-PalaH Bh_2.80b
   stheyasīmābhuvaḥ sthiteḥ Bh_1.8b	sTeya-sImABuvaH sTiteH Bh_1.8b
   sthaulyādatropavarṇyate Bh_4.13b	sTOlyAt-atra-upavarNyate Bh_4.13b
   sphurattaḍidvalayino Bh_4.23a	sPurat-taxit-valayinaH Bh_4.23a
   sphuraddaśanadīdhiti Bh_3.46b	sPurat-daSana-dIDiti Bh_3.46b
   srajaṃ bibhracca śobhate Bh_6.59d	srajam biBrat-ca SoBate Bh_6.59d
   svaguṇāviṣkṛtiṃ kuryād Bh_1.29c	sva-guNa-AvizkRtim kuryAt Bh_1.29c
   svapakṣaparapakṣayoḥ Bh_5.22b	sva-pakza-para-pakzayoH Bh_5.22b
   svapuṣpacchavihāriṇyā Bh_2.82a	sva-puzpa=-Cavi-hAriNyAH Bh_2.82a
   svabhāvāttadyathocyate Bh_4.28d	svaBAvAt-tat-yaTA-ucyate Bh_4.28d
   svabhāvoktiralaṅkāra Bh_2.93a	svaBAva-uktiH-alaFkAra Bh_2.93a
   svabhāvo 'bhihito yathā Bh_2.93d	svaBAvaH aBihitaH yaTA Bh_2.93d
   svamaryādāvilaṅghanāt Bh_3.20b	sva-maryAdA-vilaFGanAt Bh_3.20b
   svayaṃ kṛtaireva nidarśanairiyaṃ Bh_2.96a	svayam kRtEH-eva nidarSanEH-iyam Bh_2.96a
   svayaṃ viniścitya dhiyā mayoditaḥ Bh_3.58b	svayam viniScitya DiyA mayA-uditaH Bh_3.58b
   svavikramākrāntabhuvaś Bh_2.70a	sva-vikrama-AkrAnta-BuvaH Bh_2.70a
   svasiddhāntavirodhitvād Bh_5.17a	sva-sidDAnta-viroDi-tvAt Bh_5.17a
   svaḥkṣitāṃ patiradvidṛk Bh_1.46b	svar-kzitAm patiH-at-vidRS Bh_1.46b
   svādukāvyarasonmiśraṃ Bh_5.3a	svAdu-kAvya-rasa-unmiSram Bh_5.3a
   svādupākaphalānamrāḥ Bh_2.36c	svAdu-pAka-Pala-AnamrAH Bh_2.36c
   svārohāḥ phaladāyinaḥ Bh_3.18b	svArohAH Pala-dAyinaH Bh_3.18b
   hatapravīrā drutabhītapaurāḥ Bh_3.57b	hata-pravIrAH druta-BIta-pOrAH Bh_3.57b
   hato 'nena mama bhrātā Bh_4.43a	hataH anena mama BrAtA Bh_4.43a
   hanumatā pratijñāya Bh_5.37c	hanumatA pratijQAya Bh_5.37c
   hanta durmedhaso hatāḥ Bh_2.20d	hanta durmeDasaH hatAH Bh_2.20d
   hantumeva pravṛttasya Bh_1.51a	hantum-eva pravRttasya Bh_1.51a
   haratāpi tanuṃ yasya Bh_3.24c	haratA-api tanum yasya Bh_3.24c
   harṣavismayayorapi Bh_4.14b	harza-vismayayoH-api Bh_4.14b
   hastyaśvarathavāhinī Bh_4.36d	hasti-aSva-raTa-vAhinI Bh_4.36d
   hāriṇī tanuratyantaṃ Bh_6.47c	hAriNI tanuH-atyantam Bh_6.47c
   hārītaśukavācaśca Bh_2.28c	hArIta-Suka-vAcaH-ca Bh_2.28c
   hitaprakaraṇe ṇaṃ ca Bh_6.53a	hita-prakaraNe Nam ca Bh_6.53a
   himapātāviladiśo Bh_3.40a	hima-pAta-Avila-diSaH Bh_3.40a
   himāpahāmitradharair Bh_1.41a	hima-apaha-amitra-DarEH Bh_1.41a
   hiraṇyaretāḥ sambādhaḥ Bh_1.49a	hiraNyaretAH sambADaH Bh_1.49a
   hiśabdenāpi hetvartha- Bh_2.73a	hi-Sabdena-api hetu-arTa Bh_2.73a
   hīnatāsambhavo liṅga- Bh_2.39a	hIna-tA-samBavaH liFga Bh_2.39a
   hīnaṃ duṣṭaṃ ca neṣyate Bh_4.2d	hInam duzwam ca na-izyate Bh_4.2d
   hīnaṃ duṣṭaṃ ca varṇyate Bh_5.1b	hInam duzwam ca varNyate Bh_5.1b
   hīnādhikatvāt sa dvedhā Bh_2.52c	hIna-aDika-tvAt sa dveDA Bh_2.52c
   hṛteti madanāśrayā Bh_5.38d	hRtA-iti madana-ASrayAH Bh_5.38d
   hetunyāyalavoccayaḥ Bh_5.2d	hetu-nyAya-lava-uccayaH Bh_5.2d
   hetuśca sūkṣmo leśo 'tha Bh_2.86a	hetuH-ca sUkzmaH leSaH aTa Bh_2.86a
   hetuścātra pratīyate Bh_5.50b	hetuH-ca-atra pratIyate Bh_5.50b
   hetustrilakṣaṇo jñeyo Bh_5.21c	hetuH-tri-lakzaNaH jQeyaH Bh_5.21c
   hetustrilakṣmaiva mataḥ Bh_5.47c	hetuH-tri-lakzmA-eva mataH Bh_5.47c
   hetuḥ pradīpradīpatvam Bh_5.51c	hetuH pradI-pradIpa-tvam Bh_5.51c
   hetvābhāsavyavasthitiḥ Bh_5.23d	hetvABAsa-vyavasTitiH Bh_5.23d
   hetvābhāso viparyayāt Bh_5.21d	hetvABAsaH viparyayAt Bh_5.21d
