   akarmakaṃ tathā caitat HSvs_[5.1]393c	akarmakam taTA ca-etat HSvH-_[5.1]393c
   tataś caitan na bādhakam HSvs_[11.1]665d	tatas ca-etat na bADakam HSvH-_[11.1]665d
   tatastatsattvasaṃsthitiḥ HSvs_[4.3]277d	tatas-tad-sattva-saMsTitiH HSvH-_[4.3]277d
   tatas tat sādhayatv eva HSvs_[11.2]683c	tatas tat sADayatu eva HSvH-_[11.2]683c
   tatas tasyāviśiṣṭatvād HSvs_[2.2]187a	tatas tasya-aviSizwa-tvAt HSvH-_[2.2]187a
   tatas tulyaṃ ca tat tayoḥ HSvs_[1.2]61d	tatas tulyam ca tat tayoH HSvH-_[1.2]61d
   tataḥ ka iha doṣaś cen HSvs_[7.1]499c	tatas kaH iha dozaH ced HSvH-_[7.1]499c
   tataḥ kathaṃ nu tadbhāva HSvs_[4.2]256c	tatas kaTam nu tad-BAvaH HSvH-_[4.2]256c
   tataḥ kartā sa eva syāt HSvs_[2.1]162c	tatas kartA saH eva syAt HSvH-_[2.1]162c
   tataḥ kālād asau matā HSvs_[2.2]167d	tatas kAlAt asO matA HSvH-_[2.2]167d
   tataḥ kiṃ nopapadyate HSvs_[5.1]386d	tatas kim na-upapadyate HSvH-_[5.1]386d
   tataḥ sa iti cen nanu HSvs_[6.1]431b	tatas saH iti ced nanu HSvH-_[6.1]431b
   tataḥ sa sarvavid bhūtvā HSvs_[9.1]573a	tatas sa sarva-vid BUtvA HSvH-_[9.1]573a
   tataḥ saṃvādadarśanāt HSvs_[2.1]115b	tatas saMvAda-darSanAt HSvH-_[2.1]115b
   tato na janakaṃ tasya HSvs_[4.3]283c	tatas na janakam tasya HSvH-_[4.3]283c
   tato nāśo 'pi tasya yat HSvs_[4.2]249b	tatas nASaH api tasya yat HSvH-_[4.2]249b
   tato niyatijā hy ete HSvs_[2.2]173c	tatas niyati-jAH hi ete HSvH-_[2.2]173c
   tato 'nyabhāva evaitan HSvs_[6.2]440c	tatas anya-BAvaH eva-etat HSvH-_[6.2]440c
   tato bāhyārthatāsiddhir HSvs_[5.2]407c	tatas bAhya-arTa-tA-sidDiH HSvH-_[5.2]407c
   tato bhāvaḥ prasajyate HSvs_[4.3]282b	tatas BAvaH prasajyate HSvH-_[4.3]282b
   tato bhāvodayājjantor HSvs_[1.1]8c	tatas BAva-udayAt-jantoH HSvH-_[1.1]8c
   tato muktir asaṃśayam HSvs_[9.1]575d	tatas muktiH asaMSayam HSvH-_[9.1]575d
   tato 'muktiḥ sadaiva syād HSvs_[1.4]104c	tatas amuktiH sadA-eva syAt HSvH-_[1.4]104c
   tato vyaktiḥ sadā bhavet HSvs_[1.2]38b	tatas vyaktiH sadA Bavet HSvH-_[1.2]38b
   tato vyādhinivṛttyarthaṃ HSvs_[2.1]159a	tatas vyADi-nivRtti-arTam HSvH-_[2.1]159a
   tato 'sat tat tathā nyāyād HSvs_[7.1]513a	tatas asat tat taTA nyAyAt HSvH-_[7.1]513a
   tato 'sau naiva vidyate HSvs_[4.1]240d	tatas asO na-eva vidyate HSvH-_[4.1]240d
   tatkartṛtve ca citratvaṃ HSvs_[2.2]184c	tad-kartR-tve ca citra-tvam HSvH-_[2.2]184c
   tatkartṛtvena saphalaṃ HSvs_[11.1]663c	tad-kartR-tvena saPalam HSvH-_[11.1]663c
   tatkāryaṃ kiṃ na dṛśyate HSvs_[2.1]126b	tat-kAryam kim na dRSyate HSvH-_[2.1]126b
   tatkṛtātiśayāptitaḥ HSvs_[6.1]420d	tad-kRta-atiSaya-AptitaH HSvH-_[6.1]420d
   tatkriyāyogataḥ sā cet HSvs_[1.4]98a	tad-kriyA-yogataH sA ced HSvH-_[1.4]98a
   tat kṣaṇasthitidharmiṇi HSvs_[7.1]491b	tat kzaNa-sTiti-DarmiNi HSvH-_[7.1]491b
   tatkṣayopaśamaṃ vinā HSvs_[11.1]663b	tad-kzaya-upaSamam vinA HSvH-_[11.1]663b
   tat tac cen mānam eveti HSvs_[7.1]497c	tat tat ced mAnam eva-iti HSvH-_[7.1]497c
   tattajjananabhāvatve HSvs_[4.6]355a	tad-tad-janana-BAva-tve HSvH-_[4.6]355a
   tat tajjananasvabhāvaṃ HSvs_[4.6]330a	tat tad-janana-svaBAvam HSvH-_[4.6]330a
   tattatkālādisāpekṣo HSvs_[2.2]188a	tad-tad-kAla-Adi-sApekzaH HSvH-_[2.2]188a
   tattatsvarūpabhāvena HSvs_[1.2]71c	tad-tad-svarUpa-BAvena HSvH-_[1.2]71c
   tattathātāṃ vinā bhavet HSvs_[4.3]300b	tat-taTA-AtAm vinA Bavet HSvH-_[4.3]300b
   tattathādharmake hy ukta- HSvs_[4.2]273c	tat-taTA-Darmake hi ukta HSvH-_[4.2]273c
   tattathābhāvato yadi HSvs_[4.6]340b	tat-taTA-aBAvataH yadi HSvH-_[4.6]340b
   tat tathābhāvato hi tat HSvs_[6.3]450b	tat taTA-aBAvataH hi tat HSvH-_[6.3]450b
   tattathāśaktiyogataḥ HSvs_[4.3]276b	tad-taTA-Sakti-yogataH HSvH-_[4.3]276b
   tat tatheti na yuktimat HSvs_[4.6]351d	tat taTA-iti na yuktimat HSvH-_[4.6]351d
   tat tatheti na yujyate HSvs_[9.1]555b	tat taTA-iti na yujyate HSvH-_[9.1]555b
   tat tatheti viniścayaḥ HSvs_[4.2]264b	tat taTA-iti viniScayaH HSvH-_[4.2]264b
   tat tadaiva tatas tathā HSvs_[2.2]174b	tat tadA-eva tatas taTA HSvH-_[2.2]174b
   tat taddharmādi nānyathā HSvs_[1.2]65d	tat tad-Darma-Adi na-anyaTA HSvH-_[1.2]65d
   tattadbhāvavirodhataḥ HSvs_[10.1]611d	tad-tad-BAva-viroDataH HSvH-_[10.1]611d
   tat tadvidhasvabhāvaṃ yat HSvs_[4.2]259a	tat tadviDa-svaBAvam yat HSvH-_[4.2]259a
   tat tu nānekabhāvataḥ HSvs_[4.4]307d	tat tu na-aneka-BAvataH HSvH-_[4.4]307d
   tat tenānyena vā bhavet HSvs_[4.4]316d	tat tena-anyena vA Bavet HSvH-_[4.4]316d
   tat teneha pracoditam HSvs_[3.1]200b	tat tena-iha pracoditam HSvH-_[3.1]200b
   tattvato niścayaḥ punaḥ HSvs_[4.2]261b	tattvataH niScayaH punar HSvH-_[4.2]261b
   tattvato 'nya iti nyāyāt HSvs_[4.5]329c	tattvataH anyaH iti nyAyAt HSvH-_[4.5]329c
   tattvato 'stīti na pramā HSvs_[7.1]486d	tattvataH asti-iti na pramA HSvH-_[7.1]486d
   tat tvattas tatsvabhāvataḥ HSvs_[2.1]128d	tat tvattaH tad-svaBAvataH HSvH-_[2.1]128d
   tattvavādaṃ pracakṣate HSvs_[1.4]109d	tattva-vAdam pracakzate HSvH-_[1.4]109d
   tattvaviddhiḥ samākhyātaḥ HSvs_[1.1]10c	tattva-vidDiH samAKyAtaH HSvH-_[1.1]10c
   tattvaśraddhānapūtātmā HSvs_[9.1]560c	tattva-SradDAna-pUta-AtmA HSvH-_[9.1]560c
   tattvasaṃkhyā na yujyate HSvs_[1.2]38d	tattva-saMKyA na yujyate HSvH-_[1.2]38d
   tattvasaṃkhyā na yujyate HSvs_[1.2]47d	tattva-saMKyA na yujyate HSvH-_[1.2]47d
   tattvasaṃkhyāvirodhataḥ HSvs_[1.2]35d	tattva-saMKyA-viroDataH HSvH-_[1.2]35d
   tattvād eva nirarthakaḥ HSvs_[4.3]284b	tattvAt eva nirarTakaH HSvH-_[4.3]284b
   tattvāśraddhānam eva ca HSvs_[1.1]4b	tattva-aSradDAnam eva ca HSvH-_[1.1]4b
   tattve na tatra sāmarthyam HSvs_[6.2]438c	tattve na tatra sAmarTyam HSvH-_[6.2]438c
   tatpadārthasya tulyatā HSvs_[10.1]601b	tad-padArTasya tulya-tA HSvH-_[10.1]601b
   tat punarvastutaḥ samam HSvs_[4.6]341d	tat punarvastutas samam HSvH-_[4.6]341d
   tatpratītyāditas tataḥ HSvs_[11.1]652d	tad-pratIti-Aditas tatas HSvH-_[11.1]652d
   tatpratyekatvavarjitam HSvs_[4.4]311d	tad-pratyeka-tva-varjitam HSvH-_[4.4]311d
   tatprāptyupāyavaicitrye HSvs_[11.2]687c	tad-prApti-upAya-vEcitrye HSvH-_[11.2]687c
   tatra tattvaṃ na yad bhavet HSvs_[7.1]491d	tatra tattvam na yat Bavet HSvH-_[7.1]491d
   tatra tatra svakarmaṇi HSvs_[11.2]676b	tatra tatra sva-karmaNi HSvH-_[11.2]676b
   tatra tasyā na kartṛtā HSvs_[2.2]184b	tatra tasyAH na kartR-tA HSvH-_[2.2]184b
   tatra hetvantaraṃ paraiḥ HSvs_[1.4]93b	tatra hetu-antaram parEH HSvH-_[1.4]93b
   tatrānte darśanaṃ katham HSvs_[6.4]452b	tatra-ante darSanam kaTam HSvH-_[6.4]452b
   tatrānyatrāpy ataḥ śaṅkā HSvs_[10.1]602c	tatra-anyatra-api atas SaFkA HSvH-_[10.1]602c
   tatrāpi kiṃ pramāṇaṃ ced HSvs_[4.7]365c	tatra-api kim pramANam ced HSvH-_[4.7]365c
   tatrāpi dehaḥ kartā cen HSvs_[3.2]219a	tatra-api dehaH kartA ced HSvH-_[3.2]219a
   tatrābhāvapramāṇatā HSvs_[10.1]583d	tatra-aBAva-pramANa-tA HSvH-_[10.1]583d
   tatrāsaṃdigdhaniścayaḥ HSvs_[4.6]354d	tatra-asaMdigDa-niScayaH HSvH-_[4.6]354d
   tatrety anupapattikam HSvs_[4.6]336b	tatra-iti anupapattikam HSvH-_[4.6]336b
   tatraudāsīnyayogataḥ HSvs_[2.1]149b	tatra-OdAsIni-a-yogataH HSvH-_[2.1]149b
   tatsattvasādhakaṃ tan na HSvs_[4.3]279a	tad-sattva-sADakam tat na HSvH-_[4.3]279a
   tatsadbhāvāviśeṣataḥ HSvs_[1.3]81b	tad-sadBAvA-viSezataH HSvH-_[1.3]81b
   tatsadbhāve 'py asau samaḥ HSvs_[1.2]48d	tad-sadBAve api asO samaH HSvH-_[1.2]48d
   tatsarvakṣayasaṃbhavāt HSvs_[10.2]631b	tad-sarva-kzaya-saMBavAt HSvH-_[10.2]631b
   tatsaṃghāteṣu caitanyaṃ HSvs_[1.2]53c	tad-saMGAtezu cEtanyam HSvH-_[1.2]53c
   tatsaṃyogād bhavo 'nyathā HSvs_[10.2]640b	tad-saMyogAt BavaH anyaTA HSvH-_[10.2]640b
   tatsaṃśayādiyogāc ca HSvs_[8.1]549c	tad-saMSaya-Adi-yogAt ca HSvH-_[8.1]549c
   tatsaṃskāraprasūtatvāt HSvs_[4.6]346c	tad-saMskAra-prasUta-tvAt HSvH-_[4.6]346c
   tatsādhutvaviniścayaḥ HSvs_[10.1]611b	tad-sADu-tva-viniScayaH HSvH-_[10.1]611b
   tatsādhutvādyaniściteḥ HSvs_[10.1]610d	tad-sADu-tva-AdyaniSciteH HSvH-_[10.1]610d
   tatsiddhau jñāyate prājñais HSvs_[10.2]631c	tad-sidDO jQAyate prAjQEH HSvH-_[10.2]631c
   tatsvabhāvatvakalpanam HSvs_[4.6]359b	tad-svaBAva-tva-kalpanam HSvH-_[4.6]359b
   tatsvabhāvatvakalpanā HSvs_[4.4]312b	tad-svaBAva-tva-kalpanA HSvH-_[4.4]312b
   tatsvabhāvatvakalpanā HSvs_[5.1]380b	tad-svaBAva-tva-kalpanA HSvH-_[5.1]380b
   tatsvabhāvatvato grahaḥ HSvs_[6.4]454d	tad-svaBAva-tvataH grahaH HSvH-_[6.4]454d
   tatsvabhāvatvayogataḥ HSvs_[1.3]86b	tad-svaBAva-tva-yogataH HSvH-_[1.3]86b
   tatsvabhāvatvayogataḥ HSvs_[9.1]558b	tad-svaBAva-tva-yogataH HSvH-_[9.1]558b
   tatsvabhāvaṃ tu tatkutaḥ HSvs_[11.1]656d	tad-svaBAvam tu tat-kutas HSvH-_[11.1]656d
   tatsvabhāvaṃ yato nanu HSvs_[4.2]255b	tad-svaBAvam yatas nanu HSvH-_[4.2]255b
   tatsvabhāvaḥ sa neti cet HSvs_[1.2]70b	tad-svaBAvaH sa na-iti ced HSvH-_[1.2]70b
   tatsvabhāvādibhāve 'pi HSvs_[2.2]175c	tad-svaBAva-Adi-BAve api HSvH-_[2.2]175c
   tatsvabhāvādyayogataḥ HSvs_[6.4]461d	tad-svaBAva-Adya-yogataH HSvH-_[6.4]461d
   tatsvarūpam asaṃsthitam HSvs_[2.1]155b	tad-svarUpam asaMsTitam HSvH-_[2.1]155b
   tatsvarūpānuvedhataḥ HSvs_[2.2]173d	tad-svarUpa-anuveDataH HSvH-_[2.2]173d
   tat svasaṃvedyam iṣyate HSvs_[5.1]386b	tat sva-saMvedyam izyate HSvH-_[5.1]386b
   tathā karmasthitiṣv alam HSvs_[9.1]558d	taTA karma-sTitizu alam HSvH-_[9.1]558d
   tathākālādibhāve 'pi HSvs_[2.2]171c	taTA-akAla-Adi-BAve api HSvH-_[2.2]171c
   tathāgater abhāve ca HSvs_[6.4]456a	taTAgateH aBAve ca HSvH-_[6.4]456a
   tathāgrahas tayor neta- HSvs_[4.6]334a	taTA-AgrahaH tayoH na-ita HSvH-_[4.6]334a
   tathāgrahe ca sarvatrā- HSvs_[4.6]335a	taTA-agrahe ca sarvatrA HSvH-_[4.6]335a
   tathā ca bhūtamātratve HSvs_[1.2]60a	taTA ca BUtamAtra-tve HSvH-_[1.2]60a
   tathā cāha bṛhaspatiḥ HSvs_[11.2]683d	taTA ca-Aha bRhaspatiH HSvH-_[11.2]683d
   tathā cāha mahāmatiḥ HSvs_[4.3]290d	taTA ca-Aha mahAmatiH HSvH-_[4.3]290d
   tathā citrasvabhāvatvān HSvs_[6.4]463a	taTA citra-svaBAva-tvAn HSvH-_[6.4]463a
   tathā caitad vṛthoditam HSvs_[5.2]403d	taTA ca-etat vRTA-uditam HSvH-_[5.2]403d
   tathā coktam idaṃ tava HSvs_[6.1]418d	taTA ca-uktam idam tava HSvH-_[6.1]418d
   tathā coktānatikramaḥ HSvs_[4.2]250d	taTA ca-ukta-anatikramaH HSvH-_[4.2]250d
   tathā jñānam apīṣyatām HSvs_[5.1]394d	taTA jQAnam api-izyatAm HSvH-_[5.1]394d
   tathā tantravirodhataḥ HSvs_[3.2]229d	taTA tantra-viroDataH HSvH-_[3.2]229d
   tathā tulye 'pi cārambhe HSvs_[1.4]92a	taTA tulye api ca-AramBe HSvH-_[1.4]92a
   tathātrāpi nirūpyatām HSvs_[10.1]600d	taTA-atra-api nirUpyatAm HSvH-_[10.1]600d
   tathātvāpracyutau cāsya HSvs_[3.2]215c	taTAtva-apracyutO ca-asya HSvH-_[3.2]215c
   tathātve nanu tat kutaḥ ? HSvs_[3.2]216d	taTA-tve nanu tat kutas ? HSvH-_[3.2]216d
   tathā darśanato bhuvi HSvs_[11.1]662d	taTA darSanataH Buvi HSvH-_[11.1]662d
   tathā naśvara iṣyate HSvs_[6.1]416b	taTA naSvaraH izyate HSvH-_[6.1]416b
   tathānāptapraṇītatvād HSvs_[2.1]140c	taTA-anApta-praNIta-tvAt HSvH-_[2.1]140c
   tathāniyatabhāve ca HSvs_[2.2]181c	taTA-aniyata-BAve ca HSvH-_[2.2]181c
   tathānubhavasiddhitaḥ HSvs_[1.3]84b	taTA-anuBava-sidDitaH HSvH-_[1.3]84b
   tathānyad api yat kalpa- HSvs_[4.7]366a	taTA-anyat api yat kalpa HSvH-_[4.7]366a
   tathānyaḥ puṇyalakṣaṇaḥ HSvs_[1.1]20d	taTA-anyaH puNya-lakzaNaH HSvH-_[1.1]20d
   tathā pāpakṣayeṇa ca HSvs_[2.1]117d	taTA pApa-kzayeNa ca HSvH-_[2.1]117d
   tathāpi tu tayor eva HSvs_[4.6]359a	taTA-api tu tayoH eva HSvH-_[4.6]359a
   tathāpy aparam ucyate HSvs_[7.1]501d	taTA-api aparam ucyate HSvH-_[7.1]501d
   tathāpy abhāvaprāmāṇyam HSvs_[10.1]597c	taTA-api aBAva-prAmANyam HSvH-_[10.1]597c
   tathāpy ūrdhvaṃ viśeṣeṇa HSvs_[4.7]374c	taTA-api UrDvam viSezeNa HSvH-_[4.7]374c
   tathāpratītito nyāyyaṃ HSvs_[4.6]343c	taTA-apratItitaH nyAyyam HSvH-_[4.6]343c
   tathāpratītito bhedā- HSvs_[11.1]668c	taTA-apratItitaH BedA HSvH-_[11.1]668c
   tathāpratītiyogena HSvs_[7.1]488c	taTA-apratIti-yogena HSvH-_[7.1]488c
   tathāpravṛttito yuktyā HSvs_[2.1]145c	taTA-apravRttitaH yuktyA HSvH-_[2.1]145c
   tathābhāvaprakāśakam HSvs_[5.1]397b	taTA-aBAva-prakASakam HSvH-_[5.1]397b
   tathābhāvaprasādhakam HSvs_[7.1]530d	taTA-aBAva-prasADakam HSvH-_[7.1]530d
   tathābhāvopalabdhitaḥ HSvs_[6.3]444d	taTA-aBAva-upalabDitaH HSvH-_[6.3]444d
   tathābhūd ity ato neha HSvs_[4.6]339c	taTA-aBUt iti atas na-iha HSvH-_[4.6]339c
   tathā muktir apīṣyate HSvs_[2.1]143b	taTA muktiH api-izyate HSvH-_[2.1]143b
   tathā vikalpakṛn nānyad HSvs_[4.6]342c	taTA vikalpa-kRt na-anyat HSvH-_[4.6]342c
   tathāvidhatadanyavat HSvs_[6.1]421d	taTAviDa-tad-anya-vat HSvH-_[6.1]421d
   tathā vede 'pi paṭhyate HSvs_[1.3]87d	taTA vede api paWyate HSvH-_[1.3]87d
   tathāsatyeva bhūteṣu HSvs_[1.2]45c	taTA-asati-eva BUtezu HSvH-_[1.2]45c
   tathā sāpi kathaṃ na cet HSvs_[1.2]58d	taTA sA-api kaTam na ced HSvH-_[1.2]58d
   tathā syād anivedanam HSvs_[10.1]622f	taTA syAt anivedanam HSvH-_[10.1]622f
   tathāsvabhāva evāsau HSvs_[6.1]417a	taTA-asvaBAvaH eva-asO HSvH-_[6.1]417a
   tathāhaṃkāravedanāt HSvs_[1.3]85d	taTA-ahaMkAra-vedanAt HSvH-_[1.3]85d
   tathā hīndīvare dīpaḥ HSvs_[10.1]607c	taTA hi-indIvare dIpaH HSvH-_[10.1]607c
   tatheti hanta ko nv arthaḥ HSvs_[4.6]340a	taTA-iti hanta kaH nu arTaH HSvH-_[4.6]340a
   tathety abhrāntam atrāpi HSvs_[5.1]398c	taTA-iti aBrAntam atra-api HSvH-_[5.1]398c
   tathedam amalaṃ brahma HSvs_[8.1]545a	taTA-idam amalam brahma HSvH-_[8.1]545a
   tathaitad ubhayādhāra- HSvs_[7.1]489a	taTA-etat uBaya-ADAra HSvH-_[7.1]489a
   tathaiva lokasaṃvitter HSvs_[1.2]63c	taTA-eva loka-saMvitteH HSvH-_[1.2]63c
   tathocyate jagaty asmiṃs HSvs_[5.1]394c	taTA-ucyate jagati asmin HSvH-_[5.1]394c
   tathopariṣṭād vakṣyāmaḥ HSvs_[1.1]28c	taTA-uparizwAt vakzyAmaH HSvH-_[1.1]28c
   tadatadrūpabhāvena HSvs_[7.1]484c	tad-atad-rUpa-BAvena HSvH-_[7.1]484c
   tadatyantavidharmiṇaḥ HSvs_[5.1]402b	tad-atyanta-viDarmiNaH HSvH-_[5.1]402b
   tadanantarabhāvi tat HSvs_[4.3]280b	tad-anantara-BAvi tat HSvH-_[4.3]280b
   tadanantarabhāvitva- HSvs_[4.3]293a	tad-anantara-BAvi-tva HSvH-_[4.3]293a
   tadanantarabhāvitvād HSvs_[4.2]255c	tad-anantara-BAvi-tvAt HSvH-_[4.2]255c
   tadanāsevanād eva HSvs_[3.1]205a	tad-anAsevanAt eva HSvH-_[3.1]205a
   tadanyagrahaṇe cāsya HSvs_[5.1]389a	tad-anya-grahaNe ca-asya HSvH-_[5.1]389a
   tadanyabhedakaṃ muktvā HSvs_[2.2]182c	tad-anya-Bedakam muktvA HSvH-_[2.2]182c
   tadanyabhrāntivadyataḥ HSvs_[5.1]400b	tad-anya-BrAnti-vat-yatas HSvH-_[5.1]400b
   tadanyayogābhāve ca HSvs_[1.4]98c	tad-anya-yoga-aBAve ca HSvH-_[1.4]98c
   tadanyahetusādhyatve HSvs_[2.1]155a	tad-anya-hetu-sADya-tve HSvH-_[2.1]155a
   tadanyāgrahaṇād dhruvam HSvs_[4.6]345b	tad-anyA-grahaNAt Druvam HSvH-_[4.6]345b
   tadanyāvaraṇābhāvād HSvs_[1.4]100a	tad-anya-AvaraNa-aBAvAt HSvH-_[1.4]100a
   tadanyā vā dvayī gatiḥ HSvs_[6.2]438b	tad-anyA vA dvayI gatiH HSvH-_[6.2]438b
   tadanyūnātiriktatve HSvs_[5.2]408c	tat-anyUna-atirikta-tve HSvH-_[5.2]408c
   tadanyebhyaś ca tacchubham HSvs_[2.1]113b	tad-anyeByaH ca tat-SuBam HSvH-_[2.1]113b
   tadanyebhyas tathāsthiteḥ HSvs_[11.1]649d	tad-anyeByaH taTA-sTiteH HSvH-_[11.1]649d
   tadapuṣṭau na yujyate HSvs_[1.4]98b	tad-apuzwO na yujyate HSvH-_[1.4]98b
   tadapy asāmprataṃ yat tad HSvs_[7.1]482c	tat-api asAmpratam yat tat HSvH-_[7.1]482c
   tadaprāptāv upāyatvaṃ HSvs_[11.2]684c	tad-aprAptO upAya-tvam HSvH-_[11.2]684c
   tadabhāvaḥ kathaṃ nu cet HSvs_[1.2]71d	tad-aBAvaH kaTam nu ced HSvH-_[1.2]71d
   tadabhāvād abhāvaś ced HSvs_[1.2]68c	tad-aBAvAt aBAvaH ced HSvH-_[1.2]68c
   tadabhāve ca niḥśeṣa- HSvs_[11.3]694c	tad-aBAve ca niHSeza HSvH-_[11.3]694c
   tadabhāve ca suvyaktaṃ HSvs_[11.1]671c	tad-aBAve ca su-vyaktam HSvH-_[11.1]671c
   tadabhāve tu tadbhāvāt HSvs_[6.4]458c	tad-aBAve tu tad-BAvAt HSvH-_[6.4]458c
   tadabhāve na tajjñānaṃ HSvs_[4.2]258c	tad-aBAve na tat-jQAnam HSvH-_[4.2]258c
   tadabhāve na tatsthitiḥ HSvs_[2.1]153b	tad-aBAve na tat-sTitiH HSvH-_[2.1]153b
   tadabhāve na tadvattvaṃ HSvs_[11.1]650c	tad-aBAve na tadvat-tvam HSvH-_[11.1]650c
   tadabhāve 'nimittatvāt HSvs_[3.2]225c	tad-aBAve animitta-tvAt HSvH-_[3.2]225c
   tadabhāve 'nyathā bhāvas HSvs_[4.6]341a	tad-aBAve anyaTA BAvaH HSvH-_[4.6]341a
   tadabhāve 'pi tadbhāve HSvs_[1.2]50c	tad-aBAve api tad-BAve HSvH-_[1.2]50c
   tadabhāve 'py abhāvataḥ HSvs_[11.2]689d	tad-aBAve api aBAvataH HSvH-_[11.2]689d
   tadabhāve 'pramāṇakam HSvs_[8.1]548d	tad-aBAve apramANakam HSvH-_[8.1]548d
   tadabhāve hi śāśvataḥ HSvs_[11.3]695b	tad-aBAve hi SASvataH HSvH-_[11.3]695b
   tadabhāvo 'nyathā bhavet HSvs_[7.1]506d	tad-aBAvaH anyaTA Bavet HSvH-_[7.1]506d
   tadabhāvo 'vasīyate HSvs_[5.1]377d	tad-aBAvaH avasIyate HSvH-_[5.1]377d
   tadabhāvo 'vasīyate HSvs_[5.1]385b	tad-aBAvaH avasIyate HSvH-_[5.1]385b
   tadabhede na yujyate HSvs_[7.1]490d	tad-aBede na yujyate HSvH-_[7.1]490d
   tadayuktaṃ yataś citrā HSvs_[7.1]494c	tat-ayuktam yatas citrAH HSvH-_[7.1]494c
   tadayogād vinā bhedaṃ HSvs_[11.1]649c	tad-ayogAt vinA Bedam HSvH-_[11.1]649c
   tadarthaniyato 'sau yad HSvs_[6.4]455a	tad-arTa-niyataH asO yat HSvH-_[6.4]455a
   tad arthaṃ ceṣṭate nityaṃ HSvs_[9.1]566c	tat arTam cezwate nityam HSvH-_[9.1]566c
   tadarthaṃ yatnasiddhitaḥ HSvs_[8.1]551d	tad-arTam yatna-sidDitaH HSvH-_[8.1]551d
   tadavasthāntaraṃ ca saḥ HSvs_[4.3]299d	tad-avasTA-antaram ca saH HSvH-_[4.3]299d
   tadavasthāntaraṃ na saḥ HSvs_[4.3]296d	tad-avasTA-antaram na saH HSvH-_[4.3]296d
   tadasaṃvedanādi yat HSvs_[5.1]389d	tad-asaMvedana-Adi yat HSvH-_[5.1]389d
   tad asāv eva darśyate HSvs_[2.1]141d	tat asO eva darSyate HSvH-_[2.1]141d
   tad asau kāraṇaṃ kila HSvs_[2.2]165d	tat asO kAraNam kila HSvH-_[2.2]165d
   tad asau kāraṇaṃ kila HSvs_[2.2]169d	tat asO kAraNam kila HSvH-_[2.2]169d
   tad asau tannibandhanā HSvs_[11.2]681d	tat asO tad-nibanDanAH HSvH-_[11.2]681d
   tadākāraparityāgāt HSvs_[4.6]349a	tad-AkAra-parityAgAt HSvH-_[4.6]349a
   tadā tat tasya jānāti HSvs_[6.4]459c	tadA tat tasya jAnAti HSvH-_[6.4]459c
   tadātmakatvamātratve HSvs_[1.2]58a	tad-Atmaka-tva-mAtra-tve HSvH-_[1.2]58a
   tadātve vartamāne tu HSvs_[10.2]632c	tadAtve vartamAne tu HSvH-_[10.2]632c
   tadābhāsā na saiva hi HSvs_[7.1]540d	tad-ABAsAH na sA-eva hi HSvH-_[7.1]540d
   tadā bhūter iyaṃ tulyā HSvs_[4.2]254a	tadA BUteH iyam tulyAH HSvH-_[4.2]254a
   tadāsattvāt paraṃ yathā HSvs_[4.3]283d	tadA-asattvAt param yaTA HSvH-_[4.3]283d
   tadā hemamayasya ca HSvs_[1.1]18b	tadA hema-mayasya ca HSvH-_[1.1]18b
   tad ittham ucyate 'smābhir HSvs_[11.1]654c	tat itTam ucyate asmABiH HSvH-_[11.1]654c
   tad itthaṃ nirviśeṣaṇam HSvs_[7.1]492b	tat itTam nirviSezaNam HSvH-_[7.1]492b
   taditthaṃ bhūtam eveti HSvs_[7.1]493a	tat-itTam BUtam eva-iti HSvH-_[7.1]493a
   tad idānīṃ parīkṣyate HSvs_[6.1]414d	tat idAnIm parIkzyate HSvH-_[6.1]414d
   tad iheti prasaṃgena HSvs_[7.1]536c	tat iha-iti prasaMgena HSvH-_[7.1]536c
   taduktavratasevanāt HSvs_[3.1]204b	tad-ukta-vrata-sevanAt HSvH-_[3.1]204b
   tadutpattyādidoṣataḥ HSvs_[4.2]248d	tad-utpatti-Adi-dozataH HSvH-_[4.2]248d
   tadupādānatāyāṃ ca HSvs_[3.2]217c	tad-upAdAna-tAyAm ca HSvH-_[3.2]217c
   tad ūrdhvaṃ tuccham eva tat HSvs_[4.2]267b	tat UrDvam tucCam eva tat HSvH-_[4.2]267b
   tadekatvavirodhataḥ HSvs_[4.4]306d	tat-eka-tva-viroDataH HSvH-_[4.4]306d
   tad etac cintyatāṃ katham HSvs_[4.4]305d	tat etat cintyatAm kaTam HSvH-_[4.4]305d
   tad etat tuṣakhaṇḍanam HSvs_[11.1]671d	tat etat tuza-KaNxanam HSvH-_[11.1]671d
   tadetadubhayātmakam HSvs_[7.1]534d	tat-etat-uBaya-Atmakam HSvH-_[7.1]534d
   tadenakatvakalpanā HSvs_[4.4]315d	tad-enaka-tva-kalpanA HSvH-_[4.4]315d
   tad enam eva vidvāṃsas HSvs_[1.4]109c	tat enam eva vidvAMsaH HSvH-_[1.4]109c
   tad eva kliṣṭateti cet HSvs_[5.2]408b	tat eva klizwa-tA-iti ced HSvH-_[5.2]408b
   tad eva tair vinirmuktaṃ HSvs_[5.2]404c	tat eva tEH vinirmuktam HSvH-_[5.2]404c
   tad eva na bhavaty etat HSvs_[6.3]447a	tat eva na Bavati etat HSvH-_[6.3]447a
   tad eva na bhavatyetad HSvs_[4.2]274a	tat eva na Bavati-etat HSvH-_[4.2]274a
