   prathamaḥ paricchedaḥ	praTamaH paricCedaH
        tatra ca kaṇṭhe nāyikayā pārāvatavad dhvanayaḥ uccaritāḥ /	tatra ca kaNWe nAyikayA pArAvata vat DvanayaH uccaritAH /
        pārāvataiśca tadanuvādaḥ kṛta iti samuccayārthaḥ /	pArAvatEH ca tad anuvAdaH kRtaH iti samuccaya arTaH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   prarūḍhasmarā yathātraivodāharaṇo /	prarUXa smarAH yaTA atra eva udAharaNaH /
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, tha) atraivodāharaṇe iti  kintu suratavaicitryābhāve	(vi, Ta) atra eva udAharaNe iti  kintu surata vEcitrya aBAve
   prarūḍhasmarāyā asaṃkīrṇamudāharaṇaṃ bodhyam; yathā    nidrānivṛttāvudite	prarUXa smarAyAH asaMkIrNam udAharaNam boDyam; yaTA   nidrA nivRttO= udite
   dyuratne sakhījane dvārapadaṃ prayāte /	dyuratne saKI jane dvAra padam prayAte /
        ślathīkṛtāśleṣarase bhujaṅge cacāla nāliṅganato 'ṅganā sā //	SlaTIkRta ASleza rase BujaFge cacAla na AliFganataH aFganA sA //
        iti /	iti /
        bhujaṅge kāmuke /	BujaFge kAmuke /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   prarūḍhayovanā yathā mama  	prarUXa yovanAH yaTA mama  
   "natre khañjanagañjane, sarasijapratyarthi pāṇidvayaṃ, vakṣojau	"natre KaQjana gaQjane, sarasija pratyarTi pANi dvayan, vakzojO
   kārikumbhavibhramakīmatyunnatiṃ gacchataḥ /	kAri kumBa viBramakImati unnatim gacCataH /
   kāntiḥ kāñcanacampakapratinidhirvāṇī sudhāsyandinī,	kAntiH kAQcana campaka pratiniDiH vANI suDA syandinI,
   smerendīvaradāmasodaravapustasyāḥ kaṭākṣacchaṭā" //	smera indIvara dAma sodara vapuH tasyAH kawAkza= CawA" //
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, da) netre khañjaneti /	(vi, da) netre KaQjana iti /
        netre ityādiṣu savatra tasyā iti sambandhaḥ /	netre ityAdizu savatra tasyAH iti sambanDaH /
        pratyarthi pratidvandi /	pratyarTi pratidvandi /
        vibhramakarī viśeṣabhrāntijanikā /	viBrama karI viSeza BrAnti janikA /
        sodaraṃ tulyam /	sodaram tulyam /
        chaṭā kāntiḥ /	CawA kAntiH /
        atra smarakriyānuktyā yauvanasyaiva prarūḍhatvam /	atra smara kriyA nuktyA yOvanasya eva prarUXa tvam /
        evamanyatrāpīti /	evam anyatra api iti /
        "dīrghākṣaṃ śaradindu"ityādaubodhyam /	"dIrGa akzam Sarad indu "ityAt OboDyam /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   evamanyatrāpi /	evam anyatra api /
   atha pragalbhā  	aTa pragalBA  
   smarāndhā gāḍhatāruṇyā samastaratakovidā /	smara anDA gAXa tAruNyA samasta rata kovidA /
   bhāvonnatā daravrīḍā pragalbhākrāntanāyakā // VisSd_3.60 //	BAva unnatA dara vrIxA pragalBa AkrAnta nAyakAH // VisSd _3.60 //
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, dha) smarāndhetyādikamapi pratyekameva viśeṣaṇam /	(vi, Da) smara anDa iti Adikam api pratyekam eva viSezaNam /
        daravrīḍeti  samadhikalajājābhinnā ityevārthaḥ /	dara vrIxa iti  samaDi ka laja aja aBinnAH iti eva arTaH /
        tena svalpavrīḍatve vrīḍābhāve vā darakrīḍatvaṃ bodhyamiti	tena su alpa vrIxa tve vrIxA BAve vA dara krIxa tvam boDyam iti
   granthakṛto 'bhiprāyaḥ /	granTa kRtaH aBiprAyaH /
        ākrāntanāyakā ityarthaḥ /	AkrAnta nAyakAH iti arTaH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   smarāndhā yathā  	smara anDAH yaTA  
   "dhanyāsi yā kathayasi priyasaṃgame 'pi viśrabdhacāṭukaśatāni ratāntareṣu	"DanyAsi yA kaTayasi priya saMgame api viSrabDa cAwuka SatAni rata antarezu
   nīvīṃ prati praṇihite tu kare priyeṇa sakhyaḥ śapāmi yadi kiṃcadapi	nIvIm prati praNihite tu kare priyeNa saKyaH SapAmi yadi kiMcad api
   smarāmi(ka)" //	smarAmi(ka)" //
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, na) sakhiṣu madhye ekayā nāyikayā kathitam  "mayā ratikāle	(vi, na) saKizu maDye ekayA nAyikayA kaTitam   "mayA rati kAle
   bahūni cāṭuvacāṃsi patyau kathyante"tāṃ rasāniviṣṭāṃ pratipādayituṃ	bahUni cAwu vacAMsi patyO kaTyante"tAm rasa anivizwAm pratipAdayitum
   tatkāle 'tyantarasāviṣṭatvamātmana sūcayantī kacit	tad kAle atyanta rasa Avizwa tvam Atmana sUcayantI kacid 
   solluṇṭhamāha  dhanyāsīti /	sa ulluNWa mAha    DanyA asi iti /
        ratāntareṣu atyantarasāveśayogyeṣu ratamadhyeṣu svīyotkarṣakathane	rata antarezu atyanta rasa AveSa yogyezu rata maDyezu svIya utkarza kaTane
   bahvīnāmavadhānāya sakhya iti bahvīnāṃ sambodhanam /	bahvInAm avaDAnAya saKyaH iti bahvInAm samboDanam /
        śapāmi śapathaṃ karomi /	SapAmi SapaTam karomi /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   gāḍhatāruṇyā yathā  	gAXa tAruNyAH yaTA  
   "atyunnatastanamuro nayane sudīrghe, vakre bhruvāvatitarāṃ, vacanaṃ tato	"ati unnataH tanam uraH nayane su dIrGe, vakre BruvO= atitarAn, vacanam tatas 
   'pi /	api /
   madhyo 'dhikaṃ tanuranūnagururnitambo mandā gatiḥ kimapi	maDyaH aDikam tanuH anUna guruH nitambaH mandA gatiH kim api
   cādbhutayauvanāyāḥ" //	ca adButa yOvanAyAH" //
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, pa) atyunnatastanamiti  atra adbhutayauvanāyā iti sarvatrānvayaḥ	(vi, pa) ati unnata stanam iti  atra adButa yOvanAyAH iti sarvatra anvayaH
        kimapītyatra kiṃ padamavyayam /	kim api iti atra kim padam avyayam /
        kāpi gatirmanye ityarthaḥ /	kA api gatiH manye iti arTaH /
        Locanā:	LocanA:
        (lo, au) anūnaguruḥ  atyantaguruḥ /	(lo, O) anUna guruH  atyanta guruH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   samastaratakovidā yathā  	samasta rata kovidA yaTA  
   "kvacittāmbūlāktaḥ kvacidgarupaṅkāṅkamalinaḥ kvaciccūrṇodrarī kvacidapi ca	"kvacid tAmbUla aktaH kvacid garu paFka aFka malinaH kvacid cUrNa udrarI kvacid api ca
   sālaktakapadaḥ /	sa alaktaka padaH /
   valībhaṅgābhogairalakapatitaiḥ śīrṇakusumaiḥ striyāḥ sarvāvasthaṃ	valI BaFga ABogEH alaka patitEH SIrNa kusumEH striyAH sarva avasTam
   kathayati rataṃ pracchadapaṭaḥ" //	kaTayati ratam pracCada pawaH" //
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, pha) kvacit tāmbūlākta iti /	(vi, Pa) kvacid tAmbUla aktaH iti /
        pracchadapaṭaḥ śayyācchādanapaṭaḥ striyāḥ sarvāvasthaṃ	pracCada pawaH  SayyA AcCAdana pawaH striyAH sarva avasTam
   nyubjottānānyāvasthīyaṃ rataṃ kathayatītyarthaḥ /	nyubja uttAnAnyAvasTIyam ratam kaTayati iti arTaH /
        paṭaḥ kīdṛśaḥ ? kvacit tāmbūlāktaḥ idaṃ nyubjarate /	pawaH kIdRSaH ? kvacid tAmbUla aktaH idam nyubja rate /
        kvacidagurupaṅketi  idaṃ pārśvarate /	kvacid aguru paFka iti  idam pArSva rate /
        kvacit cūrṇeti  cūrṇakṣepapūrvakarate /	kvacid cUrNa iti  cUrNa kzepa pUrva karate /
        kvacidapi sālaktaketi  padamatra padacihnam, idamutthaitāvasthārate /	kvacid api sa alaktaka iti  padam atra pada cihnam, idam utTA eta avasTA rate /
        valībhaṅgaḥ pracchadapaṭasya valanena bhaṅgaḥ saṃkocaḥ tasya ābhogaiḥ	valI BaFgaH pracCada pawasya valanena BaFgaH saMkocaH tasya ABogEH
   tatparipūrṇitābhirapi kathayatītyarthaḥ /	tad paripUrNitABiH api kaTayati iti arTaH /
        idamalakapatitetyādikaṃ ca vimardarate /	idam alaka patita iti Adikam ca vimarda rate /
        vicitrasuratāyāstvetādṛśavimardābhāvādasyāḥ tato bhedaḥ /	vicitra suratAyAH tu etAdRSa vimarda aBAvAt asyAH tatas BedaH /
        Locanā:	LocanA:
        (lo, a) yūrṇāni karpūrādīnām /	(lo, a) yUrNAni karpUra AdInAm /
        valibhaṅgābhogairiti trayāṇāṃ viśeṣaṇe tṛtīyā /	vali BaFga ABogEH iti trayANAm viSezaNe tRtIyA /
        taireva kathayatīti kathanakaraṇatvaṃ vā /	tEH eva kaTayati iti kaTana karaNa tvam vA /
        sarvāvasthaṃ bahuprakāram /	sarva avasTam bahu prakAram /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   bhāvonnatā yathā  	BAva unnatAH yaTA  
   "madhuravacanaiḥ sabhrūbhaṅgaiḥ kṛtāṅgulitarjanai 	"maDura vacanEH sa BrU BaFgEH kRta aFguli tarjanE 
   rabhasaracitairaṅganyāsairmahotsavabandhubhiḥ /	raBasa racitEH aFga nyAsEH mahA utsava banDuBiH /
   asakṛdasakṛtsphārasphāraraipāṅgavilokitai  sbhibhuvanajaye sā pañceṣoḥ	asakRt asakRt sPAra sPAra rEpa aFga vilokitE sBiBuvana jaye sA paQca izoH
   karoti sahāyatām" //	karoti sahAya tAm" //
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, ba) madhuravacanairiti   nāyikā sā madhuravacanādibhiḥ pañceṣoḥ	(vi, ba) maDura vacanEH iti   nAyikA sA maDura vacana AdiBiH paQca izoH
   tribhuvanajaye sahāyatāṃ karoti ityanvayaḥ /	triBuvana jaye sahAya tAm karoti iti anvayaH /
        madhuravacanādikaṃ sarvaṃ nāyake kadācit madhuravacana kadācit	maDura vacana Adikam sarvam nAyake kadAcid maDura vacana kadAcid 
   sabhrūbhaṅgetyādikaṃ bodhyam /	sa BrU BaFga iti Adikam boDyam /
        rabhasaḥ   sahasā /	raBasaH  sahasA /
        mabotsavasya bandhubhiḥ sahāyaiḥ yūnāmānandakaraiḥ raṅgābhyāsaiḥ	maba utsavasya banDuBiH sahAyEH yUnAm Ananda karEH raFga aByAsEH
   sphāraiḥ sphāriratidīrghaiḥ /	sPArEH sPArirati dIrGEH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   svalpabrīḍā yathā  	su alpa brIxA yaTA  
   "dhanyāsi yā kathayasi"  	"DanyAsi yA kaTayasi"  
   ityatraiva (116 pṛ dṛ)	iti atra eva (116 pR dR)
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, bha) dhanyāsi yetyādikaṃ svalpavrīḍodāharaṇamuktaṃ, tanna	(vi, Ba) DanyA asi yA iti Adikam su alpa vrIxA udAharaNa m uktaM, tat na
   yuktam  atrālpāyā api vrīḍāyā apratīteḥ /	yuktam   atra alpAyAH api vrIxAyAH apratIteH /
        kintu  	kintu  
        "vanakoli hianiaṃ sanakavali sanaaavahulam /	"vana koli hianiam sanaka vali sanaaavahulam /
        yana yuana smarunmatta ia gaaṇaṃ pavi upari cumbi aṃja" //	yana yuana smarut mattaH ia gaaNam pavi upari cumbi aMja" //
        ityeva svalpavrīḍodāharaṇam /	iti eva su alpa vrIxA udAharaNam /
        yathā vā"śūlinaḥ karataladvayena sāsaṃnirudhya nayane hṛtāṃśukā /	yaTA vA"SUlinaH kara tala dvayena sa asaMniruDya nayane hRta aMSukAH /
        tasya paśyati lalāṭalocane moghayatnavidhurā rahasyabhūt //	tasya paSyati lalAwa locane moGa yatna viDurAH rahasi aBUt //
        "iti /	"iti /
        atra pārvatīśūlinornayane ityanvayaḥ /	atra pArvatI SUlinoH nayane iti anvayaH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   ākrāntanāyakā yathā  	AkrAnta nAyakAH yaTA  
   svāmin bhaṅgurayālakaṃ, satilakaṃ bhālaṃ vilāsin kuru, prāṇośa truṭitaṃ	svAmin BaFgurayAlakaM, sa tilakam BAlam vilAsin kuru, prANa uSa truwitam
   payodharataṭe hāraṃ punaryojaya /	payoDara tawe hAram punar yojaya /
   ityuktvā suratāvasānasamaye sampūrṇacandrānanā spṛṣṭā tena tathaiva	iti uktvA surata avasAna samaye sampUrNa candra AnanA spRzwA tena taTA eva
   jātamulakā prāptā punarmohanam" //	jAta mulakA prAptA punar mohanam" //
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, ma) svāminityādi   sampūrṇacandrānanā suratāvasānasamaye	(vi, ma) svAminiti Adi     sampUrNa candra AnanA surata avasAna samaye
   svāminnityādikamuktvā tena spṛṣṭā satī punarmohanaṃ yātā ityanvayaḥ /	svAmin= iti Adikam uktvA tena spRzwA satI punar mohanam yAtAH iti anvayaH /
        bhaṅgurāṇāmalakānāṃ vikīrṇatvāt punarbhaṅgurīkaraṇāya preraṇā /	BaFgurANa AmalakAnAm vikIrNa tvAt punar BaFgurIkaraNAya preraNAH /
        atra svāminnityājñākaraṇāt nāyikākrāntaḥ /	atra svAmin= iti AjQA karaNAt nAyikA AkrAntaH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   madhyāpragalbhayorbhedāntarāṇyāha  	maDyA pragalBayoH Beda antarANi Aha  
   te dhīrā cāpyadhīrā ca dhīrādhīreti ṣaṅvidhe /	te DIrA ca api aDIrA ca DIra aDIra iti zaFviDe /
   Locanā:	LocanA:
   (lo, ā) ṣaḍvidhe pratyekaṃ trividhatvāt /	(lo, A) zaxviDe pratyekam triviDa tvAt /
   ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   te madhyāpragalbhe /	te maDyA pragalBe /
   tatra  	tatra  
   priyaṃ sotprāsavakroktyā madhyā dhīrā daheduṣā // VisSd_3.61 //	priyam sa utprAsa vakroktyA maDyA DIrAH dahet uzAH // VisSd _3.61 //
   dhīrādhīrā tu ruditairadhīrā paruṣoktibhiḥ /	DIrA DIrA tu ruditEH aDIrA paruza uktiBiH /
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, ya) priyaṃ sotpraseti   utprāsaḥ samanāk smitam /	(vi, ya) priyam sa utpraseti   utprAsaH samanAk smitam /
        Locanā:	LocanA:
        (lo, i) priyaṃ dahedityasya ruditaiḥ paruṣoktibhirityābhyāṃ	(lo, i) priyam dahet iti asya ruditEH paruzoktiBiH iti AByAm
   sambandhaḥ /	sambanDaH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   tatra madhyā dhīrā yathā  	tatra maDyA DIrAH yaTA  
   "tadavitathamavādīryanmama tvaṃ priyeti priyajanaparibhuktaṃ yaddukūlaṃ	"tad avitaTam avAdIryat mama tvam priyA iti priya jana pariBuktam yat dukUlam
   dadhānaḥ /	daDAnaH /
   madadhivasatimāgāḥ kāmināṃ maṇḍanaśrīr  vrajati hi saphalatvaṃ	mad aDivasatimAgAH kAminAm maNxana SrIr vrajati hi saPala tvam
   vallabhālokanena" //	vallaBa Alokanena" //
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, ra) tadavitathamityādi  tvaṃ mama priyeti yadavādīstadavitathaṃ	(vi, ra) tat avitaTam ityAdi  tvam mama priyA iti yat avAdIH tat avitaTam
   satyam /	satyam /
        yad yasmāt priyajanena upanāyikayā sapatnyā vā paribhuktaṃ dukūlaṃ	yat yasmAt priya janena upanAyikayA sapatnyA vA pariBuktam dukUlam
   vastraṃ vasānaḥ dadhānaḥ san madadhivasatiṃ mama gṛhamāgāḥ āgato 'si /	vastram vasAnaH daDAnaH san mad aDivasatim mama gRhamAgAH AgataH asi /
        nanu etāvatā kathaṃ priyetyukteḥ satyatvamityata āha  kāmināmiti /	nanu etAvatA kaTam priyA iti ukteH satya tvam iti atas Aha   kAminAm iti /
        vallabhāyā ālokanenetyarthaḥ /	vallaBAyAH Alokanena iti arTaH /
        priyajanaparibhuktavastradhāraṇamevātra maṇḍanaśrīḥ saphalatvaṃ	priya jana pariBukta vastra DAraNam eva atra maNxana SrIH saPala tvam
   vrajati /	vrajati /
        seyaṃ sotprasavakroktiḥ /	sA iyam sa utprasava kroktiH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   madhyaiva dhīrādhīrā yathā  	maDyA eva DIra aDIrAH yaTA  
   "bāle ! nātha ! vimuñca mānini ! ruṣaṃ, roṣānmayā kiṃ kṛtaṃ, khedo 'smāsu,	"bAle ! nATa ! vimuQca mAnini ! ruzaM, rozAt mayA kim kRtaM, KedaH asmAsu,
   na me 'parādhyati bhavān sarve 'parādhā mayi /	na me aparADyati BavAn sarve aparADAH mayi /
   tatkiṃ rodiṣi gadradena vacasā, kasyāgrato rudyate, nanvetanmama, kā	tat kim rodizi gadradena vacasA, kasya agratas rudyate, nanu etat mama, kA
   tavāsmi, dayitā, nāsmītyato rudyate" //	tava asmi, dayitA, na asmi iti atas rudyate" //
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, la) bāle iti   kāmukasya māninyāśca ime uktipratyuktī na me	(vi, la) bAle iti    kAmukasya mAninyAH ca ime ukti pratyuktI na me
   'parādhyatītyādi mametyantaṃ nāyikayā uktiḥ, nanvetanme ityatrāpi agrata	aparADyati ityAdi mama iti antam nAyikayA uktiH, nanu etat me iti atra api agrata
   ityasyāpyanuṣaṅgaḥ /	iti asya api anuzaFgaH /
        dayitā patnī /	dayitA patnI /
        nāyikoktau dayitāviṣayaḥ /	nAyikA uktO dayitA vizayaH /
        Locanā:	LocanA:
        (lo, ī) bāle ajñe /	(lo, I) bAle ajQe /
        dhīramadhyāyā vakroktyā priyatāpanam dhīrādhīrāyāstu	DIra maDyAyAH vakra uktyA priya tApanam DIrA DIrAya aH tu
   sopahāsavacaneneti bhāvaḥ /	sa upahAsa vacanena iti BAvaH /
        sarvatra madhyāpragalbhayoḥ samanantarokteṣu bhedeṣu /	sarvatra maDyA pragalBayoH samanantara uktezu Bedezu /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   iyamevādhīrā yathā  	iyam eva aDIrAH yaTA  
   "sārdhaṃ manorathaśataistava dhūrta ! kāntā saiva sthitā manasi	"sArDam manoraTa SatEH tava DUrtaH ! kAntA sA eva sTitA manasi
   kṛtrimahāvaramyā /	kRtri ma hAva ramyAH /
   asmākamasti nahiṃ kaścidihāvakāśa  rastasmātkṛtaṃ caraṇaṇataviḍambanābhiḥ"	asmAkam asti nahim kaScid iha avakASa raH tasmAt kRtam caraNaNata vixambanABiH"
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, va) iyameveti madhyaiva ityarthaḥ /	(vi, va) iyam eva iti maDya eva iti arTaH /
        sārddhaṃ manoratheti  caraṇapatitaṃ kāmukaṃ prati māninyā	sArdDam manoraTa iti  caraNa patitam kAmukam prati mAninyA
   adhīramadhyamāyā uktiriyam /	aDIra maDyamAyAH uktiH iyam /
        dhūrteti kāntasambodhanam /	DUrtA iti kAnta samboDanam /
        saiva upanāyikaiva kṛtrimabhāvaḥ parastrītvena mithyānurāgaḥ /	sA eva upanAyikA eva kRtrima BAvaH para strI tvena miTyA anurAgaH /
        iha manasi /	iha manasi /
        kṛtaṃ vyartham, kṛtaṃśabdayoge svārthe tṛtīyā /	kRtam vyarTam, kRtaMSabda yoge sva arTe tRtIyA /
        viḍambanābhiḥ pratāraṇābhiḥ ityarthaḥ /	vixambanABiH pratAraNABiH iti arTaH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   pragalbhā yadi dhīrā syācchannakopākṛtistadā // VisSd_3.62 //	pragalBA yadi DIrA syAt Canna kopa AkRtiH tadA // VisSd _3.62 //
   udāste surate tatra darśayantyādarān bahiḥ /	udAste surate tatra darSayanti AdarAn bahis /
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, śa) tatretyasya vyākhyā darśayantyādaramiti /	(vi, Sa) tatra iti asya vyAKyAH darSayanti Adaram iti /
        bahirādaraṃ darśayantītyarthaḥ /	bahis Adaram darSayanti iti arTaH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   tatra priye /	tatra priye /
   yathā  	yaTA  
   "ekatrāsanasaṃsthitiḥ parihṛtā pratyudramāddūrata  stāmbūlānayanacchalena	"eka tra Asana saMsTitiH parihRtA pratyudramAt dUrata stAmbUla Anayana= Calena
   rabhasāśleṣo 'pi saṃvighnitaḥ /	raBasa ASlezaH api saMviGnitaH /
   ālāpo 'pi na miśritaḥ parijanaṃ vyāpārayantyāntike kāntaṃ	AlApaH api na miSritaH parijanam vyApArayantyA antike kAntam
