   BhP_04.01.001/0 maitreya uvāca	Bhu-_04.01.001/0 mEtreyaH uvAca
   BhP_04.07.022/2 praṇemuḥ sahasotthāya brahmendra-tryakṣa-nāyakāḥ	BhP_04.07.022/2 praNemuH sahasA-utTAya brahma-indra--tri-akza-nAyakAH
   BhP_04.07.023/1 tat-tejasā hata-rucaḥ sanna-jihvāḥ sa-sādhvasāḥ	Bhu-_04.07.023/1 tat--tejasA hata-rucaH sanna-jihvAH sa--sADvasAH
   BhP_04.07.023/2 mūrdhnā dhṛtāñjali-puṭā upatasthur adhokṣajam	Bhu-_04.07.023/2 mUrDnA DRta-aQjali--puwAH upatasTuH aDokzajam
   BhP_04.07.024/1 apy arvāg-vṛttayo yasya mahi tv ātmabhuv-ādayaḥ	Bhu-_04.07.024/1 api arvAk---vRttayaH yasya mahi tu AtmaBuv-a-AdayaH
   BhP_04.07.024/2 yathā-mati gṛṇanti sma kṛtānugraha-vigraham	Bhu-_04.07.024/2 yaTA-a-mati gRNanti sma kRta-anugraha--vigraham
   BhP_04.07.025/1 dakṣo gṛhītārhaṇa-sādanottamaṃ	Bhu-_04.07.025/1 dakzaH gRhIta-arhaNa--sAdana-uttamam
   BhP_04.07.025/2 yajñeśvaraṃ viśva-sṛjāṃ paraṃ gurum	Bhu-_04.07.025/2 yajQeSvaram viSva-sRjAm param gurum
   BhP_04.07.025/3 sunanda-nandādy-anugair vṛtaṃ mudā	Bhu-_04.07.025/3 sunanda-nanda-Adi--anugEH vRtam mudA
   BhP_04.07.025/4 gṛṇan prapede prayataḥ kṛtāñjaliḥ	Bhu-_04.07.025/4 gRNan prapede prayataH kRtAQjaliH
   BhP_04.07.026/0 dakṣa uvāca	BhP_04.07.026/0 dakzaH uvAca
   BhP_04.07.026/1 śuddhaṃ sva-dhāmny uparatākhila-buddhy-avasthaṃ	Bhu-_04.07.026/1 SudDam sva--DAmni uparata-aKila--budDi--avasTam
   BhP_04.07.026/2 cin-mātram ekam abhayaṃ pratiṣidhya māyām	Bhu-_04.07.026/2 cin--mAtram ekam aBayam pratiziDya mAyAm
   BhP_04.07.026/3 tiṣṭhaṃs tayaiva puruṣatvam upetya tasyām	Bhu-_04.07.026/3 tizWan tayA-eva puruza-tvam upetya tasyAm
   BhP_04.07.026/4 āste bhavān apariśuddha ivātma-tantraḥ	Bhu-_04.07.026/4 Aste BavAn apariSudDaH iva-Atma-tantraH
   BhP_04.07.027/0 ṛtvija ūcuḥ	Bhu-_04.07.027/0 RtvijaH UcuH
   BhP_04.07.027/1 tattvaṃ na te vayam anañjana rudra-śāpāt	Bhu-_04.07.027/1 tattvam na te vayam anaQjana rudra--SApAt-
   BhP_04.07.027/2 karmaṇy avagraha-dhiyo bhagavan vidāmaḥ	BhP_04.07.027/2 karmaNi avagraha-DiyaH Bagavan vidAmaH
   BhP_04.07.027/3 dharmopalakṣaṇam idaṃ trivṛd adhvarākhyaṃ	Bhu-_04.07.027/3 Darma-upalakzaNam idam trivRt aDvara-AKyam
   BhP_04.07.027/4 jñātaṃ yad-artham adhidaivam ado vyavasthāḥ	Bhu-_04.07.027/4 jQAtam yat--arTam aDidEvam adaH vyavasTAH
   BhP_04.07.028/0 sadasyā ūcuḥ	Bhu-_04.07.028/0 sadasyAH UcuH
   BhP_04.07.028/1 utpatty-adhvany aśaraṇa uru-kleśa-durge 'ntakogra-	Bhu-_04.07.028/1 utpatti--aDvani aSaraNaH uru--kleSa--durge antaka-ugra--
   BhP_04.07.028/2 vyālānviṣṭe viṣaya-mṛga-tṛṣy ātma-gehoru-bhāraḥ	Bhu-_04.07.028/2 vyAla-anvizwe vizaya--mRga-tRzi Atma-geha-Uru-BAraH
   BhP_04.07.028/3 dvandva-śvabhre khala-mṛga-bhaye śoka-dāve 'jña-sārthaḥ	Bhu-_04.07.028/3 dvandva-SvaBre Kala--mRga--Baye Soka--dAve ajQa--sArTaH
   BhP_04.07.028/4 pādaukas te śaraṇada kadā yāti kāmopasṛṣṭaḥ	Bhu-_04.07.028/4 pAdOkaH te SaraNa-da kadA yAti kAma-upasRzwaH
   BhP_04.07.029/0 rudra uvāca	BhP_04.07.029/0 rudraH uvAca
   BhP_04.07.029/1 tava varada varāṅghrāv āśiṣehākhilārthe	Bhu-_04.07.029/1 tava vara-da vara-aFGrO ASizeha-aKila-arTe
   BhP_04.07.029/2 hy api munibhir asaktair ādareṇārhaṇīye	Bhu-_04.07.029/2 hi api muniBiH asaktEH AdareNa-arhaNIye
   BhP_04.07.029/3 yadi racita-dhiyaṃ māvidya-loko 'paviddhaṃ	Bhu-_04.07.029/3 yadi racita--Diyam mA-avidya--lokaH apavidDam
   BhP_04.07.029/4 japati na gaṇaye tat tvat-parānugraheṇa	Bhu-_04.07.029/4 japati na gaNaye tat tvat--para-anugraheNa
   BhP_04.07.030/0 bhṛgur uvāca	BhP_04.07.030/0 BRguH uvAca
   BhP_04.07.030/1 yan māyayā gahanayāpahṛtātma-bodhā	BhP_04.07.030/1 yat mAyayA gahanayA-apahRta-Atma-boDA
   BhP_04.07.030/2 brahmādayas tanu-bhṛtas tamasi svapantaḥ	Bhu-_04.07.030/2 brahma-AdayaH tanu-BRtaH tamasi svapantaH
   BhP_04.07.030/3 nātman-śritaṃ tava vidanty adhunāpi tattvaṃ	Bhu-_04.07.030/3 na-Atman--Sritam tava vidanti aDunA-api tattvam
   BhP_04.07.030/4 so 'yaṃ prasīdatu bhavān praṇatātma-bandhuḥ	Bhu-_04.07.030/4 saH ayam prasIdatu BavAn praNata-Atma-banDuH
   BhP_04.07.031/0 brahmovāca	Bhu-_04.07.031/0 brahmA-uvAca
   BhP_04.07.031/1 naitat svarūpaṃ bhavato 'sau padārtha- bheda-grahaiḥ	Bhu-_04.07.031/1 na-etat svarUpam BavataH asO padArTa Beda-grahEH
   puruṣo yāvad īkṣet	puruzaH yAvat Ikzet-
   BhP_04.07.031/2 jñānasya cārthasya guṇasya cāśrayo māyāmayād vyatirikto	Bhu-_04.07.031/2 jQAnasya ca-arTasya guNasya ca-ASrayaH mAyA-mayAt vyatiriktaH-
   matas tvam	mataH tvam
   BhP_04.07.032/0 indra uvāca	Bhu-_04.07.032/0 indraH uvAca
   BhP_04.07.032/1 idam apy acyuta viśva-bhāvanaṃ vapur ānanda-karaṃ	Bhu-_04.07.032/1 idam api acyuta viSva-BAvanam vapuH Ananda-karam
   mano-dṛśām	mano--dRSAm
   BhP_04.07.032/2 sura-vidviṭ-kṣapaṇair udāyudhair bhuja-daṇḍair upapannam	BhP-_04.07.032/2 sura--vid-viw--kzapaNEH udAyuDEH Buja--daNxEH upapannam
   aṣṭabhiḥ	azwaBiH
   BhP_04.07.033/0 patnya ūcuḥ	Bhu-_04.07.033/0 patnyaH UcuH
   BhP_04.07.033/1 yajño 'yaṃ tava yajanāya kena sṛṣṭo vidhvastaḥ	Bhu-_04.07.033/1 yajQaH ayam tava yajanAya kena sRzwaH viDvastaH
   paśupatinādya dakṣa-kopāt	paSupatinA-adya dakza-kopAt-
   BhP_04.07.033/2 taṃ nas tvaṃ śava-śayanābha-śānta-medhaṃ yajñātman	Bhu-_04.07.033/2 tam naH tvam Sava--Sayana-ABa-SAnta--meDam yajQa-Atman
   nalina-rucā dṛśā punīhi	nalina--rucA dRSA punIhi
   BhP_04.07.034/0 ṛṣaya ūcuḥ	Bhu-_04.07.034/0 RzayaH UcuH
   BhP_04.07.034/1 ananvitaṃ te bhagavan viceṣṭitaṃ yad ātmanā carasi hi	Bhu-_04.07.034/1 ananvitam te Bagavan vicezwitam yat AtmanA carasi hi
   karma nājyase	karma na-ajyase
   BhP_04.07.034/2 vibhūtaye yata upasedur īśvarīṃ na manyate svayam	Bhu-_04.07.034/2 viBUtaye yatas upaseduH ISvarIm na manyate svayam
   anuvartatīṃ bhavān	anuvartatIm BavAn
   BhP_04.07.035/0 siddhā ūcuḥ	Bhu-_04.07.035/0 sidDAH UcuH
   BhP_04.07.035/1 ayaṃ tvat-kathā-mṛṣṭa-pīyūṣa-nadyāṃ mano-vāraṇaḥ	Bhu-_04.07.035/1 ayam tu-at--kaTA-mRzwa--pIyUza--nadyAm mano-vAraNaH
   kleśa-dāvāgni-dagdhaḥ	kleSa-dAva-agni-dagDaH
   BhP_04.07.035/2 tṛṣārto 'vagāḍho na sasmāra dāvaṃ na niṣkrāmati	Bhu-_04.07.035/2 tRzA-ArtaH avagAXaH na sasmAra dAvam na nizkrAmati
   brahma-sampannavan naḥ	brahma--sampanna-vat naH
   BhP_04.07.036/0 yajamāny uvāca	Bhu-_04.07.036/0 yajamAnI uvAca
   BhP_04.07.036/1 svāgataṃ te prasīdeśa tubhyaṃ namaḥ śrīnivāsa śriyā	Bhu-_04.07.036/1 svAgatam te prasIda-ISa tuByam namaH SrInivAsa SriyA
   kāntayā trāhi naḥ	kAntayA trAhi naH
   BhP_04.07.036/2 tvām ṛte 'dhīśa nāṅgair makhaḥ śobhate śīrṣa-hīnaḥ	Bhu-_04.07.036/2 tvAm Rte aDISa na-aFgEH maKaH SoBate SIrza--hInaH
   ka-bandho yathā puruṣaḥ	ka-banDaH yaTA puruzaH
   BhP_04.07.037/0 lokapālā ūcuḥ	Bhu-_04.07.037/0 lokapAlAH UcuH
   BhP_04.07.037/1 dṛṣṭaḥ kiṃ no dṛgbhir asad-grahais tvaṃ pratyag-draṣṭā	Bhu-_04.07.037/1 dRzwaH kim naH dRgBiH asat--grahEH tvam pratyag-drazwA
   dṛśyate yena viśvam	dRSyate yena viSvam
   BhP_04.07.037/2 māyā hy eṣā bhavadīyā hi bhūman yas tvaṃ ṣaṣṭhaḥ pañcabhir	Bhu-_04.07.037/2 mAyA hi ezA BavadIyAH hi BUman yaH tvam zazWaH paQcaBiH-
   bhāsi bhūtaiḥ	BAsi BUtEH
   BhP_04.07.038/0 yogeśvarā ūcuḥ	Bhu-_04.07.038/0 yoga-ISvarAH UcuH
   BhP_04.07.038/1 preyān na te 'nyo 'sty amutas tvayi prabho viśvātmanīkṣen	Bhu-_04.07.038/1 preyAt na te anyaH asti amutas tvayi praBo viSvAtmani-Ikzen
   na pṛthag ya ātmanaḥ	na pRTak yaH AtmanaH
   BhP_04.07.038/2 athāpi bhaktyeśa tayopadhāvatām ananya-vṛttyānugṛhāṇa	Bhu-_04.07.038/2 aTa-api BaktyA-ISa tayA-upaDAvatAm ananya-vRttyA-anugRhANa
   vatsala	vatsala
   BhP_04.07.039/1 jagad-udbhava-sthiti-layeṣu daivato	Bhu-_04.07.039/1 jagat--udBava--sTiti--layezu dEvataH-
   bahu-bhidyamāna-guṇayātma-māyayā	bahu-BidyamAna--guNayA-Atma--mAyayA
   BhP_04.07.039/2 racitātma-bheda-mataye sva-saṃsthayā	Bhu-_04.07.039/2 racita-Atma--Beda-mataye sva--saMsTayA
   vinivartita-bhrama-guṇātmane namaḥ	vinivartita--Brama--guNa-Atmane namaH
   BhP_04.07.040/0 brahmovāca	Bhu-_04.07.040/0 brahmA-uvAca
   BhP_04.07.040/1 namas te śrita-sattvāya dharmādīnāṃ ca sūtaye	Bhu-_04.07.040/1 namaH te Srita--sattvAya Darma-AdInAm ca sUtaye
   BhP_04.07.040/2 nirguṇāya ca yat-kāṣṭhāṃ nāhaṃ vedāpare 'pi ca	BhP_04.07.040/2 nirguNAya ca yat--kAzWAm na-aham veda-apare api ca
   BhP_04.07.041/0 agnir uvāca	BhP_04.07.041/0 agniH uvAca
   BhP_04.07.041/1 yat-tejasāhaṃ susamiddha-tejā havyaṃ vahe svadhvara	Bhu-_04.07.041/1 yat--tejasA-aham su-samidDa--tejAH havyam vahe su-aDvara
   ājya-siktam	Ajya--siktam
   BhP_04.07.041/2 taṃ yajñiyaṃ pañca-vidhaṃ ca pañcabhiḥ sviṣṭaṃ yajurbhiḥ	Bhu-_04.07.041/2 tam yajQiyam paQca-viDam ca paQcaBiH su-izwam yajurBiH
   praṇato 'smi yajñam	praNataH asmi yajQam
   BhP_04.07.042/0 devā ūcuḥ	Bhu-_04.07.042/0 devAH UcuH
   BhP_04.07.042/1 purā kalpāpāye sva-kṛtam udarī-kṛtya vikṛtaṃ	BhP_04.07.042/1 purA kalpa-apAye sva-kRtam udarI-kRtya vikRtam
   BhP_04.07.042/2 tvam evādyas tasmin salila uragendrādhiśayane	Bhu-_04.07.042/2 tvam eva-AdyaH tasmin salilaH uraga-indra-aDiSayane
   BhP_04.07.042/3 pumān śeṣe siddhair hṛdi vimṛśitādhyātma-padaviḥ	Bhu-_04.07.042/3 pumAn Seze sidDEH hRdi vimRSita-aDyAtma--padaviH
   BhP_04.07.042/4 sa evādyākṣṇor yaḥ pathi carasi bhṛtyān avasi naḥ	Bhu-_04.07.042/4 saH eva-adya-akzNoH yaH paTi carasi BRtyAn avasi naH
   BhP_04.07.043/0 gandharvā ūcuḥ	Bhu-_04.07.043/0 ganDarvAH UcuH
   BhP_04.07.043/1 aṃśāṃśās te deva marīcy-ādaya ete brahmendrādyā deva-gaṇā	Bhu-_04.07.043/1 aMSa-aMSAH te deva marIci--AdayaH ete brahma-indra-AdyAH deva--gaNA
   rudra-purogāḥ	rudra--purogAH
   BhP_04.07.043/2 krīḍā-bhāṇḍaṃ viśvam idaṃ yasya vibhūman tasmai nityaṃ	Bhu-_04.07.043/2 krIxA-BANxam viSvam idam yasya viBUman tasmE nityam
   nātha namas te karavāma	nATa namaH te karavAma
   BhP_04.07.044/0 vidyādharā ūcuḥ	Bhu-_04.07.044/0 vidyADarAH UcuH
   BhP_04.07.044/1 tvan-māyayārtham abhipadya kalevare 'smin	Bhu-_04.07.044/1 tu-an-mAyayA-arTam aBipadya kalevare asmin
   BhP_04.07.044/2 kṛtvā mamāham iti durmatir utpathaiḥ svaiḥ	Bhu-_04.07.044/2 kRtvA mama-aham iti durmatiH utpaTEH svEH
   BhP_04.07.044/3 kṣipto 'py asad-viṣaya-lālasa ātma-mohaṃ	Bhu-_04.07.044/3 kziptaH api asat--vizaya--lAlasaH Atma-moham
   BhP_04.07.044/4 yuṣmat-kathāmṛta-niṣevaka udvyudasyet	Bhu-_04.07.044/4 yuzmat--kaTA-amRta-nizevakaH udvyudasyet-
   BhP_04.07.045/0 brāhmaṇā ūcuḥ	Bhu-_04.07.045/0 brAhmaNAH UcuH
   BhP_04.07.045/1 tvaṃ kratus tvaṃ havis tvaṃ hutāśaḥ svayaṃ tvaṃ hi mantraḥ	Bhu-_04.07.045/1 tvam kratuH tvam haviH tvam hutASaH svayam tvam hi mantraH
   samid-darbha-pātrāṇi ca	samiD--darBa--pAtrANi ca
   BhP_04.07.045/2 tvaṃ sadasyartvijo dampatī devatā agnihotraṃ svadhā soma	Bhu-_04.07.045/2 tvam sadasya-RtvijaH dampatI devatAH agnihotram svaDA soma
   ājyaṃ paśuḥ	Ajyam paSuH
   BhP_04.07.046/1 tvaṃ purā gāṃ rasāyā mahā-sūkaro daṃṣṭrayā padminīṃ	Bhu-_04.07.046/1 tvam purA gAm rasAyAH mahA--sUkaraH daMzwrayA padminIm
   vāraṇendro yathā	vAraNa-indraH yaTA
   BhP_04.07.046/2 stūyamāno nadal līlayā yogibhir vyujjahartha trayī-gātra	Bhu-_04.07.046/2 stUyamAnaH nadat lIlayA yogiBiH vyujjaharTa trayI--gAtra
   yajña-kratuḥ	yajQa-kratuH
   BhP_04.07.047/1 sa prasīda tvam asmākam ākāṅkṣatāṃ darśanaṃ te	Bhu-_04.07.047/1 sa prasIda tvam asmAkam AkAFkzatAm darSanam te
   paribhraṣṭa-sat-karmaṇām	pariBrazwa---sat-karmaNAm
   BhP_04.07.047/2 kīrtyamāne nṛbhir nāmni yajñeśa te yajña-vighnāḥ kṣayaṃ	Bhu-_04.07.047/2 kIrtyamAne nRBiH nAmni yajQeSa te yajQa-viGnAH kzayam
   yānti tasmai namaḥ	yAnti tasmE namaH
   BhP_04.07.048/0 maitreya uvāca	Bhu-_04.07.048/0 mEtreyaH uvAca
   BhP_04.07.048/1 iti dakṣaḥ kavir yajñaṃ bhadra rudrābhimarśitam	BhP_04.07.048/1 iti dakzaH kaviH yajQam Badra rudra-aBimarSitam
   BhP_04.07.048/2 kīrtyamāne hṛṣīkeśe sanninye yajña-bhāvane	Bhu-_04.07.048/2 kIrtyamAne hRzIkeSe sanninye yajQa--BAvane
   BhP_04.07.049/1 bhagavān svena bhāgena sarvātmā sarva-bhāga-bhuk	Bhu-_04.07.049/1 BagavAn svena BAgena sarva-AtmA sarva-BAga-Buj-
   BhP_04.07.049/2 dakṣaṃ babhāṣa ābhāṣya prīyamāṇa ivānagha	Bhu-_04.07.049/2 dakzam baBAzaH ABAzya prIyamANaH iva-anaGa
   BhP_04.07.050/0 śrī-bhagavān uvāca	Bhu-_04.07.050/0 SrI--BagavAn uvAca
   BhP_04.07.050/1 ahaṃ brahmā ca śarvaś ca jagataḥ kāraṇaṃ param	Bhu-_04.07.050/1 aham brahmA ca SarvaH ca jagataH kAraNam param
   BhP_04.07.050/2 ātmeśvara upadraṣṭā svayan-dṛg aviśeṣaṇaḥ	Bhu-_04.07.050/2 Atma-ISvaraH upadrazwA svayan-dRS aviSezaNaH
   BhP_04.07.051/1 ātma-māyāṃ samāviśya so 'haṃ guṇamayīṃ dvija	Bhu-_04.07.051/1 Atma--mAyAm samAviSya saH aham guNa-mayIm dvija
   BhP_04.07.051/2 sṛjan rakṣan haran viśvaṃ dadhre saṃjñāṃ kriyocitām	BhP-_04.07.051/2 sRjan rakzan haran viSvam daDre saMjQAm kriyA-ucitAm
   BhP_04.07.052/1 tasmin brahmaṇy advitīye kevale paramātmani	Bhu-_04.07.052/1 tasmin brahmaNi advitIye kevale paramAtmani
   BhP_04.07.052/2 brahma-rudrau ca bhūtāni bhedenājño 'nupaśyati	Bhu-_04.07.052/2 brahma-rudrO ca BUtAni Bedena-ajQaH anupaSyati
   BhP_04.07.053/1 yathā pumān na svāṅgeṣu śiraḥ-pāṇy-ādiṣu kvacit	Bhu-_04.07.053/1 yaTA pumAn na sva-aFgezu SiraH-pANi--Adizu kvacid-
   BhP_04.07.053/2 pārakya-buddhiṃ kurute evaṃ bhūteṣu mat-paraḥ	Bhu-_04.07.053/2 pArakya-budDim kurute evam BUtezu mat--paraH
   BhP_04.07.054/1 trayāṇām eka-bhāvānāṃ yo na paśyati vai bhidām	Bhu-_04.07.054/1 trayANAm eka-BAvAnAm yaH na paSyati vE BidAm
   BhP_04.07.054/2 sarva-bhūtātmanāṃ brahman sa śāntim adhigacchati	Bhu-_04.07.054/2 sarva-BUta-AtmanAm brahman sa SAntim aDigacCati
   BhP_04.07.055/0 maitreya uvāca	Bhu-_04.07.055/0 mEtreyaH uvAca
   BhP_04.07.055/1 evaṃ bhagavatādiṣṭaḥ prajāpati-patir harim	Bhu-_04.07.055/1 evam BagavatA-AdizwaH prajApati--patiH harim
   BhP_04.07.055/2 arcitvā kratunā svena devān ubhayato 'yajat	Bhu-_04.07.055/2 arcitvA kratunA svena devAn uBayatas ayajat-
   BhP_04.07.056/1 rudraṃ ca svena bhāgena hy upādhāvat samāhitaḥ	Bhu-_04.07.056/1 rudram ca svena BAgena hi upADAvat samAhitaH
   BhP_04.07.056/2 karmaṇodavasānena somapān itarān api	Bhu-_04.07.056/2 karmaNA-udavasAnena somapAn itarAn api
   BhP_04.07.056/3 udavasya sahartvigbhiḥ sasnāv avabhṛthaṃ tataḥ	Bhu-_04.07.056/3 udavasya saha-RtvigBiH sasnO avaBRTam tatas-
   BhP_04.07.057/1 tasmā apy anubhāvena svenaivāvāpta-rādhase	Bhu-_04.07.057/1 tasmE api anuBAvena svena-eva-avApta--rADase
   BhP_04.07.057/2 dharma eva matiṃ dattvā tridaśās te divaṃ yayuḥ	Bhu-_04.07.057/2 DarmaH eva matim dattvA tridaSAH te divam yayuH
   BhP_04.07.058/1 evaṃ dākṣāyaṇī hitvā satī pūrva-kalevaram	Bhu-_04.07.058/1 evam dAkzAyaNI hitvA satI pUrva-kalevaram
   BhP_04.07.058/2 jajñe himavataḥ kṣetre menāyām iti śuśruma	Bhu-_04.07.058/2 jajQe himavataH kzetre menAyAm iti SuSruma
   BhP_04.07.059/1 tam eva dayitaṃ bhūya āvṛṅkte patim ambikā	Bhu-_04.07.059/1 tam eva dayitam BUyas AvRFkte patim ambikA
   BhP_04.07.059/2 ananya-bhāvaika-gatiṃ śaktiḥ supteva pūruṣam	Bhu-_04.07.059/2 ananya-BAva-eka--gatim SaktiH suptA-iva pUruzam
   BhP_04.07.060/1 etad bhagavataḥ śambhoḥ karma dakṣādhvara-druhaḥ	Bhu-_04.07.060/1 etat BagavataH SamBoH karma dakza-aDvara--druhaH
   BhP_04.07.060/2 śrutaṃ bhāgavatāc chiṣyād uddhavān me bṛhaspateḥ	Bhu-_04.07.060/2 Srutam BAgavatAt SizyAt udDavAn me bRhaspateH
   BhP_04.07.061/1 idaṃ pavitraṃ param īśa-ceṣṭitaṃ yaśasyam āyuṣyam	Bhu-_04.07.061/1 idam pavitram param ISa--cezwitam yaSasyam Ayuzyam
   aghaugha-marṣaṇam	aGa-oGa-marzaNam
   BhP_04.07.061/2 yo nityadākarṇya naro 'nukīrtayed dhunoty aghaṃ kaurava	Bhu-_04.07.061/2 yaH nityadAkarNya naraH anukIrtayet Dunoti aGam kOrava
   bhakti-bhāvataḥ	Bakti-BAvataH
   BhP_04.08.001/0 maitreya uvāca	Bhu-_04.08.001/0 mEtreyaH uvAca
   BhP_04.08.001/1 sanakādyā nāradaś ca ṛbhur haṃso 'ruṇir yatiḥ	BhP_04.08.001/1 sanaka-AdyAH nAradaH ca RBuH haMsaH aruNiH yatiH
   BhP_04.08.001/2 naite gṛhān brahma-sutā hy āvasann ūrdhva-retasaḥ	Bhu-_04.08.001/2 na-ete gRhAn brahma-sutAH hi Avasan UrDva-retasaH
   BhP_04.08.002/1 mṛṣādharmasya bhāryāsīd dambhaṃ māyāṃ ca śatru-han	Bhu-_04.08.002/1 mRzA-Darmasya BAryA-AsIt damBam mAyAm ca Satru-han
   BhP_04.08.002/2 asūta mithunaṃ tat tu nirṛtir jagṛhe 'prajaḥ	Bhu-_04.08.002/2 asUta miTunam tat tu nirRtiH jagRhe aprajaH
   BhP_04.08.003/1 tayoḥ samabhaval lobho nikṛtiś ca mahā-mate	Bhu-_04.08.003/1 tayoH samaBavat loBaH nikRtiH ca mahA-a-mate
   BhP_04.08.003/2 tābhyāṃ krodhaś ca hiṃsā ca yad duruktiḥ svasā kaliḥ	Bhu-_04.08.003/2 tAByAm kroDaH ca hiMsA ca yat duruktiH svasA kaliH
   BhP_04.08.004/1 duruktau kalir ādhatta bhayaṃ mṛtyuṃ ca sattama	Bhu-_04.08.004/1 duruktO kaliH ADatta Bayam mRtyum ca sattama
   BhP_04.08.004/2 tayoś ca mithunaṃ jajñe yātanā nirayas tathā	Bhu-_04.08.004/2 tayoH ca miTunam jajQe yAtanA nirayaH taTA
   BhP_04.08.005/1 saṅgraheṇa mayākhyātaḥ pratisargas tavānagha	BhP_04.08.005/1 saFgraheNa mayA-AKyAtaH pratisargaH tava-anaGa
   BhP_04.08.005/2 triḥ śrutvaitat pumān puṇyaṃ vidhunoty ātmano malam	Bhu-_04.08.005/2 tris SrutvA-etat pumAn puNyam viDunoti AtmanaH malam
   BhP_04.08.006/1 athātaḥ kīrtaye vaṃśaṃ puṇya-kīrteḥ kurūdvaha	Bhu-_04.08.006/1 aTa-atas kIrtaye vaMSam puNya-kIrteH kuru-udvaha
   BhP_04.08.006/2 svāyambhuvasyāpi manor harer aṃśāṃśa-janmanaḥ	Bhu-_04.08.006/2 svAyamBuvasya-api manoH hareH aMSa-aMSa--janmanaH
   BhP_04.08.007/1 priyavratottānapādau śatarūpā-pateḥ sutau	Bhu-_04.08.007/1 priyavrata-uttAnapAdO SatarUpA--pateH sutO
   BhP_04.08.007/2 vāsudevasya kalayā rakṣāyāṃ jagataḥ sthitau	Bhu-_04.08.007/2 vAsudevasya kalayA rakzAyAm jagataH sTitO
   BhP_04.08.008/1 jāye uttānapādasya sunītiḥ surucis tayoḥ	Bhu-_04.08.008/1 jAye uttAnapAdasya sunItiH suruciH tayoH
   BhP_04.08.008/2 suruciḥ preyasī patyur netarā yat-suto dhruvaḥ	BhP_04.08.008/2 suruciH preyasI patyuH na-itarAH yat--sutaH DruvaH
   BhP_04.08.009/1 ekadā suruceḥ putram aṅkam āropya lālayan	Bhu-_04.08.009/1 ekadA suruceH putram aFkam Aropya lAlayan
   BhP_04.08.009/2 uttamaṃ nārurukṣantaṃ dhruvaṃ rājābhyanandata	Bhu-_04.08.009/2 uttamam na-Arurukzantam Druvam rAjA-aByanandata
   BhP_04.08.010/1 tathā cikīrṣamāṇaṃ taṃ sapatnyās tanayaṃ dhruvam	Bhu-_04.08.010/1 taTA cikIrzamANam tam sapatnyAH tanayam Druvam
   BhP_04.08.010/2 suruciḥ śṛṇvato rājñaḥ serṣyam āhātigarvitā	BhP_04.08.010/2 suruciH SRNvataH rAjQaH sa-Irzyam Aha-ati-garvitA
   BhP_04.08.011/1 na vatsa nṛpater dhiṣṇyaṃ bhavān āroḍhum arhati	Bhu-_04.08.011/1 na vatsa nRpateH DizNyam BavAn AroXum arhati
   BhP_04.08.011/2 na gṛhīto mayā yat tvaṃ kukṣāv api nṛpātmajaḥ	Bhu-_04.08.011/2 na gRhItaH mayA yat tvam kukzO api nRpa-AtmajaH
   BhP_04.08.012/1 bālo 'si bata nātmānam anya-strī-garbha-sambhṛtam	Bhu-_04.08.012/1 bAlaH asi bata na-AtmAnam anya--strI--garBa--samBRtam
   BhP_04.08.012/2 nūnaṃ veda bhavān yasya durlabhe 'rthe manorathaḥ	Bhu-_04.08.012/2 nUnam veda BavAn yasya durlaBe arTe manoraTaH
   BhP_04.08.013/1 tapasārādhya puruṣaṃ tasyaivānugraheṇa me	Bhu-_04.08.013/1 tapasA-ArADya puruzam tasya-eva-anugraheNa me
   BhP_04.08.013/2 garbhe tvaṃ sādhayātmānaṃ yadīcchasi nṛpāsanam	Bhu-_04.08.013/2 garBe tvam sADaya-AtmAnam yadi-icCasi nRpa-Asanam
   BhP_04.08.014/0 maitreya uvāca	Bhu-_04.08.014/0 mEtreyaH uvAca
   BhP_04.08.014/1 mātuḥ sapatnyāḥ sa durukti-viddhaḥ śvasan ruṣā daṇḍa-hato	Bhu-_04.08.014/1 mAtuH sapatnyAH sa durukti-vidDaH Svasan ruzA daNxa-hataH-
   yathāhiḥ	yaTA-ahiH
   BhP_04.08.014/2 hitvā miṣantaṃ pitaraṃ sanna-vācaṃ jagāma mātuḥ prarudan	Bhu-_04.08.014/2 hitvA mizantam pitaram sanna-vAcam jagAma mAtuH prarudan
   sakāśam	sakASam
   BhP_04.08.015/1 taṃ niḥśvasantaṃ sphuritādharoṣṭhaṃ sunītir utsaṅga udūhya	Bhu-_04.08.015/1 tam niHSvasantam sPurita-aDara-uzWam sunItiH utsaFge udUhya
   bālam	bAlam
   BhP_04.08.015/2 niśamya tat-paura-mukhān nitāntaṃ sā vivyathe yad gaditaṃ	Bhu-_04.08.015/2 niSamya tat-pOra--muKAn nitAntam sA vivyaTe yat gaditam
   sapatnyā	sapatnyA
   BhP_04.08.016/1 sotsṛjya dhairyaṃ vilalāpa śoka- dāvāgninā dāva-lateva	Bhu-_04.08.016/1 sa-utsRjya DEryam vilalApa Soka dAva-agninA dAva--latA-iva
   bālā	bAlA
   BhP_04.08.016/2 vākyaṃ sapatnyāḥ smaratī saroja- śriyā dṛśā bāṣpa-kalām	Bhu-_04.08.016/2 vAkyam sapatnyAH smaratI saroja SriyA dRSA bAzpa-kalAm
   uvāha	uvAha
