   Rudrabhaṭṭaḥ: Śṛṅgāratilakaḥ	Rudra-BawwaH: ŚRFgAratilakaH
   virasaṃ pratyanīkaṃ ca duḥsandhānarasaṃ tathā /	virasam pratyanIkam ca duHsanDAna-rasam taTA /
   nīrasaṃ pātraduṣṭaṃ ca kāvyaṃ sadbhir na śasyate // ST_3.46 //	nIrasam pAtra-duzwam ca kAvyam sadBiH na Sasyate // ST_3.46 //
   vihāya jananīmṛtyu- śokaṃ mugdhe mayā saha /	vihAya jananI-mRtyu Sokam mugDe mayA saha /
   yauvanaṃ mānaya spaṣṭam ityādi virasaṃ matam // ST_3.47 //	yOvanam mAnaya spazwam ityAdi virasam matam // ST_3.47 //
   prabandhe nīyate yatra rasa eko nirantaram /	prabanDe nIyate yatra rasaH ekaH nirantaram /
   mahatīṃ vṛddhim icchanti nīrasaṃ tac ca kecana // ST_3.48 //	mahatIm vRdDim icCanti nIrasam tat ca kecana // ST_3.48 //
   nakhakṣatocchalatpūti- plutagaṇḍasthalaṃ ratau /	naKa-kzata-ucCalat-pUti pluta-gaNxa-sTalam ratO /
   pibāmi vadanaṃ tasyāḥ pratyanīkaṃ tad ucyate // ST_3.49 //	pibAmi vadanam tasyAH pratyanIkam tat ucyate // ST_3.49 //
   tām evānucitāṃ gaccha jvalitā tvatkṛte tu yā /	tAm eva-anucitAm gacCa jvalitA tvad-kRte tu yA /
   kiṃ te kṛtyaṃ mayā dhūrta duḥsandhānarasaṃ tv idam // ST_3.50 //	kim te kRtyam mayA DUrta duHsanDAna-rasam tu idam // ST_3.50 //
   durjano dayitaḥ kāmaṃ mano mlānaṃ manobhavaḥ /	durjanaH dayitaH kAmam manaH mlAnam manoBavaH /
   kṛśo viyogataptāyās tasyā ity ādi nīrasam // ST_3.51 //	kRSaH viyoga-taptAyAH tasyAH iti Adi nIrasam // ST_3.51 //
   mugdhā vyājaṃ vinā veśyā kanyeyaṃ nipuṇā ratau /	mugDA vyAjam vinA veSyA kanyA-iyam nipuNAH ratO /
   kulastrī sarvadā dhṛṣṭā pātraduṣṭaṃ tv idaṃ matam // ST_3.52 //	kula-strI sarvadA DRzwA pAtra-duzwam tu idam matam // ST_3.52 //
   anyeṣv api raseṣv ete doṣā varjyā manīṣibhiḥ /	anyezu api rasezu ete dozAH varjyAH manIziBiH /
   yat samparkān na yāty eva kāvyaṃ rasaparamparām // ST_3.53 //	yat samparkAt na yAti eva kAvyam rasa-paramparAm // ST_3.53 //
   iti mayā kathitena pathāmunā	iti mayA kaTitena paTA-amunA
   rasaviśeṣam aśeṣam upeyuṣā /	rasa-viSezam aSezam upeyuzA /
   lalitapādapadāsadalaṅkṛtiḥ	lalita-pAda-padA-sat-alaFkRtiH
   kṛtadhiyām iha vāgvanitāyate // ST_3.54 //	kRta-DiyAm iha vAc-vanitAyate // ST_3.54 //
   śṛṅgāratilako nāma grantho'yaṃ grathito mayā /	SRFgAratilakaH nAma granTaH-ayam graTitaH mayA /
   vyutpattaye niṣevantu kavayaḥ kāminaś ca ye // ST_3.55 //	vyutpattaye nizevantu kavayaH kAminaH ca ye // ST_3.55 //
   kānyā kāvyakathā kīdṛg vaidagdhī ko rasāgamaḥ /	kA-anyA kAvya-kaTA kIdRS vEdagDI kaH rasa-AgamaH /
   kiṃ goṣṭhīmaṇḍanaṃ hanta śṛṅgāratilakaṃ vinā // ST_3.56 //	kim gozWI-maNxanam hanta SRFgAra-tilakam vinA // ST_3.56 //
   tripuravadhād eva gatām ullāsam umāṃ samastadevanatām /	tripura-vaDAt eva gatAm ullAsam umAm samasta-devanatAm /
   śṛṅgāratilakavidhinā punar api rudraḥ prasādayati // ST_3.57 //	SRFgAra-tilaka-viDinA punar api rudraH prasAdayati // ST_3.57 //
   iti śrīrudrabhaṭṭaviracite śṛṅgāratilakābhidhāne kāvyarasālaṅkāre	iti SrI-rudra-Bawwa-viracite SRFgAra-tilaka-aBiDAne kAvya-rasa-alaFkAre
   hāsyādirasanirūpaṇaṃ nāma tṛtīyaḥ paricchedaḥ /	hAsyAdirasanirUpaNam nAma tRtIyaH paricCedaH /
