   // om namo buddhāya //	// om namaH budDAya //
   Saundaranandaṃ Mahākāvyam	SOndara-nandam MahAkAvyam
   pādena viśvāvasunā saroṣaṃ vajreṇa hintāla ivābhijaghne // Saund_7.39 //	pAdena viSvAvasunA sa-rozam vajreNa hintAlaH iva-aBijaGne // SOnd-_7.39 //
   nāśaṃ gatāyāṃ paramāṅganāyāṃ gaṃgājale 'naṅgaparītacetāḥ /	nASam gatAyAm parama-aFganAyAm gaMgA-jale anaFga-parIta-cetAH /
   janhuśca gaṅgāṃ nṛpatirbhujābhyāṃ rurodha maināka ivācalendraḥ //	janhuH-ca gaFgAm nRpatiH-BujAByAm ruroDa mEnAkaH iva-acala-indraH //
   Saund_7.40 //	SOnd-_7.40 //
   nṛpaśca gaṅgāvirahājjughūrṇa gaṅgāmbhasā sāla ivāttamūlaḥ /	nRpaH-ca gaFgA-virahAt-juGUrNa gaFgA-amBasA sAlaH iva-Atta-mUlaH /
   kulapradīpaḥ pratipasya sūnuḥ śrīmattanuḥ śantanurasvatantraḥ //	kula-pradIpaH pratipasya sUnuH SrImat-tanuH SantanuH-asvatantraH //
   Saund_7.41 //	SOnd-_7.41 //
   hṛtāṃ ca saunandakinānu 'śocan prāptāmivorvīṃ striyamurvaśīṃ tām /	hRtAm ca sOnandakinA-anu aSocan prAptAm-iva-urvIm striyam-urvaSIm tAm /
   sadvṛttavarmā kila somavarmā babhrāma citodbhavabhinnavarmā // Saund_7.42	sat-vRttavarmA kila somavarmA baBrAma cita-udBava-Binna-varmA // SOnd_7.42
   bhāryāṃ mṛtāṃ cānumamāra rājā bhīmaprabhāvo bhuvi bhīmakaḥ saḥ /	BAryAm mRtAm ca-anumamAra rAjA BIma-praBAvaH Buvi BImakaH saH /
   balena senāka iti prakāśaḥ senāpatirdeva ivāttasenaḥ // Saund_7.43 //	balena senAkaH iti prakASaH senApatiH-devaH iva-Atta-senaH // SOnd-_7.43 //
   svargaṃ gate bhartari śantanau ca kālīṃ jihīrṣan janamejayaḥ saḥ /	svargam gate Bartari SantanO ca kAlIm jihIrzan janamejayaH saH /
   avāpa bhīṣmāt samavetya mṛtyuṃ na tadgataṃ manmathamutsasarja //	avApa BIzmAt samavetya mRtyum na tad-gatam manmaTam-utsasarja //
   Saund_7.44 //	SOnd-_7.44 //
   śaptaśca pāṇḍurmadanena nūnaṃ strīsaṃgame mṛtyumavāpsyasīti /	SaptaH-ca pANxuH-madanena nUnam strI-saMgame mRtyum-avApsyasi-iti /
   jagāma mādrīṃ na maharṣiśāpādasevyasevī vimamarśa mṛtyum // Saund_7.45 //	jagAma mAdrIm na mahA-Rzi-SApAt-asevya-sevI vimamarSa mRtyum // SOnd-_7.45 //
   evaṃvidhā devanṛparṣisaṅghāḥ strīṇāṃ vaśaṃ kāmavaśena jagmuḥ /	evaMviDAH deva-nRpa-Rzi-saFGAH strINAm vaSam kAma-vaSena jagmuH /
   dhiyā ca sāreṇa ca durbalaḥ san priyāmapaśyan kimu viklavo 'ham //	DiyA ca sAreNa ca durbalaH san priyAm-apaSyan kimu viklavaH aham //
   Saund_7.46 //	SOnd-_7.46 //
   yāsyāmi tasmād gṛhameva bhūyaḥ kāmaṃ kariṣye vidhivat sakāmam /	yAsyAmi tasmAt gRham-eva BUyas kAmam karizye viDivat sa-kAmam /
   na hyanyacittasya calendriyasya liṅgaṃ kṣamaṃ dharmapathāccyutasya //	na hi-anya-cittasya cala-indriyasya liFgam kzamam Darma-paTAt-cyutasya //
   Saund_7.47 //	SOnd-_7.47 //
   pāṇau kapālamavadhārya vidhāya mauṇḍyaṃ mānaṃ nidhāya vikṛtaṃ paridhāya	pANO kapAlam-avaDArya viDAya mONxyam mAnam niDAya vikRtam pariDAya
   vāsaḥ /	vAsaH /
   yasyoddhavo na dhṛtirasti na śāntirasti citrapradīpa iva so 'sti ca nāsti	yasya-udDavaH na DRtiH-asti na SAntiH-asti citra-pradIpaH iva saH asti ca na-asti
   caiva // Saund_7.48 //	ca-eva // SOnd-_7.48 //
   yo niḥsṛtaśca na ca niḥsṛtakāmarāgaḥ kāṣāyamudvahati yo na ca niṣkaṣāyaḥ /	yaH niHsRtaH-ca na ca niHsRta-kAma-rAgaH kAzAyam-udvahati yaH na ca nizkazAyaH /
   pātraṃ bibharti ca guṇairna ca pātrabhūto liṅgaṃ vahannapi sa naiva gṛhī	pAtram biBarti ca guNEH-na ca pAtra-BUtaH liFgam vahan=-api sa na-eva gRhI
   na bhikṣuḥ // Saund_7.49 //	na BikzuH // SOnd-_7.49 //
   na nyāyyamanvayavataḥ parigṛhya liṅgaṃ bhūyo vimoktumiti yo 'pi hi me	na nyAyyam-anvayavataH parigRhya liFgam BUyas vimoktum-iti yaH api hi me
   vicāraḥ /	vicAraH /
   so 'pi praṇaśyati vicintya nṛpapravīrāstānye tapovanamapāsya gṛhāṇyatīyuḥ	saH api praNaSyati vicintya nRpa-pravIrAH-tAn-ye tapaH-vanam-apAsya gRhANi-atIyuH
   // Saund_7.50 //	// SOnd-_7.50 //
   śālbādhipo hi sasuto 'pi tathāmbarīṣo rāmo 'ndha eva sa ca	SAlbADipaH hi sa-sutaH api taTA-ambarIzaH rAmaH anDaH eva sa ca
   sāṃskṛtirantidevaḥ /	sAMskRti-H-antidevaH /
   cīrāṇyapāsya dadhire punaraṃśukāni chittvā jaṭāśca kuṭilā mukuṭāni babhruḥ	cIrANi-apAsya daDire punar-aMSukAni CittvA jawAH-ca kuwilAH mukuwAni baBruH
   // Saund_7.51 //	// SOnd-_7.51 //
   tasmād bhikṣārthaṃ mama gururito yāvadeva prayātas	tasmAt BikzA-arTam mama guruH-itas yAvat-eva prayAta-s
   tyaktvā kāṣāyaṃ ṛhamahamitastāvadeva prayāsye /	tyaktvA kAzAyam Rham-aham-itas-tAvat-eva prayAsye /
   pūjyaṃ liṅgaṃ hi skhalitamanaso bibhrataḥ kliṣṭabuddher	pUjyam liFgam hi sKalita-manasaH biBrataH klizwa-budDeH-
   nāmutrārthaḥ syādupahatamaternāpyayaṃ jīvalokaḥ // Saund_7.52 //	na-amutra-arTaH syAt-upahata-mateH-na-api-ayam jIva-lokaH // SOnd-_7.52 //
   saundarananda mahākāvye "nandavilāpa" nāma saptama sarga samāpta /	sOndara-nanda mahAkAvye "nanda-vilApa" nAma saptama sarga samApta /
   aṣṭamaḥ sargaḥ	azwamaH sargaH
   strīvighna	strI-viGna
   atha nandamadhīralocanaṃ gṛhayānotsukamutsukotsukam /	aTa nandam-aDIra-locanam gRha-yAna-utsukam-utsuka-utsukam /
   abhigamya śivena cakṣuṣā śramaṇaḥ kaściduvāca maitrayā // Saund_8.1 //	aBigamya Sivena cakzuzA SramaNaH kaScid-uvAca mEtrayA // SOnd-_8.1 //
   kimidaṃ mukhamaśrudurdinaṃ hṛdayasthaṃ vivṛṇoti te tamaḥ /	kim-idam muKam-aSru-durdinam hRdaya-sTam vivRNoti te tamaH /
   dhṛtimehi niyaccha vikriyāṃ na hi bāṣpaśca śamaśca śobhate // Saund_8.2 //	DRtim-ehi niyacCa vikriyAm na hi bAzpaH-ca SamaH-ca SoBate // SOnd-_8.2 //
   dvividhā samudeti vedanā niyataṃ cetasi deha eva ca /	dviviDA samudeti vedanA niyatam cetasi dehaH eva ca /
   śrutavidhyupacārakovidā dvividhā eva tayościkitsakāḥ // Saund_8.3 //	Sruta-viDi-upacAra-kovidAH dviviDAH eva tayoH-cikitsakAH // SOnd-_8.3 //
   tadiyaṃ yadi kāyikī rujā bhiṣaje tūrṇamanūnamucyatām /	tat-iyam yadi kAyikI rujA Bizaje tUrNam-anUnam-ucyatAm /
   viniguhya hi rogamāturo nacirāttīvramanarthamṛcchati // Saund_8.4 //	viniguhya hi rogam-AturaH nacirAt-tIvram-anarTam-RcCati // SOnd-_8.4 //
   atha duḥkhamidaṃ manomayaṃ vada vakṣyāmi yadatra bheṣajam /	aTa duHKam-idam manaH-mayam vada vakzyAmi yat-atra Bezajam /
   manaso hi rajastamasvino bhiṣajo 'dhyātmavidaḥ parīkṣakāḥ // Saund_8.5 //	manasaH hi rajaH-tamasvinaH BizajaH aDyAtma-vidaH parIkzakAH // SOnd-_8.5 //
   nikhilena ca satyamucyatāṃ yadi vācyaṃ mayi saumya manyase /	niKilena ca satyam-ucyatAm yadi vAcyam mayi sOmya manyase /
   gatayo vividhā hi cetasāṃ bahuguhyāni mahākulāni ca // Saund_8.6 //	gatayaH viviDAH hi cetasAm bahu-guhyAni mahA-kulAni ca // SOnd-_8.6 //
   iti tena sa coditastadā vyavasāyaṃ pravivakṣurātmanaḥ /	iti tena sa coditaH-tadA vyavasAyam pravivakzuH-AtmanaH /
   avalambya kare kareṇa taṃ praviveśānyatarad vanāntaram // Saund_8.7 //	avalambya kare kareNa tam praviveSa-anyatarat vana-antaram // SOnd-_8.7 //
   atha tatra śucau latāgṛhe kusumodgāriṇi tau niṣedatuḥ /	aTa tatra SucO latA-gRhe kusuma-udgAriNi tO nizedatuH /
   mṛdubhirmṛdumāruteritairupagūḍhāviva bālapallavaiḥ // Saund_8.8 //	mRduBiH-mRdu-mAruta-IritEH-upagUXO=-iva bAla-pallavEH // SOnd-_8.8 //
   sa jagāda tataścikīrṣitaṃ ghananiśvāsagṛhītamantarā /	sa jagAda tatas-cikIrzitam Gana-niSvAsa-gRhItam-antarA /
   śrutavāgviśadāya bhikṣave viduṣā pravrajitena durvacam // Saund_8.9 //	Sruta-vAc-viSadAya Bikzave viduzA pravrajitena durvacam // SOnd-_8.9 //
   sadṛśaṃ yadi dharmacāriṇaḥ satataṃ prāṇiṣu maitracetasaḥ /	sadRSam yadi Darma-cAriNaH satatam prANizu mEtra-cetasaH /
   adhṛtau yadiyaṃ hitaiṣitā mayi te syāt karuṇātmanaḥ sataḥ // Saund_8.10 //	aDRtO yat-iyam hita-ezitA mayi te syAt karuNA-AtmanaH sataH // SOnd-_8.10 //
   ata eva ca me viśeṣataḥ pravivakṣā kṣamavādini tvayi /	atas eva ca me viSezataH pravivakzA kzama-vAdini tvayi /
   na hi bhāvamimaṃ calātmane kathayeyaṃ bruvate 'pyasādhave // Saund_8.11 //	na hi BAvam-imam cala-Atmane kaTayeyam bruvate api-asADave // SOnd-_8.11 //
   tadidaṃ śrṛṇu me samāsato na rame dharmavidhāvṛte priyām /	tat-idam SrRNu me samAsatas na rame Darma-viDO=-Rte priyAm /
   girisānuṣu kāminīmṛte kṛtaretā iva kinnaraścaran // Saund_8.12 //	giri-sAnuzu kAminImRte kRta-retAH iva kinnaraH-caran // SOnd-_8.12 //
   vanavāsasukhāt parāṅmukhaḥ prayiyāsā gṛhameva yena me /	vana-vAsa-suKAt parAFmuKaH prayiyAsA gRham-eva yena me /
   na hi śarma labhe tayā binā nṛpatirhīna ivottamaśriyā // Saund_8.13 //	na hi Sarma laBe tayA binA nRpatiH-hInaH iva-uttama-SriyA // SOnd-_8.13 //
   atha tasya niśamya tadvacaḥ priyabhāryābhimukhasya śocataḥ /	aTa tasya niSamya tad-vacaH priya-BAryA-aBimuKasya SocataH /
   śramaṇaḥ sa śiraḥ prakampayannijagādātmagataṃ śanairidam // Saund_8.14 //	SramaNaH sa SiraH prakampayat-nijagAda-Atma-gatam SanEs-idam // SOnd-_8.14 //
   kṛpaṇaṃ bata yūthalālaso mahato vyādhabhayād viniḥsṛtaḥ /	kRpaNam bata yUTa-lAlasaH mahataH vyADa-BayAt viniHsRtaH /
   pravivikṣati vāgurāṃ mṛgaścapalo gītaraveṇa vañcitaḥ // Saund_8.15 //	pravivikzati vAgurAm mRgaH-capalaH gIta-raveNa vaQcitaH // SOnd-_8.15 //
   vihagaḥ khalu jālasaṃvṛto hitakāmena janena mokṣitaḥ /	vihagaH Kalu jAla-saMvRtaH hita-kAmena janena mokzitaH /
   vicaran phalapuṣpavadvanaṃ pravivikṣuḥ svayameva pañcaram // Saund_8.16 //	vicaran Pala-puzpavat-vanam pravivikzuH svayam-eva paQcaram // SOnd-_8.16 //
   kalabhaḥ kariṇā khalūddhṛtoḥ bahupaṅkād viṣamānnadītalāt /	kalaBaH kariNA Kalu-udDRtoH bahu-paFkAt vizamAn-nadI-talAt /
   jalatarṣavaśena tāṃ punaḥ saritaṃ grāhavatīṃ titīrṣati // Saund_8.17 //	jala-tarza-vaSena tAm punar saritam grAhavatIm titIrzati // SOnd-_8.17 //
   śaraṇe sabhujaṅgame svapan pratibuddhena pareṇa bodhitaḥ /	SaraNe sa-BujaFgame svapan pratibudDena pareNa boDitaH /
   taruṇaḥ khalu jātavibhramaḥ svayamugraṃ bhujagaṃ jighṛkṣati // Saund_8.18	taruNaH Kalu jAta-viBramaH svayam-ugram Bujagam jiGRkzati // SOnd_8.18
   mahatā khalu jātavedasā jvalitādutpatito vanadrumāt /	mahatA Kalu jAtavedasA jvalitAt-utpatitaH vana-drumAt /
   punaricchati nīḍatṛṣṇayā patituṃ tatra gatavyatho dvijaḥ // Saund_8.19 //	punar-icCati nIxa-tRzNayA patitum tatra gata-vyaTaH dvijaH // SOnd-_8.19 //
   avaśaḥ khalu kāmamūrcchayā priyayā śyenabhayād vinākṛtaḥ /	avaSaH Kalu kAma-mUrcCayA priyayA Syena-BayAt vinAkRtaH /
   na dhṛtiṃ samupaiti na hriyaṃ karuṇaṃ jīvati jīvajīvakaḥ // Saund_8.20 //	na DRtim samupEti na hriyam karuNam jIvati jIvajIvakaH // SOnd-_8.20 //
   akṛtātmatayā tṛṣānvito ghṛṇayā caiva dhiyā ca varjitaḥ /	akRtAtma-tayA tRzA-anvitaH GRNayA ca-eva DiyA ca varjitaH /
   aśanaṃ khalu vāntamātmanā kṛpaṇaḥ śvā punarattumicchati // Saund_8.21 //	aSanam Kalu vAntam-AtmanA kRpaNaH SvA punar-attum-icCati // SOnd-_8.21 //
   iti manmathaśokakarṣitaṃ tamanudhyāya muhurnirīkṣya ca /	iti manmaTa-Soka-karzitam tam-anuDyAya muhur-nirIkzya ca /
   śramaṇaḥ sa hitābhikāṅkṣayā guṇavad vākyamuvāca vipriyam // Saund_8.22 //	SramaNaH sa hita-aBikAFkzayA guNavat vAkyam-uvAca vipriyam // SOnd-_8.22 //
   avicārayataḥ śubhāśubhaṃ viṣayeṣveva niviṣṭacetasaḥ /	avicArayataH SuBa-aSuBam vizayezu-eva nivizwa-cetasaH /
   upapannamalabdhacakṣuṣo na ratiḥ śreyasi ced bhavettava // Saund_8.23 //	upapannam-alabDa-cakzuzaH na ratiH Sreyasi ced Bavet-tava // SOnd-_8.23 //
   śravaṇe grahaṇe 'tha dhāraṇe paramārthāvagame manaḥśame /	SravaNe grahaNe aTa DAraNe parama-arTa-avagame manaH-Same /
   aviṣaktamateścalātmano na hi dharme 'bhiratirvidhīyate // Saund_8.24 //	avizakta-mateH-cala-AtmanaH na hi Darme aBiratiH-viDIyate // SOnd-_8.24 //
   viṣayeṣu tu doṣadarśinaḥ parituṣṭasya śuceramāninaḥ /	vizayezu tu doza-darSinaH parituzwasya SuceH-amAninaH /
   śamakarmasu yuktacetasaḥ kṛtabuddhena ratirna vidyate // Saund_8.25 //	Sama-karmasu yukta-cetasaH kRta-budDena ratiH-na vidyate // SOnd-_8.25 //
   ramate tṛṣito dhanaśriyā ramate kāmasukhena bāliśaḥ /	ramate tRzitaH Dana-SriyA ramate kAma-suKena bAliSaH /
   ramate praśamena sajjanaḥ paribhogān paribhūya vidyayā // Saund_8.26 //	ramate praSamena sat-janaH pariBogAn pariBUya vidyayA // SOnd-_8.26 //
   api ca prathitasya dhīmataḥ kulajasyārcitaliṅgadhāriṇaḥ /	api ca praTitasya DImataH kula-jasya-arcita-liFga-DAriNaH /
   sadṛśī na gṛhāya cetanā praṇatirvāyuvaśad gireriva // Saund_8.27 //	sadRSI na gRhAya cetanA praNatiH-vAyu-vaSat gireH-iva // SOnd-_8.27 //
   spṛhayet parasaṃśritāya yaḥ paribhūyātmavaśāṃ svatantratām /	spRhayet para-saMSritAya yaH pariBUya-Atma-vaSAm svatantra-tAm /
   upaśāntipathe śive sthitaḥ spṛhayeddoṣavate gṛhāya saḥ // Saund_8.28 //	upaSAnti-paTe Sive sTitaH spRhayet-dozavate gRhAya saH // SOnd-_8.28 //
   vyasanābhihato yathā viśet parimuktaḥ punareva bandhanam /	vyasana-aBihataH yaTA viSet parimuktaH punar-eva banDanam /
   samupetya vanaṃ tathā punargṛhasaṃjñaṃ mṛgayeta bandhanam // Saund_8.29 //	samupetya vanam taTA punar-gRha-saMjQam mRgayeta banDanam // SOnd-_8.29 //
   puruṣaśca vihāya yaḥ kaliṃ punaricchet kalimeva sevitum /	puruzaH-ca vihAya yaH kalim punar-icCet kalim-eva sevitum /
   sa vihāya bhajeta bāliśaḥ kalibhūtāmajitendriyaḥ priyām // Saund_8.30 //	sa vihAya Bajeta bAliSaH kali-BUtAm-ajita-indriyaH priyAm // SOnd-_8.30 //
   saviṣā iva saṃśritā latāḥ parimṛṣṭā iva soragā guhāḥ /	sa-vizAH iva saMSritAH latAH parimRzwAH iva sa-uragAH guhAH /
   vivṛtā iva cāsayo dhṛtā vyasanāntā hi bhavanti yoṣitaḥ // Saund_8.31 //	vivRtAH iva ca-asayaH DRtAH vyasana-antAH hi Bavanti yozitaH // SOnd-_8.31 //
   pramadāḥ samadā madapradāḥ pramadā vitamadā bhayapradāḥ /	pramadAH sa-madAH mada-pradAH pramadAH vitama-dAH Baya-pradAH /
   iti doṣabhayāvahāśca tāḥ kathamarhanti niṣevaṇaṃ nu tāḥ // Saund_8.32 //	iti doza-Baya-AvahAH-ca tAH kaTam-arhanti nizevaNam nu tAH // SOnd-_8.32 //
   svajanaḥ svajanena bhidyate suhadaścāpi suhṛjjanena yat /	sva-janaH sva-janena Bidyate suhadaH-ca-api suhRd-janena yat /
   paradoṣavicakṣaṇāḥ śaṭhāstadanāryāḥ pracaranti yoṣitaḥ // Saund_8.33 //	para-doza-vicakzaNAH SaWAH-tad-anAryAH pracaranti yozitaH // SOnd-_8.33 //
   kulajāḥ kṛpaṇībhavanti yadyadayuktaṃ pracaranti sāhasam /	kula-jAH kRpaNIBavanti yat-yat-ayuktam pracaranti sAhasam /
   praviśanti ca yaccamūmukhaṃ rabhasāstatra nimittamaṅganāḥ // Saund_8.34 //	praviSanti ca yat-camU-muKam raBasAH-tatra nimittam-aFganAH // SOnd-_8.34 //
   vacanena haranti valgunā niśitena praharanti cetasā /	vacanena haranti valgunAH niSitena praharanti cetasA /
   madhu tiṣṭhati vāci yoṣitāṃ hṛdaye hālahalaṃ mahadviṣaśam // Saund_8.35 //	maDu tizWati vAci yozitAm hRdaye hAla-halam mahat-vizaSam // SOnd-_8.35 //
   pradahan dahano 'pi gṛhyate viśarīraḥ pavano 'pi gṛhyate /	pradahan dahanaH api gRhyate viSarIraH pavanaH api gRhyate /
   kupito bhujago 'pi gṛhyate pramadānāṃ tu mano na gṛhyate // Saund_8.36 //	kupitaH BujagaH api gRhyate pramadAnAm tu manaH na gRhyate // SOnd-_8.36 //
   na vapurvimṛśanti na śriyaṃ na matiṃ nāpi kulaṃ na vikramam /	na vapuH-vimRSanti na Sriyam na matim na-api kulam na vikramam /
   praharantyaviśeṣataḥ striyaḥ sarito grāhakulākulā iva // Saund_8.37 //	praharanti-aviSezatas striyaH saritaH grAha-kula-AkulAH iva // SOnd-_8.37 //
   na vaco madhuraṃ na lālanaṃ smarati strī na ca sauhṛdaṃ kvacit /	na vacaH maDuram na lAlanam smarati strI na ca sOhRdam kvacid /
   kalitā vanitaiva cañcalā tadihāriṣviva nāvalambyate // Saund_8.38 //	kalitA vanitA-eva caQcalA tad-iha-arizu-iva na-avalambyate // SOnd-_8.38 //
   adadatsu bhavanti narmadāḥ pradadatsu praviśanti vibhramam /	adadatsu Bavanti narmadAH pradadatsu praviSanti viBramam /
   praṇateṣu bhavanti garvitāḥ pramadāstṛptatarāśca māniṣu // Saund_8.39 //	praNatezu Bavanti garvitAH pramadAH-tRptatarAH-ca mAnizu // SOnd-_8.39 //
   guṇavatsu caranti bhartṛvad guṇahīneṣu caranti putravat /	guNavatsu caranti BartR-vat guNa-hInezu caranti putra-vat /
   dhanavatsu caranti tṛṣṇayā dhanahīneṣu carantyavajñayā // Saund_8.40 //	Danavatsu caranti tRzNayA Dana-hInezu caranti-avajQayA // SOnd-_8.40 //
   viṣayād viṣayāntaraṃ gatā pracaratyeva yathā hṛtāpi gau /	vizayAt vizaya-antaram gatA pracarati-eva yaTA hRtA-api gO /
   anavekṣitapūrvasauhṛdā ramate 'nyatra gatā tathāṅganā // Saund_8.41 //	anavekzita-pUrva-sOhRdA ramate anyatra gatA taTA-aFganAH // SOnd-_8.41 //
   praviśantyapi hi striyaścitāmanubadhnantyapi muktajīvitāḥ /	praviSanti-api hi striyaH-citAm-anubaDnanti-api mukta-jIvitAH /
   api bibhrati caiva yantraṇā na tu bhāvena vahanti sauhṛdam // Saund_8.42	api biBrati ca-eva yantraNA na tu BAvena vahanti sOhRdam // SOnd_8.42
   ramayanti patīn kathañcana pramadā yāḥ patidevatāḥ kvacit /	ramayanti patIn kaTaQcana pramadAH yAH pati-devatAH kvacid /
   calacittatayā sahastraśo ramayante hṛdayaṃ svameva tāḥ // Saund_8.43 //	cala-citta-tayA sa-hastraSaH ramayante hRdayam svam-eva tAH // SOnd-_8.43 //
   śvapacaṃ kila senajitsutā cakame mīnaripuṃ kumudvatī /	Svapacam kila senajit-sutA cakame mIna-ripum kumudvatI /
   mṛgarājamatho bṛhadrathā pramadānāmagatirna vidyate // Saund_8.44 //	mRgarAjam-aTo bRhadraTA pramadAnAm-agatiH-na vidyate // SOnd-_8.44 //
   kuruhaihayavṛṣṇivaṃśajā bahumāyākavaco 'tha śambaraḥ /	kuru-hEhaya-vRzNi-vaMSa-jAH bahu-mAyA-kavacaH aTa SambaraH /
   munirugratapāśca gautamaḥ samavāpurvanitoddhataṃ rajaḥ // Saund_8.45 //	muniH-ugra-tapAH-ca gOtamaH samavApuH-vanitA-udDatam rajaH // SOnd-_8.45 //
   akṛtajñamanāryamasthiraṃ vanitānāmidamīdṛśaṃ manaḥ /	akRtajQam-anAryam-asTiram vanitAnAm-idam-IdRSam manaH /
   kathamarhati tāsu paṇḍito hṛdayaṃ sañjayituṃ calātmasu // Saund_8.46 //	kaTam-arhati tAsu paNxitaH hRdayam saQjayitum cala-Atmasu // SOnd-_8.46 //
   atha sūkṣmamatidvayāśivaṃ laghu tāsāṃ hṛdayaṃ na paśyasi /	aTa sUkzma-mati-dvaya-aSivam laGu tAsAm hRdayam na paSyasi /
   kimu kāyamasadgṛhaṃ sravad vanitānāmaśuciṃ na paśyasi // Saund_8.47 //	kimu kAyam-asat-gRham sravat vanitAnAm-aSucim na paSyasi // SOnd-_8.47 //
   yadahanyahani pradhāvanairvasanaiścābharaṇaiśca saṃskṛtam /	yat-ahani-ahani praDAvanEH-vasanEH-ca-ABaraNEH-ca saMskRtam /
   aśubhaṃ tamasāvṛtekṣaṇaḥ śubhato gacchasi nāvagacchasi // Saund_8.48 //	aSuBam tamasA-AvRta-IkzaNaH SuBataH gacCasi na-avagacCasi // SOnd-_8.48 //
   athavā samavaiṣi tattanūmaśubhāṃ tvaṃ na tu saṃvidasti te /	aTavA samavEzi tad-tanUm-aSuBAm tvam na tu saMvid-asti te /
   surabhiṃ vidadhāsi hi kriyāmaśucestatprabhavasya śāntaye // Saund_8.49 //	suraBim vidaDAsi hi kriyAm-aSuceH-tad-praBavasya SAntaye // SOnd-_8.49 //
   anulepanamañjanaṃ srajo maṇimuktātapanīyamaṃśukam /	anulepanam-aQjanam srajaH maNi-muktA-tapanIyam-aMSukam /
   yadi sādhu kimatra yoṣitāṃ sahajaṃ tāsu vicīyatāṃ śuci // Saund_8.50 //	yadi sADu kim-atra yozitAm sahajam tAsu vicIyatAm Suci // SOnd-_8.50 //
   malapaṅkadharā digambarā prakṛtisthairnakhadantaromabhiḥ /	mala-paFka-DarA digambarA prakRti-sTEH-naKa-danta-romaBiH /
   yadi sā tava sundarī bhavenniyataṃ te 'dya na sundarī bhavet // Saund_8.51	yadi sA tava sundarI Bavet-niyatam te adya na sundarI Bavet // SOnd_8.51
   stravatīmaśuciṃ spṛśecca kaḥ saghṛṇo jarjarabhāṇḍavat striyam /	stravatIm-aSucim spRSet-ca kaH sa-GRNaH jarjara-BANxa-vat striyam /
   yadi kevalayā tvacāvṛtā na bhavenmakṣikapatramātrayā // Saund_8.52 //	yadi kevalayA tvacA-AvRtA na Bavet-makzika-patra-mAtrayA // SOnd-_8.52 //
   tvacaveṣṭitamasthipañjaraṃ yadi kāyaṃ samavaiṣi yoṣitām /	tvaca-vezwitam-asTi-paQjaram yadi kAyam samavEzi yozitAm /
   madanena ca kṛṣyase balādaghṛṇaḥ khalvadhṛtiśca manmathaḥ // Saund_8.53 //	madanena ca kRzyase balAt-aGRNaH Kalva-DRtiH-ca manmaTaH // SOnd-_8.53 //
   śubhatāmaśubheṣu kalpayan nakhadantatvacakeśaromasu /	SuBa-tAm-aSuBezu kalpayan naKa-danta-tvacakeSa-romasu /
   avicakṣaṇa kiṃ na paśyasi prakṛtiṃ ca prabhavaṃ ca yoṣitām // Saund_8.54	avicakzaNa kim na paSyasi prakRtim ca praBavam ca yozitAm // SOnd_8.54
   tadavetya manaḥśarirayorvanitā doṣavatīrviśeṣataḥ /	tat-avetya manaH-SarirayoH-vanitA dozavatIH-viSezataH /
   capalaṃ bhavanotsukaṃ manaḥ pratisaṃkhyānabalena vāryatām // Saund_8.55 //	capalam Bavana-utsukam manaH pratisaMKyAna-balena vAryatAm // SOnd-_8.55 //
   śrutavān matimān kulodgataḥ paramasya praśamasya bhājanam /	SrutavAn matimAn kula-udgataH paramasya praSamasya BAjanam /
   upagamya yathā tathā punarna hi bhettuṃ niyamaṃ tvamarhasi // Saund_8.56	upagamya yaTA taTA punar-na hi Bettum niyamam tvam-arhasi // SOnd_8.56
   abhijanamahato manasvinaḥ priyayaśaso bahumānamicchataḥ /	aBijana-mahataH manasvinaH priya-yaSasaH bahu-mAnam-icCataH /
   nidhanamapi varaṃ sthirātmanaścyutavinayasya na caiva jīvitam //	niDanam-api varam sTira-AtmanaH-cyuta-vinayasya na ca-eva jIvitam //
   Saund_8.57 //	SOnd-_8.57 //
   baddhvā yathā hi kavacaṃ pragṛhītacāpo, nindyo bhavatyapasṛtaḥ samarād	badDvA yaTA hi kavacam pragRhIta-cApo, nindyaH Bavati-apasRtaH samarAd
   rathasthaḥ /	raTa-sTaH /
   bhaikṣākamabhyupagataḥ parigṛhya liṅgaṃ, nindyastathā bhavati	BEkzAkam-aByupagataH parigRhya liFgaM, nindyaH-taTA Bavati
   kāmahṛtendriyāśvaḥ // Saund_8.58 //	kAma-hRta-indriya-aSvaH // SOnd-_8.58 //
   hāsyo yathā ca paramābharaṇāmbarastrag bhaikṣaṃ caran	hAsyaH yaTA ca parama-ABaraNa-ambaraH-trac BEkzam caran
   dhṛtadhanuścalacitramauliḥ /	DRta-DanuH-cala-citra-mOliH /
   vairūpyamabhyupagataḥ parapiṇḍabhojī hāsyastathā gṛhasukhābhimukhaḥ	vErUpyam-aByupagataH para-piNxa-BojI hAsyaH-taTA gRha-suKa-aBimuKaH
   satṛṣṇaḥ // Saund_8.59 //	sa-tRzNaH // SOnd-_8.59 //
   yathā svannaṃ bhuktvā paramaśayanīye 'pi śayito	yaTA su-annam BuktvA parama-SayanIye api SayitaH-
   varāho nirmuktaḥ punaraśuci dhāvet paricitam /	varAhaH nirmuktaH punar-aSuci DAvet paricitam /
   tathā śreyaḥ śrṛṇvan praśamasukhamāsvādya guṇavad,	taTA SreyaH SrRNvan praSama-suKam-AsvAdya guNavat-,
