   Suvarṇaprabhāsasūtram	SuvarNa-praBAsa-sUtram
   bhadanta bhagavan suvarṇaprabhāsottamasūtrendrarājasya vistareṇa parṣadi	Badanta Bagavan suvarNa-praBAsa-uttama-sUtra-indra-rAjasya vistareNa parzadi
   saṃprakāśyamānasyāsmākaṃ catūrṇāṃ mahārājānāṃ sabalaparivārāṇām / etena ca	saMprakASyamAnasya-asmAkam catUrNAm mahA-rAjAnAm sa-bala-parivArANAm / etena ca
   dharmaśravaṇena dharmāmṛtarasena ca divyātmabhāvamahātejasā	Darma-SravaNena Darma-amRta-rasena ca divya-Atma-BAva-mahA-tejasA
   vivardhayiṣyanti // asmākaṃ kāyeṣu vīryaṃ ca balaṃ sthāma ca saṃjanitaṃ	vivarDayizyanti // asmAkam kAyezu vIryam ca balam sTAma ca saMjanitam
   bhaviṣyanti / tejaśca śriyaṃ ca lakṣmīṃ cāsmākaṃ kāyeṣvāviśanti / vayaṃ	Bavizyanti / tejaH-ca Sriyam ca lakzmIm ca-asmAkam kAyezu-AviSanti / vayam
   bhagavaṃścatvāro mahārājā dhārmikāśca dharmavādinaśca dharmarājā dharmeṇa	Bagavan=-catvAraH mahA-rAjAH DArmikAH-ca Darma-vAdinaH-ca DarmarAjAH DarmeNa
   vayaṃ bhadanta bhagavan devanāgayakṣagandharvāsuragaruḍanaramahoragāṇāṃ	vayam Badanta Bagavan deva-nAga-yakza-ganDarva-asura-garuxa-nara-mahoragANAm
   rājatvaṃ kārayiṣyāmaḥ / te vayaṃ bhagavan, catvāro mahārājāḥ	rAja-tvam kArayizyAmaH / te vayam Bagavan, catvAraH mahA-rAjAH
   sārdhamaṣṭāviṃśatiyakṣasenāpatibhiranekaiśca yakṣaśatasahasraiḥ	sArDam-azwAviMSati-yakza-senApatiBiH-anekEH-ca yakza-Sata-sahasrEH
   satatasamitaṃ sarve jambudvīpaṃ divyena viśuddhenātikrāntamānuṣyakeṇa	satata-samitam sarve jambudvIpam divyena viSudDena-atikrAnta-mAnuzyakeNa
   vyavalokayiṣyāma ārakṣayiṣyāmaḥ paripācayiṣyāmaḥ / tena hetunā bhadanta	vyavalokayizyAmaH ArakzayizyAmaH paripAcayizyAmaH / tena hetunA Badanta
   bhagavannasmākaṃ caturṇāṃ mahārājānāṃ lokapāla iti saṃjñotpāditā //	Bagavan=-asmAkam caturNAm mahA-rAjAnAm lokapAlaH iti saMjQA-utpAditA //
   (Bagchi 37)	(Baj-Ci 37)
   ye kecidbhadanta bhagavannasmin jambudvīpe viparyāsāḥ paracakreṇa copahatā	ye kecid-Badanta Bagavan=-asmin jambudvIpe viparyAsAH para-cakreNa ca-upahatA
   bhaviṣyanti, durbhikṣakāntareṇa vā	Bavizyanti, durBikzaka-antareNa vA
   nānāvidhairupadravaśatairupadravasahasrairupadravaśatasahasrairupahatā	nAnAviDEH-upadrava-SatEH-upadrava-sahasrEH-upadrava-Sata-sahasrEH-upahatA
   bhaviṣyanti, te vayaṃ bhadanta bhagavan catvāro mahārājā idamasya	Bavizyanti, te vayam Badanta Bagavan catvAraH mahA-rAjAH idam-asya
   suvarṇaprabhāsoottamasūtrendrarājasya teṣāṃ ca sūtredradhāriṇāṃ bhikṣūṇāṃ	suvarNa-praBAsoa-uttama-sUtra-indra-rAjasya tezAm ca sUtredra-DAriNAm BikzUNAm
   saṃcodanāṃ kariṣyāmaḥ / yadā ceme bhadanta bhagavan dharmabhāṇakā bhikṣavo	saMcodanAm karizyAmaH / yadA ca-ime Badanta Bagavan Darma-BANakAH BikzavaH-
   'smākaṃ caturṇāṃ mahārājānāṃ saṃcodanayā buddhādhiṣṭhānena ca yeṣu	asmAkam caturNAm mahA-rAjAnAm saMcodanayA budDa-aDizWAnena ca yezu
   viṣayeṣūpasaṃkrameyusteṣu te viṣayeṣuḥ cemaṃ	vizayezu-upasaMkrameyuH-tezu te vizayezuH ca-imam
   suvarṇaprabhāsottamasūtrendrarājaṃ vistareṇa saṃprakāśayeyuḥ / ya	suvarNa-praBAsa-uttama-sUtrendra-rAjam vistareNa saMprakASayeyuH / ya
   imānyevaṃrūpāṇi viṣayagatāti	imAni-evaMrUpANi vizaya-gatAti
   nānāvidhānyupadravaśatānyupadravasahasrānyupadravaśatasahasrāṇi ca	nAnAviDAni-upadrava-SatAni-upadrava-sahasrAni-upadrava-Sata-sahasrANi ca
   praśamayiṣyanti //	praSamayizyanti //
   yasya ca bhadanta bhagavan manuṣyarājasya viṣaye te sūtrendradhārakā	yasya ca Badanta Bagavat manuzya-rAjasya vizaye te sUtrendraDArakA
   bhikṣavā dharmabhāṇākā upasaṃkrāntā bhaviṣyanti / ayaṃ ca manuṣyarāja imaṃ	BikzavAH Darma-BANAkAH upasaMkrAntAH Bavizyanti / ayam ca manuzya-rAjaH imam
   suvarṇaprabhāsasūtrendrarājaṃ śṛṇyāt / śrutvā ca teṣāṃ sūtrendradhārakāṇāṃ	suvarNa-praBAsa-sUtra-indrarAjam SRNyAt / SrutvA ca tezAm sUtrendraDArakANAm
   bhikṣūṇāṃ sarvapratyarthikebhya ārakṣāṃ kuryāt paritrāṇaṃ parigrahaṃ	BikzUNAm sarva-pratyarTikeByaH ArakzAm kuryAt paritrANam parigraham
   paripālanaṃ kuryāt / te vayaṃ bhadanta bhagavan catvāro mahārājāstasya	paripAlanam kuryAt / te vayam Badanta Bagavan catvAraH mahA-rAjAH-tasya
   manuṣyarājasya sarvaviṣayagatānāṃ ca sattvānāmārakṣāṃ kariṣyāmaḥ	manuzya-rAjasya sarva-vizaya-gatAnAm ca sattvAnAm-ArakzAm karizyAmaH
   paritrāṇaṃ parigrahaṃ paripālanaṃ śāntisvastyayanaṃ kariṣyāmaḥ / yadā ca	paritrANam parigraham paripAlanam SAnti-svastyayanam karizyAmaH / yadA ca
   bhadanta bhagavan sarvamanuṣyarājaḥ sūtrendradhārakāṇāṃ	Badanta Bagavan sarva-manuzya-rAjaH sUtrendraDArakANAm
   bhikṣubhikṣuṇyupāsakopāsikānāṃ sarvasukhopadhānaiḥ sukhatāṃ kuryāt / te	Bikzu-Bi-kzuNI-upAsaka-upAsikAnAm sarva-suKa-upaDAnEH suKa-tAm kuryAt / te
   vayaṃ bhadanta bhagavan catvāro mahārājāstaṃ manuṣyarājaṃ sarvarājebhyaḥ	vayam Badanta Bagavan catvAraH mahA-rAjAH-tam manuzya-rAjam sarva-rAjeByaH
   satkṛtataraṃ kariṣyāmo gurukṛtaṃ ca kariṣyāmo mānitaṃ ca pūjitaṃ ca	satkRtataram karizyAmaH gurukRtam ca karizyAmaH mAnitam ca pUjitam ca
   sarvaviṣayeṣu ca prasaṃśanīyaṃ kariṣyāmaḥ /	sarva-vizayezu ca prasaMSanIyam karizyAmaH /
   atha khalu bhagavāṃścaturṇāṃ mahārājānāṃ sādhukāramadāt / sādhu sādhu	aTa Kalu BagavAn=-caturNAm mahA-rAjAnAm sADukAram-adAt / sADu sADu
   mahārājāḥ sādhu sādhu yuṣmākaṃ mahārājāḥ / yathāpi te yūyaṃ	mahA-rAjAH sADu sADu yuzmAkam mahA-rAjAH / yaTA-api te yUyam
   pūrvajinakṛtādhikārā avaropitakuśalamūlā	pUrva-jina-kRta-aDikArA avaropita-kuSala-mUlA
   bahubuddhakoṭīniyutaśatasahasraparyupāsitā dharmikāśca dharmavādinaśca	bahu-budDa-kowI-niyuta-Sata-sahasra-paryupAsitAH DarmikAH-ca Darma-vAdinaH-ca
   dharmeṇa devānāṃ ca manuṣyāṇāṃ ca rājatvaṃ kārayadhvam / yathāpi	DarmeNa devAnAm ca manuzyANAm ca rAja-tvam kArayaDvam / yaTA-api
   pūrvadīrgharātraṃ sarvasattvānāṃ hitacittāḥ sukhamaitrīcittāḥ	pUrva-dIrGa-rAtram sarva-sattvAnAm hita-cittAH suKa-mEtrI-cittAH
   sarvasattvahitasukhādhyāśayapratipannāḥ (Bagchi 38) sarvāhitapratiṣedhikāḥ	sarva-sattva-hita-suKa-aDyASaya-pratipannAH (Baj-Ci 38) sarva-Ahita-pratizeDikAH
   sarvasattvānāṃ sarvahitopasaṃhārābhiyuktāḥ / te yūyaṃ catvāro	sarva-sattvAnAm sarva-hita-upasaMhAra-aBiyuktAH / te yUyam catvAraH-
   mahārājāsteṣāṃ manuṣyarājasya ca suvarṇaprabhāsottamasūtrendrarājasya	mahA-rAjAH-tezAm manuzya-rAjasya ca suvarNa-praBAsA-uttama-sUtra-indra-rAjasya
   pūjāsatkārābhiyuktānāmārakṣāṃ kariṣyata paritrāṇaṃ parigrahaṃ paripālanaṃ	pUjA-satkAra-aBiyuktAnAm-ArakzAm karizyata paritrANam parigraham paripAlanam
   śāntisvastyayanaṃ kariṣyata / tena yuṣmābhiścaturmahārājaiḥ	SAnti-svastyayanam karizyata / tena yuzmABiH-catur-mahA-rAjEH
   sabalaparivārairanekaiśca yakṣaśatasahasrairatītānāgatapratyutpannānāṃ	sa-bala-parivArEH-anekEH-ca yakza-Sata-sahasrEH-atIta-anAgata-pratyutpannAnAm
   buddhānāṃ bhagavatāṃ dharmanetryārakṣitā bhaviṣyati paripālitā ca	budDAnAm BagavatAm DarmanetrI-ArakzitA Bavizyati paripAlitA ca
   parigṛhītā ca bhaviṣyati / tena yuṣmākaṃ caturṇāṃ mahārājānāṃ	parigRhItA ca Bavizyati / tena yuzmAkam caturNAm mahA-rAjAnAm
   sabalaparivārāṇamanekeṣāṃ yakṣaśatasahasrāṇāṃ devānāṃ devāsurasaṃgrāme	sa-bala-parivArANam-anekezAm yakza-Sata-sahasrANAm devAnAm deva-asura-saMgrAme
   jayo bhaviṣyati, asurāṇāṃ ca parijayo bhaviṣyati /	jayaH Bavizyati, asurANAm ca parijayaH Bavizyati /
   sarvaparacakrapramardakasya suvarṇaprabhāsottamasūtrendrarājasyārthāya	sarva-para-cakra-pramardakasya suvarNa-praBAsA-uttama-sUtrendra-rAjasya-arTAya
   teṣāṃ sūtrendradhārakāṇāṃ bhikṣubhikṣuṇyupāsakopāsikānāmārakṣāṃ kariṣyata	tezAm sUtrendraDArakANAm BikzuBi-kzuNI-upAsaka-upAsikAnAm-ArakzAm karizyata
   paritrāṇaṃ parigrahaṃ paripālanaṃ śāntisvastyayanaṃ kariṣyata //	paritrANam parigraham paripAlanam SAnti-svastyayanam karizyata //
   atha vaiśravaṇo mahārājo dhṛtarāṣṭro mahārājo viruḍhako mahārājo virūpākṣo	aTa vESravaNaH mahA-rAjaH DRtarAzwraH mahA-rAjaH viruXakaH mahA-rAjaH virUpAkzaH-
   mahārāja utthāyāsanebhya ekāṃsāni cīvaraiḥ prāvṛtya dakṣiṇāni	mahA-rAja utTAya-AsaneByaH eka-aMsAni cIvarEH prAvRtya dakziNAni
   jānumaṇḍalāni pṛthivyāṃ pratiṣṭhāpya yena bhagavāṃstenāñjaliṃ praṇamya	jAnu-maNxalAni pRTivyAm pratizWApya yena BagavAn=-tena-aQjalim praNamya
   bhagavantametadavocan / ayaṃ bhadanta bhagavan,	Bagavantam-etat-avocan / ayam Badanta Bagavan-,
   suvarṇaprabhāsottamasūtrendrarājo 'nāgate 'dhvani yatra	suvarNa-praBAsA-uttama-sUtrendra-rAjaH anAgate aDvani yatra
   grāmanagaranigamajanapadarāṣṭrarājadhānīṣu pracariṣyati yasya yasya	grAma-nagara-nigama-janapada-rAzwra-rAja-DAnIzu pracarizyati yasya yasya
   manuṣyarājasya viṣayamanuprāpto bhaviṣyati / kaścidbhadanta	manuzya-rAjasya vizayam-anuprAptaH Bavizyati / kaScid-Badanta
   bhagavanmanuṣyarājo bhagavan yenānena devendrasamayena rājaśāsreṇa	Bagavat-manuzya-rAjaH Bagavan yena-anena deva-indra-samayena rAja-SAsreNa
   rājatvaṃ kārayet / asya suvarṇaprabhāsottamasya sūtrendrarājasya śrotā	rAja-tvam kArayet / asya suvarNa-praBAsa-uttamasya sUtrendra-rAjasya SrotA
   bhavaṃstāśca sūtrendradhārakā bhikṣubhikṣuṇyupāsakopāsikāḥ	Bavan=-tAH-ca sUtrendraDArakAH Bikzu-BikzuNI-upAsa-kopAsikAH
   satkuryādgurukuryānmānayetpūjayetsatatasamitaṃ	satkuryAt-gurukuryAt-mAnayet-pUjayet-satata-samitam
   suvarṇaprabhāsottamasūtrendrarājaṃ śṛṇuyāt / anena dharmaśravaṇena	suvarNa-praBAsa-uttama-sUtrendra-rAjam SRNuyAt / anena Darma-SravaNena
   saṃcodanadharmāmṛtapuṇyātmakānāmasmākaṃ caturṇāṃ mahārājānāṃ	saMcodana-Darma-amRta-puNya-AtmakAnAm-asmAkam caturNAm mahA-rAjAnAm
   sakalaparivārāṇāmanekeṣāṃ ca yakṣarākṣasaśatasahasrāṇāmimān divyātmabhāvān	sakala-parivArANAm-anekezAm ca yakza-rAkzasa-Sata-sahasrANAm-imAn divya-Atma-BAvAn
   mahataujasā vivardhayet / mahāntaṃ vīryaṃ ca sthāma ca balaṃ cāsmākaṃ	mahatA-ojasA vivarDayet / mahAntam vIryam ca sTAma ca balam ca-asmAkam
   kāyeṣu tejaḥśriyaśca lakṣmī cāsmākaṃ vivardhayet / tena vayaṃ bhadanta	kAyezu tejaH-SriyaH-ca lakzmI ca-asmAkam vivarDayet / tena vayam Badanta
   bhagavaṃścatvāro mahārājāḥ sabalaparivārā anekaiḥ (Bagchi 39)	Bagavan=-catvAraH mahA-rAjAH sa-bala-parivArAH anekEH (Baj-Ci 39)
   yakṣaśatasahasrairadṛśyadbhiḥ kāyātmabhāvairetarhi cānāgate 'dhvani yatra	yakza-Sata-sahasrEH-adRSyadBiH kAya-Atma-BAvEH-etarhi ca-anAgate aDvani yatra
   grāmanagaranigamajanapadarāṣṭrarājadhānīṣūpasaṃkramiṣyāmaḥ tatrāyaṃ	grAma-nagara-nigama-janapada-rAzwra-rAja-DAnIzu-upasaMkramizyAmaH tatra-ayam
   suvarṇaprabhāsottamaḥ sūtrendrarājaḥ pracariṣyati / teṣāṃ ca	suvarNa-praBAsa-uttamaH sUtrendra-rAjaH pracarizyati / tezAm ca
   manuṣyarājānāmasya suvarṇaprabhāsottamasya sūtrendrarājasya śrotṝṇāṃ	manuzya-rAjAnAm-asya suvarNa-praBAsa-uttamasya sUtrendra-rAjasya SrotLNAm
   mātāpitṝṇāṃ cārakṣāṃ kariṣyāmaḥ / paritrāṇaṃ paripālanaṃ daṇḍaparihāraṃ	mAtA-pitLNAm ca-ArakzAm karizyAmaH / paritrANam paripAlanam daNxa-parihAram
   śasraparihāraṃ śāntisvastyayanaṃ ca kariṣyāmaḥ / teṣāṃ ca rājakulānāṃ	Sasra-parihAram SAnti-svastyayanam ca karizyAmaH / tezAm ca rAja-kulAnAm
   teṣāṃ ca rāṣṭrāṇāṃ teṣāṃ ca viṣayāṇāmārakṣāṃ kariṣyāmaḥ / paritrāṇaṃ	tezAm ca rAzwrANAm tezAm ca vizayANAm-ArakzAm karizyAmaH / paritrANam
   parigrahaṃ paripālanaṃ daṇḍaparihāraṃ śasraparihāraṃ śāntisvastyayanaṃ	parigraham paripAlanam daNxa-parihAram Sasra-parihAram SAnti-svastyayanam
   kariṣyāmaḥ / tāṃśca viṣayān sarvabhayopāyāsebhyaḥ parimocayiṣyāmaḥ	karizyAmaH / tAn=-ca vizayAn sarva-Baya-upAyAseByaH parimocayizyAmaH
   paracakrāṇi ca pratinivartayiṣyāmaḥ /	para-cakrANi ca pratinivartayizyAmaH /
   yaḥ kaścit tasya manuṣyarājasya suvarṇaprabhāsottamasya sūtrendrarājasya	yaH kaScid tasya manuzya-rAjasya suvarNa-praBAsa-uttamasya sUtrendra-rAjasya
   śroturmānayituḥ pūjayituranyaḥ sāmantakaḥ pratiśatrurājā bhavet / yadā ca	SrotuH-mAnayituH pUjayituH-anyaH sAmantakaH pratiSatru-rAjA Bavet / yadA ca
   bhadanta bhagavaṃstasya sāmantakasya pratiśatro rājña evaṃ cittamutpādet /	Badanta Bagavan=-tasya sAmantakasya pratiSatraH rAjQaH evam cittam-utpAdet /
   so 'haṃ caturaṅgena balakāyena sārdhamasya viṣayamupasaṃkrameyaṃ	saH aham catur-aFgena bala-kAyena sArDam-asya vizayam-upasaMkrameyam
   vināśayitum / tena khalu punarbhadanta bhagavān kālena tena samayenāsya	vinASayitum / tena Kalu punar-Badanta BagavAn kAlena tena samayena-asya
   suvarṇaprabhāsottamasya sūtrendrarājasya tejo 'nubhāvena tasya	suvarNa-praBAsa-uttamasya sUtrendra-rAjasya tejaH anuBAvena tasya
   sāmantakasya pratiśatrurājasyānyai rājabhiḥ sārdhaṃ saṃgrāme bhaviṣyati /	sAmantakasya pratiSatru-rAjasya-anyEH rAjaBiH sArDam saMgrAme Bavizyati /
   svaviṣayagatāśca viṣayavilopāśca bhaviṣyanti / dāruṇāśca rājasaṃkṣobhā	sva-vizaya-gatAH-ca vizaya-vilopAH-ca Bavizyanti / dAruNAH-ca rAja-saMkzoBA
   bhaviṣyanti / graharogāśca viṣaye prādubhūtā bhaviṣyanti /	Bavizyanti / graha-rogAH-ca vizaye prAdu-BUtAH Bavizyanti /
   nānāvyākṣepaśatāni viṣaye prādurbhūtāni bhaviṣyanti / yadā ca bhadanta	nAnA-vyAkzepa-SatAni vizaye prAdurBUtAni Bavizyanti / yadA ca Badanta
   bhagavaṃstasya sāmantakasya pratiśatrurājasya svaviṣayagatānyevaṃrūpāṇi	Bagavan=-tasya sAmantakasya pratiSatru-rAjasya sva-vizaya-gatAni-evaMrUpANi
   nānopadravaśatāni nānāvyakṣepaśatāni bhaveyuḥ / sa ca bhadanta bhagavan	nAnA-upadrava-SatAni nAnA-vyakzepa-SatAni BaveyuH / sa ca Badanta Bagavan
   sāmantakapratiśatrurājaścaturaṅgīṇīṃ senāṃ yojayitvā paracakragamanāya	sAmantaka-pratiSatru-rAjaH-caturaFgINIm senAm yojayitvA para-cakra-gamanAya
   svaviṣayānniṣkrānto bhavet / yatrāyaṃ suvarṇaprabhāsottamaḥ sutrendrarājo	sva-vizayAt-nizkrAntaH Bavet / yatra-ayam suvarNa-praBAsa-uttamaH sutra-indra-rAjaH-
   bhavet sa pratiśatrurājaḥ sārdhaṃ caturaṅgabalakāyena taṃ	Bavet sa pratiSatru-rAjaH sArDam caturaFga-bala-kAyena tam
   viṣayamupasaṃkramitukāmo bhavet / taṃ vināśitukāmo bhavet / te vayaṃ	vizayam-upasaMkramitu-kAmaH Bavet / tam vinASitu-kAmaH Bavet / te vayam
   bhadanta bhagavañcatvāro mahārājāḥ sabalaparivārā	Badanta BagavaQcatvAraH mahA-rAjAH sa-bala-parivArA
   anekairyakṣarākṣasaśatasahasrairadṛśyairātmabhāvaistatropasaṃkramiṣyāmaḥ	anekEH-yakza-rAkzasa-Sata-sahasrEH-adRSyEH-Atma-BAvEH-tatra-upasaMkramizyAmaH
   taṃ paracakramadhvānaṃ mārgapratipannaṃ (Bagchi 40) tathaiva	tam para-cakram-aDvAnam mArga-pratipannam (Baj-Ci 40) taTA-eva
   pratinivartayiṣyāmo nānāvyākṣepaśatāni copasaṃhariṣyāmo vighnāṃśca	pratinivartayizyAmaH nAnA-vyAkzepa-SatAni ca-upasaMharizyAmaH viGnAn=-ca
   kariṣyāmaḥ / yathā ca tatparacakraṃ na śakṣyati tatra viṣaya	karizyAmaH / yaTA ca tad-para-cakram na Sakzyati tatra vizaya
   upasaṃkramitum / kutaḥ punarvināśaṃ kariṣyati //	upasaMkramitum / kutas punar-vinASam karizyati //
   atha khalu bhagavāṃsteṣāṃ caturṇāṃ mahārājānāṃ sādhukāramadāt / sādhu	aTa Kalu BagavAn=-tezAm caturNAm mahA-rAjAnAm sADukAram-adAt / sADu
   sādhu mahārājāḥ sādhu khalu punaryuṣmākaṃ mahārājānām / yadyūyamatyā	sADu mahA-rAjAH sADu Kalu punar-yuzmAkam mahA-rAjAnAm / yat-yUyamatyA
   asaṃkhyeyakalpakoṭīniyutaśatasahasrasamudānītāyā anuttarāyāḥ	asaMKyeya-kalpa-kowI-niyuta-Sata-sahasra-samudAnItAyAH anuttarAyAH
   samyaksaṃbodherarthāya teṣāṃ manuṣyarājānāmasya ca suvarṇaprabhāsottamasya	samyaksaMboDeH-arTAya tezAm manuzya-rAjAnAm-asya ca suvarNa-praBAsa-uttamasya
   sūtrendrarājasya śrotṝṇāmārakṣāṃ kariṣyatha / paritrāṇaṃ parigrahaṃ	sUtrendra-rAjasya SrotLNAm-ArakzAm karizyaTa / paritrANam parigraham
   paripālanaṃ śāntisvastyayanaṃ kariṣyatha / tāni ca rājakulāni tāni	paripAlanam SAnti-svastyayanam karizyaTa / tAni ca rAja-kulAni tAni
   nagarāṇi tāni ca rāṣṭrāṇi tāni ca viṣayāṇyārakṣayiṣyatha / paritrāṇaṃ	nagarANi tAni ca rAzwrANi tAni ca vizayANi-ArakzayizyaTa / paritrANam
   parigrahaṃ paripālanaṃ daṇḍaparihāraṃ śasraparihāraṃ śāntisvastyayanaṃ	parigraham paripAlanam daNxa-parihAram Sasra-parihAram SAnti-svastyayanam
   kariṣyatha / tāni ca viṣayāṇi sarvamayopadravopasargāpāyāsebhyaḥ	karizyaTa / tAni ca vizayANi sarva-maya-upadrava-upasarga-apAyAseByaH
   parimocayiṣyatha / paracakrāṇi ca nivartayiṣyatha / sarvajambudvīpagatānāṃ	parimocayizyaTa / para-cakrANi ca nivartayizyaTa / sarva-jambu-dvIpa-gatAnAm
   cāsya manuṣyarājasyākalahayābhaṇḍanayāvigrahayā	ca-asya manuzya-rAjasya-akala-hayA-BaNxanayA-vigrahayA
   vivādayautsukyamapapadyatha / yathā ca te yuṣmākaṃ caturṇāṃ mahārājānāṃ	vivAdayA-Otsukyam-apapadi-aTa / yaTA ca te yuzmAkam caturNAm mahA-rAjAnAm
   sabalaparivārāṇāmasmiñjambudvīpe teṣu caturṣu nagarasahasreṣu tāni	sa-bala-parivArANAm-asmin-jambudvIpe tezu caturzu nagara-sahasrezu tAni
   caturaśītinagarasahasrāṇi teṣu teṣu viṣayeṣvabhirameyustena ca	caturaSIti-nagara-sahasrANi tezu tezu vizayezu-aBirameyuH-tena ca
   rājyaiśvaryeṇābhirameyustena ca dhanaskandhena parasparaṃ na viheṭhayeyuḥ	rAjya-ESvaryeNa-aBirameyuH-tena ca Dana-skanDena parasparam na viheWayeyuH
   / na parasparaṃ viheṭhaṃ janayeyuḥ / svena ca yathā pūrvakarmopacayena	/ na parasparam viheWam janayeyuH / svena ca yaTA pUrva-karma-upacayena
   rājatvaṃ pratilabheyuḥ / svena ca rājyaiśvaryeṇa ca tuṣṭā bhaveyuḥ / na ca	rAja-tvam pratilaBeyuH / svena ca rAjya-ESvaryeNa ca tuzwA BaveyuH / na ca
   paraspareṇa vināśayeyuḥ / na viṣeya vināśāya parakrameyuḥ //	paraspareNa vinASayeyuH / na vizeya vinASAya para-krameyuH //
   yathā cāsmiñjambudvīpe teṣu caturaśītiṣu viṣayanagarasahasreṣu tāni	yaTA ca-asmin-jambudvIpe tezu caturaSItizu vizaya-nagara-sahasrezu tAni
   caturaśītirāja sahasrāṇi paraspareṇa hitacittāni maitrīcittāni	caturaSIti-rAja sahasrANi paraspareNa hita-cittAni mEtrI-cittAni
   sukhacittāni paraspareṇa kalahayābhaṇḍanayāvigrahayāvivādayā sveṣu sveṣu	suKa-cittAni paraspareNa kalahayA-BaNxanayA-vigrahayA-vivAdayA svezu svezu
   viṣayeṣvabhiramerantena puṇyena caturṇāṃ mahārājānāṃ sabalaparivārāṇāmayaṃ	vizayezu-aBirameH-antena puNyena caturNAm mahA-rAjAnAm sa-bala-parivArANAm-ayam
   ca jambudvīpaḥ sphīto bhaviṣyati / subhikṣaśca ramaṇīyaśca	ca jambudvIpaH sPItaH Bavizyati / suBikzaH-ca ramaNIyaH-ca
   bahujanasamākīrṇaścarddhaścaujovataraśca bhaviṣyati /	bahu-jana-samAkIrNaH-cardDaH-ca-ojovataraH-ca Bavizyati /
   ṛtumāsārdhamāsasaṃvatsarāṇi ca sarvāṇi samācārayuktāni bhaviṣyanti /	Rtu-mAsa-arDa-mAsa-saMvatsarANi ca sarvANi samAcAra-yuktAni Bavizyanti /
   ahorātraṃ grahanakṣatracandrasūryāśca samāgrahiṣyanti / kālena ca	ahorAtram graha-nakzatra-candra-sUryAH-ca samAgrahizyanti / kAlena ca
   varṣadhārāḥ pṛthivyāṃ nipatiṣyanti / sarvajamdudvīpagatāni ca sattvāni	varza-DArAH pRTivyAm nipatizyanti / sarva-jamdudvIpa-gatAni ca sattvAni
   sarvadhanadhānyasamṛddhāni bhaviṣyanti / mahābhogāni cāmatsarāṇi ca	sarva-Dana-DAnya-samRdDAni Bavizyanti / mahA-BogAni ca-amatsarANi ca
   bhaviṣyanti / parityāgavanti daśakuśalakarmapathasamanvāgatāni ca	Bavizyanti / parityAgavanti daSa-kuSala-karma-paTa-samanvAgatAni ca
   bhaviṣyanti / yadbhūyasā sugatau svargaloka upapatsyante / devabhuvanāni	Bavizyanti / yat-BUyasA sugatO svarga-loke upapatsyante / deva-BuvanAni
   cākīrṇāni bhaviṣyanti devairdevaputraiśca //	ca-AkIrNAni Bavizyanti devEH-deva-putrEH-ca //
   (Bagchi 41)	(Baj-Ci 41)
   yatkaścinmahārājo bhaved ya itthamasya suvarṇaprabhāsattamasya	yat-kaScid-mahA-rAjaH Bavet yaH itTam-asya suvarNa-praBA-sattam-asya
   sūtrendrarājasya śrotā bhavenmānayitā ca pūjayitā ca teṣāṃ ca	sUtrendra-rAjasya SrotA Bavet-mAnayitA ca pUjayitA ca tezAm ca
   sūtrendradhārakāṇāṃ bhikṣubhikṣuṇyupāsakopāsikānāmautsukyaṃ satkuryād	sUtrendraDArakANAm BikzuBikzuNI-upAsaka-upAsikAnAm-Otsukyam satkuryAt-
   gurukuryānmānayetpūjayet / yuṣmākaṃ caturṇāṃ mahārājānāṃ	gurukuryAt-mAnayet-pUjayet / yuzmAkam caturNAm mahA-rAjAnAm
   sabalaparivārāṇāmanekeṣāṃ ca yakṣaśatasahasrāṇāmanukampārthāya	sa-bala-parivArANAm-anekezAm ca yakza-Sata-sahasrANAm-anukampA-arTAya
   satatasamitaṃ suvarṇaprabhāsottamaṃ sūtrendrarājendraṃ śṛṇvan / anena	satata-samitam suvarNa-praBAsa-uttamam sUtrendra-rAja-indram SRNvan / anena
   dharmaśravaṇasalilodakena yuṣmākametānyātmabhāvāni saṃtarpayet /	Darma-SravaNa-salila-udakena yuzmAkam-etAni-Atma-BAvAni saMtarpayet /
   mahataujasā yuṣmākametāni śarīrāṇi vivardhayet / mahacca yuṣmākaṃ vīryaṃ	mahatA-ojasA yuzmAkam-etAni SarIrANi vivarDayet / mahat-ca yuzmAkam vIryam
   ca sthāma balaṃ ca vapuṣaḥ saṃjanayet / tejaśca śriyaśca lakṣmīśca	ca sTAma balam ca vapuzaH saMjanayet / tejaH-ca SriyaH-ca lakzmIH-ca
   yuṣmākaṃ vivardhayet / tena ca manuṣyarājena mama	yuzmAkam vivarDayet / tena ca manuzya-rAjena mama
   śākyamunestathāgatasyārhataḥ samyaksaṃbuddhasyācintyā mahāvipulavistīrṇā	SAkya-muneH-taTAgatasya-arhataH samyaksaMbudDasya-acintyA mahA-vipula-vistIrNA
   pūjā kṛtā bhaviṣyati / tena tasya manuṣyarājenātītānāgatapratyutpannānāṃ	pUjA kRtA Bavizyati / tena tasya manuzya-rAjena-atIta-anAgata-pratyutpannAnAm
