   Abkürzungsverzeichnis	AbkürzungsveH-zeiCnis
   [27.3-6]     iti ca pratipādanāt īdṛśānāṃ vaikhānasānām eva	[27.3-6]     iti ca pratipAdanAt IdRSAnAm vEKAnasAnAm eva
   śrutismṛtītihāsapurāṇādiṣu caturmukhāt sāmānyatvena vinā	Sruti-smRti-itihAsa-purANa-Adizu caturmuKAt sAmAnya-tvena vinA
   sarvotkṛṣṭatvenotpattiśravaṇāt	sarva-utkRzwa-tvena-utpatti-SravaNAt-
   brahmasabhāpraveśasūryapathādyāśrayaṇādipratipādanāc ca vaikhānasā na	brahma-saBA-praveSa-sUrya-paTa-Adya-ASrayaNa-Adi-pratipAdanAt ca vEKAnasAH na
   tṛtīyāśramaniṣṭhāḥ, na vā brahmaṇā sāmānyataḥ sṛṣṭā bhavitum arhanti.	tRtIya-ASrama-nizWAH, na vA brahmaNA sAmAnyatas sRzwAH Bavitum arhanti.
        [jambudvīpe bhāratavarśasya śreṣṭhyam]	[jambudvIpe BArata-varSasya SrezWyam]
   [27.7]     śrīviṣṇupurāṇe: "atrāpi bhārataṃ śreṣṭhaṃ jambūdvīpe mahāmune /	[27.7]     SrI-vizNupurANe: "atra-api BAratam SrezWam jambUdvIpe mahA-mune /
   [27.8]     yato hi karmabhūr eṣā hy ato 'nyā bhogabhūmayaḥ // [Viṣṇu.P	[27.8]     yatas hi karma-BUH ezA hi atas anyAH Boga-BUmayaH // [VizNu.P
   [27.9]     kṛtaṃ tretā dvāparañ ca kaliścānyatra na kvacit /	[27.9]     kRtam tretA dvAparan ca kaliH-ca-anyatra na kvacid /
   [27.10]     tapas tapyanti yatayo juhvate cātra yajvanaḥ // [ViṣṇuP ]	[27.10]     tapaH tapyanti yatayaH juhvate ca-atra yajvanaH // [VizNuB ]
   [27.11]     dānāni cātra dīyante paralokārtham ādarāt /	[27.11]     dAnAni ca-atra dIyante para-loka-arTam AdarAt /
   [27.12]     puruṣair yajñapuruṣo jambūdvīpe sadejyate // [Viṣṇu.P ]	[27.12]     puruzEH yajQapuruzaH jambUdvIpe sadA-ijyate // [VizNu.P ]
   [27.13]     yajñair yajñamayo viṣṇur anyadvīpeṣu cānyathā // [ViṣṇuP ]	[27.13]     yajQEH yajQa-mayaH vizNuH anya-dvIpezu ca-anyaTA // [VizNuB ]
   [27.14]     atra janmasahasrāṇāṃ sahasrair api sattama /	[27.14]     atra janma-sahasrANAm sahasrEH api sattamaH /
   [27.15]     kadācillabhate jantur mānuṣyaṃ puṇyasañcayāt //" [ViṣṇuP	[27.15]     kadAcid-laBate jantuH mAnuzyam puNya-saQcayAt //" [VizNuP
   [27.16-19]     iti bhāratakhaṇḍavyatiriktasthaleṣu	[27.16-19]     iti BArata-KaNxa-vyatirikta-sTalezu
   brahmacaryādyāśramādivyavasthāvyavahārādyabhavāt	brahmacarya-Adi-ASrama-Adi-vyavasTA-vyavahAra-Adi-aBavAt
   pāñcarātraśilpajyautiṣādiṣu eṣām	pAQcarAtra-Silpa-jyOtiza-Adizu ezAm
   advārakabhagavadyajanādhikāritvaparamavaidikaparamaikāntitvādeḥ	advAraka-Baga-vat-yajana-aDikAri-tva-parama-vEdika-param-EkAnti-tva-AdeH
   pratipādanāṅ ca eṣv eva vaikhānasatvaṃ naisargikam. vānaprastheṣu	pratipAdanAj ca ezu eva vEKAnasa-tvam nEsargi-kam. vAnaprasTezu
   vaikhānasatvaṃ na naisargikam.	vEKAnasa-tvam na nEsargikam-.
   [27.20-22]     kintu teṣāṃ sūtrāntareṣv anuktānāṃ	[27.20-22]     kintu tezAm sUtra-antarezu anuktAnAm
   vānaprasthāśramasvīkāraprayogaśrāmaṇakāgnikuṇḍavidhānādīnāṃ vikhanas sūtre	vAnaprasTa-ASrama-svIkAra-prayoga-SrAmaNaka-agni-kuNxa-viDAna-AdInAm viKanaH sUtre
   pratipāditānāṃ tatsūtroktaprakāreṇa vānaprasthāśramasvīkārādinaiva	pratipAditAnAm tad-sUtra-ukta-prakAreNa vAnaprasTa-ASrama-svIkAra-AdinA-eva
   vaikhānasatvasiddhir iti.	vEKAnasa-tva-sidDiH iti.
   [27.23]     idam evāha baudhāyanaḥ:	[27.23]     idam eva-Aha bODAyanaH:
        [vānaprasthānāṃ mukhyavṛttyā vaikhānasaśabdavācyatvābhāvaḥ]	[vAnaprasTAnAm muKya-vRttyA vEKAnasa-Sabda-vAcya-tva-aBAvaH]
   [27.24-28.2]      "vānaprastho vaikhānasaśāstrasamudācāro vane mūlaphalāśī	[27.24-28.2]      "vAnaprasTaH vEKAnasa-SAstra-samudAcAraH vane mUla-Pala-ASI
   tapaśśīlas savaneṣūdakam upaspṛśan śrāmaṇakenāgnim ādhāyāgrāmyabhojī	tapaH-SIlaH savanezu-udakam upaspRSan SrAmaNakena-agnim ADAya-AgrAmya-BojI
   devapitṛmanuṣyabhūtarṣipūjakaḥ sarvātithiḥ pratiṣiddhavarjaṃ bhaikṣam apy	deva-pitR-manuzya-BUta-Rzi-pUjakaH sarva-atiTiH pratizidDa-varjam BEkzam api-
   upayuñjīta. na phālakṛṣṭam adhitiṣṭhet grāmaṃ vā na praviśet" iti.	upayuQjIta. na PAla-kRzwam aDitizWet grAmam vA na praviSet" iti.
   [28.3]     manuḥ: "ataḥ paraṃ pravakṣyāmi dharmaṃ vaikhānasāśrayam //" ity	[28.3]     manuH: "ataH param pravakzyAmi Darmam vEKAnasa-ASrayam //" iti-
   ārabhya	AraBya
   [28.4]     "puṣpamūlaphalair vāpi kevalair vartayet sadā /	[28.4]     "puzpa-mUla-PalEH vA-api kevalEH vartayet sadA /
   [28.5]     kālapakvais svayaṃ śīrṇair vaikhānasamate sthitaḥ //" iti	[28.5]     kAla-pakvEH svayam SIrNEH vEKAnasa-mate sTitaH //" iti
   [ManuDhŚ 6.21]	[ManuDhŚ 6.21]
   [28.6-8]     hārīta: "vānaprastho grāmyā oṣadhīḥ parivarjayet. tretāgnīnāṃ	[28.6-8]     hArIta: "vAnaprasTaH grAmyAH ozaDIH parivarjayet. tretAgnInAm
   sthāne śrāmaṇakaṃ vāgnim ādhāya valkalaśāṇacarmakuśamuñjādivalkalaṃ vā	sTAne SrAmaNakam vA-agnim ADAya valkala-SANa-carma-kuSa-muQjA-Adi-valkalam vA
   vasāno vaikhānasaproktena vidhinā vānaprastho bhavati. anujñāyiko	vasAnaH vEKAnasa-proktena viDinA vAnaprasTaH Bavati. anujQAyikaH-
   'nuprasthāyika" iti.	anuprasTAyika" iti.
   [28.9]     yama: "śrāmaṇakena vidhānena sāyaṃ prātar upaspṛśed" iti.	[28.9]     yama: "SrAmaNakena viDAnena sAyam prAtar upaspRSed" iti.
   [28.10-11]     śaṅkhalikhitau: "śrāmaṇakenāgnim ādhāya kāle	[28.10-11]     SaFKa-liKitO: "SrAmaNakena-agnim ADAya kAle
   kuruvindaveṇuśyāmākanīvārādibhir vartayed" iti.	kuruvinda-veNu-SyAmAka-nIvAra-AdiBiH vartayed" iti.
   [28.12]     vasiṣṭho 'pi: "śrāmaṇakenāgnim ādhāyāhitāgnir vṛkṣamūlika"	[28.12]     vasizWaH api: "SrAmaNakena-agnim ADAya-AhitAgniH vRkza-mUlika"
   iti.	iti.
   [28.13]     asya yajñasvāmivyākhyāne:	[28.13]     asya yajQa-svAmi-vyAKyAne:
   [28.14]     "śrāmaṇakaṃ nāma vaikhānasaśāstram. taduktena vidhināgnim	[28.14]     "SrAmaNakam nAma vEKAnasa-SAstram. tad-uktena viDinA-agnim
   ādhāya" iti.	ADAya" iti.
   [28.15]     śukānuśāsane vyāso 'pi:	[28.15]     Suka-anuSAsane vyAsaH api:
   [28.16]     "mūlair eke phalair eke puṣpair eke dṛḍhavratāḥ / [MBh	[28.16]     "mUlEH eke PalEH eke puzpEH eke dRXa-vratAH / [MBh
   12.236.13cd]	12.236.13cd]
   [28.17]     vartayanti yathānyāyaṃ vaikhānasamate sthitāḥ //" iti [MBh	[28.17]     vartayanti yaTAnyAyam vEKAnasa-mate sTitAH //" iti [MBh
   12.236.14ab]	12.236.14ab]
   [28.18]     smṛtyantaram api: "yasminn eva tu samproktaṃ sūtre vikhanasā	[28.18]     smRti-antaram api: "yasmin eva tu samproktam sUtre viKanasA
   param /	param /
   [28.19]     vanasthānān tu sarveṣāṃ vidhiśrāmaṇakābhidhaḥ //	[28.19]     vana-sTAnAn tu sarvezAm viDi-SrAmaNaka-aBiDaH //
   [28.20]     vānaprasthās tatas sarve ye dvijās tv anyasūtriṇaḥ /	[28.20]     vAnaprasTAH tatas sarve ye dvijAH tu anya-sUtriNaH /
   [28.21]     tatsūtravidhyanuṣṭhānāt smṛtā vaikhānasās tu te //" iti ca	[28.21]     tad-sUtra-viDi-anuzWAnAt smRtAH vEKAnasAH tu te //" iti ca
   varṇayanti. [ĀS 11.4]	varNayanti. [ĀH 11.4]
   [28.22]     ataś ca vānaprasthā mukhyatvena vaikhānasaśabdavācyā na	[28.22]     atas ca vAnaprasTAH muKya-tvena vEKAnasa-Sabda-vAcyA na
   bhavanti.	Bavanti.
   [28.23]     ānuśāsanike ca:	[28.23]     AnuSAsanike ca:
   [28.24]     "taṃ patantam abhiprekṣya prekṣya ca rṣigaṇānatha / [MBh 13,	[28.24]     "tam patantam aBiprekzya prekzya ca rzi-gaNAn-aTa / [MB 13,
   App. 1A.313]	App. 1A.313]
   [28.25]     āsīnāna vasubhis sārdhaṃ satreṇa jagatīpateḥ // [MBh 13, App.	[28.25]     AsInAna vasuBiH sArDam satreNa jagatIpateH // [MB 13, App.
   1A.314]	1A.314]
   [29.1]     vaikhānasānām eteṣāṃ vālakhilyagaṇān api / [MBh 13, App.	[29.1]     vEKAnasAnAm etezAm vAlaKilya-gaNAn api / [MB 13, App.
   1A.315]	1A.315]
   [29.2]     tasya bhīrāviśattatra patagendrasya bhārata // [MB.h 13, App.	[29.2]     tasya BIrA-viSat-tatra pataga-indrasya BArata // [MB.h 13, App.
   1A.316]	1A.316]
   [29.3]     tuṇḍena gṛhya tāṃ śākhām utpapāta khageśvaraḥ //" iti [MBh 13,	[29.3]     tuNxena gRhya tAm SAKAm utpapAta KageSvaraH //" iti [MB 13,
   App. 1A.318]	App. 1A.318]
   [29.4]     tatraivomāmaheśvarasaṃvāde:	[29.4]     tatra-eva-umA-maheSvara-saMvAde:
   [29.5]     "vaikhānasānāṃ vai dharmaṃ śrotum icchāmi dharmataḥ // ity	[29.5]     "vEKAnasAnAm vE Darmam Srotum icCAmi DarmataH // iti-
   ārabhya	AraBya
   [29.6]     teṣu vaikhānasā nāma vānaprasthāś śubhekṣaṇe / [MBh 13, App.	[29.6]     tezu vEKAnasAH nAma vAnaprasTAH SuBa-IkzaNe / [MB 13, App.
   [29.7]     tīvreṇa tapasā yuktā dīptimantas sutejasaḥ //" iti [MBh 13,	[29.7]     tIvreNa tapasA yuktA dIptimantaH su-tejasaH //" iti [MB 13,
   App. 15.703]	App. 15.703]
   [29.8]     harivaṃśe ca akrūrāgamanasamaye:	[29.8]     harivaMSe ca akrUra-Agamana-samaye:
   [29.9]     "śakapotrāvyayā? mode pradoṣe 'bhyāśatas kare / [HariV 68.4]	[29.9]     "Sakapotra-avyayA? mode pradoze aByASataH kare / [HariV 68.4]
   [29.10]     kiñcid abhyudite some śātiteṣu tamas su ca // [Hariv 68.9]	[29.10]     kiQcid aByudite some SAtitezu tamaH su ca // [Hariu 68.9]
   [29.11]     vanyair vaikhānasair mantraiḥ hūyamāne hutāśane //" iti.	[29.11]     vanyEH vEKAnasEH mantrEH hUyamAne hutASane //" iti.
   [HariV 68.5cd]	[HariV 68.5cd]
   [29.12]     pādme ca: "brāhmaṇaṃ vṛddhahārītaṃ vaikhānasamate sthitam //"	[29.12]     pAdme ca: "brAhmaNam vRdDa-hArItam vEKAnasa-mate sTitam //"
   iti ca varṇanāt [PadmaP ]	iti ca varNanAt [PadmaP ]
   [29.13-15]     vānaprasthasya śrautaviṣaye pṛthaktvena	[29.13-15]     vAnaprasTasya SrOta-vizaye pRTaktvena
   mantrapratipādanābhāvāc ca bodhāyanādibhir uktaprakāreṇa vānaprasthasya	mantra-pratipAdana-aBAvAt ca boDAyana-AdiBiH ukta-prakAreNa vAnaprasTasya
   vaikhānasatvaṃ vaikhānasasūtroktavānaprasthāśramasvīkārād evety	vEKAnasa-tvam vEKAnasa-sUtra-ukta-vAn-aprasTa-ASrama-svIkArAt eva-iti-
   avagantavyam. etāvatā vikhanaś śabdārtho nirṇītaḥ.	avagantavyam. etAvatA viKanaH Sabda-arTaH nirNItaH.
   [29.16]     (ādyahetunirūpaṇaprakāraḥ)	[29.16]     (Adyahetu-nirUpaNa-prakAraH)
        [vaikhānasasūtraśāstrayor vikhanasā praṇītatvam]	[vEKAnasa-sUtra-SAstrayoH viKanasA praNIta-tvam]
   [29.17-18]     atha vaikhānasasūtraśāstrayoḥ akhilajagatkāraṇabhūtena	[29.17-18]     aTa vEKAnasa-sUtra-SAstrayoH aKila-jagat-kAraNa-BUtena
   vikhanasā praṇītatvam upapādyate.	viKanasA praNIta-tvam upapAdyate.
   [29.19]     viṣṇudharme: "kathayāmi yathāpūrvaṃ matpitrā kathitaṃ mama /	[29.19]     vizNuDarme: "kaTayAmi yaTApUrvam mad-pitrA kaTitam mama /
   [29.20]     tasyāpi kila tatpitrā tasmai cāha kilośanāḥ // [ViṣṇuDh 1.38]	[29.20]     tasya-api kila tad-pitrA tasmE ca-Aha kila-uSanAH // [VizNuDh 1.38]
   [30.1]     tenāpi bhṛgum ārādhya prāptam ārādhanaṃ hareḥ /	[30.1]     tena-api BRgum ArADya prAptam ArADanam hareH /
   [30.2]     sakāśād brahmaṇaḥ prāptaṃ bhṛguṇāpi mahātmanā // [ViṣṇuD.h	[30.2]     sakASAt brahmaNaH prAptam BRguNA-api mahAtmanA // [VizNuD.h
   [30.3]     prāptaṃ sakāśād devasya brahmaṇo 'vyaktajanmanaḥ //" iti.	[30.3]     prAptam sakASAt devasya brahmaNaH avyakta-janmanaH //" iti.
   [ViṣṇuDh 1.40ab]	[VizNuDh 1.40ab]
        [vaikhānasamārgasya upadeśaparamaṃparā]	[vEKAnasa-mArgasya upadeSa-paramaMparA]
   [30.4]     hārītasmṛtau: "pūrvaṃ vikhanaso viṣṇuḥ proktavān svayam acyutaḥ	[30.4]     hArIta-smRtO: "pUrvam viKanasaH vizNuH proktavAn svayam acyutaH
   [30.5]     bhṛgoḥ proktaṃ vikhanasā bhṛguṇā ca mameritam //" iti	[30.5]     BRgoH proktam viKanasA BRguNA ca mama-Iritam //" iti
        [pāñcarātrāgamotpattyādiprakāraḥ]	[pAQcarAtra-Agama-utpatti-Adi-prakAraH]
   [30.6]     gāruḍe: "purā caturmukhādeśāc catvāro munayo 'malāḥ /	[30.6]     gAruxe: "purA caturmuKa-AdeSAt catvAraH munayaH amalAH /
   [30.7]     praṇīya vaiṣṇavaṃ śāstraṃ bhūmāv abhyarcayan nṛpa // [GaruḍaP ]	[30.7]     praNIya vEzNavam SAstram BUmO aByarcayan nRpa // [Garuxaj ]
   [30.8]     marīcir mandare viṣṇuṃ arcayamāsa keśavam /	[30.8]     marIciH mandare vizNum arcayamAsa keSavam /
   [30.9]     ādeśād brahmaṇo viṣṇuṃ śrīnivāse 'trir arcayet // [GaruḍaP ]	[30.9]     AdeSAt brahmaNaH vizNum SrI-nivAse atriH arcayet // [Garuxaj ]
   [30.10]     kaśyapo viṣṇvadhiṣṭhāne śubhakṣetre bhṛgur muniḥ /	[30.10]     kaSyapaH vizNu-aDizWAne SuBa-kzetre BRguH muniH /
   [30.11]     gaṅgāyā dakṣiṇe tīre sīmni tasyāntike 'pi ca // [GaruḍaP ]	[30.11]     gaFgAyAH dakziNe tIre sImni tasya-antike api ca // [Garuxaj ]
   [30.12]     tatsandhau śuciṣaṇṇāmā bhṛguṇā sthāpito hariḥ //" iti coktam	[30.12]     tad-sanDO SucizaNNa-AmA BRguNA sTApitaH hariH //" iti ca-uktam
   [GaruḍaP ]	[Garuxaj ]
   [30.13]     pāñcarātre: "ādye kaliyuge prāpte somakena hṛtā trayī /	[30.13]     pAQcarAtre: "Adye kali-yuge prApte somakena hRtA trayI /
   [30.14]     avaidikeṣu lokeṣu daivateṣu muniṣv api //	[30.14]     avEdikezu lokezu dEvatezu munizu api //
   [30.15]     bhagavantaṃ samāsādya nārāyaṇam anāmayam /	[30.15]     Bagavantam samAsAdya nArAyaNam anAmayam /
   [30.16]     ananto garuḍaś caiva viṣvakseṇaḥ pitāmahaḥ //	[30.16]     anantaH garuxaH ca-eva vizvakseNaH pitAmahaH //
   [30.17]     śaṅkaraś caiva pañcaite papracchuḥ śaraṇaṃ gatāḥ /	[30.17]     SaFkaraH ca-eva paQca-ete papracCuH SaraNam gatAH /
   [30.18]     kṣaṇam apy acyutasyārcāṃ tyaktum eva na śaknumaḥ //	[30.18]     kzaNam api acyutasya-arcAm tyaktum eva na SaknumaH //
   [30.19]     avaidikeṣu lokeṣu kiṃ kurmaś calamānasāḥ /	[30.19]     avEdikezu lokezu kim kurmaH cala-mAnasAH /
   [30.20]     tasmād upāyaṃ lakṣmīśa vadāsmākaṃ cirantana //	[30.20]     tasmAt upAyam lakzmISa vada-asmAkam cirantanaH //
   [30.21]     ity uktas sa haris tebhyaḥ pañcarātravidhiṃ kramāt /	[30.21]     iti uktaH sa hariH teByaH paQca-rAtra-viDim kramAt /
   [30.22]     ekaikarātram ekasmai tantraṃ samupadiṣṭavān //	[30.22]     ekEka-rAtram ekasmE tantram samupadizwavAn //
   [30.23]     pañcalakṣapramāṇena pañcarātraṃ prapañcitam //" ity upakramya	[30.23]     paQca-lakza-pramANena paQca-rAtram prapaQcitam //" iti upakramya
   [30.24]     "prathamaṃ brahmarātran tu dvitīyaṃ rudrarātrakam /	[30.24]     "praTamam brahma-rAtran tu dvitIyam rudrarAtrakam /
   [30.25]     tṛtīyam indrarātraṃ yac caturthaṃ graharātrakam //	[30.25]     tRtIyam indra-rAtram yat caturTam graha-rAtrakam //
   [31.1]     pañcamaṃ munirātran tu pañcarātraṃ vidhīyate /	[31.1]     paQcamam muni-rAtran tu paQca-rAtram viDIyate /
   [31.2]     rātribhiḥ pañcabhiḥ proktaṃ śrutaṃ śiṣyaiś ca pañcabhiḥ //	[31.2]     rAtriBiH paQcaBiH proktam Srutam SizyEH ca paQcaBiH //
   [31.3]     tasmāt tat pañcarātrākhyāṃ labdhvā tiṣṭhati bhūtale //"	[31.3]     tasmAt tat paQcarAtra-AKyAm labDvA tizWati BU-tale //"
   [31.4-5]     ity antena pāñcarātrasyotpattyādikaṃ nirūpya paramavaidikasya	[31.4-5]     iti antena pAQcarAtrasya-utpatti-Adikam nirUpya parama-vEdikasya
   śrīvaikhānasasyotpattyādikaṃ pratipādyate.	SrI-vEKAnasasya-utpatti-Adikam pratipAdyate.
        [vaikhānasaśāstrotpattyādiprakāraḥ]	[vEKAnasa-SAstra-utpatti-Adi-prakAraH]
   [31.6]     atha matsyākṛtiḥ śrīśaḥ praviśyāmbudhimadhyamam /	[31.6]     aTa matsya-AkRtiH SrISas praviSya-ambuDi-maDyamam /
   [31.7]     nirmathya somakaṃ vedān adāt paṅkajayonaye //	[31.7]     nirmaTya somakam vedAn adAt paFkaja-yonaye //
   [31.8]     tādṛśaṃ puṇḍarīkākṣaṃ stotrais santoṣya padmabhūḥ /	[31.8]     tAdRSam puNxarIkAkzam stotrEH santozya padmaBUH /
   [31.9]     uvāca vacanaṃ premṇā daṇḍavat praṇipatya ca //	[31.9]     uvAca vacanam premNA daNxa-vat praNipatya ca //
   [31.10]     tāntrikeṇa tvayā proktaṃ mārgeṇa bhavad arcanam /	[31.10]     tAntrikeNa tvayA proktam mArgeNa Bavat arcanam /
   [31.11]     na prasīdati tenāsman manaḥ kamalalocana //	[31.11]     na prasIdati tena-asman manaH kamala-locanaH //
   [31.12]     vaidikena tvad arcāṃ me yathāpūrvaṃ vadācyuta /	[31.12]     vEdikena tvat arcAm me yaTApUrvam vada-acyuta /
   [31.13]     ity ukto bhagavān devaḥ śāstraṃ śrutipathāgatam //	[31.13]     iti uktaH BagavAn devaH SAstram Sruti-paTa-Agatam //
   [31.14]     sahasrakoṭibhiḥ ślokais saṅkhyātaṃ bahuvistaram /	[31.14]     sahasra-kowiBiH SlokEH saFKyAtam bahu-vistaram /
   [31.15]     sūtramūlam anādyantaṃ kalpe kalpe samāśritam //	[31.15]     sUtra-mUlam anAdi-antam kalpe kalpe samASritam //
   [31.16]     uvāca jagatāṃ prītyai yajñānāṃ pūraṇāya ca /	[31.16]     uvAca jagatAm prItyE yajQAnAm pUraNAya ca /
   [31.17]     mūlaṃ sarvāgamānāñ ca purāṇānāṃ tathaiva ca //	[31.17]     mUlam sarva-AgamAnAn ca purANAnAm taTA-eva ca //
   [31.18]     smṛtīnāṃ sarvasūtrāṇāṃ pratyaṅgopāṅgaśobhinām /	[31.18]     smRtInAm sarva-sUtrANAm pratyaFga-upAFga-SoBinAm /
   [31.19]     vedāś ca vikhanaśśāstraṃ pramāṇam iti cerayan //	[31.19]     vedAH ca viKanaH-SAstram pramANam iti cerayan //
   [31.20]     yathā vaikhānasaṃ pūrve 'han sāmabhavatīti ca /	[31.20]     yaTA vEKAnasam pUrve ahan sAmaBavatI-iti ca /
   [31.21]     ye nakhā bhuvi sañjātās te vai vaikhānasā iti //	[31.21]     ye naKAH Buvi saQjAtAH te vE vEKAnasAH iti //
   [31.22]     śrutyuktaṃ tad idaṃ śāstraṃ vaikhānasamahārṇavam /	[31.22]     Sruti-uktam tat idam SAstram vEKAnasa-mahA-arNavam /
   [31.23]     ity uktvā bhagavān ādyas tatraivāntaradhīyata //	[31.23]     iti uktvA BagavAn AdyaH tatra-eva-antaraDIyata //
   [31.24]     tataḥ paraṃ caturvaktro jaṭākāṣāyadaṇḍabhṛt /	[31.24]     tatas param caturvaktraH jawA-kAzAya-daNxa-BRt /
   [31.25]     naimiśāraṇyam āsādya dvijasaṅghaniṣevitam //	[31.25]     nEmiSAraNyam AsAdya dvija-saFGa-nizevitam //
   [32.1]     tapas taptvā ciraṃ kālaṃ dhyāyaṃs tejas tu vaiṣṇavam /	[32.1]     tapaH taptvA ciram kAlam DyAyan tejaH tu vEzNavam /
   [32.2]     paścād apaśyad viṣṇūktam āgamaṃ vistarāt tadā //	[32.2]     paScAt apaSyat vizNu-uktam Agamam vistarAt tadA //
   [32.3]     saśrautañ ca sagṛhyañ ca vedamantrair abhiṣṭutam /	[32.3]     sa-SrOtan ca sa-gRhyan ca veda-mantrEH aBizwutam /
   [32.4]     saṃkṣipya sāram ādāya śāṇollikhitaratnavat //	[32.4]     saMkzipya sAram AdAya SANa-ulliKita-ratna-vat //
   [32.5]     dhātā vikhanaso nāma marīcyādisutān munīn /	[32.5]     DAtA viKanasaH nAma marIci-Adi-sutAn munIn /
   [32.6]     abodhayad idaṃ śāstraṃ sārdhakoṭipramāṇataḥ //	[32.6]     aboDayat idam SAstram sArDa-kowi-pramANataH //
   [32.7]     kalpe kalpe purā viṣṇur udbhūtaḥ pūrvavat sadā /	[32.7]     kalpe kalpe purA vizNuH udBUtaH pUrvavat sadA /
   [32.8]     tasmād vaidikam ācāraṃ yaḥ kartuṃ bhuvi vāñchati //	[32.8]     tasmAt vEdikam AcAram yaH kartum Buvi vAQCati //
   [32.9]     tasyedaṃ śāstram ity uktaṃ netareṣābhitīritam //"	[32.9]     tasya-idam SAstram iti uktam na-itareza-aBiti-Iritam //"
        [vaikhānasasūtrasya tatsūtriṇāṃ ca māhātmyam]	[vEKAnasa-sUtrasya tad-sUtriNAm ca mAhAtmyam]
   [32.10]     purātantre saptacatvāriṃśe 'dhyāye:	[32.10]     purAtantre saptacatvAriMSe aDyAye:
   [32.11]     ṛṣaya ūcuḥ: "vaikhānasasya sūtrasya kiṃ māhātmyaṃ mahāmune /	[32.11]     RzayaH UcuH: "vEKAnasasya sUtrasya kim mAhAtmyam mahA-mune /
   [32.12]     vihāya sarvasūtrāṇi yat tvayā cānuvartitam // [Purātantra.]	[32.12]     vihAya sarva-sUtrANi yat tvayA ca-anuvartitam // [Pura-atantra.]
   [32.13]     tatsūtriṇāñ ca māhātmyaṃ śrotum icchāmahe vayam /	[32.13]     tad-sUtriNAn ca mAhAtmyam Srotum icCAmahe vayam /
   [32.14]     samūrtasyāsya yajñasya ye yogyāḥ iti kīrtitāḥ // [Purātantra.]	[32.14]     sa-mUrtasya-asya yajQasya ye yogyAH iti kIrtitAH // [Pura-atantra.]
   [32.15]     bhṛguḥ: yuṣmābhiḥ paripṛṣṭaṃ yat samyag vakṣyāmi suvratāḥ /	[32.15]     BRguH: yuzmABiH paripRzwam yat samyak vakzyAmi suvratAH /
   [32.16]     śruṇvantu munayas sarve sūtramāhātmyam uttamam // [Purātantra]	[32.16]     SruNvantu munayaH sarve sUtra-mAhAtmyam uttamam // [Pura-atantra]
   [32.17]     suptotthitaś ciraṃ brahmā sraṣṭukāmaḥ purābhavat /	[32.17]     supta-utTitaH ciram brahmA srazwu-kAmaH purA-Bavat /
   [32.18]     sasmāra vedān akhilān na sṛṣṭis sampravartate // [Purātantra.]	[32.18]     sasmAra vedAn aKilAt na sRzwiH sampravartate // [Pura-atantra.]
   [32.19]     ciraṃ suptasya vai dhātus tamasākrāntacetasaḥ /	[32.19]     ciram suptasya vE DAtuH tamasA-AkrAnta-cetasaH /
   [32.20]     vismṛtā nikhilā vedā hṛdaye tasya saṃsthitāḥ // [Purātantra.]	[32.20]     vismRtAH niKilAH vedAH hRdaye tasya saMsTitAH // [Pura-atantra.]
   [32.21]     cintāturas tadā brahmā nālaṅkartuṃ kim apy abhūt /	[32.21]     cintA-AturaH tadA brahmA na-alaFkartum kim api aBUt /
   [32.22]     tataś cintān tu tāṃ tyaktvā svasthacittaḥ prajāpatiḥ //	[32.22]     tatas cintAn tu tAm tyaktvA svasTa-cittaH prajApatiH //
   [Purātantra.]	[Pura-atantra.]
   [32.23]     hṛdpadmamadhye puruṣaṃ parameṇa samādhinā /	[32.23]     hRd-padma-maDye puruzam parameNa samADinA /
   [32.24]     arcayāmāsa vai viṣṇum ṛgyajussāmarūpiṇam // [Purātantra.]	[32.24]     arcayAmAsa vE vizNum Rc-yaju-ssAma-rUpiNam // [Pura-atantra.]
        [dakṣādinavabrahmasṛṣṭiḥ]	[dakza-Adi-nava-brahma-sRzwiH]
   [33.1]     tuṣṭāva ca tadā brahmā haripravaṇamānāsaḥ /	[33.1]     tuzwAva ca tadA brahmA hari-pravaNa-m-AnAsaH /
