   tṛtīya uddyotaḥ	tRtIyaH uddyotaH
   tatra yeṣāṃ naisargikī teṣāṃ tāvaduktāvavirodha eva /	tatra yezAm nEsargikI tezAm tAvat uktO= aviroDaH eva /
   yathā vipralambhaśṛṅgāre tadaṅgānāṃ locanam paripoṣaṃ gatasyāpi karuṇasya	yaTA vipralamBa SRFgAre tad aFgAnAm locanam paripozam gatasya api karuNasya
   rativilāseṣu paunaḥpunyena dīpanamakārṣīt, tatko 'yaṃ rasavirodhināṃ	rati vilAsezu pOnaHpunyena dIpa nam akArzIt, tat kaH ayam rasa viroDinAm
   parihāranirbandha ityāśaṅkyāha  pūrva iti /	parihAra nirbanDaH iti ASaFkya aha   pUrvaH iti /
   na hi vasiṣṭhādibhiḥ kathañcidyadi smṛtimārgastyaktastadvayamapi tathā	na hi vasizWa AdiBiH kaTaQcid yadi smRti mArgaH tyaktaH tat vayam api taTA
   tyajāmaḥ /	tyajAmaH /
   acintyahetukatvāduparicaritānāmiti bhāvaḥ /	acintya hetuka tvAt upari caritAnAm iti BAvaH /
   iti śabdena parikaraślokasamāptiṃ sūcayati // 19 //	iti Sabdena parikaraSloka samAptim sUcayati // 19 //
   evaṃ virodhināṃ parihāre sāmānyenokte pratiprasavaṃ	evam viroDinAm parihAre sAmAnyena ukte pratiprasavam
   viyataviṣayamāha   vivakṣita itī /	viyata vizayam Aha    vivakzitaH itI /
   bādhyānāmiti /	bADyAnAm iti /
   bādhyatvābhiprāyeṇāṅgatvābhiprāyeṇa vetyarthaḥ /	bADya tva aBiprAyeNa aFga tva aBiprAyeNa vA iti arTaH /
   acchalā nirdeṣetyarthaḥ /	acCalAH nirdeza iti arTaH /
   bādhyatvābhiprāyaṃ vyācaṣṭe  bādhyatvaṃ hīti /	bADya tva aBiprAyam vyAcazwe   bADya tvam hi iti /
   āṅgabhāvābhiprāyamubhayathā vyācaṣṭe, bālapriyā tyenena bhaṅgyā	AFga BAva aBiprAyam uBayaTA vyAcazwe, bAlapriyA ti enena BaFgyA
   tatkathanaṃ duṣyantādernāyakasyeva nāyikāyā api na doṣa iti darśitam /	tat kaTanam duzyanta AdeH nAyakasya iva nAyikAyAH api na dozaH iti darSitam /
   bhāvārthamāha  na hītyādi /	BAva arTam Aha  na hi ityAdi /
   na hi tyajāma iti sambandhaḥ /	na hi tyajAmaH iti sambanDaH /
   vasiṣṭhādīnāṃ tattyāge 'pi na doṣa ityāha   acintyetyādi /	vasizWa AdInAm tad tyAge api na dozaH iti Aha   acintya ityAdi /
   acintyahetukatvāduparacaritānāmiti ca pāṭhaḥ /	acintya hetuka tvAt upara caritAnAm iti ca pAWaH /
   uparicaritānāmityasyotkṛṣṭacaritānāmityarthaḥ // 19 //	upari caritAnAm iti asya utkRzwa caritAnAm iti arTaH // 19 //
   'bādhyānām' ityādikārikābhāgaṃ vyācaṣṭe   bādhyatvetyādi /	abADyAnAm a ityAdi kArikA BAgam vyAcazwe   bADya tva ityAdi /
   uktirityanenāsya sambandhaḥ /	uktiH iti anena asya sambanDaH /
   ubhayathā vyācaṣṭa iti /	uBayaTA vyAcazwaH iti /
   'aṅgabhāvaprāptirhi'tyādigranthena dvedhā vyākhyātavānityarthaḥ /	aaFga BAva prAptiH hi atyAdi granTena dveDA vyAKyAtavAn iti arTaH /
   vṛttau 'tadaṅgānāṃ vyādhyādīnām' iti /	vRttO atadaFgAnAm vyADi AdInAm a iti /
   uktāvavirodha ityasyānuṣaṅgaḥ /	uktO= aviroDaH iti asya anuzaFgaH /
   upari vākye uktāvityasyaivānuṣaṅgaḥ /	upari vAkye uktO= iti asya eva anuzaFgaH /
   tatpadenātra vipralambhaparāmarśaḥ /	tad padena atra vipralamBa parAmarSaH /
   vyādhyādīnāṃ vyādhyādīnāṃ teṣāñca tadaṅgānāmevādoṣo nātadaṅgānām /	vyADi AdInAm vyADi AdInAm tezAQca tad aFgAnAm eva adozaH na atad aFgAnAm /
   tadaṅgatve ca sambhavatyapi maraṇasyopanyāso na jyāyān /	tad aFga tve ca samBavati api maraNasya upanyAsaH na jyAyAn /
   āśrayavicchede rasasyātyantavicchedaprāpteḥ /	ASraya vicCede rasasya atyanta vicCeda prApteH /
   karuṇasaya tu tathāvide viṣaye paripoṣo bhaviṣyatīti cet na;	karuNasaya tu taTA avide vizaye paripozaH Bavizyati iti cet na;
   tasyāprastutatvāt prastutasya ca vicchedāt /	tasya aprastuta tvAt prastutasya ca vicCedAt /
   yatratu karuṇarasasyaiva kāvyārthatvaṃ tatrāvirodhaḥ /	yatratu karuNa rasasya eva kAvya arTa tvam tatra aviroDaH /
   śṛṅgāre vā maraṇasyādīrghakālapratyāpattisambhave kadācidupanibandho	SRFgAre vA maraNasya adIrGa kAla pratyApatti samBave kadAcid upanibanDaH 
   nātyantavirodhī /	na atyanta viroDI /
   dīrghakālapratyāpattau tu tasyāntarā pravāhaviccheda	dIrGa kAla pratyApattO tu tasya antarA pravAha vicCeda
   evetyevaṃvidhetivṛttopanibandhanaṃ rasabandhapradhānena kavinā locanam	eva iti evaMviDA iti vRtta upanibanDanam rasa banDa praDAnena kavinA locanam
   tatra prathamaṃ svābhāvikaprakāraṃ nirūpayati   tadaṅgānāmiti /	tatra praTamam svABAvika prakAram nirUpayati    tad aFgAnAm iti /
   nirapekṣabhāvatayā sāpekṣabhāvavapralambhaśṛṅgāravirodhinyapi karuṇe ye	nirapekza BAva tayA sa apekza BAva vapra lamBa SRFgAra viroDinI api karuNe ye
   vyādhyādayassarvathāṅgatvena dṛṣṭāḥ teṣāmiti /	vyADi AdayassarvaTAFga tvena dRzwAH tezAm iti /
   te hi karuṇe bhavantyeva ta eva ca bhavantīti /	te hi karuNe Bavanti eva te eva ca Bavanti iti /
   śṛṅgāre tu bhavantyeva nāpi ta eveti /	SRFgAre tu Bavanti eva na api te eva iti /
   atadaṅgānāmiti /	atadaFgAnAm iti /
   yathālasyaugrajugupsānāmityarthaḥ /	yaTA Alasya Ogra ju gupsAnAm iti arTaH /
   tadaṅgatve ceti /	tad aFga tve ca iti /
   'sarva eva śṛṅgāre vyabhicāriṇa ityuktatvādi'ti bhāvaḥ /	asarvaH eva SRFgAre vyaBicAriNaH iti ukta tva Adi ati BAvaH /
   āśrayasya strīpuruṣānyatarasyādhiṣṭhānasyāpāye ratirevocchidyeta tasyā	ASrayasya strI puruza anyatarasya aDizWAnasya apAye ratiH eva ucCidyeta tasyAH 
   jīvitasarvasvābhimānarūpatvenobhayādhiṣṭhānatvāt /	jIvita sarva sva aBimAna rUpa tvena uBaya aDizWAna tvAt /
   prastutasyeti /	prastutasya iti /
   vipralambhasyetyarthaḥ /	vipralamBasya iti arTaH /
   kāvyārthatvamiti /	kAvya arTa tvam iti /
   prastutatvamityarthaḥ /	prastuta tvam iti arTaH /
   nanvevaṃ sarva eva vyabhicāriṇa iti vighaṭitamityāśaṅkyāha   śṛṅgāre veti	nanu evam sarve eva vyaBicAriNaH iti viGawitam iti ASaFkya aha    SRFgAre vA iti
   adīrghakāle yatramaraṇe viśrāntipadabandha eva notpadyate tatrāsya	adIrGa kAle yatra maraNe viSrAnti pada banDaH eva na utpadyate tatra asya
   vyabhicāritvam /	vyaBicAri tvam /
   kadāciditi /	kadAcid iti /
   yadi tādṛśīṃ bhaṅgiṃ ghaṭayituṃ sukaveḥ kauśalaṃ bhavati /	yadi tAdRSIm BaFgim Gawayitum su kaveH kOSalam Bavati /
   yathā    tīrthe toyavyatikarabhave	yaTA   tIrTe toya vyatikara Bave
   jahnukanyāsarayvordehanyāsādamaragaṇanālekhyamāsādya sadyaḥ /	jahnukanyA sarayvoH deha nyAsAt amara gaNanA leKyam AsAdya sadyas /
   bālapriyā virodhirasāṅgatvaṃ prakṛtarasāṅgatvaṃ ca	bAla priyA viroDi rasa aFga tvam prakRta rasa aFga tvam ca
   darśayati  nirapekṣabhāvatayetyādi /	darSayati   nirapekza BAvatayA ityAdi /
   te hīti /	te hi iti /
   vyādhyādayo hītyarthaḥ /	vyADi AdayaH hi iti arTaH /
   karuṇe ityādi /	karuNe ityAdi /
   karuṇe bhavantyeva te eva bhavantīti dvedhā niyama ityarthaḥ /	karuNe Bavanti eva te eva Bavanti iti dveDA niyamaH iti arTaH /
   nāpītyādi /	na api ityAdi /
   te eveti niyamo 'pi netyarthaḥ /	te eva iti niyamaH api na iti arTaH /
   maraṇasya vipralambhāṅgatvasambhave mānamāha  sarva ityādi /	maraNasya vipralamBa aFga tva samBave mAnam Aha   sarvaH ityAdi /
   ālasyaugnyajugupsāvarjāssarvaṃ eva vyabhicāriṇa iti muninā	Alasya ogni ajugupsA varjAH sarvam eva vyaBicAriNaH iti muninA
   uktatvādityarthaḥ /	ukta tvAt iti arTaH /
   āśrayaviccheda ityādigranthaṃ vyācaṣṭe   āśrayasyetyādi /	ASraya vicCedaH ityAdi granTam vyAcazwe   a ASrayasya ityAdi /
   vṛttau  'śṛṅgāre ve'tyādi /	vRttO   aSRFgAre ve atyAdi /
   'maraṇasye'ti /	amaraNasye ati /
   nāyakayorekasya yanmaraṇaṃ tasyetyarthaḥ /	nAyakayoH ekasya yat maraNam tasya iti arTaH /
   asya upanibandha ityanena sambandhaḥ /	asya upanibanDaH iti anena sambanDaH /
   'adīraghe'ti /	aadIraGe ati /
   maraṇādūrdhvamadīrgho yaḥ kālastasmiṃstena vā pratyāpattiḥ nāyakayoḥ	maraNAt UrDvam adIrGaH yaH kAlaH tasmin= tena vA pratyApattiH nAyakayoH
   samāgamastatsambhave satītyarthaḥ /	samAgamaH tad samBave sati iti arTaH /
   locane bhāvamāha  yatretyādi /	locane BAvam Aha  yatra ityAdi /
   viśrāntipadabandhaḥ pratītiviśrānteḥ pratiṣṭhā /	viSrAnti pada banDaH pratIti viSrAnteH pratizWA /
   tatra tathāvidhasthale /	tatra taTAviDa sTale /
   asya maraṇasya /	asya maraNasya /
   kāvyānuśāsane 'pyevamuktam  "śṛṅgāre tu maraṇādhyavasāyo tatra	kAvya anuSAsane api evam uktam   "SRFgAre tu maraNa aDyavasAyaH tatra
   labdhapratiṣṭhe tu vivakṣite rase virodhirasāṅgānāṃ bādhyatvenoktāvadoṣo	labDa pratizWe tu vivakzite rase viroDi rasa aFgAnAm bADya tvena ukta avadozaH 
   yathā    kvākāryaṃ śaśalakṣmaṇaḥ kva ca kulaṃ bhūyo 'pi dṛśyeta sā doṣāṇāṃ	yaTA   kva akAryam SaSalakzmaNaH kva ca kulam BUyas api dRSyeta sA dozANAm
   praśamāya me śrutamaho kope 'pi kāntaṃ mukham /	praSamAya me Srutam aho kope api kAntam muKam /
   kiṃ vakṣyantyapakalmaṣāḥ kṛtadhiyaḥ svapne 'pi sā durlabhā cetaḥ	kim vakzyanti apakalmazAH kRta DiyaH svapne api sA durlaBA cetaH
   svāsthyamupaihi kaḥ khalu yuvā dhanyo 'dharaṃ pāsyati //	svAsTyam upEhi kaH Kalu yuvA DanyaH aDaram pAsyati //
   locanam pūrvākārādhikacaturayā saṅgataḥ kāntayāsau līlāgāreṣvaramata	locanam pUrva AkAra aDika caturayA saFgataH kAntayA asO lIlA AgArezu aramata
   punarnandanābhyantareṣu //	punar nandana aByantarezu //
   atra sphuṭaiva ratyaṅgatā maraṇasya /	atra sPuwA eva rati aFga tA maraNasya /
   ata eva sukavinā maraṇe padabandhamātraṃ na kṛtam,	atas eva su kavinA maraNe pada banDa mAtram na kRtam,
   anūdyamānatvenaivopanibandhanāt /	anUdyamAna tvena eva upanibanDanAt /
   padabandhaniveśe tu sarvathā śokodaya evātiparimitakālapratyāpattilābhe	pada banDa niveSe tu sarvaTA Soka udayaH eva ati parimita kAla pratyApatti lABe
   'pi atha dūraparāmarśakasahṛdayasāmājikābhiprāyeṇa	api aTa dUra parAmarSaka sahRdaya sAmAjika aBiprAyeNa
   maraṇasyādīrghakālapratyāpatteraṅgatocyate, hanta tāpasavatsarāje 'pi	maraNasya adIrGa kAla pratyApatteH aFgatA ucyate, hanta tApasa vatsa rAje api
   yaugandharāyaṇādinītimārgākarṇanasaṃskṛtamatīnāṃ	yOganDarAyaNa Adi nIti mArga AkarNana saMskRta matInAm
   vāsavadattāmaraṇabuddherevābhāvātkaruṇasya nāmāpi na syādityalamavāntareṇa	vAsavadattA maraNa budDeH eva aBAvAt karuNasya nAma api na syAt iti alam avAntareNa
   bahunā /	bahunA /
   tasmāddīrghakālatātra padabandhalābha eveti mantavyam /	tasmAt dIrGa kAla tA atra pada banDa lABaH eva iti mantavyam /
   evaṃ naisargikāṅgatā vyākhyātā /	evam nEsargika aFga tA vyAKyAtAH /
   samāropitatve tadviparītetyarthalabdhatvātsvakaṇṭhena na vyākhyātā /	samAropita tve tad viparItA iti arTa labDa tvAt sva kaNWena na vyAKyAtAH /
   evaṃ prakāratrayaṃ vyākhyāya krameṇodāharati   tatretyādinā /	evam prakAra trayam vyAKyAya krameNa udAharati   tatra ityAdinA /
   kvākāryamiti /	kva akAryam iti /
   bālapriyā maraṇādūrdhvaṃ jhaṭiti punaryogo vā nibadhyata'iti /	bAla priyAH maraNAt UrDvam Jawiti punar yogaH vA nibaDyata aiti /
   tīrtha iti raghuvaṃśastham /	tIrTaH iti raGu vaMSa sTam /
   dehatyāgāditi ca pāṭhaḥ /	dehatyAgAt iti ca pAWaH /
   kāntayā indumatyā /	kAntayA indumatyA /
   asau ajaḥ /	asO ajaH /
   ratyaṅgateti /	rati aFga tA iti /
   ramaṇāṅgatetyarthaḥ /	ramaNa aFgatA iti arTaH /
   maraṇasyeti /	maraNasya iti /
   dehatyāgādityanena darśitasya maraṇasyetyarthaḥ /	dehatyAgAt iti anena darSitasya maraNasya iti arTaH /
   prapūrvaślokena saṅgamāśāyā varṇitatvādatra maraṇasya vipralambhāṅgatvaṃ	prapUrva Slokena saFgam ASAyAH varNita tvAt atra maraNasya vipralamBa aFga tvam
   sphuṭamiti bhāvaḥ /	sPuwam iti BAvaH /
   padabandhaḥ pratītaviśrānteḥ padabandhaḥ /	pada banDaH pratIta viSrAnteH pada banDaH /
   anūdyamānatveneti /	anUdyamAna tvena iti /
   dehatyāgādityaneneti bhāvaḥ /	dehatyAgAt iti anena iti BAvaH /
   atīti /	ati iti /
   atiparimito 'lyalpaḥ kālastena pratyāpatteḥ saṅgamasya lābhaḥ sambhavaḥ	ati parimitaH ali alpaH kAlaH tena pratyApatteH saFgamasya lABaH samBavaH
   pratītirvā tasminnapītyarthaḥ /	pratItiH vA tasmin= api iti arTaH /
   śokodaya evetyanenāsya sambandhaḥ /	Soka udayaH eva iti anena asya sambanDaH /
   sahṛdayānāṃ śokacarvaṇaiva bhavediti tadarthaḥ /	sahRdayAnAm Soka carvaNA eva Bavet iti tad arTaH /
   kecidadīrghakāletyādigranthasya bhāvamanyathā vyācakṣaye,	kecid adIrGa kAla ityAdi granTasya BAvam anyaTA vyAca kzaye,
   tadanuvadannāha  athetyādi /	tad anuvadat = Aha  aTa ityAdi /
   atheti praśne /	aTa iti praSne /
   prativakti  hantetyādi /	prativakti  hanta ityAdi /
   ayuktakathanahetuko viṣādo vismayo vā hantetyanena prakāśyate /	ayukta kaTana hetukaH vizAdaH vismayaH vA hantA iti anena prakASyate /
   svamatenopasaṃharati   tasmādityādi /	sva matena upasaMharati   tasmAt ityAdi /
   dīghati /	dIGati /
   dīrghakālatāpadārtho 'tra maraṇe sahṛdayapratītiviśrānteḥ padabandha	dIrGa kAla tA padArTaH atra maraNe sahRdaya pratIti viSrAnteH padabanDa
   evetyarthaḥ /	eva iti arTaH /
   samārāpitā tviti /	samArApitA tu iti /
   aṅgateti śeṣaḥ /	aFgatA iti SezaH /
   etadviparīteti /	etat viparItA iti /
   vāstavāṅgatvābhāvānnaisargikāṅgatā viparītetyarthaḥ /	vAstava aFga tva aBAvAt nEsargika aFga tA viparItA iti arTaH /
   vyākhyāteti /	vyAKyAtA iti /
   padarśitetyarthaḥ /	padarSitA iti arTaH /
   vṛttau 'tasye'tyādi /	vRttO atasye atyAdi /
   'tasya'śṛṅgārasya /	atasya aSRFgArasya /
   yathā vā puṇḍarīkasya mahāśvetāṃ prati pravṛttanirbharānurāgasya	yaTA vA puNxarIkasya mahA SvetAm prati pravRtta nirBara anurAgasya
   dvitīyamunikumāropadeśavarṇane /	dvitIya muni kumAra upadeSa varNane /
   svābhāvikyāmaṅgabhāvaprāptāvadoṣo yathā    bhramimaratimalasahṛdayatāṃ	svABAvikyAm aFga BAva prApta avadozaH yaTA   Bramim arati mala sahRdaya tAm
   pralayaṃ mūrcchāṃ tamaḥ śarīrasādam /	pralayam mUrcCAm tamaH SarIra sAdam /
   maraṇaṃ ca jaladabhujagajaṃ prasahya kurute viṣaṃ viyoginīnām //	maraNam ca jalada Bujaga jam prasahya kurute vizam viyoginInAm //
   ityādau /	ityAdO /
   samāropitāyāmapyavirodho yathā   'pāṇḍukṣāmam' ityādau /	samAropitAyAm api aviroDaH yaTA    apANxu kzAmam a ityAdO /
   yathā vā   'kopātkomalalolabāhulatikāpāśena' ityādau /	yaTA vA a    akopAt komala lola bAhu latikA pASena a ityAdO /
   iyaṃ locanam vitarka autsukyena matiḥ smṛtyā śaṅkā dainyena dhṛtiścintayā	iyam locanam vitarkaH Otsukyena matiH smRtyA SaFkA dEnyena DRtiH cintayA
   ca bādhyate /	ca bADyate /
   etacca dvitīyoddyotārambha evoktamasmābhiḥ /	etat ca dvitIya uddyota AramBaH eva uktam asmABiH /
   dvitīyeti /	dvitIyA iti /
   vipakṣībhūtavairāgyavibhāvādyavadhāraṇe 'pi hyaśakyavicchedatvena	vipakzIBUta vErAgya viBAva Adi avaDAraNe api hi aSakya vicCeda tvena
   dārḍhyamevānurāgasyoktaṃ bhavatīti bhāvaḥ /	dArXyam eva anurAgasya uktam Bavati iti BAvaH /
   samāropitāyāmiti /	samAropitAyAm iti /
   aṅgabhāvaprāptāviti śeṣaḥ /	aFga BAva prAptO= iti SezaH /
   pāṇḍukṣāmaṃ vaktraṃ hadayaṃ sarasaṃ tavālasaṃ ca vapuḥ /	pANxu kzAmam vaktram hadayam sarasam tava alasam ca vapuH /
   āvedayati nitāntaṃ kṣetriyarogaṃ sakhi hṛdantaḥ //	Avedayati nitAntam kzetriya rogam saKi hRdantaH //
   atra karuṇocito vyādhiḥ śleṣabhaṅgyā sthāpitaḥ kopāditi badhveti hanyata	atra karuNA ucitaH vyADiH Sleza BaFgyA sTApitaH kopAt iti baDva iti hanyata
   iti ca raudrānubhāvanāṃ rūpakabalādāropitānāṃ tadanirvāhādevāṅgatvam /	iti ca rOdra anuBAvanAm rUpaka balAt AropitAnAm tad anirvAhAt eva aFga tvam /
   tacca pūrvamevoktaṃ 'nātinirvahaṇaiṣitā' ityatrāntare /	tat ca pUrvam eva uktam anAti nirvahaNa ezitA a iti atra antare /
   bālapriyā 'antarā' madhye /	bAla priyA aantarAa maDye /
   'pravāhavicchedaḥ' anusandhānadhārāyā viccheda ityarthaḥ /	apravAha vicCedaH a anusanDAna DArAyAH vicCedaH iti arTaH /
   locane   vipajñībhūteti /	locane    vipa jQIBUta iti /
   anurāgasya virodhibhūtetyarthaḥ /	anurAgasya viroDi BUtA iti arTaH /
   anurāgasyeti /	anurAgasya iti /
   puṇḍarīkagatānurāgasyetyarthaḥ /	puNxarIka gata anurAgasya iti arTaH /
   vṛttau 'bhramim' iti /	vRttO aBramima iti /
   idaṃ pāṇḍivatyādi ca kāvyaprakāśe 'pyudāhṛtam /	idam pANxivati Adi ca kAvya prakASe api udAhRtam /
   bhramirnāma diśāṃ bhramaṇamiva darśayannāntaraḥ kaścidvikāraḥ /	BramiH nAma diSAm BramaNam iva darSayat = AntaraH kaScid vikAraH /
   pralayonaṣṭaceṣṭatā, mūrchā bāhyābhyantarendrayavṛttinirodhaḥ /	pralayaH nazwa cezwatA, mUrCA bAhya aByantarA indraya vRtti niroDaH /
   tamaḥ āndhyam /	tamaH AnDyam /
   jalada eva bhujagastajjam /	jaladaH eva BujagaH tad jam /
   viṣaṃ jalameva garalam /	vizam jalam eva garalam /
   atra karuṇocatavyādheranubhāvānāṃ bhramyādīnāṃ vipralambhe 'pi	atra karuNocata vyADeH anuBAvAnAm Bramya AdInAm vipralamBe api
   sambhavānnaisargikī aṅgatā /	samBavAt nEsargikI aFga tA /
   pāṇḍukṣāmamiti /	pANxu kzAmam iti /
   hṛdayaṃ uraḥ /	hRdayam uraH /
   sarasaṃ annarasasahitaṃ, yadvā  candanādirasasahitam /	sarasam anna rasa sahitaM, yat vA  candana Adi rasa sahitam /
   alasaṃ bāhyakriyāyāmakṣamam /	alasam bAhyakriyAyAm akzamam /
   kṣetriyo dehāntare cikitsyo 'sādhya iti yāvat /	kzetriyaH deha antare cikitsyaH asADyaH iti yAvat /
   rogaḥ gadaḥ /	rogaH gadaH /
   kṣetriyo rogaḥ kṣayaroga iti kecit tam /	kzetriyaH rogaH kzaya rogaH iti kecid tam /
   āvedayatīti /	Avedayati iti /
   vaktrādīnāṃ pratyekamanvayābhiprāyeṇaikavacanāntatayā nirdeśaḥ /	vaktra AdInAm pratyekam anvaya aBiprAyeNa eka vacana antatayA nirdeSaH /
   atra karuṇocitavyādheḥ vipralambhe samāropādaṅgatetyāha locane   atretyādi	atra karuNA ucita vyADeH vipralamBe samAropAt aFga tA iti Aha locane  atra ityAdi
   śleṣabhaṅgyeta /	Sleza BaFgyeta /
   ubhayasādhāraṇānubhāvapradarśanenetyarthaḥ /	uBaya sADAraNa anuBAva pradarSanena iti arTaH /
   sthāpita iti /	sTApitaH iti /
   āropeṇāṅgatayā pradarśita ityarthaḥ /	AropeNa aFga tayA pradarSitaH iti arTaH /
   badhvetītyādi /	baDva iti ityAdi /
   bandhanādīnāmityarthaḥ /	banDana AdInAm iti arTaH /
   tadanirvāhāditi /	tad anirvAhAt iti /
   rūpakānirvādityarthaḥ /	rUpakA nirvAditi arTaH /
   aṅgatvamiti /	aFga tvam iti /
   śṛṅgārāṅgatvamityarthaḥ /	SRFgAra aFga tvam iti arTaH /
   vṛttau aṅgabhāvagamanaṃ yadiyaṃ cāṅgabhāvaprāptiranyā	vRttO aFga BAva gamanam yat iyam ca aFga BAva prAptiH anyA
   yadādhikārikatvātpradhāna ekasminvākyārthe rasayorbhāvayorvā	yadA ADikArika tvAt praDAnaH ekasmin vAkya arTe rasayoH BAvayoH vA
   parasparavirodhinordvayoraṅgabhāvagamanaṃ tasyāmapi na doṣaḥ /	paraspara viroDinoH dvayoH aFga BAva gamanam tasyAm api na dozaH /
   yathoktaṃ 'kṣipto hastāvalagnaḥ' ityādau /	yaToktam akziptaH hasta avalagnaH a ityAdO /
   kathaṃ tatrāvirodha iti cet, dvayorapi tayoranyaparatvena vyavasthānāt /	kaTam tatra aviroDaH iti cet, dvayoH api tayoH anya paratvena vyavasTAnAt /
   anyaparatve 'pi virodhinoḥ kathaṃ virodhanivṛttiriti cet, ucyate  	anya paratve api viroDinoH kaTam viroDa nivRttiH iti cet, ucyate  
   vidhau viruddhasamāveśasya locanam anyeti /	viDO virudDa samAveSasya locanam anyA iti /
   caturtho 'yaṃ prakāra ityarthaḥ /	caturTaH ayam prakAraH iti arTaH /
   pūrvaṃ hi virodhinaḥ prastutarasāntare 'ṅgatoktā, adhunā tu	pUrvam hi viroDinaH prastuta rasa antare aFgatA uktA, aDunA tu
   dvayorvirodhinorvastvantare 'ṅgabhāva iti śeṣaḥ /	dvayoH viroDinoH vastu antare aFga BAvaH iti SezaH /
   kṣipta iti /	kziptaH iti /
   vyākhyātametat 'pradhāne 'nyatra vākyārthe' ityatra /	vyAKyAtam etat apraDAne anyatra vAkya arTe a iti atra /
   nanvanyaparatve 'pi svabhāvo na nivartate, svabhāvakṛta eva ca virodha	nanu anya paratve api svaBAvaH na nivartate, svaBAva kRtaH eva ca viroDa
   ityabhaprāyeṇāha  anyaparatve 'pīti /	iti aBa prAyeNa aha  anya paratve api iti /
   virodhinorati /	viroDinoH ati /
   tatsvabhāvayoriti hetutvābhiprāyema viśeṣaṇam /	tad svaBAvayoH iti hetutva aBiprAyema viSezaNam /
   ucyata iti /	ucyate iti /
   ayaṃ bhāvaḥ   sāmagrīviśeṣapatitatvena bhāvānāṃ virodhāvirodhau na	ayam BAvaH   sAmagrI viSeza patita tvena BAvAnAm viroDa aviroDO na
   svabhāvamātranibandhanau śītoṣṇayorapi virodhābhāvāt /	svaBAva mAtra nibanDanO SIta uzNayoH api viroDa aBAvAt /
   vidhāviti /	viDO= iti /
   tadeva kuru mā kārṣīriti bālapriyā cānyā aṅgabhāvaprāptiriti sambandhaḥ /	tat eva kuru mA kArzIH iti bAlapriyA ca anyA aFga BAva prAptiH iti sambanDaH /
